n_clusters,silhouette,davies_bouldin
2,0.13960096,2.5833949231098865
3,0.13002373,2.2339073187101754
4,0.08257995,2.6119225742272554
5,0.04642752,2.7044142662099393
6,0.03993139,2.552123170123179
7,0.031018939,2.775744042243003
8,0.03528256,2.860981689377244
9,0.03738681,3.072375762824454
10,0.04109204,3.023262450281648
11,0.03442087,3.030701563097233
12,0.028398933,3.0352383565071137
13,0.026484305,3.0149109154467673
14,0.019262979,2.937446233483299
15,0.015777588,2.885752589053268
16,0.016249899,2.8763419503087313
17,0.0067990096,2.7946949372654983
18,0.00855872,2.781875517589674
19,0.00924185,2.8236292250847175
20,0.0096597085,2.884843350273086
21,0.011096077,2.9027324426343797
22,0.012803297,2.947222245390226
23,0.012311393,2.9876586078102023
24,0.013246714,3.099062349238341
25,0.014354283,3.0666232884861206
26,0.015281219,3.047872509804825
27,0.014889489,3.0764066952093923
28,0.01602927,3.01739520103477
29,0.016151123,3.027202842836748
30,0.017348062,2.9880402913674877
