n_clusters,silhouette,davies_bouldin
2,0.092414774,2.3730146913274313
3,0.10509798,2.4201147681810173
4,0.049739115,2.4718521890382514
5,0.053614374,2.301511012744138
6,0.030959478,2.6736876004064363
7,0.034789745,2.6104000382347645
8,0.028259328,2.762364556211433
9,0.00790447,2.884552101522543
10,0.0060660834,2.88595226178101
11,0.0012484262,2.9515325421481693
12,0.0001085713,2.7909922210524627
13,-0.00372648,2.8498088769716223
14,-0.0051668007,2.805251012609382
15,-0.0035487134,2.8885687517885725
16,-0.0045461017,2.8836201740488123
17,-0.0029047779,2.9297208736034883
18,-0.003529535,2.942830003422016
19,-0.0007381432,2.925018037951444
20,0.00069555535,2.8564443229569476
21,0.0003878542,2.9808843940440406
22,-0.00035470427,2.9843135323879917
23,-0.0016569521,3.0436704102425933
24,-0.0014983118,2.990894424788971
25,-0.0049209963,3.0888523267201315
26,-0.003236384,3.1330226761317053
27,-0.0015780177,3.1394172813422045
28,-0.0023506852,3.1035762464335344
29,-0.0039583263,3.1211222527272433
30,-0.0038571581,3.1487204863983758
