Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Junior Business Analyst,"Yukon-Kuskokwim Health Corporation
","Bethel, AK",$53K - $79K (Glassdoor est.),3.1,"Junior Business Analyst

Bethel, Alaska

The vision: Through Native Self-Determination and Culturally Relevant Health Systems, we strive to be the healthiest people.

At the Yukon-Kuskokwim Health Corporation (YKHC) we administer a comprehensive healthcare system throughout 58 rural communities with a mission of Working Together to Achieve Excellent Health.

YKHC serves 58 federally-recognized Tribes and operates 41 Village Clinics. Our five larger communities are served by five Sub-Regional Clinics. All communities in our service area are served by the 55 bed regional hospital in Bethel.

For more information about our hospital or the region please visit
Yukon-Kuskokwim Health Corporation – We Strive to be the Healthiest People (www.ykhc.org)

Position Summary: The Junior Business Analyst position requires an individual to support finance departments in workflow design, system setup, troubleshooting, and reporting needs. This individual will support one or more departments in developing and implementing system planning, designing, upgrading, testing and maintaining efficient operations of finance systems, as well as integration of finance systems with the clinical system used by the organization. This individual will apply proven communication, analytical problem solving, systems knowledge, and critical thinking to resolve systematic and operational issues in order to optimize efficiencies and minimize cost. The Business Analyst will work closely with other business and clinical team members to facilitate appropriate and timely troubleshooting, fixes, integration with the clinical system, and changes to a continually evolving system. This individual will mentor and train Business Systems Specialists.

Key Responsibilities/Essential Functions:

Facilitate system integrity through regular maintenance of Revenue Cycle applications, installation and testing of new software versions with quality assurance measured and reported on.
Develop and deliver corporate reports in a timely manner, ensuring data integrity and validation through all reporting measures.
Provide corporate and departmental training on mandated concepts on systems, applications, Revenue Cycle operations, and other concepts as needed. Documentation and thorough understanding of concepts required.
Supervises and coordinates junior analysts work efforts to maximize department and division priority efficiency.
All other duties, as assigned.

Position Qualifications:

Minimum Education: Associate’s degree in a Business, Accounting, or Technology field. A combination of education and experience may be substituted for Associate’s Degree.
Minimum Experience: Three years’ experience in a Healthcare Revenue Cycle with two years experience on pertinent systems. Significant experience with large (2000+ records with more than 10 variables) databases required.
Licensing/Certification: HFMA certification at time of hire or within one (1) year of start date.
Equipment/Tools: Computer proficiency with various software and database systems, calculator, multi-line phone, fax/copy machine.
Specialized Knowledge and Skills:
Knowledge of pertinent healthcare applications, tables, dependencies, workflows and outlays.
Working knowledge of healthcare information systems Siemens Medseries 4 or Cerner preferred.
Ability to perform “drill down” techniques to get to the root cause of barriers to efficient process.
Understanding of claim billing and reimbursement processes. OR Account and auditing principles, accounts payable, budgeting, and general ledger.
Excellent written and oral communication skills.
Keen attention to detail.
Proven analytical and creative problem-solving abilities.
Ability to effectively prioritize and execute tasks in a high-pressure environment.
Experience working in a team-oriented, collaborative environment.
Run queries as needed
Special projects as assigned.

Benefits Include:

Generous PTO – beginning at 4.5 weeks
Ten paid holidays
Comprehensive healthcare coverage
Life and Disability Insurance
Flexible Spending Account
Retirement plans
Employee Wellness Center

c#

Additional Information:
ID:
15958


Location:
Bethel


Department:
RAVEN Clinical Applications


Employment Duration:
80 Full time


Temporary Status:
Not Applicable


Hours per Week:
40



Yukon Kuskokwim Health Corporation is an Affirmative Action/Equal Opportunity Employer. All qualified individuals will receive consideration for employment without regard to race, ethnicity, age, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status and any other basis protected by law. Individuals with disabilities needing assistance in the recruitment process are encouraged to contact Human Resources directly.

Under P.L. 93-638, preference is given to Alaska Native/American Indian applicants.

For more information, please contact the YKHC Recruitment Department at YKHCRecruitment@YKHC.org or phone (907) 543-6060 and ask to speak with a recruiter.

To view more positions available please visit YKHC Career Center (https://chu.tbe.taleo.net/chu01/ats/careers/v2/jobSearch?org=YKHC&cws=41)",-1,Health Care Services & Hospitals,$100 to $500 million (USD),Healthcare,1001 to 5000 Employees,Company - Private,False
Business Analyst - Remote (WFH),"Cognitive Medical Systems
","Anchorage, AK",$59K - $95K (Glassdoor est.),3.8,"Functional Role: Business Analyst/Tech Writer

LCAT: Business Analyst


CivitasDX, LLC, is seeking a Business Analyst to support the VA T4NG Consolidated Corporate Support Services (CCSS) program’s Financial Management Product Line (FMPL) serving our Department of Veterans Affairs Corporate Portfolio clients across the entire U.S. The CCSS contract is currently delivering under its recently-awarded Option Period 2 (12 months), with one additional one-year option periods that can be exercised, with a TCV valued at $96M overall.


Responsibilities include:

Works with the scrum master, developers, and business stakeholders to analyze, elicit and facilitate requirements documentation for enhancements to the accounting reports system.
Conduct in-depth assessments of current processes, identifying bottlenecks and inefficiencies.
Develop comprehensive documentation outlining existing and proposed business processes, ensuring clarity and precision.
Gather and analyze data for business process improvements.
Communicate and validate requirements with relevant stakeholders.
Proficiently manage and maintain process documentation repositories and version control systems.
Collaborate closely with subject matter experts, developers, and stakeholders to produce clear and comprehensive technical documentation.
Translate complex technical information into user-friendly, easily understandable documentation.
Implement and maintain documentation standards and templates to ensure consistency and quality.
Work effectively in a remote or distributed team environment.


Required Skills:

Knowledge of: Agile, Scrum/Kanban, Accounting
Business Analyst skills: documenting business user stories / acceptance criteria, Business Process Analysis/documentation
Tools: Jira, Microsoft Office


Required Education, Experience and Clearance:

Bachelor’s and 3 or more years’ experience, -OR- equivalent relevant experience
Ability to obtain a VA Position of Public Trust – Medium Background Investigation (MBI)


Desired Skills:

Strong analytical, verbal, and written communication skills with a keen eye for detail.
Self-starter with a positive attitude and very good interpersonal skills.
Strong work ethic with ability to self-manage workload and deliverables under tight deadlines.
Experience working within VA’s technical, network, and data center environments a plus.
Government/Veteran Affairs accounting experience a plus.
Excellent facilitation skills.",2010,Computer Hardware Development,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
BUSINESS ANALYST_Refer,V15P1TALONNN,"Anchorage, AK",-1,-1.0,"analyzing users stories and/use cases/requirements for validity and feasibility

collaborate closely with other team members and departments

execute all levels of testing (System, Integration, and Regression)

Design and develop automation scripts when needed

Detect and track software defects and inconsistencies

Provide timely solutions

Apply quality engineering principals throughout the Agile product lifecycle

Provide support and documentation",-1,-1,-1,-1,-1,-1,True
Business Analyst,"Matanuska Valley Federal Credit Union
","Wasilla, AK",$65K (Employer est.),3.6,"FUNCTIONS

Responsible for member marketing of the credit union and knowledge of all services offered to a degree that will enable answering questions, or referring member for specific services.
Responsible for providing in-depth systems analysis and leadership on projects of complex difficulty.
Liaison between stakeholders, end-users, technical staff, and product testers to gather data for business process improvements, documentation, data flow diagrams and project requirements.
Assist in the facilitation of meetings for gathering and creation of clear and actionable business requirements, current business process definitions, and business process improvements.
Data analysis of large datasets to help develop dashboards, data reports, and documentation of business challenges.
Responsible for operational testing of business process flows, documentation, user stories and use cases; proofreading and web design testing, producing products that conform to company documentation, quality, and pre-defined standards.
Responsible for preparing detailed systems specifications, process/data flow charts, and logic diagrams from which programs will be written.
Assist in the creation of detailed test scripts and perform testing and validation for complex projects.
Assist with requests on enterprise-wide projects including workflow breakdowns, milestone definition, and project task management.
Interfaces with users to resolve all issues related to data flow diagrams and business process flow documentation.
Provide the Information Services Applications Manager with reports accounting for time spent on projects assigned.
Assists the Information Services Applications Manager as needed.

REQUIRED SKILLS/ABILITIES

Requires exceptional interpersonal skills to establish and maintain positive working relationships
Ability to communicate effectively both verbally and in writing with people of all levels of education and experience
Ability to understand and analyze projects of all levels of complexity and translate that understanding into documentation suitable for non-technical staff.
Ability to gather data and use reference materials to recommend solutions to end user problems.
Exceptional ability to grasp long-term organizational goals and ability to discern and prioritize both short-term and long-term project tasks to meet those objectives
Exceptional understanding of business process analysis principles and concepts
Exceptional application testing and QA knowledge and abilities
Strong understanding of project management principles
Understanding of relational database principles and concepts
Exceptional critical thinking, problem solving, and reasoning skills
Strong knowledge of the financial industry.
Ability to follow direction and lead others in relation to assigned projects

PREREQUISITES FOR THE POSITION

Education: Bachelor degree preferred.
Minimum Experience: 3-5 years comparable working experience in documentation of systems, technical writing, and project management or 7 years of comparable and progressively responsible work experience. Experience working in the financial industry and knowledge of Symitar systems or other credit union data processing software is highly desirable.
Personal Characteristics and Skills: Must be of the highest integrity and with personal habits above reproach. A positive attitude and teamwork mentality is essential. Must practice confidentiality. Must be a mature person with sound judgment. Must have a high degree of self- motivation, organizational skills, and be able to work independently with the ability to make sound decisions. Must be able to take directions and seek the council of supervisor as necessary.
Technical Skills: Programming languages: HTML, JavaScript, and XML desired. Programming Tools: MS Visio, Adobe Photoshop, or Symitar integrated Report Generator software desired.
Working Conditions: Continuous alertness, precision, and concentration to ensure accuracy. Continuous alertness of surroundings for security purposes. May require performing basic numeric calculations, as well as writing, reading, comparing and analyzing. Exposed to potentially hazardous conditions, i.e., robbery. This position may require extended or irregular hours. Continuous standing and/or sitting for long periods of time when performing duties related to this position. Occasional bending, squatting or kneeling. Occasional reaching above shoulder level to reach supplies overhead. Continuous speaking and hearing for interactions with members and co- workers.

Job Type: Full-time

Pay: From $64,978.00 per year

Benefits:

401(k)
401(k) matching
AD&D insurance
Dental insurance
Dependent health insurance coverage
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities

Experience level:

3 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Wasilla, AK 99654: Reliably commute or planning to relocate before starting work (Required)

Experience:

SQL: 1 year (Preferred)

Work Location: In person",1948,Investment & Asset Management,$5 to $25 million (USD),Financial Services,501 to 1000 Employees,Nonprofit Organization,True
Business Analyst,"Resource Data, Inc.
","Anchorage, AK",$56K - $86K (Glassdoor est.),4.4,"Your current position isn’t providing the kind of challenge and intellectual stimulation you felt when you first started. You might not be called a “Business Analyst” by title, but that’s what you’ve done—reviewed systems, suggested improvements, and helped your IT department make an impact in the business. Now you’re ready to do it for others… and that’s why we should talk. It’s time to throw your hat in the ring and see what you’re capable of!

Resource Data is a GIS and software development consulting company working on projects in a variety of industries. Our Business Analysts work directly with clients, adding value by helping our development teams be more effective and successful. A career here as a Business Analyst probably looks a bit different than it does in other businesses. Let’s take a look at what it might be like.

In the first 30 days…

You’ve started a project, introduced yourself to the client and stakeholders, and already sat through your first project meeting.
More importantly, you’ve come up to speed on a brand-new industry and you’re excited to learn more..

After 90 days, you’re hitting your stride…

You’ve started producing documents that helps the technical team deliver meaningful functionality.
You’ve built a rapport with the client and they appreciate your objective analysis of their business processes. They are now inviting you to attend brainstorming sessions.
You’ve been able to work with disparate business systems and system owners to facilitate data exchange and system integration within the business.
Your calm and confident demeanor has allowed you to easily navigate potentially difficult client situations.

One year after you’ve started, let’s look at some of the things you can do…

You’ve now worked on several projects and have developed relationships with coworkers and clients; you now consider them friends.
You’ve gained technical skills so that you can identify data element inconsistencies between systems. The development team completely trusts and respects your analysis ability.
You’re participating in some of RDI’s internal working groups and taking on a few targeted initiatives to improve internal processes and standards.
Your ability to quickly digest and remember information now spans into the technical realm. Many of the senior developers appreciate your ideas for resolving logical and technical problems.
Regardless of the forum or medium, you’re able to follow along and contribute to important discussions at the right time.

Simply put: the projects you’re on stay on track, and clients are happy with the results.

Could you see yourself on this sort of trajectory? You may wonder: What background do I need? Am I qualified? Excellent written and verbal communication skills are a must, as is some level of proficiency with software packages like Microsoft Office and Visio. We also expect some previous exposure to IT projects. That being said, we’re way more interested in what you’ve done than what your skills are, so please tell us a bit about yourself. Send us some examples of going above and beyond. What are some of the projects and achievements you are most proud of? Tell us a bit about those and your contribution. We’re excited to hear from you.

Resource Data is a consulting company—clients hire us because we’re good, and we deliver results. Expectations are high, but the work is never boring. We support our employees with long-term stability, schedule flexibility, a healthy work-life balance, and great coworkers.

People, technology, results: That's what we're all about.",1986,Enterprise Software & Network Solutions,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Sr. Business Analyst,"Resource Data, Inc.
","Anchorage, AK",$62K - $94K (Glassdoor est.),4.4,"As a Senior Business Analyst with Resource Data, you will be responsible for eliciting, analyzing and documenting requirements as needed, including determination of system impact and software configuration. You will also participate with customers and internal functions as appropriate throughout the development, testing, and implementation processes. Research and evaluate alternative approaches and recommend efficient and cost effective solutions and help contribute to activities to improve quality and advance the overall analysis practice throughout the organization.

Job Responsibilities

Interacts with clients to define requirements and understand clients’ business processes and needs.
Establishes and maintains communication channels between Resource Data and client subject matter experts to monitor and improve client satisfaction.
Documents technical and business processes/workflows in narrative and diagrammatic forms following Resource Data, client, and industry standards and guidelines.
Creates targeted documentation for diverse audiences, leveraging prior experience to identify appropriate documentation type and approach given the project’s size and scope.
Reviews documents and recommends revisions or changes to document’s approach, scope, production method, or dissemination.
Evaluates and recommends commercial off-the-shelf solutions where appropriate.
Assesses enterprise software solutions and how they could improve the client’s business.
Applies acquired business analysis practices and techniques on projects that involve new or unfamiliar industry domains.
Identifies assumptions, gaps, or risks within the project that may affect successful project completion. Works with Project Managers and senior technical staff to mitigate or address.
Maintain communication between different project stakeholders to provide them with relevant updates and request feedback as needed.
Works with senior technical staff on the project team to ensure that developed software meets client business requirements.
Establishes and maintains communication channels between Resource Data and all levels of client project personnel to monitor and improve Resource Data client satisfaction and the chances of project success.
Participates as needed in various testing activities such as writing test plans, identifying test scenarios, writing testing scripts, execute testing, reporting bugs, etc.

Required Skills & Experience

Bachelor’s degree or equivalent work experience
Minimum of 5 years’ experience as a Business Analyst with emphasis on Software or IT
Excellent verbal and written communication skills
Self-motivated, diligent, organized and thrive in a fast-paced environment.
Experience with Agile and other project management frameworks, as well as Software Development Life Cycle (SDLC) processes
3+ years of experience with technical writing for audiences such as Software Engineers, System Administrators, or other IT and business professionals
Extensive experience with software applications, including Microsoft Office - Word, PowerPoint, Excel, and Visio

Desirable Skills and Experience

IIBA Certified Business Analysis Professional
Technical Writing Certification or professional education
Experience with SQL and other report writing tools.
Agile Training and/or Certification(s)
Experience with project management
Experience with State Government

About Resource Data

Starting in Alaska 35 years ago, Resource Data has grown to about 185 professionals in 5 offices across the United States. We’re ready and eager to demonstrate high value results to local clients through our commitment to people, technology, and results.

Resource Data is an Equal Opportunity Employer. Unfortunately, we are not able to provide any visa sponsorship or transfers for this position. #LI-Onsite",1986,Enterprise Software & Network Solutions,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Operations & Maintenance Analyst,"ConocoPhillips
","Anchorage, AK",$61K - $90K (Glassdoor est.),4.2,"Category
Upstream Technician
Location
Anchorage, Alaska
Job ID
REQ-001758



Welcome to ConocoPhillips, where innovation and excellence create a platform for opportunity and growth. Come realize your full potential here.

Who We Are

We are one of the world’s largest independent exploration and production companies, based on proved reserves and production of liquids and natural gas. With operations and activities in 13 countries, we explore for, develop, and produce crude oil and natural gas globally. We are challenged with an important job to safely find and deliver energy to the world. Our employees are critical to our success, and with them we power civilization.

We’re grounded by our SPIRIT Values – safety, people, integrity, responsibility, innovation, and teamwork. These values position us to deliver strong performance in a dynamic business – but not at all costs. We believe it’s not just what we do – it’s how we do it – that sets us apart.

We strive to make a significant difference in the communities where we live and operate. We create an inclusive environment that values all voices and opinions. Together, the different backgrounds, experiences, ideas, and perspectives of our employees drive our success.

Job Summary
Alaska Overview

ConocoPhillips is Alaska’s largest crude oil producer and largest owner of exploration leases, with approximately 1.2 million net undeveloped acres at year-end 2022. The company produced an average of 200 thousand barrels of oil equivalent per day in 2022. ConocoPhillips has major ownership interests in two of North America’s largest legacy conventional oil fields, both located on Alaska’s North Slope: Kuparuk, which the company operates, and Prudhoe Bay. Additionally, ConocoPhillips operates several fields on the Western North Slope. The company has an ownership interest in the Trans-Alaska Pipeline System (TAPS) and owns/operates the Polar Tankers fleet.

Summary:

The O&M Analyst leads Alaska’s Plant Maintenance program. The role utilizes advanced analytics methodologies to manage the quality of master data, identifying/implementing new process workflows to streamline Capital Project to Operations data handover and partnering with our Willow team to move Alaska from a document centric to a data centric model across all North Slope assets.
Job Description
Your responsibilities may include:
Support and comply with the Health, Safety and Environmental (HSE) Management System. Actively participate in proactive safety processes
Evaluate historical, status quo data practices and identify opportunities for improvement
Develop analytical tools to proactively identify incorrect and/or missing information across our entire master maintenance data sets (functional locations, documentation/DMS, plant maintenance, product structures, etc.) and implement additional tools, processes, etc. to correct
Partner with the Capital Projects, Supply Chain, Materials, etc. organizations to ensure data flow processes are efficient, accurate and timely
Become an expert within the SAP Plant Maintenance (PM) module and gain insight to Operations acumen
Support on-going initiatives such as the PM Rationalization project, Willow data integration and Maintenance Strategy re-design
Manage day-to-day responsibilities which include creating/updating/inactivating maintenance plans to support Operational changes
Liaison between NextGen teams and assist with future data conversion efforts
Periodic travel to our North Slope assets to meet crafts, leads, and superintendents to cultivate a positive working relationship and maintain an understanding of how the PM program provides efficiencies in the field
Provide guidance and/or training as needed to ensure North Slope workers understand how to access, use and report on their data
Develop a strong relationship with IT and Operations groups at Corporate
Qualifications
Basic/Required:
Must be legally authorized to work in the United States on a full-time basis for anyone other than current employer
Bachelor's degree or higher in Computer Information Systems or related technical field or foreign equivalent
1+ years of experience with SAP PM Module
Advanced level of proficiency with MS O365 applications: Excel, Outlook, PowerPoint, Word, SharePoint, and Teams
Intermediate level of proficiency with reading and understanding engineering drawings and documents
Advanced level of knowledge in SQL
Intermediate level of knowledge of oil field processes, equipment and maintenance practices
Preferred:
3+ years of experience with SAP PM Module
3+ years of programming experience across multiple languages
3+ years of experience with analytic tools such as Spotfire, PowerBI, etc.
Advanced level written and oral communication skills
Ability to work effectively in a team environment with technical, operations, maintenance and regulatory compliance personnel
Invites dialogue to gain a shared understanding and influences with confidence to drive performance and achieve business results
Builds strong relationships based on trust and seeks opportunities to collaborate across the matrix/organizational boundaries to achieve business goals
Drives thoughtful and pragmatic change by encouraging innovative thinking and continuous improvement. Models adaptability by responding resourcefully, flexibly, and positively when faced with new challenges and demands
Analyzes stakeholder needs, global, political, and market trends to understand how they shape the future and impact our business results.
Apply Before: December 2, 2023
Sponsorship:
ConocoPhillips’ sponsorship for employment authorization in the U.S. is NOT available for this position.
EEO:
In the US, ConocoPhillips is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, national origin, age, disability, veteran status, gender identity or expression, genetic information, or any other legally protected status.",2002,Energy & Utilities,$1 to $5 million (USD),"Energy, Mining & Utilities",501 to 1000 Employees,Company - Public,False
Technology Business Analyst- Contractor,"EY
",United States,$55.00 - $85.00 Per Hour (Employer est.),3.9,"We currently have a contract opportunity for a Technology Business Analyst- Contractor.

Lead the effort to plan, scope, gather, understand and analyze business requirements, and translates business requirements into functional and non-functional requirements
Apply business analysis knowledge areas and creativity to drive requirements work effort ranging from planning, elaboration, analysis, validation to communication through the different stages of the requirements lifecycle
Lead the effort to engage with business and technology partners to clarify application functions, processes and data flow to align business and technology capabilities or constraints
Integrate the solution into the business workstreams, which may include the provision of enablement materials and training agenda to facilitate adoption and integration of the product and processes into the business cycle
Verify, through different testing practices (ex. UAT), that the solutions meet the functional specifications and resolve specified business problems
Have awareness of technology components and their relevancy to the functional modules, especially their advantages in advancing business position and improving user journey
Skills

devops

agile

Qualifications
Bachelor's degree in Business Administration, Business Management, Computer Science, Engineering or related field preferred
At least 5 years of experience with significant role interacting with business and technology leaders to define business operations, workflows and technology solutions
Experienced and accountability in the functional architecture of products, product portfolios or solution accelerator with at least $3m of investment, $1m if using leading cutting edge innovative technologies
Have experience in Agile framework participating directly in Agile practices and producing common artifacts
Understand product development and delivery framework especially Agile framework, DevOps practices and micro services

The expected pay rate range for this contract assignment is $55 to $85 per hour. Exact pay rate will vary based on skills, experience, and location.

GigNowOpportunities

#GigNowTechOpportunities

Equal Employment Opportunity Information
EY provides equal opportunities to applicants, employees, contractors, vendors, and stakeholders without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, pregnancy, genetic information, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, in accordance with applicable law. If you are an individual with a disability and either need assistance applying online or need to request an accommodation during any part of the application process, please email gignow.recruiting@ey.com.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Unknown,False
HR Operations Analyst,"Kaztronix
",United States,$29.00 Per Hour (Employer est.),3.6,"The Global HR Operations team is responsible for delivering reliable, high-quality operational support for a wide range of key HR business processes and services across multiple channels and platforms. We are seeking to hire an HR Operations Analyst to join our Global HR Operations Team as we continue to expand and grow globally. We are looking for an enthusiastic problem-solver who has excellent attention to detail with a passion for organization, clean data and coordinating projects, utilizing all of these attributes.

Duties include: Provide administrative support for all offboarding (voluntary and involuntary) projects. Act as an audit point for any offboarding activities. Maintain and update HCM for any employee activities as needed. Provide support with backlog filing, scanning and archiving projects along with any new projects. Management of employee documentation both digitally and manually, where required. Support the movement of data between core HR systems and downstream systems including Payroll, Equity, and Benefits. Ensure that all transactions are accurate and compliant with current SOX and internal control guidelines. Requirements: HR Domain Knowledge with at least 1-2 years experience in an operations role. Exceptional customer service skills with a continuous improvement mentality. Ability to work complex issues, attention to detail, process re-engineering. Ability to partner with multiple HR colleagues, partners and clients internationally.

Preferred Qualifications: BA/BS Degree Experience with HR Management Systems (Workday, ServiceNow, PeopleSoft). Intermediate-level skills in Microsoft Office. Experience in an HR Shared Services or HR Operations environment.

Kaztronix is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, sex, age, religion, disability, veteran status or any other consideration made unlawful by federal, state or local laws. In addition, all human resource actions in such areas as compensation, employee benefits, transfers, layoffs, training and development are to be administered objectively, without regard to race, color, religion, age, sex, national origin, disability, veteran status or any other consideration made unlawful by federal, state or local laws.

By applying to the position, you acknowledge that your information will be used by Kaztronix in processing your application.",2002,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
Sales Analyst I,"Flowers Bakeries, LLC
",United States,-1,3.5,"The primary goal of the Sales Analyst I is to support Kroger sales team, competitive and/or market intelligence reporting of the company by efficiently building and maintaining reports in Business Objects (Sales Data Warehouse), IRI, AC Nielsen or other systems as directed. The Associate Sales Analyst provides database, report, master data and application validation for the reporting applications that they are assigned and support. They utilize test plans that have been developed by senior members of the team. They provide analysis for the management team as requested. Objective analysis, solid spreadsheet technical knowledge, word processing, written presentation preparation, and clear communication skills are required. Requires constant interaction with work group and other departments at the primary work location. Position requires demonstration of competency for all on-the-job activities that may have a direct or indirect effect on product safety, legality and/or quality.

Job Responsibilities
Responsibilities include, but are not limited to:

Provide support to the sales, marketing and management team by providing analysis and reports from the available tools such as AC Nielsen, IRI, Consumer Panel Data, Sales Data Warehouse, Retailer’s systems.
Support the team by completing spreadsheets and forms that support established business processes.
Continually measure, monitor and modify tactics to show progress against the team’s strategic goals.
Practices and complies with all Company policies and procedures (EEO, Harassment, Safety, Sarbanes Oxley, etc.). Performs other duties which are deemed by management to be an integral part of the job, including but not limited to fulfillment of work schedules, adherence to attendance policies, and other applicable operating rules, policies and procedures.

Desired Experience
1+ years of sales analytic or related experience (preferred)
Desired Education
Bachelor’s degree in related field.

We offer a competitive salary and an excellent total rewards package. Please reply by 12/07/2023. Resumes are active for 30 days. Interested job seekers who successfully complete the series of pre-screening questions and who appear to possess the basic qualifications for this position may be contacted for a telephone interview.


Equal Opportunity Employer/Veterans/Disability


If you need assistance with submitting your resume due to a medical condition or disability, please send an e-mail to Malinda Gwen Black at Malinda.Black@flocorp.com or 334 707-1986 .",1919,Food & Beverage Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
