Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
"Financial Analyst I, Financial Business Services","Sutter Health
","Sacramento, CA",$30.50 - $44.23 Per Hour (Employer est.),3.8,"Organization:

SMF-Sutter Med Foundation- Central

Position Overview:

Performs activities to support financial reporting, planning, forecasting and analysis. Participates in the planning and development of operating and capital budgets, and monitoring financial operations. Reviews and analyzes financial and operational data to identify trends and variances, and assists in other analysis or accounting activities. Supports the maintenance of cost accounting system, reviewing, validating, updating and reconciling system data.


This is position is eligible to work from home. Open to Northern California applicants only.

Job Description:

EDUCATION:
Equivalent experience will be accepted in lieu of the required degree or diploma.

Bachelor's: Finance, Accounting, Economics, Business Administration or related field or equivalent education/experience


SKILLS AND KNOWLEDGE:

Knowledge of accounting and financial operations and processes.
Understanding of Generally Accepted Accounting Principles (GAAP).
Knowledge of computerized accounting/financial systems and how it’s used in compiling, recording, maintaining accounting/financial transactions and information.
Knowledge of financial analysis principles and methods.
Ability to read, comprehend, and apply policies, procedures, practices, and regulatory & legal requirements.
Ability to learn and understand new processes and concepts quickly.
Ability to compute and apply basic mathematical functions and computations, including percentages, decimals and prorated amounts.
Demonstrates critical thinking and analytical abilities.
Demonstrates ability to analyze financial data and information and translate into reports and presentations for appropriate audience.
Organization skills and attention to details.
Displays a customer service focus in all decisions and actions.
Ability to prioritize workload to complete assignments accurately and timely, and to meet strict timelines.
Ability to communicate through verbal and written means, and to understand and follow verbal and written instructions.
Ability to interact and maintain effective working relationships with those contacted in the performance of required duties.
Demonstrates respect for cultural and linguistic differences and promotes an inclusive work environment.
Demonstrates initiative in providing feedback/input to improve workflow/processes.
Ability to work effectively in a dynamic and fast-paced environment with changing business priorities.
Ability to maintain and work discreetly with confidential information.
Ability to use essential applications and/or databases associated with the role’s duties and responsibilities.

Job Shift:

Days

Schedule:

Full Time

Shift Hours:

8

Days of the Week:

Monday - Friday

Weekend Requirements:

None

Benefits:

Yes

Unions:

No

This position is work from home eligible.

Position Status:

Non-Exempt

Weekly Hours:

40

Employee Status:

Regular

Number of Openings:

0

Sutter Health is an equal opportunity employer EOE/M/F/Disability/Veterans.

Pay Range is $30.50 to $44.23 / hour

The salary range for this role may vary above or below the posted range as determined by location. This range has not been adjusted for any specific geographic differential applicable by area where the position may be filled. Compensation takes into account several factors including but not limited to a candidate’s experience, education, skills, licensure and certifications, department equity, training and organizational needs. Base pay is just one piece of the total rewards program offered by Sutter Health. Eligible roles also qualify for a comprehensive benefits package.",1981,Health Care Services & Hospitals,$5 to $10 billion (USD),Healthcare,10000+ Employees,Nonprofit Organization,False
Business Analyst,"California Public Employees' Retirement System (CalPERS)
","Sacramento, CA",$6K - $10K (Employer est.),4.0,"The California Public Employees’ Retirement System (CalPERS) is the nation’s largest public pension fund, providing retirement and health benefits to public employees, retirees, and their families. Headquartered in downtown Sacramento, we are a destination employer with an international reputation for leadership and innovation. At CalPERS, we’re committed to people – the people we serve, our team members, and the larger community around us. CalPERS is situated near the Napa Valley, San Francisco, Lake Tahoe, and other desirable destinations, and we offer competitive benefit packages, compensation, and opportunities for advancement.

Anticipated Interview Dates: We anticipate holding virtual interviews beginning the week of January 2, 2024. We look forward to meeting with you!

Telework Information: This position is eligible for a hybrid work schedule, with up to two days of remote work and three days or more onsite, per week.

Are you passionate about solving business problems with innovative solutions? Our Enterprise Solutions Development Division is seeking two Information Technology Specialists I. These team members will serve as Business Analysts and Product Owners, working on enhancements to our diverse portfolio of applications and assisting in the implementation of new technologies.

Job Type: Full-time

Pay: $5,960.00 - $9,643.00 per month

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Retirement plan
Vision insurance

Work Location: Hybrid remote in Sacramento, CA 95811",1932,Investment & Asset Management,$10+ billion (USD),Financial Services,1001 to 5000 Employees,Government,False
Sr. Workday Business Systems Analyst,"SystemsAccountants
",California,$120K - $160K (Employer est.),4.2,"Job Description:
The Senior Business Systems Analyst for Workday is responsible for working with key stakeholders to clarify and document business requirements, configure, test, and implement Workday solutions. The Business Systems Analyst will work directly with the Payroll, HR, and Accounting teams to resolve issues as they arise, lead the planning, prioritization, design, development, and deployment of new projects & system enhancements, and provide day-to-day systems support to the business partners. The qualified individual is required to create specifications, configure, and execute unit, integration, and acceptance testing and troubleshoot issues across multiple areas to identify errors or deficiencies. The position is located in San Jose, CA.

ESSENTIAL FUNCTIONS:

Leads/facilitates sessions with the business community to define and plan the deployment of application solutions and enhancements
Functions as the Point of Contact for Workday Payroll, Time Tracking and Absence by driving the implementation, and release of new functionality, enhancements, and operational tasks
Works collaboratively with senior leadership and key stakeholders to understand business requirements and incorporate them into software solutions
Clarifies and documents business requirements, configures Workday Time Tracking and Payroll products, and creates process documentation
Acts as a Payroll Functional SME liaison between Payroll & Human Resources, and IT
Leverages business knowledge and expertise in identifying, evaluating, and developing systems and procedures for process improvements
Facilitates review sessions with functional owners, subject matter experts, and end-users
Provides support for year-end reporting and other year-end activities in Workday
Responsible for ensuring successful maintenance and configuration of Workday solutions, including redesigning existing processes using new features, while understanding and recommending the optimized approach for implementing new features
Works with end-user groups to take in usability feedback, improve employee experience and drive end-user adoption through communications and training
Ensures systems and processes comply with Sarbanes-Oxley (SOX)and other internal controls
Assists the Disaster Recovery Specialist with designing and implementing all disaster recovery tasks
MINIMUM QUALIFICATIONS:

Bachelor’s degree in Human Resources, Accounting, Information Systems and/or equivalent relevant experience
Five years of Workday Payroll, Time Tracking, and Absence processing expertise. Conceptual knowledge of third-party integration
Strong time management skills with the ability to prioritize effectively
Proven customer service and change management skills
Proficient in the use of Microsoft Office applications
Must demonstrate a high understanding of Payroll and Time Tracking/Absence business concepts, processes, and IT implications and options
Valid California Driver’s License
Required Knowledge, Skills, and Abilities:

Demonstrated skills in planning and coordinating projects, developing functional specifications, and business cases as well as developing and executing test plans
Anticipates, plans, creates, and executes test scenarios and troubleshoots issues resulting from enhancements, configuration changes or system fixes, which requires a thorough understanding of the functional process and data
Experience managing system updates and releases
Understands security features and controls and data privacy regulations
Ensures that processes and procedures adhere to defined audit and internal controls
Certification in Workday Payroll or Absence is desired as well as any other Workday certifications
Demonstrated competence using the Workday Report Writer
Strong communication skills with the ability to communicate with parties from various levels and backgrounds",1997,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,False
JC-403260 -Telework Option - Hybrid - Enterprise Quality Assurance Analyst,"California Department of Housing and Community Development
","Sacramento, CA",$5K - $8K (Employer est.),3.9,"Job Duties

This position is eligible for hybrid telework and may report to an office 2 days per week, under California Government Code Section 14200. Telework-eligible applicants must reside in California.

Under general supervision of the IT Supervisor II, the Information Technology Associate provides services which encompass the IT domain of Software Engineering. The incumbent serves as a quality assurance testing specialist, in support of application testing for enterprise initiatives and projects; must use judgment in interpreting and adapting guidelines such as policies, operations manuals, and work directions for application to specific cases or problems.

Desirables

Quality Assurance/Testing Experience in an Agile environment.
Experience using Jira automated test tools.
Experience with test scenario planning sessions.
Excellent verbal and written communication skills
Business Analysis knowledge or experience.

Essential Functions

Review requirements and technical design documents to provide timely and meaningful feedback. Participate in team walkthroughs of requirements and design. Assist with innovative analysis to drive test plan design to implement enhancements to the application and database. Facilitate development and implementation of test plans, test cases, test scripts, and testing timelines and schedules. Coordinate and prepare necessary documentation for test planning, functional and non-functional testing, user acceptance testing, end user training, and initial system implementation. Plan testing walkthroughs and presentation of test case scenarios ensuring they meet business requirements and objectives.

Conduct thorough testing with logical and thoughtful approach, develops test scenarios and conditions data, utilizing design documentation, system requirements, change/enhancement requests, and other technical specification documents. Adhere to industry best practices, standards, and guidelines for conducting complex system testing tasks. Execute test cases and scripts, verify and report test results, document defects, and submit recommendations for corrective programming action including providing feedback on functionality, screen design, and usability.

Create and maintain test repository and ensure that test-product documentation is complete. Provide management with various reports regarding testing workloads, testing progress, and recommends changes to testing techniques. Create and present documents to management with respect to policies, processes, procedures, standards, and industry best practices. Keep management informed of progress on complex testing activities. Develop and provide quality assurance provide presentations.

Develop appropriate onboarding materials and provide on the job training for new and existing testing staff Attend regularly scheduled section and branch meetings, as well as training classes. Review technical journals or websites to acquire and maintain knowledge of applicable, emerging procedures and new industry best practices. Other related duties as assigned.

Job Type: Full-time

Pay: $4,516.00 - $7,998.00 per month

Benefits:

Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift

Work Location: Hybrid remote in Sacramento, CA 95833",1909,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,1001 to 5000 Employees,Government,False
Business Analyst - Remote (WFH),"Cognitive Medical Systems
","Sacramento, CA",$64K - $98K (Glassdoor est.),3.8,"Functional Role: Business Analyst/Tech Writer

LCAT: Business Analyst


CivitasDX, LLC, is seeking a Business Analyst to support the VA T4NG Consolidated Corporate Support Services (CCSS) program’s Financial Management Product Line (FMPL) serving our Department of Veterans Affairs Corporate Portfolio clients across the entire U.S. The CCSS contract is currently delivering under its recently-awarded Option Period 2 (12 months), with one additional one-year option periods that can be exercised, with a TCV valued at $96M overall.


Responsibilities include:

Works with the scrum master, developers, and business stakeholders to analyze, elicit and facilitate requirements documentation for enhancements to the accounting reports system.
Conduct in-depth assessments of current processes, identifying bottlenecks and inefficiencies.
Develop comprehensive documentation outlining existing and proposed business processes, ensuring clarity and precision.
Gather and analyze data for business process improvements.
Communicate and validate requirements with relevant stakeholders.
Proficiently manage and maintain process documentation repositories and version control systems.
Collaborate closely with subject matter experts, developers, and stakeholders to produce clear and comprehensive technical documentation.
Translate complex technical information into user-friendly, easily understandable documentation.
Implement and maintain documentation standards and templates to ensure consistency and quality.
Work effectively in a remote or distributed team environment.


Required Skills:

Knowledge of: Agile, Scrum/Kanban, Accounting
Business Analyst skills: documenting business user stories / acceptance criteria, Business Process Analysis/documentation
Tools: Jira, Microsoft Office


Required Education, Experience and Clearance:

Bachelor’s and 3 or more years’ experience, -OR- equivalent relevant experience
Ability to obtain a VA Position of Public Trust – Medium Background Investigation (MBI)


Desired Skills:

Strong analytical, verbal, and written communication skills with a keen eye for detail.
Self-starter with a positive attitude and very good interpersonal skills.
Strong work ethic with ability to self-manage workload and deliverables under tight deadlines.
Experience working within VA’s technical, network, and data center environments a plus.
Government/Veteran Affairs accounting experience a plus.
Excellent facilitation skills.",2010,Computer Hardware Development,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Technology Business Analyst- Contractor,"EY
",United States,$55.00 - $85.00 Per Hour (Employer est.),3.9,"We currently have a contract opportunity for a Technology Business Analyst- Contractor.

Lead the effort to plan, scope, gather, understand and analyze business requirements, and translates business requirements into functional and non-functional requirements
Apply business analysis knowledge areas and creativity to drive requirements work effort ranging from planning, elaboration, analysis, validation to communication through the different stages of the requirements lifecycle
Lead the effort to engage with business and technology partners to clarify application functions, processes and data flow to align business and technology capabilities or constraints
Integrate the solution into the business workstreams, which may include the provision of enablement materials and training agenda to facilitate adoption and integration of the product and processes into the business cycle
Verify, through different testing practices (ex. UAT), that the solutions meet the functional specifications and resolve specified business problems
Have awareness of technology components and their relevancy to the functional modules, especially their advantages in advancing business position and improving user journey
Skills

devops

agile

Qualifications
Bachelor's degree in Business Administration, Business Management, Computer Science, Engineering or related field preferred
At least 5 years of experience with significant role interacting with business and technology leaders to define business operations, workflows and technology solutions
Experienced and accountability in the functional architecture of products, product portfolios or solution accelerator with at least $3m of investment, $1m if using leading cutting edge innovative technologies
Have experience in Agile framework participating directly in Agile practices and producing common artifacts
Understand product development and delivery framework especially Agile framework, DevOps practices and micro services

The expected pay rate range for this contract assignment is $55 to $85 per hour. Exact pay rate will vary based on skills, experience, and location.

GigNowOpportunities

#GigNowTechOpportunities

Equal Employment Opportunity Information
EY provides equal opportunities to applicants, employees, contractors, vendors, and stakeholders without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, pregnancy, genetic information, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, in accordance with applicable law. If you are an individual with a disability and either need assistance applying online or need to request an accommodation during any part of the application process, please email gignow.recruiting@ey.com.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Unknown,False
PeopleSoft Business Analyst,"Qualapps Inc
","Sacramento, CA",$65.00 Per Hour (Employer est.),4.2,"QualApps is looking for a Artificial Intelligence Consultant for one of its Public Sector clients (govt entity) based in Sacramento, California. The candidate should have the following skills/experience.

1. Minimum of five (5) years of experience as functional subject matter expert in Oracle PeopleSoft FSCM version 9.2 across General Ledger, Accounts Payables, Accounts Receivables, Costing, Cash Management, Asset Management, Grants Management, eProcurement, and Purchasing modules.

2. Minimum of five (5) years of experience with Oracle PeopleSoft FSCM version 9.2.

3. Minimum of five (5) years of experience with Oracle PeopleSoft FSCM analysis, documentation, and functional support.

4. Minimum of five (5) years of experience in gathering and documenting business requirements.

5. Minimum of five (5) years of experience in documenting and analyzing as-is business processes, developing to-be business processes, and serving as the liaison between State business areas and technical resources.

Job Type: Contract

Pay: From $65.00 per hour

Experience:

Oracle Peoplesoft FSCM 9.2: 5 years (Required)

Work Location: In person",-1,-1,$1 to $5 million (USD),-1,1 to 50 Employees,Company - Private,True
Information Technology Specialist I - Business Analyst - 352805,"California Correctional Health Care Services
","Elk Grove, CA",$72K - $116K (Employer est.),3.3,"Information Technology Specialist I - Business Analyst - 352805
Job Number:

6062009

Location:

Headquarters - Elk Grove

Department Name:

California Correctional Health Care Services

Region:

Northern California

Time Base/FT/PT:

Full Time

Closing Date/FFD:

Until Filled

Information Technology Specialist I - Business Analyst - 352805
$71,520 - $115,716 Annual Range
CCHCS seeks to fill a permanent/full-time Information Technology Specialist I position in the Information Technology Services Division.

Under the direction of the Information Technology (IT) Supervisor II, the IT Specialist I, serves as the Business Analyst, demonstrating an in-depth understanding and level of expertise of Application Services and Technologies, performs the most complex business analyst tasks timely and independently; may act as a project leader, scrum master on assigned activities related to the development and maintenance of application services and technologies. Supports enterprise application development efforts which may include planning, analysis, design, development, testing, and deployment, user training, and troubleshooting to perform a wide variety of tasks requiring regular innovative problem-solving. The incumbent must maintain confidentiality of information acquired while performing job duties, demonstrate ethical behavior and work cooperatively with others. Travel to institutions and after hours support of California Correctional Health Care Services (CCHCS) software applications and systems may be required due to operational need.

Resume is REQUIRED.

This position is posted until filled. The internal cutoff dates for applications are:

2/6/23
2/21/23
3/7/23
3/21/23
4/4/23

Please apply here: https://www.calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=352805
Please review the appropriate bulletin/assessment on the Bulletin for the Minimum Qualifications and, if qualified, complete the Assessment according to the instructions.

Contact Lee.Lor@cdcr.ca.gov or 279-800-6452 for your questions regarding the application process, and status of your application.
""CCHCS uses E-Verify in its hiring practices to achieve a lawful workforce. For more information about E-Verify, please go to www.e-verify.gov.""
EOE.",-1,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,Unknown,Company - Private,False
IT Business Analyst,JMAX Properties LLC,"Sacramento, CA",$90K - $110K (Employer est.),-1.0,"Primary responsibilities:

Gather requirements through end-user interviews and requirements workshops, surveys, and project meetings.
Collects and interprets customer business needs and translates into application, functional and operational requirements for technical team exploration, design, testing, and implementation
Document as-is and to-be processes to include process descriptions, uses cases, process mapping, gap & root-cause analysis, business process models, functional decomposition, item tracking, and risk analysis
Evaluate information gathered from multiple sources, reconcile conflicts, and decompose high-level information into details. Review and define information through iterative processing to arrive at best solution or improve an existing solution
Collaborate with internal analysts, technical teams, and external vendors in the development of requirements and deliver the following artifacts as needed: (BRD, FRD, Use Cases, GUI, including Screen and Interface designs) using natural and simple language.
Proactively communicate and collaborate with external and internal customers to analyze information needs.
Communicate information and make presentations to various audiences including executive, senior and mid-level managers, and customers
Work with project managers and other analysts to provide excellent customer service to clients and monitor all customer requests.
Maintain current and relevant training documentation in a centrally located repository.

Requirements:

Must: 7+ years experience in gathering business and technical requirements in a matrixed structured environment.
3-5 years working as Business Analyst in Insurance Industry is highly preferred
Must: Experience in producing business documentation such as gap analysis, BRD, FRD, issue tracking, process flows and training material.
Must: Experience in establishing, evaluating, designing and continuous improvement of business processes
Excellent Microsoft Suite experience, specifically Word, Excel, Visio, Outlook, and SharePoint
Bachelor's degree in Computer Science, IT, or related field is highly preferred

Job Type: Full-time

Pay: $90,000.00 - $110,000.00 per year

Benefits:

401(k) matching
Dental insurance
Health insurance

Experience level:

7 years

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in Sacramento, CA 95819",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,True
Junior Business/System Analyst,Business Advantage Consulting,"Gold River, CA",$64K - $101K (Glassdoor est.),-1.0,"We are actively looking for a Junior Business/System Analyst for a wide range of IT and business projects. As a Junior Analyst, you will have the opportunity to learn new skills and set the foundation for your career advancement toward a Senior Consultant as an Analyst, Project Manager, or other leadership role to assist large public and private sector clients with the IT consulting and modernization needs. We welcome your interest if you meet the following qualifications:

Bachelor’s degree (preferably in IT, computer science or a similar field of study)
Knowledge of process to document requirements and new processes/procedures
Knowledge of Agile with Scrum project management framework
Knowledge of System Development Lifecycle
Ability to analyze technical content and communicate the intent to non-technical audiences.
Strong written and verbal communication skills.
Demonstrated leadership skills

Please complete our Online Applicant Survey to apply for this role.",-1,Business Consulting,Unknown / Non-Applicable,Management & Consulting,Unknown,Company - Public,False
