Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Principle Engineer - Electric Tankless,Rheem Manufacturing,"Waterbury, CT",-1,-1.0,"A Career at Rheem: Where Comfort Is Your Calling

At Rheem, we are dedicated to bringing comfort to people’s lives. As a leading global manufacturer of heating, cooling and water heating equipment, we are innovating all-new ways to deliver just the right temperature while saving energy, water and supporting a more sustainable future. It is an exciting challenge that requires a team of talented, passionate people with a diverse set of skills. From engineers to accountants, sales professionals to support experts, Rheem depends on people to power our innovations. Join Rheem, and help shape the future of products that impact lives—every day.

The Principle Engineer is responsible for leading project and program development in the realization of general business product design objectives. Makes decisions and recommendations recognized as authoritative and has an important impact on extensive engineering activities. Applies judgment, in assistance to the manager, in determining program technical objectives and requirements, organizing programs and projects, and developing standards and guides for diverse engineering activities.

Responsibilities:

· Recognized leader and authority in their organization in a broad area of specialization or a narrow but intensely specialized field.

· Selects research problems to further the organization’s objectives and conceives and plans investigations or broad areas of considerable novelty and importance where engineering precedents are lacking in areas critical to the overall engineering program.

· Consulted extensively by associates and others with a high degree of reliance placed on their scientific interpretations and advice.

· Contributes inventions, new designs, or techniques that are regarded as major advances in their field.

· Participate in planning objectives and furthering business opportunities for the company derived from broad general objectives and limits.

· Support departmental priorities for all water heating development projects: Safety, Quality, Cost reduction, New product development

· Plan short-range and long-range water heating product development programs to achieve and fulfill: Market requirements, Good manufacturing practices, Product cost requirements, the Best balance of manpower, expense and desired program completion dates, Regulatory requirements

· Serve as a consultant in the process of solving field and production support that require design changes, component or material substitutions, etc.

· Provide sound estimates of time and expense required for engineering projects, Good communication channels for program progress up and down within the Division organization, Recommendations of personnel and facilities needed to accomplish engineering goals.

· Initiates and maintains extensive contacts with key engineers and associates of other organizations, regulatory agencies, and suppliers, requiring skill in persuasion and negotiation of critical issues.

· Assist the Manager in providing coaching, motivational and professional development advice to other members of the department.

· Participate in industry standards development activities when needed.

· Supervise employees assigned to the project group and be responsible for contractual fulfillment of the assigned projects. Define objectives, prepare specifications, plans and schedules and assign. responsibilities to subordinates. Coordinate the design, development, manufacture, test, and delivery of projects.

· Analyze and or perform research and testing on potential designs as they relate to numerous requirements including agency, shop, fit, cost, strength, and schedule.

· Prepare progress reports to management covering all phases of the project.

· Apply physical, electrical, and mathematical concepts to solve design problems, and the creation of new designs.

· Manage projects of large and small scale, to ensure the project is executed within time, cost, and budget constraints.

SUPERVISORY RESPONSIBILITIES: Yes.

Qualifications:

· Bachelor’s OR Master’s Degree in Mechanical Engineering.

· 5-8 years of related experience in project management within a product development environment, or a graduate degree with 5- 8 years of related experience in project management in a product development environment.

· 5+ years Providing work direction.

· Excellent communication skills, written and verbal, with attention to detail and accuracy.

· Proficient computer skills and in-depth knowledge of relevant software such as MS Office Suite and MS Project.

· Working knowledge of SolidWorks or equivalent design software.

· Demonstrated ability to work well with others in a matrix team environment.

· Strong analytical, problem-solving, communication, and leadership skills required.

· Management of large and complex projects from inception to completion.

· Knowledge of engineering release processes, lean manufacturing principles, six sigma, Design for Manufacturability and Assembly (DFMA), PCB Design software, Product life cycle, and controls.

· Comprehension of cost and financial accounting principles, vendor identification and development, capacity and methods analysis, and tooling and metal fabrication processes.

· Minimum 10 years experience in product design and development engineering.

· Ability to apply broad engineering principles related to mechanical, structural, electrical, and materials to the design of water heating products.

· Strong project management, analytical and financial skills.

· Excellent interpersonal and communication skills.

· Business analysis and decision-making skills.

· Familiar with the capabilities of typical design software utilized for CAD, FEA, CFD, etc.

· Experience with agency approval requirements and familiarity with appliance standards development

· Ability to write effective reports, business correspondence, and procedure manuals.

· Ability to effectively present information and respond to questions from groups of managers, clients, and customers.

· Must be capable of working in a Laboratory Test Facility around loud equipment.

· Ability to travel when required.

· History of regular and consistent attendance at work.

Preferred:

· Ph.D. Degree in Engineering with experience in product development, risk management, critical design and optimization analysis, the conceptualization of solutions involving novelty, and solving of previously unaddressed challenges not achieved by others in the industry.

· Experience in cross-functional project management education or training.

Rheem is an Equal Opportunity Employer

Notice to Third Party Recruitment Agencies:

Please note that Rheem and its subsidiaries do not accept unsolicited resumes from recruiters or employment agencies. In the absence of an executed Recruitment Services Agreement, there will be no obligation to any referral compensation or recruiter fee.

In the event a recruiter or agency submits a resume or candidate without an agreement, Rheem and its subsidiaries shall explicitly reserve the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, will become the property of Rheem.

Job Type: Full-time

Education:

Bachelor's (Preferred)

Experience:

Project Management: 5 years (Preferred)
Product Development: 5 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Guidewire Business Analyst,"NLC Insurance
","Norwich, CT",$78K - $105K (Employer est.),2.9,"Guidewire Business Systems Analyst

Job Posting

General Summary:

NLC is a mutual insurance company which has been writing property and casualty insurance in New England for over 150 years.

We are a progressive company seeking an energetic and skilled Guidewire Business Systems Analyst. Candidate will be responsible to: identify business needs, analyze the change, provide development support, and test Insurance software changes, enhancements, and solutions. Work with end user community to develop and document business requirements for NLC systems. Develop specifications and coordinate efforts of developers. Support testing through creation of test plans, coordination of testing resources and execution of tests conditions. Throughout the process, work with the project team to ensure the requirements are delivered, while supporting and communicating with the business through the implementation process. This role is based in our company’s Norwich, CT location.

Principal Duties and Responsibilities:

· Work directly with business users (Customer Service, Billing, Underwriting, Product and Claims) to understand business processes, gather & document requirements to implement system changes that meet business needs

· Performs comprehensive discovery and analysis activities to develop new or modified system requirements.

· Develop Use Cases, Functional Requirements, Screen Specs, Mockups, Process flows, and User Manuals

· Lead the review of specifications, user sign off procedures and the development of documentation for development and enhancement work.

· Interface with departments to ensure proper features are incorporated in all system changes. Provide user support, documentation and training during project implementation as well as ongoing maintenance support.

· Develop test plans and test schedules to ensure accuracy of systems as requested by end users; coordinate testing efforts in the Quality Assurance environment until user acceptance is obtained. Perform or assist as necessary in the quality assurance testing of developed projects.

· Assist in the coordination testing, training and implementation of system changes. Participate where appropriate.

· Monitor daily migrations to Quality Assurance function.

· Conduct post-production implementation reviews.

· Providing support to analyze production issues from business perspective

· Facilitate development with third party vendors when external resources are engaged, providing the same services utilized in internal development, including specification development, testing strategies, and implementation management.

· Participate as a member of the help desk team in supporting internal and external users in the use of the NLC systems and any specific requests for information from staff and agents.

Qualifications, Experience and Skills:

To qualify for this position you MUST have these required qualifications:

· Bachelor’s degree in Computer Science, Information Systems or equivalent experience

· 3+ years professional experience as a business systems analyst in an agile project environment

· 3+ years of property and casualty insurance experience with emphasis on personal lines and business owners lines of business

· Experience with Guidewire InsuranceSuite software; Version 8 or above for all three centers (Policy Center, Billing Center, Claims Center) a plus

· Experience with Consumer and Agent facing portals

· Experience with Jira or similar project management tool

· Technical proficiency, with the ability to understand data flows and the flow between complex, integrated systems

· Outstanding organizational, troubleshooting, and communication skills, both written and verbal, in both technical and non-technical forums

· Able to effectively work with remote users via Teams/Zoom/WebEx other virtual collaboration tools

· Able to work in a fast-paced environment with flexibility to meet continuously changing priorities

· Able to multitask, meet deadlines and stay calm under pressure

· Highly motivated self-starter; able to work independently

· Experience collaborating with Development and QA teams in a process-oriented organization

Disclaimer: The above statements are intended to describe the general nature and level of work performed by Guidewire Business Systems Analyst described by this job description. They are not attended to be constructed as an exhaustive list of all job responsibilities, duties and skills required of Guidewire Business Systems Analysts so described.

Job Type: Full-time

Pay: $78,000.00 - $105,000.00 per year

Benefits:

401(k)
401(k) matching
AD&D insurance
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Vision insurance

Compensation package:

Yearly pay

Experience level:

3 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Norwich, CT 06360: Reliably commute or planning to relocate before starting work (Required)

Experience:

Guidewire: 2 years (Required)
Agile: 2 years (Preferred)

Work Location: In person",-1,Insurance Agencies & Brokerages,$25 to $100 million (USD),Insurance,51 to 200 Employees,Company - Private,True
Business Engineer - Manufacturing Data Analyst,"ASML
","Wilton, CT",$86K - $115K (Glassdoor est.),4.1,"Location

Wilton, US

Team

Data and Analytics

Work experience

4-9 years

Educational background

Computer Science, Data Science, Other technical backgrounds

Travel

No

Remote work

Hybrid

Fulltime/parttime

Full time



Job ID: J-00288070
Introduction to the job

Join ASML Wilton today to receive your sign on bonus and relocation.

*Offer valid for Wilton, CT new hire offers made between now and December 31, 2023.

ASML US brings together the most creative minds in science and technology to develop lithography machines that are key to producing faster, cheaper, more energy-efficient microchips. We design, develop, integrate, market and service these advanced machines, which enable our customers - the world’s leading chipmakers - to reduce the size and increase the functionality of their microchips, which in turn leads to smaller, more powerful consumer electronics. Our headquarters are in Veldhoven, the Netherlands, and we have 18 office locations around the United States including main offices in Chandler, Arizona, San Jose and San Diego, California, Wilton, Connecticut, and Hillsboro, Oregon.

Do you want to enable data driven decision making in a manufacturing environment?

Do you possess a keen eye for detail as well as a birds eye view on the production process?

Do you have the ambition to build world class analytical solutions to drive ASML towards industry 4.0?

Then you are the candidate we are looking for to join the Business Engineering team as Manufacturing Data Analyst!

Please apply and challenge us to hire YOU !

This position requires access to controlled technology, as defined in the Export Administration Regulations (15 C.F.R. § 730, et seq.). Qualified candidates must be legally authorized to access such controlled technology prior to beginning work. Business demands may require ASML to proceed with candidates who are immediately eligible to access controlled technology.

Role and responsibilities

You will have strong stakeholder management skills both towards internal customers and internal suppliers.

You are able to translate internal customer demands into concrete requirements.

You develop quality reports to make the performance of factory processes transparent, translating data into actionable insights following agreed timelines.

You focus on customer experience, maintainability and automation of your analytical solutions.

Collaborate across sectors to define, develop, and implement structural reporting that supports long-term business objectives.

Be a Mentor/Coach within the team for more junior level team members

Provide data-driven analysis to support identification of patterns in product deviations.

In this position you will be able to further develop your analytical skills, business perspective, influencing skills, presenting techniques and project management capabilities.

There is always space for creative and unique points of view. You will have the flexibility and trust to choose how best to tackle tasks and solve problems.

Education and experience

BS degree in Data Science, Analytics, Engineering, Business, Finance, Computer Science or equivalent education experience.

Minimum of 4+ years of working experience as a Data Analyst/Analytics Developer including experience building Analytical products for internal consumption(E.g. Dashboards, automatic analysis, algorithms,).

Experienced with IT-systems in the area of production-control, preferably with Spotfire, Tableau, Power BI (Excel, SAP, SAP ME/BO, SAP HANA ), SQL.

Experience with advanced analytics (e.g. Process Mining, Machine Learning, AI, Imagine recognition, etc) or Industry 4.0 concepts (Digital twin, IOT, predictive/prescriptive manufacturing) preferred.

Skilled with internal stakeholder management.

Experience within a manufacturing environment or semi-conductor industry including ASML experience is a plus.

Experience with Scrum/Agile way of working is advantageous.

Skills

Working at the cutting edge of tech, you’ll always have new challenges and new problems to solve – and working together is the only way to do that. You won’t work in a silo. Instead, you’ll be part of a creative, dynamic work environment where you’ll collaborate with supportive colleagues. There is always space for creative and unique points of view. You’ll have the flexibility and trust to choose how best to tackle tasks and solve problems.

To thrive in this job, you’ll need the following skills:

Can observe and respond to people and situations and interact with others encountered in the course of work.

Can learn and apply new information or skills.

Must be able to read and interpret data, information, and documents.

Strong customer focus and commitment to customer satisfaction through prioritization, quality, efficiency and professionalism.

Ability to complete assignments with attention to detail and high degree of accuracy.

Proven ability to perform effectively in a demanding environment with changing workloads and deadlines.

Result driven-demonstrate ownership and accountability.

Identifies bottlenecks and drives improvements.

Work independently or as part of a team and follow through on assignments with minimal supervision.

Demonstrate open, clear, concise and professional communication.

Ability to establish and maintain cooperative working relationships with manager, co-workers and customer.

Work according to a strict set of procedures within the provided timelines.

Strong analytical skills and ambition to keep developing these.

Self-starter that shows high drive, creativity, ambition and accountability.

Growth mindset: you believe in continuous learning by dedication of time, effort and energy.

Strong communication skills, able to align with all levels in the organization.

Strong customer focus and commitment to customer satisfaction through prioritization, quality, efficiency and professionalism.

Diversity & Inclusion

ASML is an Equal Opportunity Employer that values and respects the importance of a diverse and inclusive workforce. It is the policy of the company to recruit, hire, train and promote persons in all job titles without regard to race, color, religion, sex, age, national origin, veteran status, disability, sexual orientation, or gender identity. We recognize that diversity and inclusion is a driving force in the success of our company.

Other information

Role within Office

Responsibilities:

Routinely required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch.

Occasionally required to move around the campus.

Occasionally lift and/or move up to 20 pounds.

May require travel dependent on business needs.

Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.

Role within the Factory
Responsibilities:

Must be willing to work in a clean room environment, wearing coveralls, hoods, booties, safety glasses and gloves for entire duration of shift.

While performing the duties of this job, the employee routinely is required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch.

The employee may occasionally lift and/or move up to 50 pounds.

Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.

Can work under deadlines.

The environment generally is moderate in temperature with moderate to high noise level.

Must be willing to work a compressed work week schedule – twelve-hour long shift and rotating from three to four days a week.

This must include references to day and night shifts for accommodation purposes.

Additional responsibilities for Wilton Factory:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The employee is required to work in a cleanroom environment: full gowning (full body coveralls, hood, CR safety shoes, face mask, nitrile gloves and safety glasses. Working under ISO 9000/14000 standards).

Operating/working around overhead cranes, fork trucks and motorized pallet movers.

Working around lasers; working with ladders; working on platforms; and working around chemicals.

The employee is occasionally required to move around the campus.

The employee may occasionally lift and/or move up to 20 pounds.

May require travel dependent on company needs.

The environment generally is moderate in temperature and noise level.

EOE AA M/F/Veteran/Disability

Need to know more about applying for a job at ASML? Read our frequently asked questions .",1984,Electronics Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Lead Business Process Analyst,"ASML
","Wilton, CT",$97K - $134K (Glassdoor est.),4.1,"Location

Wilton, US

Team

IT

Work experience

10-15 years

Educational background

Computer Science, Other non-technical backgrounds

Travel

10%

Remote work

Hybrid

Fulltime/parttime

Full time



Job ID: J-00286748

Introduction

ASML US, including its affiliates and subsidiaries, bring together the most creative minds in science and technology to develop lithography machines that are key to producing faster, cheaper, more energy-efficient microchips. We design, develop, integrate, market and service these advanced machines, which enable our customers - the world’s leading chipmakers - to reduce the size and increase the functionality of their microchips, which in turn leads to smaller, more powerful consumer electronics. Our headquarters are in Veldhoven, Netherlands, and we have 18 office locations around the United States including main offices in Chandler, Arizona, San Jose and San Diego, California, Wilton, Connecticut, and Hillsboro, Oregon.

Context of the Position

The IT department in the US supports two major factories located in Connecticut and California that each develop and manufacture complex assemblies that require a coordinated supply chain, build plan and ultimately international shipment for final integration at ASML’s Global Headquarters in Veldhoven NL. These functions rely on various SAP modules and related processes and tooling to ensure alignment, visibility and core business functions. Additionally, we support processes and applications that are used in the Customer Support and Finance organizations locally as well as distributed in the US. We work closely with other IT colleagues in the US and globally to provide a single point of contact for our local business partners whenever possible.

Job Mission

The Lead Business Process Analyst is the primary IT point of contact working with all levels of management and subject matter experts in their primary functional area across multiple domains. This individual would ensure that any local or regional initiative is assessed against global architecture and strategies in order to leverage consistent solutions if at all possible. The individual would regularly be expected to assess and develop detailed requirements and drive scoping discussions to help IT and Business Management determine appropriate solutions. The candidate would also clarify with their business partner the expected benefits, change impact and relative priority of any implementation proposed. Once approved, the solution will be crafted through process improvement, application configuration or a combination of methods in close collaboration with business partners and possibly, external service providers. The deliverable will typically include change management that requires clear communication, documentation and possibly training in order to deliver full value.

This position requires access to controlled technology, as defined in the Export Administration Regulations (15 C.F.R. § 730, et seq.). Qualified candidates must be legally authorized to access such controlled technology prior to beginning work. Business demands may require ASML to proceed with candidates who are immediately eligible to access controlled technology.

Job Description

Ensures the capture of clear expectations and requirements between IT and the Business for all IT related demand.
Expected to inform and educate business partners and IT colleagues with strategic alignment relative to local needs.
Applies industry best practices whenever possible given practical constraints and will advocate for continuous improvement in technical and process optimization.
Serves as the primary contact for the business to advise/solve or direct IT issues for resolution.
Manages escalation of project issues to the appropriate management staff.
Administers and maintains service level agreements between IT and the Business.
Facilitates the alignment of IT projects with business goals and objectives leveraging approved architecture and solutions.
Interacts with the supported business function to develop detailed understanding of user Information Technology needs.
Confers with technical or functional experts at all levels, company-wide, to obtain requirements, develop solution proposals, and coordinate implementation.
Proactively seeks opportunities that will support business goals and provide business users with alternatives that enhance business performance and efficiency.
Develops solution proposals and designs to meet customer requirements.
Facilitates communications with business customer through all phases of this process.
Actively surveys internal customers for feedback, and adjusts activities accordingly.
Manages, sets priorities of, and successfully completes multiple projects and support issues concurrently with little or no supervision of the work group manager.
Mentors and assists in the development of the local and global team members in concert with the work group manager.
Embraces the opportunity to model ASML’s Core Values in all working relationships.

Education

Bachelor’s degree in business administration/management, IS&T Management, Computer Science, or related discipline at a minimum. Advanced degree and/or industry certifications would be preferred. Relevant experience can compensate for lack of ideal degree.

Experience

Minimum of 10 years IT Industry experience in a manufacturing environment.
Experience with functional and technical aspects of major enterprise business systems such as SAP Applications or business intelligence analytical applications. Proficient understanding of the functional capabilities and configuration of broad areas of these applications is required.
Requires thorough understanding of planning, analysis, and testing techniques required to support an enterprise business system.
Experience in multiple functional business areas such as manufacturing, logistics, field service or sales and marketing.
Requires understanding of capabilities, features, and limitations of system development tools.
Demonstrated ability to act in a consultative role to understand functional business processes, related information technology needs, and develop solutions and delivery proposals.

Personal skills

Excellent written and verbal communication skills.
Excellent customer service skills, with an advanced understanding of customer relationship building.
Ability to use MS Office applications, collaboration tools, and effective use of e-mail and messaging systems.
Ability to effectively manage multiple assignments and priorities.

Other information

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee routinely is required to sit; walk; talk; hear; use hands to keyboard, finger, handle, and feel; stoop, kneel, crouch, twist, reach, and stretch.
The employee is occasionally required to move around the campus.
The employee may occasionally lift and/or move up to 20 pounds.
May require travel dependent on business needs up to 20%.
Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and ability to adjust focus.
Can work under deadlines.
The environment generally is moderate in temperature and noise level.

Diversity and inclusion

ASML is an Equal Opportunity Employer that values and respects the importance of a diverse and inclusive workforce. It is the policy of the company to recruit, hire, train and promote persons in all job titles without regard to race, color, religion, sex, age, national origin, veteran status, disability, sexual orientation, or gender identity. We recognize that diversity and inclusion is a driving force in the success of our company.

EOE AA M/F/Veteran/Disability

Need to know more about applying for a job at ASML? Read our frequently asked questions .",1984,Electronics Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Business Analyst,"The Forum Group
","Westport, CT",$90K - $100K (Employer est.),4.2,"An Ecommerce company in Connecticut is looking for a Business Analyst to work across the firms departments. A majority of the role will center around the firms ERP system and the role will include some project management and reporting as well.

Qualifications:

· Bachelor's Degree in a related field such as - Information Systems, Information Technology, MIS, Engineering, or Business Analytics is required

· 4+ years of Business/System Analyst experience; Previous experience in the CPG/FMCG industry is a plus

· Experience working in ERP system; Previous experience in NetSuite strongly preferred

· Ecommerce experience is highly desired

· Must have excellent written and verbal communication.

· Must be proficient in Microsoft Office Suite.

· Self-directed; is successful with minimal direction and provides guidance and support to consultants and less senior analysts

· Ability to think logically, critically, and constructively about complex problems and propose solutions that address expressed needs

· Interface across organization levels comfortably with internal business customers and external business partners, demonstrating a strong sense of ownership

· Experience supporting end users

· Project management experience desired

· Experience with Business Intelligence Reporting and Development Tools a plus

Job Types: Temporary, Full-time

Pay: $90,000.00 - $100,000.00 per year

Benefits:

Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Work from home

Compensation package:

Bonus pay
Performance bonus
Yearly pay

Experience level:

4 years

Schedule:

8 hour shift
Day shift

Ability to commute/relocate:

Westport, CT: Reliably commute or planning to relocate before starting work (Required)

Work Location: In person",1974,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,True
Business Analyst,"Imprimis
",Connecticut,$55.00 - $57.00 Per Hour (Employer est.),4.6,"· Extensive experience and knowledge of Child Welfare, Business Process Mapping, SACWIS, Data Quality, Federal regulations and State regulations.

· Experience with working with high-level internal and external agency's management.

· Experience with DCF Development Practices and Methodology.

Job Types: Full-time, Contract

Salary: $55.00 - $57.00 per hour

Experience:

federal: 1 year (Preferred)

Work Location: On the road",1982,HR Consulting,$5 to $25 million (USD),Human Resources & Staffing,51 to 200 Employees,Company - Private,True
Enterprise Guidewire Business Architect,"The Travelers Companies, Inc.
","Hartford, CT",$112K - $184K (Employer est.),4.2,"Who Are We?

Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.

Compensation Overview

The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.

Salary Range

$111,700.00 - $184,300.00

Target Openings

1

What Is the Opportunity?

Seeking a Dir-level leader to help establish and drive the Enterprise practice supporting Travelers enablement of Guidewire Policy Center. This role requires a broad view of the business and varying degrees of appreciation for strategy, processes and capabilities, enabling technologies, and governance.

Under general direction, this role partners with business and functional leadership to contribute business architecture rigor, insight, and analysis, to teams defining, assessing, and planning to bridge strategy to execution.

What Will You Do?

Champions common Enterprise capabilities across all Guidewire instances.
Supports enterprise Guidewire conformance, helping identify internal implications of strategic choices.
Provides business consulting services to segments
Contributes to clarification of goals and strategy.
Leads and conducts business capability discovery and analysis (moderate/high scope/complexity).
Leads and conducts capability assessments (moderate scope/complexity).
Provides insight and analysis into business and operating model design.
Monitors traceability and linkage between design and execution planning.
Supports ongoing improvement of the design over time.
Perform other duties as assigned.

What Will Our Ideal Candidate Have?

Bachelor's Degree preferred.
6 or more years of demonstrated business experience with working knowledge of business analysis, process improvement and/or business architecture.
Leadership Skills (Intermediate)
Personally accountable
Demonstrated ability to interact and influence across levels of organization
Ability to drive outcomes
Increases organizational performance through coaching and mentoring
Influencing Skills (Advanced)
Seeks opportunities to learn from and to influence others
Facilitate negotiations toward practical solutions
Relationship Management (Advanced)
High emotional intelligence
Ability to consider others’ ideas; responds well to feedback
Ability to work independently, as a member of a team, and team lead
Demonstrated ability to build strong relationships with a diverse group of people at all levels in both business and IT areas across the Enterprise
Strong credibility; easily gains respect and trust from others
Organizational Skills (Advanced)
Highly adaptable, with ability to proactively accommodate shifting priorities and aggressive timelines
Ability to organize work efficiently and effectively
Ability to see results to completion
Communication Skills (Advanced)
Excellent oral and written communication skills
Strong presentation skills
Highly effective facilitation skills within small or large group settings
Presents thoughts effectively with individuals at all levels within the organization including senior leaders
Ability to successfully collaborate within team and throughout organization to bring together desired results
Ability to convey information in accurate and consumable models
Ability to translate concepts into terms understandable by everyone
Problem Solving and Analysis Skills (Advanced)
Ability to assimilate and correlate disconnected information, identify patterns, and articulate organizational relevance
Ability to solicit input, analyze data, draw conclusions and provide recommendations
Uses logic and methods to solve difficult problems with effective solutions
Ability to hold both a “big-picture” and a detailed view of a business problem when considering solutions
Creatively generates ideas with confidence

What is a Must Have?

5 years of demonstrated business experience, with working knowledge of business analysis, process improvement, business transformation, and/or business strategy development within complex organizations and business environments.
General knowledge of business architecture tools and concepts.

What Is in It for You?

Health Insurance: Employees and their eligible family members – including spouses, domestic partners, and children – are eligible for coverage from the first day of employment.
Retirement: Travelers matches your 401(k) contributions dollar-for-dollar up to your first 5% of eligible pay, subject to an annual maximum. If you have student loan debt, you can enroll in the Paying it Forward Savings Program. When you make a payment toward your student loan, Travelers will make an annual contribution into your 401(k) account. You are also eligible for a Pension Plan that is 100% funded by Travelers.
Paid Time Off: Start your career at Travelers with a minimum of 20 days Paid Time Off annually, plus nine paid company Holidays.
Wellness Program: The Travelers wellness program is comprised of tools and resources that empower you to achieve your wellness goals. In addition, our Life Balance program provides access to professional counseling services, life coaching and other resources to support your daily life needs. Through Life Balance, you’re eligible for five free counseling sessions with a licensed therapist.
Volunteer Encouragement: We have a deep commitment to the communities we serve and encourage our employees to get involved. Travelers has a Matching Gift and Volunteer Rewards program that enables you to give back to the charity of your choice.

Employment Practices

Travelers is an equal opportunity employer. We believe that we can deliver the very best products and services when our workforce reflects the diverse customers and communities we serve. We are committed to recruiting, retaining and developing the diverse talent of all of our employees and fostering an inclusive workplace, where we celebrate differences, promote belonging, and work together to deliver extraordinary results.



If you are a candidate and have specific questions regarding the physical requirements of this role, please send us an email so we may assist you.


Travelers reserves the right to fill this position at a level above or below the level included in this posting.

To learn more about our comprehensive benefit programs please visit http://careers.travelers.com/life-at-travelers/benefits/.


0",1853,Insurance Carriers,$10+ billion (USD),Insurance,10000+ Employees,Company - Public,False
Client Services Manager-Business Intelligence 815,"COCC
","Southington, CT",$90K - $140K (Employer est.),4.1,"Who we are...
COCC delivers complete enterprise processing solutions to financial institutions throughout the northeastern United States. Listed among American Banker's FinTech 100 and the Inc. 5,000 fastest growing companies in the nation, COCC inspires the industry with innovation and top quality support. Designated as a Top Workplace in Connecticut and a National Great Place to Work, COCC recognizes employees as the core of our success! COCC offers a progressive training program to support employees in personal and professional development.
What we need…
A Client Services Manager to manage the customer service activities related to COCC and its clients. Responsible for the resolution of complex customer issues. Coordinate customer resolution, system development, product enhancement, and client engagements with other areas as appropriate. Responsible for implementations and product upgrade projects as needed.
What’s in it for you…
COCC offers a unique and collaborative experience as you grow your career with us and all of the benefits you’d expect from an award-winning employer plus:

A hybrid schedule allowing you the flexibility to balance your work/life needs
A customized training plan to successfully onboard you through your first year
A robust employee training and development program aligned with career pathing objectives
Generous PTO offering as well as competitive pay and benefits
On-site fitness center / off-site fitness/wellness reimbursement
Tuition Reimbursement
Financial planning assistance with certified professionals
Fun employee events such as company outings, trivia, sports leagues wellness events
Peer recognition programs

What you’ll do…

Direct, coordinate and review employee interactions with clients to ensure positive customer experience
Manage through highly complex customer issues, including communicating with c-suite customers and winning their confidence
Assign duties and coordinate activities to ensure optimum distribution of work
Promote a professional environment focused on quality customer care
Ensure proper follow through on commitments made to clients
Manage ongoing application upgrades and implementations
Ensure newly converted customers are transitioned to customer service
Serve as escalation point for complex problem solving and key customers
Actively seek process improvements
Review previously established goals; provide constructive feedback
Establish new goals that are in line with departmental/corporate objectives
Enhance product and system functionality knowledge
Understand and comply with COCC’s Security Policy

What you’ll bring…

Bachelor’s degree is preferred for this role but will consider appropriate work experience and/or relevant certifications.
Five years industry experience with exposure to front line customer support, project management techniques and demonstrated ability to develop efficient and effective solutions to diverse and complex business issues
Strong management/leadership skills
Excellent customer service skills required along with the ability to maintain composure when dealing with dissatisfied customers
Self-starter with ability to interact effectively with all levels of staff, management, and team members verbally and in writing with internal and external customers
Advanced communication skills, including the ability to write end user communication and documentation, make presentations, and the ability to convey appropriate urgency and priority of issues
Ability to project COCC’s Core Values to clients and others
Ability to analyze information and formulate conclusions and recommendations

Salary Range for this role is $90,000-$140,000
COCC is committed to maintaining a drug-free workplace. All applicants are required to pass a credit, background, and substance test prior to employment. COCC procures background and consumer reports in compliance with all Federal and State regulations, including The Fair Credit Reporting Act and CT Department of Labor laws regarding pre-employment screens. COCC is an equal opportunity employer committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation.
Accessibility - If you’re a job seeker with a disability and require accessibility assistance or an accommodation to apply for one of our jobs, please let us know by calling 860-678-0444 or emailing TalentManagement@cocc.com. Please specify the help you need and we’ll be happy to get back to you!

Pay: $90,000.00 - $140,000.00 per year",1967,Software Development,Unknown / Non-Applicable,Information Technology,501 to 1000 Employees,Company - Private,True
