Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Sales Support Analyst,"VasoTechnology
","Tampa, FL",$17.50 - $20.00 Per Hour (Employer est.),4.0,"VasoTechnology is a solutions company that focuses on the provision of reliable and secure network connectivity for enterprises and healthcare customers with mission critical applications, data storage and security services. As a engineering and technical specialist, the company enables healthcare and business IT infrastructure through managed professional services for diverse vertical markets in the U.S. and globally.

Salary based upon experience. Please include salary requirements when applying

Position Summary:

The Sales Support Analyst will be responsible for the development of sales proposals based upon service requests from internal and external customers and agents. Internal customers include the company’s sales representatives and leadership team. The Sales Support Analyst will also be responsible for preparing standard contracts for signature once a quote has been accepted. Basic, high-level knowledge in telecommunication technologies (i.e broadband, DIA, wireless) is preferred.

Requirements:

· 0 – 3 years of experience in the telecom industry. Familiarity of industry pricing is preferred

· Basic, high-level knowledge in telecommunication technologies (broadband, DIA, wireless)

· Ability to navigate multiple websites, portals, and applications to obtain costs and calculate pricing.

· Proficiency in Microsoft Office software, with a strong emphasis on Excel and Word.

· Excellent follow-up and reporting skills. Attention to detail is critical to success in this position.

· Ability to multitask

· Organization skills

· Strong written and verbal communications

· College degree preferred.

Responsibility:

· Prepare proposals based on service requests from agents and/or customers.

· Analyze and make recommendations for telecommunication solutions.

· Issue proposals to the agents/customers; follow-up accordingly.

· Ensure all the proper paperwork is in place upon acceptance of a proposal.

. Prepare basic contracts for acceptance of proposal pricing and forward to applicable departments for order placement

· Maintain proper electronic and hard copy files.

· Assist in general administrative tasks of the Sales Department.

Technical proficiencies:

· Experience with ConnectBase – Preferred but not required

· Proficiency with Excel

· Proficiency with Microsoft Word

· Strong written and verbal communications

· Telecommunication Quoting and Sales experience – Preferred but not required

· Ability to navigate multiple web sites for quote pricing

· Experience with CRM's or PSA's - preferred but not required

This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

Job Type: Full-time

Pay: $17.50 - $20.00 per hour

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Work Location: In person",-1,Health Care Products Manufacturing,Unknown / Non-Applicable,Manufacturing,Unknown,Company - Public,True
Jr. Business Analyst,"RxLogix Corporation
","Miami, FL",$62K - $91K (Glassdoor est.),3.5,"Company Description

RxLogix is a technology-based pharmaceutical company offering advanced data analytics, signal detection, evaluation, signal management, and benefit-risk assessment for Pharmacovigilance and Risk Management professionals. With our PV Surveillance Suite platform, which includes PV Reports, PV Signal, PV Analytics, and PV Datahub, we are dedicated to improving compliance, productivity, and quality for the entire Drug Safety value chain to ensure patient safety. We highly value innovative and bold thinkers entrenched in the world of science, medicine, and technology.


Role Description

This is a Full-time Jr. Business Analyst role, working onsite at our Miami, FL location.
Primary business/functional/application consultant on client/internal projects, providing support in developing business processes, requirements, configuring and testing the application.



Essential Duties & Responsibilities: Provides business and technical deliverables with all aspects of client and internal software development and implementation projects, which include:

Provide assistance in the business of drug safety and pharmacovigilance.
Provide application support on Drug Safety systems. This includes providing expertise on: Business Process (SOP) development, Requirements gathering and documentation, Wireframes and use cases authoring, Application configuration and functional testing (OQ/PQ), Issue resolution, Running workshops and pilots, Data migration/mapping, and System testing and validation
Accountable for specific application deliverables such as Requirements Specifications Document, Configuration Specifications Document, Test Scripts etc.
Consult on more than one implementation at one time
As a business advisor to the project team, the individual is responsible for participating and contributing toward the attainment of group and individual goals by transferring knowledge and providing timely feedback to company as well as the customer
Practice development (internal) projects as assigned, to grow the company assets.



Minimum Requirements:

BA/BS with emphasis on engineering or science or with equivalent practical experience
1 – 3 years of experience in Information Systems
SDLC experience
Ability to create Requirements, Use Cases, Configuration and Testing documentation
Excellent verbal and written communication skills
Excellent MS Office Suite skills



Preferred Qualifications:

Highly desirable to have process design experience.
Software application testing/validation experience
Experience in SQL
Experience in current technologies and platforms including project management tools and database applications.
MBA/MS



Travel Expectations:

25-50%
No Remote Work – Fully On-Site



IMPORTANT: Applicants must be authorized to work for ANY employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa.",2010,Computer Hardware Development,Less than $1 million (USD),Information Technology,201 to 500 Employees,Company - Private,True
Senior Business Analyst,"Vohra Wound Physicians
","Hollywood, FL",,3.2,"SENIOR BUSINESS ANALYST

Vohra Wound Physicians is a dynamic and innovative physician management group with cutting-edge proprietary systems. The company is currently looking for a highly process-driven Senior Business Analyst with good technical writing skills to liaise between department stakeholders and the well-integrated, in-house development and testing team. This is a fast-paced, results-oriented, and team-centric environment and is a great opportunity to work with a solid group.

Responsibilities:

Successfully managed teams of varied Agile maturity levels and handled teams in transition from Waterfall to Agile.
Conducting JAD sessions, interviewing business reps, resolving stakeholder conflicts, fielding questions from executives.
Conduct daily stand-up, product backlog review meetings, and sprint review meetings.
Candidate must be an excellent communicator at all levels of the organization.Developing Epics, User Stories, and Their Acceptance Criteria.

Document business requirements and detailed specifications from multi-department stakeholders for review and delivery to the development team (C# .NET, SQL).
Govern operational purposes by studying business functions; gathering information; evaluating output requirements and formats.

Create and execute test plans (both manual and automated) based on business requirements for traceability and instruct test resources on proper procedures to ensure team compliance.
Build workflow charts and diagrams; studying system functions; writing specifications.
Should have known knowledge of agile delivery models.
Work closely with requesting stakeholders, product managers, UI/UX, and QA specialists.
Maintain stakeholders’ visibility into projects while holding them accountable for their role in the development process to avoid bottlenecks.
Articulate a solid understanding of business cases and their supporting developmental and contextual process utilizing verbal skills, diagrammatic abilities, and technical writing.
Apply your understanding of the company infrastructure and data repository to allow for both developmental and data reporting requirement gathering.
Take a leadership role in the company’s project-based developmental process improvement.
Should have known knowledge of JIRA, TFS & other project tracking tools.

Required Experience:

Bachelor’s degree in a computer or process-related field.
5+ years experience as a BA.
5+ years’ experience navigating software development environments.
Proven hands-on experience creating workflows and specifications.
Proven ability to generate various reports for management teams.
Previous healthcare experience is a benefit (though not an absolute requirement).

Job Types: Permanent, Full-time

Pay: From $110,000.00 per year

Benefits:

401(k)
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Vision insurance
Work from home

Experience level:

5 years

Schedule:

Monday to Friday
No weekends

Ability to commute/relocate:

Hollywood, FL 33027: Reliably commute or planning to relocate before starting work (Required)

Experience:

Business analysis: 5 years (Preferred)

Work Location: Hybrid remote in Hollywood, FL 33027",2000,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,201 to 500 Employees,Company - Private,True
Payroll & Business Analyst (In-Office),Mowi USA,"Miami, FL",-1,-1.0,"Summary

The Payroll & Business Analystwill lead the payroll process for Mowi USA business unit. Will be responsible for processing payroll, providing technical aid and supporting process improvement for Human Resources. The Payroll & Business Analyst will establish the developing of automated payroll processes: increasing payroll functionality, preparing monthly reports and managing payroll functions. Will also be in charge of preparing monthly payroll accrual, assisting with general accounting tasks and the monthly close process. The Payroll & Business Analyst will develop a robust understanding of all business unit regulatory standards, in order to ensure governance and compliance.

Responsibilities

Ensure payroll is processed timely and accurately.
Enter weekly payroll changes (not processed through self-service and HR processes). Audit the payroll register to ensure changes were captured and payroll is accurate.
Develop strong relationships with HR, through partnering with the team and assisting in process improvement related to HR functions and payroll systems. Provide excellent customer service to Mowi employees.
Support HR in the development of resources within Workforce Now, including: recruitment, employee goals and appraisals, reporting and analytical resources.
Provide support in the development of electronic employee files, including: assistance with self-audits and recommendations for improvements.
Support continued development of Workforce Now to provide improved self-service experience and increase self-service use.
Lead annual benefit and compliance reporting and audit processes, including: 401k audit, workers compensation audit, Self-Insured Medical Plan audit, 1095 review, EEO1 filing, etc.
Process weekly 401k contribution upload and reconcile payroll and 401k data.
Manage all garnishments, deductions, and Paid Time Off (PTO) balances in ADP Workforce Now.
Manage ACA compliance within Workforce Now.
Maintain knowledge of trends, best practices, regulatory changes, and new technologies in payroll.
Assist with the maintenance of fixed assets including processing additions, dispositions and running monthly depreciation.
Reconcile bank accounts including checking, payroll and lockbox accounts.
Perform other duties as assigned.

Qualifications and Skills

Excellent verbal and written communication skills.
Outstanding interpersonal, negotiation, and conflict resolution skills.
·Excellent organizational skills and attention to detail.
Strong analytical and problem-solving skills.
Ability to prioritize tasks and to delegate them when appropriate.
Ability to act with integrity, professionalism, and confidentiality.
Experience using ADP Workforce Now preferred.
Must possess thorough knowledge of employment-related laws and regulations.
Proficient with Microsoft Office Suite.
Ability to develop strong trusting relationships, in order to gain support and achieve results, within a diverse group of employees, ranging from a field environment to a corporate setting.
Flexibility and ability to interact with employees at all levels.

Education:

Bachelor’s Degree in Accounting, Business Administration or related field preferred.
Minimum 5 years’ of experience in a corporate environment preferred.
Minimum 5 years’ of experience in Payroll preferred.

**All requirements and skills are considered to be essential, unless otherwise indicated.**

**Mowi is an Equal Opportunity Employer**

The above job description is not an all-encompassing list of duties and responsibilities required of the employee for this job. Duties and responsibilities may change without notice.

Mowi is a Drugfree Workplace.

**Mowi does not accept recruiting agency resumes. Please do not forward resumes to our jobs alias, Mowi employees or any other company location. Mowi is not responsible for any fees related to unsolicited resumes**

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday
Weekends as needed

Work setting:

Office

Application Question(s):

Are you able/willing to work from one of the locations listed: Miami, FL/Belfast, MN/Arlington, TX?

Education:

Bachelor's (Preferred)

Experience:

Payroll management: 2 years (Preferred)
Business analysis: 2 years (Preferred)
Data analytics: 2 years (Preferred)
Project management: 2 years (Preferred)
Microsoft Excel: 1 year (Preferred)
ADP: 2 years (Preferred)

Willingness to travel:

50% (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Process Engineer (On Site),"Orange County Clerk of Courts
","Orlando, FL",$58K - $79K (Employer est.),3.6,"Business Process Engineer

With a commitment to delivering excellence, embracing innovation, achieving results, continuous learning, and working together as a team, the Orange County Clerk of Courts has an opportunity for a talented individual to join our award-wining 400+ employee organization as a Business Process Engineer. Known as the “information hub of the justice system"", the Orange County Clerk of Courts has a strong culture rooted in trust, respect, integrity, and excellence, and we make it a point to use good judgment, fairness, and common sense to meet our challenges. Attracting top talent who can thrive in an efficient and customer-oriented environment contributes to our success.

The highly qualified Business Process Engineer we seek:

Will be responsible for identification, analysis, recommendation and improvement of the business process in the organization.
Will identify, facilitate and assist in execution of process improvement, redesign, standardization, and optimization projects.
Will consult with Process Owners, Division Managers, Project Managers and project teams on quality tools, methodologies and strategies for successful process improvement and quality management.
Will be a Liaison with divisional business units to provide process improvement expertise and opportunity analysis.
Will establish direction and implementation of a process improvement standard.

Requirements for the Business Process Engineer:

A Bachelor’s degree in Business Administration, Industrial Engineering, Finance, or Statistical Analysis.
A minimum of four (4) years of experience in Process Design, Improvement, or Business Analysis experience is preferred.
Lean Six Sigma experience required Green Belt certification or higher strongly preferred.

For consideration and more detailed information about the Business Process Engineer position please visit our website at www.myorangeclerk.com/careers to apply.

At OCCC, equal talent will always get equal opportunity.

DFWP / Background Checks Required.

Job Type: Full-time

Pay: $58,323.00 - $78,748.00 per year

Benefits:

Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday
No nights
No weekends

Work Location: Hybrid remote in Orlando, FL 32801",-1,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,501 to 1000 Employees,Government,True
Business Analyst,"Andor Health
","Orlando, FL",$63K - $91K (Glassdoor est.),4.5,"Position Description: The Business Analyst's role participates in the planning, design, and development of engineering systems critical to core organizational products and functions. This includes interviewing stakeholders and gathering, compiling, and validating user requirements for development teams throughout the software lifecycle (storyboarding). It may also include researching and analyzing data in support of business functions, process knowledge, and systems requirements. The Business Analyst is also responsible for generating and compiling reports based on the findings, complete with probable causes and possible solutions to systems issues.

Position Responsibilities:

Develop and manage analytics deliverables across tenants by defining and reporting key metrics on business performance, investment and operations.
Apply econometric and health economics models to healthcare data to derive solutions for cost-effectiveness and efficiency for clients.
Gather, refine and analyze data to provide information that supports marketing, sales and business development narratives.
Contribute to predictive and advanced analytical modelling and analysis related to healthcare costs and care management and others as applicable.
Analyzing data from SQL database sources and build dashboards using Power BI and pro-actively providing insights by use-case to stakeholders.
Meet ad-hoc business intelligence and data analysis requests from both leadership team and clients.
Automating Business Intelligence solutions by building pipelines in Azure Data Factory and Snowflake Integration.
Write user stories for developers to create and capture necessary data points to set up background for data warehousing and analytics solutions.
Assist in research and implementation of strategic data projects.
Applying modern analytics techniques, especially A/B testing in order to assist in measuring objectives and key results of product utilization and user experience.
Identify the right data platform and build mechanisms to securely export data from internal data sources to client's database or data warehouses.

Basic Qualifications:

Bachelor's degree or equivalent in technical or other appropriate field from accredited college or technical school
2-5 years experience in healthcare operations
Healthcare use case/workflow

Preferred Qualifications:

Experience in healthcare industry
Experience with mobile applications
EMR/healthcare data integration experience is a plus

The preceding functions may not be comprehensive in scope regarding work performed by an employee assigned to this position classification. Management reserves the right to add, modify, change, or rescind the work assignments of this position. Management also reserves the right to make reasonable accommodations so that a qualified employee(s) can perform the essential functions of the position.

At Andor Health, our greatest strength comes from bringing together talented people with diverse perspectives to support the technological needs of physicians, hospitals, and post-acute organizations across the globe. Andor Health offers a comprehensive compensation and benefits package, including holidays, vacation, medical, dental, and vision insurance, company paid life insurance, and retirement savings.

Andor Health's policy is to provide equal employment opportunity and affirmative action in all of its employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation, or gender identity or expression or any other legally protected category. Applicants for North American based positions with Andor Health must be legally authorized to work in the United States or Canada. Verification of employment eligibility will be required as a condition of hire.

EOE Minorities/Females/Individuals with Disabilities/Protected Veterans

Drug Free Workplace

EEO Law Poster and Supplement",2018,Software Development,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,True
Business Analyst (Remote / In-person),"Healthy Vision Institute
","New Port Richey, FL",$47K - $73K (Glassdoor est.),1.1,"Business Requirements Analyst

Position Summary: The Business Requirements Analyst is responsible for gathering, analyzing, and documenting the requirements for a new software system. They will work closely with stakeholders, both internal and external, to ensure that the software system meets the business needs and is delivered on time and within budget. The ideal candidate will possess strong analytical and communication skills, with a keen eye for detail.

Key Responsibilities:

Requirements Gathering: Conduct interviews, workshops, and observation sessions with key stakeholders to gather detailed requirements for the new software system.

Documentation: Create clear, concise, and comprehensive requirement documents, including use cases, functional specifications, and data flow diagrams.

Stakeholder Collaboration: Work closely with project managers, developers, QA teams, and other stakeholders to ensure that requirements are understood and can be effectively translated into technical specifications.

Validation: Ensure that the documented requirements align with the business objectives and validate them with the stakeholders.

Requirements Management: Maintain and update requirements as changes occur during the development process, ensuring that all changes are properly documented and communicated.

Analysis: Identify gaps between current processes and the proposed software system, recommending solutions or changes as necessary.

Prioritization: Assist in prioritizing features and requirements based on business value, risks, and dependencies.

User Acceptance Testing (UAT): Support the QA and testing teams by providing clarity on requirements and assisting in the development of test cases. Participate in UAT to ensure the system meets business needs.

Continuous Improvement: Keep abreast of industry best practices and methodologies to improve the requirements gathering and documentation processes.

Qualifications:

Bachelor’s degree in Business, Information Systems, Computer Science, or a related field.
5+ years of experience in business analysis or a related field.
Strong understanding of software development lifecycles and methodologies.
Proficient in requirement management tools like JIRA, Confluence, or similar.
Excellent written and verbal communication skills.
Ability to work in a fast-paced environment and manage multiple tasks simultaneously.
Strong problem-solving skills and attention to detail.
Certification in Business Analysis (e.g., CBAP, CCBA) is a plus.

Job Type: Temporary

Experience level:

5 years

Schedule:

8 hour shift

Experience:

Business analysis: 5 years (Required)

Work Location: In person",-1,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,1 to 50 Employees,Private Practice / Firm,True
Business analyst - No C2C,Techsara solutions,"Tampa, FL",$70.00 - $85.00 Per Hour (Employer est.),-1.0,"Job Title: Technical Business analyst - Application development

Client: Citi

Location: Tampa, FL

W2 role (USC & GC)

The Technical Business Lead Analyst is a senior level position responsible for establishing and implementing new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to lead applications with system analysis, data analysis and data mapping, and produce clear system flowcharts, BRDs & FRDs to implement the project.

Responsibilities:

Partner with multiple management teams to ensure appropriate integration of functions to meet goals as well as identify and define necessary system enhancements to deploy new products and process improvements
Resolve variety of high impact problems/projects through in-depth evaluation of complex business processes, system processes, and industry standards
Provide expertise in area and advanced knowledge of applications programming and ensure application design adheres to the overall architecture blueprint
Utilize advanced knowledge of system flow and develop standards for coding, testing, debugging, and implementation
Develop comprehensive knowledge of how areas of business, such as architecture and infrastructure, integrate to accomplish business goals
Provide in-depth analysis with interpretive thinking to define issues and develop innovative solutions
Serve as advisor or coach to mid-level developers and analysts, allocating work as necessary
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Banking, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:

3 -5 years of relevant experience in Apps Development or systems analysis role
Extensive experience system analysis and in programming of software applications
Experience in managing and implementing successful projects
Excellent understanding of RDBMS & SQL Queries.
Financial background with Market Data experience, preferably a Subject Matter Expert (SME) in this domain
Ability to adjust priorities quickly as circumstances dictate to work in an Agile framework environment
Demonstrated leadership and project management skills
Consistently demonstrates clear and concise written and verbal communication

Education:

Bachelor’s degree/University degree or equivalent experience
Master’s degree preferred

Job Type: Contract

Pay: $70.00 - $85.00 per hour

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Business Analyst,"The Greentree Group
","Tallahassee, FL",$56K - $81K (Glassdoor est.),4.5,"Business Analyst

Are you a tech enthusiast who loves solving complex problems?
Do you have a keen eye for detail and excellent analytical skills?
Would your friends describe you as a self-starter who takes pride in your work and enjoys collaborating with others?

If so, we have an exciting opportunity for you at The Greentree Group!

WHO WE ARE

The Greentree Group is a dynamic, innovative, and thriving company that specializes in delivering advanced technology solutions to federal, state, and commercial clients. With a team of highly skilled professionals, we provide cutting-edge services and are always pushing the boundaries of what’s possible.

What sets us apart is our commitment to excellence and our passion for the work we do. At The Greentree Group, we are driven by a shared sense of purpose and a desire to make a difference in the lives of people around us. Whether it's helping our clients achieve their goals, developing innovative solutions to complex problems, or giving back to the community, we are dedicated to making a positive impact.

We also believe in investing in our people and providing them with opportunities for growth, development, and advancement. We offer a dynamic and supportive work environment, a culture of continuous learning, and a wide range of benefits and perks that promote work-life balance and personal well-being.

Whether you're a seasoned expert or just starting out in your career, if you're passionate about technology, committed to excellence, and eager to take on new challenges, we want to hear from you!

ABOUT THE OPPORTUNITY

As a Business Analyst, you will have the opportunity to work with cutting-edge technologies and collaborate with a talented team of professionals in support of a client in the Tallahassee, FL area. Your role will be responsible for monitoring and evaluating software development and system modernization activities in a state-wide implementation effort. Join us and be part of our mission to make a difference!

SOME RESPONSIBILITIES INCLUDE BUT ARE NOT LIMITED TO:

Research, understand, and interpret functional and nonfunctional requirements to include business and stakeholder requirements, data and information requirements, data integration, metadata, data quality, service levels and performance.
Articulate technology in terms stakeholders can understand, and articulate business concepts and processes to the technical team.
Participate in developing business cases, defining high level business objectives, and developing key success factors for solution delivery.
Manage and maintain the Project Risks, Action Items, Issues, Deliverables and Decisions (RAID) log and other Project logs.
Review test plans for acceptance testing to meet user-defined requirements, as directed by the Department.
Oversee and assist the team with testing on system changes by executing test scenarios and record the test results, defects, and resolution of defects.
Provide analytical research and complete tasks.
Review project deliverables and tasks for accuracy, completeness, and quality.
Provide post-implementation support.
Participate in weekly and monthly status meetings, project meetings, and stakeholder meetings.

MINIMUM QUALIFICATIONS:

Bachelor’s Degree in Computer Science, Information Systems, Business Administration, or other related field and technical knowledge and understanding of information technology infrastructure and software development practices and techniques. Relevant experience on a year-to-year basis can substitute for specific degree requirement.
Minimum of three years of experience gathering, documenting, and managing business and technical requirements for system implementation.
Minimum of three years of experience collecting and analyzing data, and software process evaluation and improvements.
Minimum of three years of experience working both independently and as a member of project team, in the analysis, design, development and implementation of a complex system implementation.
Minimum of three years of experience in developing detailed project documentation and presentations.
Minimum of three years of experience assisting customers with development of business cases with application testing and implementation.
Minimum of three years of experience in meeting facilitation and documentation.

DESIRED QUALIFICATIONS:

Experience providing consulting services to a government client or agency.

We believe in fostering a positive, inclusive culture that values diversity, teamwork, and personal growth. With opportunities for advancement and a supportive community of colleagues, The Greentree Group is the perfect place to build your career. Learn more about us at www.greentreegroup.com. Please note that this role may require a National Agency Check (NAC) and/or background check, and relocation assistance is not available at this time.

Greentree is an Equal Opportunity Employer and does not discriminate based on race, color, religion, sex, national origin, age, sexual orientation, gender identity, genetic information, or status as a qualified individual with a disability or protected veteran.

Compensation / Salary Range: Greentree adheres to federal, state, and local regulations. This is a Full-Time, Salary, Exempt position. The following salary range is what we reasonably expect to pay but is contingent and subject to a variety of factors, including but not limited to years of experience, education, certification(s), training, specialized skills, responsibilities, etc.

Bonuses: Greentree has an employee referral bonus, as well as employee bonuses based on employee contributions and Greentree’s yearly performance.

Top Benefits

Core Benefits 100% paid by Greentree: Employee Medical Premium on the High Deductible Health Plan (HDHP), Basic Life Insurance and AD&D, Short-Term Disability (STD), Long-Term Disability (LTD), Health Reimbursement Account (HRA), 401(k) Match, Job-Related Certifications, and Training Programs

Elected Benefits: Medical, Dental, Vision, HSA, FSA, Voluntary Term Life, 401(k) (Roth and Pretax available)

Time Off: PTO, Flexible Schedules, Holidays and Paid Parental Leave: Work-life balance is important – we all enjoy some time off for rest and relaxation! Employees receive a very generous amount of PTO which is granted on start date, plus the ability for quick escalation to the next tier. Flexible/hybrid working schedules and 11 paid holidays, in addition to paid parental leave round out the work-life balance benefits.

Paid Training and Development: We encourage and support ongoing employee learning and development, consistent with needs of the company, its clients, and markets. Greentree is committed to paying the cost for job-related certifications and/or training programs. In conjunction with management/employee communication and discussions regarding performance and goals, employees are expected to seek out and pursue development opportunities to meet emerging organizational skill requirements in combination with their own personal growth needs. Greentree also makes job-related tuition reimbursement contributions for those in higher-level education programs.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid time off
Parental leave
Professional development assistance
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities

Schedule:

8 hour shift

Ability to commute/relocate:

Tallahassee, FL: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

related: 3 years (Required)

Work Location: In person",1993,Enterprise Software & Network Solutions,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Senior Business Analyst,"SaraPath Diagnostics
","Sarasota, FL",$70K - $95K (Employer est.),2.9,"Senior Business Analyst

SaraPath Diagnostis is an independent, physician-owned group offering advanced diagnostics pathology and speciality laboratory services. For over 45 years, SaraPath has worked with clinician to advance patient care and to optimize treatment and recovery. Backed by more than 100 experienced technical and support staff, SaraPath pathologists provide clients with timely and accurate diagnoses, and customized, integrated pathology solutions.

Roles and Responsibilities

Able to work independently and in group projects. Self-starter with excellent communication skills required. Provide System Admin level user support for business software solutions The person in this position will lead projects end to end, providing operational, analytical, and user support to presenting findings and recommendations to senior management.
Work to identify opportunities to improve business operations by defining the deliverables, timelines, and resources necessary to achieve objectives. 5+ years related analytical work experience with a focus in the health or medical industry preferred or equivalent combination of transferable experience and education.

Qualifications and Education

Associates degree required. 5+ years experience.
Bachelors degree preferred.
2+ years Business Analysis experience preferred.

Requirements and Qualifications

Intermediate level experience with SQL and SQL tools
Ability to work independently and as a member of a team
Exceptional communication and organization skills
Able to multi-task, prioritize, and manage time efficiently
Relies on extensive experience and judgement to plan and accomplish goals
A wide degree of creativity and latitude is expected

Duties and Responsibilities

Supporting QA process to ensure system quality, functionality and performance
Troubleshooting issues across all application tiers
Analyzes products and recommends use of new products and services to supervisor
Working knowledge of testing and documentation skills
Working knowledge of business design and analysis
Working knowledge of MS SQL, Queries, triggers, and procedures
Working knowledge of MS Visual Studio Reporting Services
Working knowledge of Crystal Reports

Support Requirements

Provide System Admin level user support for general issues and respond to requests for support
Resolution of day to day escalated service requests from managed service group
General understanding of system analysis and problem solving with the following: CentricityPM, Oracle CoPathPlus (Cerner), Crystal Reports, Office 365 and SharePoint solutions, MS Dynamic and BI solutions, MS Visual Studio SQL Server Data Tools

Job Type: Full-time

Pay: $70,000.00 - $95,000.00 per year

Benefits:

401(k)
401(k) 5% Match
401(k) matching
AD&D insurance
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid time off
Prescription drug insurance
Vision insurance

Experience level:

5 years

Schedule:

8 hour shift
Day shift
Monday to Friday

Work Location: In person",-1,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,51 to 200 Employees,Self-employed,True
