Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
QA/RA Manager,"Dornier MedTech America
","Kennesaw, GA",$115K - $135K (Employer est.),4.2,"Position Summary

Manager of all aspects of Regulatory Affairs and Quality Assurance.

Essential Duties and Responsibilities

Technical

Interface with European parent organization to obtain necessary information required for FDA and CE compliance.
Familiar with the principles of process and product validations
Compile and/or create information for FDA regulatory submissions and technical files.
Experience in conversion process from MDD to MDR.
Prepare for and participate in FDA facility inspections, ISO audits, and third party audits.
Responsible for oversight regarding complaints and reporting MDRs.
Ensure in house training is completed according to QSR and ISO
Experienced with detailed compliance plans to FDA’s QSR regulation
Prepare and submit periodic reports, annual reports and various responses to the FDA or other regulatory agencies.
Ensure all regulatory requirements under any marketing authorization are met.
Responsible for maintaining Quality System/ISO compliance.
Responsible for coordinating the Company’s ISO audits.
Auditing (internal and external) experience required

Administrative

Develop labeling and ensure labeling updates as well as documentation compliance.
Administration of all company operating procedures, SOPs and document control.
Review and approve Quality documents for compliance to QSR requirements (i.e. DHR, CAPA, NCMR )

Travel

Some overnight travel required, both domestic and international.

Developmental

Responsibilities include participate in interviewing, hiring, and training employees; planning, assigning, and directing work

Supervisory

Manages department personnel. Carries out supervisory responsibilities in accordance with the organization's policies and applicable laws. Responsibilities include interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance; rewarding and disciplining employees; addressing complaints and resolving problems.

Job Requirements

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skills and/or abilities required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education/Qualifications

Minimum of 10 years experience in medical device products with a Bachelor’s degree (B.A.) from a four-year accredited college or university, or fifteen years related Quality Assurance, Regulatory Affairs and compliance experience and/or training with a BA or equivalent combination of education and experience.
Certification of the American Society of Quality (ASQ, CQM) and/or Regulatory Affairs Professional Society (RAPS, RAC-US/US/EU/Canada) and/or Project Management Institute (PMI, PM) preferred.

Experience

Work experience in medical device products environment.

Aptitude

Mathematical skills

Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference, and volume. Ability to apply concepts of basic algebra and geometry.

Reasoning Ability

Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form. Ability to deal with problems involving several concrete variables in standardized situations. Ability to define problems, collect data, establish facts, and draw valid conclusions. Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables. Ability to gather and interpret subjective and quantitative input in the development of business analysis.

Operational Skills

Language

Ability to read, analyze, and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals as well as common scientific and technical journals. Ability to write routine reports and correspondence. Ability to respond to common inquiries or complaints from customers.

Technical and Computing

Proficient in Microsoft Office Suite.

Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly required to sit and talk or hear. The employee frequently is required to use hands to finger, handle, or feel. The employee is occasionally required to stand; walk; reach with hands and arms; and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision, peripheral vision, and ability to adjust focus.

Work Environment

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is occasionally exposed to moving mechanical parts and fumes or airborne particles. The noise level in the work environment is usually quiet.

Job Type: Full-time

Pay: $115,000.00 - $135,000.00 per year

Benefits:

401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Work Location: In person",1984,Biotech & Pharmaceuticals,$100 to $500 million (USD),Pharmaceutical & Biotechnology,501 to 1000 Employees,Company - Private,True
Sr. Bank Business Systems Analyst Specialist,"First Century Bank, N.A.","Commerce, GA",$75K (Employer est.),-1.0,"Sr. Bank Business Systems Specialist

First Century Bank has an exciting career opportunity available for a Sr. Bank Business Systems Specialist to join our team. The Bank is planning to implement a new enterprise-wide software, and this would be the initial project to be supported by this position.

This individual will analyze and manage business requirements throughout the enterprise-wide software implementation team. They will facilitate and support requirements workshops, business process modeling, writing detailed functional specifications for new and changed complex information systems, preparing test cases and testing strategies, conducting peer reviews to ensure 'as-built' information systems conform to specifications, and ensure that processes are followed. All steps must be documented effectively, and clearly. Additionally, this individual will participate in the analysis of business requirements and recommend effective, efficient, flexible technical solutions to meet business needs. This person will perform work within the full range of project development methodologies, which could include Waterfall and Agile methods.

First Century Bank has specialized in providing financial services through technology channels for our clients. The Sr. Business Systems Analyst is a career opportunity which would facilitate the smooth implementation of the enterprise software, as well as be involved in future programs to be implemented at the Bank.

Duties will include the following:

Prepare the assessment of current systems and interdependencies including conducting operations assessment and documenting current procedures and systems;
Define and create written functional and technical specifications that meet business needs;
Documenting system requirements based on processing volumes and other software interfaces;
Review system dependencies to ensure all are addressed as a part of the conversion, ensuring that all system integration touch points are identified;
Communicate effectively with all team members, stakeholders and project sponsors on technical and non-technical processes;
Lead and facilitate group tasks across all levels of the organization to deliver anticipated outcomes;
Develop elements of systems design, including scoping documents, user stories, business process documentation, workflow charts, diagrams, data migration rules, business rules, wireframes, or other detailed deliverables;
Continually optimize processes using technology to solve issues, increase efficiency, and add to the bottom line;
Achieve core business competencies in rapidly changing environments by using innovative technology;
Work with the Software QA team and end-users to create comprehensive test cases, plans and strategy;
Collaborate with end users and developers on developing comprehensive test cases;

· Assist in the development of training material. Conduct training and organization change management as appropriate.

· Understand issues and resolve them through data analysis, technical research and team collaboration on highly complex issues.

· Enhance the end user experience by providing actionable information;

Facilitate user acceptance testing and perform integration testing, as required;
Keep the end user/customer at the forefront of thought; support, guide, influence users to see opportunities and value with new approaches using technology;
Assist users with realizing their strategy and goals through the use of new technology;

· Performs such other duties as may be assigned or which inherently or logically belong with the position.

· Exemplify FCB's values while carrying out its mission and organizational goals and priorities.

This position is a hybrid position whereby the individual will be able to work remotely and also come into the office as needed for training and to build camaraderie with other team members.

Qualified candidates should possess a bachelor’s or master’s degree in Information Systems or Business Management Systems and 5+ years of related experience, or combination of education and experience and 5+ years of related. Individual should be proficient in Microsoft products, Critical thinking and Problem Solving, File and Data processing. Ideal candidates would have experience with the Jack Henry Silverlake product. Individual should also have a general understanding of relational databases, scripting, and workflows. Candidates should possess a high level of attention to detail, exceptional communication skills, project management skills and business analysis skills. Critical thinking, including the ability to approach problems logically and make informed decisions based on data is also required.

First Century Bank is an equal opportunity employer. It is the Company's policy to provide equal employment opportunity to all qualified persons without regard to race, color, sex, gender or gender identification, religious creed or religious beliefs, age, national origin, physical or mental disability, pregnancy, military or veteran's status, marital status, sexual orientation, or any other category protected by state or federal law.

Job Type: Full-time

Pay: From $75,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Monday to Friday
No weekends

Experience:

Banking Systems product: 2 years (Required)

Work Location: Hybrid remote in Commerce, GA 30529",-1,-1,-1,-1,-1,-1,True
Operations Analyst,Confidential,"Columbus, GA",$80K (Employer est.),-1.0,"Our Operations Analyst plays a pivotal role in our organization by overseeing Service and Installation Managers across core divisions, driving cross-functional projects, and maintaining exceptional customer relations. Ideal candidates should bring 5-7 years of relevant experience, possess relevant education, demonstrate technical proficiency, and hold valued certifications.

Leadership and Oversight:

Provide direct leadership to Installation and Service Managers via regular check-in meetings, championing tailored training and certification programs, and offering guidance to address operational challenges and ensure alignment with corporate goals.
Foster a culture of collaboration and open communication among managers to encourage synergy across divisions.

Project Management and Strategic Planning:

Lead cross-functional projects, leveraging expertise from multiple departments to enhance operational efficiencies and integrate new technologies.
Define project scope, establish timelines, allocate resources, and closely monitor project progression to ensure on-time and on-budget deliverables.
Collaborate closely with leadership to develop and execute strategic and operational plans.

KPI Development and Monitoring:

Establish and regularly review KPIs to evaluate operational success, guide strategic decision-making, and identify areas for improvement.
Implement advanced monitoring tools and analytics platforms to collect real-time data, enabling agile responses to evolving business needs.

Customer Relations and Quality Control:

Uphold our company's reputation for rapid and reliable responses, ensuring all customer interactions consistently meet or exceed established service standards.
Develop and maintain CRM systems to streamline communication and enhance customer relationship management.
Create and enforce quality control procedures to ensure the consistent delivery of top-tier services and products.

Skills and Qualifications:

Industry Certifications (Low Voltage, ESA. NICET) are preferred.
Understanding of various project management methodologies such as Waterfall, Agile, and Kanban.

Education and Experience:

5-7 years of professional experience in operations and project management, with a proven track record of successfully overseeing multiple projects completed timely and within budget. Security and Fire Protection experience preferred.
Bachelor's degree in Business Management, Operations Management, Engineering, or a related field preferred.
Relevant certifications, such as Project Management Professional (PMP), PMI Agile Certified Practitioner (PMI-ACP), or CompTIA Project+, are preferred.

Why Us?

Competitive salary that aligns with experience
Supportive, team-oriented work environment
Generous PTO and paid holidays to encourage a healthy work-life balance
Unrestricted opportunity for professional growth and development
Comprehensive benefits package, including health, dental, vision, and life insurance.
Breakfast on Fridays, quarterly luncheons, and exciting team building events

This is not a comprehensive list of duties and are subject to change.

Candidates must pass a background check and drug test after accepting offer for employment.

Job Type: Full-time

Pay: From $80,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Education:

Bachelor's (Preferred)

Experience:

Project management: 5 years (Required)
AutoCAD: 1 year (Preferred)

License/Certification:

PMP (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Systems Programmer Analyst,"King & Prince Seafood Corp
","Brunswick, GA",$70K - $85K (Employer est.),3.6,"Description:
*
General Summary*
The Business Systems Programmer Analyst is responsible for creating effective technical solutions through the design, development, testing, implementation and improvement of business system applications. This position will also provide Business Systems Helpdesk support – including correcting issues that arise from internal customer usage of systems, identifying configuration changes that may be required, supporting related systems, performing user acceptance testing and documenting all programming and systems changes. Creates detailed project plans for all phases of the project life cycle, maintains the required databases, and uses programming languages to create application front-ends and modifying existing applications.
Essential Duties and Responsibilities

Applications Support (35%) - Helpdesk support, end-user issue resolution and training, enhancement recommendations and update SOPs as required
Systems Analysis (20%) - including design specifications and systems documentation
Project Management (20%) - project planning, task management and leading small cross-functional initiatives for the implementation, use and improvement of processes, procedures and software
Applications Development (25%) - programming and documentation for relational databases and other solutions

Requirements:

BS Degree in Information Technology or related field
3+ years of experience in all phases of software development or a mix of software development and application support.
Experience with ERP Software (QAD Preferred); Warehouse Management Software
Proven experience with Microsoft SQL Server; SQL Stored procedures; Transact-SQL(T-SQL)
Experience with Analysis and Design of software solutions including system integrations
Experience with Progress Openedge 4GL would be beneficial
Strong project management and problem-solving skills.
Excellent verbal and written communication skills
Team commitment
Excellent interpersonal skills with the ability to establish working relationships with individuals at varying levels within the organization
Learns on the fly as a relentless and versatile learner; open to change; analyzes both successes and failures for clues to improvement; experiments and will try anything to find solutions; enjoys the challenge of unfamiliar tasks.

Job Type: Full-time

Pay: $70,000.00 - $85,000.00 per year

Benefits:

401(k)
Dental insurance
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities
Profit sharing
Yearly pay

Experience level:

3 years

Schedule:

Monday to Friday

Work Location: In person",-1,Wholesale,$25 to $100 million (USD),Retail & Wholesale,201 to 500 Employees,Subsidiary or Business Segment,False
Financial Operations Analyst,"Prologis
","Atlanta, GA",$75K - $91K (Employer est.),4.5,"Prologis, Inc. is the global leader in logistics real estate. In partnership with our customers and our communities, we develop modern, high-quality properties that set the standard for innovative building design and sustainability. Prologis owns or has investments in properties and development projects of ~1.2 billion square feet in 19 countries and enables 2.8% of the world’s GDP. We have committed to achieve net zero emissions by 2040. Beyond real estate, our Essentials platform optimizes the company’s global asset portfolio to provide our customers solutions that address today’s warehouse and shipping challenges. Prologis Ventures invests in logistics innovation and technology companies to modernize supply chains worldwide.
Job Title:
Financial Operations Analyst
Company:
Prologis
Prologis is looking for a Financial Operations Analyst/Associate to join our multifaceted Operations team. You will have direct accountability and ownership of budgeting, forecasting, processing, planning, analysis and reporting of multiple financial metrics for a portfolio of assets within assigned markets in our growing East Region. If you're looking to make an impact on a Global level, apply today! This role will be operating locally out of our Buckhead office.
Position Responsibilities:
Budgeting, Forecasting & Reporting
Responsible for the preparation, coordination and review of annual operating budgets, forecasts, reporting and monthly variance analysis of each assigned market.
Coordinate collection of leasing assumptions, operating and capital expenses for budgets and forecasts.
Review budget, forecast and actual results for reasonableness and take appropriate action as necessary. Examples of follow-up actions are giving feedback to the operations teams about their inputs, correcting errors found through in-depth cash flow analysis, and explaining variances between forecasts and actual monthly accounting results.
Participate in the preparation of quarterly budget and forecast presentations to divisional leadership.
Serve as the Operations Finance expert in assigned markets and be a resource to the local team.
Present forecasting, budgeting, and reporting results to Market Officer, with a focus on key performance drivers
Provide guidance to Property Management and Leasing Teams on forecasting, budgeting, and reporting systems and processes.
Act as a liaison between accounting and the local market teams
Support senior management and cross-functional business partners with timely, accurate and actionable analysis.
Track key performance indicators (KPI’s) (i.e., NOI, Same Store Sales, Occupancy, Rent Change, Turnover Costs, Capital Expenditures) and explain main performance drivers and variances.
Provide data stewardship for leasing activity from lease review through data entry, including workflow management between multiple groups to ultimately ensure that reporting captures the transactions’ character. Serve as an expert in the reporting implications of lease transactions.
Essential Skills & Experience:
Undergraduate degree, preferably with a concentration in finance, accounting, real estate, or economics
3+ years related work or related graduate course work experience. Budgeting and forecasting experience is a plus.
Excellent analytical and written communication skills, including the ability to present and engage with regional management team members.
Advanced Excel modeling skills a must
Proficient using Word and PowerPoint
Self-starter – ability to creatively tackle new situations and analyses without heavy direction.
High level of intellectual curiosity with strong desire to continuously learn, improve / automate existing processes and solve problems independently.
Meticulous attention to detail and accuracy
Execute responsibilities with a sense of urgency and follow-through.
Positive and proactive work ethic, with a strong commitment to delivering a high level of customer service.
Demonstrated ability to prioritize and manage multiple assignments in a fast-paced environment to meet deadlines with efficiency and accuracy.
Show tact, discretion, confidentiality and good judgement in handling sensitive and confidential matters and documentation.
Hiring Salary Range of: $75,000–$91,000. Salary and whole compensation package (bonus target) to be determined by the candidate’s location, education, experience, knowledge, skills, and abilities, as well as internal equity and alignment with market data.
#LI-AN1
People First
Each of us working at Prologis plays an essential role in the enduring success of our company. We value people who are decisive, courageous and adaptable. While we are one company, locations and departments operate with autonomy and accountability. Individuals take the initiative here.
When you join Prologis, you work shoulder to shoulder with some of the top talent in the industry to do the best work of your career. Every employee belongs. Every employee contributes. Employees advance their careers here.
As a successful global enterprise, Prologis has never lost sight of what matters most, our strong belief that our people are the most important part of our business. And because of that, we provide a generous total rewards package and take a lot of time to focus on quality management and leadership development. People come first here.
All full-time roles in the US come with a robust benefits package which includes healthcare, dental, and vision insurance for employees and eligible dependents. Prologis also offers several other wellness, financial, and work/lifestyle-specific benefits. Our 401(k) retirement plan has a company match of 50% up to 12% of eligible compensation. We also offer generous PTO with a starting accrual of 22 days a year in addition to paid holidays and volunteer time.
All job offers are contingent upon successful completion of drug screen and background verification. Prologis is an Equal Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religions, sex, national origin, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by law.
Employment Type:
Full time
Location:
Atlanta, Georgia
Additional Locations:",1983,Real Estate,$1 to $5 billion (USD),Real Estate,1001 to 5000 Employees,Company - Public,False
Business Tax Analyst,"Patterson & Dewar Engineers
","Norcross, GA",$59K - $81K (Glassdoor est.),4.2,"P&D seeks a Business Tax Analyst to join our corporate team. Reporting to the CFO, this position is responsible for managing business-critical tasks related to sales, use, and other non-income related taxes including the filing of applicable tax returns. This is a role well suited to an ambitious and experienced professional who is self-motivated, works well independently and in a team setting.

Responsibilities

The analyst will work alongside the CFO and Corporate Controller to perform various tax related tasks including (but not limited to):

Prepare/file/process payments for multi-state sales and use tax returns, business licenses, annual reports, and other miscellaneous tax returns
Improve current tax filing processes, research, and respond to inquiries from taxing authorities
Research tax laws related to sales, use, business licensing, and other taxes to ensure compliance with all applicable tax laws based upon the relevant jurisdiction
Gather, prepare, and upload applicable tax related information for customers/vendors into Deltek VantagePoint (ERP)
Collect, analyze, and evaluate tax certificates, W-9 forms, and other relevant tax information for upload into ERP
Assist with technical research supporting tax positions taken in tax filings, including drafting written memorandums
Contact tax agencies to obtain relevant tax information, resolve issues, and reconcile tax notices
Monitor multi-state jurisdiction sales tax legislation, rate changes, pronouncements, and other current developments that impact the taxability of business operations
Effectively communicate with internal staff, taxing authorities, customers, and suppliers on tax matters
Assists with tax audits
Assist management and accounting teams with tasks, as needed

Preferred Skills and Qualifications

We look for team players who are eager to learn, grow and excel. You should be accountable, self-directed, professional, and open to the possibilities that exist for you at P&D. Our firm was built by cultivating long-term relationships based on exemplary service and integrity. Candidates should be like-minded in that regard, willing to go the extra mile to exceed customer expectations. Candidates should have:

Basic accounting/tax rules knowledge
Ability to work independently or as part of a team
Analytical mindset with a keen attention to detail
Strong written and verbal communication skills
Proficiency in Microsoft Office
Possess a strong work ethic, personal and professional integrity, and a positive attitude
Ability to develop new or enhanced tax reporting processes and procedures to improve efficiencies and mitigate tax risks for the business

This position will require occasional travel (up to 25% of the time). May be asked to work extended hours in order to meet project deadlines. Candidates must pass a background check prior to employment.

P&D is an employee-owned company, where all full-time employees have the opportunity to own stock – and most do. We offer competitive compensation, a comprehensive benefits package, and the opportunity to learn, grow, and contribute to a vibrant culture that stands the test of time.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Work Location: Multiple locations",1947,Architectural & Engineering Services,$25 to $100 million (USD),"Construction, Repair & Maintenance Services",51 to 200 Employees,Company - Private,True
Business Analyst,Universal Business Solutions,"Atlanta, GA",$64K - $90K (Glassdoor est.),-1.0,"Business Analyst
Atlanta, GA ( Must Live in the Atlanta Area )
1 Year Contract (W2)

The Business Analyst will support the Clients Application within the Office of Information Technology and will be responsible for interfacing with the clients Services to review requirements, lead JAD sessions, schedule meetings, prepare test plans, and create system requirement documents for use by system analyst to produce detail design documents for specific projects.

Job Responsibilities:


Writes and maintains test plans based on software requirements and design documents
Participates in the development of change control standards and procedures that appropriately fit the needs of the technical team and updates these procedures as the needs change.
Verifies that system requirements are traceable, consistent, complete, and testable.
Writes checklist to track all components involved in application changes
Performs requirements, design and code walk through /reviews as requested
Recommends corrective action to ensure compliance with test plans.
Develops and maintains comprehensive documentation on all standards and ensures that the information is appropriately published and distributed
Verifies that software applications perform in accordance with system requirements and specifications
Tests software applications for concrete, consistent, observable results.
Tests new change control and testing tools to ensure proper installation and maintenance and to measure tool performance
Verifies function, performance, integration, and acceptance test results are in accordance with application and departmental standards
Measures the severity of failures and defects in accordance with test plan guidelines.
Accurately and thoroughly documents application performance failures and defects during each quality review session.
Clearly and accurately communicates test results to programming staff and/or appropriate management staff.
Regularly enters issues/defects related to the test life cycle or change control environment into applicable tracking system.
Updates applicable tracking system with problem solutions and status.
Conducts testing meetings, as necessary, for problems encountered during the test life cycle.
Acts as liaison for application groups and external agencies
Assists users in developing test plans, test scripts, and implementation plans as requested
Provides reports showing status and activity in the change control environment to technical teams and appropriate management staff.

Qualifications:

Bachelor's degree in computer science or a related area
Three (3) years' experience as an IT Business Analyst (requirements gathering, business process mapping.)
Demonstrated knowledge of Testing methodology and practices.
Must have good knowledge of Microsoft Project/Sharepoint Workspace planning too
Must have excellent customer service skills with strong decision-making capabilities
Must have excellent verbal and written communication skills

Preferred Qualifications:


Previous experience with Health and Human Services Systems
Previous experience in state government",-1,Information Technology Support Services,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Business Labor Analyst - Airport Operations,"GAT Airline Ground Support
","Peachtree City, GA",$50K - $60K (Employer est.),3.3,"GAT Airline Ground Support is seeking a highly motivated individual, a self-starter, and a team player, with a strong drive for results and continual improvement. By joining our team, you will enjoy a competitive salary, great benefits, and a creative and energetic work environment.

Job Summary:
The Resource Planning Analyst role is responsible for labor planning for airport operations through intermediate-level analysis. The role requires generating monthly forecasts in order to make recommendations related to staffing levels at specific stations. The position requires applying and creating staffing models to forecast & analyze labor requirements based on passenger volumes, flight schedules, flight peak changes, and anticipated changes in technology and business processes. The role requires presenting financial analyses and reports to department and station leadership. Additional responsibilities include using variance reports, identifying the financial impact of potential changes to employee labor contracts, labor productivity, and operational performance metrics as well as providing ad-hoc scenario analysis.

As member of the Resource Planning team, the resource planning analyst is assigned a geographic region of stations to support. Applies resource planning tools, staffing standards, volume forecast and labor constraints to develop optimal staffing recommendations for future flight schedules for assigned stations
Reviews recommendations with assigned stations and works with Station GM or their designate to finalize personnel authorization levels for each month
May also gather standard methodology data and may make program/process recommendations to support corporate/division programs and policy updates
May support ongoing or special analyses related to future flight schedules, potential staffing standards changes, pivotal initiatives and potential changes to labor agreements
May be responsible for overseeing low to medium visibility projects within division
Collaborate with all levels of employee groups
Proactively seeks out opportunities on process improvement for department and field organizations
Proactively finds opportunities to reduce service defects and cost to serve
GAT Airline Ground Support values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply. While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes! We are always looking for individuals who will bring something new to the table.

What’s needed to succeed (Minimum Qualifications):

Bachelors degree
Proficient in Excel and Microsoft Office
Self-starter, analytical, problem solver, and has proficiency in measurement, assessment, and evaluation
Capacity/staffing modeling experience
Must be legally authorized to work in the United States for any employer without sponsorship
Reliable, punctual attendance is an essential function of the position
What will help you propel from the pack (Preferred Qualifications):

Bachelors in a quantitative or operations related field (Ex: operations management, engineering, statistics, math, business, economics)
Experience working in or with operations
#INDGATUSLOW",1967,Taxi & Car Services,$100 to $500 million (USD),Transportation & Logistics,1001 to 5000 Employees,Company - Private,True
Business Analyst,"Hueman PE Talent Solutions
","Marietta, GA",$80K - $110K (Employer est.),4.1,"Young Consulting is searching for an experienced Business Analyst to join our team in Atlanta, GA. We are looking for someone with a strong Insurance background who can partner with our clients and Developers to document system and reporting requirements. The Business Analyst is a critical role in the organization and will be responsible for documenting requirements for system enhancements and reports and translating those business requirements to technical specifications.

As the Business Analyst you will:

Interact with stakeholders at various levels
Work with clients to gather requirements and put together documentation for developers to meet client requirements
Work with business partners to define and document system enhancements and reports
Use Front-End systems to validate reports
Perform User Acceptance Testing (UAT) to identify and rectify issues
Address ad-hoc reporting and analytics requests, with an eye on addressing the underlying business challenges
Recognize patterns and changing requirements to identify opportunities to build new analytics

In order to be successful in the role you must possess:
3+ years’ experience in a Business Analyst or Data Analyst role
BS in Business Administration or Computer Science
Insurance industry experience
Proficiency in Advanced MS Excel functionality (i.e., Pivot Tables, VLOOKUPS, custom functions)
Ability to translate business requirements to technical specifications (and vice versa)
Ability to think outside the box when solving complex challenges
Ability to successfully work with personnel at all levels in the organization
Comfortable pulling reports from BI tools, such as Tableau, SSRS, PowerBI, etc.
Proven work ethic with the ability to work within set timelines and update management on deviation from these estimates
Strong interpersonal and communication skills


Young Consulting is the market leader in providing software solutions to the employer stop-loss marketplace. We develop integrated software solutions for the marketing, underwriting, and administering of medical stop-loss insurance for carriers, brokers, and third-party administrators. If you are ready to work with an innovative organization where you will be heard, please apply today!",2016,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,True
Business Intelligence Analyst,Walk-On's Enterprises,United States,-1,-1.0,"JOB TITLE: Business Intelligence Analyst

DEPARTMENT: Analytics

JOB LOCATION: Atlanta

STATUS: Exempt

REPORTS TO: Director of Finance & Analytics

LAST REVISION: November 2023

COMPANY OVERVIEW

Walk-On’s Sports Bistreaux was founded in 2003 by two former walk on basketball players for the LSU basketball team. The concept started as a school project where these two walk-ons got a C on the project. The walk on mentality and the dream to open a sports bar that served great Louisiana cuisine near LSU kept the founders busy at work, looking for a location and financing to bring the dream alive. Walk-On’s was voted ESPN’s #1 Sports Bar in North America in 2012, NFL quarterback Drew Brees invested in the company in 2015 and today Walk-On’s owns and franchises 80+ locations. Our Purpose is to bring people together and Vision is to be More Than a Restaurant that inspires a lifestyle that embraces the underdog mindset in all of us. Walk-On’s management team is focused on being the best franchisor in the industry and has hired great talent ahead of the need to achieve this mission.

SUMMARY DESCRIPTION

The Business Intelligence Analyst will report to the Director of Finance & Analytics and will partner cross-functionally with marketing, operations, finance, technology and other key stakeholders within Walk-On’s. The Business Intelligence Analyst will ensure data accuracy and consistent reporting by designing and creating optimal processes and procedures for the analytics function. They will use advanced data modeling, predictive modeling and analytical techniques to interpret key findings from company data and leverage these insights into initiatives that will support business outcomes. The right person for the job will apply their exhaustive knowledge of data analysis to solving real-world problems faced by our company and finding opportunities for improvement across multiple projects, teams and business units.

RESPONSIBILITIES

Strong SQL skills, ability to perform effective querying involving multiple tables and subqueries.
Expertise with Microsoft data and business intelligence tools including Azure Data Lake Store, Azure Data Lake Analytics, Azure Synapse Analytics, Azure Stream Analytics, Power Automate, and PowerBi.
Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics.
Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes.
Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.
Examine, interpret, and report results of analytical initiatives to stakeholders in leadership, technology, sales, marketing and operations teams.
Oversee the data/report requests process: tracking requests submitted, prioritization, approval, etc.
Anticipate future demands of initiatives related to people, technology, budget and business within your department and design/implement solutions to meet these needs.
Organize and drive successful completion of data insight initiatives through effective management of analyst and data employees and effective collaboration with stakeholders.
Communicate results and business impacts of insight initiatives to stakeholders within and outside of the company

Qualifications

Working knowledge of data mining principles: predictive analytics, mapping, collecting data from multiple data systems on premises and cloud-based data sources.
Understanding of and experience using analytical concepts and statistical techniques: hypothesis development, designing tests/experiments, analyzing data, drawing conclusions, and developing actionable recommendations for business units.
Experience and knowledge of statistical modeling techniques
Experience using analytics techniques to contribute to company growth efforts, increasing revenue and other key business outcomes.
Strong ability to plan and manage multi processes, people and projects simultaneously.
Excellent communication, collaboration and delegation skills.
Strong problem solving, quantitative and analytical abilities.
Expert Excel modeling skills and experience with Word and PowerPoint.

Education and Experience

4+ years of relevant industry experience in the areas of Strategic Analytics, Business Intelligence, Business Economics, Data Science, or Consulting
Graduate degree, preferably MS in Engineering, Data Science, Economics, Statistics, Mathematics, or related technical discipline.
Hospitality, Casual Dining, QSR or Fast Casual experience preferred

Travel Requirements

Ability to travel 0-10%.

Walk-On's Enterprises provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Ability to commute/relocate:

Atlanta, GA 30346: Reliably commute or planning to relocate before starting work (Required)

Experience:

relevant strategic analytics & business intelligence: 4 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
