Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Medicare Stars Business Data Analyst,"Hawaii Medical Service Association
","Honolulu, HI",$57K - $85K (Glassdoor est.),2.8,"Job Summary

**Hybrid Work Environment - Must reside in Hawaii **

Serves as a high-level business data analyst to inform initiatives and strategy within the Medicare Stars team. Works independently to monitor Medicare Star Ratings program performance at the plan and measure level and manages all aspects of Stars performance data: identification, synthesis of disparate sources, analysis, management, reporting and visualization. Supports efforts with internal and external partners by providing relevant and actionable data.

Duties and Responsibilities

Research and Analysis:
Proactively develops, implements and/or enhances methods to extract complex data sets from available sources (e.g., HMSA data repositories, HEDIS software, external party extracts, etc.).
Integrates data and uses advanced analytical methods/tools to identify trends, issues, root causes and focused population segments. Translates data into actionable visualizations using tables, graphs, charts, written reports and presentations.
Provides insights and recommendations to internal and external partners to support Stars performance improvement initiatives.
Applies understanding of standard quality measures (e.g., HEDIS, CAHPS, HOS) to identify additional strategic improvement levers (e.g., supplemental data, benefit alignment) that may impact Stars performance.
Ensures Stars measure data is complete and accurate by implementing effective controls and validation activities.
Cross-Functional Collaboration
Participates in various projects and cross-departmental teams that support the Stars program. Prioritizes Stars performance data needs across efforts.
Serves as the Stars performance data subject matter expert in various workgroups and efforts (e.g., data strategies, HEDIS performance, provider performance platforms such as Coreo, etc.). Writes business requirements and test scripts, performs unit and system testing.
Coordinates Stars performance data activities with related quality team activities (e.g., HEDIS data team, Payment Transformation quality team, FQHC/RHC quality team).Coordinates Stars improvement activities with the HCC risk adjustment team to ensure integration and alignment of quality goals with HCC risk adjustment objectives.
Represents HMSA in Blues plan and/or other industry work groups to compare best practices for improving Stars performance data.
Stars Performance Monitoring
Maintains a thorough understanding of the Medicare Part C & D Star Ratings Technical Notes. Monitor proposed changes, proactively identify potential risks to Stars performance, as well as associated mitigation strategies.
Gathers data to create and publish the Stars dashboard and related metrics on a monthly basis. Proactively identifies and supports acquisition of new data sources.
Distributes actionable data to facilitate Stars performance monitoring against current targets and year-end projections.
Works with internal and external teams to proactively identify and implement Stars dashboard enhancements.
Validates CMS Stars plan performance reports (e.g., First Plan Preview, Westat MCAHPS reports) against internal data.
Other Duties/Functions
Performs all other miscellaneous responsibilities and duties as assigned or directed.
#LI-Hybrid

Exempt or Non-Exempt

Exempt

Minimum Qualifications

Bachelor's degree and four years of related work experience; or equivalent combination of education and related work experience.
Demonstrated knowledge in identifying issues, collecting data, and analyzing and interpreting data.
Intermediate working knowledge of Microsoft Office applications including Word, PowerPoint and Outlook.
Advanced working knowledge of Microsoft Excel.
Intermediate working knowledge of MicroStrategy, SQL, SAS, Access, R or other business intelligence language/tools.
Intermediate working knowledge of Tableau or other data visualization tools.",1938,Insurance Carriers,$500 million to $1 billion (USD),Insurance,1001 to 5000 Employees,Company - Private,False
Business Analyst-Part Time,"Premier Solutions Hi, LLC
","Honolulu, HI",$58K - $97K (Glassdoor est.),3.6,"Job Purpose

The Business Analyst is responsible for supporting the Government using creative and technical skills to locate data sources and maintain the operational effectiveness of administrative support. To assess, analyze and perform functional allocation to identify required tasks and their interrelationships and determine functional and cross-functional requirements.WIll work on Hawaii time.




Duties and Responsibilities

The job duties and responsibilities include, but are not limited to the following:

Using data to develop and optimize strategies and processes, increase profits, efficiency, quality, or security, and reduce costs.
Processing Telecommunication Service Requests and Telecommunication Service Orders
Working with internal departments to collect data and develop and implement strategies.
Identifying and validating new data sources.
Preparing Monthly Status Reports on key personnel assigned on the contract.
Creating reports and presentations to summarize findings and influence company decisions.
Establishing project objectives, budgets, and timelines, monitor progress, and evaluate performance.
Implementing policies and procedures that keep company data and information secure as it is collected, analyzed stored, and discarded.
Reviewing and improving analytics processes, methods, and tools to increase efficiency, accuracy, and security.
Collecting and analyzing raw data to identify trends, patterns, anomalies, and other helpful information.
Providing centralized administrative, clerical, documentation, and related functions.
Gaining access to and update Communication Service Authorization telecommunication data into Mainframe Application.
Researching billing issues with telecom service providers using administrative support
Assisting in performing telecommunication support with telecommunication service providers
Filing contract documentation in Electronic Document Management System. Uses EDMS to locate Statement of Completion Notices if not received via email.
Inputting data on a weekly basis.
Conducting research and support actions directly related to contract administration and closeouts.
Ordering for Network Services after Contracting Officer approval
Preparing orders, amends, and changes for contract requirements.
Entering and constructing orders for all telecom requirements and adjust records as necessary.
Managing/maintaining all Telecom requirements and updating data systems as needed.
Using mainframe reporting tools, Financial Accounting Management Information System and Telecommunication Services Enterprise Acquisition, Services Inventory and Billing Information
Acting as a resource for customer service, technical support, and other departments
Providing on-site support to customers and staff after system delivery.




Qualifications

Minimum Education & Experience:

Bachelor’s degree or equivalent in computer science, mathematics, business management, or economics
Minimum of 3 years of video-tele-conference (VTC) system analysis and troubleshooting experience
Proficiency with statistics and dataset analytics (using SPSS, SAS, Excel)
Ability to recognize patterns and trends in large data sets and use numerical information to develop business strategies.
Strong math, organization, critical thinking, and problem-solving skills.
Exceptional presentation, research, and verbal and written communication.
Proficient in using mainframe reporting tools such as XPTR, financial accounting acquisition services (TSEAS) Inventory and billing information.
Must be a US Citizen.

Minimum Skills, Knowledge, & Abilities:

Extensive Knowledge and proficiency with Microsoft Office Suite and Adobe Acrobat Office Suite
Must be able to effectively organize, execute, and follow-up on projects.
Advanced analytical skills with experience collecting, organizing, and disseminating abundant information accurately.
Excellent interpersonal skills to work effectively with teams throughout organization.
Excellent customer service skills and phone skills are required.
Ability to learn quickly, problem solve, and take charge confidently.
Attention to detail and strong communication (oral and written) skills.



About Premier Solutions HI, LLC

Premier Solutions HI, LLC (PSHI) is a minority woman-owned technology services company headquartered in Honolulu, Hawaii. PSHI specializes in providing support services to several organizations and government agencies in the areas of information technology (IT) and network management; software development, web and other content management; document management, business process improvement; and content digitization; program management; and administrative and professional support services.




PSHI is an Equal Opportunity Employer and strives to provide equal employment opportunity to all applicants and staff in accordance with sound employee relations practices and federal and state laws. All qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, gender identity or expression, marital status, ancestry, genetic information, pregnancy status, or any other characteristic protected by law.",-1,Information Technology Support Services,$5 to $25 million (USD),Information Technology,1 to 50 Employees,Company - Private,True
Business Analyst II,"Ohana Health Plan
","Honolulu, HI",$62K - $87K (Glassdoor est.),3.7,"You could be the one who changes everything for our 28 million members. Centene is transforming the health of our communities, one person at a time. As a diversified, national organization, you’ll have access to competitive benefits including a fresh perspective on workplace flexibility.


Position Purpose: Perform various analysis and interpretation to link business needs and objectives for assigned function

Support business initiatives through data analysis, identification of implementation barriers and user acceptance testing of new systems
Identify and analyze user requirements, procedures, and problems to improve existing processes
Perform detailed analysis on assigned projects, recommend potential business solutions and assist with implementation
Identify ways to enhance performance management and operational reports related to new business implementation processes
Develop and incorporate organizational best practices into business applications
Lead problem solving and coordination efforts between various business units
Assist with formulating and updating departmental policies and procedures
Education/Experience: Bachelor’s degree in related field or equivalent experience. 2-4 years of business process or data analysis experience, preferably in healthcare. Advanced knowledge of Microsoft Applications, including Excel and Access preferred. Project management experience preferred.

Benefits and Payment Configuration:
Compliance Coding/Prepay Compliance (Payment Integrity): Bachelor’s degree in related field or equivalent experience. 2+ years of business process analysis, preferably healthcare (i.e. documenting business process, gathering requirements) or claims payment/analysis experience. Advanced knowledge of Microsoft Applications, including Excel and Access preferred. Knowledge of managed care information systems and experience in benefits, pricing, contracting or claims preferred. Knowledge of provider reimbursement methodologies preferred. Previous structured testing experience preferred.

Encounters: Bachelor’s degree in related field or equivalent experience. 2+ years of business process analysis (i.e. documenting business process, gathering requirements) experience in healthcare industry or 1+ years of managed care encounters experience. Advanced knowledge of Microsoft Applications, including Excel and Access preferred. Knowledge of claims and/or encounter processing and data analysis experience preferred. Understanding of HIPAA transactions (i.e. 837, 999, 824, 277) preferred. Knowledge of managed care information systems and experience in SQL scripting preferred.

Provider Data: Bachelor’s degree in related field or equivalent experience. 2+ years of business process analysis (documenting business process, gathering requirements) experience in healthcare industry and/or working in a data driven environment. Advanced knowledge of Microsoft Applications, including Excel, Project, and Visio preferred. Knowledge of data migration, software enhancement/planning, and Agile preferred.

Member & Provider Solutions: Bachelor’s degree in related field or equivalent experience. 2+ years of business process analysis (i.e. documenting business process, gathering requirements) experience in healthcare industry and/or customer service or enrollment functions. Advanced knowledge of Microsoft Applications, including Excel and Visio preferred. Experience managing projects with a high reliance on technology. Knowledge of data integration, software enhancements/planning and Agile preferred.


Our Comprehensive Benefits Package: Flexible work solutions including remote options, hybrid work schedules and dress flexibility, Competitive pay, Paid time off including holidays, Health insurance coverage for you and your dependents, 401(k) and stock purchase plans, Tuition reimbursement and best-in-class training and development.


Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",1984,Insurance Carriers,$10+ billion (USD),Insurance,10000+ Employees,Company - Public,False
Business Analyst-Part Time,"Alakaʻi Services and Poe'hana Group, Inc.","Honolulu, HI",-1,-1.0,"Job Purpose

The Business Analyst is responsible for supporting the Government using creative and technical skills to locate data sources and maintain the operational effectiveness of administrative support. To assess, analyze and perform functional allocation to identify required tasks and their interrelationships and determine functional and cross-functional requirements. WIll work on Hawaii time.




Duties and Responsibilities

The job duties and responsibilities include, but are not limited to the following:

Using data to develop and optimize strategies and processes, increase profits, efficiency, quality, or security, and reduce costs.
Processing Telecommunication Service Requests and Telecommunication Service Orders
Working with internal departments to collect data and develop and implement strategies.
Identifying and validating new data sources.
Preparing Monthly Status Reports on key personnel assigned on the contract.
Creating reports and presentations to summarize findings and influence company decisions.
Establishing project objectives, budgets, and timelines, monitor progress, and evaluate performance.
Implementing policies and procedures that keep company data and information secure as it is collected, analyzed stored, and discarded.
Reviewing and improving analytics processes, methods, and tools to increase efficiency, accuracy, and security.
Collecting and analyzing raw data to identify trends, patterns, anomalies, and other helpful information.
Providing centralized administrative, clerical, documentation, and related functions.
Gaining access to and update Communication Service Authorization telecommunication data into Mainframe Application.
Researching billing issues with telecom service providers using administrative support
Assisting in performing telecommunication support with telecommunication service providers
Filing contract documentation in Electronic Document Management System. Uses EDMS to locate Statement of Completion Notices if not received via email.
Inputting data on a weekly basis.
Conducting research and support actions directly related to contract administration and closeouts.
Ordering for Network Services after Contracting Officer approval
Preparing orders, amends, and changes for contract requirements.
Entering and constructing orders for all telecom requirements and adjust records as necessary.
Managing/maintaining all Telecom requirements and updating data systems as needed.
Using mainframe reporting tools, Financial Accounting Management Information System and Telecommunication Services Enterprise Acquisition, Services Inventory and Billing Information
Acting as a resource for customer service, technical support, and other departments
Providing on-site support to customers and staff after system delivery.




Qualifications

Minimum Education & Experience:

Bachelor’s degree or equivalent in computer science, mathematics, business management, or economics
Minimum of 3 years of video-tele-conference (VTC) system analysis and troubleshooting experience
Proficiency with statistics and dataset analytics (using SPSS, SAS, Excel)
Ability to recognize patterns and trends in large data sets and use numerical information to develop business strategies.
Strong math, organization, critical thinking, and problem-solving skills.
Exceptional presentation, research, and verbal and written communication.
Proficient in using mainframe reporting tools such as XPTR, financial accounting acquisition services (TSEAS) Inventory and billing information.

Minimum Skills, Knowledge, & Abilities:

Extensive Knowledge and proficiency with Microsoft Office Suite and Adobe Acrobat Office Suite
Must be able to effectively organize, execute, and follow-up on projects.
Advanced analytical skills with experience collecting, organizing, and disseminating abundant information accurately.
Excellent interpersonal skills to work effectively with teams throughout organization.
Excellent customer service skills and phone skills are required.
Ability to learn quickly, problem solve, and take charge confidently.
Attention to detail and strong communication (oral and written) skills.
Must be an U.S Citizen


About Alakaʻi Services Group Inc. / Poʻe Hana Group, Inc

Alaka‘i Services Group Inc. (ASGI), a subsidiary of the Alaka‘i Foundation Group Inc., is a Native Hawaiian Organization (NHO)-Owned Small Business serving the U.S. Department of Defense and other Federal Government Clients.




Headquartered in Honolulu, Hawaii, Poʻe Hana Group, Inc. (PGI) is a talent management, staffing, and administrative support services company. PGI specializes in providing HR and administrative services to the Alakaʻi family of NHO companies.




PGI is an Equal Opportunity Employer and strives to provide equal employment opportunities to all applicants and staff in accordance with sound employee relations practices and federal and state laws. All qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, gender identity or expression, marital status, ancestry, genetic information, pregnancy status, or any other characteristic protected by law.",-1,-1,-1,-1,-1,-1,True
Business Systems Analyst,"Hawaii Dental Service
","Honolulu, HI",$59K - $85K (Glassdoor est.),4.0,"POSITION SUMMARY
Provides application support to user Departments. Acts as the key liaison between the business community, vendors, and Information Technology Systems. Translates departments’ high-level requirements into functional specifications for ITS and manages changes to such specifications. Uses a variety of platforms to provide automated systems and applications to users. Responsible for implementation and support of applications, unit testing (quality assurance testing), requirements gathering, compiling, and synthesizing information with regard to technology processes and/or systems and support other IT devices, equipment and systems. Codes, defines criteria, performs testing, debugging and documents and maintains programs.

ESSENTIAL DUTIES AND RESPONSIBILITIES
Provides tier 1 and tier 2 Helpdesk support to resolve application and technical problems. Performs Unit testing for applications.
Serves as the key owner for assigned applications. Works with users and the rest of the ITS to resolve issues.
Performs analysis and documents business processes leading to process change and/or system implementation. Documents business requirements, defines processes, analyze business department user's or project owner's needs and recommends solutions to increase effectiveness of process flow.
Translates business/functional requirements into technical terms which can be understood by the developers. Also, interprets technical terminology into layperson terms for business department users or project owners. Meets with developers to explain system specifications. Meets with business department users or project owners to facilitate the development of end user training materials and the adoption of new business processes.
Performs or facilitates the necessary coding for interfacing of software applications to improve efficiency of information exchange. Utilizes the latest industry standards for information exchange, ASTM, FHIR, etc.
Maintains complete application system documentation and prepares procedures for environments managed.
Analyzes the user Department’s use of information systems and recommends improvements to business unit’s automated processes and functions. Analyzes and evaluates present or proposed business procedures or problems to define information system’s needs.
Serves as System Administrator for supported applications.
Works with vendors and users to facilitate the acquisition, implementation and maintenance of information systems.
Collaborates with interested departments in the selection and setup of information system applications appropriate to their activities.
Serves as a key champion for the Department on Information Systems Issues within ITS and User Departments.

MINIMUM QUALIFICATIONS AND EXPERIENCE
Education
Bachelor’s Degree in Computer Science, Engineering, Business, Health Care or related field, or an equivalent combination of education, training, and experience.

Experience
One or more years working experience in analyzing, recommending, implementing, and supporting solutions to complex business workflow problems.
Experience with Salesforce preferred.

Skills and Knowledge
Ability to organize, analyze and solve complex problems with attention to detail and accuracy.
Ability to handle multiple tasks and prioritize with some distractions.
Ability to handle information in a confidential manner and maintain compliance with HDS policies and federal/state laws.
Ability to communicate both orally and in writing with all levels of staff, customers, and vendors on sensitive matters.
Ability to translate technical concepts into non-technical terms.

Note: The above information on this description has been designed to indicate the general nature and level of work performed by an employee in this classification. It is not to be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications of employees assigned to this job. Hawaii Dental Service has the right to add to, revise, or delete information in this description. Reasonable accommodations will be made to enable qualified individuals with disabilities to perform the essential functions of this position.",-1,Insurance Carriers,$100 to $500 million (USD),Insurance,51 to 200 Employees,Nonprofit Organization,True
Digital Banking Business Analyst,"First Hawaiian Bank
",Hawaii,-1,3.7,"Digital Banking Business Analyst

First Hawaiian Bank is currently seeking a Digital Banking Business Analyst to join our Digital Banking Division! The Digital Banking Business Analyst is responsible for acting as the primary liaison between the business units, stakeholders, and technical staff to implement and support Digital Banking Systems which include but are not limited to Online Banking, Mobile Banking, and Online Account Opening. In addition to business analyst duties, this position may be responsible for managing various projects.

The successful candidate will be hired for the level of the position that aligns with their experience.

The ideal candidate will have:

3-5 years professional level experience in applications support or related banking experience required.
Bachelor’s Degree in Management Information Systems, Business Administration, or related field, or equivalent experience required.
Business Analyst certification from a reputable organization (e.g. IIBA) preferred.
Knowledge of the financial services industry (e.g. retail, mortgage/loans/deposits and wholesale banking).
Knowledge of mainframe or client server applications.
Clearly communicate and effectively articulate ideas and thoughts verbally.
Ability to capture and document business requirements for stakeholder approvals.
Analytical, problem solving and decision-making skills.
Ability to communicate effectively verbally and in writing.
Ability to demonstrate interpersonal and team building skills and manage conflict.
Skill in understanding and focusing on the business unit needs, establishing credibility and building relationships with business units.
Ability to plan, organize and budget.
Possesses attention to detail with excellent follow-through.
Ability to work under pressure with multiple deadlines.",1858,Banking & Lending,$500 million to $1 billion (USD),Financial Services,1001 to 5000 Employees,Company - Public,False
Credit Originations Business Analyst II,"First Hawaiian Bank
","Honolulu, HI",$52K - $77K (Glassdoor est.),3.7,"First Hawaiian Bank is currently seeking a detail-oriented Credit Originations Business Analyst II to join our Consumer Credit & Originations team. In this role, you’ll be responsible for assisting with the development, implementation, and maintenance of existing, new or enhanced computerized systems and business processes. Review business and application processes to improve efficiency and reduce costs. Document business requirements that align with bank’s system development and project life cycle (PLC) and serve as a liaison between the business units and Systems Administrator to implement and maintain the Loan Origination System (LOS).

The successful candidate will be hired for the level of the position that aligns with their experience.

Work Schedule

Monday-Friday 8:00am-5:00pm (hours may vary)

The ideal candidate will have:

Bachelor's degree in Computer Science or Information Management Systems, or equivalent work experience. Familiar with web application development and programming languages such as HTML5, CSS, Java and understanding relational databases required.
Master’s degree in Management Information Systems (MIS) preferred.
Minimum 2 years of related work experience with web based applications, collecting and documenting businesses requirements. Familiar with relational databases, scripting, and batch files.
3-5 years of banking experience preferred.
Business Analyst Certification or equivalent preferred.
Must work and communicate effectively both verbally and in writing with all levels of bank management, vendors, auditors, consultants and regulators.
Possesses strong analytical, problem solving and decision-making skills.
Ability to work independently with minimal supervision and have excellent time management skills.
Good knowledge of the Bank’s Project Life Cycle (PLC) process and documentation.
Effective planning, time management and visioning skills to manage multiple, competing deadlines and projects.
Demonstrated interpersonal skills to gain clients’ confidence, trust and respect.
Training and/or work experience in problem resolution strategies.
Proficiency in computer skills for Microsoft Office applications.
Able to work professionally, courteously and efficiently with customers, vendors and Bank personnel at all levels.

About First Hawaiian Bank

Are you interested in working alongside a group of dynamic thinkers, innovators, and leaders who thrive together as a team? Looking for a fun, collaborative, and challenging environment where you are empowered to make decisions? Would you like the opportunity to grow professionally and personally within a forward-thinking company? If so, you've come to the right place. At First Hawaiian Bank, we invest in you. We offer an award-winning training and development program to set you up for success. We pride ourselves on our company culture and core values: Caring, Character, and Collaboration. We also offer a comprehensive benefits program, including medical, 401(k), life insurance, tuition reimbursement, paid vacation, retiree benefits, and more!

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Education:

Bachelor's (Required)

Experience:

business analyst: 2 years (Required)
programming (HTML5, CSS, Java): 2 years (Required)

Work Location: In person",1858,Banking & Lending,$500 million to $1 billion (USD),Financial Services,1001 to 5000 Employees,Company - Public,True
Business Analyst I - Medicare Programs,"Hawaii Medical Service Association
","Honolulu, HI",$53K - $77K (Glassdoor est.),2.8,"Job Summary

**Hybrid Work Environment - Must reside in Hawaii **

Support the development and implementation of required activities to ensure compliance with Centers for Medicare and Medicaid Services (CMS) requirements and mandates that ensures compliance with Medicare contracting requirements.

Coordinate operational activities with appropriate department personnel; work with manager to establish work plans, target dates, track and monitor work items as requested. Assist in the execution of HMSA's corrective actions to meet performance standards and support other compliance focused activities.

Duties and Responsibilities

Coordinate and monitor activities with appropriate MP and operational departments to ensure that standards are being met timely and accurately; escalate issues as needed. Conduct analysis of ad hoc and questions, research issues, and provide assistance to departments to assess impact and determine best course of action, and document decision/resolution.
Responsible for supporting, monitoring, and reporting corrective actions in response to external/internal monitoring. Coordinate the day-to-day activities needed to comply with CMS requirements.
Coordinate the regular production of unit reports. Work with others in MP and in related business areas to gather data, monitor trends, identify, and analyze anomalies. Track HMSA's compliance with CMS program standards, policies, and guidance through multiple sources, such as HMSA submitted reports to CMS, CMS generated performance metrics, and department self-reported issues.
Monitor CMS regulations and provide operational areas with impact guidance on the impact to HMSA departments and contracted vendors regulations or standards. Work with MP Admin to adjust policies, procedures, and workflows to adapt to changing requirements and identified deficiencies in current program quality and administration. Then monitor compliance via report and data validation.
Work with other MP Business Analysts to update Medicare Programs' and related operations policies, procedures, work plans and training to ensure that new processes are updated and documented.
Performs all other miscellaneous responsibilities and duties as assigned or directed.

#LI-Hybrid

Exempt or Non-Exempt

Exempt

Minimum Qualifications

Bachelor's degree and two years related work experience; or equivalent combination of education and experience.
Effective oral and written communication skills.
Strong work management and problem-solving skills.
Effective analytical and interpretive skills.
Intermediate working knowledge in Microsoft Office Word and Excel.
Basic working knowledge in Microsoft Outlook and PowerPoint.",1938,Insurance Carriers,$500 million to $1 billion (USD),Insurance,1001 to 5000 Employees,Company - Private,False
Business/Systems Analyst,"Business Solution Technologies
","Honolulu, HI",$57K - $98K (Glassdoor est.),3.4,"We are currently seeking an experienced Business/Systems Analyst to join the Business Solution Technologies (BST) team. The Business/Systems Analyst will provide consulting and analytic services for some of the largest companies in Honolulu, Hawaii, working with the project team in identifying, analyzing, and translating business requirements to viable solutions to best meet client needs.

The role will involve:

Business and systems analysis (50%)

Assisting project teams from problem assessment phase to implementation of solutions, including facilitating meetings as needed
Performing root-cause analyses and identifying potential business process improvements, including identifying the use of technology to solve business issues
Confirming, validating, and verifying accuracy of data items and relationships by reviewing information presented on application screens and/or queried from the system database
Interfacing with other vendors as needed to implement process improvements

Business requirements gathering (10%)

Interacting with client subject matter experts and technical team to identify needs and create business requirement documents
Providing input into project planning and development effort sizing
Collaborating with other key analysts and technical staff to ensure integration and alignment with client goals and objectives

Quality assurance testing (25%)

Assisting with the development, quality assurance (QA) testing, and production support of enterprise level applications
Developing QA test plans
Conducting QA testing to support technical team
Coordinating or assisting with the execution of user acceptance testing

User training (5%)

Creating, or aiding in the development of, end user training documentation
Participates in organization and training of system users

Business support (5%)

Presenting data to leadership for strategic decision making and defining business direction, while working in close partnership with counterparts at the client site
Providing education and training through written reports and oral presentations to support leadership in their decision-making process

Miscellaneous (5%)

Supporting company initiatives as assigned

The ideal candidate will have:

Knowledge

Bachelor’s degree in business administration, management information systems, computer science, or related field (required)
Demonstrated knowledge in decision making, group process facilitation, and systems integration (required)
Knowledge of Agile software development framework (desired)

Experience

Five years business analyst or systems analyst experience (required)
Five years of management consulting (desired)
Demonstrated ability to identify, analyze, and resolve issues (required)
Demonstrated ability to plan for, conduct, and document quality assurance testing (required)
Demonstrated ability to provide consulting and analytical services to all levels within an organization (desired)
Demonstrated ability to use SQL to query information out of relational databases such as Oracle or MySQL to support issue analysis and resolution development (required)
Experience in Healthcare or Education (desired)

Skills

Solid business report writing and presentation skills (desired)
Strong working knowledge of standard PC applications such as Microsoft Teams, Outlook, PowerPoint, Visio, Excel, Access, Project (required)
Working knowledge of issue management systems like Bugzilla, Mantis, or JIRA (desired)

Certifications

PMI-PBA – Professional Business Analyst (desired)
IIBA-CBAP – Certified Business Analyst Professional (desired)

Interested applicants can apply by emailing their cover letter and resume to admin@bstusa.com.",-1,Information Technology Support Services,$1 to $5 million (USD),Information Technology,1 to 50 Employees,Company - Private,False
