Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Fire Technology Manager,"City of Boise
","Boise, ID",$84K (Employer est.),3.7,"Summary Statement

Fire Technology Manager:

Optimizes and manages software systems and hardware, develops and maintains the Fire Department's Technology Strategic Plan, and provides expertise in information technology to analyze and solve complex business problems.
Oversees systems data analytics in alignment with the organizational technology strategy.
Acts as the liaison between the Information Technology Department and the Fire Department.
Works under general supervision and uses independent discretion in making decisions.

Essential Functions

Performs the full range of duties (with appropriate managerial review), including hiring, evaluating, promoting, and assigning duties; correcting inappropriate actions or behavior through communication and coaching, initiating discipline or termination as needed; and overseeing employees or a group.

Creates and maintains departmental technology strategic plans and multi-year technology roadmaps.

Partners with department leadership and city and community partners to manage fire-related technology initiatives.

Collaborates with business units to facilitate effective project management, budget management, and procurement management for technology initiatives.

Vets and manages requests for new technologies from department members.

Ensures alignment of IT resources with department priorities.

Gains knowledge of designated lines of business and identifies opportunities for operational efficiencies.

Coaches department directors and senior management on articulating technology and process strategies.

Oversees training, quality assurance, and reporting for technology solutions.

Analyzes and manages department applications and systems, ensuring accurate representation of business requirements.

Supervisory Responsibilities: Employees in this position are authorized to recommend and/or effect the full range of duties (with appropriate managerial review), including hiring, performance evaluations, transferring, promoting, assigning of significant duties, rewarding, disciplining, and terminating employment; exercise independent judgment to direct others work and have the authority to take corrective action; and, utilize people skills to communicate, motivate and direct or oversee a person, group, department, or organization.

Performs other duties as assigned. Nothing in this job description restricts management's right to assign or reassign duties and responsibilities to this position at any time.

Requirements

Required Knowledge, Experience, And Training
Bachelor’s degree in computer science, information technology, or a closely related field and six years of progressively responsible professional experience in current software integration and support, database management, and systems analysis/development.

Knowledge of: principles and concepts of business technology processes; current trends in information technology software, business systems, hardware, networks, and communications; and computer usage including related software and hardware.

Ability to: demonstrate excellent project management skills and proficiency in project management software; create systematic and consistent requirement specifications in both technical and user-friendly language, as well as produce clear, well-organized written documents; apply statistical and other research methods to address system, issue, and product challenges; work well in a team-oriented, collaborative environment; establish and maintain effective working relationships with management, staff, contractors and vendors; actively listen and communicate with strong interpersonal skills; maintain a strong customer service orientation; work logically and efficiently with keen attention to detail; communicate effectively in the English language at a level necessary for efficient job performance; and perform all essential functions as assigned by an authorized employee, supervisor and/or manager with or without reasonable accommodation.

Individuals must be capable of operating vehicles safely and have an acceptable driving record.

Preferred Knowledge, Experience, And Training
Master's degree in computer science, information technology, business, or a closely related field with eight years of progressively responsible information systems experience.

Experience in formal business analysis and developing web applications and components compatible with Windows PCs and handheld devices.

Work experience in a government or public agency setting.

Project Management Professional Certification (PMP).

Intermediate knowledge of ESRI software, ArcGIS, SDE applications, MS SQL, ArcGIS, AutoCAD and others; GIS and cartography principles and practices; coordinate systems, feature datasets, scales and graphics; geocoding techniques and address validation; spatial analysis and advanced modeling techniques; relational database principles and concepts associated with storage of spatial data.

Direct experience with department software systems: Workforce Telestaff, ESO, Intterra, Tritech CAD, Compliance Engine, Permitting software, Vueworks, Target Solutions, Faster, ArcGIS, Onbase, ESRI GIS.

Familiarity with National Fire Incident Reporting System (NFIRS) and National EMS Information System (NEMSIS) data standards.

Licensing And Other Requirements

Valid state-issued driver's license.

Special Requirements
Applicants must be able to pass:

City of Boise background check processes which include a criminal history check and reference checks in accordance with the City of Boise Hiring Process Regulation

Driving Record Check

Education Verification

Job Type: Full-time

Pay: $84,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Life insurance
On-the-job training
Paid time off
Parental leave
Professional development assistance
Retirement plan
Tuition reimbursement
Vision insurance
Wellness program

Work Location: In person",1866,Municipal Agencies,Unknown / Non-Applicable,Government & Public Administration,1001 to 5000 Employees,Government,True
Sales Support Analyst in Rexburg - Average Pay $18-$22,"Squeeze
","Rexburg, ID",$18.00 - $22.00 Per Hour (Employer est.),4.7,"***Must live within 15 miles of Rexburg, Idaho to Apply***





Earn between $18 and $30+ per hour!





Squeeze, located in Orem, Utah, is growing and hiring! We have offices in Orem and Logan Utah, as well as Rexburg, Idaho!

Squeeze is a Sales Experience (SX) vendor for many financial services companies and one of the top 100 fastest-growing companies in Utah. We are looking to fill more Customer support positions in Utah County, UT as we continue to grow! This is a fantastic opportunity for someone with drive, energy, and a desire to earn a great income while on your path to your long-term career – no prior experience necessary. Come be a part of an amazing and dynamic company with an awesome culture!

What will you do?

Build sales pipeline for our existing clients by making warm lead phone calls to ask qualifying questions to assist potential customers.
Hold a real customer support conversation with these people! We are all humans, after all.
Become knowledgeable in the field of finances, tax, and/or other fields and express the benefits of these services to customers – don’t worry, in our culture, we will teach you all you need to know through our training process! This is a great opportunity





What’s in it for me?

$12/hr base + uncapped commissions (as in, uncapped opportunity!)
Unmatched company culture – great staff, great environment
Satisfaction in helping others through stellar customer support
Flexible scheduling (22 hrs-40 hrs/week, no late nights or weekends required!)
PTO opportunity available
Daily, weekly and quarterly spiffs, bonuses, and events – amazing culture!
6 major holidays off
Weekly Catered Lunches/Desserts
Health insurance/HSA option, Dental, Vision – we support you!



Are you a fit?
We are a performance-based company and strive to support each individual with the tools they need to be successful. Here are some qualities we are looking for in our ideal candidate to contribute to our culture:

Hard-working, self-motivated, support-minded
The desire to be part of a fast-growing company
Positive attitude and outlook – be a force for good in our culture
Have a mindset of constant growth
Previous experience in any customer service/support setting is highly preferred – call center/phone support work and/or sales support experience is a major plus!
High school diploma or equivalent completed
May be asked to run and pass a background check








Learn more about our company and culture here:





https://youtu.be/I9MYcKXXYgU





http://www.instagram.com/squeezepeople





https://www.instagram.com/squeeze.rexburg/





https://www.facebook.com/SqueezeMedia





http://www.squeezemedia.com





Apply to learn more about this amazing opportunity at squeezejobs.com",2018,Beauty & Wellness,Unknown / Non-Applicable,Personal Consumer Services,1 to 50 Employees,Company - Private,False
Financial Analyst,"OpSec Security
","Meridian, ID",,2.1,"OpSec is the world leader in brand authenticity and integrity, with a heritage spanning more than 40 years. We serve many of the world’s leading brand owners, licensors, and media rights owners (including around half of the Interbrand 100 Best Global Brands 2021) and are the only provider that addresses brand value and vulnerability across physical and digital domains. OpSec is also a provider of high-security and compliance solutions to governments. At OpSec, designers work with technologists, integrators, analysts, and domain experts to ensure solutions are brand-led, practical, and effective.

Position Summary & Objective

To provide accounting support to the US Online team across month end processes, variance reporting, day to day ledger maintenance and journal entries, year-end preparation and general project work where required. Providing support and advice to other team members and maintain CDE processes.
Essential Functions Performed by the Position
Provides comprehensive financial support for assigned departments, including, but not limited to monthly performance reports, financial analysis, expense variance review, and recommendations for corrective actions when needed.
Provides monthly support to the business: Records month-end journal entries/accruals; assures all expenses are recorded in the month incurred; distribute departmental performance reports,and analyses spending variances.
Provides business analysis with particular emphasis in understanding the business or corporate group being supported.
Responsible for reconciliation of bank and intercompany accounts.
Leads accounts payable processes.
Backup for payroll processing, reporting and tax filing.
Ad hoc projects as assigned.
Knowledge, Skills and Abilities
Self-motivated and a self-starter continuously looking for process improvements.
Strong written and verbal communication skills.
Proficiency with Microsoft products, primarily Excel, Word, PowerPoint and Outlook.
Must have the ability to multitask, be self-motivated and able to work autonomously as well as in a team environment.
Possess a positive, professional attitude.
Must be able to fit in to a culture where teamwork, empowerment and dedication are of utmost important

Required Education and Experience

Bachelor’s degree in finance or related professional experience.
Minimum 5 years of related experience in a similar role.
Previous experience in an online or SaaS background desirable.
Experience with NetSuite a plus.

Licenses or Certifications Required

CPA is preferred but not required.

What we offer: OpSec offers competitive benefits, tailored to each region in which we operate. In addition to benefits, our employees enjoy perks such as company-sponsored wellness programs, volunteer opportunities, regular team building and engagement events and learning and development opportunities. We value diversity at our company. Everyone who applies with the qualifications will receive consideration for employment without regard to: age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Referral program
Vision insurance

Physical setting:

Office

Schedule:

8 hour shift

Supplemental pay types:

Bonus opportunities

Ability to commute/relocate:

Meridian, ID 83646: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Accounting: 4 years (Required)
Microsoft Excel: 4 years (Required)

Work Location: In person",1983,Security & Protective,$25 to $100 million (USD),Management & Consulting,501 to 1000 Employees,Company - Private,True
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Sales Analyst I,"Flowers Bakeries, LLC
",United States,-1,3.5,"The primary goal of the Sales Analyst I is to support Kroger sales team, competitive and/or market intelligence reporting of the company by efficiently building and maintaining reports in Business Objects (Sales Data Warehouse), IRI, AC Nielsen or other systems as directed. The Associate Sales Analyst provides database, report, master data and application validation for the reporting applications that they are assigned and support. They utilize test plans that have been developed by senior members of the team. They provide analysis for the management team as requested. Objective analysis, solid spreadsheet technical knowledge, word processing, written presentation preparation, and clear communication skills are required. Requires constant interaction with work group and other departments at the primary work location. Position requires demonstration of competency for all on-the-job activities that may have a direct or indirect effect on product safety, legality and/or quality.

Job Responsibilities
Responsibilities include, but are not limited to:

Provide support to the sales, marketing and management team by providing analysis and reports from the available tools such as AC Nielsen, IRI, Consumer Panel Data, Sales Data Warehouse, Retailer’s systems.
Support the team by completing spreadsheets and forms that support established business processes.
Continually measure, monitor and modify tactics to show progress against the team’s strategic goals.
Practices and complies with all Company policies and procedures (EEO, Harassment, Safety, Sarbanes Oxley, etc.). Performs other duties which are deemed by management to be an integral part of the job, including but not limited to fulfillment of work schedules, adherence to attendance policies, and other applicable operating rules, policies and procedures.

Desired Experience
1+ years of sales analytic or related experience (preferred)
Desired Education
Bachelor’s degree in related field.

We offer a competitive salary and an excellent total rewards package. Please reply by 12/07/2023. Resumes are active for 30 days. Interested job seekers who successfully complete the series of pre-screening questions and who appear to possess the basic qualifications for this position may be contacted for a telephone interview.


Equal Opportunity Employer/Veterans/Disability


If you need assistance with submitting your resume due to a medical condition or disability, please send an e-mail to Malinda Gwen Black at Malinda.Black@flocorp.com or 334 707-1986 .",1919,Food & Beverage Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Learning Advancement Business Systems Analyst (Contract),"Vertex Pharmaceuticals
",United States,$80.00 - $90.00 Per Hour (Employer est.),4.3,"Job Description:
The Business Systems Analyst position is part of the Data, Technology and Engineering (DTE) team, supporting Quality Systems and Vertex Innovation and External Research (VIER). This position is responsible for supporting and enhancing Vertex’s Learning Management SAAS solution provided by Cornerstone on Demand.

As Vertex works to build and enhance our existing system, we are seeking an individual who will help us research, configure, test, and document solutions to issues identified by our business stakeholders. This individual will partner with other Subject Matter Experts, both internally and via third parties. They will help us ensure that we provide a system that meets the compliance needs demanded in a validated environment while continuing to enhance Vertex’s learning ecosystem via the Learning Advancement Program.

Qualified candidates will have:
Cornerstone (or similar LMS technical experience)
GxP validation experience
System Administration, integration, and configuration experience

*** this role will not include the creating or assigning of training content ***

Key Responsibilities:
Participate in day-to-day project and support work, including analysis, documentation, configuration, testing, integration, and reporting activities.
Conduct systems analysis and configuration changes in accordance with industry Systems Lifecycle (SLC) and Vertex Change Management guidelines for a validated environment
Implement product enhancements; understand and document business processes and requirements
Manage customer support cases via case management tool
Participate in reviewing, planning, testing and implementing regularly scheduled system upgrades
Develop collaborative relationships with IT peers, Talent Management, Quality Systems, external partners, and various operational teams to help design, develop, and deliver learning solutions that satisfy business requirements
Translate technically complex analysis into easily comprehensible terms
Ensure data integrity including quality, accuracy, security, and usability of employee data and related interfaces by adhering to established processes and controls

Minimum Qualifications/EXPERIENCE
Bachelor’s degree in Computer Science, Mathematics, or other technical discipline
Minimum 3 years of relevant experience
Demonstrate the ability to quickly learn new tools based on conceptual understanding of technology
Exceptional analytical and problem-solving skills with attention to detail
Flexibility to adapt to a continually changing and fast paced business environment
Effective communications and presentation skills
Demonstrate an understanding of good project management practices as well as the fundamentals of the System Lifecyle (SLC) and Information Technology operational practices
Familiar with Microsoft Office products (e.g. Outlook, Excel, PowerPoint, OneNote)
Experience administering Cornerstone on Demand preferred
Experience with Learning Management Systems preferred
Pharmaceutical industry experience including GxP requirements preferred
Proficiency leveraging analytical languages and tools preferred (e.g. SQL, PowerBI)
Pay Range:
$80-$90/hr
Requisition Disclaimer:

This job posting is for a temporary role with a third-party agency partner on assignment at Vertex Pharmaceuticals (“Vertex”). The individual selected for this role will be offered the role as an employee of a third- party agency partner; compensation, medical benefits, fringe benefits and other terms and conditions of employment shall be presented by the third-party agency partner upon offer. The pay rate range provided is a reasonable estimate of the anticipated compensation range for this job at the time of posting. The actual pay rate will be based on a number of factors, including skills, competencies, experience, location and/or being pursued and other job-related factors permitted by law. In addition, this role will be eligible for overtime pay, in accordance with federal and state requirements


By applying for this position, you agree to the Atrium Terms and Conditions and you direct Atrium to share your application materials, which may include your CV/Resume, email address or phone number, with Vertex. For more information on how Vertex handles your personal data related to your job application, please see Vertex’s Careers Privacy Notice. Agreeing to the Atrium Terms and Conditions, includes permission to use the email address and mobile phone number you provide during the application process or throughout the duration of your prospective or actual employment to notify you of job openings, profiles, articles, news, and other employment-related information, as well as to notify you of special promotions or additional products and services offered by us or our affiliates and partners
(collectively, “Atrium Alerts”). Atrium Alerts may be sent by email, phone, or text message. Your personal information will be safely stored within the Atrium & Vertex databases. Atrium does not sell your personal information to third parties. Text message and data rates may apply. To OPT OUT of text messaging or to modify your communication preferences for Atrium Alerts at any time, please contact Atrium at privacyadministrator@atriumstaff.com.


If you do not agree with the Atrium Terms and Conditions, you can still complete your application for this position by emailing your resume to our team at tempstaffing@vrtx.com. Please include the job title in the subject of your email.


No C2C or Third-Party Vendors",1989,Biotech & Pharmaceuticals,$1 to $5 billion (USD),Pharmaceutical & Biotechnology,1001 to 5000 Employees,Company - Public,False
IT Business Analyst,"InfoLogitech
","Boise, ID",$50.00 - $60.00 Per Hour (Employer est.),4.3,"Job Position : Business Systems Analyst/SME
Job Location : Boise, ID (Hybrid)
Job Duration : 21 Months

Job Description :

HYBRID ON SITE POSITION - Candidates MUST be onsite at the Boise office a MINIMUM of 3-days/week. Please ONLY submit CURRENTLY LOCAL CANDIDATES willing to work fully onsite as required.

The Business Systems Analyst/SME will communicate and collaborate with Highways Division teams Business Units to:

Learn, document, and evaluate business operations and processes.
Learn, document, and evaluate software systems used by the business sections.
Identify solutions that would improve business and system processes.
Recommend changes in business process to enhance efficiencies.
Recommend software system capabilities that would improve business performance.
Identify gaps in business processes and software systems.
Develop and update workflows for business and software systems.
Disseminate documentation to relevant stakeholders.
Provide quality customer service.
The software they will be predominantly focused on is AASTHOWare Project, Bentley System, and the Agile Assets (now Trimble). These software systems have various modules they could be working with Business units on. Candidates submitted must have an extensive understanding of business workflow and process and how to translate that into a system.
ITD has SME’s who can fill in the details on the who, what, when, why, where and how of the Transportation Business. Having explicit knowledge of any of these transportation-specific systems falls under bonus but is not required if the candidate has the strong business systems analysis/SME experience/background.

Skills:

Experience w/all things workflow (BUSINESS FOCUSED) - extracting them from users, proposing them for systems and process. Required 3 Years
Experience working with Data and Data Flows as they relate to, influence, and modify business workflows and process. Required 2 Years
Strong Business-side technology skills - understanding the who, what, when, where, why of the technology systems and users' needs Required 2 Years
Strong IT-side Understanding. Knowing how to speak the language and plug into the framework, and when to involve them. Required 2 Years
Experience working in the transportation field or transportation engineering/infrastructure fields, specifically Nice To Have
Experience working with any of these primary software systems: AASTHOWare Project, Bentley System, and/or the Agile Assets (now Trimble) Nice To Have
Communication skills (written and verbal) must be exceptional as resource will be dealing with business users across all levels of the agency. Required

Regards,
C. Mageshwari

Job Types: Full-time, Contract, Temporary

Salary: $50.00 - $60.00 per hour

Experience level:

6 years

Schedule:

8 hour shift

Ability to commute/relocate:

Boise, ID 83702: Reliably commute or planning to relocate before starting work (Required)

Work Location: In person",-1,Information Technology Support Services,$1 to $5 million (USD),Information Technology,1 to 50 Employees,Company - Private,True
Agriculture Business Analyst,"McCain Foods USA, Inc.
","Boise, ID",$59K - $89K (Glassdoor est.),3.9,"Position Title: Agriculture Business Analyst

Position Type: Regular - Full-Time

Position Location: Flexible - Must be based out of one of our corporate or plant locations.

Requisition ID: 26106


For us, for family


We know the importance that food plays in people's lives – the power it has to bring people, families and communities together. Our purpose is to bring enjoyment to people’s lives through great tasting food, in a way that reflects our values.


Reporting to the Director Ag Tech & Data Management, and under the guidance of the Sr. Business Analyst, the Business Analyst will work with business stakeholders to gather, analyze, communicate, and validate requirements for changes to and the implementation of new business processes, policies and information systems with a focus on low to medium levels of complexity. The Business Analyst serves as a liaison between the Agriculture Business and the IT and Digital Agriculture teams. They can also provide detailed system training, testing and support.


This position may sit out of our corporate office in Oakbrook Terrace, IL or on of our potato plant locations located in Maine, Wisconsin, Idaho or Washington.


How You’ll Add Value:

Execute tasks of low to medium levels of complexity during all phases of project implementation including business analysis, training, user acceptance testing and support.
Understand and follow master data management and data governance procedures to ensure data integrity across multiple digital agriculture platforms.
Monitor data quality and collaborate with data stewards on quality rules and resolutions.
Participate in data validation, cleansing and standardization activities.
Understand the business analytics needs and support the development of meaningful reports from single and multiple systems.
Responsible for contract creation and payment processing in collaboration with Finance.
Conduct scheduled systems audits to ensure compliance with internal and external standards.
Collaborate with IT for application support, incident management and issue resolution for agriculture systems.


About You:

Position requires well developed inter-personal skills to successfully work in a dynamic team environment with IT and digital resources at all levels of the organization.
Dedication to customer focus to understand the needs of business users and work with multiple functional groups.
Some knowledge of project management methodology, IT systems, SAP RTR and other Financial Systems, and business processes would be an asset.
Understand and know how to work in key programming languages (HTML, SQL) with fluency in database systems (SQL-based) would be an asset. Willingness to learn, or expand existing skills, on the job is essential.
Post-secondary education or an equivalent combination of education and experience is preferred.


McCain Foods is an equal opportunity employer. We see value in ensuring we have a diverse, antiracist, inclusive, merit-based, and equitable workplace. As a global family-owned company we are proud to reflect the diverse communities around the world in which we live and work. We recognize that diversity drives our creativity, resilience, and success and makes our business stronger.

McCain is an accessible employer. If you require an accommodation throughout the recruitment process (including alternate formats of materials or accessible meeting rooms), please let us know and we will work with you to meet your needs.

Your privacy is important to us. By submitting personal data or information to us, you agree this will be handled in accordance with the Global Privacy Policy


Job Family: Agriculture; Information Technology
Division: NA Ag Strategy
Department: NA Ag Operations and Technology
Location(s): US - United States of America : Idaho : Boise || US - United States of America : Idaho : Burley || US - United States of America : Idaho : Fruitland || US - United States of America : Idaho : Nampa || US - United States of America : Illinois : Chicago || US - United States of America : Illinois : Lisle || US - United States of America : Illinois : Oakbrook Terrace || US - United States of America : Maine : Easton || US - United States of America : Maine : Presque Isle || US - United States of America : Wisconsin : Appleton || US - United States of America : Wisconsin : Fort Atkinson || US - United States of America : Wisconsin : Milwaukee || US - United States of America : Wisconsin : Plover || US - United States of America : Wisconsin : Rice Lake || US - United States of America : Wisconsin : Wisconsin Rapids

Company: McCain Foods USA, Inc.",1957,Food & Beverage Manufacturing,$5 to $10 billion (USD),Manufacturing,10000+ Employees,Company - Private,False
Business Analyst I,"Farm Bureau Mutual Insurance of Idaho
","Pocatello, ID",$22.00 Per Hour (Employer est.),3.3,"The Business Analyst collaborates with the Business Users, Developers, Quality Assurance, and other Analysts to gather and document requirements for our enterprise systems and departmental projects. The Business Analyst may also take on a Project Manager role in ensuring timely and accurate delivery.

Compensation:

$22 Hourly DOE

Responsibilities:

Understands the fundamental principles and practices of Agile and its application in the company.
Schedules, facilitates, and participates in feature meetings.
Refines and prioritizes backlogs according to company priorities.
Accepts work artifacts (stories or defects) according to the acceptance criteria.
Elicits, analyzes, specifies, and validates the business needs of end users.
Collaborates with Project Managers to understand project scope and vision.
Conducts interviews to gather customer requirements via workshops, meetings, questionnaires, surveys, work area visits, workflow storyboards, use cases, scenarios, and other methods.
Creates process models, specifications, diagrams, and charts to provide direction to developers and/or the project team.
Analyzes and verifies requirements for completeness, consistency, comprehensibility, feasibility, and conformity to standards.
Develops and utilizes standard templates to write requirements specifications accurately and concisely.
Researches, reviews, and analyzes the effectiveness and efficiency of existing requirements-gathering processes and develops strategies for enhancing or further leveraging these processes.
Participates in testing to ensure features and functions have been enabled and optimized.
Translates end-user requirements into feasible options for relevant software development and communicates these back to the business stakeholders and developers/project team.
Manages and tracks the status of requirements throughout the project lifecycle; enforces and redefines as necessary.
Communicates changes, enhancements, and modifications of business requirements — verbally or through written documentation — to project managers, sponsors, and other stakeholders so that issues and solutions are understood.

Qualifications:

Skills & Abilities

Education: Bachelor’s Degree in Business Administration or Information Systems preferred, or relevant business experience required.

Certifications: Certification in Business Analysis or Project Management is appreciated.

Experience:

1 to 2 years experience in product/project development familiarity with principles of Agile, Scrum, and Software Development Life Cycle (SDLC) required; knowledge of the Insurance Industry preferred.
Demonstrated project management skills and project management software skills, including planning, organizing, and managing resources.
Basic understanding of and excitement about the organization’s goals and objectives.
Experience working in a team-oriented, collaborative environment.



Computer Skills: Proficient in Microsoft Office Suite.

Other: Strong interpersonal and communication skills and the ability to work effectively with a wide range of constituencies in a diverse community.

About Company


Employee Benefits

Our employees are rewarded with a competitive salary, a benefit program that recognizes the diverse needs of our employees, and the security of a well-established company. Some of our employee benefits include:




Health
Dental
Life
Long Term Disability
Vacation
Sick Leave
Holidays
Parental Leave
Purchased Vacation
Flexible Schedules
Industry-Specific (insurance)
Attendance Bonus Incentive
Employee Profit-Sharing Plan
Section 125 Cafeteria Plan (Tax-Free Spending Account)
Loans/Savings and Investments available through Farm Bureau Finance Company
Cancer, Accident, and Short-Term Disability insurance plans are also available",-1,Insurance Carriers,$100 to $500 million (USD),Insurance,201 to 500 Employees,Company - Private,True
Business Systems Analyst,Blue X Technologies,"Boise, ID",$50.00 - $60.00 Per Hour (Employer est.),-1.0,"IMPORTANT NOTES ABOUT THIS POSITION:

1 - HYBRID ON SITE POSITION - Candidates MUST be onsite at the Boise office a MINIMUM of 3-days/week. Please ONLY submit CURRENTLY LOCAL CANDIDATES willing to work fully onsite as required.

2 - FINGERPRINTING – In addition to the standard background check you are required to run on the selected candidate prior to starting (see Compliance tab for details), the agency requires an additional fingerprinting background check processes that will be coordinated through ITD directly once the candidate is selected. Selected candidate MUST complete the fingerprinting following the instructions they will be provided, and RESULTS MUST BE RETURNED CLEAR before they can begin work.

The Business Systems Analyst/SME will communicate and collaborate with Highways Division teams Business Units to:

Learn, document, and evaluate business operations and processes.
Learn, document, and evaluate software systems used by the business sections.
Identify solutions that would improve business and system processes.
Recommend changes in business process to enhance efficiencies.
Recommend software system capabilities that would improve business performance.
Identify gaps in business processes and software systems.
Develop and update workflows for business and software systems.
Disseminate documentation to relevant stakeholders.
Provide quality customer service.

Job Type: Contract

Pay: $50.00 - $60.00 per hour

Benefits:

Dental insurance
Health insurance
Paid time off
Vision insurance

Compensation package:

Bonus opportunities
Performance bonus
Signing bonus

Experience level:

5 years

Schedule:

Day shift

Ability to commute/relocate:

Boise, ID: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Must have Experience working in the transportation field or transportation engineering/infrastructure fields, specifically
Must have experience working with any of these primary software systems: AASTHOWare Project, Bentley System, and/or the Agile Assets (now Trimble)

Experience:

(BUSINESS FOCUSED) - extracting them from users: 3 years (Required)
Data and Data Flows: 3 years (Required)
Strong Business-side technology skills -: 2 years (Required)
plug into the framework: 2 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
