Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
IT Integrations Analyst,"Ruan Transportation Management Systems
","Des Moines, IA",$63K - $87K (Glassdoor est.),3.7,"This hybrid position offers a mix of weekly in office days at the Ruan Center downtown Des Moines and remote.
Schedule: Monday through Friday 8AM-5PM
The IT Integrations Analyst position is in the IT Business Analyst job family and focuses on trading partner integration. Prior experience with EDI, BizTalk or other mapping tools, and Managed File Transfer (MFT) software is preferred.
The IT Integrations Analyst has experience working as an analyst on medium to large initiatives. They can collect and document quality business and technical requirements from internal customers, external customers, and business partners. The IT integrations Analyst contributes to decisions and communicates requirements to business partners and software development teams. They are comfortable working independently to research and help develop required or sought after features or functionalities for various systems and applications.
Responsibilities:
Configure new and maintain existing EDI, file/data mapping, and managed file transfer systems and applications.
Analyze new and existing systems, applications, and or processes to identify and implement improvements to meet business objectives.
Serve as liaison to business users and IT subject matter experts (SMEs) to support in-house applications and systems.
Facilitate meetings and requirements sessions with internal and external stakeholders and customers to ensure requirements adequately identify the ""why"" and ""what"" of the project.
Document the business rules, requirements, and process flows.
Create user stories to clearly communicate requirements that accurately represent the ask and assist with potential solution options.
Provide input and support the development of solutions to meet business needs.
Support users by resolving production issues using analytical and problem-solving abilities.
Test enhancements and troubleshoot applications and systems.
Understand, adopt, and adapt to new industry trends and serve IT and our business partners.
Preform other job-related duties and special projects as required.
Commit to Ruan's value statement by acting with integrity in everything we do.
Meet behavioral expectations and preform in alignment with our guiding principles: safety, people, customer, performance, and continuous improvement.
Requirements:
Education: bachelor's degree or equivalent experience in Business, Computer Science, MIS, or BCIS.
Experience: 3-5 years of general IT experience, business analysis, and Agile methodology.
General Knowledge and experience working with EDI.
Experience using BizTalk or other comparable tools.
Experience configuring GoAnywhere MFT or other comparable MFT applications.
Solid analytical and problem-solving abilities.
Experience helping manage, prioritizing, and grooming a backlog of user stories.
Ability to facilitate meetings and requirements sessions with stakeholders from IT and the business to document high-quality requirements.
Strong technical background and ability to communicate with all roles with IT and the Business both technical and non-technical.
Able to produce quality documentation for business and technical requirements.
Can deliver quality results under time constraints and accomplish duties with little supervision.
Benefits: Ruan provides benefits which include Medical, Dental, Vision, Disability, Life, as well as 401K and Paid Time
Off.
#RuanCorp",1932,Shipping & Trucking,$500 million to $1 billion (USD),Transportation & Logistics,1001 to 5000 Employees,Company - Private,True
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Business Analyst,"The Wittern Group
","Des Moines, IA",,2.3,"Job Requirements

1. Independently act as an information source and communicator between departmental and business silos.

2. Independently demonstrate the ability to understand strategic business needs for plans and growth.

3. Independently demonstrate the ability to utilize IT data for business insights.

4. Independently demonstrate the ability to drive collaboration with team members to understand organizational and operational challenges.

5. Independently demonstrate the ability to work with business and technical team members to identify, source and implement new business technology.

6. Independently demonstrate the ability to find technological solutions to business requirements.

7. Independently demonstrate the ability to use strong analytical skills to

a. Interview team members with an eye towards extracting key information related to business processes, workflows, and application usage.

b. Perform system analysis on current processes, workflows, and application usage to identify opportunities to improve operational efficiencies.

c. Understand current processes, workflows, and application usage to identify areas for improvement.

d. Document business processes, workflows, and application usage to identify current and future state that can be understood by non-technical and technical team members.

e. Use strong interpersonal skills to drive consensus among team members on recommendations.

f. Ensure that proposed solutions satisfy the stakeholder and the end user.

8. Independently demonstrate strong written and verbal communication skills that allow the individual to work with team members responsible for tactical activity as well as leadership positions throughout the organization.

9. Promote system efficiency and security by integrating performance metrics and encryption requirements.

10. Independently demonstrate the ability to use critical thinking skills to problem solve.

11. Independently demonstrate proficiency in Microsoft Office Applications – Word, Excel, PowerPoint.

12. Independently demonstrate the ability to use their role to improve the training and operational procedures within the business to increase efficiency and productivity.

13. Independently demonstrate the ability to work with a broad set of personality types and lead resources in a way to minimize conflict and successfully find resolution to potential roadblocks.

14. Independently oversee implementation of projects from beginning to completion.

15. Independently demonstrate the ability to document nonfunctional requirements which includes the system’s quality attributes, such as usability, security, reliability, performance, availability, and scalability.

16. Independently demonstrate the ability to use relevant governmental and industry sources to understand regulatory and industry requirements and incorporate them into potential solutions.

17. Independently demonstrate the ability to continue to learn about technology and industry trends to provide insight to leadership on solutions that could increase efficiencies or drive additional revenue.

18. Independently demonstrate the ability to have knowledge and stay up to date on relevant licensing and industry compliance requlations.

19. OPTIONAL: Knowledge of programming languages and system integration solutions.

20. OPTIONAL: Knowledge of enterprise resource planning systems used in the manufacturing industry.

Educational Requirements

Individuals in this role should have relevant experience performing in a similar role that allow them to demonstrate proficiency with the requirements of this role. A associates degree (2 year degree) in Management Information Systems, English, Creative Writing, Business, Media and Journalism, or Professional and Technical Writing is preferred but not required.

Job Requirements
Independently act as an information source and communicator between departmental and business silos.
Independently demonstrate the ability to understand strategic business needs for plans and growth.
Independently demonstrate the ability to utilize IT data for business insights.
Independently demonstrate the ability to drive collaboration with team members to understand organizational and operational challenges.
Independently demonstrate the ability to work with business and technical team members to identify, source and implement new business technology.
Independently demonstrate the ability to find technological solutions to business requirements.
Independently demonstrate the ability to use strong analytical skills to
Interview team members with an eye towards extracting key information related to business processes, workflows, and application usage.
Perform system analysis on current processes, workflows, and application usage to identify opportunities to improve operational efficiencies.
Understand current processes, workflows, and application usage to identify areas for improvement.
Document business processes, workflows, and application usage to identify current and future state that can be understood by non-technical and technical team members.
Use strong interpersonal skills to drive consensus among team members on recommendations.
Ensure that proposed solutions satisfy the stakeholder and the end user.
Independently demonstrate strong written and verbal communication skills that allow the individual to work with team members responsible for tactical activity as well as leadership positions throughout the organization.
Promote system efficiency and security by integrating performance metrics and encryption requirements.
Independently demonstrate the ability to use critical thinking skills to problem solve.
Independently demonstrate proficiency in Microsoft Office Applications – Word, Excel, PowerPoint.
Independently demonstrate the ability to use their role to improve the training and operational procedures within the business to increase efficiency and productivity.
Independently demonstrate the ability to work with a broad set of personality types and lead resources in a way to minimize conflict and successfully find resolution to potential roadblocks.
Independently oversee implementation of projects from beginning to completion.
Independently demonstrate the ability to document nonfunctional requirements which includes the system’s quality attributes, such as usability, security, reliability, performance, availability, and scalability.
Independently demonstrate the ability to use relevant governmental and industry sources to understand regulatory and industry requirements and incorporate them into potential solutions.
Independently demonstrate the ability to continue to learn about technology and industry trends to provide insight to leadership on solutions that could increase efficiencies or drive additional revenue.
Independently demonstrate the ability to have knowledge and stay up to date on relevant licensing and industry compliance requlations.
OPTIONAL: Knowledge of programming languages and system integration solutions.
OPTIONAL: Knowledge of enterprise resource planning systems used in the manufacturing industry.

Individuals in this role should have relevant experience performing in a similar role that allow them to demonstrate proficiency with the requirements of this role. A associates degree (2 year degree) in Management Information Systems, English, Creative Writing, Business, Media and Journalism, or Professional and Technical Writing is preferred but not required.",1931,Food & Beverage Manufacturing,$25 to $100 million (USD),Manufacturing,51 to 200 Employees,Company - Private,True
"Enterprise Risk Management Analyst - Insurance, Business Continuity, and Worker's Compensation","HNI Corporation
","Muscatine, IA",$61K - $83K (Glassdoor est.),3.6,"HNI Corporation is a global family of brands for the workplace and home dedicated to enhancing the spaces where we live, work, and gather. We pride ourselves on fostering an environment where we make a positive impact on others; upholding our beliefs in integrity, inclusion and belonging.

WHAT WE NEED:

We are hiring an Enterprise Risk Management Analyst to our team. This is a remote position. However, special consideration will be given to candidates located in the quad cities who can work a Hybrid schedule (Tuesday, Wednesday, Thursday) onsite at our IT office in Muscatine, IA.

The Enterprise Risk Management Analyst will maintain accurate records and documentation for HNI’s insurance policies, vendor agreements, certificates of insurance. This role will also provide information and analysis to the business on risk-related topics such as workers’ compensation, operational changes, and special projects.

THIS ROLE WILL:

Maintain and update annual insurance program documentation including policies, program summaries and related documentation.
Assist with the collection, organization, and presentation of insurance renewal information to support corporate insurance placements.
Assist with issuance of Captive Insurance premiums.
Assist with issuance and management of Certificates of Insurance.
Collaborate with insurance brokers, service providers and internal team members regarding all insurance related activities.
Assist with allocation of insurance expenses to operating companies.
Support internal projects and tasks related to HNI’s captive insurance company.
Engage in the process of claims management for both first- and third-party claims through accounting, legal and other relevant departments.
Assist with presentations to senior management.
Gain understanding of and ensure compliance with internal controls, policies, guidelines, and procedures.
Assist with management of HNI’s Business Continuity Program, including scheduling exercises and assisting with the creation and maintenance of business continuity plans.
Assist with the creation and implementation of Corporate Security policies and procedures.

QUALIFICATIONS, EDUCATION & EXPERIENCE

1-3 years of experience in the insurance/risk management industry
Bachelor's degree in Accounting, Finance, Risk or related field

SKILLS:

Demonstrated ability to multitask and prioritize tasks and meet daily deadlines for projects
Proficient in Microsoft suite of products
Strong written and verbal communication skills
Critical thinking skills with the ability to independently solve problems with data
Quantitative and analytical skills with a demonstrated ability to understand new analytical concepts
High level of flexibility and adaptability to changing environments

We look forward to hearing from you!

____________________________________________________________________________________

HNI Corporation (NYSE: HNI) is a manufacturer of workplace furnishings and building products, operating under two segments. The workplace furnishings segment is a leading global designer and provider of commercial furnishings, going to market under multiple unique brands. The residential building products segment is the nation’s leading manufacturer and marketer of hearth products.

As one of the larger employers in Iowa, HNI Corporation was recognized in 2018, 2019, and 2020 for the diversity of our Board of Directors and was named in 2020, 2021, and #6 in 2022 as one of America's Most Responsible Companies by Newsweek.

How we act today protects how we live tomorrow. Check out our CSR Report here: https://www.hnicorp.com/social-responsibility

Diversity, equity, and inclusion (DEI), are not just core beliefs at HNI - they are operational imperatives. We value each other’s differences in experiences and ideas to solve problems and better serve our customers. Take a look at our DEI goals here: https://www.hnicorp.com/diversity-equity-and-inclusion

We offer Benefits on Day 1, including a new voluntary benefit, Daily Pay! To learn about all the benefits HNI has to offer visit www.HNIbenefits.com.

We also invite you to visit us at www.HNICorp.com to learn more!",1944,Consumer Product Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Quality Analyst - Business Professional,"eTeam Inc.
","Iowa City, IA",$73K - $103K (Glassdoor est.),4.1,"Must Have
3. SAP basic knowledge
4. Must be familiar with general office practices. Have knowledge and ability to type documents quickly in an acceptable business style using the computer. Should have the ability to perform various word processing functions, such as creating, formatting, revising, retrieving and storing documents. Have math and typing aptitude. Possess good grammar, spelling and punctuation skills.
Attention to Detail
Master Data Management
Reviews Change Actions from the following organizations: o Central Hair Care R&D o Central Personal Care Cleansing (PCC) Material Process Development (MPD) Digital SKU Base Plans (DSBP), Base Plans, Cost & Feasibility (C&F) o Central Hair Care MPD o Iowa City (IC) Hair Care MPD DSBP IC Internal C&Fs o Fibers o Central Oral Rinse R&D o IC Oral Rinse MPD Spec Matrices o Customization Creates and approves SAP inspection plans Engineering Change Orders (ECOs) for the following: o Bulk Formulation Intermediates Final Mix o Packaging Materials Updating Pack Material Dynamic Modification Rules (DMRs) o Finished Product Proficy Fill Weights o Stability Requests, reviews, and approves BOM ECOs from the following sources: o Formulation ECOs from Iowa City MPD o Finished Product BOM ECOs from Cincinnati Planning Analyze and maintain specifications through daily reports: o Dynamic Subscription Supports line specification distribution

JOB DESCRIPTION
Requires proficiency in Quality Assurance Procedural work and expertise in Application work by combining hands-on experimentation with scientific principles and knowledge from science/engineering education to drive foundational technical understanding and solve technical problems. Delivers technical outputs which address critical innovation challenges and completion of key milestones. Execute and reinforce the Corporate Quality Assurance principles and release information for incoming Raw Materials and/or Finished Product. Troubleshoot and solve issues related to the Quality of the Raw materials and of Finished Products produced at the Site. Meet production and consumer needs by timely and effectively inform the status of the release criteria. Lead the implementation and maintenance of Quality Assurance principles (KE). Coach others and actively participate in ownership of specific key elements (follow action plans and maintenance of the processes. Skills required: Computer skills: basic excel, word. Good interpersonal skills. Organized, cleanness and accuracy while working. Decision making. Problem solving skills, Analytical GC background.",1999,Staffing & Subcontracting,$100 to $500 million (USD),Human Resources & Staffing,5001 to 10000 Employees,Company - Private,True
Mfg Operations Business Analyst,"Pella Corporation
","Carroll, IA",$73K - $97K (Glassdoor est.),3.6,"Manufacturing Operations Business Analyst

As the #1 most preferred national window and door brand by homeowners across the country* Pella leads the industry in innovation and design. Founded in 1925, Pella Corporation is comprised of the Pella Family of Brands and remains a privately owned company with a robust product offering and national distribution.

With 19 manufacturing locations, 11,000 + team members and more than 250 showrooms in the U.S. and Canada, Pella was named a top employer by Forbes and Newsweek in 2023. We have also received numerous accolades for innovation and design, including Fast Company’s Most Innovative Manufacturers for 2022 and 2023.

At Pella, we want you to do the work you’re most proud of. That’s why we offer individualized talent development plans, cross-functional experiences, and opportunities for career advancement through personal and professional development. Together, with talent just like you, we are building the future of windows and doors. Ready to join us?

JOB SUMMARY:
Works with internal business partners and external resources to provide application systems that enable functional processes. Responsible for medium size projects and tasks and demonstrates a solid knowledge of functional processes and system application. Trouble shoots system and data problems and recommends appropriate action.


ESSENTIAL RESPONSIBILITIES:
Percentages represent guidelines only; May vary by position and fluctuate due to changing business needs.
45% Day to day support - Support current business systems including issue identification and resolution, functional performance monitoring and tuning and disaster recovery capability to meet business objectives leveraging both user feedback and internal metrics to drive improvement.
20% Analysis and design work - Analyze business requirements, develop design, manage configuration and integration, and conduct robust testing to support new system implementations, current system upgrades and business process changes and CI initiatives. Work to be reviewed with Sr. Analyst or manager.
10% Reports and Metrics - Extract and format data to support reporting and metric needs.
10% Project management – Development and coordination of medium projects or complex components for larger projects
10% Documentation and Training - Create and maintain documentation and conduct end user training. Educate users in workflow, business processes, and reporting metrics enabled by system.
5% Advanced Support - Support other team members by providing industry expertise on difficult and complex issues.
Supervisory Responsibilities: None
Responsibilities outside of normal business hours: Shared support, scheduled maintenance and disaster recovery assignments.
Other duties may be assigned.
Responsibilities:
Identification, development and implementation of IT programs and procedures which support internal customer satisfaction at the Manufacturing site.
Problem Solving and Troubleshooting day to day IT issues.
Responsible for on-site support of IT security, Networking & Infrastructure.
Maintain and Support the ERP system.
Develop and manage Reports & metrics to drive process improvements.
Collaborate with Corporate IT and other Pella manufacturing plants on best practices.
Provide IT & Plant Management with detailed project plans for key initiatives, including milestones, effort and planned completion dates.
Documentation and Training.
Responsible for business continuity and disaster recovery initiatives.
Provide 24x7 support of all information and communication systems at the site.
Provide IT leadership at the Plant site in implementing initiatives.
QUALIFICATIONS:
Education and/or Experience: Bachelor’s degree and 2+ years related functional experience.
Leadership Competencies:
a. Manage and improve processes
b. Demonstrate Adaptability
c. Industry Knowledge
d. Build relationships
e. Drive Execution
f. High Impact Delivery


Technical & Functional Skills: Office 365 (Outlook, Excel, Word, SharePoint etc.), Microsoft Teams, Effective Problem-Solving Skills, Project Management Skills,
Functional understanding of order processing, scheduling, purchasing, manufacturing applications etc.
Certifications or Licenses: None
Travel Expected: 0 – 5% of time",1925,Consumer Product Manufacturing,Unknown / Non-Applicable,Manufacturing,5001 to 10000 Employees,Company - Private,False
Business Analyst,"Net-Integrated Consulting
","Urbandale, IA",$62K - $88K (Glassdoor est.),3.1,"Business Analyst

Job Overview
This position is responsible for developing user stories and providing support to the Product Owner and
the Agile team involved in ongoing software development. Identifies, clarifies, and maintains Agile User
Stories for project team. Serves as a liaison between the Product Owner and the development team to
ensure an understanding of requirements for the development, implementation and maintenance of
specific web applications and web sites. Ensures end result meets Product Owner satisfaction. May
participate in application and process improvement activities.

Responsibilities and Duties
May identify and monitor issues and bugs during testing processes and through end user
communications. Relays information for improvements to development team. Ensures quality product
is delivered by assisting with the development of test plans and/or test scenarios. Assists project team
in correcting and resolving issues as they arise. May provide training in web application for staff.



Thinks and acts with the developers and test analyst in mind.
Captures/updates user story details
Assists team members with understanding user stories
Attends sprint planning meetings, daily stand ups, and demos
Prepares system and end user documentation
Assists with QA activity when needed

Qualifications

Four-year degree in Information Systems or related field and/or equivalent training and/or

experience.

3-5 years’ experience in a business analyst role.
Proficiency in Microsoft Office products
Possesses skills in software documentation, software development, software requirements,
analytical experience, teamwork, and written communication.
Knowledge of and/or experience using prototyping and requirements tool(s) is desirable but not
required.

Additional Qualifications
• Technical aptitude is required including a working understanding of SQL.

Attention to Detail
Analytical Thinking
Creativity/Innovation
Relationship Building
Planning/Organizing

June 8, 2020






Reports To

The Business Analyst reports to the Scrum Master/Project Manager

Job Location

The corporate office is located in Urbandale, IA, and we have a location at the State Capitol in

downtown Des Moines, IA

How to apply

Apply on our website www.nicwdm.com

June 8, 2020",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,False
Business Analyst,"WorldWide Logistics
","Urbandale, IA",$61K - $82K (Glassdoor est.),3.8,"This position is located in the Des Moines, Iowa area and you must be able to work on-site
Why WorldWide?
WorldWide Logistics is one of the fastest growing companies in the industry. We operate with core values and take pride in doing our job. We have an innovative and progressive culture that allows for career growth and financial rewards. We work hard and play hard. If you have the drive and commitment, we will educate you on the industry and provide you with the tools to be successful.

This position will work as a liaison among product managers to elicit, analyze, communicate, and validate requirements for changes to business processes, policies, and information systems. The business analyst understands business problems and opportunities in the context of the requirements and recommends solutions that enable the organization to achieve its goals developing and maintaining software for WorldWide.

Responsibilities and Duties

Translate product requirements gathered from product managers into specifications for scrum team and perform additional research and interviews as necessary
Create product workflows for features
Create epic level tickets to define product roadmap features
Work closely with product managers, lead software engineer, and the scrum team to understand product capabilities and future needs.
Manage multiple projects in a fast-paced environment and work with product managers and lead software engineer on prioritizing initiatives based on business needs and requirements
Identify opportunities for process improvement and assist in business change management
Partner on root cause analysis and resolution
Foster the process of feature design, scope and sizing, user story definition, and delivery
Collaborate with others in an agile development environment
Assist with product roadmap definition and refinement
Interact with customers to understand needs and assess product value
Assist with product feature demos
Explain and visualize product features and business requirements to others
Other duties as assigned

Requirements

3-5 years of experience
Associate degree or equivalent experience in accounting, business, or computer science, and/or related experience
Agile software development methodologies and principles
Strong interpersonal skills; including facilitation, collaboration, and negotiation
Excellent verbal, written, and interpersonal skills with all levels of employees
Strong teamwork, organization, task management, and problem resolution skills
Self-starter with a proven ability to deliver results with minimal assistance
Solid understanding of data manipulation, database structures, and usage
Experience using agile tools (ServiceDesk, Jira, and Confluence) to create cards, user stories, and monitor development progress and support card resolution

*
What's in it for YOU?*

PTO + 7 Paid Holidays
Team (family) environment
Comprehensive training
Internal promotions
Full suite of benefits including PTO, health (HDHP with HSA), dental, vision, flexible spending plans, life insurance, voluntary life, voluntary short-term disability, voluntary long-term disability, 401k with a match, voluntary ID Theft plan.
Casual Dress
Great location in Urbandale, IA off I-80/35. No fighting downtown traffic during rush hour
Free parking

Job Type: Full-time",1999,Shipping & Trucking,$25 to $100 million (USD),Transportation & Logistics,201 to 500 Employees,Company - Private,True
Business Analyst II,"EquiTrust Life Insurance Company
","West Des Moines, IA",$58K - $79K (Glassdoor est.),3.5,"Job Details

Description

The Business Analyst II is primarily responsible for acquiring knowledge of existing systems/procedures and gathering information and statistics to facilitate problem-solving decisions. The individual is responsible for clarifying business requirements and communicating them to the technical team. The Business Analyst II will utilize testing methodologies to test solutions to problems and business requirements. The Business Analyst II must maintain technical knowledge of products and processing in order to develop and maintain adequate requirements and testing documentation

Essential Duties and Responsibilities:

Facilitates departmental job efficiency by investigating, analyzing, and resolving problems and changes requested by production processing personnel.
Performs liaison functions between business areas and information systems personnel to coordinate changes.
Clarifies project and system requests for changes to increase efficiency and departmental workflow.
Analyzes business, processing and system problems and recommends solutions.
As a member of the project team, responsible for determining test objectives, project reporting, assisting in target date planning, and coordinating testing with other Business Analyst staff.
Assists in training of new employees and end users regarding system processing, system operations and procedures.
Defines, plans, and executes testing based on tasks assigned.
Supports the Information Technology team and other departments on an as needed basis.
Willingly takes on additional responsibilities as requested in order to accomplish department and Company objectives.
Actively participates and contributes to the goals and objectives of the Company by working collaboratively and fostering a positive and inclusive work environment.

Skills and Abilities:

Intermediate working knowledge of agile methodologies to apply it to working on and managing agile teams.
Strong ability to be detail oriented in defining business requirements and detecting errors in testing.
Intermediate skills in reviewing business requirements with both business and technical staff.
Intermediate skills in developing test plans, test cases, and test execution.
Demonstrated ability to proactively identify and solve problems and issues of all types; must be able to identify situations that fall outside the parameters of normal or routine activity.
High level of ability manage to multiple tasks and manage time in order to meet varying deadlines; must be able to execute under pressure.
Responsible, reliable, dedicated, and accountable.
Organized and self-directed.
Intuitive, problem solver, and analytical.
Ability to quickly learn and incorporate new information.
Ability to work effectively with all departments and affiliates to ensure integration of strategic goals and principles.

Training or Work Experience:

If High School Diploma or Equivalent, minimum 6 years of business analyst experience required.
If Associate's Degree, minimum 4 years of business analyst experience required.
If Bachelor's Degree, minimum 2 years of business analyst experience required.
Minimum 2 years of experience in insurance or financial services required.

Education:

High School Diploma or equivalent required.
Bachelor or Associate degree preferred.

Working Conditions:

Infrequent travel (less than 5% of the time).

#LI-HYBRID

#LI-SK1

EquiTrust is an Equal Opportunity Employer and participates in the U.S. Federal E-Verify program. Applicants have rights under federal and state employment laws. To learn more, visit https://www.equitrust.com/careers/opportunities/federal-and-state-employment-laws/.",2003,Investment & Asset Management,Unknown / Non-Applicable,Financial Services,201 to 500 Employees,Company - Private,False
Business Analyst,LaunchIT,"Urbandale, IA",-1,-1.0,"Apply for this position by sending your details to hr@launchitcorp.com

As a business analyst, you will be leading the design and development life cycle of IT systems and processes. Your team will grow as you grow within this position.

Responsibilities :
Elicit and document business and system requirements.

Analyze data.

Conceive and document acceptance criteria.

Oversee testing of software and processes and negotiate realistic expectations.

Support the operation of various programs by retrieving data for reports.

Troubleshoot issues.

Act as the subject matter expert of the program and supporting systems.

Support the sales team by visiting clients, determining requirements, negotiating and documenting scope.

Coordinate the estimation of development efforts.

Participate in presentations.

Qualifications :
Minimum three years of combined experience in a service industry as a business analyst, developer and/or quality assurance analyst.

Minimum three years of demonstrated knowledge in client server and web-based business applications.

Minimum three years of experience using data analysis techniques to determine business requirements and design information systems.

Minimum one year of experience leading teams or assisting in leading teams.

Minimum one year of experience accessing and developing relational databases.

Minimum three years of technical writing experience.

Education and Skills :
Bachelor’s degree in Business Administration, Computer Science, or related major or comparable work experience.

Demonstrated ability to work with minimal supervision and guidance.

Excellent verbal, written, and interpersonal skills.

Excellent organizational and time management skills demonstrated in the effective balancing of multiple projects within required time frames.

Ability to listen, understand, and respond to external and internal customers’ needs in a timely manner.

Customer service experience in a service-related industry preferred.

Other Information :
Ability to travel to client locations.

Ability to work the amount of time necessary to complete projects and/or meet deadlines.

Applicants must be authorized to work in the U.S.


Employee Benefits at a glance
Life Insurance
Dental Insurance
Vision Insurance
Disability Insurance
Medical Insurance
Education Assistance
Paid Holiday
Paid Time Off
401k Retirement Plan",-1,-1,-1,-1,-1,-1,False
