Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
National Cutaway Parts Sales Manager,"NFI Parts
","Louisville, KY",$40K - $59K (Glassdoor est.),3.6,"NATIONAL CUTAWAY PARTS SALES MANAGER
Business Development

NFI Parts™ is North America’s most comprehensive organization providing parts, technical publications, training, and support for buses and motor coaches. NFI Parts is the parts division of NFI Group, providing replacement parts for New Flyer® transit buses, MCI® motor coaches, ADL buses, ARBOC® vehicles, as well as the product lines for the acquired NABI and Orion parts businesses. Additionally, NFI Parts has extensive cross references for parts that are common with other bus, coach, and cutaway product lines and has a mature supply base and established relationships with over 1,000 suppliers. Further information is available at www.nfi.parts.com.

POSITION SUMMARY

The National Cutaway Parts Sales Manager is responsible for the development and management of existing and new cutaway bus customers in the US & Canada; specifically growing the all-makes-all-models aftermarket cutaway bus parts business. Includes identifying and delivering new cutaway bus part programs and product opportunities.

WHAT YOU WILL DO:

Build relationships across all levels within existing customers to generate new cutaway bus parts business opportunities.
Research, identify, and contact new prospective customers to generate cutaway bus parts sales and repeat business.
Work with Marketing to increase brand awareness and identify marketing needs & opportunities.
Conduct market research to identify market requirements for current and future programs and products; including building of the cutaway parts cross reference database.
Serve as the voice of the customer on new cutaway business opportunities and implementation.
Act as the subject matter expert, providing support to inventory planning and pricing for new cutaway bus products/programs.
Analyze customer’s operations to optimize selection of NFI Parts portfolio and stocking levels.
Serve as the liaison between the customer and internal departments to assist with customer purchase orders, backorders, parts & account setups, complaints, and other topics related to the cutaway parts business.
Assist in the development of business cases for opportunities related to new programs or product offerings to stakeholders.
Participate in related internal & external business meetings, conferences, and trade shows.
Report out to executive leadership on sales analysis, market analysis, and forecasts on a routine basis.
Educate customer’s staff on webstore ordering and online catalog navigation.

WHAT YOU NEED TO BE SUCCESSFUL:

Degree in Business, Engineering, or equivalent experience which has provided both theoretical and practical knowledge of the field.
3+ years of cutaway bus, school bus, or transportation equipment sales and technical product support experience.
2+ years of sales experience.
Experience understanding customer and industry trends, parts cross referencing, and business analysis.
Experience working with government entities preferred.
Business case development experience preferred.
Energetic, confident, customer service-oriented personality with strong sales abilities.
Strong verbal/written communication and organizational skills.
Ability to work in team environment, as well as autonomously.
Proficient in MS Office.
Ability to travel 50-75%, primarily in the US and Canada and ability to obtain a Passport.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

Day shift

Travel requirement:

Up to 75% travel

Work Location: Hybrid remote in Louisville, KY 40258",1999,Transportation Equipment Manufacturing,Unknown / Non-Applicable,Manufacturing,Unknown,Subsidiary or Business Segment,True
EDI Business Analyst,"Tempur Sealy
","Lexington, KY",$74K - $106K (Employer est.),3.4,"Tempur Sealyis committed to improving the sleep of more people, every night, all around the world. As a leading designer, manufacturer, distributor, and retailer of bedding products worldwide, we know how crucial a good night of sleep is to overall health and wellness. Utilizing over a century of knowledge and industry-leading innovation, we deliver award-winning products that provide breakthrough sleep solutions to consumers in over 100 countries. Our highly recognized brands include Tempur-Pedic®, Sealy® and Stearns & Foster®. We hire people who have a passion for helping others find their best night's sleep. No matter what stage of your career, you can build your future at Tempur Sealy!

OUR COMPANY OFFERS GREAT BENEFITS, INCLUDING:

Generous Paid Time Off
Competitive Medical, Dental & other wellness programs
Disability and Life Company Paid
Retirement Plan Options
Generous Employee Purchase Discounts

Pay Range: $74,000-$106,000

What You'll Do (Essential Duties and Responsibilities):

Effectively collaborate with business, trading partners other analysts in IT to gather systems and business requirements.
Coordinate and perform the implementation of new and maintenance of existing EDI partners, transactions, communication protocols and EDI solutions.
Possess an understanding of EDI transactions.
Assist in mapping user requirements to effective technology solutions.
Support, maintain, and modify existing systems and integrations.
Monitor and troubleshoot questions/problems from the user community.
Perform unit test in conjunction with developers and partners to ensure that logic and syntax are correct and program results are accurate.
Coordinate with business users and QA for UAT Testing and signoff.
Coordinate with appropriate persons to ensure that we comply with all policies for system
Perform other duties or projects as assigned.
Requirements:

What You'll Need (Qualifications):

Technical:

Knowledge of EDI transactions. X12, XPath, BPML, XSLT, XML Schemas experience a plus
Experience with the X12 format. Experience with EDIFACT and XML files a plus
Operating System skills in Windows.
Experience with IT production support and development, and SDLC.
Proficiency in reading and interpreting technical documentation.
Ability to identify and troubleshoot issues.
Attention to detail, deadlines and reporting.
Leverages technical expertise to get results.
Preference given to B2Bi Sterling application experience.

Functional:

Strong verbal and written communication
Strong presentation skills
Collaborates effectively with people that have different views.
Displays a sense of urgency.
Ability to work in dynamic environment.
Can facilitate effective brainstorming.
Shows a strong sense of purpose.
Minimum of 4 years of experience in related business field or Bachelor's degree
Experience and knowledge of managing processes to completion.
Experience and knowledge of collaborating with customers/vendors.
Experience working in with technical team/developers.

Tempur Sealy is proud to be an Equal Employment Opportunity and Affirmative Action employer. We provide equal employment opportunities to all employees and applicants for employment and prohibit discrimination and harassment of any type based upon race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",1992,Consumer Product Manufacturing,$1 to $5 billion (USD),Manufacturing,10000+ Employees,Company - Public,False
"IT Business Analyst, Finance","Tempur Sealy
","Lexington, KY",,3.4,"Tempur Sealyis committed to improving the sleep of more people, every night, all around the world. As a leading designer, manufacturer, distributor, and retailer of bedding products worldwide, we know how crucial a good night of sleep is to overall health and wellness. Utilizing over a century of knowledge and industry-leading innovation, we deliver award-winning products that provide breakthrough sleep solutions to consumers in over 100 countries. Our highly recognized brands include Tempur-Pedic®, Sealy® and Stearns & Foster®. We hire people who have a passion for helping others find their best night's sleep. No matter what stage of your career, you can build your future at Tempur Sealy!

OUR COMPANY OFFERS GREAT BENEFITS, INCLUDING:

Generous Paid Time Off
Competitive Medical, Dental & other wellness programs
Disability and Life Company Paid
Retirement Plan Options
Generous Employee Purchase Discounts

Pay Range: $74,000-$106,000

What You'll Do (Essential Duties and Responsibilities):

Responsible for identifying and analyzing user requirements.
Learn and understand the “as is” environment to be able to provide functional expertise and knowledge of the existing business practices.
Reconcile the user requirements to new or current system capabilities.
Liaise between the user community and project team.
Represent the user interests in system design and software configuration planning meetings.
Works with users to develop necessary processes or procedural changes to accommodate the software applications.
Works with the users to develop, document and execute test scenarios.
Coordinate and prepare end user training.
Contribute to overall project status reporting.
Perform other duties as assigned.
Requirements:

What You'll Need (Qualifications):

3+ years of ERP (Dynamics AX 2012, D365 preferred) experience working within financial modules such as AR, AP, GL, Cash and Bank Mgmt., Inventory Mgmt., Cost Accounting, Budgeting and Forecasting.
3+ years of experience in Information Technology Analysis, Design and Testing.
4-year degree in Information Technology or Accounting or related field.
Awareness and working knowledge of IT infrastructure.
Deep understanding of SDLC processes.

Tempur Sealy is proud to be an Equal Employment Opportunity and Affirmative Action employer. We provide equal employment opportunities to all employees and applicants for employment and prohibit discrimination and harassment of any type based upon race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.",1992,Consumer Product Manufacturing,$1 to $5 billion (USD),Manufacturing,10000+ Employees,Company - Public,False
CT Agris Business Analyst,"Archer Daniels Midland Company
","Erlanger, KY",$67K - $97K (Glassdoor est.),3.9,"Erlanger
KY - Kentucky
Information Technology

Job Description

CT Core Team – Agris Business Analyst
North America
Exempt level position.

Position Summary:
The Solution Delivery Organization is aligned with the enterprise process framework to the Accountable Executive/Global Process Owner (AE/GPO) organization for the purpose of business technology strategy development, solution discovery, service management, risk management and relationship management.
In the CTRM (Commodity Trading & Risk Management) area, the team is responsible to enable all processes and capabilities associated with Commodity Trading, Commodity Logistics, Contract Settlement and Risk Management.
As a member of the CTRM Solution Delivery team, the Agris Business Analyst will analyze business processes and associated functional requirements and work closely with the Solution Leader(s), Process and System Analysts as well as business and/or process owners to develop, document and deliver process and system solutions which enable ADM’s strategy. This position can be located in any Global IT hub in North America.

Job Responsibilities:
Partner with the Product Owner, other business representatives and other Solution Delivery Team members to participate in preliminary investigation for project solutions requests, requirements gathering, collecting data from a variety of sources, evaluating and interpreting data, and drawing conclusions on solution options.
Support business case development by providing process and functional expertise to ensure a common understanding of the business outcomes that the solution needs to achieve.
Support the development of new or revised processes following the enterprise business process governance standards.
Understand the key cross-process and cross-functional dependencies as solutions are designed, developed and implemented.
Prepare documentation for all the main phases of the project, including but not limited to requirements gathering, project phases, ideation discovery and delivery.
Collaborate with Solution Architects to develop roadmaps from strategy documents and conduct regular roadmap reviews.
Collaborate with other IT delivery teams to ensure efficient and effective design, development and implementation of end-to-end solutions.
Support roadmap design for implementation projects, communicating with stakeholders and service delivery teams to ensure delivery.
Maintain a good awareness of solution and service delivery activities through regular communication with designated team leads and by attending update meetings.
Undertake requirements analysis of incoming requests ensuring deliverables are clearly understood and agreed with stakeholders.
Provide regular and accurate status updates and other documentation to management and team members for assigned project, support, and enhancement work.
Provide input to estimates for time and resource needs of identified solutions.
Support project implementation transition to the support organization through documentation and knowledge transfer.
Partner with other process and system experts to identify and implement business process continuous improvements opportunities.
Job Requirements:
Bachelor’s degree related to Information Systems, Business or other relevant academic discipline with a minimum 5+ years job experience in IT or process area(s).
Strong understanding of Commodity Trading and Risk Management processes, capabilities and main solutions. Previous experience with AGRIS is preferred.
Interact and deal effectively with all levels of employees while maintaining a professional manner.
Expected to complete projects within specified deadlines.
Expected to work occasional weekends, holidays, overtime, or a variety of shifts, when needed, to meet deadlines.
Ability and willingness to travel as needed to achieve business objectives.
Exhibits ability to work both in a multi-cultural team environment and independently.
Strong analytical, organization, time management, facilitation, and process management skills.
Demonstrated high level of written, verbal and interpersonal skills to communicate technical and non-technical information, ideas, procedures and processes.
Able to work in a fast-paced, changing environment, and with all levels of the organization and cope with rapidly changing information
Ability to evaluate and negotiate priorities and adapt to new/evolving individual and team assignments as adjustments are needed.
Knowledge of how current trends and process solutions can address identified business needs and capabilities

This position offers a complete benefit package, including 401K/ESOP, pension, health, life and dental insurance. Relocation assistance is available with this position.
ADM requires the successful completion of a pre-employment drug screen and a background check.
#AJCIND

Benefits and Perks

Enriching the quality of life for the world begins by taking care of our colleagues. In addition to competitive pay, we offer a comprehensive total rewards package to support your well-being, including:

Physical wellness – medical/Rx, dental, vision and life insurance; on-site wellness center access or gym reimbursement (as applicable)
Financial wellness – flexible spending accounts, 401(k) with matching contributions and cash balance plan, discounted employee stock purchasing program, disability, workers’ compensation, legal assistance, identity theft protection
Mental and social wellness – Employee Assistance Program (EAP) and Employee Resource Groups (ERGs)
Additional benefits include:

Paid vacation time, plus 11 paid holidays and one paid personal day
Adoption assistance and paid parental leave
Tuition assistance
Company-sponsored training and development resources, such as LinkedIn Learning, language training and mentoring programs

#IncludingYou

Diversity, equity, inclusion and belonging are cornerstones of ADM’s efforts to continue innovating, driving growth, and delivering outstanding performance. We are committed to attracting and retaining a diverse workforce and create welcoming, truly inclusive work environments — environments that enable every ADM colleague to feel comfortable on the job, make meaningful contributions to our success, and grow their career. We respect and value the unique backgrounds and experiences that each person can bring to ADM because we know that diversity of perspectives makes us better, together.

We are committed to ensuring all qualified applicants receive consideration for employment regardless of race, color, ethnicity, disability, religion, national origin, gender, gender identity, gender expression, marital status, sexual orientation, age, protected veteran status, or any other characteristic protected by law.

We welcome everyone to apply, especially those individuals who are underrepresented in our industry, as we strive to ensure our workforce represents the world that we help to feed: people of color, women, gender non-conforming, LGBTQIA+, veterans and persons with disabilities. For more information regarding our efforts to advance Diversity, Equity, Inclusion & Belonging, please visit our website here: Diversity, Equity and Inclusion | ADM.

#LI-Hybrid

About ADM:

ADM unlocks the power of nature to enrich the quality of life. We're a premier global human and animal nutrition company, delivering solutions today with an eye to the future. We're blazing new trails in health and well-being as our scientists develop groundbreaking products to support healthier living. We're a cutting-edge innovator leading the way to a new future of plant-based consumer and industrial solutions to replace petroleum-based products. We're an unmatched agricultural supply chain manager and processor, providing food security by connecting local needs with global capabilities. And we're a leader in sustainability, scaling across entire value chains to help decarbonize our industry and safeguard our planet. From the seed of the idea to the outcome of the solution, we give customers an edge in solving the nutritional and sustainability challenges of today and tomorrow. Learn more at www.adm.com.

Ref ID

#LI-AK1",1902,Food & Beverage Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Sales Analyst I,"Flowers Bakeries, LLC
",United States,-1,3.5,"The primary goal of the Sales Analyst I is to support Kroger sales team, competitive and/or market intelligence reporting of the company by efficiently building and maintaining reports in Business Objects (Sales Data Warehouse), IRI, AC Nielsen or other systems as directed. The Associate Sales Analyst provides database, report, master data and application validation for the reporting applications that they are assigned and support. They utilize test plans that have been developed by senior members of the team. They provide analysis for the management team as requested. Objective analysis, solid spreadsheet technical knowledge, word processing, written presentation preparation, and clear communication skills are required. Requires constant interaction with work group and other departments at the primary work location. Position requires demonstration of competency for all on-the-job activities that may have a direct or indirect effect on product safety, legality and/or quality.

Job Responsibilities
Responsibilities include, but are not limited to:

Provide support to the sales, marketing and management team by providing analysis and reports from the available tools such as AC Nielsen, IRI, Consumer Panel Data, Sales Data Warehouse, Retailer’s systems.
Support the team by completing spreadsheets and forms that support established business processes.
Continually measure, monitor and modify tactics to show progress against the team’s strategic goals.
Practices and complies with all Company policies and procedures (EEO, Harassment, Safety, Sarbanes Oxley, etc.). Performs other duties which are deemed by management to be an integral part of the job, including but not limited to fulfillment of work schedules, adherence to attendance policies, and other applicable operating rules, policies and procedures.

Desired Experience
1+ years of sales analytic or related experience (preferred)
Desired Education
Bachelor’s degree in related field.

We offer a competitive salary and an excellent total rewards package. Please reply by 12/07/2023. Resumes are active for 30 days. Interested job seekers who successfully complete the series of pre-screening questions and who appear to possess the basic qualifications for this position may be contacted for a telephone interview.


Equal Opportunity Employer/Veterans/Disability


If you need assistance with submitting your resume due to a medical condition or disability, please send an e-mail to Malinda Gwen Black at Malinda.Black@flocorp.com or 334 707-1986 .",1919,Food & Beverage Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
HR Operations Analyst,"Kaztronix
",United States,$29.00 Per Hour (Employer est.),3.6,"The Global HR Operations team is responsible for delivering reliable, high-quality operational support for a wide range of key HR business processes and services across multiple channels and platforms. We are seeking to hire an HR Operations Analyst to join our Global HR Operations Team as we continue to expand and grow globally. We are looking for an enthusiastic problem-solver who has excellent attention to detail with a passion for organization, clean data and coordinating projects, utilizing all of these attributes.

Duties include: Provide administrative support for all offboarding (voluntary and involuntary) projects. Act as an audit point for any offboarding activities. Maintain and update HCM for any employee activities as needed. Provide support with backlog filing, scanning and archiving projects along with any new projects. Management of employee documentation both digitally and manually, where required. Support the movement of data between core HR systems and downstream systems including Payroll, Equity, and Benefits. Ensure that all transactions are accurate and compliant with current SOX and internal control guidelines. Requirements: HR Domain Knowledge with at least 1-2 years experience in an operations role. Exceptional customer service skills with a continuous improvement mentality. Ability to work complex issues, attention to detail, process re-engineering. Ability to partner with multiple HR colleagues, partners and clients internationally.

Preferred Qualifications: BA/BS Degree Experience with HR Management Systems (Workday, ServiceNow, PeopleSoft). Intermediate-level skills in Microsoft Office. Experience in an HR Shared Services or HR Operations environment.

Kaztronix is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, sex, age, religion, disability, veteran status or any other consideration made unlawful by federal, state or local laws. In addition, all human resource actions in such areas as compensation, employee benefits, transfers, layoffs, training and development are to be administered objectively, without regard to race, color, religion, age, sex, national origin, disability, veteran status or any other consideration made unlawful by federal, state or local laws.

By applying to the position, you acknowledge that your information will be used by Kaztronix in processing your application.",2002,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
District Manager,"Galls LLC
","Lexington, KY",-1,3.2,"District Manager – FULL TIME

Come and join a FUN sales team with US Patriot! Great stores, energetic team environment – great opportunity!

US Patriotis seeking a Full Time District Manager to guide, mentor and manage a region of amazing team members. We have over 105 retail locations and multiple web portals to take care of our customers' tactical gear needs.

US Patriot/Galls, LLC offers many benefits to include:

Excellent medical/dental and vision coverage— Eligible 1st day of the month after start date
401(k) retirement plan with company contribution (because you will retire someday)
Flexible benefits—choose what you like, ignore the rest
Generous employee discount
Vacation and Personal Time
Paid Holidays
Tuition reimbursement
Daily Pay- Receive up to 50% of wages for hours worked DAILY!!!

TheDistrict Manager-US Patriotretail branchesoversees the development of retail leadership within their assigned district consisting of 10-20 branches through effective communication, systematic training, and strategic decision-making. They serve as the subject matter expert on branch operations, personnel actions, and administrative functions. They provide recommendations to the Region Director of Military Operations and work collaboratively with other departments within the Galls organization to further strategic goals. They are responsible for collecting, aggregating, and presenting retail data, supporting retail inventory strategy development, and developing and tracking key performance indicators for retail branches. Responsible for driving revenue growth, margin growth, and effectively managing expenses and profitability. Accountable for meeting or exceeding sales, margin, and profitability goals in each location and collectively.

WHAT YOU'LL DO

Revenue, Profitability, and Operational Efficiency

Supervise operational practices by reviewing and assessing sales, inventory, and personnel performance for each location. Implement action plans to fix deficiencies.
Manage core reporting and KPI for retail locations through statistical analysis of sales and inventory data. Identify sales trends and make recommendations accordingly.
Solicit regular feedback from retail staff on product requests, selection, and availability. Provide recommendations and collaborate with the Region Director on branch inventory and planograms.
Ensure management staff is trained and compliant with the inventory management process. Monitor inventory discrepancies and ensure cycle counts are completed promptly and accurately.
Establish annual sales goals for each location to set expectations for performance with measurable results.
Monitor branch expenses and review spending to ensure the branch operating budget compliance.

Customer Service, Marketing, and Training

Develop Customer Experience practices by assessing the customer experience in-store and online to creatively interact with customers and solicit feedback.
Maintain a standard training model for new employees. Plan and coordinate quarterly training events to ensure management staff and sales associates are familiar and well versed in products and services available within the company.
Educate staff on merchandising standards, floor plans, and product placement to improve customer experience.
Actively seek marketing opportunities and make recommendations to the Region Director.
Obtain competitive intelligence by gathering and analyzing information from human and published sources about market trends and industry developments and the capabilities, vulnerabilities, and intentions of business competitors that allow for advanced identification of risks and opportunities to US Patriot Branches.

Administrative Operations

Coach, teach, and mentor branch management in the development of employee training and development plans.
Implement standard scheduling practices to meet customer demand, payroll budgets, and balanced FT/PT ratios of employees.
Review payroll reports to ensure timecards are approved, schedules are followed, and company policies are enforced.
Responsible for monitoring the weekly performance of management staff towards completion of administrative reporting requirements. This includes but is not limited to: deposits, expense receipts, and monthly paperwork.
Know and administer the Human Resources policies and procedures of the company to ensure compliance and consistent application between stores.
Responsible for hiring, staffing, and training store leadership. Manage, coach, and motivate teams to achieve their highest potential.
Provide annual reviews for direct reports.

Communication

Establish and maintain communication channels, and effectively communicate the company objectives to management staff through scheduled calls and email.
Work collaboratively with multiple departments to maximize and meet performance goals.
Responsible for building and maintaining relationships with branch teams and external organizations. Travel may exceed 50%. The amount and duration of travel will vary based on company needs.

WHAT YOU BRING

5-10 years of retail, marketing, or sales experience.
Bachelor's Degree in Business Management, Retail Management, or equivalent is preferred.
Ability to manage projects with multiple tracks as a high-energy leader.
Ability to develop clear action plans and drive processes with numerous interdependencies.
Business analysis experience including implementation, tracking, problem resolution, and reporting.
Excellent written and verbal communication skills and strong presentation skills.
Strong problem-solving skills, analytical capabilities, and collaboration skills.
Must have attention to detail, a commitment to quality, and be results-driven and customer-focused.
Knowledgeable of market and industry trends, competitors, and leading customer strategies.
Accountability of both physical inventory and cash counting functions.
Ability to build, read, and analyze financial documents including P&L and Budget.
Leadership; Time Management; Decision making; Organizational Skills; Data analysis and budgeting; Effective communication; Results driven; Inventory Management; Creativity; and Statistical analysis/modeling

WHAT TO SEND OUR WAY

Your resume, highlighting your education, experience, and skills
Why you want to be a part of the US Patriot/Galls family

Galls/US Patriot is an Equal Opportunity Employer of people from all walks of life, including persons with disabilities and veterans. Galls is passionately committed to diversity and inclusion in all that we do. We invite you to join our team, grow with us and contribute by bringing your authentic, best self to work.",-1,"Department, Clothing & Shoe Stores",$500 million to $1 billion (USD),Retail & Wholesale,1001 to 5000 Employees,Company - Private,True
Fiserv DNA Consultant - Contractor,"EY
",United States,$60.00 - $115.00 Per Hour (Employer est.),3.9,"We are currently looking for experienced DNA professionals with domain knowledge across multiple disciplines (Data, Lending, Deposits, Operations, and Finance) to join our team.

RESPONSIBILITIES

DNA Core Processing Expertise: Configure and implement DNA Core Processing functionality, diagnose and recommend solutions to issues, and assist clients in writing business specs for custom processes.
Client Support: Assist the consulting and PM teams, engage with clients and evaluate readiness for conversion, ensure client satisfaction, and manage/resolve a fixed percentage of Service cases.
Testing and Deployment: Test new features and functionality of the DNA product suite, and assist client in testing any applicable custom code.
Communication and Documentation: Document client and internal discussions and decisions and communicate with clients throughout the entire process.
Preferred experience with conversion, SQL and or training.
Skills

business analysis, and implem...

fiserv software

dna

data analytics

Qualifications

QUALIFICATIONS

5+ years of experience in the banking and/or credit union industry.
2+ years of direct Fiserv DNA experience implementing the core banking product and 3 years of Fiserv DNA core processing systems
Client-facing skills and a strong understanding of the Fiserv DNA product and its implementation processes
A technology leader with vision and a view to continuous improvement.Strong verbal and written communication skills.
Subject Matter Expertise in at least one of the following within DNA: Core System Administration, Deposits, Loans, Lending, or Finance,
Travel: Ability to travel up to 25% within the US.

This contract assignment's expected pay rate range is $60 to $115 per hour. The exact pay rate will vary based on skills, experience, and location.

GigNowOpportunities

#GigNowTechOpportunities

Equal Employment Opportunity Information
EY provides equal opportunities to applicants, employees, contractors, vendors, and stakeholders without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, pregnancy, genetic information, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, in accordance with applicable law. If you are an individual with a disability and either need assistance applying online or need to request an accommodation during any part of the application process, please email gignow.recruiting@ey.com.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Unknown,False
Business Analyst,Quantam,"Frankfort, KY",$35.00 - $40.00 Per Hour (Employer est.),-1.0,"Quantam Solutions provides IT solutions and consulting for various clients. We offer a competitive hourly wage, health benefits, paid time off, and a 401(k) plan. We're currently seeking a Business Analyst. The selected candidate will be required to start working hybrid/onsite in Frankfort, Kentucky 40601.





CORE RESPONSIBILITIES:


The IT BA will assist the Project Manager (PM) in the management of project work by facilitating communication with the business unit/customer, project team, and other stakeholders as necessary related to requirements and proposed solution for the project. The BA will elicit business requirements (features & user stories) for assigned project requests from business subject matter experts and manage the product backlog. For each upcoming sprint, the BA will decompose the user stories to a consumable level that is understood by the developers. The BA will lead the team in the identification of acceptance criteria for the decomposed user stories. The BA will ask business stakeholders probing questions and communicate that information to the development team to ensure they understand the requested work. The BA is expected to understand the business processes and to use that knowledge to make recommendations for business process improvements as well as improve the value to the end users.


An ideal candidate will support identified projects and other efforts by:


Driving the adoption and integration of the BA roles and processes.

Assess customers’ current capabilities and needs and identify potential COTS products as solutions.

Act as a liaison between project stakeholders.

Identify business needs and drivers of value and success.

Work with technical teams to determine and justify a solution approach that maximizes customer value through improvements to workflow, production, efficiency and/or effectiveness.

Provide technical and non-technical assistance to team members by developing technical documentation.

Work with project/business stakeholders and/or users to gather, document, and validate solution (system and software) requirements.

Work with the development team on task creation and estimating.

Work with the technical development team to ensure that requirements are effectively implemented.

Work with project/business stakeholders and/or users to facilitate user acceptance testing.

Work with customer contacts after solution delivery to understand ongoing needs and issues along with associated business drivers and assist in triaging within Labor IT to engage resources to provide the appropriate response/resolution.

Assist the PM with management of the project by “owning” the analysis and testing components of the project.

Lead the development team through the Development phase of the project by researching and answering questions about the defined work, identified bugs, and assisting in technical roadblocks - escalating as defined in the project’s technical escalation process.

Create and maintain the testing plan for the project following an iterative development methodology.

Employ an iterative development methodology and lead the effort in defining features, user stories, and acceptance criteria.

Manage user story (requirements), use case, and artifact gathering processes and clearly communicate to the business and technical team members what is needed.

Ask probing questions to fully understand user stories with the ability to provide feedback on possible implications of any and all requests.

Accurately and concisely articulate issues, questions, and recommendations to business stakeholders, team members, and management.

Work with the business unit to manage the expectations for project completion.

Understand the “as-is” and “to-be” business processes to ensure all parties are working toward the same goal.

Model the expected system interactions, particularly when software is being developed.

Identify gaps in data requirements between what is in place and what is needed.

Model the data requirements or work with the appropriate people to ensure that the data will support the new solution.

Create mock-ups of the new user interfaces as needed.

Support the business unit and development team by discussing business and technical impacts of any dependencies related to priority decisions.

Work closely with stakeholders in developing user scenarios as needed.

Work with continuous improvement in mind in order to identify and document system recommendations for current and future development.

Work with users to update business processes and procedures guidelines.


MINIMUM REQUIREMENTS:


Excellent written and oral communication skills in English. Must be able to effectively and comfortably communicate with all types of individuals from the customer technical expert to the customer executive management.

Bachelor’s Degree with a focus in IT or equivalent combination of experience/knowledge.

2-3 Years’ experience working with businesses to identify and document IT needs and facilitate solutions.

Experience and comfort with business analysis, requirements definition & validation.

Knowledge of and experience with agile processes.

Strong analytical, design and problem-solving skills.

Ability to work independently/self-reliant and show initiative with minimum supervision.

Ability to quickly learn new technologies and apply appropriately to business situations.

Strong team player who enjoys working in a fast-paced team atmosphere.

Ability to work under pressure; meet strict deadlines.

Ability to listen effectively and seek clarification.

Ability to build a rapport with clients.",2004,Investment & Asset Management,Unknown / Non-Applicable,Financial Services,1 to 50 Employees,Company - Private,False
