Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Business Analyst (Local Candidates Only),"GOLFBALLS.COM
","Lafayette, LA",$43K - $68K (Glassdoor est.),4.1,"About Us:

Golfballs.com is the World Leader in Golf Customization; and offers a complete selection of balls, clubs, shoes, apparel, and more from golf ball top brands. Golfballs.com sells and prints over 300,000 customized golf balls each week, utilizing our proprietary visualization and fulfillment platforms.

Job Summary:
We are seeking a highly motivated and detail-oriented Business Analyst to join our team. The ideal candidate will play a crucial role in gathering and analyzing business data, identifying trends and insights, and translating them into actionable recommendations. If you have a passion for problem-solving, a strong analytical mindset, and the ability to work collaboratively with cross-functional teams, we encourage you to apply.

Key Responsibilities:



Data Gathering and Analysis: Collect, organize, and analyze business data, including financial reports, customer data, and market research, to identify trends, patterns, and opportunities.
Requirements Elicitation: Collaborate with stakeholders to understand business needs, define project requirements, and document them effectively.
Process Improvement: Identify and evaluate business processes for efficiency and effectiveness, recommending improvements and optimizations.
Data Modeling and Visualization: Create data models and visual representations (e.g., flowcharts, diagrams, dashboards) to communicate findings and insights effectively.
Reporting and Documentation: Develop clear and concise reports, documentation, and presentations to convey analysis results and recommendations to various stakeholders.
Budget Planning and Management: Collaborate with financial teams to develop and maintain budgets, forecast financial performance, and track expenditures, ensuring alignment with organizational goals.
Risk Assessment: Assess potential risks and challenges associated with proposed business solutions and provide risk mitigation strategies.
Quality Assurance: Collaborate with the quality assurance team to ensure that project outcomes meet defined business requirements and quality standards.
Project Management: Assist in project planning, scheduling, and monitoring to ensure timely and successful project completion.
Change Management: Support change initiatives by facilitating communication and training, as well as assessing the impact of changes on the organization.
Continuous Learning: Stay updated on industry trends, emerging technologies, and best practices in business analysis to contribute to ongoing process improvement.

Qualifications:

Bachelor’s degree in business, Economics, Finance, or a related field. MBA or similar advanced degree is a plus.
Proven experience as a Business Analyst or in a similar analytical role, with a track record of solving complex business problems.
Strong analytical and problem-solving skills, with proficiency in data analysis tools and techniques.
Excellent communication skills, including the ability to present findings and recommendations to both technical and non-technical audiences.
Knowledge of project management methodologies and tools.
Proficiency in data modeling and visualization tools, such as Microsoft Excel, Tableau, Power BI, or similar platforms.
Detail-oriented and able to work effectively both independently and as part of a team.
Strong interpersonal skills and the ability to collaborate with stakeholders at all levels of the organization.
A proactive and adaptable approach to handling changing priorities and business needs.

Benefits:

Health and dental insurance.
Retirement plan options.
Paid time off and flexible work arrangements.
Opportunities for professional development and training.

Join our team as a Business Analyst and contribute to the success and growth of our organization through data-driven insights and effective business solutions. If you have the skills and passion for analysis and problem-solving, we want to hear from you. Apply today!",1995,Sporting Goods Stores,$25 to $100 million (USD),Retail & Wholesale,51 to 200 Employees,Company - Private,True
Business Systems Analyst,"MedCentris
","Hammond, LA",$50K - $70K (Employer est.),3.3,"Definition and Role

The position of Business System Analyst will report directly to the Director of Project Management. The Business Systems Analyst will be responsible for analyzing and improving our company's business systems and processes. They will work closely with business stakeholders to gather requirements, develop solutions, and implement changes that will enhance our overall efficiency and effectiveness. Perform data analysis in support of timely, quality systems implementation and maintenance via projects and regular software releases. Work with end-users as needed to develop and execute test plans to verify business systems and processes work. Develop and update functional specifications, including use cases and data flows in support of timely, quality systems implementation and maintenance.


Job Responsibilities and Duties

Collaborate with stakeholders to understand business needs and requirements, common frustrations, hindrances and other issues that interrupt their workflow

Analyze business processes and systems to identify areas for improvement

Develop and document functional and technical requirements for software applications and systems

Clearly identify dependencies related to requested development and communicate such in requirements documentation.

Work with software developers to design and implement software solutions

Conduct user acceptance testing to ensure software meets requirements and specifications

Provide training and support to end-users on new systems and processes

Develop and maintain system documentation, including user manuals and training materials

Assist the Project Specialist with monitoring project scope, feasibility assessment and contingency plans, constraints, schedules, issues, approvals, and communication management.

Perform other duties as assigned


Qualifications and Skills

3+ years of experience in business analysis, project management, or a related field

Clinical experience preferred

Proficient in MS Office, MS Project, MS Excel, MS Visio.

Experience and or educational project work in analyzing and documenting business processes.

Demonstrated ability to bring clarity to business processes that may not be well understood by customers themselves.

Ability to translate business requirements to technical specification for implementation or development.

Strong written and verbal communications skills necessary.

Demonstrated ability to work in a deadline driven environment with competing priorities.

Experience with management of team members to assure project deliverables

Experience working with patient outcome measurement tools required

Experience with start-up and close-out activities

Experience with management and oversight of vendors (e.g. pharmaceutical, DME, etc.)",-1,Health Care Services & Hospitals,$25 to $100 million (USD),Healthcare,51 to 200 Employees,Private Practice / Firm,False
JDE E1 Business Systems Analyst (HGAS),"Hunt, Guillot & Associates
","Ruston, LA",$69K - $105K (Glassdoor est.),4.4,"The JDE E1 Business Systems Analyst is an on-site position working for a wood products client in the Ruston, LA area.

Position Responsibilities:

Collaborate with departments to gather business requirements related to JD Edwards EnterpriseOne (E1) 9.2 modules, including Financials, Payroll, HR, EHS (Environment, Health, and Safety), Inventory, Purchasing, and CAM (Capital Asset Management).
Design, develop, and implement business solutions within the JD Edwards E1 system to meet the identified requirements.
Coordinate activities with outside vendors and consultants to ensure tasks are completed in a timely manner, especially when related to E1 projects.
Manage E1 projects to ensure that solutions are delivered on time and within budget.
Troubleshoot and resolve E1 end-user issues as they arise.


Required Qualifications:

Bachelor’s degree in Information Technology, Computer Science, or related discipline.
2 to 5 years’ experience as an E1 Analyst
Proficiency in JDE E1 9.2 modules, including Orchestrator.
Candidates must be able to commute to the Ruston, LA area on a daily basis, or be willing to relocate.

Preferred Qualifications:

Previous experience in integrating JDE E1 with external systems
Familiarity with ReportsNow
Experience with IBM (commonly known as AS/400) systems



Equal Opportunity Employer/Veterans/Disabled",1997,Architectural & Engineering Services,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",501 to 1000 Employees,Company - Private,True
IT D365 Business Analyst,"Morgan Advanced Materials
",United States,-1,3.2,"Overview:

Morgan Advanced Materials is a business rich in history and innovation. Founded in the UK in 1856, we have grown into a global organisation with 70 sites in 18 countries. Our model to serve our customers where they need us has led to a diversified product range using our unparalleled expertise in ceramic and carbon materials, which we exploit to solve difficult problems for our customers across a diverse range of markets.


We are a purpose driven organisation. Our purpose is to use advanced materials to make the world more sustainable and to improve the quality of life. We deliver on that purpose through the products that we make, and the way that we make them.


We help our customers push the limits of their processes and products to meet the demanding requirements they face, from higher process temperatures to higher product performance to increasing miniaturisation.

Key Figures: Revenue £1,112m (2022), ~8,500 employees, manufacturing in 30+ countries, and a global customer portfolio. A UK PLC with head office located in Windsor, Berkshire UK. Listed on London Stock Exchange; Member of the FTSE 250 Index.


Responsibilities:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data
Qualifications:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data


Morgan Advanced Materials is an EEO/AA/M/W/D/V Employer Ind-1",1856,Metal & Mineral Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Senior Business Intelligence Analyst (IT),"MTF Biologics
",United States,-1,3.7,"Overview/Risks:
Serve as technical team leader and work closely with business and technical partners across the enterprise to enable the implementation of end-to-end Business Intelligence solutions. Possess exceptional data transformation, warehousing and automation skills, as well as interpersonal skills to work cross-functionally and drive better data access and holistic analytics. Play a key role in the architecture, delivery and governance of reporting and data delivery
Responsibilities:
Manage reporting environments including data warehouse, data sources, security, licensing, and metadata.
Ensure evolving data warehouse is in lockstep with evolving analytics and reporting use cases, and partner with the infrastructure team to ensure the data warehouse scales with growth.
Responsible for planning, designing, configuring, developing, testing, deploying and supporting ETL/BI solutions. Develops and uses ETL applications to perform data analysis, create technical designs and provide applications support.
Partner cross-functionally with our infrastructure, engineering, and analytics teams to define and drive optimized data access and data-informed decision-making across the organization.
Write complex SQL scripts to extract data from variousdatabases and systems to make data available for enterprise reporting.
Responsible for establishing and maintaining data normalization and data integrity.
Facilitate automation of analytical and operational tasks and processes.
Create ope rational metrics and KPIs to improve data quality and operational efficiency.
Establish data management best practices to ensure completeness, cleanliness, and consistency across the entire data lifecycle.
Identify and revise enterprise reporting requirements.
Responsible for evaluation, installation, testing, implementation, maintenance and troubleshooting of new or upgraded BI Applications.
Troubleshoot reported problems pertaining to BI tools and database environments, working closely with other IT members, especially DBAs, Systems Analysts, BI Analysts and Systems Engineers, identifying the cause and designing / developing an approach for resolution.
Assess impact of changes and updates to source production systems, planning and implementing resulting changes to reports and dashboards.
Governance / Best Practices – adhere and contribute to enterprise data governance standards. Also educates andsupports colleagues in best practices to ensure that data is used appropriately.
Conduct end user training on BI systems.
Perform system administrator functions within software, including maintaining configuration of software, account management, maintaining system security.


Qualifications:
MINIMUM QUALIFICATIONS
Education: Bachelor's Degree, Masters Degree (Combination of Education and/or Equivalent Work
Experience)
Other MSCE a plus
Other CBIP a plus

Years of Experience:
Minimum Years of Experience
Area of experience
7 Years Experience with business intelligence platforms
5 Years Strong working knowledge of data-warehousing, ETL, automation and reporting
5 Years Exceptional data retrieval and handling skills using SQL (or other scripting languages) Data modeling and data analysis skills with a strong customer focus.
5 Years System administration and security
3-5 years of Experience with Power BI.

Specialized Knowledge, Technical Skills, and Abilities

Ability to interface with various levels of the business and across various functional groups.
Strong technical documentation skills.
Excellent communication skills (written and verbal) and organizational skills.
Ability to work with minimal supervision.
Ability to think creatively and critically.
Ability to thrive in a fast paced, dynamic, & often ambiguous work environment.

#INDMTF",1987,Health Care Services & Hospitals,$100 to $500 million (USD),Healthcare,1001 to 5000 Employees,Nonprofit Organization,False
Business Analyst,Honor Services,"Baton Rouge, LA",$62K - $98K (Glassdoor est.),-1.0,"Description:

Honor Services is a professional services company based out of Baton Rouge, Louisiana that provides comprehensive back-office support for business operations involved in the construction and engineering markets. We are seeking a Business Analyst to join our dynamic team. This role will assist with Corporate Planning as they administer recuring executive meeting schedules. They will track, map, schedule, coordinate, & report on corporate initiatives. The successful candidate will be adept in project coordination, organizational communication, & relevant supporting administrative tasks. This is an excellent opportunity for a proactive individual who thrives in a fast-paced environment and enjoys contributing to the success of a growing company.

Responsibilities

Administrate internal executive meeting schedules & related agendas.
Record and distribute comprehensive and accurate meeting notes from executive meetings.
Maintain a Corporate Planner that tracks and prioritizes initiatives.
Collaborate with stakeholders to coordinate project schedules, monitor project progress, provide updates to the executive team, and address hurdles that may arise.
Act as a central point of contact for executive communications, filtering, and prioritizing messages.
Draft and edit correspondence, presentations, and reports on behalf of the executive team.
Maintain an organized document management system for executive files, ensuring quick and secure access.
Identify opportunities for process improvement and implement streamlined administrative procedures.
Requirements:
Bachelor's degree in any field preferred.
Proven experience as an executive assistant or in a similar coordinator role preferred.
Strong organizational and time-management skills with keen attention to detail.
Exceptional written and verbal communication skills.
Proficient in Microsoft Office Suite and other relevant software applications.
Ability to adapt to a fast-paced and dynamic work environment.
Proactive mindset with the ability to anticipate needs and take initiative.
Problem-solving skills and the ability to navigate challenges independently.


Work Environment

While performing the duties of this job, the employee is most frequently performing work in a professional office environment.

Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. This position consists of sitting for long durations of time, performing work with tight schedule deadlines and a high intensity team. This position occasionally lifts, pulls, pushes, or carries materials up to 50 pounds.

Pre-Employment

Background screening & employment authorization. I-9 Verification will be run through E-Verify upon the acceptance of employment.

Company Equal Opportunity Statement

We are an equal opportunity employer, and all qualified applicants receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.

Compensation

Competitive Pay and Generous Benefits Package Offered.

If you are a motivated individual with the skills and experience to excel in this role, we invite you to apply. Join us in our commitment to excellence and contribute to the success of our growing organization.",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Senior Training Analyst - Central Business Office,"LCMC Health
","New Orleans, LA",$25.00 - $30.00 Per Hour (Employer est.),2.5,"Please apply on our website at:

https://pm.healthcaresource.com/cs/touro/#/job/21848

POSITION TITLE: LCMC SENIOR TRAINING ANALYST

POSITION SUMMARY:

The purpose of this job description is to be responsible for training and on-going competency for all employees performing revenue cycle functions within the CBO (i.e. Biller, Collector, Cash Poster, Customer Service, and Denials & Appeals Specialists roles).

This job description is intended to describe the general nature and level of the work being performed by people assigned to this work. This is not an exhaustive list of all duties and responsibilities. LCMC Health reserves the right to amend and change responsibilities to meet organizational needs as necessary.

JOB SPECIFICATIONS:

Education:

Minimum Required: HS Diploma or equivalent and some post HS secondary education, to include Medical Assistant certificate or classes towards an associates’ degree

Preferred: Bachelor’s Degree in Education, Business, or related field.

Experience:

Minimum Required: 1 years of experience in a central business office/department role with a bachelor’s degree, or 5 years of years of experience in a central business office/department role with a HS Diploma.

Preferred: 7 years in hospital setting with training or mentoring responsibilities. Competency in billing, cash posting, denials or collection experience. Technical competency in core hospital revenue cycle operations.

License/Certification:

Preferred: Medical Assistant Certificate

Special Skills/Training:

Minimum Required: Microsoft Excel, Word, Power Point, Visio and Outlook proficiency. Excellent verbal and written communication skills. Strong analytical and problem-solving skills. Exercise good organizational and time management skills with the ability to prioritize and coordinate multiple work assignments under fast paced changing conditions. Excellent interpersonal and professional skills demonstrating the ability to skillfully communicate clearly and effectively with employee members on a daily basis orally and in writing. cognitive skills required in order to determine job priorities and work self-directed with minimal supervision. Ability to develop training curriculum and job aides as well as standardized testing to measure effectiveness, along with ongoing audit tools.

Preferred: Medical terminology proficiency, keyboard touch typing proficiency, must be technically competent and able to plan, organize, and follow through to problem resolution. Must be able to deliver and obtain information in a professional manner, train effectively, and present results in a way clearly understood by the targeted audience. Adapts to learning style of the student and able to communicate in one-on-one and group situations.

POSITION DUTIES:

Core CBO System Training

Develops classroom and online curriculum, demonstrations and presentations. Evaluates training curriculum and delivery to measure education results.
Provides departmental Revenue Cycle training to enhance and insure consistency in job performance. Insures employees understand policy and procedure and incorporate in daily job duties.
Provide structured classroom training for all system applications utilized by CBO Revenue Cycle employees.
Completes orientation checklists within 90 days. Support educational needs for central business office to insure consistency of job performance.

Audit & Accuracy Reviews

Validates employee competencies through observation by utilizing the skill validation checklist to identify training opportunities and recommendation for employee recognition.
Provides continuing education via classroom and online correspondence, that will further develop employees' skill level and improve productivity.
Based on random data integrity audits, will perform focused training sessions for employees as determined by the audit results.
Insures employee competency in all areas of job functions. Demonstrates responsibility for professional growth and maintaining required knowledge and skills to accurately perform the duties of the position.

Leadership Collaboration

Demonstrates competency in all CBO revenue cycle areas and job functions, supports corporate compliance in Federal, State, Third Party and Joint Commission regulations.
Promote and advance a learning culture within the organization by educating those in supervisory and managerial positions. Thoroughly understand and communicate the training program to all employees inspiring self-development and peer-to-peer learning.

Curriculum Flexibility

Keep current with new courses, updates, and management tools releases. Track training progress and follows up with leadership to ensure completion of the program in a timely productive manner.
Responds to employee concerns, questions, or issues in a professional and constructive manner. Provides accurate information regarding process, system, or policy issues.

Revenue Cycle Service Standards

Provides and promotes professional, efficient, and friendly customer service in all communication and interactions utilizing the LCMC Health values. Promotes cooperation and open positive clear communication with internal and external customers.
Utilizes computer, email, credit card machine, copier, fax, printers, and telephone.

The above statements reflect the general duties considered necessary to describe the principal functions of the job as identified and should not be considered a detailed description of all the work requirements that may be inherent to the position.

LCMC Health is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability status, protected veteran status or any other characteristic protected by law.

Please apply on our website at:

https://pm.healthcaresource.com/cs/touro/#/job/21848

Job Type: Full-time

Pay: $25.00 - $30.00 per hour

Benefits:

Dental insurance
Health insurance
Life insurance
Paid time off
Retirement plan
Vision insurance

Schedule:

Monday to Friday

Education:

Bachelor's (Preferred)

Experience:

Central Business Office: 5 years (Preferred)
Training: 5 years (Preferred)

Work Location: In person",1994,Health Care Services & Hospitals,$5 to $25 million (USD),Healthcare,51 to 200 Employees,Subsidiary or Business Segment,True
Business Analyst (Entry level),"365 Labs
","Baton Rouge, LA",$55K (Employer est.),4.0,"Please read the following requirements carefully before submitting an application

Prospective candidates must be domiciled within a 30 mile radius of the 365Labs Baton Rouge Campus. If your application shows a Non Louisiana phone number or address, Please write a brief cover letter if you intend to move to Baton Rouge. In absence of the cover letter, the resume will be automatically rejected.

365Labs builds state-of-the-art systems for Public Safety. We are looking for a Business Analyst to join our Professional Services team. The BA will work closely with stakeholders to identify goals, analyze processes, develop best practices and determine how to best apply 365 software and processes to solve clients' challenges.

An ideal candidate would be someone who is a quick learner, has taken basic courses in database and programming, is systematic and well organized and has great communication skills. Typically a degree in Information Systems, Accounting or a degree in Business with minor in Information Systems prepares you for roles such as a Business Analyst.

Duties:

Assist in creating software implementation plans
Document current systems and process
Coordinate software implementations and custom software enhancements
Support clients by building reports and customizations
Assist Project Manager with meetings
Help develop great business relationships with the clients

Knowledge of Microsoft Office tools (especially MS Excel), Power Tools and SQL will be a plus

An undergraduate Degree from a reputed college with at least a minimum GPA of 3 is required.

References will be required from the shortlisted candidates.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Business Analyst,"i3 Verticals
","Shreveport, LA",$54K - $79K (Glassdoor est.),3.6,"JOB TITLE: Business Analyst
DEPARTMENT: S&S Operations
REPORTS TO: CEO
JOB LOCATION: Shreveport, LA
TRAVEL: 25%-50%
SUMMARY OF POSITION:
The Business Analyst will be responsible for guiding and improving processes, products, services and software through data analysis. The Business Analyst will play a role in the software development life cycle and will work closely with Product Owners.
ESSENTIAL DUTIES & RESPONSIBILITIES:
Assess client practices and gain understanding of clients’ business processes relevant to industry trends and project goals.
Brainstorm requirements a software solution needs and participate in requirements gathering.
Design new programs by analyzing clients’ requirements.
Make recommendations and improve system by studying the products.
Document processes and prepare user stories by analyzing and summarizing the information.
Work on more than one project at a time and reevaluate their priorities and deadlines.
MINIMUM QUALIFICATIONS (EDUCATION AND EXPERIENCE):
Associate’s degree or equivalent work experience
Must have excellent documentation skills
Must have analytical and conceptual skills
Must have strong verbal and written communication skills
Ability to prioritize workload and manage multiple responsibilities effectively
PREFERRED QUALIFICATIONS (EDUCATION AND EXPERIENCE):
2+ years related experience
Technical writing experience



Experience
Required
2 year(s): Business Analyst Experience
Education
Required
Associates or better in Information Technology or related field",2012,Computer Hardware Development,$5 to $25 million (USD),Information Technology,1001 to 5000 Employees,Company - Public,True
