Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
CFO/Controller,"Atlantic Coast Seafood, Inc.","Boston, MA",$86K - $128K (Employer est.),-1.0,"Responsibilities:
- Oversee all financial operations and accounting activities of the company
- Develop and maintain financial policies, procedures, and internal controls
- Prepare financial statements, reports, and forecasts for management and stakeholders
- Ensure compliance with applicable laws, regulations, and accounting standards
- Manage the budgeting process and monitor financial performance against targets
- Conduct financial analysis to identify trends, risks, and opportunities for improvement
- Provide strategic financial guidance to senior leadership for decision-making
- Collaborate with other departments to optimize cost management and resource allocation
- Supervise payroll management and ensure accurate and timely processing
- Perform business analysis to support operational efficiency and profitability
- Conduct risk analysis and implement measures to mitigate financial risks
- Stay updated on industry trends, market analysis, and changes in financial regulations

Skills:
- Strong knowledge of corporate accounting principles and financial concepts
- Experience in cost management and optimizing financial resources
- Proven ability to provide senior leadership with strategic financial guidance
- Excellent financial acumen with the ability to analyze complex financial data
- Proficiency in market analysis to identify trends and make informed decisions
- Expertise in payroll management and ensuring compliance with relevant regulations
- Strong business analysis skills to support operational efficiency and growth strategies

-Strong detailed orientated a must
- Familiarity with International Accounting Standards (IAS) for accurate reporting

Note: This job description is intended to provide a general overview of the position. Other duties may be assigned as necessary to meet business needs.

Job Type: Full-time

Pay: $85,577.00 - $128,145.00 per year

Benefits:

Health insurance
Paid time off

Schedule:

8 hour shift
Monday to Friday

Work setting:

In-person
Office

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Applications Analyst,"Preservation Of Affordable Housing
","Boston, MA",$70K - $85K (Employer est.),4.0,"Join POAH in Shaping the Future of Affordable Housing!

Are you ready to make a meaningful impact on communities across the nation while working at the cutting edge of technology and affordable housing? Preservation of Affordable Housing, Inc. (POAH) is searching for a passionate and dynamic Business Applications Analyst to join our dedicated team. As a national leader in real estate development, ownership, and operation of affordable and mixed-income multifamily rental housing, POAH offers a unique opportunity to blend your technological prowess with your commitment to improving lives.

The Opportunity: Business Applications Analyst

Are you a tech-savvy innovator with a heart for social change? POAH is excited to offer a unique position for a Business Applications Analyst based in Boston. Collaborating with our Ownership & Operations department and Information Technology team, you'll act as a bridge between technology and business operations. Reporting to the Portfolio Technologies Manager, you'll dive into a hybrid role, leveraging your attention to detail, technological acumen, and project management skills.

What You'll Do:

As a Business Applications Analyst, you'll be at the forefront of technological advancement and business strategy alignment. Your responsibilities will include:

Creating visually stunning and functional SharePoint pages to streamline business processes and facilitate internal communication.
Enhancing communication and document management in Microsoft Teams, becoming a best practices champion.
Project managing technology initiatives, coordinating meetings, and maintaining project trackers.
Developing training materials and delivering engaging sessions on SharePoint, Teams, and other business applications
Administering and configuring technologies like SharePoint and Teams, guiding internal staff in their use.
Collaborating across departments to implement technology solutions using cutting-edge tools.
Building powerful dashboards and reports in Power BI to visualize actionable insights.
Customizing property management software like Yardi and MRI to optimize operations.
Supporting other initiatives that contribute to the success of our affordable housing and real estate business.

What We're Looking For:

We're seeking candidates with a bachelor's degree and experience in technology, consulting, or business operations. Key qualifications include:

Expertise in Microsoft business applications (SharePoint, Teams, Power Platform) and Excel.
Experience rolling out new technology or process changes within organizations.
A knack for delivering impactful technology training.
A collaborative spirit and a creative approach to problem-solving.
Excellent communication and presentation skills.
A genuine passion for our mission to provide affordable housing.

Preferred Qualifications:

While not required, experience in affordable housing, real estate development, or property management, along with additional skills in project management software and data analytics, are valued.

Why Join POAH:

Work at the forefront of affordable housing innovation.
Collaborate with passionate and dedicated colleagues.
Competitive salary and comprehensive benefits package.
Contribute to the betterment of communities nationwide.
Shape the future of housing policy and finance.

About POAH: Preservation of Affordable Housing (POAH) is a national nonprofit organization whose mission is to preserve, create and sustain affordable, healthy homes that support economic security, racial equity, and access to opportunity for all. POAH owns and operates more than 13,000 affordable homes at more than 130 properties in 11 states and the District of Columbia. POAH is based in Boston with offices in Chicago and Washington D.C.

POAH’s reach is national in scope, and its pursuit of the preservation mission is empowered by a focus on the business bottom line. Its strong reputation is the result of a demonstrated ability to craft complex financial transactions, tackle tough multi-family projects, and close deals that preserve the affordability of at-risk properties. The organization and its leaders are at the forefront of policy and legislative discussions around housing preservation, affordable housing finance and regulatory reform, including energy efficiency in the multifamily sector.

The POAH team is dedicated, creative and passionate. We believe a diverse and inclusive team is a stronger, smarter team, and we actively promote diversity and meaningful inclusion of different perspectives among our board, our staff, our partners, in our procurement of good and services, and at our communities. We understand that addressing structural racism and achieving racial equity are central to the work we do, and we proactively integrate the issue of race in our housing work.

Ready to make a difference while advancing your career? Join POAH and take the lead in driving meaningful change through technology and affordable housing. Apply today to be a part of a dynamic team shaping the future of housing preservation and development!

POAH is currently enjoying a remote hybrid schedule which allows employees to work in-office 2 days a week and work from home 3 days a week. An ability to work a remote hybrid schedule is required of all candidates.

POAH is an Equal Opportunity Employer.

Job Type: Full-time

Pay: $70,000.00 - $85,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Work Location: Hybrid remote in Boston, MA 02109",-1,Real Estate,Unknown / Non-Applicable,Real Estate,201 to 500 Employees,Company - Private,False
Global Electronic Lab Notebook (ELN) Platform Leader,"Vertex Pharmaceuticals
","Boston, MA",-1,4.3,"Job Description
The Global Electronic Lab Notebook (ELN) Platform Leader will define the strategy and lead the delivery of the Dotmatics ELN product suite across global Research. In this role you will identify capabilities and solutions within the Dotmatics product suite and solutions from the broader Dotmatics eco-system that addresses Vertex’s current and future business needs. You will work closely with the VP of Research Technology and Business Engagement Leads to co-create the roadmap of future capabilities that will power Vertex’s expansion into new disease and research areas. In your role as the Global ELN Platform Leader, you will define platform requirements, ensure solution quality, navigate milestones and challenges, and respond to feedback from the end-user research community.
Who you are: You are a people leader who owns the relationship with our vendor partners that will deliver the solution. You are a curious, analytical, and creative thinker who can work with technical and scientific stakeholders across research, engineering, and vendors to deliver solutions that are fit for purpose. You can drive ambiguity and complexity through stakeholder engagement. You are up for a challenge and understand that change requires continuous communication, consensus building, and negotiation to yield results. If you are that person, we encourage you to apply to this position.
Key Duties and Responsibilities:
Define, execute, and adapt the vision and strategy for the Global Research ELN at Vertex across geographies, modalities, and scientific disciplines
Work with vendors and internal business partners to produce a product roadmap and rollout strategy
Serve as Technical SME for enhancements, software upgrades, implementations, and integration projects providing product expertise and quality assurance, including leading technical design sessions, conducting code reviews, and testing as required
Partner with Vertex scientists to understand their processes, document, and manage business and technical requirements
Build deep, cross-functional relationships within and across DTE (Data, Technology, and Engineering) org and Research
Facilitate system related architectural reviews as needed
Agile - Experience working within and leading in an AGILE team framework
Identification and analysis of business drivers to develop architecture requirements for a complex portfolio of programs/projects
Analyze technology, markets, and industry trends to determine impact upon the enterprise or function.
Develop future state blueprints that meet strategic business objectives and ensure the appropriate level of quality. Develops architecture roadmaps to meet these objectives.
Ensure that projects do not duplicate functionality or diverge from each other and business and IT strategies
As a people manager within the organization, has financial accountabilities and human resource responsibilities for assigned staff.
Knowledge and Skills:
Highly specialized experience in Dotmatics product suite
A minimum of 3 years of progressive experience in Dotmatics implementation, program management, business analysis, and full life-cycle cloud implementation
BioPharma Research ELN experience in configuring Dotmatics ELN or equivalent, and integration experience with other common systems and functions such as LIMS, Registration, Genedata etc.
Strong track record for developing new talent, commitment to diversity, and understanding the value of the team
Experience leading and directing the work of teams in a highly matrixed environment. This includes performance management, hiring, and development and termination.
Education and Experience:
Master’s degree in Computer Science, software engineering or other related technology degree.
10 years of experience or the equivalent combination of education and experience
Strong familiarity with the drug discovery and development process and associated scientific workflows
Company Information
Vertex is a global biotechnology company that invests in scientific innovation.
Vertex is committed to equal employment opportunity and non-discrimination for all employees and qualified applicants without regard to a person's race, color, sex, gender identity or expression, age, religion, national origin, ancestry, ethnicity, disability, veteran status, genetic information, sexual orientation, marital status, or any characteristic protected under applicable law. Vertex is an E-Verify Employer in the United States. Vertex will make reasonable accommodations for qualified individuals with known disabilities, in accordance with applicable law.
Any applicant requiring an accommodation in connection with the hiring process and/or to perform the essential functions of the position for which the applicant has applied should make a request to the recruiter or hiring manager, or contact Talent Acquisition at ApplicationAssistance@vrtx.com.",1989,Biotech & Pharmaceuticals,$1 to $5 billion (USD),Pharmaceutical & Biotechnology,1001 to 5000 Employees,Company - Public,False
Business Systems Analyst (Oracle),"Aramark Uniform Services
","Norwell, MA",$66K - $96K (Glassdoor est.),3.3,"ARAMARK Uniform Services IT is looking for a highly motivated and energetic individual to join the team. In this role the individual will be working closely with other departments to support business needs.

The Business System Analyst is expected to interface with the business community and other IS team members to successfully undertake, and advise on the management of information systems and project requirements. The Business System Analyst has support responsibilities as defined by business needs and manager direction.

The primary skill set used for this position is business analysis, Route Accounting, SQL, and Project Management.

Helps determine operational objectives by closely studying business processes
Evaluating business requirements and writing future state designs with workflow charts and diagrams
Analyzes required business process improvements and assists with required change management practices to facilitate the necessary business process changes to meet the future state designs
Assists with gap identification, gap prioritization and gap solution design efforts after business requirements gathering and initial systems configuration and systems walkthrough with key business members
Writes all functional design documents that details any customization/extensions that delivers the functional solution to solve the business requirement
Collaborates with technical resources to plan and develop system flows.
Helps programmers during system development, e.g. provide use cases, flowcharts, design specifications
Develops and implements comprehensive test plans to ensure that systems and programs are tested and debugged.
Creates functional tests of systems configurations and extensions/customizations delivered from the IT development team
Writes or helps write solution design and critical control measures (i.e. roles and responsibilities of an ERP/Route Accounting system)
Collaborates with Change management to construct user documentation; providing help desk support; training users.

Qualifications:

Competencies:

Thinks Strategically – Focuses on the future and creates direction
Raises the Bar – Take smart risks and sets high expectations
Knows the Business – Has strong business judgment, prioritizes, and is decisive
Simplifies the Agenda – Takes an enterprise view and helps others connect the dots
Influences with Impact – Influences through action, and communicates effectively
Manages Courageously – Embraces change and manages conflict
Leverages Diversity - Promotes inclusion and leverages differences
Develops Others - Develops capabilities and inspires commitment
Drives for Results – Focuses on the end result and does the right thing
Takes Action – Plays offense and moves with speed
Works with Others – Plays as a team and achieves excellence together

Required Qualifications:

Bachelor’s Degree in one of the following disciplines Business, Computer Science, or related field.
Minimum 2 years of relevant technology experience required, including experience with large, complex technology programs.
Minimum of 2 years as an IT Business Analyst supporting ERP or Route Accounting software.
Experience in application and mobile application support including problem analysis and resolution.
Able to follow a methodical implementation process.
Strong requirements elicitation and modeling skills and experience with requirements management
Experienced in multi-system application integration.
Experienced in developing workflow and functional Use Cases.
Experience with Iterative or Agile project methodologies and tools.
Familiarity with customer invoicing processes.
Understanding of software development lifecycle.
Able to work as a liaison between the business community and technical team.
Excellent interpersonal, written and verbal communication skills
Self-starter who requires minimal supervision.
Has the drive and initiative to handle multiple deadlines continuously implementing changes
Capable of working in a fast paced, dynamic, team-oriented environment.
Experience using SQL based relational databases
Proficient in Microsoft Excel and Word.

Safety Requirements:

This location requires all individuals working on site to be fully vaccinated against COVID-19.

Preferred Qualifications:

Use of Mobile Device Management software.
Strong understanding of Sarbanes-Oxley (SOX) requirements.
Knowledge of RESTful and SOAP web services.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Experience:

Oracle EBS: 4 years (Required)

Work Location: Multiple locations",1940,Building & Personnel Services,$1 to $5 billion (USD),Management & Consulting,10000+ Employees,Company - Public,True
Senior Business Development Analyst Offshore Wind & Green Hydrogen,"Equinor US Holdings Inc.
","Boston, MA",$118K - $175K (Glassdoor est.),4.2,"Senior Business Development Analyst Offshore Wind & Green Hydrogen

Overview

Job ID:

27188

Country:

USA

Location(s):

Stamford, Connecticut, Boston, Massachusetts

Company:

Equinor US Holdings Inc.

Contact Name:

gm_arisoamer@equinor.com

Workplace:

Onshore

Discipline:

Business development

Education Preferred:

Bachelor's Degree

Experience Preferred:

3 - 5 Years

Closing Date:

Nov 26 2023

Job Description

We're 22,000 colleagues in more than 30 countries delivering oil, gas, wind and solar power to 170 million people worldwide. Taking on tough energy challenges is our job. Right now, we're facing an enormous task: supplying the world with the energy it needs, while lowering emissions.

We're up for the challenge. Are you?




The position

By joining our team in Renewables you will have the opportunity to:

Contribute to the business development projects in the Americas together with a team of subject matter experts and partners
Originate offshore wind business development and green hydrogen project opportunities in the Americas
Evaluate markets and geographies for offshore wind and green hydrogen in the Americas
Drive commercial support to BD projects and management decisions
Develop and improve valuation and models of energy assets
Lead the structuring and valuing of deals by understanding and quantifying value and risks
Guide projects through the assurance process as subject matter expert for valuation and partnering
Work with stakeholders to drive overall optimization and maturation of the projects



You

Some qualities are essential for Equinor. You identify with our values, open, collaborative, courageous and caring, which guide our decisions and help us succeed and grow. You make safety your priority and contribute to our zero-harm culture. For this position, we are also looking for:

A Bachelors degree in a relevant subject matter required, Business or Economics preferred
3+ years relevant experience, preferably within business development / commercial and renewables and understanding of the project development process and value drivers
Experience with preparation and delivery of decision basis at management level
Good understanding of the renewables industry (preferably including offshore wind), broader energy landscape, federal and state regulatory processes, and experience with the power sector
Good understanding of modelling, structuring and risk management
Experience with working in an international business environment and joint ventures is preferred
Collaborative working style with high level of self-autonomy and initiative
Creative and commercially minded delivering results within budget in a fast paced environment
Some local and international travel will be expected as part of the role



General information

Candidates are expected to openly offer all relevant information about themselves during the recruitment process. All permanent and temporary hires will be screened against relevant sanctions lists to ensure compliance with sanctions law.



Why join us?

At Equinor, we care about each other as much as our business. That's why we offer:

Not just a job; a career. In Equinor, your development begins on day one. You will build your competence through a wide range of learning activities while being empowered to build your career across multiple disciplines and geographies. Our internal job market allows endless opportunities for development and growth within your own field or in other interesting and relevant areas for you.
Attractive rewards. We offer a comprehensive benefits package with competitive salaries, global parental leave, variable pay schemes and a share savings plan.
Wellness and work-life balance. Our employees' well-being is a priority. We recognize that for you to be the best version of yourself in the workplace, being able to collect your children, attend a class or simply enjoy social time can be invaluable. That's why we encourage you to make use of our flexible work arrangements.
An inclusive culture. We believe embracing our differences makes us stronger. For us true inclusion means being able to bring your whole self to work, and for everyone to feel accepted and valued.

For more information visit Equinor's website: https://www.equinor.com/

EEO Is The Law and Pay Transparency. Federal contractors are required to disseminate the EEO Is the Law poster and Supplement, including the addition of sexual orientation and gender identity as protected classes, as well as the Pay Transparency provision by posting and electronic posting in conspicuous places available to employees and applicants for employment..

Link to posters: https://www.dol.gov/agencies/ofccp/posters/

EEO Statement. Equinor provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by federal, state, or local laws..
Accommodation Statement. Equinor will make reasonable accommodation to assist a person with a disability in the application process. If you need an accommodation in order to apply for a position please contact gm_arisoamer@equinor.com



We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",1972,Energy & Utilities,$10+ billion (USD),"Energy, Mining & Utilities",10000+ Employees,Company - Public,False
Senior Business Intelligence Analyst,"Lynn Community Health Center
","Lynn, MA",$72K - $97K (Glassdoor est.),3.7,"SENIOR BUSINESS INTELLIGENCE ANALYST


Are you interested in supporting key initiatives aligned with the organization’s strategy to improve business performance throughout the organization?


Can you utilize data analysis techniques to provide essential information needed to improve and manage critical business processes and systems?
Are you interested in benefits effective the first day of employment?
Are you self-motivated and organized?
Do you have skills with relational databases, Microsoft SQL database queries, and Crystal Reports/Reporting Services?
Have you worked in a matrixed reporting environment?


Yes? Please apply below for the position of Senior Business Intelligence Analyst at the Lynn Community Health Center.


In this role you will

Provide Manage operational and clinical quality dashboards.
Manage organizational quality and performance improvement initiatives.
Provide consultation and support to clinical/operational process improvement teams as assigned.
Support nurse and provider peer review process related to quality-of-care reviews.
Manage the activities of the data management program as directed by clinical leadership.
Participate in health center-wide education on relevant performance improvement topics including New Staff and New Provider Orientation.


The successful applicant will offer:


Minimum of a BA/BS in Data Science or Data Analytics Engineering, or a relevant healthcare/analytics field.
Previous experience in data warehouse, analytics environment required.
3-5 years’ experience with business intelligence or reporting applications such as Crystal Reports required.
Strong knowledge of SQL; ability to write complex SQL queries and complex stored procedures required.
1-3 years’ experience managing data reporting for grants preferred.
Previous experience working with Epic electronic health record preferred.
Epic Certification preferred.
SQL Certification preferred.


Please apply now and grow with LCHC

Thank you!",1973,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,Unknown,Nonprofit Organization,True
Sales and Budget Analyst,"The Greater Boston Convention and Visitors Bureau
","Boston, MA",$58K - $93K (Glassdoor est.),3.4,"Description:

The Boston Convention Marketing Center (BCMC) is the team responsible for booking events into Boston’s two convention centers, the Boston Convention & Exhibition Center (BCEC) and the Hynes Convention Center (Hynes), and The Lawn On D. Our team is responsible for generating $850 million annually in economic impact to the Commonwealth of Massachusetts.

BCMC is seeking a motivated and experienced Sales and Budget Analyst to join our team. Reporting to the Executive Director, this team member will manage and administer our budget process, perform monthly reporting, and support various finance-related functions. In addition, this person will work to support the BCMC’s daily business operations, including contract addendums, competitive research, data analytics, recruiting support, and other special projects.

The ideal candidate is detail and process-oriented and possess excellent problem-solving and communications skills. To be successful in this role, candidates must demonstrate integrity and maintain confidentiality in handing sensitive information.

Requirements:
Oversight of department budget processes:
Budget coordination and reconciliation between BCMC, MCCA, and Meet Boston, ensuring accurate record keeping.
Create monthly budget reports.
Compensation coordination.
Manage contract addendums for both long-term and short-term events.
Work closely with sales managers to meet client needs.
Ensure addendums adhere to an established template.
Support recruiting efforts for job openings at all levels.
Work with managers to understand job requirements, manage job postings, conduct preliminary review of resumes, and assist with onboarding of new hires.
Conduct competitive analysis.
Provide data analytics support.
Scout sources of data for lead generation.
Assist the Executive Director with special projects.

Qualifications

5 years of finance and operations experience, preferably within a Sales/Marketing organization.
Experience in the Travel/Tourism industry (hospitality/conventions/large scale meetings and events) desired.
Bachelor’s degree in business or related field.
Proficient in Microsoft Office applications, especially Microsoft Excel.
Experience with CRM systems such as Momentus, Microsoft Dynamics, Salesforce, etc.
Technically proficient with an eagerness to learn new platforms.
Self-starter and solutions-oriented, with exceptional attention to detail.
Strong communication, interpersonal, and presentation skills to interact with various levels of the organization.
Ability to prepare comprehensive reports and present ideas clearly and concisely.
Customer service focused, with a positive attitude.

We offer a comprehensive benefits package including health and dental plans, 401(k), vacation, PTO and sick time, company-paid life and disability coverage, flexible work arrangements, and an exciting, collegial work environment.

The BCMC is currently offering a hybrid work schedule with work-from-home Fridays.

BCMC is a joint effort of Meet Boston and the Massachusetts Convention Center Authority (MCCA) to market and sell the BCEC, the Hynes, and The Lawn On D and serves as the single point of contact for event requirement submissions, hotel room blocks, facility contracts, and site visits. Employment is with Meet Boston.

We are proud to be an equal opportunity and affirmative action employer. We value diversity and are committed to creating a workplace that reflects this commitment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

To apply, please submit a cover letter detailing specific qualifications for the position and salary expectations as well as a resume.",-1,Travel Agencies,$5 to $25 million (USD),Hotels & Travel Accommodation,51 to 200 Employees,Nonprofit Organization,False
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Manufacturing Operations Analyst,"US Tsubaki Automotive, LLC
","Chicopee, MA",$59K - $84K (Glassdoor est.),3.8,"The TSUBAKI name is synonymous with excellence in quality, dependability, and customer service. U.S. Tsubaki Automotive, LLC is an international tier-one supplier of high-speed chain drive systems to the automotive industry.

Responsible for execution/overseeing inventory management to include, cycle count programs, physical inventories if needed, analyses of current inventory practices, and improvements to current inventory practices based on analyses.


Essential Duties and Responsibilities: The essential duties and responsibilities of this job are included but not limited to this job description – other tasks may be assigned and expected to be performed.

Responsible for setting up new employees in Freedom and QAD
Responsibility to monitor live production reporting systems (SFC and Freedom): run daily report, Identify, communicate and fix errors; create and update user manuals;
Report weekly/monthly production scrap.
Responsible for entering daily production data in the company database (QAD): WSERVICE and EXPORT.
Develops and updates/create production reporting forms as needed (Paper production reporting form is our backup system for recording production in case of a system. Production sheets are also used for recording work order productivity).
Assist production departments with the following: Freedom labeling issues (print/reprint), transfer parts, refill lots.
Assist Logistics Department with any last-minute requests for a shipment
Process the Return to Vendor (RTV)
Perform recounts/audits counts for all Chicopee WMS location-based count and some item-based count
Review and process item-based cycle count information (WSERVICE and WANNEX)
Generate monthly WMS cycle counts metrics
Maintain good communications with internal / external customers


Bachelor's Degree Preferred but Not Required.
1 -3 years of related experience within the automotive industry preferred.
Inventory Management Skill/Cycle Count/Physical Inventory Experience
Excellent computer skills, particularly Microsoft Excel
Attention to small details as well as strong math skills
Effective verbal and written communication skills
Ability to work independently as well as within a structured team

Work Environment: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee occasionally works near moving mechanical parts and is occasionally exposed to wet and/or humid conditions, fumes or airborne particles, and vibration. The noise level in the work environment is usually moderate.

Tsubaki is an Equal Opportunity Employer - Minorities/Females/Veterans/Disability

PM21


PI232571280",1972,Electronics Manufacturing,$100 to $500 million (USD),Manufacturing,501 to 1000 Employees,Company - Private,False
Lead Business Analytics Consultant,"MassMutual
","Springfield, MA",$113K - $148K (Employer est.),3.9,"The Opportunity

As a Lead Business Analytics Consultant you’ll have an opportunity join a transformational analytics team comprised of technical resources with a wealth of business knowledge. You will answer critical business questions such as “what happened and why?” as well as perform robust statistical analyses to understand “what will happen next?”, “when will it happen?” and “who will it impact?” to help our business partners identify ways to optimize their business processes.

The Team

The Reporting & Analytics team, as a part of the larger Business Intelligence organization, supports MMUS Insurance Operations by providing internal business partners with information through an industry leading combination of data visualization and business analytics. Plainly put, we help real people find meaning in their data to create positive impact. We respond to numerous requests for information daily while also proactively engaging internal partners; using data and analytics to drive improvement in MassMutual’s business. We accomplish this by utilizing cutting-edge analytics technology to blend massive amounts of data into digestible pieces of quality and actionable information, giving leaders everything they need to make tactical and strategic business decisions. MMUS Insurance Operations is comprised of all service operations for our life & disability, annuity and long-term care businesses from Client Services through Claims.

The Impact

As a Lead Business Analytics Consultant, your responsibilities will include but not be limited to the following:

Deliver descriptive, diagnostic, predictive, and prescriptive analytics to business stakeholders to drive action and decision making

Translate complex business questions into problems that can be solved through data

Build strong and enduring relationships with business partners, promoting trust and collaboration

Proactively partner with business experts to identify opportunities for business improvement

Utilize industry best practices to visualize data in a way that allows quick and easy insight

Communicate data in a storytelling format, engaging your audience and imploring them to act

Provide concise and actionable recommendations to leaders on how to optimize business operations

Participate as a member of the Reporting & Analytics team to achieve team specific goals

Minimum Qualifications

Bachelor’s degree in a quantitative or analytical field

5+ years experience communicating data to leaders

5+ years experience applying statistics principles to business data to generate insight

5+ years experience utilizing visualization tools such as Tableau, python matplotlib and seaborn, or R ggplot or shiny

3+ years experience utilizing database technologies such as SQL Server, Vertica, Teradata

3+ years experience utilizing Python and SQL in an analytics setting

Ideal Qualifications:

Master's Degree in a quantitative or analytical field

Advanced knowledge of SQL concepts (joins, functions, stored procedures, CTEs, etc.)

Deep desire and motivation to learn new technologies and ideas

Strong analytical and problem-solving abilities

Strong written, oral, and collaborative communication skills

Self-directed and able to work under ambiguous circumstances

What to Expect as Part of MassMutual and the Team

Regular meetings with the Business Intelligence Reporting & Analytics Team

Focused one-on-one meetings with your manager

Access to mentorship opportunities

Networking opportunities including access to Asian, Hispanic/Latinx, African American, women, LGBTQ, veteran and disability-focused Business Resource Groups

Access to learning content on Degreed and other informational platforms

Your ethics and integrity will be valued by a company with a strong and stable ethical business with industry leading pay and benefits

#LI-CR41




MassMutual is an Equal Employment Opportunity employer Minority/Female/Sexual Orientation/Gender Identity/Individual with Disability/Protected Veteran. We welcome all persons to apply. Note: Veterans are welcome to apply, regardless of their discharge status.

If you need an accommodation to complete the application process, please contact us and share the specifics of the assistance you need.",1851,Insurance Carriers,$10+ billion (USD),Insurance,5001 to 10000 Employees,Company - Private,False
