Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
IT Business Systems Analyst,"Ground Effects LLC
","Flint, MI",$54K (Employer est.),3.5,"Business Analyst who will be a vital resource for our Store Operations, Marketing, and Data Analytics Teams. The BA will support and ensure the successful completion of analytical, building, testing, and deployment tasks of various IT and Business Improvement Projects. Experience in Shop Management/Point of Sale, ERP Systems, and Design to Build process is mandatory

Job Responsibilities: Business Relationship Management, Teamwork, Work Ethic, and Responsibility: Provide technical solutions and work output through personal expertise that exceeds the average worker in the same technical discipline. The willingness to work beyond regular hours during peak periods with customers and the flexibility to work on various projects regardless of technology, scope, project length, or a specific role. Ability and willingness to communicate personal and technological capacities and limitations candidly but politely. The ability to advise against a course of action when required in a way that conveys a client’s best interests are in mind, rather than inflexibility, and to seek and find suitable alternatives to serve and provide the customer with a solution to their request.

· System Implementation, Migration, Upgrades – Installation and upgrade work involving our systems: Troubleshooting & Support - Identify failing processes, assess available IXS system(s) health, and provide recommendations for increased efficiency. Project Management - Managing scope and system-wide deliverables for clients. System Analysis - Hardware and software requirements planning and sizing. Solution Design. Impact Analysis. Performance Tuning. Best Practices - review and implementation of best practices. Communications - Understand technical concepts involving partner communication packages. Documentation – Create, update, and maintain documentation

· IT Governance/ Change Control and Quality Assurance: Perform or coordinate quality assurance testing for all assigned work. Communicate key insights and findings (QA issues/ Bugs) to the project team. Prepare QA documentation and present changes to the Change Control Board.

· Shop Management/Point of Sale. Process Definition, Solution Design, Configuration, and Testing. Facilitate the design, implementation and communication of customer-focused solutions. Conduct Process and Integration Mapping. Define configuration specifications and business analysis documentation. Interpret business requirements to balance the needs of Franchises and Corporate needs. Assist with developing and implementing data integration systems, analytics, and other strategies that optimize data quality through multiple systems.

· Oher duties may be assigned.

Qualifications: Post-secondary degree in Information Systems, Computer Science, Mathematics, Information Technology or Business Administration. Preferred: Master‘s Degree Preferred. Project Management Professional or Certified Business Analysis Professional Certification.

· 5 years in the IT field. Experience in data integration (ETL, EAI, or MFT) mapping, development, or architecture across multiple organizations and industries.. Previous experience in Retail, Automotive or Franchise Support. Preferred-10 Years in the IT field. Familiar with various API architectures including REST and SOAP. Experience with retail, manufacturing, finance, healthcare, automotive, transportation, and logistics industries. Must be familiar with various protocols, including but not limited to FTP, SFTP, AS2, and SMTP.

· Excellent collaboration and communication skills. Documentation - Creating specifications and mapping documentation using formal or ad-hoc tools.Mapping - Creation and modification of Integration Tools maps in various formats and standards, including; XML, ODBC/JDBC, flat file, and JSON. SQL databases including Snowflake, MS SQL Server and PostgreSQL. Windows Server, Linux and serverless architecture. Communications - Understand technical concepts involving partner communication packages. Documentation – Create, update, and maintain documentation. Writing and modifying business processes and workflows Preferred: Working with Oracle NetSuite, Salesforce, Celigo and Fivetran. Mapping - Creation and modification of EDI maps and advanced mapping functions (ex., user-exits) in various formats and standards, including XML, ODBC/JDBC, flat file, iDocs (other ERP APIs), X12, and EDIFACT. API Development - Creation and modification of business processes and workflows with and without the use of process modelers in comprehensive integration suite environments. Communications - Understand technical concepts involving partner communication packages. EAI-based development.

Job Type: Full-time

Salary: From $54,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off

Experience level:

10 years

Schedule:

8 hour shift

Ability to commute/relocate:

Flint, MI 48507: Reliably commute or planning to relocate before starting work (Required)

Experience:

Snowflake database: 4 years (Preferred)
Linux: 5 years (Preferred)
MFT mapping: 5 years (Preferred)
PostgreQL: 5 years (Preferred)
API architectures: 10 years (Preferred)

Willingness to travel:

25% (Preferred)

Work Location: In person",1986,Vehicle Dealers,$100 to $500 million (USD),Retail & Wholesale,501 to 1000 Employees,Company - Private,True
Sr. IT Functional Architect,"Ground Effects LLC
","Sterling Heights, MI",$78K (Employer est.),3.5,"Senior IT Functional Architect who will be a vital resource for our ERP, Enterprise Data Management, and Project Management Office (PMO). The Functional Architect will support and ensure the successful completion of analytical, building, testing, and deployment tasks of various IT and Business Process Improvement Projects. Experience in ERP Systems, Quote to Cash and Design to Build process is mandatory.

Job Responsibilities: · Business Relationship Management, Demand Management and Project Management Office (PMO): Work with key business customers to define project scope and identify and prioritize requirements. Work with PMO to facilitate demand prioritization and other PMO-related processes. Help the Business define reporting and system process requirements. Own and develop a relationship with the business and external partners, working with them to optimize and enhance our systems and integrations.

· Business champion (a bridge between IT and the Business) for the assigned Business Unit: Report on familiar sources of technical issues or questions and make recommendations to the business. Constantly look for ways to improve monitoring, discover issues and deliver better value to the organization.

· IT Governance/ Change Control and Quality Assurance: Perform or coordinate quality assurance testing for all assigned work. Communicate key insights and findings (QA issues/ Bugs) to the project team. Prepare Solution documentation and present changes to the Change Control Board (CCB).

· ERP and Master Data Management Analysis. Process Definition, Solution Design, Configuration, and Data Mining. Facilitate the design, implementation, and communication of customer-focused solutions. Conduct Process Mapping. Define configuration specifications and business analysis documentation. Interpret data, analyze results using statistical techniques, and provide ongoing reports. Filter and “clean” data by reviewing key performance indicators to locate and correct master data problems. Assist with developing and implementing data collection systems, analytics, and other strategies that optimize statistical efficiency and quality.

· Other duties as assigned.

Qualifications: · University Degree, Professional Certification (Oracle NetSuite, Epicor, SAP) or Equivalent; Preferred–A Degree in IT, Mathematics or Computer Science, Information Management, or Statistics. Project Management Professional Certification.

· 7 years in the IT field. 10 years of proven working experience as a Functional Architect, Data Analyst, Business Analyst or ERP Consultant. Previous experience in Business, Quality Assurance, Engineering, or Manufacturing. Completed End to End ERP System Implementation (Kick Off to Go Live); Preferred-10 years in IT with technical expertise in data models, database design, data mining, and segmentation techniques. 10 + years as a Business Analyst with strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL, etc.), and programming languages (C#, XML, JavaScript, or ETL frameworks) Knowledge of Cloud Computing Knowledge of Server and Desktop Systems Knowledge of Ethernet Network Lead Functional Expert in an End-to-End ERP System Implementation (Kick Off to Go Live) Experience with Process Manufacturing in the Chemical industry is a plus.

· Excellent verbal and written communication skills. Strong analytical and problem-solving skills. Ability to evolve with a rapidly changing environment and anticipate technological changes. Knowledge of current and emerging technologies . Preferred: Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy. Adept at queries, report writing, and presenting findings. Proven experience in eliciting requirements and testing.

· Must have and maintain a valid driver’s license.

Job Type: Full-time

Salary: From $78,000.00 per year

Experience level:

10 years

Schedule:

8 hour shift

Ability to commute/relocate:

Sterling Heights, MI 48314: Reliably commute or planning to relocate before starting work (Required)

Experience:

Software development: 7 years (Preferred)
Functional Architect: 7 years (Preferred)
ETL frameworks: 7 years (Preferred)
Database design: 7 years (Preferred)

License/Certification:

Driver's License (Preferred)

Work Location: In person",1986,Vehicle Dealers,$100 to $500 million (USD),Retail & Wholesale,501 to 1000 Employees,Company - Private,True
IT Project Manager,"Ground Effects LLC
","Sterling Heights, MI",,3.5,"The IT Project Manager is responsible for planning, organizing, and implementing Information Technology projects in collaboration with various functional areas within Ground Effects, and external service providers. They are responsible for effectively managing the scope, schedule and budget of their assigned projects. They will also maintain and report project statuses and metrics to key stakeholders. This role will also be a key contributor to the development and implementation of the Project Management Office (PMO) at Ground Effects.

Job Responsibilities: · Ensure timely completion of tasks and deliverables for all projects in their portfolio

· Develop, maintain, and track project timelines and budgets using various tools and methodologies

· Coordinate work with various resources from within and outside the Ground Effects IT organization

· Provide accurate and timely project status reports for a variety of project stakeholders and Ground Effects leadership

· Identify project risks, escalate issues and drive key decisions in a timely and effective manner

· Build and maintain effective relationships with resources, partners, colleagues, and leaders with fierce accountability for delivering on commitments and partner needs

· Determine, set, and maintain priorities of tasks within projects, and projects in portfolios, based on importance and urgency

· Perform activities related to the development and continuous improvement of the Ground Effects Project Management Office (PMO)

· Provide oversight and support for PMO-Assisted projects executed by other Ground Effects employees

· Other duties or tasks may be assigned.

Qualifications:

· Post-Secondary Degree in Engineering, Computer Science or IT related field. Project Management Education. Preferred; Project Management Professional (PMP) Certification. Certifications in IT specializations.

· 5 years overall work experience. Successful track record of managing projects of various sizes. Preferred; Experience working in and/or driving technical teams in IT areas

· Extraordinary inter-personal skills, and oral and written communication skills. Ability to break down and drive highly complex projects into clear and achievable milestones. Passion for learning and managing new technologies. Expert knowledge of Project Management methodologies. Preferred; Good understanding of ERP systems, business analysis, infrastructure and cloud technologies. Adept interpersonal skills and emotional intelligence. Enjoy working in a fast-paced, dynamic work environment

Working Conditions:

The following working conditions are present or expected on a daily basis: Travel may be required. Ability to conduct presentations. Manual dexterity required to use desktop computer and peripherals.

Job Type: Full-time

Salary: From $68,000.00 per year

Benefits:

Dental insurance
Flexible schedule
Paid time off

Schedule:

8 hour shift

Ability to commute/relocate:

Sterling Heights, MI 48314: Reliably commute or planning to relocate before starting work (Required)

Experience:

Computer science: 5 years (Preferred)
ERP systems: 5 years (Preferred)

License/Certification:

PMP (Required)
PMP Certification (Required)

Willingness to travel:

25% (Required)

Work Location: In person",1986,Vehicle Dealers,$100 to $500 million (USD),Retail & Wholesale,501 to 1000 Employees,Company - Private,True
Director of Business Intelligence,"Sage Solutions Group
","Ann Arbor, MI",$95K - $115K (Employer est.),3.8,"Our client is a fast-paced luxury goods sales and service retailer with a rich history and well established customer base. They are looking to add an experienced Director of Sales Strategy and Business Analytics to the team. This role works directly with the COO and other members of senior leadership.

As the Director of Sales Strategy and Business Analytics, you will play a key role in contributing to the future direction of our organization by driving the sales strategy for the organization by utilizing analytics to ensure the company is getting the most out of its strategy. Our client offers a competitive compensation package, including health insurance, retirement plans, employee discounts, paid time off, and performance bonuses.

If you are a strategic thinker with an eye for numbers and a passion for driving business growth through analytics this is the job for you.

More information regarding the client will be made available during the interview process.

Responsibilities

Extract data from internal systems and format for analysis
Ensure data is relevant and accurate
Analyze data to identify trends, patterns, and insights that can be used to make informed business decisions
Develop and maintain reports, dashboards, and data visualizations to communicate critical information to company leaders ensuring understanding of key stakeholders
Maintain secure handling of data in compliance with all applicable data and privacy regulations
Develop, Implement, and help drive company sales strategy based on company analytics
Collaborate with other members of company leadership to develop strategies that align with the organization's business goals and objectives that are supported by business data
Provide recommendations on the selection and implementation of business analytic tools such as data warehouses, data visualization software, and other analytics platforms as needed

Experience

Bachelor's degree in Business Analytics or similar field (Required)
Masters in business administration, business analytics, or similar field (Preferred)
5+ years experience in a Sales Strategy and Data Analysis role (Required)
Proven experience in strategic planning, business development, or related roles (Required)
Strong analytical skills with the ability to analyze complex data and draw actionable insights (Required)
Excellent negotiation and communication skills (both written and verbal) to effectively collaborate with internal and external stakeholders (Required)
Experience in managing cross-functional teams and driving results through influence (Required)
Knowledge of market trends, industry best practices, and emerging technologies (Required)
Previous experience in luxury sales or account management is a plus

Job Type: Full-time

Pay: $95,000.00 - $115,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance

Compensation package:

Bonus opportunities

Schedule:

Monday to Friday

Ability to commute/relocate:

Ann Arbor, MI: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

What salary range are you looking for?

Experience:

Sales Strategy: 5 years (Preferred)
Data Analytics: 5 years (Preferred)
Business Leadership: 5 years (Preferred)

Work Location: In person",-1,Membership Organizations,$5 to $25 million (USD),Management & Consulting,1 to 50 Employees,Company - Private,True
Financial Data Analyst - Power BI,"Wolverine Worldwide
","Rockford, MI",$63K - $89K (Glassdoor est.),3.4,"Summary
Embedded within our central FP&A team, this role will partner across the business to provide financial and analytical support with a keen ability to determine specifications and standards for business reporting and maintain data integrity.

The Financial Data Analyst will take a lead role in the team’s ongoing efforts to turn data into consistent and informative reporting and analysis that supports decision making. Advanced Excel and Power BI skills are essential.

Wolverine Worldwide is a global marketer of branded footwear, apparel, and accessories. With an established global footprint that spans approximately 200 countries and territories, as well as a rock-solid infrastructure, Wolverine Worldwide is dedicated to advancing the following brands that comprise the ever-expanding portfolio: Bates, Chaco, Cat Footwear, Harley Davidson Footwear, Hush Puppies, Merrell, Saucony, Sperry, Sweaty Betty and Wolverine.

Current Employees interested in applying for this role, use the Current Employee tab in the top right corner to apply.
Job Description
PRIMARY DUTIES
Support the Company’s efforts to better transform data into insights by aligning on and designing standard dashboards, centralized reporting packages, and KPI reports as well as ongoing maintenance and review of the outputs for accuracy
Drive the effort to transition from Excel to Power BI as the Company’s primary reporting tool
Develop financial schedules for analysis and review of Period End, Annual Operating Plan, and Forecast, with a focus on flexibility and data visualization
Collaborate with business units and executive leadership to ensure our suite of reporting is fit for purpose, and regularly reviewed to identify process improvements
Support the Senior Director of FP&A in the effort to improve upon and build out sustainable tools and processes that can be delivered and maintained for our divisional finance teams allowing the business units to focus on operational excellence
Ensure continuous data and reporting integrity through maintenance and administration of planning tools including proactive implementation of enhancements and a special emphasis on data validation and resolution of discrepancies between data sources
Maintains system protocols and user alignment by writing and updating process and procedure documentation as well as training materials
Maintains professional and technical knowledge by attending educational workshops
Support ad-hoc requests from FP&A, strategy, and executive leadership
Perform other reasonable duties as required

KNOWLEDGE, SKILLS AND ABILITIES REQUIRED
Minimum 3-5 years of experience
Experience with driving data to insights and sustainable process in a large matrixed organization.
Strong analytical and communication skills that allow for the development of data driven reports.
Experience or background in accounting or financial planning strongly preferred.
Strong understanding of Order to Cash and Procure to Pay processes
Ability to break down complex challenges into actionable solutions and communicate clearly and concisely
Highly motivated, self-starter, full of initiative, team player
Ability to transcend peer group barriers / dealing with various levels throughout the business
Experience with SAP and BW (or similar) reporting tool
Advanced Excel and Power BI skills
Experience with Python or SAP Analytics Cloud is a plus
MS Office (Outlook, Word, PowerPoint)
Working Conditions
Wolverine Worldwide has a flexible, hybrid work schedule, with three days in office and two days remote.
Committed to a diverse workforce, we are an Equal Opportunity Employer (Minorities/Women/Veterans/Disabled).
#LI-Hybrid #LI-MM1 #WWWCareers
The above statements are intended to describe the general nature and level of work being performed and are not intended to be an exhaustive list of all responsibilities, duties and skills which may be required.
We are committed to a diverse workforce, we are an Equal Opportunity Employer (Minorities/Women/Veterans/Disabled).",1883,Other Retail Stores,$1 to $5 billion (USD),Retail & Wholesale,1001 to 5000 Employees,Company - Public,False
IT Business Analyst,"NBR
",United States,$75K - $86K (Employer est.),5.0,"Role Summary

The IT Business Analyst will be engaged in working with the business to translate business requirements and functional requirements into detailed technical requirements used to document, select, and/or develop IT Solutions.

Role Responsibilities

Collaborate with business stakeholders to understand and document their requirements, objectives, and goals.
Analyze existing business processes, systems, and workflows to identify areas for improvement and optimization.
Develop comprehensive business and technical documentation, including requirements specifications, use cases, process flow diagrams, and user stories.
Work with project managers, developers, and quality assurance teams to ensure the successful delivery of IT solutions.
Act as a liaison between business stakeholders and technical teams, facilitating effective communication and collaboration.
Conduct feasibility studies and impact assessments to evaluate proposed solutions and make recommendations
Perform data analysis and validation to ensure data integrity and accuracy.
Assist in the development of test plans and test cases and participate in testing activities.
Provide post-implementation support and conduct user training as needed.
Stay up to date with industry trends, best practices, and emerging technologies to make informed recommendations.
Other duties as assigned

Role Requirements

Bachelor’s degree in information technology, Computer Science, Business Administration, or a related field.
Proven experience as an IT Business Analyst, with a minimum of 5 years in pre-clinical or clinical research.
Strong analytical, problem-solving, and critical thinking skills.
Excellent communication and interpersonal skills to effectively collaborate with diverse teams and stakeholders.
Proficiency in business analysis tools and methodologies.
Familiarity with project management principles and software development life cycle (SDLC).
Experience with data analysis and reporting tools is a plus.
Relevant certifications (e.g., CBAP, CCBA, or equivalent) are a plus
Knowledge of GXP regulatory requirements, including GAMP 5 preferred.
Knowledge of GLPs (21 CFR Part 11) and other federal regulations relating to information technology
Advanced understanding of laboratory operations and data collection
Ability to work effectively under time constraints
This is an on-site role with flexibility.

Behavioral Expectations

Organized
Collaborative
Rapport and Consensus Building

Special Requirements

The person filling this position will spend approximately 90% in an office setting and 10% in the laboratory. There will be exposure to animal pathogens and chemicals. There will be handling of, and/or exposure to animal tissue and zoonotic organisms.
Ability to don and wear personal protective gear, including N95 masks and respirators.
Ability to work beyond typical work schedule including, but not limited to, evenings, weekends, and extended shifts with short notice.

Job Type: Full-time

Pay: $75,000.00 - $86,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Professional development assistance
Relocation assistance
Tuition reimbursement
Vision insurance

Compensation package:

Performance bonus

Schedule:

8 hour shift
Monday to Friday

Work Location: In person",-1,Research & Development,Unknown / Non-Applicable,Management & Consulting,Unknown,Unknown,False
Business Systems Developer & Analyst,"Behler-Young Company
","Grand Rapids, MI",$70K - $120K (Employer est.),4.3,"***This is an on-premises position in Grand Rapids, Michigan.

Business Systems Developer and Analyst

You are a creative professional who thrives in data analysis, data presentation, full-stack software development, and is excited by the opportunity to help others through the development and implementation of custom solutions and configurations.

You connect best with a team that is dynamic and consistently encourages curiosity, creativity, continuous improvement, and innovation.

If you get excited working in a professional environment where you can bring your best self to work and make a difference to those around you, then this position is for you.

How you show up

You are excited to practice your art and skill of programming by analyzing team member requests for new or modified programming and by communicating with them to understand their goals and objectives.

Your brain is wired to conceptualize, develop, (and maintain) database schemas.

You see the big picture and develop back end code and front end UI/UX based on business and system requirements.

Your skills and knowledge lend themselves to customize, support, and modify EPICOR P21 and business systems to align with our processes.

Collaboration is key. You will collaborate with business systems vendors to develop, maintain, and upgrade platforms.

Once you’ve solved a problem, you want to document it so that you don’t need to recreate the solution later. Things like program development, logic, coding, and updates will be thoroughly documented to help your teammates.

You will be the expert and will look forward to conducting training and application demos for either large or small groups.

Communication and interpersonal skills are important to you, and you demonstrate both effectively.

You are important to us, so that means following all assigned responsibilities according to established safety & security policies, guidelines, and legal regulations that will provide you a safe working environment.

Attention to detail is part of the art. You don’t overlook anything, you plan, you stay organized, and you manage your time appropriately.

The day to day

No day is the same, but you will plan to spend the majority of your time within the details of P21.

You typically work 8:00 am – 5:00 pm, but you show up for your team when they need you.

You interact with multiple team members in many different areas of the company.

What you have

The drive to learn our systems, to serve the team, and to work autonomously.

Bachelor’s of Computer Science or Information Systems (or equivalent).

Experience with SQL, relational data design, and SQL Server, including the ability to write advanced queries.

Demonstrated programming experience and the ability to show your work.

Experience with ERP software, e-commerce platforms, and cloud service providers preferred.

Demonstrated ability to work with multiple programing languages and technologies.

Consistent ability to communicate in a clear, concise, and professional manner.

Ability to efficiently and effectively lead meetings.

Ability to do some limited traveling.

What you get at B-Y

Career path development

Team member support

World-class leadership

Monthly bonus eligibility

Organizational Core Values:

We care about others.
We do the right thing.
We pursue great rather than good.
We do whatever it takes.

Job Type: Full-time

Pay: $70,000.00 - $120,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities

Schedule:

Monday to Friday

Education:

Bachelor's (Preferred)

Experience:

Full-stack development: 3 years (Preferred)
ERP: 1 year (Preferred)

Work Location: In person",1926,Wholesale,Unknown / Non-Applicable,Retail & Wholesale,201 to 500 Employees,Company - Private,True
N-Tier Technology Business Analyst,"Ford Motor Company
","Dearborn, MI",$83K - $110K (Glassdoor est.),4.0,"ASCENT is a best-in-class n-tier visibility solution set that fits our current and anticipated future requirements to perform Critical to Build/Commit and collaborate of Value Stream data collection. The solution will be simple, flexible, scalable from Tier 2 to Tier N, and commodity and category agnostic – so end users can tailor it to business and technical requirements.



Recent experience in Production Buying environment, STA, or MP&L with specific knowledge of Production Purchasing sourcing processes. Commodity Purchasing and/or Manufacturing experience is a plus.
Strong interpersonal skills and leaderships skills to work with cross functional members, consultants and the supply chain community.
Ability to work in a white space environment.
Demonstrated project management skills.
Intermediate to Advanced Excel skill set.
Ability to work in a fast paced environment with minimal guidance needed.

You may not check every box, or your experience may look a little different from what we've outlined, but if you think you can bring value to Ford Motor Company, we encourage you to apply!

As an established global company, we offer the benefit of choice. You can choose what your Ford future will look like: will your story span the globe, or keep you close to home? Will your career be a deep dive into what you love, or a series of new teams and new skills? Will you be a leader, a changemaker, a technical expert, a culture builder…or all of the above? No matter what you choose, we offer a work life that works for you, including:

Immediate medical, dental, and prescription drug coverage
Flexible family care, parental leave, new parent ramp-up programs, subsidized back-up child care and more
Vehicle discount program for employees and family members, and management leases
Tuition assistance
Established and active employee resource groups
Paid time off for individual and team community service
A generous schedule of paid holidays, including the week between Christmas and New Year’s Day
Paid time off and the option to purchase additional vacation time.



For a detailed look at our benefits, click here:



2023 New Hire Benefits Summary GSR (ford.com)

Visa sponsorship is not available for this position.



Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire.



We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status. In the United States, if you need a reasonable accommodation for the online application process due to a disability, please call 1-888-336-0660.



#LI-Hybrid



Part of a project team that includes IT, E2open and consultants to manage each phase of the project.
Part of team to design the requirements of future use cases for the ASCENT platform.
SME for the business team to address business related issues from the supply base and internal users.
Work with the supply base for onboarding and training.
System integration and optimization to connect Ford systems and streamline communication channels with the supply base.",1903,Transportation Equipment Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Business Systems Analyst,"MICHIGAN STAFFING
",Michigan,$58K - $71K (Employer est.),4.2,"Job Title: Business Systems Analyst

Department: Sales (OEM)

Reports To: Business Systems Manager

FLSA Status: Exempt

JOB SUMMARY

The Business Systems Analyst is responsible for maintaining CRM system, new user setup, permissions, and data loading. Assist in evaluation and implementation of procedures for sales team. Support IT and system integrations. Work closely with users to understand requirements and resolve user issues.

ESSENTIAL FUNCTIONS

CRM admin functions including but not limited to new user setup, password resets, user permissions, org wide defaults, org maintenance, and data loading

Process refinement and enhancements such as field updates and general org usage, layout, and setup

Assist in the development, design and implementation of new services, elements, and functionality

Manage user requests and resolve issues

Assist with CRM and ERP integration requirements – working with users and IT

Work with 3rd party developers on org development, validation rules, process builder, etc.

Create reports and dashboards and update as required

Engage with users to enhance user experience and increase usage

Conduct user meetings

Assist with project management procedures to ensure timely completion of projects (tasks, resources, stakeholders, and other project elements)

Perform data analytics and process ad hoc requests

Prime liaison between all users

Other duties as assigned

SUPERVISORY RESPONSIBILITIES

There are no supervisory responsibilities with this position. However, for specific projects, the position may require leadership skills.

QUALIFICATIONS

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.

The requirements listed below are representative of the knowledge, skill, and/or ability required.

EDUCATION AND EXPERIENCE

Bachelor’s degree (B.A) from a four-year college or university; or three or more years related experience

and/or training; or equivalent combination of education and experience. 1-2 years prior experience with

CRM and/or ERP systems is a plus.

Job Type: Full-time

Pay: $58,000.00 - $71,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Experience level:

3 years

Schedule:

8 hour shift
Day shift
Monday to Friday
Overnight shift
Overtime
Weekends as needed

Application Question(s):

Do you live in Michigan?

Education:

Bachelor's (Required)

Experience:

Salesforce: 2 years (Required)

Work Location: Remote",-1,-1,Less than $1 million (USD),-1,1 to 50 Employees,Company - Private,True
Director of Strategic Data and Analytics,"Dart Container
","Mason, MI",$90K - $127K (Glassdoor est.),3.3,"The Strategic Data and Analytics Director will guide the vision for enterprise data governance, reporting and analytics, supporting our executive team in shaping and delivering data and analytics aligned with our strategic objectives. The Strategic Data and Analytics Director will work on a dynamic mix of data governance and analytics projects, interacting with leaders across the company to understand their business objectives and shape data and analytics solutions that deliver value through insights. The person will analyze complex, cross-functional business opportunities and guide data governance and analytical frameworks and tools to support evaluation and decision-making. The person will work across business departments and IT to establish common business processes to drive data consistency and manage a data governance program that is aligned with strategy. The person will collaborate and communicate across the organization to enable change and sustained improvements. The Strategic Data and Analytics Director will oversee, and help to lead, projects spanning Business Teams, Commercial Finance, Planning, Manufacturing, Distribution, Procurement, and Engineering, working in close collaboration with Sales, Marketing, Finance, HR, and IT.

Day-to-Day Role:

Manage and lead a centralized data and analytics organization to provide excellent service and high quality results
Translate business questions into data governance and analysis objectives
Build strong working relationships with management across departments, and facilitate discussions on data governance and analytics initiatives and solutions
Develop frameworks and approaches to analyze complex business issues and evaluate the impact of trends
Provide strategic metrics, insights, and recommendations to company leaders
Track and monitor status of data and analytics initiatives, and ensure appropriate actions are taken to successfully deliver initiatives, and escalate concerns as appropriate
Oversee continuous improvement plans to optimize efficiency and quality of data governance and analytics services, and apply appropriate monitoring and controls
Define and implement data management strategy and corresponding policies, processes, and procedures
Establish key data governance objectives and performance goals aligned with strategy
Establish consistent definitions, naming standards, rules, calculations, security requirements, etc.
Promote data accuracy and best in-class data management practices
Maintain data standards & repository of key elements around the in-scope data domains (e.g., Materials, BOMs, Routings, Customers, Vendors), and ensure their use throughout the organization
Discover data quality gaps and lead improvement and consistency
Promote and operationalize data governance and stewardship across the organization
Collaborate with IT to define and implement enterprise data management applications and systems
Integrate data standards into workflow, creating, documenting and gaining agreement on data
Drive accountability of data workflow through policies and procedures
Measure and drive improvement in quality for master data elements
Support and reinforce change management efforts related to data and analytics initiatives
Conduct external research and develop strategies for analytics
Suggest new applications and solutions that will improve and support data and information analyses
Drive ad hoc detailed financial and strategic analysis of operations, markets, industry, competitors and customers
Work with strategic analytics, data science, and data engineering personnel to evaluate and implement emerging solutions such as machine learning, artificial intelligence, and predictive analytics

Core Skills and Qualifications:
The ideal candidate must possess all of the following:

Bachelor’s degree required; an emphasis in Analytics or related field preferred; Master's degree, preferred. An equivalent combination of education and experience will be considered.
Ten (10) years of experience conducting complex data analysis; cross-functional business analysis preferred
Five (5) years of management experience required; experience leading others in Analytics roles, preferred
Experience with data management and/or data governance experience with some experience in establishing and implementing data management structure and/or data governance, preferably in a manufacturing or consumer products company
Demonstrated acumen with business intelligence or analytics software, including visualization tools such as PowerBI, Tableau, etc.
Demonstrated acumen with key business performance metrics
Demonstrated business acumen and experience in manufacturing industry, preferably cross-functional
Strong collaboration and facilitation skills
Excellent written, verbal, and interpersonal communication skills necessary in order to persuade and influence decision making and to explain complex issues
Strong analytical and quantitative skills, including financial analysis
Demonstrated ability to break down complex problems into pieces that can be solved with data, analysis, assumptions, and judgment
Willingness and ability to organize and lead ambiguous initiatives
Excel skills to include the ability to work with pivot tables, modeling, complex spreadsheets, algorithms, analysis tools, and presenting quantitative analysis
High degree of personal and professional credibility, including responsiveness, business focus, integrity, sound judgment, and ability to prioritize effectively across competing demands
Ability to assess solutions across multiple business areas
Ability to connect seemingly unrelated information, as well as the ability to execute on ideas

Preferred Skills and Qualifications:

Experience with business strategy
Experience working with SAP
Experience in professional data science
Experience with data modeling, data extraction, data mapping
Understanding of statistical and machine learning concepts and experience in employing these using Python, R, SAS, etc

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance

Compensation package:

Yearly pay

Experience level:

10 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Mason, MI: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Management: 5 years (Required)
conducting complex data analysis: 10 years (Required)

Work Location: Hybrid remote in Mason, MI",1937,Machinery Manufacturing,$1 to $5 billion (USD),Manufacturing,Unknown,Company - Private,True
