Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Business Consultant,Itasca Economic Development Corporation,"Grand Rapids, MN",$55K - $65K (Employer est.),-1.0,"Are you in search of an exhilarating career dedicated to the advancement and nurturing of local businesses and entrepreneurs? All the while, you'll have the opportunity to contribute to our community. The Itasca Economic Development Corporation has the perfect job for you, featuring exceptional flexibility, attractive benefits, and a welcoming work environment.

Itasca Economic Development Corporation is looking to add a Business Consultant to our team!

This position will report to the IEDC Director of Business Development. This position will dedicate 75% of their time to direct client work including preparation time and consulting. The remaining 25% will be instructing or assisting with training programs and other special activities.

Job Duties:

Provide direct client consulting assistance.
Preliminary screening and evaluation of new ventures and business expansion plans.
Prepare comprehensive business loan packaging, financial analysis and marketing plans.
Maintain required client reporting in designated database system.
Help develop SBDC training programs.
Represent and promote the regional SBDC office.
Work with IEDC staff to develop business development strategies for Itasca County.
Outreach into rural Itasca County, meeting with owners of local businesses.
Other responsibilities as assigned by management.

Qualifications:

B.A. or B.S. degree in business, economics, accounting, or related field.
Excellent communication skills, strong analytical ability.
Minimum of 3 years of relevant business experience.
Experience in business management, and or financial business analysis.
Meet the ASBDC/MN SBDC Core Competencies (within 1-2 years)
Complete the Basic Economic Development Course (within 1 year)
Desire for ongoing education.

Employee Benefits:

$55,000 - $65,000
Competitive Benefits Package
Great Working Environment with Endless Coffee!

To Apply:

Please send your cover letter and resume to Kayla Swanson at kswanson@itascadv.org by Friday, December 8th, 2023.

Job Type: Full-time

Pay: $55,000.00 - $65,000.00 per year

Benefits:

Dental insurance
Flexible schedule
Life insurance
Paid time off
Retirement plan

Schedule:

8 hour shift
Monday to Friday

Education:

Bachelor's (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Revenue Cycle Operations Analyst,"Hmong Home Health Care
","Saint Paul, MN",$42K - $52K (Employer est.),3.8,"JOB DESCRIPTION

HHHC is looking for a collaborative, committed, and hard-working professional to join our Billing team full-time. This individual will be focused on supporting our ‘billing’ process and also have the opportunity to work on broad-based operational initiatives and interface with company leadership.

THE ROLE

You will work directly with the Billing team to:

Prepare, review, and post claims using billing software to payers
Trouble-shoot denied/unpaid aging claims to identify root causes of issues and prevent reoccurrence
Develop claims processes in order to streamline billing team workflows as we scale
Communicate with and train field employees on timecard processing and charting
Understand state and insurance billing regulations and requirements
Improve our general technology, systems, and processes to help make our core operational functions more effectively and efficiently
Collaborate with other departments to push out billing initiatives as the company grows
Support general operations and other job-related duties as needed

SKILLS AND QUALIFICATIONS

BA/BS degree with strong academic performance
At least 2+ years’ experience with claims or medical billing
A “no task is too small” mindset
Ability to balance a variety of tasks and prioritize, highly organized and strong attention to detail
Knowledge of/ability to quickly learn the industry payment processes
Demonstrated leadership skills
Excellent written and verbal communication skills and friendly/positive demeanor
Proficient with Microsoft Office Suite (Word, PowerPoint, Excel)

HHHC offers benefits including health insurance and paid vacation. We are hiring for this position immediately.

ADDITIONAL INFORMATION

Working Hours

Due to the important nature of the projects this position will be supporting, this position is in person at our offices in St. Paul. Working hours will be 9am-5pm; Monday-Friday.

Employment Benefits

Medical, dental, and vision insurance
Life and disability insurance
Health savings account
401(k)
Paid time off and paid holidays

ABOUT HMONG HOME HEALTH CARE

Hmong Home Health Care (“HHHC”) has been providing personalized home care services for the elderly and people with disabilities in the Twin Cities area for over 30 years. Our primary mission is to provide our clients with the care and assistance they need to lead the most meaningful and fulfilling lives in the comfort of their own homes. HHHC remains a strong advocate of this vision, which is more important now than ever before. Join our team, help us continue to grow and thrive, and make a difference in countless lives!

Job Type: Full-time

Pay: $42,000.00 - $52,000.00 per year

Benefits:

401(k)
AD&D insurance
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid sick time
Paid time off
Parental leave
Vision insurance

Physical setting:

Office

Schedule:

Monday to Friday

Education:

Bachelor's (Preferred)

Experience:

Medical billing: 2 years (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,True
Operations Analyst,High Bar Brands,"Owatonna, MN",$50K - $60K (Employer est.),-1.0,"Summary/Objective

The Operations Analyst will be responsible for providing data to the operations managers for overseeing and coordinating the planning and forecasting for business operations based on the analysis of business. 0verseeing, managing, and publishing operational and production processes and product delivery performance by tracking and reviewing production order status and shipment status. Work performed will be assigned by business unit or brand.

Essential Functions / Responsibilities:

Works safely and be actively engaged in the site safety programs.
Collects, interprets, establishes, and analyzes several types of operational data including document change notices, bill of materials, routings, capacity, demand, efficiency, and other data related to manufacturing products.
Works closely with management to achieve outcomes based on company goals.
Creates and publishes monthly reports on capacity, utilization, and efficiency of production, and KPI’s.
Makes recommendations based on data findings.
Reviews and analyzes operations costs (materials, labor, etc.).
Uses analytic methods and tools to understand, predict, and/or control operations and processes.
Tests scenarios to determine how things work behind the scenes.
Maintains database(s) of operational information (ERP system).
Performs other duties as assigned.

Required Skills and Abilities

Excellent analytical skills
Excellent verbal and written communication skills including active listening.
Strong Critical thinking and problem-solving skills.
Knowledge of MRP demand planning.
Knowledge of production processes and best practices.
Detail-oriented.
Proficient with Microsoft Office Suite or similar software.
Exercises independent judgement to make decisions.
Ability to work independently or in a group setting.

Preferred Education and Experience

Bachelor’s degree in Finance, Supply Chain Management, Industrial Engineering, or related field preferred.
Experience with Acumatica (ERP software).
Proficiency in Microsoft Office products; Outlook, Word, Excel, and TEAMS.

Physical Requirements

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

Prolonged periods sitting at a desk and working on a computer in an office setting.

Disclaimer: The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exclusive list of all responsibilities, duties, and skills required of personnel. Duties, responsibilities, and activities may change, or new ones may be assigned at any time with or without notice.

ADA: Reasonable accommodation may be made to enable individuals with disabilities to perform essential job functions.

AAP/EEO Statement

As an equal employment opportunity company, we value the diversity of individuals, ideas, perspectives, insights, and values, and what they bring to the workplace. Applications are welcome from all qualified candidates. We maintain a drug-free workplace and perform pre-employment substance abuse testing and background checks.

Job Type: Full-time

Pay: $50,000.00 - $60,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
On-site gym
Paid time off
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Systems Analyst (Oracle),"Aramark Uniform Services
","Minnetonka, MN",$67K - $90K (Glassdoor est.),3.3,"ARAMARK Uniform Services IT is looking for a highly motivated and energetic individual to join the team. In this role the individual will be working closely with other departments to support business needs.

The Business System Analyst is expected to interface with the business community and other IS team members to successfully undertake, and advise on the management of information systems and project requirements. The Business System Analyst has support responsibilities as defined by business needs and manager direction.

The primary skill set used for this position is business analysis, Route Accounting, SQL, and Project Management.

Helps determine operational objectives by closely studying business processes
Evaluating business requirements and writing future state designs with workflow charts and diagrams
Analyzes required business process improvements and assists with required change management practices to facilitate the necessary business process changes to meet the future state designs
Assists with gap identification, gap prioritization and gap solution design efforts after business requirements gathering and initial systems configuration and systems walkthrough with key business members
Writes all functional design documents that details any customization/extensions that delivers the functional solution to solve the business requirement
Collaborates with technical resources to plan and develop system flows.
Helps programmers during system development, e.g. provide use cases, flowcharts, design specifications
Develops and implements comprehensive test plans to ensure that systems and programs are tested and debugged.
Creates functional tests of systems configurations and extensions/customizations delivered from the IT development team
Writes or helps write solution design and critical control measures (i.e. roles and responsibilities of an ERP/Route Accounting system)
Collaborates with Change management to construct user documentation; providing help desk support; training users.

Qualifications:

Competencies:

Thinks Strategically – Focuses on the future and creates direction
Raises the Bar – Take smart risks and sets high expectations
Knows the Business – Has strong business judgment, prioritizes, and is decisive
Simplifies the Agenda – Takes an enterprise view and helps others connect the dots
Influences with Impact – Influences through action, and communicates effectively
Manages Courageously – Embraces change and manages conflict
Leverages Diversity - Promotes inclusion and leverages differences
Develops Others - Develops capabilities and inspires commitment
Drives for Results – Focuses on the end result and does the right thing
Takes Action – Plays offense and moves with speed
Works with Others – Plays as a team and achieves excellence together

Required Qualifications:

Bachelor’s Degree in one of the following disciplines Business, Computer Science, or related field.
Minimum 2 years of relevant technology experience required, including experience with large, complex technology programs.
Minimum of 2 years as an IT Business Analyst supporting ERP or Route Accounting software.
Experience in application and mobile application support including problem analysis and resolution.
Able to follow a methodical implementation process.
Strong requirements elicitation and modeling skills and experience with requirements management
Experienced in multi-system application integration.
Experienced in developing workflow and functional Use Cases.
Experience with Iterative or Agile project methodologies and tools.
Familiarity with customer invoicing processes.
Understanding of software development lifecycle.
Able to work as a liaison between the business community and technical team.
Excellent interpersonal, written and verbal communication skills
Self-starter who requires minimal supervision.
Has the drive and initiative to handle multiple deadlines continuously implementing changes
Capable of working in a fast paced, dynamic, team-oriented environment.
Experience using SQL based relational databases
Proficient in Microsoft Excel and Word.

Safety Requirements:

This location requires all individuals working on site to be fully vaccinated against COVID-19.

Preferred Qualifications:

Use of Mobile Device Management software.
Strong understanding of Sarbanes-Oxley (SOX) requirements.
Knowledge of RESTful and SOAP web services.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Experience:

Oracle EBS: 4 years (Required)

Work Location: Multiple locations",1940,Building & Personnel Services,$1 to $5 billion (USD),Management & Consulting,10000+ Employees,Company - Public,True
ERP Business Analyst Developer,"Cretex Companies
","Coon Rapids, MN",$81K - $114K (Glassdoor est.),3.5,"The Business Analyst Developer plays a critical role in bridging the gap between business needs and technical solutions within an organization. This position combines the responsibilities of a business analyst, who identifies and defines business requirements, with those of a developer, who designs and implements software solutions to meet those requirements. The Business Analyst Developer collaborates with various stakeholders to ensure that software applications align with business goals and operational needs.
This is a hybrid, full time salaried position, that requires one live locally in the immediate area

Essential Job Functions



**Requirements Gathering:**

Collaborate with business units, stakeholders, and end-users to gather, document, and refine business requirements.
Analyze and understand business processes and workflows to identify improvement opportunities.




**System Design and Development:**

Design and develop software solutions that address identified business needs and requirements.
Configure the enterprise resource planning system to meet operational needs. If needed, utilize development tools, programming languages, and databases to create custom applications or modify existing systems.




**Data Analysis:**

Extract, transform, and load (ETL) data as necessary to support business analytics, reporting, and decision-making processes.
Implement data validation and quality control measures to ensure data accuracy and integrity.




**Testing and Quality Assurance:**

Develop and execute test plans to validate software solutions against business requirements.
Debug and resolve software defects and issues to ensure optimal performance.




**Documentation:**

Create comprehensive documentation, including functional specifications, technical specifications, and user manuals.
Maintain accurate records of system changes and updates.




**Technical Support:**

Provide technical support to end-users, troubleshooting issues and resolving problems in a timely manner.
Collaborate with IT teams to ensure system availability and reliability.




**Collaboration and Communication:**

Act as a liaison between business stakeholders and the development team, facilitating effective communication and collaboration.
Present findings, progress, and proposed solutions to non-technical stakeholders.




**Continuous Improvement:**

Stay updated on industry trends and emerging technologies to propose innovative solutions and process improvements.
Suggest enhancements and modifications to existing systems to optimize business operations.

Qualifications

Bachelor's degree in a relevant field such as Computer Science, Information Technology, or Business.
Proven experience in business analysis, software development, or a related role.
Proficiency in programming languages (e.g., Java, Python, C#, SQL) and development tools.
Strong analytical and problem-solving skills.
Excellent communication and interpersonal skills.
Knowledge of software development methodologies (Agile, Scrum, Waterfall).
Familiarity with database management systems (e.g., SQL Server, Oracle, MySQL).
Understanding of data modeling and data visualization tools (e.g., Tableau, Power BI).
Project management skills are a plus.
Relevant certifications (e.g., CBAP, PMI-PBA, ScrumMaster) are a plus.
Conclusion
The Business Analyst Developer plays a crucial role in aligning technology solutions with business objectives, ensuring that software applications meet the needs of the organization. This position requires a blend of technical and analytical skills, as well as strong communication and collaboration abilities to drive business success through technology.

Physical & Environmental Demands

Cretex Companies may use cutting oils, solvents, and other chemicals in the manufacturing process. Testing is conducted on a periodic basis to ensure that all chemicals are kept well below the OSHA permissible exposure levels.",1917,Metal & Mineral Manufacturing,$100 to $500 million (USD),Manufacturing,1001 to 5000 Employees,Company - Private,False
Sales Operations Analyst,"Pace International Inc
","Rochester, MN",$60K - $80K (Employer est.),3.5,"Position:

As a Sales Operations Analyst at Pace International, you will play a crucial role in ensuring our sales and operations teams work in perfect harmony to optimize resources, meet customer demand, and enhance the overall customer experience. This multifaceted position offers a blend of responsibilities that encompass demand planning, inventory management, customer relationship management, data analysis, and more. If you're passionate about using data to drive business decisions and thrive in a dynamic environment, we invite you to join our team.

Job Description:

Demand Planning / Sales Forecasting: Assist in developing demand forecasts based on historical sales data, market trends, and input from the sales team to support the Sales, Inventory, and Operations Planning (SIOP) process.
Inventory Management: Collaborate with inventory control teams to optimize inventory levels, ensuring stock availability while minimizing carrying costs.
Customer Relationship Management: Collaborate closely with the sales team to provide a seamless customer experience, addressing inquiries, resolving order-related issues, and ensuring on-time deliveries.
Order Processing: Manage the end-to-end order processing cycle, including order acknowledgment and coordination with other departments (e.g., logistics, production) for timely and accurate product/service delivery.
Sales Incentive Programs: Support the design, implementation, and monitoring of sales incentive programs.
Data Analysis: Analyze sales data to identify trends, patterns, and areas for improvement, including sales performance, pipeline metrics, conversion rates, win/loss analysis, and sales forecasts.
Reporting and Dashboards: Create and maintain sales performance reports and dashboards for sales managers and leadership, enabling data-driven decision-making.
Data Integration and Database Management: Identifying data sources and verifying accuracy of that data. Define and implement data acquisition and integration logic, ensuring scalability and performance of data solutions.
Visualizations and Communication: Create interactive visualizations through data interpretation and analysis, communicating insights effectively to stakeholders.
Continuous Improvement: Proactively analyze data to answer critical questions, identify areas for improvement, and enhance efficiency and productivity.
Stakeholder Collaboration: Work closely with department managers to understand their analytics needs, deliver actionable insights, and build strong working relationships.
Other Duties: Undertake additional responsibilities as required to contribute to the success of the sales operations team.

Required Education:

Bachelor’s degree (or equivalent) in Business, Data Analytics, Computer Science, Economics, Finance, or Statistics

Skills and Experience:

Proven experience in sales operations, data analysis, or a similar role.
Proven analytic skills, including mining, evaluation, and visualization.
Proficiency in data analysis tools and software (e.g., Excel, Tableau, Power BI, SQL).
Detail-oriented and process driven with a commitment to data accuracy.
Experience with ERP and CRM systems is a plus.
Technical writing experience in relevant areas, including queries, reports, and presentations.
Experience with database and model design and segmentation techniques.
Strong communication skills, oral and written.
Ability to work independently as well as in a team.
Ability to thrive in a small company environment that is dynamic.

Physical Demands:

A majority of time is spent sitting.
Some standing and walking may be necessary but are not essential to performing the jobresponsibilities.
Simultaneous movement of hands, wrists, and fingers is an important element to this position.

About Pace:

Pace International is an industry leading distributor of equipment and content in the Telecommunications and Services Industries. Pace was established in 1972 in Rochester, MN and is the only national hardware and content distributor for Dish Network. Pace owns and operates leading B2B and B2C business units that support cable, wireless, and satellite TV customers throughout North America.

Job Type: Full-time

Pay: $60,000.00 - $80,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Referral program
Retirement plan
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Education:

Bachelor's (Preferred)

Experience:

Data analytics: 1 year (Preferred)

Work Location: Hybrid remote in Rochester, MN 55901",-1,Crop Production,Unknown / Non-Applicable,Agriculture,51 to 200 Employees,Subsidiary or Business Segment,True
ITSM Operations Analyst,"Holcim US
","Moorhead, MN",$56K - $80K (Glassdoor est.),3.8,"ARE YOU READY TO BUILD PROGRESS WITH US?:

Driven by our purpose: Building progress for people and the planet. We are transforming to become the global leader in innovative and sustainable building solutions. Holcim is enabling greener cities, smarter infrastructure and improving living standards around the world. With sustainability at the core of its strategy Holcim is becoming a net zero company, with its people and communities at the heart of its success. The company is driving circular construction as a world leader in recycling to build more with less. Holcim is 70,000 people around the world who are passionate about building progress for people and the planet through four business segments: Cement, Ready-Mix Concrete, Aggregates and Solutions & Products.

ABOUT THE ROLE:
Under the general direction of Head of IT Plant Operations, the ITSM Operations Analyst role provides operational execution resolving end user concerns and requests. This role will provide Tier 2 and Tier 3 support services and act as an escalation point for the Service Desk and Tier 1 support while ensuring that service levels are achieved.

Must have valid passport, valid drivers license, vehicle, and ability to travel to Canada.
WHAT YOU'LL BE DOING:
Resolve and respond to customer issues
Create technical documentation around new and established processes and procedures
Effectively and efficiently apply predefined resolution frameworks, specialized IT system tools with the application of appropriate IT knowledge skills (e.g. troubleshooting) to resolve and respond to customer issues
Responsible for the management of asset inventory in compliance with defined asset management processes
Act as resolution Tier 2 and Tier 3 escalation point for complex business systems concern and issues
Actively engage in project assignments including defining and leading project tasks and/or work packages to ensure adherence to budget, schedule, and scope of project
Maintain, monitor, and administer related computing environments, including directories, systems software, applications software, and management tools
Participate in the evaluation, design, and implementation of new systems that increase productivity or enhance overall business operations
Contribute to ITSM Knowledge Base
Develop an enhanced understanding of IT processes and policies as defined by the Americas Digital Center and how they affect our customers
Participate in training to continue to develop key functional and technical skills and improve business acumen
Lead customer training sessions on IT policies, directives, and processes and act as SME and Champion within the Business
Work with the Operational Analyst team to resolve and communicate resolutions to customer inquiries, escalating issues as needed
Communicate frequently with Management, working to develop personal skills and abilities
Seek to continuously improve operations
Identify and suggest process and system enhancements
Perform at a level that assists in attaining overall and team-level performance measures and goals
Stay apprised of service center knowledge and industry best practices
Investigate and test new technologies related to the position
Collaborate with other Shared Service and Global teams to deliver excellence to customers by way of projects or issue resolution
Consistently meet assigned project deadlines in an agile and rapidly moving environment
Ensure compliance with all Health and Safety policies and initiatives outlined in the Health and Safety manual
Be available after hours for critical issue resolution
WHAT WE ARE LOOKING FOR:
Education: Bachelor's degree or years of equivalent experience.
Field of Study Preferred: Computer Science, Engineering, or related discipline with an IT focus
Required Work Experience: 3 – 5 years in End User Support
Required Training/Certifications: ITIL v4 Foundations; Microsoft Certifications or working toward them; Cisco Certifications or working toward them
Required Computer and Software Skills: Experience with Active Directory, Service Now (SNOW), Microsoft SQL
Travel Requirements: Locally up to 40%
Additional Requirements:
Ability to work decisively under heavy workload considering the criticality, urgency and extended work hours required to ensure the availability of the service in accordance with service level commitments
High willingness to drive transformation and service improvement
Ability to quickly adapt to and from single person to team working environments
Highly self-motivated and directed
Attention to detail
Diverse capability for problem-solving, decision making and sound judgment
Strong organizational and communications skills
Highly professional demeanor with the ability to speak confidently, courteously and credibly to all levels of management.
Work effectively in the face of ambiguity, shifting priorities and rapid change while actively developing one’s skills and capabilities
Foster a business focused environment delivering exceptional customer service and anticipating future customer needs
Effectively examine events, issues and problems and generate optimal solutions in a timely manner
Leads with a sense of collaboration and work effectively across the organization to achieve goal
Demonstrate a commitment to communicating, improving and adhering to health, safety and environmental policies in all work environments and areas. Promote a culture of safety and exhibit these behaviours.
Successful candidates must adhere to all safety protocols and proper use of Holcim approved Personal Protection Equipment (""PPE""), including but not limited to respirators. Employees that are required to wear respirators must be clean shaven where the respirator seal meets the face in order to pass the qualitative and quantitative fit tests.

What we offer:

Competitive salary based on experience and qualifications
Retirement Savings: Choose from 401(k) pre-tax and/or Roth after-tax savings
Medical, Dental, Disability and Life Insurance coverage
Holistic Health & Well-being programs
Health Savings Accounts (HSAs) & Flexible Spending Accounts (FSAs) for health and dependent care
Vision and other Voluntary benefits and discounts
Paid time off & paid holidays
Paid Parental Leave (maternity & paternity)
Educational Assistance Program
Dress for your day policy


Your Holcim Experience:
Holcim offers endless opportunities for you to play your part. Whether you’re in a technical, managerial, or frontline role, you can shape a career that works for you. With Holcim you’ll have the chance to embrace the passion we share for our planet. You’ll be encouraged to seek out diverse perspectives, share your ideas and build the skills and connections you need to perform at your best. Because it’s only when we work together in a culture where everyone thrives, that we can build the world we all want to live in.

#SalaryUS",1912,Construction,$10+ billion (USD),"Construction, Repair & Maintenance Services",10000+ Employees,Company - Public,False
IT Business Analyst,"Carlisle Fluid Technologies
","Oakdale, MN",$71K - $98K (Glassdoor est.),3.1,"Job Summary

This is a fantastic opportunity for a talented individual to join our diverse team and advance your career in IT working for a manufacturing business producing globally renowned products. Reporting into the Global IT leadership team based in the UK, you will primarily be working with colleagues at our facilities across the US. You will focus on providing day to day support and working on exciting upcoming projects, not limited to the following:

Global Epicor ERP upgrade and consolidation strategy
Continued modernization and automation of customer transactions through EDI and Customer Web Portals
Business Intelligence – evolution of Power BI and Dynamics 365 CRM
Business systems integrations and APIs

Essential Duties and Responsibilities

Work with the Senior Business Analysts and wider global IT Team to implement IT systems integrations which deliver measurable benefits to the business
Engage with the business to standardize and document processes that work around the ERP system's ‘out of the box' features
Work with 3rd party Dynamics 365 CRM partner to support ongoing evolution of CRM for Sales and Marketing
Collaborate with our Finance and Sales teams to support and refine Power BI data cubes
Facilitate meetings with stakeholders to elicit system requirements.
Monitor ticket queue and respond to ERP, EDI and BI applications related incidents aiming to resolve within agreed SLAs
Manage EDI onboarding projects through testing, validation and go live
Work with 3rd party Epicor and EDI partners
Produce high quality documentation of standard IT processes
Travel to our facilities across the US around 2 – 3 times per year to build relationships with colleagues and understand the business challenges
Occasionally be flexible to support the wider IT team with ad hoc support tasks
Requirements:

Knowledge, Skills and Abilities

Essential

Bachelor's degree, preferably in an IT related field, plus 1 – 2 years' work experience
Proven self-starter and proactive with outstanding communication and customer service skills
Keen and enthusiastic to learn the business, applications and make a difference
Excellent soft skills and comfortable interacting with people at all levels both via Microsoft Teams calls and in person
Competence in technical writing, including analysis and documentation
Well-organized with ability to work within a team across different time zones
Basic understanding of quote to cash business processes
Experience developing data analytics dashboards to support data-driven business decisions
Self-motivated and competent to work with minimal supervision in a technical capacity on most phases of assigned projects
Ability to recognize complex problems and apply analytical creativity to develop solutions and procedures

Desirable

Basic understanding of EDI systems and concepts
Experience of Power BI
Experience of Microsoft Dynamics 365 CRM
Experience of providing Epicor E10/Kinetic or other ERP system support in a manufacturing environment
Agile Project management and problem-solving skills, plus ability to handle multiple projects simultaneously
SQL Queries and/or SSRS
Working knowledge of APIs
Experience of Incident ticket and Change management systems in an ITIL environment

Education and Certifications

Required

Bachelor's degree",1917,Construction,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",51 to 200 Employees,Company - Public,True
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Business Systems Analyst – SAP FI Record to Report,"Hollstadt & Associates
",Minnesota,-1,4.5,"Minnesota - Other

Hollstadt Overview

Hollstadt Consulting is a management and technology consulting firm dedicated to placing professionals at engagements where they will excel. When you work with us, you'll work with a refreshingly real company led and staffed by seasoned experts who are also down-to-earth, good people. We're committed to treating you with respect and helping you achieve your career aspirations.

Since 1990, Hollstadt has been a trusted partner to more than 150 domestic and global companies and has successfully completed over 2,000 projects. Our continued growth has created challenging and rewarding opportunities for accomplished IT and Business Consultants. Hollstadt Consulting is an equal opportunity employer including disability/veteran.




Job Description

We are looking for a Business Analyst that will focus on Accounts Payable and Accounts Receivable for the FI Record to Report workstream. The ideal candidate will have experience in SAP ERP cloud with end-to-end business process knowledge across Order to Cash, Procure to Pay and accounting to reporting. This role is an IT team member working directly with product owners, business stakeholders and management to ensure that the ERP implementation is aligned with key business goals. Must have extensive domain knowledge of SAP Cloud Financial modules (FI) and good understanding of supporting ERP PTP modules.

Qualifications:

3-5+ years implementing and configuring core Financial related systems on SAP. Specifically, AP, AR, and Tax and associated financial and management reporting
Subject matter knowledge of business processes related to Finance & Accounting
Strong understanding of the integration between SAP modules and non-SAP systems
Experience translating business requirements into functional specifications or system configuration
Strong attention to details including ability to facilitate meetings, stay organized and meet deadlines
Strong communication and analytical skills, including proficiency in analyzing and preparing use cases, process maps, business requirements, functional design documents, and test plans.
Strong interpersonal skills including ability to present to management
Experience with Medius preferred
Experience with High Radius preferred
JDE experience would be helpful







Benefits + Perks





Comprehensive Benefit Plan

Hollstadt offers a competitive and comprehensive benefit package which includes Medical, Dental, Vision, Long Term/Short Term Disability, and Life Insurance. With three different medical plans to choose from, you can enroll in the coverage you need from single to family, or anywhere in between!




Remarketing Process

Hollstadt is based on retention and relationships. We get to know your strengths and career wishes throughout your assignment and then start remarket discussions 6-8 weeks prior to your end date. By being proactive, we are able to keep your down time between assignments as short as possible, unless you choose otherwise.




Professional Development

Hollstadt offers free bi-weekly training courses for our consultants as well as on-demand access to past sessions through our consultant portal. Trainings give our consultants the continuing education they need to excel on their projects.





401k + Matching

One popular benefit is our 401(k) match on the first 4% of your contributions. Hollstadt wants to help you reach your long-term financial goals and understands that planning for your future is critical. Consultants also have access to support from a Financial Advisor.




Bonus Opportunities

We appreciate and reward loyalty. Join Hollstadt, stay for 5 years, and we’ll give you a $5,000 Longevity Award bonus! Additionally, we know great talent knows other great talent. If you are on contract with Hollstadt and refer one of your connections who gets placed, we’ll pay you $1,000!




Ongoing Support & Networking

We have made a significant investment in building a support program for our consultant team - so you never have to feel like you are going it alone. We also have a Consultant Coach program which acts like a 'work buddy' to provide a safe ear for questions or concerns at your client site.",1990,Information Technology Support Services,$25 to $100 million (USD),Information Technology,51 to 200 Employees,Company - Private,False
