Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
"Business Application Analyst, Core and Internet","The First Bank
",Mississippi,-1,3.3,"Job Summary:




The Business Application Analyst, Core and Internet is responsible for being a liaison between the Bank and key strategic solutions vendors, specifically the core system vendor Jack Henry and Associates. The analyst will have in-depth knowledge about the systems, interfaces, and vendors that directly support primary banking functions throughout the bank. As a primary subject expert, the Core and Internet Analyst will be responsible for core and internet systems related services, product enhancement and delivery as well as providing end user guidance, support and research. These applications include but are not limited to:

Jack Henry Silverlake (Production and UAT)
Jack Henry Xperience
Jack Henry Synergy
Jack Henry Netteller
Jack Henry Banno


This position will work closely with the Business Application Services team to address and promote efficient work flow, information integrity and ensure the department meets organizational goals.


Qualifications:


Education Requirements

High School diploma or equivalent – Required

Associates degree or higher – Preferred

2+ years’ experience in banking operations – Strongly preferred




Work Experience/Skills:

Experience collaborating with banking managers and staff

Experience in related Banking environments with Bank application experience

Experience with Jack Henry Bank solutions and strong plus


Physical Demands:

Extended viewing computer monitors

Sitting, lifting computers and related equipment weighing up to 40 pounds

Typing on keyboard",1995,Banking & Lending,$25 to $100 million (USD),Financial Services,201 to 500 Employees,Company - Public,False
Senior Business Analyst,Nepstaff,"Jackson, MS",$65.00 - $70.00 Per Hour (Employer est.),-1.0,"Knowledgeable in software requirements gathering, GSD creation, and system integration.

Required Skills/Experience

Provide the minimum required skills and/or experience the contractor must possess to qualify for this position. These

requirements will be transferred to the Score Sheet and candidates without these requirements reflected on their resume will

NOT be presented to the manager for consideration.

10+ years experience working with stakeholders to build and formulate business requirements. Ability to define and

implement new system functionality, participate in issue resolution, and drive process refinement.

Preferred/Not Required

Provide any skills/experience that would be helpful for the candidate to possess but not required. Examples: Previous supervisory

experience, WebLogic experience helpful, etc.

Agile experience (SAFe, Agile Scrum, Kanban, XP or similar methodologies)

JIRA experience

Job Type: Contract

Salary: $65.00 - $70.00 per hour

Expected hours: 40 per week

Benefits:

401(k)

Experience level:

11+ years

Schedule:

8 hour shift

Application Question(s):

How many years of working experience with stakeholder?

License/Certification:

Safe Certification (Preferred)

Work Location: On the road",-1,-1,-1,-1,-1,-1,True
3083 - IT Enterprise Business Analyst 2,"Infoorigin inc
","Newton, MS",$20.00 - $40.00 Per Hour (Employer est.),3.3,"Job Description:

Client is seeking a Business Analyst to interpret the business needs and operational requirements of two major Client's functions (grants management and loan servicing) and then translate them into relevant technological solutions that will improve operating efficiency and enhance customer service.

Skills Required:

Professional experience working as a Business Analyst Required 3 Years
Experience with grants management and loan servicing processes Highly desired
Experience evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions Required 2 Years
Experience identifying trends, discrepancies, and variances to improve the efficiency and effectiveness of operations Required 2 Years
Experience creating detailed reports and giving presentations. Required 2 Years
Experience performing user acceptance testing Required 2 Years
Exceptional analytical and conceptual thinking skills Required
The ability to influence stakeholders and work closely with them to determine acceptable solutions Required
Competency in Microsoft applications including Word, Excel, and Outlook Required
Excellent planning, organizational, and time management skills Required
Bachelor's degree in Business, IT or related field from an accredited college or university Required
Statistical, financial, or operational data analysis and reporting in functional area of federal and state grant programs Desired
Experience assisting with orientation, training, or providing task guidance of collaborative team members and division partners Desired
Experience supporting user community in the use of functional business tools and support systems Desired

Job Type: Contract

Pay: $20.00 - $40.00 per hour

Experience level:

3 years

Schedule:

8 hour shift

Ability to commute/relocate:

Newton, MS 39345: Reliably commute or planning to relocate before starting work (Required)

Experience:

SQL: 1 year (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Business Analyst,"University of Southern Mississippi
","Hattiesburg, MS",$48K - $57K (Employer est.),4.1,"Works with university stakeholders to solicit, write, and manage user requirements including technology-independent process and data models for internally and externally developed technology solutions that meet the needs of various business areas. Serves as liaison between the business stakeholders and technical solution provider (e.g., vendors, infrastructure team, development team, etc. May serve as project manager for assigned projects.

Primary Duties and Responsibilities


Conducts interviews with key project stakeholders to understand and document business processes and workflows with their relationships to current and future software solutions. Reviews and analyzes the effectiveness and efficiency of existing systems and develops strategies for improving or further leveraging these systems. Translates business user concepts and ideas into comprehensive business requirements, functional and technical design documents. Conducts research on software and hardware products to meet requirements and to support purchasing efforts.

Oversees the selection and implementation of software programs and hardware resources that meet the business requirements providing analyst support from inception through system implementation, as well as managing test planning and execution to ensure that all requirements are satisfied.

Creates RFP/RFI, scope, requirements, use cases, design, test planning/scripts, process flow diagrams and other documentation as needed. Creates and/or reviews manuals, procedures, and elated user documentation, ensuring documentation is targeted to the appropriate audience.

Facilitates meetings with sponsors, stakeholders, and team members to explain difficult concepts to non-technical users. Develops concise and accurate reports with attention to detail.

Leads meetings with team (USM stakeholders, vendors, consultants, etc.), to manage the tasks in support of the project. Manages conflict resolution and builds consensus to complete tasks per schedule. Serves as a mentor to other Business Analysts.

Manage projects as assigned, responsible for the delivery and implementation of the project, including scope, objectives, schedule, tasks, budget, documentation, and resource management using a PMO standard project management methodology that utilizes tools such as MS Project, SharePoint, Cherwell, Office 365, etc.

Develops process improvements for project management methodologies and processes following industry standards to improve business analysis functions. Serves as an advisor to Enterprise Technology Planning Manager, Chief Information Officer, department directors, and staff with respect to business analysis standards. Performs other duties as assigned.

Minimum Qualifications
Bachelor’s degree from an accredited college or university and a minimum of eight years’ directly related experience or master's degree from an accredited college or university in Business Administration and a minimum of two years directly related BA experience. Directly related experience may be substituted for the education requirement on a year-for-year basis.

Knowledge, Skills & Abilities
Skills in analytical, creative problem-solving and critical thinking.

Skill in managing one’s own time and the time of others.

Skill in using mathematics to solve problems.

Skill in completing assignments accurately and with attention to detail.

Ability to work under pressure and meet close deadlines.

Ability to analyze, organize and prioritize work while meeting multiple deadlines.

Ability to analyze and prepare documents, reports, and correspondence.

Ability to prepare concise reports.

Ability to review work for accuracy.

Ability to process and handle confidential information with discretion.

Adept in Microsoft Office.

Excellent written and oral communication skills and the ability to communicate with a diverse group of individuals.

Excellent organization and time management skills .

Detail-oriented.

Ability to anticipate needs.

Demonstrates the ability to deliver accurate, concise, and quality communication (verbal and written) in a timely manner and provide quality feedback.

Ability to establish goals and objectives.

Ability to effectively plan and delegate the work (matrix model) of others.

Ability to work collaboratively as a team member.

Preferred Qualifications
Bachelor’s degree from an accredited college or university in Information Systems. Experience in Agile teams. CBAP™ or CCBA® or PMI PBA certification. Knowledge of and experience with ITIL methodologies. Demonstrated project management skills & methodologies.

About The University of Southern Mississippi
The University of Southern Mississippi (USM) is a comprehensive public research institution delivering transformative programs on campuses in Hattiesburg and Long Beach, at teaching and research sites across the Mississippi Gulf Coast, as well as online. Founded in 1910, USM is one of only 131 universities in the nation to earn the Carnegie Classification of Institutions of Higher Education's ""R1: Doctoral Universities - Very high research activity"" designation, and its robust research enterprise includes experts in ocean science and engineering, polymer science and engineering, and large event venue safety and security, among others. USM is also one of only 37 institutions in the nation accredited in theatre, art and design, dance and music. As an economic driver, USM generates an annual economic impact of more than $600 million across the state. USM welcomes a diverse student body of more than 14,000, representing 71 countries, all 50 states, and every county in Mississippi. USM students have collected four Truman Scholarships and 37 National Science Foundation Graduate Research Fellowships, while also leading Mississippi with 27 Goldwater Scholarships, an honor that recognizes the next generation of great research scientists. Home to the Golden Eagles, USM competes in 17 Division I sports sponsored by the National Collegiate Athletic Association (NCAA). For more information, visit www.usm.edu.

As an Affirmative Action/Equal Employment Opportunity employer/Americans with Disabilities Act institution, The University of Southern Mississippi encourages minorities, women, veterans and persons with disabilities to apply.",1910,Colleges & Universities,$100 to $500 million (USD),Education,1001 to 5000 Employees,College / University,False
Business Analyst I,"Columbus Technologies
","Stennis Space Center, MS",$55K - $78K (Glassdoor est.),4.3,"Overview:
Must be a US Citizen
Ongoing contract position
W2 with Full Benefits

Customer and contract specific training will be required and provided.

Location - NASA Stennis Space Center
Labor Category: Business Analyst 1

The US base salary range for this full-time position is $45,000-$52,000 + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training.

Responsibilities:
Provides Business Analyst 1 duties in support of customer requirements.

Provides support to the program office in development of budget, schedule and risks. Maintains a detailed knowledge of the required compliance documentation. Maintains and updates electronic files, record and data. Maintains databases current in support of project control and other applicable business activities.

Qualifications:
Education: Bachelor Degree

Experience: 0+

Primary job functions for the position are listed below:
The AEGIS Customer Support Services (ACSS) team assists NASA, NASA Contractors, and Tenants with all network and phone moves/adds/changes/deletes, including any training for IT POCs as necessary. Customer requests are swivel-chaired across multiple applications in order to execute all required tasks.

ACSS organizes, presents, and collaborates with the Center's Communications, VoIP, Local Area Network (LAN), End User Services, and NASA Shared Services Center (NSSC) teams to provide an efficient, joint effort to meet end user needs. ACSS is also responsible for maintaining Stennis Space Center's Phone Book for Yearly Publishing.

Other job duties include providing Switchboard and Operator services for the center. This coverage is a shared duty amongst five employees. Three shifts that rotate monthly provide coverage for all operating hours (6:00 am - 6:00 pm). Shift schedules are as follows:

Early: 6:00 am - 2:30 pm
Regular: 8:00 am - 4:30 pm
Late: 9:30 am - 6:00 pm

Primary programs utilized:
BMC Remedy IT Service Management (NITSM)
OWEB - Online Seat Ordering System
ESD - Enterprise Service Desk (Service Now)
SDCA - Stennis Data Center Admin
Microsoft Publisher
Microsoft Outlook
Microsoft Teams

Equal Opportunity/Affirmative Action:
We are committed to hiring and retaining a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity or expression, marital status, age, national origin, veteran status, disability status, or any other protected class. EEO/AA/MFDV

Information collected and processed as part of your Columbus Careers profile, and any job applications you choose to submit is subject to Columbus' Applicant and Candidate Privacy Policy.

Job Type: Full-time",-1,National Agencies,$25 to $100 million (USD),Government & Public Administration,201 to 500 Employees,Company - Private,True
IT Business Analyst,"Cadence Bank
","Tupelo, MS",$59K - $85K (Glassdoor est.),3.7,"Who We Are

Cadence is committed to serving the lifelong needs of our customers. That’s a commitment made possible by our exceptional teammates. Our team members are what set us apart. Friendly, open, personable and committed to excellence, our teammates make up more than just a bank … they make up our communities.




No matter where you are in life or where you’re going, we may have the right career for you.




Competitive Benefits

Cadence offers a competitive and comprehensive benefits package centered on the well-being of our teammates. Some of our benefits include medical, dental, vision, employee assistance program, life insurance, 401(k), Retirement Pension Benefits, parental leave, tuition reimbursement, and more.




What The Role Is

This position is as a liaison between the bank’s business units and the technology staff. They collaborate with the business units to translate business needs into functional business requirements and then work with the IT Programming staff to integrate the requirements into one or more of the bank’s application solutions and provide testing and post-implementation support.




How You will Make an Impact

Review updates to bank application solutions, collaborate with the business units to define the project scope, and then translate business needs into functional business requirements for the programming staff to implement.

Responsible for testing changes to bank application solutions

Maintain and update various bank application parameter files

Support mapping and testing efforts for data conversion of bank mergers

Support application upgrades to newer releases

Facilitate meetings with the business units and IT staff

Assist the Help Desk as second level support for user application problems

Document and report test results




Who You Are

5+ years relevant experience or Associate/Bachelor Degree in a related field is desired

Good working knowledge of Word, Excel, and Google Docs is desired

Knowledge of the various banking software applications and transaction processing/operations would be beneficial

Must have a good attitude and be able to adapt to change well

Good written & verbal communication skills

Must be detail-oriented and possess good analytical and organizational skills

Must be a self-starter, excel at time management, and can multitask effectively

Some after-hours and weekend work is required on occasion




Remote positions are intended to be filled in states within our footprint, which includes: Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, Missouri, Tennessee, and Texas. We may hire remote workers in other states, pending approval.




The information on this description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.




Cadence Bank is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, age, sex, sexual orientation, gender identity, disability, veteran status, genetic information or any other status protected under applicable local, state or federal nondiscrimination laws.",1876,Banking & Lending,Unknown / Non-Applicable,Financial Services,5001 to 10000 Employees,Company - Public,False
Experienced Configuration Business Analyst,"Gainwell Technologies LLC
",United States,$62K - $88K (Employer est.),3.4,"Great companies need great teams to propel their operations. Join the group that solves business challenges and enhances the way we work and grow. Working at Gainwell carries its rewards. You’ll have an incredible opportunity to grow your career in a company that values your contributions and puts a premium on work flexibility, learning, and career development.


Summary

As a Experienced Configuration Business Analyst at Gainwell, you can contribute your skills as we harness the power of technology to help our clients improve the health and well-being of the members they serve — a community’s most vulnerable. Connect your passion with purpose, teaming with people who thrive on finding innovative solutions to some of healthcare’s biggest challenges. The candidate will be collecting requirements, configuring and loading rule sheets in to the MESA system, system testing, and collaborating across different teams and strategic areas. The candidate will also be mentoring team members, and taking ownership of Change Requests/Policy Changes and moving them through the process from requirements, documentation and into Production.

Here are the details on this position.

Your role in our mission

Play a critical part in ensuring Gainwell is meeting our clients’ objectives in important areas.

Help coordinate a business analyst team’s duties and activities on IT projects and nurture newer team members by providing guidance and support
Be a knowledgeable bridge between clients, project managers and technical staff to define, document and share business requirements and expected impact
Work with the client to develop business specs at the start of a technical project
Analyze, plan, design, document or make recommendations to improve business processes to support client’s technology goals
Help verify that all requirements have been met by approving and validating test results
Exercise your ability to use basic analytical or relational database software — such as Excel or SQL — to quantify the anticipated impact of work
What we're looking for
6 or more years of experience in a relevant Business Analyst position with 3 or more years of Medicaid and Medicare experience
Knowledge of computer programming concepts such as rule-based configuration, development, and medical claims and batch processing
Advanced knowledge in analytical software such as Microsoft Excel, SQL and other requirement-mapping tools such as Application Lifecycle Management (ALM) tools
Strong client communication skills translating client needs to actionable objectives
Strong analytical and business policy administration skills with attention to details
Strong executive presence and communication skills to deliver messages to business leaders, clients and technical personnel
What you should expect in this role
Fully Remote opportunity from most US locations
Opportunities to travel through your work (0-10%)
Video cameras must be used during all interviews, as well as during the initial week of orientation

#LI-HC1

#LI- MESA Systems


The pay range for this position is $61,700.00 - $88,200.00 per year, however, the base pay offered may vary depending on geographic region, internal equity, job-related knowledge, skills, and experience among other factors. Put your passion to work at Gainwell. You’ll have the opportunity to grow your career in a company that values work flexibility, learning, and career development. All salaried, full-time candidates are eligible for our generous, flexible vacation policy, a 401(k) employer match, comprehensive health benefits, and educational assistance. We also have a variety of leadership and technical development academies to help build your skills and capabilities.


We believe nothing is impossible when you bring together people who care deeply about making healthcare work better for everyone. Build your career with Gainwell, an industry leader. You’ll be joining a company where collaboration, innovation, and inclusion fuel our growth. Learn more about Gainwell at our company website and visit our Careers site for all available job role openings.


Gainwell Technologies is committed to a diverse, equitable, and inclusive workplace. We are proud to be an Equal Opportunity Employer, where all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We celebrate diversity and are dedicated to creating an inclusive environment for all employees.",2020,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,10000+ Employees,Company - Private,False
Learning Advancement Business Systems Analyst (Contract),"Vertex Pharmaceuticals
",United States,$80.00 - $90.00 Per Hour (Employer est.),4.3,"Job Description:
The Business Systems Analyst position is part of the Data, Technology and Engineering (DTE) team, supporting Quality Systems and Vertex Innovation and External Research (VIER). This position is responsible for supporting and enhancing Vertex’s Learning Management SAAS solution provided by Cornerstone on Demand.

As Vertex works to build and enhance our existing system, we are seeking an individual who will help us research, configure, test, and document solutions to issues identified by our business stakeholders. This individual will partner with other Subject Matter Experts, both internally and via third parties. They will help us ensure that we provide a system that meets the compliance needs demanded in a validated environment while continuing to enhance Vertex’s learning ecosystem via the Learning Advancement Program.

Qualified candidates will have:
Cornerstone (or similar LMS technical experience)
GxP validation experience
System Administration, integration, and configuration experience

*** this role will not include the creating or assigning of training content ***

Key Responsibilities:
Participate in day-to-day project and support work, including analysis, documentation, configuration, testing, integration, and reporting activities.
Conduct systems analysis and configuration changes in accordance with industry Systems Lifecycle (SLC) and Vertex Change Management guidelines for a validated environment
Implement product enhancements; understand and document business processes and requirements
Manage customer support cases via case management tool
Participate in reviewing, planning, testing and implementing regularly scheduled system upgrades
Develop collaborative relationships with IT peers, Talent Management, Quality Systems, external partners, and various operational teams to help design, develop, and deliver learning solutions that satisfy business requirements
Translate technically complex analysis into easily comprehensible terms
Ensure data integrity including quality, accuracy, security, and usability of employee data and related interfaces by adhering to established processes and controls

Minimum Qualifications/EXPERIENCE
Bachelor’s degree in Computer Science, Mathematics, or other technical discipline
Minimum 3 years of relevant experience
Demonstrate the ability to quickly learn new tools based on conceptual understanding of technology
Exceptional analytical and problem-solving skills with attention to detail
Flexibility to adapt to a continually changing and fast paced business environment
Effective communications and presentation skills
Demonstrate an understanding of good project management practices as well as the fundamentals of the System Lifecyle (SLC) and Information Technology operational practices
Familiar with Microsoft Office products (e.g. Outlook, Excel, PowerPoint, OneNote)
Experience administering Cornerstone on Demand preferred
Experience with Learning Management Systems preferred
Pharmaceutical industry experience including GxP requirements preferred
Proficiency leveraging analytical languages and tools preferred (e.g. SQL, PowerBI)
Pay Range:
$80-$90/hr
Requisition Disclaimer:

This job posting is for a temporary role with a third-party agency partner on assignment at Vertex Pharmaceuticals (“Vertex”). The individual selected for this role will be offered the role as an employee of a third- party agency partner; compensation, medical benefits, fringe benefits and other terms and conditions of employment shall be presented by the third-party agency partner upon offer. The pay rate range provided is a reasonable estimate of the anticipated compensation range for this job at the time of posting. The actual pay rate will be based on a number of factors, including skills, competencies, experience, location and/or being pursued and other job-related factors permitted by law. In addition, this role will be eligible for overtime pay, in accordance with federal and state requirements


By applying for this position, you agree to the Atrium Terms and Conditions and you direct Atrium to share your application materials, which may include your CV/Resume, email address or phone number, with Vertex. For more information on how Vertex handles your personal data related to your job application, please see Vertex’s Careers Privacy Notice. Agreeing to the Atrium Terms and Conditions, includes permission to use the email address and mobile phone number you provide during the application process or throughout the duration of your prospective or actual employment to notify you of job openings, profiles, articles, news, and other employment-related information, as well as to notify you of special promotions or additional products and services offered by us or our affiliates and partners
(collectively, “Atrium Alerts”). Atrium Alerts may be sent by email, phone, or text message. Your personal information will be safely stored within the Atrium & Vertex databases. Atrium does not sell your personal information to third parties. Text message and data rates may apply. To OPT OUT of text messaging or to modify your communication preferences for Atrium Alerts at any time, please contact Atrium at privacyadministrator@atriumstaff.com.


If you do not agree with the Atrium Terms and Conditions, you can still complete your application for this position by emailing your resume to our team at tempstaffing@vrtx.com. Please include the job title in the subject of your email.


No C2C or Third-Party Vendors",1989,Biotech & Pharmaceuticals,$1 to $5 billion (USD),Pharmaceutical & Biotechnology,1001 to 5000 Employees,Company - Public,False
Operations Data Analyst II (On-site),"Milwaukee Electric Tool Corporation
","Olive Branch, MS",$55K - $74K (Glassdoor est.),4.2,"Data Analyst II
Job Description:
Knowledge of statistics and experience using statistical packages for analyzing datasets (including, but not limited to Excel, SQL, PowerBI).
Strong
analytical skills
with the ability to collect, organize, and analyze significant amounts of data with attention to detail and accuracy
Design and develop internal systems and scripts to acquire data that can be used to enhance and automate the business process
Use SQL queries to retrieve business information, assist with ad hoc requests and help develop Business Intelligence dashboards
Ability to work required shifts both independently and within a team environment
Using data to predict trends in the customer distribution behaviors for strategic business planning
Using tools and techniques to visualize data in easy-to-understand formats, such as diagrams and graphs
Communicating with stakeholders to understand data content and business requirements
Requirements:
2+ years Data Analytics experience
BS in Mathematics, Economics, Computer Science, Information Management or Statistics or Equivalent
Experienced in Microsoft Office, cloud-based platforms, and Microsoft Power BI
Ability to interact well with team members at all levels
Clear written and verbal communication skills
Experience with Microsoft Dynamics AX and High Jump
Knowledge of SQL Queries",1924,Consumer Product Manufacturing,Unknown / Non-Applicable,Manufacturing,10000+ Employees,Company - Public,False
