Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Field Business Plan Analyst,"Spectrum
","Saint Peters, MO",-1,3.3,"JOB SUMMARY

Supports the operational and financial planning and analysis needs of business units, and provides integrated analysis of financial and operational metrics.

MAJOR DUTIES AND RESPONSIBILITIES

Actively and consistently supports all efforts to simplify and enhance the internal and external customer experience. Reviews operating and capital expense entries of assigned business units, and understands the correlation of expenses associated with monthly activity, as well as the timing of projects. Assists in and/or coordinates the development of area’s annual operating and capital expense budget and quarterly forecasts. Completes audit tasks/SOX testing as required. Provides financial analysis and support for assigned business units: reviews and provides commentary for monthly operating and capital expense results and accruals. Analysis categories may include headcount/staffing, capital project, capital labor, lost CPE, materials issuance and/or other relevant operating or performance analysis. Assists in the month end close review, ensuring that assigned accruals are accurate and complete as directed. Provides input for the monthly review of expenses and capital to budget and forecast, and explains variances with operational analytics and insight to assigned business unit leadership and the finance group. Special projects and ad hoc analysis as needed and performs other duties as requested by supervisor.

REQUIRED QUALIFICATIONS

Required Skills/Abilities and Knowledge

Ability to read, write, speak and understand English Financial management skills, including forecasting, budgeting, and planning Ability to meet milestone and deadlines Demonstrated analytic, organizational, and problem solving skills Ability to work well under pressure, handle multiple priorities, and anticipate and meet deadlines Demonstrated interpersonal and communications skills Ability to prioritize and organize effectively

Required Education

Bachelor's degree in Accounting or Finance or related equivalent experience

Required Related Work Experience and Number of Years

General ledger Accounting work experience - 2-3 Financial analysis, budget and forecasting preparation experience - 2-3

PREFERRED QUALIFICATIONS

Preferred Skills/Abilities and Knowledge

Entrepreneurial and controllership skills Demonstrated knowledge of MIS, with heavy emphasis on Excel Knowledge of JD Edwards’s general ledger software

Preferred Education

Preferred Related Work Experience and Number of Years

Industry related Accounting work experience - 1+

WORKING CONDITIONS

Office environment Some travel

PHYSICAL AND MENTAL REQUIREMENTS

Physical Requirements

Mental Requirements

EOE

Charter Communications is an Equal Opportunity Employer - Minority/Female/Veteran/Disability

Job Type: Full-time

Pay: From $55,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Paid parental leave
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift

Work Location: In person",2016,Telecommunications Services,$10+ billion (USD),Telecommunications,10000+ Employees,Company - Public,False
"IT Business Analyst - Hybrid - St. Louis/St. Charles, MO","Concero Technology Group
",United States,$70.00 - $80.00 Per Hour (Employer est.),3.8,"Business Analyst - Hybrid - Onsite 3 days per week in St. Charles, MO

The Business Analyst will represent the Digital Technology team, specifically in the Order to Cash realm. This role will work very closely with Regional and Local Stakeholders across the Supply Chain, Digital Demand and Customer Care areas. High-level responsibilities will be to document the functional requirements for CIP items, Integrations Improvements, Projects, and other enhancements with the OMS ecosystem.
Responsibilities:

Actively engaged member of the OMS Product Team

Work closely with stakeholders to solidify business requirements, mapping business processes, mapping integration flows, documenting journeys, and authoring business requirements to ensure high quality solutions

Ability to create source/target mapping of current and future state system integrations

Obtain, evaluate and reconcile information gathered from multiple sources; distinguish user requests from true underlying needs.

Assist in defining SLA’s and creating service metrics as well as displaying them to stakeholders

Collaborate with other BA’s to create connected end-to-end solutions

Collaborate with team members to root cause support items and feed them into the CIP Backlog

Collaborate with team members and subject matter experts to create test plans and manage the User Acceptance Testing processes

Think outside the box when facing new or difficult challenges within a fast pace, ever-changing, and high-speed growth environment

Provide expertise and guidance to QA resources by thoroughly understanding capabilities, communicating acceptance criteria, and assisting with user acceptance testing.

Assist stakeholders in items such as general OMS Reporting and Dashboard creation

Ability to communicate at a high level

Required:

Strong communication skills both written and verbal
Process oriented and results driven
Proved 3+ years of Business Analyst
Understanding of highly integrated digital platforms
Knowledge of Salesforce or other CRM tools
Knowledge of continuous integration and continuous delivery
Ability to use design thinking and end-to-end solution-based approaches when solving business problems
Possess a broad understanding of business and technology strategies and business processes that impact and enhance profitability
Clear understanding of Agile Methodology
Experience working within a SaaS platform
Knowledge of Source Control Systems
Knowledge of Change Management Practices

Highly Desirable:

OMS Experience
Experience working CPG company
Knowledge in Supply Chain and Logistics
Experience working in the pet food and/or health industry
Experience creating flowcharts, entity relationship and business diagrams using Microsoft Visio
High volume, high availability, system design and analysis experience preferred
Product management and life cycle experience preferred
Experience building requirements to support systems integration (EDI, XML, Flat file, service-based integration, SOAP, REST, ESB)
Service provider and/or solutions consulting experience desired
Experience logging defects/tickets in a ticketing system such as JIRA

Job Type: Contract

Pay: $70.00 - $80.00 per hour

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in Saint Charles, MO 63301",-1,Staffing & Subcontracting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,True
Customer Success Manager,"Ascent LLC
","Saint Louis, MO",$61K - $87K (Glassdoor est.),3.1,"Ascent, LLC is a leading provider of comprehensive solutions for the planning, design, engineering, development, and operation of data centers and other mission critical facilities. Headquartered in Saint Louis, MO, Ascent specializes in powerful, efficient, and technologically advanced mission critical facilities and offers clients a broad range of delivery models spanning shell & core, build-to-suit, turnkey, and outsourced critical systems operations. Founded in 1998, Ascent provides a full spectrum of fast-track services that include project programming, design management, facility assessment, development and construction management, commissioning, and ongoing maintenance operations. Today, Ascent focuses on providing clients with innovative solutions and services yielding the highest levels of operational autonomy, efficiency, and control. Ascents clients include some of the most demanding mission critical organizations spanning multiple industries, Fortune 500 firms, and service providers. Our business is growing fast, and we are currently seeking a talented Customer Success Manager to work within our Site Operations Department.

TITLE:

Customer Success Manager

LOCATION:

St. Louis, MO

DESCRIPTION:

The role of the Customer Success Manager will be responsible for overall client support and service deliverables. The Customer Success Manager will serve as the primary point of contact for all communications and services between client personnel and Ascent’s personnel. This role will ensure compliance with contractual obligations, along with understanding scopes of work for all clients’ equipment types and preventive maintenance, corrective maintenance, emergency maintenance, reporting, workflow process including financial. This person will collaborate with the Client and Site Operations Teams, Finance & Accounting Teams, Development, and Engineering & Construction along with Senior Management in setting departmental goals, direction, and vision.

RESPONSIBILITIES:

· Project management services during Statement of Work development, customer implementation/transition, and post implementation client management & support. Create functional project requirements for client signoff. Coordinate and track these requirements with Service Operations, Finance & Accounting, Engineering & Construction, IT Site Services, and Business Development Executives.

· Develop full scale project plans and associated communication documents.

· Effectively communicate project expectations, timelines, updates, and milestones to customers and senior management in a clear and timely fashion.

· Define project & customer success criteria and disseminate these to all involved parties, throughout the project life cycle.

· Assess needs for additional resources as they relate to client services and support. Make the appropriate recommendations to senior management as required.

· Proactively identify and resolve issues and conflicts within the project delivery teams and departments.

· Plan and schedule project timelines, milestones and reporting metrics using appropriate tools.

· Develop and deliver progress reports, proposals, requirements documentation and presentations.

· Proactively manage changes in project scope, identify potential risk and devise contingency plans.

· Actively pursue new business with existing clients.

· Work closely with Site Operations and Senior Management to develop best practices and tools for project execution and department management.

· Perform all relevant administrative functions of account management, including billings and revenue tracking, purchase order usage tracking, meeting notes internal task tracking, statement of work fulfillment reporting, renewal management, and general account organization/housekeeping.

Plan, coordinate, and develop routine Client engagements/outings to promote a team atmosphere and client inclusion

QUALIFICATIONS:

· Bachelor’s degree in Business, IT, Engineering, or other Engineering Discipline or equivalent, is preferred.

· 3-10 years as a Business Analyst, System’s Analyst, Project Manager, Account Manager, or relevant experience.

· An understanding of the System Design Life Cycle or Project Management Professional preferred.

· Strong computer skills including proficiency in Microsoft office computer applications such as Excel, Word, PowerPoint, and MS Project.

· Exceptional project management and organizational skills. Strong analytical and decision-making skills and advanced troubleshooting and problem-solving abilities. Ability to maintain performance level under varying degrees of pressure and uncertainty, and effectively dealing with situations for which few or no guidelines exist.

· Strong interpersonal and communication skills. Present themselves well to customers with the ability to communicate clearly and concisely, applying appropriate grammar; listen attentively before proposing solutions; present ideas in a logical, compelling manner in both small and large group settings; communicate technical information to a non-technical audience; and integrate large volumes of information from multiple sources.

· Initiative-taker with a powerful desire for achievement and ambition who can demonstrate the ability to lead a team while being an excellent “team player.”

This position reports to the Director, Client Operations & Success.

All interested candidates should visit www.ascent-corp.comand select the careers tab to apply for the position.

Ascent, LLC offers a full benefits package including medical, dental, vision, STD/LTD, life insurance, 401(k), PTO, paid holidays, casual work environment and more.

Ascent, LLC is an Equal Opportunity Employer

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Supplemental pay types:

Bonus opportunities

Work Location: In person",-1,Architectural & Engineering Services,$25 to $100 million (USD),"Construction, Repair & Maintenance Services",51 to 200 Employees,Company - Private,True
Technical Director - Business Analyst,"IBEW-NECA Service Center, Inc.","Saint Louis, MO",-1,-1.0,"Technology Director

IBEW-NECA Service Center
St. Louis, MO

ORGANIZATION OVERVIEW

The IBEW-NECA Service Center is a not-for-profit organization that provides benefits plan administration for International Brotherhood of Electrical Workers (IBEW) members on behalf of the IBEW and National
Electrical Contractors Association (NECA).

The Service Center provides services 18 employee benefit funds, affiliated with 9 IBEW Locals and 3 NECA Chapter offices and encompassing more than 10,000 participants.

POSITION OVERVIEW

To meet growth needs, the Service Center is seeking a Technology Director (TD) candidate. The TD role is a senior leadership position, reporting directly to the Executive Director, and is responsible for all oversight, operation, and maintenance of technology resources within the Service Center.

The TD also serves as compliance focal to ensure that Service Center operations meet or exceed industry standards as demonstrated by appropriate certifications.

ROLE AND RESPONSIBILITIES

Interface as the lead liaison with internal and external customers on Service Center systems
Maintain systems and operational compliance with required standards – SOC 2, ISO 27001, HIPAA
Establish and maintain a technology roadmap for all Service Center systems, including budget and schedule for maintenance, development, and deployment
Lead process improvement activities to identify and capture savings through better utilization of Service Center resources
Develop and administer protocols for asset and network security, including data retention, storage, and destruction
Generate and present cybersecurity risk evaluations and mitigation strategies
Provide mentorship to internal staff on technology resources, including best-practices and procedures
Position does not require direct supervision of employees

QUALIFICATIONS AND EDUCATION REQUIREMENTS

5+ years’ experience demonstrating increasing responsibility in an IT or Health Plan Administration system support roles
CompTIA Network+ and Security+ or equivalent certifications and/or experience demonstrating fundamental knowledge in the areas of network and asset security and risk management and data security compliance (SOC 2, ISO 27001)
Prior experience with Health Plan Administration systems and administration preferred
Fundamental project management experience, primarily budgeting and scheduling

IBEW-NECA Service Center provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Job Type: Full-time

Pay: Up to $1.00 per hour

Expected hours: 40 per week

Benefits:

401(k)
AD&D insurance
Dental insurance
Dependent health insurance coverage
Disability insurance
Health insurance
Life insurance
Paid holidays
Paid sick time
Paid time off
Prescription drug insurance
Retirement plan
Vision insurance

Compensation package:

Weekly pay

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in St. Louis, MO 63110",-1,-1,-1,-1,-1,-1,True
Business Analyst,"City of Columbia, MO
","Columbia, MO",$40.41 Per Hour (Employer est.),3.6,"The purpose of this job is to investigate, analyze, develop, and assist in implementing initiatives to improve efficiency and productivity. Creates current and target business process models. Generates business cases and makes recommendations about proposed projects. Captures business needs and determines functional and non-functional requirements.


Essential Duties and Responsibilities - The intent of this job description is to provide a representative summary of the major duties and responsibilities performed by employees in this job. Employees may be requested to perform job-related tasks other than those specifically presented in this description
Conducts business process modeling and creates applicable scenarios for proper testing of generated models.



Investigates, discovers, organizes, and clarifies business requirements. Prioritizes requirements for development.


Collaborates with functional area representatives and estimator(s) to define benefits and costs of the project, write and present business cases, and maintain alignment with business objectives.


Communicates, translates, and simplifies business requirements to ensure consistency and consensus from stakeholders.


Works with subject matter experts to translate requirements into specifications and ensures customer understanding of specifications.


Assesses change proposals, analyzing cost and impact. Defines solutions to achieve strategic goals and objectives.


Works with training team to develop and modify management/training plans.


Regular attendance is a necessary and essential function.


Performs other duties as assigned.


Supervisory Responsibilities
No supervisory authority. Work does require providing guidance and training to others.


Human Collaboration and Job Impact - This area describes the personal interaction with others outside direct reporting relationships as well as the impact the job has on organization, the department or unit objectives, the output of services, or employee or public satisfaction
Work may require providing advice to others outside direct reporting relationships on specific problems or general policies. Contact may require the consideration of different points of view to reach agreement. Elements of persuasion may be necessary to gain cooperation and acceptance of ideas.



Interactions have limited impact on the organization in terms of time, money, or public/employee relations.


Fiscal Responsibility
Position has limited fiscal responsibility.



May assist in the collection of data in support of recommendations for departmental budget allocations. May monitor division or program/promotional level budget and expenditures.


Education and Experience - An equivalent combination of education, training and experience will be considered
Education and Experience
Bachelor’s Degree in Computer Science, Business, Finance or related field



3 to 5 years’ experience in data analysis, business operations, project management, business functional requirements gathering, documentation and translation to IT technical requirements.

Licenses or Certifications
None.


Knowledge, Skills and Abilities which may be representative, but not all-inclusive of those commonly associated with this position
Knowledge of:
Software and methodologies used in the business analysis field.



Business operations, strategies and objectives.


Project management techniques and approaches related to requirements definition and quality assurance.

Skill in:
Process modelling.


Requirements and use case documentation.


Collecting, organizing, and analyzing complex and/or technical data.


Performing business and risk analyses.

Ability to:
Communicate verbally and in writing to meet the needs of the audience.


Compile, organize, interpret, and communicate data and results concisely.


Recognize, analyze, and solve problems.


Apply active listening and asking questions for understanding.


Prepare and present reports.


Apply logic and reasoning to evaluate the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.


Focus on tasks.


Work Environment – Environmental or atmospheric conditions commonly associated with the performance of the functions of this job
Work Environment
Office or similar indoor environment – Frequently/often




Exposures
Individuals who are hostile or irate – Sometimes


The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.
This position is relatively free from unpleasant environmental conditions or hazards and is generally sedentary.



Incumbents may be required to exert up to 10 pounds of force occasionally, a negligible amount of force frequently, and/or constantly having to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally, and all other sedentary criteria are met.


Hours/Days
Monday-Friday, 8 a.m. – 5 p.m.


Starting Salary
$27.68/hr (min); $34.05/hr (mid); $40.41/hr (max)


Pay Grade
109


Number of Positions Available
1


Deadline to Apply
12/01/2023


Open Until Filled
No


Special Instructions to Applicants
THIS IS NOT A REMOTE WORK POSITION


Notice to Applicants
Individuals needing accommodation to apply may call 573.874.CITY (2489)

TTY: 711 (MO RELAY)

THE CITY OF COLUMBIA IS A MERIT, AFFIRMATIVE ACTION, EQUAL OPPORTUNITY EMPLOYER: MALE / FEMALE

THE CITY OF COLUMBIA REQUIRES PRE-EMPLOYMENT DRUG TESTING

The City of Columbia participates in the federal E-Verify work authorization program",1820,Municipal Agencies,$100 to $500 million (USD),Government & Public Administration,1001 to 5000 Employees,Government,False
Business Analyst (Exempt),"Mercy
","Chesterfield, MO",$64K - $94K (Glassdoor est.),3.5,"We're a Little Different

Our mission is clear. We bring to life a healing ministry through our compassionate care and exceptional service.

At Mercy, we believe in careers that match the unique gifts of unique individuals - careers that not only make the most of your skills and talents, but also your heart. Join us and discover why Modern Healthcare Magazine named us in its ""Top 100 Places to Work.""

Overview:

Position performs to process accounts according to the state they are in the Self Pay accounts receivable
The tasks include aiding Patient Services peers and leadership in working with patient accounts to determine resolution to obtain payment.
The role is flexible with all the research, tasks, and audits as needed in the department to resolve issues and prevent gaps.
Analyst role is a mentor and performs education sessions with peers and leaders in managing receivables.
The incumbent will be asked to continuously develop their skills with Epic and desktop tools to best manage projects to serve where the volume of processing and supporting leadership is needed with projects using data and analytics.
It is the role of this position to learn the workflows, policies and procedures to ensure accurate processing, timeliness, and excellent communications in aiding peers, patients, leaders and other departments.
Partnership and communications is vital to excel in performance.
Performs duties and responsibilities in a manner consistent with our mission, values, and Mercy Service Standards.

Qualifications:

Education:High School Degree or equivalent

Experience: 3 year prior Revenue Cycle Experience preferred, or meets position specific responsibility and duties. Other Skills and Knowledge: Prefer the following: Intermediate to advanced Microsoft Word and Excel.

Expanded Epic knowledge with basic report writing.

Ability to collect and analyze data.

Excellent communication, customer service and problem solving skills required.

Certification/ Registration:HFMA Revenue Cycle Certification

We Offer Great Benefits:

Day-one comprehensive health, vision and dental coverage, PTO, tuition reimbursement and employer-matched retirement funds are just a few of the great benefits offered to eligible co-workers, including those working 32 hours or more per pay period!

We're bringing to life a healing ministry through compassionate care.

At Mercy, our supportive community will be behind you every step of your day, especially the tough ones. You will have opportunities to pioneer new models of care and transform the health care experience through advanced technology and innovative procedures. We're expanding to help our communities grow. Join us and be a part of it all.

What Makes You a Good Match for Mercy?

Compassion and professionalism go hand-in-hand with us. Having a positive outlook and a strong sense of advocacy is in perfect step with our mission and vision. We're also collaborative and unafraid to do a little extra to deliver excellent care - that's just part of our commitment. If that sounds like a good fit for you, we encourage you to apply.",1871,Health Care Services & Hospitals,$100 to $500 million (USD),Healthcare,10000+ Employees,Nonprofit Organization,False
Business Analyst IV,"Centene
",Missouri,-1,3.7,"You could be the one who changes everything for our 28 million members. Centene is transforming the health of our communities, one person at a time. As a diversified, national organization, you’ll have access to competitive benefits including a fresh perspective on workplace flexibility.


Position Purpose: Perform and lead various analysis and interpretation to link business needs and objectives for assigned function and implement process improvements.

Education/Experience: Bachelor’s degree in related field or equivalent experience. 6+ years of business process or data analysis preferably in healthcare or 5+ years of HEDIS analysis. Advanced knowledge of Microsoft Applications, including Excel and Access preferred. Project management experience preferred.


Our Comprehensive Benefits Package: Flexible work solutions including remote options, hybrid work schedules and dress flexibility, Competitive pay, Paid time off including holidays, Health insurance coverage for you and your dependents, 401(k) and stock purchase plans, Tuition reimbursement and best-in-class training and development.


Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",1984,Insurance Carriers,$10+ billion (USD),Insurance,10000+ Employees,Company - Public,False
OCM Analyst (Junior),"Hashmap
","Mexico, MO",$49K - $85K (Glassdoor est.),3.4,"NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a OCM Analyst (Junior) to join our team in CDMX, México (MX-MEX), Mexico (MX).


Client's business problem to solve?


Our Client is one of Leading Content and Streaming providing services in Mexico, NTT are getting into contract with Client to implement SAP ECC MM, SD and FICO modules. OCM activities such as training and adoption, journey experience maps and comms will support the deliverable of SAP modules.


Position's General Duties and Tasks

In these roles you will be responsible for:

Lead service delivery for Change Management business line: identifying business requirements, requirements management, functional design, process design (including scenario design, flow mapping), training, defining support procedures, leading work streams, and supporting implementations.
Provide Change Management consulting expertise utilizing industry experience, business analysis, best practices, and a pragmatic mindset to facilitate clients’ most complex requirements regarding Change management methodologies, Agile Project Management methodology or Digital Transformation needs.
Implement and deploy Change Management solutions accommodating unique industry business and management processes, regulatory requirements, and other business requirements.
Conduct business process mapping and requirements gathering sessions with new customers to determine project flows.

Requirements for this role include:

What are the required skills for this role? (3-5 at the most).

Points to emphasize:

3-5+ years of relevant consulting experience
3-5+ years of experience with Change Management projects
Strong oral and written communication skills, including presentation skills (MS Visio, MS PowerPoint)
Strong problem solving and troubleshooting skills with the ability to exercise mature judgment
Advanced English


Preferences: - Optional (nice-to-have’s)


OCM Prosci ADKAR certification or similar.

Required schedule availability for this position is Monday-Friday (00:00am to 00:00pm CST/EST/IST) . The shift timings can be changed as per client requirements. Additionally, resources may have to do overtime and work on weekend’s basis business requirement.

About NTT DATA Services

NTT DATA Services is a recognized leader in IT and business services, including cloud, data and applications, headquartered in Texas. As part of NTT DATA, a $30 billion trusted global innovator with a combined global reach of over 80 countries, we help clients transform through business and technology consulting, industry and digital solutions, applications development and management, managed edge-to-cloud infrastructure services, BPO, systems integration and global data centers. We are committed to our clients’ long-term success. Visit nttdata.com or LinkedIn to learn more.

NTT DATA Services is an equal opportunity employer and considers all applicants without regarding to race, color, religion, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other characteristic protected by law. We are committed to creating a diverse and inclusive environment for all employees. If you need assistance or an accommodation due to a disability, please inform your recruiter so that we may connect you with the appropriate team.",1967,Information Technology Support Services,$10+ billion (USD),Information Technology,10000+ Employees,Company - Public,False
Business Analyst I,"Thermo Fisher Scientific
","Saint Louis, MO",$60K - $80K (Glassdoor est.),3.6,"Business Job Title: Business Analyst I

Internal Job Title: Business Analyst I

When you’re part of the team at Thermo Fisher, you’ll do important work, like helping customers in finding cures for cancer, protecting the environment or making sure our food is safe. Your work will have real-world impact, and you’ll be supported in achieving your career goals!

Responsibilities:

Successful completion of Quality initiatives by supporting assigned strategic projects.
Development of training tools / job aids / work instructions on a “as needed” basis to support ongoing business needs.
Preform system audit as a functional lead when described by SOPs.
Involvement in rollout of systems to site. Develop associated documentation and process for users.
Dedicated SME for specified related system (e.g. LIMS, TrackWise, PIMS, or DMS). This person will be heavily involved into the system processes and changes that are associated with this system.
Involvement in activities to support Enterprise Computer Systems such as TrackWise, LIMS, eDMS; up to and including execution of action items in support of system implementation and maintenance of electronic systems.
Establish business and customer relationships, understand the global business processes, and assists with project charters, test plans, and requirements specifications in a GXP environment. Assists in the execution of test plans.
Interact with the service delivery and solutions delivery teams to understand reported issues and the operations of the systems.
Apply full development life cycle methodology, including requirements gathering, process maps, and ensure the design stays true to the requirements so the delivered solution meets requirements.
Reconcile differences and distinguish between business and technical needs. Report system issues, as appropriate, to the assigned ETO / IT Team.
Write clearly and succinctly in a variety of communication tools (memos, presentations, reports, etc.). Deliver sophisticated messages/subjects matter in a style that is simple and easy to understand and appropriate for the audience.
Liaise between the business, technology teams and support teams.
Lead department investigation for minor deviations and associated CAPAs.
Other duties as assigned.

Minimum Qualifications:

Possible experience with Enterprise Software preferred (i.e. TrackWise, eDMS, LIMS, etc.).
One to three years of GMP experience or other highly regulated industry experience required. Some exposure to computer validation within a manufacturing or quality environment required.
Attention to detail.
Demonstrates self-discipline and motivation in all aspects of job performance.
Experience with System Development Lifecycle methodologies and validated systems.
Able to work in a high-pressure team environment, handle various tasks and react quickly to networking problems and issues.
Strong verbal and written communication skills to interact professionally with a diverse group, technicians, management, and SMEs.

Preferred Qualifications:

Relevant technical certificates a plus.

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate

on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin,

protected veteran status, disability or any other legally protected status.",1902,Biotech & Pharmaceuticals,$10+ billion (USD),Pharmaceutical & Biotechnology,10000+ Employees,Company - Public,False
Business Analyst (Ahold Delhaize),"Nestlé Purina Pet Care
","Saint Louis, MO",$65K - $90K (Glassdoor est.),3.8,"Business Analyst (Ahold Delhaize)


We’re a leader in the pet care industry, which means we’re not only ahead in volume, profit and market share, but our associates dare to Stand Taller. We innovate new products, impart new agilities into existing processes, constantly advance pet nutrition, and always pay it forward in the form of service for our communities and families. Are you up for the dare?


This position is not eligible for Visa Sponsorship.


Position Summary


It takes ALL of us to do what we do at a world-class level, but it’s the insights, data and subject matter expertise our Business Analysts bring to the table that makes us a long-standing leader in the larger pet care Category. We give you the high charge of integrating customer business plans, providing internal and external promotional analysis, leveraging analytical data/insights and developing portfolio recommendations to achieve overall sales, market share and profit objectives. You’ll be supported by a larger customer facing team in our Purina Sales department.
We offer opportunities at the global scale and cross-functional experiences that will diversify your knowledge, insight and your background. So, if your full potential could be unleashed, what would you add to the mix?


Develops 4P Purina portfolio recommendations to drive growth within the assigned business unit
Provides business overview and analysis to customer teams on progress against market and Joint Business Planning (JBP) objectives
Assess competitive market activity and provide analytics around risks/opportunities to the Purina portfolio
Partner with Finance to deliver promotional recommendations on the Purina portfolio to maximize market impact
Provide data and recommendations around 4P strategy for new distribution (shelf recommendation, promotion strategy, pricing) using market data
Provide insights and analytics to support JBP development objectives and initiatives
Attend monthly retail team meetings to provide business updates, opportunities, or promotional/product mix improvements and key quarter priorities
Provide ad-hoc reporting and communication for retail initiatives


Requirements
Bachelor’s Degree from an accredited institution
1+ years of experience in category development, business analytics, sales, or marketing
1+ years of experience in retail sales


Other
Previous experience with Nielsen/IRI/Power BI, or RSI syndicated data preferred
Must be able to travel up to 15% or as business needs require


REQUISITION ID
270839


It is our business imperative to remain a very inclusive workplace.


To our veterans and separated service members, you're at the forefront of our minds as we recruit top talent to join Nestlé. The skills you've gained while serving our country, such as flexibility, agility, and leadership, are much like the skills that will make you successful in this role. In addition, with our commitment to an inclusive work environment, we recognize the exceptional engagement and innovation displayed by individuals with disabilities. Nestlé seeks such skilled and qualified individuals to share our mission where you’ll join a cohort of others who have chosen to call Nestlé home.


The Nestlé Companies are an equal employment opportunity and affirmative action employer seeking diversity in qualified applicants for employment. All applicants will receive consideration for employment without regard to race, ethnicity, color, gender, gender identity, age, religion, national origin, ancestry, disability, perceived disability, medical condition, genetic information, veteran status, sexual orientation, or any other protected status, as defined by applicable law. Prior to the next step in the recruiting process, we welcome you to inform us confidentially if you may require any special accommodations in order to participate fully in our recruitment experience. Contact us at accommodations@nestle.com or please dial 711 and provide this number to the operator: 1-800-321-6467.


This position is not eligible for Visa Sponsorship.


St. Louis, MO, US, 63102
Boston, MA, US, 02199�
Charlotte, NC, US, 28277",1894,Consumer Product Manufacturing,Unknown / Non-Applicable,Manufacturing,10000+ Employees,Subsidiary or Business Segment,False
