Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Guidewire Senior Business & Quality Assurance Analyst,"The Reserves Network Inc
","Omaha, NE",$120K - $125K (Employer est.),4.0,"Guidewire Senior Business & Quality Assurance Analyst needed to fill a new position for a dynamic insurance organization headquartered in downtown Omaha, NE. Apply today to take advantage of this exciting opportunity!

WHAT IS GREAT ABOUT THIS OPPORTUNITY


This Guidewire Senior Business & Quality Assurance Analyst role is a Direct Hire position
Flexible HYBRID schedule for candidates local to Omaha, NE – 1 day per week in office
REMOTE options available for select candidates
SALARY: $120000 - $125000 per year with some flexibility based on skills and experience
Financially strong and stable company with years of success
An exciting, friendly, “small company” atmosphere
DO YOU ALIGN WITH THESE KEY QUALIFICATIONS

Required Qualifications:

Bachelor's degree in business or related field or equivalent
Knowledge of Agile methodologies (Scrum, Kanban, etc.)
3+ years related work experience including business processes
1+ years of Guidewire PolicyCenter configuration or development experience
Guidewire PolicyCenter BA Ace Certification
Experience with one full implementation of Guidewire PolicyCenter
Knowledge of Insurance coverages, rating schemes, and insurance products
Personal computer and related spreadsheet and data manipulation software
Knowledge of technology testing methods and procedures
Preferred Knowledge:

Knowledge of property casualty rating and policy coverages and endorsements
5+ years related work experience including business processes
Principles of process analysis and project management
Familiarity with continuous delivery and continuous integration
Quality assurance accreditation
SQL knowledge
WHAT WILL SUCCESS LOOK LIKE

In this Guidewire Senior Business & Quality Assurance Analyst role you will use your communication skills to work with all business levels to understand processes and requirements. This is a cross functional role that focuses on capturing, understanding, and configuring the business requirements within Guidewire PolicyCenter and other InsuranceSuite (Guidewire) products.

WHAT WILL YOU DO


Work with Product Owners, subject matter experts (SMEs) and business teams to understand the overall business flows.
Participate and collaborate on an Agile development team by completing requirements gathering and story writing.
Define improvements to business processes and configuration within the Guidewire products.
Assist decision-makers in gathering information to make informed decisions.
Assist with identifying, writing, and executing the detailed requirements of test cases.
Participate in Automated testing.
Train other Analysts in Guidewire products, configuration, and testing principles.
WHAT WILL YOU RECEIVE

Gain access to The Reserves Network:

Partnership with experienced recruiters that will advise you on all aspects of your job search and career aspirations
Our network has direct access to hiring managers and we will get your resume to the top of the pile of submissions for this opportunity and many more like this
Long-term career partner who will provide you with market intelligence and guidance
Client Benefits:

Industry competitive salary based on your experience/qualifications
Health, Vision, Dental, Life and Disability Insurance
401(k) plan with company match
Tuition Reimbursement
PTO
& Much more!

DO YOU WANT TO KNOW MORE

If you have a background that lines up well with the Guidewire Senior Business & Quality Assurance Analyst description and are interested in learning more about this opportunity, apply below NOW!

Studies have shown that people are less likely to apply for jobs unless they meet every qualification. At The Reserves Network we strive to provide the best experience and opportunities for everyone, so if you are excited about this role but your experience doesn’t align perfectly with every qualification listed, we still encourage you to apply. You may be the right candidate for this or other available roles we have.

PLEASE NOTE:

Those legally authorized to work in the U.S. are encouraged to apply *
We CAN NOT accept 3rd party candidates*
We are unable to sponsor or transfer visas*
#TECH1",-1,Staffing & Subcontracting,Unknown / Non-Applicable,Human Resources & Staffing,Unknown,Company - Private,True
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
IT Business Analyst,"Cobalt Credit Union
","Papillion, NE",,3.2,"IT Business Analyst

Cobalt Credit Union - Headquarters

7148 Towne Center Parkway

Papillion, NE 68046

The Business Analyst role is an in-person position in Papillion, Nebraska.

As our IT Business Analyst, you will be responsible for understanding, testing, documenting, supporting, and analyzing a variety of systems and applications as well as the procedures that support these systems. The Business Analyst will also be responsible for testing changes and maintenance items for integration into these systems. This position requires effective prioritization, communication, and organization skills. This position will also regularly interface with our internal customers to ensure the system is meeting their required needs.

Education and/or Experience Requirements

Bachelor’s degree in a related field is preferred.
Associates Degree required or equivalent experience in technology or the banking industry.
Minimum of 2 years’ experience in the financial industry required.
Experience with SQL and Oracle
Experience in developing and executing testing plans.

Cobalt Credit Union, based in Papillion, Nebraska, employs over 250 team members throughout our twenty-seven locations. Cobalt Credit Union was established in 1946 to serve the military and we now offer our services to all community members within the counties that we serve. As a not-for-profit company, our mission is to be our members' trusted financial partner providing tailored solutions to support them throughout their life events. As an organization we believe in developing our employees through ongoing training and individualized coaching. We are a family oriented culture who cares about our employees and we pride ourselves on offering our employees growth opportunities within the organization.

You will provide exceptional customer service and dedicated support to the entire credit union. You will create a lasting impression within the organization as you communicate with your teammates. It’s important that you maintain a high level of confidentiality, security, and safety.

Equal Opportunity Employer/Vet/Disabled

Job Type: Full-time

Pay: $25.57 - $35.16 per hour

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Experience level:

2 years

Schedule:

Monday to Friday
On call
Weekends as needed

Ability to commute/relocate:

Papillion, NE 68046: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Associate (Preferred)

Experience:

Financial industry: 2 years (Preferred)
SLQ: 1 year (Preferred)
Oracle: 1 year (Preferred)

Work Location: In person",1946,Banking & Lending,Unknown / Non-Applicable,Financial Services,201 to 500 Employees,Company - Public,True
"Sr Analyst, Business","Molina Healthcare
","Omaha, NE",$55K - $107K (Employer est.),3.4,"JOB DESCRIPTION

Job Summary

Analyzes complex business problems and issues using data from internal and external sources to provide insight to decision-makers. Identifies and interprets trends and patterns in datasets to locate influences. Constructs forecasts, recommendations and strategic/tactical plans based on business data and market knowledge. Creates specifications for reports and analysis based on business needs and required or available data elements. Collaborates with clients to modify or tailor existing analysis or reports to meet their specific needs. May participate in management reviews, including presenting and interpreting analysis results, summarizing conclusions, and recommending a course of action. This is a general role in which employees work with multiple types of business data. May be internal operations-focused or external client-focused.

KNOWLEDGE/SKILLS/ABILITIES

Elicit requirements using interviews, document analysis, and requirements workshops, business process descriptions, use cases, business analysis, task and workflow analysis.
Interpret customer business needs and translate them into application and operational requirements
Communicate and collaborate with external and internal customers to analyze and transform needs, goals and transforming in to functional requirements and delivering the appropriate artifacts as needed.
Work with operational leaders within the business to provide recommendations on opportunities for process improvements, medical cost savings or revenue enhancements.
Create Business Requirements Documents, Test Plans, Requirements Traceability Matrix, User Training materials and other related documentations.
Actively participates in all stages of project development including research, design, programming, testing and implementation to ensures the released product meets the intended functional and operational requirements.

JOB QUALIFICATIONS

Required Education

Bachelor's Degree or equivalent combination of education and experience

Required Experience

5-7 years of business analysis experience,
6+ years managed care experience.
Demonstrates proficiency in a variety of concepts, practices, and procedures applicable to job-related subject areas.

Preferred Education

Bachelor's Degree or equivalent combination of education and experience

Preferred Experience

3-5 years of formal training in Project Management
Experience working with complex, often highly technical teams

Preferred License, Certification, Association

Certified Business Analysis Professional (CBAP), Certification from International Institute of Business Analysis preferred




Pay Range: $54,922 - $107,099

Actual compensation may vary from posting based on geographic location, work experience, education and/or skill level.

To all current Molina employees: If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.",1980,Insurance Carriers,$10+ billion (USD),Insurance,10000+ Employees,Company - Public,False
Senior Business Intelligence Analyst (IT),"MTF Biologics
",United States,-1,3.7,"Overview/Risks:
Serve as technical team leader and work closely with business and technical partners across the enterprise to enable the implementation of end-to-end Business Intelligence solutions. Possess exceptional data transformation, warehousing and automation skills, as well as interpersonal skills to work cross-functionally and drive better data access and holistic analytics. Play a key role in the architecture, delivery and governance of reporting and data delivery
Responsibilities:
Manage reporting environments including data warehouse, data sources, security, licensing, and metadata.
Ensure evolving data warehouse is in lockstep with evolving analytics and reporting use cases, and partner with the infrastructure team to ensure the data warehouse scales with growth.
Responsible for planning, designing, configuring, developing, testing, deploying and supporting ETL/BI solutions. Develops and uses ETL applications to perform data analysis, create technical designs and provide applications support.
Partner cross-functionally with our infrastructure, engineering, and analytics teams to define and drive optimized data access and data-informed decision-making across the organization.
Write complex SQL scripts to extract data from variousdatabases and systems to make data available for enterprise reporting.
Responsible for establishing and maintaining data normalization and data integrity.
Facilitate automation of analytical and operational tasks and processes.
Create ope rational metrics and KPIs to improve data quality and operational efficiency.
Establish data management best practices to ensure completeness, cleanliness, and consistency across the entire data lifecycle.
Identify and revise enterprise reporting requirements.
Responsible for evaluation, installation, testing, implementation, maintenance and troubleshooting of new or upgraded BI Applications.
Troubleshoot reported problems pertaining to BI tools and database environments, working closely with other IT members, especially DBAs, Systems Analysts, BI Analysts and Systems Engineers, identifying the cause and designing / developing an approach for resolution.
Assess impact of changes and updates to source production systems, planning and implementing resulting changes to reports and dashboards.
Governance / Best Practices – adhere and contribute to enterprise data governance standards. Also educates andsupports colleagues in best practices to ensure that data is used appropriately.
Conduct end user training on BI systems.
Perform system administrator functions within software, including maintaining configuration of software, account management, maintaining system security.


Qualifications:
MINIMUM QUALIFICATIONS
Education: Bachelor's Degree, Masters Degree (Combination of Education and/or Equivalent Work
Experience)
Other MSCE a plus
Other CBIP a plus

Years of Experience:
Minimum Years of Experience
Area of experience
7 Years Experience with business intelligence platforms
5 Years Strong working knowledge of data-warehousing, ETL, automation and reporting
5 Years Exceptional data retrieval and handling skills using SQL (or other scripting languages) Data modeling and data analysis skills with a strong customer focus.
5 Years System administration and security
3-5 years of Experience with Power BI.

Specialized Knowledge, Technical Skills, and Abilities

Ability to interface with various levels of the business and across various functional groups.
Strong technical documentation skills.
Excellent communication skills (written and verbal) and organizational skills.
Ability to work with minimal supervision.
Ability to think creatively and critically.
Ability to thrive in a fast paced, dynamic, & often ambiguous work environment.

#INDMTF",1987,Health Care Services & Hospitals,$100 to $500 million (USD),Healthcare,1001 to 5000 Employees,Nonprofit Organization,False
HR Operations Analyst,"Kaztronix
",United States,$29.00 Per Hour (Employer est.),3.6,"The Global HR Operations team is responsible for delivering reliable, high-quality operational support for a wide range of key HR business processes and services across multiple channels and platforms. We are seeking to hire an HR Operations Analyst to join our Global HR Operations Team as we continue to expand and grow globally. We are looking for an enthusiastic problem-solver who has excellent attention to detail with a passion for organization, clean data and coordinating projects, utilizing all of these attributes.

Duties include: Provide administrative support for all offboarding (voluntary and involuntary) projects. Act as an audit point for any offboarding activities. Maintain and update HCM for any employee activities as needed. Provide support with backlog filing, scanning and archiving projects along with any new projects. Management of employee documentation both digitally and manually, where required. Support the movement of data between core HR systems and downstream systems including Payroll, Equity, and Benefits. Ensure that all transactions are accurate and compliant with current SOX and internal control guidelines. Requirements: HR Domain Knowledge with at least 1-2 years experience in an operations role. Exceptional customer service skills with a continuous improvement mentality. Ability to work complex issues, attention to detail, process re-engineering. Ability to partner with multiple HR colleagues, partners and clients internationally.

Preferred Qualifications: BA/BS Degree Experience with HR Management Systems (Workday, ServiceNow, PeopleSoft). Intermediate-level skills in Microsoft Office. Experience in an HR Shared Services or HR Operations environment.

Kaztronix is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, sex, age, religion, disability, veteran status or any other consideration made unlawful by federal, state or local laws. In addition, all human resource actions in such areas as compensation, employee benefits, transfers, layoffs, training and development are to be administered objectively, without regard to race, color, religion, age, sex, national origin, disability, veteran status or any other consideration made unlawful by federal, state or local laws.

By applying to the position, you acknowledge that your information will be used by Kaztronix in processing your application.",2002,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
Business Analyst I,"University of Nebraska at Omaha
","Omaha, NE",$65K - $80K (Employer est.),4.1,"NOTE: All interested parties must apply at unomaha.peopleadmin.com. Materials submitted by other means will not be considered.

GENERAL REQUISITION INFORMATION

EEO Statement:
The University of Nebraska does not discriminate based on race, color, ethnicity, national origin, sex, pregnancy, sexual orientation, gender identity, religion, disability, age, genetic information, veteran status, marital status, and/or political affiliation in its education programs or activities, including admissions and employment. The University prohibits any form of retaliation taken against anyone for reporting discrimination, harassment, or retaliation for otherwise engaging in protected activity. Read the full statement.

Job Title
Business Analyst I

Job Grade
IT22-S

Division
Institutional Effectiveness and Student Success

College/Dept
Systems Intelligence and Data Analytics

Department
SIDA

Requisition Number
2023-00300

FTE (full-time equivalency)
100

Work Schedule
8-5 M-F

Does the position provide the opportunity to work Remotely/Telecommuting?
Yes – partial remote/telecommute opportunity

Appointment Term
12- 12/12 months

Pay Information
65,000-80,000

Pay Schedule
Annually

FLSA Designation
Exempt

Position Summary
This position’s primary responsibility is to develop new reporting tools and document the business definitions and data of the university. The position acts as a liaison between project stakeholders, Information Technology Services (ITS), end users, university leadership, and external stakeholders. Work requires frequent data analysis, requirements management, documenting and recommending solutions, and project management. This individual will also be involved in the implementation, administration and maintenance of various infrastructure applications used by the university.

Job Duties

Responsibility Area:
Project Management

Duties:
Participate in the selection and prioritization of projects. Assist with strategic projects from initiation through close, ensuring a standard methodology is followed.

Percentage Of Time
15

Essential Function:
Yes

Responsibility Area:
Business Analysis

Duties:
Establish relationships with project stakeholders. Creates data analysis tools for end users. Elicit requirements. Document requirements. Manage requirements. Conduct stakeholder analysis and readiness assessments. Performs data analyses using common business intelligence methods and tools.

Percentage Of Time
30

Essential Function:
Yes

Responsibility Area:
Documentation

Duties:
Document data usage methodologies and sources. Facilitate standardization and documentation of reporting terminology to expedite adoption of solutions.

Percentage Of Time
25

Essential Function:
Yes

Responsibility Area:
Mentoring

Duties:
Act as a department resource for matters of business analysis, project management and change management by providing consulting support and developing department standards, templates, and strategies. Provides functional support and training to UNO staff members.

Percentage Of Time
10

Essential Function:
Yes

Responsibility Area:
Learning

Duties:
Continually learn by researching trends and best practices on campus, in the higher education industry, and in client relationship management and data analytics tools to be a resident expert.

Percentage Of Time
15

Essential Function:
Yes

Responsibility Area:
Other

Duties:
Additional duties as assigned.

Percentage Of Time
5

Essential Function:
Yes

Required and Preferred Qualifications

Required Education
Bachelor’s degree preferably in business/management information systems/other technology-related field, or equivalent work experience

Required Experience
NA

Required License/Certification
NA

Required Additional Qualifications:
NA

Preferred Education
NA

Preferred Experience
Experience utilizing SalesForce CRM, PeopleSoft Campus Solutions, and data visualization tools (Tableau, PowerBI, or similar). Experience with data modeling and SQL. Experience in higher education.

Preferred License/Certification
NA

Preferred Additional Qualifications:
NA

Compliance Requirements

Credit Check
Yes

Motor Vehicle Licensing Validity Check
Yes

Pre-employment Physical Request and Assessment
No

Drug Screen
No

Job Type: Full-time

Pay: $65,000.00 - $80,000.00 per year

People with a criminal record are encouraged to apply

Work Location: In person",1869,Colleges & Universities,Unknown / Non-Applicable,Education,10000+ Employees,College / University,False
Associate Business Services Analyst - Travel & Expense,"CONAGRA
","Omaha, NE",$61K - $81K (Glassdoor est.),3.7,"Reporting to the Manager of Business Services, you will be responsible for supporting successful collaboration with internal and external customers and/or suppliers to meet our needs within the Global Business Services organization. You will responds to information requests and communicate the impact to partners. The responsibilities of this role could span across all teams within Global Business Services, including Accounts Receivable, Accounts Payable, the Center of Excellence, Vendor Management, Data Management, and Customer Order Management.

You will:

Help gather and interpret data with various levels of problem solving

Identify problems and opportunities, recommending solutions

Create reporting and metrics; provide analysis that drives action/ resolution

Present findings that assist understanding, alignment, and informed decision making.

Help support problem solving, improving business processes and customer requests

Work throughout the company and with various levels within the organization

Document business process and recommend process improvements

Exercise judgment in financial, operational or transactional analysis to identify and help resolve issues

Support work in an ambiguous and dynamic business environment

Ability to multi-task

Demonstrates ability to work both independently and in a cross functional team

Work across geographies and cultures

Practice influence and peer collaboration; gets work done through others

Escalation contact for internal and external partners.

Exemplifies our values of Integrity, External Focus, Broad-mindedness, Agility, Leadership and Results while creating a vibrant culture

You Have:

Bachelor’s degree in business related field and/or up to 3 years related business experience required

Strong communication skills, written and verbal

Able to work independently or under general supervision

Detail-oriented

Intellectual curiosity

Self-starter with ability to work independently

Proficient Microsoft Office skills including Word, Excel, PowerPoint and Outlook

Domestic and International travel may be required

Work and perform in a fun, agile and fast paced business environment

This role is hybrid with 3 days per week on our Omaha, NE office: Tues, Weds & Thurs

#LI-MC1

#LI-Associate

#LI-Hybrid

Our Benefits:

We care about your total well-being and will support you with the following, subject to your location and role:

Health: Medical, dental and vision insurance, company-paid life, accident and disability insurance
Wealth: great pay, incentive opportunity, matching 401(k) and stock purchase plan
Growth: online courses, virtual and classroom development experiences
Balance: paid-time off, parental leave, flexible work-schedules (subject to your location and role)

Our Company:

Conagra Brands is one of North America's leading branded food companies. We have a rich heritage of making great food, and a team that’s passionate about innovation and growth. Conagra offers choices for every occasion through iconic brands, such as Birds Eye®, Marie Callender's®, Banquet®, Healthy Choice®, Slim Jim®, Reddi-wip®, and Vlasic®, and emerging brands, including Angie's® BOOMCHICKAPOP®, Duke's®, Earth Balance®, Gardein®, and Frontera®.

We pride ourselves on having the most impactful, energized and inclusive culture in the food industry. For more information, visit www.conagrabrands.com.

Conagra Brands is an equal opportunity employer and considers qualified applicants for employment without regard to sex, race, color, religion, ethnic or national origin, gender, sexual orientation, gender identity or expression, age, pregnancy, leave status, disability, veteran status, genetic information and/or any other characteristic or status protected by national, federal, state or local law.",1919,Food & Beverage Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Sales Analyst I,"Flowers Bakeries, LLC
",United States,-1,3.5,"The primary goal of the Sales Analyst I is to support Kroger sales team, competitive and/or market intelligence reporting of the company by efficiently building and maintaining reports in Business Objects (Sales Data Warehouse), IRI, AC Nielsen or other systems as directed. The Associate Sales Analyst provides database, report, master data and application validation for the reporting applications that they are assigned and support. They utilize test plans that have been developed by senior members of the team. They provide analysis for the management team as requested. Objective analysis, solid spreadsheet technical knowledge, word processing, written presentation preparation, and clear communication skills are required. Requires constant interaction with work group and other departments at the primary work location. Position requires demonstration of competency for all on-the-job activities that may have a direct or indirect effect on product safety, legality and/or quality.

Job Responsibilities
Responsibilities include, but are not limited to:

Provide support to the sales, marketing and management team by providing analysis and reports from the available tools such as AC Nielsen, IRI, Consumer Panel Data, Sales Data Warehouse, Retailer’s systems.
Support the team by completing spreadsheets and forms that support established business processes.
Continually measure, monitor and modify tactics to show progress against the team’s strategic goals.
Practices and complies with all Company policies and procedures (EEO, Harassment, Safety, Sarbanes Oxley, etc.). Performs other duties which are deemed by management to be an integral part of the job, including but not limited to fulfillment of work schedules, adherence to attendance policies, and other applicable operating rules, policies and procedures.

Desired Experience
1+ years of sales analytic or related experience (preferred)
Desired Education
Bachelor’s degree in related field.

We offer a competitive salary and an excellent total rewards package. Please reply by 12/07/2023. Resumes are active for 30 days. Interested job seekers who successfully complete the series of pre-screening questions and who appear to possess the basic qualifications for this position may be contacted for a telephone interview.


Equal Opportunity Employer/Veterans/Disability


If you need assistance with submitting your resume due to a medical condition or disability, please send an e-mail to Malinda Gwen Black at Malinda.Black@flocorp.com or 334 707-1986 .",1919,Food & Beverage Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Business Analyst,"Client Resources, Inc.
","Omaha, NE",$58K - $80K (Glassdoor est.),3.7,"About the job

Our Business Analysts are instrumental to our development team, translating customer/market needs into software solutions. As we continue to grow, we are looking for a skilled Business Analyst who enjoys a challenge every day to help develop solutions within a cross-functional, Agile development team.


Responsibilities And Duties


Write concise and compelling user stories. Define user story acceptance criteria for developers, quality analysts, and product owners to ensure that the product owners’ intent is effectively captured.
Collaborate with customers, stakeholders, product owners, architecture, and design teams to discover, define, and design features to meet user needs and enhance the user experience.
Gather requirements through various methods, including customer interviews, questionnaires, surveys, workflow, process analysis, observation, and other methods. Distinguish user requests from user needs.
Actively engage in all aspects of an Agile development team, including planning, retrospecting, product demonstrations, and daily stand-ups.
Collaborate with the product owner to understand and share product goals and vision within the team.
Develop expert knowledge of our customer base, industry, and products.
Arrange and perform user acceptance testing or customer reviews with internal and external stakeholders.
Review test plans to verify they meet the acceptance criteria and intent of user stories.
Write or review supporting documentation for the software, such as release notes, help documentation, articles, and features.



Knowledge, Skills, And Abilities


Excellent listening, written, and oral communication skills.


Cross-functional member of Agile development team.


Expert knowledge of decomposing product needs to agile user stories.


Ability to facilitate customer interviews.


Strong knowledge and application of Agile methodology.


Excellent analytical, critical thinking, and creative problem-solving abilities.


Experience working in a team-oriented, collaborative environment.


Superior presentation and negotiation skills; able to exercise independent judgment.


Logical and efficient, with keen attention to detail.


Strong adaptability and capacity to work on multiple projects.


Education And Experience


Bachelor’s degree or higher in Business Analysis, Business Administration, MIS, or related fields


Two to five years of Business Analyst experience


Strong background in software development lifecycle, project management, and business analyst best practices",1999,Information Technology Support Services,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,False
