Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Technology Business Analyst- Contractor,"EY
",United States,$55.00 - $85.00 Per Hour (Employer est.),3.9,"We currently have a contract opportunity for a Technology Business Analyst- Contractor.

Lead the effort to plan, scope, gather, understand and analyze business requirements, and translates business requirements into functional and non-functional requirements
Apply business analysis knowledge areas and creativity to drive requirements work effort ranging from planning, elaboration, analysis, validation to communication through the different stages of the requirements lifecycle
Lead the effort to engage with business and technology partners to clarify application functions, processes and data flow to align business and technology capabilities or constraints
Integrate the solution into the business workstreams, which may include the provision of enablement materials and training agenda to facilitate adoption and integration of the product and processes into the business cycle
Verify, through different testing practices (ex. UAT), that the solutions meet the functional specifications and resolve specified business problems
Have awareness of technology components and their relevancy to the functional modules, especially their advantages in advancing business position and improving user journey
Skills

devops

agile

Qualifications
Bachelor's degree in Business Administration, Business Management, Computer Science, Engineering or related field preferred
At least 5 years of experience with significant role interacting with business and technology leaders to define business operations, workflows and technology solutions
Experienced and accountability in the functional architecture of products, product portfolios or solution accelerator with at least $3m of investment, $1m if using leading cutting edge innovative technologies
Have experience in Agile framework participating directly in Agile practices and producing common artifacts
Understand product development and delivery framework especially Agile framework, DevOps practices and micro services

The expected pay rate range for this contract assignment is $55 to $85 per hour. Exact pay rate will vary based on skills, experience, and location.

GigNowOpportunities

#GigNowTechOpportunities

Equal Employment Opportunity Information
EY provides equal opportunities to applicants, employees, contractors, vendors, and stakeholders without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, pregnancy, genetic information, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, in accordance with applicable law. If you are an individual with a disability and either need assistance applying online or need to request an accommodation during any part of the application process, please email gignow.recruiting@ey.com.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Unknown,False
Senior Business Analyst - AWS Cloud Migration - NH,"Motion Recruitment
","Portsmouth, NH",,3.4,"Our client in Portsmouth, NH is one of the largest independent suppliers of energy/materials handling services in the Northeast. Currently, they are looking for a Business Analyst to assist them in a major cloud migration from on prem to AWS. They’re hoping for someone to come in and hit the ground running so migration experience is huge for them.

This role would require you to come onsite to Portsmouth, NH once a week. Required Skills & Experience
3+ Years of experience as a Business Analyst
Experience in going through a cloud migration from on prem to AWS
Knowledge of ERP systems like Oracle or NetSuite
Desired Skills & Experience
Knowledge of the oil & gas industry
Bachelor's degree
Strong communication skills
What You Will Be Doing
You will be joining the company to assist them in undergoing a large cloud migration from on prem to the cloud.
You will receive the following benefits:
Medical Insurance
Dental Benefits
Vision Benefits
Paid Time Off (PTO)
401(k) {including match- if applicable}

Applicants must be currently authorized to work in the US on a full-time basis now and in the future.",1989,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Sales Analyst I,"Flowers Bakeries, LLC
",United States,-1,3.5,"The primary goal of the Sales Analyst I is to support Kroger sales team, competitive and/or market intelligence reporting of the company by efficiently building and maintaining reports in Business Objects (Sales Data Warehouse), IRI, AC Nielsen or other systems as directed. The Associate Sales Analyst provides database, report, master data and application validation for the reporting applications that they are assigned and support. They utilize test plans that have been developed by senior members of the team. They provide analysis for the management team as requested. Objective analysis, solid spreadsheet technical knowledge, word processing, written presentation preparation, and clear communication skills are required. Requires constant interaction with work group and other departments at the primary work location. Position requires demonstration of competency for all on-the-job activities that may have a direct or indirect effect on product safety, legality and/or quality.

Job Responsibilities
Responsibilities include, but are not limited to:

Provide support to the sales, marketing and management team by providing analysis and reports from the available tools such as AC Nielsen, IRI, Consumer Panel Data, Sales Data Warehouse, Retailer’s systems.
Support the team by completing spreadsheets and forms that support established business processes.
Continually measure, monitor and modify tactics to show progress against the team’s strategic goals.
Practices and complies with all Company policies and procedures (EEO, Harassment, Safety, Sarbanes Oxley, etc.). Performs other duties which are deemed by management to be an integral part of the job, including but not limited to fulfillment of work schedules, adherence to attendance policies, and other applicable operating rules, policies and procedures.

Desired Experience
1+ years of sales analytic or related experience (preferred)
Desired Education
Bachelor’s degree in related field.

We offer a competitive salary and an excellent total rewards package. Please reply by 12/07/2023. Resumes are active for 30 days. Interested job seekers who successfully complete the series of pre-screening questions and who appear to possess the basic qualifications for this position may be contacted for a telephone interview.


Equal Opportunity Employer/Veterans/Disability


If you need assistance with submitting your resume due to a medical condition or disability, please send an e-mail to Malinda Gwen Black at Malinda.Black@flocorp.com or 334 707-1986 .",1919,Food & Beverage Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Jr. PLM Business Systems Analyst,"Albany International Corp.
","Rochester, NH",$65K - $95K (Glassdoor est.),3.9,"About Albany International / Albany Engineered Composites

Albany International is a global advanced textiles and materials processing company with two core businesses: Machine Clothing which is the world's leading producer of custom-designed fabrics and belts essential to production in the paper, nonwovens, and other process industries; Albany Engineered Composites which is a rapidly growing supplier of highly engineered composite parts for the aerospace industry.

Albany Engineered Composites, Inc. (AEC) designs, develops, and manufactures advanced composite components. Our core strength is our ability to produce highly tailored, complex composite parts, with a focus on AEC's unique 3D reinforced composite technology. Our products often enable our customers to use lightweight, high-performance composites in applications where they previously have been unable to because of complex performance or geometry needs. For example, we help customers in aerospace and transportation replace heavier metallic components with highly durable, lightweight composite components to reduce weight and improve fuel efﬁciency. AEC manufactured composite fan blades and cases are used exclusively in CFM LEAP engines which power the Boeing 737 and Airbus A320neo aircraft. There are also over 200 AEC manufactured parts across all variants of the F-35 Joint Strike Fighter. Please visit www.albint.com/aec to learn more about AEC products and technologies.

AEC shares its mission with Albany International to deliver differentiating products and service with the highest quality and reliability. AEC is headquartered in Rochester, New Hampshire, home to AEC's Research & Technology Center as well as LEAP and other production facilities. The company has additional global fabrication and assembly facilities in New Hampshire, Texas, Utah, France, Mexico and Germany.

About Global Information Services (GIS)

Global Information Services is the team within Albany chartered with providing leading-edge systems and technologies to internal users as well as Albany customers. GIS provides services ranging from Information Technology Strategy to infrastructure development and maintenance, with a unique and intense focus on customer service.




Description

A candidate in this role will provide support to the design, development, implementation, execution and continuous improvement of the Albany Engineered Composites Product Lifecycle Management (PLM) solution as well as overlap into other solutions including the company's Enterprise Resource Planning (ERP) software.

This person would work closely with our Configuration Management, Engineering and Manufacturing Execution Systems teams to maintain current system processes while simultaneously understanding developing process requirements and driving continuous improvements and new functionality in a dynamic and fast paced environment.

Responsibilities:

Assist in the design, configuration, testing and debugging of various company solutions.
Assist in the gathering of requirements for new application functionality from key business users.
Provide technical application support in the resolution of user issues.
Analyze, modify and document existing environment solution(s).
Collaborate with colleagues on configuration, implementation and upgrade of systems to obtain performance needs.
Support the creation and maintenance of documentation (use/functional/design requirements, best practices, change requests, code documentation)
Provide training on new/existing functionality to key business users, as well as end users.
Requirements:
Position Requirements
Formal Education & Certification(s)
A candidate for this role is expected to have:
Bachelor's degree in Computer Science, Information Systems or similar
a minimum GPA of 3.0 (3.5 preferred)

Knowledge & Experience

Either of the following core business systems required:
1+ years' experience with PLM solutions
Desired Technical experience skillset including: authoring of workflows, security administration, server management, etc
PTC Windchill or SAP PLM preferred
Oracle Agile, TeamCenter, Enovia will be considered
1+ years hands-on SAP ECC / S/4 HANA process design and configuration experience in one or more modules;
MM (Materials Management)
PP (Production Planning)
PLM (Product Lifecycle Management)
DMS (Document Management System)
ECTR (Engineering Control Center)
ECM (Engineering Change Management)
PEO (Production Engineering & Operations)
Practical knowledge of Software Development Lifecycle (SDLC) methodology preferred
Microsoft Office proficient (Word, Excel, PowerPoint and Visio skills required)
Practical knowledge of SQL databases and reporting preferred

Personal Attributes

Excellent written, oral and interpersonal communication skills.
Excellent organizational and project management/prioritization skills
Team and people skills that are required to ensure efficient execution of tasks.
Ability to work independently and/or in a collaborative team environment.
Proven strong problem-solving skills within a team and independent environment.
Ability to present ideas in business-friendly and user-friendly language.
Willingness to learn.
Flexible and adaptable.
Effective communication.
Attention to detail.
US Citizens and those authorized to work in the US are encouraged to apply, we are unable to sponsor at this time.

Work Conditions / Location
Position can be located at any of our US AEC Facilities including, or based remotely.
Rochester, NH
Boerne, TX
Salt Lake City, Utah
Sitting for extended periods of time.
Dexterity of hands and fingers to operate a computer keyboard, mouse, power tools, and to handle other computer components.
Approximately 25% travel time may be required (based on active projects).",1895,Machinery Manufacturing,$500 million to $1 billion (USD),Manufacturing,1001 to 5000 Employees,Company - Public,True
Business Intelligence Analyst / Developer,"BAE Systems
","Nashua, NH",$109K - $185K (Employer est.),4.0,"Job Description

The ES Analytics Team is looking for a full stack Tableau/PowerBI Developer to join our growing team in support of Supplier Quality. The gifted data visualizer will lead in the development and support interactive/dynamic dashboards on the Tableau and PowerBI platform for BAE Systems, supporting multiple product lines within the production environment. The goal of the dashboards is to deliver pertinent data to all levels of management to help teams make smarter decisions and deliver better products. The candidate will be required to work closely with multiple stakeholders and leaders to drive solutions that align with the broader ES Analytics vision. Solutions range from ad hoc analysis, automations, or data visualizations. The candidate must have experience developing dashboard interfaces within a SQL environment, and have experience working with machine learning and data engineering platforms such as Dataiku or Alteryx. Must be a United States person with the ability to obtain a United States Security Clearance.

Develops solutions to problems of unusual complexity which require a high degree of ingenuity, creativity and innovativeness. Challenges are frequently unique and solutions may serve as precedent for future decisions
Improve and drive Best Practices in Data Visualization, create Tableau & PowerBI dashboards with a consistent look and feel for use across the Business
Develop connected dashboards and data models that integrate with the larger BI team
Responsible for maintaining consistency and accuracy across multiple dashboards
Responsible for optimizing user experience utilizing best practices in data viz across dashboards
Responsible for providing user and technical support documents along with training
Serve in a collaborative Agile/Scrum environment, designing and implementing new features and enhancements based on user and design team feedback
Must be a team player, be comfortable in a multi-task and task switching environment, and have experience in presenting work output to all levels of management
Must be self-sufficient to gather and understand customer requirements to create deliverables that fit the larger ES Analytics vision for technology and solutions




Required Education, Experience, & Skills

Bachelor's Degree or equivalent experience



Bachelor's degree in Data Science, Database Development, Software Engineering, or Computer Science with 6+ years’ applicable experience or MS and 4+ years’ experience
SQL database experience
A minimum 5 years of working experience with Tableau and PowerBI
Full Data Pipeline development
Strong Python or R skills

Preferred Education, Experience, & Skills



Production or quality experience

Lean manufacturing experience

Alteryx or Dataiku Experience

Working AWS experience




Pay Information
Full-Time Salary Range: $109120 - $185460

Please note: This range is based on our market pay structures. However, individual salaries are determined by a variety of factors including, but not limited to: business considerations, local market conditions, and internal equity, as well as candidate qualifications, such as skills, education, and experience.

Employee Benefits: At BAE Systems, we support our employees in all aspects of their life, including their health and financial well-being. Regular employees scheduled to work 20+ hours per week are offered: health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance. We also have an employee assistance program, a legal plan, and other perks including discounts on things like home, auto, and pet insurance. Our leave programs include paid time off, paid holidays, as well as other types of leave, including paid parental, military, bereavement, and any applicable federal and state sick leave. Employees may participate in the company recognition program to receive monetary or non-monetary recognition awards. Other incentives may be available based on position level and/or job specifics.

About BAE Systems Electronic Systems
BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. Electronic Systems (ES) is the global innovator behind BAE Systems’ game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve.

Our Commitment to Diversity, Equity, and Inclusion:
At BAE Systems, we work hard every day to nurture an inclusive culture where employees are valued and feel like they belong. We are conscious of the need for all employees to see themselves reflected at every level of the company and know that in order to unlock the full potential of our workforce, everyone must feel confident being their best, most sincere self and be equipped to thrive. We provide impactful professional development experiences to our employees and invest in social impact partnerships to uplift communities and drive purposeful change. Here you will find significant opportunities to do meaningful work in an environment intentionally designed to be one where you will learn, grow and belong.",1999,Aerospace & Defense,$10+ billion (USD),Aerospace & Defense,10000+ Employees,Company - Public,False
Strategic Business Analyst,"WestCongress Insurance Services LLC
","Manchester, NH",$71K - $110K (Employer est.),2.6,"WestCongress Insurance Services LLC is a Surplus Lines insurance producer with authority to bind commercial general and excess liability insurance policies on behalf of our affiliate, Champlain Specialty Insurance Company (AM Best A- VII). We are in need of a Strategic Business Analyst. This role is fulltime and will report out of our Manchester, NH office.

Position Overview: We are seeking a highly skilled and motivated Strategic Business Analyst to join our dynamic team. The Strategic Business Analyst will play a pivotal role in shaping our organization's growth and success by providing insightful analyses, strategic recommendations, and actionable insights. The ideal candidate possesses a strong analytical mindset, exceptional problem-solving skills, and the ability to translate complex data into strategic business decisions. This candidate must be able to reliably commute to the Manchester, NH office at least 2-3 times per week.

Key Responsibilities:

Data Analysis and Interpretation: Collect, analyze, and interpret complex data from various sources to identify trends, patterns, and opportunities for strategic decision-making. Use quantitative and qualitative methods to extract meaningful insights.
Market Research: Conduct thorough market research to assess industry trends, competitive landscapes, and emerging opportunities. Translate research findings into actionable strategies to enhance our competitive position.
Strategic Planning: Collaborate with cross-functional teams to develop, refine, and implement business strategies aligned with the company's long-term goals. Provide input into strategic initiatives and identify areas for growth and innovation.
Financial Analysis: Analyze financial data, including budgets, forecasts, and financial statements, to identify areas of improvement and ensure strategic alignment. Assist in the development of financial models to evaluate potential investment opportunities.
Scenario Modeling: Develop and analyze scenario models to assess the potential impact of various strategic decisions and market changes. Provide insights into potential risks and opportunities associated with different scenarios.
Recommendations and Presentations: Prepare clear and concise presentations that communicate complex analyses, insights, and recommendations to senior management and stakeholders. Articulate findings in a compelling manner to support informed decision-making.
Cross-functional Collaboration: Work closely with departments across the organization, including Marketing, Sales, Finance, and Operations, to gather data, understand business needs, and align strategies. Serve as a liaison between analytical insights and operational implementation.
Continuous Improvement: Stay updated on industry trends, best practices, and advancements in data analysis and strategic thinking. Proactively identify opportunities to enhance processes and methodologies to drive better outcomes.

Qualifications:

Bachelor's degree in Business, Finance, Economics, or related field; Master's degree preferred.
Proven experience (5+ years) in strategic analysis, business consulting, or a related role.
Experience in actuarial analytics (can be entry level experience)
Strong proficiency in data analysis tools such as Excel, SQL, and data visualization tools (e.g., Tableau, Power BI).
Exceptional analytical and problem-solving skills with the ability to work with large and complex datasets.
Solid understanding of financial concepts, market dynamics, and business strategy frameworks.
Excellent communication and presentation skills, with the ability to convey complex ideas to both technical and non-technical audiences.
Detail-oriented with a commitment to accuracy and quality in all deliverables.
Strong project management skills and the ability to manage multiple tasks and priorities simultaneously.
Team player with the ability to collaborate effectively across functions and levels of the organization.
Critical thinker who can approach challenges creatively and develop innovative solutions.

Join Our Team: This is an exciting opportunity for a talented Strategic Business Analyst to contribute to our organization's growth and success by driving data-driven strategic decision-making. We offer highly competitive compensation and a full suite of benefits for this role. Relocation assistance may also apply. If you are a highly analytical thinker with a passion for shaping business strategies, we invite you to apply and be part of our dynamic team.

Job Type: Full-time

Pay: $71,000.00 - $110,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid holidays
Paid time off
Vision insurance
Work from home

Compensation package:

Bonus opportunities

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Manchester, NH 03101: Reliably commute or planning to relocate before starting work (Required)

Experience:

Insurance: 4 years (Required)
Actuarial Analysis: 2 years (Required)

Work Location: Hybrid remote in Manchester, NH 03101",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Fiserv DNA Consultant - Contractor,"EY
",United States,$60.00 - $115.00 Per Hour (Employer est.),3.9,"We are currently looking for experienced DNA professionals with domain knowledge across multiple disciplines (Data, Lending, Deposits, Operations, and Finance) to join our team.

RESPONSIBILITIES

DNA Core Processing Expertise: Configure and implement DNA Core Processing functionality, diagnose and recommend solutions to issues, and assist clients in writing business specs for custom processes.
Client Support: Assist the consulting and PM teams, engage with clients and evaluate readiness for conversion, ensure client satisfaction, and manage/resolve a fixed percentage of Service cases.
Testing and Deployment: Test new features and functionality of the DNA product suite, and assist client in testing any applicable custom code.
Communication and Documentation: Document client and internal discussions and decisions and communicate with clients throughout the entire process.
Preferred experience with conversion, SQL and or training.
Skills

business analysis, and implem...

fiserv software

dna

data analytics

Qualifications

QUALIFICATIONS

5+ years of experience in the banking and/or credit union industry.
2+ years of direct Fiserv DNA experience implementing the core banking product and 3 years of Fiserv DNA core processing systems
Client-facing skills and a strong understanding of the Fiserv DNA product and its implementation processes
A technology leader with vision and a view to continuous improvement.Strong verbal and written communication skills.
Subject Matter Expertise in at least one of the following within DNA: Core System Administration, Deposits, Loans, Lending, or Finance,
Travel: Ability to travel up to 25% within the US.

This contract assignment's expected pay rate range is $60 to $115 per hour. The exact pay rate will vary based on skills, experience, and location.

GigNowOpportunities

#GigNowTechOpportunities

Equal Employment Opportunity Information
EY provides equal opportunities to applicants, employees, contractors, vendors, and stakeholders without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, pregnancy, genetic information, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, in accordance with applicable law. If you are an individual with a disability and either need assistance applying online or need to request an accommodation during any part of the application process, please email gignow.recruiting@ey.com.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Unknown,False
Business Analyst,"Connection
","Merrimack, NH",$72K (Employer est.),3.3,"Overview:
What We Do

We calm the confusion of IT by guiding the connection between people and technology. If a customer is looking for a better way to manage their warehouse inventory, equip their workforce, or secure their data, we make it happen. All it takes is finding the right combination of tech hardware, software, cloud solutions, and support services. That’s what we do. We’re the IT Department’s IT Department.


Who We Are

Our team is made stronger by a multitude of backgrounds, experiences, and perspectives. It’s what makes Connection unique—what drives us to innovate and create technology solutions that stand apart from the crowd. We’d love for you to be a part of that fabric, to share your ideas and experiences with a team that thrives on fresh thinking, creativity, and helping others.


Why You Should Join Us

You’ll find supportive teammates and a rewarding career at Connection—plus great benefits. We take pride in supporting employees with a total rewards package that provides financial, emotional, and physical resources for you and your family. Our compensation, 401k plans, medical insurance, and other benefits are progressive and competitive. We value the importance of our employees’ emotional wellbeing. To support employees, we provide free therapy visits, mental health coaching and tools, and meditation resources. You’ll also enjoy a generous paid time off package that includes not only vacation and sick time, but also Wellness and Volunteer Time Off days.
Responsibilities:
The Business Analyst develops financial and operational reporting in PowerBI to support management decision making. The Business Analyst will seek ways to provide enhanced insights into the business through new reporting, automate reporting, and troubleshoot data. The Analyst works within Finance with heavy cross-functional interaction.


Develops new or revises existing end-user reports, ad-hoc data requests and automated applications primarily using Microsoft PowerBI, Report Builder, DAX programming, and occasionally Microsoft Office Suite.
Utilizes business reporting data universes for data model development.
Utilizes Microsoft Power Automate and PowerBI workspaces to deliver daily, weekly, monthly and quarterly reporting to the business across all aspects of transactional, product, manufacturer, employee, customer and compensation data.
Utilizes SQL and Oracle databases.
Min: USD $56,750.00/Yr. Max: USD $71,500.00/Yr. Qualifications:
Because of the possibility for fraudulent job postings on many popular job boards, please be advised that Connection will never offer a position of employment without a complete interview process and communication with a “live person.”
Intermediate Microsoft PowerBI, DAX programming, and Report Builder skills including the ability to manage multiple data providers (sources) for maximum flexibility in the handling of disjointed data.
Intermediate Microsoft Office skills including the creation of Excel spreadsheets with basic macros and/or custom Visual Basic code, PowerPoint presentations, the creation of Word documents with custom formatting, and an understanding of Access databases, forms and macros.
Creative, results oriented problem solver looking to provide business insight.
Customer oriented with ability to listen to and anticipate needs of the customer.
Analytical with ability to draw conclusions from data, systematic and rational.
Articulate with ability to express oneself clearly and professionally in written and oral communication.
Inquisitive information seeker with ability to ask probing questions to uncover root causes of problems.
Advanced DAX coding, PowerBI service, and Power Automate preferred",1982,Computer Hardware Development,$1 to $5 billion (USD),Information Technology,1001 to 5000 Employees,Company - Public,False
Business Insights Analyst,"Fullscript
","Manchester, NH",$75K - $110K (Glassdoor est.),3.9,"Embracing a new era in patient care, Fullscript is a trailblazing health technology company changing the way health is prescribed.

We know the conventional model of patient care is ripe for innovation. At Fullscript, our work is guided by our mission of creating meaningful change for the future of our healthcare systems, so that integrative medicine will one day simply be called medicine.

Fullscript’s care delivery platform combines customized treatment planning, wellness protocols, data insights and ongoing wellness support, with the ability to prescribe and manage the use of healthcare’s best supplements all in one place. Above all else, Fullscript is trusted by practitioners due to an unrelenting focus on quality and a patient experience that can’t be found anywhere else.

With over 5 million patients served and 70,000+ practitioners supported across North America, we’re just getting started.

Come build a healthier future with us.

We’re hiring a Business Insights Analyst to join our Strategic Merchandising team. The ideal Business Insights Analyst will combine strong business acumen with their proven experience manipulating complex data to produce meaningful analytics and insights that support a cross-functional Category Management process. You will analyze financial, clinical, product and brand data, identify and break down data obstacles, and build metrics and reporting mechanisms to support the Strategic Merchandising team’s decision-making pathways. This role offers visibility in the Integrative Medicine industry across several key functions such as Clinical, Brand, Finance, Marketing, and Operations, a chance to tackle exciting challenges, and the opportunity to influence and drive a growing business function.


What You'll Do:
Identify, analyze and address diverse business issues, translate large data sets into digestible results, and develop focused, actionable business solutions that support Fullscript’s strategic priorities within a category-first operating system
Analyze product, customer and market data through the lens of business performance metrics to help define and drive strategic decision-making at the commercial and operational levels
Provide insights by identifying and translating trends contained within curated analytics that will inform direction and report on the performance of strategic initiatives
Standardize reporting deliverables for both internal and external stakeholders by designing, building and maintaining a suite of dashboards to enable self-service and up to date business reporting
Work closely with data teams to ensure the integrity, usability, and standardization of data, and subsequent metrics, across multiple sources and business units
Develop and maintain internal network relationships across functional lines to validate concepts, support information gathering, and facilitate the socialization of ideas

What You Bring To The Table:
High business acumen; the proven ability to understand and convey the relationship between data, analytics and business performance
Strong critical thinking, problem-solving, and project management skills
Exceptional Excel skills, experience working with Business Intelligence tools like Tableau, Looker, etc.
Ability to make decisions, work under pressure and have the capacity to use good judgment in critical situations; Ability to work quickly and at a high level of detail and accuracy, with a highly analytical approach to problem solving
Ability to work cross-functionally and build and maintain relationships with internal customers
Demonstrated ability to effectively communicate and present to colleagues at all levels of the company
Exposure to large product catalogs, Category Management framework, and relevant experience in industries such as Consumer Packaged Goods
What We Can Offer You:
Ability to work Wherever You Work Well*
Flex Fridays
Flexible PTO policy
Fullscript’s 401k
Stock Options
Flexible benefits package (medical, dental, vision) with HSA
Discount on Fullscript catalog of products for family & friends
Training budget and company-wide learning initiatives
Employee Wellness Programs (including no meeting Wednesday)
Our Wherever You Work Well philosophy means Fullscript teammates get to pick their own office — whether that’s in-office, at home, or a bit of both \uD83D\uDC36\uD83C\uDFE1

Fullscript is committed to diversity in its workforce and is proud to be an equal opportunity employer. We are excited to work with talented people, period. All employment decisions are based on business needs, job requirements, and individual qualifications, without regard to race, color, religion or belief, national or ethnic origin, gender, age, disability, sexual orientation, gender identity and/or expression, marital or civil status, political affiliation, family or parental status, or any other status protected by the laws or regulations in the jurisdictions in which we operate.



Accommodations are available on request for candidates taking part in all aspects of the selection process. Please send an email to accommodations@fullscript.com and let us know the nature of your request and your contact information.

Our team handles a lot of sensitive information, which means we require all candidates that receive and accept employment offers to complete a background check before being hired.",2011,Internet & Web Services,$100 to $500 million (USD),Information Technology,501 to 1000 Employees,Company - Private,True
