Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
"Techno-functional Analyst, Oracle Cloud HCM","Securitas USA - Corporate Services
","Parsippany, NJ",$125K - $140K (Employer est.),3.1,"JOB SUMMARY:

The Senior Analyst, HCM Systems will be responsible for performing system requirements analysis, functional system design, integrated testing, and solutions maintenance of the HCM Oracle Applications. As an Applications expert, this position is responsible for the successful implementation of technology solutions in the Corporate HR, Benefits, Payroll and related business areas by following Securitas SDLC and Agile Project Management, Change Control and testing methodologies.

SUPERVISION RECEIVED

Supervision will be provided by the IT Director, HCM/WFM Systems

SUPERVISION EXERCISED

No direct reports but will manage projects utilizing internal and external team members.

ESSENTIAL FUNCTIONS

Systems Design and Implementation

Responsible for implementing and supporting multiple Oracle ERP Cloud core HCM applications
Provide expert solutions in the Oracle ERP Cloud core HCM modules: Recruiting, HR, Benefits, Payroll and related applications.
Maintain Oracle configuration changes in respective HCM application areas.
Work with Business Analysts, Process Owners and End Users to analyze business requirements.
Support configurations, customization, reports and interfaces, testing and user training
Develop test scenarios and test scripts in the impacted solutions to facilitate appropriate integrated testing.
Implement new system solutions and lead system testing and resolution of system issues per Securitas’ project management methodology.
Work closely with applications Support group to ensure proper post-implementations handoff.
Closely work with the project team members responsible for developing reports, interfaces, data conversion programs, and application extensions
Create and maintain system/application documentation (requirements, processes, procedures)
Provide applications knowledge in evaluating and improving current business processes.
Provide expertise on new application releases and new functionality in HCM modules

Advance Level Support

Provide cross-module and cross-functional area integration support.
Ensure integrity and accuracy of all application system setup information.
Interact with technical/development professionals in the design and support of required specific customizations, interfaces and extensions to the Oracle ERP Cloud applications.
Support in the investigation and resolution of reported system issues. Provide system information, utilize diagnostic techniques, guide the efforts of the production support and interface with vendor support as required.
Follow prescribed methodologies and processes in completing Oracle support and implementation activities.

MINIMUM QUALIFICATIONS AT ENTRY

Education and Experience

Bachelor’s degree in business or technical discipline preferred.
MBA or CPA a plus.
Prior experience in Oracle implementation projects (full lifecycle)

B*usiness and Technical Experience*

5-8 years of Oracle Cloud HCM or similar experience implementing and supporting some combination of Oracle HCM applications such as: Recruiting, Talent Management, HR, Benefits or Payroll modules.
Experience working on Oracle’s Cloud-based ERP system or a professional who has transitioned to Oracle Cloud HCM, coming from a major ERP i.e. Oracle EBS, PeopleSoft, SAP is desirable.
Hands on experience in requirements gathering, design, development, and testing of Oracle HCM Cloud applications or ERP software.
Excellent planning, organizing and project management skills.
Ability to work independently and recommend industry-best practices based on business requirements
Ability to take part in cross-functional discussions to analyze requirements and recommend solutions
Experience in solution architecture and writing functional specifications, functional solution design for technical development in a clear and concise manner
Excellent business process knowledge of the following: Standard HR Processes, Payroll rules and requirements and overall understanding of HR Compliance.
Business process analysis and redesign experience, strong business analysis skills, process mapping, business process redesign and implementation
Knowledge of all phases of Systems Development Life Cycle is required.
Ability to analyze complex data and develop recommendations and solutions
Experience in creating reports/processes utilizing BI Publisher; HCM and Payroll loaders, Fast Formulas, OTBI (Oracle Transactional Business Intelligence), PAAS ADF framework & Extensions are desirable.
Experience converting data from legacy systems.
Experience in developing and executing test plans is required.
Experience with BI reporting technologies, Oracle Business Intelligence, Cognos or other similar tools is a plus
Hands on experience with ERP cloud security and workflows is desirable
Samples of design documents as well as operational documentation may be requested.

Competencies (as demonstrated through experience, training, and/or testing):

Multitask - Ability to manage multiple tasks at one time; quickly and accurately shift attention among multiple tasks.
Communication – Ability to present and explain ideas in plain English to a wide range of audience (technical community, business community, management). Read, write and speak fluent English, using appropriate grammar, style and vocabulary.
Critical thinking - Demonstrate a systematic approach in carrying out assignments. Is very orderly and excels at cutting through confusion and turning chaos into order.
Problem solving – Demonstrate a strong ability to identify, analyze and solve problems. Unusually decisive in handling difficult business problems. Translates problems into practical solutions;
Client service – Consistently ensure that the team provides the customer with attentive, courteous and informative service. Derive personal satisfaction from delivering great service.
Excellent interpersonal skills.
Ability to adapt as the external environment and organization evolves.
Carry out all responsibilities in an honest, ethical and professional manner.
Create and maintain strong positive relationships with business partners across the organization
Act as an advisor to the business on areas possible improvements, efficiency, and best practices

COVID-19 Precaution(s):

Remote interview process
Personal protective equipment provided or required
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place

Work Remotely

Temporarily due to COVID-19

Job Type: Full-time

Pay: $125,000.00 - $140,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement

Schedule:

Monday to Friday

Education:

Bachelor's (Preferred)

Work Location: Hybrid remote in Parsippany, NJ 07054",1934,Security & Protective,$5 to $10 billion (USD),Management & Consulting,10000+ Employees,Company - Private,True
Paralegal - Fintech,Gemini Equity Partners,"Hoboken, NJ",$46K - $50K (Employer est.),-1.0,"Gemini Equity Partners Is seeking a full-time Paralegal to assist in contract generation, background checks, business research, onboarding calls and general due diligence.

Gemini is Hoboken-based financial technology company investing in small to medium-sized businesses. We have been growing year over year and we are looking for the right candidate to join our incredible company culture. The position comes with room for advancement, Bonuses after completing a trial period, and consistent company outings.

We are looking for one candidate to help our legal team with increasing demand for our products. This is an in-person position with limited work-from-home hours. Role to include assistance with filling out new customer contracts, state contract disclosure requirements, doing legal research in regards to applicants, and helping to prevent fraud through the contracts process. Multiple opportunities for qualified candidates to advance in our rapidly growing company.

The ideal candidate should be proficient in adob,g suite and CRM’s as well as have an understanding of business analysis, contracts drafting, legal research. you will be working directly under our legal and accounting teams to streamline the funding and post-funding process.

This is job entails a lot of volume and we need a candidate who can work under pressure with the ability to multi-task.

Job Type: Full-time

Pay: $46,000.00 - $50,000.00 per year

Benefits:

Free parking
Health insurance
Paid sick time
Paid time off

Schedule:

8 hour shift
Monday to Friday

COVID-19 considerations:
no

Application Question(s):

what will make you a good candidate for this position?

Education:

Associate (Preferred)

Experience:

Microsoft Office: 1 year (Preferred)
Paralegals & Legal Assistants: 1 year (Required)
Legal research: 1 year (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Analyst (Information Technology Analyst 2),"The State of New Jersey Judiciary
","Trenton, NJ",$65K - $105K (Employer est.),3.7,"AMENDED

Amended to revise salary

Should additional positions become available with five (5) months of the closing date, the applicant pool from this posting may be used to fill additional positions.

When you come to work for New Jersey Judiciary you will join an 8500-member strong TEAM that operates with the highest standards of independence, integrity, fairness and quality service. You will be engaged with work that has purpose, meaning and makes a difference in lives of the public we serve. We work hard every day to build the public’s trust and confidence in our court system, which includes issues such as bail reform, marijuana decriminalization and recovery court.

Whether it be in a courtroom, an administrative office, a courthouse training room, an IT office or in the field, our Judiciary workforce is improving the lives of countless individuals and families every day. We honor the dignity and individualism of each member of our organization while fostering professionalism and continuous improvement in our work.

The Judiciary offers a strong opportunity for growth.

The New Jersey Judiciary seeks an experienced business analyst to work under the general direction of the chief or other supervisory personnel in the Automated Trial Court Services Unit (ATCSU). This unit is primarily responsible for business analysis and user requirements gathering; workflow analysis; development of project plans; user interface; system testing; and user training and support.

The unit works collaboratively with court case processing managers and staff, information technology managers and staff, and others to plan and implement large scale Judiciary information technology projects. It also provides ongoing customer support and delivers presentations, when necessary, to various customers located throughout the state. Experience with all stages of the SDLC, PEGA and Agile methodology is preferred.

Note: The Judiciary currently offers a hybrid work schedule, and this position may qualify for up to 3 days of work outside of Judiciary buildings. To participate in this program, you will be required to have high speed home internet access.

Example of Duties:

* Writing specifications for new applications and enhancements

* Recommending process and design changes to case management systems

* Analyzing business procedures, workflows, policies, and standards to identify appropriate IT solutions for the business community

* Creating and managing project requirements with related project milestones and schedules; formulating reports to track/monitor project progress

* Defining and documenting customer business functions and processes

* Acting as a liaison between stakeholders and software development teams

* Communicating and collaborating with external and internal customers to analyze information needs and functional requirements in delivering business requirements documents (e.g. UI designs, screen-flow diagrams; wireframes & user interface specification documentation)

* Developing test scripts and performing a variety of system and user testing across multiple platforms

* Coordinating regularly with ITO and business users

* Designing and conducting presentations and training sessions to internal and external customers (including judges, court staff, attorneys, and other governmental entities)

* Conducting interviews to research and analyze work methods, processes and programs

* Planning, organizing, and facilitating meetings or site visits with primary stakeholders

* Providing helpdesk and on-site user support

* Performing other related duties as required

The selected candidate(s) may be required to work a non-traditional work week, which may include weekends and holidays.

Salary range is $64,964.77 - $104,621.19. For newly hired individuals, the starting salary will normally be at the minimum of the salary range.

Job Requirements:

Graduation from an accredited college or university with a Bachelor's Degree in a field related to computer science, information technology or the area to which the applicant is applying, such as information systems, human-computer interaction, interactive media, software engineering, computer networking, and/or cybersecurity and one (1) year of professional experience in: analyzing, designing, programming, troubleshooting, resolving technical problems, testing, defining business requirements, training and/or installing computer systems applications OR planning, acquiring, installing and implementing telecommunications facilities and services, wide area networks, or local area networks OR generating and maintaining system software.

Substitution: Applicants who do not possess the required education may substitute additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying on a year for year basis with one year of such experience being equal to 30 semester hour credits.

A Bachelor's Degree in any field from an accredited college or university and one (1) year of additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying may be substituted for the required education.

An Associate's Degree in a field related to computer science, information technology or the area to which the applicant is applying, such as information systems, human-computer interaction, interactive media, software engineering, computer networking, and/or cybersecurity and two (2) years of additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying may be substituted for the required education.

An Associate's Degree in any field from an accredited college or university and three (3) years of additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying may be substituted for the required education.

A Master's Degree in a field related to computer science, information technology or the area to which the applicant is applying, such as information systems, human-computer interaction, interactive media, software engineering, computer networking, and/or cybersecurity may be substituted for the required education OR one (1) year of experience.

Education Note: Degrees conferred outside of the United States must be evaluated by a recognized evaluation service. (See www.naces.org/members.html)

Residency Law: Pursuant to N.J.S.A. 52:14-7 (L. 2011, Chapter 70), also known as the “New Jersey First Act,” all persons newly hired by the Judiciary must establish, and then maintain, principal residence in the State of New Jersey.

Authorization to Work: US citizenship is not required. Selected candidate must be authorized to work in the US according to Department of Homeland Security, US Citizenship and Immigration Services regulations.

Driver's License: Appointee will be required to possess a driver's license valid in New Jersey only if the operation of a vehicle is necessary to perform essential duties of the position.

To Apply:

Applicants can click on the ‘Apply on Company Site’ button to apply by November 24, 2023.

For additional information please visit www.njcourts.gov and reference Job # 2022-08815, Business Analyst (Information Technology Analyst 2.)

The Judiciary of New Jersey is an Equal Opportunity/Affirmative Action Employer Committed to Ensuring an Open Door to Justice.

Job Type: Full-time

Pay: $64,964.77 - $104,621.19 per year

Experience level:

1 year

Schedule:

Monday to Friday

Work Location: In person",-1,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,5001 to 10000 Employees,Government,False
Sales Financial Analyst,"Stonhard
","Cherry Hill, NJ",$75K - $80K (Employer est.),3.6,"Position: Sales Finance Analyst

Supervisor: Senior Manager Financial Planning and Analysis

Position Summary: This position will partner closely with both Finance and Sales. The ideal candidate will possess strong analytical skills, and leverage analysis to deliver actionable insights to various levels in the organization.

Specific Requirements:

Support monthly reporting processes, including journal entries, account reconciliations, key account variance analysis, DSO reporting, price analysis, sales compensation analysis
Drive field sales P&L reporting
Assist in budget preparation and forecasting processes
Assists in changes to systems, policies, and procedures; ensures timely and accurate implementation.
Support SOX compliance efforts
Ad hoc projects as needed
Demonstrated ability to communicate effectively with various levels within the organization and partner cross-functionally
Strong analytical skills
Highly organized and detail-oriented; must be willing to spend time in the details to solve problems

The above description identifies only the primary duties pertaining to this position. Additional tasks are performed, as required, and do not significantly alter this description.

Background Requirements:

A bachelor's degree in accounting or finance required
Minimum of 3 years of experience in financial analysis

Job Type: Full-time

Pay: $75,000.00 - $80,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Education:

Bachelor's (Preferred)

Experience:

Financial analysis: 3 years (Required)

Work Location: In person",1922,Consumer Product Manufacturing,$100 to $500 million (USD),Manufacturing,1001 to 5000 Employees,Subsidiary or Business Segment,True
"Analyst , Strategic Pricing & Business insights",Duchesnay USA,"Princeton, NJ",-1,-1.0,"Summary of the role

Reporting to the Director of Strategic Pricing & Business Insights, this role is responsible for providing decision-making intelligence across all our US businesses. In a cross functional role, this position supports and collaborates with others in order to develop and review various KPIs. Through analytics the incumbent helps understand the product life cycle faster and develops insights that allow the organization to make strategic decisions in support of the company's mission. This position develops and utilizes the databases and tools necessary in monitoring, reporting and providing strategic advice to market access decision makers and other areas of the business.

Key responsibilities

Support the Director of Strategic Pricing & Business Insights in the analytics leading to the development & deployment of BI reporting for key channels (prescriptions, sales performance, managed care landscape, etc.)
Act as a key business partner to the corporate headquarters Finance team for Gross-to-Net reporting, accruals, month/quarter close and prior period adjustments, and variances analysis
Support the rebates processing activities and active maintenance of managed care agreements to ensure all the agreement and initiatives with our payer and channel partners are captured an reflected in a timely and accurate manner in our financial P&L
Partner with internal teams to analyze ROI and investment decisions including, but not limited to, In-Licensing, Marketing programs, copay programs and salesforce productivity metrics
Showcase initiative to establish new processes to support commercial decision-making
Perform strategic intelligence monitoring of industry trends, through attendance at industry conferences & online research
Support to outsourced government pricing activities

Qualifications & Competencies

Bachelor's degree in accounting, finance, economics, or equivalent combination of education and work experience
Minimum experience of 3+ years in a similar role. As an asset, have evolved in the pharmaceutical industry
Experience with data visualization tools such as Power BI and can manipulate large, multi-dimensional data sets in order to analyse, report and manage dashboards and performance metrics.
High proficiency in Microsoft Office environment. Knowledge of Microsoft BI and data sources (Symphony, IQVIA) preferred
Strong business acumen, analytical and problem-solving skills
Autonomy, agility, and desire for continuous improvement
Shows potential to prepare and deliver effective presentations that story-tell with data

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

COVID-19 considerations:
Preferred telework

Ability to commute/relocate:

Princeton, NJ 08540: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Analytics: 3 years (Required)

Work Location: Hybrid remote in Princeton, NJ 08540",-1,-1,-1,-1,-1,-1,True
SAP Business One Senior Consultant,"Clients First Business Solutions
","Holmdel, NJ",$80K - $150K (Employer est.),3.8,"Senior SAP Business One Implementation Consultant

Work with an Award Winning Top 10 SAP Gold Partner and catapult your ERP career! Drive the delivery of implementation services related to SAP Business One in cradle-to-grave implementation projects, including functional requirements, implementation, go-live, post-go-live, and SAP Business One support. Be part of an organization that puts client needs at the center of all engagements.

THE COMPANY:

Clients First provides tailored and scalable financial and ERP systems and services for growing small-to-mid-sized companies so they can achieve enterprise-level results. With a proven track record of successful implementations that span 30 years, a career with Clients First is a commitment to the integrity of being straightforward. Our transparent, knowledgeable team is looking for a direct and honest professional ready to help push our clients to the next stage of business growth without overselling or under-delivering.

If you're ready to join our group of driven technology enthusiasts, helping deliver real business process solutions to customers across North America, read on.

THE POSITION:

As an independent team player, you will consult with your client and team members and assume responsibility for performing implementation tasks and producing quality deliverables in every interaction.

· Directly responsible for keeping SAP Business One projects focused on effective outcomes

· Employ consulting best practices in discovery, business analysis, and process documentation

· Leverage experience and skill to help client organizations benefit from innovative solutions and ideas, leading to an increased need for products and services from Clients First

THE REQUIREMENTS:

Bachelor's Degree in Business or Computer Applications or equivalent work experience
SAP Business One implementation experience a MUST
SAP Certifications are a bonus
End-to-end ERP implementation experience
A background in consulting
Strong technical understanding
A desire to learn new skills, approaches, and technologies
High standards in communication, follow-up, responsiveness, documentation, etc., both internally and externally
Strong communication and project management skills

THE RESPONSIBILITY:

· Lead project coordination, including managing 3rd party vendors, integrations, and upgrades, and working directly with clients on their customizations, training plans, and data migration

· Demonstrate knowledge and comfort with manipulation of data files, working with relational databases, and other data manipulation activities

· Prepare functional specifications for implementations, enhancements, integrations, custom reporting, and other technology projects

· Take charge of project quality by directing the testing and troubleshooting processes and acting as the client's initial support and issue resolution level

· Independently manage competing projects and priorities while maintaining a high level of service and responsiveness

· Employ consulting best practices in discovery, business analysis, and process documentation

· Assist customers to implement Best Practice Processes

LOCATION:

This position can be based from our offices in Holmdel, NJ, or Palm Harbor, FL. This position can also be remote for the right candidate who has a home office, excellent work habits, and an ability to work in a team-oriented role from a remote location.

TRAVEL REQUIRED:

Travel for the Senior SAP Implementation Consultant will be between 20% and 30% of the time and is dependent on project location and project flow.

SALARY & BENEFITS:

Clients First are not only dedicated to putting our clients first, we're dedicated to putting all our people first. We believe that well cared for people produce their best work. We're happy to offer highly competitive salaries, bonuses, and incentives along with a robust benefits package to every person who works on our team.

Compensation includes a competitive salary plus quarterly and annual bonuses.

Benefits Include:

· A 401k plan with a dollar for dollar match up to 4% of an employee's salary

· Paid group life insurance program

· A contribution toward an employee's enrollment in Aflac Accident, Critical Illness, and Hospitalization plans

· Paid Long-Term and Short-Term Disability

· Employees start with 15 days of Paid Time Off, which scales as years of employment increase

· Clients First supports employees by providing partial payment for United Healthcare Choice Programs as follows:

65% of the cost of the United Healthcare Choice Plus 250 deductible plan for the employee and their family
70% of the cost of the United Healthcare Choice Plus 500 deductible plan for the employee and their family
75% or more of the cost for the United Healthcare 1500 or 5000 high deductible plan for the employee and family
Clients First pays 56% of the cost for the Dental and Vision plan for the employee and family

WHY JOIN CLIENTS FIRST:

As an outcome-oriented, collaborative team of technology enthusiasts, Clients First provides an environment built for the pragmatic, passionate professional. With a laser focus on helping our clients succeed with every project, you will have the opportunity to put your experience and knowledge to the test every day. We offer the proven methodology and framework to help your clients succeed and give you the chance to do your job the way you believe it should be done. Together, we will deliver projects that meet and exceed our clients' needs while staying on budget, in scope and planning for the future.

As a multiyear Bob Scott Top 25 VAR with a portfolio of solutions and applications that meet the needs of the SMBs across the United States, Clients First is a leader in ERP and back-office solutions from SAP, Microsoft Dynamics, Acumatica, and more.'
'
Work Remotely

Yes

Job Type: Full-time

Pay: $80,000.00 - $150,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Vision insurance

Compensation package:

Quarterly bonus
Yearly bonus
Yearly pay

Experience level:

5 years

Schedule:

Monday to Friday

Application Question(s):

How many years of Business One experience do you have? Minimum 2 years experience a must.

Education:

Bachelor's (Preferred)

Work Location: Multiple locations",-1,Business Consulting,$5 to $25 million (USD),Management & Consulting,1 to 50 Employees,Company - Private,True
Business Analyst,"Amaze systems
","Edison, NJ",$60.00 Per Hour (Employer est.),5.0,"Business Analyst with P&C Insurance Domain in Edison, NJ

Position Summary:

Acts as a liaison between business partner and IT team. Understands, reviews, analyzes, and evaluates business partner needs. Responsible for development and documentation of business requirements based on business needs and objectives. Recommends solutions and ensures business needs are met.

Primary Job Responsibilities:

Serve as liaison between Business and IT; translating business needs into functional business requirements. Collaborate with business partner to define project scope and business requirements for small to medium business requests.
Manage business requirements throughout the SDLC. Collaborate with Project Manager to manage scope and business partner expectations.
Plan business analysis activities. Develop estimates for business analysis tasks. Accountable for managing to estimates.
Analyze business objective/need and document business requirements while using industry standard analysis techniques such as data flow modeling, workflow analysis, functional decomposition analysis and business rule definition.
Elicit requirements using techniques such as interviews, workshops, JAD sessions, and/or existing systems documentation or procedures.
Understand and apply Corporate IT standards, designs and documentation standards into recommended project artifacts.
Additional Recommended Responsibilities:
IT Industry Knowledge
Build and maintain a solid understanding of the major technology trends impacting the business.
Maintain a broad business and IT product knowledge, including the impact of industry trends, regulatory environment, and relevant best practices on the recommended solutions.
Follow the standards, procedures and methodologies in the System Development Life Cycle in the design and/or recommendation of technical solutions.
Business Partnership
Build and maintain an in-depth understanding of business process and products across IT and the department.
Use active listening to define business objectives/needs, and recommend the appropriate solutions based on a strong understanding of these business objectives/needs.
Recommended Qualifications

Qualifications:

Bachelor's Degree (preferred) in Computer Science, Information Systems, or a related field.
10+ years of relevant IT industry work experience as Insurance BA
8+ years business analysis experience on P&C Insurance
Prior experience working with surrounding Guidewire insurance suite (PolicyCenter, BillingCenter, ClaimCenter) for personal lines
Must be detail-oriented and thorough with the ability to meet aggressive deadlines.
Must be flexible and effective at multi-tasking.
Establishes a positive relationship with IT staff and business partners.
Must possess outstanding verbal and written communication skills.
Effective in a variety of formal/informal presentation settings: one-on-one, small and large groups

Job Type: Contract

Salary: From $60.00 per hour

Experience level:

10 years

Ability to commute/relocate:

Edison, NJ 08817: Reliably commute or planning to relocate before starting work (Required)

Work Location: In person",-1,Advertising & Public Relations,Unknown / Non-Applicable,Media & Communication,Unknown,Company - Public,True
Business Analyst / Cost Analyst,"The Carian Group
","South Plainfield, NJ",$67K - $94K (Glassdoor est.),4.1,"Business Analyst / Cost Analyst

FULLY IN OFFICE

CARIAN is growing! We are a proud, woman-owned management consulting firm providing program/project management, capital project delivery, consulting, and technology solutions to our customers in the renewable energy, power utilities, infrastructure, and transit/transportation sectors.

We are searching for a Business Analyst – Corporate Real Estate & Facilities Management to join our New Jersey team.

Positions at CARIAN offer comprehensive and competitive benefits (medical, dental, and vision), 401(k) matching, and the opportunity to work with a growing company.

Job Summary

This position will support corporate real estate facilities construction projects and will support planning, budgeting forecasting, variance explanation related to capital project support. Someone who has experience as a project cost engineer or project accountant, minimum 3-5 years’ experience, experience with executive presentations etc.

Job Responsibilities
Responsible for working with the client to prepare and create the annual 10 Year Capital & O&M cost plan.
Support the month end, quarter end and year-end closing processes. These can include creating and maintaining journal entries, conducting actual vs plan variance analysis, creating ad hoc analysis.
Preparation of presentations, reports or analysis specifically requested by the internal & external clients.
Assist in analyzing results and identify areas of opportunities for efficiency and cost savings.
Job Specific Qualifications

Bachelor's Degree in Finance, Accounting, Engineering or related field

Other Skills/Qualifications:
Experience as cost engineer or project accountant
Advance Excel experience or databases
Experience preparing executive presentations
Strong analytical, business and communication skills
Good planning and organizing skills
Creative problem solving skills
Ability to interact with all levels of management
Knowledgeable in PMI project management processes
Position Incumbent must foster an inclusive work environment and respect all aspects of diversity. Successful candidate must demonstrate and value differences in others' strengths, perspectives, approaches, and personal choices
Desire to be challenged, expand professional knowledge and take on more responsibility over time.

Desired:

Knowledge in use and application of SAP planning tools, models, techniques and processes

Primavera P6 scheduling software

PMP Certification

CARIAN takes pride in being an Equal Opportunity Employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, citizenship, gender expression or identity, status as a veteran, and basis of disability or any other federal, state, or local legally protected class.

As a WBE/SBE/DBE, CARIAN is committed to providing employment opportunities to women, veterans, and underrepresented minorities.",-1,Business Consulting,Unknown / Non-Applicable,Management & Consulting,1 to 50 Employees,Company - Private,True
Clinical Business Analyst,"TK-CHAIN LLC
","Princeton, NJ",$65K - $85K (Employer est.),5.0,"We need a BA to help elicit requirements from the clinical and regulatory stakeholders for system configuration and deployment.
IRT is currently being deployed. SAS and eTMF are both in discovery phases but will kick off in next 30-60 days.

Requirements Gathering, Business Process & Writing Tasks:

Experiencing supporting clinical and regulatory stakeholder thru requirements and implementation of Cloud Clinical applications
Some project experience supporting Veeva applications.
Coordinate and participate in requirement gathering and definition in coordination with business partner team of stakeholders.
Work as a partner with teams to support the validation and businessanalyst processes needed to deliver a system’s changes.
Understand and read process flow maps where needed to ensure project solution is aligned with business process flow.
Maintain critical details on system configurations and communicate those to others in writing and orally.
Write computer validation test scripts used in performance qualification testing.
Ability to write validation test scripts is critical to this role, as is attention to details.",2018,Biotech & Pharmaceuticals,$5 to $25 million (USD),Pharmaceutical & Biotechnology,51 to 200 Employees,Company - Private,True
"Retail Systems/Business Analyst (ONSITE in Glen Rock, NJ)","Advanced Automation Consulting
","Glen Rock, NJ",$100K - $110K (Employer est.),3.0,"Business Analyst

AAC is seeking a Business Analyst for a rapidly growing client, who can thrive in a scaling organization and can lead and drive business analysis. The successful candidate will be a confident people person who can become an immediate asset and adopt a hands-on approach to their role. MUST BE A US CITIZEN OR GREEN CARD HOLDER TO QUALIFY.

This position will be at least a 6-month engagement with a strong likelihood of extensions. This will be primarily on-site in Glen Rock, NJ at the beginning of the engagement, and it will likely transition into a remote role once up to speed.

This is very much a hand’s on, broad role that will directly contribute to the automation of several business systems, data collection, and more. As such candidates need to be comfortable working with multiple stakeholders over all aspects of the business. They will report directly to the Director of Data and Applications.

Key Responsibilities:

Perform business and financial data forecasting, reporting, and operational metrics tracking as required for all aspects of operations
Analyze financial and business data – and create financial and business performance models for decision support
Document current transaction flows and help improve these flows
Make reverse engineering changes that may be made in the flow of sales data in middleware
Report on business and financial performance and prepare for regular leadership reviews
Analyze past results, perform variance analysis, identify trends, and make recommendations for improvements
Evaluate financial performance by comparing and analyzing actual results with plans and forecasts
Maintain a strong financial analysis foundation creating forecasts and models as required to support business cases
Work closely with the group accounting team to ensure accurate financial reporting and decision support
Lead with the tracking of Supplier Contract completion and tracking of all ancillary income and collection
Perform market research, data mining, business intelligence, and valuation comps as required
Provide analysis of trends and forecasts and recommend actions for optimization
Guide cost analysis process by establishing and enforcing policies and procedures
Recommend actions by analyzing and interpreting data and making comparative analyses
Identify and drive process improvements, including the creation of standard and ad-hoc reports, tools, and Excel dashboards

Experience & Skills:

Financial and/or data analysis experience in an enterprise-level role, with proven experience in a fast-paced working environment.
Experience with finance/retail systems in an enterprise environment (i.e. ERP implementation/upgrade, procurement systems, inventory systems, etc.)
Strong IT skills including advanced use of Excel, Microsoft Word, and Power Point
Strong experience working with diagram programs such as Lucid or Visio
Analytical Thinking: The ability to tackle a problem by using a logical, systematic, sequential approach
Fostering Innovation: The ability to develop, sponsor, or support the introduction of new and improved method, products, procedures, or technologies.
Technical Expertise: The ability to demonstrate depth of knowledge and skill in accounting, financial management, business analysis

Preferred Technical Requirements:

· Experience performing analysis with retail financial systems such as POS systems, Inventory mgt. systems, and cash management systems

· As Is and To Be process mapping

· Building test plans

· Change control experience

· Azure or AWS cloud certifications

Experience with Python, PowerShell, and VB script
Knowledge of SQL

Education:

Bachelor’s degree in Information Systems, Statistics, Finance, Business Administration, or that of equivalence

Job Types: Full-time, Contract

Pay: $100,000.00 - $110,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Vision insurance

Experience level:

4 years

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in Glen Rock, NJ 07452",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,Unknown,Company - Private,True
