Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
"Techno-functional Analyst, Oracle Cloud HCM","Securitas USA - Corporate Services
","Parsippany, NJ",$125K - $140K (Employer est.),3.1,"JOB SUMMARY:

The Senior Analyst, HCM Systems will be responsible for performing system requirements analysis, functional system design, integrated testing, and solutions maintenance of the HCM Oracle Applications. As an Applications expert, this position is responsible for the successful implementation of technology solutions in the Corporate HR, Benefits, Payroll and related business areas by following Securitas SDLC and Agile Project Management, Change Control and testing methodologies.

SUPERVISION RECEIVED

Supervision will be provided by the IT Director, HCM/WFM Systems

SUPERVISION EXERCISED

No direct reports but will manage projects utilizing internal and external team members.

ESSENTIAL FUNCTIONS

Systems Design and Implementation

Responsible for implementing and supporting multiple Oracle ERP Cloud core HCM applications
Provide expert solutions in the Oracle ERP Cloud core HCM modules: Recruiting, HR, Benefits, Payroll and related applications.
Maintain Oracle configuration changes in respective HCM application areas.
Work with Business Analysts, Process Owners and End Users to analyze business requirements.
Support configurations, customization, reports and interfaces, testing and user training
Develop test scenarios and test scripts in the impacted solutions to facilitate appropriate integrated testing.
Implement new system solutions and lead system testing and resolution of system issues per Securitas’ project management methodology.
Work closely with applications Support group to ensure proper post-implementations handoff.
Closely work with the project team members responsible for developing reports, interfaces, data conversion programs, and application extensions
Create and maintain system/application documentation (requirements, processes, procedures)
Provide applications knowledge in evaluating and improving current business processes.
Provide expertise on new application releases and new functionality in HCM modules

Advance Level Support

Provide cross-module and cross-functional area integration support.
Ensure integrity and accuracy of all application system setup information.
Interact with technical/development professionals in the design and support of required specific customizations, interfaces and extensions to the Oracle ERP Cloud applications.
Support in the investigation and resolution of reported system issues. Provide system information, utilize diagnostic techniques, guide the efforts of the production support and interface with vendor support as required.
Follow prescribed methodologies and processes in completing Oracle support and implementation activities.

MINIMUM QUALIFICATIONS AT ENTRY

Education and Experience

Bachelor’s degree in business or technical discipline preferred.
MBA or CPA a plus.
Prior experience in Oracle implementation projects (full lifecycle)

B*usiness and Technical Experience*

5-8 years of Oracle Cloud HCM or similar experience implementing and supporting some combination of Oracle HCM applications such as: Recruiting, Talent Management, HR, Benefits or Payroll modules.
Experience working on Oracle’s Cloud-based ERP system or a professional who has transitioned to Oracle Cloud HCM, coming from a major ERP i.e. Oracle EBS, PeopleSoft, SAP is desirable.
Hands on experience in requirements gathering, design, development, and testing of Oracle HCM Cloud applications or ERP software.
Excellent planning, organizing and project management skills.
Ability to work independently and recommend industry-best practices based on business requirements
Ability to take part in cross-functional discussions to analyze requirements and recommend solutions
Experience in solution architecture and writing functional specifications, functional solution design for technical development in a clear and concise manner
Excellent business process knowledge of the following: Standard HR Processes, Payroll rules and requirements and overall understanding of HR Compliance.
Business process analysis and redesign experience, strong business analysis skills, process mapping, business process redesign and implementation
Knowledge of all phases of Systems Development Life Cycle is required.
Ability to analyze complex data and develop recommendations and solutions
Experience in creating reports/processes utilizing BI Publisher; HCM and Payroll loaders, Fast Formulas, OTBI (Oracle Transactional Business Intelligence), PAAS ADF framework & Extensions are desirable.
Experience converting data from legacy systems.
Experience in developing and executing test plans is required.
Experience with BI reporting technologies, Oracle Business Intelligence, Cognos or other similar tools is a plus
Hands on experience with ERP cloud security and workflows is desirable
Samples of design documents as well as operational documentation may be requested.

Competencies (as demonstrated through experience, training, and/or testing):

Multitask - Ability to manage multiple tasks at one time; quickly and accurately shift attention among multiple tasks.
Communication – Ability to present and explain ideas in plain English to a wide range of audience (technical community, business community, management). Read, write and speak fluent English, using appropriate grammar, style and vocabulary.
Critical thinking - Demonstrate a systematic approach in carrying out assignments. Is very orderly and excels at cutting through confusion and turning chaos into order.
Problem solving – Demonstrate a strong ability to identify, analyze and solve problems. Unusually decisive in handling difficult business problems. Translates problems into practical solutions;
Client service – Consistently ensure that the team provides the customer with attentive, courteous and informative service. Derive personal satisfaction from delivering great service.
Excellent interpersonal skills.
Ability to adapt as the external environment and organization evolves.
Carry out all responsibilities in an honest, ethical and professional manner.
Create and maintain strong positive relationships with business partners across the organization
Act as an advisor to the business on areas possible improvements, efficiency, and best practices

COVID-19 Precaution(s):

Remote interview process
Personal protective equipment provided or required
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place

Work Remotely

Temporarily due to COVID-19

Job Type: Full-time

Pay: $125,000.00 - $140,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement

Schedule:

Monday to Friday

Education:

Bachelor's (Preferred)

Work Location: Hybrid remote in Parsippany, NJ 07054",1934,Security & Protective,$5 to $10 billion (USD),Management & Consulting,10000+ Employees,Company - Private,True
Paralegal - Fintech,Gemini Equity Partners,"Hoboken, NJ",$46K - $50K (Employer est.),-1.0,"Gemini Equity Partners Is seeking a full-time Paralegal to assist in contract generation, background checks, business research, onboarding calls and general due diligence.

Gemini is Hoboken-based financial technology company investing in small to medium-sized businesses. We have been growing year over year and we are looking for the right candidate to join our incredible company culture. The position comes with room for advancement, Bonuses after completing a trial period, and consistent company outings.

We are looking for one candidate to help our legal team with increasing demand for our products. This is an in-person position with limited work-from-home hours. Role to include assistance with filling out new customer contracts, state contract disclosure requirements, doing legal research in regards to applicants, and helping to prevent fraud through the contracts process. Multiple opportunities for qualified candidates to advance in our rapidly growing company.

The ideal candidate should be proficient in adob,g suite and CRM’s as well as have an understanding of business analysis, contracts drafting, legal research. you will be working directly under our legal and accounting teams to streamline the funding and post-funding process.

This is job entails a lot of volume and we need a candidate who can work under pressure with the ability to multi-task.

Job Type: Full-time

Pay: $46,000.00 - $50,000.00 per year

Benefits:

Free parking
Health insurance
Paid sick time
Paid time off

Schedule:

8 hour shift
Monday to Friday

COVID-19 considerations:
no

Application Question(s):

what will make you a good candidate for this position?

Education:

Associate (Preferred)

Experience:

Microsoft Office: 1 year (Preferred)
Paralegals & Legal Assistants: 1 year (Required)
Legal research: 1 year (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Payments Operations Analyst,"Integrity Consulting
",United States,,3.3,"Payment Operations Analyst

Great opportunity with great company in the banking/financial industry. Will be part of a team helping support financial transactions between financial institutions, ensuring transactions are processed correctly and efficiently.

Duties:

Monitor and support of bank transactions
Execute bank settlements and cut-offs
Handle incoming inquiries about payments, quickly and accurately
Respond to settlement reconciliation inquiries for multiple payment application types (ACH, EFT, Wire Transfer, Fed, Swift, etc.)
Respond to inquiries for NACHA and ECCHO standards
Assist with weekend testing when assigned
Effectively handle application concerns with proper escalation to appropriate subject matter experts and management
Complete required reporting, projects, tracking as needed

Required:

Minimum of 4 years of experience in banking/financial industry
Minimum of 2 years of experience with payments
Experience work with applications on distributed (Windows, Unix) systems
Strong attention to detail to ensure firm policies and procedures are adhered to and regulatory requirements are met
Excellent verbal and written communication skills

Desired

Bachelors Degree
Knowledge of clearing and settlement functions
Operations background with firm knowledge of various trade processing, settlement, reporting and regulatory rules and regulations
Understanding of batch and real-time systems
Knowledge of credit/debit cards and related industry partners and processes, including card network standards such as EMV
Strong MS Office (Word, Excel) skills
Experience with NACHA, ECCHO standards

Job Types: Full-time, Contract

Pay: $35.00 - $50.00 per hour

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Vision insurance

Experience level:

4 years

Physical setting:

Office

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

New York, NY 10281: Reliably commute or planning to relocate before starting work (Required)

Work Location: Hybrid remote in New York, NY 10281",-1,-1,$1 to $5 million (USD),-1,1 to 50 Employees,Company - Private,True
Loan Operations Analyst/Associate,TD Witz Associates,United States,$90K - $135K (Employer est.),-1.0,"Working for a large PE/Credit Asset Management firm

Responsibilities:

Analysis of loan administration activities including interpreting Agent notices related to paydowns, borrowings, fundings, capitalized interest, and rollovers.
Review and maintenance of security attributes (Ratings, Recovery rates, Industries, Spreads, Maturities, etc.) for underlying portfolio assets.
Review daily cash flows and reconciliations to ensure proper collection and allocation of cash payments.
Reconciliation of key portfolio statistics between internal systems and the Trustee’s/Custodian’s book of record.
Develop strong working relationships with the various Trustees to promptly resolve cash, asset and data discrepancies.
Communicate with Agent banks and counterparties in resolving issues involving account positions and various trade activities.
Prepare and review monthly client reports comprised of performance and portfolio characteristics for Leveraged Loan Accounts
Work closely with Portfolio Managers, Traders and Credit Analysts to gather necessary information and also support their operational and analytical needs.
Familiarity with Par/Distressed bank loans, PIK notes, trade claims, warrants and private equities.

Desired Skills and Experience

2-5+ years of experience of general loan operations and administration
Working knowledge of the loan products and related documentation (Credit Agreement, Trade documents)
Familiarity with Bank loan administration and reporting systems (Clearpar, etc.)
Knowledge of loan restructures/amendments
Strong attention to detail and problem-solving skills
Ability to prioritize and work in a fast-paced environment
Well organized with strong written and communication

·
'

Job Type: Full-time

Pay: $90,000.00 - $135,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Tuition reimbursement

Physical setting:

Office

Schedule:

Monday to Friday

Ability to commute/relocate:

New York, NY 10112: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

syndicated or direct bank loan: 2 years (Required)
Microsoft Excel: 2 years (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Operations Analyst,"Reinauer Transportation Companies, LLC","Staten Island, NY",$50K - $75K (Employer est.),-1.0,"Responsibilities:

Assist operations team with a variety of departmental responsibilities.
Liaison between departments, ensuring coordination and positive results.
Maintain vessel equipment matrix, including tracking of various due dates.
Monitoring of regulatory inspection and survey dates; assistance with preparation.
Documentation handling, including scanning of paperwork and certificates.
Support of health, safety, quality, and environmental management system, including documentation, procedures, form creation and amendment.
Vetting and marine assurance administration, including documentation maintenance, Q88, BPQ and crew matrixes.
Assist in incident and defect investigation, follow-up and reporting.
Participate in third-party and customer audits.
Support datal analysis initiatives.
Research industry trends, requirements and opportunities.
Assist with special projects.

Qualifications:

Degree from a maritime college preferred, or equivalent experience.
Knowledge of maritime terminology, vessel operations, particularly tugs and barges.
Experience working with safety management systems and certifications, including ISM and ISO.
Experience with a variety of computer software programs, including full MS office suite and Adobe.
Strong written and verbal communication skills.
Creativity and problem-solving skills are a huge plus.
Must have Maritime Operations related experience (2 years plus).

Benefits

Reinauer offers a competitive compensation and benefit package including healthcare, dental, vision, disability (short and long term), flexible spending accounts (FSA), and 401k retirement program.

Job Type: Full-time

Pay: $50,000.00 - $75,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Staten Island, NY 10302: Reliably commute or planning to relocate before starting work (Required)

Experience:

Microsoft Powerpoint: 1 year (Preferred)
Maritime Industry: 2 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Data Analyst - Loans Transformation,"Motion Recruitment
","New York, NY",$83.00 - $89.00 Per Hour (Employer est.),3.4,"Grow your career as a Business Data Analyst - Loans Transformation with an innovative global bank working in New York, NY. Contract role with strong possibility of extension. Will require working a hybrid schedule 2-3 days onsite per week.

Join one of the world's most renowned global banks and trusted brand with over 200 years of continuously evolving financial services worldwide. You will work alongside some of the smartest minds in the industry who are excited to share their knowledge and to learn from you.

Contract Duration: 12 Months


Required Skills & Experience
Good knowledge in Table Relationship & Data Structure and experience in writing SQL scripts to extract data from data warehouse on Oracle database Server.
Good data analytical skill and able to grasp large and complex datasets quickly and willing to pro-actively deep diving into data warehouse and systems independently to gain understanding.
Able to comprehend requirements and derive logics based on requirements.
Able to relate business & operation processes and data flow between systems to reporting metrics.
Experience in implementing tactical solution to create and automate MI tracking metrics in a repeatable format.
Excellent in investigating data issues and propose solutions to the problems.
Able to write and maintain KOPs, data process documents and Business/Functional Requirement Documents (for strategy solutions) and create audit trail by keeping all data sources, working tools and scripts in an organized and easy accessible format.
Important Skills: Data, gap analysis, remediation, process re-design.
Experience in using Lynx UI, Optima Cognos Reporting Tool, risk management (Facility Management, Collateral) and extracting data from Data Globe (especially data schemas: DGSTREAM, DGFU, DGREF & DGLOBE).
Good understanding on loan data hierarchy (Request/Credit Agreement/Facility/GFRN) in Lynx.

System Skills:
SQL script writing
Advanced Excel skill including writing complex formulas and Microsoft Query.
BI Tools
Desired Skills & Experience
Tableau (Creator)
Understanding of trade booking & transaction lifecycle.
Previous experience working in middle office as data and metrics SME in the past.
Office VBA
MS Access
Jira (as user)",1989,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Scientific Business Analyst,"Atlas
","Tarrytown, NY",$90.00 - $100.00 Per Hour (Employer est.),4.0,"Good Day,

Our Client is looking for a Scientific Business Analyst/Consultant.

Title: Sr. Scientific Business Analyst - PMPD
JobDiva #: 23-00805
Start Date: ASAP
End Date: 12/31/2024
Position Type: Contract
Location: Remote and 1 to 2 Days Onsite in Tarrytown, NY

Description:

We are seeking a Sr. Scientific Business Analyst (SBA) to support our top Biotechnology client.
You will be supporting the Preclinical Manufacturing and Process Development (PMPD) Group within R&pD IT.
The organization is undergoing a transformation and looking to enhance their manufacturing process to support their pipeline.
You will be working with the Business, Manufacturing teams and IT teams to support initiatives within PMPD.

Job Responsibilities:

Ability to translate business strategies, goals, and objectives into requirements.
Clearly documents the problem statement and comes up with quantifiable business value statement(s).
Focuses on the problem that the business is trying to address.
Documents the ""As-Is” and ""To-Be” Business processes.
Identify, verify, and document clear functional and non-functional requirements using standard methodologies and tools.
Ability to map how information systems are connected and the data flow between systems.
Has reasonable understanding of different databases and can write SQL statements to investigate data.
Ensures the development team has absolute clarity on what are the requirements and what needs to be developed.
Maintains the backlog of request, prioritizes work, and manages business stakeholder expectations.
Pursue data quality issues to their root cause and work with the business and IT business partners to come up with intelligent ways to address issues.
Familiarity with Laboratory Information Management Systems (LIMS).
Work with Scientists and Laboratory personnel to understand their business processes and suggest improvement opportunities to enhance end-user experience.
Partner with Research Scientists and technical teams to understand and define system goals and technical system requirements.
Must be able to handle a variety of tasks, effectively solve problems with numerous and complex variables, and be able to shift priorities as needed.
Speaking to the business and understand what it is they are trying to accomplish to map solutions.

Requirements:

Demonstrated ability to effectively communicate, both verbally and in writing, with members of all levels of the organization.
Demonstrated ability to clearly document requirements and processes.
Candidate should be able to demonstrate the ability to interact with technical and scientific personnel.
Demonstrated ability to perform business analysis, elicit requirements and identify valid improvement opportunities.
Ability to understand end-user needs and user experience in a science-based research environment.
Willingness to work in and adapt to a fast paced, ever-changing environment.
Attention to detail and a passion for solving complex and interesting problems in a science driven environment.
Analytical with the desire to measure the effectiveness of new features.
Welcome and respect ideas from partners, business stakeholder and technical experts.
Is an independent worker who can also work effectively as part of a team and proactively seeks to innovate.
Demonstrated problem solving and analytical skills.
Strong interest in contributing to Biological research.

Desired Background:

Experience with molecular biology laboratory techniques and bioinformatics methods.
Understanding of relational database concepts.
Understanding of current IT project and software development life cycle processes and methodologies.
Demonstrated ability to interpret and document an extensive variety of scientific and technical processes.
Demonstrated ability to perform business analysis and identify and document valid improvement opportunities.
Experience in fast changing Research focused environments.
Demonstrated ability to manage and lead software development projects.
5-8+ Years Experience in a Research, Pharmaceutical, Biotechnology or Scientific Laboratory environment.
Minimum educational requirements: Masters Degree or Ph.D. in a Life Science with experience in Computer Science or Information Technology.

Remarks:

SBA skillsets supporting PMPD organization:

Business Analysis – 35%
Scientific background or prior experience working with scientist – 25%
Other Competencies – 25%
Culture fit.
Stakeholder Management, etc.
Information Technology – 15%

* Does not need PMPD experience but does need R&D, Pharma, or some Scientific experience

Needs to be passionate about their work
Needs to live up to their resume

Interview Process:

1st Interview (1hr)
2nd Interview with an SBA and PM (30 Min)
3rd Interview with the Manager (30 Min)

We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, genetics, disability, age, or veteran status. We value diversity and inclusion in our workplace and are committed to creating an environment where everyone has an equal opportunity to succeed.

Job Types: Full-time, Contract

Pay: $90.00 - $100.00 per hour

Expected hours: 40 per week

Benefits:

401(k)
Dental insurance
Health insurance

Experience level:

7 years

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in Tarrytown, NY 10591",1998,Business Consulting,$25 to $100 million (USD),Management & Consulting,201 to 500 Employees,Company - Private,True
Credit Management - Control & Reporting Associate,"Santander Holdings USA Inc
","New York, NY",$79K - $150K (Employer est.),3.7,"New York, United States of America

WHAT YOU WILL BE DOING

Position Duties / Responsibilities
Contribute to SCIB Risk projects to implement and maintain the required controls on the SCIB Portfolio. This responsibility requires understanding of: SCIB Business products, SCIB Risk Management processes and approval criteria, and client exposure measurement
Develop relationships with the various areas around the SCIB Risk Control and PM function mainly including business, middle office, operations, methodology, market risk and technology
Identify areas of improvement and propose solutions that align SCIB Risk with Global Risk Policies.
Contribute to SCIB Risk IT development projects. The role requires understanding of IT projects functional and technical specifications. These IT projects are related to all the systems and processes of the bank that are related to Risk Management of SCIB Clients
Understand and provide information for requests from Senior Management.
Take a proactive approach in implementing MIS solutions to improve the performance of SCIB Risk department.

QUALIFICATIONS
Education: Undergraduate degree is a must. Post graduate degree and/or FRM is an advantage

Business Experience: Related experience: 5 years

Technical Qualifications & Skills :
Advanced Excel user. Previous experience in writing VBA macros and S&P CapIQ will be valued
Data analysis (SQL, Tableau, database definition, data entry…)

SPECIALIZED KNOWLEDGE
The ideal candidate should have experience in IT projects in a functional and/or technical role. The candidate should be able to
Understand data flow and can design automated interfaces between systems
Can clearly communicate business needs to programmers and architecture and vice versa
Project management/business analysis experience
People management skills. Develop good and reliable relations with other areas
Experience in banking industry (Corporate Banking / Global Markets). Counterparty risk (PFE, Limit and exposure monitoring) and Treasury Products is an advantage

Diversity & EEO Statements: At Santander, we value and respect differences in our workforce and strive to increase the diversity of our teams. We actively encourage everyone to apply.

Santander is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, genetics, disability, age, veteran status or any other characteristic protected by law.

Working Conditions: Frequent Minimal physical effort such as sitting, standing and walking. Occasional moving and lifting equipment and furniture is required to support onsite and offsite meeting setup and teardown. Physically capable of lifting up to fifty pounds, able to bend, kneel, climb ladders.

Employer Rights: Employer Rights: This job description does not list all of the job duties of the job. You may be asked by your supervisors or managers to perform other duties. You may be evaluated in part based upon your performance of the tasks listed in this job description. The employer has the right to revise this job description at any time. This job description is not a contract for employment and either you or the employer may terminate at any time for any reason.

For NYC Job Applicants: The base annual salary range for this position is $79,200-$149,500. The exact compensation may vary based on skills, experience, training, licensure and certifications and location.
English

Primary Location: New York, NY, Madison Ave Corp

Other Locations: New York-New York

Organization: Santander Bank N.A.",1856,Banking & Lending,$500 million to $1 billion (USD),Financial Services,5001 to 10000 Employees,Company - Private,False
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Business Analyst,"Metropolitan Transportation Authority
","Brooklyn, NY",$61K - $80K (Employer est.),3.6,"Description



JOB TITLE: OHS Business Analyst
SALARY RANGE: $61,261 - $80,405
DEPT/DIV: Occupational Health Services (OHS)
HAY POINTS: 342
SUPERVISOR: Deputy Director, OHS Operational Support
LOCATION: 180 Livingston Street, Brooklyn, NY 11201
HOURS OF WORK: 8:30 am - 5:00 pm (7 1/2 hours/day)
DEADLINE: Open until filled

The OHS Business Analyst will support the Deputy Director, OHS Operational Support in ensuring the planning and execution of OHS strategic and operational initiatives that will support MTA overall agenda. This position interacts with New York City Transit, MTA Bus, MTA HQ, MNR and LIRR on application enhancement and support. This includes, but not limited to managing the medical application, assist in implementing agencies Health & Safety programs and assist in overseeing all new operational requests for OHS. This position will interact with a wide range of stakeholders both within MTA IT and other agencies to ensure all necessary requirements and improvements meets OHS medical programs.


RESPONSIBILITIES:

Supports interdepartmental MTAHQ and interagency teams to execute projects critical to re-shaping MTA into more entrepreneurial and cost-effective agency such as city, state and federally mandated medical surveillance and drug and alcohol programs.
Conducts business process reviews to ensure how to best improve current health and safety mandates. The OHS Business Analyst, through data analysis and operational support, identifies savings or ways to continue to improve Health and Safety. Identifies and pursues methods of improving medical related programs. The position will serve as primary support to Deputy Director OHS Operational Support. Additionally, supports the OHS $1.6 Million medical application and its various medical programs.
Provides operational support in managing OHS medical application in order to support operating departments availability and increase efficiency. Under the direction of the Deputy Director, OHS Operational Support, additional specific responsibilities for:
Maintenance of all interfaces that update the medical application with employee demographic, hearing and drug and alcohol information.
Manage and administers medical application(s) by implementing custom reports, application design updates, security, and testing.
Manage the implementation of new medical programs to support MTA-wide initiatives. Utilizes technology to improve existing and new MTA Health and Safety goals, which includes but not limited to physical ability testing, potential in house clinical testing and expanding MTAs influenza programs.
Provides analytical support to all MTA agencies regarding surveillance programs, clinical testing, periodic medical exams and drug & alcohol testing. Also, builds business relationships with agency stakeholders to ensure these key programs are implemented and managed.
Other duties as assigned.

KNOWLEDGE, SKILLS, AND ABILITIES

Excellent quantitative, analytical, project management and problem-solving skills, together with demonstrated quantitative skills and proficiency in Excel modeling.
Excellent communication skills, both oral and written, with the talent to communicate complex quantitative concepts in a clear and succinct way to internal stakeholders.
Strong interpersonal skills with an established history of working on projects requiring group consensus and cooperation among people with no direct reporting relationships.
Must be capable of building a strong and successful network, developing new relationships and influencing decision makers.
Demonstrated ability to work in team and/or group settings, including gathering data from various stakeholders and interviewing stakeholders in a team or individual setting.
Ability to prioritize among competing needs and opportunities and manage multiple projects at the same time.
Proficiency in and/or ability to learn communication and interpersonal skills.
Proficiency in and/or ability to learn organizational and presentation skills.
Proficiency in and/or ability to learn to work with all internal levels within a given organization.
Proficiency in and/or ability to learn communicate and interact well with external agencies.
Proficiency in and/or ability to learn completing short- and long-term projects effectively and as efficiently as possible.
Proficiency in and/or ability to learn analytical and/or quantitative skills.
Demonstrated proficiency in or ability to learn the Microsoft Office Suite or comparable applications, i.e., Word, Excel (high level comprehensive Excel modeling such as Pivot Tables, conditional formatting, conditional If/Then statements), PowerPoint, Outlook, and PowerBI.

EDUCATION AND EXPERIENCE:

Bachelor’s degree in Business, Computer Information Systems, or a related field or an equivalent combination of education from an accredited college and experience may be considered in lieu of a degree; master’s degree preferred, a minimum of 3 years’ progressively responsible work or internship experience.

Pursuant to the New York State Public Officers Law & the MTA Code of Ethics, all employees who hold a policymaking position must file an Annual Statement of Financial Disclosure (FDS) with the NYS Commission on Ethics and Lobbying in Government (the “Commission”)..


Equal Employment Opportunity

MTA and its subsidiary and affiliated agencies are Equal Opportunity Employers, including with respect to veteran status and individuals with disabilities.

The MTA encourages qualified applicants from diverse backgrounds, experiences, and abilities, including military service members, to apply.",-1,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,Unknown,Government,False
