Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Senior Accountant,"Dreicor, Inc. (Part of the Toledo Engineering/TECO Family of Companies)
","Hendersonville, NC",$75K - $100K (Employer est.),3.0,"Senior Accountant

Dreicor (www.dreicor.com) is looking for a finance and accounting professional with a strong data background. We are a full-service contractor that self-performs fabrication and construction services for projects throughout the US. This role will be responsible for the company’s accounting function and financial reporting. As this is a supervisory role, daily in-office attendance is required.

The company offers outstanding benefits, work/life balance, and a great culture, working with people at all levels in various roles across our network of companies. Dreicor is a stable company that has been in business for 40+ years. The Senior Accountant position has the opportunity for ongoing career development and diversity, including participating in sales and marketing, estimating, and customer interface. This is a great opportunity for the right candidate to be a future leader of this business.

What we offer:

Competitive Salary and Benefit plans
Healthcare Plan including health/dental/vision insurance
Profit-sharing plan
Life Insurance
Paid time off and paid holidays
Corporate culture based on integrity, respect, accountability, and excellence

Qualifications and Competencies:

CPA is a plus
Bachelor’s Degree in Finance, Accounting, or Business
5+ years of experience in related roles (Finance, Accounting, Business Analysis, etc.)
Experience in Payroll & Accounts Payable management preferred
Strong understanding of GAAP and the accounting cycle
Proficiency in Accounting/ERP software (Sage/Timberline) and back-end technical understanding
Highly proficient in Microsoft Excel, knowledge and experience with SQL and business intelligence tools
Strong work ethic and integrity, resourceful and responsible
Proactive and investigative personality who can dig into the details
Construction and fabrication shop experience a plus

Job Specifics/Tasks:

Cash management & planning
General ledger, journal entries and account reconciliations
Job billings
Quarterly closings
Job projections and job cost reporting
Company income and cash flow projections, variance, and margin analysis by department
Building out and maintaining new models for revenue, expenses, and other projections
Review accounting processes and internal controls to ensure audit integrity
Streamline and improve current processes
HR-related compliance
Annual audits and special audits
Any other related tasks that may be required

Job Type: Full-time

Pay: $75,000.00 - $100,000.00 per year

Benefits:

Dental insurance
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Experience level:

8 years

Physical setting:

Office

Schedule:

8 hour shift
Monday to Friday

Supplemental pay types:

Bonus opportunities

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,51 to 200 Employees,Company - Private,True
Business Analyst,Expressions Scrubs and Shoes,"Asheboro, NC",$45K (Employer est.),-1.0,"Job Title: Business Analyst - Inventory and Pricing
Location: Asheboro, NC

Job Type: Full-Time

About Us:

T&M Apparel is a dynamic and innovative company that specializes in medical uniform apparel. We are committed to delivering exceptional products and services to our customers. We are seeking a highly motivated and detail-oriented Business Analyst - Inventory and Pricing Specialist to join our team. If you are passionate about data analysis, inventory management, pricing strategies, forecasting, and planning, we want you to be a part of our growing company.

Job Description:
As a Business Analyst - Inventory and Pricing Specialist at T&M Apparel, you will play a crucial role in ensuring our company's success through the effective analysis and management of inventory, pricing strategies, forecasting, and planning. You will be responsible for:

Responsibilities:

1. Analysis & Reporting:

Collect, analyze, and interpret data to provide valuable insights for decision-making.
Develop and maintain reports, dashboards, and key performance indicators (KPIs) to track inventory and pricing performance.
Present findings and recommendations to senior management to support strategic initiatives.

2. Inventory Management:

Oversee inventory levels, including procurement, allocation, and demand planning.
Optimize inventory turnover while minimizing holding costs.
Implement best practices for stock control and accuracy.

3. Pricing:

Develop, implement, and monitor pricing strategies to maximize profitability.
Analyze market trends, competitive pricing, and customer behavior to make informed pricing decisions.
Regularly review and adjust pricing models to maintain competitiveness.

4. Forecasting:

Utilize historical data, market trends, and other factors to create accurate demand forecasts.
Collaborate with cross-functional teams to ensure product availability meets customer demand.
Continuously improve forecasting models and methodologies.

5. Planning:

Collaborate with the planning team to align inventory and pricing strategies with overall business goals.
Assist in creating and maintaining a detailed inventory and pricing plan.
Identify potential risks and opportunities and develop contingency plans.

Qualifications:

Bachelor's degree in Business, Finance, Supply Chain Management, or a related field
Proven experience in inventory management, pricing strategies, forecasting, and planning.
Strong analytical skills with proficiency in data analysis tools and software. Specifically Microsoft Excel
Excellent communication and presentation skills.
Attention to detail and the ability to work independently and as part of a team.
Knowledge of industry-specific software and tools is a plus.
Strong problem-solving and decision-making abilities.

Benefits:

Competitive salary and bonus structure.
Opportunity for professional development and growth.
Collaborative and inclusive work environment.
Chance to make a significant impact on the company's success.

If you are a dedicated and results-driven individual with a passion for data analysis and a keen understanding of inventory management and pricing strategies, we encourage you to apply for the Business Analyst - Inventory and Pricing Specialist position at T&M Apparel. Join our team and be part of our exciting journey to success.

How to Apply:

Please send your resume and a cover letter outlining your qualifications and interest in the position using the tools on Indeed. We look forward to reviewing your application and potentially welcoming you to our team.

Job Type: Full-time

Pay: From $45,000.00 per year

Benefits:

401(k)
401(k) 4% Match
401(k) matching
Paid holidays
Paid sick time
Paid time off
Retirement plan

Compensation package:

Bonus opportunities
Profit sharing
Quarterly bonus
Yearly bonus
Yearly pay

Experience level:

2 years
3 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Asheboro, NC 27205: Reliably commute or planning to relocate before starting work (Required)

Experience:

Microsoft Excel: 3 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Payments Operations Analyst,"Integrity Consulting
","Winston-Salem, NC",,3.3,"Payment Operations Analyst

Great opportunity with great company in the banking/financial industry. Will be part of a team helping support financial transactions between financial institutions, ensuring transactions are processed correctly and efficiently.

Duties:

Monitor and support of bank transactions
Execute bank settlements and cut-offs
Handle incoming inquiries about payments, quickly and accurately
Respond to settlement reconciliation inquiries for multiple payment application types (ACH, EFT, Wire Transfer, Fed, Swift, etc.)
Respond to inquiries for NACHA and ECCHO standards
Assist with weekend testing when assigned
Effectively handle application concerns with proper escalation to appropriate subject matter experts and management
Complete required reporting, projects, tracking as needed

Required:

Minimum of 4 years of experience in banking/financial industry
Minimum of 2 years of experience with payments
Experience work with applications on distributed (Windows, Unix) systems
Strong attention to detail to ensure firm policies and procedures are adhered to and regulatory requirements are met
Excellent verbal and written communication skills

Desired

Bachelors Degree
Knowledge of clearing and settlement functions
Operations background with firm knowledge of various trade processing, settlement, reporting and regulatory rules and regulations
Understanding of batch and real-time systems
Knowledge of credit/debit cards and related industry partners and processes, including card network standards such as EMV
Strong MS Office (Word, Excel) skills
Experience with NACHA, ECCHO standards

Job Types: Full-time, Contract

Pay: $30.00 - $42.00 per hour

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Vision insurance

Experience level:

4 years

Physical setting:

Office

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Winston-Salem, NC 27107: Reliably commute or planning to relocate before starting work (Required)

Work Location: Hybrid remote in Winston-Salem, NC 27107",-1,-1,$1 to $5 million (USD),-1,1 to 50 Employees,Company - Private,True
Business Systems Analyst,"TTX
","Charlotte, NC",$84K - $114K (Glassdoor est.),3.9,"JOB SUMMARY

Provide support of Equipment department technical systems and master data. This includes the TTX Specialty Request System, Engineering Car Information (ECI) Maintenance Applications, Oracle Fusion Cloud Product Information Management (SCM/PIM). This may include providing training to internal and external resources on these systems/processes. Ensure Maintenance Planning department business continuity roles and needs are identified and maintained. Minimal travel required.

RESPONSIBILITIES

Responsible for monitoring, reviewing, approving and completing TTX Supplier Specialty requests. This involves working with other work business areas involved in the process to make sure requests are completed in an accurate and timely fashion. Specific tasks may include, but are not limited to:


Coordinate the closure of outstanding requests and closure of assigned requests within published service level agreements (SLAs)
Assignment and maintenance of item number information in the Oracle Product Information Management (PIM)
Manage digital drawings when received from component manufacturers.
Produce monthly Supplier Specialty Approval status report of outstanding open requests and previous months closures
Analysis and approval of manufacturer’s compliance to the specialty approval process for SECO meetings
Review and approval of Maintenance Instructions (MIs), Equipment Modification Procedure (EMPs) as it pertains to master data
Process owner of Engineering document review and approvals.
Working with TTX technical resources to help maintain and enhance the Engineering Car Information (ECI) application suite.

Responsible for Creation and Maintenance of Master Data in Oracle Fusion Cloud SCM

Use Oracle New Item Request (NIR) process to create/manage item numbers
Oracle PIM Catalogs
Item and Location Lot number and Grade values
Item Structure Bill of Material
Work Definition data
Approved Supplier Listing records
Trading Partner Item data
Support TTX Waterford item data creation and management in Oracle.

Responsible for supporting TTX Systems

Review and maintenance of item data in Asset Information Catalog (AIC)
Monitoring of system interfaces between Oracle and TTX applications
Support item master data changes in Unified Billing System (UBS) and Business Rules Engine (BRE)
Support master data changes in ECI applications
Publish approved Engineering documents to the TTX Extranet
Support maintenance of Umler data in TTX’s Asset Management system
Support maintenance of Condition Based Maintenance information in TTX’s Maintenance Management system

Perform special projects and ad hoc analysis/reporting as required

QUALIFICATIONS


Bachelor’s Degree or equivalent from four year college or university preferred.
Proficient in Microsoft Suite of Products including Excel, Access, Word, Outlook and PowerPoint.
Ability to read and generally understand Engineering drawings for necessary information.
Comfortable with and learns computing applications rapidly to be able to operate and train others.
Ability to deliver strong, clear and concise communications, both oral and written.
Ability to work with mathematical concepts such as probability and statistical inference.


PHYSICAL JOB REQUIREMENTS

(The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.)

General office environment; may be required to travel. While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to sit (remain stationary within work area) and use hands to finger, handle, feel and reach. The employee is occasionally required to move about (stand, walk). The employee must occasionally lift and/or transport up to 10 pounds. Correctable vision required for close, distance, and color vision capabilities.

The above job description is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of duties, responsibilities or requirements.",1955,Rail Transportation,$1 to $5 billion (USD),Transportation & Logistics,1001 to 5000 Employees,Company - Private,False
Business Applications Analyst,Open Intelligence,"Raleigh, NC",$65K - $85K (Employer est.),-1.0,"Open Intelligence is seeking a superstar Applications Systems Analyst with strong analytical and problem-solving skills to join our team in support of the National Institute of Environmental Health Sciences (NIEHS) Grants Application Development Support (GADS) project. You will be responsible for implementing strategic client initiatives and will support all stages of the application development lifecycle. This includes gathering and analyzing information, testing application software, and developing and communicating requirements and specifications. You will also support our Help Desk (business hours).

Our work in support of public health is as complex as it is rewarding, and our clients recognize the quality of work that we consistently deliver. Our development team and clients are kind, organized, respectful, and highly productive. If these are qualities that hold no value to you, please do not apply for this position.

Who is Open Intelligence?

Open Intelligence, founded in 2005, is an information technology and business solutions firm specializing in application and database development for the Federal scientific research community. The leadership and developers at Open Intelligence offer a combined experience of over 50 years of contracting service to the Federal Government. We are small and mighty...by design.

In addition to our technical expertise, we have a proven track record of efficient project management, agile methodologies, transparency in reporting, and clear and effective communication throughout the cycle of analysis, research, design, and implementation. Our clients praise our work, customer service, and innovative solutions.

Due to COVID-19, all work is temporarily being performed remotely.

Open Intelligence is located in Raleigh, NC.
The NIEHS is located in RTP, NC.
Occasional meetings are required in person at both locations. Please consider this when applying.

This is a FULL-TIME salaried position with the following benefits:

Health Insurance (BCBSNC)
Dental Insurance (BCBSNC)
Vision Insurance (BCBSNC)
15 days of PTO (annually)
10 federal holidays (annually)
401k with company matching

Responsibilities

Analyze and translate business and user requirements into high-level features and detailed user stories with acceptance criteria
Monitor the help desk (during business hours) and create support tickets based on notifications received.
Break down and prioritize delivery of product features by maintaining the product backlog and user stories
Participate in meetings to clarify requirements, formulate design approaches, and confirm business needs.
Derive and create business process models from customers and communicate business rules to developers
Translate concepts into wireframes and mockups.
Conduct multiple levels of testing, including functional, regression, user acceptance, and performance testing.
Participate in Sprint backlog grooming meetings; explain feature priorities and requirements to the team
Assist in user training, communication, presentations, and project documentation efforts
Facilitate meetings with customers, prepare agendas, lead discussions, and record meeting minutes
Support the project manager with risk tracking, change management and other project management tasks
Work in a collaborative Agile Scrum team environment, estimate and plan iterative releases, conduct retrospectives

Basic Qualifications

Familiarity with Agile software development methodology, processes, and techniques
Possess strong written and oral communication skills along with the ability to interact professionally with a diverse range of team members
Strong customer service skills and customer relationship management experience
Ability to absorb and synthesize information from various outlets and develop presentations for the client
Must be detail oriented with strong organizational skills and effective at time management
Working knowledge of common project management tools including the Microsoft Office Suite​
Must be a highly motivated, reliable self-starter and can be counted on to complete assignments with minimal oversight

Education and Experience

Bachelor’s degree or higher education.

Job Type: Full-time

Pay: $65,000.00 - $85,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

No nights
No weekends

Education:

Bachelor's (Required)

Work Location: Hybrid remote in Raleigh, NC 27604",-1,-1,-1,-1,-1,-1,True
BUSINESS SYSTEMS ANALYST,"Guilford County Schools
","Greensboro, NC",$5K (Employer est.),3.1,"JobID: 32056



Position Type:
Classified - Information Technology

Date Posted:
9/7/2022

Location:
Guilford Enterprise Management System (GEMS)

Date Available:
07/01/2023

Fair Labor Standards Act Classification: Non-Exempt
Position Term: 12 month
Classification: Continuing
Time Basis: Full-Time
Position Type: Classified
Benefits: Full
Starting Salary: $4,855.00 per month
Pay Grade: 77
GCS Salary Schedules
*Three positions are available*",-1,Preschools & Child Care Services,$100 to $500 million (USD),Education,5001 to 10000 Employees,Company - Private,False
Senior Business Data Analyst,"TTX
","Charlotte, NC",$88K - $116K (Glassdoor est.),3.9,"JOB SUMMARY

The Senior Business Data Analyst provides strategic and tactical support to the enterprise by analyzing and interpreting data for solutions. Develops rules and methodologies for effective Data Management. Uses knowledge of data analysis tools and other technology to provide data integration solutions. They are responsible for the development of an in-depth understanding and analysis of the data requirements for projects and ad-hoc reporting and analysis needs. This position influences senior management, technical leads and architects in achieving strategic goals by facilitating the data availability and quality of systems and processes. Provides technical and professional assistance for less experienced team members.




RESPONSIBILITIES


Competencies:
Responsible for both leading and participating in a team of analysts focused on the analysis, design, implementation, and follow up of the migration of data from the on-premises Enterprise Data Warehouse to the Azure Data Warehouse.
Leads and directs the work of others.
Lead research, planning, development and testing of data provisioning, analysis and ad-hoc reporting solutions.
Participates in developing the methodology for documenting data templates for various types of data.
The ability to extract and analyze data, patterns, and related trends, with the subsequent ability to synthesize the data into information consumable by senior business decisionmakers.
Reviews and ensures that major data architectural designs are consistent, maintainable, flexible and cost effective.
Understands industry trends, emerging technologies and standards in order to evolve the Standards and Roadmap.
Provides analysis to support development of vision, data strategy, data architecture and the overall design and development of Enterprise Data Warehouse as needed.
Provides consultation to application owners, business partners and peer groups regarding long and short-range data solutions that meet business requirements.
Diagnoses data problems effectively and determines solution options with consideration to business impact.
Adheres to enterprise architecture strategies, principals, standards, policies and procedures. Understands and ensures compliance with IT strategy.
Diagnose and fix bugs, performance and security issues
Be a champion of digital security at TTX
Ensure resources diagnose and fix bugs, performance and security issues
Document system architecture o Improve the overall quality and security of any related systems
Ensure access to data follows the principle of least privilege as required


Professional:
Follows through with commitments.
Proactively initiates, develops, and maintains effective working relationships with team members.
Relies on extensive experience and judgment to plan and accomplish goals.
Demonstrates the ability to cooperate with a variety of people and achieve results.
Works independently with personnel at all levels and follows departmental standards.
Works closely with management to prioritize business and information needs.
Self-starter – must be productive with minimal direction
Ability to work in a fast-paced, technical, cross-functional environment o Excellent visual design sense regarding clear and accurate presentation of data
Personal:
Accurately prepares written business correspondence that is coherent, grammatically correct, effective and professional.
Clearly articulates ideas and thoughts verbally.
Ability to manage changing priorities.
Shares acquired skills with team members through formal and informal channels


QUALIFICATIONS


Bachelor’s degree or equivalent and work experience defined as 7 or more years of overall experience with data analysis for major software systems.
Excellent knowledge of data requirements for the Railroad Industry.
Ability to quickly assess the impact of data changes on the business, application relationships and information flow.
Must be a self-starter with the skills required to be able to motivate and influence across all levels of the organization.
Ability to function as a thought leader for Microsoft Power BI.
Strong ability to facilitate collaboration among senior technical team members and senior business leaders.
Ability to use advanced analytic tools to develop predictive models.
Experience defining and implementing information and data architecture governance, including acting as a design authority for information and data within projects and programs.
Effective use of data analysis tools (SQL, Power BI, Tableau, etc.) to access and manipulate data across a range of database and information platforms.
Ability to lead, motivate and participate in cross functional teams, providing mentoring and support to junior team members.
Ability to define and manage the scope of data tasks and execute projects on time and within budget, escalating exceptions in a timely manner.
Excellent interpersonal and communications skills - lead, collaborate, facilitate, and negotiate as necessary.
Ability to work flexible hours during key implementation activities.


PHYSICAL JOB REQUIREMENTS


(The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.)


General office environment; may be required to travel. While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to sit (remain stationary within work area) and use hands to finger, handle, feel and reach. The employee is occasionally required to move about (stand, walk). The employee must occasionally lift and/or transport up to 10 pounds. Correctable vision required for close, distance, and color vision capabilities.


The above job description is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of duties, responsibilities or requirements.",1955,Rail Transportation,$1 to $5 billion (USD),Transportation & Logistics,1001 to 5000 Employees,Company - Private,False
Commercial Business Analyst (remote),"SouthState Bank, National Association
","Charlotte, NC",$60K - $93K (Glassdoor est.),4.0,"We’ve been providing financial solutions to individuals, families, and businesses throughout the Southeast for more than 100 years. Both companies were built on the same founding principles of relationship banking and investing in the communities we serve. It’s the commitment to these values that made us the strong and successful companies we are today and these values will guide us in the future. We invite you to consider joining our team.

SUMMARY/OBJECTIVES

It is the responsibility of the Commercial Business Analyst – Operations to take ownership of all tasks and challenges they encounter in the operation of their assigned position. The role is a critical support function of the Commercial Line of business requiring frequent interaction with Executive and Senior level management. It is both tactical and strategic in nature with significant collaboration within the LOB team as well as other departments of the bank including Marketing and Communication, Finance, and the Consumer Division.

ESSENTIAL FUNCTIONS

Analyze and Develop Changes Process and Updates to the Commercial Line of Business pertaining to Compliance Regulations, specifically the 1071 ruling.

Compliance Risk Management in Partnership with Enterprise Risk and Business Risk Leaders to include Solutioning and Implementation changes resulting from Loan Review, Audit, and other areas where Risks could be identified.

Management and ongoing monitoring of Risk based projects such as Adverse Action

Evaluation of Exception Reporting Process which would have a significant impact on outstanding Risks.

Collaboration with Financial Intelligence Unit on Process Improvement and ongoing updates and changes based on new Commercial Bank Products

Partner with the Compliance Monitoring Group in relation to HMDA/CRA

Assist Commercial Client Services Manager role(s) with ongoing training and Lunch & Learns.

Collaborate and Assist with Commercial Operations Business Analyst role on Job Aids, Quick Reference Guides, Procedures, and Commercial End2End Project sponsored by Loan Operations (3-5 years of work).

Collaboration with other teams of the bank on projects, as needed: e., nCino, Loan Closing, Credit teams, Deposit Operations, Loan Operations.

Assure all confidential information is properly safeguarded in accordance with Bank policies. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential

COMPETENCIES

Proficient in MS Office

Strong banking knowledge

Advanced problem-solving and analysis skills

Superior oral and written communication skills

High level of organization and detail-orientation

Strong work ethic and willingness to take initiative

Good attitude toward teamwork as well as the ability to work independently

Demonstrated ability to multitask and prioritize

Excellent time management

Working knowledge of Archer

Qualifications, Education, and Certification Requirements

Education : bachelor’s degree (Graduate Degree encouraged)

Experience : Banking compliance background and Previous Banking Experience is preferred

Certifications/Specific Knowledge : Strong interpersonal skills, proficient computer skills, ability to multitask and prioritize projects. Working knowledge of Archer

TRAINING REQUIREMENTS/CLASSES

Required annual compliance training; New Employee Orientation; Product Knowledge Class

PHYSICAL DEMANDS

Must be able to effectively access and interpret information on computer screens, documents, and reports. This position requires a large amount of time in front of a computer. This can be done sitting or standing with use of the right desk.

WORK ENVIRONMENT

This position is remote.

Telecommuting roles, no matter if hybrid or 100% full time telecommuting must have a secure home office environment that is free from background noise and distractions. They must also have a reliable private internet connection that is not supplied by use of cellular data (hot spot). Cable or fiber connections are preferred. Requirements are subject to change, as new systems and technology is delivered.

TRAVEL

Travel may be required to come to meetings as needed.

#LI-CE1",1933,Banking & Lending,$100 to $500 million (USD),Financial Services,1001 to 5000 Employees,Company - Public,False
Associate Business Analyst,"Brooksource
","Charlotte, NC",$23.00 Per Hour (Employer est.),3.9,"Associate Business Analyst

Associate Business Analysts are responsible for analysis, documentation, and creating billing solutions for both ICOMS and CSG billing systems. Associate Business Analysts will ensure billing solutions meet specified and approved requirements from our internal customers as well as Billing Executive leadership. This position includes documenting high-level solutions, performing testing of the solution, documenting the configuration, submitting developer requirements (if required), and providing technical billing subject matter expertise and support of billing solution launches.

MAJOR DUTIES AND RESPONSIBILITIES

Works intimately with business owner/requestors or design architecture on understanding requirements and documenting requirements.
Develops and documents billing solutions including process flows.
Understands all order entry processes and procedures and business rules within the company.
Works with Data Standards, requests data standard codes, and ensures we are following data standard guidelines.
Performs analysis on billing systems, billing data, and processes in order to determine the best billing design and solution.
Provides support for complex issues within our billing systems.
Runs queries and pulls billing data to support analysis and billing design.
Designs solutions for MEC (Master Enterprise Catalog) to support the Gateway system.
Creates and documents billing system configuration guides.
Perform other duties a requested by supervisor.

REQUIRED QUALIFICATIONS

Strong experience in SQL and Excel
Strong Communicator (written and verbal): ability to read, write, speak and understand English
Ability to conduct presentations in front of an audience (could include Executive Leadership)
Ability to analyze and interpret data
Ability to communicate with all levels of management and company personnel
Ability to handle multiple projects and tasks
Ability to maintain confidentiality
Ability to make decisions and solve problems while working under pressure
Ability to show judgment and initiative and to accomplish job duties
Ability to work independently
Knowledge of industry requirements used to support end user cable, data, and telephony billing
Ability to work extended hours.
Knowledge of systems used by Cable and/or Telecommunications industries to support billing, customer services, and accounting activities is a plus
Proficient in Microsoft desktop products including Access, Word, Excel, Power Point, Visio, and Project

Education

BA/BS in Information Technology, Computer Science, or related field or equivalent work experience.

Job Type: Contract

Pay: $23.00 per hour

Expected hours: 40 per week

Benefits:

Dental insurance
Health insurance
Vision insurance

Compensation package:

Hourly pay
Weekly pay

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in Charlotte, NC 28217",2000,HR Consulting,$100 to $500 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
Business Analyst (Remote),"Partners Health Management
","Mocksville, NC",$57K - $92K (Glassdoor est.),3.8,"Competitive Compensation & Benefits Package!

Position eligible for –
Annual incentive bonus plan
Medical, dental, and vision insurance with low deductible/low cost health plan
Generous vacation and sick time accrual
12 paid holidays
State Retirement (pension plan)
401(k) Plan with employer match
Company paid life and disability insurance
Wellness Programs
See attachment for additional details.

Office Location: Remote
Projected Hiring Range: Depending on Experience
Closing Date: Open Until Filled


Primary Purpose of Position: This position performs professional duties of business requirements analysis, project management, technical advisor, and assists with the coordination of the design, testing, and implementation of the agency’s systems and related integrations. This position works with end users, vendors, external partners and in-house IT resources to support, maintain, and enhance the agency’s information system and develop creative new technical solutions. This position serves as a technical liaison between the IT department and the agency’s Programs and external entities. This position understands and evaluates workflows, structure, operations, desired outcomes, goals of the organization to recommend highly effective solutions to assist the agency in achieving its goals.


Role and Responsibilities:

Design, test, support and implement software applications necessary to satisfy the needs of the company in accordance with the company’s policies and procedures.
Coordinate projects design and implementation of new features, fixes and upgrades to new and existing systems.
Actively develop and/or assist with developing project scope, goals and suggested format for project implementation to meet both internal and State requirements.
Develop test case scenarios, perform user acceptance and regression testing; document the testing process and results.
Write SQL queries to assist with testing, analysis, and troubleshooting.
Test and troubleshoot flat file format issues.
Test and troubleshoot processes such as SSIS packages.
Identify, verify, and provide solutions for defects within the information system; track issues, and provide feedback
Advanced troubleshooting assistance of end user issues and coordination of resolution once determined.
Analyze and document the present business practices and processes, to include both functional and non-functional requirements. Identify cross functional impacts of the systems to determine how to maximize efficiencies and overall impact and effectiveness throughout organization.
Analyze current business practices to recommend solution to enhance efficiency, improve workflow, and/or solve problems.
Research software products and solutions and make recommendations to IT Management.
Provide business systems support in response to user input, contacting software vendors as required.
Assist in validating results from data extractions and reports to ensure results match specifications and documentation.
Ensure the fulfillment of technical requirements, and review quality and accuracy of project deliverables;
Create data flow diagrams. system requirement documents and technical specifications as needed.
Provide support and training assistance to users to ensure that new technologies are used properly and to their fullest potential.
Employ best practice testing methodologies.
Create and maintain test automation.
Update policies and procedures as required.
Performs other job-related tasks as required.


Knowledge, Skills and Abilities:

Thorough knowledge of modern techniques in system analysis and design in an environment of multiple systems including multi-user networking and communications
Extensive knowledge of desktop business applications, particularly MS Office 365, MS Project, MS Visio.
Knowledge of project management techniques and best practices
Proficient using testing methodologies and experienced documenting of test cases and results.
Knowledge of user interface design
Competent understanding of the LME/ MCO/Tailored Plan business operations and HIPAA/HITECH regulation regarding privacy and data security.
Demonstrate technical aptitude through strong analytical skills, problem identification and resolution, organizational skills, creativity, and critical thinking
Excellent customer service, interpersonal, and communication skills and the ability to address diverse groups of internal and external personnel in small and large forums.
Ability to establish and maintain effective working relationships with technical staff and other staff
Ability to interview users, determine needs and translate to determine most appropriate solutions
Ability to gather and present technical information effectively in oral and written form to allow a vendor or in-house developer to know exactly what is needed, expected results, and impact of change
Advanced skills in problem solving and the ability to multitask effectively while managing several projects simultaneously.
Ability to prepare technical reports, documentation, and manuals


Education and Experience Required: Bachelor’s Degree and 5+ years of experience in any of the following: Information Technology, Business Analytics or Project Management; or other equivalent education and experience in closely related fields may be considered.

Education and Experience Preferred: Bachelor’s Degree in an information technology field and 5+ years of business, systems analytics and project management experience. PMI Certification and or Certification from an accredited university is preferred.",-1,Hospitals & Health Clinics,Unknown / Non-Applicable,Healthcare,Unknown,Company - Private,False
