Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Junior Sales and Marketing Analyst,Kappa Publishing Group LLC,"Blue Bell, PA",$50K (Employer est.),-1.0,"About Kappa Publishing Group

Kappa Publishing Group is one of the nation’s top publishers, specializing in puzzle and game magazines and books, coloring and activity books, seasonal products, and educational books for children.

Kappa is a market leader in the “puzzle” space with its crossword, sudoku, codebreaker, and word search books and magazines.

This is an exciting growth period for Kappa as we look to invest in consumer promotions, growth of our existing product lines and expansion of our team.

In this position you will work directly with a team of experienced professionals on sales and marketing projects undertaken to grow the company.

Job Summary:

The Sales and Marketing Analyst is a very important role that manages communication of marketing initiatives and assisting the sales team to manage accounts. The Sales and Marketing Analyst keeps all tasks on track while recording and presenting progress of strategic sales and marketing metrics and initiatives. The Sales and Marketing Analyst reports directly to the General Manager.

Responsibilities include:

Helping launch, manage, and align projects with business goals
Project management of key marketing initiatives
Identify and define project requirements, scope and objectives
Data analysis seeking key insights from ongoing and new projects
P&L Analysis
Sales forecasting; compiling and analyzing monthly customer performance reports, identifying sales trends
Inventory forecasting/planning
Creating quarterly and annual budget estimates
Researching new marketing methods and partners
Analysis of market data seeking trends and new opportunities
Determining new product release content for customers

You will love working here because you:

Have strong working knowledge of Microsoft Excel
Bring a strong sense of urgency, enthusiasm, and commitment to all aspects of the work
Have strong organizational skills, including multitasking and time-management
Have strong written and verbal communication
Have strong teamwork skills

Requirements:

2+ years experience in project management and/or sales and marketing or recent graduate with a degree in this field
Microsoft Power BI and Access skills a huge plus

Job Type: Full-time

Pay: From $50,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Health savings account
Paid time off

Schedule:

Monday to Friday

Work Location: In person",-1,-1,-1,-1,-1,-1,True
ERP Business Analyst (Hybrid),"Worldgate, llc
","Philadelphia, PA",$75K - $85K (Employer est.),4.4,"Job Summary:

The ERP Business Analyst (BA) supports our client's ERP systems project. The BA works with our client’s functional and technical stakeholders to gather business requirements and document processes for ERP system testing and QA. The BA will coordinate project stakeholders to effectively implement large-scale organizational, process and system improvements. The BA will report up to project stakeholders using project management tools and desired client reporting structures. The position is located onsite and remote in Philadelphia with a hybrid work option available.

Essential Functions / Responsibilities:

Support in the design, configuration, and implementation efforts or the system modules.
Develop Testing Plans, strategies, and test cases
Document and communicate test results
Identify and facilitate issue resolution with functional and technical groups
Conduct business analysis activities by working with functional and technical stakeholders to support the functional systems, data integrations, data validation, data cleansing, testing.
Seeking experience with a client or vendor relationship, implementing business application systems such as ERP (Oracle, SAP, Microsoft, Salesforce).
Organize and facilitate stakeholder requirement sessions
Demonstrate the ability to document, define, analyze and translate functional and technical business requirements
Translate business needs into requirements specifications and clearly communicate requirements to both the business and technical stakeholders
Lead in the development and review of requirements documents, use cases, test cases and other functional and technical artifacts
Promote best practices in data analysis and reporting
Capture and document meeting minutes, requirements, work-flows and best practices
Effectively communicate to management and client stakeholders on work products and status
Participate in enterprise-level project teams to identify and implement process and system improvements.
Responsible to understand Worldgate’s values and behaviors (The Worldgate Way)
Ensure that my daily interactions with Worldgate internal and external parties align to Worldgate’s values and behaviors.

Key Competencies:

Business Analysis
Problem Solving
Technical Capacity
Team Collaboration

Education, Experience and Certifications:

Bachelor's degree (B. A. or B.S.) from four-year college or university
3+ years of experience as a business analyst focused on enterprise IT systems
Experience supporting the implementation of an ERP system
Experience with SAP Implementation

Specific Knowledge, Skills & Abilities:

Excellent documentation and writing skills
Experience with data analysis using Microsoft Excel and SQL Database
Experience with implementing large-scale organizational, process and system improvements
Organizational skills, communication skills and strong attention to detail
Knowledge of BI reporting tools
Knowledge of back-end database systems and database languages

Worldgate LLC provides equal employment opportunities to all employees and applicants for employment, without regard to race, color, age, creed, religion, sex, sexual orientation, ancestry, national origin, disability, pregnancy, marital status, or gender identity.

Job Type: Full-time

Pay: $75,000.00 - $85,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift

Ability to commute/relocate:

Philadelphia, PA 19130: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Are you authorized to work in the United States WITHOUT sponsorship?

Education:

Bachelor's (Required)

Experience:

Business analysis: 2 years (Required)
Microsoft Excel: 2 years (Required)
ERP systems: 2 years (Preferred)

Work Location: Hybrid remote in Philadelphia, PA 19130",2002,Business Consulting,$5 to $25 million (USD),Management & Consulting,51 to 200 Employees,Company - Public,True
Business Analyst,"SDNA Global
","Malvern, PA",$78K - $94K (Employer est.),4.4,"Skills:

Statistics and Probability, Data Visualization, Communication Skills, Decision-making and Problem-solving.

Responsibilities:

Creating a detailed business analysis in an effort to outline problems, opportunities, and solutions for a business.
Budgeting and forecasting.
Planning and monitoring.
Variance analysis.
Pricing.
Reporting.
Defining business requirements and reporting them back to stakeholders.

Job Type: Full-time

Pay: $78,415.98 - $94,436.46 per year

Benefits:

401(k)
Dental insurance
Health insurance

Compensation package:

Bonus opportunities
Performance bonus
Yearly pay

Experience level:

8 years

Schedule:

8 hour shift

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Business Analyst (Hybrid),"Worldgate, llc
","Philadelphia, PA",$65K - $90K (Employer est.),4.4,"Job Summary:

The Business Analyst (BA) supports our client's systems project. The BA works with our client’s functional and technical stakeholders to gather business requirements and document processes. The BA will coordinate project stakeholders to effectively implement large-scale organizational, process and system improvements. The BA will report up to project stakeholders using project management tools and desired client reporting structures. The position is located onsite and remote in Philadelphia with a hybrid work option available.

Essential Functions / Responsibilities:

Support in the design, configuration, and implementation efforts or the system modules.
Develop Testing Plans, strategies, and test cases
Document and communicate test results
Identify and facilitate issue resolution with functional and technical groups
Conduct business analysis activities by working with functional and technical stakeholders to support the functional systems, data integrations, data validation, data cleansing, testing.
Organize and facilitate stakeholder requirement sessions
Demonstrate the ability to document, define, analyze and translate functional and technical business requirements
Translate business needs into requirements specifications and clearly communicate requirements to both the business and technical stakeholders
Lead in the development and review of requirements documents, use cases, test cases and other functional and technical artifacts
Promote best practices in data analysis and reporting
Capture and document meeting minutes, requirements, work-flows and best practices
Effectively communicate to management and client stakeholders on work products and status
Participate in enterprise-level project teams to identify and implement process and system improvements.
Responsible to understand Worldgate’s values and behaviors (The Worldgate Way)
Ensure that my daily interactions with Worldgate internal and external parties align to Worldgate’s values and behaviors.

Key Competencies:

Business Analysis
Problem Solving
Technical Capacity
Team Collaboration

Education, Experience and Certifications:

Bachelor's degree (B. A. or B.S.) from four-year college or university
3+ years of experience as a business analyst
Experience leading and presenting meetings to steakholders

Specific Knowledge, Skills & Abilities:

Excellent documentation and writing skills
Experience with data analysis using Microsoft Excel and SQL Database
Experience with implementing large-scale organizational, process and system improvements
Organizational skills, communication skills and strong attention to detail
Knowledge of BI reporting tools
Knowledge of back-end database systems and database languages

Worldgate LLC provides equal employment opportunities to all employees and applicants for employment, without regard to race, color, age, creed, religion, sex, sexual orientation, ancestry, national origin, disability, pregnancy, marital status, or gender identity.

Job Type: Full-time

Pay: $65,000.00 - $90,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift

Ability to commute/relocate:

Philadelphia, PA 19130: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Are you authorized to work in the United States WITHOUT sponsorship?
Are you able to work WITHOUT sponsorship? (Must answer to be considered)

Education:

Bachelor's (Required)

Experience:

Microsoft Excel: 3 years (Required)
Business analysis: 2 years (Required)
ERP systems: 1 year (Preferred)

Work Location: Hybrid remote in Philadelphia, PA 19130",2002,Business Consulting,$5 to $25 million (USD),Management & Consulting,51 to 200 Employees,Company - Public,True
Business Intelligence Lead Developer,"Nutrisystem, Inc.
","Fort Washington, PA",$96K - $135K (Glassdoor est.),2.9,"*Nutrisystem is on a hybrid schedule. We are in-office Tuesday-Thursday and remote on Monday and Friday each week*


Position Overview:

Nutrisystem is seeking a highly experienced BI Developer with a minimum of 10 years of experience in report writing or as a business analyst. The ideal candidate will possess extensive expertise in SQL query development, the ability to effectively engage with business stakeholders, and a strong track record in creating reports using tools such as Looker, Business Objects, Power BI, or Tableau. Prior experience with Looker Reporting Studio is considered a significant advantage.

Key Responsibilities:


Develop and optimize SQL queries for data extraction and analysis.
Collaborate with business stakeholders to gather and understand reporting requirements.
Create visually compelling and insightful reports using Looker.
Field daily report requests from multiple Backoffice teams to meet the needs of customers.
Conducting and troubleshooting reports and data models.
Comprehend and work with Key Performance Indicators (KPIs) and metrics.

Qualifications:


A minimum of 10 years of experience in report writing or as a business analyst.
Proficiency in SQL query development (queries, stored procedures, functions) and data analysis.
Familiarity with SQL Server databases and data warehousing.
Proven experience with one or more of the following reporting tools: Looker, Business Objects, Power BI, or Tableau.
Strong understanding of KPIs and metrics.
Exhibit adaptability and a quick learning curve to efficiently contribute to projects.

Knowledge of Snowflake Datawarehouse query development is a plus.

If you are a skilled BI Developer with a deep knowledge of reporting tools and data analysis, and if you are ready to hit the ground running in a dynamic environment, we encourage you to apply and be a valuable part of our team.",1971,Drug & Health Stores,Unknown / Non-Applicable,Retail & Wholesale,201 to 500 Employees,Company - Private,True
Digital Business Analyst,"HITACHI RAIL STS USA, INC.
","Pittsburgh, PA",$64K - $92K (Glassdoor est.),3.6,"Description

HITACHI RAIL is looking for an enthusiastic self-motivated Digital Business Analyst who thrives in a fast-paced environment. The successful candidate is comfortable performing a wide range of tasks from administrative to strategic. The position is based in Pittsburgh, PA.


Who We Are

Hitachi Rail is a fully integrated, global provider of rail solutions across rolling stock, signaling, service & maintenance, digital technology and turnkey. With a presence in 38 countries across three continents and over 13,000 employees, our mission is to contribute to society through the continuous development of superior rail transport solutions.

The Digital Business Analyst is required to gain and demonstrate technical knowledge of Hitachi Rail products’ portfolio to review and report revenues powered by Lumada for Hitachi Rail.


The right person will have strong business analysis skills with a versatile mind-set to converge technical and economic concepts to understand stakeholder needs and business strategy and to able to synthetize correctly the information and disseminate it to an audience with different background.


In D&LS, we work with an Agile mindset, with maximum flexibility and extreme focus on results. The successful candidate will have the opportunity to embrace the digital transportation ecosystems of Hitachi and live on the edge to be part of creating new source of business in Hitachi Rail.

Position responsibilities:

Define and implement organization governance within the D&LS unit. Set control and reporting mechanisms.
Coordinate development of commercial pipelines and budgets. Develop and implement budget planning and control processes. Develop KPIs for monitoring and reporting to enable decision-making.
Support business transformation activities and special projects including business integrations with diligent planning, control, and reporting.
Manage projects with effective stakeholder management, project management, risk management and conflict management.
Ensure effective collaboration with Hitachi BU/Group companies and business partners and support interactions for Digital & Lumada projects.
Support CLBO activities in cooperation with the corporate and cross-BU colleagues with data collection, analysis and reporting of revenues and financial performance.
Collaborate with all teams within the DLS unit to achieve business results.
Collaborate with External Communications and Marketing team, ensure planning and implementation of Business Development and Marketing activities in accordance with the Commercial plan.

Required Skills/Knowledge

Minimum of 3-5 years working experience in a similar Business Analyst role
Expertise to use project management practices and tools
Excellent stakeholder management skills.
Strong analytical skills and can extract key points from large quantities of qualitative and quantitative data.
Attention to detail whilst also retaining a view of the bigger picture.
Excellent project management skills.
Ability to plan, coordinate and prioritize workload independently and proactively.
Strong IT skills, in particular high proficiency in the use of MS Office Applications (i.e. PowerPoint, Excel, Word and MS Project)
Strong written skills, excellent written English and able to produce precise and concise reports and meeting notes.
Ability to understand Hitachi Rail’s core and digital products and solutions.
Experience in finance, sales or projects environment is preferable.
Experience of working in a global organization.


Education/Qualifications

Bachelor’s degree (Engineering, Business School)


Languages
Fluent Knowledge of English (written & spoken), French advantageous

Benefits:

Hitachi Rail employees enjoy a comprehensive benefits package including Competitive Pay, Medical, Dental and Vision Insurance, Short & Long Term Disability, Life & Accident Insurance, Flexible Spending Accounts, Savings Plan, and Paid Vacation. We also offer a number of Work/Life Programs such as Flextime and a variety of Training and Development opportunities.

We thank all applicants for their interest; however, only those under consideration will be contacted. Join us at www.Hitachi Rail-sts.com/en/careers.

It is our commitment at Hitachi Rail to create a diverse environment and we are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

We would be delighted if you would be one of our followers!

Have a glance at our LinkedIn page https://www.linkedin.com/company/hitachirailsts/

Equal Opportunity Employer (EOE)-Females/Minorities/Protected Veterans/Individuals with Disabilities

If you need a reasonable accommodation to apply for a job at Hitachi, please send the nature of request and contact information to hrunitedstates@hitachirail.com. Queries other than accommodation requests will not be responded to.

In accordance with the DOT’s FRA and FTA programs, Hitachi’s substance screening program tests pre-employment candidates and current employees, as required for safety-sensitive positions.

Equal Opportunity Employer (EOE)-Females/Minorities/Protected Veterans/Individuals with Disabilities

If you need a reasonable accommodation to apply for a job at Hitachi, please send the nature of request and contact information to hrunitedstates@hitachirail.com.

Queries other than accommodation requests will not be responded to.",1910,Rail Transportation,$1 to $5 billion (USD),Transportation & Logistics,10000+ Employees,Company - Private,False
Business Analyst II,"Credorax
","Center Valley, PA",$57K - $80K (Glassdoor est.),4.5,"Overview
Shift4 (NYSE: FOUR) is boldly redefining commerce by simplifying complex payments ecosystems across the world. As the leader in commerce-enabling technology, Shift4 powers billions of transactions annually for hundreds of thousands of businesses in virtually every industry. For more information, visit www.shift4.com.
Responsibilities
Define and execute the product strategy and roadmap for BI products and features.
Collaborate closely with development to scope requirements and deliverables, launch criteria, and success metrics.
Create and maintain a product roadmap, define key deliverables, and proposed value to the client.
Utilize analytics and metrics to measure performance and continually improve product effectiveness.
Monitor, analyze, and respond to market changes to remain competitive and deliver on Client needs.
Qualifications
3+ years of product management experience.
Experience defining product requirements and Agile user stories.
Strong analytical and problem-solving skills.
Strong written and oral communication skills.
A passion for technology, user experience, and continuous learning.
Ability to work well in a fast-paced, multidisciplinary team environment.
Working knowledge of Agile/Scrum software development methodologies.


Location:
This position is not remote, only available at any of the following Shift4 offices in a hybrid mode (4 days/week in the office, 1 day home office):
Center Calley, PA
Butler, PA
Silver Spring, MD
Tampa, FL


We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class.",2007,Financial Transaction Processing,$5 to $25 million (USD),Financial Services,201 to 500 Employees,Company - Private,False
Operations Analyst IV,"Partners Consulting, Inc.
","Philadelphia, PA",$73K - $104K (Glassdoor est.),4.1,"Title: Operations Analyst IV
Location: Philadelphia, PA
Type: Contract

Our client is seeking an Operations Analyst IV who will be reconciling between physical and financial inventory systems.

Key Accountabilities:
Overseeing physical inventory counts.
Systematic receipts of equipment.
Equipment value issuance to project.
New Part Definition and Analysis.
97% or greater inventory accuracy within financial systems.
Timely inventory transactions, in accordance with inventory and policy.
1:1 relationship between the company's parts across physical and financial inventory systems.

#prt123

134484-1",1939,Computer Hardware Development,Unknown / Non-Applicable,Information Technology,10000+ Employees,Company - Public,True
"PAR - Analyst, Forecasting","Endo International
","Malvern, PA",$78K - $110K (Glassdoor est.),3.6,"With support and guidance, the Forecasting Analyst will provide accurate and timely deliverables for designated in-line brands as well as technical support for tools used by forecast team (i.e. Tableau, SAS, Forecast Pro). Success in this role entails proactive and effective stakeholder management (including the ability to influence without authority), attention to detail and intellectual curiosity.
Performs forecasting activities with guidance from team members to ensure accurate and timely forecasting deliverables for a broad range of in-line brands. Serves as a proactive Business Insight partner with Sales and Marketing, Finance, Customer service, and Supply chain
Enhances and maintains internal forecast models:
Responsible for standard trending analyses together with ad hoc event sizing.
Creates structured standardized outputs including key assumptions and results.
Responsible for keeping inventory of forecast models and bridging changes from scenario to scenario.
Delivers on all outputs needed for Finance and supply operations.
Measures forecast accuracy and works to improve processes to allow for continuous accuracy improvement.
Plays the role of ‘data miner’ bringing various data sources together to formulate superior ‘insights’ and ‘hypotheses’ that have a business impact and are pragmatic.
Takes point ownership for summarizing / presenting findings and driving data-driven objectivity into the development of financial and manufacturing forecasts; consistently challenges the validity of forecasting assumptions leveraging range of data sources and analyses to identify most likely outcome.
Reconciles the models to help constituents understand the reason for forecast errors and improves the forecasting process on an ongoing basis.
Create and maintain reporting in Excel, Tableau, or other tools to deliver key insights to stakeholders on a weekly/monthly basis.
Accountable for ensuring all forecasting questions/follow-ups and ad hocs are closed out in a timely manner.
Responsible for ad hocs regarding product performance and source of risks/opportunities given variance in forecasting assumptions vs. actuals registered.
Bachelor’s degree with a quantitative focus in business, finance, engineering, statistics, economics, or any related field from an accredited institution is required.
1+ years’ experience in Commercial Analytics, Business Analysis, Forecasting, or Sales Operations, preferably within the Pharmaceutical industry or as a Consultant at an agency (e.g. IQVIA, etc.).
Strong data skills, with demonstrated ability to use tools such as SQL, R, Python, Tableau or BI tools to obtain, cleanse, and standardize data so that it is suitable for analysis.
Experience with Commercial Analytics/Business Analysis models, techniques, procedures and processes and a range of other forecasting models and problem-solving techniques.
Experience with forecasting software (e.g., ForecastPro) is preferred.
Experience with maintaining data warehouses (e.g. Snowflake) is preferred
Proficiency with various pharmaceutical secondary data sources and knowledge regarding their limitations (e.g. IQVIA Rx data, claims, EMR data, etc.) is required.
Sound knowledge of excel programming with proficiency required with experience with forecasting software/tools strongly preferred.
Depth of understanding and experience building baseline trends (e.g., exponential smoothing) coupled with ability to size the impact of foreseeable events (e.g., new competitor to launch)
Experience with broad range of product types (generic, hospital, specialty) preferred.
Strong analytical and critical thinking skills with superior problem solving and technical forecasting skills including some experience with time series trending.
Strong data skills, with demonstrated ability to use tools such as SAS, SQL, R, Python, or BI tools to obtain, cleanse, and standardize data so that it is suitable for analysis.
Demonstrated ability to synthesize key data and insights spanning different sources and types of data coupled with an intellectual curiosity to better diagnose brand performance and underlying brand health.
Solid communication and interpersonal skills with the ability to build relationships with Finance, Marketing, Sales, and Supply Operations
Strong organizational skills, proactively ensuring that the forecasting process is implemented for designated brands with proven ability to manage on-going processes and projects.
Advanced skills in MS Powerpoint, Excel and Outlook; Snowflake or other database skills a plus.
Ability to influence without authority, attention to detail.",1997,Biotech & Pharmaceuticals,$1 to $5 billion (USD),Pharmaceutical & Biotechnology,1001 to 5000 Employees,Company - Public,False
Jr. Business Data Analyst,"webfx.com
","Harrisburg, PA",$46K - $49K (Employer est.),4.2,"Hi there! We're WebFX, a full-service digital marketing agency based in the US. We've been named the Best Place To Work in Pennsylvania 8 times in a row and we'd love to meet you! We are a fast-growing company that has doubled in size over the past 5 years, with talented team members now based around the globe (and representing 18+ different countries!). While we are growing at a rapid rate, we are committed to growing strategically and sustainably, and that starts with growing our team of the #BestCoworkers - that’s where you come in!

We're looking for people to join our mission to provide world-class digital marketing solutions to mid-size businesses around the world. We are passionate about what we do, we’re committed to driving business growth for our clients, and we’re on the hunt for people just like you, who take pride in their work and want to be part of a company that does too.

You Might Be a Great Fit For This Position if You Have…

A Bachelor’s Degree
Successful FXers in this role have majored in Marketing, Advertising, Business, Journalism, Communications, Information Systems, Statistics, and beyond
GPA above 3.4

A Few Related Skills and Experiences
(This is an entry-level role, and experience in every one of these areas is not required - we will train you on what you need to know! But the following skills/experience are awesome to have, and will help get your career off to a running start):

Part-time/summer job/internship experience is a must
Customer service experience in any industry
Advertising/marketing agency experience
Digital marketing experience
Basic HTML experience
Google Analytics and/or analytical/research skills
Excel/Google Docs skills
Copywriting for the web
Presentation skills

Any of these Signature FXer Traits!
You have an interest in the web and stay up-to-date on new and developing technologies
You are a professional, dependable, and independent worker with a strong work ethic
You’re self-motivated, thrive on challenges, and enjoy getting things done
You have an eye for detail and dedication to high-quality work
You have an exceptional level of follow-through
You are a proactive, creative problem-solver who faces challenges with a can-do mindset
You possess excellent time/project management skills
You have solid analytical skills and a knack for making data-driven decisions
You work with a sense of urgency and can consistently meet deadlines
You are an outstanding communicator and possess strong interpersonal skills
You are a lifelong learner who loves to grow and stretch outside of your comfort zone, and are always looking to improve your skills

If any of these sound like you, then we want to hear from you! We are committed to growing 1% better everyday, and we believe working at WebFX could quite possibly make your life 1(00)% better - after all, you would be surrounded by the #BestCoworkersinPA!

In This Role, You’ll Get To…

Work directly with a portfolio of clients as their direct point of contact at WebFX, educating them through clear communication, and helping them achieve their goals
Work to maintain our world-class client retention rate by developing and fostering long-lasting client relationships
Analyze performance data (in Google Analytics and MarketingCloudFX) and prepare monthly digital marketing campaign reports
Develop appropriate SEO strategies and action plans/optimizations based on data
Create and manage PPC (think Google Ads!) campaigns and work to ensure a positive ROI for clients
-Perform research to ensure client success - think keyword research, competitor analysis, and everything in between
Devise the content strategy and outlines for our team of copywriters and manage the execution of web content based on client goals
Manage the ideation, planning, and execution efforts of CRO special projects and champion CRO best practices for clients
Perform A/B, website usability, and website conversion rate testing to determine what works best for your client and provide recommendations accordingly
Interpret web analytics, demographic data, market research, and buyer behaviors, and generate and execute strategies as they relate to findings
'Get your hands dirty’ and get into the backend of client websites to correct errors and technical issues and implement content

A Typical ‘Day in the Life’ Might Consist of:
5% managing resources for CRO projects
5% analyzing clients’ competitors and making appropriate recommendations
10% working in the backend of websites/fixing technical issues/implementing content
10% creating reports for client campaigns
15% analyzing data and identifying deliverables
25% communicating with clients
30% executing on SEO and PPC strategies with regular optimizations
100% pursuing your own personal best while delivering real-world impact for our clients!
Note: The Jr. Business Data Analyst is a client-facing position

What You’ll Get From Us!

Opportunities to Learn and Train With Our Team!
Our “Bootcamp” training program will be provided for new FXers to learn, grow and develop both in and out of the office in the specific hard skills necessary to be successful in their position
World-class on-the-job training from the experts (think Sr. Marketers, not the HR team) as well as opportunities for ongoing personal learning and development
On-site, state-of-the-art training amenities to facilitate departmental trainings, industry-related updates, and monthly Lunch-and-Learns.

A Place to Grow Your Career
WebFX grew 250%+ over the past 3 years, and we promote almost exclusively internally. Merit-based promotional opportunities are abundant for new FXers who meet or exceed position performance metrics.

In-Person Experience Alongside Our Team of Industry Experts
This position is based fully in-office at our riverside campus in Harrisburg, PA, with opportunities to evolve into hybrid or remote flexibility as FXers grow in their career tenure.

Potential promotional path for Jr. Business Data Analyst:
Digital Marketing Specialist
Digital Marketing Analyst
Digital Marketing Consultant
Lead Internet Marketing Consultant
Sr. Internet Marketing Consultant

Compensation
$45,500 -$48,500 (potentially higher based on work experience)


Why Choose WebFX?

We've been named the Best Place To Work in Pennsylvania 8 years in a row \uD83C\uDF89
We're expanding! New offices in Guatemala, South Africa, St Petersburg FL, and Lancaster and York, PA! \uD83C\uDF31\uD83D\uDCC8
- Entry-level roles - over 90% of our openings are open to brand new college grads! \uD83C\uDF93
- Flexible Schedule (start your day between 8 and 10 am - when you do your best work!)
Love animals? Cool, so do we! That's why we have a Pet Friendly Office \uD83D\uDC36
Profit Sharing \uD83D\uDCB0
Need that caffeine fix? On-site cappuccino machine, Little Amps Coffee Bar (with a barista!) & Tea Bar
Looking for a little extra workday fuel? Enjoy surprise catered breakfasts, lunches, mid-day snacks, and more!
On-site Yoga sessions
On-site Fitness Center \uD83C\uDFCB️‍ ️
150% Company Match Of Personal Charity Donations
- Our #FXBuilds program is set to positively impact 10,000 people around the world by 2024 - and every individual FXer’s work directly contributes! \uD83C\uDF0D
Supplemental Insurance
100% Company Match 401K (up to 4%) \uD83D\uDCB0
Generous Paid Time Off \uD83C\uDFD6
Employee Wellness Program, including a free FitBit and fitness challenges \uD83D\uDC5F
Love to learn? You sound like an FXer! FXLearns Library with hundreds of personal and professional growth books \uD83D\uDCDA
Humanitarian Trips ✈️
Health/Vision/Dental Coverage
New Parent Support \uD83D\uDC76\uD83C\uDFFF\uD83D\uDC76
Dressing up everyday not for you? We get it! Enjoy our Casual Dress Code
Home Buyer Program \uD83C\uDFE1
Personal Desk Fund \uD83D\uDCB0
Green Commute Benefits
Pawternity Leave \uD83D\uDC31
Merit-based promotions (we promote from within, you will move up and grow here!)
The opportunity to be part of a passionate, driven team where we pride ourselves on delivering high-quality work that makes a real-world impact for our clients

Check out our culture on social media:
Instagram
Twitter
Facebook

You don't need to apply more than once even if you're interested in multiple positions - you can simply let us know! We consider all open roles when reviewing resumes and applications!

We have a multi-step interview process, where we focus on giving both our candidates, and ourselves, opportunities to get to know each other a bit better. While our process may be more thorough and perhaps longer than other interview processes that you've been a part of, our goal is to work together with our candidates to find a mutually beneficial fit, where a candidate is a great addition to the FXFamily, and WebFX is the right fit for their career goals. Interested in joining the FXFamily? You should definitely apply now!

WebFX is an Equal Opportunity Employer, committed to providing and fostering an inclusive environment where all people, including women, minorities, LGBTQ+ and other underrepresented groups are supported, respected, and encouraged to excel within STEM careers. Our goal as an organization is to empower our team to achieve their personal best, bring people together, and provide equal opportunity to do so regardless of race, age, gender, sexual orientation, religion, physical ability or disability, or political affiliation. You can learn more on our website here!",1995,Internet & Web Services,$100 to $500 million (USD),Information Technology,501 to 1000 Employees,Company - Private,True
