Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Software Project Manager,Spartan Technology Solutions,"Spartanburg, SC",$60K - $100K (Employer est.),-1.0,"Software Project Manager

Spartan Technology Solutions, Inc., located in the scenic Upstate of South Carolina, is a software and services firm specializing in judicial and legal case management applications. We provide a dynamic, fast-paced environment perfect for driven individuals who thrive in both individual and team settings.

Position

The Project Manager plays a critical role in managing and executing the implementation of our case management systems for our clients. This role will be fully accountable for small to medium-sized projects and be part of a project team for large projects. The candidate will be responsible for managing complex software implementations, building strong relationships with customers, and keeping projects on schedule. The candidate will understand the contractual requirements for each project and ensure they are followed during the project. The candidate will become an expert in Spartan’s suite of applications and be able to perform customer business analysis and user training onsite and virtually. This position requires travel to client sites.

Responsibilities:

Lead and manage the end-to-end implementation of our legal case management systems for clients, ensuring successful delivery within the agreed timeline and budget.
Continually monitor project progress, making necessary adjustments to ensure successful completion.
Conduct comprehensive business analysis to understand client requirements and needs, facilitating solutions that are tailored to their specific operational context.
Develop and deliver training programs for clients to promote effective use of our systems.
Work collaboratively with the sales, development, support, and customer success teams to ensure we deliver the best-in-class services.
Provide ongoing support and guidance to clients during the post-implementation phase, troubleshooting any challenges that may arise.
Foster strong client relationships through clear and proactive communication, and a dedication to customer satisfaction.
Assist in Sales or Support when not actively involved in a project.

Requirements:

Strong software project management skills, with a proven ability to manage multiple projects simultaneously.
Knowledge of the Software Implementation Life Cycle.
Understanding of business analysis techniques and methodologies.
Experience in SaaS implementation, preferably in the legal or government sector.
Interpersonal skills, with the ability to effectively communicate with both technical and non-technical stakeholders.
Strong problem-solving skills and a client-focused approach.
Software training and presentation skills.
Detail-oriented with strong organizational skills.
Bachelor’s degree in computer science, Business Management, or a related field or comparable work experience.
Legal/Judicial Case Management knowledge preferred.
Overnight travel to client sites.
PMP certification a plus but not required.

Compensation and Requirements

We are family-oriented and encourage a well-balanced professional and personal lifestyle. We offer an incentives package that includes comprehensive health benefits, IRA matching, and bonuses based on company performance.

Note:

A background check is required for this position.
Spartan is an equal-opportunity employer.
Spartan participates in E-Verify.

Relocation:

Relocation to the Upstate SC area is required.

Job Type: Full-time

Pay: $60,000.00 - $100,000.00 per year

Benefits:

Dental insurance
Health insurance
Retirement plan
Vision insurance

Experience level:

5 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Spartanburg, SC 29306: Reliably commute or planning to relocate before starting work (Required)

Experience:

Software project management: 5 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Corporate Sales and Marketing Analyst,"Harmony Senior Services
","Charleston, SC",$44K - $73K (Glassdoor est.),3.3,"The Corporate Sales and Marketing Analyst is responsible for fostering effective client partnerships, supporting the implementation of the marketing strategy, and aiding the communities in meeting their sales goals. The Corporate Sales and Marketing Analyst functions as the department’s reporting and strategy support; coordinating sales metrics, budget maintenance, and marketing performance reporting, and serving as a liaison for the marketing agencies and website developer. The Corporate Sales and Marketing Analyst is also responsible for collecting and analyzing market research data, customer research, and competitive analysis.

Qualifications:
- Bachelor's degree in Marketing, Business Administration, or a related field
- Proven experience in sales and marketing management, preferably in the [industry] industry
- Strong analytical skills with proficiency in data analysis tools such as Power BI or SAS
- Excellent communication and interpersonal skills
- Ability to think creatively and strategically
- Strong leadership abilities with the ability to motivate and inspire a team

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties as negotiated to meet the ongoing needs of the organization.

Job Type: Full-time

Benefits:

401(k)
Dental insurance
Health insurance
Vision insurance

Schedule:

Monday to Friday

Supplemental pay types:

Bonus opportunities

Ability to commute/relocate:

Charleston, SC 29401: Reliably commute or planning to relocate before starting work (Required)

Experience:

SQL: 1 year (Preferred)
Marketing: 1 year (Preferred)

Work Location: In person",2010,Health Care Services & Hospitals,$100 to $500 million (USD),Healthcare,1001 to 5000 Employees,Company - Private,True
Salesforce Administrator,"Guy Roofing
","Spartanburg, SC",,2.2,"THIS IS NOT A REMOTE POSITION. YOU WILL BE REQUIRED to be in the Spartanburg, SC office Monday - Friday 8a - 5p.

Guy Roofing is GROWING! A leading residential and commercial roofing contractor nationwide, Guy Roofing is seeking a Salesforce Administrator to join our Spartanburg, SC headquarters. This is an exciting opportunity to join a fast-growing, highly motivated team of professionals as we expand our footprint nationwide.

ABOUT GUY ROOFING: Guy Roofing is among the largest and fastest-growing roofing companies nationwide. Founded in 1970, we have over 50 years of experience in the roofing industry, and remain a family-owned-and-operated corporation to date. To learn more about Guy Roofing, check out our website.

ABOUT THE JOB: The Salesforce Administrator provides technical support and answers requests for software and hardware support throughout the company. The position will play a key role in administering the Salesforce CRM platform and supporting its users.

RESPONSIBILITIES:

Work closely with the staff, technical team members, project managers, business users and IT staff to deliver customer management projects ranging in size from minor enhancements to complex projects.
Create custom reports and dashboards as needed.
Develop training materials and provide training and support to users.
Develop, maintain, troubleshoot, enhance and document components developed by self and others as per the requirements and detailed design.
Serve as a knowledge resource for salesforce.com capabilities and best practices.
Respond to telephone and electronic communications.

BENEFITS:

Competitive Compensation and Benefits
Weekly Pay
Paid Vacation and Holiday Pay
Casual Business Attire
Company stability
Medical, Dental, Vision, LTD, STD, Basic Life, AD&D, Voluntary Insurance, and more

REQUIREMENTS:

Degree in Computer Science, Software Engineering, Operations, Industrial Engineering, or related field.
1-2 years of direct experience supporting users within the Salesforce platform.
Experience with CRM management.
•Familiarity with business analysis techniques and methodologies.
Ability to prioritize and handle multiple high-profile tasks.
Strong problem-solving abilities.
Ability to work independently.
Excellent communication skills and professional personal presentation.
Must possess problem solving approach.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Experience level:

2 years

Schedule:

Day shift
Weekends as needed

Ability to commute/relocate:

Spartanburg, SC 29307: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

This position is NON REMOTE. You will be required to be in our Spartanburg, SC office Monday - Friday 8a -5p. Can you accommodate?
Do you currently live in or around Spartanburg, South Carolina?

Education:

Associate (Required)

Experience:

CRM Management: 1 year (Required)
Salesforce: 1 year (Required)

Work Location: In person",-1,Construction,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",Unknown,Company - Public,True
IT Business Systems Analyst,"Mactac North America
","Moore, SC",$63K - $86K (Glassdoor est.),3.9,"Position Summary

Assists in the planning, development, and implementation efforts of IT projects to effectively support business processes in production and manufacturing. This role is specifically centered around the operations elements of production, warehousing, and general inventory management. This role will be a ""hybrid"" role that will take on some elements of the EUS Analyst on shop floor equipment but will also be a direct liaison to IT development and BSA team. In addition, this role will support project management responsibility for all production requests made both at the plant and DC locations.

Duties & Responsibilities

Develops working relationships with a diverse group of businesspeople and gain an understanding of the complex nature of the company's business.
Maintains familiarity with the business plans of the company and departments serviced.
Works with team members to provide oversight to the key systems of Greycon and RF smart.
Mentors and coaches next level analysts on project management techniques and requirement gathering.
Develops and establishes project plans and guidelines for requirements gathering.
Is a ""working"" expert in that he/she will be expected to have direct oversight and abilities in the systems they manage.
Defines, documents and reviews information systems requirements working with users at all levels of the organization. This includes establishing requirements guidelines and metrics for project success.
Coordinates with the various IT Analysts teams to respond, isolate and resolve business system application problems. This includes testing and troubleshooting items which are communicated through the technical support group.
Develops overall project plans for major efforts that satisfy the business needs of that functional area for review and approval by management.
Provides creative solutions to user areas and contribute ideas to improve the function, reliability and quality of services from IT.
Coordinates and manages with all required personal on testing/installing new releases, patches, user training and documentation updates.
Promotes effective communication and teamwork with the users, application development team DBAs and with other user functions and organizations.

Knowledge & Skill Needed:

Education:
Minimum B.S. in Computer Science, MIS, or related field.
Experience:
Requires a minimum of 5 years of experience in providing technical direction and support in the design, implementation, and support of business systems in a manufacturing environment for the major business function supported.
Functional JD Edwards Experience
Advanced knowledge of Information Systems field and business processes.
Project management experience
Understanding of manufacturing processes
Other:
Physical Requirements: This person works within an office environment and a manufacturing facility. The noise level in the facility is usually moderate and hearing protection may be required in posted areas. Personal protective equipment (PPE) such as foot protection & eye protection is mandatory for all activities in a Plant.
Location: Spartanburg, South Carolina
Work Authorization: Legal authorization to work in the US is required. We will not sponsor individuals for employment visas, now or in the future, for this job opening.
Relocation Eligibility: Ineligible for Relocation
Travel: Will require travel to other Mactac locations (up to 25%)

What You'll Love About Us:

Learning & Development: Tuition assistance available along with an internal training budget. Get with a hands-on company, in a fast-paced environment where you can have the runway to make change.
Rest & Relaxation: 10 paid holidays off per year on top of a generous vacation policy.
Great company culture: Work for a company that genuinely values work/life balance. We also have a give back mentality with participation in a variety of community activities & events.
Health Benefits: Medical with HSA options, Dental, and Vision starting day one for you and your family.
Prepare for the Future: Competitive 401(k) with company match.

Disclaimers:

The above information on this description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.
It is the policy of Mactac that all employees are employed at the will of Mactac for an indefinite period and are subject to termination at any time, for any reason, with or without cause or notice. At the same time, employees may terminate their employment at any time and for any reason.
Equal Opportunity Employer. All qualified candidates will receive consideration for employment and will not be discriminated against based on race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, age, pregnancy, genetic information, creed, citizenship status, marital status or any other consideration prohibited by law or contract.",1959,Chemical Manufacturing,$500 million to $1 billion (USD),Manufacturing,1001 to 5000 Employees,Subsidiary or Business Segment,True
Salesforce Developer,"Guy Roofing
","Spartanburg, SC",$62K - $105K (Glassdoor est.),2.2,"THIS IS NOT A REMOTE POSITION. YOU WILL BE REQUIRED to be in the Spartanburg, SC office Monday - Friday 8a - 5p.

Guy Roofing is GROWING! A leading residential and commercial roofing contractor nationwide, Guy Roofing is seeking a Salesforce Developer to join our Spartanburg, SC headquarters. This is an exciting opportunity to join a fast-growing, highly motivated team of professionals as we expand our footprint nationwide.

ABOUT GUY ROOFING: Guy Roofing is among the largest and fastest-growing roofing companies nationwide. Founded in 1970, we have over 50 years of experience in the roofing industry, and remain a family-owned-and-operated corporation to date. To learn more about Guy Roofing, check out our website.

ABOUT THE JOB: The Salesforce Developer works closely with staff, technical team members, project managers, business users, and IT staff to deliver customer management projects. The Systems Developer will play a key role in developing on the Salesforce CRM platform and integration with third party applications and tools.

RESPONSIBILITIES:

Serve as knowledge resource for Salesforce CRM systems.
Review and understand general business drivers and context for development projects.
Define the Salesforce platform required to support functional and non-functional requirements and business processes.
Research, design, implement and manage software programs.
Test and evaluate new programs.
Configure working prototypes and perform business reviews to validate and refine prototypes.
Develop, maintain, troubleshoot, enhance and document components developed by self and others as per the requirements and detailed design.
Prepare formal project documentation, including specifications, requirements summaries, logical system design documents, state diagrams, and test scripts.
Maintain and upgrade existing systems.
Respond to telephone and electronic communications.
Perform word processing, photocopying, faxing, data entry, scanning, and other administrative duties.

REQUIREMENTS:

Bachelor’s degree in Computer Science, Software Engineering, Operations, Industrial Engineering, or related field.
2-4 years of direct experience supporting users within the salesforce platform.
Experience with ERP and CRM management.
Experience in summarizing and presenting complex topics to non-technical audiences.
Familiarity with business analysis techniques and methodologies.
Ability to prioritize and handle multiple high-profile tasks.

BENEFITS:

Casual Business Attire
Company stability
Medical, Dental, Vision, LTD, STD, Basic Life, AD&D, Voluntary Insurance, and more
Paid Vacation and Holidays

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance

Experience level:

1 year

Schedule:

8 hour shift
Day shift

Ability to commute/relocate:

Spartanburg, SC 29307: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

This position is NOT REMOTE. You will be required to be in the office Monday - Friday 8a -5p. Can you accommodate?
How often do you make changes to profiles or permission sets?
Do you currently live in or around Spartanburg, South Carolina?

Education:

Education:

Associate (Required)

Experience:

Salesforce: 2 years (Required)
Service Cloud: 1 year (Required)
Salesforce Marketing Cloud: 1 year (Required)
Sales Cloud: 1 year (Required)
Creating Flows: 1 year (Required)
creating, designing and implementing dashboards: 1 year (Required)

Work Location: In person",-1,Construction,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",Unknown,Company - Public,True
IFS Business/System Analyst (REMOTE),"BAE Systems
","Aiken, SC",$112K - $190K (Employer est.),4.0,"Job Description
This is a 100% remote position

BAE Systems’ Enterprise Shared Services (ESS) Information Technology (IT), Application Solutions service area has a need for a Business/System Analyst who will directly support BAE Systems’ Ship Repair business unit usage of IFS. The System Analyst will work within BAE Systems Application Solutions organization supporting the IFS V10 application. The IFS application supports multiple functional areas (e.g. Finance, Procurement, Contracts, Manufacturing, Operations, Quality, Document Management and Business Development).

This position, under minimal supervision, will:
Work with users to understand and document requirements.
Develop of the application solution including using custom objects (fields, LUs) as needed.
Ad hoc SQL or operational report development using IFS report design.
Lobby setup, approval workflows, custom events, security permissions and profiles, external file assistant data migration
Interfaces for new applications to other application data system (custom APIs, Oracle triggers)
Additional responsibilities will include user support, system monitoring, troubleshooting, resolution identification, remediation, and testing, compliance and adherence to security, implementation, incident, change, and configuration processes, and producing / maintaining documentation. This position will have interaction with customers and technologists at all levels including management.

Required Education, Experience, & Skills

Minimum of two (2) years developing IFS – V9 or higher solutions, v10 Aurena experience is a plus.
Applied knowledge of the Software Development Lifecycle (SDLC) - Experience in release, documentation, and build management following a structured configuration methodology. Applied Agile Development.
Work experience and knowledge SQL coding for custom fields, APIs, reporting, and IFS report designer and Report developer.
Minimum of eight (8) years of experience that is directly related to the duties and responsibilities specified
US Citizen or Green Card Holder

Pay Information
Full-Time Salary Range: $111700 - $189900

Please note: This range is based on our market pay structures. However, individual salaries are determined by a variety of factors including, but not limited to: business considerations, local market conditions, and internal equity, as well as candidate qualifications, such as skills, education, and experience.

Employee Benefits: At BAE Systems, we support our employees in all aspects of their life, including their health and financial well-being. Regular employees scheduled to work 20+ hours per week are offered: health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance. We also have an employee assistance program, a legal plan, and other perks including discounts on things like home, auto, and pet insurance. Our leave programs include paid time off, paid holidays, as well as other types of leave, including paid parental, military, bereavement, and any applicable federal and state sick leave. Employees may participate in the company recognition program to receive monetary or non-monetary recognition awards. Other incentives may be available based on position level and/or job specifics.

About BAE Systems, Inc.
BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We’re laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues.",1999,Aerospace & Defense,$10+ billion (USD),Aerospace & Defense,10000+ Employees,Company - Public,False
Business Syst Analyst II VBA (CA Only),"Centene Federal Services
",South Carolina,$28.85 - $51.92 Per Hour (Employer est.),3.7,"You could be the one who changes everything for our 28 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.


Position Purpose: Collaborates with the business and technology stakeholders to translate high-level business requirements into functional and non-functional technical requirements that will be used by the design and development teams to build the technical solutions that fulfills the business needs. Daily reporting out of SQL and Data Warehouse using business objects. Database management and enhancement via Access VBA coding. Key performance metric monitoring and reporting for referral and authorization operations. This role is open to working remote from within the USA.

Gathers and validates business / technology requirements to establish scope and parameters of requirements and define project impact, outcome criteria, and metrics
Analyzes and verifies requirements for completeness, consistency, comprehensibility, feasibility, and conformity to standards
Translates conceptual user requirements into functional requirements in a clear manner that is comprehensible to developers / project team
Creates systems and business process models, specifications, diagrams, and charts to provide direction to developers and/or the project team
Interprets user requirements into feasible options and communicate these back to the business stakeholders
Manages and tracks the status of requirements throughout the project lifecycle; enforce and redefine as necessary
Communicates changes, enhancements, and modifications of business requirements to project managers, sponsors, and other stakeholders so that issues and solutions are understood
Plans user acceptance testing (UAT)
Monitors and review levels of IT services specified in the service-level agreements (SLAs) with the business
Research, reviews, and analyzes the effectiveness and efficiency of existing requirement gathering processes and develop strategies for enhancing or further leveraging these processes; quantify potential efficiency opportunities and track accordingly
Maintains system protocols by writing and updating procedures
Provides references for users by writing and maintaining user documentation; provide help desk support; train users
Prepares technical reports by collecting, analyzing, and summarizing information and trends

Education/Experience: A Bachelor's degree in a quantitative or business field (e.g., statistics, mathematics, engineering, computer science).
Requires 2 – 4 years of related experience.

Or equivalent experience acquired through accomplishments of applicable knowledge, duties, scope and skill reflective of the level of this position.

Technical Skills:

One or more of the following skills are desired.

Experience with Data Processing

Knowledge of Agile Software Development

Data visualization in Microsoft Excel

Experience developing in Microsoft Access VBA code (forms, reports, queries)

SQL query writing and debugging

Experience using SQL Server Management Server to maintain database backend data and processes

Government Security/Clearance/Citizenship:

As a government contractor, this position requires U.S. citizenship and proof of favorable adjudication of a Federal background investigation.



Our Comprehensive Benefits Package: Flexible work solutions including remote options, hybrid work schedules and dress flexibility, Competitive pay, Paid time off including holidays, Health insurance coverage for you and your dependents, 401(k) and stock purchase plans, Tuition reimbursement and best-in-class training and development.


Pay Range: $28.85 - $51.92 per hour


Actual pay will be adjusted based on an individual's skills, experience, education, and other job-related factors permitted by law.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",1984,Insurance Carriers,$10+ billion (USD),Insurance,10000+ Employees,Company - Public,False
Business Systems Analyst II,"Envolve
",South Carolina,-1,3.7,"You could be the one who changes everything for our 28 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.


Position Purpose: Collaborates with the business and technology stakeholders to translate high-level business requirements into functional data tables and reports for healthcare plans

Gathers and validates business / technology requirements to establish scope and parameters of requirements and define project impact, outcome criteria, and metrics
Supports production functions, troubleshoots data and analyzes data for healthcare plans
Field tickets from business units and resolve batch job errors
Analyzes and verifies requirements for completeness, consistency, comprehensibility, feasibility, and conformity to standards
Creates systems and business process models, specifications, diagrams, and charts to provide direction to developers and/or the project team
Interprets user requirements into feasible options and communicate these back to the business stakeholders
Plans user acceptance testing (UAT)
Monitors and review levels of IT services specified in the service-level agreements (SLAs) with the business
Research, reviews, and analyzes the effectiveness and efficiency of existing requirement gathering processes and develop strategies for enhancing or further leveraging these processes; quantify potential efficiency opportunities and track accordingly
Maintains system protocols by writing and updating procedures
Provides references for users by writing and maintaining user documentation; provide help desk support; train users
Prepares technical reports by collecting, analyzing, and summarizing information and trends
Performs other duties as assigned
Complies with all policies and standards

Education/Experience: A Bachelor's degree in a quantitative or business field (e.g., statistics, mathematics, engineering, computer science).
Requires 2 – 4 years of related experience. Or equivalent experience acquired through accomplishments of applicable knowledge, duties, scope and skill reflective of the level of this position.

Technical Skills:

MS Access
SQL querying
Batch scheduling


Soft Skills:

Intermediate - Seeks to acquire knowledge in area of specialty
Intermediate - Ability to identify basic problems and procedural irregularities, collect data, establish facts, and draw valid conclusions
Intermediate - Ability to work independently


Our Comprehensive Benefits Package: Flexible work solutions including remote options, hybrid work schedules and dress flexibility, Competitive pay, Paid time off including holidays, Health insurance coverage for you and your dependents, 401(k) and stock purchase plans, Tuition reimbursement and best-in-class training and development.


Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",1984,Insurance Carriers,$10+ billion (USD),Insurance,10000+ Employees,Company - Public,False
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
Senior SAP Operations Analyst,"Job Impulse Inc
","Summerville, SC",$120K - $134K (Employer est.),4.4,"ABOUT US

Job Impulse, Inc. is an international recruitment company that focuses on upgrading the career opportunities of our candidates. We strive to create a professional partnership between our clients and contractors looking for their next career move. We have over 9,000 employees working in locations across twelve countries in fields ranging from industrial to office, marketing to engineering, technology, aerospace, medical, and more.

JOB DESCRIPTION

Job Impulse, Inc. has an immediate opening for a Senior SAP Operations Analyst in Summerville, SC. As a Senior SAP Operations Analyst, you will be responsible for partnering with functional stakeholders and key users, working closely with other IT teams, to support our Business Processes. Your role will be pivotal in driving our growth journey, focusing on Operations Processes in SAP ECC.

Responsibilities of a Senior SAP Operations Analyst include:

Collaborate with developers and subject matter experts to establish the technical vision and analyze trade-offs between usability and performance needs.
Configure SAP MM/PP, including make-to-order, make-to-stock, MRP, production planning and evaluation, variant configuration, inventory management, purchasing, repetitive manufacturing, shop-floor execution, and material management.
Work with purchase orders, purchasing authorization/approval controls, supplier sourcing lists, and purchase info records.
Configure WM physical inventory and inventory adjustments and understand how PP integrates.
Configure MM (IM) Movements, interacting with FI, SD, WM.
Partner with SAP Developer to define and implement ERP configuration changes in support of data transfer to SAP MES.
Demonstrate excellence in completion of all other duties as assigned.

Job Requirements of a Senior SAP Operations Analyst:

Expert level SAP ERP configuration skills in MM/PP/WM.
Ability to meet deadlines and successfully deliver on projects.
Preferred: SAP S/4 experience.

REQUIRED Experience and Education:

Bachelor’s degree in Computer Science or Business Administration, or related field.
5+ years of demonstrated experience with Operations from a Technical Perspective.
5+ years of Project Design Requirement gathering in a multi-site, multi-language manufacturing environment.

**For immediate consideration, our Technical Specialist can be called at 864-509-6920 ext. 108 or texted at 864-565-7530. You can also email your resume directly to brandon.goodwin@job-impulse.us.com

Conducting (drug screening and/or background check) report inquiries may be necessary for employment purposes.

Job Impulse, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status

Please be sure to carefully read through all requirements for the Senior SAP Operations Analyst as only serious applicants will be contacted. Unfortunately, not all candidates can be contacted who respond to this job, however, we will reach out to you directly if your experience is determined match to the desired requirements. Thank you.

Job Type: Full-time

Pay: $120,000.00 - $134,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Vision insurance

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday

Education:

Bachelor's (Required)

Experience:

SAP ERP: 5 years (Required)
SAP Materials Management: 5 years (Required)
SAP Manufacturing: 5 years (Required)
SAP S/4HANA: 3 years (Preferred)
SAP Warehouse Management: 5 years (Required)

Work Location: In person",-1,HR Consulting,$1 to $5 million (USD),Human Resources & Staffing,1 to 50 Employees,Company - Private,True
