Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Business Analyst,"All In Solutions
","Austin, TX",$50K - $65K (Employer est.),2.3,"All In-Solutions is seeking a skilled Business Analyst who has a strong background in leveraging data for comprehensive cost versus benefit assessments. We are a company dedicated to delivering effective solutions, and we need a Business Analyst with the expertise to evaluate functional benefits, technical performance, risks, and scheduling considerations.

Salary: $50,000-$65,000

Location: Austin, TX or D.C

Responsibilities

· Collaborate closely with cross-functional teams to ensure that proposed solutions align with both technical and business requirements, facilitating efficient decision-making processes.

· Support SOP development for Solution Services operations, to be updated on an annual basis.

· Conduct technical reviews that ensure compliance with VA standards, mandates and/or laws to properly manage disposition of IT requests.

· Support maintenance of an Enterprise Candidate Solution Catalog that captures VA enterprise solution candidates.

· Support Senior Business Analysts in meetings with VA Business Partners.

· Produce detailed meeting minutes and action items to document discussions and ensure follow-through on critical tasks and decisions.

Qualifications

· Bachelor’s degree in Operations Research, Mathematics, Computer Science, Cost Accounting or related scientific or technical discipline. 8 years of additional relevant experience may be substituted for education.

· A minimum of 2 years of relevant experience in business analysis, data analysis, or a related field is essential. Candidates should have a demonstrated ability to assess cost versus benefit and manage complex projects.

· Strong proficiency in data analysis and the ability to use data effectively to make informed decisions is crucial.

· Familiarity with technical standards and compliance requirements is beneficial for ensuring the alignment of solutions with VA's technical needs.

· Effective communication and documentation skills are necessary for conducting meetings, producing detailed minutes, and facilitating collaboration with cross-functional teams.

Job Type: Full-time

Pay: $50,000.00 - $65,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Austin, TX: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

How much experience do you have working with or for the VA?
Are you a U.S citizen or Green Card Holder?

Education:

Bachelor's (Required)

Experience:

SQL: 1 year (Preferred)
Business analysis: 4 years (Preferred)

License/Certification:

PIV Card (Preferred)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,True
Business Analyst II,"DHI Mortgage
","Austin, TX",$61K - $83K (Glassdoor est.),3.7,"D.R. Horton, Inc., the largest homebuilder in the U.S., was founded in 1978 and is a publicly traded company on the New York Stock Exchange. It is engaged in the construction and sale of high quality homes designed principally for the entry-level and first time move-up markets. The Company also provides mortgage financing and title services for homebuyers through its mortgage and title subsidiaries. Please visit our website at www.drhorton.com for more information.

D.R. Horton, Inc. is currently looking for a Business Analyst II for their Financial Services IT Department. The right candidate will, with some supervision, clearly identify, define and document the business needs and customer requirements of the SBUs within DHIFS and communicate these to the information technology staff. Act as liaison between the SBUs and IT to ensure system development and implementation proceeds as anticipated. Designs appropriate application systems structures which will provide a solid foundation for well-written and reliable application programs.


Essential Duties and Responsibilities
Performs necessary investigation, analysis and evaluation to determine feasibility for IT related projects.
Advise the appropriate people on the implications of existing IT systems that can be applied to a problem.
Develops and/or evaluates previously refined data and programs and select from a range of alternatives to determine the appropriate action to be taken.
Develops or assists in the development of work plans, specifications, task sequencing, and the extent to which tasks may be performed concurrently
Assists the Project Manager in estimating resource needs for analysts, programmers, user personnel, consultants, equipment, etc
Receives some supervision; performs most routine duties independently; discusses or seeks approval on complex matters with the Project Manager or B.A. III.
Develops time schedules, conversion, and test procedures for all aspects of system, from manual handling through computer processing.


Qualifications

Education and/or Experience
Fifth year college or university program certificate; or four to six years related experience and/or training; or equivalent combination of education and experience.
BS or BA degree in computer science, business administration, or related technical field is preferred
2 – 4 years of systems design work experience or relevant financial services experience
Major systems development and implementation experience
Understand project management and control
Ability to communicate ideas and problem solutions
Ability to effectively work with people in other departments and/or outside of the enterprise
Must have 1 – 2 years experience in a relevant position within the financial services industry
Must be customer service oriented
Come join a winning team with a Fortune 500 company! We are growing fast and are looking for enthusiastic attitudes and team players to join our success. We offer an excellent benefits package including vision, medical and dental. Build YOUR future with D.R. Horton, America's Builder.


Come follow our newest Open Jobs on Twitter and like us on Facebook!


Job: Information Technology
Primary Location: TX-Austin
Organization: Mortgage
Schedule: Full-time


Job Posting: Sep 15, 2023, 3:36:50 PM",1980,Banking & Lending,$100 to $500 million (USD),Financial Services,501 to 1000 Employees,Subsidiary or Business Segment,False
"Analyst, Business","Austin Community College
","Austin, TX",$61K - $76K (Employer est.),4.1,"Job Posting Closing Times: Job postings are removed from advertising at 12:00 A.M. on the closing date e.g., at midnight on the day before the closing date.
If you are a current Austin Community College employee, please click this link to apply through your Workday account
.
Austin Community College is a public two-year institution that serves a diverse population of approximately 41,000 credit students each Fall and Spring semester. We embrace our identity as a community college, as reflected in our mission statement. We promote student success and community development by providing affordable access, through traditional and distance learning modes, to higher education and workforce training, including appropriate applied baccalaureate degrees, in our service area.

As a community college committed to our mission, we seek to recruit and retain a workforce that:
Reflects the diversity of our community
Values intellectual curiosity and innovative teaching
Is attracted by the college's mission to promote equitable access to educational opportunities
Cares about student success and collaborates on strategies to facilitate success for under-represented populations
Welcomes difference and models respectful interaction with others
Engages with the community both within and outside of ACC
Commitment to Equity and Inclusion
ACC is committed to the ongoing systemic changes needed to ensure the increased recruitment, inclusion, retention, and completion of historically underserved and underrepresented populations. Through continual strategic community engagement and professional development of administrators, faculty, staff, and students, the college demonstrates its dedication to fostering a culture and climate for equitable outcomes.

ACC is proud to serve a diverse student body as an open-access and low-cost institution. Dedicated faculty members are excellent professors who help students achieve their educational goals and are sensitive to our students' diverse cultures and socio-economic backgrounds. In 2017 our faculty adopted a Statement of ACC Faculty Values. This Statement affirms that ACC's faculty members value collaboration, service, agency, scholarship, inclusion, and teaching, all of which attest to our commitment to equity, diversity, and inclusion at the heart of our mission.
Job Posting Title:
Analyst, Business
Job Description Summary:
To perform data analysis on college operations and surface insights related to institutional strategic initiatives for college-wide use, recommend changes to system and process designs. Provide consultation and guidance on recommended changes that serve the whole college.
Job Description:
Description of Duties and Tasks
Essential duties and responsibilities include the following. Other duties may be assigned.
Designs, creates, tests, reviews and maintains complex reports and dashboards for a variety of business use cases utilizing appropriate analytics tools and methods.
Perform quality assurance work on complex reports and data analytics software used by administration, staff, and students.
Conducts technical consultations and complex analysis of data for clients, college-wide initiatives, and third party vendors.
Uses statistical software programming language to obtain and manipulate data. Interprets historical, current, and projected data to identify operational problems, causes, and identify areas for which procedural or system changes are warranted.
Prepares data reports and statistical charts for college stakeholders.
Serves as a primary contact between the Institutional Business Analytics team, the IT Team, third-party vendors, and other college areas using institutional data and data analytics.
Maintains primary responsibility of a college-wide data analytics software including settings, data management, security roles, teams management, organizational/business set up, field security profiles, documentation, and student fields on initial systems setup; reviews during upgrades.
Develops and conducts training related to improved processes. Supports documenting processes and procedures.
Collaborates with operational stakeholders and conducts on-site observations to ascertain unit functions, work performed, and methods used to achieve process outcomes.
Documents findings and prepares written recommendations for implementation of new systems, procedures, or organizational changes.
Keeps current with the latest technology and initiatives in higher education; regularly attends technical training in order to maintain expertise.
Other duties as assigned, which may include forecasting, reporting, and trend analysis.
Knowledge
Must possess required knowledge and be able to explain and demonstrate, with or without reasonable accommodations, that the essential functions of the job can be performed.
Statistical analysis methods and software.
Application/report development.
Knowledge and competency in use of reporting software.
Experience analyzing qualitative and quantitative data.
Project management principles.
Quality initiatives and measurements, especially in higher education.
Skills
Must possess required skills and be able to explain and demonstrate, with or without reasonable accommodations, that the essential functions of the job can be performed.
Possessing a customer-oriented and solutions focused mindset.
Analytical, planning, organizational, and time management skills.
Research skills including gathering and analyzing data from multiple sources.
Using a variety of software to produce reports.
Effectively using interpersonal and communications skills including tact and diplomacy.
Effectively using organizational and planning skills with attention to detail and follow-through.
Effective technical writing skills.
Working in a cross-functional team environment.
Interpreting and applying rules, regulations, policies, and procedures.
Effectively use work management and productivity tools for project management.
Maintaining an established work schedule which may include evenings and weekends.
Technology Skills
Proficiency in using software applications to conduct data analysis, data extraction, and reports development.
Proficiency using a variety of spreadsheet, word processing, database, and presentation software.
Use of query and control languages to program and create complex reports, dashboards, and provide technical support.
Querying and extracting data from large databases.
Required Work Experience
Two years related work experience.
Preferred Work Experience
Direct experience conducting operational analysis in higher education.
Required Education
Bachelor's degree.
Preferred Education
Bachelor's degree or higher in finance, accounting, business, statistics, or other related field.
Physical Requirements
Work is generally performed in a standard office environment.
Subject to standing, walking, sitting, bending, reaching, kneeling, pushing, pulling, and manual dexterity.
Ability to sit for long periods of time.
Occasional lifting of objects up to 10 pounds.
Safety
Work safely and follow safety rules. Report unsafe working conditions and behavior. Take reasonable and prudent actions to prevent others from engaging in unsafe practices.
Information for This Posting Only
The Office of Institutional Research & Analytics delivers high-quality research and useful data resources for Austin Community College. Our team's work is guided by shared values and commitments, including:
prioritizing work that supports student success;
providing excellent customer service, accurate and replicable results, effective communication; and cultivating a shared knowledge base, an orientation toward finding solutions, continuous learning, and peer review.
Work Schedule
40 hrs per week - Hybrid Work Schedule
Salary Range
$61,159 - $76,450
Number of Openings:
1
Job Posting Close Date:
December 8, 2023
Clery Act
As required by the US Department of Education, employees are required to report violations under Title IX and, under the Jeanne Clery Disclosure of Campus Security Policy and Crime Statistics Act (Clery Act), select individuals are required to report crimes. If this position is identified as a Campus Security Authority (Clery Act), you will be notified, trained, and provided resources for reporting.
Disclaimer
The above description is an overview of the job. It is not intended to be an all-inclusive list of duties and responsibilities of the job, nor is it an all-inclusive list of the skills and abilities required to do the job. Duties and responsibilities may change with business needs. ACC reserves the right to add, change, amend, or delete portions of this job description at any time, with or without notice. Employees may be required to perform other duties as requested, directed, or assigned. In addition, reasonable accommodations may be made by ACC at its discretion to enable individuals with disabilities to perform essential functions of the job.",1972,Colleges & Universities,$500 million to $1 billion (USD),Education,1001 to 5000 Employees,College / University,False
Business Analyst,"The University of Texas System
","Austin, TX",$65K - $91K (Glassdoor est.),4.3,"FLSA Status

Exempt

Earliest Start Date

Immediately

Salary

Salary commensurate with experience

Hours per Week

40 hours weekly

Hiring Department

Office of the Chief Information Officer

Required Application Materials

A resume and letter of interest is required to apply. Candidates under final consideration will also be required to submit professional references, college degree information, and employment history to an online third-party vendor.

About Us

For more than 140 years, The University of Texas System has improved the lives of Texans — and people all over the world — through education, health care, and research. The System consists of nine academic institutions, five health institutions, and The University of Texas System Administration. The institutions of the UT System employ more than 116,000 faculty, health care professionals, researchers, support staff, and student workers.


The UT System Administration is primarily based in Austin, Texas. It supports the missions of the System’s fourteen institutions by providing financial, legal, planning, purchasing, government relations, communications, development, and other central services. Serving a growing state, the UT System Administration strives to provide a welcoming, supportive work environment that embraces different perspectives - not only because it enables the organization to be stronger, creative, and thoughtful, but because it is the right thing to do. To that end, UT System Administration embraces state laws on military and former foster children employment preferences.




Purpose of Position

We are looking for a Business Analyst to join our IT team and help us improve our business processes and systems. As a Business Analyst, you will act as a liaison between the IT department and business units, analyze their needs and requirements, and propose solutions that enhance our efficiency and productivity while leveraging our Microsoft 365 suite of software where possible. You will also be responsible for coordinating and implementing IT projects, training users on new systems and applications, and communicating with various stakeholders.

Essential Functions
Collaborate with business stakeholders from various departments to understand their automation needs and document their requirements, workflows, rules and processes.
Evaluate new IT developments and evolving business requirements, and recommend appropriate systems alternatives and/or enhancements to current systems.
Evaluate new applications and identify systems requirements. Analyze and coordinate the design specifications, development and implementation of build and/or purchased applications.
Interpret and present technical details to functional experts and developers in a way that is meaningful to all audiences.
May recommend changes in workflows and practices to maximize effectiveness and efficiencies for the work unit.
Recommend changes in workflows and practices to maximize effectiveness and efficiencies for the work unit.
Prepare communications and make presentations on system enhancements and/or alternatives.
Coordinate, plan, develop and implement training programs and presentations as requested. Train customers on software or new automated business processes.
Act as the project lead during the design phase of IT projects.
Other duties as assigned.

Knowledge, Skills & Abilities
Strong organizational skills
Strong communication skills
Strong problem-solving skills
Ability to manage a variety of tasks and prioritize while working collaboratively with other stakeholders
Ability to use standard office equipment and software
Required Qualifications

Bachelor's degree and one or more years of experience in an analyst role OR high school diploma/GED and five years of experience in an analyst role

Preferred Qualifications
Expertise with all Microsoft 365 offerings
Knowledge of developing and documenting work requirements, rules, workflows, reports and presentations for IT projects using spreadsheet, word processing, email/calendaring, workflow and project management software
Knowledge of application programming fundamentals and principles
Competent in understanding technical terminology and processes and translating them to a technical audience for development and/or implementation
Demonstrated written and verbal communication skills to engage a variety of audiences in a work plan to ensure successful outcomes
Ability to work independently and collaboratively in a fast-paced environment
Strong problem-solving, critical thinking and analytical skills
Working Conditions
May work around standard office conditions
Repetitive use of a keyboard at a workstation
Uses standard office equipment
10% Travel
Requires occasional evening or weekend hours
Hybrid work environment (remote & office)
Additional Information

The retirement plan for this position is Teacher Retirement System of Texas (TRS), subject to a minimum of 20 hours per week and at least 135 days in length.

A background check will be conducted on candidates under final consideration. The background check may include any or all of the following: criminal history check, prior employment verification, education verification, professional references check, and motor vehicle records check. Background checks are conducted by third-party vendors. Upon request form the third-party vendor, candidates under final consideration must provide the required information for the background checks to be completed.

EO/AA Statement

The University of Texas System is an Equal Opportunity/ Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability, veteran status or sexual orientation. Reasonable disability accommodation may be requested by contacting the Office of Talent and Innovation.",1883,Colleges & Universities,$10+ billion (USD),Education,201 to 500 Employees,College / University,False
Business Analyst,"Texas Department of Transportation
","Austin, TX",$80K - $95K (Employer est.),3.7,"Essential Duties:

Manage third-party vendor relationships, including coordinating with TxDOT's implementation partner when a new application is deployed and/or as complex solutions are needed to address a business requirement
Serves as the Financial Management Division's primary liaison with applications for support requests, escalating issues, and product enhancement requests.
Ensure upgrades and patches for Financial Management Division applications are coordinated with timing of the organization and appropriately tested.
Create business requirement documents, SOPs, training materials, supporting documents and update as needed.
Develops and publishes new Tableau reporting content upon request.
Develops project plans to include establishment of business vision, identification and analysis of business processes, analysis of highly complex internal and external customer needs.
Plans and coordinates activities associated with the delivery of highly complex business and information analyses, information repositories and Information Technology based applications.
Gathers information from various databases to respond to open records or other end users' requests on an as needed basis.
Analyzes business value of proposed business changes and makes priority recommendations to Financial Management Leadership.
Analyzes business value of proposed reporting enhancements and makes recommendations to Financial Management Leadership.
Assists business and technical professionals in the analysis and assessment of a variety of business areas and processes.
Assists in testing, validating, updating and enhancing applications.
Prepares and makes presentations.
Stays abreast of the policies, procedures and legislation that may impact various business areas.
Works with consultants, vendors and other entities.
Develops complex queries for internal and external customers.
Performs other job responsibilities as assigned.

Preferred Qualifications:

6 months of experience creating tableau reports
PeopleSoft FSCM Experience

Job Type: Full-time

Pay: $80,000.00 - $95,000.00 per year

Benefits:

401(k)
401(k) matching
Continuing education credits
Dental insurance
Dependent health insurance coverage
Disability insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Paid holidays
Paid sick time
Prescription drug insurance
Professional development assistance
Retirement plan
Tuition reimbursement
Vision insurance
Work from home

Experience level:

4 years

Schedule:

8 hour shift

Work Location: Hybrid remote in Austin, TX 78744",1991,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,10000+ Employees,Government,False
SPS: Business Operations Analyst I,"Hanger, Inc.
","Austin, TX",$64K - $87K (Glassdoor est.),3.4,"Why Us?:
With a mantra of Empowering Human Potential, Hanger, Inc. is the world's premier provider of orthotic and prosthetic (O&P) services and products, offering the most advanced O&P solutions, clinically differentiated programs and unsurpassed customer service. Hanger's Patient Care segment is the largest owner and operator of O&P patient care clinics nationwide. Through its Products & Services segment, Hanger distributes branded and private label O&P devices, products and components, and provides rehabilitative solutions to the broader market. With 160 years of clinical excellence and innovation, Hanger's vision is to lead the orthotic and prosthetic markets by providing superior patient care, outcomes, services and value. Collectively, Hanger employees touch thousands of lives each day, helping people achieve new levels of mobility and freedom.
Could This Be For You?:
Position Overview:

HYBRID ROLE: Remote and In office:

Responsible for conducting accurate analyses of assigned organization's sales and operations by gathering data and developing reporting tools that will meet the business needs; as well as, analyzing cross-departmental business operations for efficiency.
Your Impact:
Identifies and interprets trends and patterns in datasets to locate influences.
Constructs forecasts, recommendations and strategic/tactical plans based on business data and market knowledge.
Creates specifications for reports and analysis based on business needs and required or available data elements.
Coordinate cross-functional teams through meetings and progress measurement activity which bring distinct, specific projects to completion both on time and within budget.
May provide consultation and training to users and lead cross-functional teams to address business issues.
May directly produce data and reports for analysis using system reporting tools.
Minimum Qualifications:
Experience and Education:


Bachelor’s degree in related field
Minimum of 1 years of related experience
Additional Success Factors:
Act with integrity in all ways and at all times, remaining honest, transparent, and respectful in all relationships.
Keep the patient at the center of everything that you do, building lifelong trust.
Foster open collaboration and constructive dialogue with everyone around you.
Continuously innovate new solutions, influencing and responding to change.
Focus on superior outcomes, and calibrate work processes for outstanding results.
Our Investment in You:
Employees working at least 20 hours per week are eligible for the following benefits:
Competitive Pay
Health Insurance
Dental Insurance
Vision Insurance
8 Paid Holidays per Year
Paid Vacation Time Off
Paid Sick Time Off
8 hours of paid time to volunteer in your community
Floating Holiday
Life Insurance
Medical Flex Spend Account
Dependent Care Flex Spend Account
Free employee assistance program
401(k)
Full-time employees are also eligible for short-term and long-term disability insurance

Hanger, Inc. is committed to providing equal employment opportunity in all aspects of the employer-employee relationship. All conditions and privileges of employment are administered to all employees without discrimination or harassment because of race, religious creed, color, age, sex, sexual orientation, gender identity, national origin, religion, marital status, medical condition, physical or mental disability, military service, pregnancy, childbirth and related medical conditions, special disabled veteran status, or any other classification protected by federal, state, and local laws and ordinances. The company will comply with all applicable state or local fair employment laws that forbid discrimination or harassment on the basis of other protected characteristics. Retaliation against any employee for filing or supporting a complaint of discrimination or harassment is prohibited.",1861,Health Care Services & Hospitals,$1 to $5 billion (USD),Healthcare,5001 to 10000 Employees,Company - Private,False
Business Analyst - Remote (WFH),"Cognitive Medical Systems
","Austin, TX",$65K - $97K (Glassdoor est.),3.8,"Functional Role: Business Analyst/Tech Writer

LCAT: Business Analyst


CivitasDX, LLC, is seeking a Business Analyst to support the VA T4NG Consolidated Corporate Support Services (CCSS) program’s Financial Management Product Line (FMPL) serving our Department of Veterans Affairs Corporate Portfolio clients across the entire U.S. The CCSS contract is currently delivering under its recently-awarded Option Period 2 (12 months), with one additional one-year option periods that can be exercised, with a TCV valued at $96M overall.


Responsibilities include:

Works with the scrum master, developers, and business stakeholders to analyze, elicit and facilitate requirements documentation for enhancements to the accounting reports system.
Conduct in-depth assessments of current processes, identifying bottlenecks and inefficiencies.
Develop comprehensive documentation outlining existing and proposed business processes, ensuring clarity and precision.
Gather and analyze data for business process improvements.
Communicate and validate requirements with relevant stakeholders.
Proficiently manage and maintain process documentation repositories and version control systems.
Collaborate closely with subject matter experts, developers, and stakeholders to produce clear and comprehensive technical documentation.
Translate complex technical information into user-friendly, easily understandable documentation.
Implement and maintain documentation standards and templates to ensure consistency and quality.
Work effectively in a remote or distributed team environment.


Required Skills:

Knowledge of: Agile, Scrum/Kanban, Accounting
Business Analyst skills: documenting business user stories / acceptance criteria, Business Process Analysis/documentation
Tools: Jira, Microsoft Office


Required Education, Experience and Clearance:

Bachelor’s and 3 or more years’ experience, -OR- equivalent relevant experience
Ability to obtain a VA Position of Public Trust – Medium Background Investigation (MBI)


Desired Skills:

Strong analytical, verbal, and written communication skills with a keen eye for detail.
Self-starter with a positive attitude and very good interpersonal skills.
Strong work ethic with ability to self-manage workload and deliverables under tight deadlines.
Experience working within VA’s technical, network, and data center environments a plus.
Government/Veteran Affairs accounting experience a plus.
Excellent facilitation skills.",2010,Computer Hardware Development,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
HR Operations Analyst,"Kaztronix
",United States,$29.00 Per Hour (Employer est.),3.6,"The Global HR Operations team is responsible for delivering reliable, high-quality operational support for a wide range of key HR business processes and services across multiple channels and platforms. We are seeking to hire an HR Operations Analyst to join our Global HR Operations Team as we continue to expand and grow globally. We are looking for an enthusiastic problem-solver who has excellent attention to detail with a passion for organization, clean data and coordinating projects, utilizing all of these attributes.

Duties include: Provide administrative support for all offboarding (voluntary and involuntary) projects. Act as an audit point for any offboarding activities. Maintain and update HCM for any employee activities as needed. Provide support with backlog filing, scanning and archiving projects along with any new projects. Management of employee documentation both digitally and manually, where required. Support the movement of data between core HR systems and downstream systems including Payroll, Equity, and Benefits. Ensure that all transactions are accurate and compliant with current SOX and internal control guidelines. Requirements: HR Domain Knowledge with at least 1-2 years experience in an operations role. Exceptional customer service skills with a continuous improvement mentality. Ability to work complex issues, attention to detail, process re-engineering. Ability to partner with multiple HR colleagues, partners and clients internationally.

Preferred Qualifications: BA/BS Degree Experience with HR Management Systems (Workday, ServiceNow, PeopleSoft). Intermediate-level skills in Microsoft Office. Experience in an HR Shared Services or HR Operations environment.

Kaztronix is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, sex, age, religion, disability, veteran status or any other consideration made unlawful by federal, state or local laws. In addition, all human resource actions in such areas as compensation, employee benefits, transfers, layoffs, training and development are to be administered objectively, without regard to race, color, religion, age, sex, national origin, disability, veteran status or any other consideration made unlawful by federal, state or local laws.

By applying to the position, you acknowledge that your information will be used by Kaztronix in processing your application.",2002,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
IT Business Analyst III - 100% remote in Texas,"Health & Human Services Comm
","Austin, TX",$6K - $7K (Employer est.),3.3,"Performs business analysis activities related to IT applications utilized by HHSC program areas. Work involves the gathering, development, and documentation of user requirements; the review, assessment, and development of business processes; the creation of test plans and coordination of user acceptance testing; the performance of post implementation support of systems; and support of the systems development life cycle. Coordinates with program areas to provide excellent customer support and cultivate positive, productive relationships, which include working collaboratively with business stakeholders and development teams to ensure requirements meet the customer needs. Ensures all supported systems comply with departmental and state policies and standards. Recommends improvements to modernize operations and improve efficiency.

Works under limited supervision, with considerable latitude for the use of initiative and independent judgment. This position is classified as a fulltime position (40 hours a week). Work outside of regular hours may be required. Travel to other work location may be required. Performs other duties as assigned.




Essential Job Functions:
(30%) Analyzes complex technical, business, and managerial processes to assess system change impact on business operations. Performs analysis of program policies and procedures to determine their effect on automated systems and functional areas, such as system capabilities, limitations, and workflows. Conducts technical analysis to include elicitation of business requirements and translate them into written software requirements for new or existing program applications. Documents clear, concise, and thorough technical specifications for simple to complex requests. Conducts gap analysis to ensure requirements fully address project scope.

(25%) Interfaces with customers and other IT teams to provide automated solutions and coordinate testing. Writes software use cases and test cases. Performs defect validation testing, QA testing, and regression testing on supported applications. Reviews and tracks deliverables.
(15%) Provides guidance in troubleshooting and solving problems relating to systems supported by the IT Applications Group. Analyzes enhancement requests and issues (software and hardware) reported by users to devise optimum solutions.

(15%) Builds effective working relationships with program staff and gain knowledge of their business processes for development of requirements. Works with customers to analyze complex technical, business and managerial processes. Acts as the liaison to provide updates to program, mitigate issues and risks, monitor timelines, and oversee communications. Prepares updates and reports for diverse audiences.

(10%) Coordinates, plans, and schedules meetings associated with customer-related service request responses, business requirements solicitation and coordination, and team reviews of technical specifications and related documentation. Supports development process by taking meeting notes, and identifying and tracking action items, as needed. May involve coordination with vendors.

(5%) Other duties as assigned. May include but are not limited to actively participating and/or serving in a supporting role to meet the agency’s obligations for disaster response and/or recovery or Continuity of Operations (COOP) activation. Such participation may require an alternate shift pattern assignment and/or location.





Knowledge Skills Abilities:
Knowledge of facilitation techniques in discussing requirements.
Knowledge of Business Analysis and Technical Analysis.
Knowledge of System Development Life Cycle (SDLC) Methods.
Knowledge of process improvement methods.
Knowledge of principles and practices of project management.
Knowledge of testing methodologies and strategies.
Knowledge of Agile and Waterfall system design and development methodologies.



Skill in eliciting business and technical requirements.
Skill in problem-solving.
Skill in analyzing hardware, software and data issues.
Skill in documenting application and software issues.
Skill in planning, investigating, and developing application solutions.
Skill in effective verbal and written communication and presentation skills.

Ability to analyze systems, processes, and procedures.
Ability to write and revise standards and procedures.
Ability to explain abstract concepts in concrete terms to a variety of audiences, including technical, non-technical and executive personnel.
Ability to write detailed test plans and cases.
Ability to create and verify test data using SQL.
Ability to identify and analyze complex business problems and define user needs.
Ability to communicate effectively verbally and in writing with co-workers, customers, and managers.
Ability to use creative thinking and planning to solve problems.
Ability to handle multiple projects.



Registration or Licensure Requirements:




Initial Selection Criteria:
Graduation from an accredited college or university. May substitute direct work experience on a year for year basis.
Must have at least 4 years in gathering requirements from customers/stakeholders and preparing business/technical documentation.




Additional Information:
This position can telework full time from any location in Texas consistent with HHS telework policies. Applicants from outside Texas must be willing to relocate within 60 days of hire.


MOS Code:
There are no direct military occupation(s) that relate to the responsibilities, and registration or licensure requirements for this position. All active duty, reservists, guardsmen, and veterans are encouraged to apply if they meet the qualifications for this position.




Top 10 Tips for Success when Applying to Jobs at HHSC and DSHS






HHS agencies use E-Verify. You must bring your I-9 documentation with you on your first day of work.




In compliance with the Americans with Disabilities Act (ADA), HHS agencies will provide reasonable accommodation during the hiring and selection process for qualified individuals with a disability. If you need assistance completing the on-line application, contact the HHS Employee Service Center at 1-888-894-4747. If you are contacted for an interview and need accommodation to participate in the interview process, please notify the person scheduling the interview.",1912,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,10000+ Employees,Government,False
MMT-IT Business Analyst,"DHI Mortgage
","Austin, TX",-1,3.7,"D.R. Horton, Inc., the largest homebuilder in the U.S., was founded in 1978 and is a publicly traded company on the New York Stock Exchange. It is engaged in the construction and sale of high quality homes designed principally for the entry-level and first time move-up markets. The Company also provides mortgage financing and title services for homebuyers through its mortgage and title subsidiaries. Please visit our website at www.drhorton.com for more information.





D.R. Horton, Inc. is currently looking for an MMT-IT Business Analyst in the IT Deparment. The right candidate with direct supervision, clearly identify, define, and document the business needs and customer requirements of the Strategic Business Units (SBU’s) within DHI Financial Services (DHIFS) and communicate these to the information technology staff.

Essential Duties and Responsibilities include the following. Other duties may be assigned.

Perform necessary investigation, analysis, and evaluation to determine feasibility for IT related projects
Advise the appropriate employees on the implications of existing IT systems that can be applied to a problem
Develop and/or evaluate previously refined data and programs and select from a range of alternatives to determine the appropriate action to be taken
Develop or assist in the development of work plans, specifications, task sequencing, and the extent to which tasks may be performed concurrently
Discuss or seek approval on complex matters with the Project Manager or Business Analyst II
Develop time schedules, conversion, and test procedures for all aspects of system, from manual handling through computer processing
Assist the Project Manager in estimating resource needs for analysts, programmers, user personnel, consultants, equipment’s, etc.
Conducts all business in a professional and ethical manner to serve customers and increase the goodwill and profit of the company



Qualifications


Education and/or Experience

Bachelor's degree, earned within two years, from four-year college or university
Ability to apply common sense understanding to carry out instructions furnished in written oral form or via DRH applications
Proficiency with MS Office and email

Preferred Qualifications

One to two years related experience and/or training preferred
High attention-to-detail and strong communication skills

Come join a winning team with a Fortune 500 company! We are growing fast and are looking for enthusiastic attitudes and team players to join our success. We offer an excellent benefits package including:

Medical, Vision and Dental
401(K)
Employee Stock Purchase Plan
Flex Spending Accounts
Life Insurance
Vacation, Sick, Personal Time and Company Holidays

Build YOUR future with D.R. Horton, America’s Builder. #WeBuildPeople2

Follow us on social media @hortoncareers for an inside look at our company and connect with us on LinkedIn for up to date job listings!

LinkedIn, Twitter, Facebook, Instagram


Job: Information Technology
Primary Location: TX-Austin
Organization: Mortgage
Schedule: Full-time


Job Posting: Oct 20, 2023, 3:51:53 PM",1980,Banking & Lending,$100 to $500 million (USD),Financial Services,501 to 1000 Employees,Subsidiary or Business Segment,False
