Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Project Manager,Happy Global,"Addison, TX",$5K (Employer est.),-1.0,"About usHappy Distro is a small business in Addison, TX. We are professional, fast-paced and challenging. Happy Global is a fast paced, dynamic, pioneering vape distributor based in the United States. Our COE (Center for Excellence) team is searching for an insightful, resultsㄦoriented Project Manager who can consistently exceed expectations, who can thrive in a challenging workplace, and who can actively contribute to our talented team.

Our work environment includes:

Modern office setting
Growth opportunities

Project Manager

Job Description:

This position will coordinate between different teams within the company: sales, warehouses, procurement, logistics, finance, etc. Candidates will serve as first point of contact for communications with different teams to receive demands and requests. Candidates will be required to anticipate and identify problems accurately in a usually intense environment and provide reasonable problem-solving advice to COE Team Leader. Candidates will use data analysis skills and techniques to provide thorough analysis of the company’s everyday operations and draw conclusions about business trends based on such analysis. Candidates are expected to complete analytical reports to help the company’s decision-making progress.

To be successful in this role, you are expected to have superior skills in quantitative analysis and modeling. You are also expected to have great organizational and communication skills. You need to be a hard-working person who is used to working under stress. You need to be able to deal with sophisticated issues in a fast-moving and sometimes ambiguous environment. You also need to be a detail-oriented person with a great memory.

Job Responsibilities

1.Warehouse Coordination

Connect the warehouse teams in the U.S. and the procurement and logistics teams in China
Coordinate between the front-end sales and the back-end support team, enhance the communication and feedback procedures among teams
Help the company reduce cost and improve efficiency

2.Data Analysis

Data collection and analysis
Use data to describe and visualize the current conditions and future trends of the company’s business operations
Help business department monitor, identify and analyze problems during everyday operations and provide solutions on a timely basis
Use data analysis and the conclusions drawn from it to provide references for the company’s decision-making process

3.Remediate gaps of exceptional/edge cases

Coordination and communication between all related parties to remediate potential disputes between sales regarding business operations
Help the COE team to achieve a fair resolution that adds value to the company
Monitor the exceptional/edge cases and help establish a procedural system to convert exceptional use cases to standard ones for easier resolutions
Dive deep into the root causes and document the lessons learnt for future references

4.Quality Assessment

Ensure the effectiveness and quality of the warehouse’s daily operations
Help establish and polish the company’s quality assurance system

BASIC QUALIFICATIONS

Bachelor's degree or above with background in Economics, Finance, Accounting, Statistics, Data Science and other related fields
Fluent in both Mandarin Chinese and English
Proficiency in Office tools, especially Excel, at a level sufficient for business analysis
3+ years of project management experience
Strong knowledge and experience in business operation systems and financial reporting
Excellent verbal and written communication skills and the ability to express thoughts clearly, logically and succinctly

PREFERRED QUALIFICATIONS

Proficiency in quantitative analysis tools like R, MATLAB, STATA, SPSS, SQL
Proficiency in programming languages like Python
PMP (Project Management Professional) Certification
Have experience of successfully navigating through fast-paced environment accompanied with ambiguity like startups

Job Type: Full-time

Pay: From $5,000.00 per month

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Experience level:

3 years

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Addison, TX: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Project management: 3 years (Required)

Language:

Mandarin (Required)

License/Certification:

PMP (Preferred)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Division Business Analyst / Strategic Analyst,"Lennar Homes
","Irving, TX",$79K - $116K (Glassdoor est.),3.6,"Overview:

Welcome Home! Build your career with Lennar:

As one of the nation’s largest builders, Lennar has built over one million new homes for families across America. Since 1954, our communities have catered to all lifestyles and family dynamics, whether you are a first-time or move-up buyer, multigenerational family, or active adult.

At Lennar, Everything’s Included in our homes, and Everyone’s Included on our team. Our Everyone’s Included vision is to be as inclusive and diverse as the communities we build unleashing the power of diversity within our workforce to drive innovation & sustainable growth.

Lennar's Core Values:
Our commitment to Quality, Value, and Integrity is the underlying foundation upon which Lennar was built, and these three fundamental principles still guide us in caring for our customers, associates, trade partners, shareholders, and community.

The Division Business Analyst is responsible for analyzing reports and models, reviewing financials, and data mining to formulate and deliver fact-based pricing strategies to division leadership. This position will work closely with various department to understand factors impacting the pricing and selling process to develop and implement strategic solutions that drive key operational metrics focused on improving financial results. The Division Business Analyst must possess the intellectual curiosity to actively seek out new areas of potential improvement and drill into the details to find the root cause of a problem, which requires the willingness to question results and assumptions, and an internal drive for continuous improvement.
Responsibilities:
Manage overall pricing process including providing recommendations and obtaining approvals on home-by-home pricing and release order and communicating results across the sales organization.
Recommend price adjustments to Management based on an analysis of historical sales trends, current and future market conditions and the overall market supply and demand dynamic.
Collaborate with Division lines of business to develop a deep understanding of the process, strategies and Key Performance Indicators (KPIs) that influence top line Revenue growth.
Provide revenue management functional expertise and leadership to management team and market sales leaders.
Provide an objective point of view to complex business and issues based on a deep understanding of data and analytics as well as business principals.
Regularly translate data, insights, and forecasts into actionable and relevant recommendations by utilizing visualization and/or data analysis tools, presentations and other means to effectively communicate clear and concise recommendations to senior division leadership.
Track, create, maintain, and analyze data.
Develop new skills, techniques, and statistical models for predicting future operational results, costs and key performance metrics.
Consolidate, prepare, and analyze operational data to understand cause and effect relationships and identify and share root causes.
Oversee day-to-day implementation and analysis of the different initiatives.

#CB #LI-VR1

Qualifications:
Education and Experience Requirement:
Bachelor’s Degree in related field (business, finance, etc) preferred.
MBA would be helpful.
2 years as a Revenue and/or Pricing Manager, Business analyst or comparable experience preferred.
Experience in the homebuilding industry would be helpful.
Experience with business software preferred (Salesforce, JDE, Business Intelligence)
Microsoft Office skills (Word, PowerPoint, Excel, etc.)

Physical Requirements:
This is primarily a sedentary office position which requires the ability to work in excess of eight hours per day in the confined quarters of an office. Also requires the ability bend, stoop, reach, lift, move and/or carry items less than 25 pounds. Finger dexterity in operating a computer keyboard and calculator. Requires sitting at a computer monitor for extended periods of time, completing paperwork and to receive/return phone messages.


Additional Requirements:
Demonstrates skills and experience developing and performing quantitative analysis which may include financial and/or statistical modeling.
Experience presenting to and communicating with Executives.
Strong oral, written, listening and presentation skills with a demonstrated ability to effectively communicate in business terms using simple, concise and relatable examples.
Strong quantitative and analytical foundation with the ability to translate data into actionable and relevant insights and answers to questions.
Engages and establish cooperative working relationships with Associates at various lines of business.
Ability to adapt thinking based on new points of view and/or changes in operating environments.
Ability to handle multiple projects simultaneously, delegate work and provide leadership across functions.
Prioritize and plan work activities, use time efficiently, set goals and objectives and develop realistic action plans.
Think critically to identify and resolve problems in a timely manner, gather and analyze information skillfully, develop alternative solutions and work well in group problem solving situations.
Demonstrate accuracy and thoroughness, look for ways to improve and promote quality, apply feedback to improve performance and monitor own work to ensure quality.
This position outlines the basic tasks and requirements for the position noted. It is not a comprehensive listing of all job duties of the Associates. Duties, responsibilities and activities may change at any time with or without notice.

Lennar is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices and laws.
Type: Regular Full-Time",1954,Real Estate,$5 to $10 billion (USD),Real Estate,5001 to 10000 Employees,Company - Public,False
Orthopedic Operations Analyst,"Scottish Rite for Children
","Dallas, TX",$51K - $79K (Glassdoor est.),4.2,"Our patients are our number one priority! We're committed to giving children back their childhood!
Job Posting Title:
Orthopedic Operations Analyst
Location:
Dallas - Hospital
Additional Posting Details:
Monday - Friday, 8:00am-4:30pm
Occasionally will require some early and late days and weekends
Job Description:
Duties/Responsibilities
Develops project scope, deliverables, and plan to align with project objectives in support of division’s initiatives.
Manages project lifecycle from concept to post-implementation, controlling for resources, costs, risks, conflicts, and timelines.
Uses critical-thinking skills to work under minimal supervision, while taking appropriate action and using initiative to anticipate obstacles and drive favorable outcomes.
Leads, supports, and influences discussions and communication to achieve project goals and represent change-management efforts for division and organization.
Collaborates with internal and external customers and teams in alignment with Scottish Rite for Children’s core values in support of organization’s mission.
Evaluate business processes, uncover areas for improvement, and develop and implement solutions
Perform required reports and operational/financial analysis for Administration and other operational areas
Collaborate with Clinical/Operational leaders and IT/Epic staff to facilitate development of accurate and meaningful operational reports
Serve as a financial analyst to translate financial requests and concepts to operational leaders and further explain staffing practices to Finance
Ongoing review of business processes, reports, data and spreadsheets
Conduct meetings and presentations on findings
Effectively document and communicate your insight
Work closely with staff and departments on their reporting/business needs and solutions
Manage, develop, and monitor project plans and their performance
Update, implement and maintain processes and procedures
Liaison between stakeholders and users
Timely completion of projects and deliverables
Manages project team members in relation to project scope, and serves as mentor to junior members of project team.
Manages and serves as the subject matter expert for system scheduling software (Lightning Bolt) including training and onboarding for new users
Manages and serves as subject matter expert for the Medical Staff software (MedStaff), runs reports, manages directory lists, etc. including training and onboarding for new users
Manages orthopedic visitor scheduling to optimize experience for all participants
Maintain and update Orthopedics Sharepoint site
Manages ortho educational programs including POC, RRR, Bioskills Lab, Preop and postop, other formal educational programs including scheduling, resource allocation (food, space, etc)
Pursue and achieve accreditation status for SRC programs
Other administrative responsibilities as required
Required Skills/Abilities
Bachelor’s degree or commensurate healthcare experience is required. A master’s degree is preferred
Minimum of two years of related experience in a hospital is required
An equivalent combination of education and experience may be considered.
This is a hybrid position working four days onsite and one day remotely.",1921,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,1001 to 5000 Employees,Nonprofit Organization,False
Sales Analyst,"Logix Fiber Networks
","Plano, TX",$57K - $79K (Glassdoor est.),2.9,"The Sales Analyst will assist with sales reporting and analytics, sales planning/budgeting, and help with sales data management efforts to create seamless reporting for sales insights and decision-making. This role will be responsible for monitoring various sales initiatives and performance on a regular basis, to maximize performance and revenue, identifying and executing actionable sales improvement initiatives. The analyst will also bring together sales performance and KPI data to help develop the annual sales plan. In addition, the individual in this role will support cross-functional teams including marketing, finance, network, customer service, product, and IT to share the necessary data for making key business decisions.

The position’s goal is to proactively identify trends and factors that will impact actions across product, marketing, and sales. The individual must have a data-driven outlook and a keen understanding of how to analyze disparate data sources around market trends which include competition, customers, product projections, and opportunities.

This person will support the VP Sales Operations to provide in-depth market data analysis and ongoing assessment of market/customer trends to support the Logix Fiber Networks strategy and planning.

Competencies:

· Strong analytical skills and a desire to learn more regarding using data for business recommendations.

· Solid communication and interpersonal skills and the ability to author a range of high-quality deliverables.

· Exceptional MS Excel and PowerPoint skills.

· Working knowledge of CRM systems (i.e. Microsoft Dynamics, Salesforce, Hubspot) and the ability to draw insights and make recommendations from the data.

· Advanced knowledge of Tableau.

· Experience querying large relational databases (Oracle, SQL Server, MySQL, DB2, etc).

· Good interpersonal skills necessary to work effectively with colleagues at various levels of the organization.

· Able to organize/manage multiple priorities and projects coupled with the flexibility to quickly adapt to ever changing business questions and needs.

Logix Culture:

Each team member has a responsibility to support and operate in alignment with our culture and company values. The behaviors and actions for each value may be different depending on the team member’s role and are critical to both the success of team members and the company.

Duties/Responsibilities:

· Provide ongoing support for sales reporting and analytics in order to identify growth, targeting, and sales opportunities to help grow the business.

· Create forecasts and projections making use of competitive analysis, past performance metrics, and other indicators to predict future growth and trends.

· Report sales performance on regular basis through key performance metrics, reports, and models for multiple sales channels and make recommendations for improvements.

· Develop segmentation of customer and prospect data base to deliver efficient targeting and sales into key customer profiles.

· Assist with projects such as sales territory refinements, network construction targeting, near and off-net conversion efforts, sales incentives, program ROI, and other activities critical to driving sales.

· Provide support on the CRM platform usage, improvements, and data interpretation.

· Assist with sales planning and budgeting models based on performance and future sales expectations.

· Monitor trends both within and outside the business and identify key areas for improvement or exploration.

· Report on new product assessments and marketing efforts to ensure efficient efforts and drive targeted results.

· Work collaboratively with members from sales, sales operations, solution engineers, marketing, IT, finance and others to ensure effective reporting, analysis, cross-project communication, and issue management.

· Help build, deploy, and track prototype solutions to demonstrate ideas and build value.

· Assist with ad-hoc reports or business presentations to communicate results and learnings as needed by senior management for investors, board members, and other parties.

Required Skills/Abilities:

· Analytical skills in sales planning and analysis with demonstrated examples.

· Fast learner to get up to speed on our business, data sources, systems, etc.

· Strong written and verbal communication skills.

· Proven experience improving the efficiency of an analytics function and its effect on organizational performance.

· Innovative, forward thinker and solid abilities in relationship management.

Education and Experience:

· Experience: 5+ years of experience in sales / analysis / consulting / data management.

· Undergraduate Degree in Business or quantitative field (Statistics, Mathematics, Economics, Finance, Engineering, etc.).

· Proficiency in Excel, PowerPoint, Word, and Outlook required

· Telecom, data center or other technology experience a plus.

Physical Requirements:

· Prolonged periods of working at a desk and on a computer.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Education:

Bachelor's (Required)

Experience:

Telecommunication: 3 years (Preferred)
Sales analysis: 3 years (Required)

Language:

English (Required)

Work Location: Hybrid remote in Plano, TX 75093",1983,"Cable, Internet & Telephone Providers",$25 to $100 million (USD),Telecommunications,201 to 500 Employees,Company - Private,True
Operations Specialist,Happy Global,"Addison, TX",$4K (Employer est.),-1.0,"About us

We are data-driven, fast-paced and challenging. Happy Global is a fast-paced, dynamic, pioneering vape distributor based in the United States. Our COE (Center for Excellence) team is searching for an insightful, results-oriented Project Manager who can consistently exceed expectations, who can thrive in a challenging workplace, and who can actively contribute to our talented team.

Our work environment includes:

Modern office setting
Growth opportunities
On-the-job training
Casual work attire

Operations Specialist

This position will coordinate between different teams within the company: sales, warehouses, procurement, logistics, finance, etc. Candidates will serve as first point of contact for communications with different teams to receive demands and requests. Candidates will be required to anticipate and identify problems accurately in a usually intense environment and provide reasonable problem-solving advice to COE Team Leader. Candidates will use data analysis skills and techniques to provide analysis of the company’s everyday operations and draw conclusions about business trends based on such analysis.

Candidates are expected to participate in completing analytical reports to help the company’s decision-making progress.

To be successful in this role, you are expected to have strong skills in quantitative analysis and modeling.

You are also expected to have great organizational and communication skills. You need to be a hard-working person who is used to working under stress. You need to be able to deal with sophisticated issues in a fast-moving and sometimes ambiguous environment. You also need to be a detail-oriented person with a great memory.

Job Responsibilities

1.Warehouse Coordination

Connect the warehouse teams in the U.S. and the procurement and logistics teams in China
Coordinate between the front-end sales and the back-end support team, enhance the communication and feedback procedures among teams
Help the company reduce cost and improve efficiency

2.Data Analysis

Data collection and analysis
Use data to describe and visualize the current conditions and future trends of the company’s business operations
Help business department monitor, identify and analyze problems during everyday operations and provide solutions on a timely basis
Use data analysis and the conclusions drawn from it to provide references for the company’s decision-making process

3.Remediate gaps of exceptional/edge cases

Coordination and communication between all related parties to remediate potential disputes between sales regarding business operations
Help the COE team to achieve a fair resolution that adds value to the company
Monitor the exceptional/edge cases and help establish a procedural system to convert exceptional use cases to standard ones for easier resolutions
Dive deep into the root causes and document the lessons learnt for future references

4.Quality Assessment

Ensure the effectiveness and quality of the warehouse’s daily operations
Help establish and polish the company’s quality assurance system

BASIC QUALIFICATIONS

Bachelor's degree or above with background in Economics, Finance, Accounting, Statistics, Data Science and other related fields
Fluent in both Mandarin Chinese and English
Proficiency in Office tools, especially Excel, at a level sufficient for business analysis
Strong knowledge and experience in business operation systems and financial reporting
Strong verbal and written communication skills and the ability to express thoughts clearly, logically and succinctly

PREFERRED QUALIFICATIONS

1+ years of project management experience
Proficiency in quantitative analysis tools like R, MATLAB, STATA, SPSS, SQL
Proficiency in programming languages like Python
PMP (Project Management Professional) Certification
Have experience of successfully navigating through fast-paced environment accompanied with ambiguity like startups

Job Type: Full-time

Pay: From $4,000.00 per month

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Supplemental pay types:

Bonus pay

Ability to commute/relocate:

Addison, TX: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Preferred)

Experience:

Data analysis skills: 1 year (Preferred)

Language:

Mandarin (Required)

License/Certification:

Driver's License (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Business Analyst,"Klein Tools
","Mansfield, TX",$62K - $85K (Glassdoor est.),3.9,"Klein Tools is a dynamic, fast-paced and results driven company dedicated to launching hundreds of innovative products each year. Are you ready to make an impact?

Perks for you include:

Paid Vacations & Holidays
Profit Sharing & Matching 401(k)
Health Insurance (Medical, Vision, & Dental)
Discounts on Klein Tools products
Education and Professional Development Assistance
The Business Analyst will bring to the table a strong analytical mindset, communication finesse, and a demonstrated ability of translating a wide range of data inputs into actionable information. This role presents a unique opportunity to collaborate directly with the President and shape the fabric of strategic decision‐making.
1. Collaborate closely with the President to support critical day‐to‐day analytical and tactical follow through needs.
2. Conduct market research, assess data, and develop insights into market trends and pricing strategies.
3. Provides analysis of revenue, market share, and competitor activity to develop optimal market strategies.
4. Conduct elasticity of demand analysis to optimize pricing decisions.
5. Identify opportunities to maximize profitability while maintaining competitiveness.
6. Apply advanced data analysis techniques to extract actionable insights, spot trends, and empower data‐driven decision‐making. Expertly employ sophisticated tools to manipulate and effectively present data.
7. Collaborate with cross‐functional teams to facilitate project planning, monitoring, and tracking, ensuring punctual and precision‐driven project delivery.
8. Assist with the creation of reports and presentations as needed by the President & COO.
9. Maintain a database of historical pricing data to monitor and evaluate the effectiveness of pricing and guide pricing decisions.
10. Develop an intuitive understanding of the marketplace via hands‐on field work with both end users and distributors.
11. Perform all other duties as assigned.
Bachelor's degree in Business Administration, or STEM related field. One (1) to three (3) years in a Business Analyst role or equivalent. Strong analytical skills for translating a variety of data inputs into actionable insights. Proficiency in data analysis, data visualization, and tools such as Excel, SQL, Tableau, or Power BI. High proficiency with Excel is a must. Effective written and verbal communication skills for clear, concise documentation. Detail‐oriented mindset committed to delivering high‐quality work. Self‐starter mentality. Problem‐solving aptitude for identifying issues and proposing solutions. Econometrics and/or quantitative market research familiarity a plus.

#KleinHP

Your main focus:

Quality
Customer Obsession
Innovation
Ownership
Teamwork
Klein Tools is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status. For candidates with disabilities and needing assistance, please email us at hr@kleintools.com.",1857,Consumer Product Manufacturing,$5 to $25 million (USD),Manufacturing,1001 to 5000 Employees,Company - Private,True
Jr. Business Analyst,"Real Time Resolutions Inc
","Dallas, TX",$50K - $65K (Employer est.),3.2,"About Us:

Real Time Resolutions is a dynamic and innovative organization in the financial sector. We are currently seeking a motivated and detail-oriented Junior Business Analyst to join our Strategy & Analytics team. This is a unique opportunity to contribute to both technical and business aspects while working in a collaborative and supportive environment.

Key Responsibilities:

Provide end-user support for various systems, including Live Vox, NCA Portal CRM, Freshdesk, and Nortridge.
Handle ticket resolution, break/fix/outage support, basic system admin tasks, and troubleshooting.
Generate ad-hoc reports and fulfill data requests.
Support the team in mission-critical reporting tasks and analysis projects.
Utilize tools like Visio, ARIS, and Lucid Chart for process modeling and analysis.
Manage requirements and tickets using tools like JIRA, Confluence, Freshdesk, and Trello.
Possess general knowledge of CRM systems, such as Salesforce.
Familiarity with agile methodology (KANBAN, SCRUM), iterative development, LEAN, six sigma, and software development lifecycles.
Knowledge of R or Python is highly valuable.

Qualifications:

Bachelor's degree in Business Administration, Computer Science, or related field (PREFERRED)

2+ Proven experience as a Business Analyst or similar role

Proficiency in Outlook, Teams, Excel, Word, PowerPoint, SQL, Power Bi, Visio, JIRA/Trello, and Freshdesk.
Preferred: Knowledge of R, Python.
Basic understanding/interest in software, data, process improvement, consumer finance, and contact center operations.
Strong problem-solving, writing, and communication skills.
Organizational skills and the ability to work independently.

This is an exciting opportunity for a skilled Business Analyst to join our team. We offer competitive compensation and benefits packages. If you meet the requirements above and are passionate about leveraging data to drive business insights, we would love to hear from you. Please apply with your updated resume.

Job Type: Full-time

Pay: $50,000.00 - $65,000.00 per year

Benefits:

AD&D insurance
Flexible spending account
Life insurance
Paid holidays
Paid sick time
Prescription drug insurance
Vision insurance

Experience level:

2 years

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Dallas, TX 75247: Reliably commute or planning to relocate before starting work (Required)

Experience:

, SQL, Power Bi, Visio, JIRA/Trello, and Freshdesk: 2 years (Preferred)

Work Location: Hybrid remote in Dallas, TX 75247",2000,Debt Relief,Unknown / Non-Applicable,Financial Services,Unknown,Company - Private,True
Payroll & Business Analyst (In-Office),Mowi USA,"Arlington, TX",-1,-1.0,"Summary

The Payroll & Business Analystwill lead the payroll process for Mowi USA business unit. Will be responsible for processing payroll, providing technical aid and supporting process improvement for Human Resources. The Payroll & Business Analyst will establish the developing of automated payroll processes: increasing payroll functionality, preparing monthly reports and managing payroll functions. Will also be in charge of preparing monthly payroll accrual, assisting with general accounting tasks and the monthly close process. The Payroll & Business Analyst will develop a robust understanding of all business unit regulatory standards, in order to ensure governance and compliance.

Responsibilities

Ensure payroll is processed timely and accurately.
Enter weekly payroll changes (not processed through self-service and HR processes). Audit the payroll register to ensure changes were captured and payroll is accurate.
Develop strong relationships with HR, through partnering with the team and assisting in process improvement related to HR functions and payroll systems. Provide excellent customer service to Mowi employees.
Support HR in the development of resources within Workforce Now, including: recruitment, employee goals and appraisals, reporting and analytical resources.
Provide support in the development of electronic employee files, including: assistance with self-audits and recommendations for improvements.
Support continued development of Workforce Now to provide improved self-service experience and increase self-service use.
Lead annual benefit and compliance reporting and audit processes, including: 401k audit, workers compensation audit, Self-Insured Medical Plan audit, 1095 review, EEO1 filing, etc.
Process weekly 401k contribution upload and reconcile payroll and 401k data.
Manage all garnishments, deductions, and Paid Time Off (PTO) balances in ADP Workforce Now.
Manage ACA compliance within Workforce Now.
Maintain knowledge of trends, best practices, regulatory changes, and new technologies in payroll.
Assist with the maintenance of fixed assets including processing additions, dispositions and running monthly depreciation.
Reconcile bank accounts including checking, payroll and lockbox accounts.
Perform other duties as assigned.

Qualifications and Skills

Excellent verbal and written communication skills.
Outstanding interpersonal, negotiation, and conflict resolution skills.
·Excellent organizational skills and attention to detail.
Strong analytical and problem-solving skills.
Ability to prioritize tasks and to delegate them when appropriate.
Ability to act with integrity, professionalism, and confidentiality.
Experience using ADP Workforce Now preferred.
Must possess thorough knowledge of employment-related laws and regulations.
Proficient with Microsoft Office Suite.
Ability to develop strong trusting relationships, in order to gain support and achieve results, within a diverse group of employees, ranging from a field environment to a corporate setting.
Flexibility and ability to interact with employees at all levels.

Education:

Bachelor’s Degree in Accounting, Business Administration or related field preferred.
Minimum 5 years’ of experience in a corporate environment preferred.
Minimum 5 years’ of experience in Payroll preferred.

**All requirements and skills are considered to be essential, unless otherwise indicated.**

**Mowi is an Equal Opportunity Employer**

The above job description is not an all-encompassing list of duties and responsibilities required of the employee for this job. Duties and responsibilities may change without notice.

Mowi is a Drugfree Workplace.

**Mowi does not accept recruiting agency resumes. Please do not forward resumes to our jobs alias, Mowi employees or any other company location. Mowi is not responsible for any fees related to unsolicited resumes**

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday
Weekends as needed

Work setting:

Office

Application Question(s):

Are you able/willing to work from one of the locations listed: Miami, FL/Belfast, MN/Arlington, TX?

Education:

Bachelor's (Preferred)

Experience:

Payroll management: 2 years (Preferred)
Business analysis: 2 years (Preferred)
Data analytics: 2 years (Preferred)
Project management: 2 years (Preferred)
ADP: 2 years (Preferred)
Microsoft Excel: 2 years (Preferred)

Willingness to travel:

50% (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Technology Analyst I,DocuNav Solutions,United States,$60K - $75K (Employer est.),-1.0,"Come join the DocuNav family! DocuNav Solutions is one of the top providers world-wide of Laserfiche ECM Software for over 25 years. We are growing and looking to expand the team. We offer training and top-notch benefits!

Do you enjoy:

solving problems
learning and applying new ideas and solutions
a variety in your work instead of the same repetitive tasks day after day
technology

If this sounds like you, please read on and apply here:

https://take.surveys.ci/s/1B0D150000

Qualifications:

Proven ability to collaborate with customers to define issue and plan of action
Excellent communication skills, both Written and Verbal
Must be detailed oriented
Effectively manage different tasks simultaneously
Strong problem-solving skills and working knowledge of project management tasks

Applications Requirements:

Reputation for teamwork, strong work ethic and commitment to delivering results
Selected candidates must pass the background review
SQL Server experience (Writing queries, SSIS packages, etc.)
Web or Software development experience – JavaScript, jQuery, C#
Experience with Onbase, OpenText or other ECM a bonus

DocuNav Offers:

Opportunity to work with Number One re-seller of Laserfiche in Texas
A strong team with high energy level and integrity to achieve goals
Career oriented advancement
Competitive compensation including great benefits package & more
Certification and Self-development plans
Team building opportunities

Job Type: Full-time
Salary: $60,000.00 to $75,000.00 /year

Job Type: Full-time

Pay: $60,000.00 - $75,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Experience level:

No experience needed

Schedule:

8 hour shift

Ability to commute/relocate:

Frisco, TX 75034: Reliably commute or planning to relocate before starting work (Required)

Work Location: Hybrid remote in Frisco, TX 75034",-1,-1,-1,-1,-1,-1,True
Business Intelligence Analyst,"ITSutra
","Irving, TX",$63K (Employer est.),3.4,"Irving,United States
Permanent

JOB DUTIES: ITsutra, Inc. has an opening for the position of Business Intelligence Analyst which requires a U.S. Bachelor’s or foreign equivalent degree in Business Administration, MIS, Business Analytics, Data Science, or related with 12 months of experience in Management Analyst, Business Analyst, Data Analytics related or related occupation.

Duties:

Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.

Manage timely flow of business intelligence information to users.

Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.

Analyze competitive market strategies through analysis of related product, market, or share trends.

Maintain or update business intelligence tools, databases, dashboards, systems, or methods.

Identify or monitor current and potential customers, using business intelligence tools.

Disseminate information regarding tools, reports, or metadata enhancements.

Provide technical support for existing reports, dashboards, or other tools.

Create or review technical design documentation to ensure the accurate development of Analyze technology trends to identify markets for future product development or to improve sales of existing products.

Conduct or coordinate tests to ensure that intelligence is consistent with defined needs.

Full time - 40 hrs./week. M-F. Job Location: Irving, Texas. Must be authorized to work in the United States. Mail resumes to Sujeet Karki at ITsutra, Inc., 4425 W. Airport Fwy, Suite 234, Irving, TX 75062, Or Email Resumes to sujeet.karki@itsutra.com.

REQUIREMENTS:

Education: U.S. Bachelor’s or foreign equivalent degree in Business Administration, MIS, Business Analytics, Data Science, or related.
Experience: 12 months of experience in Management Analyst, Business Analyst, Data Analytics related or related occupations.
Salary: $63,066/ year
Location: Irving, TX

Any applicant who is interested in this position may apply to the following individual for consideration: sujeet.karki@itsutra.com.

About the company
ITsutra is an independent IT consultancy. We deliver software development, consulting and training services.

We are passionate about our clients’ problems and we bring a fierce focus to get the job done right, every time. By sharing our knowledge and understanding our clients’ businesses, we deliver the right results for them.

ITsutra is always in the forefront for our customers in order to resolve any complexities arising with their IT requirements.

During our interactions with customers, we came across the fact that most of them don’t have a skilled team to identify the potential of information technology prospects in their business needs and to provide feasible and cost-effective solutions. In this IT oriented business world, we clearly felt the necessity of technical support services for our customers, and thus, we started our consultancy services.",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Company - Private,False
