Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Amazon Vendor/Seller Central Category Sales Manager,Arozzi Gaming Distribution Inc.,"McKinney, TX",$18.00 - $24.00 Per Hour (Employer est.),-1.0,"About us

Arozzi North America Inc. is a small business in Mckinney, TX. We are professional, collaborative and supportive.

Our work environment includes:

Modern office setting
Casual work attire
Relaxed atmosphere
On-the-job training
Growth opportunities

The Job Overview

We are seeking an account manager to join our team. You will be in charge of prospecting, qualifying, and closing sales regarding new company business. Account manager duties will include maintaining existing accounts, developing new accounts, and coordinating with the sales team.

A successful account manager should have excellent communication and relationship-building skills as well as the ability to work independently with minimum supervision.

Responsibilities

Below are some responsibilities that account managers are expected to assume:

Plan, execute, and manage client accounts and projects
Collaborate with clients to determine product or service requirements
Develop project plans to meet client goals and objectives
Build relationships with clients to ensure brand and project success
Create a pleasant experience for clients by coordinating with marketing and customer service to provide solutions
Provide regular updates, respond to inquiries, and address any client concerns in a timely manner
Coordinate and facilitate regular client meetings
Monitor and manage project performance
Oversee the development of new client relationships
Ensure client satisfaction and retention

Job Qualifications and Skill Sets

Below are the qualifications expected of an account manager:

Minimum of 2 years experience in Amazon Vendor Central/Seller Central
Minimum of 2 years experience in business analysis or a related field
Exceptional analytical and conceptual-thinking skills
The ability to influence stakeholders and work closely with them to determine acceptable solutions
Excellent technical and communication skills
Experience using customer relationship management (CMS) software
Competency using Microsoft Office Suite
A track record of following through on commitments
Excellent planning, organizational, and time management skills

Job Type: Full-time

Pay: $18.00 - $24.00 per hour

Benefits:

Employee discount
Paid time off

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Mckinney, TX 75070: Reliably commute or planning to relocate before starting work (Required)

Experience:

Amazon Vendor/Seller Central: 2 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Project Manager,Happy Global,"Addison, TX",$5K (Employer est.),-1.0,"About usHappy Distro is a small business in Addison, TX. We are professional, fast-paced and challenging. Happy Global is a fast paced, dynamic, pioneering vape distributor based in the United States. Our COE (Center for Excellence) team is searching for an insightful, resultsㄦoriented Project Manager who can consistently exceed expectations, who can thrive in a challenging workplace, and who can actively contribute to our talented team.

Our work environment includes:

Modern office setting
Growth opportunities

Project Manager

Job Description:

This position will coordinate between different teams within the company: sales, warehouses, procurement, logistics, finance, etc. Candidates will serve as first point of contact for communications with different teams to receive demands and requests. Candidates will be required to anticipate and identify problems accurately in a usually intense environment and provide reasonable problem-solving advice to COE Team Leader. Candidates will use data analysis skills and techniques to provide thorough analysis of the company’s everyday operations and draw conclusions about business trends based on such analysis. Candidates are expected to complete analytical reports to help the company’s decision-making progress.

To be successful in this role, you are expected to have superior skills in quantitative analysis and modeling. You are also expected to have great organizational and communication skills. You need to be a hard-working person who is used to working under stress. You need to be able to deal with sophisticated issues in a fast-moving and sometimes ambiguous environment. You also need to be a detail-oriented person with a great memory.

Job Responsibilities

1.Warehouse Coordination

Connect the warehouse teams in the U.S. and the procurement and logistics teams in China
Coordinate between the front-end sales and the back-end support team, enhance the communication and feedback procedures among teams
Help the company reduce cost and improve efficiency

2.Data Analysis

Data collection and analysis
Use data to describe and visualize the current conditions and future trends of the company’s business operations
Help business department monitor, identify and analyze problems during everyday operations and provide solutions on a timely basis
Use data analysis and the conclusions drawn from it to provide references for the company’s decision-making process

3.Remediate gaps of exceptional/edge cases

Coordination and communication between all related parties to remediate potential disputes between sales regarding business operations
Help the COE team to achieve a fair resolution that adds value to the company
Monitor the exceptional/edge cases and help establish a procedural system to convert exceptional use cases to standard ones for easier resolutions
Dive deep into the root causes and document the lessons learnt for future references

4.Quality Assessment

Ensure the effectiveness and quality of the warehouse’s daily operations
Help establish and polish the company’s quality assurance system

BASIC QUALIFICATIONS

Bachelor's degree or above with background in Economics, Finance, Accounting, Statistics, Data Science and other related fields
Fluent in both Mandarin Chinese and English
Proficiency in Office tools, especially Excel, at a level sufficient for business analysis
3+ years of project management experience
Strong knowledge and experience in business operation systems and financial reporting
Excellent verbal and written communication skills and the ability to express thoughts clearly, logically and succinctly

PREFERRED QUALIFICATIONS

Proficiency in quantitative analysis tools like R, MATLAB, STATA, SPSS, SQL
Proficiency in programming languages like Python
PMP (Project Management Professional) Certification
Have experience of successfully navigating through fast-paced environment accompanied with ambiguity like startups

Job Type: Full-time

Pay: From $5,000.00 per month

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Experience level:

3 years

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Addison, TX: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Project management: 3 years (Required)

Language:

Mandarin (Required)

License/Certification:

PMP (Preferred)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Sales Analyst,"Logix Fiber Networks
","Plano, TX",$57K - $79K (Glassdoor est.),2.9,"The Sales Analyst will assist with sales reporting and analytics, sales planning/budgeting, and help with sales data management efforts to create seamless reporting for sales insights and decision-making. This role will be responsible for monitoring various sales initiatives and performance on a regular basis, to maximize performance and revenue, identifying and executing actionable sales improvement initiatives. The analyst will also bring together sales performance and KPI data to help develop the annual sales plan. In addition, the individual in this role will support cross-functional teams including marketing, finance, network, customer service, product, and IT to share the necessary data for making key business decisions.

The position’s goal is to proactively identify trends and factors that will impact actions across product, marketing, and sales. The individual must have a data-driven outlook and a keen understanding of how to analyze disparate data sources around market trends which include competition, customers, product projections, and opportunities.

This person will support the VP Sales Operations to provide in-depth market data analysis and ongoing assessment of market/customer trends to support the Logix Fiber Networks strategy and planning.

Competencies:

· Strong analytical skills and a desire to learn more regarding using data for business recommendations.

· Solid communication and interpersonal skills and the ability to author a range of high-quality deliverables.

· Exceptional MS Excel and PowerPoint skills.

· Working knowledge of CRM systems (i.e. Microsoft Dynamics, Salesforce, Hubspot) and the ability to draw insights and make recommendations from the data.

· Advanced knowledge of Tableau.

· Experience querying large relational databases (Oracle, SQL Server, MySQL, DB2, etc).

· Good interpersonal skills necessary to work effectively with colleagues at various levels of the organization.

· Able to organize/manage multiple priorities and projects coupled with the flexibility to quickly adapt to ever changing business questions and needs.

Logix Culture:

Each team member has a responsibility to support and operate in alignment with our culture and company values. The behaviors and actions for each value may be different depending on the team member’s role and are critical to both the success of team members and the company.

Duties/Responsibilities:

· Provide ongoing support for sales reporting and analytics in order to identify growth, targeting, and sales opportunities to help grow the business.

· Create forecasts and projections making use of competitive analysis, past performance metrics, and other indicators to predict future growth and trends.

· Report sales performance on regular basis through key performance metrics, reports, and models for multiple sales channels and make recommendations for improvements.

· Develop segmentation of customer and prospect data base to deliver efficient targeting and sales into key customer profiles.

· Assist with projects such as sales territory refinements, network construction targeting, near and off-net conversion efforts, sales incentives, program ROI, and other activities critical to driving sales.

· Provide support on the CRM platform usage, improvements, and data interpretation.

· Assist with sales planning and budgeting models based on performance and future sales expectations.

· Monitor trends both within and outside the business and identify key areas for improvement or exploration.

· Report on new product assessments and marketing efforts to ensure efficient efforts and drive targeted results.

· Work collaboratively with members from sales, sales operations, solution engineers, marketing, IT, finance and others to ensure effective reporting, analysis, cross-project communication, and issue management.

· Help build, deploy, and track prototype solutions to demonstrate ideas and build value.

· Assist with ad-hoc reports or business presentations to communicate results and learnings as needed by senior management for investors, board members, and other parties.

Required Skills/Abilities:

· Analytical skills in sales planning and analysis with demonstrated examples.

· Fast learner to get up to speed on our business, data sources, systems, etc.

· Strong written and verbal communication skills.

· Proven experience improving the efficiency of an analytics function and its effect on organizational performance.

· Innovative, forward thinker and solid abilities in relationship management.

Education and Experience:

· Experience: 5+ years of experience in sales / analysis / consulting / data management.

· Undergraduate Degree in Business or quantitative field (Statistics, Mathematics, Economics, Finance, Engineering, etc.).

· Proficiency in Excel, PowerPoint, Word, and Outlook required

· Telecom, data center or other technology experience a plus.

Physical Requirements:

· Prolonged periods of working at a desk and on a computer.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Education:

Bachelor's (Required)

Experience:

Telecommunication: 3 years (Preferred)
Sales analysis: 3 years (Required)

Language:

English (Required)

Work Location: Hybrid remote in Plano, TX 75093",1983,"Cable, Internet & Telephone Providers",$25 to $100 million (USD),Telecommunications,201 to 500 Employees,Company - Private,True
Operations Specialist,Happy Global,"Addison, TX",$4K (Employer est.),-1.0,"About us

We are data-driven, fast-paced and challenging. Happy Global is a fast-paced, dynamic, pioneering vape distributor based in the United States. Our COE (Center for Excellence) team is searching for an insightful, results-oriented Project Manager who can consistently exceed expectations, who can thrive in a challenging workplace, and who can actively contribute to our talented team.

Our work environment includes:

Modern office setting
Growth opportunities
On-the-job training
Casual work attire

Operations Specialist

This position will coordinate between different teams within the company: sales, warehouses, procurement, logistics, finance, etc. Candidates will serve as first point of contact for communications with different teams to receive demands and requests. Candidates will be required to anticipate and identify problems accurately in a usually intense environment and provide reasonable problem-solving advice to COE Team Leader. Candidates will use data analysis skills and techniques to provide analysis of the company’s everyday operations and draw conclusions about business trends based on such analysis.

Candidates are expected to participate in completing analytical reports to help the company’s decision-making progress.

To be successful in this role, you are expected to have strong skills in quantitative analysis and modeling.

You are also expected to have great organizational and communication skills. You need to be a hard-working person who is used to working under stress. You need to be able to deal with sophisticated issues in a fast-moving and sometimes ambiguous environment. You also need to be a detail-oriented person with a great memory.

Job Responsibilities

1.Warehouse Coordination

Connect the warehouse teams in the U.S. and the procurement and logistics teams in China
Coordinate between the front-end sales and the back-end support team, enhance the communication and feedback procedures among teams
Help the company reduce cost and improve efficiency

2.Data Analysis

Data collection and analysis
Use data to describe and visualize the current conditions and future trends of the company’s business operations
Help business department monitor, identify and analyze problems during everyday operations and provide solutions on a timely basis
Use data analysis and the conclusions drawn from it to provide references for the company’s decision-making process

3.Remediate gaps of exceptional/edge cases

Coordination and communication between all related parties to remediate potential disputes between sales regarding business operations
Help the COE team to achieve a fair resolution that adds value to the company
Monitor the exceptional/edge cases and help establish a procedural system to convert exceptional use cases to standard ones for easier resolutions
Dive deep into the root causes and document the lessons learnt for future references

4.Quality Assessment

Ensure the effectiveness and quality of the warehouse’s daily operations
Help establish and polish the company’s quality assurance system

BASIC QUALIFICATIONS

Bachelor's degree or above with background in Economics, Finance, Accounting, Statistics, Data Science and other related fields
Fluent in both Mandarin Chinese and English
Proficiency in Office tools, especially Excel, at a level sufficient for business analysis
Strong knowledge and experience in business operation systems and financial reporting
Strong verbal and written communication skills and the ability to express thoughts clearly, logically and succinctly

PREFERRED QUALIFICATIONS

1+ years of project management experience
Proficiency in quantitative analysis tools like R, MATLAB, STATA, SPSS, SQL
Proficiency in programming languages like Python
PMP (Project Management Professional) Certification
Have experience of successfully navigating through fast-paced environment accompanied with ambiguity like startups

Job Type: Full-time

Pay: From $4,000.00 per month

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Supplemental pay types:

Bonus pay

Ability to commute/relocate:

Addison, TX: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Preferred)

Experience:

Data analysis skills: 1 year (Preferred)

Language:

Mandarin (Required)

License/Certification:

Driver's License (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Division Business Analyst / Strategic Analyst,"Lennar Homes
","Irving, TX",$79K - $116K (Glassdoor est.),3.6,"Overview:

Welcome Home! Build your career with Lennar:

As one of the nation’s largest builders, Lennar has built over one million new homes for families across America. Since 1954, our communities have catered to all lifestyles and family dynamics, whether you are a first-time or move-up buyer, multigenerational family, or active adult.

At Lennar, Everything’s Included in our homes, and Everyone’s Included on our team. Our Everyone’s Included vision is to be as inclusive and diverse as the communities we build unleashing the power of diversity within our workforce to drive innovation & sustainable growth.

Lennar's Core Values:
Our commitment to Quality, Value, and Integrity is the underlying foundation upon which Lennar was built, and these three fundamental principles still guide us in caring for our customers, associates, trade partners, shareholders, and community.

The Division Business Analyst is responsible for analyzing reports and models, reviewing financials, and data mining to formulate and deliver fact-based pricing strategies to division leadership. This position will work closely with various department to understand factors impacting the pricing and selling process to develop and implement strategic solutions that drive key operational metrics focused on improving financial results. The Division Business Analyst must possess the intellectual curiosity to actively seek out new areas of potential improvement and drill into the details to find the root cause of a problem, which requires the willingness to question results and assumptions, and an internal drive for continuous improvement.
Responsibilities:
Manage overall pricing process including providing recommendations and obtaining approvals on home-by-home pricing and release order and communicating results across the sales organization.
Recommend price adjustments to Management based on an analysis of historical sales trends, current and future market conditions and the overall market supply and demand dynamic.
Collaborate with Division lines of business to develop a deep understanding of the process, strategies and Key Performance Indicators (KPIs) that influence top line Revenue growth.
Provide revenue management functional expertise and leadership to management team and market sales leaders.
Provide an objective point of view to complex business and issues based on a deep understanding of data and analytics as well as business principals.
Regularly translate data, insights, and forecasts into actionable and relevant recommendations by utilizing visualization and/or data analysis tools, presentations and other means to effectively communicate clear and concise recommendations to senior division leadership.
Track, create, maintain, and analyze data.
Develop new skills, techniques, and statistical models for predicting future operational results, costs and key performance metrics.
Consolidate, prepare, and analyze operational data to understand cause and effect relationships and identify and share root causes.
Oversee day-to-day implementation and analysis of the different initiatives.

#CB #LI-VR1

Qualifications:
Education and Experience Requirement:
Bachelor’s Degree in related field (business, finance, etc) preferred.
MBA would be helpful.
2 years as a Revenue and/or Pricing Manager, Business analyst or comparable experience preferred.
Experience in the homebuilding industry would be helpful.
Experience with business software preferred (Salesforce, JDE, Business Intelligence)
Microsoft Office skills (Word, PowerPoint, Excel, etc.)

Physical Requirements:
This is primarily a sedentary office position which requires the ability to work in excess of eight hours per day in the confined quarters of an office. Also requires the ability bend, stoop, reach, lift, move and/or carry items less than 25 pounds. Finger dexterity in operating a computer keyboard and calculator. Requires sitting at a computer monitor for extended periods of time, completing paperwork and to receive/return phone messages.


Additional Requirements:
Demonstrates skills and experience developing and performing quantitative analysis which may include financial and/or statistical modeling.
Experience presenting to and communicating with Executives.
Strong oral, written, listening and presentation skills with a demonstrated ability to effectively communicate in business terms using simple, concise and relatable examples.
Strong quantitative and analytical foundation with the ability to translate data into actionable and relevant insights and answers to questions.
Engages and establish cooperative working relationships with Associates at various lines of business.
Ability to adapt thinking based on new points of view and/or changes in operating environments.
Ability to handle multiple projects simultaneously, delegate work and provide leadership across functions.
Prioritize and plan work activities, use time efficiently, set goals and objectives and develop realistic action plans.
Think critically to identify and resolve problems in a timely manner, gather and analyze information skillfully, develop alternative solutions and work well in group problem solving situations.
Demonstrate accuracy and thoroughness, look for ways to improve and promote quality, apply feedback to improve performance and monitor own work to ensure quality.
This position outlines the basic tasks and requirements for the position noted. It is not a comprehensive listing of all job duties of the Associates. Duties, responsibilities and activities may change at any time with or without notice.

Lennar is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices and laws.
Type: Regular Full-Time",1954,Real Estate,$5 to $10 billion (USD),Real Estate,5001 to 10000 Employees,Company - Public,False
Business Technology Analyst I,DocuNav Solutions,United States,$60K - $75K (Employer est.),-1.0,"Come join the DocuNav family! DocuNav Solutions is one of the top providers world-wide of Laserfiche ECM Software for over 25 years. We are growing and looking to expand the team. We offer training and top-notch benefits!

Do you enjoy:

solving problems
learning and applying new ideas and solutions
a variety in your work instead of the same repetitive tasks day after day
technology

If this sounds like you, please read on and apply here:

https://take.surveys.ci/s/1B0D150000

Qualifications:

Proven ability to collaborate with customers to define issue and plan of action
Excellent communication skills, both Written and Verbal
Must be detailed oriented
Effectively manage different tasks simultaneously
Strong problem-solving skills and working knowledge of project management tasks

Applications Requirements:

Reputation for teamwork, strong work ethic and commitment to delivering results
Selected candidates must pass the background review
SQL Server experience (Writing queries, SSIS packages, etc.)
Web or Software development experience – JavaScript, jQuery, C#
Experience with Onbase, OpenText or other ECM a bonus

DocuNav Offers:

Opportunity to work with Number One re-seller of Laserfiche in Texas
A strong team with high energy level and integrity to achieve goals
Career oriented advancement
Competitive compensation including great benefits package & more
Certification and Self-development plans
Team building opportunities

Job Type: Full-time
Salary: $60,000.00 to $75,000.00 /year

Job Type: Full-time

Pay: $60,000.00 - $75,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Experience level:

No experience needed

Schedule:

8 hour shift

Ability to commute/relocate:

Frisco, TX 75034: Reliably commute or planning to relocate before starting work (Required)

Work Location: Hybrid remote in Frisco, TX 75034",-1,-1,-1,-1,-1,-1,True
Bilingual Sales Analyst,Benelli America,"Frisco, TX",$40K - $80K (Employer est.),-1.0,"QJ North America Inc. (dba Benelli America (usa.benelli.com), Keeway America (usa.keeway.com)), the exclusive distributor of Benelli and Keeway motorcycles and scooters in the US, is looking for a Sales Analyst/Sales Assistant.

Primary Responsibilities:

Analyzing sales data as directed to identify trends, patterns, and opportunities.
Generating reports on sales performance and presenting findings to the sales team or management.
Assisting in sales forecasting and budgeting processes.
Supporting the sales team in day-to-day activities.
Coordinating with other departments to ensure smooth order processing and delivery.
Managing and updating customer databases in CRM systems.
Tracking customer interactions and sales activities.
Conducting market research to understand industry trends and competitors.
Handling administrative tasks such as preparing sales reports, maintaining documentation, and organizing meetings.
Collaborating with the marketing team to ensure alignment of sales and marketing strategies.
Communicating with customers to gather feedback or address inquiries.
Assisting in the training of new sales team members.
Keeping the team updated on product knowledge and sales techniques.
Conducting ad hoc analysis as needed by the sales team or management.

Qualifications:

Minimum Associate degree in Business, Accounting, Marketing, Economics, or a related field.
Strong analytical and quantitative skills for interpreting data
Effective written and verbal communication skills for preparing reports and interacting with team members and clients.
Mandarin Chinese a plus
Proficiency in using tools and software for data analysis, such as Microsoft Excel, SQL, or business intelligence tools.
High level of accuracy and attention to detail when working with data and generating reports.
Strong organizational skills to handle multiple tasks and deadlines in a fast-paced environment.
Ability to work collaboratively with cross-functional teams, including sales, marketing, and finance.
Ability to identify issues, analyze root causes, and propose solutions.
Efficient time management skills to prioritize tasks and meet deadlines.
Certifications in relevant areas, such as data analysis or CRM systems, can be beneficial.

Job Type: Full-time

Pay: $40,000.00 - $80,000.00 per year

Benefits:

Dental insurance
Employee discount
Health insurance
Paid time off
Professional development assistance
Vision insurance

Schedule:

8 hour shift

Supplemental pay types:

Bonus opportunities
Commission pay

Ability to commute/relocate:

Frisco, TX: Reliably commute or planning to relocate before starting work (Required)

Experience:

Data analysis skills: 1 year (Required)
Accounting: 1 year (Preferred)

Language:

Mandarin (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
"Lead Analyst – SAP PRA Business Systems - 2310002255 - Dallas, TX","Energy Transfer Family of Partnerships
","Dallas, TX",$73K - $105K (Glassdoor est.),3.6,"Summary:

Energy Transfer, is currently seeking an SAP PRA specialist to support their PRA system. The PRA system is heavily customized and will require skills to reverse engineer processes and trouble shoot custom and standard SAP PRA issues. The project went live 6 months ago and requires production support. This position is part of the Accounting and Finance organization and supports the Crude Oil Acquisition and Marketing segment of the Organization. The position will involve working closely with Division Order, Regulatory, Deal Capture, and IT.

Essential Duties and Responsibilities:

Serve as SAP PRA system specialist for the business
Designated by a Business Application Owner to be the business liaison for a specific application function
Should be able to analyze tickets that come in, understand if the solution needed is a code fix, process change or an issue with the master/transaction data.
Understand the customizations in the system by reading documents, debugging and recreating data in the test system
Fix issues arising in the PRA interfaces
Able to resolve issues in Valuation, Payments and other PRA modules in a timely manner
Escalated support of Users, Super Users, and SME's
Work with the Functional Analysts, Technical Analysts, and other technical resources as necessary to resolve issues
Should be able to replicate issues in the test system and reverse engineer processes with minimal supervision
Strong debugging skills will be very helpful
Business requirements definition and prioritization
User acceptance testing coordination (or execution)
Assessment of business process improvement recommendations and prioritization
Proactive business process and application improvement recommendations
Work alongside business as liaison to IT for PRA trouble shooting
Gain knowledge of all marketing contracts, division order processes, and regulatory requirements as they relate to SAP PRA
Prepare and analyze metrics as it relates to the various back office functional teams
Assist management in the creation of system reports
Able to adapt to rapidly changing priorities

Education and/or Experience, Knowledge, Skills & Abilities:To perform this job successfully, an individual must be able to perform each essential job duty satisfactorily. The requirements for this position are listed below:

Minimum of 5 years of working in SAP with strong knowledge in SAP PRA
Knowledge of check write process in PRA
Experience troubleshooting issues arising in valuation
Knowledge of Contractual Allocations and related processes
Needs to understand the Ownership process, knowledge of cross reference setup and how each PRA module relates to other modules
Able to understand customizations in the system and become comfortable working with them quickly
Strong Analytic skills to understand the root cause of issues
Ability to debug programs to identify the issue will be very helpful as the system is very customized will be very helpful
Experienced in a customized SAP system which requires a lot of troubleshooting
Able to recreate issues in the test system
Analytic and data analysis skills required, especially MS Excel
Strong communication skills
Highly detailed oriented
Able to prioritize and multi-task

Required experience is commensurate with the selected job level:

The Specialist/Analyst level requires a Bachelor’s degree or equivalent experience and 2 - 5 years of relevant job related experience
The Senior Specialist/Analyst level requires a Bachelor’s degree or equivalent experience and 5 - 8 years of relevant job related experience
The Lead Specialist/Analyst level requires a Bachelor’s degree or equivalent experience and 8+ years of relevant job related experience

EOE

Job Type: Full-time

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off

Schedule:

Monday to Friday

Education:

Bachelor's (Required)

Experience:

SAP PRA: 5 years (Required)
check writing process: 5 years (Required)
contractual allocations: 3 years (Required)

Work Location: In person",1995,Energy & Utilities,$10+ billion (USD),"Energy, Mining & Utilities",10000+ Employees,Company - Public,True
Senior Business Technology Analyst / Software Engineer II,DocuNav Solutions,United States,$80K - $100K (Employer est.),-1.0,"Come join the DocuNav family! DocuNav Solutions is one of the top providers world-wide of Laserfiche ECM Software for over 25 years. We are growing and looking to expand the team. We offer training and top-notch benefits!

Do you enjoy:

solving problems
learning and applying new ideas and solutions
a variety in your work instead of the same repetitive tasks day after day
technology

We are looking for a business analyst/engineer with at least 5 years of experience

If this sounds like you, please read on and apply here:

https://take.surveys.ci/s/1B0D150000

Applications Requirements:

Reputation for teamwork, strong work ethic and commitment to delivering results
5+ years of SQL Server experience (Writing queries, SSIS packages, etc.)
Web or Software development experience – JavaScript, jQuery, C#
Experience with Laserfiche, Onbase, OpenText or other ECM a bonus
Selected candidates must pass the background review

Qualifications:

Proven ability to collaborate with customers to define issue and plan of action
Excellent communication skills, both Written and Verbal
Must be detailed oriented
Effectively manage different tasks simultaneously
Strong problem-solving skills and working knowledge of project management tasks

DocuNav Offers:

Opportunity to work with Number One re-seller of Laserfiche in Texas
A strong team with high energy level and integrity to achieve goals
Career oriented advancement
Competitive compensation including great benefits package & more
Certification and Self-development plans
Team building opportunities

Job Type: Full-time
Salary: $80,000.00 to $100,000.00 /year

Job Type: Full-time

Pay: $80,000.00 - $100,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift

Ability to commute/relocate:

Frisco, TX 75034: Reliably commute or planning to relocate before starting work (Required)

Experience:

Business Analyst: 5 years (Required)
JavaScript: 5 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Business Analyst,DSI Systems,"Richardson, TX",$65K (Employer est.),-1.0,"DSI Systems Inc., an authorized AT&T Representative partner, has an immediate career opportunity motivated individual to fill one of our key roles as a Business Analyst.
Are you passionate about weaving insights from data into compelling narratives? Do you have a knack for transforming raw data into actionable stories that drive business success? If so, we have an exciting opportunity for you to join our team as a Business Analyst.

As the Business Analyst, you will collaborate cross-functionally with multiple teams to collect data and provide insights to support decision-making. You will identify patterns and trends looking for opportunities to optimize our business. To succeed in this role, you must excel at implementing initiatives and making recommendations for improvements based on data analysis.

*You will be asked to complete a data visualization exercise as a part of the hiring process*

About DSI

DSI is a family-owned company that has been in business since 1984. We provide enhanced value that delivers results for our clients and partners, through sales management, marketing assistance, hardware logistic solutions, immersive training, engineering expertise, and proprietary software solutions.

We believe that relationships are the most important part of our business. Whether it’s mobility, broadband, video, commercial, residential, L&I, MDU, or all; we are a one-stop solution to help sales partners uncover growth opportunities.
Our commitment to excellence drives us to harness the power of data and insights to make informed decisions and achieve remarkable outcomes. As a Business Analyst, you'll play a crucial role in translating data into meaningful stories that guide our business initiatives and fuel our growth.

Responsibilities

Collaborate with the data team and analyze relevant data sets to uncover valuable insights
Craft compelling narratives using data-driven insights to communicate the progress, outcomes, and ROI of various business initiatives
Develop and maintain dashboards and reports that provide clear and concise visualizations of key performance indicators (KPIs)
Join forces cross-functionally with teams including marketing, operations, and finance to gather data and insights to support decision-making
Identify trends, patterns, and opportunities within the data to inform strategic planning and business optimization
Continuously monitor and evaluate the effectiveness of implemented initiatives, making recommendations for improvements based on data analysis
Stay up-to-date with industry trends and best practices in data analysis and visualization
Other duties as assigned

Requirements

Bachelor's degree in Business, Analytics, Data Science, or a related field highly preferred
Proven experience of 3 years in business analysis, data analysis, or a related role
Strong analytical mindset and the ability to derive insights from complex data sets
Proficiency in data visualization tools (e.g., PowerPoint, Tableau, Power BI) to create compelling reports and dashboards
Excellent storytelling and communication skills, with the ability to present complex data in a clear and concise manner
Strong project management skills and the ability to handle multiple tasks and deadlines
Knowledge of Domo is a plus but not required
Attention to detail and a commitment to accuracy in all aspects of work
Self-motivated and able to work both independently and collaboratively in a team environment

Benefits

Medical, Dental, Vision, and Life insurance are available on the first day of the month following your first day of employment – no extended waiting period!
401k Plan with employer matching
Paid vacation, personal/sick days, and bereavement time
DSI Bucks: Employee Profit-Sharing Program
50% AT&T wireless discount
Paid training
Advancement opportunities: We prefer to promote from within!

Job Type: Full-time

Pay: From $65,000.00 per year

Benefits:

401(k) matching
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid holidays
Paid time off
Parental leave
Professional development assistance
Tuition reimbursement
Vision insurance

Experience level:

2 years
3 years
4 years

Schedule:

8 hour shift
Monday to Friday

Work Location: In person",-1,-1,-1,-1,-1,-1,True
