Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Telematics Manager,"Vermeer Texas-Louisiana
",United States,-1,5.0,"The Telematics Manager will be responsible for the remote monitoring and reporting of Vermeer Texas-Louisiana, Compact Construction Equipment, and other partners equipment assets. The individual in this role will work cross-functionally within the company as well as with external supplies to support key business objectives and drive valuable outcomes. This highly visible role will be accountable for the overall product health as it relates to data, data accuracy, and total number of assets reporting. The Telematics Manager will demonstrate alignment with the company’s mission, vision, and values, collaborate with key internal and external resources, and participate in ongoing self-development. This position directs and manages positions within the Telematics Team.

Essential Functions/Responsibilities

Develops, evaluates, and influences effective and consistent productivity and teamwork to ensure the delivery of premium products and support to our partners.
Models, promotes, reinforces, and rewards the consistent use of company mission, vision, and values.
Owns the strategic execution for asset and equipment telematics.
Collaborates and contributes to the hardware technical specification for connected products and services.
Collaborates with internal stakeholders to ensure hardware provides required data for desired outcomes and reporting needs.
Identifies and adopts modern technologies, tools, & processes as needed.
Manages supplier relationships, hardware obsolescence, and transitions.
Partners with leadership across business area to develop technology visions and associated business value and financial plans.
Captures business processes, requirements, and capabilities, features, and data requirements for new and existing software product solutions.
Maximizes the investment and capabilities of the purchased or proprietary software products supporting their business area.
Collaborates with others to create and maintain a three-year technology roadmap for solutions supporting their area. Elevate impediments / issues in a timely manner.
Drives accountability with third party service providers and/or product.
Identifies opportunities to leverage applications across the organization to minimize duplicate systems within the organization. Serves as a change agent, guiding others in transformation.
Maintains documentation and standard-operating procedures (SOPs) related to usage of software products.
Communicates with stakeholders on current initiatives and research industry trends to improve business systems processes.
Track sales and set goals with telematics renewals and extended warranty sales.
Set goals and meet expectations associated with solving customer telematics issues.
Develops employees, encourages all aspects of employee career growth, testing, certification, and manufacturer training events. Conducts meetings to communicate Company information, provide guidance and direction to ensure customer satisfaction, share competitor and market penetration information and status of profit goals
Represent the company at any factory, vendor, or industry events.
Follows all safety rules and regulations while performing work assignments and adheres to all policies and procedures as directed in the employee handbook.
Performs all other duties as assigned by management in a professional and efficient manner.

Skills and Experience

High school or equivalent required.
Bachelor’s degree and/or equivalent experience
Experience in IT, business analysis, process improvement, business operations, QA, and logistics, and/or project and product management required.
Vendor management experience preferred.
Demonstrated knowledge in key functional product areas, including user experience, technologies, architectures, and data analytics.
Excellent communication skills with the ability to present complex concepts into simplified solutions in a straightforward and understandable manner to multiple stakeholders.
Ability to liaise between all business stakeholders to ensure collaboration and coordination
Highly organized. High energy, stamina, and enthusiasm.
Proven record improving business and vendor performance by taking a customer-focused holistic approach to understanding business processes, controls, and workflow through an organization.
Ability to execute in a fast pace, rapid iteration environment while balancing multiple priorities
Strong project management and organizational skills, with ability to work on multiple projects simultaneously.
Ability to make important decisions in a rapidly changing environment.
Ability to successfully pass required background check and pre-employment drug testing.
Certain positions require a valid driver's license and ability to meet requirements of the Company Driver Policy; Company will review motor vehicle records annually for all employees for whom driving a motor vehicle is an essential job function or when employees must obtain and drive rental vehicles whileconducting company business.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Vision insurance

Schedule:

Monday to Friday

Application Question(s):

How many years of Heavy Equipment Telematics experience do you have?
Are you willing to undergo a background and drug screen, in accordance to local laws and regulations?

Work Location: In person",1978,Commercial Equipment Services,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",Unknown,Company - Private,True
Business Systems Analyst,"World Services LLC
","San Antonio, TX",$100K - $151K (Employer est.),4.7,"We are looking to hire a full-time Senior Functional Task Lead, Business Systems Analyst for a Government client in San Antonio, TX. The Senior Functional Task Lead, Business Systems Analyst will provide functional management support to include, but not limited to, records management, data categorization, configuration management, cyber-related activities, etc. Along with providing functional project management and IT resources to develop the base functional requirements using acceptable software engineering and Agile methodologies.

NOTE: MUST be a US Citizen and be able to obtain a Public Trust Clearance

Location: Remote work within 50 miles of San Antonio, TX

Role and Responsibilities:

Provide technical IT support in all IT program management activities and efforts associated with legacy PMO managed IT Systems
Provide functional management support to include, but not limited to, records management, data categorization, configuration management, cyber-related activities, etc
Provide functional project management and IT resources to develop the base functional requirements using acceptable software engineering and Agile methodologies
Ensure that the created artifacts are added to the EESOH-MIS requirements management repository
Manage requirements elicitation meetings with selected members of the target user community
Document functional and behavioral requirements of the requested application capabilities using Use Case diagrams, Use Case narratives, sequence diagrams as needed, and functional system testing using Atlassian toolset (Jira, Zephyr, and Confluence) (applicable deliverable in PWS deliverable table)
Document static data requirements using suitable approaches and artifacts such as state charts (tables or diagrams), class diagrams, and object diagrams (applicable deliverable in PWS deliverable table)
Assist in updating the logical Business Domain Model as needed (applicable deliverable in PWS deliverable table)
In coordination with the functional user community, create Epics, Features, and Stories for each approved project (applicable deliverable in PWS deliverable table)
In coordination with the functional user community, create any Software Requirements Specifications needed by the system development organization to evaluate and design the capability for deployment in EESOH-MIS
Provide support for sustainment and new development activities

Minimum Required Skillset and Professional Experience:

Must be a US Citizen
Bachelor’s degree in Information Technology, or other related fields
5- 10 years of experience using and/or supporting EESOH-MIS
5+ years of experience writing requirements documentation for EESOHMIS* or writing requirements documentation for a similar (i.e., size, scope, complexity) system

Job Type: Full-time

Pay: $100,000.00 - $151,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Paid time off
Professional development assistance
Retirement plan
Vision insurance

Compensation package:

Bonus opportunities

Schedule:

Day shift
Monday to Friday

Work Location: Hybrid remote in San Antonio, TX 78226",2010,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,True
Business Analyst I - Enterprise Program Management,"HEB
","San Antonio, TX",,4.2,"Responsibilities:
Corporate Planning & Analysis develops / maintains budgets and financial systems while providing current, reliable financial data, analysis, and technical info.

As a Business Analyst I, you'll perform research work and prepare financial analysis to make essential Corporate planning decisions.

Once you're eligible, you'll become an Owner in the company, so we're looking for commitment, hard work, and focus on quality and Customer service. 'Partner-owned' means our most important resources-People-drive the innovation, growth, and success that makes H-E-B The Greatest Retailing Company.

Do you have a:
HEART FOR PEOPLE... interpersonal and influencing skills?
HEAD FOR BUSINESS... analytical mindset and the ability to communicate findings?
PASSION FOR RESULTS... drive to produce work that impacts decisions and results?

We are looking for:

a related degree or comparable formal training, certification, or work experience
experience in retail or business analysis

What is the work?
Analytics:

Applies knowledge gained from experience to provide credible, action-oriented analyses and recommendations to management
Provides business unit-focused reporting that includes data related to sales, cogs, ad-loss, clearance and markdowns, shrink and procurement revenue involving trend analysis, macro / micro economic research, and comparable analysis, etc.
Works on strategic ad hoc projects, to assist BUDs and BDMs in business decision-making
Supports BUDs and BDMs in improving their businesses through enhanced processes and detailed financial analysis and interpretation

What is your background?

A related degree or comparable formal training, certification, or work experience
1+ years of experience in retail or business analysis
Experience applying retail accounting and finance principles to development of costing / forecasting models

Do you have what it takes to be a fit as an H-E-B Business Analyst I?

Working knowledge of business and retail accounting and finance principles
Strong analytical skills
Strong interpersonal skills
Strong verbal / written communication and presentation skills
Intermediate PC skills
Ability to effectively work at all levels of the organization
Ability to successfully communicate with and influence upper-level management
Ability to produce work products that make an impact on management decisions and business results
Ability to manage large-scale projects from conception to implementation
Ability to work effectively and efficiently with little supervision
Self-directed and motivated to independently accomplish results

Can you...

Function in a fast-paced, retail, office environment
Travel by car or plane with overnight stays
Sit for extended periods
Work extended hours

11-2017
CPFA3232",1905,Grocery Stores,$10+ billion (USD),Retail & Wholesale,10000+ Employees,Company - Private,False
Business Analyst - Guidewire,"eTeam Inc.
","San Antonio, TX",$80.00 - $85.00 Per Hour (Employer est.),4.1,"Client looking for Business Analyst resources for Guidewire Claim center and Policy Center experience.

Banking Domain with Guidewire certifications is must.

Please share profiles with the below certifications for the Guidewire Business Analyst position.

Guidewire Associate Certification - Insurance Suite 10.0 Analyst
Guidewire Certified Ace- Policy Center Business Analyst",1999,Staffing & Subcontracting,$100 to $500 million (USD),Human Resources & Staffing,5001 to 10000 Employees,Company - Private,True
IT D365 Business Analyst,"Morgan Advanced Materials
",United States,-1,3.2,"Overview:

Morgan Advanced Materials is a business rich in history and innovation. Founded in the UK in 1856, we have grown into a global organisation with 70 sites in 18 countries. Our model to serve our customers where they need us has led to a diversified product range using our unparalleled expertise in ceramic and carbon materials, which we exploit to solve difficult problems for our customers across a diverse range of markets.


We are a purpose driven organisation. Our purpose is to use advanced materials to make the world more sustainable and to improve the quality of life. We deliver on that purpose through the products that we make, and the way that we make them.


We help our customers push the limits of their processes and products to meet the demanding requirements they face, from higher process temperatures to higher product performance to increasing miniaturisation.

Key Figures: Revenue £1,112m (2022), ~8,500 employees, manufacturing in 30+ countries, and a global customer portfolio. A UK PLC with head office located in Windsor, Berkshire UK. Listed on London Stock Exchange; Member of the FTSE 250 Index.


Responsibilities:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data
Qualifications:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data


Morgan Advanced Materials is an EEO/AA/M/W/D/V Employer Ind-1",1856,Metal & Mineral Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Business Analyst,"Labatt Food Service
","San Antonio, TX",$65K - $95K (Glassdoor est.),3.0,"We are offering full-time Business Analyst positions to highly-motivated, tenacious career-seekers at our company headquarters in San Antonio.




Business Analysts have an integral role in Labatt’s many continual improvement efforts by researching problems and opportunities, making detailed assessments through interviews and quantitative analyses, working with internal software developers to codify robust, standardized processes and tools, and by working with end users to drive cultural and procedural changes. By interfacing extensively with executives, operational managers, employees, engineers, vendors, and customers, analysts are in a position to understand key issues within the company, and to make an immediate impact by being involved in developing a solution to a significant business problem. As a Business Analyst at Labatt, you will:

Participate in a software development team designing a software solution to a major project, or
Aid in crafting and executing strategic initiatives within specific departments such as sales, marketing, or purchasing
Communicate excellently, assessing problems both abstractly and concretely
Analyze, and help the organization digest large amounts of data
Learn continuously, through training, mentoring, and a strong commitment to reading



Your direct manager will be a corporate-level executive in one functional area of the business. Analysts who succeed at Labatt have demonstrated this disciplined, accountable focus, time and again in previous experiences, whether academically or at the workplace. A competitive undergraduate degree with outstanding marks is required. The Analyst position demands core values that constitute our company culture, including: a strong focus on excellence, hard work, integrity, teamwork, and customer-orientation.




Successful analysts have majored in subjects such as engineering, finance, economics, classics, anthropology and history. Such Labatt executive positions as Director of School Sales, Director of Marketing, and Director of Manufacturing began their careers as analysts.",1910,Wholesale,Unknown / Non-Applicable,Retail & Wholesale,1001 to 5000 Employees,Company - Private,False
Guidewire Business Analyst,"Q1 Technologies
","San Antonio, TX",$120K - $135K (Employer est.),3.4,"· Experience with the Property & Casualty insurance market, focusing on Policy Center / Claims insurance domain

· Experience with Guidewire Policy Center / Claims Center

· Knowledge of property casualty rating and policy coverages and endorsements

· 6 to 8+ years related work experience including business processes

· Principles of process analysis and project management

Responsibilities

· Analyzes the highest level and complex business, technical process, system and/or technical problems

· "" Conducts research, generates comparisons, draws conclusions, makes recommendations and validates solutions to effect transformational

Best Regards,

Chandan Thakur || (Sr.Technical Recruiter)

Phone- 1 (630)-937-0248

Whatsapp- 1 (484)-496-6814
Email: chandan.thakur@q1tech.com

LinkedIn- https://www.linkedin.com/in/chandan-singh-093760141

Job Type: Full-time

Salary: $120,000.00 - $135,000.00 per year

Benefits:

401(k)
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid sick time
Paid time off
Parental leave
Relocation assistance
Retirement plan
Vision insurance

Compensation package:

Bonus opportunities
Weekly pay

Experience level:

9 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

San Antonio, TX 78201: Reliably commute or planning to relocate before starting work (Required)

Experience:

Policy Center / Claims Center: 7 years (Required)
PNC: 4 years (Required)

Work Location: In person",2002,Information Technology Support Services,$25 to $100 million (USD),Information Technology,201 to 500 Employees,Private Practice / Firm,True
Business Systems Analyst,"Puyenpa
","San Antonio, TX",$72K - $104K (Glassdoor est.),3.3,"The Puyenpa family of companies are comprised of multiple SBA Certified Native American Tribal 8(a) and multi-certified organizations focused on delivering Information Technology, Management Consulting, and General Construction solutions to the Federal Government along with the Commercial Sector. We are actively seeking a Business Systems Analyst based in in the San Antonio, TX area. This role is remote. DoD Secret clearance is required.

This is an exciting opportunity to be part of the Puyenpa team supporting an Air Force program. The main responsibilities of the role include:
Responsible for managing the functional aspects of the project, specifically related to Enterprise Environmental, Safety and Occupational Health – Management Information System (EESOH-MIS).
Provide functional management support to include, but not limited to, records management, data categorization, configuration management, cyber related activities, acceptance testing, etc.
Provide functional project management and IT resources to develop the base functional requirements using acceptable software engineering and Agile methodologies. Support for EESOH-MIS includes documenting the business needs, functional requirements, and compliance with program compliance.
The qualified candidate will have the following knowledge and experience:
A minimum of five years of experience using and/or supporting EESOH-MIS.
Bachelor’s degree in information systems or a related IT field.
Familiarity with Atlassian toolsets (Jira, Zephyr, and Confluence).
Familiarity with creating Use Case diagrams, Use Case narratives, Epics, Features, and Stories, etc.
Preferred qualifications:
A minimum of ten years of experience using and/or supporting EESOH-MIS.
A minimum of five years of experience writing requirements documentation for EESOH-MIS or writing requirements documentation for a similar (i.e., size, scope, complexity) system.
Master’s degree in Information Systems or related IT field.
Acceptable substitutes for EESOH-MIS experience/support includes (but is not limited to) work on similar DoD systems (in terms of size and scope, e.g. TriRega/NexGen IT, Integrated Logistics Systems [ILS]) or other similar enterprise systems (in terms of size and scope, i.e. multiple modules/program area, large/varied user community.
Puyenpa provides a variety of benefits including company-paid health, dental & vision insurance coverage, as well as additional employee-paid health insurance options; company-paid life and disability insurance; 401k retirement savings plan with employer match; 11 company paid holidays per year, and paid time off.


Puyenpa is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. At Puyenpa, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We are also committed to providing accommodations for persons with disabilities. If for any reason you require an accommodation or assistance with applying, please contact recruiting@puyenpa.com.




XJ6",-1,Investment & Asset Management,Unknown / Non-Applicable,Financial Services,Unknown,Company - Private,True
Business Intelligence Analyst I,"USAA
","San Antonio, TX",-1,3.4,"Why USAA?
Let’s do something that really matters.

At USAA, we have an important mission: facilitating the financial security of millions of U.S. military members and their families. Not all of our employees served in our nation’s military, but we all share in the mission to give back to those who did. We’re working as one to build a great experience and make a real impact for our members.

We believe in our core values of honesty, integrity, loyalty and service. They’re what guides everything we do – from how we treat our members to how we treat each other. Come be a part of what makes us so special!

The Opportunity

As a dedicated Business Intelligence Analyst I, you will support the military benefits team, specifically in assisting the business with data support for benefits and protections afforded by the Servicemember Civil Relief Act.

Analyzes sophisticated business problems and incidents using data from internal and external sources to provide insight to analysts and decision makers. Identifies and interprets trends and patterns in datasets to locate influences. Builds specifications for reports and analysis based on business needs and required or available data elements. May participate in consultation to users and in cross functional teams to address business issues. Prototypes solutions for displaying information based on business needs.

We offer a flexible work environment that requires an individual to be in the office 4 days per week. This position will be based in the San Antonio, TX Office. Relocation assistance is not available for this position.

What you'll do:
Independently participates in collecting sophisticated business requirements by partnering with customers to define the business problem and data needs.
Applies an intermediate understanding of multiple data structures and sources to lead the development and implementation of business intelligence solutions, which may include data visualization, data transformation, or data collection.
Works closely with IT execution teams on the development of analytic infrastructures, data engineering, or related business intelligence efforts. Includes collaborating on the design and implementation of technical standards and governance practices.
Applies data visualization standard processes - often selecting the right data ‘tool for the job’ - to identify and interpret trends or patterns while following standard Enterprise branding.
Understands the value of prototyping, usability, and the end-user experience to improve the impact of the final data visualization product (dashboard, report, insight, or analysis).
Acts as a trusted data visualization advisor to the partner/end-user in order to drive business value. Develops advanced knowledge to influence relevant data, information, and application architecture decisions.
Actively participates in industry, COE, or other discipline-relevant groups/panels to stay ahead of industry trends and share standard processes with team.
Ensures risks associated with business activities are optimally identified, measured, supervised, and controlled in accordance with risk and compliance policies and procedures.

What you have:

Bachelor's degree in quantitative analytics field such as Economics, Finance, Statistics, Mathematics, Actuarial Sciences, Operations Research, Data and/or Business Analysis, Data Science or other business-related subject area; OR 4 years of related experience in statistics, mathematics or quantitative analytics or related experience (in addition to the minimum years of experience required) may be substituted in lieu of degree.
4 years of experience in data/analytics or functional business experience within the respective industry of responsibility (i.e. P&C, Bank, Finance, etc.) OR advanced degree in quantitative analytics field such as Economics, Finance, Statistics, Mathematics, Actuarial Sciences, Operations Research, Data and/or Business Analysis, Data Science or other quantitative discipline with 2 years experience in data/analytics or functional business experience within the respective industry of responsibility (i.e. P&C, Bank, Finance, etc.).
Experience identifying and implementing innovative approaches to address business problems and solutions.
Experience developing business deliverables that leverage business intelligence platforms, data management platforms, or SQL-based languages (Tableau, Business Objects, Snowflake, Hadoop, Netezza, NoSQL, ANSI SQL, or related).
Proven ability to build business knowledge through meaningful partnerships at the individual contributor, leadership, and EMG levels.
Demonstrated advanced communication skills with the ability to deliver presentations to all levels of management.
Proven ability to embed intuitive story telling within business intelligence solutions.

What sets you apart:

Advanced SQL knowledge; complex query experience.
Proven ability to dissect business requirements into data insights.
Ability to work independently with new data sources.
Experience with large account/transaction level data sets.
Working Tableau knowledge preferred or other visualization tools.
Working SAS knowledge.
Snowflake experience.

The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.

What we offer:

Compensation: USAA has an effective process for assessing market data and establishing ranges to ensure we remain competitive. You are paid within the salary range based on your experience and market data of the position. The actual salary for this role may vary by location. The salary range for this position is: $78,670 - $141,570.

Employees may be eligible for pay incentives based on overall corporate and individual performance and at the discretion of the USAA Board of Directors.

Benefits: At USAA our employees enjoy best-in-class benefits to support their physical, financial, and emotional wellness. These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off program with paid holidays plus 16 paid volunteer hours, and various wellness programs. Additionally, our career path planning and continuing education assists employees with their professional goals.

For more details on our outstanding benefits, please visit our benefits page on USAAjobs.com.

USAA is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.",1922,Insurance Carriers,$25 to $100 million (USD),Insurance,10000+ Employees,Company - Private,False
Management Services Business Analyst,"IBC Bank
","San Antonio, TX",$62K - $89K (Glassdoor est.),3.2,"IBC Bank successes are the result of an aggressive and innovative attitude. The Bank's ""We Do More"" philosophy reflects it's dedication to the growth and success of it's employees, customers and communities. IBC bank hires talented, creative and dedicated individuals to help our business succeed. We are a company that values leadership, community engagement and relationship building that leads to a culture of excellence. We are currently seeking to fill positions across all business segments. IBC's focus is to be customer centric and strive to provide excellent customer experience.
Time Type:
Full time
Department:
650 Management Services
Job Summary:
The Senior Business Analyst is responsible for collaborative technical and business partnerships of assigned applications and ongoing support. The Senior Business Analyst will serve as a liaison between the business/operations and IT teams to provide guidance and the coordination of enhancements, reports, documentation, and version control as needed.
Job Description:
ESSENTIAL JOB FUNCTIONS
The statements on this job description are intended to describe the general nature of level of work being performed by incumbents. They are not an exhaustive list of all responsibilities, duties, and skills required by all incumbents.
Serves as a liaison between the business/operations team and IT teams
Partner with business executives across all markets to assess needs of the departments and branches for the assigned applications
Facilitates the definition of business needs, requirements, and process optimization goals for the assigned application(s); Communicates business needs with appropriate operations and IT executives to formulate executable plans to meet needs of the business
Facilitates the design, documentation, analysis, creation, and testing of the assigned application based on user design specifications
Work cross functionality to solve problems and implement changes through implementation and on-going maintenance of the application(s); Collaborates with the vendor/internal team on functional issue resolution
Develops reports; Prepares trend analysis based on reporting data from the application and provide necessary analytics to the business team
Assist in the management of goals based on KPI’s set by the business, i.e. past due notices, low score targets, etc.
Addresses functional application questions for management and users
Supports and focuses on prioritization from business team’s end user’s perspective for new requirements and enhancements
Facilitates regular meetings to address issues, enhancements, etc.
Collaborates with the technical teams on the Change Management planning and implementation
Coordinates, in conjunction with technical teams, the Disaster Recovery testing
Displays acceptable Leadership core competencies, and is committed to continued development of strengths and gaps, in the following categories:
Individual Work Characteristics
Decision-Making
Planning and Organizing
Leadership Styles
Interpersonal skills
Communication skills
Project Management
Other duties as assigned
SKILLS
Facilitation
Excellent verbal and written communication skills
Active listening
Complex problem-solving
Conflict resolution
Coordination
Critical thinking
Monitoring
Negotiation
Service orientation
Speaking
Social perceptiveness
Systems evaluation
Systems analysis and evaluation
Time management
Teamwork
Calmness in high stress times
Judgment and decision making
Organization
Risk management
Information technology
EDUCATION & EXPERIENCE
Associate degree or higher in a related field or 3+ years relevant work experience or analyst experience
Experience with Microsoft Office products: Excel, Word, PowerPoint, Outlook, Visio
Relatable knowledge and experience of Information Technology principles and concepts preferred
Knowledge of banking principles and concepts preferred",1966,Banking & Lending,$10+ billion (USD),Financial Services,1001 to 5000 Employees,Company - Public,False
