Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Senior Operations Analyst,"Frazil
","Salt Lake City, UT",$50K - $60K (Employer est.),4.3,"Calling all fellow slushie junkies, Frazil fans, and frozen beverage connoisseurs!

Freezing Point is the fastest growing frozen beverage company in the US and the maker of Frazil, 100% Juice Frazil, and Café Tango! If you are a detail-oriented, and metric-driven multitasker who thrives under the pressure of delivery deadlines, read on…we may be the perfect team for you!

Position Summary:

Members of the Logistics team support the management of our most important assets: our machines. Freezing Point has a nationwide presence with more than 25,000 machines in 49 states. Every day machines are moving to and from stores as our operations team and service providers manage the installation, repair, and replacement of Freezing Point equipment.

Operation Analysts work closely with critical stakeholders including sales, accounting, shipping, operations, third-party parts and service providers, distributors, brokers, and customers in managing the movement of all Freezing Point machines. This is a high value, high impact role that will drive the performance of the business immediately.

Key Responsibilities:

On the logistics team, every minute matters. While certain actions or tasks may be routine, you will be faced with unique challenges and problems to solve every day. These may include planning and tracking machine movements, troubleshooting machine bottlenecks, and ensuring quality data management in our internal and external systems. Daily responsibilities may include:

Record machine movements in ERP and company internal asset tracking databases and CRM tools
Review sales contracts for completeness before beginning machine movement coordination
Coordinate with third party installers to complete timely machine movements
Review completed jobs for accuracy and quality
Support machine inventory counts; investigate and resolve inventory discrepancies
Troubleshoot, problem solve and escalate problems as necessary
Assisting with other critical projects as needed by Management
Improve the process!

This work is fast-paced, deadline-driven, and requires the ability to manage large amounts of detailed information.

Required Qualifications:

Bachelor's degree from a four-year university; preference given to those who have completed a supply chain program.
1+ years in a corporate operations or supply chain role; preference given to experience working within the trade industry. Recent grads with applicable internship experience are also encouraged to apply.
A demonstrated track record of successfully working to a variety of deadline-driven KPI’s without losing sight of the big picture.
This role includes presentation building, managing larger data sets, basic analytics and requires advanced proficiency in Microsoft Office including Excel and Power Point. Preference given to candidates with experience in SQL or VBA.

Who will be successful in this role?

You have exceptional communication and follow-up. You are a natural born communicator and are comfortable communicating in writing, over the phone, and in person. You communicate well under pressure and have experience navigating high stakes conversations – both internally and externally.
You are a relationship builder and an influencer. You build rapport through active listening, professionalism, and execution. You leverage high trust working relationships to ensure outside partners successfully prioritize Freezing Point objectives.
You are a strong team player with a collaborative work style. You empathize before you criticize and always look to find the common ground. You give and receive feedback well. You contribute through sharing ideas but are more focused on the success of the overall team than ego.
You have a proven system to manage your time. This isn’t your first rodeo. You know your individual work style and have honed your ability to prioritize and triage. You consistently deliver and know when to ask for help.
You have a passion for details. You are energized by accuracy and enjoy a healthy balance of task-based work and organic, nuanced relationship management. You are capable of managing lots of ""little things"" while maintaining accuracy and output.
You are data driven. You use data to direct your work with an eye for efficiency and value-added efforts. You are capable of managing competing metrics without sacrificing quality or delivery.

Working Conditions

Fully onsite office position in Salt Lake City, UT.

Job Type: Full-time

Pay: $50,000.00 - $60,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Work Location: In person",-1,Convenience Stores,Unknown / Non-Applicable,Retail & Wholesale,51 to 200 Employees,Company - Private,False
IMI CIB - Business Analyst Financial Sponsors Group - New York Branch,"Intesa Sanpaolo
",United States,-1,3.5,"Intesa Sanpaolo is the banking group leader in Italy. Assisting more than 14,6 milion of retail customers through a network of 5360 branches, it significantly supports the development of Companies and gives an important sustain to the country's growth. The Group has a selected retail banking presence in Central and Eastern Europe, the Middle East and North Africa, with approximately 1,000 branches and 7.2 million customers in 12 countries. Intesa Sanpaolo is also present in 25 countries in support of its corporate customers’ cross-border business. It is looking for new qualified profiles who want to face demanding and challenging career path with the following requirements:

Scope and Purpose

In support of the Global Relationship Manager (GRM) Financial Sponsors International, the Business Analyst will:

Support the GRM in all tasks related to developing new and expanding existing relationships with Private Equity clients
Perform due diligence on PE clients, fund structures, acquisition targets, industries, and other relevant information as required
Prepare PE and company profiles and pitches
Support in the identification of business opportunities and cross-selling of Intesa Sanpaolo’s financial products and services
Accompany and support the GRM in meeting with clients, in negotiating and structuring transactions
Manage multiple transactions/projects and communicate effectively with deal team members on status and prioritization
Coordinate between and establish strong working partnerships and routines with key internal partners including Leveraged Finance, Fund Finance, Syndication, Debt Capital Markets, Credit, Risk, Industry Verticals, KYC and Legal
Support the preparation of credit applications for LBO and fund finance deals, portfolio summaries and reviews
Perform specific administrative and operative activities related to customer onboarding and management
Demonstrate knowledge of relevant credit policies and procedures and accurately identify policy exceptions
Ensure the Branch’s KYC (Know Your Customers) and CDD (Customers Due Diligence) procedures and directives are adhered to.

The salary range for this job offer would be $ 85,000 - $ 110,000

Required Experience

Ideally 2- 3 years of work experience in a Leveraged Finance, Sponsor Coverage or Capital Markets role
Proficiency in MS Office (Excel, Word and PowerPoint)
Experience with Bloomberg, SEC filings, rating agency reports, and equity research reports is a plus.

Competencies Required

Good understanding of Leveraged Buyout (“LBO”) transactions and Private Equity (“PE”) fund structures
Knowledge of the Syndicated Loan Market
Strong quantitative and analytical skills, with the ability to understand and analyze syndicated deal structures and loan documentation
Familiarity with commercial, corporate and investment banking products
Resourceful self-starter, with willingness to learn, superior attention to detail, professional demeanour, and ability to work effectively on multiple projects
Teamwork attitude, with ability to interact and build healthy working relations in a culturally diverse environment
Excellent communication skills
Fluency in English

Required Qualifications, Skills and Knowledge

Bachelor’s degree in Finance, Accounting or Business Administration, with an emphasis on Corporate Finance, Financial Accounting or Economics

Everyone is an asset for our Group and that person could be you! Check out our job opportunities, apply and join our team!

Location: New York, US

Job Type: Full-time

Work Location: On the road",-1,Banking & Lending,$5 to $10 billion (USD),Financial Services,10000+ Employees,Company - Public,False
IT D365 Business Analyst,"Morgan Advanced Materials
",United States,-1,3.2,"Overview:

Morgan Advanced Materials is a business rich in history and innovation. Founded in the UK in 1856, we have grown into a global organisation with 70 sites in 18 countries. Our model to serve our customers where they need us has led to a diversified product range using our unparalleled expertise in ceramic and carbon materials, which we exploit to solve difficult problems for our customers across a diverse range of markets.


We are a purpose driven organisation. Our purpose is to use advanced materials to make the world more sustainable and to improve the quality of life. We deliver on that purpose through the products that we make, and the way that we make them.


We help our customers push the limits of their processes and products to meet the demanding requirements they face, from higher process temperatures to higher product performance to increasing miniaturisation.

Key Figures: Revenue £1,112m (2022), ~8,500 employees, manufacturing in 30+ countries, and a global customer portfolio. A UK PLC with head office located in Windsor, Berkshire UK. Listed on London Stock Exchange; Member of the FTSE 250 Index.


Responsibilities:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data
Qualifications:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data


Morgan Advanced Materials is an EEO/AA/M/W/D/V Employer Ind-1",1856,Metal & Mineral Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Sales Analyst I,"Flowers Bakeries, LLC
",United States,-1,3.5,"The primary goal of the Sales Analyst I is to support Kroger sales team, competitive and/or market intelligence reporting of the company by efficiently building and maintaining reports in Business Objects (Sales Data Warehouse), IRI, AC Nielsen or other systems as directed. The Associate Sales Analyst provides database, report, master data and application validation for the reporting applications that they are assigned and support. They utilize test plans that have been developed by senior members of the team. They provide analysis for the management team as requested. Objective analysis, solid spreadsheet technical knowledge, word processing, written presentation preparation, and clear communication skills are required. Requires constant interaction with work group and other departments at the primary work location. Position requires demonstration of competency for all on-the-job activities that may have a direct or indirect effect on product safety, legality and/or quality.

Job Responsibilities
Responsibilities include, but are not limited to:

Provide support to the sales, marketing and management team by providing analysis and reports from the available tools such as AC Nielsen, IRI, Consumer Panel Data, Sales Data Warehouse, Retailer’s systems.
Support the team by completing spreadsheets and forms that support established business processes.
Continually measure, monitor and modify tactics to show progress against the team’s strategic goals.
Practices and complies with all Company policies and procedures (EEO, Harassment, Safety, Sarbanes Oxley, etc.). Performs other duties which are deemed by management to be an integral part of the job, including but not limited to fulfillment of work schedules, adherence to attendance policies, and other applicable operating rules, policies and procedures.

Desired Experience
1+ years of sales analytic or related experience (preferred)
Desired Education
Bachelor’s degree in related field.

We offer a competitive salary and an excellent total rewards package. Please reply by 12/07/2023. Resumes are active for 30 days. Interested job seekers who successfully complete the series of pre-screening questions and who appear to possess the basic qualifications for this position may be contacted for a telephone interview.


Equal Opportunity Employer/Veterans/Disability


If you need assistance with submitting your resume due to a medical condition or disability, please send an e-mail to Malinda Gwen Black at Malinda.Black@flocorp.com or 334 707-1986 .",1919,Food & Beverage Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Business Analyst - Remote,"Highlight Technologies
",United States,-1,4.5,"Overview:
We are looking for a Business Analyst to provide cross team support for five of eight teams on the USCIS SPEED contract.
Responsibilities:
Participate and provide admin support for daily, weekly, monthly agile ceremonies including standups, retrospectives, demos, etc.
Develop documentation, requirements/user stories, process diagrams and test cases.
Write reqirements for the developers and then support the team's dedicated testers to ensure that what is produced matches those specifications.
Provide production support as needed.
Provide administrative support for deployments.
Qualifications:
US Citizenship required.
Ability to receive DHS EOD Required.
Must possess strong verbal and written communication experience.
Ability to work in a high-speed delivery focused environment.
Ability to work in a fully remote environment and maintain delivery tempo.
Must possess an in-depth knowledge of agile implementation and test driven development.
Understanding of DevSecOps tools, principles and execution.
Experience with Agile tools like GitHub, Confluence, Jira, etc.
SAFe Agile or other Agile Certification are a plus.
About Highlight:
For over ten years, Highlight has provided Development and Modernization, Secure IT, and Mission Solution services to our federal government customers. Our team knows the technology; we understand how our customers and their stakeholders work; and we know how to implement industry best practices to deliver high-quality, end-to-end solutions that minimize risk and maximize results.

Since our inception, Highlight has had an employee-first mindset. Our mission is to provide employees with rewarding and impactful career opportunities. In 2021, Highlight’s founder and CEO, Rebecca Andino, implemented an Employee Stock Ownership Plan to embody and expand our culture of transparency, teamwork and rewarding the work of our employees. By becoming an ESOP, our employee-owners share in the success of the company through their ownership stake. To learn more about ESOPS, check out: www.esopinfo.org.

We’re an Equal Opportunity Employer (EOE) that empowers our people to fearlessly drive change - regardless of their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other characteristics. Our team is dedicated to foster diversity within our teams to promote creativity, innovation, and teamwork to deliver the best solutions for our customers.
-:
#nwhp",2008,Information Technology Support Services,$5 to $25 million (USD),Information Technology,201 to 500 Employees,Company - Private,False
Business Analyst - Remote (WFH),"Cognitive Medical Systems
","Salt Lake City, UT",$62K - $91K (Glassdoor est.),3.8,"Functional Role: Business Analyst/Tech Writer

LCAT: Business Analyst


CivitasDX, LLC, is seeking a Business Analyst to support the VA T4NG Consolidated Corporate Support Services (CCSS) program’s Financial Management Product Line (FMPL) serving our Department of Veterans Affairs Corporate Portfolio clients across the entire U.S. The CCSS contract is currently delivering under its recently-awarded Option Period 2 (12 months), with one additional one-year option periods that can be exercised, with a TCV valued at $96M overall.


Responsibilities include:

Works with the scrum master, developers, and business stakeholders to analyze, elicit and facilitate requirements documentation for enhancements to the accounting reports system.
Conduct in-depth assessments of current processes, identifying bottlenecks and inefficiencies.
Develop comprehensive documentation outlining existing and proposed business processes, ensuring clarity and precision.
Gather and analyze data for business process improvements.
Communicate and validate requirements with relevant stakeholders.
Proficiently manage and maintain process documentation repositories and version control systems.
Collaborate closely with subject matter experts, developers, and stakeholders to produce clear and comprehensive technical documentation.
Translate complex technical information into user-friendly, easily understandable documentation.
Implement and maintain documentation standards and templates to ensure consistency and quality.
Work effectively in a remote or distributed team environment.


Required Skills:

Knowledge of: Agile, Scrum/Kanban, Accounting
Business Analyst skills: documenting business user stories / acceptance criteria, Business Process Analysis/documentation
Tools: Jira, Microsoft Office


Required Education, Experience and Clearance:

Bachelor’s and 3 or more years’ experience, -OR- equivalent relevant experience
Ability to obtain a VA Position of Public Trust – Medium Background Investigation (MBI)


Desired Skills:

Strong analytical, verbal, and written communication skills with a keen eye for detail.
Self-starter with a positive attitude and very good interpersonal skills.
Strong work ethic with ability to self-manage workload and deliverables under tight deadlines.
Experience working within VA’s technical, network, and data center environments a plus.
Government/Veteran Affairs accounting experience a plus.
Excellent facilitation skills.",2010,Computer Hardware Development,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Implementation Business Analyst,"TruHearing
","Draper, UT",$56K - $80K (Glassdoor est.),4.4,"About TruHearing

TruHearing is a rewarding, fun and friendly, mission-based organization that makes a real difference towards improving people’s lives. It’s not just HR saying this: employees have spoken and have voted TruHearing as one of Utah’s Top Workplaces 7 years in a row! An employee recently shared: “I love the people I work with. From the CEO down, the company is transparent, caring, and striving for the best. There is great energy here and everyone genuinely cares about the employees and customers.”

TruHearing is the market leader and a force for positive change in the hearing healthcare industry. We reconnect people to the richness of life through industry-leading hearing healthcare solutions. We work with insurance companies, hearing aid manufactures, and healthcare providers to reduce prices and expand access to better hearing care and whole-body health.

Our employees enjoy a positive working environment in a company that has experienced rapid growth. We offer a comprehensive benefits package, educational assistance, and opportunities for advancement.

About the Opportunity:

This role exists to administer the modules of Salesforce to ensure quality assurance, contract documentation, electronic data interchange (EDI), and to provide effective communication to TruHearing health plan partners during the partnership implementation process.

What will you be doing?

Own the administration of Salesforce to provide a streamlined business process for the Implementation team.
Develop, implement, streamline, and evolve processes and procedures to ensure continuous improvement of the data collected, data uploaded, and data entered and retained in Salesforce.
Work collaboratively with internal stakeholders to ensure adherence to processes and procedures.
Research and provide guidance on implementation of new Salesforce functionality.
Provide regular and on-demand status updates for current implementations.
Keep up to date on Salesforce product release schedules, analyze the impact to stakeholders and report back on suggested improvements.
Manage tracking spreadsheet for Electronic Data Interchange (EDI) end of year and on-demand needs.
Document final decision for all new and renewal plans in the current tracking system and create and provide custom ad hoc reports for internal Stakeholders.
Take meeting notes and document key decisions, deliverables, and issues from plan meetings.
Participate in ongoing, going live, and end-of-year testing of plans and projects.

What skills do you need to bring?

In addition to exhibiting the TruHearing Values of Delight, Align, Enjoy, Improve and Be Tru, this role requires the following competencies:

Teamwork - Collaborates with others to accomplish standard, documented processes.
Creativity & Innovation - Generates viable, new approaches, services, products, or solutions.
Initiative - Resolves situations and issues proactively and persistently, seizing opportunities that arise.
Productivity - Focuses efforts on achieving high amounts of output in consistent with the organization’s timeframes and standards.
Quality - Takes actions to ensure high-quality output.
Analytical Thinking - Analyzes and synthesizes information to understand issues, identify options, and support sound decision making.
Planning & Organizing - Reaches goals by making and following plans and allocating resources effectively.
Problem Solving - Overcomes problems or challenges.
Project Management - Plans, implements, monitors and completes projects, ensuring effective management of scope, resources, time, cost, quality, risk and communications.
Using Technology - Uses software and information technology to accomplish one's work.

What education or experience is required?

Required:

BA/BS

Two (2) years of experience working with Salesforce or a similar Customer Relationship Management (CRM) platform.

In lieu of formal education, a combination of education and experience will be considered.

Preferred:

BA/BS

Five (5) years of experience working with Salesforce.

In lieu of formal education, a combination of education and experience will be considered.

What benefits are offered?

TruHearing offers a generous compensation and benefits package including health coverage, a fully vested 401k match, education assistance, fully paid long and short-term disability, paid time off and paid holidays. We are conveniently located across the street from the Draper FrontRunner station and subsidizes the cost of a UTA pass with access to FrontRunner, TRAX and regular bus service – employee cost is less than $2 per day. You’ll work in an exciting and fun environment and have the opportunity to grow with us.

Equal Opportunity

TruHearing is an Equal Opportunity Employer who encourages diversity in the workplace. All qualified applicants will receive consideration for employment without regards to race, color, national origin, religion, sex, age, disability, citizenship, marital status, sexual orientation, gender identity, military or protected veteran status, or any other characteristic protected by applicable law.",2003,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,51 to 200 Employees,Company - Private,False
Business Intelligence Analyst,"Audio Enhancement
","West Jordan, UT",$64K - $96K (Glassdoor est.),3.9,"Description:


At Audio Enhancement, we help empower learning in the classroom every day. We believe in what we do, and how we do it. We take care of each other, exceed our customers’ expectations, and build success through partnership, friendship, and trust—with our team members, partners, and customers. Team members who work hard, pursue excellence, and have a positive attitude can expect to grow with us as we grow. At Audio Enhancement, we’re looking for “lifers”—members of our Audio Enhancement family who believe in our mission, share our passion, and want to spend their careers making a difference in education.


We are currently seeking a full-time Business Intelligence Analyst for our West Jordan, UT office.

The Business Intelligence Analyst will assist with organizing, manipulating, and reporting business analytics data to improve daily operations in various departments. Some business intelligence experience is required but may include college-level coursework. Current students who can work a full-time schedule, are encouraged to apply!

Duties Include

Organize data within SAP to be exported to Power BI
Manipulate data within Power BI to calculate what is needed
Work with Audio Enhancement management to identify how data can solve problems and help meet business targets
Create and design reports to communicate a clear message to the end user within Power BI
Manage existing Power Bi reports to ensure proper function and up-to-date data
Analyze key Power BI reports to notice and report trends
Requirements:
Experience with PowerBI
Business Intelligence experience (including coursework)
Advance skills in excel.
Strong computer skills
Strong problem-solving skills


Compensation

Compensation is negotiable based on skill level and experience. Full-time employees receive a competitive benefit package, including medical, dental, and vision insurance, Employer-funded Health Savings Account (HSA), Paid Time Off (PTO), paid holidays, Employer-funded Short Term Disability Insurance, Employer-funded Life Insurance, matching 401k, even an exercise room, massage chair, and soda fountain!",1978,Electronics Manufacturing,$25 to $100 million (USD),Manufacturing,201 to 500 Employees,Company - Private,False
Business Intelligence Analyst,PROEGG INC,"North Salt Lake, UT",$50K - $85K (Employer est.),-1.0,"JOB TITLE: Business Intelligence Analyst
SUPERVISOR’S TITLE: Supply Chain Director

General Summary: The Business Intelligence Analyst will be responsible for analyzing complex data sets, designing, and implementing data visualization solutions, and providing insights and recommendations to drive business decisions.

Duties/Responsibilities:

Analyzes large and complex data sets to identify trends, patterns, and insights that can drive business decisions.
Designs and implements data visualization solutions using BI software and programs to create meaningful and actionable reports and dashboards.
Develops and maintains SQL queries and scripts to extract, transform, and load data from various sources into MSSQL databases.
Collaborates with cross-functional teams to understand business requirements and provide data-driven recommendations.
Performs data quality checks, data validation, and data cleansing to ensure data accuracy and integrity.
Utilizes data modeling, data warehousing, and data integration concepts to formulate solutions.
Conducts ad-hoc data analysis to support business initiatives and projects.
Stays up to date with the latest trends and advancements in business intelligence and data analytics technologies.
Performs other related duties as assigned.

Required Knowledge, Skills, and Abilities:

Strong verbal and written communication skills.
Ability to build collaborative business relationships.
Ability to work independently while prioritizing tasks to meet deadlines.
Strong analytical, problem solving and critical thinking skills to derive insight from data to formulate solutions.
Proficiency in MSSQL, Power BI, and Excel.
Ability to work in a fast-paced environment for a company experiencing significant growth.

Education and Experience: Bachelor’s degree in Business, Economics, Computer Science, Statistics, or a related field required. Minimum of 2-3 years of experience as a Business Intelligence Analyst or a similar role.

Physical Requirements: Ability to lift 10-15 lbs. Ability to sit or stand for prolonged periods of time.

Working Conditions: Standard office setting.

Equal Opportunity Employer
ProEgg Inc. is an Equal Opportunity Employer and is committed to providing equal employment opportunities to all employees and applicants for employment. We do not discriminate on the basis of race, color, religion, age, national origin, disability, sex, sexual orientation, gender, gender identity, gender expression, marital status, veteran or military status, or any other characteristic made unlawful by applicable federal, state or local laws. Equal employment opportunity will be extended to all persons in all aspects of employment, including retirement, hiring, training, promotion, transfer, compensation, benefits, discipline, and termination.",-1,-1,-1,-1,-1,-1,True
Business Analyst,"FLSmidth, Inc.
","Salt Lake City, UT",$64K - $95K (Glassdoor est.),3.5,"Discover your potential.
Do you have the desire to develop and deliver sustainable solutions for the mining industry, taking on some of the world’s biggest challenges in the process? If yes, you will fit right into our culture.
We count on people who are innovative, who challenge conventions and who drive success for us and our customers. We seek passionate employees who excel in collaboration and innovation. Together we carry a brand of excellence, committed to a more sustainable world for all.
Contribute to a better future in a professional and global environment that allows you to discover your full potential.
Seize global opportunities.
Joining a team of more than 10,000 people working across more than 60 countries, you will be part of an agile network of talented and ambitious people. In fact, we count on you to engage, connect, and collaborate with colleagues all over the world. Seize the opportunity to learn, create and develop your potential with us.
As a member of the Business Analytics department, you will support the business needs of the North American region. Along with our team of analysts, you will develop and deliver sustainable solutions for the mining industry to all functions of the business. You will create and manage solutions that increase access to knowledge and drive a variety of opportunities to improve the efficiency and accuracy of our data, systems, and processes.
We also know we can only drive success and excellence with competent, passionate, and engaged employees. We know you want to be successful at work and at home, and together we can ensure that both our business goals and your personal aspirations are met.
Your responsibilities
Create, distribute, and maintain ad hoc and scheduled reports and deliverables.
Support full life cycle of system tools/procedures introduced throughout the business.
Analyze user requirements to automate processes to improve existing systems.
Champion continuous improvement of data quality across regional systems.
Assist Business Analytics colleagues throughout projects and deliver quality tasks on time.
What you bring
Bachelor’s degree from four-year college or technical school related to Business Analytics.
Advanced knowledge of SQL, Python -required, and Excel and Power BI a plus.
Experience writing formulas, functions, code and building relational data models.
Proficiency developing routine reports/correspondence.
Effective communication before groups of employees across the organization.
Proactive, self-driven work ethic and the ambition to take full ownership of responsibilities.
Penchant for troubleshooting and the development and implementation of solutions.
Capability of interpreting instructions where only limited standardization may exist.
Desire to continuously learn and develop new and existing skills.
Passion for collaboration, innovation and taking on challenges in a dynamic environment.
What we offer
Competitive benefit package including health, dental, disability, life, and voluntary insurance options
Time to recharge through PTO, plus 10 annual holidays, and parental leave
Work-life balance with a flexibility work schedule so you can focus on professional and personal priorities
Retirement preparation with a 401(k) and company matching
Financial support for continuing education
Annual bonus’s
Employee Assistance Program
An equal opportunity employer committed to creating a diverse and inclusive workplace
A global network of supportive colleagues and growth opportunities
Please note this postion does not offer relocation nor sponsorship.
As an equal opportunity employer, FLSmidth embraces diversity and equality by promoting an environment of inclusion.
We encourage applicants of all backgrounds and perspectives to apply - the more diverse our employees are the stronger our team is.
In our commitment to equal opportunity and eliminating bias, we kindly request that you exclude personal information such as age, ethnicity, number of children, and photographs from your application materials.
Please apply by clicking ""apply"" on this page.
Kindly note that we will be reviewing applications and conducting interviews on an ongoing basis so please apply as soon as possible.
Candidates will be contacted by email.
No recruiters and unsolicited agency referrals please.
About FLS

FLSmidth is the full flowsheet technology and service supplier to the global mining and cement industries. We help our customers to improve performance, lower operating costs and reduce environmental impact.
With our MissionZero programme, we have set a target of providing solutions for zero-emissions mining and zero-emissions cement production by 2030, supporting a green transition built upon sustainable materials.
We are the world’s leading supplier of plants, machinery, services and spare parts to the cement and minerals industries. To maintain our market-leading position, we invest massively in technological innovation, R&D and training of our 11,900 employees worldwide. For further information on FLSmidth business and services, visit
www.flsmidth.com
.",1882,Metal & Mineral Manufacturing,$1 to $5 billion (USD),Manufacturing,10000+ Employees,Company - Public,False
