Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Salesforce Developer,"Tipping Point Solutions, Inc.
","Fort George G Mead Junction, MD",$130K - $145K (Employer est.),3.9,"Summary: Chippewa Government Solutions (CGS) LLC, is hiring a Salesforce Web Developer. The Salesforce Web Developer leads website development, enhancement and web-based applications. This position ensures strong optimization and functionality, working across many departments and functions to provide training, resolve questions, assess user needs and implement changes. Assists in the planning of overal web development.

***This position requires an active TS/SCI clearance. IAT II Certification is required.***

Job responsibilities:

Fluent in multiple application development languages
Experience with various computer platforms and application environments
expertise with multi-tier development
Expertise in designing application systems
Business analysis skills including the ability to bring clarity to ambiguous situations, an understanding of business needs and compliance requirements
Worked in database environments including SQL
Excellent written, oral, and interpersonal communication skills with the ability to work effectively at all levels of the organization
Problem solving and decision-making capabilities

Required Experience and Skills:

Must hold a TS/SCI clearance.
IAT II Certification is required
Ability to read, analyze and interpret general business periodicals, professional journals, technical procedures, or government regulations
Ability to write reports, business correspondence and procedure manuals
Ability to effectively present information and respond to questions from groups of managers, clients, customers and the general public
Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists
Ability to interpret a variety of instructions

Desired Experience:

Experience working with a Federal agency as an intern, fellow, contractor, or employee.
Experience in Salesforce Development.

Benefits: Our competitive benefits package includes medical, dental, vision, and life insurance. CGS also offers 401(k) with employer match, 11 paid Holidays and 15 days Paid Time Off annually.

Native American Preferred – Sault Tribe Member/Family preferred. CGS is part of the Sault Tribe Incorporated (STI) Federal division. STI is wholly owned by the Sault Tribe of Chippewa Indians, created to benefit tribal members through job creation and assistance programs through private enterprise.

Compliance:

Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility applicable clearance level. CGS is a E-Verify Federally Contracted Employer

As required by Executive Order 14043, @Federal Contractor employees are required to be fully vaccinated against COVID-19 regardless of the employee’s duty location or work arrangement (e.g., telework, remote work, etc.), subject to such exceptions as required by law. If selected, you will be required to be vaccinated against COVID-19 and submit documentation of proof of vaccination by November 22, 2021 or before appointment or onboarding with the agency, if after November 22. The company will provide additional information regarding what information or documentation will be needed and how you can request of the agency a legally required exception from this requirement.

Job Type: Full-time

Pay: $130,000.00 - $145,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Tuition reimbursement
Vision insurance

Compensation package:

Yearly pay

Experience level:

3 years

Schedule:

8 hour shift

Ability to commute/relocate:

Fort Mead, MD: Reliably commute or planning to relocate before starting work (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",2011,Education & Training Services,$1 to $5 million (USD),Education,1 to 50 Employees,Company - Private,True
ERP/DAI Business Analyst,"Redwood Strategy Group
","Washington, DC",$96K - $116K (Employer est.),3.0,"Redwood Strategy Group is hiring a ERP/DAI Business Analyst to join their team. The ERP/DAI Business Analyst' functional responsibility includes applying technical expertise and skills to implement business solutions. ERP Business Analyst are directed to exercise core skills on projects, or they may direct small teams.

Provide support of appropriations such as OMMC, OMMCR, MPMC, RPMC, FHOPs, etc. budget execution including budget submission support, analysis of spend plan versus execution, ensure obligation rates are monitored and inform leadership of any deviations, ensure Funding Authorization documents are monitored and tracked and provide proactive identification of issues.

Location: The Pentagon (Arlington, VA)

Schedule: Hybrid / 3 days a week on-site, 2 days a week remote

Clearance: Secret

Qualifications:

5 years of full-time (excluding internships) Oracle experience providing financial systems or business systems services, DAI preferred
Supported at least 2 Oracle implementations for one or two business process areas during implementation and supported training and help desk, DAI preferred
Expert a minimum of one functional process area
Can develop logic for OBIEE reports and monitor interfaces and perform reconciliation
Experience designing, developing, testing, and deploying DAI solutions
Bachelor's degree in Accounting, Finance, Computer Science Engineering, Mathematics or Information Systems. Degree can be substituted if the candidate possesses the minimum years of experience of which a minimum of 3 years of DAI experience is included in the experience

Job Type: Full-time

Pay: $96,237.18 - $115,898.54 per year

Benefits:

401(k)
Dental insurance
Health insurance
Vision insurance

Experience level:

5 years

Schedule:

8 hour shift

Education:

Bachelor's (Required)

Experience:

Oracle Financial/Business Systems: 5 years (Required)
DAI: 1 year (Preferred)

Security clearance:

Secret (Required)

Work Location: Hybrid remote in Washington, DC 20301",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
"Satellite Communications Industrial Engineer/MBA in Greenbelt, MD","Teltrium Solutions, LLC","Greenbelt, MD",-1,-1.0,"Teltrium is a technology company that provides systems engineering services, custom software products, and project execution support and capabilities to satellite communications and spectrum management programs at NASA Centers. We’re a small company focused on nurturing an agile and innovate team that develops creative and high-quality solutions for our unique customers.

We are seeking engineers with fundamental knowledge of wireless communication systems, digital networks, or satellite communication systems to join our growing team. These positions support systems engineering, modeling and simulation, and software development activities for the following NASA Centers: Goddard Space Flight Center, Greenbelt, MD, Glen Research Center, Cleveland, OH and at NASA Headquarters, as well as the Jet Propulsion Laboratory (JPL). Activities that each of these functional areas perform are as follows:

Systems Engineering Activities: Interface definition and management; analyses and trade studies, end-to-end network performance, RF and baseband system/subsystem evaluation; system validation and verification; deliverables review and configuration management processes.
Project Management/Business Process Analyst: Lead the collection, capture, and management of mission user needs, from prioritization, concept development, and user story writing to support development and deployment as a business analyst subject matter expert. Facilitate the gathering of enterprise service management requirements to meet the operational objectives of business needs. Identify core business needs, decompose and document concepts of operations, story maps, briefings, and user stories, document business rules, and construct workflow diagrams, as needed. Condense complex business processes into clear and actionable user stories with acceptance criteria. Work with internal and external stakeholders to review, update, and maintain a business process roadmap of the to-be system and evaluate areas of reengineering by outlining potential to-be processes.

Qualifications

Education: Bachelor of Science Industrial Engineering or MBA with Satellite Communications Experience

Experience: Minimum of 5 years of recent and relevant industrial engineering experience that included doing business case analysis (cost accounting type with labor hours). Minimum of 1 year of DoD project management or DoD contract experience. Understanding of Satellite Communications.

Work Authorization: Candidates must be a U.S. Citizen or Permanent Resident.

Role / Work Schedule

These are full-time, on-site positions in Greenbelt, MD with flexibility for occasional remote work.

Preferred Skills

Self-starter and creative problem solver.
Strong organizational skills and attention to details
Excellent verbal and written skills including articulating and presenting technical topics in a clear and concise manner to peers as well as executive level customer audiences
Familiarity with ground station/network equipment and protocols in satellite communication

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Work setting:

Hybrid remote

Ability to commute/relocate:

Greenbelt, MD 20770: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

DoD Project Management: 1 year (Required)
Business Analyst: 2 years (Required)
Satellite or RF: 1 year (Required)
Industrial engineering: 5 years (Required)

License/Certification:

MBA with Satellite Communications Knowledge (Required)
Bachelor's Degree in Industrial Engineering or an MBA? (Required)

Work Location: Hybrid remote in Greenbelt, MD 20770",-1,-1,-1,-1,-1,-1,True
"PPBE, Business and Analytics Analyst (Secret Clearance)","Redwood Strategy Group
",United States,$110K - $150K (Employer est.),3.0,"*Please note, this is a limited-term position with an end date scheduled for 9/25/2024*

This is an exciting opportunity for a motivated individual who enjoys working with data and has a passion for driving business growth through analytics. As a Business Analyst, you will play a key role in identifying areas for improvement, developing solutions, and supporting the implementation of strategic initiatives. Join our team and contribute to the success of our organization!

Functional responsibility includes financial analysis: establishing long-term, standardized financial reporting strategy, provide and maintain financial analytics tool which integrates spend plans, funding changes, and financial execution data for leadership, validate OBIEE reports and ensure financial accuracy, provide analytics training to stakeholders, develop reports and dashboards. Support the customer with accounting support by reviewing and providing analysis of monthly financial reporting. Reconciliation of contract, 1002/execution, payroll, and incoming reimbursable. Assist in the tracking of financial transactions such as Unmatched Disbursements, Invoices on Hold, problem payments, unfilled customer orders, etc.

Minimum 5 years practical experience in OBIEE or similar tools with emphasis on business process improvements in finance and accounting
DOD experience required
DAI experience required
Bachelor's Degree preferred in the following majors: Business Administration, Information Systems, Accounting and Finance
Preferred experience in PPBE (planning, programming, and budget execution) as well as government accounting.

Job description can be viewed here: https://jobs.lever.co/redwoodstrategygroup/b8abcf5b-52a9-4a9c-a92c-4c3fdbc9d6a5

Job Type: Full-time

Pay: $110,000.00 - $150,000.00 per year

Benefits:

401(k)
401(k) 6% Match
Dental insurance
Health insurance
Vision insurance

Compensation package:

Yearly bonus
Yearly pay

Experience level:

5 years

Schedule:

8 hour shift

Ability to commute/relocate:

Alexandria, VA 22311: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

OBIEE or similar tool: 5 years (Required)
DoD: 1 year (Required)
DAI: 1 year (Preferred)

Security clearance:

Secret (Required)

Work Location: Hybrid remote in Alexandria, VA 22311",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Pension Operation Business Analyst,"IAM National Pension Fund
","Washington, DC",$78K - $120K (Glassdoor est.),1.8,"IAM National Pension Fund

Seeks a Pension Operations Business Analyst

The IAM National Pension Fund is searching for a Business Analyst to support its Pension Operations. This role will collect and analyze performance data, as well as track reported system enhancements for the Pension and Customer Service Departments. The Business Analyst will support the Director of Operations in achieving operational goals and objectives by facilitating the completion of multiple departmental tasks within a defined scope.

ESSENTIAL DUTIES AND RESPONSIBILITIES: (The listing below is not all inclusive of the duties of the position.)

· Run departmental reports for the Pension and Customer Service departments on a periodic and ad hoc basis.

· Perform data analysis on reported performance data.

· Communicate performance measures and results.

· Review and coordinate V3 workflow task items.

· Monitor and track Manage Engine and JIRA Tickets.

· Conduct Change Requests/Change Order tracking and follow-up.

· Draft Trustee Board reports as required.

· Perform data forecasting.

· Develop a Workforce Management tool.

· Develop and review Overlapping and nonoverlapping participant reports/assignments as needed.

· Track departmental Legal Intake Matters.

Key Qualities and Skill Sets

· Excellent analytical thinker.

· Proficiency with MS Excel, MS Word and MS PowerPoint.

· Experience with Power BI or similar software desired.

· Excellent written and verbal communication skills.

· Must have the ability to work independently and take initiative.

· Organizational skills.

· Keen ability to multi-task.

· Works well under pressure.

Education and Experience

Bachelor’s degree in business administration or equivalent knowledge and experience. Strong competency in data analytics and project management experience is strongly desired.

This is a Non-Bargaining Unit Management Position.

Job Type: Full-time

Benefits:

401(k)
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Retirement plan
Vision insurance

Schedule:

Monday to Friday

Work Location: In person",-1,Banking & Lending,Unknown / Non-Applicable,Financial Services,Unknown,Company - Private,True
Business Analyst,"All In Solutions
","Washington, DC",$50K - $65K (Employer est.),2.3,"All In-Solutions is seeking a skilled Business Analyst who has a strong background in leveraging data for comprehensive cost versus benefit assessments. We are a company dedicated to delivering effective solutions, and we need a Business Analyst with the expertise to evaluate functional benefits, technical performance, risks, and scheduling considerations.

Location: Austin, TX or D.C

Responsibilities

· Collaborate closely with cross-functional teams to ensure that proposed solutions align with both technical and business requirements, facilitating efficient decision-making processes.

· Support SOP development for Solution Services operations, to be updated on an annual basis.

· Conduct technical reviews that ensure compliance with VA standards, mandates and/or laws to properly manage disposition of IT requests.

· Support maintenance of an Enterprise Candidate Solution Catalog that captures VA enterprise solution candidates.

· Support Senior Business Analysts in meetings with VA Business Partners.

· Produce detailed meeting minutes and action items to document discussions and ensure follow-through on critical tasks and decisions.

Qualifications

· Bachelor’s degree in Operations Research, Mathematics, Computer Science, Cost Accounting or related scientific or technical discipline. 8 years of additional relevant experience may be substituted for education.

· A minimum of 2 years of relevant experience in business analysis, data analysis, or a related field is essential. Candidates should have a demonstrated ability to assess cost versus benefit and manage complex projects.

· Strong proficiency in data analysis and the ability to use data effectively to make informed decisions is crucial.

· Familiarity with technical standards and compliance requirements is beneficial for ensuring the alignment of solutions with VA's technical needs.

· Effective communication and documentation skills are necessary for conducting meetings, producing detailed minutes, and facilitating collaboration with cross-functional teams.

Job Type: Full-time

Pay: $50,000.00 - $65,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Washington, DC: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

How much experience do you have working with or for the VA?
Are you a U.S citizen or Green Card holder?

Education:

Bachelor's (Required)

Experience:

SQL: 1 year (Preferred)
Business analysis: 4 years (Preferred)

License/Certification:

PIV Card (Preferred)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,True
Division Business Analyst,"Lennar Homes
","Columbia, MD",$80K - $124K (Glassdoor est.),3.6,"Overview:
Welcome Home! Build your career with Lennar!

As one of the nation’s largest builders, Lennar has built over one million new homes for families across America. Since 1954, our communities have catered to all lifestyles and family dynamics, whether you are a first-time or move-up buyer, multi-generational family, or active adult.
At Lennar, Everything’s Included in our homes, and Everyone’s Included on our team. Our Everyone’s Included vision is to be as inclusive and diverse as the communities we build unleashing the power of diversity within our workforce to drive innovation & sustainable growth.

Division Business Analyst:

Lennar is seeking a strategic and sharp Division Business Analyst who will be responsible for analyzing reports and models, reviewing financials, and data mining to formulate and deliver fact-based pricing strategies to division leadership. This position will work closely with various department to understand factors impacting the pricing and selling process to develop and implement strategic solutions that drive key operational metrics focused on improving financial results. The Division Business Analyst must possess the intellectual curiosity to actively seek out new areas of potential improvement and drill into the details to find the root cause of a problem, which requires the willingness to question results and assumptions, and an internal drive for continuous improvement.
Responsibilities:

Manage overall pricing process including providing recommendations and obtaining approvals on home-by-home pricing and release order and communicating results across the sales organization.
Recommend price adjustments to Management based on an analysis of historical sales trends, current and future market conditions and the overall market supply and demand dynamic.
Collaborate with Division lines of business to develop a deep understanding of the process, strategies and Key Performance Indicators (KPIs) that influence top line Revenue growth.
Provide revenue management functional expertise and leadership to management team and market sales leaders.
Provide an objective point of view to complex business and issues based on a deep understanding of data and analytics as well as business principals.
Regularly translate data, insights, and forecasts into actionable and relevant recommendations by utilizing visualization and/or data analysis tools, presentations and other means to effectively communicate clear and concise recommendations to senior division leadership.
Track, create, maintain, and analyze data.
Develop new skills, techniques, and statistical models for predicting future operational results, costs and key performance metrics.
Consolidate, prepare, and analyze operational data to understand cause and effect relationships and identify and share root causes.
Oversee day-to-day implementation and analysis of the different initiatives.
Qualifications:

Bachelor’s Degree in related field (business, finance, etc) preferred
MBA a plus
2 years as a Revenue and/or Pricing Manager, Business analyst or comparable experience preferred
Experience in the homebuilding industry preferred
Experience with business software preferred (Salesforce, JDE, Business Intelligence)
Microsoft Office skills (Word, PowerPoint, Excel, etc.)
Lennar Core Values
Our commitment to Quality, Value, and Integrity is the underlying foundation upon which Lennar was built, and these three fundamental principles still guide us in caring for our customers, associates, shareholders, and community.

Life at Lennar!
Lennar recognizes our associates are the heart of the company’s success. Learn new skills, build your path, and become an integral part of the Lennar Family.


When You Join:
Health Insurance - Medical, Dental & Vision
Vacation – 3 weeks of vacation per year to start
Holidays, Sick Leave, & Personal Days
401(k) Savings Plan with company match
Paid Maternity & Bonding Leave
New Hire Referral Bonus Program
Product Purchase Discount for Associates
Associate Assistance Plan
Everyone’s Included Day - In the spirit of inclusion, diversity, and caring for our community, Lennar encourages our Associates to take a day to connect, reflect and inspire those around us, in a way that is uniquely important to you.
And More!
Lennar is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws.
#HomeiswithLennar #CB #LI-ML1
Type: Regular Full-Time",1954,Real Estate,$5 to $10 billion (USD),Real Estate,5001 to 10000 Employees,Company - Public,False
Senior Multi-Domain Operations Analyst,"Johns Hopkins Applied Physics Laboratory (APL)
","Laurel, MD",$104K - $141K (Glassdoor est.),4.3,"Description

Are you passionate about analyzing complex problems integrating Space, Air, Surface and Ground warfare domains using state of the art software and computing capabilities?
Are you searching for an opportunity to apply your operations analysis background in an engaging, inquisitive environment?

If so, the Air Combat and Strike Analysis Group at the Applied Physics Lab is looking for you!

Our dedicated team of engineers, physicists, mathematicians, and computer scientists are engaged in an extensive portfolio of projects with the U.S. military. Our analysts support the acquisition, maintenance, and assessment of various military systems and technologies.
We want you to join our team, and provide your background in operations analysis to expand our capabilities and help us stay on the cutting edge of the field!
Our work is sophisticated, engaging, and frequently has significant impact to Department of Defense programs. We pride ourselves on our intellectual integrity, and our ability to deliver outstanding, unbiased analysis products. Our team emphasizes personal improvement and growth over short-lived success.
If this sounds like an environment that would help you foster and grow your interest in our domain, consider us as part of your future.

As a Multi-Domain Operations Analyst…
Your primary responsibilities will be performing analysis on interacting sensor, tracker, communication, and weapon systems for multi-domain, mission-level simulations, with the goal of discovering insightful trends, informing conclusions, and supporting decision-making.
You will perform statistical analysis to find trends, assess risk, and document uncertainties in simulation results.
You will also collaborate with experts in specific warfare domains and technologies, and learn to integrate key effects together into a multi-domain simulation environment.
You will likely join a small team including junior analysts who will benefit from your experience, and senior engineers with whom you will guide the direction of projects.
You can engage in independent research projects that encourage creative solutions and reward independent initiative.
You will have the opportunity to present your work through briefings to both technical specialists and pivotal decision makers.

Qualifications

You will meet our minimum qualification for the job if you…
Have a BS or MS degree in a technical or scientific field such as Mathematics, Physics, Engineering, or Computer Science
Have demonstrated excellence performing modeling, simulation, and analysis in either Air, Space, Surface or Ground warfare domain(s)
Are highly skilled in learning new and challenging topics
Are able to effectively work in a highly collaborative environment and communicate complex ideas to a variety of partners
Are proficient to fluent in a programming or scripting language such as MATLAB or Python
Are able to obtain Interim Secret level security clearance by your start date and can ultimately obtain Top Secret level clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship
You’ll go above and beyond our minimum requirements if you…
Have a PhD in one of the scientific or technical fields listed above
Have knowledge and experience integrating across any combination of Air, Space, Surface, or Ground warfare domains, with an emphasis on Space domain
Have experience leading teams including managing workflow, backlog, load balancing, and support for internal/external engagements
Experience with M&S tools: AFSIM, STK, Suppressor, or Brawler
Experience working with version control software and tools (Git/GitLab) on team M&S efforts
Have an active Top Secret security clearance with current or previous Special Program Access (SAP)/SCI

Why work at APL?

The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation’s most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.

At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL’s campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at http://www.jhuapl.edu/careers.


About Us

APL is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, creed, color, religion, sex, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, genetic information, veteran status, occupation, marital or familial status, political opinion, personal appearance, or any other characteristic protected by applicable law.

APL is committed to promoting an innovative environment that embraces diversity, encourages creativity, and supports inclusion of new ideas. In doing so, we are committed to providing reasonable accommodation to individuals of all abilities, including those with disabilities. If you require a reasonable accommodation to participate in any part of the hiring process, please contact Accommodations@jhuapl.edu. Only by ensuring that everyone’s voice is heard are we empowered to be bold, do great things, and make the world a better place.",1942,Aerospace & Defense,$1 to $5 billion (USD),Aerospace & Defense,5001 to 10000 Employees,Nonprofit Organization,False
IT Business Analyst,"Trinity Global Consulting, LLC
","Washington, DC",$135K (Employer est.),5.0,"Minimum Experience:

-3 to 5 years’ experience managing Army Information Assurance Training Programs

-3 years’ experience conducting network security violation investigations and reporting

-Experience with Risk Management Framework and SP800-53

-Must ensure regular archival files, changing, creating, and deleting user accounts as per requirements

-3 years’ experience leading and directing the team to resolve any issues related to information assurance

-Experience with documentation and training required for emergency security measures when supporting critical operations training

-Demonstrate experience executing an effective incident response program

-Experience developing project charters and plan of action and milestones in support of information technology projects

-Must have excellent written and oral communications skills

-Familiarly with IT and business policies, procedures, testing, governance, and SDLC methodologies

-Ability to quickly gain expertise in technical concepts and communicate technical information to a non-technical audience

-Solid understanding of analytical tools and processes, requirements documentation, user acceptance testing, and stakeholder management

Required DoD 8570 Level III IT Certifications:
-CISSP

Additional Required Certifications:

-Any Agile certifications(s)

-Microsoft Power BI Data Analyst Associate

-ITIL Foundation v.4

Education:

Bachelor’s Degree from an accredited institution in Information Technology or similar field

Job Type: Full-time

Pay: $135,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Retirement plan
Tuition reimbursement
Vision insurance

Compensation package:

Yearly pay

Experience level:

4 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Washington, DC 20301: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Army Information Assurance Training Programs: 4 years (Required)
network security violation investigations and reporting: 4 years (Required)
Risk Management Framework and SP800-53: 4 years (Required)

License/Certification:

CISSP (Required)
Microsoft Power Bi Data Analyst Associate (Preferred)

Security clearance:

Top Secret (Required)

Work Location: In person",2011,Information Technology Support Services,$1 to $5 million (USD),Information Technology,1 to 50 Employees,Company - Private,True
BUSINESS ANALYST - CLEARABLE - HYBRID SCHEDULE,"RJM Technologies, Inc.
","Washington, DC",$90K - $110K (Employer est.),4.6,"BUSINESS ANALYST - CLEARABLE - HYBRID SCHEDULE

Our client, a leading IT consulting firm serving both government and commercial sectors, is in search of a Business Analyst possessing exceptional analytical abilities. This role is focused on providing comprehensive support to a diverse portfolio of U.S. Federal Government clients. Candidates should be based in the greater Washington, DC area. While the position offers significant remote work flexibility, regular in-person meetings and client presentations in Washington, DC are required.

The Company is looking for a team-oriented, resourceful, self-starter with exceptional attention to detail and poise under pressure in a fast-paced environment. The Business Analyst will be responsible for conducting research, developing advanced analyses, and developing client deliverables, presentations, and reports. The Business Analyst is expected to support all aspects of client delivery and project administration, in collaboration with senior company executives, while upholding the firm’s high standards of excellence and professional integrity.

Responsibilities

Analyze structured and unstructured data, including financial, operational, and policy data and reports.
Research industry benchmarks and best practices to apply to client solutions across a variety of domains, including technology and financial management.
Contribute to the development of tailored client solutions with referenceable research, including new operating models, processes or other organizational changes.
Develop written client reports and presentations in multiple formats.
Conduct financial and quantitative analyses and present findings in executive format.
Support business development efforts by contributing research and written content for company proposals and by developing marketing materials.

Qualifications

Bachelor’s degree (Master’s degree preferred) in business, policy administration, or relevant field
1-5 years of work experience in an analytical role
Exceptional analytical, critical thinking, and problem-solving skills
Superior time management skills in order to balance competing priorities and meet tight deadlines
Outstanding verbal and written communication skills, including demonstrated ability to summarize complex information for executive audiences
Exceptional attention to detail
Expert knowledge of MS Word, Excel and PowerPoint
Strong data and information visualization skills
Strong quantitative and financial analysis skills
Proficiency in conducting referenceable research across a broad set of topics
Ability to work well independently and manage own workload to meet deadlines
Ability to work well in teams with company staff, external partners, and client representatives in a positive and courteous environment
Ability to work well under pressure in fast-paced environment with tight deadlines and multiple simultaneous workstreams
Flexibility and adaptability in a fast-paced environment, where responsiveness to clients is paramount.

Job Type: Full-time

Pay: $90,000.00 - $110,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Work Location: Hybrid remote in Washington, DC 20004",2004,HR Consulting,$1 to $5 million (USD),Human Resources & Staffing,1 to 50 Employees,Company - Private,True
