Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Continuous Improvement Manager,"Denali Ingredients
","New Berlin, WI",$100K - $120K (Employer est.),3.2,"Summary

The Continuous Improvement Manager needs to have a passion for not being satisfied with the status quo. Complacency is NOT something that a CI Manager adheres to. They are motivated to pursue positive change and work with employees in facilitating recommended changes. A successful continuous improvement specialist has excellent verbal and written communication skills and an ability to communicate with all levels of employees from upper management to production floor workers. They work with all positions to explain the reasons for changing processes and how to make those changes. Using Lean Six Sigma methodologies, the continuous improvement specialist leads the improvement efforts and trains others to implement them.

Being organized and adept at weighing and managing priorities is key for a successful Continuous Improvement Manager since there can be competition for what is handled and when. Using keen analytical skills and synthesizing information comes into play when determining how current processes can be improved.

The Continuous Improvement Manager is responsible for assessing, monitoring, and enhancing business performance for our organization. In this role, the Continuous Improvement Manager will analyze current practices and develop business process improvements as well as implement changes in workflows, structures, and teams to ensure continuous company performance.

To ensure success a Continuous Improvement Manager should be a skilled communicator and be adept at business analysis and project implementation. An exceptional Continuous Improvement Manager will understand the latest management methodologies and embody top leadership principles and styles in their management duties.

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Duties will include, but are not limited to:

Clearly define program objectives and scope.

Evaluating and prioritizing potential improvements based on gains and required effort and identifying opportunities for process improvement, waste removal, and cost reduction.

Securing employee commitment (ex: process managers) for proactive change management.

Establishing a clear and well-articulated implementation plan and then facilitating, teaching, leading, coaching, and executing continuous improvement events using Lean Six Sigma tools and methodology.

Working to continuously improve processes both on the production floor as well as transactional by collaborating with multiple functions such as logistics.

6. Establishing criteria for the project’s success and preparing a sound statement of constraints/limiting factors

7. Appropriately implementing principles of governance.

8. Resolving technical problems such as formulation, equipment, product, interpretation of regulations, and resource availability.

9. Conducting detailed analysis of the current situation that accurately describes the issues, identifies intervention priorities and indicators, and specifies deliverables, outcome indicators, and performance-measured indicators.

10. Identifying available resources (for example, people, material, and finances)

11. Clearly defining methodology and mapping out in detail the desired situation

12. Accurately analyzing options including impact and feasibility

13. Specifying obstacles and ways to overcome them through continuous improvement.

1. Regularly monitoring the implementation of solutions to achieve objectives and expected benefits Analyzing company processes and procedures.

2. Monitoring staff performance and organizational processes.

3. Collaborating with other stakeholders to enhance productivity and staff satisfaction.

4. Staying current with developments in management and process optimization.

5. Perform other duties as necessary.

Qualifications

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Additionally, they must fulfill essential job function in a consistent state of alertness and safe manner. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Hard Skills:

· Continuous Improvement

· 5S

· Lean Manufacturing

· Kaizen

· Lean Six Sigma

· Root Cause Analysis

· Value Stream Mapping

· Proficiency in commonly used and specialized software

· Strong working knowledge of Microsoft Suite, including advanced skills with Excel

· Demonstrated ability to work in high paced and changing environments

Education and/or Experience

· Bachelor’s degree in business management, business, or related field preferred

· Minimum of 5 years’ previous experience as a plant manager, operations or production manager, or related position

· Strong management skills with ability to supervise multiple teams.

· A sharp eye for identifying weak points in processes and organizational structures.

· A strategic and analytical mindset.

· An excellent communicator with top-notch presentation skills.

· A thorough understanding of the latest process enhancement strategies.

· Dynamic thinking and problem-solving abilities.

· Able to analyze problems and strategize for better solutions.

· Leadership, team building, and mentoring skills.

· Confidence in your abilities to lead organizational change.

· Good interpersonal skills and communication with all levels of management

· In-depth knowledge of food industry

· Able to multitask, prioritize, and manage time efficiently.

· Excellent conflict-resolution and decision-making abilities

Computer Skills

· Strong knowledge and experience using Microsoft Office Applications including Outlook, Excel, Word, and ERP system use.

Language Skills

· Ability to effectively communicate with managers, vendors, customers, and other employees of the organization.

Mathematical Skills

· Ability to calculate figures and amounts such as proportions and percentages

Reasoning Ability

· Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists.

· Ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form.

Physical Demands

· While performing the duties of this job, the employee is frequently required to sit; use hands to finger, handle, or touch objects, tools, or controls; and talk or hear.

· The employee is required to stand, walk, and climb or balance. The employee must occasionally lift and/or move files, boxes, etc. weighing up to 50 pounds.

Work Environment

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

In our Work Environment, employees demonstrate their skills, teamwork, and leadership by the example they set for the people they serve. Employees are concerned not just with their own duties but additionally, how they can assist those on their left and those on their right.

While performing the duties of this job, the employee occasionally works near moving mechanical parts and is occasionally exposed to fumes or airborne particles and toxic or caustic chemicals. The noise level in the work environment is usually moderate.

Denali Ingredients is an equal opportunity employer that continues to build a culture of inclusion, belonging and equity through our commitment to attracting and retaining diverse talent from all backgrounds, without regard to race, color, religion, sex, sexual orientation, national origin, gender identity, age, disability, veteran status, or any other characteristic protected by law. We do not discriminate against any employee or applicant and believe in fairness and providing a level playing field for all. We foster a culture that thrives on diverse perspectives and contributions to ignite the creativity and innovation to fuel our business and enhance the employee and customer experience.

We provide a fast-paced stimulating international environment, which will stretch your abilities and channel your talents. We also offer competitive salaries and benefits which include but not limited to, very affordable health insurance benefits, a 401k program, and more. Combine this with outstanding career development opportunities.

The above statements reflect the general details necessary to describe the principal functions of the occupation described and shall not be construed as a detailed description of all the work requirements that may be inherent in the occupation.

Job Type: Full-time

Pay: $100,000.00 - $120,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance

Schedule:

Holidays
Monday to Friday

Work Location: In person",-1,Food & Beverage Manufacturing,Unknown / Non-Applicable,Manufacturing,51 to 200 Employees,Company - Private,True
Customer Operations Analyst,ConsortiEX Inc.,"Milwaukee, WI",$17.00 - $20.00 Per Hour (Employer est.),-1.0,"We are looking for candidates to fill a key position in our growing company.

Do you enjoy work that requires being: detailed oriented, focused, a critical thinker - along with having strong written communications skills, and good time management? Do you have a track record for being articulate, cooperative, efficient, flexible, procedural/process-oriented, and resourceful?

Successful candidates will enjoy working both independently and as a member of a team. People succeed in this role if they are process oriented and appreciate working within a structure. If you like a blend of customer service and detailed, analytical work you may be a good fit for our team.

Candidates with a minimum of a two year degree and 4 - 6 years of experience are invited to apply.

Position Summary: The Customer Operations Analyst provides support to ConsortiEX™ customers at health systems throughout the country. In this role, you will review and validate compliance documentation from our customers, and input this data into our software. You will interact via email and phone directly with customers to communicate and resolve issues. Successful candidates will have the opportunity to learn and grow in an exciting startup environment.

Essential Duties and Responsibilities: To perform this job successfully, an individual must be able to perform the following satisfactorily; other duties may be assigned. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

· Verify accuracy and completeness of documentation in accordance with compliance requirements.

· Data enter customer data by inputting text and numerical information from source documents – doing additional research and verification as necessary to ensure accuracy.

· Review data for deficiencies or errors, correct if possible, and verify output.

· Clearly communicate and resolve issues with customers via email or phone.

· Provide professional and friendly customer service.

· Follow standard work guidelines, and work to document and improve standards as necessary.

· Maintain confidentiality of information.

Competencies:To perform the job successfully, an individual should demonstrate the following.

· Customer Service- Displays courtesy and sensitivity. Manages difficult or emotional customer situations. Meets commitments. Responds promptly to customer needs. Solicits customer feedback to improve service.

· Communication– Demonstrates strong communication skills. Able to clearly articulate a problem and determine the appropriate solution. Communicates clearly via email or phone.

· Problem Solving- Develops alternative solutions. Gathers and analyzes information skillfully. Identifies problems in a timely manner. Resolves problems in early stages. Works well at group problem solving situations.

· Continuous Learning- Assesses own strengths and weaknesses. Pursues training and development opportunities. Seeks feedback to improve performance. Shares expertise with others. Strives to continuously build knowledge and skills.

· Use of Technology- Adapts to new technologies. Demonstrates required skills. Keeps technical skills up to date. Troubleshoots technological problems. Uses technology to increase productivity.

Job Type: Full-time

Pay: $17.00 - $20.00 per hour

Expected hours: 40 per week

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Shift:

8 hour shift

Weekly day range:

Monday to Friday

Work setting:

In-person

Education:

Associate (Preferred)

Experience:

Customer Service: 4 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Investment and Research Operations Analyst,"WoodTrust Bank
","Wausau, WI",$60K - $92K (Glassdoor est.),2.4,"INVESTMENT AND RESEARCH OPERATIONS ANALYST Full-Time

Wausau – Dudley Tower Office

JOIN OUR TEAM!

If you are looking for a rewarding career opportunity in a professional and fun work environment, look no further than WoodTrust Bank! We value every associate and appreciate the importance each individual role contributes to our success. We are currently seeking a motivated, detail-oriented person for an Investment Operations and Research Analyst in our Investment Management and Trust department at our Wausau office.

WHY WE’RE DIFFERENT

Did You Know?

At over $5 billion in client assets under management and $650 million in bank assets, WoodTrust is one of the largest privately owned, full service financial institutions headquartered in central and northern Wisconsin, serving individual, family, corporate and not-for-profit customers in 35 states. With an acute focus on our core value, the customer is #1, WoodTrust has succeeded as a quality, community-focused financial institution since its founding in 1891.

In addition to our pursuit of life-time customers, we seek to provide associates an environment that allows them to learn, grow and succeed with an emphasis on hiring for the long-term and incentivizing teammates to spend the duration of their careers with WoodTrust. If you are interested in a career in financial services, want to work with fun and talented professionals, and grow with a private, family- owned organization, you would be a great fit for our team!

A DAY IN THE LIFE OF AN INVESTMENT OPERATIONS AND RESEARCH ANALYST
As an Investment Research and Operations Analyst, you will:

Provide regular reporting on performance (absolute and vs. benchmarks), asset allocation and trends
Assist Portfolio Managers as needed with trading, transaction processing and account maintenance
Oversee corporate actions, corporate litigations, proxy-voting, in-out of balance monitoring, security pricing and worthless/non-transferrable securities
Coordinate, develop and maintain customized presentation materials for internal and external use
Perform both bottom-up and top-down research and security analysis on behalf of the Research Committee across various asset classes and investment programs
Assist in the creation of written client communication materials

The candidate for this position should have an interest in investment communication and reporting, securities trading, and investment analysis. Education or past experience should reflect this interest.

The Investment Operations and Research Analyst will report directly to our Director of Research and will have significant interaction with the firm’s Investment Committee and Research Committee, client service team and third-party managers.

EDUCATION AND EXPERIENCE

A Bachelor’s Degree in Finance, Business or Economics is preferred
1-3 years of experience in an investment operations or research capacity is preferred
Proficiency with the Microsoft Office suite (Excel and PowerPoint, specifically)

OTHER SKILLS AND ABILITIES
Attention to detail, a high degree of accuracy and the ability to multi-task are essential to this position as well as a solid understanding of math concepts, good written communication skills and a desire to solve problems. Other beneficial qualities include assertiveness, the ability to make timely decisions as well as take and give good direction. This position will require the person to work a minimum of 40 hours per week.

Must enjoy people and be willing and eager to interact pleasantly with customers and fellow associates alike. Must understand the team concept and be able to function as a member of a team as the team works towards a common goal. It is essential to observe the strictest secrecy and confidentiality regarding accounts and activities of any kind dealing with the bank.

WHY JOIN OUR TEAM?
WoodTrust strives to be an employer of choice, placing a major emphasis on personal and professional development. We offer competitive pay, a full benefit package including medical, dental, vision, vacation, sick leave and a 401(k) matching program along with a bank-wide annual bonus sharing program.

Please submit your application and resume by email or in person at one of our branch locations in Wisconsin Rapids, Plover or Wausau, WI.

WoodTrust is an Equal Opportunity Employer.

September 2023

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Supplemental pay types:

Bonus opportunities

Work Location: In person",-1,Banking & Lending,$5 to $25 million (USD),Financial Services,51 to 200 Employees,Company - Public,True
Business Systems Analyst,"AMSOIL
","Superior, WI",$67K - $100K (Glassdoor est.),4.2,"AMSOIL INC. is looking for a Business Systems Analyst. This is the ideal role for someone looking to continue their career in a supportive and collaborative IT work environment. AMSOIL offers the opportunity to learn and grow using multiple software tools in addition to opportunities for advancement. This position has a hybrid work schedule reporting onsite to the corporate headquarters in Superior, Wisconsin at least one day a week.

This role is responsible for working with stakeholders to analyze, enhance, develop, and maintain business applications according to the organization’s requirements. In addition, this role works to solve operational problems and ensure the effective use of the business applications while meeting the established business strategies and standards.

Core Responsibilities:

Analyze, enhance, develop, modify, and test business applications to meet requirements
Analyze systems to define alternative solutions and functional specifications to solve system related issues
Work to enhance the effective use of business systems and define solutions that are consistent with business strategies and standards
Provide programming support and maintenance of existing systems
Provide data integrity methods to ensure consistent, accurate, and efficient use of data across the business applications
Position Requirements:

Bachelor’s degree in related computer field or equivalent work experience
Any level of experience, pay commensurate with experience
Working knowledge of Microsoft Data Technologies including SQL Database Server (i.e., T-SQL, stored procedures, query optimization, SSIS, SSRS, and SharePoint)
Education in or experience with the design, development, and implementation of software solutions, systems, or products
Excellent written and verbal communication skills
Keen attention to detail
Highly self-motivated and directed
Interested in working in a collaborate, team-oriented work environment
Benefits:

Paid time off and paid holidays each year
Employee bonus program
401(k) with company match
Paid life, short-term disability, and long-term disability insurance
Competitive health benefits
Health savings account (HSA) and flexible spending account (FSA) options
Affordable group dental, vision, critical illness, and accident insurance
Employee discount on product
Corporate gym membership
If you have any questions or need assistance with the application process, please email: humanresources@amsoil.com

Equal Opportunity Employer/Veterans/Disabled
AMSOIL is an Equal Employment Opportunity employer. Employment policies and decisions on employment and promotion are based on merit, qualifications, performance and business needs. The decisions and criteria governing the employment relationship with all employees are made in a nondiscriminatory manner, without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, marital status, physical or mental disability, medical condition, veteran status or any other factor determined to be unlawful by federal, state or local statutes.",1973,Consumer Product Manufacturing,$100 to $500 million (USD),Manufacturing,201 to 500 Employees,Company - Private,False
Business Analyst,"MPI Engineered Technologies
","Deerfield, WI",$50K - $70K (Employer est.),3.6,"Position/Title: Business Analyst

Location/Department: Wisconsin Division

Reports to: Materials Manager

GENERAL: Business analysts are the drivers of our continued growth and success. With their commitment to innovation, these analysts seek, develop, and help implement strategic initiatives for improved efficiency and productivity. We’re currently searching for an experienced business analyst to help guide our organization to the future. From researching progressive systems solutions to evaluating their impacts, the ideal candidate will be a detailed planner, expert communicator, and top-notch analyst. This person should also be wholly committed to the discovery and development of innovative solutions in an ever-changing digital landscape.

Objectives of this role

Drive awareness of requirements across business units and identifysubstandard systems processes through evaluation of real-time data

Serve as thought leader for technical business processes, developing systems prototypes that promote increased efficiency and productivity on multiple levels

Create and implement precise management plans for every project, with attention to transparent communication at all levels

Perform, evaluate, and communicate thorough quality assurance at every stage of systems development

Determineand develop user requirements for systems in production, to ensure maximum usability

DUTIES / RESPONSIBILITIES:

1. Partner with stakeholders across business units (ex: sales, finance, security, compliance) to develop analyses and documentation in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teams

2. Evaluate, analyze, and communicate systems requirements on a continuing basis, and maintainsystems processes, including the delivery of monthly status reports to all appropriate parties

3. Author and update internal and external documentation, and formally initiateand deliver requirements and documentation

4. Conduct daily systems analytics to maximize effectiveness and troubleshoot problems

5. Develop meaningful and lasting relationships with partners for optimized systems integration, and respond to questions and concerns from managers and executives with supporting research and recommendations

MINIMUM QUALIFICATIONS:

· Academic or work experience in analytics and systems development

· High proficiencywith SQL and database management

· Proven analytical abilities

· Experience in generating process documentation and reports

· Excellent communication skills, with an ability to translate data into actionable insights

PREFERRED QUALIFICATIONS:

· Bachelor’s degree (or equivalent/or in process) in information technology or computer

science or supply chain management

· Strong working knowledge of relevant Microsoft applications, including Visio

· Proven ability to manage projects and user testing

· Extensive experience with data visualization

· High proficiencyin technical writing

PHYSICAL REQUIREMENTS:

· Sit up to 80% of day.

· Sit up to 2 hours at a time.

· Commute to other offices or critical points on the shop floor 20% of the time

· Vision correctable to 20-20.

MPI Engineered Technologies provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Job Type: Full-time

Pay: $50,000.00 - $70,000.00 per year

Benefits:

401(k)
401(k) matching
AD&D insurance
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid holidays
Professional development assistance
Vision insurance

Compensation package:

Yearly pay

Experience level:

Under 1 year

Schedule:

8 hour shift
Day shift

Work Location: In person",1969,Metal & Mineral Manufacturing,$100 to $500 million (USD),Manufacturing,501 to 1000 Employees,Company - Private,True
Business Intelligence Analyst,"Best Version Media
","Brookfield, WI",$65K (Employer est.),4.3,"Best Version Media (BVM) is one of the fastest-growing, privately held media companies in North America. We are looking for a Business Analyst with excellent technical, organization, and communication skills to join our growing Finance Team. This position will be analyzing data in many different areas of the business, identifying trends and patterns, and using the data for solutions to help drive our business further. If you enjoy working in a fast paced environment, come join the team at BVM and find out why we keep winning awards for being a great place to work!

Primary Job Responsibilities:

Work with executive team to organize, analyze, and interpret data to help surface KPIs and inform business performance and strategy
Leverage data warehouses and related BI tools (Google Could/Looker Studio) for large dataset analysis
Generate business insights, identify key business patterns, and work with CFO and CEO to develop and implement actions to drive desired business outcomes
Develop and maintain centralized reporting/dashboards
Use reporting tools to help prepare metric summaries for monthly financial reporting and quarterly board decks
Collaborate with internal IS team to assess and improve existing ERP reporting (BVM uses an internally developed and managed system)

Desired Qualifications:

Bachelor's degree in Computer Science, Statistics, Finance, Accounting, Business, Data analytics, or related discipline
3+ years of relevant experience in a business analyst, data analyst, or statistical analysis role
2+ years of experience analyzing datasets to solve business problems
Exceptional Microsoft Excel and financial modeling skills
Strong skillset in Business Intelligence tools, ideally Looker
Problem solver with ability to function in a fast-paced environment
Strong organization, time management, and communication skills
Ability to multi-task and prioritize projects and workload
Customer service mindset

Best Version Media (BVM) strengthens communities and connects local businesses to customers with innovative print and digital advertising solutions. BVM started in 2007 with six monthly publications powered by local businesses and readers. We now serve more than 1,200 communities and are one of the fastest-growing companies in the industry. Our vision is to unite the hearts and minds of communities – one person, one home, one business at a time. Our award-winning culture has been recognized by countless organizations including Fortune, Glassdoor, Top Workplaces USA, Great Place to Work and more.

Best Version Media participates in the E-Verify Employment Verification Program.

Job Type: Full-time

Pay: From $65,000.00 per year

Benefits:

401(k)
401(k) matching
AD&D insurance
Dental insurance
Dependent health insurance coverage
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Vision insurance

Experience level:

3 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Brookfield, WI 53045: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Business analysis: 3 years (Preferred)

Work Location: In person",2007,Advertising & Public Relations,Unknown / Non-Applicable,Media & Communication,201 to 500 Employees,Company - Private,True
Business Intelligence Analyst,"Lakeside Foods
","Manitowoc, WI",$59K - $83K (Glassdoor est.),3.5,"Lakeside Foods is a family-owned company providing wholesome foods to enrich people’s lives through food. We are a culture that pursues our vision of growth and innovation with passion, confidence and commitment. We are strongest together – valuing collaborative contribution, transparency and new ideas to enable change and growth. We are committed to an inclusive and respectful environment that promotes a healthy work-life balance. And there’s a seat at the table for you.


Become One Of Our Valued Team Members:

Our Business Intelligence Analyst offers a team-oriented individual the opportunity to be responsible for leveraging data-driven insights to support decision-making processes across the company. This role involves collecting, analyzing, and visualizing data to identify business trends, patterns, and anomalies. The ideal candidate will possess strong analytical capabilities, a deep understanding of BI tools, and the ability to communicate findings in a clear and actionable manner to stakeholders at all levels.


What You'll Get:

At Lakeside Foods, we believe in taking care of our people. That’s why, as part of the Lakeside family, you’ll have a package of affordable benefit choices and resources to choose from that covers your health, well-being, family and future.


Comprehensive Benefits:

A choice of three quality affordable healthcare coverage options
Vision coverage
Dental coverage
Health savings account with employer contribution/flexible spending accounts
Retirement planning including Profit Sharing and 401(k) match
Company-provided life, AD&D, short and long-term disability insurance
Generous paid time off including vacation, personal days and holidays


Work-Life Integration:

Educational & professional development assistance
Wellness programs and fitness reimbursement
Dependent scholarship program
Career growth opportunities
Internships/apprenticeships
Friendly office environment
“Dress for your day” dress code


What You'll Do:

Collaborate with business stakeholders to determine analytical needs and translate them into data-driven solutions.
Create intuitive dashboards and reports using BI tools, highlighting key performance indicators and metrics.
Utilize statistical and computational methods to analyze data, identify trends, and provide actionable insights.


What You'll Bring:

Bachelor's degree in Business, Computer Science, Data Analytics, Statistics, or a related field.
Proficiency in BI tools (e.g., Tableau, Power BI, QlikView).
2+ years of experience in a BI, data analysis, or similar role.


Where You’ll Work:

WELCOME TO MANITOWOC

Thousands of visitors are drawn here each year to explore the USS Cobia World War II submarine, tour Rogers Street Fishing Village to view relics of famous shipwrecks, or sail across Lake Michigan on the S. S. Badger. We love company and invite you to explore 20 miles of spectacular Lake Michigan shoreline. From the pristine coastline with its stunning parks and beaches and marinas, to historic downtowns and outdoor band concerts, Manitowoc-Two Rivers is a maritime treasure to visit as well as a wonderful place to work and live.


IND1


Lakeside Foods welcomes people of all backgrounds and the varied ideas they bring to the workplace. Being an equal opportunity and affirmative action employer is part of our heritage and culture. We recruit, hire and promote employees based on qualifications and merit, without regard to race, religion, age, gender, disability, marital or veteran status.

M/F/D/V",1887,Crop Production,$500 million to $1 billion (USD),Agriculture,1001 to 5000 Employees,Company - Private,False
Business Operations Analyst,"Uline
","Pleasant Prairie, WI",$63K - $80K (Glassdoor est.),3.5,"Business Operations Analyst

Corporate Headquarters

12575 Uline Drive, Pleasant Prairie, WI 53158

Are you skilled in research, reporting and making recommendations? Then you belong at Uline! Join us as a Business Operations Analyst to support our growth as North America’s top distributor of shipping, packaging and industrial supplies!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Position Responsibilities

Research and evaluate information to create clear and concise executive summary memos, diagrams and presentations.

Translate data findings from reports into actionable recommendations.

Analyze company-wide operations, including performance and productivity data, error rates and root causes.

Identify trends, document findings and present insight / performance improvement recommendations to Uline's President and management.

Collaborate with business units to gain in-depth understanding of processes, challenges and strategies to explain issues and recommend solutions.

Minimum Requirements

Bachelor’s degree.

2 - 3 years of relevant experience.

Highly adept in Microsoft Excel, Access and Word.

Prior auditing experience a plus.

Benefits

Complete medical, dental, vision and life insurance coverage, Flexible Spending Accounts and wellness programs.

401(k) with 5% employer match.

Paid holidays and generous paid time off.

Tuition Assistance Program that covers professional continuing education.

Bonus programs that include annual performance, sales goals and profit sharing.

Employee Perks

On-site cafe with executive chefs and seasonal dinner-to-go options.

First-class fitness center with complimentary personal trainers.

Over four miles of beautifully maintained walking trails.

About Uline

Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 locations, it's time you joined Uline.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.

EEO/AA Employer/Vet/Disabled

#ZR-OFF

#LI-JR1

#CORP

(#IN-PPOPS)

Our employees make the difference and we are committed to offering exceptional benefits and perks! Explore https://www.uline.jobs/#working-here_blankUline.jobs to learn more!",1980,Wholesale,$5 to $10 billion (USD),Retail & Wholesale,5001 to 10000 Employees,Company - Private,False
Business Systems Analyst (Must reside in Wisconsin or a neighboring state),"WB Manufacturing LLC
","Thorp, WI",$70K - $85K (Employer est.),3.7,"Job Description

* Must reside in Wisconsin or a neighboring state and be able to commute to Eastern & Western Wisconsin as needed throughout the year.

Duties:

- Collaborate with business stakeholders to gather and analyze requirements for business
systems and applications.
- Design, develop, and implement solutions to meet business needs using technologies
such as Kubernetes, Windows, and load balancing.
- Conduct system testing and debugging to ensure proper functionality and performance.
- Provide technical support and troubleshooting for business systems, including resolving
issues related to GPO (Group Policy Object).
- Perform threat intelligence analysis to identify potential security vulnerabilities and
recommend appropriate measures.
- Develop and maintain documentation for business systems, including user manuals and
technical specifications.
- Stay up-to-date with industry trends and best practices in business systems analysis.

Qualifications:

- Bachelor's degree in Computer Science, Information Systems, or a related field.
- Proven experience as a Business Systems Analyst or similar role.
- Strong knowledge of Agile methodologies and practices.
- Proficiency in system analysis, design, and development.
- Experience with RESTful APIs and web services.
- Familiarity with debugging techniques and tools.
- Knowledge of WDS (Windows Deployment Services) is a plus.
- Excellent problem-solving skills and attention to detail.
- Strong communication and interpersonal skills.

Note: This job description is not intended to be all-inclusive. Employee may perform other related duties as negotiated to meet the ongoing needs of the organization.

Job Type: Full-time

Pay: $70,000.00 - $85,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Vision insurance

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday
No nights
No weekends

Work Location: Hybrid remote in Thorp, WI 54771",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Private,True
Financial Analyst,"JOHNSON HEALTH TECH TRADING INC
","Cottage Grove, WI",$56K - $75K (Glassdoor est.),3.1,"Description:

OUR Mission: Delight and excite our customers through truly innovative products, unsurpassed quality, and best-in-class customer experience provided by a world class organization.

YOUR Opportunity: It’s time for you to take part in the growth happening during the most exciting time to be a part of this industry! At Johnson Health Tech, we are working to better ourselves through bettering the people who use our fitness equipment.

EVERYONE'S Advantage: “I continue to believe that exercise is medicine that everyone should take — especially in this era of COVID-19,” Robert E. Sallis, MD

Position Overview:

As a Business Analyst, you will work closely with the President of our retail division to facilitate assigned projects. Your key responsibilities will include acting as a liaison between users and developers, setting and communicating goals, and evaluating and refining results. By leveraging your analytical skills and ability to collaborate effectively with stakeholders, you will help ensure that our retail division operates efficiently and effectively. This is an excellent opportunity for someone who enjoys working with data, driving projects forward, and making a meaningful contribution to our organization.

Responsibilities:

Primary Responsibilities:

Collaborates with business staff to thoroughly understand the needs to be supported by the information systems and technology.
Develop and implement KPIs and metrics in the retail business in both qualitative and quantitative measurements.
Researches and analyzes the nature, effect, and results of system difficulties.
Produces reports, timelines, and graphics to communicate expectations and progress to management, customers, investors, and other relevant parties.
Maintains and ensures proper documentation and coordinates or performs testing of system modifications.
Compliance reporting
Develops and implements detailed specifications for SOP’s.
Acts as liaison with Information Technology and/or outside vendors to support relevant systems.
Provides recommendations regarding the evolution of the system.

Marginal Job Functions:

Other projects as needed.


#FINANCE5

Requirements:

Education:

Bachelor’s degree required with background preferably in Accounting or Finance

Experience:

Minimum 3 years’ experience in project management
Minimum 3 years’ experience as a Business Analyst

Other Requirements:

Must be proficient in MS Office Suite, specifically Excel.
Must be proficient in SharePoint.
Experience with Iridium, SAP and/or Microsoft Power BI preferred but not required

Benefits:

We offer an excellent compensation package and team-oriented work environment with growth opportunities. Some of our outstanding benefits include:

Health & Dental Insurance
Company paid Life Insurance
401(k)
Paid Time Off benefits
Product discounts
Wellness programs
Discover what it means to belong to a company recognized by Forbes, yet again, as one of the #WorldsBestEmployers of 2021!EOE/M/W/Vet/Disability",1975,Consumer Product Manufacturing,$100 to $500 million (USD),Manufacturing,501 to 1000 Employees,Company - Public,True
