Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Senior Data Analyst,"PCI Government Services
","Huntsville, AL",$85K (Employer est.),4.0,"As affiliates of the PCI Federal Services group of companies, PCI Government Services LLC has a passion for our team members and their personal mission for success. We offer excellent insurance, leave and developmental benefits along with some flexibility for remote work opportunities. Come join our organization and be part of an exciting team supporting our Federal, DoD and Private Sector customers.

Duties and Responsibilities

This position requires employees to be located in the Huntsville, AL area in order to report to work on-site at Redstone Arsenal. A relocation bonus will be provided for qualifying candidates.

Provide highly complex data mining, statistical analysis, trend analysis, and causal analysis.
Perform as a technical lead responsible for monitoring and providing monthly contract reports and deliverables.
Responsible for integrating multiple disciplines in an operations research team and translating applicable methods into language and application understandable by operational managers throughout the organization. T
Review and provide quality control methods on products.
Prepare and update training materials to ensure newly assigned personnel gain an understanding of key analytic tools, procedures, and methodologies used.
Take structured and unstructured data and distill the information into a cohesive analytical product for a contracting functional business area audience.
Support pattern analysis methods to formulate recommendations to operational managers based upon exploiting patterns in the past, current, and anticipated operational environment.

Qualifications

Must be located in the Huntsville, AL area.
Must have an active Secret Security Clearance. (Candidates with eligibility to obtain a Secret clearance will be considered)
8 plus years in a technical field
BA/BS required
BS in computer science, engineering, applied mathematics, statistics, or a related field preferred.
Have experience advising senior DoD decision makers on methodologies, results, and conclusions from applied operations research. The primary tools used for research services include, but are not limited to, Logistics Management Program, Vantage, Virtual Contracting Enterprise, General Fund Enterprise Business System (GFEBS), SAP Business Objects/Web Intelligence Reports, Microsoft SharePoint, Army-specific contract writing systems (Procurement Desktop Defense (PD2) and Procurement Automated Data and Document System (PADDS)), and various Government and Commercial business process automation systems.
Personnel should have strong data manipulation and problem-solving skills.
Must have strong technical skills in areas such as statistics, programming languages like R or Python, SQL (Structured Query Language), data visualization, and data cleaning and preparation
Have good communication skills and problem-solving ability .

Physical Requirements

The physical demands described herein are representative of those which may need to be met by an employee to successfully perform the essential functions of the job. Employees must possess the ability to work in an office environment.

If required, employees must be able to operate a motor vehicle which may require sitting for prolonged periods of time to visit other company sites. Must have hearing and speech to communicate in person, before groups and over the telephone. Standing in work areas and walking between work areas may be required. This position may require an employee to bend, stoop, kneel, crouch, crawl, climb or balance, reach, push, and pull. The employee may also be required to lift and/or move up to 20 pounds.

PCI Government Services LLC (PCI-GS) is an equal opportunity employer. PCI-GS does not discriminate on the basis of age, sex, race, national origin, religion, marital status, sexual orientation or identity, Veterans or Disability status. Preference may be extended to qualified Native American Indian candidates in accordance with applicable federal law.

Job Type: Full-time

Pay: From $85,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Vision insurance

Experience level:

8 years

Schedule:

Monday to Friday

Application Question(s):

Do you have strong technical skills in areas such as statistics, programming languages like R or Python, SQL (Structured Query Language), data visualization, and data cleaning and preparation?
Do you have experience advising senior DoD decision-makers on methodologies, results, and conclusions from applied operations research?

Education:

Bachelor's (Preferred)

Experience:

working in a technical field: 8 years (Preferred)

Security clearance:

Secret (Preferred)

Work Location: Hybrid remote in Huntsville, AL 35808",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Senior Data Analyst (Huntsville Alabama),"B&A
","Huntsville, AL",$80K - $121K (Glassdoor est.),4.1,"Senior Data Analyst Huntsville Alabama

At B&A, we foster and embrace a distinct set of values that we live by and instill in all aspects of our organization: dedication, commitment, partnership, trust, and recognition. We have incorporated these values into successful delivery for our customers since 1988. B&A believes in ensuring its employees feel deeply connected to B&A, recognizing successes and hard work, and providing continuous opportunities to learn and grow. Our people are entrepreneurial thinkers that combine mindset, vision, and experience to drive value – not only to us as an organization, but to the clients we support. We promote a collaborative culture with our clients, and with each other, as one team working towards a common vision. We’d love for you to join our team!

Job Summary
B&A is looking for a Senior Data Analyst to [join a contract with a federal government client in support of an important mission. In this role, you will have the opportunity to work with a great team while supporting…

This position requires employees to be located in the Huntsville, AL area in order to report to work on-site at Redstone Arsenal.

Responsibilities

Provide highly complex data mining, statistical analysis, trend analysis, and causal analysis.
Perform as a technical lead responsible for monitoring and providing monthly contract reports and deliverables.
Responsible for integrating multiple disciplines in an operations research team and translating applicable methods into language and application understandable by operational managers throughout the organization.
Review and provide quality control methods on products.
Prepare and update training materials to ensure newly assigned personnel gain an understanding of key analytic tools, procedures, and methodologies used.
Take structured and unstructured data and distill the information into a cohesive analytical product for a contracting functional business area audience.
Support pattern analysis methods to formulate recommendations to operational managers based upon exploiting patterns in the past, current, and anticipated operational environment.

Education and Experience

8 plus years in a technical field
BA/BS required

Required Skills

Have experience advising senior DoD decision makers on methodologies, results, and conclusions from applied operations research.
Have experience with the primary tools used for research services include, but are not limited to, Logistics Management Program, Vantage, Virtual Contracting Enterprise, General Fund Enterprise Business System (GFEBS), SAP Business Objects/Web Intelligence Reports, Microsoft SharePoint, Army-specific contract writing systems (Procurement Desktop Defense (PD2) and Procurement Automated Data and Document System (PADDS)), and various Government and Commercial business process automation systems.
Personnel should have strong data manipulation and problem-solving skills.
Must have strong technical skills in areas such as statistics, programming languages like R or Python, SQL (Structured Query Language), data visualization, and data cleaning and preparation.
Have good communication skills and problem-solving ability.

Security Clearance

Active Secret clearance is required.

More About B&A:
Notable Clients
B&A has grown to be a company that is trusted by our clients for exceptional service, innovative solutions, and inspired employees. Our service extends through federal, state, and local Government, the private sector, and higher education. Some of our notable clients include Department of Homeland Security, U.S. Customs and Border Protection, U.S. Senate, U.S. Courts, U.S. Census Bureau, U.S. Navy, and more.

Diversity, Equity, and Inclusion
B&A affirms its long-standing commitment to maintain a diverse workforce reflective of the communities in which it operates, strives to maintain a business culture that recognizes the contributions and interests of diverse cultural and social groups, and seeks to maximize employee efforts by understanding individual differences and perspectives.

Benefits and Programs
B&A is proud to offer full time employees a 100% premium paid medical plan option, which includes coverage for medical, prescription, dental, vision, life insurance, AD&D, disability, Teladoc, and accident insurance. In addition to these benefits, B&A employees enjoy paid time off, tuition assistance, B&A sponsored trainings and certifications, commuter transit benefits (SmartBenefits) for DC Metro full-time employees and a free subscription to a virtual exercise platform (NEOU).
B&A has launched several programs to focus on employee engagement, wellness, and assistance.

These include:

The B&A Cares program: on-staff registered counselor, 30/60/90-day wellness check ins, personal development, financial management, and stress management seminars, wellness challenges, and more
A formal mentorship program
Job shadowing and cross training opportunities
Brand Ambassador program
Lifeworks Employee Assistance Program (EAP): engagement through guided wellness and peer recognition. Access to various support resources to include counseling, legal guidance, financial planning, and more
Monthly virtual events
B&A Annual Wellness Challenge: #StepWithB&A, #WalkDuringLunchWithB&A, #VolunteeringWithB&A, and #ExerciseDuringLunchWithB&A, and more

At B&A, we place significant importance on improving the communities and lives of citizens across the nation through our involvement, technology expertise, and employees. B&A puts an emphasis on charitable efforts in the Northern Virginia area, including Capital Area Food Bank pantry drives, book donations, Hope for Henry Foundation events, and many more. In recognition of all these efforts, B&A has been named a Companies as Responsive Employers (CARE) award recipient by Northern Virginia Family Services and nominated by the Northern Virginia Chamber of Commerce for Outstanding Corporate Citizenship Award.

EEO
B&A provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. B&A complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities. This policy covers conduct occurring at B&A’s offices, and other workplaces (including client sites) and all other locations where B&A is providing services, and to all work-related activities.

EEO is the Law

Affirmative Action Plan
As a federal government contractor and based on Executive Orders and applicable laws and regulations, B&A develops and maintains annual written Affirmative Action Plans and endeavors to hire and advance qualified minorities, females, individuals with disabilities, and protected veterans.

B&A participates in e-Verify. We provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee’s I-9 Form to confirm work authorization.

Job Type: Full-time",1988,Information Technology Support Services,$25 to $100 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Data Analyst,"Holland Homes, LLC
","Auburn, AL",$55K - $70K (Employer est.),2.1,"Holland Homes is in search of someone who has experience in analytics and BI. This position is responsible for coordinating, gathering, querying, formatting, cleaning, analyzing, and interpreting data in efforts to help streamline and coordinate information across all departments of the company to communicate with one another, create analytics and reports company-wide that provides leadership to have up to date, accurate, and timely information.

*Job is not remote must live near or within driving distance of Auburn, AL*

Responsibilities include:

- Collecting data from single or multiple systems.

- Developing reports and analysis as well as dashboards and graphics.

- Helping drive the effort to collect and analyze metrics and continually improve processes using Microsoft Power BI

- Developing and maintaining data systems and reorganizing reporting systems

- Creating standard Microsoft Power BI reports that actively monitor the effectiveness of our business operations

- Working closely with the each department lead to prioritize focus areas of improvement for reporting and analytics within the organization

Preferred Skills:

- Bachelor's degree preferably with a dual focus on IT and business or related field is preferred

- MS PowerBI or similar cloud-based dashboard software

- Ability to multi-task effectively in a fast-paced environment

- Excellent problem-solving skills

- Strong communication and organizational skills

Holland Homes is an Equal Opportunity Employer. We do not discriminate against a job applicant or an employee due to race, color, religion, sex, transgender status, sexual orientation, national origin, age, disability or genetic information.

Job Type: Full-time

Pay: $55,000.00 - $70,000.00 per year

Schedule:

Monday to Friday

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Data Analyst,"Pathway Healthcare, LLC
","Birmingham, AL",$52K - $80K (Glassdoor est.),3.3,"Pathway Healthcare is an employee focused company that prides itself on patient care. We value our team members and want our team members to experience a positive culture where they feel valued. Our team members have access to health benefits, including Teledoc that is free to all full-time employees, as well as PTO, and paid holidays. If you want to be a part of a team where you will be valued and have opportunity to grow, then send us your resume!

POSITION ROLE

The Data Analyst's role in Pathway Healthcare's mission TO HELP PEOPLE is to support and improve Pathway's clinical, financial, and operational reporting capabilities. Data analyses, reports, and presentations will be used to guide strategic actions based on organizational mission, goals, opportunities, and priorities.

POSITION ROLE FULFILLMENT


Utilizes SQL programming to extract data from a cloud-hosted database and creates reports, dashboards, and presentations using data analytics tools (e.g., R Studio, Tableau, Power BI) in support of strategic goals, operational optimization, clinical outcomes reporting, performance improvement initiatives, and quality/compliance auditing.
Provides data and reporting support and assistance across multiple organizational functions (e.g., operations, clinical quality, financial, business development).
Maintains work plan of reports and dashboards to run and distribute at regular intervals: daily, weekly, monthly, quarterly, or yearly. Ensures data is continuously pulled and analyzed in accordance with annual performance improvement plan and organizational priorities.
Collaborates with Director of Quality Control, Director of Data & Integration, and Operations Manager to identify opportunities for optimization and improvements in reporting capabilities and data quality. Assists in development and implementation of new reporting tools as needed.
Performs other duties as assigned
QUALIFICATIONS & EDUCATION REQUIREMENTS


Proficiency in SQL Programming and report development. Experience in eClinicalWorks and IBM Cognos Reporting required.
Working knowledge and experience with tools for data analytics, reporting, business intelligence, and dashboard development (e.g., R Studio, Tableau, Power BI). Experience with Power BI required.
Experience working with medical, lab, and other health data preferred. Must adhere to HIPAA guidelines and all applicable state and federal laws.
Ability to work independently and a high level of attention to detail required.",-1,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,Unknown,Company - Private,True
Clinical Data Analyst,"Children's of Alabama
","Birmingham, AL",$53K - $76K (Glassdoor est.),4.1,"Job Summary
Responsible for providing support to the Performance Improvement Department with statistical analysis of performance improvement data using quality control tools. Identifies trends and other relationships among data. Develops report specifications and collaborate with clinical report writers on data extraction and new requests. An ability to translate other types of data into easily understood formats. Ability to present a summary of quality data for use by the medical staff, administration, and departments in performance improvement.
Education
Bachelor's degree in Health Information Management, Healthcare Administration or other healthcare related field required.
Master's degree in Healthcare Administration, Public Health, or Business Analytics preferred
Experience
2 years experience in healthcare data management and/or quality improvement
Licensures, Certifications, and/or Registries

Location: Children's of Alabama · Quality and Patient Safety
Schedule: Full-time, Day shift, 8-4:30",1911,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,5001 to 10000 Employees,Hospital,False
Business Operations Analyst,"Auburn University
","Auburn, AL",$45K - $93K (Employer est.),4.3,"Position Details
Position Information

Requisition Number
S3169P


Home Org Name
Strategic Business Operations


Division Name
AVP, Budgets & Business Operations


Position Title
Business Operations Analyst


Job Class Code
KC18


Appointment Status
Full-time


Part-time FTE


Limited Term
No


Limited Term Length


Job Summary
Auburn University seeks a driven Business Operations Analyst to improve operational efficiency across various campus divisions and departments! Reporting to the Director of Strategic Business Operations, the Business Operations Analyst collaborates with key stakeholders to understand and analyze the unit’s internal processes. This individual is responsible for data mining and collection, creating action plans, and providing recommendations on process improvements that lead to cost savings, revenue generation, and improved operational efficiency.

Why should YOU consider a career as a Business Ops Analyst with Auburn?
Fulfilling role that impacts all divisions of Auburn University!
Auburn University was named by Forbes Magazine as one of the state of Alabama’s best employers, with employees staying an average of ten years!
Competitive employee benefits + state retirement plan.
Tuition assistance for you and your dependents.
Generous leave policies (including paid parental leave!)
The satisfaction of knowing YOU are a part of providing the premier academic experience at Auburn and the life-changing work our students and employees perform.



It’s a Lifestyle: The Auburn/Opelika area is a page right out of Southern Living magazine with an idyllic small-town feel, perfecting a unique balance between a close-knit community and driving consistent growth and development. Paralleling the exponential growth of Auburn University, the Auburn/Opelika area boasts services and amenities that cater to any interest. We’re proud of our top school systems, city services, award-winning restaurants, and the infectious spirit of life in a college town. You can find us nestled halfway between the beach and the mountains in a lower-cost-of-living area, two hours outside of Atlanta or Birmingham. If you’re new to Auburn, we’d love to introduce you. If you’re already acquainted with Auburn, we’ll keep it simple: it’s time to come home!

Our Commitment: Auburn University is committed to a diverse and inclusive campus environment. Visit auburn.edu/inclusion to learn more about our commitment to expanding equity and inclusion for all.


Essential Functions
Conducts an analysis of the unit’s internal procedures and systems to provide strategic recommendations and expert advice on process improvement opportunities. Provides recommendations that lead to significant cost savings, generating more revenue, and enhancing overall operational efficiency within the unit. works collaboratively with key stakeholders to identify areas for improvement, assess current practices, and develop customized solutions that align with the unit’s unique needs and goals. Provides ongoing consultation and support to ensure that the recommended improvements are successfully implemented and yield measurable results.
Works directly with the Director of Strategic Business Operations university-wide and collaboratively with relevant stakeholders within respective departments, including the Chief Procurement Officer, to recognize, design, and implement process improvements, identifying objectives, strategies, and tactics.
Analyzes data to identify areas of opportunity for process improvement, focusing on cost savings, revenue generation, spend patterns, and increased efficiencies. Mines, compiles, and analyzes relevant data related to the operation of divisions within Auburn University, including Business and Finance.
Designs standard and customized reports to provide an overview of operational, business, and financial data for stakeholders and leadership yielding of actionable data. Works closely with stakeholders across the university to ensure the collection and use of data are tailored to meet the unique operational needs of each division. Provides support and feedback on business reports to ensure that data is used effectively.
Assists in the creation of operational metrics and key performance indicators, using such standards to assist stakeholders in managing business operations to achieve best practices.
Provides expertise to educate and advise stakeholders and leadership on issues related to data collection, data maintenance, analytical methodology and use of results. Communicates with stakeholders, suppliers, business partners, professional organizations, and others to stay abreast of industry or business trends.


Minimum Qualifications

Minimum Qualifications
Degree in Business, Accounting, Finance, Statistics, Information Systems or related field.

Level I: Bachelor’s degree

Level II: Bachelor’s degree plus 2 years of experience in business analysis or consulting to include design, reporting and analysis, and change management.

Level III: Bachelor’s degree plus 4 years of experience in business analysis or consulting to include design, reporting and analysis, and change management.


Minimum Skills, License, and Certifications

Minimum Skills and Abilities
Ability to analyze, organize and prioritize work while meeting multiple deadlines.
Knowledge of financial, accounting, and basic business principles and practices.
Knowledge of statistical analysis methods.
Understanding of the business environment of a large university system including its policies, and its operating procedures.
Knowledge of business systems analysis and current technological developments and trends.
Current knowledge of relevant state-of-the-art technology, equipment, and/or systems.
Intermediate knowledge of agile methodologies with a detailed focus on deployment and integration.


Minimum Technology Skills


Minimum License and Certifications


Desired Qualifications

Desired Qualifications


Posting Detail Information

Salary Range
$45,000-$93,200


Job Category
Business/Accounting/Finance


Working Hours if Non-Traditional


City position is located in:
Auburn


State position is located:
Alabama


List any hazardous conditions or physical demands required by this position
See full job description


Posting Date
11/06/2023


Closing Date


EEO Statement
Auburn University is committed to an inclusive and diverse campus environment. Women, underrepresented groups, individuals with disabilities and veterans are encouraged to apply.

AUBURN UNIVERSITY IS AN AFFIRMATIVE ACTION/EQUAL OPPORTUNITY EMPLOYER. It is our policy to provide equal employment opportunities for all individuals without regard to race, sex, religion, color, national origin, age, disability, protected veteran status, genetic information, sexual orientation, gender identity, or any other classification protected by applicable law.",1885,Colleges & Universities,$500 million to $1 billion (USD),Education,5001 to 10000 Employees,College / University,False
Business Analyst,"Blue Cross Blue Shield of Arizona
","Townley, AL",$57K - $83K (Glassdoor est.),3.6,"Awarded a Healthiest Employer, Blue Cross Blue Shield of Arizona aims to fulfill its mission to inspire health and make it easy. BCBSAZ offers a variety of health insurance products and services to meet the diverse needs of individuals, families, and small and large businesses as well as providing information and tools to help individuals make better health decisions.
This remote work opportunity requires residency, and work to be performed, within the State of Arizona
PURPOSE OF THE JOB
On behalf of internal and external customers, gather and document business requirements, provide research and analysis related to project deliverables or production (break/fix) issues, conduct user acceptance testing (UAT), and act as a liaison between business customers, external customers, project teams and IT.
REQUIRED QUALIFICATIONS
Required Work Experience
2 years of experience in healthcare or insurance field with emphasis on Business Analysis including Healthcare EDI (levels 2 – 4)
2 years of experience in a role with demonstrated ability to communicate with diverse groups of people inside and outside of the business (levels 2 – 4)
2 years of experience triaging complex issues from member and/or providers or experience as a ICS Triage Analyst. (lev 1)
Required Education
High-School Diploma or GED in general field of study (All Levels)
Required Licenses
N/A
Required Certifications
N/A
PREFERRED QUALIFICATIONS
Preferred Work Experience (All levels)
5 years of experience in healthcare or insurance field with an emphasis on Business Analysis including Healthcare EDI
5 years of experience in a role with a demonstrated ability to communicate with diverse groups of people inside and outside the business
1 year testing experience
1 year of experience in project management
Preferred Education
Bachelor’s Degree in Computer Science, Information Systems, Business, or related field (All levels)
Preferred Licenses
N/A
Preferred Certifications
Business Analyst Certification (All levels)

ESSENTIAL JOB FUNCTIONS AND RESPONSIBILITIES
Required Job Skills (Applies to All Levels)
Strong analytical skills to support independent and effective decisions based on customer input and research
Strong problem-solving skills
Strong time management skills
Basic skills with core MS products: Word, Excel, IE, Outlook, Visio, PowerPoint
Basic skills with query tools
Strong understanding of file handling and data translation
Excellent verbal and written communication skills and the ability to interact professionally and maintain positive working relationships with a diverse group
Required Professional Competencies (Applies to All Levels)
Prioritize tasks and work mulitple priorities, sometimes under strict time constraints
Ability to build synergy with a diverse team in an ever-changing environment
Ability to exercise independent judgment and demonstrate creative problem solving techniques
Anticipates downstream impacts and factors in those considerations appropriately
Perseverance in the face of resistance or setbacks
Required Leadership Experience and Competencies
Support priorities and direction of corporate leadership
Ability to apply sound management decision making skills to perform effectively in the absence of management
Effectively deal with conflict
Ability to present concepts effectively to varying levels of staff (Applies to Levels 2 - 4)
PREFERRED COMPETENCIES
Preferred Job Skills (Applies to All Levels)
Demonstrates an advanced knowledge of and experience with the development of business requirements, user acceptance testing and their supporting toolsets.
Familiar with HIPAA compliance validation tools such as EDISM, Specbuilder or ClarEDI.
Familiar with claims and customer service processes
Experience with web portal business user support and change management activities
Formal business analyst training
Preferred Professional Competencies (Applies to All Levels)
Driven to identify solutions to meet customer needs.
Ability to work with ambiguous and conflicting information while keeping focused on the end goal.
Performs public speaking presentations within the industry
Preferred Leadership Experience and Competencies
N/A
Our Commitment
BCBSAZ does not discriminate in hiring or employment on the basis of race, ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status or any other protected group.
Thank you for your interest in Blue Cross Blue Shield of Arizona. For more information on our company, see azblue.com. If interested in this position, please apply.",1939,Insurance Carriers,Unknown / Non-Applicable,Insurance,1001 to 5000 Employees,Nonprofit Organization,False
Data Analyst & Systems Integrator,"Creature
","Birmingham, AL",$71K - $105K (Glassdoor est.),3.9,"Company Description:

Creature is on a journey to create an alternative delivery platform to the traditional Architect, Engineering, Construction Industry (AEC). Creature has integrated Design, Construction, Plumbing, and HVAC components to support the Design, Manufacture, Construct (DMC) delivery platform. We are currently focused on scaling our offering across the country in the healthcare market utilizing volumetric premanufactured modules.


Job Description:

This essential role focuses on developing and maintaining an integrated operating system, which is vital for streamlining construction project workflows. The ideal candidate will be instrumental in setting up a robust database infrastructure, ensuring seamless data flow and interconnectivity. This position plays a key role in visualizing and actualizing Creature's construction vision through advanced data management and analytics.


Responsibilities



Database Setup and Management:
Design and establish a database structure that supports integrated, efficient data flow across various systems.
Implement best practices in database management, ensuring data integrity, accessibility, and security.
System Integration and Development:
Collaborate in the development of an integrated operating system for streamlined project management in the construction sector.
Work closely with IT and operations teams to align the system with business needs, ensuring scalability and user adaptability.
Data Analytics and Reporting:
Utilize PowerBI for creating insightful analytics and reporting solutions, integrating diverse data sources for comprehensive project insights.
Develop real-time analytics features in the operating system to aid in proactive decision-making.
Process Automation:
Identify and implement automation solutions within the system, aimed at improving efficiency in project creation and management processes.
User Training and Support:
Facilitate training sessions for users, ensuring they are adept at utilizing the new system.
Provide ongoing support and troubleshooting for system-related issues
Continuous Improvement:
Regularly evaluate and refine business processes embedded within the system.
Stay updated with the latest trends in data analytics and system integration to continually enhance the operating system.






Qualifications




Bachelor’s degree in Data Science, Information Technology, Computer Science, or related field.
Experience in data analysis, database management, and system integration.
Proficiency in PowerBI and knowledge of database technologies.
Familiarity with project management tools and methodologies is a plus.



Key Competencies




Analytical and Technical Skills: Strong ability in data analysis, database setup, and system integration.
Problem-Solving: Creative and effective problem-solving skills, with a focus on practical and innovative solutions.
Collaboration: Ability to work effectively across various teams and departments.
Communication Skills: Strong communication skills, capable of explaining complex systems in simple terms.",-1,Construction,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",Unknown,Company - Private,True
Data Analyst,"Oasys Inc.
","Huntsville, AL",$54K - $77K (Glassdoor est.),4.3,"Data Analyst

OASYS, INC., a Leading-Edge Government contractor in Huntsville Alabama, is seeking applicants for a Data Analyst to support our Army customer on Redstone Arsenal.

Job Responsibilities include: Data Analyst will utilize site maps, architecture documentation, and preform site assessments, document business and production processes to prepare workflow process documents to include Control Systems inventories and hardware and software list.

Minimum Requirements:

1+ years in data analytics or similar relevant experience
Willingness to travel 25%
Experience with Microsoft Office 365 (Excel, Word, PowerPoint)
Ability to interact effectively with individuals of different experience levels and backgrounds including government and external industry personnel

Required Education: Candidates should possess a bachelor's degree in Engineering, Computer Science, Math, or Physics however, experience may be substituted for a degree.

Eligibility: Candidates must have the ability to obtain and maintain a DoD Secret Clearance. An Active Secret Clearance is highly desired.

About OASYS, INC.: Located in Huntsville, Alabama, OASYS, INC. is a technology services and products company dedicated to delivering the right solutions to our government and commercial clients. Our innovative solutions combined with today's technology and our subject matter expertise help to provide full lifecycle support for our client's needs.

Benefits: OASYS, INC. offers a robust benefit plan to include: BC/BS of Alabama Heath & Dental, VSP Vision, Employee Stock Ownership Plan (ESOP), 401-K with Matching, Flexible Spending Account, Tuition Reimbursement, Holidays, Vacation, Short-term/Long-term Disability.

www.oasys-incorporated.com

EOE AA M/F/Vet/Disability Equal Employment Opportunity is the Law: http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,Unknown,Company - Private,True
Data Science Analyst - Revenue Cycle - Avondale,"UAB Medicine - UA Health Services Foundation (UAHSF)
","Birmingham, AL",$67K - $100K (Glassdoor est.),3.9,"Work Schedule: Full Time, Monday - Friday, 8am - 5pm
Work Location: Revenue Cycle Section at Avondale Business Center. This position is eligible to be Hybrid.

This role is part of the data science and analytics team within UAB Medicine's Revenue Cycle function, and uses data around patient care, payments, and other financial data to help improve the patient experience and UAB Medicine operations. This role will be part of an emerging data science function within UAB Medicine and may evolve as the team matures. This role will pioneer new approaches and technology for the organization, constantly looking for new ways to generate value, and adapting to meet the needs of internal stakeholders and initiatives. This role requires the ability to analyze data, draw patterns out of it, and use data for story-telling to executive audiences and internal partners. The role also requires a general knowledge of predictive modeling, ability to build statistical models using common data science languages like R or Python, and an eagerness to learn new techniques and tools. Along with these, the critical thinking necessary to understand new data sources and create effective, credible insights will be critical to the role.

Position Requirements:
EDUCATION AND EXPERIENCE:
Bachelor's Degree in a field related to data science & technology, and two (2) years' related experience. Work experience may NOT substitute for degree requirement.

TRAITS & SKILLS:
Must be self-directed / self-motivated; must have good communication and interpersonal skills. Must be able to: (1) perform a variety of duties often changing from one task to another of a different nature without loss of efficiency or composure; (2) accept responsibility for the direction, control and planning of an one’s own work; (3) work independently; (4) recognize the rights and responsibilities of patient confidentiality; (5) convey empathy and compassion to those experiencing pain, physical or emotional distress and/or grief; (6) relate to others in a manner which creates a sense of teamwork and cooperation; (7) communicate effectively with people from every socioeconomic, cultural and educational background; (8) exhibit flexibility and cope effectively in an ever-changing, fast-paced healthcare environment; (9) perform effectively when confronted with emergency, critical, unusual or dangerous situations; (10) demonstrate the quality work ethic of doing the right thing the right way; and (11) maintain a customer focus and strives to satisfy the customer's perceived needs.

UA Health Services Foundation (UAHSF) is proud to be an AA/EOE/M/F/Vet/Disabled employer.",1945,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,10000+ Employees,Hospital,False
