Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA),10 Points Inc,"West Hollywood, CA",$50.00 - $55.00 Per Hour (Employer est.),-1.0,"10 Points is urgently hiring for excellent and experienced Board-Certified Behavior Analyst for our school sites in West Hollywood, CA for 2023-24 school year. 25-30 hours per week positions. Interviews are currently being held.

Start Date: ASAP
Age groups: TK-1 grade
One-on-one position

Benefits of working with 10 Points:

Competitive Salary, Bi-Monthly Pay, Direct deposit, and Generous Paid Time Offs,
Teaching Certificate Renewal and Background Check Reimbursement,
Joining, Longevity, Completion, and Referral Bonus,
Relocation Assistance, Nationwide Opportunities, and many more!

Education and/or Experience:

Master's degree in Behavior Analysis, Psychology, Special Education or related field
2+ years of experience as a BCBA in school settings

Certificates and/or Licenses:

Active license as a BCBA in California

Essential Duties and Responsibilities:

Maintains good standing and certification status as a Board-Certified Behavior Analyst
Serves as a resource person for parents and staff
Assist teachers in designing appropriate instructional programs and environmental settings
Assists teachers in developing and planning individual modifications for students develops, conducts, or assists with professional learning sessions
Serves as a certified instructor for Nonviolent Crisis Intervention (CPI) and conducts trainings as needed
Conducts Functional Behavior Assessments, or assists in the development of Functional Behavior Assessments
Develops or assists in the development of Behavior Improvement Plans
Assists teachers in the development of systems to track and analyze data
Attends ARD meetings as needed
Conducts assigned duties in a manner that is professional, ethical and responsible
Keeps informed of, and complies with Federal, state, district regulations
Performs other duties as assigned

If you are a dedicated and experienced Board-Certified Behavior Analyst looking for an exciting opportunity to make a positive impact on students' lives, we would love to hear from you. Contact us today at (279) 499-2686 or samiah@10points.us to learn more about this position.

Job Types: Full-time, Contract

Pay: $50.00 - $55.00 per hour

Expected hours: 29.5 per week

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Referral program
Relocation assistance
Retirement plan
Vision insurance

Medical specialties:

Pediatrics

Schedule:

8 hour shift
Day shift
Monday to Friday
No nights

Supplemental pay types:

Bonus opportunities
Signing bonus

Education:

Master's (Required)

Experience:

BCBA in school settings: 2 years (Required)

License/Certification:

BCBA license in CA (Required)

Willingness to travel:

100% (Required)

Work Location: On the road",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Data Science and Analytics Operations Research Analyst – Sr. SME -4219,"Galapagos Federal Systems, LLC
","El Segundo, CA",$89K - $138K (Glassdoor est.),5.0,"Job Title: Data Science and Analytics Operations Research Analyst – Sr. SME- 4219

Job Location: Los Angeles, CA, 90245

Job Summary

Galapagos Federal Systems LLC is looking for an enthusiastic, well-qualified individual to fill the Senior Subject Matter Expert (SME) Operations Research Analyst position and to join our team of qualified, diverse individuals. The primary responsibility of this position is supporting SSC/SSIO, SSC/S5, and SSC/S8 leadership in the efforts written below.

The top candidate will promote a positive public image while interacting with government and contractor team personnel to provide guidance, leadership, and direction. The top candidate will be an expert in data science and advanced analytics, identify and resolve problems in a timely manner, while gathering and analyzing information skillfully to develop alternative solutions and provide guidance related to processes, policies, and oversees all tasks.

Skills / Experience Required

Assess mission/capability/enterprise system-of-system architectures and identify gaps/shortfalls/overages against warfighter requirements and resiliency and survivability shortfalls against known and predicted threats (natural and man-made) across the spectrum of conflict
Identify acquisition efficiency opportunities across NSS space enterprise enabling rapid integration of new capabilities to address changes in warfighter requirements and adversary capabilities
Develop prioritized capability investments based on operational requirements and risk tolerance
Recommend investment strategies based on operational priorities, risk acceptance, and available resources to inform Planning, Programming, Budgeting and Execution (PPBE) activities
Develop integrated capability and technology roadmaps to identify acquisition, operations, and sustainment shortfall.
Travel 10-20% is possible
Break down complex problems into defined efforts/needs to inform following actions (requirements development, risk assessment, investment strategy, etc.)
Understanding of Joint Warfighting across the spectrum of conflict and the interdependencies with National Security Space capabilities
Understanding of DoD requirements and acquisition processes
Clearly and concisely express positions (verbal and written) at multiple levels of government, to include senior level (SES, General Officer)
Understanding of doctrine, organization, training, materiel, leadership and education, personnel, facilities, and policy processes (DOTmLPF-P)

Education / Certifications

Bachelor's degree in a STEM related field
20+ years of DoD (or industry equivalent) experience across including positions at squadrons, wing/delta, MAJCOM, or Pentagon levels
Experience with multiple space capability areas (e.g., Missile Warning/Tracking; Space Domain Awareness; Command & Control/Battle Management & Control; Satellite Communications; Position, Navigation & Timing; Space Superiority; etc.)
Planning, Programming, Budgeting and Execution (PPBE) experience
Highly Desired - MA/MS in STEM or Strategic Studies
Highly Desired - Current Defense Acquisition University Requirements Management Certification Training (Level B or higher [or equivalent]) with 2+ years’ experience at MAJCOM, Pentagon or Joint Staff levels

Benefits

Employer paid medical insurance
Dental and vision insurance
401k
PTO
Tuition reimbursement

Security Clearance

Must be a U.S. Citizen. A high-level Department of Defense active security clearance may be required. Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to government information.

Physical Requirements

Work may involve sitting or standing for extended periods of time and typing and reading from a computer screen. The candidate must have enough mobility, including bending, reaching, and kneeling, to complete daily duties in a prompt and efficient manner and that may include lifting to thirty pounds, as necessary.

Company Summary

Headquartered in Hawaii, Galapagos Federal Systems, LLC is an SBA Certified Native Hawaiian Organization 8(a) Small Business specializing in global information technology and offering professional solutions in IT Design & Installation, Cybersecurity Engineering & Support, Application Integration & Development, Software & Hardware Engineering, Network & Systems Management, Information Systems Security, and Business Management Services.

Leveraging over 30 years of providing IT services to the federal & commercial market with projects found around the world, our team has innovative expertise in the development of a wide range of technological solutions. Galapagos Federal Systems, LLC is an equal opportunity employer.

Our service commitment is simple - ""Quality IT Solutions... On Time & On Budget.""

Company Employment Statement

Galapagos Federal Systems, LLC reserves the right to change or modify job duties and assignments at any time. The above job description is not all encompassing as positions, functions, and qualifications may vary depending on business needs. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Galapagos Federal Systems, LLC is an equal opportunity employer and does not discriminate against applicants based on race, color, creed, religion, medical condition, legally protected genetic information, national origin, sex (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity and expression, age, disability, or Vietnam era, or other eligible veteran status or legally protected characteristics.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Tuition reimbursement
Vision insurance

Education:

Bachelor's (Required)

Experience:

DoD: 10 years (Required)

Security clearance:

Top Secret (Required)

Willingness to travel:

25% (Required)

Work Location: In person",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,Unknown,Company - Private,True
Business Analyst,"Mathnasium Learning Centers
","Los Angeles, CA",,4.1,"Position Description:

The Business Analyst is a driven, passionate learner, intensely curious, and technical individual who will support key data needs and support cross-functional analytical initiatives
The role is full-time, hybrid with the expectation of a minimum of 3 days in the office per week wide business 2 days remote.

Key Tasks and Responsibilities:

Analytic review of business opportunities, strategic levers, and go-to-market initiatives
Creating detailed analyses, dynamic visualizations, and improving company-widebusiness intelligence & dashboarding capabilities
Reporting business and operating results, providing context to key stakeholders to drivestrategic review and action planning
Ad hoc projects around all business functions (e.g. franchise development, marketing,fdrive strategicbusinessield operations, finance, education) Examples of Key Projects/Goals:

Pull data and perform detailed analyses on key operating metrics from AWS Redshift Data Warehouse using PostgreSQL and Python
Further develop features in current Business Intelligence initiatives such as benchmarks, dynamic filters, visualizations, and performance enhancements
Develop analyses on fundamental performance drivers using SQL, Python, & Excel and present findings to key stakeholders

Required Skills:

Minimum Bachelor’s degree in a quantitative or business-related field (economics, statistics, finance, etc.), Masters preferred
This position requires relevant experience in financial or business data analysis, with foundational knowledge in data extraction, analytics, and reporting1

Proficiency in the following: Python, Excel
Mastery of SQL (PostgreSQL experience preferred)
Prior use of BI or visualization software such as AWS QuickSight, Tableau,MicroStrategy
Advanced data analysis capabilities
Understanding of basic and advanced statistical principles

Preferred Skills:

Experience in private equity, investment banking, credit banking, or management consultant roles
Experience in multi-unit operating environments (retail, service operations, restaurants, etc.) with franchise experience as a plus
Ability to demonstrate deep expertise in data analysis, data visualization, and corporate finance
Experience with cohort analysis, LTV calculations, pro forma scenario modeling, and project valuation
In the process of obtaining or having obtained an advanced degree in a quantitative or business-related field (economics, statistics, finance, etc.)Core Competencies:
Strong presentation, written, and verbal communication skills, leveraging relational database querying and data analysis technical competencies
Collaborative work style with strong interpersonal abilities for working cross-functionally across teams
Ability to analyze information, simplify complex problems, and explore potential solutions
Ability to effectively handle multiple projects simultaneously
Self-motivated with a growth mentality and desire to build best-in-class processes andorganizations
A high degree of attention to detail and quality

Job Type: Full-time

Pay: $125,000.00 - $150,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Dependent health insurance coverage
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Prescription drug insurance
Professional development assistance

Compensation package:

Yearly pay

Experience level:

2 years
3 years

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in Los Angeles, CA 90056",2002,Education & Training Services,Unknown / Non-Applicable,Education,1001 to 5000 Employees,Company - Private,True
Data Analyst (Part-time),"Vision y Compromiso
","Los Angeles, CA",$30.36 Per Hour (Employer est.),5.0,"Title: Data Analyst
Starting Wage: $30.36 per hour
Reports to: Administrative Program Manager
Location: Los Angeles, in person
FLSA Status: Non-Exempt
Position Status: Regular, Part-Time (up to 20 hours per week)
Revision Date: September 2023

ABOUT VISIÓN Y COMPROMISO

Established in 2000, Vision y Compromiso is a nationally respected organization committed to community well-being by supporting promotores and community health workers. The organization provides comprehensive culturally- and linguistically – relevant training, workforce development, leadership opportunities, advocacy, and support to thousands of promotores and community health workers. Highly trained community experts and trusted members of their communities, promotores are characterized by servicio de corazon (service from the heart). Our vision: Hacia una vida y sana (towards a healthy and dignified life) reflects enhancing promotores capacity to educate, empower and advocate for community change to improve their communities so that all families may know a better way of life.

POSITION SUMMARY

Under the general supervision of the Administrative Program Manager the Data Analyst is responsible for the oversight of all aspects of data management for the assigned program(s) including data collection and cleaning, survey/questionnaire design, program outcomes tracking, reporting outcomes as well as other aspects of the evaluation process to ensure that the program evaluation process meets projected goals, remains in compliance with contract regulations, and occurs in a timely manner.

ESSENTIAL DUTIES & RESPONSIBILITIES

Collaborates with the Program Manager and Administrative Program Manager to create a data collection plan for the program; oversees the agreed plan.
Tracks and manages all program assessments.
Plans and implements the program(s) evaluation plan to meet the requirements for eligibility and compliance with the program contract.
Monitors and completes all regular reporting requirements for the program; liaises with the sponsoring entity on all data and evaluation matters.
Meets with the project management team as necessary to remain clear and up to date on implementation, deliverables, and programmatic status.
Represents Visión y Compromiso (VyC) at meetings or training with the sponsoring entity, as requested by the Administrative Program Manager.
Maintains consistent and constant communication with the Administrative Program Manager regarding all pertinent activities assigned.

Other duties may be assigned. The duties listed here are typical examples of the work performed; not all duties assigned are included, nor is it expected that all similar positions will be assigned every duty.

CORE COMPETENCIES

Demonstrated ability to think broadly to plan and problem solve strategically while considering the nuances of the work.
Understanding of the promotores model or other community lead models and its role in creating health equity in communities in California, nationally and internationally.
Data analysis skills including data collection and cleaning, survey/questionnaire design, program outcomes tracking, reporting outcomes.
Demonstrated verbal and written communication, presentation, and interpersonal skills.
Attention to detail, organizational abilities, and establishment of priorities.

SUPERVISORY RESPONSIBILITIES

This position has no supervisory responsibilities.

MINIMUM QUALIFICATIONS

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

EDUCATION

Bachelor’s Degree (B.A/B.S) from an accredited four-year institution, preferably in Public Health, Public Policy, Epidemiology, Public Health Statistics, Public Health Microbiology or Communicable Disease Control or a related field or five (5) years of experience managing data or evaluation of grant-funded public health social service and/or similar programs.

EXPERIENCE

● A minimum of three (3) years’ experience evaluating public health or social service programs in underserved communities.

● Must have experience providing oversight for all aspects of data management, assessment, and program evaluation (e.g., data collection and cleaning, survey/questionnaire design, program outcomes tracking, reporting outcomes), in underserved communities with a minimum of one (1) year evaluating community engagement programs.

CERTIFICATES, LICENSES AND REGISTRATIONS

Valid California Class C Driver License or the ability to utilize a reliable alternative method of transportation when needed to carry out job-related essential functions. Valid automobile liability insurance required if driving.

LANGUAGE SKILLS

Ability to read, analyze, and interpret general reports, procedures, or regulations. Ability to interpret and effectively organize program data to evaluate outcomes and complete both simple and complex reports. Ability to write business correspondence. Ability to effectively present information and respond to questions from individuals, groups, and the public. Because of the population served, the ability to read, write and speak in English and Spanish is highly desired.

COMPUTER SKILLS

Advanced skills in MS Office Suite (Word, Excel, PowerPoint, Outlook) and Internet Explorer or other widely used and supported Internet browsers as well as advanced skills in Google Suite. Adaptable to changing technology and experience working with data analysis software such as Tableau or similar.

TRAVEL REQUIREMENTS

Ability to travel locally as requested.

PREFERRED SKILLS AND QUALIFICATIONS

● Database and software management skills.
● Exceptional organizational, and time management skills
● Self-motivated and ability to work independently and as part of a team.
● Strong analytical and problem-solving skills.
● Excellent interpersonal and communication skills.
● Ability to establish and maintain effective and collaborative working relationships with co-workers, public officials, and the general public.
● Able to effectively work with overlapping projects and deadlines.
● Adaptable and reliable in the face of conflict, crisis, or changing priorities.

PHYSICAL DEMANDS
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The employee will sit, talk, hear, and use hands and fingers up to 3/4 of the time. The employee will stand and walk up to 1/4 of the time. The employee is routinely required to carry and/or lift up to 10 pounds.

WORK ENVIRONMENT

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The noise level in this work environment is typically quiet to moderate.

Job Type: Part-time

Pay: From $30.36 per hour

Benefits:

401(k)
401(k) matching
Paid holidays
Paid sick time
Paid time off

Compensation package:

Hourly pay

Experience level:

3 years

Schedule:

4 hour shift
Monday to Friday

Ability to commute/relocate:

Los Angeles, CA 90012: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Preferred)

Experience:

public health or social service program evaluation: 3 years (Preferred)
data management oversight: 2 years (Preferred)

Work Location: In person",-1,Grantmaking & Charitable Foundations,Unknown / Non-Applicable,Nonprofit & NGO,1 to 50 Employees,Nonprofit Organization,True
Business Analyst I,"Morgner Construction Management
","Los Angeles, CA",$59K - $78K (Employer est.),4.0,"Morgner Construction Management is looking for a Business Analyst I to work at the Los Angeles Community College District. Below is a list of duties, requirements, and experience:

Duties:

Assist Accounting Manager with analyses of ongoing financial activity for the Bond Program.
Prepare and/or review vendor files or other supporting documentation for vendor payments.
Conduct regular review and analysis of detailed transactions residing in the Bond program Accounting software (Deltek Costpoint).
Assist Accounting Manager in identifying errors and develop innovative approaches to minimize risk of repeat discrepancies.
Develop new reports to help provide transparency into Bond Program expenditures.
Review Bond Program invoices and process approved payables per accounting procedures.
Enter invoice payment requests into program accounting software.
Communicate with applicable construction and professional services vendors as needed.
Identify discrepancies or inconsistencies and resolve expeditiously.
Reconcile financial accounts.
Assist in processing of general contractor’s payment analysis.
Analyze monthly accounting reports in order to maintain expenditure controls.
Work directly with outside team members on cost and invoice commitments and expenditure matters.
Prepare and process journal entries.
Work effectively with other department personnel in order to resolve any invoice payment issues and obtain signatures of authorization on invoice matters.
Evaluate and ensure bond compliance in regards to payment requests.
Ability to work independently and in a team environment.
Ability to work in a fast-paced environment.
Good communication and presentation skills.

Minimum Requirements

3 years of accounting work experience.
Bachelor’s degree in business. Additional qualifying experience in excess to the minimum stated above may be substituted for the required education on a year for year basis.
Ability to work with business enterprise software.
Ability to perform historical trend analysis.
Ability to create and analyze reports.

Education:

Bachelor’s degree in business from a recognized college or university.

Job Type: Full-time

Pay: $59,295.00 - $78,095.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Ability to commute/relocate:

Los Angeles, CA: Reliably commute or planning to relocate before starting work (Required)

Experience:

Business analysis: 3 years (Preferred)
Accounting: 3 years (Preferred)

Work Location: In person",-1,Construction,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",Unknown,Company - Private,True
Business Analyst,"Eleven Recruiting and Consulting Services LLC
","El Segundo, CA",-1,5.0,"About Eleven Recruiting

We are a specialized technology staffing agency supporting professional and financial services companies. Why do we stand out in technology staffing? We listen and act as advisors for our candidates on how they can best add value, find interesting projects, and pave a path for career advancement. We advocate for best pay, diversity in tech, and best job-fit for every candidate we place.

And our client is seeking a talented Business Analyst to join their office in El Segundo, CA!

Responsibilities

Interface with business leads and functional SMEs, to identify and capture current state process flow and business requirements
Hands-on role in the creation and maintenance of critical project artifacts in particular; business requirements, system specifications, process flows and test/use case scripts
Work with project team to identify future state process flows and requirements to meet project objectives and strategic goals
Facilitate design review meetings and capture outcomes and update solution and requirement documentation
Organizes how information is presented to different audiences, presenting at a summary/executive level to illustrate the current health of deliverables being produced
Prepare and present analysis findings to senior stakeholders and steering committees
Support the design and decision-making process with IT and business subject matter experts
Ensure clear communication is maintained across the project team and externally to all stakeholders
Leads in planning, tracking, and evolving the project plan (timeline and deliverables) for components they have responsibility for

Qualifications

Undergraduate degree is required. Degrees in Computer Science, Mathematics, Finance or similar fields are preferred
4+ years business analysis experience
A great teammate and self-starter, who can work independently, prioritize deliverables efficiently and work on multiple initiatives.
Experience working across, and switching between, multiple projects concurrently
Experience mapping and designing operational workflow
Experience creating project artifacts for data driven initiatives i.e. data dictionaries, data flow diagrams and data validation requirements
Comfortable working with and analyzing large and complex data sets and the ability to distill and communicate findings
Strong teamwork, communication and time management abilities
Organizationally diligent and meticulous with details
Is personable, open, and engaging, with a customer-facing attitude

#IND789

Job Type: Contract

Pay: $350.00 - $475.00 per day

Experience level:

4 years

Work Location: Hybrid remote in El Segundo, CA 90245",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Company - Private,True
Business Analyst II,"KARL STORZ Endoscopy - America
","El Segundo, CA",$68K - $108K (Employer est.),3.4,"I. Job Purpose

The Business Analyst II will be primarily responsible for supporting the Finance & Accounting team with the development of data projects. These projects will improve efficiency, drive growth, and enable better business decisions throughout the F&A team.

This role reports directly to the Senior Manager of Data Analytics & Process Improvement and will have the opportunity to work on a combination of strategic and tactical projects. Successful candidates will have a genuine curiosity for problem solving, be able to work independently, and have a passion for continuous improvement.

II. Job Duties

(20%) Increase efficiency of existing processes and reports through automation or other optimization methods.
(20%) Partner with IT team to define rules and test data sources to be used in creation of data models.
(20%) Create logical and physical data models in Tableau using combination of relationships, joins, and unions.
(40%) Translate business requirements into working dashboards using Tableau Desktop.

III. Minimum Knowledge, Education and Skill Requirements

Required

Minimum years of relevant work experience: 3+ years of applicable experience as a Data Analyst or similar role

Minimum education, certifications and/or credentials: B achelor's degree in Computer Science, Engineering, Finance, Accounting, Mathematics, Statistics, related technical field, or equivalent work experience.

Preferred



Portfolio of dashboard examples a plus (such as Tableau Public or other online platforms)
Experience with Robotic Process Automation (RPA) tools such as UiPath or Microsoft Power Automate a plus
Experience with Tableau Prep Builder a plus



Your Benefits

Medical / Dental / Vision including a state-of-the-art wellness program and pet insurance, too!*
3 weeks vacation, 11 holidays plus paid sick time*
Up to 8 weeks of 100% paid company parental leave**
401(k) retirement savings plan providing a match of 60% of the employee's first 6% contribution (up to IRS limits)
Section 125 Flexible Spending Accounts
Life, STD, LTD & LTC Insurance
We prepay your tuition up to $5,250 per year! - Tuition pre-imbursement
Fitness reimbursement of up to $200 annually
Employee referral program of up to $2,000 per hire
And much more!


Field sales, internships, and part-time employees are not eligible except where required by state law.
Non-employees, including temporary workers and consultants, are not eligible to participate in the KARL STORZ benefits program.
**To include, maternal/paternal leave, adoption, and fostering of a child.

KARL STORZ reserves the right to change or modify the employee's job description whether orally or in writing, at any time during the employment relationship. Additionally, KARL STORZ, through its supervisors, may require an employee to perform duties outside their normal description within the sole discretion of the supervisor. Employees must comply will all applicable KARL STORZ policies and procedures.

Credentialing requirements at KARL STORZ

KARL STORZ is committed to maintaining a safe work environment for our employees and customers. Most field-based roles at KARL STORZ require hospital credentialing/health screens as a condition of employment. Credentialing can include required vaccinations, health screens & other requirements as outlined by our customers. During the interview process, we encourage you to ask how credentialing/health screens may impact the role you are seeking and if you require any reasonable accommodations regarding these requirements.

Pay Transparency

The pay range and/or hourly pay rate listed is a good faith determination of potential base compensation that may be offered to a successful applicant for this position at the time of this job posting and may be modified in the future. When determining a specific team member's base salary and/or hourly pay rate, several factors will be considered including such things as location, specialty, service line, years of relevant experience, education, professional credentials, internal equity, and the amount budgeted for the role.

Equal Employment Opportunity & Reasonable Accommodation Statement

KARL STORZ is committed to creating an inclusive space where employees are valued for their skills and unique experiences. To achieve this goal, we are committed to diverse voices, and all applicants will receive consideration without regard to race, color, sex, national origin, disability, veteran status, or any other protected characteristic. KARL STORZ is also committed to providing reasonable accommodations during our recruitment process. Should you need assistance or accommodation please email us at taoperations@karlstorz.com.

Get in Contact

Name:

Contact Details:",1945,Health Care Products Manufacturing,Unknown / Non-Applicable,Manufacturing,1001 to 5000 Employees,Company - Private,False
Administrative Analyst - Nursing Analytics (Hybrid),"UCLA Health
","Los Angeles, CA",$31.03 - $65.90 Per Hour (Employer est.),3.9,"Description

Reporting to the Director of Nursing Analytics the Nursing Analytics Administrative Analyst is a self-directed and independent analyst who is also able to foster collaborative relationships across Nursing. Provides analytical and administrative support to the Department of Nursing, Nursing Business Systems, Nursing Administration, Unit Directors, and staff. Organizes and supports, monthly reporting requirements and special projects. Specific tasks include: * Collecting and entering data * Analyzing data into pivot tables and graphs, synthesizing nursing and hospital dashboards, and supporting performance improvement initiatives by developing reports in Excel, Word and PowerPoint for nurse and hospital leadership * Supporting the Nursing Analytics Team by coordinating meetings and providing meeting support (invites/agendas/minutes etc.) * Preparing reports in Excel, Word and PowerPoint as requested * Maintaining Nursing Analytics Website and providing easier access to resources for all inpatient staff. * Providing oversight and analytical support for, the Unit Practice Councils, facility level professional governance councils, and other nursing councils Salary Range: $31.03-$65.90 Hourly

Qualifications

We’re seeking a highly-skilled, self-motivated professional with: * Capability of functioning in the role of a data analyst * Excellent computer competency * Working knowledge of spreadsheets * Presentation development skills * Word processing skills * Strong critical thinking * Problem-solving skills * Excellent verbal and written communication skills * Pay close attention to details * Ability to work in teams * Ability to work independently * Ability to follow directions * Ability to manage multiple tasks within specified timeframes * Intermediate to advanced skill in MS Excel and MS Power Point Preferred: * Experience in acute health care setting * Experience with SPSS or Tableau * Degree in public health, healthcare administration, or related field with coursework in quantitative field",1919,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,5001 to 10000 Employees,Company - Public,False
FP&A Analyst,"UCLA Health
","Los Angeles, CA",$87K - $197K (Employer est.),3.9,"Description

Make a significant impact on a world-class health organization. Ensure the financial strength and health of a dynamic healthcare leader. Take your professional expertise to the next level. You can do all this and more at UCLA Health. As a key member of our Finance team, you will help manage the budgeting, financial planning, and operational finance for a $3 billion annual operating budget that includes three hospitals and over 600 cost centers. You will: * Develop long-range financial planning deliverables * Support capital-raising activities for large-scale multi-year projects * Coordinate with other departments on long-range financial planning topics * Develop polished, compelling, and highly visible finance presentation materials * Develop annual cost center budgets * Review and analyze monthly budget variance and trends * Identify opportunities to realign cost centers to budget * Analyze data for resource, expenditure, capital, and strategic planning requests and present results Salary Range: $86,900- $197,300/annually

Qualifications

We’re seeking a quality-focused, deadline-driven, self-motivated individual with: · Bachelor’s or Master’s degree in a business-related field or equivalent finance experience · Five or more years of experience in financial management · Two or more years of experience in an academic medical center, hospital system, or consulting firm specializing in the healthcare field · Knowledge of financial elements in health care delivery · Ability to influence, accomplish results, and integrate functions with business plans · Exceptional interpersonal, project management, analytical, and problem-solving skills · Expertise in process improvement · Ability to develop advanced data queries · Extensive experience preparing monthly, quarterly, and annual budgets, forecasts, and long-range plans · Understanding of large-scale integrated client-server/ERP/budgeting and planning financial systems · Experience with EPSI, Strata, Axiom, and Kauffman Hall budgeting system preferred UCLA Health is a world-renowned health system with four award-winning hospitals and more than 260 community clinics throughout Southern California, as well as the David Geffen School of Medicine. Through the efforts of our outstanding people, we have become Los Angeles’ trusted provider of exceptional, compassionate patient care. If you’re looking to experience greater challenge and fulfillment in your career, you can at UCLA Health.",1919,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,5001 to 10000 Employees,Company - Public,False
Junior Data Analyst,"Classic Concepts, Inc.
","Irwindale, CA",$50K - $55K (Employer est.),2.1,"Summary: Classic Home is seeking a Jr. data analyst who is responsible for collecting, cleaning, and analyzing data to drive insights and support business decisions. This role works closely with stakeholders across business units to understand data needs and ensure data integrity.

Responsibilities:

· Collect data from various sources including databases, NetSuite, web analytics, social media, surveys, etc.

· Use data cleansing and validation techniques to ensure data quality and accuracy

· Perform analysis of data using statistical techniques and tools (Excel, SQL, Python, etc.)

· Interpret results and trends from data analysis to identify opportunities and challenges

· Develop dashboards, visualizations, and reports to communicate insights from data analysis

· Make recommendations for process improvements, optimization, and business growth based on findings

· Work with CoE and IT teams to implement appropriate data management systems and infrastructure

· Stay current on the latest data technologies and analytical approaches

Requirements:

· Bachelor’s degree in statistics, mathematics, computer science or another quantitative field

· 2+ years experience as a data analyst, business analyst or related role

· Strong analytical and problem-solving skills

· Proficiency with data visualization and BI tools (Tableau, PowerBI)

· SQL and Python programming skills

· Strong math and statistical knowledge (regression, SQL, modeling)

· Ability to communicate technical insights to a non-technical audience

· Attention to detail and data accuracy/integrity

· Strong administrative skills, ability to prioritize, delegate, and meet deadlines.

· Comfortable in a fast-paced, dynamic environment.

· Problem-solving mindset with strict attention to detail.

· Strong written and verbal communication skills

Job Type: Full-time

Pay: $50,000.00 - $55,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Life insurance
Retirement plan

Experience level:

1 year
2 years
Under 1 year

Schedule:

8 hour shift
Monday to Friday

Work Location: In person",1990,Home Furniture & Housewares Stores,$100 to $500 million (USD),Retail & Wholesale,51 to 200 Employees,Company - Private,True
