Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Casino Compliance Analyst,"Bay 101
","San Jose, CA",$22.00 - $26.00 Per Hour (Employer est.),4.3,"Full Time, Flexible scheduling / Hours

Filter, review and analyze data from multiple departments such as: Cage, Accounting, Countroom, Table Games, and more.
Generate reports and identifies patterns in customer transactions.
Maintain report logs and record tracking data.
Creates and performs sample audits to inspect operations.
Review and evaluate the FinCEN and BSA e-filings (FinCEN, BSA/AML knowledge is preferred).
Perform follow up reports and audit findings with Compliance Manager and Senior Analyst.
Conduct Title 31 training for new hires and / or refresher courses for employees.
Research and carry out projects that follow local, state, and federal regulations, laws, and / or ordinances.
Advise and prepare reports for internal controls.
Work closely with other departments to develop or revise procedures to ensure adherence to regulatory compliance.
Ability to take on special projects as needed.
Must have ability to work in strict confidence.
Excellent reading, writing, and verbal communication in English.
Computer literacy and ability to use: Microsoft Word, Excel, Power Point, and email.

As a qualified candidate you must:

Be 21 years or older
Obtain a work permit from the City of San Jose Police Department
Work Various shifts, as needed
Lift up to 40 lbs
Adhere to Bay 101 Policies and Procedures
Authorized to work in the US

The above statements are intended to describe the general nature and level of work being performed in this position. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of the position.

Bay 101 ensures your safety during COVID-19. Bay 101 provides PPE for staff to include: masks, gloves, face shields, and sanitizer at every table.

Compensation and Benefits:

Compensation is $22.00+ hourly, DOE. Employee benefits are available for all qualifying full-time employees after 90 days including: paid time off, medical and dental insurance, and 401K benefits. As well as 25% off The Province restaurant!

You may also complete an application in person and see why Bay 101 Casino IS Silicon Valley’s Place to Play… and Work!

Bay 101 is an Equal Opportunity Employer.

Job Type: Full-time

Pay: $22.00 - $26.00 per hour

Benefits:

401(k)
Dental insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

San Jose, CA 95112: Reliably commute or planning to relocate before starting work (Preferred)

Work Location: In person",1994,Gambling,$25 to $100 million (USD),"Arts, Entertainment & Recreation",501 to 1000 Employees,Company - Private,True
Gaming Data Analyst,"ATR International, Inc.
","Cupertino, CA",$53.00 - $63.00 Per Hour (Employer est.),3.6,"Mobile Gaming Analyst

6 month contract

Hybrid in Cupertino, Ca (3 days onsite weekly)

Large client in IT industry

W2 Candidates Only

Job Description:

As the Content Strategy Analyst, your responsibilities will include:

Blend quantitative insights with qualitative research of games to draw actionable recommendations internally and externally
Analyze, collect, organize, and disseminate significant amount of information with attention to detail and accuracy

Potential Projects:

Priority Games (Immediately)

- Send weekly email

- Compile the data for monthly priority

Business Review (Early next year)

- FTUE review

Content Planning (Late next year)

- Collecting updates and slatting it based on the framework created

Live service

- evaluation summaries, documentation around entire process, reviewing live ops plans, studying best practices.

Other initiatives (Immediately)

- Analyze impact of featuring

- On-store attribution analysis

Requirements:

Key Qualifications

5+ years of relevant experience across product management, business intelligence, strategy, and management consulting, ideally prior work experience in the game industry
Deep knowledge of and passion for mobile games, and a hunger to help define the future of gaming
Self-motivated, driven individual who is comfortable working a fast-paced and dynamic environment
Proven ability to synthesize insights from data and industry sources and package those insights into persuasive, impactful proposals
Comfortable in managing KPIs for live and long term engagement for mobile games
Extraordinary quantitative skills with high proficiency in Excel (Tableau & SQL experience is a plus)

Years of Experience: 5+

Education/Certifications: Bachelor’s degree of a quantitative nature (Finance, Statistics, Economics, etc.), MBA or advance degree preferred

Disqualifiers: Has to be comfortable with numbers.

The ideal candidate is one who has been a top performer in his or her career with a consistent track record of accomplishment. The candidate should feel comfortable dealing with complex and ambiguous situations.

Required

EXCEL

MOBILE GAMES

PRODUCT MANAGEMENT

Job Type: Contract

Pay: $53.00 - $63.00 per hour

Benefits:

Dental insurance
Health insurance
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Cupertino, CA 95014: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

video gaming analytics/KPIs: 2 years (Required)
analytics/strategy: 5 years (Required)
SQL or Tableau: 1 year (Required)

Work Location: Hybrid remote in Cupertino, CA 95014",1988,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,1001 to 5000 Employees,Company - Private,True
Integration Analyst - Clinical Data,"TELUS International
","Mountain View, CA",,3.6,"Position Summary

The Clinical Data Integration Analyst (the “IA”) is responsible for using data tools to perform the tasks of mapping, harmonizing, and ‘enhancing’ data from a customer source system, such as the EMR. The IA collaborates with the client's technical staff to determine the best and most practical way to meet the data requirements of products. The IA works with partners to transform data and populate a production environment with the required specifications (e.g. FHIR standard).

The IA will be involved during the deployment phase with the primary workstream of mapping healthcare EHR data to standard HL7 FHIR schemas. Once the customer is live, IAs may spend 10-20% of their time performing maintenance activities on all deployed customer mappings. Maintenance activities can include changing or updating mapping logic based on user feedback, data quality issues, or new product requirements. The analyst may also need to perform

technical tasks related to managing changes in our data stream that result from client EMR upgrades.

Role Responsibilities:

Performing actual mapping tasks using SQL-based configuration and hierarchical, layered transformation of source schema to meet target output schema specifications as defined by HL7 FHIR and product specifications.
Leveraging knowledge of common EHR schemas and datasets to determine the optimal mapping logic and design for long-term viability and maintenance.
Strategizing with client IT personnel on the most practical methods to meet the data requirements for a given data source.
Analyzing samples of actual client data to evaluate data quality and availability. Understanding and documenting the client-side EHR workflow and its implications on the data we map from.
Performing comprehensive data validation and troubleshooting data issues through problem-solving with internal and external stakeholders.
Clearly documenting all assumptions and important steps during the mapping process and tracking the progress towards completion of the spec.
Providing ongoing feedback to product and engineering teams on internal tool development.
Training and onboarding clients and partners on mapping activities and workflows.

Role Requirements:

Bachelor’s degree in Healthcare Information Management Systems, Health Informatics, Information Technology, or any other relevant field.
Clinical experience (e.g., a Nurse Informaticist) as a plus
2- 4 years of significant experience with a SQL based query language and a strong understanding of relational databases as well as ETL related activities.
2-4 years of significant experience working with common data transformation tasks and strong familiarity with a data pipeline and data transfer mechanisms, particularly healthcare-specific methods (e.g. HL7v2, FHIR, Dicom, ETL)
Significant depth/experience in one or more EMRs (e.g. Epic Clarity, Cerner, Meditech) and comfort with common healthcare ontologies (ICD-10, LOINC, SNOMED, etc.)
Experience in health IT, ideally working in an interoperability-related role at a health system, EMR or vendor.

APPLY TODAY!

Send us your complete resume in English.

This describes the major duties, responsibilities, and authorities of this job, and is not intended to be a complete list of all tasks and functions. It should be understood, therefore, that incumbents may be asked to perform job-related duties beyond those explicitly described. It is also a standard description and therefore neither the percentage of time devoted to the various tasks nor can the required qualifications be guaranteed to match those of any given incumbent.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

TELUS International will never ask for any monetary deposit, credit card information, or bank account information to complete a job application. Our recruitment and sourcing teams only use email addresses that end with telusinternational.com or telusinternational.ai when emailing candidates. If you are unsure as to whether a job offer is legitimate or suspect that TELUS International's business name is being used for recruitment fraud, please report this immediately to our Talent Acquisition Team at TINA_TalentAcquisition@telusinternational.com.

Job Type: Full-time

Salary: $58.00 - $60.00 per hour

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Compensation package:

Hourly pay
Overtime pay

Experience level:

2 years

Schedule:

8 hour shift
Day shift
Monday to Friday
Overtime

Work Location: Hybrid remote in Mountain View, CA 94043",-1,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Information Technology,10000+ Employees,Company - Public,False
Data Analyst,"NimbleRx
","Redwood City, CA",$90K - $120K (Employer est.),3.6,"NimbleRx is a technology company that enables people to live their best lives by improving access to reliable, affordable healthcare. Our mission is to bring pharmacies into the future by building a convenient and easy-to-use service that supports pharmacists and empowers patients. We are a fast-growing, technology-first startup doing over $1 billion in GMV annually, and our team stays rooted in a patient-first mentality; we aim to bring all of our patients convenient access to reasonably-priced medications without ever needing to step foot in a pharmacy.

As a Data Analyst, you will act as a core driver for projects spanning across the business. Data is a key component to how every function operates, and as a resident data expert for your stakeholders, you will empower others to make data-driven decisions through excellent communication of analyses and insights.
You will:
Drive key business and product initiatives through actionable insights
Own data analysis and visualization in a core area of the business
Work with non-technical functions to leverage data for their goals
Design data structures (events, tables, etc) in collaboration with others working in data and engineering
Contribute to sustainable processes and practices for data usage across the company
Receive mentorship from other data analysts on the team, focused in your desired personal growth areas
What you bring:
Bachelor's Degree in business / economics, STEM (science, technology, engineering, mathematics / statistics), or similar fields
0-3 years of data analytics experience
Experience with SQL
Proficient in other languages/tools (i.e. R, Python, Excel, etc.)
Great communication and storytelling skills for both technical and nontechnical collaboration
A good foundation in prioritization
Nice to have: experience with Kibana/Elasticsearch
About you:
You feel a strong sense of ownership over your work
You have a bias for action and driving teams towards concrete goals
You value mentorship and seek to better your teammates and yourself
You have conviction in your decisions, but are ready and willing to listen to diverse perspectives
What's in it for you:
Compassionate and driven colleagues in a fun environment where success is celebrated
Rare opportunity to change an industry and lives of millions
We are reinventing healthcare / pharmacy - your (grand)parents and your (grand)children will understand and appreciate what you do
Medical / Dental / Vision / 401K package that fits your needs
Generous Vacation Policy - work hard and take time when you need it
11 Paid Holidays
$90,000 - $120,000 a year
At Nimble, we are dedicated to putting patients first and improving pharmacies across America. Join us on this exciting journey!

Diversity, inclusion and belonging at Nimble: Nimble is building a diverse and inclusive work environment where we learn from each other. We pride ourselves on being an equal opportunity employer and welcome people of diverse backgrounds, abilities and perspectives.",2015,Software Development,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,False
Data Analyst 3,"NextDeavor, Inc.
","San Jose, CA",$58.00 - $63.38 Per Hour (Employer est.),4.5,"Data Analyst 3
6+ Month W2 Contract
San Jose, CA, or Remote (PST time zone highly preferred)

Benefits You’ll Love:
NextDeavor offers health, vision and dental benefits for contract employees.
You’ll be eligible to receive Paid Sick Leave (Amount varies per state).
Own the opportunity to get your foot in the door at a well-established corporation, with the likelihood of extension or conversion to full time employment (NextDeavor’s conversion rate is approximately 70%!)

Here’s how you’ll make an impact on the team:

Partner with product and business teams to understand requirements and KPIs.
Support regular ad-hoc data querying and in-depth analyses to better understand customer behavior.
Build and manage dashboards for self-serve reporting.
Support teams in running growth programs and A/B tests through analyzing results and communicating insights.
Conduct exploratory data analysis to answer business questions that help inform decision-making.
Be a self-starter, and drive projects end-to-end.
Generate business insights and communicate results effectively to stakeholders.
Slice and dice data sets across various dimensions to generate meaningful reports, insights and diagnostics.

Here’s what you’ll need to be successful in this role:

5+ years of prior experience in similar BI & Analytics roles
Strong SQL skills and experience working with Databricks
Experience working with Tableau/PowerBI and building dashboards for reporting
Basic understanding of statistics, and prior experience with A/B testing is highly preferred
Good communication skills - ability to communicate business insights from data to stakeholders effectively

Pay Range:
$58.00 - $63.38/hourly

Ready to make your mark? Take the leap and apply directly here: https://j.brt.mv/jb.do?reqGK=27716536&refresh=true – your application is in good hands.",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Data Analyst - Carbon and Renewable Energy,"Apple
","Cupertino, CA",-1,4.2,"Summary
Posted: Sep 29, 2023
Weekly Hours: 40
Role Number:200506686
The people here at Apple don’t just build products — they create the kind of wonder that’s revolutionized entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it! Apple is a global leader in corporate renewable energy procurement and has achieved its 100% renewable electricity goal for serving its corporate, retail, and data center facilities. As our operations further expand in 40+ markets, we are looking for a Data Analyst to support our growing Scope 2 and 3 reporting obligations worldwide. This role requires you to work closely with global and cross-functional teams such as Real Estate and Development, Environmental Policy & Social Initiatives, Government Affairs, Finance and Legal, to ensure accurate and transparent reporting.
Key Qualifications
Proficiency in data analysis and data management tools (e.g. Microsoft Excel). Ability to maintain a comprehensive and organized database of emissions data, and supervise renewable energy allocations for reporting purposes.
Strong understanding of greenhouse gas emissions accounting and reporting standards (e.g., GHG Protocol), and experience with corporate Scope 2 reporting.
Ability to supervise changes to reporting criteria/standards, and implications to operations. Familiarity with various voluntary and required reporting schemes, such as corporate Scope 2 reporting, CDP, EPEAT, and RE100 is a nice addition.
Familiarity with renewable energy certificate tracking platforms globally.
Knowledge of electricity/power and renewable markets globally. Understanding of corporate renewable energy procurement options.
Strong project management and time management skills to execute on multiple priorities in a fast-paced global setting.
Attention to details and a dedication to data accuracy
Strong interpersonal and communication skills.
Understanding of grid mix, hourly emissions' accounting, and 24/7 emissions accounting is a plus.
Description
The ideal candidate will possess a high level of integrity, creativity, initiative, accountability, communication and interpersonal skills, with a dedication to collaboration and excellence. We are a small team with a big mission. We are seeking a team player who can, - Be responsible for and lead collection, analysis, and reporting of Scope 2 and Scope 3 emissions and renewable coverage. - Collaborate with energy providers, utility companies and facility service providers to acquire consumption information and other necessary data, and to understand vendors’ renewable energy strategy. - Collaborate with internal and external stakeholders to collect renewable generation data, and handle REC allocations in markets where Apple has operations. - Build and maintain sophisticated data analysis tools via Excel, Tableau, and relevant data management software. - Analyze data collected to calculate Scope 2 emissions accurately, and to allocate renewable certificates for maintaining 100% renewable coverage. - Prepare and submit reports. - Ensure accuracy and completeness of all records for auditing and verification purposes. Ensure alignment and consistency across various reporting obligations. - Engage with internal stakeholders to supervise scope expansion, and optimize REC allocation. - Engage with external stakeholders, such as sustainability organizations and industry groups to stay updated on industry benchmarks and standards. - Work with Finance to support REC related quarterly/annual accounting.
Education & Experience
Bachelor’s degree in environmental science, data science, sustainability, energy management, or a related field with 1-3 years of professional experience in renewable and carbon data management and reporting.
Additional Requirements
Pay & Benefits
At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $131,300 and $197,400, and your base pay will depend on your skills, qualifications, experience, and location.

Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.

Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.",1976,Computer Hardware Development,$10+ billion (USD),Information Technology,10000+ Employees,Company - Public,False
Quality Improvement Analyst,"Santa Clara Family Health Plan
","San Jose, CA",$88K - $132K (Employer est.),3.5,"Salary Range: $92,492 - $138,738
The expected pay range is based on many factors, such as experience, education, and the market. The range is subject to change.

FLSA Status: Exempt
Department: Quality Improvement
Reports To: Manager, Quality Improvement
Employee Unit: Employees in this classification are represented by Service Employees International Union (SEIU) Local No. 521.

GENERAL DESCRIPTION OF POSITION
The Quality Improvement Analyst facilitates ongoing measurement, data optimization, reporting and information dissemination with a focus on data integrity, integration, standardization, analysis, and visualization. This role collaborates with multi-disciplinary teams and assists in the development of data management and analysis plans, monitors reporting requirements, establishes guiding metrics and benchmarks for performance improvement initiatives in support of the maintenance and improvement of SCFHP Quality programs and plan objectives. The Quality Improvement Analyst acts as a liaison between the Quality Department, Finance Department and IT by reviewing business requirements, functional specifications and internal operations processes.
ESSENTIAL DUTIES AND RESPONSIBILITIES
To perform this job successfully, an individual must be able to satisfactorily perform each essential duty listed below.

Utilize health care applications, data systems, data warehouses and data integration to pull and analyze data.
Review and perform QA validation of data outputs and provide feedback to stakeholders, including root cause analysis, if any; document test cases and results.
Process improvement and documentation for quality projects; create process flow diagrams; oversee implemented changes; write test plans based off technical requirements.
Work with the IT team to create a formal quality assurance process for new HEDIS files.
Provide project and task management for quality projects including facilitating stakeholder and project team meetings, tracking actionable items, sending regular project communications to internal and external stakeholders, and escalating identified risks.
Engage with Quality and IT teams to review and understand related business data issues and determine ongoing efficiencies.
Support Health Services teams for quality analysis and improvement.
Audit data accuracy and reporting and provide performance deviations and anomalies.
Perform other related duties as required or assigned.

REQUIREMENTS – Required (R) Desired (D)
The requirements listed below are representative of the knowledge, skill, and/or ability required or desired.

Bachelor’s Degree in Healthcare, Information Systems, or related field, or equivalent experience, training or coursework. (R)
Minimum two years of experience as a business analyst analyzing data for the purpose of informing business decisions. (R)
Minimum one year of experience with healthcare management information systems. (R)
Ability to write test plans based off technical requirements. (R)
Ability to identify, troubleshoot, and resolve small to medium scale, basic to moderate business and systems issues. (R)
Ability to organize work and present results in a professional manner. (R)
Working knowledge of and the ability to efficiently operate all applicable computer software including computer applications such as Outlook, Word and Excel. (R)
Ability to use a keyboard with moderate speed and a high level of accuracy. (R)
Excellent communication skills including the ability to express oneself clearly and concisely when providing service to SCFHP internal departments, providers and outside entities over the telephone, in person or in writing. (R)
Ability to think and work effectively under pressure and accurately prioritize and complete tasks within established timeframes. (R)
Ability to assume responsibility and exercise good judgment when making decisions within the scope of the position. (R)
Ability to maintain confidentiality. (R)
Ability to comply with SCFHP’s policies and procedures. (R)
Ability to perform the job safely with respect to others, to property, and to individual safety. (R)

WORKING CONDITIONS
Generally, duties are primarily performed in an office environment while sitting or standing at a desk. Incumbents are subject to frequent contact with and interruptions by co-workers, supervisors, and plan members or providers in person, by telephone, and by work-related electronic communications.
PHYSICAL REQUIREMENTS
Incumbents must be able to perform the essential functions of this job, with or without reasonable accommodation:

Mobility Requirements: regular bending at the waist, and reaching overhead, above the shoulders and horizontally, to retrieve and store files and supplies and sit or stand for extended periods of time; (R)
Lifting Requirements: regularly lift and carry files, notebooks, and office supplies that may weigh up to 5 pounds; (R)
Visual Requirements: ability to read information in printed materials and on a computer screen; perform close-up work; clarity of vision is required at 20 inches or less; (R)
Dexterity Requirements: regular use of hands, wrists, and finger movements; ability to perform repetitive motion (keyboard); writing (note-taking); ability to operate a computer keyboard and other office equipment (R)
Hearing/Talking Requirements: ability to hear normal speech, hear and talk to exchange information in person and on telephone; (R)
Reasoning Requirements: ability to think and work effectively under pressure; ability to effectively serve customers; decision making, maintain a concentrated level of attention to information communicated in person and by telephone throughout a typical workday; attention to detail. (R)

ENVIRONMENTAL CONDITIONS
General office conditions. May be exposed to moderate noise levels.

EOE

Job Type: Full-time

Pay: $88,088.00 - $132,131.00 per year",1997,Insurance Carriers,$1 to $5 billion (USD),Insurance,201 to 500 Employees,Government,True
Research Data Analyst 1,"Stanford University
","Stanford, CA",$64K - $97K (Employer est.),4.3,"Stanford University is seeking a Research Data Analyst 1 to manage and analyze large amounts of information, typically technical or scientific in nature, under the direction of project researchers, investigators, or managers.


Duties include:

Collect, manage and clean datasets.
Employ existing tools to interpret, analyze, and visualize multivariate relationships in data.
Create databases and reports, and perform basic statistical analyses appropriate to data and reporting requirements.
Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause for data problems from input errors or inadequate field edits, and suggest possible solutions.
Develop reports, charts, graphs and tables for use by investigators and for publication and presentation.
Analyze data processes in documentation.
Collaborate with research staff on data collection and analysis methods.
Provide documentation based on audit and reporting criteria to investigators and research staff.
Communicate with government officials, grant agencies and industry representatives.
- Other duties may also be assigned.



EDUCATION & EXPERIENCE (REQUIRED):

Bachelor's degree or a combination of education and relevant experience. Experience in a quantitative discipline such as economics, finance, statistics or engineering.




KNOWLEDGE, SKILLS AND ABILITIES (REQUIRED):

Substantial experience with MS Office and analytical programs.
Strong writing and analytical skills.
Ability to prioritize workload.



PHYSICAL REQUIREMENTS*:

Sitting in place at computer for long periods of time with extensive keyboarding/dexterity.
Occasionally use a telephone.
Rarely writing by hand.
- Consistent with its obligations under the law, the University will provide reasonable accommodation to any employee with a disability who requires accommodation to perform the essential functions of his or her job.


WORKING CONDITIONS:

Work will performed in a person in an office setting.




WORK STANDARDS:

Interpersonal Skills: Demonstrates the ability to work well with Stanford colleagues and clients and with external organizations.
Promote Culture of Safety: Demonstrates commitment to personal responsibility and value for safety; communicates safety concerns; uses and promotes safe behaviors based on training and lessons learned.
Subject to and expected to comply with all applicable University policies and procedures, including but not limited to the personnel policies and other policies found in the University's Administrative Guide, http://adminguide.stanford.edu.



The expected pay range for this position is $64,480 to $97,000 per annum. Stanford University provides pay ranges representing its good faith estimate of what the university reasonably expects to pay for a position. The pay offered to a selected candidate will be determined based on factors such as (but not limited to) the scope and responsibilities of the position, the qualifications of the selected candidate, departmental budget availability, internal equity, geographic location and external market pay for comparable jobs.",1891,Colleges & Universities,$10+ billion (USD),Education,10000+ Employees,College / University,False
Data Analyst/User Researcher,"ryzen
","Cupertino, CA",$90K - $137K (Glassdoor est.),4.4,"Job Summary
In this role, you’ll work with several teams to further utilize anonymous usage data collected, which will improve understanding of product usage scenarios. Along with using existing software tools to collect, organize, and visualize customer usage data, you’ll help engineers understand this data to shape hardware design throughout the development cycle. Furthermore, you’ll bring together people, software, data, and ideas to create a
clearer picture of how people use our products.

Desired Skills and Traits

Effectively become familiar with in-house tools to drive acquisition of field usage data
Familiar with SQL, Splunk searches, database management, visualization software
Have a working understanding of basic statistical methods useful for understanding customer product usage data
Works effectively in team environments with people from diverse technical backgrounds (e.g. software, hardware, and data science)
Willingness to run simple on device experiments to investigate usage data collection
Ability to work with large datasets
Takes initiative with teamwork to solve crucial problems
Communicate effectively with Reliability Engineers regarding their data requests
Has experience supporting multiple projects simultaneously
Thrives in a fast-paced and informal environment
Responds to changing priorities quickly and efficiently

Additional Skills and Traits Optional, but nice to have:

Has experience with at least one programming language
Has basic proficiency with Unix/Linux command-line tools
Understands software engineering practices such as version control, code reviews, and

testing

Education
BS or MS in a technical field or relevant work experience

Job Type: Contract

Benefits:

401(k)
Dental insurance
Health insurance
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Experience:

Data Analyst/UX Researcher: 1 year (Required)

Work Location: In person",1999,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,51 to 200 Employees,Company - Private,True
Business Operations Analyst - 1.0 Full-Time Days,"Stanford Health Care
","Newark, CA",$41.25 - $53.63 Per Hour (Employer est.),3.9,"1.0 FTE Full time Day - 08 Hour R2334023 Onsite 84679 PRIMARY CARE ACCESS OPERATIONS Technology & Digital Solutions 7600 Gateway Blvd,NEWARK,California

If you're ready to be part of our legacy of hope and innovation, we encourage you to take the first step and explore our current job openings. Your best is waiting to be discovered.




Day - 08 Hour (United States of America)

This is a Stanford Health Care job.

A Brief Overview
The Business Operations Analyst provides direct support to Program Managers in high profile projects designed to reinforce the hospitals strategic goals and increase operational efficiencies. Support is provided through conducting the following: complex quantitative and qualitative analysis, documenting current and future state business processes, managing project logistics, and monitoring the success of project goals.

Locations
Stanford Health Care

What you will do
Analyzes quantitative and qualitative data as necessary throughout the course of the project, including the development of data collection strategies.
Coordinates and prepares a wide range of logistic support throughout project, including: meeting set-up, material compilation, training front line staff on workflow changes/new technology, partnering with vendors on timely completion of key deliverables.
Creates and maintains data dashboards and PowerPoint presentations that provide up to date results of project progress for project manager, team, and VP Sponsors.
Creates process maps to display current state and future state workflows.
Maintains established reporting structures and project metrics to ensure sustained project results.
Serves as a resource to identify and research best practices, benchmarking data and other supporting documentation for various healthcare related topics; Brainstorms with managers throughout course of project;
Trains managers and operational staff to utilize data tools and other tools and needed.
Supports project teams in structuring work and maintaining timeline and agreed upon key deliverables.

Education Qualifications
Bachelor's degree in a work-related discipline/field from an accredited college or university

Experience Qualifications
Two (2) years of progressively responsible and directly related work experience

Required Knowledge, Skills and Abilities
Ability to adapt to and deal with change and ambiguity
Ability to analyze data, draw conclusions and interpret results
Ability to plan, organize, prioritize, work independently and meet deadlines
Ability to speak and write effectively at a level appropriate for the job
Ability to work effectively both as team player and independent contributor
Ability to work in a fast paced work environment
Ability to work well with individuals at all levels of the organization
Knowledge of computer systems and software used in functional area

Licenses and Certifications None



These principles apply to ALL employees:

SHC Commitment to Providing an Exceptional Patient & Family Experience

Stanford Health Care sets a high standard for delivering value and an exceptional experience for our patients and families. Candidates for employment and existing employees must adopt and execute C-I-CARE standards for all of patients, families and towards each other. C-I-CARE is the foundation of Stanford’s patient-experience and represents a framework for patient-centered interactions. Simply put, we do what it takes to enable and empower patients and families to focus on health, healing and recovery.

You will do this by executing against our three experience pillars, from the patient and family’s perspective:

Know Me: Anticipate my needs and status to deliver effective care
Show Me the Way: Guide and prompt my actions to arrive at better outcomes and better health
Coordinate for Me: Own the complexity of my care through coordination

Equal Opportunity Employer Stanford Health Care (SHC) strongly values diversity and is committed to equal opportunity and non-discrimination in all of its policies and practices, including the area of employment. Accordingly, SHC does not discriminate against any person on the basis of race, color, sex, sexual orientation or gender identity and/or expression, religion, age, national or ethnic origin, political beliefs, marital status, medical condition, genetic information, veteran status, or disability, or the perception of any of the above. People of all genders, members of all racial and ethnic groups, people with disabilities, and veterans are encouraged to apply. Qualified applicants with criminal convictions will be considered after an individualized assessment of the conviction and the job requirements.

Base Pay Scale: Generally starting at $41.25 - $53.63 per hour

The salary of the finalist selected for this role will be set based on a variety of factors, including but not limited to, internal equity, experience, education, specialty and training. This pay scale is not a promise of a particular wage.",1957,Health Care Services & Hospitals,$1 to $5 billion (USD),Healthcare,10000+ Employees,Hospital,False
