Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Marketing Data Analyst,Confidential,"Wilmington, DE",-1,-1.0,"We are a well-established Health & Wellness eCommerce company looking for a Marketing Data Analyst to join our Marketing team and help us make data driven decisions that drive customer engagement and sales growth. You will think strategically, optimize analytics tools, develop insightful analysis, communicate findings to senior leaders, and work effectively as part of a cross-functional team. This role will report to our VP of Marketing and Chief Growth Officer.

Responsibilities:

Analyze sales funnels and customer behavior
Measure ROI of marketing efforts
Collect and report on KPIs for email campaigns, social media, paid digital, ecommerce websites, and more
Conduct competitive research and analyze benchmarking data
Recommend optimizations for ecommerce websites and marketing campaigns
Research, implement, and optimize our data collection and analytics tools
Verify the accuracy and relevance of our data

Requirements:

Bachelor’s degree required in Marketing Analytics or related field
2-3 years of experience as a Marketing Analyst or similar role
Experience/understanding of PPC campaigns, SEM campaign strategies and SEO practices
Proficient in Microsoft Office (Word, Excel, etc.)
Excellent organizational skills
Strong communicator, positive team member, and enthusiastic problem-solver
Detail-oriented, works efficiently, and consistently meets deadlines

What we offer:

100% of the cost for medical, dental, and vision insurance for the employee.
Additional coverage is available for dependents. We cover 40% of the cost and the employee is responsible for 60% of the cost.
We cover long-term disability costs.
Voluntary benefits include short-term disability and employee and dependent life insurance.
Generous PTO plan that increases over time.
7 paid holidays per year and one floating holiday (employee’s choice).
401k enrollment eligibility is on the 1st of the month following the first 30 days of employment. We contribute to the plan after only 6 months of service and match your 401k contribution as follows: 25% match on deferrals up to 8% of pay.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Ability to commute/relocate:

Wilmington, DE: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?

Education:

Bachelor's (Required)

Experience:

SQL: 2 years (Required)
Marketing: 2 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Senior Financial Analyst,RIM Recruitment Professionals,"Wilmington, DE",$78K - $100K (Glassdoor est.),-1.0,"About Our Client:

Our client, located in Delaware US, an organization with decades of experience in the Manufacturing sector, is actively seeking a Senior Financial Analyst to join their team!

Opportunity Type: Full Time, Permanent

Responsibilities:

Support in the budgeting planning and financial forecasting process
Prepares monthly and quarterly KPIs for plant management and Directors and assists in the development of new KPIs.
Reporting monthly operational data (i.e. production metrics) to financial data (cost and profitability) to highlight the opportunity costs of production deficiencies
Analyze data and create financial models for Managers and Executive team members
Provide recommendations on ways to improve financial status
Conduct regular variance and trend analyses and report findings to senior management
Identify opportunities for process improvements
Other ad-hoc responsibilities in support of the Finance Manager

Qualifications:

Minimum 4+ years in Financial Planning & Analysis
CPA Designation or pursuing would be an asset
Strong understanding of cost and management accounting including budgeting through previous experience in a large multi-site manufacturing environment
Advanced MS Excel skills with experience in creating financial models
Outstanding written and verbal communication skills with comfort in dealing and presenting to Executive team members
Strong team player with a passion for working in collaborative environments
#RIMUS",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Senior Business Intelligence Analyst (IT),"MTF Biologics
",United States,-1,3.7,"Overview/Risks:
Serve as technical team leader and work closely with business and technical partners across the enterprise to enable the implementation of end-to-end Business Intelligence solutions. Possess exceptional data transformation, warehousing and automation skills, as well as interpersonal skills to work cross-functionally and drive better data access and holistic analytics. Play a key role in the architecture, delivery and governance of reporting and data delivery
Responsibilities:
Manage reporting environments including data warehouse, data sources, security, licensing, and metadata.
Ensure evolving data warehouse is in lockstep with evolving analytics and reporting use cases, and partner with the infrastructure team to ensure the data warehouse scales with growth.
Responsible for planning, designing, configuring, developing, testing, deploying and supporting ETL/BI solutions. Develops and uses ETL applications to perform data analysis, create technical designs and provide applications support.
Partner cross-functionally with our infrastructure, engineering, and analytics teams to define and drive optimized data access and data-informed decision-making across the organization.
Write complex SQL scripts to extract data from variousdatabases and systems to make data available for enterprise reporting.
Responsible for establishing and maintaining data normalization and data integrity.
Facilitate automation of analytical and operational tasks and processes.
Create ope rational metrics and KPIs to improve data quality and operational efficiency.
Establish data management best practices to ensure completeness, cleanliness, and consistency across the entire data lifecycle.
Identify and revise enterprise reporting requirements.
Responsible for evaluation, installation, testing, implementation, maintenance and troubleshooting of new or upgraded BI Applications.
Troubleshoot reported problems pertaining to BI tools and database environments, working closely with other IT members, especially DBAs, Systems Analysts, BI Analysts and Systems Engineers, identifying the cause and designing / developing an approach for resolution.
Assess impact of changes and updates to source production systems, planning and implementing resulting changes to reports and dashboards.
Governance / Best Practices – adhere and contribute to enterprise data governance standards. Also educates andsupports colleagues in best practices to ensure that data is used appropriately.
Conduct end user training on BI systems.
Perform system administrator functions within software, including maintaining configuration of software, account management, maintaining system security.


Qualifications:
MINIMUM QUALIFICATIONS
Education: Bachelor's Degree, Masters Degree (Combination of Education and/or Equivalent Work
Experience)
Other MSCE a plus
Other CBIP a plus

Years of Experience:
Minimum Years of Experience
Area of experience
7 Years Experience with business intelligence platforms
5 Years Strong working knowledge of data-warehousing, ETL, automation and reporting
5 Years Exceptional data retrieval and handling skills using SQL (or other scripting languages) Data modeling and data analysis skills with a strong customer focus.
5 Years System administration and security
3-5 years of Experience with Power BI.

Specialized Knowledge, Technical Skills, and Abilities

Ability to interface with various levels of the business and across various functional groups.
Strong technical documentation skills.
Excellent communication skills (written and verbal) and organizational skills.
Ability to work with minimal supervision.
Ability to think creatively and critically.
Ability to thrive in a fast paced, dynamic, & often ambiguous work environment.

#INDMTF",1987,Health Care Services & Hospitals,$100 to $500 million (USD),Healthcare,1001 to 5000 Employees,Nonprofit Organization,False
Management Analyst I,"State of Delaware
","Georgetown, DE",-1,2.6,"Introduction

Make a Difference with DHSS

Our mission at the Department of Health and Social Services (DHSS) is to improve the quality of life of Delaware citizens by promoting health and well-being, fostering self-sufficiency, and protecting vulnerable populations. We prioritize personal and family independence by assisting individuals and families in a variety of life areas.

We offer numerous career opportunities and are dedicated to attracting and retaining highly talented individuals who are ready to make a difference in their community today. DHSS is a great place to kick-start your profession.

For more information, please visit https://dhss.delaware.gov/dhss/ today!

Summary Statement
Position functions as the Staff Scheduler Specialist. Responsible to build/create systems and processes for scheduling direct care coverage utilizing the electronic scheduling software. Creating, updating, maintaining direct care staff schedules abiding by Facility, State and Federal policies/procedures, regulations, and collective bargaining agreements. Developing resource management desk references and decision flow charts, and training and assisting resource management staff with scheduling and distributing schedules, and advising on changes/updates to schedules, routines, and processes.
Essential Functions
Essential functions are fundamental, core functions common to all positions in the class series and are not intended to be an exhaustive list of all job duties for any one position in the class. Since class specifications are descriptive and not restrictive, incumbents can complete job duties of similar kind not specifically listed here.


Interviews agency staff, observes work processes and gathers data relating to operational and managerial practices and procedures for use in evaluating services provided and/or determining compliance to goals and objectives.

Reviews, performs statistical analysis and interpretation of collected data relating to policies, procedures, organization, managerial and operational practices; Defines and may make recommendations for correcting problems.

Analyzes data gathered and develops solutions or alternative methods of proceeding.

Analyzes and evaluates the effectiveness of operations in meeting established goals and objectives.

Provides technical assistance in understanding and developing management objectives and controls for resolution of issues and concerns.

Studies pertinent background material such as legislation, administrative orders and regulations.

Makes recommendations for and assists in the implementation of new techniques or procedures to improve methods of operations, strengthen controls, and effectively utilize resources.

Documents findings of studies and prepares recommendations for implementation of new systems, procedures, or organizational changes.

May supervise administrative support and/or paraprofessional staff. Supervision is exercised over at least two or more merit full time positions per the Merit Rules. The elements of supervision include planning, assigning, reviewing, evaluating, coaching, training, recommending hire/fire and discipline.
Job Requirements
JOB REQUIREMENTS for Management Analyst I
Applicants must have education, training and/or experience demonstrating competence in each of the following areas:
Possession of a Bachelors degree or higher which includes coursework in conducting studies, descriptive statistics and inferential statistics.
OR
Six months experience in conducting studies such as evaluating operations, programs, services, policies and procedures to determine efficiency, effectiveness, whether goals and objectives are met and compliance with laws, rules, regulations, policies and procedures.
Six months experience in descriptive statistics such as the mean, median, mode or standard deviation.
Six months experience in narrative report writing.
Knowledge of inferential statistics such as correlation, t-tests, f-tests or analysis of variance.
Additional Posting Information

This is a Casual/Seasonal position which is a non-pension eligible position without healthcare and/or other benefits.

Conditions of Hire
Pre-employment Drug Testing: Upon a conditional offer, you must undergo pre-employment drug testing as part of the hiring process.



Criminal background check: A satisfactory criminal background check is required as a condition of hire. The recruiting agency may require the applicant to pay for the criminal background check as part of the conditional offer of hire.


Upon a conditional offer, the applicant must undergo a pre-employment base line two step tuberculin skin test (TST) as part of the hiring process.




Applicants must be legally authorized to work in the United States. The State of Delaware participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S. For more information refer to our Job Seeker Resources.

DHSS does not provide employment-based sponsorship.

Selection Process

The application and supplemental questionnaire are evaluated based upon a rating of your education, training and experience as they relate to the job requirements of the position. It is essential that you provide complete and accurate information on your application and the supplemental questionnaire to include dates of employment, job title and job duties. For education and training, list name of educational provider, training course titles and summary of course content. Narrative information supplied in response to the questions must be supported by the information supplied on the application including your employment, education and training history as it relates to the job requirements.

Once you have submitted your application on-line, all future correspondence related to your application will be sent via email. Please keep your contact information current. You may also view all correspondence sent to you by the State of Delaware in the “My Applications” tab at StateJobs.Delaware.gov.

Accommodations

Accommodations are available for applicants with disabilities in all phases of the application and employment process. To request an auxiliary aid or service please call (302) 739-5458. TDD users should call the Delaware Relay Service Number 1-800-232-5460 for assistance.

The State of Delaware is an Equal Opportunity employer and values a diverse workforce. We strongly encourage and seek out a workforce representative of Delaware including race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression.",-1,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,1001 to 5000 Employees,Government,False
Business Analyst & Scrum Master,"Bridgesoft
","Wilmington, DE",$85K - $111K (Glassdoor est.),4.3,"Full Time
Job Code:
BSBASM-
Job Role:
Scrum Master
Roles & Responsibilities:

Business Analysis (BA) Skills:

Requirements gathering and analysis.
Process modeling and improvement.
Client, Stakeholder management and communication.
Problem-solving and critical thinking.
Documentation and reporting.
Maintain repository for the templates, best practices, lessons learned so that can be reused for the new projects.

Scrum Master Skills:

Expertise in Agile methodologies, particularly Scrum.
Facilitation of Scrum ceremonies (Sprint Planning, Daily Stand-ups, Sprint Review, and Sprint Retrospective).
Ability to remove impediments and foster a collaborative team environment.
Coaching and mentoring team members on Agile principles and practices.
Monitoring and improving team performance.

Communication Skills:

Ability to convey complex technical concepts to non-technical stakeholders.
Effective verbal and written communication.
Strong interpersonal skills for working with cross-functional teams.
Good attitude and behavioral skills.

Project Management:

Planning and organizing skills.
Time management and prioritization.
Risk management and mitigation.
Focus on meeting Deadlines and On-time deliverables.

Technical Competence:

Understanding of the technology stack and development processes.
Familiarity with tools used in Agile and Scrum (JIRA, MS Office, MS Project, Visio, Miro).

Adaptability and Flexibility:

Ability to adapt to changing project requirements and priorities.
Flexibility to switch between the BA and Scrum Master roles as needed.

Leadership and Team Building:

Leadership skills to guide and motivate the team.
Building a positive team culture and fostering collaboration.



Primary Skills (Must have):

To be proficient in eliciting and documenting business requirements, translating business needs into actionable user stories, process flows, and acceptance criteria. Additionally, to be experienced in the role of a Scrum Master, with expertise in facilitating Scrum ceremonies, resolving impediments, integrating business analysis practices with the principles of Scrum for effective and efficient project practices.

Secondary Skills (Good to have):

To be proficient in creating and utilizing user story maps to help the team understand the user's journey, prioritize features, and align development efforts with the teams needs.

Additional Addon:

Need a resource with a strong combination of the above skills to effectively perform the dual role of a Business Analyst and Scrum Master.
Years of Exp:
-
Years
Employment Type:
Permanent",2013,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,False
Quality & Safety Data Analyst,"Nemours
","Wilmington, DE",$59K - $84K (Glassdoor est.),3.9,"Nemours is seeking a Quality & Safety Data Analyst to join our Nemours Children's Health team in either Wilmington, Delaware, Orlando, Florida or Jacksonville, Florida. This is a hybrid position.

The Data Analyst will join the enterprise Data and Analytics team within the Quality & Safety Department and will be responsible for empowering users with data across the institution, providing a unique blend of clinical, business, technical, and analytical expertise. This position will report to the Enterprise Director of Data Analytics & Business Intelligence. The Data and Analytics team is embedded throughout the enterprise to drive strategic initiatives, improve safety & quality of care, and streamline operations. The team combines quality & safety knowledge with data and technology to empower decision makers and believes that user-friendly, self-service, embedded analytics products can improve patient outcomes, optimize processes, and reduce costs. We believe in providing actionable insights which drive real, measurable, impact! The team is looking for creative thinkers who are excited about joining a collaborative team to utilize data to transform Nemours into a data-driven organization; one that practices data-driven decision making and utilizes data to improve the experience of our patients, families, and staff.

The Data Analyst is passionate about healthcare delivery in a patient care setting. A successful candidate is articulate, analytical, and a team player who understands the power of data storytelling to drive change. The analyst enjoys coordinating with interdisciplinary teams to create solutions for improving operational and clinical decision making. The analyst learns quickly, works independently, and is relentless in overcoming technical, process, and organizational obstacles.

The Data Analyst, under supervision, will actively contribute to projects and tasks with appropriate data. The individual will need to build relationships with key stakeholders, understand multiple data sources, and implement sustainable data solutions. The individual will also provide operational support for organizational data needs such as adhoc and scheduled reporting.

Essential Functions:

Individual Contributor



Works with teams and business stakeholders to gather requirements, develop metrics, retrieve data, and ensure validity of results
Experience with Quality & Safety improvement initiatives
Contributes to projects and data requests from beginning to end
Creates appropriate data solutions (dashboards, reports, business intelligence tools, etc.) and data analysis for the measurement of processes and outcomes
Demonstrates excellent data storytelling skills through outstanding presentation and communication to share findings in an understandable and actionable manner tailored to audience and customer's needs
Experience with data visualization tools (Qlik, Tableau, Power BI, etc.)
Experience with Infographics
Develop and prepare scorecards, dashboards and summary reports showing high-level results and trends appropriate for different internal and external audiences.
Conduct cross-validation, data cleansing and quality checks for extracted data.
Collaborate with IT and business units to advance Nemours reporting capabilities, and improve accuracy of data.
Train stakeholders on how to interpret reports and data, as necessary, using the appropriate level for the intended audience

Team Player


Collaborates with enterprise data warehouse, data governance, quality improvement, clinical informatics and business teams on any issues relating to data quality, and structure of data repositories impacting analytics. Develops and maintains appropriate, current status and documentation on projects and work products.

Job Requirements:

Bachelor's Degree required.
Master's Degree in Data Science or a related field or MBA preferred.
Minimum of three (3) years of experience in analytics / business intelligence required.
Experience with data visualization tools preferred (Qlik, Tableau, Power BI, etc) preferred.
Experience working as a data analyst within a healthcare setting preferred.
Experience with Quality & Safety improvement initiatives preferred.
Knowledge of relational database structures.
Knowledge of programming/query languages as required (SQL).",1940,Health Care Services & Hospitals,$1 to $5 billion (USD),Healthcare,5001 to 10000 Employees,Nonprofit Organization,False
Fraud Strategy Analyst 1LOD,"City National Bank
","Wilmington, DE",$92K - $157K (Employer est.),3.7,"Overview:
FRAUD STRATEGY ANALYST 1LOD

WHAT IS THE OPPORTUNITY?
The Non-Card Fraud Strategy Analyst participates actively in the Bank's fraud prevention and risk management activities to identify and mitigate both the Bank's and our clients' exposure to potential fraudulent activities. The Analyst works with the Fraud Strategy Lead and is responsible for evaluating client and situational/threat trends by payment type, division, fraud schemes and other relevant metrics. The individual should be able to identify the current or upcoming risk and design an end-to-end control strategy to mitigate against the risk. The Analyst should be able to identify the trend, analyze data and provide information-based recommendation to optimize the control environment. In addition, the lead will use the analytics to identify gaps, risks and issues to better drive fraud mitigation performance.

Banking and Investment Services Division
Banking and Investment Services plays an integral role in leading the strategic vision and execution of all banking operations. Our servicing and operations professionals partner closely with all of our lines of business to carry out critical functions, including client/deposit servicing, contact center operations, payments processing, and trade and lending operations, while identifying and mitigating risk throughout the organization. Servicing and operations professionals seek to transform and define an integrated support model through automation and cutting-edge digital technologies, to deliver an excellent experience for our clients and businesses.

What you will do
Planning: Assist in efforts to evaluate current and upcoming threats, identify control environment and opportunity and determine enhancement and work with product, technology, operations to create a roadmap
New Product Assessment and Business Enablement: As part of a project team, partner with business and product stakeholder to ensure the products can be securely rolled out
Risk Assessment: Working with the Fraud Strategy Lead, execute Fraud Risk Assessment(s) to ensure the vulnerabilities are identified and steps are taken to mitigate the risk
Execution: Must have end to end ownership of the identified fraud risk and operational metrics reporting. Use data to identify current, historic and emerging risks within accounts, across channels and within products. Must have extensive domain experience in using data and analytics you help mitigate non-card fraud while creating “friction right” experiences that enable us to grow.
System: Working with Fraud Rules Strategy, be able to evaluate and identify risks in system rule efficiency and effectiveness.
Communication: Concisely communicate the fraud trend recommendation to the stakeholders including leadership across different groups to ensure alignment.
Must-Have*
Bachelor's Degree or equivalent
Minimum 5 years of experience within Fraud prevention and detection for a fintech or bank.
Minimum 3 years of hands-on experience working with fraud data, excellent at SQL/Python and Excel and know what to look for and how to direct an analytical team
Skills and Knowledge
Prefer a degree to be in Statistics, Math, Operations Research or other analytical or quantitative discipline.
Ownership Mindset: Must have high degree of initiative and passion to improve the fraud security and customer experience.
Leadership Traits: Must be able to aid in advocating and driving an initiative to completion through professionalism, confidence and cooperation.
Team Building Skills: Must be a collaborative team player.
Hands On: Must be able to write your own SQL code, build business cases in excel or create PowerPoint presentations then this is not the right role for you.
Business Acumen: Must have strong business acumen such as (i) ability to think strategically, frame for success and execute tactically (ii) understand how to prioritize most important and (iii) deliver results over short, medium and long term.
Strong Problem-Solving Skills: Ability to identify the root cause problem and identifying the solution that will create maximum impact
Experience with new digital applications like real time payments, apple wallet, virtual cards etc.
Experience with quantitative, analytical and business acumen skills: ability to derive patterns and trends, perform risk-reward trade off analysis, create pitch decks to socialize etc.
Compensation
Starting base salary: $92,114 - $156,880 per year. Exact compensation may vary based on skills, experience, and location. This job is eligible for bonus and/or commissions.


To be considered for this position you must meet at least these basic qualifications
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.

Benefits and Perks
At City National, we strive to be the best at whatever we do, including the benefits and perks we offer our colleagues. Get an inside look at our Benefits and Perks.

INCLUSION AND EQUAL OPPORTUNITY EMPLOYMENT
City National Bank is an equal opportunity employer committed to diversity and inclusion. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or any other basis protected by law.'

ABOUT CITY NATIONAL
We start with a basic premise: Business is personal. Since day one we've always gone further than the competition to help our clients, colleagues and community flourish. City National Bank was founded in 1954 by entrepreneurs for entrepreneurs and that legacy of integrity, community and unparalleled client relationships continues to drive phenomenal growth today. City National is a subsidiary of Royal Bank of Canada, one of North America’s leading diversified financial services companies.",1954,Banking & Lending,Unknown / Non-Applicable,Financial Services,1001 to 5000 Employees,Subsidiary or Business Segment,False
Business Analyst,"Bridgesoft
","Wilmington, DE",$80K - $104K (Glassdoor est.),4.3,"US & Canada
Full Time

Bridgesoft is a leading provider of technology, consulting, and information security management solutions. We are looking for Business Analyst holding year experience. Should possess high communication skills who will be working with client closely.

Job Code:

BSUSBA-

Job Role:

Business Analyst

Job Position:

Remote - Direct Hire

Job Description:

Business Analyst works with business partners across multiple functions to collect, analyze, design and document business requirements for projects of moderate to high complexity. This position is responsible for formulating and defining systems modifications and enhancements based on both user needs and broad knowledge and understanding of applicable business systems and industry requirements, and ensuring they are thoroughly tested. The BA will be part of a highly functioning team to align technology solutions with business strategies. We are looking for a highly motivated and qualified individual to be a part of this tea, supporting our customers and users.

ESSENTIAL RESPONSIBILITIES
Collect, analyze, design and document business and functional requirements of moderate to high complexity in an Agile environment
Formulate and define systems modifications and enhancements based on both used needs and broad knowledge/understanding of applicable business systems and industry requirements
Creates and manages implementation plan for production roll out of new products or processes.
Identify the risks, system gaps, and opportunities to improve the overall system and processes
Study the systems and operations and identify the scope of the problem – Done from the perspective of the business domain to which the project/issue belongs
Liaise with key stakeholders and conduct brainstorming sessions to get exact requirements.
Analyze the problem from different angles and perform a gap analysis.
Discuss the problem with the technical team and recommend technology needed to address the same
Document exact business needs along with both functional and non-functional requirements.
Interact with the development team and help them understand the technical aspects of the solution.
Oversee the development, conduct meetings, and perform project management.
Conduct usability and functional testing and recommend corrective and preventive actions.
Present the developed solution to the concerned audience and solicit feedback.
Participate in migration, handover, end-user training, and deployment activities.
Skill Set:
Knowledge of the Software Development Life Cycle
Experience on Agile methodology
Experience with Software Testing is preferred
Strong customer-service orientation
Effective interpersonal and relationship-building skills
Excellent communication skills including verbal, written and presentation
Effective ability to troubleshoot and problem solving
Implement advanced strategies for gathering, reviewing, and analyzing data requirements
Prioritize requirements and create conceptual prototypes and mock-ups
Master strategic business process modeling, traceability, and quality management techniques
Apply best practices for effective communication and problem-solving
A keen eye for detail that helps efficiently detect and solve problems
Analytical thinking skills
Effective time management skills
Ability to build strong client and business relationships
Joining:

Immediate

Years of Exp:

2-Years

Employment Type:

Permanent

Visa Status:

H4-EAD, GC, Citizen",2013,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,False
"IT Business Analyst (f/m) | 100%, Neuenegg (BE)",Pharmatic AG,Delaware,-1,-1.0,"Depuis 60 ans, le Groupe Ofac est synonyme d’évolution et d’innovation pour les pharmaciens suisses qui font confiance à nos services. Ofac joue également un rôle clé en matière de santé numérique, notamment en mettant sur pied des outils permettant aux pharmaciens de mieux suivre leurs patients, même en-dehors de l’officine, et de leur fournir des prestations répondant aux modes de consommation actuels. Pour renforcer notre Département Customer Care, nous recherchons un/une




IT Business Analyst (f/m)

100% | Neuenegg (BE)





Votre mission:

Vous recueillez les nouveaux besoins auprès des clients, des utilisateurs et des responsables produits
Vous concevez les projets et vérifiez l’adéquation entre les coûts, les moyens, les délais et les technologies existantes selon l’architecture du système d’information
Vous rédigez les analyses globales et détaillées ainsi que les descriptions : Use-Cases/User-Stories, maquettes interfaces clients, cartographies et tests
Vous supervisez le cycle de vie des projets : développement, recettage, mise en production, incidents
Vous êtes employé/e généralement au domaine de notre produit principal Tactil
Vous interagissez comme plaque tournante envers les clients et les Stakeholders externes dans la région germanophone
Vous intégrez dans ces projets les normes et standards, y compris les exigences stipulées par ISO 27001 et GoodPrivacy

Votre profil:

Vous apportez une expérience en tant que Business Analyst ou Analyst ; une expérience dans le domaine de la pharmacie ou de la santé est un atout
Vous vous démarquez par de grandes capacités d’analyse orale/écrite et de synthèse
Aptitude à l’écoute, esprit d’ouverture et sens de la perception des besoins des clients font partie de vos points forts
Vous avez de l’expérience dans la programmation OO
Vous avez également une bonne gestion du stress et des priorités, ainsi qu’un bon esprit d’équipe
Vous êtes familier des outils Word, Excel, Visio et des techniques de modélisation de processus
Des connaissances d’une méthode agile de même que des connaissances métiers dans le domaine des prestataires de soins en Suisse sont un atout
Vous êtes de langue maternelle allemande ou française et possédez de bonnes connaissances de l’autre langue et d’anglais technique

Lieu de travail: Neunegg (BE)
Taux d’activité: 100%
Entrée en fonction: de suite ou à convenir





Intéressé(e) à rejoindre un groupe dynamique, reconnu pour son professionnalisme, son sens de l’innovation et des conditions attrayantes ? Nous nous réjouissons de recevoir votre dossier de candidature complet (lettre de motivation, CV, diplômes, certificats de travail) à l’adresse suivante ou via le portail jobs.ch:





Pharmatic SA
Société du Groupe Ofac
Ludovic Duvoisin
Laupenstrasse 11
Case postale 34
CH-3176 Neuenegg





jobs@ofac.ch
031 388 15 15





Une réponse ne sera donnée qu'aux candidat(e)s ayant fourni un dossier de candidature complet et correspondant au profil demandé.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,False
Data Analytics Analyst - Level 4,"FalconSmartIT
","Dover, DE",$73K - $104K (Glassdoor est.),4.3,"Job Title: Data Analytics Analyst - Level 4

Location: REMOTE

Job Type: Contract







Job Description:

• Bachelor's degree in computer science, Information Technology, or a related field

7+ years of experience as an architect
5 years of experience implementing MDM solutions
Proven experience in designing and implementing MDM solutions in an enterprise environment.
Strong knowledge of MDM platforms and technologies (e.g., Reltio MDM, Informatica MDM, SAP Master Data Governance).
Understanding of data modeling, data integration, and data quality best practices.
Familiarity with data governance frameworks and methodologies.
Expertise in creating mappings, trust and validation rules, match & merge process.
Experience in creating and maintaining entity objects, hierarchies, entity types and relationship objects
Excellent analytical, problem-solving, and communication skills.
Own the logical unit of development work “end-to-end” from concept to production, covering each phase of the SDLC.
Strong project management skills and the ability to lead cross-functional teams.
Relevant certifications in MDM or data management are a plus.

Regards

Mark

Sr.IT Recruiter

Mark_US@falconsmartit.com

FalconSmartI",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
