Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA),"Step by Step Academy, Inc","Miami Lakes, FL",$60.00 - $76.00 Per Hour (Employer est.),-1.0,"Job Summary:

As a Certified Behavior Analyst at Step By Step Academy, you will play a pivotal role in designing, implementing, and evaluating behavior intervention programs for children with diverse needs. You will work closely with our team of professionals to develop and execute strategies that promote positive behavior change and enhance the quality of life for our clients. Your expertise will contribute to the success of our mission to provide comprehensive and evidence-based services to those we serve.

Key Responsibilities:

Conduct comprehensive assessments to identify behavioral needs and develop individualized behavior intervention plans.
Implement behavior interventions using a variety of techniques and strategies.
Monitor and analyze data to assess the effectiveness of behavior intervention plans.
Collaborate with clients, families, caregivers, and other professionals to ensure a holistic and collaborative approach to behavior support.
Provide training and support to clients' families and caregivers to promote consistency and generalization of skills.
Maintain accurate and organized records of assessment, intervention, and progress data.
Stay current with research and best practices in the field of behavior analysis.

Qualifications:

Board Certified Behavior Analyst (BCBA) certification.
Master's degree in Applied Behavior Analysis, Psychology, Education, or related field.
Strong understanding of behavior analysis principles, strategies, and methodologies.
Experience conducting functional behavior assessments and developing behavior intervention plans.
Excellent communication and collaboration skills.
Ability to work effectively in a team environment.
Strong problem-solving skills and attention to detail.
Compassionate, patient, and empathetic demeanor.
Proficiency in data collection and analysis.

Job Types: Part-time, Full-time

Pay: $60.00 - $76.00 per hour

Ability to Commute:

Miami Lakes, FL (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),ABA Therapy of St Lucie,"Port Saint Lucie, FL",$70.00 Per Hour (Employer est.),-1.0,"_Function in a supervisory capacity and provide oversight to all areas of programming including the training of direct support professionals, and person centered strategies consultants (if applicable) .

_ Assist in the development, facilitation, and follow-up training in Applied Behavior Analysis, using both discrete trial training and natural environment training models of teaching.

_Facilitate and assist in the development and identification of resources and support information for clients and their families

_Provide model teaching and other direct instructional supports including, but not limited to, practicum supervision/teaching, class instruction and in-service instruction to other support professionals.

_Assist in the development and implementation of assessment tools, to conduct functional assessments and analyses when appropriate, and to develop appropriate behavior strategies to teach appropriate behavior and reduce maladaptive behaviors.

_Provide ongoing support and training to direct support professionals, ABA implementers, and other individuals in support roles for families.

_Ongoing training and supervision of paraprofessional staff in implementation of ABA principles and methodology and behavior reduction strategies.

_Create ongoing data collection system to establish baseline and programmatic efficacy for all consumers, and to analyze data on a frequent and ongoing basis to guide programming.

_Develop behavior plans/treatment plans for all consumers with a focus on teaching and other antecedent strategies for reducing problematic behavior(s).

_Meet as needed with supervised staff to discuss ongoing consumer issues and to provide support when necessary.

_Review and sign off on behavior plan/treatment plan training for all field staff and provide field supervision when necessary.

_ Utilize Set Works website to enter session notes within 72 hours of each session.

_Provide consultation services and to maintain ongoing communication with all constituents (other supports, parents, community, and community agencies).

_Keep current with the literature, new research findings and resources. In addition, continuing education courses to maintain BCBA certification are necessary (32 credits every 2 years).

_ Maintain all data, paperwork, and communication between personal care staff and families, and to provide ongoing feedback to government related agencies that contract with such families.

_Perform other duties as assigned.

Job Type: Part-time

Pay: From $70.00 per hour

Benefits:

Flexible schedule

Medical specialties:

Pediatrics

Schedule:

Monday to Friday

Language:

Spanish (Preferred)

License/Certification:

Medicaid Provider Number in Florida (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Assistant Behavior Analyst,Luminescence Therapy Center,"Dade City, FL",$40.00 Per Hour (Employer est.),-1.0,"Responsibilities:
- Conduct behavioral assessments and develop individualized treatment plans for individuals with autism and other developmental disabilities
- Implement and monitor behavior intervention programs based on applied behavior analysis principles
- Provide direct supervision and training to behavior technicians and other staff members
- Collaborate with families, caregivers, and other professionals to ensure effective implementation of treatment plans
- Collect and analyze data to evaluate progress and make necessary adjustments to treatment plans
- Maintain accurate and thorough documentation of client progress and treatment interventions
- Stay up-to-date with current research and best practices in the field of behavior analysis

Experience:
- Board Certified Behavior Analyst (BCaBA) certification required
- Experience working with individuals with autism or other developmental disabilities
- Knowledge of applied behavior analysis (ABA) principles and techniques
- Familiarity with behavioral health practices and interventions
- Experience conducting diagnostic evaluations and developing treatment plans
- Proficiency in medical terminology related to developmental disabilities
- Experience working with children is preferred
- Knowledge of HIPAA regulations and ability to maintain confidentiality of client information
- Strong written and verbal communication skills

-Medicaid ID/Code

If you are a dedicated professional who is passionate about making a positive impact on the lives of individuals with autism and developmental disabilities, we invite you to join our team. We offer competitive compensation, a supportive work environment, and opportunities for professional growth. Apply today to become part of our team of compassionate professionals.

Job Types: Full-time, Part-time, Contract

Pay: $40.00 per hour

Expected hours: 40 per week

Benefits:

Flexible schedule
Paid time off

Schedule:

Monday to Friday

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),I Beliv You Matter,"Saint Cloud, FL",$65.00 - $75.00 Per Hour (Employer est.),-1.0,"About us

We are professional, supportive and innovative.

Our work environment includes:

Flexible working hours
Lively atmosphere

We are looking for a Board Certified Assistant Behavior Analyst to join our team and provide evidence-based interventions for individuals with developmental disabilities. The successful candidate will have experience in conducting assessments, developing behavior plans, and providing direct services to individuals in their homes, schools, and other community settings. The Board Certified Assistant Behavior Analyst will also be responsible for training and supervising staff, providing guidance to families, and collaborating with other professionals to ensure the best possible outcomes for clients.

Responsibilities:

Develop and implement behavior plans based on the principles of Applied Behavior Analysis (ABA).
Conduct assessments and analyze data to determine the function of behavior.
Develop positive behavior interventions and strategies to reduce challenging behaviors.
Provide direct instruction to individuals and families in order to increase appropriate behaviors.
Collaborate with other professionals to ensure the best outcomes for individuals.
Conduct functional behavior assessments and develop behavior plans based on the results.
Monitor progress and modify plans as needed.

Job Types: Part-time, Full-time

Pay: $65.00 - $75.00 per hour

Benefits:

Flexible schedule

Language:

English (Required)

License/Certification:

BCBA certification (Required)

Work Location: On the road",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Board Certified Behavior Analyst (BCBA),Preferred Kids Services Inc,"Longwood, FL",$70.00 - $76.00 Per Hour (Employer est.),-1.0,"Preferred Kid Services is an expert level provider of ABA therapy, and our priority is to serve your family and child. At Preferred Kid Services our goal is helping your child reach their full potential through services and support provided in their own settings. We specialize and work on maladaptive behaviors and are result driven in guiding your children to success. Our focus is on specific developmental steps that incrementally build to further your child towards independence, and help them thrive in their daily environments. We work together with parents, caregivers, and teachers to help accelerate and reinforce the treatments plans in place. We focus our services where the child needs the most help including at Home, School and/or the Community. Our goal is for your child to engage through words and appropriate behaviors in their everyday life. At Preferred Kids Services our ultimate goal is to ""Make A Difference Everyday"".

We are looking for a professional BCBA (Board Certified Behavior Analyst) to join our growing team.

Job responsibilities:

Conduct behavioral assessments and develop individualized treatment plans for clients.
Collect and analyze data to monitor progress and make necessary adjustments to treatment interventions.
Monitor behavior analysis programs to reduce the client’s maladaptive behaviors and increase acquisition skills.
Review treatment and makes appropriate modifications as needed.
Provide supervision and parent training to the client’s guardians.
Collaborate with parents, caregivers, and other professionals to ensure consistent implementation of treatment plans.
Maintain accurate and up-to-date medical documentation and records in compliance with HIPAA and insurance regulations.
Stay current on research and best practices in the field of applied behavior analysis.

The position comes with a high degree of flexibility and autonomy, and you are able to set your own schedule with clients and supervisees.

Job Types: Full-time, Part-time, Contract

Pay: $70.00 - $76.00 per hour

Benefits:

Flexible schedule
Professional development assistance
Referral program

Schedule:

Choose your own hours

License/Certification:

BCBA (Board Certified Behavior Analyst) Certification (Required)

Work Location: On the road",-1,-1,-1,-1,-1,-1,True
Board Certified Assistant Behavior Analyst (BCaBA),Witty Children Behavior Therapy,"Miami Lakes, FL",$55.00 Per Hour (Employer est.),-1.0,"Responsibilities:
- Conduct assessments and develop individualized treatment plans for individuals with autism or developmental disabilities
- Provide behavioral therapy and interventions based on the principles of applied behavior analysis (ABA)
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans
- Collaborate with other professionals, such as speech therapists and occupational therapists, to provide comprehensive care
- Train and supervise behavior technicians or other staff members
- Maintain accurate and confidential medical records and documentation in compliance with HIPAA regulations
- Stay up-to-date with current research and best practices in the field of behavioral health and special education

Skills:
- Board Certification as a Behavior Analyst (BCBA)
- Strong knowledge of medical terminology related to behavioral health
- Experience working with individuals with autism or developmental disabilities
- Proficient in conducting assessments and developing treatment plans
- Excellent data collection and analysis skills
- Ability to effectively communicate and collaborate with a multidisciplinary team
- Knowledge of special education laws and regulations

This is an exciting opportunity for a Board Certified Behavior Analyst to make a positive impact on the lives of individuals with autism or developmental disabilities. We offer competitive compensation and benefits packages, as well as opportunities for professional growth and development. If you are passionate about helping others and have the necessary skills and qualifications, we would love to hear from you. Apply now to join our dedicated team!

Job Type: Part-time

Pay: $55.00 per hour

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Vision insurance

Work Location: In person",-1,-1,-1,-1,-1,-1,True
BCBA - Board Certified Behavior Analyst,Kids Therapy Solutions Corp,"Lehigh Acres, FL",$76.00 - $90.00 Per Hour (Employer est.),-1.0,"Kids Therapy Solutions is a private agency providing ABA-based therapy in different settings, including home, school, and community, to promote consistency and generalization. We’re committed to attracting and retaining a talented workforce to support our common goal of transforming lives through ABA Therapy Services. Our team works together to create a quality only possible with a dedicated, collaborative approach.

Responsibilities and Duties

Job responsibilities:

Conduct initial assessments for new clients in consultation with the client’s caregiver, teachers, and other therapists.
Analyze data to determine the effectiveness of treatments or therapy approaches.
Monitor behavior analysis programs to reduce the client’s maladaptive behaviors and increase acquisition skills.
Review treatment and makes appropriate modifications as needed.
Provide supervision and parent training to the client’s guardians.

The position comes with a high degree of flexibility and autonomy, and you are able to set your own schedule with clients and supervisees. This is an independent contractor role and pay is based on reported hours.

Benefits

W2 employment or 1099 independent contractors paid bi-weekly
FREE Supervision
PAID Training
PAID Travel time
PAID In-services
Direct Deposit
Eligible for health, dental, vision benefits, supplemental benefits
Mentorship and career growth opportunities
We pair you with clients based on your location

We are seeking an experienced Board Certified Behavior Analyst to join our team. The ideal candidate will have extensive experience in the field of pediatrics, as well as a strong understanding of the principles of Applied Behavior Analysis (ABA). The successful candidate will be responsible for providing behavior assessments and developing individualized treatment plans for children with autism spectrum disorders and other developmental disabilities. This is an excellent opportunity for a motivated professional to make a difference in the lives of children and families.

Responsibilities:

Develop and implement behavior intervention plans for children with autism spectrum disorder and other developmental disabilities.
Conduct assessments to identify problem behaviors and develop positive behavior support plans.
Monitor progress of behavior intervention plans and make modifications as needed.
Collaborate with parents, teachers, and other professionals to ensure the best outcomes for the child.
Provide training and consultation to parents, teachers, and other professionals on behavior management strategies.
Maintain accurate records of client progress.

Job Types: Contract, Part-time, Full-time

Pay: $76.00 - $90.00 per hour

Benefits:

Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Paid time off
Professional development assistance
Relocation assistance
Tuition reimbursement

Medical specialties:

Pediatrics

Schedule:

4 hour shift
8 hour shift
After school
Choose your own hours
Monday to Friday

Supplemental pay types:

Bonus opportunities
Commission pay
Signing bonus
Tips

License/Certification:

board certified behavior analyst? (Required)

Work Location: On the road",-1,-1,-1,-1,-1,-1,True
Board Certified Assistant Behavior Analyst (BCaBA),Living By Grace BT corp.,"Royal Palm Beach, FL",$60.00 - $90.00 Per Hour (Employer est.),-1.0,"Responsibilities:
- Conduct diagnostic evaluations and assessments to determine the needs of individuals with autism spectrum disorder (ASD)
- Develop and implement individualized treatment plans based on applied behavior analysis (ABA) principles
- Provide direct behavioral therapy services to clients, including skill acquisition, behavior reduction, and social skills training
- Collaborate with other professionals, such as speech therapists and occupational therapists, to ensure integrated and comprehensive care
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans
- Maintain accurate and confidential medical records in compliance with HIPAA regulations
- Stay up-to-date with the latest research and best practices in the field of behavior analysis
- Provide supervision and training to behavior technicians or other staff members

Qualifications:
- Board Certified Behavior Analyst (BCBA) certification required
- Master's degree in Applied Behavior Analysis, Psychology, or related field
- Experience working with individuals with autism or developmental disabilities preferred
- Strong knowledge of behavioral health principles and techniques
- Familiarity with special education laws and regulations
- Excellent data collection and analysis skills
- Ability to communicate effectively with clients, families, and interdisciplinary team members
- Strong organizational skills and attention to detail

Job Type: Full-time

Pay: $60.00 - $90.00 per hour

Expected hours: 40 per week

Ability to commute/relocate:

Royal Palm Beach, FL: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCaBA (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),Little Tesla Pediatric Therapy LLC,"Orlando, FL",$75K - $90K (Employer est.),-1.0,"About Us:

Little Tesla Pediatric Therapy is a thriving, family-owned ABA practice dedicated to providing comprehensive therapeutic services for children aged 0-21. Our multidisciplinary team, which includes Board Certified Behavior Analysts (BCBAs), Occupational Therapists (OTs), Speech-Language Pathologists (SLPs), and Physical Therapists (PTs), collaborates to create a holistic and individualized approach to care. At Little Tesla, we are passionate about making a positive impact in the lives of children and their families. We strive to practice quality over quantity.

Job Description:

We are currently seeking a dynamic and enthusiastic Board Certified Behavior Analyst (BCBA) to join our team at Little Tesla Pediatric Therapy. As a BCBA, you will play a crucial role in developing and implementing behavior intervention plans, collaborating with our team of therapists, and working closely with families to support the unique needs of each child.

Responsibilities:

1. Conduct comprehensive functional behavior assessments and develop evidence-based behavior intervention plans.

2. Collaborate with our multidisciplinary team, including Occupational Therapists, Speech-Language Pathologists, and Physical Therapists, to provide integrated and holistic care.

3. Provide ongoing supervision, training, and support to behavior technicians and other team members.

4. Collaborate with families to ensure a family-centered approach to intervention and treatment planning.

5. Monitor and analyze data to evaluate the effectiveness of behavior intervention plans and make data-driven adjustments.

6. Maintain accurate and up-to-date client records, progress notes, and reports.

7. Stay informed about the latest research and advancements in the fields of Applied Behavior Analysis, Occupational Therapy, Speech-Language Pathology, and Physical Therapy.

Qualifications:

1. Board Certified Behavior Analyst (BCBA) certification.

2. Master's degree in Applied Behavior Analysis or a related field.

3. Experience working with children aged 0-21 with developmental and behavioral challenges.

4. Strong collaboration, communication, and interpersonal skills.

5. Ability to work collaboratively within a multidisciplinary team.

6. Commitment to family-centered and evidence-based practices.

How to Apply:

Interested candidates should submit a resume to info@littleteslapediatrics.com. Please include ""BCBA Application"" in the subject line. Applications will be accepted until 12/31/2023.

Little Tesla Pediatric Therapy is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.

WHAT WE OFFER:

Full and Part Time positions available
Customized compensation packages based on the needs of the applicant
Benefit packages, including:
Medical, Dental, & Vision coverage
PTO and Holidays
401k
Participation in work groups, research projects, and activities to expand the company culture and spread community awareness
Supportive work setting designed to develop staff in a positive employee culture
Center only position, no travel required

REQUIREMENTS:

Masters Degree in Applied Behavioral Analyst
Valid BCBA Certification
Medicaid number
Valid drivers license and auto insurance
Effective time management and interpersonal skills
Ability to effectively communicate with parents, therapist and other medical personnel
Strong leadership skills
Bilingual preferred but not required

Work Remotely

No

Job Types: Contract, Part-time, Full-time

Pay: $75,000.00 - $90,000.00 per year

Expected hours: 10 – 40 per week

Benefits:

Dental insurance
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Vision insurance

Medical specialties:

Pediatrics

Patient demographics:

Children

Schedule:

8 hour shift

Travel requirement:

Up to 25% travel

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCaBA /BCBA),Kids Therapy Tower,"Davenport, FL",$32.00 - $40.00 Per Hour (Employer est.),-1.0,"```
Duties:
- Conduct behavioral assessments and develop individualized treatment plans for clients with developmental disabilities, particularly autism spectrum disorders.
- Implement evidence-based behavioral interventions and strategies to address challenging behaviors and promote skill acquisition.
- Provide ongoing supervision and training to behavior technicians and other team members.
- Collect and analyze data to monitor client progress and make data-driven decisions regarding treatment modifications.
- Collaborate with families, caregivers, and other professionals to ensure a comprehensive and coordinated approach to treatment.
- Maintain accurate and timely documentation of client progress, treatment plans, and interventions.

Qualifications:
- Board Certified Assistant Behavior Analyst (BCaBA) certification.
- Experience working with individuals with developmental disabilities, particularly autism spectrum disorders.
- Knowledge of behavioral health principles and evidence-based practices.
- Familiarity with medical terminology related to developmental disabilities.
- Understanding of special education laws and regulations.
- Strong interpersonal and communication skills to effectively collaborate with clients, families, and interdisciplinary teams.
- Ability to conduct patient assessments and diagnostic evaluations.
- Proficiency in data collection, analysis, and interpretation.
- Excellent organizational skills to manage caseloads and documentation.

Benefits:
Flexible schedule
- Paid time off for vacation and holidays.

To apply for this position, please submit your resume, cover letter, and references to [email protected] Please include ""Board Certified Behavior Analyst"" in the subject line of your email.

Note: Only qualified candidates will be contacted for an interview. Thank you for your interest in joining our team!
```

Job Types: Part-time, Full-time

Pay: $32.00 - $40.00 per hour

Benefits:

Flexible schedule
Paid time off

Medical specialties:

Pediatrics

Schedule:

Day shift
Monday to Friday

Ability to commute/relocate:

Davenport, FL: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCaBA (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
