Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA),"IntelliStars ABA
","Stockbridge, GA",$80.00 - $90.00 Per Hour (Employer est.),5.0,"Pay
$80 - $80 per hour
Job type

Full-time
Part-time

Schedule

Flexible

Job description
As a BCBA, your mission is to build a better future for yourself and the children in your care.
Welcome to Intellistars! Here we empower you to change lives, starting with your own.
Intellistars ABA is a pediatric ABA therapy agency in the Atlanta GA area. At Intellistars, we aim to redefine ASD care by building a talented family of BCBAs and RBTs with communication and respect as our keys to delivering top-quality experiences for families and children with Autism.
Intellistars ABA is committed to providing a supportive and positive experience and work culture for our employees.
Together we strive to create something unique and awesome! Let’s redefine ABA therapy together!
#We’re building a new kind of care family.
Requirements

Conduct assessments and design treatment plans; review and update on a regular basis.
Conduct Functional Behavior Assessments and design Behavior Intervention Plans.
Provide direct supervision and training to behavior technicians in clients’ homes.
Analyze data and implement data-driven program changes.
Maintain positive communication with parents.
Collaborate with parents to incorporate individualized goals into the family’s daily routines, thus providing parent training.
Excellent organizational skills with attention to detail.
Communicative & collaborative.
Committed to purposeful care
Current BCBA certification and a minimum of 2 years of home-based ABA experience.
Familiarity with a variety of Clinical Assessments (Such as Vineland, VB-MAPP, AFLS, etc.)

Benefits

Health insurance
Paid time off
Dental insurance
Vision insurance
Life insurance
Flexible schedule
Referral program
Relocation assistance
Sign on bonus
Professional development assistance
A supportive work family that truly cares

Job Type: Full-time

Pay: $80.00 - $90.00 per hour

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Professional development assistance
Relocation assistance
Vision insurance

Schedule:

Choose your own hours
Monday to Friday
Weekends as needed

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA) for Children with Autism,Haim ABA Services,"Cumming, GA",$82K - $88K (Employer est.),-1.0,"Responsibilities:
- Conduct assessments and develop individualized behavior intervention plans for children with developmental disabilities, special needs, and autism.
- Provide direct behavioral therapy services to clients in various settings, including homes, schools, and clinics.
- Implement behavior management techniques and strategies to promote positive behavior change.
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans.
- Collaborate with parents, caregivers, and other professionals to ensure consistency and generalization of skills across environments.
- Provide training and support to parents and caregivers on implementing behavior intervention strategies.
- Stay up-to-date on the latest research and best practices in the field of applied behavior analysis.

Skills:
- Board Certified Behavior Analyst (BCBA) certification required.
- Experience working with children with developmental disabilities, special needs, or autism.
- Strong knowledge of behavior analysis principles and techniques.
- Effective communication and interpersonal skills.
- Ability to work independently as well as part of a multidisciplinary team.

Note: This job description is intended to provide a general overview of the position. It is not an exhaustive list of responsibilities, skills, or qualifications associated with the role.

Job Type: Full-time

Pay: $82,468.00 - $87,592.00 per year

Benefits:

401(k)
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance

Compensation package:

Bonus opportunities

Schedule:

Choose your own hours
Monday to Friday

License/Certification:

BCBA (Required)

Willingness to travel:

25% (Required)

Work Location: Hybrid remote in Cumming, GA 30040",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),"Pathways Autism Center
","Atlanta, GA",$80K - $100K (Employer est.),3.2,"Pathways Autism Center is currently hiring for full-time and part-time Board Certified Behavior Analyst positions in our Sandy Springs, Johns Creek and Marietta clinics. In addition, we have positions available in our school consultation program.

Base pay for full-time salaried positions starts at $80,000.00 - $100,000.00 per year with the opportunity for relocation assistance. Part-time positions range from $60-70 an hour, fee for service.

Pathways is a leading provider of ABA therapy services in GA. We are a family owned business and have won awards in excellence, Behavioral Health Center of Excellence (BHCOE), Georgia Small Business Persons of the Year by US Small Business Administration (SBA), and Small Business “Success Story” by the Small Business Development Center of GA.

BENEFITS

Comprehensive Health, Dental, and Vision benefit package

Aggressive Monthly Bonus Plan

401(k) Company Match

Robust Paid Time Off (PTO)

Company Holidays

Flexible Scheduling

CEU Reimbursement and Conference Attendance

Work Life Balance

Opportunities for leadership and career advancement

JOB DESCRIPTION

A board certified behavior analyst (BCBA)is responsible for developing effective treatment for children with ASD, providing supervision and training to staff to oversee treatment fidelity, and collaborating with colleagues in an energetic and supportive environment and focused on quality and ethics.

RESPONSIBILITIES:

Provide regular training and support to direct care staff implementing treatment protocols in clinic, school, and community settings
Complete functional behavior assessments (FBAs), functional analyses (FA), and design behavior intervention plans for clients, to include follow through and support assistance for correct implementation
Design skill acquisition protocols inclusive of developing communication, social skills, independence, and behavior skill sets
Regularly review and analyze data to determine program and treatment outcomes and train and support staff on correct data collection measures
Provide oversight to cases, staff and family to make sure all company policies are followed and that treatment is provided according to ethical and best standards of practice
Provide regular training to parents and multidisciplinary professionals pertaining to applications of ABA
Comply with organization, state and federal regulations set forth to include professional development, safety training, confidentiality policies, and adhere to the BCBA task list
Work collaboratively with other therapists, providers, BCBAs, and school staff for effective programs
Demonstrate positive attitude and professional and ethical conduct at all times
Participate in all team meetings and company wide trainings as designated by supervisor and organization
Maintain good standing and certification status with the Behavior Analyst Certification Board (BACB®)
Performs other related duties as assigned by management

QUALIFICATIONS:

Hold a minimum of a master’s degree (BCBA) or bachelor's degree (BCaBA) in related field (education or psychology)
Hold a certification as a BCBA or BCaBA and be in good standing with the BACB®
Experience with designing treatment protocols, behavior intervention plans and skill acquisition programs using behavior analytic principles with individuals with developmental disabilities and autism
Experience collaborating with other professionals and therapist to implement practices and principles of ABA in clinic, home, community, and school settings
Experience with delivering direct instruction/implementation of skill & behavior protocols
Experience training staff, parents, and direct care workers in implementation of ABA
Completed the supervision and ethics requirements outlined by the BACB®
Maintain current CPR and First Aid requirements

Please visit our careers page on our website at www.pathwaysbehavior.comor our Indeed page to learn more about the BCBA position and other opportunities at Pathways Autism Center.

Equal Opportunity/Affirmative Action Employer; M/F/D/V

Pathways Autism Center is proud to be an Equal Employment Opportunity Workplace. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be.

The above is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of duties, responsibilities or physical requirements. Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Job Type: Full-time

Pay: $80,000.00 - $100,000.00 per year

Schedule:

Monday to Friday

Ability to commute/relocate:

Atlanta, GA 30328: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA (Required)

Work Location: In person",-1,Health Care Services & Hospitals,$5 to $25 million (USD),Healthcare,51 to 200 Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA) Hybrid Telehealth,"SkyCare ABA
","Conyers, GA",$75.00 - $100.00 Per Hour (Employer est.),3.1,"Board Certified Behavior Analyst (BCBA) Hybrid Telehealth

Job Description:
SkyCare ABA is a dynamic collaborative and innovative ABA pediatric therapy agency that is looking for an experienced BCBA to join our dynamic team of committed and dedicated professionals. Our mission is changing children's lives, one child at a time!

Salary and Benefits:

Competitive Salary
Health Insurance
Dental Insurance
Vision Insurance
401K
Paid Legal Holidays
PTO
Focus on flexibility and independence with scheduling
Opportunities for leadership and program development

Responsibilities:
- Conduct functional behavior assessments to identify the underlying causes of challenging behaviors
- Develop and implement individualized behavior intervention plans for clients
- Provide direct behavioral therapy services to clients with autism and other developmental disabilities
- Collect and analyze data to monitor progress and make data-driven decisions
- Collaborate with families, caregivers, and other professionals to ensure consistency in treatment approach
- Provide training and support to parents and caregivers on implementing behavior strategies at home
- Stay up-to-date with the latest research and best practices in the field of applied behavior analysis

Experience:
- Board Certified Behavior Analyst (BCBA) certification required
- Experience working with children with special needs, particularly those with autism or developmental disabilities
- Strong knowledge of applied behavior analysis principles and techniques
- Proficient in conducting functional behavior assessments and developing behavior intervention plans
- Experience in data collection and analysis for monitoring progress and making treatment decisions
- Excellent communication skills, both written and verbal, to effectively collaborate with clients, families, and other professionals

Job Types: Part-time, Full-time

Pay: $75.00 - $100.00 per hour

Expected hours: 10 – 40 per week

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

Choose your own hours

Supplemental pay types:

Signing bonus

Work Location: In person",-1,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,Unknown,Company - Public,True
Board Certified Behavior Analyst (BCBA),Autismness ABA LLC,"Roswell, GA",$85K - $95K (Employer est.),-1.0,"About us

At Autismness ABA, we are professional, innovative, fun and our goal is to provide a quality and rewarding environment for our clients and staff. We currently have a wait list and are expanding to offer services to more clients.

Our work environment includes:

Modern office setting
Work-from-home days
Growth opportunities
Relaxed atmosphere
On-the-job training

Responsibilities:
- Conduct assessments and develop individualized treatment plans for children with autism and other developmental disabilities
- Provide direct behavioral therapy services to clients, implementing evidence-based interventions
- Collect and analyze data to monitor progress and make data-driven decisions
- Collaborate with families, caregivers, and other professionals to ensure continuity of care and effective treatment outcomes
- Train and supervise behavior technicians or other staff members in implementing treatment plans
- Stay up-to-date with current research and best practices in the field of applied behavior analysis (ABA)

Requirements:
- Board Certified Behavior Analyst (BCBA) certification
- Experience working with children with autism or other developmental disabilities
- Knowledge of special education laws and regulations
- Strong understanding of behavioral principles and strategies
- Excellent communication and interpersonal skills
- Ability to work independently and as part of a multidisciplinary team
- Proficient in data collection and analysis techniques

At our organization, we offer a supportive and collaborative work environment where you can make a real difference in the lives of individuals with special needs. We provide ongoing professional development opportunities to help you stay at the forefront of the field. Join our team of dedicated professionals who are passionate about helping children reach their full potential.

Note: This job description is not intended to be all-inclusive. Employee may perform other related duties as assigned to meet the ongoing needs of the organization.

Job Type: Full-time

Pay: $85,000.00 - $95,000.00 per year

Benefits:

Dental insurance
Employee assistance program
Health insurance
Life insurance
Paid time off
Professional development assistance
Vision insurance

Medical specialties:

Pediatrics

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Roswell, GA 30075: Reliably commute or planning to relocate before starting work (Required)

Education:

Master's (Required)

Experience:

BCBA: 1 year (Required)

License/Certification:

BCBA (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
BCBA (Behavior Certified Behavior Analyst) for Pediatric Clinic,Atlanta Pediatric Therapy/Applied Pediatrics,"Atlanta, GA",$65K - $85K (Employer est.),-1.0,"Qualifications

In-person preferred but open to remote supervision of RBT's and ABA's

Georgia Supervision Experience a plus!

Master’s degree in Applied Behavior Analysis, Psychology, or related field

Willing to obtain a license in the state of Georgia

Minimum of two years of experience working in the field of applied behavior analysis

Current BCBA certificate in good standing

Completion of 8 hours of supervisor training or pending completion of hours

Valid driver’s license and personal auto insurance

Ability to operate computers, electronic devices, office machinery and other devices associated with clinical treatment

Strong communication skills, both written and oral

Team oriented attitude

Ability to multitask

Adaptability and eagerness to work in a changing environment

Able to work autonomously, as well as in a group

Self-motivation, dependable, and strong problem-solving and conflict-resolution skills

Experience conducting ABLLS and/or VB-MAPP, as well as writing behavior programs

Supervisory experience, especially conducting performance evaluations

ABA: 2 years (Required)

BCBA (Required)

Responsibilities

Disseminate information regarding ASD and Applied Behavior Analysis (ABA) through training and presentations

Conduct and participate in professional development training

Uphold professional and ethical standards, company and BACB standards

Serve as the clinical supervisor for assigned cases, working with both the RBT/Behavior Therapist to ensure treatment is being implemented with high fidelity

Conduct caregiver training, collect interobserver reliability data, review client programs to analyze data, observe program implementation, and make necessary changes to the treatment program

Discuss observations/concerns of caregivers

Collaborate with caregivers and other professional

Conduct behavioral, developmental and functional-based assessments

Develop, oversee, and update client’s Behavior Support Plan (BSP)

Maintain Continuing Education for BCBA requirement

Comply with state, local, and funding source standards

Job Types: Contract, Part-time, Full-time

Pay: $65,000.00 - $85,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Retirement plan
Vision insurance

Medical specialties:

Pediatrics

Patient demographics:

Adolescents
Children

Schedule:

Day shift
Evening shift
Weekends as needed

License/Certification:

BCBA (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst,Apek ABA Services,Georgia,$70.00 - $95.00 Per Hour (Employer est.),-1.0,"Duties:
- Conduct behavioral assessments to identify target behaviors and develop individualized treatment plans
- Implement evidence-based behavioral interventions to address the needs of individuals with developmental disabilities, particularly those with autism
- Provide direct behavioral therapy to clients, including teaching new skills and reducing challenging behaviors
- Collect and analyze data on client progress and make adjustments to treatment plans as needed
- Collaborate with other professionals, such as speech therapists and occupational therapists, to ensure comprehensive care for clients
- Train and supervise behavior technicians or other support staff in implementing treatment plans
- Communicate regularly with clients' families to provide updates on progress and discuss strategies for generalization of skills

Requirements:
- Board Certification as a Behavior Analyst (BCBA)
- Experience working with children or individuals with special needs, particularly those with autism
- Knowledge of applied behavior analysis (ABA) principles and techniques
- Familiarity with data collection methods and analysis
- Strong communication and interpersonal skills to effectively collaborate with clients, families, and other professionals
- Ability to work independently and as part of a multidisciplinary team
- Understanding of special education laws and regulations

Please note that this is not an exhaustive list of duties and requirements. Additional responsibilities may be assigned based on the needs of the organization and the specific clients being served.

At Apek ABA, we're dedicated to delivering quality ABA services for children with ASD. Our customized care planning ensures that every child has the best opportunity for mastering valuable skills to help improve the lives of our clients and their families.

Job Types: Full-time, Part-time, Contract

Pay: $70.00 - $95.00 per hour

Expected hours: 5 – 40 per week

Benefits:

401(k)
401(k) matching
Dental insurance
Life insurance
Paid sick time
Paid time off
Parental leave
Vision insurance

Compensation package:

Bonus opportunities

Patient demographics:

Adolescents
Children

Schedule:

Monday to Friday
Weekends as needed

License/Certification:

BCBA Certification (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Data Analyst,"DataHaven Solutions, Inc",United States,$125K - $150K (Employer est.),-1.0,"Job Requirements:

Security Clearance - Current Secret level clearance is required and therefore all candidates must be a U.S. Citizen. Can also consider candidates with a TS/SCI clearance.
5+ years of experience in cyber security operations related fields and a Bachelors in related field or 3 years experience with Masters; or High School Diploma and 9 years experience.
Excellent verbal, written, analytical, and presentation skills.
Excellent work ethic and a high commitment to quality.
Proven working experience as a Data Analyst or Business Data Analyst
Ability to work with stakeholders to assess potential risks.
Ability to translate business requirements into non-technical, lay terms.
High-level experience in methodologies and processes for managing large-scale databases.
Demonstrated experience in handling large data sets and relational databases.
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Must be able to work a hybrid role with some on customer site support
Develop and implement data exploration techniques, data analytics, and other strategies that optimize data efficiency and quality.
Identify, analyze, and interpret trends or patterns in complex data sets.
Support initiatives for data integrity and normalization, including data sources, security, and metadata.
Providing technical expertise in data storage structures, data mining, and data cleansing.
Demonstrated ability to work well independently with little input, and as a part of a team.
Other duties as assigned.
5+ years of experience in cyber security operations related fields and a Bachelors in related field or 3 years experience with Masters; or High School Diploma and 9 years experience.
Excellent verbal, written, analytical, and presentation skills.
Excellent work ethic and a high commitment to quality.
Proven working experience as a Data Analyst or Business Data Analyst
Ability to work with stakeholders to assess potential risks.
Ability to translate business requirements into non-technical, lay terms.
High-level experience in methodologies and processes for managing large-scale databases.
Demonstrated experience in handling large data sets and relational databases.
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Must be able to work a hybrid role with some on customer site support

Job Duties and Responsibilities:

Interpreting data, analyzing results using statistical techniques, and providing reports.
Develop and implement data exploration techniques, data analytics, and other strategies that optimize data efficiency and quality.
Identify, analyze, and interpret trends or patterns in complex data sets.
Support initiatives for data integrity and normalization, including data sources, security, and metadata.
Providing technical expertise in data storage structures, data mining, and data cleansing.
Demonstrated ability to work well independently with little input, and as a part of a team.
Other duties as assigned.

Preferred Requirements

Prior experience interfacing and consulting with customers is a big plus.
Experience in data mining and sentiment analysis of social media datasets.

(16671 - Fort Eisenhower, GA)

Job Type: Full-time

Pay: $125,000.00 - $150,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Supplemental pay types:

Bonus opportunities

Education:

Bachelor's (Required)

Experience:

Data analysis skills: 5 years (Required)
SQL: 3 years (Required)
JavaScript: 2 years (Required)
XML: 2 years (Required)

Security clearance:

Secret (Required)

Work Location: Hybrid remote in Fort Eisenhower, GA 30905",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Imports Supply Chain Analyst,"burton+BURTON
","Bogart, GA",$52K - $74K (Glassdoor est.),2.8,"Functional Job Title: Imports Supply Chain Analyst (on-site position)

Department: Imports with direct report to company CEO

A Top Ten Employer in the Athens, GA, area offering annual $5000 childcare assistance. burton+BURTON, located in Athens, GA, and founded in 1982, is the world's largest balloon, gift and home decor wholesaler.

Visit our website and virtual showroom at www.burtonandburton.com.

Position Summary of Essential Job Responsibilities:

The Imports Supply Chain Analyst has sound analytical abilities and a strong business acumen and is responsible for generating reports and performing analysis on a variety of business functions including reviewing and analyzing monthly sales reports, forecasting inventory needs, as well as monitoring and analyzing in-stock data. This position analyzes data and presents in a manner that supports business decision-making.

Functional Competencies:

Ability to read, write, and speak clearly in English; proficient with desktop/laptop/tablet computers and MS Office (Word, Excel, and Outlook).
Advanced knowledge and experience using Excel VLOOKUP, Pivot Tables, Advanced Formulas).
Job proven analytical and quantitative skills; ability to think strategically and execute methodically.
Ability to proof metrics and reporting to ensure accuracy of data prior to distributing to others.

Preferred Education and Experience: Bachelor's degree, specifically in Business Management, Finance, or any other related field; a minimum of 2 years’ experience in a supply chain analyst role or equivalent combination of education and experience.

Work Environment:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to use hands to finger, handle, or feel; reach with hands and arms; and talk or hear. The employee is occasionally required to stand, walk, stoop, kneel, crouch or crawl. The employee is frequently required to sit and occasionally may climb or balance. The employee may occasionally lift and/or move up to ten (10) pounds and occasionally lift and/or move up to twenty-five (25) pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus.

Licenses, Professional Certifications and Other Qualifications

None required.

Supervision and Decision Making

This position has no supervisory responsibilities.

burton+BURTON is an Equal Employment Opportunity employer committed to providing equal opportunity in all of our employment practices, including selection, hiring, assignment, reassignment, promotion, transfer, compensation, discipline, and termination. The Company prohibits discrimination, harassment, and retaliation in employment based on race; color; religion; genetic information; national origin; sex (including same sex); pregnancy, childbirth, or related medical conditions; gender; age; disability or handicap; citizenship status; service member status; or any other category protected by federal, state, or local law.

Job Type: Full-time

Benefits:

401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Education:

Bachelor's (Required)

Experience:

Data analytics: 1 year (Required)

Work Location: In person",1982,Wholesale,Unknown / Non-Applicable,Retail & Wholesale,201 to 500 Employees,Company - Private,True
Senior Business Analyst - Hybrid,"Unum
","Atlanta, GA",$83K - $109K (Glassdoor est.),3.7,"Our Fortune 500 company is driving a digital transformation and looking for forward-thinking innovators to disrupt how our industry thinks about and uses technology. As one of the world's leading employee benefits providers, we help millions of people gain affordable access to benefits that help them protect their families, their finances and their futures.

Are you an asker of questions, a solver of problems, and a challenger of the status quo? Our mission is to provide a differentiated customer experience and exceed the expectations people have of technology at any company — not just insurers.

We are seeking individuals to join our team of talented IT professionals who share never-ending passion and an unwavering focus on our customer experience. Team members comfortable working in an agile, fast-paced, and delivery-focused environment thrive in our environment where we value an entrepreneurial spirit and those who challenge the status-quo.

Unum is changing, and we’re excited about what’s next. Join us.

General Summary:

This is a hybrid opportunity, defined as a work environment that combines remote work and in-office work. This allows employees to have the flexibility to work from both home and the office, striking a balance that suits individual preferences and job responsibilities. Additionally, it promotes collaboration, work-life balance, and diversity of thought. 2 in-office days per week from our Atlanta, GA, Portland, ME, Chattanooga, TN, or Columbia, SC campuses.

Unum is hiring a Senior Business Analysts responsible for ensuring the delivery of the defined business objectives within the agile team. They would handle advancement of business solutions across a business portfolio by working closely with IT Leadership, Product Owners, Business SME’s and Business Architects. Senior Business Analyst will play a critical role in mentoring Business Analysts of all levels to ensure we are growing future talent within the agile teams as well as preparing and presenting data to senior management. They will serve as a subject matter expert and have a deep understanding of the Unum business model – both the products we sell and the services model we employ - and will bring forward areas where investment will bring benefit to our customers and the company.

Job Specifications

Bachelor’s degree required, relevant professional qualification or acceptable industry experience.
6+ years successful experience in defining and delivering valuable solutions to our customers
Intellectual curiosity, learning agility, and enthusiasm for tackling tough problems
Excellent communication skills, both written and oral. Comfortable leading groups of people in discussions
Strong team player; able to work effectively within a team and more broadly with people from a variety of backgrounds and areas across the organization.
Able to deal with significant ambiguity and translate into more tangible outcomes
Strong insurance or relevant industry experience
Proven track record of success with business delivery (software solutions)
Demonstrates a metrics and financial mindset to ensure ROI for business
Certifications strongly encouraged

Principal Duties and Responsibilities

Maintain holistic understanding of IT Delivery roadmap and track any changes to the roadmap are aligned in the backlog tooling enabling teams to leverage automated roadmaps and status report, metrics functionality
Pega experience is preferred
Ensures that Product or adoption KPIs identified can feasibly be measured and tracked through the development and delivery activities, ensuring key data points are identified and included from the outset within the scope of the agile teamwork. Identify trends in supporting or cascading metrics that may impact the KPI up to the PO and leadership team
Maintains holistic understanding of relevant client personas and uses these personas to refine work items to develop shared understand across the Agile Team of the client needs
Ensure product backlog quality of work item descriptions are concise and effective represent user needs, with any sufficiently detailed, precise acceptance criteria to support testing and acceptance of the work. Ensure that key data points on the work items are in place to provide expected transparency. Responsible for the investigation and application of changes to program scope. Identifies the impact on business requirements of external impacts affecting a program or project.
Elicit requirements using interviews, document analysis, requirements workshops, surveys, site visits, and task/process/workflow analysis selecting the appropriate means of representing the business requirement and ensuring traceability back to source (tools such as blueworks for process mapping, excel).
Be prepared to do presentations to senior leaders
Industry Analysis of trends, technology and market advancements and demonstrated application into our context
Partners with UX and builds knowledge of UX tools and techniques to incorporate persona needs into the product backlog and requirements
Performs system and business process analysis and mapping leveraging enterprise toolset
Maintain and model best practices on a set of tactical agile techniques in relation to work decomposition, planning, estimation, backlog tooling, status reporting
Collaborates with the Business Architect, Product Owner, agile team and relevant subject matter experts to define concise and effective user stories from the capabilities roadmap also detailing precise and accurate acceptance criteria. This includes functional and non-functional requirements
Collaborates with the Team (Architects, Software Engineers, Test Engineers, etc.) to ensure that the team understands the work item as defined in order to help them develop high quality features and solutions that meet or exceed what the Product Owner is expecting
Ensure that product backlog work items e.g. user stories are meeting the definition of ready in line with enterprise targets on backlog readiness, often called planning horizons or planning intake funnel
Ensure backlog work item decomposition is meeting enterprise standards with respect of quality of content and data integrity on key fields to drive transparency and effective reporting
Models behaviors and practices to leverage and fully optimize methodology adoption outlined in product area. E.g. Customer Journey, Agile Methodologies, Program Execution Framework i.e. Program Ways of Working
Collaborates with Business & Technical Architects to evaluate the business suitability of applications/solutions in support of the capabilities roadmap
Evaluates native functionality from third party/cloud solutions and identifies opportunities to meet business needs including page layouts, workflows, reporting and dashboards
Responsible for the investigation and application of changes to program scope. Identifies the impact on business requirements of external impacts affecting a program or project.
Mentors Business Analyst I’s and Business Analyst II’s to ensure appropriate business analyst standards and practices are met, where appropriate
Responsible for assessing requests for change and their impacts on existing applications/solutions in the business portfolio and ensuring the changes are prioritized and assessed for risk appropriately.
Collaborates with the agile team to ensure appropriate acceptance criteria is defined and met by participating in all test activities where necessary to ensure successful feature delivery.
Ensures an innovation culture in the team by continuous improvement of deliveries and participates in evaluating new processes and technologies that can be applied to future feature delivery
Participates in retrospectives to ensure the agile team continuously improves and ensures that value stream mapping is completed in order to remove waste in the process
Collaborates with Chief Product Owner and Product Owner on prioritization and grooming of the capability backlog. Ensure that key information needed to support PO prioritization is current, accurate and available in a usable format to drive high quality decisions.
May serve in a Scrum Master role for an agile team
Ensures that the latest project progress is known to the agile team by ensuring Application Lifecycle Management (ALM) tools are up to date and participating in daily stand-ups outlining progress made, progress planned and detailing impediments
Identifies data source, gathers and analyzes data relevant to processes identified for process improvement initiatives.

#LI-AS3

#LI-MULTI

#LI-Hybrid

~IN1

Our company is built on helping individuals and families, and this starts with our employees. We want employees to maintain a positive balance, which is why we provide access to the benefits and resources they need to invest in themselves. From our onsite fitness facilities and generous paid time off to employee professional development programs, we are committed to helping employees live and work their best – both inside and outside the office.

Unum is an equal opportunity employer, considering all qualified applicants and employees for hiring, placement, and advancement, without regard to a person's race, color, religion, national origin, age, genetic information, military status, gender, sexual orientation, gender identity or expression, disability, or protected veteran status.

The base salary range for applicants for this position is listed below. Unless actual salary is indicated above in the job description, actual pay will be based on skill, geographical location and experience.

$89,400.00-$174,800.00

Additionally, Unum offers a portfolio of benefits and rewards that are competitive and comprehensive including healthcare benefits (health, vision, dental), insurance benefits (short & long-term disability), performance-based incentive plans, paid time off, and a 401(k) retirement plan with an employer match up to 5% and an additional 4.5% contribution whether you contribute to the plan or not. All benefits are subject to the terms and conditions of individual Plans.

Company:

Unum",1848,Insurance Carriers,$10+ billion (USD),Insurance,5001 to 10000 Employees,Company - Public,False
