Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA)- Richmond (3 clients available),"Step Ahead ABA
","Richmond, IN",$100.00 Per Hour (Employer est.),4.0,"Step Ahead ABA strongly believes that BCBA’s (and RBT’s, for that matter) deserve:

the support they need to provide quality care without burning themselves out,
leadership they trust to operate ethically and in the best interest of clients and staff,
trust from supervisors to do their job without micromanagement,
mentorship opportunities to build their skills,

and (quite importantly)

compensation that reflects the importance of the work they do.

Our clinical team is growing and we’re looking for talented, driven Board Certified Behavior Analysts ready for a change and a team member centered culture. We provide home and community-based services to autistic individuals and their families and are dedicated to ensuring small caseloads to focus your skills where it’s needed most. Our dedicated administrative team works to minimize busy work for our clinicians and do a great job at it!

Why Work for Us?:

“Full-time” caseloads designed around ~25 client hours per week
Join our well-rounded team (1-10+ years of experience in the field)
Meet regularly with colleagues to share knowledge, insights, and grow clinical skills as a team!
Full autonomy over your schedule and cases with the support when and where you need it
A company committed to it’s values

What We Offer:

Full-time and part-time positions available!
Relocation assistance—let us help you join our team!
Flexible compensation packages—$100/client hour (uncapped earning potential and no minimum billings!)
Ongoing clinical support from a BCBA Regional Director and mentorship opportunities for new BCBA’s and students working towards certification
A great place to work that’ll respect your time… when you’re not at work!

Qualifications:

A valid Board Certified Behavior Analyst certification OR intent to sit for board exams within next 3 months
Clinical experience with Autism Spectrum Disorders and other developmental disorders
Cultural humility and responsiveness
Spanish speaking bilingual a plus!
Responsibilities:

- Conduct assessments and develop individualized treatment plans for individuals with autism and other developmental disabilities
- Implement evidence-based behavioral interventions and strategies
- Provide direct behavior analytic services to clients, including behavioral therapy and skill acquisition training
- Collect and analyze data to monitor progress and make data-driven decisions
- Collaborate with families, caregivers, and other professionals to ensure consistency and generalization of skills across settings
- Maintain accurate and up-to-date documentation of client progress, treatment plans, and medical records
- Stay current with research and best practices in the field of applied behavior analysis (ABA)
- Adhere to ethical guidelines and maintain confidentiality in accordance with HIPAA regulations

Requirements:
- Board Certified Behavior Analyst (BCBA) certification
- Experience working with individuals with autism or developmental disabilities
- Knowledge of applied behavior analysis (ABA) principles and techniques
- Familiarity with behavioral health practices and interventions
- Understanding of special education laws and regulations
- Strong interpersonal skills and the ability to work effectively with clients, families, and multidisciplinary teams
- Excellent written and verbal communication skills
- Proficient in data collection, analysis, and report writing

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties as negotiated to meet the ongoing needs of the organization.

Job Types: Full-time, Part-time

Pay: From $100.00 per hour

Benefits:

401(k) matching
Paid time off
Professional development assistance
Referral program

Schedule:

Day shift
Evening shift
Monday to Friday
Weekends as needed

Ability to commute/relocate:

Richmond, IN: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA credential or plan to sit within the next three months? (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,True
Board Certified Behavior Analyst (BCBA),"Supportive Care ABA
","Muncie, IN",$70K - $100K (Employer est.),2.0,"Responsibilities:

Conduct assessments to determine the needs and goals of individuals with developmental disabilities, specifically children with autism.
Develop and implement behavior intervention plans based on individual needs and goals.
Provide direct behavioral therapy to clients using evidence-based practices.
Collect and analyze data to monitor progress and make necessary adjustments to treatment plans.
Collaborate with families, caregivers on implementing behavior strategies at home.

Skills:

Board certified Behavior Analyst (BCBA) certification required.
Experience working with children with special needs, particularly those with autism or developmental disabilities.
Knowledge of applied behavior analysis (ABA) principles and techniques.
Strong data collection and analysis skills.
Excellent communication and interpersonal skills to effectively collaborate with clients, families, and other professionals.
Ability to develop and implement behavior intervention plans tailored to individuals needs.

*

Job Types: Full-time, Part-time

Pay: $70,000.00 - $100,000.00 per year

Benefits:

Flexible schedule
Paid time off
Parental leave

Schedule:

10 hour shift
12 hour shift
4 hour shift
8 hour shift
After school
Choose your own hours
Day shift
Evening shift
Monday to Friday
Weekends as needed

Supplemental pay types:

Bonus opportunities
Signing bonus

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Board Certified Behavior Analyst (BCBA) - Early Intervention,Sunshine ABA Therapy,"Bloomington, IN",$70K - $80K (Employer est.),-1.0,"Responsibilities:

-Assists in managing clinical operations of Bloomington IN location

-Requires hands-on training with students studying Applied Behavior Analysis

-Small case load (6-8) with early intervention (patient age range 2-4)

- Conduct assessments and develop individualized treatment plans for children with autism and other developmental disabilities

- Provide one-on-one consultation to clients, therapists, and all stakeholders based on the principles of Applied Behavior Analysis (ABA)

- Implement behavior intervention strategies to address challenging behaviors and promote skill development

- Collect and analyze data to track progress and make data-driven decisions regarding treatment plans

- Collaborate with a multidisciplinary team, including parents, caregivers, and other professionals, to ensure coordinated care

- Provide training and support to parents and caregivers on implementing behavior management strategies at home

Skills:
- Board Certified Behavior Analyst (BCBA) certification required

-Expert in communication of Behavior Intervention Plan strategies to external stakeholders

-Proficient in Data Analysis, Data Collection and Systems management

- Extensive experience working with children with Autism and/or Developmental disabilities

- Proficient knowledge of Applied Behavior Analysis (ABA) principles and techniques

- Strong data collection and analysis skills

- Excellent communication and interpersonal skills

- Ability to work independently and as part of a team

-Ability to lead large groups towards common goal

This role requires a strong commitment to making a positive impact on the lives of children with special needs and all those involved. The successful candidate will have the opportunity to work in a collaborative and supportive environment, manage teams, further their training, education, and certification with other experts in the field, and ultimately make a difference in the lives of individuals and families that is long lasting.

Please note that this is a full-time position with competitive compensation and allows for flexible schedule and frequent access to professional development opportunities

Job Type: Full-time

Pay: $70,000.00 - $80,000.00 per year

Benefits:

Employee assistance program
Parental leave
Referral program

Compensation package:

Bonus opportunities

Medical specialties:

Pediatrics

Patient demographics:

Children

Schedule:

No weekends

License/Certification:

BCBA (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),BrightKyte,"Merrillville, IN",$70K - $90K (Employer est.),-1.0,"Duties:

- Conduct assessments and develop individualized treatment plans for clients with developmental disabilities, particularly those with autism spectrum disorder.
- Provide direct behavioral therapy services to clients, implementing evidence-based interventions and strategies.
- Collect and analyze data on client progress, making adjustments to treatment plans as needed.
- Collaborate with other professionals, such as speech therapists and occupational therapists, to ensure a comprehensive approach to client care.
- Train and supervise behavior technicians or other staff members working with clients.
- Provide support and education to families of clients, offering guidance on implementing strategies at home.
- Stay up-to-date on the latest research and best practices in the field of applied behavior analysis.

Requirements:

- Board Certified Behavior Analyst (BCBA) certification.
- Experience working with children with special needs, particularly in the field of special education or applied behavior analysis.
- Strong knowledge of behavioral principles and interventions for individuals with developmental disabilities.
- Excellent data collection and analysis skills.
- Ability to develop and implement individualized treatment plans based on assessment results.
- Strong communication skills, both written and verbal, to effectively collaborate with clients, families, and other professionals.
- Ability to work independently and as part of a team.
- Compassionate and patient demeanor when working with individuals with special needs.

Note: This job description is not intended to be all-inclusive. The employee may be required to perform other duties as assigned.

Job Type: Full-time

Pay: $70,000.00 - $90,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Professional development assistance
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Supplemental pay types:

Bonus opportunities

Ability to commute/relocate:

Merrillville, IN: Reliably commute or willing to relocate with an employer-provided relocation package (Required)

License/Certification:

BCBA Certification from the BACB? (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Senior Data Analyst,"Beacon Health System
","Granger, IN",$69K - $110K (Employer est.),3.4,"Hybrid position in Granger, Indiana!

Sign-On Bonus available!

Minimum of five years of experience in data analytics or database management required.

Reports to the Director of Business Intelligence. Plays a role in shaping Beacon's data infrastructure, inclusive of data-warehousing, reporting, and analytics platforms. Using logical approaches and sound methodologies, mines data in search of innovative business insights and communicates findings to the relevant stakeholders. This includes building statistical models, diagnosing, validating, and improving the performance of these models over time in addition to creating efficient and reusable processes meant for the improvement, manipulation, and analysis of data. Additionally the Sr. Data Analyst leads data projects from requirements gathering to project implementation, identifying and communicating risks and issues along the way to ensure successful project delivery. This analytical role develops KPIs and other reporting mechanisms within Beacon for the purpose of identifying trends and evaluating the success of the Beacon's initiatives.

Supports Beacon's strategic growth decisions across the organization by:

Providing market research reporting, analyzing data and delivering actionable data in a timely manner for Beacon Health System.
Identifies, evaluates, and documents potential data sources in support of project requirements within the assigned departments within Beacon.
Preparing market reports to support new business plans and expansion opportunities.
Ensuring processes developed are reliable, repeatable, scalable, and documented.
Providing actionable insight into current market trends to drive decisions on Beacon's strategic positioning.
Supports and executes change management activities with regard to data analysis across Beacon.
Utilizes data to guide assigned business departments through all programs and initiatives, enabling continuous improvement in data quality, departmental performance, and overall business performance.

Makes positive contributes towards developing an organizational culture at Beacon Health System that uses data to make better decisions by:

Provides accurate and effective communication between technical and business teams.
Connects the use of data with business processes and identifies opportunities to innovate. Leads conversations with end-users to identify innovation opportunities.
Validates innovation ideas by developing proof-of-concepts to test idea feasibility.
Develops models and ad hoc reports, sharing observations and recommendations with senior management, executives, and stakeholders for further consideration.

Supports the development and maintenance of a system-wide data analytics platform and function by:

Develop a deep understanding of data structures and business knowledge to ensure veracity of the data presented in BI platform. Document existing processes and propose improvements to support an accessible, accurate, and scalable BI platform. Develop, execute, and document best practices associated to extracting data from BI landscape to educate end users.
Demonstrate a strong customer focus and collaborative relationship with end users. Develop and propose innovative approaches for making data driven decisions. Support end user training by developing training materials and facilitating individual and group training sessions.

Education and Experience

The knowledge, skills and abilities as indicated below are normally acquired through the successful completion of a Bachelor's Degree in Data Analytics, Informatics, Database Management, Business, Economics, or a related field.
Master's degree in business preferred.
A minimum of five years of experience in data analytics or database management, preferably in a healthcare setting, is required.

Knowledge & Skills

Requires strong analytical skills, with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Requires a strong background in financial analysis and using data to support decision-making.
Requires an in-depth technical expertise regarding data models, database design development,
Requires excellent interpersonal skills, able to deal effectively with diverse skill sets and personalities, provide strong team leadership, and work effectively as a team player.
Excellent oral, written and presentation skills.

Job Type: Full-time

Pay: $68,500.00 - $110,000.00 per year

Benefits:

403(b)
403(b) matching
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Prescription drug insurance
Professional development assistance
Relocation assistance
Vision insurance
Work from home

Experience level:

10 years
11+ years
4 years
5 years
6 years
7 years
8 years
9 years

Schedule:

8 hour shift
Day shift
Monday to Friday
No nights
No weekends

Experience:

Data analytics: 5 years (Required)
Database management: 5 years (Required)

Work Location: Hybrid remote in Granger, IN 46530",2011,Health Care Services & Hospitals,$500 million to $1 billion (USD),Healthcare,5001 to 10000 Employees,Hospital,True
"IT Sr Technical Specialist, Analytics Analyst","Labcorp
","Indianapolis, IN",$64K - $91K (Glassdoor est.),3.6,"Labcorp is a leading global life sciences company that provides comprehensive diagnostic and drug development services to patients, physicians, and healthcare organizations. Our mission is to improve health and improve lives by delivering world-class diagnostic solutions, drug development services, and technologies to advance medicine and improve patient care.
IT Sr Technical Specialist, Analytics Analyst

Labcorp IT seeks an experienced IT professional for the role of IT Sr Technical Specialist, Analytics Analyst. will be part of a newly formed division supporting laboratory partnerships and acquisitions and will collaborate with IT, vendor, business, laboratory operations, and partnership stakeholders to ensure successful LIS implementations. The IT Sr Technical Specialist will demonstrate a working knowledge of the Cerner Millennium Analytics and Lights On Modules, Laboratory operations and the ability to learn complex processes and technology quickly.

Responsibilities:

Serves as a member of the broader LIS implementation team and collaborates in accomplishing defined strategic LIS initiatives for the Health System Operating Division.
Contributes to the development of the overall IT strategy for LIS implementation; develops repeatable implementation processes for assigned laboratory initiatives.
Prepares and leads meetings at an appropriate cadence; uses excellent verbal and written communication.
Partners with operations leaders to identify site-specific requirements that impact the deployment strategy.
Leads current state review and assesses current processes and workflows within the labs for any scope gaps or potential risks or issues.
Leads future state review to demo all workflows.
Assists with decision making and completes the Data Collection Workbooks to capture data for LIS configuration.
Plans and manages the configuration of the solution into the system.
Raises integration points with workstreams where there is crossover with other workstreams.
Applies technical expertise to build design, configuration, and execution.
Documents lessons learned to ensure ongoing success with future initiatives.
Fosters a collaborative environment by establishing a team atmosphere of candor, trust, and mutual respect.
Supports the laboratories through cutover and transition to support.

Education and Qualifications:

A BA (Bachelor of Arts) or BS (Bachelor of Science) degree is required.
5+ years of IT experience including extensive Cerner Millennium Analytics build experience including Data Analytics 2, CCL and Lights On. Implementation experience for multi facility projects is strongly recommended.
Laboratory clinical experience is recommended.
A solid understanding of the Laboratory industry and Laboratory workflows and how the LIS impacts and is impacted by surround technologies to include Revenue Cycle, Electronic Health Records, etc.
Critical thinking skills and the ability to translate abstract information into a consumable format.

Labcorp is proud to be an Equal Opportunity Employer:

As an EOE/AA employer, Labcorp strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. We encourage all to apply.

For more information about how we collect and store your personal data, please see our Privacy Statement.",1978,Health Care Services & Hospitals,$10+ billion (USD),Healthcare,10000+ Employees,Company - Public,False
Data Analyst,"Thermo Fisher Scientific
",Indiana,-1,3.6,"When you’re part of Thermo Fisher Scientific, you’ll do challenging work, and join a team that values performance, quality and innovation. As part of a successful, growing global organization you will be encouraged to perform at your best. With revenues of more than $40 billion and the largest investment in R&D in the industry, we give our people the resources and chances to create significant contributions to the world.

The job:

Discover impactful work as our new Marketing Data Analyst.

The EMEA Life Sciences Marketing organisation delivers more than $400M in revenue every year. You will be joining a fast paced and dynamic Marketing Data & Analytics team focused on driving demand generation through data-driven strategies, robust technology solutions, tracking results, and delivering valuable data insights. We collaborate with various functions including, Sales Operations, Commercial teams, IT and global functions to define strategies, optimise marketing processes, and achieve business goals, revenue growth, and success.

As an experienced Marketing Data Analyst, you will play an important role in both strategic projects and day to day operations of lead management. You will be responsible for executing and supporting marketing performance reporting while ensuring data compliance, health, and flow of marketing customer data. Your expertise will contribute to optimising and automating data management and tracking processes across divisions and functions, driving efficiency, and enhancing customer engagement and experience.

This role is office-based at our Inchinnan, Paisley site (near Glasgow), with the flexibility to work from home one day per week.

What will you do?


Manage marketing customer data:

Ensure compliance, data integrity, and smooth flow of customer data from collection to delivery within the commercial organisation
Collaborate with cross-functional teams to ensure system compatibility and accurate data assignment

Optimise data management and tracking processes:

Find opportunities to improve efficiency and customer engagement by streamlining and automating data management and tracking processes across divisions and functions
Implement best practices to enhance data quality and reliability

Provide data-driven consultancy:

Offer valuable insights and consultancy services to improve marketing and business outcomes across multiple channels and data sources
Collaborate with Data Science teams, support lead generation, cross-divisional campaigns, and sales activation initiatives

Marketing Analytics, Reporting & Insights:

Present actionable insights and recommendations to the marketing organisation, enabling data-driven strategic decision-making to support business growth
Support the development and maintenance of marketing analytics PowerBI dashboards and reports by integrating data from multiple sources

Marketing Technology (MarTech) advancement:

Lead the advancement of MarTech capabilities within the EMEA marketing function, developing and delivering streamlined and scalable business solutions
Translate business needs into marketing/CRM system requirements to ensure alignment with organisational goals

Collaboration and influence:

Collaborate with a complex and dynamic global, regional, and corporate marketing organisation to anticipate, optimise and evolve data strategies, considering complex business requirements and system integrations
Build strong relationships with Sales Operations and Salesforce Excellence teams to maximise the effectiveness of marketing campaigns and improve sales rep compliance, win rates, and rejection rates

Stakeholder communication:

Effectively connect with key stakeholders, including marketing development managers, marketing operations, Sales Operations, IT, and global partners

Project contribution and influence:

Contribute to and influence the planning and execution of large-scale global/regional multi-functional marketing data and analytics projects

Who we are looking for:

Bachelor’s degree in an analytical field (Maths, Economics, Computing, Statistics etc.), or equivalent education and experience in database management and analytics are required
Able to translate business data strategy into marketing data strategy and ensure detailed execution of the plan aligned with marketing goals
Analytical mindset and comfortable manipulating large data sets, critical thinking skills and can visualise metrics to clearly communicate key insights
Solid understanding of software applications: Eloqua, Salesforce, PowerBI and Adobe all nice to have
Solid understanding of data sources, data structure and relationships, data organisation and storage and experience with reporting packages (Cognos, SQL)
Strong interpersonal and relationship building skills, experience in dealing with multiple and diverse internal collaborators, and interacting with business and technology partners across all organisational levels
Strong project management and organisational abilities
Ability to prioritise multiple tasks effectively, identify and resolve problems and work with a sense of urgency
Detail-oriented and able to lead complex projects with multiple stakeholders
Proven track record to think creatively, developing new ideas and forward-thinking solutions
Strong verbal and written communication skills along with a customer-focused attitude
Thrives in a fast-paced environment, flexible and ability to adapt quickly to change.

What’s in it for you:

Excellent career progression opportunities with a large and growing global employer
Competitive salary, plus annual incentive bonus
Benefits package including 25 days annual leave, plus public holidays; discounted private healthcare; life assurance; pension – matched employer contributions up to 8%; discounted gym memberships and more

About us:

Our Mission is to enable our customers to make the world healthier, cleaner and safer. Watch as our colleagues explain 5 reasons to work with us. As one team of 100,000+ colleagues, we share a common set of values - Integrity, Intensity, Innovation and Involvement - working together to accelerate research, solve complex scientific challenges, drive technological innovation and support patients in need. #StartYourStory at Thermo Fisher Scientific, where diverse experiences, backgrounds and perspectives are valued.

Apply today!

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.

Explore Location",1902,Biotech & Pharmaceuticals,$10+ billion (USD),Pharmaceutical & Biotechnology,10000+ Employees,Company - Public,False
Electrical Engineering Analyst,"United States Steel
","Gary, IN",$71K - $100K (Glassdoor est.),3.5,"Job Description

U.S. Steel is committed to fostering an inclusive workplace culture and celebrate the diversity of our employees. This position is an Analyst as part of our Reliability Centered Maintenance – Manufacturing Excellence area.

Requirements:

Associates' degree in Electrical Engineering (or similar degree) or 2 years equivalent work experience and HS Diploma/GED
Experience with electrical environment using electrical testing and monitoring equipment to analyze/troubleshoot electrical systems.
Use of predictive and preventative maintenance techniques.
Ability to collect and analyze data in order to assess system health for a variety of equipment.
Comfortable providing solutions to management within operating departments throughout the plant.
Ability to work in areas requiring a respirator or SCBA.
Ability to walk up/down varying flights of stairs.
Ability to climb ladders for one level to another.
Ability to work at elevations requiring use of fall protection.
Strong computer skills and ability to generate professional reports.
Strong communication skills, both verbal and written.
Requires working holidays, weekends, evenings, and overtime as needed.

Competency Summary

At U. S. Steel all employees are expected to display the following core competencies every day to advance corporate, team and individual goals:

Think: Think Critically and Drive Change
Lead: Develop Talent and Collaborate
Do: Empower Performance and Deliver Results

Company Overview

U. S. Steel is a leading steel producer founded in 1901. Today, we’re a greener company with an infinitely recyclable product, the world’s only LEED-certified steel mill, and an ambitious plan to reduce emissions. We make products that make everyday life possible - automotive, construction, appliance, energy, container, and packaging industries all benefit from our innovation.

We show pride in our communities with company-sponsored employee volunteer programs, corporate contributions, partnerships in support of education, scholarships for our next generation of leaders, and many other programs.

We are continually recognized for our commitment to our employees, most recently as a Most Loved Workplace (Newsweek 2021- 2022), a Best Place to Work for LGBTQ Equality (Human Rights Campaign Foundation 2020-2022), a Best Place to Work for Disability Inclusion (Disability Equality Index 2021-2022), and World's Most Ethical Companies (2023). It’s easy to see why U. S. Steel employees take Pride in Our Past as we Build the Future, United by Steel.

Conducting business with integrity and with the highest ethical values has underpinned U. S. Steel’s success for over 100 years, and it remains critical to our company’s success in the future. U. S. Steel is an Equal Opportunity Employer. It is our policy to provide equal employment opportunity (EEO) according to job qualifications without discrimination on the basis of race, color, religion, ancestry, national origin, age, genetics, sexual orientation, sex, gender identity, disability status or status as a protected Veteran or any other legally protected group status. (California residents may visit www.ussteel.com/CANotice regarding collection of personal information and U. S. Steel's privacy practices.)

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Life insurance
Paid time off
Parental leave
Vision insurance

Work Location: In person",1901,Metal & Mineral Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,True
Senior Business Analyst,"Keywords Studios
","Indianapolis, IN",$40.00 Per Hour (Employer est.),3.8,"Pay Rate: $40.00+ per hour

Work Hours: Hybrid, Monday-Friday, 8am-5pm

Keywords Studios is looking for an experienced Senior Business Analyst to join their Product Research and Development team working with our pharmaceutical client in Indianapolis, IN.

As a Senior Business Analystyou will:

Support metrics and analytics activities for the larger team
Manage multiple SharePoint databases
Backup support/coverage for team members when needed.
PR&D Clinical supply systems SharePoint Support and business analytics
Off hour support for system outages, enhancement release, project go-live and zone coverage

Keywords provides a competitive compensation package, good benefits and a casual, fun, productive and supportive working environment. We empower people to perform to the best of their ability with our “can do” attitude. We appreciate and embrace flexibility and learn at every opportunity to grow ourselves through experience, training and tackling new challenges. This is what makes us Keywordians.

Requirements

Daily troubleshooting & support including:

Review of eCTS Automated Inventory Batch Logs: Follow-up with end users to highlight any inventory processing errors.
Review, consult and support resolution of any eCTS, CTWIN and SAP interface issues
Ad Hoc user training and consultation on system functionality
Creation, consult and review of Data Changes and incident requests
User Account Administration - resolving access issues.
Running or creating Ad Hoc & periodic SQL reports.
General Daily Support (excursions, shipment issues, IWRS errors, reporting failures, etc.)
Cold Stream support (CTWIN)
Application testing
Post Execution Test Case Reviews
Review and updating computer system validation documentation.
Assist with periodic system reviews
Deviation Investigation

Nice to have

SQL experience
Excel
SharePoint/O365/Teams
PowerPivot

Benefits

Keywords provides all its contingent workforce with:

Medical, dental and vision benefits
Paid time off (including sick and select holidays)
401(k) enrollment with 3% employer matching

Job Type: Full-time

Pay: From $40.00 per hour

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Indianapolis, IN: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

What experience do you have with post execution test case reviews?

Experience:

clinical trial: 1 year (Required)

Work Location: In person",1998,Information Technology Support Services,$25 to $100 million (USD),Information Technology,10000+ Employees,Company - Public,True
Data Analyst,"Early Learning Indiana, Inc.
","Indianapolis, IN",$54K - $80K (Glassdoor est.),3.5,"JOB SUMMARY

The Data Analyst partners across the organization to provide direct support on projects and requests that require data, research, analysis and report development for strategic or tactical decision-making. This position plays a key role in building organizational understanding of current landscapes based on data, informs change planning efforts, provides recommendations for operational and experience-based improvements, and helps to drive data-mindedness into team culture.




ESSENTIAL RESPONSIBILITIES

Supports business analytics and research projects and processes to provide data-driven insights used to advise and develop business strategies and initiatives, including contractual obligations with external stakeholders;
Uses statistical methods, modeling, analytical methodologies, and data analysis to develop and deploy tools including reports, visualizations, dashboards, infographics, and models to inform and support decision-making.
Develops and maintains applications and reports for business reporting and analysis purposes, including ad hoc data analysis and special projects.
Visualize data insights via a variety of mediums and formats best suited to the target audience.
Provide direct support and technical assistance to internal stakeholders and statewide partners on the utilization of data tools and reports.
Perform quality checks and validation of data, monitoring data quality, troubleshooting and resolving database issues to ensure data integrity.
Other duties as assigned to advance the mission of Early Learning Indiana.

EDUCATION, EXPERIENCE & REQUIREMENTS

An individual must have the following education and/or experience:

Bachelor’s degree in related or adjacent fields, including, but not limited to, computer sciences, mathematics, financial services, technology
Experience with SPSS, R, or similar and tools such as PowerBI preferred
Experience with ArcGIS a plus



COMPETENCIES & SKILLS

The successful team member will demonstrate individual competency in the following areas:

Strong technical skills and a working knowledge of CRM, listening tools and other survey and data analytics tools
Familiarity with geo-spatial analysis tools and mapping competency
Proven project management, time management and multi-tasking abilities while maintaining excellent attention to detail
Ability to communicate timely, accurate and useful market data to senior leaders, functional leaders, internal and external stakeholders
Ability to provide accurate, insightful and intuitive analysis
Ability to analyze data and identify strategic opportunities from facts
Strong service-oriented communication skills
Able to adapt communication style and approach to varying audiences and stakeholders

WORK CONTEXT

This is a hybrid work position. A successful team member will be expected to work productively:

Work from home 3 out of 5 days per week on average.
Work from the statewide office located at 1411 N. Roosevelt Ave in Indianapolis 2 out of 5 days per week, likely Tuesday and Wednesday but subject to change.
Be able to travel to and from events throughout the state as needed.
The demands described here are representative of those that must be met by a team member to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The team member frequently is required to:
Stand, walk, sit
Use hands and fingers to handle books, paper, technology
Use computer and other electronic equipment and technology
Speak and listen to others
See and read
Reach with hands and arms
Stoop, kneel, crouch, or crawl
Legally be eligible to work in the United States.



The statements contained herein describe the scope of the responsibility and essential functions of this position but should not be considered an all-inclusive list of work requirements.

Employment with Early Learning Indiana is contingent upon satisfactorily completing pre-employment requirements. Pre-employment screenings include, but are not limited to: criminal background and drug screenings. Employment with Early Learning Indiana is at-will.




ABOUT EARLY LEARNING INDIANA

Early Learning Indiana is a nonprofit organization on a mission to ensure children are empowered with essential skills to thrive in kindergarten and beyond. We practice what we teach by operating a network of premier, community-based schools – called Day Early Learning centers – where we advance the science of early education, invest in a new generation of teaching, and instill essential skills in over 1,000 children each day. Building on more than a century of experience, Early Learning Indiana also serves as a leading voice and advocate for the transformation of Indiana’s early learning landscape by addressing systemic barriers to access, affordability, and quality. Learn more about us at EarlyLearningIn.org.

Early Learning Indiana is an Equal Opportunity Employer. We provide Equal Employment Opportunities (EEO) to all team members and applicants for employment without regard to race, color, religion, gender identity, sexual orientation, national origin, age, disability, genetic information, sex, citizenship status, military status, marital status, amnesty, or other status protected by law.",1899,Preschools & Child Care Services,Unknown / Non-Applicable,Education,201 to 500 Employees,Nonprofit Organization,False
