Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst,Rise ABA,"Rock Valley, IA",$61K - $70K (Employer est.),-1.0,"About us:

Rise is a private women owned Buiness! We are here to provide quality services for our clients and a fun positive work enviroment for our employees.

Our work environment includes:

Modern office setting
Coffee Bar
Growth opportunities
Work-from-home days

Responsibilities:
- Conduct assessments and evaluations of patients to determine their behavioral needs and develop appropriate treatment plans
- Implement evidence-based behavioral interventions and therapies to address the needs of individuals with autism and other developmental disabilities
- Collect and analyze data on patient progress and adjust treatment plans as necessary
- Collaborate with interdisciplinary teams to coordinate care and ensure the integration of behavioral interventions into overall treatment plans
- Provide training and support to caregivers, teachers, and other professionals working with individuals with autism
- Maintain accurate and up-to-date medical documentation and records
- Stay current on the latest research and best practices in applied behavior analysis (ABA) and behavioral health

Skills:
- Strong knowledge of applied behavior analysis principles and techniques
- Proficiency in conducting patient assessments and diagnostic evaluations
- Ability to collect, analyze, and interpret data related to patient behavior
- Familiarity with medical terminology and documentation practices
- Experience in providing behavioral therapy to individuals with autism or other developmental disabilities
- Excellent communication skills to effectively collaborate with interdisciplinary teams and educate caregivers
- Attention to detail in maintaining accurate records and documentation

Please note that this job description is not exhaustive, and additional responsibilities may be assigned as needed.

Job Types: Full-time, Part-time

Pay: $61,000.00 - $70,000.00 per year

Benefits:

401(k)
401(k) 4% Match
401(k) matching
Flexible schedule
Mileage reimbursement
Paid sick time
Paid time off
Parental leave

Medical specialties:

Pediatrics

Patient demographics:

Children

Schedule:

8 hour shift
Monday to Friday

Travel requirement:

No travel

License/Certification:

BCBA (Required)

Work Location: Hybrid remote in Rock Valley, IA 51247",-1,-1,-1,-1,-1,-1,True
Data Analyst - Seed Operations Development Program,"Corteva
","Johnston, IA",$65K - $96K (Glassdoor est.),4.0,"Description


Corteva Agriscience has an exciting opportunity to join our organization as a Data Analyst as part of our Seed Operations Development Program supporting our Seed Production and Supply Chain Business.

In this position you will be accountable to ensure the Global Seed Production & Supply Chain data analytics structure is in place to provide stakeholders with consistent, accurate and timely data insights. This would include defining, maintaining, and executing standard operating procedures for data collection and reporting across the network, along with ensuring the most effective tools are deployed and maintained. This individual will also be responsible for designing and implementing data analytics models and publishing periodic reports, allowing stakeholders to interpret patterns and trends in complex data sets that result in actionable insights, ultimately driving process and productivity improvements.

Responsibilities - How will you help us grow?

Design and support the data analytics structure (framework/processes/tools) across NA Seed Production Supply Chain, with some collaboration globally

Standardize digital collection methods and reporting tools for PowerBI Interfacing

Reconcile and ensure accuracy across multiple data systems and environments

Prepare reports for stakeholders, stating trends, patterns, and predictions using relevant data

First level analysis and interpretation of metrics and KPIs, summarizing findings and highlighting improvement opportunities

Serve as change management lead for the implementation and support of newly created tools

Serve as the primary interface with IT, and other departments, to support system selection, maintenance and outages

Qualifications



Bachelor's Degree in Information Systems, Computer Science, or adjacent discipline, advance degree is desirable.

Technical proficiency regarding database design development, data models, techniques for data mining, and segmentation

Proficiency in statistics and statistical packages like Excel, SP SS, SAS to be used for data set analyzing

Knowledge of data visualization software like PowerBI, Tableau, etc.

Verbal and Written communication skills

Accuracy and attention to detail

Benefits – How We’ll Support You:

Numerous development opportunities offered to build your skills
Be part of a company with a higher purpose and contribute to making the world a better place
Health benefits for you and your family on your first day of employment
Four weeks of paid time off and two weeks of well-being pay per year, plus paid holidays
Excellent parental leave which includes a minimum of 16 weeks for mother and father
Future planning with our competitive retirement savings plan and tuition reimbursement program
Learn more about our total rewards package here – Corteva Benefits
Check out life at Corteva! www.linkedin.com/company/corteva/life

Are you a good match? Apply today! We seek applicants from all backgrounds to ensure we get the best, most creative talent on our team.",2019,Farm Support,Unknown / Non-Applicable,Agriculture,10000+ Employees,Company - Public,False
Data Analyst,"DevCare Solutions
","Des Moines, IA",$56K - $80K (Glassdoor est.),3.6,"Experience:5 years
Duration: 1 Years
PayRate : N/A
Visa Type: Green card,Have H1 Visa,US Citizen
Travel Required : 0% - No Travel
Tele Communicate: No
Job Description
Experience with Data Analytics


Experience with Data Analytic Software (PowerBI, Tableau, etc)


Experience in SQL Server Reporting Services (SSRS) / Microsoft Report Builder or similar reporting software


Experience with relational database queries, specifically writing subqueries, versioning and/or temp tables, SSMS


Knowledge of using relational database, reporting software, and data analytic software to create simple to complex ad hoc queries
Skills

N/A

Job Type

N/A",2005,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,False
Data Analyst - Accounting Experience,"RSM US LLP
","Davenport, IA",$61K - $110K (Employer est.),4.0,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM.

RSM is looking to hire a Data Analyst on our National Finance and Operations team.

The Data Analyst is responsible for the development, automation, and compilation of data. This position will prepare reports through Excel, Access, SharePoint, and Power BI using compiled data from several internal systems.

Essential Duties

Analytical duties may include but are not limited to:

Developing data and storage requirements, reporting, analytics, and delivery methods in data standards and metadata.
Develop, analyze, and evaluate data to create and maintain business intelligence frameworks.
Integrate and mine large data sets, connecting data from disparate sources to identify critical insights and pragmatic data solutions.
Maintain/update/create technical specifications (ex. data mapping, data flows, and dashboard content).
Develop real-time reporting for analyzing KPIs.
Design and create analysis and reports that include summaries, graphs, diagrams, and other visual representations in BI or excel.
Develop and maintain forecasting databases/tools and provide analysis to leaders on outcomes.
Discover and define new processes for improvement and opportunities.

Minimum Qualifications

Bachelor’s degree or equivalent experience. Accounting or Finance major preferred.
Strong Microsoft Office skills.
Ability to communicate effectively both verbally and written.
Ability to work autonomously and part of a team.
Effective organization and time management skills.
Solid understanding of developing data requirements.
Knowledge of Excel, Power BI, SQL, and understanding of concepts of database structures and data querying.
Advanced Microsoft Office skills with exposure to Visual Basic.
Previous experience with SQL preferred.
Previous experience with a Business Intelligence (BI) tool preferred.
Previous experience analyzing data and predicting future outcomes preferred.
Prepare and review monthly work papers; perform account reconciliations, investigate general ledger balance discrepancies.
Assist with month-end closing process.

Preferred Skills

Accounting degree
Month end close experience
Treasury experience a plus
International entity experience

At RSM, we offer a competitive benefits and compensation package for all our people. We support and inspire you to prioritize your wellbeing by delivering personalized, holistic programming for your physical, emotional, financial and community wellbeing. RSM has a generous time off policy with at least 14 paid holidays, wellbeing days and associate and above access to self-managed time off. We offer flexibility in your schedule, empowering you to balance life’s demands, while also maintaining your ability to serve clients. Learn more about our total rewards at https://rsmus.com/careers/working-at-rsm/benefits .

RSM is proud to be an Affirmative Action and Equal Employment Opportunity employer. We are proud to provide our employees with tools to assist them in being successful in achieving both personal and professional goals. We welcome and support all our employees to thrive in an environment free of discrimination and harassment. As an Affirmative Action and Equal Opportunity Employer all applicants will receive consideration for employment as RSM does not tolerate discrimination and/or harassment based on race; color; creed; sincerely held religious beliefs, practices or observances; sex (including pregnancy or disabilities related to nursing); gender (including gender identity and/or gender expression); sexual orientation; HIV Status; national origin; ancestry; familial or marital status; age; physical or mental disability; citizenship; political affiliation; medical condition (including family and medical leave); domestic violence victim status; past, current or prospective service in the US uniformed service; pre-disposing genetic characteristics or any other characteristic protected under applicable federal, state or local law.

Accommodation for applicants with disabilities is available upon request in connection with the recruitment process and/or employment/partnership. RSM is committed to providing equal opportunity and reasonable accommodation for people with disabilities. If you require a reasonable accommodation to complete an application, interview, or otherwise participate in the recruiting process, please call us at 800-274-3978 or send us an email at careers@rsmus.com .

RSM does not intend to hire entry level candidates who will require sponsorship now OR in the future (i.e. F-1 visa holders). However, those candidates who may be recent U.S. college / university graduates possessing 1-2 years of progressive and relevant work experience, excluding internships, in the U.S. or his/her home country would be eligible for hire as an experienced candidate and thus eligible for sponsorship.

Compensation Range: $61,200 - $109,900",1964,Accounting & Tax,$1 to $5 billion (USD),Financial Services,10000+ Employees,Private Practice / Firm,False
Inventory Analyst,"Cemen Tech
","Indianola, IA",$70K - $80K (Employer est.),4.5,"Cemen Tech is a drug free workplace.

PURPOSE OF POSITION

This position will develop and manage all aspects of inventory control from receipt to shipment. The individual will coordinate with engineering, purchasing, and operations to control the allocation and consumption of all inventory. Position will need to identify current process issues with inventory control and implement procedures to correct.



ESSENTIAL DUTIES AND RESPONSIBILITIES

The following duties are normal for this position. These are not to be construed as exclusive or all inclusive. Other duties may be required and assigned.


The Inventory Analyst will perform the following activities including:

Investigate inventory discrepancies and identify root cause issues.
Pareto root causes and develop/implement processes to correct.
Work closely with Production Planning to ensure all parts are accounted for and consumed on the BOM.
Report weekly inventory metrics to Director of Supply Chain.
Organize cross functional teams to resolve inventory discrepancies.
Review weekly physical inventory counts to identify trends for improvement.
Organize end of year Physical Inventory count.
Achieve progressive improvement on inventory accuracy measured through the cycle count process.
Document and implement processes/procedures plant wide for inventory control.
Drive culture of inventory management.
Analyze data and identify areas for improvement.


QUALIFICATIONS

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.


EDUCATION – EXPERIENCE
High School Diploma/GED.
Bachelor’s Degree in Business Administration/Inventory Management/Supply Chain preferred.
Inventory/Purchasing experience required.
Willing to collaborate in a team environment to get data and develop processes for control.
Shows ability to create solutions to previously unsolved problems.
Inventory/Purchasing/Master Scheduling experience required.
Excellent communication and negotiation skills.
Excellent time management and organizational skills.


BENEFITS

FREE HEALTH INSURANCE
401k
PAID VACATION
STOCK OPTION
BONUSES

Apply today to become a part of the Cemen Tech Experience!

We are changing the industry and peoples’ lives every day. Come be a part of something exceptional.

Cemen Tech, Inc. is an Equal Opportunity Employer. In compliance with the Americans with Disabilities Act, The Employer will provide reasonable accommodations to qualified individuals with disabilities and encourages prospective employees and incumbents to discuss potential accommodations with Cemen Tech, Inc.

**Only qualified candidates will be contacted to move to the next step of the hiring process. Unfortunately, Cemen Tech will not sponsor applicants for work visas.**",1969,Machinery Manufacturing,$25 to $100 million (USD),Manufacturing,51 to 200 Employees,Company - Private,True
Product Data Analyst I/II,"Andersen Corporation
","Des Moines, IA",$61K - $85K (Glassdoor est.),3.7,"Product Data Analyst I/II

The Andersen Storm Door Division shares a common goal of making a difference in the lives of our homeowners, our colleagues, our families, and the communities we serve. We believe that we can make the world a better place by living up to the promise that everyone benefits from their association with Andersen. We wake up every day, inspired to push the status quo and continuously set a new standard in the home improvement industry by solving today’s most challenging problems and continuously redefining what it means to deliver a World Class Homeowner Experience. The Andersen Storm Door Division is seeking a driven and collaborative Process Analyst to help perfect our customer’s experience in upgrading their homes. Want to join our team?

Andersen Corporation is a privately held, nationally recognized, and market leading manufacturer of premium quality windows and doors. The Andersen Storm Door Division is a vital part of this incredible company.

POSITION OVERVIEW:

The Process Analyst position is an important part of the Ongoing Product Development (OPD) engineering team. The ideal candidate will be a motivated individual who leads the collection, facilitation, analysis, and communication of information supporting products and processes. This position works with project teams, individual stakeholders, and business application owners in the interpretation of business requirements to be used in design, development and implementation of projects in accordance with timelines.

POSITION RESPONSIBILITIES:

Provide quality engineering support including:

Responsible for the accuracy and consistency of product/process information across systems.
Perform audit of attributes and attachments for accuracy, consistency, and adherence to guiding principles and standards, and recommend improvements.
Track Bill Of Material (BOM) accuracy metrics.
Perform impact analysis to understand areas affected by a particular change for the Product Lifecycle Management (PLM) process. This includes gathering and documenting data and design requirements.
Lead cross functional requirements gathering through team meetings, work breakdown structures, and existing system procedures.
Develop, maintain, document, and review work plans for projects.
Utilize best-in-class analysis techniques to aid in requirements definition.
Assist prototyping the information flow, where possible, to solidify requirements for projects.
Develop recommendations for necessary changes to existing process and software systems.
Facilitate and assist individuals, project teams and stakeholders with process gate deliverables and approvals for low and medium complexity projects.
Communicate the status of work to customers during key steps in the process.
Train project team members in the use of the business control and change processes. This includes the development of training materials, user guides, and other instructional information.
Monitor the effectiveness of the workflow templates and modify to reflect the needs of the business.
Ensure all required documents are collected, linked, and vaulted utilizing corporate standards and procedures.
Maintain process and data quality metrics reports through use of corporate reporting tools.
Maintain process, document and database numbering and naming convention standards.
Initiate and lead changes that involve Engineering Configuration Services (ECS) information.
Participate in or lead the definition, testing, training, and support of system requirements.
Provide day-to-day support to Materials Management to maintain the systems required to release controlled documentation securely to suppliers.
Provide assistance with functional tool and process administration, custodianship and maintenance.
Update and communicate data and process standards as required using Andersen methodologies.

QUALIFICATION:

Bachelor's Degree in Computer Science, Engineering, or related discipline with a minimum of 3 years of experience in related area of work.
Proficient knowledge of Microsoft Office suite of tools, including Microsoft Project Management
Working knowledge of Business Applications related to area of responsibility.
Functional knowledge of business applications that support the order flow and change management processes.
Ability to manage process using workflow tools.
Andersen Product Knowledge expertise preferred.
Andersen Order Flow Process Knowledge preferred.
Andersen Business process knowledge preferred.
Must be willing to travel up to 25% (when required).

RELEVANT SKILLS AND COMPETENCIES:

Personal Characteristics
Customer orientation
Flexibility
Results orientation
Tolerance of ambiguity
Intellect
Business Knowledge
Knowledge of products/services
Organization/ business unit knowledge
People/Communication Skills
Listening skills
Writing skills
Negotiating skills
Facilitation Skills
Understanding individual/ group behavior
Analytical/Conceptual/Implementation Skills
Assessment/ evaluation
Time Management
Problem-Solving Skills
Problem–solving
Delegation skills
Work process management
Technical Skills
Information/Data Comprehension

CULTURE AND BENEFITS:

“Be Orange. Be You” is how we express our belief that by embracing our differences and empowering you, we’ll be a stronger team able to accomplish what otherwise wouldn’t be possible. This Orange spirit has helped us become the #1 innovative window and door brand* and the one homeowners love the most.** It’s also why we’re committed to supporting you to approach each day with a bright outlook.

Benefits include, and are not limited to:

Medical/Dental/Vision/Life Insurance
Health Savings Account contributions
Paid holidays plus PTO
401(k) plan & contributions
Professional development and tuition reimbursement opportunities
Charity contributions
Nationwide career opportunities

We look forward to seeing how your unique skills, background and experiences will inspire our team and help us continue to be the leader we are today.

2020 Andersen brand surveys of U.S. contractors, builders & architects

** 2020 Andersen Brand Survey of U.S. homeowners

In 2023, Andersen has set a profit-sharing target of $4,000 per eligible employee, prorated as appropriate. Profit sharing will be paid out in quarterly installments to provide eligible employees with payments throughout the year, with payment amounts tied to quarterly operating profit performance.

Andersen is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, disability, marital status, national origin, citizenship, genetic information, protected veteran status, or any other characteristic protected by law.


#LI-RM1",1903,Consumer Product Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Private,True
Data Analyst II,"CEDENT
","Des Moines, IA",$53K - $75K (Glassdoor est.),5.0,"Title: Data Analyst II @ Des Moines, Iowa
Terms of Hire: Full Time.
Job description
Position Purpose:
Analyze health management programs including: data collection, validation and outcome measurement. May include:
o Financial, pharmacy, claims, provider, and member data
o IRS, CMS, HHSC, HEDIS reporting
o Internal data cleansing and data reconciliation analysis
o Trend analysis in various functional areas of health care management.
Create and generate reports through MS-Excel, MS-Access, and SQL using Business Objects interface and direct links to core databases (ODS/EDW)
Produce reports for and interface with senior management and internal and external stakeholders.
Gather and interpret business requirements and monitor data trends to proactively identify issues
Execute data changes and update core systems as needed
Handle multiple projects and timelines effectively and communicate risks and issues to manager regularly
Assist with training lower level Data Analysts.
Qualifications:::
Responsible for analytical data needs. Handle complex data requests, reports, and predictive data modeling.

Knowledge/Experience:
Bachelor’s degree’s related field or equivalent experience. 2+ years of statistical analysis or data analysis experience. Advanced knowledge of Business Objects, SQL, and Microsoft Applications, including Excel and Access. (SQL, HEDIS, SAS skills a must),

HEDIS:
Bachelor’s degree related field or equivalent experience. 2+ years of statistical analysis or data analysis experience or 1+ years of HEDIS data analysis experience including measurement and rates impacted. Advanced knowledge of Business Objects, SQL, and Microsoft Applications, including Excel and Access.

BUSINESS ANALYTICS:
Bachelor’s degree related field or equivalent experience. 2+ years of statistical analysis or data analysis experience or 1+ years of related IT experience, including data warehouse, coding or ETL experience. Advanced knowledge of Business Objects, SQL, and Microsoft Applications, including Excel and Access.
What are the 3-4 non-negotiable requirements on this position?:
Healthcare Experience, HEDIS Experience, SQL Experience & SAS Experience

You Will Enjoy:
An opportunity to be a part of a great culture, an awesome team, a challenging work environment, and some fun along the way!
Apply today to learn more and be part of our Growth story.
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.",-1,Computer Hardware Development,Less than $1 million (USD),Information Technology,1 to 50 Employees,Contract,True
College Enrollment Data Analyst,College Raptor,"Coralville, IA",$35K - $53K (Glassdoor est.),-1.0,"Overview

Department Name
:
College Raptor
Location
:
Coralville, IA
Type
:
Full Time




We are currently seeking a dynamic analyst to utilize data from campus partners and College Raptor’s internal resources to implement our custom products and services.




The College Enrollment Data Analyst will use data from campus partners and College Raptor’s internal resources to implement College Raptor’s custom products and services. This position will be responsible for gathering, cleaning, organizing, modeling, and reporting of the data necessary to construct predictive models and other enrollment services offered by College Raptor. This role will work closely with both College Raptor’s enrollment management consultants and campus partners to ensure a positive outcome for college enrollment offices. The College Enrollment Data Analyst will utilize best practices in data analysis to ensure the value of College Raptor’s services for every campus partner.




College Raptor is a technology services company that works with colleges and universities through predictive modeling, advanced analytics, and lead generation services to maximize enrollment outcomes. College Raptor works with institutions across the country, finding ways to remedy inefficiencies in the enrollment cycle for both students and colleges. The College Raptor team includes innovative thinkers, techies, and experienced enrollment professionals.



Responsibilities

Develop knowledge on College Raptor’s products and services




Utilize data analysis tools to construct data models to forecast enrollment behavior of prospective college students




Learn from others at College Raptor by shadowing and participating in calls, visits, presentations and web demos




Work collaboratively with College Raptor staff and campus partners




Communicate clearly and effectively with College Raptor staff and campus partners




Partner with College Raptor’s leadership team to improve efficiencies




Required Qualifications

Bachelor’s degree from accredited college or university




Strong analytical skills – able to clearly lay out logical thoughts and utilize sound reasoning in both written and oral communication




Purposeful – maximize the use of time to achieve individual and organizational goals.




Flexible – able to adjust schedules to accommodate prospective and current clients’ needs.




Technologically competent – above average experience with basic software and internet research.




Dynamic – able to manage multiple priorities without missing a beat.




How to apply

Please send a resume and a cover letter explaining why you are a great match for this role to careers@CollegeRaptor.com. Please include URLs to relevant writing, design or video samples.



Job Segment

Sales, Business Development, Financial Aid, Admissions, Student Recruitment



About College Raptor

College Raptor is a technology company working to make higher education more affordable and accessible for every student. We're building next-generation college search and planning tools that help students and families make smarter decisions, save money and be more successful in their college careers.




We also partner with colleges and universities to provide data and tools that help them be more strategic, effective and efficient in their recruitment and financial aid.




We offer a fast-paced environment working alongside a cross-functional team of product, technology and marketing minds to solve complex problems and simplify the experience for users and clients. We offer competitive salaries based on experience and a full suite of employee benefits including health insurance, life insurance, and a 401(k) retirement plan with a company match.",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,False
IT D365 Business Analyst,"Morgan Advanced Materials
",United States,-1,3.2,"Overview:

Morgan Advanced Materials is a business rich in history and innovation. Founded in the UK in 1856, we have grown into a global organisation with 70 sites in 18 countries. Our model to serve our customers where they need us has led to a diversified product range using our unparalleled expertise in ceramic and carbon materials, which we exploit to solve difficult problems for our customers across a diverse range of markets.


We are a purpose driven organisation. Our purpose is to use advanced materials to make the world more sustainable and to improve the quality of life. We deliver on that purpose through the products that we make, and the way that we make them.


We help our customers push the limits of their processes and products to meet the demanding requirements they face, from higher process temperatures to higher product performance to increasing miniaturisation.

Key Figures: Revenue £1,112m (2022), ~8,500 employees, manufacturing in 30+ countries, and a global customer portfolio. A UK PLC with head office located in Windsor, Berkshire UK. Listed on London Stock Exchange; Member of the FTSE 250 Index.


Responsibilities:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data
Qualifications:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data


Morgan Advanced Materials is an EEO/AA/M/W/D/V Employer Ind-1",1856,Metal & Mineral Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Compensation Analyst,"Alliant Energy
","Cedar Rapids, IA",$89K (Employer est.),4.0,"Are you a life-long learner and difference maker? Do you create and embrace change? Alliant Energy is looking for an innovative Compensation Analyst. This isn't just number crunching, this is an opportunity to make a significant impact on our organization's compensation strategies and contribute to its overall success.

In this highly visible role, you will support the development and administration of compensation programs including merit-based pay plans, and incentive pay plans and bonus programs. You will be instrumental in supporting Total Rewards through special confidential projects including pay equity analysis, annual audits, and compliance activities. You will be part of crafting our organization's rewards strategy, ensuring alignment with industry best practices and regulatory standards.

This is a hybrid position and will work remotely and report to the office in Madison, WI or Cedar Rapids, IA on average one to two days per week. Candidates must reside in Iowa or Wisconsin.

What you will do

Provide compensation consultation to the provide pay transparency to the business through on topics such as job descriptions, job offers and providing analysis and insight on pay practices.
Coordinate annual merit and bonus process as well as complete compensation market surveys, and the associated analysis and modeling to determine potential changes based on the market data.
Collect internal and external data and develop dynamic tools and models to interpret and analyze data, support management decision-making, and simplify processes.
Provide compensation reporting; assists in research and development of proposals for bargaining unit negotiations and implementing new labor agreement provisions.
Manage the administration of data, documents, policies, and procedures related to benefits and compensation by coordinating the organization and long-term storage of records in the central data systems. Works with the HR service center and payroll departments to maintain data integrity in HRMS.
Stay ahead of legislative, legal, and regulatory developments pertinent to focal area and the compensation and benefits area in general.

Other responsibilities may include:

Administer employee benefits programs (medical, dental, vision, disability, life insurance, FSA/HSA accounts, employee assistance programs, leave of absences, COBRA, and the 401k Plan), as well as assist with daily benefits system support and reporting.
Assist with benefit enrollment process and new employee benefit communications.

Education Requirements

Bachelor's Degree Emphasis in human resources, business administration, or related area

Required Experience

4 years’ experience in human resources with exposure to one or more of the following areas: broad-based compensation, retirement programs, health and welfare programs, or similar analytical role.

Knowledge, Skills, and Abilities

Demonstrated analytical skills and ability to successfully perform accurate in-depth analysis.
Previous HRMS experience preferred.
Ability to work effectively in a diverse and inclusive work environment.

Our people are passionate about what they do, the product they sell, and the customers they serve. If you're looking for an opportunity to be a part of a work family that values collaboration, innovation and dedication, we're the right company for you.

Job Type: Full-time

Pay: $89,000.00 per year

Benefits:

401(k)
Dental insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Health savings account
Paid time off
Parental leave
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Work Location: Hybrid remote in Cedar Rapids, IA 52401",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Unknown,False
