Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
EDI Business Analyst,"Tempur Sealy
","Lexington, KY",$74K - $106K (Employer est.),3.4,"Tempur Sealyis committed to improving the sleep of more people, every night, all around the world. As a leading designer, manufacturer, distributor, and retailer of bedding products worldwide, we know how crucial a good night of sleep is to overall health and wellness. Utilizing over a century of knowledge and industry-leading innovation, we deliver award-winning products that provide breakthrough sleep solutions to consumers in over 100 countries. Our highly recognized brands include Tempur-Pedic®, Sealy® and Stearns & Foster®. We hire people who have a passion for helping others find their best night's sleep. No matter what stage of your career, you can build your future at Tempur Sealy!

OUR COMPANY OFFERS GREAT BENEFITS, INCLUDING:

Generous Paid Time Off
Competitive Medical, Dental & other wellness programs
Disability and Life Company Paid
Retirement Plan Options
Generous Employee Purchase Discounts

Pay Range: $74,000-$106,000

What You'll Do (Essential Duties and Responsibilities):

Effectively collaborate with business, trading partners other analysts in IT to gather systems and business requirements.
Coordinate and perform the implementation of new and maintenance of existing EDI partners, transactions, communication protocols and EDI solutions.
Possess an understanding of EDI transactions.
Assist in mapping user requirements to effective technology solutions.
Support, maintain, and modify existing systems and integrations.
Monitor and troubleshoot questions/problems from the user community.
Perform unit test in conjunction with developers and partners to ensure that logic and syntax are correct and program results are accurate.
Coordinate with business users and QA for UAT Testing and signoff.
Coordinate with appropriate persons to ensure that we comply with all policies for system
Perform other duties or projects as assigned.
Requirements:

What You'll Need (Qualifications):

Technical:

Knowledge of EDI transactions. X12, XPath, BPML, XSLT, XML Schemas experience a plus
Experience with the X12 format. Experience with EDIFACT and XML files a plus
Operating System skills in Windows.
Experience with IT production support and development, and SDLC.
Proficiency in reading and interpreting technical documentation.
Ability to identify and troubleshoot issues.
Attention to detail, deadlines and reporting.
Leverages technical expertise to get results.
Preference given to B2Bi Sterling application experience.

Functional:

Strong verbal and written communication
Strong presentation skills
Collaborates effectively with people that have different views.
Displays a sense of urgency.
Ability to work in dynamic environment.
Can facilitate effective brainstorming.
Shows a strong sense of purpose.
Minimum of 4 years of experience in related business field or Bachelor's degree
Experience and knowledge of managing processes to completion.
Experience and knowledge of collaborating with customers/vendors.
Experience working in with technical team/developers.

Tempur Sealy is proud to be an Equal Employment Opportunity and Affirmative Action employer. We provide equal employment opportunities to all employees and applicants for employment and prohibit discrimination and harassment of any type based upon race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",1992,Consumer Product Manufacturing,$1 to $5 billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Senior Accountant/Financial Analyst,"PrideStaff Northern Kentucky
","California, KY",$50K - $64K (Employer est.),4.0,"PrideStaff is seeking the next Senior Accountant for our client in Northern Kentucky. This is a Direct Hire Role and reports to the CFO of the firm. As Senior Accountant/Financial Analyst, you would be responsible for managing the accounting function, including transactions, reporting and documenting following standard accounting principles. With it being a small organization, you will have close interaction with the senior leadership team.

Oversees the financial operation of our client's. Responsible for ensuring that all financial services are managed and provided in accordance with the policies and procedures of our client and in compliance with all government regulations.

Essential Job Function:

Maintains general ledger and accounting records including accounts payable and accounts receivable.
Assists in setting policies and procedures for daily accounting functions.
Documents and reconciles balance sheet accounts on a monthly basis.
Assists in managing cash flow through the use of checking, savings and investment accounts.
Prepares monthly and yearly financial statements and reports for the agency and Board of Directors.
Prepares monthly budget-to-actual analysis and informs management of problem areas.
Assists in developing budgets.
Assists in managing and maintaining accounting software package to ensure completion of accurate and timely financial reports.
Prepares reports as directed by contracting agencies, and funding sources and local, state and federal government.
Processes payroll through outside service.
Facilitates yearly audit by outside accounting firm.
Participates in Quality Improvement efforts as assigned; including serving on Risk Management Committee
Assists with special projects as requested by management team, and Board of Directors.
Assists in for assessing, developing, and evaluating financial goals and objectives.
Works collaboratively and communicates appropriately with other staff members.
Attends and participates in team meetings, staff meetings, and supervision as scheduled.
Participates in training and professional development in order to maintain professional licensure, enhance skills and knowledge base and comply with training regulations.
Responds respectfully and effectively to people of all cultures, classes, race, ethnic background, and religions in a manner that recognizes, affirms, and values the worth of individuals, families, and communities and protects and preserves the dignity of each.
Adheres to ethical standards of professionalism including maintaining confidentiality of each child and family, in compliance with HIPAA regulations and agency policies.
Seeks to fulfill our mission by supporting the team serving our customers.
Performs other related duties as assigned.

Job Requirements:
Education:Bachelor’s degree in accounting or business.

Recommended Qualifications:

Experience:

Five (5) years progressive work in accounting.

Two (2) years of supervisory experience.

Skills:Strong mathematical skills needed. Ability to analyze data and communicate that information. Ability to handle a wide variety of tasks concurrently. Skill to use a personal computer and accounting software. Ability to prioritize work. Ability to communicate effectively verbally and in written form with all levels of individuals within the organization and outside of the organization.

Job Type: Full-time

Pay: $50,000.00 - $64,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Experience level:

3 years
5 years

Physical setting:

Office

Schedule:

Monday to Friday

Ability to commute/relocate:

California, KY: Reliably commute or planning to relocate before starting work (Required)

Experience:

Non-profit accounting: 2 years (Preferred)

Work Location: In person",1978,HR Consulting,$100 to $500 million (USD),Human Resources & Staffing,5001 to 10000 Employees,Company - Private,True
Technical/Data Analyst,Quantam,"Frankfort, KY",$28.45 - $32.00 Per Hour (Employer est.),-1.0,"Quantam Solutions provides IT solutions and consulting for various clients. We offer a competitive hourly wage, health benefits, paid time off, and a 401(k) plan. We're currently seeking a Technical Analyst.


PURPOSE:

This position provides technical and data analyst support for the client’s needs for data reporting, supports agency efforts to maximize quality of data; develops reports to aid and promote use of data. Infinite Campus, SQL, and business intelligence experience are helpful. This position is critical as we continue to rise to new demands for data and keep up with reoccurring internal and external needs for data (including federal and state reporting requirements). The individual should possess the skillset necessary to help lead efforts to maximize quality and use of data.





DESCRIPTION:

Data Analyst. Support agency efforts to maximize quality and use of data. Create and analyze data extracts to ensure quality and consistency of reporting. Perform proactive data analysis to promote quality of data throughout the year. Proficiency with SQL query functionality is a necessity. Develops reports to aid and promote use of data. Business Intelligence/Tableau experience is a plus.
Supports: Works with users and other agencies in the planning of information technology resource allocation. Analyzes request for information technology development and prepares technology plans across agency organizational business lines. Collaborates with team to improve processes and streamline data request process.
Analytical: Analyze needs and defines best practices for data collection and reporting, develop functional requirements documentation for information technology requests and promotes best practices based on database structure and availability of data. Is proactive in seeking additional guidance/direction to further explain expectations where needed.
Tech Assistance: Assist users with understanding database schema, data collections and data availability; work with users and team to ensure functional requirements documentation are maintained and current. Develops and documents processes and procedures for repeatable use by other resources. Document lessons learned to maintain historical perspective and help with future requests.
Planning/Reporting: Researches and presents best practices for data sharing. Prepares feasibility study documents, long range information technology plans and summaries of agency project requests and other reports resulting from the analysis of requests for information systems. Plans, develops, and coordinates or presents highly complex information technology training.
Perform other duties as assigned. Other: Demonstrate strong verbal and written communication skills, being proactive and taking initiative on tasks as assigned through completion to meet quality and timeliness expectations. This position will utilize a time tracking tool to accurately record work effort against current processes in a timely and consistent manner.

This position may require periodic on-call duty outside normal business hours to ensure that supported projects, initiatives and associated systems progress/are operating as intended and time sensitive deliverables are addressed. The on-call duties will be defined at the discretion of the client manager and/or the on-call policy for the organization.",2004,Investment & Asset Management,Unknown / Non-Applicable,Financial Services,1 to 50 Employees,Company - Private,False
Data Analyst - Excel Expert (Remote),"Sonic Electronix, Inc.
","Louisville, KY",$52K - $83K (Glassdoor est.),2.6,"We are looking for a Data Analyst - Excel Expert who will be responsible for developing, implementing, and optimizing programmatic advertising campaigns across multiple platforms.

Responsibilities

Effectively communicate digital strategies and rationale for tactical approaches of each campaign
Be a platform expert, familiar with all optimization levers and features of the DSP
Stay apprised of current and new DSP functionality and/or data offerings and successfully deploy on relevant campaigns
Keep up-to-date with industry trends and be a subject matter expert on programmatic media buying
Collaborate with IT, Ad Operations, and Media Planning Teams on site tagging, creative tag delivery, campaign strategy/execution, and reporting
Collaborate with Analytics and Database Teams to leverage DMP segments for specialized targeting
Spot opportunities for new tactics/improved ROI/forecast investment and return
Become a platform expert, familiar with all optimization levers and features of the DSP
Set up programmatic campaigns for launch (creative trafficking, testing, tag management, ad server campaign setup)
Help identify new opportunities, and present recommendations for growth

Qualifications

Bachelor’s degree in a technical or business discipline (Economics, Business, Engineering, Mathematics)
At least 1 year experience in an analytical capacity
Competitive monitoring tools, ComScore, Compete, Pathmatics, is preferred
Experience buying or selling media on an advertising platform (DSP, SSP, Google AdWords)
Proven technical knowledge to understand how to utilize our tech stack to design and optimize campaigns
Expert in Excel and/or Spreadsheets

About Us

We use the gear we sell and love spreading audio bliss! We’re excited about our next chapter where we’re looking to revolutionize online shopping for audio in the car and on the go. We’re welcoming and excited to add super talented people to join this mission.

We’re a fun, energetic, successful dot-com with a great work environment and passion for audio. We have a casual dress code, plenty of products to geek out with, and growth in our future to get excited about.&nbsp;

Job Type: Full-time",2000,Consumer Electronics & Appliances Stores,$25 to $100 million (USD),Retail & Wholesale,51 to 200 Employees,Company - Private,False
CT Agris Business Analyst,"Archer Daniels Midland Company
","Erlanger, KY",$67K - $97K (Glassdoor est.),3.9,"Erlanger
KY - Kentucky
Information Technology

Job Description

CT Core Team – Agris Business Analyst
North America
Exempt level position.

Position Summary:
The Solution Delivery Organization is aligned with the enterprise process framework to the Accountable Executive/Global Process Owner (AE/GPO) organization for the purpose of business technology strategy development, solution discovery, service management, risk management and relationship management.
In the CTRM (Commodity Trading & Risk Management) area, the team is responsible to enable all processes and capabilities associated with Commodity Trading, Commodity Logistics, Contract Settlement and Risk Management.
As a member of the CTRM Solution Delivery team, the Agris Business Analyst will analyze business processes and associated functional requirements and work closely with the Solution Leader(s), Process and System Analysts as well as business and/or process owners to develop, document and deliver process and system solutions which enable ADM’s strategy. This position can be located in any Global IT hub in North America.

Job Responsibilities:
Partner with the Product Owner, other business representatives and other Solution Delivery Team members to participate in preliminary investigation for project solutions requests, requirements gathering, collecting data from a variety of sources, evaluating and interpreting data, and drawing conclusions on solution options.
Support business case development by providing process and functional expertise to ensure a common understanding of the business outcomes that the solution needs to achieve.
Support the development of new or revised processes following the enterprise business process governance standards.
Understand the key cross-process and cross-functional dependencies as solutions are designed, developed and implemented.
Prepare documentation for all the main phases of the project, including but not limited to requirements gathering, project phases, ideation discovery and delivery.
Collaborate with Solution Architects to develop roadmaps from strategy documents and conduct regular roadmap reviews.
Collaborate with other IT delivery teams to ensure efficient and effective design, development and implementation of end-to-end solutions.
Support roadmap design for implementation projects, communicating with stakeholders and service delivery teams to ensure delivery.
Maintain a good awareness of solution and service delivery activities through regular communication with designated team leads and by attending update meetings.
Undertake requirements analysis of incoming requests ensuring deliverables are clearly understood and agreed with stakeholders.
Provide regular and accurate status updates and other documentation to management and team members for assigned project, support, and enhancement work.
Provide input to estimates for time and resource needs of identified solutions.
Support project implementation transition to the support organization through documentation and knowledge transfer.
Partner with other process and system experts to identify and implement business process continuous improvements opportunities.
Job Requirements:
Bachelor’s degree related to Information Systems, Business or other relevant academic discipline with a minimum 5+ years job experience in IT or process area(s).
Strong understanding of Commodity Trading and Risk Management processes, capabilities and main solutions. Previous experience with AGRIS is preferred.
Interact and deal effectively with all levels of employees while maintaining a professional manner.
Expected to complete projects within specified deadlines.
Expected to work occasional weekends, holidays, overtime, or a variety of shifts, when needed, to meet deadlines.
Ability and willingness to travel as needed to achieve business objectives.
Exhibits ability to work both in a multi-cultural team environment and independently.
Strong analytical, organization, time management, facilitation, and process management skills.
Demonstrated high level of written, verbal and interpersonal skills to communicate technical and non-technical information, ideas, procedures and processes.
Able to work in a fast-paced, changing environment, and with all levels of the organization and cope with rapidly changing information
Ability to evaluate and negotiate priorities and adapt to new/evolving individual and team assignments as adjustments are needed.
Knowledge of how current trends and process solutions can address identified business needs and capabilities

This position offers a complete benefit package, including 401K/ESOP, pension, health, life and dental insurance. Relocation assistance is available with this position.
ADM requires the successful completion of a pre-employment drug screen and a background check.
#AJCIND

Benefits and Perks

Enriching the quality of life for the world begins by taking care of our colleagues. In addition to competitive pay, we offer a comprehensive total rewards package to support your well-being, including:

Physical wellness – medical/Rx, dental, vision and life insurance; on-site wellness center access or gym reimbursement (as applicable)
Financial wellness – flexible spending accounts, 401(k) with matching contributions and cash balance plan, discounted employee stock purchasing program, disability, workers’ compensation, legal assistance, identity theft protection
Mental and social wellness – Employee Assistance Program (EAP) and Employee Resource Groups (ERGs)
Additional benefits include:

Paid vacation time, plus 11 paid holidays and one paid personal day
Adoption assistance and paid parental leave
Tuition assistance
Company-sponsored training and development resources, such as LinkedIn Learning, language training and mentoring programs

#IncludingYou

Diversity, equity, inclusion and belonging are cornerstones of ADM’s efforts to continue innovating, driving growth, and delivering outstanding performance. We are committed to attracting and retaining a diverse workforce and create welcoming, truly inclusive work environments — environments that enable every ADM colleague to feel comfortable on the job, make meaningful contributions to our success, and grow their career. We respect and value the unique backgrounds and experiences that each person can bring to ADM because we know that diversity of perspectives makes us better, together.

We are committed to ensuring all qualified applicants receive consideration for employment regardless of race, color, ethnicity, disability, religion, national origin, gender, gender identity, gender expression, marital status, sexual orientation, age, protected veteran status, or any other characteristic protected by law.

We welcome everyone to apply, especially those individuals who are underrepresented in our industry, as we strive to ensure our workforce represents the world that we help to feed: people of color, women, gender non-conforming, LGBTQIA+, veterans and persons with disabilities. For more information regarding our efforts to advance Diversity, Equity, Inclusion & Belonging, please visit our website here: Diversity, Equity and Inclusion | ADM.

#LI-Hybrid

About ADM:

ADM unlocks the power of nature to enrich the quality of life. We're a premier global human and animal nutrition company, delivering solutions today with an eye to the future. We're blazing new trails in health and well-being as our scientists develop groundbreaking products to support healthier living. We're a cutting-edge innovator leading the way to a new future of plant-based consumer and industrial solutions to replace petroleum-based products. We're an unmatched agricultural supply chain manager and processor, providing food security by connecting local needs with global capabilities. And we're a leader in sustainability, scaling across entire value chains to help decarbonize our industry and safeguard our planet. From the seed of the idea to the outcome of the solution, we give customers an edge in solving the nutritional and sustainability challenges of today and tomorrow. Learn more at www.adm.com.

Ref ID

#LI-AK1",1902,Food & Beverage Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Financial Business Analyst,"Calculated Hire
","Frankfort, KY",$31.00 - $33.00 Per Hour (Employer est.),4.4,"Financial Business Analyst

Seeking a Business Analyst with experience in state budget development and tracking and/or accounting, enhanced Management Accounting and Reporting System (eMars), developing State and/or Federal documentation, financial reports, funding applications, and/or IT system requirements.

The selected person will:

Develop Biannual and Annual Project Budgets
Track, Evaluate, and Report on Project Budgets
Develop and maintain federal financial proposals (similar to grants), reports, and planning documents within required timelines
Research projects and programs related to the proposals and documents
Work closely with agency management and project teams to gain an understanding of project and related requirements in order to develop appropriate document content
Organize material and complete assignments according to agency standards regarding order, clarity, conciseness, style, and terminology
Work with subject matter experts to develop content for document budgets and facilitate document review meetings for submission to federal sponsors
Utilize a combination of computer and critical thinking skills
Maintain confidentiality and exercise discretion is essential with data and information

Required Qualifications:

Bachelor's degree or equivalent combination of recent, relevant work experience
3+ years of budget development and/or accounting experience
Knowledge of State and/or Federal financial requirements/methodologies
Have exceptional written and oral communication skills
Proficient in Microsoft Product Suites (Word, Excel, PowerPoint and Visio)
Experience in the development of budgets based on information obtained through requirements gathering
Experience utilizing time management capabilities in high-stress environments
Must be well organized and possess excellent team building skills

Preferred Qualifications:

Prior writing experience of financial request documents in a governmental environment
Prior experience with the Commonwealth's eMars system (including Budgeting, Accounting, and/or Procurement)
Working knowledge of government regulations as they pertain to the grant proposal and advance planning document request process
Prior experience preparing healthcare information technology proposals or working in the healthcare technology environment

Key Competencies:

Organizational and planning skills
Outstanding communication skills
Information gathering and monitoring skills
Problem analysis and problem-solving skills
Judgment and decision-making ability
Initiative and Adaptability
Attention to detail and accuracy

Job Types: Contract, Full-time

Pay: $31.00 - $33.00 per hour

Benefits:

Dental insurance
Health insurance
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Work Location: Hybrid remote in Frankfort, KY 40601",2015,HR Consulting,$1 to $5 million (USD),Human Resources & Staffing,51 to 200 Employees,Company - Private,True
STEPS Data Analyst,"University of Kentucky
","Lexington, KY",$30.00 Per Hour (Employer est.),4.0,"Posting Details

Job Title
STEPS Data Analyst


Requisition Number
TE07905


Department Name
7A000:COLLEGE OF DENTISTRY


Work Location
Lexington, KY


Salary Range
$30 p/hr


Type of Position
Temporary


Position Time Status
Part-Time


Required Education


Required Related Experience


Required License/Registration/Certification


Physical Requirements
This job requires some standing, walking, and sitting for long periods of time.


Shift
PRN as per the needs of the department


Job Summary
The STEPS Data Analyst will participate in a team tasked with data assessment and reporting. Must be able to analyze complex datasets from large-scale genetic sequencing. The ideal candidate will have impeccable analytical, communication skills (verbal and written), and organizational skills, as well as the ability to think critically, use creativity, and be flexible, adaptable, and efficient when completing tasks.


Skills / Knowledge / Abilities
Must have knowledge of high-level programming languages (Python, R, etc.) and experience with relational databases (SQL, etc.).



Does this position have supervisory responsibilities?
No


Preferred Education/Experience


Deadline to Apply
11/27/2023


University Community of Inclusion
The University of Kentucky is committed to a diverse and inclusive workforce by ensuring all our students, faculty, and staff work in an environment of openness and acceptance. We strive to foster a community where people of all backgrounds, identities, and perspectives can feel secure and welcome. We also value the well-being of each of our employees and are dedicated to creating a healthy place to work, learn and live. In the interest of maintaining a safe and healthy environment for our students, employees, patients and visitors the University of Kentucky is a Tobacco & Drug Free campus.

As an Equal Opportunity Employer, we strongly encourage veterans, individuals with disabilities, women, and all minorities to consider our employment opportunities.

Any candidate offered a position may be required to pass pre-employment screenings as mandated by University of Kentucky Human Resources. These screenings may include a national background check and/or drug screen.",1865,Colleges & Universities,$1 to $5 billion (USD),Education,10000+ Employees,College / University,False
Junior Health Care Data Analyst (Experience Working with Informatics in Validating Large Data Sets Required),Quantam,"Frankfort, KY",$27.33 - $35.83 Per Hour (Employer est.),-1.0,"Quantam Solutions provides IT solutions and consulting for various clients. We offer a competitive hourly wage, health benefits, paid time off, and a 401(k) plan. We're currently seeking a Junior Health Care Data Analyst.

PROJECT OVERVIEW:

The Kentucky Immunization Registry (KYIR) receives HL7 VXU data from more than 3000 points of care (POC). The number of point-of-care sites exchanging data with KYIR and the number of records in KYIR continue to increase. These interfaces and the ongoing data exchange along with the content and quality of the immunization records exchanged must be compliant with Health Level Seven International (HL7) version 2.5.1. This project is to complete all onboarding of providers (pharmacists, hospitals, doctor offices, etc.) specifically for the immunization (VXU) feed. The bi-directional (QBP) feed with the immunization registry is an additional feature that has increased in the current fiscal year.

POSITION:

This position will be a technical resource responsible for a data augmentation project ensuring data completeness regarding addresses, phone numbers, and e-mail addresses within the KYIR. This role functions to ensure data quality throughout the data augmentation process. They will work closely with the KYIR onboarding and data quality teams and assist with creation and documentation of functional specifications and technical design documents for the data augmentation project. The Junior Health Care Data Analyst will attend/provide status updates during team meetings to the Immunization Program Team and develop data exchange guidance and procedures. They will serve as a member of the team to coordinate data exchange activities between the KYIR and the vendor providing the data to match and augment patient records within the KYIR. The Junior Health Care Data Analyst will design and implement formal testing procedures and standards to evaluate and assess the accuracy of patient matching as well as the overall progress of the project.

EDUCATIONAL REQUIREMENTS:

A minimum of a bachelor's degree in business analytics, computer systems or information technology or comparable experience it a related field.

SKILL SETS REQUIRED:

At least 2 years' experience working with informatics in validating large data sets.

Ability to interact with a wide variety of individuals to communicate issues or barriers to completing the project as well as progress towards set project goals.

SKILL SETS PREFERRED:

Experience facilitating interfaces within healthcare organizations.
Experience implementing EMRs in hospitals or provider offices.
Competency in MS Office (Outlook, Word, Excel, Access, and PowerPoint).
Knowledge of HL7 2.5.1.
National Institute of Standards and Technology (NIST tool) knowledge.",2004,Investment & Asset Management,Unknown / Non-Applicable,Financial Services,1 to 50 Employees,Company - Private,False
Data Analyst,"Harvey Nash
","Frankfort, KY",$30.00 - $35.00 Per Hour (Employer est.),4.0,"Here is the new Hybrid opportunity:

Position:

Technical Data Analyst/Data Analyst

Location:

Frankfort, KY

Status:

Contract

Estimated Duration:

Long-term Indefinite

Starts

READY TO HIRE

Job Description
Purpose:
This position provides technical and data analyst support for cabinet needs for data reporting, supports agency efforts to maximize quality of data; develops reports to aid and promote use of data. Infinite Campus, SQL, and business intelligence experience helpful. This position is critical as we continue to rise to new demands for data and keep up with reoccurring internal and external needs for data (including
federal and state reporting requirements). The individual should possess the skillset necessary to help lead KDE efforts to maximize quality and use of data.

Description:

· Data Analyst. Support agency efforts to maximize quality and use of data. Create and analyze data extracts to ensure quality and consistency of reporting. Perform proactive data analysis to promote quality of data throughout the year. Proficiency with SQL query functionality is a necessity. Develops reports to aid and promote use of data. Business Intelligence/Tableau experience is a plus.

ENTERPRISE DATA SYSTEMS- Client Educator Credentialing System (KECS), Infinite Campus

· Supports: Works with users and other agencies in the planning of information technology resource allocation. Analyzes request for information technology development and prepares technology plans across agency organizational business lines. Collaborates with team to improve processes and streamline data request process.

· Analytical: Analyze needs and defines best practices for data collection and reporting, develop functional requirements documentation for information technology requests and promotes best practices based on database structure and

availability of data. Is proactive in seeking additional guidance/direction to further explain expectations where needed.

· Tech Assistance: Assist users with understanding database schema, data collections and data availability; work with users and team to ensure functional requirements documentation are maintained and current. Develops and documents processes and procedures for repeatable use by other resources. Documents lessons learned to maintain historical perspective and help with future requests.

· Planning/Reporting: Researches and presents best practices for data sharing. Prepares feasibility study documents, long range information technology plans and summaries of agency project requests and other reports resulting from the analysis of requests for information systems. Plans, develops, and coordinates or presents highly complex information technology training.

Perform other duties as assigned. Other: Demonstrate strong verbal and written communication skills, being proactive and taking initiative on tasks as assigned through completion to meet quality and timeliness expectations. This position will utilize a time tracking tool to accurately record work effort against current processes in a timely and consistent manner. This position may require periodic on-call duty outside normal business hours to ensure that the supported systems are operating as intended and time sensitive deliverables are addressed. The on-call duties will be defined at the discretion of the client manager and/or the on-call policy for the organization.

Job Type: Contract

Salary: $30.00 - $35.00 per hour

Benefits:

401(k)
Health insurance
Paid time off

Experience level:

2 years
3 years
4 years

Schedule:

8 hour shift

Ability to commute/relocate:

Frankfort, KY 40601: Reliably commute or planning to relocate before starting work (Required)

Experience:

SQL: 1 year (Required)

Work Location: In person",1988,Information Technology Support Services,$500 million to $1 billion (USD),Information Technology,1001 to 5000 Employees,Company - Private,True
HMIS Data Analyst,"Coalition for the Homeless, Inc. - Louisville","Louisville, KY",$55K - $60K (Employer est.),-1.0,"Title: HMIS Data Analyst

Summary: This position is responsible for assisting with all aspects of operating and maintaining the Homeless Management Information System (HMIS) data system in the Louisville/Jefferson County Continuum of Care with an emphasis on data analysis and reporting.

Reports to: HMIS Project Administrator

Direct Reports: None

Classification: Regular Full-Time Exempt

Salary Range: $55,000 - $60,000 annual salary, negotiable based on experience

Hybrid Schedule: Positions at the Coalition for the Homeless are currently hybrid with employees working from home up to two days a week with supervisor approval and in the office the remainder of the week.

Description:
Homeless Management Information System (HMIS) is a web-based data system which collects homeless services and related data from shelters, supportive service providers, and public agencies working to serve homeless and at-risk clients in Louisville/Jefferson County. As the HMIS Data Analyst for the Louisville, Kentucky Continuum of Care, you will serve as a vital link in the effort to address homelessness and improve the quality of services within our community. Your role will encompass the full spectrum of HMIS data management and analysis, from data collection and validation with a focus on in-depth reporting and presentation. HMIS staff are responsible for ensuring adherence to HMIS data standards, overseeing the creation of informative reports, and presenting data insights to city leaders, citizens, and the homeless services community. Your expertise will play a pivotal role in tracking and assessing System Performance Measures, Longitudinal Statistical Analysis, Point In Time counts (PIT), and Housing Inventory Counts (HIC), ultimately contributing to evidence-based decision-making. Additionally, you will provide essential training and support to users, serve as a troubleshooting resource, and maintain data quality, all while safeguarding data privacy and security. Your work will be instrumental in helping the Louisville Continuum of Care combat homelessness and improve the lives of those in need.

Essential Functions:
Under the supervision of the HMIS Project Administrator, the HMIS Data Analyst will assist with the following activities:

Report Writing: Generate comprehensive reports based on HMIS data to support decision- making and policy development.
Report Creation: Design, create and support new report templates as needed.
HMIS Data Standards: Ensure compliance with HMIS data standards, continually evaluating and implementing updates as necessary.
Data Presentation: Present HMIS data to city leaders, citizens, and the homeless service community to inform and engage stakeholders.
Training: Conduct new user training and provide refresher training sessions as required.
Data Quality Assurance: Assist in evaluating and maintaining data quality, offering guidance and solutions for improvement.
Deep Dive Data Analysis: Conduct in-depth data analysis focusing on HUD required reports, such as the Continuum of Care's (CoC) system performance measures, the Longitudinal Statistical Analysis (LSA) report, Point In Time counts, and the Housing Inventory Count.
Data Visualization: Create clear and informative data visualizations, charts, and graphs
Trend Analysis: Identify and report on trends in homelessness data to support long-term planning and intervention strategies.
Meeting Leadership: Lead various quarterly meetings throughout the year, facilitating discussions and sharing insights on HMIS data.
Troubleshooting: Serve as a troubleshooter for all users and address any HMIS (reporting and non-reporting) issues promptly.
Training Materials: Develop, maintain, and publish training materials to support user education.
System Maintenance: Ensure that updates to the system are implemented correctly and in a timely fashion, that all assessments are in place and that project shells reflect the latest data standards updates. The position will also create new HMIS projects as needed.
Data Entry and Validation: Oversee accurate and timely data entry while validating the completeness and correctness of data.
Data Privacy Compliance: Ensure that HMIS data handling complies with privacy regulations and best practices.
User Support: Offer ongoing assistance and support to users, addressing their questions and concerns.
Other duties as assigned.

Minimum Requirements:
The HMIS Data Analyst position requires a Bachelor's Degree or Associate’s Degree as a minimum educational qualification. Proficiency in utilizing data analysis tools such as Excel, Business Objects/SAP, Tableau, Microsoft BI, or SPSS. Eligibility to work in the United States. Ability to read, analyze and interpret general business periodicals, professional journals, technical procedures, or government regulations. Can effectively present information and respond to questions from groups of managers, governmental bodies, and the general public. Ability to work with mathematical concepts and apply concepts such as fractions, percentages, ratios, and proportions to practical situations. Capacity to define problems, collect data, and establish facts to draw valid conclusions. An understanding and empathy for those experiencing homelessness.

Benefits:

Medical, dental (employee option), vision (employee option), life, and short-term disability insurances
SEP/403(b) with 7% contribution
Up to 15 days paid vacation leave in first year
Up to 12 days paid sick leave
Up to 10 paid holidays
$30/month health/self-care reimbursement.

For full benefits, see our website: https://louhomeless.org/current-job-opportunities/

The Coalition for the Homeless is an equal-opportunity employer. We do not and shall not discriminate on the basis of race, color, religion (creed), gender, gender expression, age, national origin (ancestry), disability, marital status, sexual orientation, or military status, in any of our activities or operations.

Persons of color who are over-represented in the populations that we serve are encouraged to apply.

Job Type: Full-time

Pay: $55,000.00 - $60,000.00 per year

Benefits:

Dental insurance
Disability insurance
Health insurance
Life insurance
Paid holidays
Paid sick time
Paid time off
Retirement plan
Vision insurance

Schedule:

Day shift
Monday to Friday

People with a criminal record are encouraged to apply

Work Location: In person",-1,-1,-1,-1,-1,-1,True
