Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst,Dedication ABA LLC,"Baltimore, MD",$55.00 - $70.00 Per Hour (Employer est.),-1.0,"Job Title: Board-Certified Behavior Analyst

Duties:
- Conduct assessments and develop individualized treatment plans for clients with developmental disabilities, specifically autism and special needs.
- Implement evidence-based behavioral therapy techniques to address behavioral challenges and promote skill development.
- Provide direct supervision and training to behavior technicians and other team members.
- Collaborate with families, caregivers, and other professionals to ensure consistent implementation of treatment plans.
- Monitor and evaluate client progress through ongoing data collection and analysis.
- Modify treatment plans as needed based on client progress and changing needs.
- Stay up-to-date with current research and best practices in the field of applied behavior analysis.

Skills:
- Board Certification as a Behavior Analyst (BCBA).
- Experience working with children with developmental disabilities, particularly autism.
- Proficient in conducting functional behavior assessments and developing behavior intervention plans.
- Strong knowledge of applied behavior analysis principles and techniques.
- Excellent communication skills, both verbal and written, to effectively collaborate with clients, families, and team members.
- Ability to analyze data and make data-driven decisions for treatment planning.
- Strong organizational skills to manage caseloads and documentation requirements.

Benefits:
- Competitive salary based on experience and qualifications.
- Professional development opportunities to expand knowledge and skills in the field of applied behavior analysis.

If you are a dedicated professional with a passion for making a positive impact on the lives of individuals with developmental disabilities, we invite you to apply for this rewarding position. Please submit your resume and cover letter detailing your relevant experience.

Job Type: Part-time

Pay: $55.00 - $70.00 per hour

Expected hours: No less than 10 per week

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Vision insurance

Medical specialties:

Pediatrics

Schedule:

10 hour shift
4 hour shift
8 hour shift
Day shift
Evening shift
Monday to Friday
Weekends as needed

Education:

Master's (Required)

Experience:

BCBA: 1 year (Required)

License/Certification:

BCBA (Required)
LLC (Required)

Willingness to travel:

25% (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Target Digital Network Analyst (TDNA),"MultiLingual Solutions Inc
","Fort Meade, MD",$62K - $102K (Glassdoor est.),3.2,"About us

MultiLingual Solutions, Inc. (MLS) is a comprehensive foreign language services firm that provides full- spectrum linguistic, analytical and operational support to U.S. Government and private sector customers. MLS provides services in over 100 languages and resources in more than 60 countries. MLS specializes in mobilizing the linguistic, technical and management personnel needed to meet critical communications and operational objectives. Based in the Washington, D.C. Metropolitan area, MLS is accessible 24/7 to respond to short-fused, ongoing and surge requirements worldwide.

We are actively seeking Target Digital Network Analysts (TDNA) of all skill levels to join our team. Target Digital Network Analysts conduct advanced analysis of collection and open-source data to ensure target continuity, to profile targets and their activities, and develop techniques to gain more target information.

Requirements

The TDNA understands the principles and methods of exploiting foreign communications and communication systems to identify, collect, analyze process and disseminate information in accordance with established requirements and priorities; analyzes data for reportable intelligence information and building target profiles; maintains appropriate databases for targeting, tasking, and analysis; performs sustained target analysis and enhancement through the use of analytic techniques; analyzes data to identify new access development opportunities for follow-on collection requirements; performs research using open source and classified sources to develop comprehensive baseline profiles of designated target sets; identifies intelligence gaps and evaluating the intelligence gathered in order to either tailor current collection or enable new collection to close the gaps.

* Active TS/SCI with polygraph

* Relevant experience requires aspects of Intelligence Analysis (e.g. target development, social network analysis, and metadata analysis.

Education

* Degree in a liberal Arts field (e.g., English, History, Communications, Languages and Cultures, International Relations, and Political Science) is preferred, but a degree in any field is acceptable.

Target Digital Network Analyst Level 1
* Associate degree + 4 years, or Bachelors + 2 years, or Masters/PhD + 0 years

Target Digital Network Analyst Level 2
*Associate degree + 7 years, or Bachelors + 5 years, or Masters + 3 years, or PhD + 2 years

Target Digital Network Analyst Level 3
* Associate degree + 10 years, or Bachelors + 8 years, or Masters + 6 years, or PhD + 4 years

Target Digital Network Analyst Level 4
* Associate degree + 13 years, or Bachelors + 11 years, or Masters + 9 years, or PhD + 7 years

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Retirement plan
Vision insurance

Schedule:

8 hour shift

Ability to commute/relocate:

Fort Meade, MD: Reliably commute or planning to relocate before starting work (Required)

Experience:

TDNA: 4 years (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",2000,Advertising & Public Relations,$5 to $25 million (USD),Media & Communication,51 to 200 Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA),"Acorn Health
","Upper Marlboro, MD",$80K - $92K (Employer est.),3.3,"We are looking for a BCBA to join our team in our Upper Marlboro location!

We believe in clinical quality. The compensation reflected in the job post includes the base level of a bonus package tied to your delivery of clinical impact hours. We look forward to sharing more details with you should you choose to seek partnership with Acorn Health.

Acorn Health is an Applied Behavioral Analysis (ABA) treatment provider dedicated to providing the best quality care for our clients. We aim to continually establish best-in-class standards in integrity and quality for not only ourselves, but also in the field of ABA. We work courageously and with accountability to focus on the individuality of each child, collaborate with client families, and generate permanence in client outcomes. We strive to hire and to invest in our greatest asset - our employees, who are the heart of Acorn Health.

You'll have the opportunity to work in a team-oriented environment and engage in a wide range of activities, focused on providing behavior analytic assessment and treatment services in our clinical centers, at client homes, and/or in community settings.

What our BCBA Program Supervisors do:

Oversee client treatment from assessment through care delivery
Conduct initial and follow-up functional, behavioral and developmental assessments
Develop, oversee and implement client's BIPs and Treatment Plans
Serve as the clinical lead on client cases, providing supervision to Behavior Technicians
Monitor and review client programs to analyze data, measure progress and make necessary changes to the treatment plan
Observe program implementation, and provide training on interventions as needed
Work closely with clients and their families providing family training and support
Meet with primary caregivers to discuss observations and concerns
Collaborate with colleagues, parents, and schools to share information and implement best practice intervention programs across settings
Promote awareness and disseminate information regarding ASD and Applied Behavior Analysis (ABA) through training and presentations, both on- and off-site
Attend and participate in team meetings where ideas, success stories, and recent research topics are presented for discussion and use in treatment

Why work for Acorn Health:

Competitive salary
Paid Parental Leave
Incentive Bonus
Paid time off and paid holidays
Medical, dental and vision insurance
Retirement Plan
Life insurance, long term and short term disability
CEU opportunities
Professional development funds
Career development opportunities, including Acorn's Leadership Development Institute
Opportunities to collaborate with and learn from our Clinical Advisory Board led by Dr. Greg Hanley
Positive and collaborative environment
Balanced caseloads and flexible work environment
Supportive administrative back office

You're perfect for the position if you:

Possess a master's degree in ABA or a related field
Have active Board Certified Behavior Analyst (BCBA) certification
Have knowledge of best practices in the treatment of autism
Have Experience working with children, adolescents, young adults, and their families
Are able to communicate effectively, verbally and in writing, in English
Have reliable transportation, a valid driver's license, and satisfactory driving record
Meet the physical requirements of the position, to include lifting of packages, or equipment, and accessing non-barrier free premises
Enjoy working in an interdisciplinary team approach to develop and implement client treatment plans
Have strong organizational skills, are detail-oriented, able to maintain records, prepare reports and reliably develop timely correspondence related to work
Are able to pass a background check
Have the flexibility to work independently when needed, but also enjoy working as a part of the larger team

Apply to join our team today!

Your positive impact on our clients and their families will be significant, and you will expand your knowledge and expertise ready to take on additional challenges and grow your career.

Job Type: Full-time

Pay: $80,000.00 - $92,000.00 per year

Benefits:

401(k)
Dental insurance
Employee assistance program
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Vision insurance

Compensation package:

Bonus opportunities

Patient demographics:

Adolescents
Children

Schedule:

After school
Day shift
Evening shift
Monday to Friday

Education:

Master's (Preferred)

License/Certification:

BCBA (Preferred)

Work Location: In person",2018,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,1001 to 5000 Employees,Company - Private,True
Registered Behavior Technician (RBT),Abria Therapy,"Westminster, MD",$23.00 - $30.00 Per Hour (Employer est.),-1.0,"Overview:

Abria Therapy provides in-home individualized therapy that is dedicated to enhancing the lives of children diagnosed with ASD. (Autism Spectrum Disorder) Our mission is to help each child thrive and guiding them to reach their full potential. We share the same goals and together we will make a difference.

Abria Therapy is rapidly expanding and we are looking for Registered Behavior Technicians. Hiring immediately; dedicated Registered Behavior Technicians, weekends and evening hours, and ready to implement behavior reduction and skill acquisition plans.

Qualifications:

Applied Behavior Analysis: 1 year (Required)
Experience working in an in-home setting
Detail-oriented, Conscientious, Dedicated, Energetic, Reliable (This is a must. Our clients need stability in their programs)

Education:

High school or equivalent (Required)

License:

RBT Certification (Required)
BLS or CPR certification and/or willing to obtain certification
Must have valid driver’s license, valid car insurance, and access to reliable transportation

Why work for us?

At Abria Therapy, our staff is just as important as our clients. Every person counts and is cared for. We pride ourselves on our close knit environment and are looking for passionate therapists to join our team.

Responsibilities:

Work 1:1 with children diagnosed with Autism Spectrum Disorder (ASD).
Provide 1:1 ABA therapy in home
Implement individualized treatment plans developed by your BCBA (Board Certified Behavior Analyst)
Collect data to monitor the progress and effectiveness of the individualized treatment plan.
Provide regular written and verbal progress updates on treatment goals.
Support the BCBA with training families on implementing treatment plans.
Participate in team meetings and training workshops.
Maintain a high level of professionalism including appropriate clothing, timeliness, and communication.

What we offer:

Competitive Pay
Leadership opportunities and room for growth
Health Benefits for qualifying employees
401(k) Plan for qualifying employees

Please include your resume so we can get to know you better and understand why you believe you will be a good fit for our team. We look forward to hearing from you and starting the conversation about your future at Abria Therapy.

Job Types: Full-time, Part-time

Pay: $23.00 - $30.00 per hour

Schedule:

Monday to Friday
Weekends as needed

Work setting:

In-home

Education:

High school or equivalent (Required)

Experience:

Applied behavior analysis: 1 year (Preferred)

License/Certification:

RBT Certification (Required)

Willingness to travel:

25% (Preferred)

Work Location: Multiple locations",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),Jade ABA Therapy,"Baltimore, MD",$75K - $110K (Employer est.),-1.0,"Responsibilities:
- Conduct assessments and develop individualized treatment plans for clients with developmental disabilities, specifically autism and other special needs.
- Implement evidence-based behavioral therapy techniques to address behavioral challenges and promote skill development.
- Provide direct one-on-one therapy sessions with clients in various settings, such as homes, schools, or clinics.
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans.
- Collaborate with a multidisciplinary team including parents, teachers, and other professionals to ensure coordinated care and consistent implementation of treatment strategies.
- Provide training and support to caregivers and other team members to promote generalization of skills across different environments.

Requirements:
- Board Certification as a Behavior Analyst (BCBA) or Board Certified Assistant Behavior Analyst (BCaBA).
- Experience working with children with developmental disabilities, particularly autism.
- Strong knowledge of applied behavior analysis (ABA) principles and techniques.
- Familiarity with special education laws and regulations.
- Excellent communication and interpersonal skills to effectively collaborate with clients, families, and other professionals.
- Ability to collect and analyze data to inform treatment decisions.
- Strong problem-solving skills and ability to adapt strategies based on individual client needs.

Note: This job description is intended to provide a general overview of the position. It is not an exhaustive list of all responsibilities, duties, and qualifications required.

Job Type: Full-time

Pay: $75,000.00 - $110,000.00 per year

Benefits:

Professional development assistance
Referral program

Compensation package:

Bonus opportunities
Signing bonus

Schedule:

Monday to Friday
Weekends as needed

Travel requirement:

Up to 75% travel

Experience:

BCBA: 3 years (Preferred)

Language:

Spanish (Preferred)

License/Certification:

BCBA (Required)
Licensed Behavior Analyst (Required)

Ability to Commute:

Baltimore, MD (Required)

Willingness to travel:

50% (Preferred)

Work Location: On the road",-1,-1,-1,-1,-1,-1,True
Research Data Analyst,"The MASY Group
","Bethesda, MD",$140K - $160K (Employer est.),4.8,"Your mission is to improve student knowledge and mission outcomes in the instruction of a wide variety of Bachelor’s and Master’s programs at the National Intelligence University (NIU).

Your Responsibilities

Collect, clean, analyze, interpret data and information for the development and execution of projects at hand
Track and maintain the institution and program data, metrics, and evaluate the quality and reliability of data
Prepare reports, presentations, written documents, and other materials for leadership that effectively and aesthetically communicate results such as findings, trends, patterns, and predictions using relevant data and research
Support, coordinate or promote strategic initiatives and projects for NIU
Proficient/Advanced skills in MS Office applications especially in Excel, Access and or/related spreadsheet and database applications

Your Qualifications

Bachelor’s degree in fields of data science, public policy, economics, sociology, education, business analytics or related social science field from an accredited institution of higher education
At least 2 years of directly comparable experience working with quantitative information and data
Ability to generate and present data insights using statistical software and data visualization tools (e.g., Power BI, Tableau or similar)
Experience with programming language/coding (e.g., Visual Basic, SQL, or similar). Typically, coding skills are transferrable; VBA (or Python) can be used with Excel and VBA/SQL can work with Access. If one has never done any coding, s/he is less likely to comprehend the concept of using code to manipulate data
TS/SCI with CI Polygraph REQUIRED

Desired Qualifications

Experience in graphic design
Training in and experience with more advanced statistical techniques

Job Types: Full-time, Contract

Pay: $140,000.00 - $160,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Retirement plan
Vision insurance

Schedule:

8 hour shift

Supplemental pay types:

Bonus opportunities

Application Question(s):

Do you have an Active TS/SCI w/ CI POLY level of security clearance?

Security clearance:

Top Secret (Required)

Work Location: In person",2006,Aerospace & Defense,$5 to $25 million (USD),Aerospace & Defense,51 to 200 Employees,Company - Private,True
Division Business Analyst,"Lennar Homes
","Columbia, MD",$80K - $124K (Glassdoor est.),3.6,"Overview:
Welcome Home! Build your career with Lennar!

As one of the nation’s largest builders, Lennar has built over one million new homes for families across America. Since 1954, our communities have catered to all lifestyles and family dynamics, whether you are a first-time or move-up buyer, multi-generational family, or active adult.
At Lennar, Everything’s Included in our homes, and Everyone’s Included on our team. Our Everyone’s Included vision is to be as inclusive and diverse as the communities we build unleashing the power of diversity within our workforce to drive innovation & sustainable growth.

Division Business Analyst:

Lennar is seeking a strategic and sharp Division Business Analyst who will be responsible for analyzing reports and models, reviewing financials, and data mining to formulate and deliver fact-based pricing strategies to division leadership. This position will work closely with various department to understand factors impacting the pricing and selling process to develop and implement strategic solutions that drive key operational metrics focused on improving financial results. The Division Business Analyst must possess the intellectual curiosity to actively seek out new areas of potential improvement and drill into the details to find the root cause of a problem, which requires the willingness to question results and assumptions, and an internal drive for continuous improvement.
Responsibilities:

Manage overall pricing process including providing recommendations and obtaining approvals on home-by-home pricing and release order and communicating results across the sales organization.
Recommend price adjustments to Management based on an analysis of historical sales trends, current and future market conditions and the overall market supply and demand dynamic.
Collaborate with Division lines of business to develop a deep understanding of the process, strategies and Key Performance Indicators (KPIs) that influence top line Revenue growth.
Provide revenue management functional expertise and leadership to management team and market sales leaders.
Provide an objective point of view to complex business and issues based on a deep understanding of data and analytics as well as business principals.
Regularly translate data, insights, and forecasts into actionable and relevant recommendations by utilizing visualization and/or data analysis tools, presentations and other means to effectively communicate clear and concise recommendations to senior division leadership.
Track, create, maintain, and analyze data.
Develop new skills, techniques, and statistical models for predicting future operational results, costs and key performance metrics.
Consolidate, prepare, and analyze operational data to understand cause and effect relationships and identify and share root causes.
Oversee day-to-day implementation and analysis of the different initiatives.
Qualifications:

Bachelor’s Degree in related field (business, finance, etc) preferred
MBA a plus
2 years as a Revenue and/or Pricing Manager, Business analyst or comparable experience preferred
Experience in the homebuilding industry preferred
Experience with business software preferred (Salesforce, JDE, Business Intelligence)
Microsoft Office skills (Word, PowerPoint, Excel, etc.)
Lennar Core Values
Our commitment to Quality, Value, and Integrity is the underlying foundation upon which Lennar was built, and these three fundamental principles still guide us in caring for our customers, associates, shareholders, and community.

Life at Lennar!
Lennar recognizes our associates are the heart of the company’s success. Learn new skills, build your path, and become an integral part of the Lennar Family.


When You Join:
Health Insurance - Medical, Dental & Vision
Vacation – 3 weeks of vacation per year to start
Holidays, Sick Leave, & Personal Days
401(k) Savings Plan with company match
Paid Maternity & Bonding Leave
New Hire Referral Bonus Program
Product Purchase Discount for Associates
Associate Assistance Plan
Everyone’s Included Day - In the spirit of inclusion, diversity, and caring for our community, Lennar encourages our Associates to take a day to connect, reflect and inspire those around us, in a way that is uniquely important to you.
And More!
Lennar is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws.
#HomeiswithLennar #CB #LI-ML1
Type: Regular Full-Time",1954,Real Estate,$5 to $10 billion (USD),Real Estate,5001 to 10000 Employees,Company - Public,False
Business Analyst,"PCI Government Services
","Lanham, MD",$85K (Employer est.),4.0,"As affiliates of the PCI Federal Services group of companies, PCI Government Services LLC has a passion for our team members and their personal mission for success. We offer excellent insurance, leave and developmental benefits along with some flexibility for remote work opportunities. Come join our organization and be part of an exciting team supporting our Federal, DoD and Private Sector customers!

Duties and Responsibilities

PCI Government Services is looking for a Business Analyst who can support and meet the qualifications below.

Must have a fundamental understanding of the federal acquisition life cycle process and procurement best practices.
Must work with stakeholders to gain an in-depth understanding of critical business requirements.
Analyzing data models to deliver logical conclusions;
Developing innovative solutions for operational and strategic changes;
Be proficient in inventing processes or systems; and conducting tests, surveys and workshops to ensure positive outcomes.
Requires oral and written communication skills for effective exchange of information.
Will develop and assist in developing and maintaining share point sites, pages, lists, to enable document storage, communication and sharing.

Qualifications

Bachelor's degree from an accredited school:
At least (5) years of experience on contracts of similar size or scope with experience in federal acquisition and contract management.
Must have a fundamental understanding of the federal acquisition life cycle process and procurement best practices.
Requires oral and written communication skills for effective exchange of information.

Physical Requirements

The physical demands described herein are representative of those which may need to be met by an employee to successfully perform the essential functions of the job. Employees must possess the ability to work in an office environment.

If required, employees must be able to operate a motor vehicle which may require sitting for prolonged periods of time to visit other company sites. Must have hearing and speech to communicate in person, before groups and over the telephone. Standing in work areas and walking between work areas may be required. This position may require an employee to bend, stoop, kneel, crouch, crawl, climb or balance, reach, push, and pull. The employee may also be required to lift and/or move up to 20 pounds.

PCI Government Services LLC (PCI-GS) is an equal opportunity employer.

PCI-GS does not discriminate on the basis of age, sex, race, national origin, religion, marital status, sexual orientation or identity, Veterans or Disability status.

Preference may be extended to qualified Native American Indian candidates in accordance with applicable federal law.

Job Type: Full-time

Pay: From $85,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Vision insurance

Experience level:

5 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Lanham, MD 20706: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Federal Acquisition Regulations: 5 years (Preferred)
Procurement management: 5 years (Preferred)

Work Location: Hybrid remote in Lanham, MD 20706",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Business Analyst,"Digital Infuzion, Inc
","Rockville, MD",$84K - $118K (Glassdoor est.),3.5,"Description:

***This is a WFH job, though new hires need to be able to onboard in the Washington, DC or Raleigh-Durham, NC area(s).

Welcome! At Digital Infuzion, we believe people can lead better, healthier lives. To do so, researchers need insights faster, and providers need on-demand data and tailored software solutions. Which is why we are passionate about developing innovative solutions for the healthcare industry so researchers and providers can better serve their patients. We go beyond ordinary health IT services and solutions because we see the advancement of technology and bioinformatics as opportunities to make meaningful impacts in patient’s lives. If you feel drawn to doing what you love in a creative, open, and growth-oriented environment all while helping people live healthier lives, then keep scrolling - we may have just the opportunity for you.

Digital Infuzion is seeking a Business/Requirements Analyst to join our team. You will support the development and enhancement of a cloud-based data management platform that will assist in accelerating the scientific research and discovery through data harmonization, data sharing, and reporting of research results. The platform spans across diseases, domains, and data types. As part of the team, you will be responsible for business analysis, requirements elicitation, and working with the Product Owner(s) to ensure that the system meets or exceeds the customer needs.

Responsibilities

Identify and document business/functional requirements and workflow (“as-is” and “to-be”)
Plan, prepare and interview stakeholders to elicit user requirements and system functionality
Document clear, concise, and unambiguous user requirements and system functionality
Decompose requirements into epics and user stories
Propose, analyze and contrast options for new features/functionality, using qualitative and scenario analysis to surface implications, assumptions and dependencies
Assist in the investigation of reported system issues, by seeking out and reconciling relevant information, drawing appropriate conclusions about the root cause, and determining the optimal next steps
Produce assigned deliverables with an emphasis on specificity, accuracy, and completeness/coverage
Develop wire-frames to assist with requirements development, system design and development
Maintain requirements traceability across the user and functional requirements to the system design and test cases to ensure the implemented functionality meets user requirements
Interface between the Product Owner and the technical team
Advocate for business and user needs during the software development and testing process
Communicate and clarify requirements to development team
Maintain backlog of requirements, change requests, and bugs
Review and/or develop test scripts
Develop user guides and conduct training
Requirements:
Bachelor’s degree or equivalent experience
4+ years’ experience working on web-based systems preferably on an enterprise scale
4+ years’ experience conducting interviews to gather and validate requirements
Experience with process modeling (notation, arrangement/presentation)
Experience supporting a cross-functional team using Agile methodology
Working knowledge of MS Excel/Word/PowerPoint and Atlassian JIRA/Confluence
Comfort with grasping the problem statement/objective(s) and details of varying issues, feature requests, or tasks
Detail-oriented, with a strong commitment to quality and efficiency
Excellent communications (oral and written) skills to facilitate knowledge acquisition, and business modeling
Experience capturing requirements as user stories with testable acceptance criteria
Experience in testing applications

Preferred Education and Experience

Bachelor's in Business Administration/Management/Commerce, Information Technology or a related discipline
Knowledge of business processes within clinical research domain

Digital Infuzion, Inc. is an Equal Opportunity Employer. EOE/AA/M/F/D/V

It is the policy of Digital Infuzion, Inc. to provide equal employment opportunities without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, age, disability, marital status, veteran status, genetic information or any other protected characteristic under applicable law.",1999,Information Technology Support Services,$25 to $100 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
FSQA Data Analyst,"Perdue Farms
","Salisbury, MD",$45K - $65K (Glassdoor est.),3.5,"Perdue Foods is part of Perdue Farms, a family-owned company heading into its second century of growth and innovation. With a goal of becoming the most trusted name in premium proteins, we create products for consumers and for retail and foodservice customers around the globe, while changing the way animals are raised for food.

Summary

We are actively recruiting for a Foods Safety and Quality Assurance Data Analyst. This position will be based at Corporate HQ in Salisbury, MD. This individual will oversee administration of Safety Chain design and use of data. They will conduct correlative analysis between in plant processing date vs customer and or consumer insights. The Data Architect will optimize Consumer Complaint data base to better align product categories and type of defects to better enable linkage between internal plant performance data and voice of the consumer. They will partner with business colleagues (Operations, Logistics, Procurement, R&D) to establish critical reporting needed for product launchers and or sensitive products or customers. The FSQA Data Analyst Architect will lead data analysis and review efforts within assigned locations and teams.

Principal and Essential Duties & Responsibilities
Technical expert for data analytics, and data visualization across all Quality Systems at assigned locations.
Provide correlative analysis between In Plant, Consumer and Customer feedback.
Provide support for Safety Chain training for all locations.
Maintain strong professional relationships across all locations; Operations, Quality, Sales, Marketing to enable responsive partnerships.
Oversee and recommend appropriate analytic, statistic, and data visualization methods, resources, and tools.
Work with Business teams to development analytic metrics that establish a consistent, coherent approach to data throughout the organization.
Minimum Education and Experience Requirements

Bachelor of Arts/Science Degree in Food Science, Computer Science related major. 5+ years’ experience with data analytics, statistical interpretation and management of data systems within a manufacturing setting.

Our ideal candidate will have/be:

Substantial experience writing both technical and executive level summary audit reports – able to clearly communicate results and areas of continuing focus.
Possess a strong working knowledge of data analytics including SPC.
Strong communicative skills – able to effectively interpret and articulate data analysis within Food Safety and Quality based off audit results.
Experience establishing primary and secondary KPI’s that keep the organization aligned with meaningful data.
Ability to translate multiple points of data from various systems and sources into meaningful information that benefit the company
Experience Preferred

2+ years’ experience leading six sigma-based projects within a manufacturing environment preferred

Environmental Factors and Physical Requirements

Perdue Farms, Inc. is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",1920,Food & Beverage Manufacturing,$1 to $5 billion (USD),Manufacturing,10000+ Employees,Company - Private,False
