Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA) 4pm-7pm-Jackson,"Blue Lakes Behavioral Health
","Jackson, MI",$60.00 Per Hour (Employer est.),5.0,"Blue Lakes is the fastest growing provider of services for children and adults with Autism Spectrum Disorder (ASD) across the Midwest, with services quickly expanding nationwide.

Our mission is to improve the lives of individuals diagnosed with autism spectrum disorder (ASD) by providing individualized, evidence-based treatment in a warm, welcoming, and learner-focused environment to give opportunity to thrive and reach full potential.

Why You

Blue Lakes is looking to hire empathetic, professional, and reliable clinicians to support our learners.

Ideal candidates are independent, reliable, creative and will provide solution-based care in a way that is meaningful and important to the client and your teammates.
Individuals who are passionate about ABA therapy, providing quality care while keeping in mind our clients and families we serve.

Why Us

You will get continued training, and support from our Chief Clinical Excellence , ethics, and operations teams such as an open-door policy for all staff to voice their concerns; including a dedicated Support Center to assist you and your staff with the resolution of administrative issues and tasks. We are highly responsive to all our staff and feel its critical to hear concerns in accordance to our work-life balance program which results in less than 2% staff turnover.
You will get competitive salary, robust benefits, flexible schedule, extensive bonus program, and comprehensive training
We provide career paths to promotion, advancement, and beyond. .
You will get quarterly salary increases based on performance evaluations. We ensure that we are providing the best feedback possible to improve your team.
You will get a work life balance which is encouraged and enforced by our core company vision and mission.
You will get programs available to all employees that offer discounts on shows, attractions, theme parks, shopping, restaurants, insurance, and more.
You will get state of the art technology to help improve quality of service and engagement in the workplace. Including Clinician-led data collection software that provides prediction models to ensure quality care and goal driven results.
You will get innovative ABA-based assessment and treatment practices, including Practical Functional Assessment and Science proven-based treatment in a detailed treatment framework to support a family-client goal-oriented planning. In addition to our comprehensive employment package and as part of our clinical team, you will also receive:

Annual CEU reimbursement

· Free Blue Lakes hosted PDD and CEU events to help maintain your certification and licensure

· Company technology including laptop and tablets issued for business and personal use with access to work phone for calls or texts.

· 401K Match

· Health, dental and vision benefits, PTO, Sick time, and paid holidays

· Bonus Plans for all staff incentivizing strong work ethic, dedication, and performance.

Duties:
- Conduct assessments and develop individualized treatment plans for clients with developmental disabilities, particularly autism
- Implement evidence-based behavioral interventions and strategies to address behavioral challenges and promote skill development
- Provide direct one-on-one behavioral therapy to children with special needs
- Collect and analyze data to monitor progress and make data-driven decisions regarding treatment plans
- Collaborate with a multidisciplinary team including parents, teachers, and other professionals to ensure coordinated care and consistent implementation of interventions
- Provide training and support to parents, caregivers, and other team members on behavior management techniques and strategies
- Stay up-to-date on the latest research and best practices in the field of applied behavior analysis (ABA) and special education

Skills:
- Board Certification as a Behavior Analyst (BCBA)
- Experience working with children with developmental disabilities, particularly autism
- Strong knowledge of applied behavior analysis principles and techniques
- Ability to conduct functional behavior assessments and develop behavior intervention plans
- Proficient in data collection and analysis to inform treatment decisions
- Excellent communication skills to effectively collaborate with clients, families, and team members
- Strong organizational skills to manage caseloads, documentation, and scheduling

Note: This job description is not intended to be all-inclusive. Employee may perform other related duties as assigned to meet the ongoing needs of the organization.

Please apply at bluelakesaba.com

Job Type: Part-time

Pay: $60.00 per hour

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Health insurance
Health savings account
Paid time off
Professional development assistance
Referral program
Relocation assistance
Vision insurance

Medical specialties:

Pediatrics

Schedule:

Evening shift
Monday to Friday

Supplemental pay types:

Bonus opportunities
Signing bonus

Ability to commute/relocate:

Jackson, MI 49202: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA (Required)

Work Location: In person",-1,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,Unknown,Company - Private,True
Behavior Analyst BCBA/QBHP/BCaBA - Part time,"Spectrum Autism Center
","Wyoming, MI",$60K - $80K (Employer est.),3.5,"Are you a dedicated and experienced Board Certified Behavior Analyst (BCBA) looking for a rewarding career opportunity? Spectrum Autism Center is seeking a highly qualified BCBA to join our team of professionals in providing exceptional behavioral analysis and intervention services to individuals with diverse needs. We are looking to fill a part-time position at our Wyoming location. The scheduled shift will be M-F 2pm-6pm.

Spectrum Autism Center is owned by a BCBA and a parent of a child who has autism. Our goal is to help our clients be the best they can be and to give them the skills they need to communicate those needs in their communities and to promote independence!

*We offer sign-on bonus and relocation assistance

Responsibilities:

Conduct functional behavior assessments to identify the underlying causes of challenging behaviors and develop individualized behavior intervention plans.
Develop and oversee the implementation of evidence-based behavior intervention strategies and programs.
Provide ongoing supervision and training to behavior technicians and other team members to ensure fidelity and effectiveness of interventions.
Collaborate with families, caregivers, and other professionals to develop and implement comprehensive treatment plans.
Collect and analyze data to monitor progress, evaluate interventions, and make data-driven decisions.
Maintain accurate and up-to-date documentation of assessments, treatment plans, progress reports, and other relevant records.
Stay current with research, best practices, and developments in the field of applied behavior analysis (ABA).
Adhere to ethical guidelines and professional standards in all aspects of practice.

Qualifications:

Must possess a valid and active Board Certified Behavior Analyst (BCBA) certification.
Master's or doctoral degree in behavior analysis, psychology, special education, or a related field.
1-2 years of experience working as a BCBA preferred.
Strong knowledge of behavior analysis principles, methodologies, and techniques.
Experience conducting functional behavior assessments and developing behavior intervention plans.
Proficient in the use of data collection systems and behavior analysis software.
Excellent communication skills, both verbal and written, with the ability to effectively collaborate with diverse stakeholders.
Demonstrated ability to provide training and supervision to behavior technicians and other team members.
Strong problem-solving and critical-thinking skills.
Ability to work independently and as part of a multidisciplinary team.

Spectrum Autism Center offers a competitive salary commensurate with experience and a comprehensive benefits package. We are an equal opportunity employer committed to fostering an inclusive and diverse work environment. If you are passionate about making a positive impact on the lives of individuals with special needs we invite you to apply today!

Job Type: Part-time

Pay: $60,000.00 - $80,000.00 per year

Benefits:

Dental insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Vision insurance

Schedule:

4 hour shift
Monday to Friday

Supplemental pay types:

Signing bonus

Work Location: In person",2015,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,51 to 200 Employees,Company - Public,True
Board Certified Behavior Analyst (BCBA),"Stonecrest Center
","Detroit, MI",$70K - $95K (Employer est.),2.9,"Our mission is to set ourselves apart from other mental health facilities by offering individualized, superior care that improves the quality of life for our patients and provides a reliable resource for the community.

Job Responsibilities;

Administer ABA assessments.

Collect and analyze data.

Works closely with the Interdisciplinary Team to facilitate the optimum behavior plan.

Design acquisition and deceleration program, treatment plans, data sheets and graphs.

Intervention implementation

Provides on-going instruction and observation of staff members implementing individualized Behavior Programs.

Monitor and record patient reassessment or referral

Assist in meeting clients' needs in the areas of sensory impairment

Ensure data and charting for all assigned cases are updated and accurate

Assist in modeling the use of positive behavior support and intervention techniques for caregivers.

Development of training materials/provide staff training

Attend staff meetings

Adhere to all StoneCrest Policies and procedures

Minimum Qualifications: Must have an active BCaBA credential. Completed bachelor level studies, completed Board Certified Assistant Behavior Analyst program, at least 1 year of experience in applied behavior analysis and/or working with a psychiatric population, ability to work with a multidisciplinary team, excellent communication skills, and some weekends- ability to flex schedule.

Job Type: Full-time

Pay: $70,000.00 - $95,000.00 per year

Benefits:

401(k)
401(k) matching
Continuing education credits
Dental insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Mileage reimbursement
Paid sick time
Paid time off
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Patient demographics:

Adolescents
Adults
Children

Schedule:

8 hour shift
Monday to Friday

Travel requirement:

No travel

Ability to commute/relocate:

Detroit, MI 48205: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA Certification (Preferred)

Work Location: In person",-1,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,Unknown,Hospital,True
Board Certified Behavior Analyst (BCBA),"Acorn Health
",United States,$70K - $81K (Employer est.),3.3,"Acorn Health is looking for a BCBA in Detroit, MI to join the Clarkston team!

We believe in clinical quality. The compensation reflected in the job post includes the base level of a bonus package tied to your delivery of clinical impact hours. We look forward to sharing more details with you should you choose to seek partnership with Acorn Health.

Acorn Health is an Applied Behavioral Analysis (ABA) treatment provider dedicated to providing the best quality care for our clients. We aim to continually establish best-in-class standards in integrity and quality for not only ourselves, but also in the field of ABA. We work courageously and with accountability to focus on the individuality of each child, collaborate with client families, and generate permanence in client outcomes. We strive to hire and to invest in our greatest asset - our employees, who are the heart of Acorn Health.

Acorn Health is a standard-setting family of ABA treatment providers. We believe the best employees want to work with companies who share their beliefs, and that is true for families who entrust us with children they love. Every day and every interaction, we strive to demonstrate our Five Core Values.

Every day and every interaction, we strive to demonstrate our Five Core Values.

Authenticity: We present our true, consistent selves. Everyone hungers for genuine connections.
Accountability: We keep our promises and can be trusted with the life and future of a child.
Teamwork: The best outcomes are produced by people who collaborate with enthusiasm.
Growth: We know the needs of children and their families are unique and ever-changing.
Hustle: In autism care and treatment, time is always of the essence. We do things now.

You’ll have the opportunity to work in a team-oriented environment and engage in a wide range of activities, focused on providing behavior analytic assessment and treatment services in our clinical centers, at client homes, and/or in community settings.

What our BCBA Program Supervisors do:

Oversee client treatment from assessment through care delivery
Conduct initial and follow-up functional, behavioral and developmental assessments
Develop, oversee and implement client’s BIPs and Treatment Plans
Serve as the clinical lead on client cases, providing supervision to Behavior Technicians
Monitor and review client programs to analyze data, measure progress and make necessary changes to the treatment plan
Observe program implementation, and provide training on interventions as needed
Work closely with clients and their families providing family training and support
Meet with primary caregivers to discuss observations and concerns
Collaborate with colleagues, parents, and schools to share information and implement best practice intervention programs across settings
Promote awareness and disseminate information regarding ASD and Applied Behavior Analysis (ABA) through training and presentations, both on- and off-site
Attend and participate in team meetings where ideas, success stories, and recent research topics are presented for discussion and use in treatment

Why work for Acorn Health:

Competitive salary
Paid parental leave
Incentive Bonus
Paid time off and paid holidays
Medical, dental and vision insurance
Retirement Plan
Life insurance, long term and short term disability
CEU opportunities
Professional development funds
Career development opportunities, including Acorn’s Leadership Development Institute
Opportunities to collaborate with and learn from our Clinical Advisory Board led by Dr. Greg Hanley
Positive and collaborative environment
Balanced caseloads and flexible work environment
Supportive administrative back office

You're perfect for the position if you:

Possess a master’s degree in ABA or a related field
Have active Board Certified Behavior Analyst (BCBA) certification
Have knowledge of best practices in the treatment of autism
Have Experience working with children, adolescents, young adults, and their families
Are able to communicate effectively, verbally and in writing, in English
Have reliable transportation, a valid driver’s license, and satisfactory driving record
Meet the physical requirements of the position, to include lifting of packages, or equipment, and accessing non-barrier free premises
Enjoy working in an interdisciplinary team approach to develop and implement client treatment plans
Have strong organizational skills, are detail-oriented, able to maintain records, prepare reports and reliably develop timely correspondence related to work
Are able to pass a background check
Have the flexibility to work independently when needed, but also enjoy working as a part of the larger team

Job Type: Full-time

Pay: $70,000.00 - $80,500.00 per year

Benefits:

401(k)
Dental insurance
Employee assistance program
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Vision insurance

Compensation package:

Bonus opportunities

Schedule:

After school
Day shift
Monday to Friday

Education:

Master's (Preferred)

License/Certification:

BCBA (Preferred)

Work Location: In person",2018,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,1001 to 5000 Employees,Company - Private,True
Data Analyst,"Dynamic Map Platform North America, Inc.
","Livonia, MI",-1,3.5,"Main Duties and Responsibilities:

Develop and Maintain Production KPI metrics Dashboard – SQL Queries, areas of interest, KPI’s, PowerBI dash and standards.
Identify quality improvements, areas of interest, write queries to find known issues, create quality dashboard for WSE’s and backlogs.
Production Support - Support queries to identify areas of work to be progressed.
Standard Work Support – support visualization and process improvement on tickets
New business development – processing questions and data needed to support program and sales for RFI / RFQ
Advanced Development – support query generation for shape files, new business PoC etc.

Skills, Qualifications, and Competencies:

Bachelor’s degree in engineering or appropriate qualification
Experience With Power Bi or similar tool and Python
Experience with relational database principles including structured query language (SQL)
Experience with GIS, geography, planning, computer science, information technology a plus

Work Environment:

Works in a fast-paced office environment with multiple priorities and competing demands; potential setbacks in project completion due to internal or external issues, resourcing and re-allocation.
Regular office hours with some requirements for additional work during busy times
May work for long periods reviewing data on computer

Disclaimer:

This job description is not designed to be a complete list of all activities required to be successful in the above position. Ushr retains the right to change or assign other activities to this position

Job Type: Full-time

Benefits:

401(k)
Dental insurance
Health insurance
Vision insurance

Experience level:

7 years

Schedule:

8 hour shift
Day shift

Ability to commute/relocate:

Livonia, MI 48152: Reliably commute or planning to relocate before starting work (Required)

Experience:

Power BI: 3 years (Required)
SQL: 7 years (Required)
GIS: 7 years (Required)
Python: 7 years (Required)

Work Location: Hybrid remote in Livonia, MI 48152",2017,Automotive Parts & Accessories Stores,Unknown / Non-Applicable,Retail & Wholesale,51 to 200 Employees,Company - Private,True
Search Engine Optimization Data Analyst,Confidential Real Estate Company,"Detroit, MI",-1,-1.0,"The successful candidate will have SEO experience, strong interpersonal skills, excellent writing skills, and an analytical mind. You'll work as part of a team to deliver customized, thoughtfully crafted and data-driven SEO services, with primary responsibilities including client communications, strategy development, and project planning. This role involves a combination of big-picture thinking and highly detailed work.

Requirements:

Bachelor's Degree in Marketing or related field
3+ years of SEO digital marketing and/or paid search experience
2+ years of experience in customer service and/or account management
Excellent interpersonal skills. To be successful in this role you will need to be an excellent listener and communicator
Advanced proofreading skills
Thoroughly comfortable with Google Workspace and Microsoft software. Good spreadsheet skills are a must. Data visualization/report creation experience a big plus.
Experience with a range of SEO tools and services.
Some familiarity building or editing websites is preferred. Experience creating or implementing SEO requirements for website builds or redesigns is a big plus.
The successful candidate will have a demonstrated ability to exchange ideas and information with others, to accept revisions to their work with grace, and deliver suggestions for improvement to others with professionalism and kindness.
Comfortable in a work environment that combines regularly scheduled/routine tasks and interrupt-driven work. Ability to juggle multiple tasks and manage your own time to meet deadlines.
Analytical; able to interpret data and communicate meaningful takeaways to others with clarity.
Demonstrated ability to work independently, set priorities, and see projects through to completion.
Ability to think and act at multiple levels, from the strategic and broadly conceptual to the detailed and tactically specific.
Fast learner; able to grasp new topics and learn new technologies quickly.
Highly organized with excellent attention to detail. Able to maintain methodical documentation.

Benefits:

Dental insurance
Health insurance
Paid time off
401k with company match

Schedule:

Monday to Friday
Work Location: Hybrid

Job Type: Full-time

Benefits:

401(k)
401(k) matching
AD&D insurance
Dental insurance
Dependent health insurance coverage
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Prescription drug insurance
Vision insurance

Experience level:

2 years

Schedule:

8 hour shift
Day shift
Monday to Friday
No nights

Work Location: In person",-1,-1,-1,-1,-1,-1,True
IT Business Analyst,"NBR
",United States,$75K - $86K (Employer est.),5.0,"Role Summary

The IT Business Analyst will be engaged in working with the business to translate business requirements and functional requirements into detailed technical requirements used to document, select, and/or develop IT Solutions.

Role Responsibilities

Collaborate with business stakeholders to understand and document their requirements, objectives, and goals.
Analyze existing business processes, systems, and workflows to identify areas for improvement and optimization.
Develop comprehensive business and technical documentation, including requirements specifications, use cases, process flow diagrams, and user stories.
Work with project managers, developers, and quality assurance teams to ensure the successful delivery of IT solutions.
Act as a liaison between business stakeholders and technical teams, facilitating effective communication and collaboration.
Conduct feasibility studies and impact assessments to evaluate proposed solutions and make recommendations
Perform data analysis and validation to ensure data integrity and accuracy.
Assist in the development of test plans and test cases and participate in testing activities.
Provide post-implementation support and conduct user training as needed.
Stay up to date with industry trends, best practices, and emerging technologies to make informed recommendations.
Other duties as assigned

Role Requirements

Bachelor’s degree in information technology, Computer Science, Business Administration, or a related field.
Proven experience as an IT Business Analyst, with a minimum of 5 years in pre-clinical or clinical research.
Strong analytical, problem-solving, and critical thinking skills.
Excellent communication and interpersonal skills to effectively collaborate with diverse teams and stakeholders.
Proficiency in business analysis tools and methodologies.
Familiarity with project management principles and software development life cycle (SDLC).
Experience with data analysis and reporting tools is a plus.
Relevant certifications (e.g., CBAP, CCBA, or equivalent) are a plus
Knowledge of GXP regulatory requirements, including GAMP 5 preferred.
Knowledge of GLPs (21 CFR Part 11) and other federal regulations relating to information technology
Advanced understanding of laboratory operations and data collection
Ability to work effectively under time constraints
This is an on-site role with flexibility.

Behavioral Expectations

Organized
Collaborative
Rapport and Consensus Building

Special Requirements

The person filling this position will spend approximately 90% in an office setting and 10% in the laboratory. There will be exposure to animal pathogens and chemicals. There will be handling of, and/or exposure to animal tissue and zoonotic organisms.
Ability to don and wear personal protective gear, including N95 masks and respirators.
Ability to work beyond typical work schedule including, but not limited to, evenings, weekends, and extended shifts with short notice.

Job Type: Full-time

Pay: $75,000.00 - $86,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Professional development assistance
Relocation assistance
Tuition reimbursement
Vision insurance

Compensation package:

Performance bonus

Schedule:

8 hour shift
Monday to Friday

Work Location: In person",-1,Research & Development,Unknown / Non-Applicable,Management & Consulting,Unknown,Unknown,False
Compensation Analyst,"Autokiniton
","New Boston, MI",-1,3.3,"We are AUTOKINITON

AUTOKINITON is a Michigan-based family of automotive companies delivering operational excellence, high-quality execution, and customer service. We offer 100% vertical integration capabilities such as end-to-end engineering, manufacturing, and in-house logistics.

We’re proud of our Tier 1 supplier legacy for manufacturing propulsion-agnostic, structural automotive components, and assemblies around the globe.

To help us drive excellence, you’ll get to:

Be responsible for administering the bi-annual step-progression process to initiate pay increases for AUTOKINITON’s non-union hourly population. Includes development of supporting communication and training materials and roll-out and presentation to the corporate and plant Human Resources contacts. Also includes coordination with Payroll and HRIS to ensure that pay increases are administered timely and accurately.
Team with the Sr. Manager in the administration and accurate execution of the annual global bonus and merit planning programs as well as the company’s separation and retention programs.
Participate in the domestic relocation program, including coordination with HR to initiate Associate relocation benefits and authorizing benefits with the external TPA. Conducts overviews with Associates as required.
Serve as the primary point of contact with HRIS to create reports and queries, analyze data, and obtain data required for various compensation related projects.
Be responsible for the TN Visa foreign assignment program, supporting the Sr. Manager in execution of all expatriates and inpatriate programs.
Update salary structures as needed, including performing the required updates to the company’s HRIS system.
Be responsible for maintaining job descriptions, including the organized maintenance of a job description library for easy retrieval by the Human Resources team.
Analyze and evaluate compensation data to ensure alignment with company goals and market competitiveness.
Provide analytical support and data analysis on projects and HR metrics.
Ensure regulatory compliance of laws and regulations that affect compensation plans, especially FLSA.
This role is part of our Compensation Team and reports to the Sr. Manager of Compensation.



Required experience:

Bachelor’s degree in Business, Accounting, Human Resources, or related field preferred, or equivalent experience
Minimum of three (3) years’ experience in HR-Compensation or equivalent combination of education and experience.
Knowledge of federal, state and local laws and regulations.
Knowledge of Relocation Program and Immigration documentation a plus.
Time management, organization and documentation skills.
Excellent analytical skills with ability to efficiently audit large amounts of data.
Intermediate statistical and mathematical knowledge.
Emphasis on data integrity and accuracy in all tasks.
Advance Microsoft Excel skills required (generate complex formulas, utilize VBA/Macros)
Ability to set priorities and manage time effectively.

Working conditions:

We’ll provide position-specific details including physical and focused efforts, working environment and conditions, and reasonable accommodations during the interview process.

Where you’ll be:

This position is located at our corporate facility in New Boston, Michigan, offering many community events, resources, programs, and recreational opportunities for you and your family.

Community Features:

Close to Downtown Ann Arbor, MI
Willow Metro Park

Why you’ll enjoy working here:

Competitive Wages and Comprehensive Benefits: Medical, Dental, Vision, 401(k) with Company contribution match, and 14 paid holidays, including a bridge holiday in December.
Work-Life Balance: Many of our Associates have stayed with us for 25+ years! It takes a good work-life balance to make it that far. We support your personal and professional priorities as they impact your well-being.
Growth Opportunities: Take your career to the next level through tuition reimbursement programs, on-the-job training, learning management systems, and advancement opportunities from within our organization.
Learning and Development: We empower all our Associates – from entry-level to senior-level – with the skills and knowledge necessary to succeed in their current roles and beyond at AUTOKINITON.

AUTOKINITON Promotes a dynamic and collaborative work environment for everyone.

AUTOKINITON is an equal opportunity employer that is committed to diversity and inclusion in the workplace. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.

This policy applies to all employment practices within our organization, including hiring, recruiting, promotion, termination, layoff, recall, leave of absence, compensation, benefits, training, and apprenticeship. AUTOKINITON makes hiring decisions based solely on qualifications, merit, and business needs at the time.

IND500",-1,Transportation Equipment Manufacturing,Unknown / Non-Applicable,Manufacturing,5001 to 10000 Employees,Company - Private,True
Business Analyst,"Creative Financial Staffing
","Niles, MI",$89K - $114K (Employer est.),4.5,"JOB DESCRIPTION
Job Title: Business Analyst

Job Type: Full-time

Company Description:

Our client is a dynamic and rapidly growing manufacturing organization dedicated to providing innovative solutions to our clients. We are seeking a talented and motivated Business Analyst to join our team. This role requires a strong background in finance, expertise in Microsoft Dynamics 365 (D365), and proficiency in Power BI. If you are passionate about leveraging technology to drive financial insights and enhance business performance, we want to hear from you.

Business Analyst Job Summary:

As a Business Analyst, you will play a pivotal role in optimizing financial processes, analyzing data, and providing actionable insights to support strategic decision-making. Your primary responsibilities will include working with financial data, utilizing D365 for financial analysis and reporting, and leveraging Power BI to create visually engaging and informative dashboards. You will collaborate closely with cross-functional teams to drive improvements in financial operations and contribute to the overall success of the organization.

Key Responsibilities of the Business Analyst:

Utilize Microsoft Dynamics 365 (D365) to extract, transform, and analyze financial data.
Develop and maintain financial models to support forecasting, budgeting, and financial planning.
Create interactive and visually appealing reports and dashboards using Power BI to communicate key financial metrics.
Collaborate with stakeholders to gather and understand business requirements for financial analysis and reporting.
Perform variance analysis, trend analysis, and financial performance evaluations to identify opportunities for improvement.
Conduct ad-hoc financial analysis as requested by senior management.
Ensure data accuracy, integrity, and consistency in financial reporting.
Stay current with industry trends, best practices, and emerging technologies in finance and data analytics.
Provide training and support to end-users on D365 and Power BI functionalities.
Participate in cross-functional teams and contribute to strategic financial projects.
Identify opportunities for process improvements and automation in financial workflows.

Qualifications needed for Business Analyst:

Bachelor's degree in Finance, Accounting, Business, or a related field.
Proven experience as a Financial Analyst or similar role.
Proficiency in Microsoft Dynamics 365 (D365) for Finance and Operations.
Strong expertise in Power BI for creating interactive reports and dashboards.
Solid understanding of financial principles, accounting standards, and financial reporting.
Excellent analytical and problem-solving skills.
Strong attention to detail and data accuracy.
Effective communication and interpersonal skills.
Ability to work independently and collaboratively within a team.
Prior experience in the financial services industry is a plus.
Relevant certifications in D365 and Power BI are a strong asset.

Benefits:

Competitive salary commensurate with experience.
Comprehensive benefits package, including health, dental, and retirement plans.
Opportunities for career growth and development.
A collaborative and innovative work environment.
Access to cutting-edge financial technologies and tools.

If you are a proactive and results-driven Financial Business Analyst with a passion for leveraging D365 and Power BI to drive financial insights, we invite you to apply.

#INOCT2023 #INNOV2023
#CBOCT2023 #CBNOV2023",1994,HR Consulting,$100 to $500 million (USD),Human Resources & Staffing,1001 to 5000 Employees,Company - Private,False
Quality Control Data Analyst II,"Charles River Laboratories
","Mattawan, MI",$23.50 Per Hour (Employer est.),3.4,"Req ID #: 219395
Location: Mattawan, MI, US, 49071
For 75 years, Charles River employees have worked together to assist in the discovery, development and safe manufacture of new drug therapies. When you join our family, you will have a significant impact on the health and well-being of people across the globe. Whether your background is in life sciences, finance, IT, sales or another area, your skills will play an important role in the work we perform. In return, we’ll help you build a career that you can feel passionate about.
Job Summary


We are currently seeking a Data Analyst II for our Quality Control team located at our Mattawan, MI site.


Quality Control supports the review and archival of analysis performed by Laboratory Science disciplines that may include dose formulations, large and small molecule analysis, molecular and cell-based assays and Biomarker based lab work. Staff participate in the review of methods, equipment records and the creation of report tables. Staff are knowledgeable in the application of GxP's and applicable SOPs, protocols and ensuring adherence to regulatory documents.


Essential Functions (The fundamental Competencies/Skills & Responsibilities of the role (products and services provided/results accomplished) include, but are not limited to, those listed:


Efficiently perform and document all procedures, materials and results in compliance with applicable regulatory standards as applicable (protocols, methods, SOPs, etc.)
Demonstrate effective communication skills through informal discussions with peers, supervisor, and team
Accurately identify and effectively communicates any issues with data
Effectively support administrative tasks including but not limited to, filing, ordering, distribution of documents and study related materials, as needed
Independently compile and archive data books and departmental records
Develop critical thinking, troubleshooting and time management skills aligned with needs of operational area
Review and issue data sets in adherence to established timelines
Accurately review departmental and study specific data to ensure adherence to SOPs, methods/protocols, industry standards, and regulatory requirements as applicable in timely manner
Oversee and maintain responsibility for one operational area with minimal oversight
Identify data discrepancies involving collection and analyses compared to study plan by working with appropriate personnel with oversight
Ensure sample analysis data collected is accurate against study plans, methods/type of analysis conducted and subjects' collection time points with oversight
Create and compile report tables with oversight
Review methods for accuracy, consistency and formatting with oversight
Review and monitor study schedules to ensure timelines are met with oversight
Perform all other related duties as assigned


The pay for this position is $23.50/hr USD. Please note that salaries vary within the range based on factors including, but not limited to, experience, skills, education, certifications, and location.
Job Qualifications


Qualifications (Knowledge, Experience, Skills and Abilities required to accomplish the essential functions) include but are not limited to:


Bachelor’s degree (BA/BS) or equivalent in a relevant field with no previous work experience
An equivalent combination of education and experience may be accepted as a satisfactory substitute for the specific education and experience listed above
Ability to communicate verbally and in writing at all levels inside and outside the organization
Basic familiarity with Microsoft Office Suite
Computer skills, commensurate with Essential Functions, including the ability to learn a validated system
Ability to work extended hours beyond normal work schedule to include, but not limited to evenings, weekends, extended shifts, and/or extra shifts; sometimes on short notice
Ability to work under specific time constraints
Competencies
Care - We show we care when we respect each other, our animals and the communities where we work and live, when we create a positive healthy workplace, when we are mindful of our compliance standards, and when we choose to do the right thing.
Collaborate -We collaborate when we partner with each other and promote teamwork, when we communicate clearly and effectively across the hall or around the globe, and when we welcome all forms of diversity and encourage inclusiveness.
Lead - We lead when we advocate our purpose and model our values, when we deliver innovation, when we embrace change, and when we appreciate and celebrate the great work of others.
Own - We act like owners when we hold ourselves accountable for our actions, when we respond to internal and external client needs with speed and accuracy, when we set and achieve meaningful goals, and when we strive towards continuous improvement.
About Safety Assessment
Charles River is committed to helping our partners expedite their preclinical drug development with exceptional safety assessment services, state-of-the-art facilities and expert regulatory guidance. From individual specialty toxicology and IND enabling studies to tailored packages and total laboratory support, our deeply experienced team can design and execute programs that anticipate challenges and avoid roadblocks for a smooth, efficient journey to market. Each year approximately 300 investigational new drug (IND) programs are conducted in our Safety Assessment facilities.



About Charles River
Charles River is an early-stage contract research organization (CRO). We have built upon our foundation of laboratory animal medicine and science to develop a diverse portfolio of discovery and safety assessment services, both Good Laboratory Practice (GLP) and non-GLP, to support clients from target identification through preclinical development. Charles River also provides a suite of products and services to support our clients’ clinical laboratory testing needs and manufacturing activities. Utilizing this broad portfolio of products and services enables our clients to create a more flexible drug development model, which reduces their costs, enhances their productivity and effectiveness to increase speed to market.


With over 20,000 employees within 110 facilities in over 20 countries around the globe, we are strategically positioned to coordinate worldwide resources and apply multidisciplinary perspectives in resolving our client’s unique challenges. Our client base includes global pharmaceutical companies, biotechnology companies, government agencies and hospitals and academic institutions around the world.


At Charles River, we are passionate about our role in improving the quality of people’s lives. Our mission, our excellent science and our strong sense of purpose guide us in all that we do, and we approach each day with the knowledge that our work helps to improve the health and well-being of many across the globe. We have proudly supported the development of 86% of the drugs approved by the FDA in 2021.


Equal Employment Opportunity
Charles River Laboratories is an Equal Opportunity Employer - all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.


If you are interested in applying to Charles River Laboratories and need special assistance or an accommodation due to a disability to complete any forms or to otherwise participate in the resume submission process, please contact a member of our Human Resources team by sending an e-mail message to crrecruitment_US@crl.com. This contact is for accommodation requests for individuals with disabilities only and cannot be used to inquire about the status of applications.


For more information, please visit www.criver.com.




Nearest Major Market: Kalamazoo
Job Segment: Pharmaceutical, Data Analyst, Laboratory, Biotech, Science, Data, Research",1947,Biotech & Pharmaceuticals,$1 to $5 billion (USD),Pharmaceutical & Biotechnology,10000+ Employees,Company - Public,True
