Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Data Quality Analyst,"Hospital Industry Data Institute
","Jefferson City, MO",$6K (Employer est.),3.9,"This position is eligible for working remotely on a full‑time basis. Ideally, candidate should live within driving distance from our corporate offices in Jefferson City, Missouri, as the employee will be requested to attend meetings in person from time to time. The employee must be able to travel to and from the corporate offices without any restrictions.

Position Overview:

The Data Quality Analyst develops and implements processes and activities to evaluate and improve content quality, consistency and integrity across HIDI’s portfolio of services. The position works integrally with HIDI management and staff to implement and monitor data quality and governance processes to ensure effective fulfillment of business requirements targeted by HIDI products and services and implements practices to achieve the desired level of consistency, quality and integrity.

Essential Functions:

Develop and implement data and analytic content quality standards and processes across HIDI’s portfolio of services.
Utilize Structured Query Language (SQL), statistical programs (SAS), Alteryx, Excel, ArcGIS geospatial programming and other available tools to assess, monitor and, where appropriate, implement processes to remediate identified data quality concerns. Develop and implement statistical process control (SPC) and other statistical methods as appropriate.
Synthesize and analyze data from multiple sources to identify and report data quality variance and trends.
Leverage quality assurance (QA) outcomes to provide decision-support to leadership for the purpose of shaping procedures intended to maximize the efficiency of iterative processes.
Support the development of solution content governance and integrity standards with a focus on effective fulfillment of business requirements targeted by HIDI service domains and improvement of business processes, workflows and standards.
Develop and implement indicators of performance and quality metrics and ensure compliance with quality- and integrity-related policies and standards.
Work with program areas to define, improve and document data processes and workflows leveraging HIDI and other relevant data assets. Help ensure appropriate data elements, methodologies and delivery processes are in place to fulfill targeted business requirements.
Provide technical support and subject matter expertise on data and content quality-related inquiries from members and partners.
Implement updates to analytic product content data and supporting information on various schedules.
Independently remain abreast of trends and developments in related fields and participate in continuing education to enhance technical, quantitative and qualitative analysis skills to meet the changing needs of data customers.
Support efforts to develop and maintain documentation, processes and training to ensure analytic content delivery backup coverage and HIDI business continuity.

Marginal Functions:

Perform selected activities and other duties as assigned by the Senior Director of Solution Quality and Integrity.

Qualifications: Knowledge, Skill and Ability:

Possess a bachelor’s degree in health information management, management information systems or health information technology or equivalent experience and training.
Two or more years of relevant data analysis work experience is required. Prior work experience implementing health data quality and governance programs is highly preferred.
Working proficiency with Microsoft Office 365 tools (Word, Excel, PowerPoint, Teams, etc.)
Demonstrated proficiency with various forms of source data, performing complex data manipulations and delivering data and analytic deliverables using SQL, SAS, Alteryx and/or other statistical programming applications is required. Applied experience with business intelligence tools (e.g. Tableau, Power BI), geospatial analysis tools (e.g. ArcGIS), hospital UB04 and other common healthcare data sources highly preferred.
Demonstrated experience in accurately gathering/decomposing general project requirements and translating into precise programmatic workflows (using SSMS, for example). Training and/or work experience in quality improvement methods (SPC, Lean/Six Sigma, CQM) highly preferred along with demonstrable knowledge of industry standard data quality practices.
Working knowledge of data governance practices, business and technology issues related to management of enterprise information assets and approaches related to data protection preferred.
Strong analytic orientation and advanced problem solving skills.
Ability to manage competing responsibilities in an organized, proactive and independent manner to meet required time frames and commitments.
Effective verbal, written and interpersonal skills in both in-person and virtual work settings.
Ability to work effectively with internal and external customers in a highly team-oriented environment; prior work experience in a scaled agile (SAFe) or similar teams-oriented work environment is a plus.

Physical Demands:

Lift and move items up to ten (10) pounds.
Sit, stand and walk for extended periods of time.
Ability to work on the computer for hours at a time and concentrate on detailed information.
Bend, kneel and reach items with use of hands/fingers, as well as be able to handle or feel objects, tools and controls.
Must be able to speak and listen effectively.
Vision abilities, including close vision, color vision, peripheral vision and depth perception.

Work Environment:

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.

Professional office setting with minimal adverse factors.
This is a nonsmoking work environment, including all premises and other such areas.

Infrequent travel may be required. If, in order to carry out the requirements of this position, business travel is necessary in either a leased/rental and/or personal vehicle, the incumbent is required to maintain a valid driver’s license. The incumbent employee also is required to consent annually to a check of their Motor Vehicle Record in accordance with the Vehicles — Business Travel policy as outlined in Section 2 of the Employee Handbook. If you cannot meet the requirements of the policy, you may not be able to fulfill the requirements of this position.

HIDI is an equal opportunity employer with a drug and smoke‑free work environment. HIDI participates in the E‑Verify Program.

Job Type: Full-time

Pay: $5,667.00 - $6,000.00 per month

Benefits:

401(k)
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift

Application Question(s):

Will you now or in the future require sponsorship for employment visa status (H1-B or other)?
This position will require the employee to travel to Jefferson City, Missouri, 5-10 times a year. Do you have any travel restrictions that would limit you from attending these meetings when required?

Education:

Bachelor's (Preferred)

Experience:

Lean/Agile/Scrum team-based development: 3 years (Preferred)
technical documentation: 3 years (Required)
SQL, SAS: 3 years (Required)
Quality assurance: 3 years (Required)
statistical process control: 3 years (Preferred)
Data analysis skills: 1 year (Required)
ArcGIS: 3 years (Preferred)
Alteryx: 3 years (Preferred)

Work Location: Hybrid remote in Jefferson City, MO 65109",1922,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,51 to 200 Employees,Nonprofit Organization,True
Data/Reporting Analyst,"US Tool Group
","Farmington, MO",$62K - $86K (Glassdoor est.),3.7,"Data / Reporting Analyst

Farmington, MO

Overview:

US Tool Group is seeking Junior and Senior-level Data/Reporting Analysts for its rapidly expanding business. This position is a full-time permanent role with full benefits. Our corporate headquarters is located in Farmington, Missouri, but this position will be eligible for remote work flexibility.

As a Data Analyst at US Tool, you will get to work on exciting projects and tasks with many of the latest tools of the trade. We believe in providing our team with the best resources to allow for the creation of the most innovative solutions. You will get to work with and be part of an analyst team that functions as a core component of the company by managing, structuring, and reporting on company and customer data. Your contributions will be vital to our continued success and help drive direction and smart business decisions. We also believe in letting your creative juices flow by supporting your interests on a new project or developing a new skill. We are primarily a SQL-based data environment with data sources across multiple servers in multiple locations. The reports and analysis work you will perform will cross all functional areas of the business, including accounting, manufacturing, procurement, inventory, supply chain and just about everything in between! There's always something new and exciting for you to learn or work on.

Who We Are:

We are a tech-heavy organization that functions as an innovative supplier of industrial products and services that produce Best-in-Class cost savings for our customers. These solutions include: Integrated Supply Chain Management, Production Cutting Tool Reconditioning, Industrial Vending, Custom Value Added Solutions, Information Technology and Product Engineering. Founded in 1958, we have grown to be the largest cutting tool reconditioning firm in North America. Our customers include the largest aerospace and defense contractors in the industry and major manufacturers in the power generation, fluid control and transportation markets. US Tool Group has been committed to providing quality products and outstanding service, supported by the uncompromising dedication of our employees.

If you have:

Strong problem-solving and communication skills
Ability to preform and keep track of multiple tasks and projects
Able to work independently while meeting established timelines
Good organizational skills and follow-through
A desire to be a positive team player with the ability to drive changes in business processes.
Positive attitude and excellent customer service skills
Self-motivation, initiative, and the drive to succeed.
Experience with operating systems, application installation and support
Ability to dissect and analyze complex sets of data.
An associate degree or higher in a relevant field, 2-3 years of related professional experience or combination of education and experience
A strong background in the following
Advanced SQL query development
Use of SSMA or similar tools for advanced configuration and management
Use of stored procedures, scheduled task, and/or custom code for the automation of task, processes, or systems
Advanced use of Microsoft Excel with VBA components or external data sources
Data classification and security practices in a regulated environment

We Provide

Competitive Salary
Weekly Pay
Remote Work Flexibility
Health, Vision, Dental and Life Insurance
Comprehensive Employee Wellness Plan
401K Plan with Company Match
Paid Holidays and Vacation Time Accrual
On-Site Cafeteria
Climate-Controlled Facilities
Work-Hard Play-Hard Environment
Personal and Professional Growth Opportunities

Equal Opportunity Employer M/F/Disability/Protected Vet
For more information or to request a reasonable accommodation to apply for a position, please contact our Human Resources Department at 573-431-3856.

This position requires use of information which is subject to the International Traffic in Arms Regulations (ITAR) and/or the Export Administration Regulations (EAR). Non-U.S. persons selected for this position must meet eligibility requirements for access to export-restricted information. The ITAR/EAR defines a U.S. person as a U.S. Citizen, U.S. Permanent Resident (i.e. 'Green Card Holder'), Political Asylee, or Refugee.",1958,Taxi & Car Services,Unknown / Non-Applicable,Transportation & Logistics,Unknown,Company - Private,False
Business Analyst (Ahold Delhaize),"Nestlé Purina Pet Care
","Saint Louis, MO",$65K - $90K (Glassdoor est.),3.8,"Business Analyst (Ahold Delhaize)


We’re a leader in the pet care industry, which means we’re not only ahead in volume, profit and market share, but our associates dare to Stand Taller. We innovate new products, impart new agilities into existing processes, constantly advance pet nutrition, and always pay it forward in the form of service for our communities and families. Are you up for the dare?


This position is not eligible for Visa Sponsorship.


Position Summary


It takes ALL of us to do what we do at a world-class level, but it’s the insights, data and subject matter expertise our Business Analysts bring to the table that makes us a long-standing leader in the larger pet care Category. We give you the high charge of integrating customer business plans, providing internal and external promotional analysis, leveraging analytical data/insights and developing portfolio recommendations to achieve overall sales, market share and profit objectives. You’ll be supported by a larger customer facing team in our Purina Sales department.
We offer opportunities at the global scale and cross-functional experiences that will diversify your knowledge, insight and your background. So, if your full potential could be unleashed, what would you add to the mix?


Develops 4P Purina portfolio recommendations to drive growth within the assigned business unit
Provides business overview and analysis to customer teams on progress against market and Joint Business Planning (JBP) objectives
Assess competitive market activity and provide analytics around risks/opportunities to the Purina portfolio
Partner with Finance to deliver promotional recommendations on the Purina portfolio to maximize market impact
Provide data and recommendations around 4P strategy for new distribution (shelf recommendation, promotion strategy, pricing) using market data
Provide insights and analytics to support JBP development objectives and initiatives
Attend monthly retail team meetings to provide business updates, opportunities, or promotional/product mix improvements and key quarter priorities
Provide ad-hoc reporting and communication for retail initiatives


Requirements
Bachelor’s Degree from an accredited institution
1+ years of experience in category development, business analytics, sales, or marketing
1+ years of experience in retail sales


Other
Previous experience with Nielsen/IRI/Power BI, or RSI syndicated data preferred
Must be able to travel up to 15% or as business needs require


REQUISITION ID
270839


It is our business imperative to remain a very inclusive workplace.


To our veterans and separated service members, you're at the forefront of our minds as we recruit top talent to join Nestlé. The skills you've gained while serving our country, such as flexibility, agility, and leadership, are much like the skills that will make you successful in this role. In addition, with our commitment to an inclusive work environment, we recognize the exceptional engagement and innovation displayed by individuals with disabilities. Nestlé seeks such skilled and qualified individuals to share our mission where you’ll join a cohort of others who have chosen to call Nestlé home.


The Nestlé Companies are an equal employment opportunity and affirmative action employer seeking diversity in qualified applicants for employment. All applicants will receive consideration for employment without regard to race, ethnicity, color, gender, gender identity, age, religion, national origin, ancestry, disability, perceived disability, medical condition, genetic information, veteran status, sexual orientation, or any other protected status, as defined by applicable law. Prior to the next step in the recruiting process, we welcome you to inform us confidentially if you may require any special accommodations in order to participate fully in our recruitment experience. Contact us at accommodations@nestle.com or please dial 711 and provide this number to the operator: 1-800-321-6467.


This position is not eligible for Visa Sponsorship.


St. Louis, MO, US, 63102
Boston, MA, US, 02199�
Charlotte, NC, US, 28277",1894,Consumer Product Manufacturing,Unknown / Non-Applicable,Manufacturing,10000+ Employees,Subsidiary or Business Segment,False
Entry-Level Data Analyst,"Capital
","Jefferson City, MO",$45K - $65K (Glassdoor est.),4.0,"Capital Holding Group is looking to fill an Entry-Level Data Analyst position at our Jefferson City office. This position will work to collect, manage, and analyze data, along with daily helpdesk support. The ideal candidate is data-curious, detail-oriented, great at communication, and loves solving problems.

RESPONSIBILITIES

Develop and implement databases, data collection systems, data analytics, and other strategies that optimize statistical efficiency and quality.
Data organization, metadata, and data profiling.
Demonstrated ability to move data between production systems and across multiple platforms.
Create data visualizations, dashboards, and reports.
Acquiring data from multiple sources and maintaining databases.
Interpret data, analyze results using statistical techniques, and provide ongoing reports.
Filter and “clean” data by reviewing reports, printouts, and performance indicators to locate and correct problems.
Locate and define new process improvement opportunities.
Use software to retrieve and combine data in various reporting tools. (Power Bi, SSRS, Crystal Reports)
Continuous review of existing reports for accuracy.
Perform historical data analysis.
Provide software/helpdesk support when needed.

QUALIFICATIONS

Associate degree in Computer Science, Analytics, or related field.
Bachelor’s degree in Analytics, Statistics, Computer Science, Economics, or Business Management, preferred.
Experience in performing data analysis, database design, data models, data mining, and statistical analysis.
Experience using Power Bi, SSRS, and Crystal Reports.
Database querying (MS SQL Server)
Broad experience in IT with a basic understanding of software, servers, and desktop support
Experience with Microsoft Windows Desktop, OneDrive, and Office 365 Exchange
Ability to demonstrate deadline and detail-oriented project and ticket completion.

This is a full-time, benefits-eligible position. We offer competitive wages and great employee benefits including health, dental, and vision insurance, 401(k) plan, life insurance, and short and long-term disability.

EEO/Employer/Vet/Disabled

Capital will give consideration for employment without regard to race, color, gender, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status",1975,Investment & Asset Management,Unknown / Non-Applicable,Financial Services,Unknown,Company - Private,True
Power BI Data Analyst,"Propper International Sales
","Saint Charles, MO",$39.00 - $43.00 Per Hour (Employer est.),2.8,"Job Title: Power BI Data Analyst:


Propper International is looking for a forward-thinking and innovative Power BI Data Analyst to provide business insights that drive improvements. The Power BI Data Analyst will play a key role by capturing, processing, and transforming datasets into clear summaries to fuel data-driven business decisions and solutions. The Data analyst will be heavily involved in the integration of different data sources, the use of ETL, SQL databases, and Power BI to successfully deliver BI solutions on a periodic basis.


Responsibilities:

Work closely with business stakeholders to understand their requirements and use multiple data sources and Power BI to deliver data-driven insights and informed decisions.
Use Power BI to create customized reports, dashboards, and KPIs to monitor key performance indicators.
Provide live Power BI data through development of dynamic reporting, dashboarding, drill-down capabilities, and visualization solutions.
Develop processes for data mining, data modeling, and data production.
Create test plans and scenarios to ensure quality and requirement traceability for final deliverable.
Provide Power BI training on various levels of expertise to companywide users and executives as needed.
Implement data security measures to protect sensitive information and ensure compliance with data protection regulations.
Actively identify solutions to enhance the existing Business Intelligence infrastructure, processes, and technology.
Perform other duties as assigned.

Requirements (Must Have):

4-year bachelor's degree in IT or related fields
5+ years in Data Analysis using Microsoft Business Intelligence Stack (Power BI, SSAS, SSRS, SSIS, Data Factory, Power Query, MDX, DAX, etc.)
Solid knowledge of SQL Data Warehousing and database fundamentals such as multidimensional database and relational database design.
Strong programming skills in SQL. Knowledge of Python is a plus.
Proficiency with data science techniques and in manipulating data through data cleansing, data transformation, and data modeling.
Strong analytical and problem-solving skills.
Solid project management skills using Agile methodologies to meet project deadlines, budgets, and business requirements.
Good communication and presentation skills
Excellent Customer Service Orientation is a MUST.

Position Details:

On-Site, Monday thru Friday 8am-5pm
1099 Contract position. Contract duration is 6 months to 12 months, with possibility of direct hire
Hourly range of $39.00/hr to $43.00/hr depending upon experience.

Who is Propper:

We got our start in 1967 with a contract for the U.S. Navy, manufacturing the iconic ""Dixie Cup"" hat worn by U.S. sailors. Over the decades, we've supplied more than 120 million garments to the U.S. Department of Defense, law enforcement agencies, and the public safety community.

You may not have heard of us, but you've definitely seen our work.

Our heritage informs how we operate. We are a retail brand, but we still think like a contract manufacturer. Contracts aren't won by selling a particular lifestyle, telling unique stories, or appealing to emotion. They are won with features, quality, and demonstrable value. Contracts are won on the concrete.

This mentality drives every aspect of our production. Make it Work. Make it Last. Make it Real. Or don't make it at all.


Equal opportunity Employer",1967,Consumer Product Manufacturing,$25 to $100 million (USD),Manufacturing,51 to 200 Employees,Company - Private,True
Business Data Analyst,"Adecco
","Saint Louis, MO",$45.00 Per Hour (Employer est.),3.7,"Adecco is currently assisting a local client in their search to fill a Reference Data Analyst position in Saint Lois, MO .

Type: 40hrs/wk. Contract
Start Date: ASAP
Location: St. Louis, MO
Pay: $38
Length: 12 +months with possibility of extension
Shift: Monday - Friday 8am - 5pm

Responsibilities for a Data Quality Analyst position include but are not limited to:

This role is responsible for the day-to-day analysis, research, and resolution of various client and or account data issues identified. This individual will work closely with other Operation teams, Business partners, and potentially technology partners to support in depth analysis for ongoing data quality to ensure the integrity of data is maintained. This will include data analysis, breaking down information and looking through data to find patterns, trends, and outliers, review of various spreadsheets and applications containing data quality action items. This individual will also be responsible for processing confidential data and information according to guidelines.

Qualifications for this Data Quality Analyst position include:

3+ years of Data Quality Analysis experience

BA/BS degree

Advanced SQL, and Microsoft Excel skills

#datanalyst #dataquality #jobs #hiringnow #jobopenings

Pay Details: $45.00 per hour

Benefit offerings available for our associates include medical, dental, vision, life insurance, short-term disability, additional voluntary benefits, EAP program, commuter benefits and a 401K plan. Our benefit offerings provide employees the flexibility to choose the type of coverage that meets their individual needs. In addition, our associates may be eligible for paid leave including Paid Sick Leave or any other paid leave required by Federal, State, or local law, as well as Holiday pay where applicable.

Equal Opportunity Employer/Veterans/Disabled

To read our Candidate Privacy Information Statement, which explains how we will use your information, please navigate to https://www.adeccousa.com/candidate-privacy

The Company will consider qualified applicants with arrest and conviction records subject to federal contractor requirements and/or security clearance requirements.",1996,Staffing & Subcontracting,$10+ billion (USD),Human Resources & Staffing,201 to 500 Employees,Company - Public,True
Category Business Analyst,"Envision, LLC
","Saint Louis, MO",$67K - $96K (Glassdoor est.),4.4,"Position Summary:
This position will be responsible for providing analytical support (consumer and shopper insights, category/account reviews, trend research, new item analyses, , etc.). The role will work collaboratively with other team members to prioritize projects.
Duties, Responsibilities and Expected Contributions
Provide category analyses and consumer insights using a range of syndicated and non-syndicated data sources.
Access relevant information, interpret results and draw conclusions to support the business case for each project.
Ability to create clear, impactful PowerPoint presentations with actionable insights and deliverables.
Collect and organize disparate pieces of information into a clear and concise business case; present internally and to customers.
Develop templates and standardized processes that support the team.
Track performance of marketing programs, new item introductions, new packaging, reformulations, plan-o-gram revisions, advertisements, etc.
Candidate will be responsible for standard weekly reports that are compiled using Excel and Syndicated Data.
Candidate will be responsible for mining data, updating reports as well as updating tables and bullet points in PowerPoint.

Qualifications:
Bachelor’s degree required (emphasis in business, marketing, IT or related field).
Experience in data analytics and generating insights.
Retail Link experience.
IRI/Nielsen experience is a plus.
Advanced Excel Skills.
Ability to build impactful PowerPoint presentations.

Desired Traits:
Strong attention to detail.
Strong communication, follow-up, and organizational skills.
Strong interest in data analytics and generating insights.",1994,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
Data Analyst (Mid),"Envision, LLC
","Chesterfield, MO",$55K - $77K (Glassdoor est.),4.4,"Key Tasks & Responsibilities

Migrate data from various data systems to Cloud environments, organize data and establish or maintain links between datasets to facilitate future data mining

Perform data wrangling and data mining to establish best practices

Analyze data to extract key insights from various data sources for decision making and recommendations

Conduct data analysis with advanced metagenomic assembly and annotation methods

Use DevOps and Agile software development techniques to deliver on our mission to provide high-quality, complete, cloud-based datasets

Collaborate with stakeholders to achieve broader project goals

Qualification & Competencies

PhD degree in Microbiology, Genomics, Bioinformatics, Computational Biology, Ecology or related quantitative disciplines,

Fully proficiency with Python, SQL and Linux and shell programming with 3+ years' experience

Experience working on AWS and Azure

Understanding of Database systems and management of large data sets

Knowledge of metagenomic methods and software

Great file organization and documentation skills

Experience and skill in communicating insights derived from data to both technical and non-technical personnel.

Ability to work independently with minimal technical supervision.

Preferred skills/Experience

Knowledge of GitHub for version control

Experience with PostgreSQL, Oracle SQL, and/or other relational database technologies

Basic data management and governance concepts

Experience developing interactive data visualization tool.

Execute responsibilities with knowledge, integrity, commitment, and excellence.",1994,HR Consulting,$25 to $100 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
Business Analyst,"City of Columbia, MO
","Columbia, MO",$40.41 Per Hour (Employer est.),3.6,"The purpose of this job is to investigate, analyze, develop, and assist in implementing initiatives to improve efficiency and productivity. Creates current and target business process models. Generates business cases and makes recommendations about proposed projects. Captures business needs and determines functional and non-functional requirements.


Essential Duties and Responsibilities - The intent of this job description is to provide a representative summary of the major duties and responsibilities performed by employees in this job. Employees may be requested to perform job-related tasks other than those specifically presented in this description
Conducts business process modeling and creates applicable scenarios for proper testing of generated models.



Investigates, discovers, organizes, and clarifies business requirements. Prioritizes requirements for development.


Collaborates with functional area representatives and estimator(s) to define benefits and costs of the project, write and present business cases, and maintain alignment with business objectives.


Communicates, translates, and simplifies business requirements to ensure consistency and consensus from stakeholders.


Works with subject matter experts to translate requirements into specifications and ensures customer understanding of specifications.


Assesses change proposals, analyzing cost and impact. Defines solutions to achieve strategic goals and objectives.


Works with training team to develop and modify management/training plans.


Regular attendance is a necessary and essential function.


Performs other duties as assigned.


Supervisory Responsibilities
No supervisory authority. Work does require providing guidance and training to others.


Human Collaboration and Job Impact - This area describes the personal interaction with others outside direct reporting relationships as well as the impact the job has on organization, the department or unit objectives, the output of services, or employee or public satisfaction
Work may require providing advice to others outside direct reporting relationships on specific problems or general policies. Contact may require the consideration of different points of view to reach agreement. Elements of persuasion may be necessary to gain cooperation and acceptance of ideas.



Interactions have limited impact on the organization in terms of time, money, or public/employee relations.


Fiscal Responsibility
Position has limited fiscal responsibility.



May assist in the collection of data in support of recommendations for departmental budget allocations. May monitor division or program/promotional level budget and expenditures.


Education and Experience - An equivalent combination of education, training and experience will be considered
Education and Experience
Bachelor’s Degree in Computer Science, Business, Finance or related field



3 to 5 years’ experience in data analysis, business operations, project management, business functional requirements gathering, documentation and translation to IT technical requirements.

Licenses or Certifications
None.


Knowledge, Skills and Abilities which may be representative, but not all-inclusive of those commonly associated with this position
Knowledge of:
Software and methodologies used in the business analysis field.



Business operations, strategies and objectives.


Project management techniques and approaches related to requirements definition and quality assurance.

Skill in:
Process modelling.


Requirements and use case documentation.


Collecting, organizing, and analyzing complex and/or technical data.


Performing business and risk analyses.

Ability to:
Communicate verbally and in writing to meet the needs of the audience.


Compile, organize, interpret, and communicate data and results concisely.


Recognize, analyze, and solve problems.


Apply active listening and asking questions for understanding.


Prepare and present reports.


Apply logic and reasoning to evaluate the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.


Focus on tasks.


Work Environment – Environmental or atmospheric conditions commonly associated with the performance of the functions of this job
Work Environment
Office or similar indoor environment – Frequently/often




Exposures
Individuals who are hostile or irate – Sometimes


The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.
This position is relatively free from unpleasant environmental conditions or hazards and is generally sedentary.



Incumbents may be required to exert up to 10 pounds of force occasionally, a negligible amount of force frequently, and/or constantly having to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally, and all other sedentary criteria are met.


Hours/Days
Monday-Friday, 8 a.m. – 5 p.m.


Starting Salary
$27.68/hr (min); $34.05/hr (mid); $40.41/hr (max)


Pay Grade
109


Number of Positions Available
1


Deadline to Apply
12/01/2023


Open Until Filled
No


Special Instructions to Applicants
THIS IS NOT A REMOTE WORK POSITION


Notice to Applicants
Individuals needing accommodation to apply may call 573.874.CITY (2489)

TTY: 711 (MO RELAY)

THE CITY OF COLUMBIA IS A MERIT, AFFIRMATIVE ACTION, EQUAL OPPORTUNITY EMPLOYER: MALE / FEMALE

THE CITY OF COLUMBIA REQUIRES PRE-EMPLOYMENT DRUG TESTING

The City of Columbia participates in the federal E-Verify work authorization program",1820,Municipal Agencies,$100 to $500 million (USD),Government & Public Administration,1001 to 5000 Employees,Government,False
Campaign Data Analyst - Commercial,"Commerce Bank
","Kansas City, MO",$22.35 - $30.00 Per Hour (Employer est.),3.9,"About Working at Commerce

Building a career here is more than just steps on a ladder. It’s about helping people find financial safety and success, helping businesses thrive, and making sure people and their money are taken care of. And our commitment doesn’t stop there. Our culture is about our people, the ones in our communities and the ones that work with us.

Here, you’ll find opportunities to grow and learn, to connect with others, and build relationships with the people around you. You’ll have the space and resources to grow into the best version of yourself. Because our number one investment is you.

Creating an award-winning culture doesn't come easy. And after more than 155 years, we know Commerce Bank is only at its best when our people are. If this sounds interesting to you, keep reading and let’s talk.


Compensation Range

Hourly: $22.35 - $30.00 (Amount based on relevant experience, skills, and competencies.)

About This Job

The Campaign Analyst is part of a team that is responsible for helping target and progress prospecting efforts by developing and executing campaigns and reporting. The Campaign Analyst supports the Sales Enablement Team by developing, vetting and producing a lead/contact campaign list, (with an 80-90% level of accuracy) that meets the request of the Commercial/Commercial Payments sales team within Insight360.

Essential Functions

Support team members by following the lead generation work flow to identify net new leads/prospects, including detailed contact information utilizing; Data.com, ZoomInfo, Insight360, Definitive Healthcare, and LinkedIn

Produce and import lists and follow-up campaign activities into Insight360

Upload targeted lists to campaigns for return on investment tracking

Build reports to monitor sales movement for campaign initiatives and track return on investments, while identifying ways to help improve the process

Work with team members to identify, organize, and focus prospecting efforts on medium priority prospects within Insight360

Support team members with the primary goal of building brand awareness, nurturing current relationships for cross-selling opportunities, and growing sales with net new accounts and markets. Accounts and markets will be defined by leadership.

Perform other duties as assigned

Knowledge, Skills & Abilities Required

Experience with Salesforce.com or another sales focused client relationship management software

Strong technical analysis skills

Motivated and organized self-starter with strong attention to detail and the ability to manage multiple priorities

Inquisitive, agile and strong team player with excellent written, verbal and interpersonal communication skills

Ability to remain adaptable and resilient to all situations with an optimistic outlook and cast a positive shadow that is aligned with our culture and Core Values

Intermediate level proficiency with Microsoft Word, Excel, Teams and Outlook

Education & Experience

Bachelor's degree in business, finance, computer science or related or equivalent combination of education and experience required

3+ years related campaign experience required

***Level of role is determined by knowledge, experience, skills, abilities, and education

***For individuals applying, assigned and/or hired to work in areas with pay transparency requirements, Commerce is required by law to include a reasonable estimate of the compensation range for some roles. This compensation range is for the Campaign Data Analyst I and II – Commercial job and contemplates a wide range of factors that are considered in determining most appropriate job level and making compensation decisions, including but not limited to location, skill sets, education, relevant experience and training, licensure and certifications, and other business and organizational needs. The disclosed range estimate has not been adjusted for any applicable differentials (geographic, bilingual, or shift) that could be associated with the position or where it is filled. At Commerce, it is not typical for an individual to be hired at or near the top of the range for their role, and compensation decisions are dependent on the facts and circumstances of each situation. A reasonable estimate of the current base pay is $22.35 to $30.00 per hour. The candidate selected for this position may be eligible for the following employment benefits: employer sponsored health, dental, and vision insurance, 401(k), life insurance, paid vacation, and paid personal time. In addition, we offer career development, education assistance, and voluntary supplemental benefits. Click here to learn more.

#LI-Hybrid

Location: 1000 Walnut St, Kansas City, Missouri 64106

Time Type:

Full time",1865,Banking & Lending,$1 to $5 billion (USD),Financial Services,1001 to 5000 Employees,Company - Public,False
