Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA),Haim ABA Services,"Omaha, NE",$87K - $93K (Employer est.),-1.0,"Job Title: Board Certified Behavior Analyst

Duties:
- Conduct diagnostic evaluations and assessments to determine the needs of individuals with autism spectrum disorder.
- Develop and implement individualized behavior intervention plans based on assessment results.
- Provide behavioral therapy and interventions to individuals with autism spectrum disorder.
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans.
- Collaborate with other professionals, such as special education teachers and healthcare providers, to ensure coordinated care.
- Provide training and support to parents, caregivers, and other team members involved in the individual's care.
- Maintain accurate and up-to-date medical records and documentation of treatment plans.

Skills:
- Strong knowledge and experience working with individuals with autism spectrum disorder.
- Proficiency in behavioral health principles, techniques, and interventions.
- Ability to conduct diagnostic evaluations and assessments to determine appropriate treatment plans.
- Skill in data collection, analysis, and interpretation to monitor progress and make informed decisions.
- Knowledge of special education practices and principles.
- Ability to assess patient needs and develop individualized treatment plans.
- Familiarity with medical terminology, medical records, and documentation requirements.

Qualifications:
- Board Certified Behavior Analyst (BCBA) certification required.
- Master's degree in Applied Behavior Analysis or related field.
- Experience working with individuals with autism spectrum disorder preferred.

Benefits:
- Competitive salary commensurate with experience
- Health insurance coverage
- Retirement plan options
- Paid time off
- Professional development opportunities

If you are a dedicated professional who is passionate about making a difference in the lives of individuals with autism spectrum disorder, we encourage you to apply for this rewarding position. Please submit your resume and cover letter detailing your relevant experience. Only qualified candidates will be contacted for an interview.

Job Type: Full-time

Pay: $87,484.00 - $93,150.00 per year

Benefits:

401(k)
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Referral program

Compensation package:

Bonus opportunities
Monthly bonus

Patient demographics:

Children

Schedule:

After school
Monday to Friday

Travel requirement:

Up to 25% travel

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Marketing Analyst,"Thrasher, Inc
","Omaha, NE",$59K - $80K (Glassdoor est.),3.8,"Company Introduction
Thrasher Foundation Repair is a family-owned company with almost 50 years of experience. We follow an evergreen business model which means we make decisions based on who we want to be 100 years from now not on quarterly gains or profits. What this means for you – is that you are seen as an individual not a line on a spreadsheet
About the Role
We are seeking a highly skilled Marketing Data Analyst to join our team. As we continue to expand and grow, we want to use data to make informed and strategic marketing decisions. The ideal candidate will have a strong background in data analysis, extracting insights from various sources, and creating actionable recommendations to drive business decisions.
Areas of Responsibility

Creation and upkeep of Salesforce reporting to identify trends related to lead generation and cost analysis etc.
Use data from accounting software to track and report on invoices, perform cost analysis for both internal and vendor spend and make recommendations for the highest return on spend.
Report on KPI's related to marketing, such as cost per lead, effectiveness of ad campaigns, etc.
Extract data from primary and secondary sources, ensuring the removal of corrupted or irrelevant information.
Develop and manage data systems and databases, including creating complex formulas, text-to-columns, index matches, combining multiple datasets, and implementing data validation.

Qualifications

Bachelor's degree marketing analytics, business administration, finance, or another relevant field
Minimum of three years' experience in a similar role
Strong proficiency in Excel, experience with SQL, Tableau and Google Analytics are a plus.
Ability to work collaboratively in a fast-paced environment.

Benefits

Medical, dental, and vision insurance
401(k) with a 5% profitability match
Three weeks of paid time off
7 paid holidays
Company paid life insurance

At Thrasher, we are a group of passionate, determined, and ambitious individuals who use our collective experiences to solve complex problems day in and day out. Together, we're working to redefine our industry and its perception. To push farther, think harder and do better &mdash; because there's only one right way. If this description sounds like you, and you want to join a family-¬oriented, growing team of outstanding individuals, click on ""apply now."" You can also visit our careers page at https://careers.gothrasher.com or our website at www.gothrasher.com. EOE

Job Type: Full-time",1975,Construction,$100 to $500 million (USD),"Construction, Repair & Maintenance Services",501 to 1000 Employees,Company - Private,True
Data Analyst I,"Neogen
","Lincoln, NE",$45K - $61K (Glassdoor est.),3.2,"Come Be Part of a Mission that Matters!
Essential Skills, Duties and Responsibilities include the following.
Primary responsibility is to manage the generation, quality and accuracy of genotypic data
Work with operations to facilitate data transmittal to customers via LIMS and FTP sites
Work with various groups for data reformats/structures in order to facilitate further analysis
Provide quality control review of data including identification of quality issues and recognize when troubleshooting is required
Maintain an advanced knowledge of genotyping analysis software for a single platform
Gains an understanding of the customer needs from the Product Manager to manage daily workload and delivery of data
Provide customer support for a wide range of products and procedures
As time allows work to streamline data analysis pipeline
Proficiency in providing input to the laboratory technicians as needed
Proficiency in a variety of molecular biology techniques and/or familiarity of several technology platforms
Works within budgeted expenses and maintains a constant focus on cost reduction
Interacts routinely with all levels of management and co-workers in an effective manner
Meets individual and departmental goals and objectives
Works with Quality manager and supports ISO procedures including development, documentation and execution
Works with new and existing customers to integrate custom and/or established processes for data exchange, sample exchange, invoicing communication, and support
Other duties as assigned by Supervisor
Education and/or Experience: Bachelor's degree from four-year College or university in genetics, molecular biology, biology or related field.
Computer Skills: To perform this job successfully, an individual should have knowledge of Microsoft Excel Spreadsheet software and Microsoft Word - Word Processing software; programs or programming languages that can manipulate large data sets as well as network and browser applications.
WHO IS NEOGEN:
Neogen is home to the largest genomic operation in the world! Our worldwide genomics operations deliver innovative, affordable DNA testing for the discovery and commercial application of genomic advances that enhance the safety and abundance of life. Our genomics tools are used by farmers and ranchers, and veterinary practitioners, to provide the best animal care possible, as well as enhance breeding programs.
Neogen’s culture combines stability with a deep belief in providing professional and personal growth. Our Pillars of Trust — the principles that guide our everyday decision-making, include Openness, Honesty, Credibility, Respect, and Service. It’s our belief in these characteristics that provides a consistent, happy and healthy work environment for our employees.",1981,Biotech & Pharmaceuticals,$100 to $500 million (USD),Pharmaceutical & Biotechnology,1001 to 5000 Employees,Company - Public,False
Business Intelligence Analyst,"Sandhills Global, Inc.
","Lincoln, NE",-1,3.2,"The Business Intelligence Analyst is responsible for analyzing and reviewing data that is collected in our current and future products and services. Working with our Data Scientist team, the Business Intelligence Analyst would need to be able to take this data and apply to the markets our products are in for us to better serve our customers. This position will require a high degree of attention to detail along with ability to review calculations for quality assurance. The Business Intelligence Analyst must have good communication and organization skills, along with a working knowledge of day to day operations and priorities within their department and the company.

Troubleshooting and problem solving issues, as well as working closely with managers and developers, to solve these problems, will be needed. Another responsibility could include creating internal reporting features to streamline information processing and sharing throughout the company. This position requires a high level of expertise with Microsoft Excel, and skills in SQL, Tableau, Microsoft Power BI, and/or R/Python are preferred. Assume other duties as assigned.

Job Type: Full-time

Pay: $900.00 - $1,300.00 per week

Benefits:

401(k)
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Retirement plan
Vision insurance

Schedule:

Monday to Friday

Supplemental pay types:

Bonus pay

Work Location: In person",1978,Enterprise Software & Network Solutions,$25 to $100 million (USD),Information Technology,1001 to 5000 Employees,Company - Private,True
Business Analyst,"Sandhills Global, Inc.
","Lincoln, NE",-1,3.2,"The Business Analyst may be responsible for any of the following tasks: developing processes for internal and external systems, identifying business needs for the company and customers, working on logic and analytical based projects, and organizing, prioritizing, and leading development projects within small teams. Troubleshooting and problem solving, as well as working closely with managers and software developers to solve these problems, will also be needed. The Business Analyst must have good communication and organization skills, along with a working knowledge of day to day operations and priorities within their department and the company. Assume other duties as assigned.

Job Type: Full-time

Pay: $900.00 - $1,200.00 per week

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Work Location: In person",1978,Enterprise Software & Network Solutions,$25 to $100 million (USD),Information Technology,1001 to 5000 Employees,Company - Private,True
Data Analyst,"Haberfeld
","Lincoln, NE",$54K - $82K (Glassdoor est.),4.5,"Who We Are:

At Haberfeld we align marketing, products, and people for sustained and significant organization growth by applying a strategy of consulting, marketing, training, and analytics. We like to live by 5 core values: Integrity, Excellence, Collaboration, Curiosity, Joy-in-the-Journey. The cherry-on-top is we are employee-owned and love celebrating that. We reap the benefits of our hard work. How cool is that?


Who We Want:

We are seeking a dynamic individual to join our data team all while giving you an opportunity to own part of the company too! We are proud to be employee owned! Are you able to answer yes to any of the below?

Do you dream in SQL? Are logical operators your love language?
Do you get a charge out of analyzing numbers and finding correlation & trends in the details to help others excel?
Do you enjoy pouring over key statistics to aid in the creation of numeric analysis and customer behavior modeling?
Is working with methods such as predictive analytics, exploratory data analysis, spatial analysis, cluster analysis or grouping techniques something that gets your heart pumping?
Do you enjoy thriving in a collaborative environment?
Do you value life/work balance?



What You’ll Do:

Apply wizardry through modeling customer behaviors by evaluating account behaviors and creating marketing recommendations.
Processing and analyzing customer data and marketing.
Creating numeric analysis of consumer behaviors.
Producing various reports including cross-sell modeling, segmentation, retention modeling and trending analytics.



What You’ll Need:

Self-starter mentality
Expert knowledge or experience working with Transact-SQL with the ability to create and resolve complex SQL queries
Knowledge of .NET, C#, JavaScript, Microsoft SQL Server, MS product suite, Address IQ and Match IQ from First Logic is favorable
Required knowledge of MS Excel
Ability to problem solve and a desire to learn
Associates or Bachelor’s degree in Computer Science or related field preferred



Show You the Money:

At Haberfeld, we like to brag about our benefits. We will put together a package that will make your jaw drop. Here’s just a sampling of what to expect:




Competitive base salary
Bonus potential
Responsible time off (RTO)
Paid pregnancy-related leave
Paid bonding leave
Company holidays
Extra Haberfeld holidays
Medical, dental, vision insurance (we pay most for you!)
Health Savings Account (HSA)
Wellness screenings
Disability insurance, group term life insurance and voluntary life insurance option
Employee assistance (EAP)
Employee Stock Ownership Plan (ESOP)
401(k)
Flexible work schedule - Tuesday / Thursday in-office days
Casual office attire
HealthJoy App/Wellable App
Employee-owner education
Recruiting bonus opportunity
Free parking
Summer early out Fridays
On-site gym",-1,Business Consulting,Unknown / Non-Applicable,Management & Consulting,51 to 200 Employees,Company - Private,True
IT D365 Business Analyst,"Morgan Advanced Materials
",United States,-1,3.2,"Overview:

Morgan Advanced Materials is a business rich in history and innovation. Founded in the UK in 1856, we have grown into a global organisation with 70 sites in 18 countries. Our model to serve our customers where they need us has led to a diversified product range using our unparalleled expertise in ceramic and carbon materials, which we exploit to solve difficult problems for our customers across a diverse range of markets.


We are a purpose driven organisation. Our purpose is to use advanced materials to make the world more sustainable and to improve the quality of life. We deliver on that purpose through the products that we make, and the way that we make them.


We help our customers push the limits of their processes and products to meet the demanding requirements they face, from higher process temperatures to higher product performance to increasing miniaturisation.

Key Figures: Revenue £1,112m (2022), ~8,500 employees, manufacturing in 30+ countries, and a global customer portfolio. A UK PLC with head office located in Windsor, Berkshire UK. Listed on London Stock Exchange; Member of the FTSE 250 Index.


Responsibilities:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data
Qualifications:

OVERVIEW & SCOPE OF ROLE:

Morgan IT is on a mission to enable and drive the Morgan goals by being a valuable business partner to all Global Business Units and Functions by:

Running Effective and Efficient IT
Delivering Solid Business Foundations
Extracting Maximum Business Value from IT
Driving disruptive innovation

To do so, the OneIT team is currently executing on a strategic roadmap to make significant step changes in IT performance and business value from IT.


ESSENTIAL DUTIES & REPONSIBILITIES:
The D365 IT Business Analyst will ensure the line of business applications, primarily Dynamics 365 (D365), can sustain current and future business needs for our businesses. This role is responsible for providing D365 technical and functional expertise, ensuring business requirements are gathered and subsequent technical/functional resolutions are implemented appropriately. In addition, the role will ensure efficient and effective business as usual operation of D365, including remediation of issues.

The D365 IT Business Analyst understands both technology as well as business and is responsible to capture all business requirements in order to ensure proper IT solutions are delivered. The key focus is mapping functional requirements of the Finance & Supply Chain modules in D365, data and processes.
Key Accountabilities
Serves as liaison to business and IT teams to understand business requirements and create and implement solutions as well as understanding root causes of current issues.
Assembling business requirements with requisite analysis and translation into D365 solutions; along with alternative options and recommendations.
Supports designing business solutions that ensure alignment with the architecture principles and standards.
Documents and provides training for newly implemented systems and/or processes using Click Learn
Resolving incidents/issues, with root cause analysis and fix where appropriate, for D365 applications.
Applying functional and technical understanding of D365 to develop new functionality and integrations/interfaces with other systems as required, to support business growth.
Ensuring all aspects of the D365 development lifecycle are completed successfully, incorporating ISV solutions.
Assuring quality of releases (fixes/upgrades/enhancements etc) into production, through thorough testing and first-class environment management.
Ensuring vendor relationships remain transparent and with clearly understood outcomes
Supports Business Information Managers, Project Managers and Solution Architects in writing program / project proposals
Work with business end users to ensure the project meets business needs
Assumes ownership of the process, system, and expands skill base.
Interacts frequently with business process owners.
Conduct unit testing for project deliverables and facilitate user acceptance testing
Engage in efforts to establish scope and business case for new programs and initiatives.
Collaborate with team members to collect and analyse data


Morgan Advanced Materials is an EEO/AA/M/W/D/V Employer Ind-1",1856,Metal & Mineral Manufacturing,$1 to $5 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Data Specialist,"NRC Health
","Lincoln, NE",$48K - $65K (Employer est.),3.6,"At NRC Health, we promise to help our customers bring Human Understanding to healthcare for their patients and communities. Our associates are at the heart of delivering that promise, so we promise that same Human Understanding to each other. Come where culture is everything.


Our associates. . .


Have Purpose – we do work that matters for our partners, the community, and the healthcare industry.
Innovate with us to move healthcare forward.
Give back to the community with paid volunteer time off.


Think Boldly – we have big ideas and are empowered to “think like an owner.”
Fit your role and do what you love.
Grow and develop along a career path designed by you.


Feel Connected – our favorite thing about our workday is each other.
Support one another – no one says, “That’s not my job.”
Celebrate with each other at beer:30, virtual events, and company gatherings.


Be Understood – we are each unique and want to live our best lives at work and home.
Let life happen with My Time Off, a form of unlimited vacation, and up to 12 weeks paid for parental and emergency leave.
Live healthy with complimentary lifestyle and financial coaches, a wellness program, and a comprehensive insurance plan.


Who we want
Do you have a self-starter attitude with a high level of detail and a strong sense of ownership and dedication?
Can you multi-task, take initiative, and work collaboratively in a fast-paced environment characterized by multiple deadlines, changing priorities, and customer demands?
Do you enjoy collaborating with team members and internal stakeholders across the organization to create, maintain and troubleshoot customer deliverables?


What you will do
As a Data Specialist, you will work with internal stakeholders and team members to create, maintain, and troubleshoot customer deliverables. You will collaborate with team members across the organization to assist with project set-up, ongoing change requests, meet multiple timelines and maintain the highest quality standards. You will ensure that all assigned projects are meeting established metrics for contract, deadline, and quality standards, and will complete ad hoc or team projects as needed. Additionally, you will document all project information and communicate project statuses, data, and logistical issues with internal stakeholders.


What you need
Bachelor’s degree or 1 – 3 years prior professional experience
1-3 years of service-oriented experience
Proficient in Microsoft Suite
Exceptional verbal, written and interpersonal communication skills
Technical aptitude for learning new software in systems
Experience with querying databases (SQL, MySQL, etc.)
NRC Health requires all U.S. associates to be fully vaccinated against COVID-19, unless entitled to an accommodation.


Have Purpose. Think Boldly. Feel Connected. Be Understood.

In the spirit of pay transparency, we are excited to share the salary range for this position is $48,000 - $64,800 exclusive of fringe benefits or potential bonuses. If you are hired at NRC Health, your final base salary compensation will be determined based on factors such as geographic location, skills, education, and/or experience. In addition to those factors – we believe in the importance of pay equity and consider internal equity of our current team members as a part of any final offer. Please keep in mind that the range mentioned above is the full base salary range for the role. Hiring at the maximum of the range would not be typical in order to allow for future and continued salary growth. We also offer a generous compensation and benefits package. For more information on specific benefits, please refer to our Careers Page.

NRC Health is not currently hiring in DE, HI, LA, MA, MD, NJ, OR, PA, RI, D.C.

Diversity, Equity, Inclusion & Belonging
At NRC Health, Diversity, Equity, Inclusion & Belonging are essential to our mission as a company devoted to greater Human Understanding. For information about our efforts in this area, please refer to our DEI&B webpage and our Equal Employment Opportunity policy.",1981,Health Care Services & Hospitals,$100 to $500 million (USD),Healthcare,201 to 500 Employees,Company - Public,False
Precision Ag Data Analyst,"21st Century Equipment
","Scottsbluff, NE",$55K - $65K (Employer est.),4.1,"Are you looking for an exciting career with a leading John Deere Dealership? 21st Century Equipment is looking for qualified candidates to fill our open positions.

We are looking for an experienced individual to fill one of our Precision Ag Data Analyst positions. Do you have a passion for precision agriculture? Are you a self-motivated, hands-on person? Do you enjoy working with production ag customer and helping to find the best solutions for their operation, keeping them operating at the highest level possible? Would you like to join a team of highly respected individuals who work together to provide the best service and products out there? We provide ongoing training and career advancements! Come join our team!


21st Century Equipment, LLC

JOB DESCRIPTION

JOB TITLE: Precision Ag Data Analyst

REPORTS TO: VP, Precision Ag

SUPERVISES: None

WORKS CLOSELY WITH: External contacts with Agricultural Customers, Educational Institutions, and John Deere Company Personnel. Internal contacts with Sales, Parts & Service Personnel, and Territory Managers.

JOB SUMMARY: This position is for someone who is a self-motivated, ""hands-on"" individual with a passion for agriculture and the large amount of data produced by precision ag technology. This individual will be responsible for creating and maintaining customer insights with new and existing agriculture management technology systems to maximize the value of precision agriculture products and services. They will ensure ongoing precision agriculture mainstreaming efforts and work with all dealership departments to sell and support precision farming products and services.

The core activities of a Precision Ag Consultant include, but are not limited to:

Serve as a subject matter expert for the data produced by precision farming technologies to maximize customer value of the solutions
Work with geospatial software to analyze, decipher, and extract value from agronomic data using tools such as Operations Center and other industry systems
Engage with customers and employees to ensure the agronomic benefits of our precision offerings are well understood and capitalized on
Develop a relationship with customers operations to become a trusted consultant in their business by providing value to their operation
Work with customers to ensure high quality data collection

ESSENTIAL JOB FUNCTIONS (listed in order of importance):

Be the company ""expert"" in leading precision farming data in North America
Provide high level expertise in field and office record keeping/analysis software
Provide agronomic decision support to external customers
Organize and/or assist with customer demonstration and training activities to support precision ag sales
Key resource/assist with continued technology education efforts across all department personnel.
Conduct large-group training with internal and external customers
Provide input on programs to increase use of precision products by customers
Assist internal and external customers with product and related services specification
Attend regional and national industry conferences to maintain expertise
Maintain ""leading edge"" image of the Company's precision related suite of products and services
Resource for installation of technology related products
Resource for continued maintenance of technology related products
Resource for troubleshooting and repair of technology related products
All other duties as assigned.

EDUCATIONAL AND EXPERIENCE REQUIREMENTS:

Preferred 3-5 years' experience in technological support of agricultural equipment and/or post-secondary degree in an agriculture related field.
Experience with related precision farming equipment and practices
Certified Crop Advisor certification or equivalent preferred

SPECIAL SKILL REQUIREMENTS:

Excellent computer and interpersonal skills.
Must be able to multitask and prioritize tasks.
Excellent communication skills (written & verbal).
Strong analytical and problem-solving skills.
Detail oriented with structured approach to planning, organization and time management. Innovative, entrepreneurial, and goal-oriented.
Willingness to learn quickly from multiple sources

PHYSICAL REQUIREMENTS:

Must be able to lift 50lbs
Extensive hours on a computer
Frequent overnight travel
Easily accessible to customers on a 24/7 basis during peak use season
Comfortable in a large-group training environments
Able to perform in outdoor conditions as seen in production agriculture

BENEFITS:

Competitive Pay
Same day Pay (Tapcheck)
Bonuses
Profit Sharing
Tuition Reimbursement (80% of actual Tuition, Room, Board, and Books) - Recently graduated Service Technician
Tools (w/Snap-On Box) - Recently graduated Service Technician
Uniforms (Free laundry service)
Laptop/Phone/Company Vehicle (position depending)
Medical or HSA insurance
Dental Insurance
Prescription Insurance
Vision Insurance
Life Insurance
Paid Holidays
Paid Time Off
401K (with company match)
Parental Leave
Mental Health Counseling
Promotional and Transfer Opportunities
Ongoing Training

***THIS COMPANY RESERVES THE RIGHT TO MODIFY, INTERPRET, OR APPLY THIS JOB DESCRIPTION IN ANY WAY THE COMPANY DESIRES. THIS JOB DESCRIPTION IN NO WAY IMPLIES THAT THESE ARE THE ONLY DUTIES, INCLUDING ESSENTIAL DUTIES, TO BE PERFORMED BY THE EMPLYEE OCCUPYING THIS POSITION. THIS JOB DESCRIPTION IS NOT AN EMPLOYMENT CONTRACT IMPLIED OR OTHERWISE. THE EMPLOYMENT RELATIONSHIP REMAINS ""AT WILL."" THE AFFOREMENTIONED JOB REQUIREMENTS ARE SUBJECT TO REASONABLY ACCOMMODATE QUALIFIED DISABLED INDIVIDUALS. ***

**If a job offer is made for this position, it will be contingent upon passing a pre-employment drug test and determination of insurability for positions that require driving. If the drug test comes back positive or you are not insurable for a position that requires driving, the job offer will be rescinded.**

#IND1",1996,Farm Support,$100 to $500 million (USD),Agriculture,201 to 500 Employees,Company - Private,True
CLUB Data Analyst II,"Cabela's
","Lincoln, NE",$51K - $75K (Glassdoor est.),3.2,"POSITION SUMMARY: ONSITE ROLE- NO REMOTE

The CLUB Data Analyst II analyzes and executes cross-functional CLUB acquisition, activation and retention strategies. Researches CLUB credit risk and portfolio management activities, including credit policy, collections, fraud, operations and accounting. Leads marketing programs and execute new and existing activities that support overall marketing strategies.

ESSENTIAL FUNCTIONS:

Analyzes existing marketing strategies to identify opportunities to enhance CLUB acquisition, activation and retention. Creates and reviews reports and analysis to determine how key business drivers can be manipulated through marketing programs and/or enhanced operations.

Researches trends on CLUB credit card portfolio to provide insight into performance and guide business priorities.

Analyzes, develops, executes and validates marketing processes to support marketing strategies. Identifies and executes process improvements and maintains accurate documentation of processes. Ensures effective and efficient integration with other business units.

Retrieves information from a data warehouse using Structured Query Language (SQL) and other various sources including auditing and validating the data.

Creates clear and concise dashboards on KPI’s and metrics using BI software tools (DOMO).

Develops and executes projects related to data and analytical needs.

Delivers accurate results within expected deadlines.

Develops and maintains relationships with internal and external partners through regular, proactive communication. Coordinates and executes training on projects. Supports and coaches department analysts and specialists on understanding and interoperating data specific to each business function.

ALL OTHER DUTIES AS ASSIGNED

EXPERIENCE/QUALIFICATIONS:

Minimum Degree Required: Bachelor’s Degree in Business, Finance, Statistics, Economics, or Math.

Experience: 1-2 years of analytics experience or Master’s Degree in relative field preferred.

EXPERIENCE/QUALIFICATIONS:

Knowledge of qualitative and quantitative methodologies required

Ability to create, implement and oversee various data models

Ability to handle large datasets using SQL, SAS, R or another similar programming language

Proficiency in Windows, Excel, Word and PowerPoint software. Experience in data visualization preferred

Strong communication (written and verbal), mediation (conflict resolution) and facilitation skills

Self-starter; demonstrates personal initiative and willingly assumes responsibility and ownership

Ability to build strong working relationships with internal and external customers.

Customer focused behavior

Exemplary standards of integrity, personal work ethic and continuous involvement in self-education and development

Ability to consistently exceed customer expectations and show commitment to Cabela's & Bass Pro Core Values

TRAVEL REQUIREMENTS:

N/A

PHYSICAL REQUIREMENTS:

Regular computer work, and sitting

Occasional walking, standing, and lifting up to 50lbs

INDEPENDENT JUDGEMENT:

Develops objectives and general policies and procedures for a specific program or functional area of responsibility within general scope of established operational goals and plans. Day-to-day work and decisions do not require direction or review by immediate supervisor. End results are reviewed by supervisor.

Full Time Benefits Summary:
Enjoy discounts on retail merchandise, our restaurants, world-class resorts and conservation attractions!

Medical
Dental
Vision
Health Savings Account
Flexible Spending Account
Voluntary benefits
401k Retirement Savings
Paid holidays
Paid vacation
Paid sick time
Bass Pro Cares Fund
And more!

Bass Pro Shops is an equal opportunity employer. Hiring decisions are administered without regard to race, color, creed, religion, sex, pregnancy, sexual orientation, gender identity, age, national origin, ancestry, citizenship status, disability, veteran status, genetic information, or any other basis protected by applicable federal, state or local law.

Reasonable Accommodations

Qualified individuals with known disabilities may be entitled to reasonable accommodation under the Americans with Disabilities Act and certain state or local laws.
If you need a reasonable accommodation for any part of the application process, please visit your nearest location or contact us at hrcompliance@basspro.com.

Cabela's",1961,Sporting Goods Stores,$1 to $5 billion (USD),Retail & Wholesale,10000+ Employees,Company - Public,False
