Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA),Gohar Speech Therapy,"East Brunswick, NJ",$60.00 - $80.00 Per Hour (Employer est.),-1.0,"Duties:
- Conduct functional behavior assessments to determine the underlying causes of challenging behaviors in individuals with autism and other developmental disabilities.
- Develop and implement behavior intervention plans based on the results of assessments.
- Provide direct behavioral therapy services to individuals with special needs, focusing on skill acquisition and behavior reduction.
- Collaborate with parents, caregivers, and other professionals to ensure consistency and generalization of skills across environments.
- Train and supervise behavior technicians or other staff members in implementing behavior intervention plans.
- Collect and analyze data on behavior targets to monitor progress and make data-driven decisions.
- Modify behavior intervention plans as needed based on ongoing assessment and analysis of data.

Skills:
- Board Certified Behavior Analyst (BCBA) certification required.
- Experience working with children with autism or other developmental disabilities.
- Knowledge of applied behavior analysis (ABA) principles and techniques.
- Strong data collection and analysis skills.
- Excellent communication and interpersonal skills to collaborate effectively with clients, families, and team members.
- Ability to develop and implement individualized treatment plans based on assessment results.
- Familiarity with special education laws and regulations.

This position requires a strong commitment to improving the lives of individuals with special needs through evidence-based behavioral interventions. The successful candidate will have a passion for working with children, excellent analytical skills, and the ability to work collaboratively within a multidisciplinary team.

Note: This job description is not intended to be all-inclusive. Employee may perform other related duties as assigned to meet the ongoing needs of the organization.

Job Type: Part-time

Pay: $60.00 - $80.00 per hour

Benefits:

Flexible schedule

Medical specialties:

Pediatrics

Schedule:

After school
Day shift
Weekends as needed

Ability to commute/relocate:

East Brunswick, NJ: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA (Preferred)

Willingness to travel:

25% (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Financial Data Analyst,Tasc LLC,"Asbury Park, NJ",$64K - $87K (Glassdoor est.),-1.0,"The position: At the heart of this role is the understanding our company's programs within major retail outlets. Your responsibility will be to devise and execute strategies geared towards growing our retailers success. This includes determining the appropriate products for each retailer and monitoring sales trends throughout the season. Given the nature of our seasonal business, expect a dynamic and ever-changing daily routine!

1. OPTIMIZING PROGRAMS: Develop tailored programs for each major retail store, informed by their sales metrics and our product range. This involves deciding on the products and quantities they'll be allocated. You'll have the opportunity to apply strategic thought and formulate theories about what succeeds and the reasons behind it.

2. QUICK ANALYTICAL ACTIONS: You will scrutinize sales across retailers, pinpointing the progress of each program . You will decide on subsequent actions after underperformers are identified.

4. RETAILER PRESENTATIONS: While examining real-time sales data, you will craft presentations that convey critical data insights to our customers regarding the progression of seasonal sales.

5. POST-SEASON FEEDBACK: You’ll provide recommendations of how we can improve our position with retailers

Position Requirements:

1. Background in business, accounting or data analytics preferred

2. Very strong excel skills

3. Power BI Dashboards

Other positive attributes

4. Experience with “big box” retail stores (Walmart, Home Depot, Costco, Canadian Tire, etc.)

5. General understanding of finance and accounting

6. Bachelor’s degree

THE POSITION IS FOR YOU IF:

You don’t overlook the details: As far as you are concerned, the details are where the success or failure of a project is determined.

You are up for a challenge: You are motivated and driven. You suggest ideas without being prompted and volunteer to take on new projects (including projects we may have yet to think we even needed!). You come up with ideas and do them.

You believe that working smart is just as important as working hard: You believe in finding efficient ways to reach goals. If there are tools and technology that will facilitate your work, you will not only seek them out but also learn how to implement and use them in your day-to-day flow.

You keep up with the trends: Technology moves fast. You are interested in technological changes and how companies take advantage of what is “new.”

You are experienced: You don’t need someone to tell you how to do your job. You have examples and ideas of how successful businesses are run. You can take a step back and think on your feet as to how you’ll help us grow.

Job Type: Full-time

Pay: $1.00 per year

Benefits:

Paid time off

Schedule:

Monday to Friday

Ability to commute/relocate:

Asbury Park, NJ 07712: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Practical PowerBI: 2 years (Required)
Microsoft Excel: 5 years (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Board Certified Behavior Analyst (BCBA) at Future Foundations Academy,"The Educational Services Commission of New Jersey
","Piscataway, NJ",$65K (Employer est.),2.9,"Future Foundations Academy School
1690 Stelton Road
Piscataway, NJ 08854

BOARD CERTIFIED BEHAVIOR ANALYST (BCBA)

QUALIFICATIONS

· Degree/Experience + Certification

o Must hold a Master's degree in Applied Behavior Analysis (ABA), Education,
Psychology, or related field and have current certification as a BCBA

o Teacher of Students with Disabilities, CE, CEAS required

· Experience with conducting Functional Behavior Assessments (FBA) and developing Behavior Intervention Plans and Positive Behavior Supports.

· Demonstrates knowledge and expertise in implementing ABA-based instructional and behavioral strategies.

· Demonstrates ability to analyze data and make data-based decisions.

· Ability to develop and implement training programs in ABA techniques and strategies.

· Ability to oversee and supervise RBTs and BCBA candidates.

· Strong interpersonal and communication skills.

· Required criminal history background check and proof of U.S. citizenship or legal resident status.

SCOPE

The Board Certified Behavior Analyst (BCBA) provides behavior analytic services to support faculty and staff in the provision of behavioral supports and services based on the principles of Applied Behavior Analysis (ABA). The BCBA conducts assessments and develops intervention plans, supports effective implementation of the plan, and provides professional development and in-service trainings on topics related to ABA to certificated faculty, paraprofessionals, and administrators. The BCBA provides oversight of Behavior Technicians and provides the required supervision.

REPORTS TO

Supervisor of Special Projects

RESPONSIBILITIES

· Conducts Functional Behavior Assessment (FBA); develops Behavior Intervention Plans (BIP).

· Consultation with district/building administration and faculty members to identify and remove barriers (i.e., social/emotional) that prevent students from fulfilling their educational potential.

· Assists in implementing instructional programs and modeling behavior following Individualized Education Programs to meet individual student needs and reinforce learning activities.

· Home visits when necessary to identify environmental factors affecting the students' ability to learn and assist parents in better understanding their children's social/emotional needs.

· Develops faculty and staff training plans on the implementation of instructional programs and behavior management strategies following the principles of Applied Behavior Analysis.

· Supervises Behavior Technicians, BCBA, and candidates, as required.

· Maintains records, data, and reports in approved formats as necessary and required.

· Regards personal information concerning students or families as confidential and utilizes such information only as an aid in helping the student to attain appropriate educational goals.

· Demonstrate knowledge of research based behavioral strategies.

· Work collaboratively and collegially with administration, faculty, and staff

· Implements all district policies and abides by all current district policies and procedures.

· Perform such other duties as may be assigned by the Superintendent or designee.

To apply for this position with the Educational Services Commission of New Jersey please visit the Human Resources Tab at www.escnj.us and click the employment opportunities link.

ESCNJ is an EOE/AA Employer

Job Type: Full-time

Pay: $65,000.00 per year

Benefits:

Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Vision insurance

Schedule:

Monday to Friday

Education:

Master's (Preferred)

License/Certification:

BCBA certificate (Required)

Work Location: In person",-1,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,Unknown,Company - Public,True
Board Certified Behavior Analyst (BCBA),"A Friendly Face - Autism Treatment Center
","Elizabeth, NJ",$60.00 - $85.00 Per Hour (Employer est.),4.1,"Responsibilities:
- Conduct diagnostic evaluations and assessments to determine patient needs and develop individualized treatment plans
- Implement applied behavior analysis (ABA) techniques to address behavioral issues and promote positive behavior change
- Provide direct patient care and behavioral interventions in various settings, such as clinics, schools, or homes
- Collect and analyze data on patient progress and adjust treatment plans as necessary
- Maintain accurate and confidential medical records in compliance with HIPAA regulations
- Collaborate with interdisciplinary teams to coordinate patient care and ensure treatment goals are met
- Provide training and guidance to caregivers, teachers, or other professionals involved in the patient's care

Skills:
- Board Certification as a Behavior Analyst (BCBA)
- Proficiency in conducting diagnostic evaluations and assessments
- Strong knowledge of applied behavior analysis (ABA) principles and techniques
- Experience in data collection and analysis to inform treatment decisions
- Familiarity with HIPAA regulations and ability to maintain confidentiality of patient information
- Ability to assess patient needs and develop individualized treatment plans
- Excellent communication skills to collaborate with interdisciplinary teams and provide guidance to caregivers

Please note that this job description is not exhaustive and additional responsibilities may be assigned as needed.

Job Types: Full-time, Part-time, Contract

Pay: $60.00 - $85.00 per hour

Expected hours: 5 – 30 per week

Benefits:

Health insurance

Medical specialties:

Pediatrics

Schedule:

After school
Choose your own hours
Weekends as needed

Work Location: In person",-1,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,Unknown,Self-employed,True
Business Analyst (Information Technology Analyst 2),"The State of New Jersey Judiciary
","Trenton, NJ",$65K - $105K (Employer est.),3.7,"AMENDED

Amended to revise salary

Should additional positions become available with five (5) months of the closing date, the applicant pool from this posting may be used to fill additional positions.

When you come to work for New Jersey Judiciary you will join an 8500-member strong TEAM that operates with the highest standards of independence, integrity, fairness and quality service. You will be engaged with work that has purpose, meaning and makes a difference in lives of the public we serve. We work hard every day to build the public’s trust and confidence in our court system, which includes issues such as bail reform, marijuana decriminalization and recovery court.

Whether it be in a courtroom, an administrative office, a courthouse training room, an IT office or in the field, our Judiciary workforce is improving the lives of countless individuals and families every day. We honor the dignity and individualism of each member of our organization while fostering professionalism and continuous improvement in our work.

The Judiciary offers a strong opportunity for growth.

The New Jersey Judiciary seeks an experienced business analyst to work under the general direction of the chief or other supervisory personnel in the Automated Trial Court Services Unit (ATCSU). This unit is primarily responsible for business analysis and user requirements gathering; workflow analysis; development of project plans; user interface; system testing; and user training and support.

The unit works collaboratively with court case processing managers and staff, information technology managers and staff, and others to plan and implement large scale Judiciary information technology projects. It also provides ongoing customer support and delivers presentations, when necessary, to various customers located throughout the state. Experience with all stages of the SDLC, PEGA and Agile methodology is preferred.

Note: The Judiciary currently offers a hybrid work schedule, and this position may qualify for up to 3 days of work outside of Judiciary buildings. To participate in this program, you will be required to have high speed home internet access.

Example of Duties:

* Writing specifications for new applications and enhancements

* Recommending process and design changes to case management systems

* Analyzing business procedures, workflows, policies, and standards to identify appropriate IT solutions for the business community

* Creating and managing project requirements with related project milestones and schedules; formulating reports to track/monitor project progress

* Defining and documenting customer business functions and processes

* Acting as a liaison between stakeholders and software development teams

* Communicating and collaborating with external and internal customers to analyze information needs and functional requirements in delivering business requirements documents (e.g. UI designs, screen-flow diagrams; wireframes & user interface specification documentation)

* Developing test scripts and performing a variety of system and user testing across multiple platforms

* Coordinating regularly with ITO and business users

* Designing and conducting presentations and training sessions to internal and external customers (including judges, court staff, attorneys, and other governmental entities)

* Conducting interviews to research and analyze work methods, processes and programs

* Planning, organizing, and facilitating meetings or site visits with primary stakeholders

* Providing helpdesk and on-site user support

* Performing other related duties as required

The selected candidate(s) may be required to work a non-traditional work week, which may include weekends and holidays.

Salary range is $64,964.77 - $104,621.19. For newly hired individuals, the starting salary will normally be at the minimum of the salary range.

Job Requirements:

Graduation from an accredited college or university with a Bachelor's Degree in a field related to computer science, information technology or the area to which the applicant is applying, such as information systems, human-computer interaction, interactive media, software engineering, computer networking, and/or cybersecurity and one (1) year of professional experience in: analyzing, designing, programming, troubleshooting, resolving technical problems, testing, defining business requirements, training and/or installing computer systems applications OR planning, acquiring, installing and implementing telecommunications facilities and services, wide area networks, or local area networks OR generating and maintaining system software.

Substitution: Applicants who do not possess the required education may substitute additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying on a year for year basis with one year of such experience being equal to 30 semester hour credits.

A Bachelor's Degree in any field from an accredited college or university and one (1) year of additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying may be substituted for the required education.

An Associate's Degree in a field related to computer science, information technology or the area to which the applicant is applying, such as information systems, human-computer interaction, interactive media, software engineering, computer networking, and/or cybersecurity and two (2) years of additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying may be substituted for the required education.

An Associate's Degree in any field from an accredited college or university and three (3) years of additional paraprofessional and/or professional IT technical experience or experience related to the area to which the applicant is applying may be substituted for the required education.

A Master's Degree in a field related to computer science, information technology or the area to which the applicant is applying, such as information systems, human-computer interaction, interactive media, software engineering, computer networking, and/or cybersecurity may be substituted for the required education OR one (1) year of experience.

Education Note: Degrees conferred outside of the United States must be evaluated by a recognized evaluation service. (See www.naces.org/members.html)

Residency Law: Pursuant to N.J.S.A. 52:14-7 (L. 2011, Chapter 70), also known as the “New Jersey First Act,” all persons newly hired by the Judiciary must establish, and then maintain, principal residence in the State of New Jersey.

Authorization to Work: US citizenship is not required. Selected candidate must be authorized to work in the US according to Department of Homeland Security, US Citizenship and Immigration Services regulations.

Driver's License: Appointee will be required to possess a driver's license valid in New Jersey only if the operation of a vehicle is necessary to perform essential duties of the position.

To Apply:

Applicants can click on the ‘Apply on Company Site’ button to apply by November 24, 2023.

For additional information please visit www.njcourts.gov and reference Job # 2022-08815, Business Analyst (Information Technology Analyst 2.)

The Judiciary of New Jersey is an Equal Opportunity/Affirmative Action Employer Committed to Ensuring an Open Door to Justice.

Job Type: Full-time

Pay: $64,964.77 - $104,621.19 per year

Experience level:

1 year

Schedule:

Monday to Friday

Work Location: In person",-1,State & Regional Agencies,Unknown / Non-Applicable,Government & Public Administration,5001 to 10000 Employees,Government,False
Data Analyst - Entry level (Veterans Apply),"Workforce Opportunity Services
","Raritan, NJ",$22.50 Per Hour (Employer est.),3.7,"Be a Part of the WOS Team!

Working for WOS is more than a job, it's the start of a new career, a unique opportunity to develop your skills through training and individual mentorship. Founded in 2005, Workforce Opportunity Services (WOS) is a leading nonprofit organization committed to developing the skills of untapped talent from historically underrepresented communities through partnerships with organizations dedicated to diversifying their workforce. This includes people of color, women, veterans, first-generation college graduates, and early-career aspirants.

How We Do It

WOS uses a scientifically-based model derived from research conducted at Columbia University that enables us to recruit, educate, train, and place high-potential candidates with leading organizations around the world. To date, WOS has served 6000+ individuals through partnerships with more than 65 corporations in 60+ locations worldwide. For more information, visit wforce.org.

About The Opportunity

Johnson & Johnson is a leading global healthcare company, dedicated to improving the health and well-being of people around the world. Our Information Security and Risk Management Organization plays a crucial role in ensuring the confidentiality, integrity, and availability of our information assets. We are seeking a highly motivated and talented individual to join our Integrated Risk Management – Security Data Analytics team as an Entry Level Data Analyst.

As an Entry Level Data Analyst within Security Data Analytics team, you will contribute to the protection of our valuable information assets by analyzing and interpreting data related to information security and risk management. You will work closely with our team of experienced professionals to identify trends, patterns, and insights that will drive informed decision-making and enhance our overall security posture.

Candidate Profile:

Post 9/11 Military Veteran with an Honorable discharge, OR currently serving in the National Guard/Reserve
High School Diploma or Equivalent with IT experience
We are looking for an individual who already has or is interested in obtaining a B.S. degree in Computer Science, Information Systems, Mathematics, Statistics, or a related field
Technical Skills: Proficiency in data analysis tools such as Microsoft Excel Pivot. Experience with data visualization tools like Tableau or Power BI is desirable.
Analytical Thinking: Strong analytical and problem-solving skills, with the ability to derive insights from complex datasets and communicate findings effectively.
Attention to Detail: Keen eye for detail and a commitment to maintaining data accuracy and integrity throughout the analysis process.
Team Player: Excellent interpersonal and collaboration skills, with the ability to work effectively in a team-oriented environment.
Communication: Strong written and verbal communication skills, with the ability to present complex information in a clear and concise manner.
Security Awareness: Basic understanding of information security concepts, principles, and best practices is preferred.
Adaptability: Ability to adapt to a fast-paced, dynamic environment and manage multiple tasks simultaneously.
Responsibilities:

Data Analysis: Collect, organize, and analyze large volumes of data related to information security and risk management, using appropriate tools and techniques.
Data Interpretation: Identify patterns, trends, and anomalies within the data, and develop insights that can be used to inform security strategies and risk mitigation efforts.
Reporting: Prepare comprehensive reports and presentations summarizing data analysis findings, including key metrics, trends, and recommendations.
Risk Assessment: Assist in conducting risk assessments and vulnerability assessments to identify potential security risks and vulnerabilities within our systems and infrastructure.
Process Improvement: Collaborate with team members to identify areas for process improvement, automation, and optimization of data analysis workflows.
Compliance Monitoring: Monitor compliance with internal security policies, industry regulations, and best practices, and provide recommendations for remediation as necessary.
Collaboration: Work closely with cross-functional teams, including security operations, incident response, and IT teams, to ensure effective data analysis and support security initiatives.
Professional Development: Stay up-to-date with the latest trends, techniques, and tools in data analysis, information security, and risk management to enhance your skills and knowledge.
Job Type:

Full-Time
Salary:

22.50/Hour
Benefits:

Free Individual Health Insurance
Free Training (Program specific)
Paid Vacation
Paid Company Holidays
Individual Mentor
Interest free loans (Case basis)
Location:

Raritan, NJ
At WOS, we celebrate diversity and are committed to creating an inclusive environment for all employees and ensuring a workplace free from all forms of discrimination or harassment. We strongly encourage women, people of color, people who are veterans, people who identify as LGBTQIA, and members of ethnic minorities to apply!",2005,Civic & Social Services,$5 to $25 million (USD),Nonprofit & NGO,51 to 200 Employees,Nonprofit Organization,False
Impact Analyst,"HomeFront (Mercer County, NJ)
",Township of Lawrence,$50K - $60K (Employer est.),3.7,"Impact Analyst

Location: Lawrenceville, NJ

Position Type/Classification: Full-Time/Exempt

Reporting to: Director of Innovation and Evaluation

Compensation: $50,000-$60,000/year

Organization Overview

Since its inception 30 years ago, HomeFront has worked to break the cycle of poverty and end homelessness in Central New Jersey, serving tens of thousands of families in Mercer County. In the past year alone, 16,805 individuals came to HomeFront for shelter, food and life-changing assistance. Started by volunteers providing meals for families living in welfare motels in and around Trenton, HomeFront has since developed a holistic array of services for clients who are experiencing homelessness, facing complex barriers to economic opportunity, or working hard to make ends meet.

Our work is best captured by our mission statement: HomeFront’s mission is to end homelessness in Central New Jersey by harnessing the caring, resources and expertise of the community. We lessen the immediate pain of homelessness and help families become self-sufficient. We work to give our clients the skills and opportunities to ensure adequate incomes, and we work to increase the availability of adequate, affordable housing. We help homeless families advocate for themselves individually and collectively.

Job Summary/Objective:

The Innovation and Evaluation team measures and tracks key indicators to better understand the impact of our services on clients and promotes the use of evidence-informed decision making to improve the quality of our programs. The team also improves efficiency across the agency with streamlined process flow and implementing automation. The Impact Analyst will play an important role in supporting data collection, analysis and reporting for all HomeFront programming. This position is pivotal in creating and updating high-quality reports and dashboards that translate into actionable insights. This position will report directly to the Director for Innovation and Evaluation. The ideal candidate is passionate about serving families impacted by poverty and homelessness, comfortable communicating professionally with all levels of staff, and possesses advanced technical and analytical skills.

Essential Job Functions/Responsibilities:

Bring data to life by developing and updating user-friendly reports to engage program staff
Update data related to Key Performance Indicators (KPIs) for HomeFront programming
Support data entry and migration for the Apricot and HMIS databases
Develop surveys and provide assistance in conducting focus groups
Analyze data and translate key findings into reports, presentations and infographics
Provide assistance in developing logic models for new programs, and revisions for existing programs
Design and update data collection tools • Provide support with data quality assurance
Create detailed standard operating procedures for reports and internal processes
Respond to ad hoc report requests
Perform additional duties and responsibilities as requested

Qualifications:

Bachelor’s degree required
Advanced analytical skills and high technical proficiency in Microsoft Excel, Word, PowerPoint and Outlook
Experience with quality improvement or program evaluation
Experience using database and case management software
Strong organizational skills and attention to detail
Ability to effectively communicate data and translate into actionable insights
High degree of proactiveness and self-initiative
Commitment to team success
Excellent problem solving ability
Positive attitude focused on implementing solutions

Preferred:

Prior experience working in a non-profit setting
Knowledge or experience working with individuals experiencing homelessness
Experience with data visualization tools (Canva, Tableau, Power BI)
Experience using Apricot and HMIS case management software

Travel: Minimal travel to meetings may be required

Physical Demands:

This job operates in an office setting using standard office equipment such as computers, phones, calculators, copiers, fax machines, and file cabinets
Ability to sit, stand, walk, climb steps, bend, and lift files

Disclaimer: This position description neither constitutes a contract of employment nor is designed to cover or contain a comprehensive listing of activities, duties, or responsibilities that are required of the employee. Other duties, responsibilities, and activities may change or be assigned at any time with or without notice. Company may exercise its employment-at-will rights at any time. HomeFront, Inc. is an equal opportunity employer.

Job Type: Full-time

Pay: $50,000.00 - $60,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid holidays
Paid sick time
Paid time off
Tuition reimbursement
Vision insurance

Experience level:

2 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Township of Lawrence, NJ 08648: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

database and case management software: 1 year (Preferred)
quality improvement or program evaluation: 1 year (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Contract,True
Inventory Analyst,"Paris Corporation
","Westampton, NJ",$54K - $76K (Glassdoor est.),3.9,"The Inventory Analyst is primarily responsible for planning materials requirements, purchasing, supplier relationships, and product life cycle. This position will manage to select suppliers to ensure on-time delivery. The analyst will manage inventory items, control day-to-day operations, and implement inventory control protocols. This includes identifying and ordering the proper quantity, price negotiation, and shipment terms while overseeing the timely delivery of materials needed to meet demand. This position plays a vital role in improving inventory integrity and helps assist in creating and sustaining the replenishment process. He/she will communicate regularly with internal stakeholders and suppliers to avoid unforeseen changes or surprises in demand and/or supply.
What You’ll do:
Work collaboratively with all departments to ensure delivery deadlines/inventory goals are met (includes scheduling, forecasting, production, etc.)
Monitor material inventories, track production progress, and review factors that affect schedules.
Maintain and improve inventory situation by analyzing inventory statistics to determine which products are selling and which are not.
Assist in managing metrics and tools to avoid stockout and waste and improve material efficiencies.
Place inventory orders and track shipments
Creating and maintaining inventory reports that document counts, discrepancies, and other statistical data
Report inventory statistics to management and suggest improvements to inventory control.
Manage daily in-stock items for all replenished SKUs to meet/exceed customer requirements for fill rates and must-arrive-by dates.
Weekly replenishment of products to all distribution centers, 3PL facilities, and direct shipments from suppliers to customers
Identification of both cost and inventory reductions for savings/efficiency
Creation and maintenance of Standard Operating Procedures (SOPs)
Purchasing of products, raw materials, and services to fulfill demands.
Research alternative sources to reduce costs and improve service levels.
The ability to know when to intervene and/or expedite orders and the ability to use problem-solving skills to bring issues to a satisfactory resolution.
Your Background:
Bachelors’ degree in Logistics, Operations Management, or general Business is strongly preferred (or a combination of education and experience)
Minimum of 5+ years of relevant Supply Chain experience, with a primary focus on either procurement or forecasting
The ability to analyze data, find meaningful insights, and note essential trends.
Strong computer skills, with Microsoft Office proficiency (an Excel superuser)
Strong communication and organizational skills
Proven ability to meet tight deadlines.
Customer-focused with the ability to work with all levels of an organization.
Superior communication skills (verbal and written) with strong attention to detail.
MRP systems experience required.
APICS certification a plus
Ability to accept and apply critiques and/or feedback and take directions.
Benefits and Perks
Enjoy excellent company holiday giveaways and parties, generous PTO, medical Benefits, 401K, and more!
Medical, Dental, and Vision coverage
401K with company match
Life Insurance
Business casual dress
Summer hours
On-site gym
Why work at Paris?
Committed to quality and service, we have a dedicated, fantastic team that focuses on providing long-term value. Our people make a difference. We look for talented, hardworking, goal-oriented individuals eager to learn, grow, and demonstrate a can-do attitude to overcome challenges. Ours is
an environment that encourages innovative thinking, teamwork, and the willingness to take ownership of what you do.
Local candidates only-No relocation fees will be provided",1964,Consumer Product Manufacturing,$25 to $100 million (USD),Manufacturing,51 to 200 Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA),"Intense Behavioral Services
",New Jersey,$90K - $99K (Employer est.),4.1,"```Duties```
- Conduct assessments and evaluations to determine the needs of individuals with developmental disabilities
- Develop and implement individualized behavior intervention plans based on applied behavior analysis principles
- Provide direct behavioral therapy services to clients, including skill acquisition and behavior reduction programs
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans
- Collaborate with other professionals, such as psychologists, educators, and medical personnel, to ensure coordinated care
- Maintain accurate and confidential medical records and documentation in compliance with HIPAA regulations

```Requirements```
- Board Certified Behavior Analyst (BCBA) certification
- Experience working with individuals with developmental disabilities
- Knowledge of applied behavior analysis principles and techniques
- Familiarity with special education laws and regulations
- Strong data collection and analysis skills
- Excellent communication and interpersonal skills to effectively work with clients, families, and interdisciplinary teams
- Ability to develop and implement behavior intervention plans based on individual needs
- Proficiency in medical documentation and record keeping

Note: This job description is not intended to be all-inclusive. Employee may perform other related duties as assigned to meet the ongoing needs of the organization.

Job Type: Full-time

Pay: $89,678.00 - $98,986.00 per year

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Vision insurance

Medical specialties:

Pediatrics

Schedule:

Monday to Friday

Supplemental pay types:

Bonus opportunities
Commission pay
Signing bonus
Tips

Ability to commute/relocate:

New Jersey: Reliably commute or planning to relocate before starting work (Preferred)

License/Certification:

BCBA (Required)

Willingness to travel:

25% (Preferred)

Work Location: On the road",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Junior Data Analyst,"Affiliated Monitoring
","Union, NJ",$54K - $86K (Glassdoor est.),4.0,"Description:


Located on a beautiful campus in Union, New Jersey, our state-of-the-art monitoring center facility is the most advanced in the United States. The team at Affiliated Monitoring protects millions of people by monitoring their security alarms and medical alert systems.

Our team currently has an opening for a Junior Data Analyst. Working as part of our Transfer Implementation Team, this critical role is instrumental in analyzing and processing data for new business conversions for life safety monitoring. You will be interpreting and implementing data from partners ranging from nationally recognized security, PERS and IoT providers to unique technology startups.

This position requires critical thinking and problem-solving skills.

What You’ll Do:

Performs in-depth data analysis, data-mining, data importing, data entry, and report generation.
Works with other teams to gather and understand reporting/data requirements and delivers reporting/data requests in a timely fashion.
Coordinates and prioritizes tasks with senior team members and manager.
Works with Onboarding/Implementation team to successfully transition new B2B partners
Conducts post import analysis/QA
Collaborate within our organization to provide the best partner experience
Requirements:


What's In It for You?

Competitive pay and comprehensive benefits package
Chance to work with an experienced and talented team
Entrepreneurial work environment with the freedom to get things done
Make a true impact on our company and products with high-visibility and possibilities for career growth

Benefits and Perks



Excellent Comprehensive Insurance Coverage
401(k)
Retirement Savings
Gym/Fitness Program Reimbursement
Access to Corporate Discounts
Commuter Benefits
Company Paid Life Insurance
And much more…",1977,Security & Protective,$100 to $500 million (USD),Management & Consulting,501 to 1000 Employees,Company - Private,True
