Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
"Board Certified Behavior Analyst - Cary, NC","Patterns Behavioral Services, Inc.
","Cary, NC",$80K - $100K (Employer est.),2.8,"Hiring a BCBA to join our growing team in Cary, NC!
Generous Sign-On Bonus and Relocation Package!

We are currently seeking highly skilled and dedicated Board Certified Behavior Analysts (BCBA) to join our team in Cary, NC. As a BCBA, you will be responsible for providing comprehensive behavior analysis services to individuals with autism spectrum disorders and other developmental disabilities. You will work closely with clients, families, and a multidisciplinary team to develop and implement individualized behavior plans, conduct assessments, and provide ongoing behavior analysis therapy.

Patterns Behavioral Services, Inc. - Identifying Patterns, Changing Trajectories
Benefits

Competitive pay based on tenure as a BCBA and experience
Generous Relocation Package and Sign-On Bonus up to $15,000
Support from a team of clinicians with over 20 years of experience
FREE continuing education units
Health insurance (Medical, Dental, and Vision)
401K plan
Paid Vacation and Sick Time Off
Paid Holidays
Mileage reimbursement and Paid Drive Time
Fingerprinting reimbursement
Flexible schedules
Professional growth and career development opportunities
Access to National University with 15% discounted rates towards coursework
Access to Purdue University Global with 20% off published tuition rates for all undergraduate programs and certificates, 14% off published tuition rates for all graduate programs and certificates
Employee Assistance Program (EAP) (available to all employees)
Generous Employee Referral Program

At Patterns build a nationwide community of compassionate individuals for one purpose; to serve others selflessly. Children and adults with behavioral needs deserve empathetic and functional ABA support from dedicated professionals. Patterns is a center-based, in-home, and school provider of behavioral services to families with children diagnosed with ASD and other developmental disabilities. We are currently expanding our services and are looking for career-minded, experienced ABA Superheroes to join our team. At Patterns, you will find a professional, ethical, structured, respectful, caring, and fun work environment where you can reach your career goals! Together, we are Patterns, a team like no other. We aim to be different. Service and Integrity of our clients is our utmost concern and priority. We maintain a culture of relentless optimism as we do what we've been called to do.

YOUR VALUED ROLE

Conduct functional behavior assessments to identify target behaviors and develop appropriate treatment plans.
Collaborate with families, caregivers, and other professionals to gather information, set goals, and develop behavior intervention plans.
Implement behavior analytic strategies and interventions to address behavioral challenges and improve functional skills.
Provide direct behavior analysis therapy to individuals, both in clinical settings and in natural environments.
Collect and analyze data to evaluate treatment effectiveness and make necessary adjustments to behavior plans.
Train and supervise behavior technicians and other team members in implementing behavior intervention strategies.
Maintain accurate and detailed records of client progress, behavior plans, and treatment outcomes.
Stay current with the latest research and developments in the field of behavior analysis and autism treatment.

Requirements

Master's degree in Applied Behavior Analysis, Psychology, or a related field.
Current Board Certification as a Behavior Analyst (BCBA) from the Behavior Analyst Certification Board (BACB).
Experience working with individuals with autism spectrum disorders and other developmental disabilities.
Strong knowledge of behavior analysis principles and techniques, including functional behavior assessment and behavior intervention plan development.
Excellent communication skills, both verbal and written, with the ability to collaborate effectively with clients, families, and team members.
Ability to work independently, demonstrate problem-solving skills, and make clinical decisions based on data analysis.
Proficient in using data collection software and technology for behavior analysis.

Job Type: Full-time

Pay: $80,000.00 - $100,000.00 per year

Benefits:

401(k)
Dental insurance
Employee assistance program
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Vision insurance

Medical specialties:

Pediatrics

Schedule:

Monday to Friday
Weekends as needed

Supplemental pay types:

Signing bonus

Ability to commute/relocate:

Cary, NC 27511: Reliably commute or willing to relocate with an employer-provided relocation package (Required)

Experience:

Working with people with developmental disabilities: 1 year (Required)

License/Certification:

BCBA (Required)

Work Location: In person",2012,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,51 to 200 Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA),Elite Healthcare Group of Winston Salem,"Winston-Salem, NC",$85K - $100K (Employer est.),-1.0,"About us

Welcome to Elite Healthcare Group Greensboro. Where everything you will do is helping provide the best possible outcomes for our patients! We are dedicated to evidence-based interventions, such as Applied Behavior Analysis (ABA), and continually strive to be a leader in the development of the field. We pride ourselves on keeping up to date on proven research that could impact our family's intervention.

Our work environment includes:

Modern office setting
Work-from-home days
Growth opportunities
Food provided

Our company is looking for Board Certified Behavior Analysts with experience working in the pediatric field. The successful candidates will have a deep understanding of behavior analysis and be able to make valuable contributions to our growing team. We are specifically interested in individuals that can improve the efficiency of our current analytical techniques. The candidate must have clinical experience working with children and as part of a team, be able to work well under stress, and have excellent communication skills.

MINIMUM QUALIFICATIONS:

Master’s degree in Special Education or related human services field;
Successful completion of internship and/or formal training in the analysis of behavior and instructional strategies training related to working with clients who have pervasive developmental disorders and related disorders, their parents, and other agencies working with client
Ability to demonstrate competence in behavior management skill, instructional skills, oral and written communication, organizational skills and interpersonal relations
Ability to work with a variety of clients in regard to age, functionality, and with minimal direction
Knowledge of DTT programming and implementation
Knowledge of Word, Excel and Outlook systems
Ability to utilize a fax machine, phone system, and other office materials as necessary for the position
Ability to respond quickly to phone calls, text messages, and emails

RESPONSIBILIITES:

Function in a supervisory capacity and provide oversight to all areas of programming including the training of direct support professionals, person centered strategies consultants (if applicable) and DSP trainers.
Assist in the development, facilitation, and follow-up training in Applied Behavior Analysis, using both discrete trial training and natural environment training models of teaching.
Facilitate and assist in the development and identification of resources and support information for clients and their families
Provide model teaching and other direct instructional supports including, but not limited to, practicum supervision/teaching, class instruction and in-service instruction to other support professionals.
Assist in the development and implementation of assessment tools, to conduct functional assessments and analyses when appropriate, and to develop appropriate behavior strategies to teach appropriate behavior and reduce maladaptive behaviors.
Provide ongoing support and training to direct support professionals, ABA implementers, and other individuals in support roles for families.
Ongoing training and supervision of paraprofessional staff in implementation of ABA principles and methodology and behavior reduction strategies.
Create ongoing data collection system to establish baseline and programmatic efficacy for all consumers, and to analyze data on a frequent and ongoing basis to guide programming.
Develop behavior plans/treatment plans for all consumers with a focus on teaching and other antecedent strategies for reducing problematic behavior(s).
Meet as needed with supervised staff to discuss ongoing consumer issues and to provide support when necessary.
Review and sign off on behavior plan/treatment plan training for all field staff and provide field supervision when necessary.
Utilize Set Works website to enter session notes within 24 hours of each session.
Provide consultation services and to maintain ongoing communication with all constituents (other supports, parents, community, and community agencies).
Keep current with the literature, new research findings and resources. In addition, continuing education courses to maintain BCBA certification are necessary (32 credits every 2 years).
Maintain all data, paperwork, and communication between personal care staff and families, and to provide ongoing feedback to government related agencies that contract with such families.
Perform other duties as assigned.

Job Type: Full-time

Pay: $85,000.00 - $100,000.00 per year

Benefits:

401(k)
Dental insurance
Employee assistance program
Employee discount
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance

Medical specialties:

Pediatrics

Schedule:

8 hour shift
Day shift
Monday to Friday

Supplemental pay types:

Bonus opportunities
Commission pay
Signing bonus
Tips

License/Certification:

BCBA Cerification (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Electric Systems Analyst,"City of High Point
","High Point, NC",$63K - $85K (Employer est.),4.0,"Performs professional work and high-level technical functions in administering the development, implementation, coordination, and operation of the Electric Departments SCADA – Data Voice & GIS Database; perform related work as required.

Work is performed under the general supervision of the Electrical Engineering Division.

Essential Tasks:

· Create and maintains geographic data within the city's GIS, in particular electric data coverages.

· Gather, compile, select, organize, and analyze data pertaining to the electrical department.

· System administrator and contact person for dataVoice Outage Management System

· Publish geometric networks from ESRI to the OMS via dataVoice.

· Data analysis on customer records from Cayenta to make sure they coincide with GIS and the OMS

· Required to assist with storms and major outages to expedite power restoration.

· Coordinate OMS upgrades and training with dispatch and customer service

· Support for the SCADA system

· Export electric system data to Milsoft for analysis and creation of a balanced electric model

· Assist development of GIS applications to facilitate planning operation and analysis.

· Administrative rights to the electric department to install and upgrade software/hardware.

· Assist and troubleshoot electric department personnel with computer issues as needed.

· Assist division head as needed.

· Attend conferences and continuing education curriculums to maintain professional certification.

· Assist with transformer database to track from date of purchase to date of retirement.

· Utilize AutoCAD to incorporate engineering design plans into GIS.

· Create cartographic output for special projects for the electric department.

· Prepare drawings for the electric department, including field work information and maps.

· Facilitate use of ike GPS camera to measure and model electric system and assist with SpidaCalc pole loading software.

· Create and maintain Metadata for electric department feature classes.

· Assist public with obtaining electric data.

· Ensure GIS data accuracy and best practice mapping standards.

· Ensures that all GIS work is performed in accordance with OSHA and City Safety Standards and Policies

Qualifications:

· Formal education which includes reading, writing and math.:

- Bachelor’s degree in GIS or related field; and

- Three (3) years’ experience in GIS, Electrical or related field.

Job Type: Full-time

Pay: $62,953.28 - $85,440.16 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Application Question(s):

Do you have at least a bachelor’s degree in Geography, Geographic Information Systems or a closely related field?

Education:

Bachelor's (Required)

Experience:

Electric Utility Industry: 1 year (Required)
mapping-based software systems: 1 year (Required)

License/Certification:

Class ""C"" North Carolina Driver's License (Required)

Work Location: In person",-1,Municipal Agencies,Less than $1 million (USD),Government & Public Administration,1001 to 5000 Employees,Company - Private,True
Board Certified Assistant Behavior Analyst (BCaBA) or QASP-S,"Discovery ABA
","Charlotte, NC",$28.00 - $40.00 Per Hour (Employer est.),2.5,"Basic Function

Responsible for clinical, supervisory, and case management activities related to the delivery of behavior analytic services to children with an ASD diagnosis and their family, under supervision of Licensed or Certified Behavior Analyst. Assistant Behavior Analysts provide support to individuals and their families by coordinating services that are conceptually consistent with the behavioral principles and utilizes evidenced-based practices. With oversight from Behavior Analyst, the Assistant Behavior Analyst will also provide ongoing support, training, and supervision to direct service providers (behavior technicians (BT), Registered Behavior Technicians (RBT), Applied Behavior Analysis Technicians (ABATs).

Responsibilities

Design and oversee individualized Applied Behavior Analysis (ABA) treatment programs for assigned clients and submit for approval by Behavior Analyst.
Document behavioral assessments and treatment plan recommendations in writing in a timely manner, using company resources and participate in peer review processes for quality assurance.
Use data collection systems to establish baseline and assess intervention efficacy of client’s treatment programs. Analyze data, to include graphic depictions of progress, on a frequent and ongoing basis to guide necessary treatment plan modifications.
Conduce face-to-face clinical oversight of the delivery of ABA services to clients for the purpose of evaluating efficacy of treatment, technicians’ treatment integrity or adherence to instructional protocols, and evaluation of interobserver agreement.
Train behavior technicians, parents, family members, and other professionals to implement individualized ABA treatment plans and behavior intervention techniques
Supervise behavioral technicians with clients and provide immediate feedback and direction in correct implementation of ABA intervention strategies specified in authorized treatment plan.
Monitor the administration of ABA programs for individual clients at all locations at which services are provided.
Conduct monthly family guidance / family training services
Participate in coordination of care activities that serve the best interest of the client
Ensure client appointments are added to the practice management platform prior to rendering of services and converted, with clinical documentation completed within 24 hours of service.
Provide supervision of behavioral staff in accordance with certifying board requirements (e.g. no less than 5% per month, maintaining record of supervisory contacts, and documenting non-client facing meetings that are behavioral-analytic in nature).
Provide direct services with clients while implementing behavioral programs or probing skill deficit areas
Ensure all behavior analytic service hours are tracked monthly and attend 1:1 meetings with Behavior Analyst to meet minimum supervision requirements, completing all necessary documentation for compliance with board policies.
Attend clinical and operational meetings as assigned.
Adhere to company and professional standards, to include licensing board or certifying board’s code of ethics.
Travel to sites as assigned.
Perform related duties as assigned.

Minimum Qualifications:

Education and Experience:

Any combination of training, experience, and/or education equivalent to graduation from an accredited college or university with a bachelor’s degree in a related field such as psychology, speech/language pathology or behavior analysis and three years experience providing ABA and/or 2 years’ supervisory experience using ABA strategies with clients with autism. Extensive training and experience in child development and Applied Behavior Analysis, with an emphasis in discrete trial training is required.

Licenses and Other Requirements

Current BACB, QABA, or State License/Certification as Assistant Behavior Analyst and requisite degrees are required, unless other criteria are met based upon BACB guidelines that pre-date the current BCBA/QBA standards.

Job Types: Full-time, Part-time

Pay: $28.00 - $40.00 per hour

Benefits:

Dental insurance
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Referral program
Vision insurance

Medical specialties:

Pediatrics

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Charlotte, NC: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

QASP-S or BCaBA Certifications (Required)

Willingness to travel:

25% (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,True
Business Analyst,Expressions Scrubs and Shoes,"Asheboro, NC",$45K (Employer est.),-1.0,"Job Title: Business Analyst - Inventory and Pricing
Location: Asheboro, NC

Job Type: Full-Time

About Us:

T&M Apparel is a dynamic and innovative company that specializes in medical uniform apparel. We are committed to delivering exceptional products and services to our customers. We are seeking a highly motivated and detail-oriented Business Analyst - Inventory and Pricing Specialist to join our team. If you are passionate about data analysis, inventory management, pricing strategies, forecasting, and planning, we want you to be a part of our growing company.

Job Description:
As a Business Analyst - Inventory and Pricing Specialist at T&M Apparel, you will play a crucial role in ensuring our company's success through the effective analysis and management of inventory, pricing strategies, forecasting, and planning. You will be responsible for:

Responsibilities:

1. Analysis & Reporting:

Collect, analyze, and interpret data to provide valuable insights for decision-making.
Develop and maintain reports, dashboards, and key performance indicators (KPIs) to track inventory and pricing performance.
Present findings and recommendations to senior management to support strategic initiatives.

2. Inventory Management:

Oversee inventory levels, including procurement, allocation, and demand planning.
Optimize inventory turnover while minimizing holding costs.
Implement best practices for stock control and accuracy.

3. Pricing:

Develop, implement, and monitor pricing strategies to maximize profitability.
Analyze market trends, competitive pricing, and customer behavior to make informed pricing decisions.
Regularly review and adjust pricing models to maintain competitiveness.

4. Forecasting:

Utilize historical data, market trends, and other factors to create accurate demand forecasts.
Collaborate with cross-functional teams to ensure product availability meets customer demand.
Continuously improve forecasting models and methodologies.

5. Planning:

Collaborate with the planning team to align inventory and pricing strategies with overall business goals.
Assist in creating and maintaining a detailed inventory and pricing plan.
Identify potential risks and opportunities and develop contingency plans.

Qualifications:

Bachelor's degree in Business, Finance, Supply Chain Management, or a related field
Proven experience in inventory management, pricing strategies, forecasting, and planning.
Strong analytical skills with proficiency in data analysis tools and software. Specifically Microsoft Excel
Excellent communication and presentation skills.
Attention to detail and the ability to work independently and as part of a team.
Knowledge of industry-specific software and tools is a plus.
Strong problem-solving and decision-making abilities.

Benefits:

Competitive salary and bonus structure.
Opportunity for professional development and growth.
Collaborative and inclusive work environment.
Chance to make a significant impact on the company's success.

If you are a dedicated and results-driven individual with a passion for data analysis and a keen understanding of inventory management and pricing strategies, we encourage you to apply for the Business Analyst - Inventory and Pricing Specialist position at T&M Apparel. Join our team and be part of our exciting journey to success.

How to Apply:

Please send your resume and a cover letter outlining your qualifications and interest in the position using the tools on Indeed. We look forward to reviewing your application and potentially welcoming you to our team.

Job Type: Full-time

Pay: From $45,000.00 per year

Benefits:

401(k)
401(k) 4% Match
401(k) matching
Paid holidays
Paid sick time
Paid time off
Retirement plan

Compensation package:

Bonus opportunities
Profit sharing
Quarterly bonus
Yearly bonus
Yearly pay

Experience level:

2 years
3 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Asheboro, NC 27205: Reliably commute or planning to relocate before starting work (Required)

Experience:

Microsoft Excel: 3 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Billing EDI Analyst,"Labcorp
","Burlington, NC",$41K - $57K (Glassdoor est.),3.6,"Conducts detailed data analysis and generates weekly reports of electronic specimen orders to identify and troubleshoot EDI billing issues and defects.

Extracts and validates information from multiple system sources/tools.

Research and maintains website updates.

Requires a Bachelor's Degree or equivalent w/3-5 years Healthcare Billing EDI directly applicable experience.

Labcorp is proud to be an Equal Opportunity Employer:

As an EOE/AA employer, Labcorp strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. We encourage all to apply.

For more information about how we collect and store your personal data, please see our Privacy Statement.",1978,Health Care Services & Hospitals,$10+ billion (USD),Healthcare,10000+ Employees,Company - Public,False
Senior Business Data Analyst,"TTX
","Charlotte, NC",$88K - $116K (Glassdoor est.),3.9,"JOB SUMMARY

The Senior Business Data Analyst provides strategic and tactical support to the enterprise by analyzing and interpreting data for solutions. Develops rules and methodologies for effective Data Management. Uses knowledge of data analysis tools and other technology to provide data integration solutions. They are responsible for the development of an in-depth understanding and analysis of the data requirements for projects and ad-hoc reporting and analysis needs. This position influences senior management, technical leads and architects in achieving strategic goals by facilitating the data availability and quality of systems and processes. Provides technical and professional assistance for less experienced team members.




RESPONSIBILITIES


Competencies:
Responsible for both leading and participating in a team of analysts focused on the analysis, design, implementation, and follow up of the migration of data from the on-premises Enterprise Data Warehouse to the Azure Data Warehouse.
Leads and directs the work of others.
Lead research, planning, development and testing of data provisioning, analysis and ad-hoc reporting solutions.
Participates in developing the methodology for documenting data templates for various types of data.
The ability to extract and analyze data, patterns, and related trends, with the subsequent ability to synthesize the data into information consumable by senior business decisionmakers.
Reviews and ensures that major data architectural designs are consistent, maintainable, flexible and cost effective.
Understands industry trends, emerging technologies and standards in order to evolve the Standards and Roadmap.
Provides analysis to support development of vision, data strategy, data architecture and the overall design and development of Enterprise Data Warehouse as needed.
Provides consultation to application owners, business partners and peer groups regarding long and short-range data solutions that meet business requirements.
Diagnoses data problems effectively and determines solution options with consideration to business impact.
Adheres to enterprise architecture strategies, principals, standards, policies and procedures. Understands and ensures compliance with IT strategy.
Diagnose and fix bugs, performance and security issues
Be a champion of digital security at TTX
Ensure resources diagnose and fix bugs, performance and security issues
Document system architecture o Improve the overall quality and security of any related systems
Ensure access to data follows the principle of least privilege as required


Professional:
Follows through with commitments.
Proactively initiates, develops, and maintains effective working relationships with team members.
Relies on extensive experience and judgment to plan and accomplish goals.
Demonstrates the ability to cooperate with a variety of people and achieve results.
Works independently with personnel at all levels and follows departmental standards.
Works closely with management to prioritize business and information needs.
Self-starter – must be productive with minimal direction
Ability to work in a fast-paced, technical, cross-functional environment o Excellent visual design sense regarding clear and accurate presentation of data
Personal:
Accurately prepares written business correspondence that is coherent, grammatically correct, effective and professional.
Clearly articulates ideas and thoughts verbally.
Ability to manage changing priorities.
Shares acquired skills with team members through formal and informal channels


QUALIFICATIONS


Bachelor’s degree or equivalent and work experience defined as 7 or more years of overall experience with data analysis for major software systems.
Excellent knowledge of data requirements for the Railroad Industry.
Ability to quickly assess the impact of data changes on the business, application relationships and information flow.
Must be a self-starter with the skills required to be able to motivate and influence across all levels of the organization.
Ability to function as a thought leader for Microsoft Power BI.
Strong ability to facilitate collaboration among senior technical team members and senior business leaders.
Ability to use advanced analytic tools to develop predictive models.
Experience defining and implementing information and data architecture governance, including acting as a design authority for information and data within projects and programs.
Effective use of data analysis tools (SQL, Power BI, Tableau, etc.) to access and manipulate data across a range of database and information platforms.
Ability to lead, motivate and participate in cross functional teams, providing mentoring and support to junior team members.
Ability to define and manage the scope of data tasks and execute projects on time and within budget, escalating exceptions in a timely manner.
Excellent interpersonal and communications skills - lead, collaborate, facilitate, and negotiate as necessary.
Ability to work flexible hours during key implementation activities.


PHYSICAL JOB REQUIREMENTS


(The physical demands and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.)


General office environment; may be required to travel. While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to sit (remain stationary within work area) and use hands to finger, handle, feel and reach. The employee is occasionally required to move about (stand, walk). The employee must occasionally lift and/or transport up to 10 pounds. Correctable vision required for close, distance, and color vision capabilities.


The above job description is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of duties, responsibilities or requirements.",1955,Rail Transportation,$1 to $5 billion (USD),Transportation & Logistics,1001 to 5000 Employees,Company - Private,False
PROCESS IMPROVEMENT ANALYST,"Fayetteville Public Works Commission
","Fayetteville, NC",$62K - $93K (Glassdoor est.),3.7,"SUMMARY OF RESPONSIBILITIES: This class is responsible for numerous functions and activities enterprise- wide that are tied to process creation, optimization and ultimately developing solution designs that lead to more effective and efficient operations. Responsibilities include, but are not limited to, leading and supporting efforts across all divisions and departments to: examine processes holistically to understand the impact of changing them on people, strategy, systems, and general business operations; identifying solutions that will enhance processes and associated work flows; creating detailed documentation for critical processes that support business, technical, and disaster recovery requirements; leading organizational change management initiatives to minimize employee resistance and maximize employee engagement, to include design and implementation of a structured methodology, development and management of communications, conducting impact analysis to assess change readiness, and leading training efforts; working with others, this class is responsible for efforts to align process documentation with training and testing requirements for projects and applications; leading comprehensive requirements gathering, process reengineering/optimization efforts, and monitoring activities that lead to better utilization of systems and resources and resolution of business and operational challenges; and designing and implementing plans to ensure continuous process improvement strategies are put into place to ensure all critical processes are routinely reviewed and updated as needed. Operating under general supervision of the Innovations and Business Solutions Manager, work is performed in accordance with established policies and procedures, with leeway allowed for the exercise of independent judgment in carrying out the details of the work. Performs related work as required.

EQUIPMENT OPERATED : Computer, calculator, communication equipment, and other equipment, as required

FULL PERFORMANCE KNOWLEDGE, SKILLS, AND ABILITIES : Thorough knowledge of safety rules, regulations, and procedures; thorough knowledge of Microsoft Office software applications, to include Excel, PowerPoint, Word, SharePoint, and Visio; ability to communicate effectively, both orally and in writing; ability to evaluate diverse data sets (financial results, operational metrics, systems data, etc.) and determine critical needs and cause/effect relationships; ability to isolate key information and determine the impact of process or procedural changes; ability to use critical thinking skills to identify effective and efficient solutions for complex problems; ability to quickly grasp new practices and derive opportunities for improvement; ability to effectively communicate complex information to a variety of audiences; ability to quickly adapt to evolving needs and priorities; knowledge of and ability to apply best practices in process optimization/reengineering across diverse work flows; ability to manage and direct activities of diverse teams; knowledge of process mapping techniques, to include critical examination of routes/exceptions and consensus building; ability to analyze data, make decisions, and facilitate continuous process improvement efforts across all divisions; ability to manage multiple process initiatives and deadlines; knowledge of and experience using change management principles, methodologies and tools; ability to develop communications to effectively share information related to process changes that impact employees and/or customers; and ability to work independently and deliver outcomes as planned.

MINIMUM QUALIFICATIONS :

(A) Graduation from a four (4) year accredited university/college with a Bachelor’s degree in business, finance, engineering, project management or related field (Master’s degree or relevant certification preferred), and a minimum of five (5) years of relevant experience and similar responsibilities; OR

(B) Graduation from two (2) year Community/Technical College with an Associate’s degree in business, finance, engineering, or related field with a minimum of nine (9) years of experience as defined in (A) above.



SPECIAL REQUIREMENTS : Must possess and maintain a valid North Carolina Driver’s License. Preferred Lean Six Sigma certification. Preferred three (3) years of experience in document & digital management.

PHYSICAL REQUIREMENTS : Must be able to perform the essential functions of the position.

SAFETY HAZARDS : Minimal.

PROTECTIVE EQUIPMENT : As required in the Public Works Commission’s Safety Manual.

EMPLOYER'S RIGHTS : This job description is general and illustrative of the kind of duties required of this position. It is not exhaustive and does not contain a detailed description of all the duties that may be assigned to the incumbent occupying this position.

#FPWCSJ",1905,Energy & Utilities,$100 to $500 million (USD),"Energy, Mining & Utilities",501 to 1000 Employees,Government,False
"IT Sr Technical Specialist, Analytics Analyst","Labcorp
","Durham, NC",$70K - $101K (Glassdoor est.),3.6,"Labcorp is a leading global life sciences company that provides comprehensive diagnostic and drug development services to patients, physicians, and healthcare organizations. Our mission is to improve health and improve lives by delivering world-class diagnostic solutions, drug development services, and technologies to advance medicine and improve patient care.
IT Sr Technical Specialist, Analytics Analyst

Labcorp IT seeks an experienced IT professional for the role of IT Sr Technical Specialist, Analytics Analyst. will be part of a newly formed division supporting laboratory partnerships and acquisitions and will collaborate with IT, vendor, business, laboratory operations, and partnership stakeholders to ensure successful LIS implementations. The IT Sr Technical Specialist will demonstrate a working knowledge of the Cerner Millennium Analytics and Lights On Modules, Laboratory operations and the ability to learn complex processes and technology quickly.

Responsibilities:

Serves as a member of the broader LIS implementation team and collaborates in accomplishing defined strategic LIS initiatives for the Health System Operating Division.
Contributes to the development of the overall IT strategy for LIS implementation; develops repeatable implementation processes for assigned laboratory initiatives.
Prepares and leads meetings at an appropriate cadence; uses excellent verbal and written communication.
Partners with operations leaders to identify site-specific requirements that impact the deployment strategy.
Leads current state review and assesses current processes and workflows within the labs for any scope gaps or potential risks or issues.
Leads future state review to demo all workflows.
Assists with decision making and completes the Data Collection Workbooks to capture data for LIS configuration.
Plans and manages the configuration of the solution into the system.
Raises integration points with workstreams where there is crossover with other workstreams.
Applies technical expertise to build design, configuration, and execution.
Documents lessons learned to ensure ongoing success with future initiatives.
Fosters a collaborative environment by establishing a team atmosphere of candor, trust, and mutual respect.
Supports the laboratories through cutover and transition to support.

Education and Qualifications:

A BA (Bachelor of Arts) or BS (Bachelor of Science) degree is required.
5+ years of IT experience including extensive Cerner Millennium Analytics build experience including Data Analytics 2, CCL and Lights On. Implementation experience for multi facility projects is strongly recommended.
Laboratory clinical experience is recommended.
A solid understanding of the Laboratory industry and Laboratory workflows and how the LIS impacts and is impacted by surround technologies to include Revenue Cycle, Electronic Health Records, etc.
Critical thinking skills and the ability to translate abstract information into a consumable format.

Labcorp is proud to be an Equal Opportunity Employer:

As an EOE/AA employer, Labcorp strives for diversity and inclusion in the workforce and does not tolerate harassment or discrimination of any kind. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, religion, color, national origin, gender (including pregnancy or other medical conditions/needs), family or parental status, marital, civil union or domestic partnership status, sexual orientation, gender identity, gender expression, personal appearance, age, veteran status, disability, genetic information, or any other legally protected characteristic. We encourage all to apply.

For more information about how we collect and store your personal data, please see our Privacy Statement.",1978,Health Care Services & Hospitals,$10+ billion (USD),Healthcare,10000+ Employees,Company - Public,False
EDI Analyst,"Venteon
","Albemarle, NC",$85K (Employer est.),3.8,"Our client is looking for EDI Analyst
We are currently looking to an EDI expert to our Corporate IT Group.
Develop and maintain communication links with trading partners and oversees integration of messages.
Coordinate with EDI trading partners to resolve production issues and perform tests to resolve all EDI issues according to specifications.
Troubleshoot failed EDI translations and adjusting the configuration - perform ASN comparisons and analysis.
Provide production support for EDI processes. Including onboarding of customers/suppliers.
Perform analysis, design, testing, documenting and implementation of EDI processes.
Effective communication skills with internal and external partners.

Education:
Information Technology, Computer Science, Engineering or technology related field, or non-technology field with equivalent work experience.
Experience:
Experience in a technical support or application development environment using tools and techniques
Experience working with ERP Systems, preferably PLEX
Knowledge/Skills/Abilities:
Knowledge of EDI standards and data conversion methodologies.
Comprehension of EDI specifications from automotive customers.
Knowledge of EDI communication methods (VAN, oFTP, sFTP)
Basic troubleshooting of VAN, AS2, FTP, sFTP, Web-Services and other communication protocols and services.
Familiar with IT service management applications (i.e Matrix42, Remedy, etc.)
Analytical problem-solving skills coupled with a desire to identify the root cause.
Self-motivated and communicates well with users.
Experience working in the Automotive Industry at an OEM or Tier-1 supplier desired.

If you are a high performer and would like to work for an equally high performing company and you think the above opportunity is appropriate for you, we invite you to apply to this job and email your resume to slewis@venteon.com.

We treat all resumes with strict confidentiality. We will always contact you first before submitting your resume to our client(s) for review. If you do not receive correspondence, you are not a fit for this position.

At Venteon, our talent acquisition team is proud to provide our clients with the most qualified Accounting & Finance, Engineering and IT talent in the industry today.

#VTN1",2002,HR Consulting,$5 to $25 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
