Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Senior Construction Analyst,N3 Luxury Living,"Grand Prairie, TX",$90K - $125K (Employer est.),-1.0,"RESPONSIBILITIESJob description

N3 Luxury Living is searching for a Senior Construction Analyst for our growing luxury living multi-family. property development company

RESPONSIBILITIES:
-Analyzes, tracks, monitors, and prepares reporting on project budgets and actual expenses and costs.
-Provides reporting on variances and risk exposure, develops and presents solutions and action plans.
- Tracks all subcontractor and supplier compliance to contracts from a financial/risk perspective.
- Manages lien notices.
- Conducts studies that involve compiling data, analyzing results, preparing and maintaining documentation, and proposing/implementing recommendations.
- Works on multiple projects concurrently, often with competing priority levels.
- Analyzes data, performs trend analysis, and communicates data variances.

WE SEEK:
- Strong organizationaland time management skills.
- Excellent communication and interpersonal skills. - Builds relationships and effectively interfaces with internal/external customers.
- Well organized and detail-oriented.
- Works well in a fast-paced environment
- Self-started who works well with a team and is highly self-motivated and goal oriented.
- Proven ability to work independently.
- Manages multiple project. - Adapts and exhibits flexibility with changing priorities. - Solution-oriented, identifies and recommends resolutions using analytical skills. - Exhibits sound judgment. - Proficient in Microsoft Office. - Proficient in Construction processes. - Prior experience with Sage 300 (Timberline), preferred.
- Minimum five (5)+ years of contruction or related experience, required.
- Bachelors degree in Accounting or Finance, required.

Send your resume with salary expectations. We offer a great work environment, competitive compensation, benefits (medical, dental, vision, supplemental benefits), vacation, sick time, company trips, 401k, pension, and employee. discount EOE

Job Type: Full-time

Pay: $90,000.00 - $125,000.00 per year

Benefits:

Employee discount
Flexible spending account
Paid time off
Tuition reimbursement

Schedule:

8 hour shift

Supplemental pay types:

Bonus opportunities

Experience:

Construction: 5 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),"Help, Hope, Solutions LLC
","Plano, TX",$70K - $75K (Employer est.),3.1,"Help, Hope, Solutions: BCBA

Job Type: Full-time
Location: Plano, Texas
Salary: $70,000 - $75,000/year

Organization Overview:
Help, Hope, Solutions provides ABA therapy for children and adolescents on the autism spectrum. We use a unique approach and all individualized programming and goals to ensure the most effective treatment outcomes for our clients. The company embraces a supportive and collaborative environment, and we host staff events to encourage team bonding and promote a motivating and positive work environment!

Position Summary:
The BCBA will have the responsibility of maintaining a caseload of clients and RBT’s to oversee. BCBA’s will be under the direct supervision of the Clinical and Executive VPs and will serve as the point of contact for all RBT’s, Team leads, parents and clients on their caseload.

Responsibilities and Duties:

o Complete Assessments, Reassessments, and treatment plans

o Design individual intervention plans based on assessment outcomes

o Design effective behavior intervention plans to decrease maladaptive behaviors.

o Analyze data, trends, graphs as directly related to client progress

o Monitor treatment progress

o Provide Parent training/collaboration

o Collaborate with ST, OT and PT

o Supervise own caseload of clients and RBT’s

o Train and checklist staff weekly

o Fulfill average weekly billable requirements

o Fulfills documentation in observations, checklists, supervision forms, and maintenance of clients’ folders

Qualifications and Experience:

BCBA is required to:

o Be a BCBA in good standing with the Behavior Analyst Certification Board (BACB)

o Professional communication skills with both the staff and the parents or guardians

o Current state licensure from the Texas Department of Licensure and Regulations (or ability to be licensed through their agency).

o Excellent interpersonal, written, and verbal communication skills.

o Independently and efficiently manage, and organize responsibilities related to maintaining client caseload.

o Implement critical thinking and clinical evaluation in designing, testing, and implementing behavior procedures.

o Child development experience preferred

Company Benefits:

o BCBA & Privately Owned Company!

o Eligible for Health Insurance after 90 days of employment

o Eligible for Dental & Vision Insurance after 60 days of employment

o Retirement Plan | 401k Matching (Fidelity)

o Generous PTO & Paid Holidays

o Above Market Salaries for Qualified and Experienced BCBA’s

o Performance Based Bonuses

o Company Paid Licensure Renewal & 8-Hour Supervision Training

o Paid CEUs

o Professional Liability Insurance Provided

o Credentialing with Insurance Companies

o Coaching and Mentorship with Exceptionally Seasoned BCBA’s

o Paid Parental Leave

o Work From Home Flexibility Dependent on Competency Level

Pre-Employment Screening:

o We are a child-focused and insurance credentialed company; therefore, employment is dependent on the results of a criminal background check (Federal, State, and County), the results of a pre-employment drug screening, and the verification of two employment references.

Classification:

o Employee, Salaried – Exempt

Physical Demands: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions: While performing the duties of this job, the employee is frequently required to stand; walk; sit; use hands to pick up, handle, or feel; reach with hands and arms; climb or balance; stoop, kneel, crouch, or crawl; and talk and hear. The employee must frequently lift and/or move up to 25 pounds.

Equal Opportunity Employment: It is the policy of Help, Hope, Solutions to provide equal employment opportunity to all employees and applicants for employment and not to discriminate on any basis prohibited by law, including race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, or other non-merit-based factors. These protections extend to all management practices and decisions, including recruitment and hiring practices, appraisal systems, promotions, and training and career development programs.

Job Type: Full-time

Pay: $70,000.00 - $75,000.00 per year

Benefits:

401(k) matching
Dental insurance
Health insurance
Paid time off
Parental leave
Vision insurance

Medical specialties:

Pediatrics

Schedule:

8 hour shift
Monday to Friday

Education:

Master's (Required)

License/Certification:

BCBA Certification (Required)

Work Location: In person",-1,-1,Less than $1 million (USD),-1,1 to 50 Employees,Unknown,True
Data Integration Analyst,HCSC,"Richardson, TX",,-1.0,"At HCSC, we consider our employees the cornerstone of our business and the foundation to our success. We enable employees to craft their career with curated development plans that set their learning path to a rewarding and fulfilling career.

Come join us and be part of a purpose driven company who is invested in your future!

Job Summary

As a member of HCSC’s Data & Analytics Solutions (DAS) division, this individual will lead data solution analyst tasks for multiple programs. This position is part of a data product team; and will allow you to utilize and expand your skills for designing enhancements and new business applications and/or data solutions through integration of technical and business requirements; serving as technical designer to identify best solution and resulting technical data specifications; linking Business Analyst needs and Architect definition to integrated data solutions.


Develop detailed technical specifications and designs for waterfall/XP projects / system enhancements.
Provide application domain knowledge to the ADM team.
Manage unstable applications / systems by helping to resolve incidents and issues.
Support infrastructure first build with Solution Architects and Infrastructure Engineers.
Review, guide, troubleshoot and resolve contentious issues escalated during implementation.
Evaluate integration of SaaS / COTS packages to current environment.
Develop operating procedures and user manuals for transition into routine operations.
Enable building of knowledge databases for technology, solutions and domain areas.
Work with architecture, application services, infrastructure, release management and other relevant stakeholders to enable a smooth deployment.
Continuously work on capturing and transferring tacit knowledge to vendors and knowledge management systems.

Required Job Qualifications

Bachelor's degree and 2 years Information Technology OR Technical Certification and/or College Courses and 4 year Information Technology experience OR 6 years Information Technology experience.
Knowledge of application configuration
Knowledge of Big Data Analytics - HAVeN / HADOOP/ Autonomy / Vertica
Knowledge of Cloud computing / SaaS / IaaS / PaaS technologies
Knowledge of Integration Technologies - Tibco/Informatica/CAS
Knowledge of Mobile technologies - Phonegap / iOS / Android / Java / HTML5
Knowledge of Scripting Languages - BASH / PERL / PYTHON / RUBY
Service Oriented Architecture - SOAP / REST
Web Technologies - HTML/CSS/Java/ASP.Net/PHP/Ruby/C#
Rapid prototyping
Requirements definition & management
SDLC Methodology - Agile / Scrum / Iterative Development
System Performance management
Conceptual thinking
Creative thinking
Problem solving and analytical thinking
Strong oral/written communication skills

Preferred Job Qualifications:

Bachelor's degree in computer science or information technology related
areas.

Ability to execute.

We encourage people of all backgrounds and experiences to apply. Even if you don’t meet every listed qualification, apply anyway - you might have qualifications we haven’t even thought of yet.

#LI-HYBRID

Are you being referred to one of our roles? If so, ask your connection at HCSC about our Employee Referral process!

HCSC Employment Statement:

HCSC is committed to diversity in the workplace and to providing equal opportunity and affirmative action to employees and applicants. We are an Equal Opportunity Employment / Affirmative Action employer dedicated to workforce diversity and a drug-free and smoke-free workplace. Drug screening and background investigation are required, as allowed by law. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",-1,Shipping & Trucking,Unknown / Non-Applicable,Transportation & Logistics,Unknown,Company - Private,False
BGC Records Analyst I,MinistrySafe,"Fort Worth, TX",$17.00 Per Hour (Employer est.),-1.0,"BGC Records Analyst I - Job Description

Reports to: BGC Director of Operations

Job purposeThe BGC Records Analyst I is an entry-level position that serves as a research specialist for select databases used to conduct Background Check searches. This role requires integrity and dependability when handling confidential, sensitive information: an ethical disposition is mandatory. This role must display a high attention to detail and must be willing to adapt to ongoing regulation and/or departmental changes or updates.

Essential Duties and Responsibilities

Performs Background Check searches and data retrieval via select databases, including but not limited to, county, state and federal systems
Sorts and reviews Background Check records to determine standards for reportability
Analyzes data appropriately while following strict compliance procedures and adhering to quality standards
Ability to learn, process and retain complex information related to background research and screening
Prepares accurate and grammatically correct reports; summarizes the data collected from research
Handles personal identifying information responsibly and keeps confidential information private
Maintains daily performance levels that meet or exceed the established standards for the department
Protects applicant and customer information in accordance with internal policy and procedures
Other duties as assigned

Position Type / Expected Hours of Work
This is a full time (35-40 hours per week) IN OFFICE position. Office hours are Monday through Thursday 8:00-5:00, and Friday 8:00-3:00.

Work Experience Requirements

Excellent verbal and written communication skills; strong interpersonal skills to build relationships
Experience researching public information accessible via the internet is preferred
Ability to work independently while in support of the department team as a whole
Experience working with sensitive and confidential data
Ability to handle and keep in confidence all Confidential Information
Strong Computer Literacy
G-Suite proficiency is preferred
Ability to navigate quickly between multiple windows
Positive attitude with a self-driven sense of urgency

Job Type: Full-time

Pay: $17.00 per hour

Benefits:

Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Ability to commute/relocate:

Fort Worth, TX 76114: Reliably commute or planning to relocate before starting work (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Payroll & Business Analyst (In-Office),Mowi USA,"Arlington, TX",-1,-1.0,"Summary

The Payroll & Business Analystwill lead the payroll process for Mowi USA business unit. Will be responsible for processing payroll, providing technical aid and supporting process improvement for Human Resources. The Payroll & Business Analyst will establish the developing of automated payroll processes: increasing payroll functionality, preparing monthly reports and managing payroll functions. Will also be in charge of preparing monthly payroll accrual, assisting with general accounting tasks and the monthly close process. The Payroll & Business Analyst will develop a robust understanding of all business unit regulatory standards, in order to ensure governance and compliance.

Responsibilities

Ensure payroll is processed timely and accurately.
Enter weekly payroll changes (not processed through self-service and HR processes). Audit the payroll register to ensure changes were captured and payroll is accurate.
Develop strong relationships with HR, through partnering with the team and assisting in process improvement related to HR functions and payroll systems. Provide excellent customer service to Mowi employees.
Support HR in the development of resources within Workforce Now, including: recruitment, employee goals and appraisals, reporting and analytical resources.
Provide support in the development of electronic employee files, including: assistance with self-audits and recommendations for improvements.
Support continued development of Workforce Now to provide improved self-service experience and increase self-service use.
Lead annual benefit and compliance reporting and audit processes, including: 401k audit, workers compensation audit, Self-Insured Medical Plan audit, 1095 review, EEO1 filing, etc.
Process weekly 401k contribution upload and reconcile payroll and 401k data.
Manage all garnishments, deductions, and Paid Time Off (PTO) balances in ADP Workforce Now.
Manage ACA compliance within Workforce Now.
Maintain knowledge of trends, best practices, regulatory changes, and new technologies in payroll.
Assist with the maintenance of fixed assets including processing additions, dispositions and running monthly depreciation.
Reconcile bank accounts including checking, payroll and lockbox accounts.
Perform other duties as assigned.

Qualifications and Skills

Excellent verbal and written communication skills.
Outstanding interpersonal, negotiation, and conflict resolution skills.
·Excellent organizational skills and attention to detail.
Strong analytical and problem-solving skills.
Ability to prioritize tasks and to delegate them when appropriate.
Ability to act with integrity, professionalism, and confidentiality.
Experience using ADP Workforce Now preferred.
Must possess thorough knowledge of employment-related laws and regulations.
Proficient with Microsoft Office Suite.
Ability to develop strong trusting relationships, in order to gain support and achieve results, within a diverse group of employees, ranging from a field environment to a corporate setting.
Flexibility and ability to interact with employees at all levels.

Education:

Bachelor’s Degree in Accounting, Business Administration or related field preferred.
Minimum 5 years’ of experience in a corporate environment preferred.
Minimum 5 years’ of experience in Payroll preferred.

**All requirements and skills are considered to be essential, unless otherwise indicated.**

**Mowi is an Equal Opportunity Employer**

The above job description is not an all-encompassing list of duties and responsibilities required of the employee for this job. Duties and responsibilities may change without notice.

Mowi is a Drugfree Workplace.

**Mowi does not accept recruiting agency resumes. Please do not forward resumes to our jobs alias, Mowi employees or any other company location. Mowi is not responsible for any fees related to unsolicited resumes**

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday
Weekends as needed

Work setting:

Office

Application Question(s):

Are you able/willing to work from one of the locations listed: Miami, FL/Belfast, MN/Arlington, TX?

Education:

Bachelor's (Preferred)

Experience:

Payroll management: 2 years (Preferred)
Business analysis: 2 years (Preferred)
Data analytics: 2 years (Preferred)
Project management: 2 years (Preferred)
ADP: 2 years (Preferred)
Microsoft Excel: 2 years (Preferred)

Willingness to travel:

50% (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Division Business Analyst / Strategic Analyst,"Lennar Homes
","Irving, TX",$79K - $116K (Glassdoor est.),3.6,"Overview:

Welcome Home! Build your career with Lennar:

As one of the nation’s largest builders, Lennar has built over one million new homes for families across America. Since 1954, our communities have catered to all lifestyles and family dynamics, whether you are a first-time or move-up buyer, multigenerational family, or active adult.

At Lennar, Everything’s Included in our homes, and Everyone’s Included on our team. Our Everyone’s Included vision is to be as inclusive and diverse as the communities we build unleashing the power of diversity within our workforce to drive innovation & sustainable growth.

Lennar's Core Values:
Our commitment to Quality, Value, and Integrity is the underlying foundation upon which Lennar was built, and these three fundamental principles still guide us in caring for our customers, associates, trade partners, shareholders, and community.

The Division Business Analyst is responsible for analyzing reports and models, reviewing financials, and data mining to formulate and deliver fact-based pricing strategies to division leadership. This position will work closely with various department to understand factors impacting the pricing and selling process to develop and implement strategic solutions that drive key operational metrics focused on improving financial results. The Division Business Analyst must possess the intellectual curiosity to actively seek out new areas of potential improvement and drill into the details to find the root cause of a problem, which requires the willingness to question results and assumptions, and an internal drive for continuous improvement.
Responsibilities:
Manage overall pricing process including providing recommendations and obtaining approvals on home-by-home pricing and release order and communicating results across the sales organization.
Recommend price adjustments to Management based on an analysis of historical sales trends, current and future market conditions and the overall market supply and demand dynamic.
Collaborate with Division lines of business to develop a deep understanding of the process, strategies and Key Performance Indicators (KPIs) that influence top line Revenue growth.
Provide revenue management functional expertise and leadership to management team and market sales leaders.
Provide an objective point of view to complex business and issues based on a deep understanding of data and analytics as well as business principals.
Regularly translate data, insights, and forecasts into actionable and relevant recommendations by utilizing visualization and/or data analysis tools, presentations and other means to effectively communicate clear and concise recommendations to senior division leadership.
Track, create, maintain, and analyze data.
Develop new skills, techniques, and statistical models for predicting future operational results, costs and key performance metrics.
Consolidate, prepare, and analyze operational data to understand cause and effect relationships and identify and share root causes.
Oversee day-to-day implementation and analysis of the different initiatives.

#CB #LI-VR1

Qualifications:
Education and Experience Requirement:
Bachelor’s Degree in related field (business, finance, etc) preferred.
MBA would be helpful.
2 years as a Revenue and/or Pricing Manager, Business analyst or comparable experience preferred.
Experience in the homebuilding industry would be helpful.
Experience with business software preferred (Salesforce, JDE, Business Intelligence)
Microsoft Office skills (Word, PowerPoint, Excel, etc.)

Physical Requirements:
This is primarily a sedentary office position which requires the ability to work in excess of eight hours per day in the confined quarters of an office. Also requires the ability bend, stoop, reach, lift, move and/or carry items less than 25 pounds. Finger dexterity in operating a computer keyboard and calculator. Requires sitting at a computer monitor for extended periods of time, completing paperwork and to receive/return phone messages.


Additional Requirements:
Demonstrates skills and experience developing and performing quantitative analysis which may include financial and/or statistical modeling.
Experience presenting to and communicating with Executives.
Strong oral, written, listening and presentation skills with a demonstrated ability to effectively communicate in business terms using simple, concise and relatable examples.
Strong quantitative and analytical foundation with the ability to translate data into actionable and relevant insights and answers to questions.
Engages and establish cooperative working relationships with Associates at various lines of business.
Ability to adapt thinking based on new points of view and/or changes in operating environments.
Ability to handle multiple projects simultaneously, delegate work and provide leadership across functions.
Prioritize and plan work activities, use time efficiently, set goals and objectives and develop realistic action plans.
Think critically to identify and resolve problems in a timely manner, gather and analyze information skillfully, develop alternative solutions and work well in group problem solving situations.
Demonstrate accuracy and thoroughness, look for ways to improve and promote quality, apply feedback to improve performance and monitor own work to ensure quality.
This position outlines the basic tasks and requirements for the position noted. It is not a comprehensive listing of all job duties of the Associates. Duties, responsibilities and activities may change at any time with or without notice.

Lennar is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices and laws.
Type: Regular Full-Time",1954,Real Estate,$5 to $10 billion (USD),Real Estate,5001 to 10000 Employees,Company - Public,False
Financial Data Analyst,"Wheeler Staffing Partners
","Irving, TX",$95K - $120K (Employer est.),4.2,"Wheeler Staffing Partners is hiring a Financial Data Analyst with an automotive client’s corporate office in Irving, TX. The Data Analyst will join the Data and Analytics group and play a key role in promoting data-driven decision-making while providing valuable insights into business performance and trends through the evaluation of extensive datasets. This role primarily involves creating dashboards and data visualizations, conducting ad-hoc data analysis, and preparing essential materials for Senior Management, as well as field and corporate support teams. This is an on-site role, reporting to the Irving office Mon-Fri.

Financial Data Analyst Job Responsibilities:

Supports database architecture by identifying sources of information, assembling, verifying and backing-up data.
Builds and maintains data pipelines, dashboards, and data visualizations.
Provides quality assurance of incoming data and associated deliverables.
Assists in the preparation of financial and operational reports by collecting, formatting, and analyzing information to help identify business and process improvement opportunities.
Supports Data and Analytics leadership’s work collaborating across the organization to define key performance indicators (KPI’s) and build dashboards that support ongoing reporting and analysis of business results.
Conducts ad-hoc analysis to assist in decision making for executive management.
Works in a team-based setting to provide financial and operational value-add reports for utilization by executive and field management.
Runs queries, identifies relevant insights, and compiles reporting and analytics output for presentation to upper management.
Collects, organizes, analyzes, and disseminates significant amounts of information with attention to detail and accuracy through the use of SQL/SSRS reporting.
Works cross-functionally to identify, report, and fix data quality issues using sustainable and best practice tools and processes.
Other responsibilities may include improving current methods used in the collection of data from other parts of the company while retaining the essential integrity and security of the information collected.

Financial Data Analyst Job Requirements:

Bachelor’s degree in Data Science, Economics, Finance, Accounting, or Computer Science with a focus in quantitative methodologies.
3-4 years of proven experience as a Data Analyst or Business Data Analyst (Finance and Accounting experience a plus).
Must be willing to work onsite
Advanced proficiency in PowerBI, including building and maintaining dashboards.
Advanced proficiency in SQL.
Experience with R and/or Python.
Experience writing and managing stored procedures, views, and functions, that rely heavily on analytics functions.
Advanced proficiency with MS Excel (Macros, VBA, V-Lookup, Pivot Tables, etc.).
Proficiency with accounting platforms.
Knowledge of GAAP.
Excellent analytical and problem-solving skills.
Ability to manage and prioritize multiple assignments in a fast paced, deadline driven work environment.
Strong math and statistical skills
Team mentality, perseverance, time management and strong prioritization skills

WSP specializes in filling your company’s contract, contract-to-hire, direct hire, contingency, and executive positions with professional candidates. From our Executive Retained Search Teams, Direct Hire and Contract Staffing Professionals, and RPO Service offerings we create models to deliver a world-class service, with a sense of urgency and professionalism. Our connections and our candidates combined with a staff backed by over 20 years of experience, ensure that our clients are seeing the right candidates for their career openings.

WSP is committed to creating a diverse environment and is proud to be an equal opportunity employer.

Job Type: Full-time

Pay: $95,000.00 - $120,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance

Work Location: In person",2014,HR Consulting,$5 to $25 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
Business Data Analyst,"Unitek
","Coppell, TX",$64K - $89K (Glassdoor est.),2.2,"Create reports and dashboards from Power BI that tell a concise story for company leaders
Generate ad-hoc reporting requests from the local or field offices and be able to provide timely and accurate analysis
Ability to efficiently analyze complex data and provide accurate, actionable reporting
Generates complex queries and reports; performing specialized analysis of employee data
Support special projects as assigned
Preparation of statistical reporting
Advanced knowledge of Microsoft Excel (using multiple sheets and workbooks, logical operators, creating charts and pivot tables)
Proficient MS Power Platform: Power BI, PowerQuery and DAX language
Proficient with SQL
Understanding of relational databases
Experience with data manipulation and analysis
Requires excellent attention to detail and must be a proven problem solver

Education:

College degree in Data Science, Business Intelligence/Analytics, Finance, Economics, Mathematics, or similar

Experience :

Minimum of 5 years’ experience analyzing and reporting data (data and financial analysis)

Experience level:

3 years

Work Location: In person",2004,Telecommunications Services,$100 to $500 million (USD),Telecommunications,1001 to 5000 Employees,Company - Public,True
Senior Data Analyst,"Wheeler Staffing Partners
","Irving, TX",$135K (Employer est.),4.2,"Wheeler Staffing Partners is hiring a Senior Data Analystin Irving, TX. As a member of the Data and Analytics team, the Sr. Data Analyst role will contribute to the success in both the daily operations and long-term strategy of the organization’s data assets. The optimal candidate brings a business-centric mindset to data analysis efforts and has a track record of being a growth enabler.

Responsibilities:

· Performing analysis to assess the quality and meaning of data.

· Filter Data by reviewing reports and performance indicators to identify and correct code problems.

· Identify, Analyze, and Interpret patterns and trends in data sets could be helpful for the diagnosis and correction.

· Develop data quality monitoring practice scope and capabilities.

· Assist in the design of processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.

· Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications, and devise data governance strategies.

· Building Power BI reports for the management stating trends, patterns, and predictions using relevant data.

· Collaborate with data engineers and business teams to improve data models that feed Power BI and increase data accessibility.

· Actively seek out and generate new and innovative ways to retrieve, visualize and analyze data across a variety of operational, geological, and financial data sources

· Working with data engineers and various business users to identify process improvement opportunities and propose system modifications.

· Lead business requirement sessions with stakeholders eliciting clear and comprehensive requirements for system features and enhancements.

· Take lead in Data Cataloging, Lineage, Security and Controls for entire data marketplace.

· Develop and execute SQL scripts to test data conversions and perform ad-hoc analysis.

· Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends.

· Gain Domain Knowledge and conduct end user training.

· Removing corrupted data and fixing coding errors and related problems

· Identify, address and document areas for process improvement and automation in our data flows.

Qualifications:

· Mastery in converting raw data into valuable datasets.

· Excellent prioritization skills

· Excellent problem solving and troubleshooting skills.

· Process oriented with great documentation skills.

· Financial industry exposure would be nice to have since this would really help when talking to our business stakeholders.

· Excellent oral and written communication skills with a keen sense of customer service

· BS or MS degree in Computer Science or a related field

· 8+ years of data analysis experience and strong experience writing complex queries.

· 4+ years of data management experience

· 3+ years of experience in Azure environment.

· 2+ years of experience in Enterprise Data Governance

WSP specializes in filling your company’s contract, contract-to-hire, direct hire, contingency, and executive positions with professional candidates. From our Executive Retained Search Teams, Direct Hire and Contract Staffing Professionals, and RPO Service offerings we create models to deliver a world-class service, with a sense of urgency and professionalism. Our connections and our candidates combined with a staff backed by over 20 years of experience, ensure that our clients are seeing the right candidates for their career openings.

WSP is committed to creating a diverse environment and is proud to be an equal opportunity employer.

Job Type: Full-time

Pay: From $135,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance

Compensation package:

Bonus opportunities

Work Location: In person",2014,HR Consulting,$5 to $25 million (USD),Human Resources & Staffing,201 to 500 Employees,Company - Private,True
Business Analyst,"Klein Tools
","Mansfield, TX",$62K - $85K (Glassdoor est.),3.9,"Klein Tools is a dynamic, fast-paced and results driven company dedicated to launching hundreds of innovative products each year. Are you ready to make an impact?

Perks for you include:

Paid Vacations & Holidays
Profit Sharing & Matching 401(k)
Health Insurance (Medical, Vision, & Dental)
Discounts on Klein Tools products
Education and Professional Development Assistance
The Business Analyst will bring to the table a strong analytical mindset, communication finesse, and a demonstrated ability of translating a wide range of data inputs into actionable information. This role presents a unique opportunity to collaborate directly with the President and shape the fabric of strategic decision‐making.
1. Collaborate closely with the President to support critical day‐to‐day analytical and tactical follow through needs.
2. Conduct market research, assess data, and develop insights into market trends and pricing strategies.
3. Provides analysis of revenue, market share, and competitor activity to develop optimal market strategies.
4. Conduct elasticity of demand analysis to optimize pricing decisions.
5. Identify opportunities to maximize profitability while maintaining competitiveness.
6. Apply advanced data analysis techniques to extract actionable insights, spot trends, and empower data‐driven decision‐making. Expertly employ sophisticated tools to manipulate and effectively present data.
7. Collaborate with cross‐functional teams to facilitate project planning, monitoring, and tracking, ensuring punctual and precision‐driven project delivery.
8. Assist with the creation of reports and presentations as needed by the President & COO.
9. Maintain a database of historical pricing data to monitor and evaluate the effectiveness of pricing and guide pricing decisions.
10. Develop an intuitive understanding of the marketplace via hands‐on field work with both end users and distributors.
11. Perform all other duties as assigned.
Bachelor's degree in Business Administration, or STEM related field. One (1) to three (3) years in a Business Analyst role or equivalent. Strong analytical skills for translating a variety of data inputs into actionable insights. Proficiency in data analysis, data visualization, and tools such as Excel, SQL, Tableau, or Power BI. High proficiency with Excel is a must. Effective written and verbal communication skills for clear, concise documentation. Detail‐oriented mindset committed to delivering high‐quality work. Self‐starter mentality. Problem‐solving aptitude for identifying issues and proposing solutions. Econometrics and/or quantitative market research familiarity a plus.

#KleinHP

Your main focus:

Quality
Customer Obsession
Innovation
Ownership
Teamwork
Klein Tools is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status. For candidates with disabilities and needing assistance, please email us at hr@kleintools.com.",1857,Consumer Product Manufacturing,$5 to $25 million (USD),Manufacturing,1001 to 5000 Employees,Company - Private,True
