Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst BCBA LBA,Technology Enhanced Learning & Living (TELL) Enterprises,"Austin, TX",$55.00 Per Hour (Employer est.),-1.0,"BCBA-Board Certified Behavior Analyst
BCBA LBA

Technology Enhanced Learning and Living (TELL Therapy), a woman clinician-owned therapy center in central Austin, was created in response to the needs of adults with disabilities in Central Texas.

This unique position offers the opportunity to work approximately 30 hours per week, 10 hours with each of 3 clients in the south Austin area. This is an intense, in-person intervention, ideal for the skilled therapist but with ample training for those without previous adult experience.

An innovator from its inception, TELL's mission is driven by its belief in equality in access for all individuals with disabilities, regardless of age. Our behavior professionals are experts in their fields, working collaboratively to support and learn from each other and bring our clients the highest level of therapeutic services.

For over a decade we have been leaders in the field. Ours is one of the first ABA clinics in our community dedicated to meeting the needs of adults with disabilities by providing direct, 1-1 behavior therapy.

At our boutique clinic you will find unparalleled training and growth opportunities, an array of benefits and leadership opportunities. Our bespoke work environment allows our team members to become both mentors to others and a driving force in the community of clinicians who serve and enhance the lives of older Texans with disabilities.

Our team of dedicated speech and behavior professionals work in tandem to meet the needs of this vulnerable group of individuals.

You will have full agency over your professional learning plan, helping you to become a leading authority in ABA service delivery. There is the opportunity to add additional hours as well.

Our clinic offers you a competitive hourly rate, an array of benefits, professional growth, leadership and career expansion.

Leadership advancement is available for an individual with a thorough knowledge of the Medicaid waiver programs and strong writing skills.

Essential Job Functions*

*Reimbursable activities are based on information from the Texas Health and Human Services Commission (HHSC).

Develop and Implement Behavior Support Plans (70%)

* meet with clients, family members and their support staff

* analyze data to determine when, where and the function of problem behaviors

* define behaviors in measurable terms... both those to reduce and replacement behaviors to increase .. and develop measurement/tracking tools

* develop and provide specialized positive behavioral interventions

* develop and demonstrate successful strategies to integrate the behavior support plan into home and community settings

Training (20%)

* meet with parents, attendants, center support staff and others in our client's lives to provide them with the skills necessary to build fluency in the implementation of the BSP

* work with each client's team to design and cross-train in BSP and crisis intervention strategies

* participate in scheduled staffing or other meetings

Organize and Maintain Records (10%)

* maintain up to date client files

* write and submit timely notes and other documents

Competencies

1 currently licensed or certified as a BCBA or LBA

2 able to communicate effectively in person and in writing

CPR required when hired.

A flexible schedule

Reimbursement includes generous hourly rate, paid CEU's and a signing bonus.

Email Jamie with resume/CV & cover letter.

Technology Enhanced Learning & Living (TELL) Enterprises provided the following inclusive hiring information:

We are an equal opportunity employer and considers all qualified applicants equally without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, or disability status.

Job Type: Full-time

Pay: Up to $55.00 per hour

Expected hours: 25 – 35 per week

Benefits:

Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Paid time off
Professional development assistance
Tuition reimbursement
Vision insurance

Compensation package:

Signing bonus

Schedule:

8 hour shift
Day shift
Monday to Friday

COVID-19 considerations:
Our clients and staff are asked to wear masks. Hand-washing and social distancing are maintained. Offices are sanitized with UV lights daily,

Ability to commute/relocate:

Austin, TX 78752: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA/LBA license (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
FP&A Analyst,"Blue Cardinal Home Services, LLC.","Burke, TX",-1,-1.0,"Hello candidate!

Blue Cardinal Home Services Group is seeking a FP&A Analyst! This individual is someone with high energy and a team player who will help assist in our Accounting Department.

This position will be a 90-120 contract that could turn into a full time position.

We are so excited that you have shown interest in becoming part of our team at Blue Cardinal!

KEY COMPETENCIE:

o Experience in financial modeling, budgeting, and reporting.

o Ability to understand business models and form links to financial implications.

o High attention to detail with exceptional eye for data and reporting accuracy.

o Ability to reconcile source data with financial reports to ensure accuracy and completeness.

o Familiarity with financial management and accounting concepts.

o Ability to retrieve, sort, report and analyze data from various financial and operational systems.

o Advanced Proficiency in Microsoft Excel including the ability to convert large datasets accurately and efficiently into compelling outputs for decision-making by the business.

o Strong analytical experience with a comprehensive understanding of the three financial statements (income statement, cash flow, and balance sheet)

o Deep curiosity and desire to leverage disparate datasets to identify new strategic insights and tell compelling stories

QUALIFICATIONS:

o Bachelor’s degree in Finance, Accounting, Business or data-oriented field.

o 2+ years of experience in Finance or data-oriented business role.

o Experience in business unit FP&A or Corporate FP&A preferred; open to high-performing Big 4 talent or other relevant business experience.

o Advanced Microsoft Excel skill required.

o Experience with integrated ERP systems is required and Sage/Intacct preferred.

Thanks,

Human Resources

Job Type: Contract

Pay: $1.00 - $2.00 per year

Physical setting:

Office

Schedule:

Monday to Friday

Ability to commute/relocate:

Burke, TX: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Do you have a Bachelor's Degree in Accounting?

Experience:

general ledger & financial reporting: 5 years (Required)
FP&A: 3 years (Required)

License/Certification:

CPA License (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),"Behavior Keys
","San Antonio, TX",,4.1,"About us

Behavior Keys has been a fixture in San Antonio, TX since 1995, and we pride ourselves on delivering excellent services. We are customer-centric, supportive, collaborative and our goal is to embrace a "" total individual"" philosophy. At Behavior Keys, we realize every person is unique. We work with families and stakeholders to develop client-centered objectives that build on strengths, while allowing for difference and learning styles. Our approach is engaging, challenging and responsive to ongoing development .

Our work environment includes:

Relaxed atmosphere, good work/life balance

Responsibilities:
- Conduct assessments to identify the needs and goals of individuals with developmental disabilities, particularly those with autism spectrum disorders.
- Develop and implement individualized behavior intervention plans based on assessment results and client needs.
- Provide direct behavioral therapy services to clients, including teaching new skills, reducing problem behaviors, and promoting independence.
- Collect and analyze data on client progress and behavior to inform treatment decisions.
- Collaborate with other professionals, such as speech therapists and occupational therapists, to ensure coordinated care for clients.
- Train and supervise behavior technicians or other support staff working with clients.
- Provide ongoing support and training to parents and caregivers on implementing behavior strategies at home.

Skills:
- Board Certification as a Behavior Analyst (BCBA) or eligibility for certification.
- Experience working with children or individuals with special needs, particularly those with autism spectrum disorders.
- Knowledge of applied behavior analysis (ABA) principles and techniques.
- Strong assessment and data collection skills.
- Excellent communication and interpersonal skills to collaborate with clients, families, and other professionals.
- Ability to develop and implement individualized behavior intervention plans.
- Strong problem-solving skills to address challenging behaviors effectively.

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties as negotiated to meet the ongoing needs of the organization.

Job Types: Part-time, Full-time

Pay: $65,000.00 - $75,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Vision insurance

Medical specialties:

Pediatrics

Schedule:

Monday to Friday

Ability to commute/relocate:

San Antonio, TX: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

Board Certified Behavior Analysis degree (BCBA) (Required)

Work Location: In person",1999,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,1 to 50 Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA),San Antonio Autism Center,"San Antonio, TX",$85K - $100K (Employer est.),-1.0,"BCBA Job Description

Criteria for Employment:

Minimum age of 21-years, U.S. citizen or licensed to work in U.S.

Pass Background check

Valid Driver’s License

Required Education/Certification:

Master’s Degree in Applied Behavior Analysis, Special Ed, Psychology, or Related Field

BACB Certification

LBA License in Colorado

Experience:

Minimum 1 year experience of overseeing and providing feedback and support to behavior technicians (RBT, BT, BI, etc.) and writing treatment plans

Staff Status: Non-Exempt.

Reports To: Clinic Director

Directly Manages: RBTs

Overview of Position:

As a BCBA you’ll have access to clinical support, and will provide intensive treatment for children and adolescents, with ASD. Many of the services involve providing Early Intensive Behavioral Intervention for young children, conducting Functional Behavior Assessments, and developing Behavior Intervention Plans.

Essential Functions, Duties, & Responsibilities:

Conduct assessments and complete intake procedures and on-boarding for new clients
Analyze, graph, and score assessments for all current clients
Develop treatment plans and programs to reach outcome goals
Monitor and review implementation of intervention
Analyze data collection, documentation, and progress for all clients
Provide family guidance for clients to help develop families’ skills for implementing interventions with their children
Provide ongoing supervision for registered behavior technicians
Collaborate with other service providers
Follow company practices and policies for BCBAs, including participating in required trainings
Document service appointments according to company policies and insurance requirements
Demonstrate ability to adapt to changes in schedule and environment

Training Requirements

Employees are required to successfully complete the following (Failure to successfully complete these trainings will jeopardize employment at NAC):

8-hour Supervision Course
New Staff Orientation
CPR/BLS Training
Positive Behavior Intervention and Supports (PBIS)
HIPAA/HITECH/FERPA Training
Mandated Reporter Training
Data Collection
Ethics
Company Software/Systems

Knowledge, Skills & Abilities:

Knowledge of current research and best evidence-based practice within the field
Strong oral and written communication skills

Benefits:

401K Benefits will be offered to you starting after 180 days of employment.
Medical, Dental, Vision and Life Insurance eligibility after 60 days of employment.
Paid Holidays, PTO Eligibility after 60-days.

Work Hours:

Full-Time, Part-Time

Work Environment:

Primarily center based, some home and community setting services.

Physical Requirements:

The following may be required to perform job requirements with fidelity: alternate sitting, standing, lifting, carrying, reaching overhead, reaching below shoulder level, Keyboarding, kneeling, crawling, speaking, hearing, near & far visual acuity.

CAC is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. In addition to federal law requirements, complies with applicable state and local laws governing nondiscrimination in employment. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.

Colorado Autism Center is a new and quickly growing company in Colorado. We desire to provide a variety of services to individuals on the autism spectrum including 1:1 ABA, social skills, life skills and much more. Our desire is to create an environment where individuals want to come and be a part of what we offer, both as staff and clients. If you are interested in changing the lives of those you meet and helping individuals to grow their social, life and educational skills, apply today and we look forward to meeting you!

Job Types: Full-time, Part-time

Salary: $90,000.00 - $110,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance

Medical specialties:

Pediatrics

Schedule:

4 hour shift
8 hour shift
Day shift
Evening shift
Monday to Friday

Ability to commute/relocate:

Colorado Springs, CO 80920: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA (Required)

Willingness to travel:

25% (Preferred)

Work Location: One location

Job Types: Part-time, Full-time

Pay: $85,000.00 - $100,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Vision insurance

Medical specialties:

Pediatrics

Schedule:

4 hour shift
8 hour shift
Day shift
Evening shift
Monday to Friday

Ability to commute/relocate:

Colorado Springs, CO 80920: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA (Required)

Willingness to travel:

25% (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Senior Construction Analyst,N3 Luxury Living,"Grand Prairie, TX",$90K - $125K (Employer est.),-1.0,"RESPONSIBILITIESJob description

N3 Luxury Living is searching for a Senior Construction Analyst for our growing luxury living multi-family. property development company

RESPONSIBILITIES:
-Analyzes, tracks, monitors, and prepares reporting on project budgets and actual expenses and costs.
-Provides reporting on variances and risk exposure, develops and presents solutions and action plans.
- Tracks all subcontractor and supplier compliance to contracts from a financial/risk perspective.
- Manages lien notices.
- Conducts studies that involve compiling data, analyzing results, preparing and maintaining documentation, and proposing/implementing recommendations.
- Works on multiple projects concurrently, often with competing priority levels.
- Analyzes data, performs trend analysis, and communicates data variances.

WE SEEK:
- Strong organizationaland time management skills.
- Excellent communication and interpersonal skills. - Builds relationships and effectively interfaces with internal/external customers.
- Well organized and detail-oriented.
- Works well in a fast-paced environment
- Self-started who works well with a team and is highly self-motivated and goal oriented.
- Proven ability to work independently.
- Manages multiple project. - Adapts and exhibits flexibility with changing priorities. - Solution-oriented, identifies and recommends resolutions using analytical skills. - Exhibits sound judgment. - Proficient in Microsoft Office. - Proficient in Construction processes. - Prior experience with Sage 300 (Timberline), preferred.
- Minimum five (5)+ years of contruction or related experience, required.
- Bachelors degree in Accounting or Finance, required.

Send your resume with salary expectations. We offer a great work environment, competitive compensation, benefits (medical, dental, vision, supplemental benefits), vacation, sick time, company trips, 401k, pension, and employee. discount EOE

Job Type: Full-time

Pay: $90,000.00 - $125,000.00 per year

Benefits:

Employee discount
Flexible spending account
Paid time off
Tuition reimbursement

Schedule:

8 hour shift

Supplemental pay types:

Bonus opportunities

Experience:

Construction: 5 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),"Help, Hope, Solutions LLC
","Plano, TX",$70K - $75K (Employer est.),3.1,"Help, Hope, Solutions: BCBA

Job Type: Full-time
Location: Plano, Texas
Salary: $70,000 - $75,000/year

Organization Overview:
Help, Hope, Solutions provides ABA therapy for children and adolescents on the autism spectrum. We use a unique approach and all individualized programming and goals to ensure the most effective treatment outcomes for our clients. The company embraces a supportive and collaborative environment, and we host staff events to encourage team bonding and promote a motivating and positive work environment!

Position Summary:
The BCBA will have the responsibility of maintaining a caseload of clients and RBT’s to oversee. BCBA’s will be under the direct supervision of the Clinical and Executive VPs and will serve as the point of contact for all RBT’s, Team leads, parents and clients on their caseload.

Responsibilities and Duties:

o Complete Assessments, Reassessments, and treatment plans

o Design individual intervention plans based on assessment outcomes

o Design effective behavior intervention plans to decrease maladaptive behaviors.

o Analyze data, trends, graphs as directly related to client progress

o Monitor treatment progress

o Provide Parent training/collaboration

o Collaborate with ST, OT and PT

o Supervise own caseload of clients and RBT’s

o Train and checklist staff weekly

o Fulfill average weekly billable requirements

o Fulfills documentation in observations, checklists, supervision forms, and maintenance of clients’ folders

Qualifications and Experience:

BCBA is required to:

o Be a BCBA in good standing with the Behavior Analyst Certification Board (BACB)

o Professional communication skills with both the staff and the parents or guardians

o Current state licensure from the Texas Department of Licensure and Regulations (or ability to be licensed through their agency).

o Excellent interpersonal, written, and verbal communication skills.

o Independently and efficiently manage, and organize responsibilities related to maintaining client caseload.

o Implement critical thinking and clinical evaluation in designing, testing, and implementing behavior procedures.

o Child development experience preferred

Company Benefits:

o BCBA & Privately Owned Company!

o Eligible for Health Insurance after 90 days of employment

o Eligible for Dental & Vision Insurance after 60 days of employment

o Retirement Plan | 401k Matching (Fidelity)

o Generous PTO & Paid Holidays

o Above Market Salaries for Qualified and Experienced BCBA’s

o Performance Based Bonuses

o Company Paid Licensure Renewal & 8-Hour Supervision Training

o Paid CEUs

o Professional Liability Insurance Provided

o Credentialing with Insurance Companies

o Coaching and Mentorship with Exceptionally Seasoned BCBA’s

o Paid Parental Leave

o Work From Home Flexibility Dependent on Competency Level

Pre-Employment Screening:

o We are a child-focused and insurance credentialed company; therefore, employment is dependent on the results of a criminal background check (Federal, State, and County), the results of a pre-employment drug screening, and the verification of two employment references.

Classification:

o Employee, Salaried – Exempt

Physical Demands: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions: While performing the duties of this job, the employee is frequently required to stand; walk; sit; use hands to pick up, handle, or feel; reach with hands and arms; climb or balance; stoop, kneel, crouch, or crawl; and talk and hear. The employee must frequently lift and/or move up to 25 pounds.

Equal Opportunity Employment: It is the policy of Help, Hope, Solutions to provide equal employment opportunity to all employees and applicants for employment and not to discriminate on any basis prohibited by law, including race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, or other non-merit-based factors. These protections extend to all management practices and decisions, including recruitment and hiring practices, appraisal systems, promotions, and training and career development programs.

Job Type: Full-time

Pay: $70,000.00 - $75,000.00 per year

Benefits:

401(k) matching
Dental insurance
Health insurance
Paid time off
Parental leave
Vision insurance

Medical specialties:

Pediatrics

Schedule:

8 hour shift
Monday to Friday

Education:

Master's (Required)

License/Certification:

BCBA Certification (Required)

Work Location: In person",-1,-1,Less than $1 million (USD),-1,1 to 50 Employees,Unknown,True
CRM & Data Analyst,"Shoppa's Farm Supply
","East Bernard, TX",$65K - $75K (Employer est.),3.6,"Position Overview:
Shoppa’s John Deere is seeking an experienced CRM & Data Analyst to join our team. This role requires in-depth knowledge of Microsoft Dynamics will oversee system configuration, customization, and testing, while also providing training and user support. You will generate insights by using analytics techniques such as advanced data visualization, statistical analysis, randomized testing, predictive modeling, forecasting, and optimization.

Key Responsibilities:

· Provide support in the development, implementation and operational support for our new MS Dynamics 365 Sales and Marketing platform and other related systems.

· Ability to customize and configure MS Dynamics 365 Sales to meet specific business requirements, including creating custom fields, entities, workflows, and business process flows.

· Collaborate with management to seamlessly integrate data sources to generate reports, dashboards, and analytics within MS Dynamics 365 Sales to provide insights into sales performance, pipeline management, and forecasting by using Business Intelligence tools like Tableau, PowerBI and MS Dynamics CRM Analytics.

· Assist in training and support to CRM users, including onboarding new users, conducting training sessions, and addressing user inquiries and issues related to MS Dynamics.

· Assist with gathering/analyzing data from additional data platforms internally and within John Deere brand to identify growth opportunities in all departments by identifying new customers and enhancing current customer experiences.

· Applies analytical techniques to prospect for business insights and find patterns in data which could be valuable for dealership growth.

· Leverages technology to streamline sales and marketing processes and implement improvements to enhance productivity and efficiency.

Experience, Education, Skills and Knowledge:

· 2+ years experience with MS Dynamics 365 Sales and Marketing platform customization and configuration, including knowledge of its features and functionality specific to sales and marketing processes.

· 1+ year(s) background or proven experience in mining data for analytics insights.

· 1+ year(s) exposure/knowledge to statistical tools such as Microsoft Power BI, Power Automate, Power Apps, Tableau, R, Phyton, SAS.

· Experience and knowledge to automate processes, design and build forms, customize system components in a D365 Sales environment.

· Direct experience with data entry, cleansing, import/export, and quality control, ensuring accuracy and completeness of CRM data related to leads, contacts, accounts, opportunities, and projects.

· Functional understanding of CRM systems and experience identifying and developing audience segmentation and key customer engagement processes

· Proficiency in analyzing large datasets and deriving actionable insights to drive marketing strategies.

· Familiarity with tracking tools and platforms such as Google Analytics, Adobe Analytics, social media analytics tools, and marketing automation systems.

Job Type: Full-time

Pay: $65,000.00 - $75,000.00 per year

Benefits:

401(k)
401(k) 4% Match
401(k) matching
Dental insurance
Dependent health insurance coverage
Disability insurance
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Vision insurance
Work from home

Compensation package:

Yearly pay

Experience level:

2 years

Schedule:

8 hour shift

Experience:

SQL: 2 years (Preferred)

Work Location: Hybrid remote in East Bernard, TX 77435",1981,Commercial Equipment Services,$100 to $500 million (USD),"Construction, Repair & Maintenance Services",201 to 500 Employees,Company - Private,True
Manufacturing Data Analyst,"Senox Corporation
","Austin, TX",$65K (Employer est.),3.7,"Are you looking to join a company who is dedicated to its employees and customers? Are you searching for an organization that has committed itself to remaining a debt free family owned and operated business? Let’s face it, are you looking for your career? Then Senox could just be where you call home.

Senox has a new opening for a Manufacturing Data Analyst to join our Procurement Department.

The Manufacturing Data Analyst will work closely with the procurement and manufacturing departments to maintain data accuracy across MRP (Materials Resource Planning) system and support those departments by providing comprehensive data analysis and reporting to help maintain inventory levels and achieve fulfilment goals.

WHAT WE ARE LOOKING FOR?

We are looking for an Ideal Team Player; a person who is humble, hungry, and people smart. Someone who has attention to detail, the willingness to learn, and the motivation to grow within a company will be the perfect fit.

PRIMARY RESPONSIBILITIES

Maintain Master Part Data as it relates to manufacturing and procurement (Part Revisions, Bills of Material, units of measure, bins, location permissions)
Design and generate reports to aid with forecasting, production scheduling, transfer and sales order fulfilment, inventory cycle counting and other needs.
Act as a data resource for team members by performing extensive data gathering and analysis as needed.
Perform input and maintenance of MRP parameters and planning factors as specified by department policy, necessary to support the part master/plant record maintenance of MRP system.
Analyze suggested orders for requirements produced by MRP using reasonable checks established by departmental policies/procedures.
Review errors and discrepancies in MRP suggestion results, taking corrective action to troubleshoot these errors.
Test implemented plan in MRP to assure that desired outcome is achieved.
Take full ownership of data integrity in ERP system for parts and modules used by procurement and manufacturing departments.

SKILLS & Qualifications

Bachelor’s degree preferred.
2-4 years experience with MRP systems, supply chain, forecasting and bills of materials preferred.
2-4 years experience querying and manipulating data for use in reporting.
Adapts quickly to perform other production/planning roles as needed with little instruction and oversight.

WHAT THE IDEAL TEAM PLAYER WILL HAVE

The ability to work effectively with others and loves to add value to a like-minded group endeavor
A sense of energy, passion, honesty, good attendance, and personal responsibility
Skills to say and do the right things to help teammates feel appreciated, understood, and included
Little ego when it comes to needing attention, credit, and is comfortable sharing accolades
Persistence, dedication, organization, and commitment to a task well done
Passion to do work that matters and not just looking for a J-O-B
Desire to see their work impact future generations and a willingness to mentor others
Strong communication and technical skills in order translate business needs into results

A FEW THINGS WE WANT YOU TO KNOW

We have approximately 300 team players and we're growing!
Our interview process is more thorough and involved because we are looking for the right fit.
We work really hard, we love what we do, at the end of the day we go home and enjoy our families.
We are looking for people who have a successful personal life, they make good team players.
We cultivate a pleasant winning environment using the principles of Humble, Hungry, & Smart.

Job Type: Full-time

Pay: $65,300.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Work Location: In person",1972,Consumer Product Manufacturing,$25 to $100 million (USD),Manufacturing,51 to 200 Employees,Company - Private,False
Senior Data Analyst,"PCI Government Services
",United States,$85K (Employer est.),4.0,"As affiliates of the PCI Federal Services group of companies, PCI Government Services LLC has a passion for our team members and their personal mission for success. We offer excellent insurance, leave and developmental benefits along with some flexibility for remote work opportunities. Come join our organization and be part of an exciting team supporting our Federal, DoD and Private Sector customers!

Job Classification

This position is classified as exempt.

Duties and Responsibilities

This position requires employees to be located in the San Antonio area in order to report to work on-site at Fort Sam Houston. A relocation bonus will be provided for qualifying candidates.

Provide highly complex data mining, statistical analysis, trend analysis, and causal analysis.
Perform as a technical lead responsible for monitoring and providing monthly contract reports and deliverables.
Responsible for integrating multiple disciplines in an operations research team and translating applicable methods into language and application understandable by operational managers throughout the organization. T
Review and provide quality control methods on products.
Prepare and update training materials to ensure newly assigned personnel gain an understanding of key analytic tools, procedures, and methodologies used.
Take structured and unstructured data and distill the information into a cohesive analytical product for a contracting functional business area audience.
Support pattern analysis methods to formulate recommendations to operational managers based upon exploiting patterns in the past, current, and anticipated operational environment.

Job Requirements

Qualifications

8 plus years in a technical field
BA/BS required
BS in computer science, engineering, applied mathematics, statistics, or a related field preferred.
Have experience advising senior DoD decision makers on methodologies, results, and conclusions from applied operations research. The primary tools used for research services include, but are not limited to, Logistics Management Program, Vantage, Virtual Contracting Enterprise, General Fund Enterprise Business System (GFEBS), SAP Business Objects/Web Intelligence Reports, Microsoft SharePoint, Army-specific contract writing systems (Procurement Desktop Defense (PD2) and Procurement Automated Data and Document System (PADDS)), and various Government and Commercial business process automation systems.
Personnel should have strong data manipulation and problem-solving skills.
Must have strong technical skills in areas such as statistics, programming languages like R or Python, SQL (Structured Query Language), data visualization, and data cleaning and preparation
Have good communication skills and problem-solving ability .

Physical Requirements

The physical demands described herein are representative of those which may need to be met by an employee to successfully perform the essential functions of the job. Employees must possess the ability to work in an office environment.

If required, employees must be able to operate a motor vehicle which may require sitting for prolonged periods of time to visit other company sites. Must have hearing and speech to communicate in person, before groups and over the telephone. Standing in work areas and walking between work areas may be required. This position may require an employee to bend, stoop, kneel, crouch, crawl, climb or balance, reach, push, and pull. The employee may also be required to lift and/or move up to 20 pounds.

PCI Government Services LLC (PCI-GS) is an equal opportunity employer.

PCI-GS does not discriminate on the basis of age, sex, race, national origin, religion, marital status, sexual orientation or identity, Veterans or Disability status.

Preference may be extended to qualified Native American Indian candidates

in accordance with applicable federal law.

Job Type: Full-time

Pay: From $85,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance
Vision insurance

Experience level:

8 years

Schedule:

Monday to Friday

Application Question(s):

Do you have strong technical skills in areas such as statistics, programming languages like R or Python, SQL (Structured Query Language), data visualization, and data cleaning and preparation?
Do you have experience advising senior DoD decision-makers on methodologies, results, and conclusions from applied operations research?

Education:

Bachelor's (Preferred)

Experience:

working in a technical field: 8 years (Preferred)

Security clearance:

Secret (Preferred)

Work Location: Hybrid remote in JBSA Ft Sam Houston, TX 78234",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,True
Business Analyst - Upstream O&G - Data Modernization,Stonebridge Consulting,"Houston, TX",$85K - $140K (Employer est.),-1.0,"The Business Analyst - Advisory Consultant is responsible for displaying a high level of competency in Consulting, Oil and Gas Business Acumen, Requirements Definition, and Technical knowledge. You will be responsible for working alongside clients and providing strategic guidance on business processes and IT capabilities.

Responsibilities:

Professional client engagement to define project requirements.
Advise clients as their business consultant and solutions expert.
Gather system requirements, conduct analysis, plan and develop integration solutions for client environment.
Engage as part of team at client site and provide guidance.
Work closely with internal client teams, vendors and other business associates.
Confirm that all work is delivered to a high quality in accordance with Stonebridge standards.
Maintain understanding and growth in all areas of business as they relate to E&P, Upstream, Midstream, and Marketing operations.

Requirements: (Qualified candidates will have demonstrated experience in one or more of the following areas and must have skills are noted) Please do not apply if you do not meet the required experience list below.

Bachelors Degree - Business, MIS or Engineering preferred
REQUIRED - 3-10 years of Business Analyst Experience in one or more of the following areas; Land & Accounting, Production, Measurement & Field Data Capture, Commodity Marketing and/or Drilling & Completions.
REQUIRED - Proven business acumen in E&P, Upstream and Midstream and Marketing Operations.
REQUIRED - Business process / transformation experience working as a formal Business Analyst or in an Operations Role.
Experience with Software Assessment, Selection and Implementation.
Data Governance and Data Management
Systems delivery, integration, support and advice
Excellent written and verbal communication skills with the ability to communicate on both a technical and business leadership level with a high degree of business acumen.
Ability to travel up to 50% - Local Houston client available now.

If not for an immediate opportunity today then let's get introduced so we can work together when the timing is right. Thank you for considering Stonebridge!

Job Types: Full-time, Contract

Pay: $85,000.00 - $140,000.00 per year

Benefits:

401(k)
Dental insurance
Health insurance

Compensation package:

1099 contract

Experience level:

5 years
9 years

Schedule:

10 hour shift
8 hour shift
Monday to Friday

Ability to commute/relocate:

Houston, TX 77024: Reliably commute or planning to relocate before starting work (Required)

Experience:

Oil & gas: 3 years (Required)

Work Location: Hybrid remote in Houston, TX 77024",-1,-1,-1,-1,-1,-1,True
