Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Board Certified Behavior Analyst (BCBA),Atlantis Positive Behavior Services,"Culpeper, VA",$72K - $85K (Employer est.),-1.0,"About us

With Atlantis, you have the unique opportunity to join an agency where you can influence the culture, contribute to growth, and have upward mobility potential! This is a rewarding position working with children who have autism and other behavioral needs. We're looking for an individual who is committed to improving the lives of others, enjoys working with people, and has excellent interpersonal skills.

Atlantis Positive Behavior Services is a small business in Culpeper, VA serving clients in Culpeper and surrounding counties. At APBS, you'll find a strong team of leaders, peers, and support staff dedicated to keeping you client-focused. You'll be provided with chances to advance professionally, receiving support and motivation to achieve your dreams. We are customer-centric, supportive, rewarding and our goal is to deliver high-quality therapy to clients based upon the principles of Applied Behavior Analysis. At Atlantis, we CREATE (Compassion, Reliable, Ethical, Authentic, Transparent, Empathetic) change by discovering the hidden potential!

Our work environment includes:

Growth opportunities
Flexible working hours
Paid sick leave
401k
Bonus eligibility
Work for a local agency that is truly connected to the area
Part time and full time position available

Responsibilities:

Complete FBA's, Assessments, and Treatment plans.
Collect and analyze data to monitor progress and make necessary adjustments to treatment plans.
Provide supervision to RBTs.
Collaborate with caregivers to evaluate and modify behavior.
Provide training and guidance to caregivers to help children overcome problems with communication, social skills, attention, or sensory integration.
Collaborate with therapists and other professionals on the child's progress.
Minimum 25 billable hours per week.

Qualifications and Skills:

Bachelor’s (BCaBA) or Master’s (BCBA) degree from an accredited college or university
Certification from the BACB
At least one year of proven mental health experience working with children with developmental disorders
Advanced knowledge of Applied Behavior Analysis principles and techniques
Strong data collection and analysis skills
Hard working with strong interpersonal skills and great attention to detail
Demonstration of a passion for exceeding expectations
Effective communication skills and attention to detail
Open availability and flexibility to meet the needs of our clients
Valid driver’s license and access to a reliable source of transportation

Requirements:

Must live in the general posted area and be available for in-person services
Must have reliable transportation between client homes (it is typical to serve multiple clients in one day)
Strong verbal and written communication, time management and organizational skills, problem-solving

Compensation:

$55-$65 per hour based upon experience
Stipend for dual/multiple language speakers when utilizing ability
Bonus program based upon performance
Potential to earn upwards of $100k annually dependent upon billable hours

Job Types: Full-time, Part-time

Pay: $71,500.00 - $84,500.00 per year

Benefits:

401(k)
401(k) 4% Match
Employee discount
Flexible schedule
Health insurance
Mileage reimbursement
Paid sick time
Paid time off
Professional development assistance

Compensation package:

Bonus opportunities

Patient demographics:

Adolescents
Children

Schedule:

Monday to Friday

License/Certification:

BCBA (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA)/,Providence Community ABA LLC,"Stafford, VA",$81K (Employer est.),-1.0,"Be Your Own Boss at PCABA!

Providence Community ABA is hiring BCBA's who are tired of having to do multiple clients within a week, and are ready to settle for one reliable client. If you are tired of multiple supervision within a week, then PCABA is the best place to work. We are offering you the opportunity to be in charge of your own personal client. Join the fast growing team at PCABA and be your own boss.

Sign on bonus $1000.00 (distribution terms apply)

Job Description – Board Certified Behavior Analyst (BCBA)

TITLE: Board Certified Behavior Analyst

MINIMUM QUALIFICATIONS:

· Master’s degree in Special Education or related human services field;

· Successful completion formal training in the analysis of behavior and instructional strategies training related to working with clients who have pervasive developmental disorders.

· Develop behavior treatment plans for your individualized client.

· Create an ongoing data collection system to establish baseline and analyze data collection.

· Ability to demonstrate competence in behavior management skill, instructional skills, oral and written communication, organizational skills and interpersonal relations

· Review and signed off on behavior treatment plan

· Ability to work with ONE client in regard to age, functionality, and with minimal direction

· Certified as a BCBA for a minimum of 2 years, unless prior approval is granted by Executive Director.

· Knowledge of DTT programming and implementation

· Knowledge of Word, Excel and Outlook systems

· Ability to utilize a fax machine, phone system, and other office materials as necessary for the position

· Ability to respond quickly to phone calls, text messages, and emails relating to your client.

· Flexible availability which includes Monday through Friday 3pm-8pm at minimum

· Current on all required trainings/certifications (see general list of employment qualifications for list)

· Driver’s insurance on file with HR Department

Transportation that is reliable and insured.

Job Types: Full-time, Part-time

Pay: From $80,881.07 per year

Benefits:

Flexible schedule
Paid time off
Professional development assistance
Referral program

Medical specialties:

Pediatrics

Schedule:

4 hour shift
8 hour shift

Ability to commute/relocate:

Stafford, VA 22556: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA (Required)

Willingness to travel:

50% (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Board Certified Behavior Analyst (BCBA),"KORA Analysis, LLC","Springfield, VA",$73K - $79K (Employer est.),-1.0,"About us

KORA Analysis is a BCBA-owned ABA agency that has been in business for over 12 years. Begun in Springfield, VA and expanded to other regions of the state we focus on expert in-home and remote behavioral services.

Perks of working with us include:

Make your own schedule - never feel pressured to take clients that aren't a good fit for you
Maintain your own independent employment via a contract position
Choose to engage as desired with other consultants for professional development and collaboration
Earn a high, competitive billable rate

Duties:
- Conduct assessments and develop individualized treatment plans for children with developmental disabilities and special needs
- Implement evidence-based behavioral interventions and strategies to address behavioral challenges
- Provide direct behavioral therapy to children, including teaching new skills and reducing problem behaviors
- Collaborate with families, caregivers, and other professionals to ensure consistency and generalization of skills across settings
- Collect and analyze data to monitor progress and make data-driven decisions regarding treatment modifications
- Provide training and supervision to behavior technicians or other team members
- Stay up-to-date with current research and best practices in the field of applied behavior analysis (ABA) and autism treatment

Requirements:
- Board Certified Behavior Analyst (BCBA) certification
- Experience working with children with developmental disabilities, particularly autism spectrum disorder (ASD)
- Knowledge of special education laws and regulations
- Proficiency in conducting functional behavior assessments (FBAs) and developing behavior intervention plans (BIPs)
- Strong understanding of applied behavior analysis principles and strategies
- Excellent communication skills, both written and verbal
- Ability to work collaboratively as part of a multidisciplinary team
- Strong organizational skills and attention to detail

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties as negotiated to meet the ongoing needs of the organization.

Job Types: Contract, Part-time

Pay: $72,823.00 - $78,766.00 per year

Benefits:

Flexible schedule

Schedule:

After school
Choose your own hours
Monday to Friday

Experience:

Applied behavior analysis: 1 year (Required)

License/Certification:

BCBA (Required)

Ability to Commute:

Springfield, VA (Required)

Ability to Relocate:

Springfield, VA: Relocate before starting work (Preferred)

Willingness to travel:

25% (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
BCBA - Board Certified Behavior Analyst,"Mosaic Pediatric Therapy
","Roanoke, VA",$69K - $77K (Employer est.),4.5,"Virginia’s Premier ABA Therapy Provider for Children with Autism

*We are a responsive employer – we will be in touch with you within 24 business hours of applying*

We are a values-driven company and are dedicated to providing world-class ABA therapy services to our early childhood patients while promoting a positive and supportive culture for our team members.

Top 5% nationally in employee satisfaction!*

Top 3% nationally in client family satisfaction!**

The primary responsibilities of the position include:

Conducting Assessments

Conduct both direct and indirect assessments
Use appropriate assessment(s) tools to determine the strengths and deficits for assigned clients
Conduct Functional Behavior Assessments/Functional Analysis as needed
Summarize the results of the assessment process by completing a report

Developing Client Treatment Plans and Programs

Develop appropriate and clinically sound treatment plans to target improving client performance
Develop individualized programs to be implemented with clients
Create individualized Behavior Intervention Plans as needed

Providing Clinical Training

Provide training to team members assigned to clients on their caseload regarding individual client programs
Provide coaching when RBTs do not meet clinical expectations or violate policies

Monitoring the Implementation of Clinical Programming

Maintain a caseload commensurate with experience
Provide an average of 12% supervision across your assigned caseload with a range of 10%-20% provided per client based on clinical judgment
Manage of caseload of a minimum of 240 scheduled direct BT hours
Monitor and analyze data collected by BTs during treatment sessions
Make treatment changes as needed
Provide ongoing caregiver support in the form of family guidance at a minimum once per month per client

Determination when Transition Criteria has been met

Clinical Supervisor will identify when it is appropriate for a client to transition from services, as well as the appropriate steps that should be taken to plan for any transitions that may occur

Work Collaboratively as a Team

Clinical Supervisor will work well with others in their service region to improve the quality of service for all clients served within the region as well as to improve the clinical skills of staff members working within the region
Clinical Supervisor will provide feedback to their Clinical Director as needed, including identifying training needs, and contributing information that may be used in employee evaluations

Other Responsibilities

Provide supervision to students accruing fieldwork hours in accordance with BACB guidelines.
Provide supervision to RBTs in accordance with BACB guidelines
Create individualized program materials needed for clients
Document services provided through appropriate clinical notes
Other duties and responsibilities as assigned by manager

Benefits

Medical, dental and vision insurance plan options
Medical options include company-paid behavioral and medical telehealth care
Paid time off
401(k) with 4% match
Company-paid life and disability insurance
Supplemental employee, spouse and child life insurance with AD&D options
Short- and long-term disability options
Company-sponsored discounts on electronics, travel, entertainment, fitness, apparel and more
Employee reward and recognition program, regular company-sponsored holiday and celebration events
Pet insurance

Education, Experience, and Skills:

BCBA Certification for a minimum of 4 years
Excellent organization and problem-solving skills
Experience using electronic medical record applications (Central Reach preferred)
Working knowledge of HIPAA regulations
Excellent interpersonal skills, good oral and written communication skills
Good organization and time management skills
Documented clinical experience and skill
Must have good working knowledge of Microsoft Office and/or equivalent G-suite applications (Word, Excel)

* Peakon/Workday benchmarking

** BHCOE benchmarking

Mosaic is an Equal Opportunity Employer

Job Type: Full-time

Pay: $69,000.00 - $77,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance

Schedule:

Day shift
Monday to Friday
No nights
No weekends

Ability to commute/relocate:

Roanoke, VA 24016: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Please provide your personal email here.

Please provide your home address (City, State, Zip Code) here.

Experience:

BCBA: 4 years (Required)

License/Certification:

BCBA/are you preparing to take the exam within 3 months? (Required)

Work Location: In person",2018,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,501 to 1000 Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA),Imagine That Therapy,"Alexandria, VA",$85K - $100K (Employer est.),-1.0,"At Imagine That Therapy, we stand as a dedicated clinic that equips children with the essential tools for success and offers parents and caregivers the unwavering hope to persevere. Guided by the words of Alan Turing, ""Sometimes it is the people who no one imagines anything of, who do the things that no one can imagine,"" we are committed to nurturing the potential that lies within every child, fostering a spirit of possibility and achievement.

Responsibilities:
- Conduct assessments to identify behavioral needs and develop individualized treatment plans
- Provide behavioral therapy to individuals with special needs, specifically those with autism and developmental disabilities
- Implement behavior intervention strategies and techniques to promote skill development and reduce challenging behaviors
- Collaborate with families, caregivers, and other professionals to ensure consistent implementation of treatment plans
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans
- Provide training and support to parents, caregivers, and other team members on behavior management strategies

Requirements:
- Board Certification as a Behavior Analyst (BCBA)
- Experience working with children with special needs, particularly those with autism or developmental disabilities
- Knowledge of behavioral therapy techniques and principles
- Strong understanding of special education laws and regulations
- Excellent communication and interpersonal skills
- Ability to collect and analyze data for treatment planning purposes
- Strong organizational skills and attention to detail

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties as assigned.

Job Type: Full-time

Pay: $85,000.00 - $100,000.00 per year

Benefits:

Flexible schedule
Health insurance
Paid time off
Tuition reimbursement

Ability to commute/relocate:

Alexandria, VA 22307: Reliably commute or planning to relocate before starting work (Required)

License/Certification:

BCBA (Required)

Willingness to travel:

25% (Preferred)

Work Location: Hybrid remote in Alexandria, VA 22307",-1,-1,-1,-1,-1,-1,True
Tomahawk System Analyst,"Southeastern Comp Consultants Inc
","King George, VA",$50K - $88K (Glassdoor est.),4.2,"SCCI is seeking a Tomahawk Logistics Analyst to join our team. In this position you will participate on a team of Source Data Analysts. The successful candidate will collect and analyze data from weapons system software, systems engineering, systems operations, testing and hardware design which will be compiled and provided to the Integrated Logistics Support (ILS) product developers/community. The successful candidate will also provide technical writing for the development and maintenance of technical documentation. This position is located in Dahlgren, VA with an effective start date of January 2024.

This position requires on-site work in the lab with some telework flexibility.


Responsibilities:

Monitor developing software build definitions, analyze and evaluate system enhancements and change candidates for product impacts
Provide the product development community with an understanding of new developments, system changes and the impacts of changes to the weapons system
Research the design and interface documentation; work with engineers to ensure accurate and comprehensive source data collection
Interface with product developers through review boards and working groups to provide subject matter expertise
Ensure system changes and modifications are reflected in all logistics products by monitoring and tracking updates utilizing issue tracking tools
Perform lab verification and validation, build readiness and build confidence testing for product deliverables
Review system changes and design specifications that may impact system operations or maintenance
Prepare, review, revise, and maintain comprehensive technical user documentation
Serve as a technica peer reviewer

Essential Skills and Experience:

Must be a US Citizen and able to obtain and maintain an active Secret Security Clearance
High School Diploma
Three (3) – five (5) years working with one of the following:
A Tomahawk Weapons System (TWS) or a major DoD Weapons System
TWS system engineering, test and evaluation
Curricula development, training conduct, or development of end user system documentation for TWS
Two (2) – four (4) years in technical writing/editing
Ability to develop comprehensive technical documentation and presentations
Ability to effectively interface with the Government customer, engineers, programmers, and fleet personnel
Strong communication and computer skills, including expertise in Microsoft Word, PowerPoint, and Excel




Preferred Skills and Experience:

Bachelor of Science (BS) degree in engineering or similar field desired, with experience equivalency considered
Experience with Tomahawk Weapons System
ISO 9001:2015 knowledge/implementation


SCCI is committed to providing a comprehensive and competitive benefits program to meet the needs of employees and their families. EOE of Minorities, Females, Veterans, and Disabilities.",-1,Enterprise Software & Network Solutions,Less than $1 million (USD),Information Technology,201 to 500 Employees,Company - Private,False
Data Analyst SME - 4155,"Galapagos Federal Systems, LLC
","Arlington, VA",$60K - $95K (Glassdoor est.),5.0,"Position Title: Data Analyst SME

Location: Arlington, VA

Job summary

Galapagos Federal Systems LLC is looking for an enthusiastic, well-qualified individual to fill the Data Analyst Subject Matte Expert (SME) position and to join our team of qualified, diverse individuals. The Data Analyst SME needs extensive experience in utilizing data ratios and correlation analysis to end points and also possess experience implementing analytical methods/roadmaps with project program results.

Skills / Experience Required

· 8+ years’ experience in data science/data analysis
· Subject Matter Expertise with Insider Threat Analysis
· Demonstrating ability in his(her) area of expertise
· Strong analytical and problem-solving skills
Experience with multiple DoD approved data platforms

Education / Certifications

Master's Degree
Preferred Data Certifications (Google, Microsoft, AWS, CompTIA, etc)

Benefits

Employer paid medical insurance
Dental and vision insurance
401k
PTO
Tuition reimbursement

Security Clearance

Must be a U.S. Citizen. A high-level Department of Defense (DoD) active security clearance may be required. Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to government information.

Physical Requirements

Work may involve sitting or standing for extended periods of time and typing and reading from a computer screen. Must have enough mobility, including bending, reaching, and kneeling, to complete daily duties in a prompt and efficient manner and may include lifting thirty pounds, as necessary.

Company Summary

Headquartered in Hawaii, Galapagos Federal Systems, LLC is an SBA Certified Native Hawaiian Organization 8(a) Small Business specializing in global information technology and offering professional solutions in IT Design & Installation, Cybersecurity Engineering & Support, Application Integration & Development, Software & Hardware Engineering, Network & Systems Management, Information Systems Security, and Business Management Services.

Leveraging over 30 years of providing IT services to the federal & commercial market with projects found around the world, our team has innovative expertise in the development of a wide range of technological solutions. Galapagos Federal Systems, LLC is an equal opportunity employer.

Our service commitment is simple - ""Quality IT Solutions... On Time & On Budget.""

Company Employment Statement

Galapagos Federal Systems, LLC reserves the right to change or modify job duties and assignments at any time. The above job description is not all encompassing as positions, functions, and qualifications may vary depending on business needs. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Galapagos Federal Systems, LLC is an equal opportunity employer and does not discriminate against applicants based on race, color, creed, religion, medical condition, legally protected genetic information, national origin, sex (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity and expression, age, disability, or Vietnam era, or other eligible veteran status or legally protected characteristics.

Job Type: Full-time

Education:

Master's (Required)

Experience:

data science/data analysis: 8 years (Required)
Insider Threat Analysis: 8 years (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,Unknown,Company - Private,True
Marine Corps Integrated Maintenance Management Power BI Analyst (3624),"GVI, Inc.
","Stafford, VA",$57K - $85K (Glassdoor est.),3.3,"GVI, a subsidiary of Three Saints Bay, LLC, and a Federal Government Contractor industry leader, is seeking a SME Team Lead Maintenance (Sr).

Position Responsibilities:

Conduct qualitative and quantitative analysis on Marine Corps logistics chain management AIS processes.
Work with Global Combat Support Systems

Position Requirements:

BA or BS Degree in Computer Science, Information Systems, Engineering, Business, Supply Chain or related scientific or technical discipline from an accredited college. 15 years of Marine Corps experience in supply and maintenance operations and AIS can be substituted for a BS or BA degree.
Minimum of 5 years work experience with Marine Corps maintenance and supply automated information systems (AIS).
Functional knowledge in Marine Corps ground maintenance management (i.e. Modifications, Calibrations, Preventative Maintenance, Publications, and Maintenance Tracking).
Expert knowledge of Marine Corps Equipment Readiness reporting in both deployed and garrison maintenance operations.
Functional knowledge or hands-on experience with Oracle eBusiness suites R11 or R12 modules.
End user experience with USMC automated Information systems (AIS) (Marine Corps Integrated Maintenance Management (MIMMS) and Personal Computer Marine Corps Integrated Maintenance Management System (PCMIMMS)).
Ability to conduct qualitative and quantitative analysis on Marine Corps logistics chain management AIS processes.
Information Technical Infrastructure Library (ITIL v3) certification, Oracle eBusiness suite certifications (R11 or R12), Experience with the United States Marine Corps logistics operational architecture, business process improvement methodologies.
Practical work experience with Global Combat Support Systems – Marine Corps/Logistics Chain Management Increment 1

Applicants may apply online at: https://phg.tbe.taleo.net/phg01/ats/careers/v2/viewRequisition?org=GATEWAYVENT&cws=55&rid=3624

VEVRAA Federal Contractor

Three Saints Bay, LLC and its subsidiaries offer a diverse, team-oriented working environment and the opportunity to work with exceptional dedicated industry professionals. We offer our employees a comprehensive benefits package and the opportunity to take part in exciting projects with government and commercial clients, both domestic and international.

We are an EEO/AA employer. We invite resumes from all interested parties without regard to race, color, religion, creed, gender, national origin, age, genetic information, marital or veteran status, disability, or any other category protected by federal, state, or local law.

Job Type: Full-time

Benefits:

401(k) matching
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Work Location: In person",-1,Advertising & Public Relations,Unknown / Non-Applicable,Media & Communication,1 to 50 Employees,Company - Private,True
Configuration Management Analyst II/III,"Southeastern Comp Consultants Inc
","King George, VA",$70K - $105K (Glassdoor est.),4.2,"Overview:

SCCI is seeking a Configuration Management Analyst II/III to provide Requirements Analysis and Requirements management support to a Combat System program. This position provides support to the Naval Surface Warfare Center and is available immediately. It is located in Dahlgren, VA.


Responsibilities:

Provide Requirement Development, Verification, and Management support using Dynamic Object-Oriented Requirements System (DOORS)
Analyze data including, but not limited to: Engineering Change Proposals (ECPs), System Change Notices (SCNs), Requirement Change Notices (RCNs), and Notice of Revision (NORs)
Manage Critical Design Documents, Capability Production Documents, System, Software, and Hardware Requirement Specifications, Design Documents, Interface Requirement Specifications and Requirement Verification Matrices to develop and maintain configuration baselines
Maintain effective customer relationships; Facilitate communication flow with internal team and external customers

Essential Skills and Experience:

Must be a U.S. Citizen and have an Active Secret Security Clearance
Five (5) - Ten (10) years of Configuration Management and/or Requirements Management experience
Must have strong analytical skills as well as the ability to quickly grasp software tool applications
Understand guidelines that identify good requirements
Experience developing and maintaining hierarchical configuration breakdowns
Familiarity with Capability Development Document (CDDs), Capability Production Documents (CPDs), System Requirements Documents, System Design Documents, Interface Design Documents and Software and Hardware Specifications structures, relationships, and traceability
Ability to adapt Requirements Management principals in order to manage requirements based upon customer’s desired management methodology
Strong research and analytical skills
Excellent organization skills and proven ability to multi-task
Ability to effectively communicate across all organizational levels to include coworkers, managers, and government customers
Ability to multi-task, work well independently as well as in a team environment
Proficient with MS-Office; PowerPoint, Word, Excel, and Access


Preferred Skills and Experience:

Experience in evaluating system requirements, system architectures, and operational requirements
Experience in utilizing CAMEO, DOORS, DOORS Next, Innoslate, CORE, JIRA, Traceline or any other applications developed for the purpose of managing program requirements
Experience in developing Requirement Management Plans, Database Schemas, Proceseses, and Job Instructions
Previous experience working classified requirements or in a classified environment


SCCI is committed to providing a comprehensive and competitive benefits package to meet the needs of Employees and their families. EOE of Minorities, Females, Veterans, Disabilities.",-1,Enterprise Software & Network Solutions,Less than $1 million (USD),Information Technology,201 to 500 Employees,Company - Private,False
Senior Data Analyst,"Sancorp Consulting, LLC
","Arlington, VA",$120K (Employer est.),4.0,"Position Summary:

Position Description: Senior Data Analyst

Location: National Capital Region

Work Posture: Hybrid: In-Person & Telework /

Employment Category: Full Time / Exempt

Travel: Travel is not anticipated.

Deployment: No

Drug screening: Yes

Security Clearance/Citizenship: Active Top Secret with Sensitive Compartmented Information (SCI) eligibility / Must be a US Citizen.

Education: Bachelor’s Degree from a nationally accredited university.

Required Experience:

· Four (4) years of experience in database and business intelligence reporting tools.

· Three (3) years’ experience with coding, programing, and scripting languages in SQL, Java, python, R.

· Three (3) years’ experience with visualization tools such as: Tableau, Qlik, SPSS, STATA, Power BI

· Five (5) years of subject matter expertise experience working with intelligence information systems or architecture supporting the combatant commands, services, and the Intelligence Community.

· Three (3) years’ experience data engineering either developing or maintaining databases such as CMIS, DCPDS, ADVANA and other similar tools for DoD.

· Public relations skills including courteousness, tact, and good verbal and writing communications skills. Expert analytical writing skills

· Extensive experience with Microsoft excel: pivot tables, graphs, charts and formulas.

· Visualizing data in databases

]Preferred Experience:

Preferred certifications in Tableau desktop; Scrum Master, AWS Cloud.
Program Management experience in a DoD environment.
OUSD (I&S) experience

Salary: Starting at $120,000. Commensurate on experience, education, and qualifications.

Responsibilities:

SANCORP is seeking a Senior Data Analyst in support of OUSD(I&S). The following are examples of responsibilities:

SENIOR DATA ANALYST: Identify, review, and document functional requirements for Human Capital Information Technology (IT) initiatives to include IT program status reviews and relationship between multiple IT initiatives and associated data for the DoD and the IC.
SENIOR DATA ANALYST: Analyze and visualize data found reports generated from DoD HRIS and DoD/IC databases.
SENIOR DATA ANALYST: Conduct data engineering and prepare data for data analyses to aid in predictive modeling of DCIPS Human capital program performance as required on ad-hoc and routine basis.
SENIOR DATA ANALYST: Conduct data engineering to create needed databases to aid in analysis as well as maintain existing databases such as SAS, CMIS, DCPDS, ADVANA and all other databases that contain data on DCIPS employees or that has data that can impact the DCIPS workforce.
SENIOR DATA ANALYST: Use of business intelligence tools needed to analyze data and produce tailored reports for the Enterprise.
SENIOR DATA ANALYST: Generate and maintain authorization and manning information on Defense Intelligence civilian and military workforce from the Global Force Management (GFM) Defense Intelligence Data Initiative Organizational Server (DIOS). This will happen on a monthly basis. Work with other Contractor to configure database to house DCIPS data based on HCMO needs and Department-wide initiatives.
SENIOR DATA ANALYST: Generate and update tailored reports from the Defense Civilian Personnel Data System (DCPDS) and associated applications, and analyzing and visualizing the data found in the reports. No less than 5 DCPDS tailored reports will be produced per 12 month period. This includes at least one tailored data report for the annual Office of Director of National Intelligence human capital and diversity, equity and inclusion data call.
SENIOR DATA ANALYST: Assist HCMO leadership to tailor at least 1 request for reports from other Defense personnel and manpower systems maintained by the Defense Manpower Data Center.
SENIOR DATA ANALYST: Build and maintain databases and corresponding queries to extract data necessary for leadership data calls such as the Office of Director of National Intelligence’s annual demographic data call
SENIOR DATA ANALYST: Works with other data analyst to visualize data derived from HRIS and other DoD and IC databases to showcase baseline and or trend analysis as well comparative analysis of HCMO data to findings in data reports outside of HCMO and in and across federal service. This will be required at a minimum annually.
SENIOR DATA ANALYST: Down-domain documentation as requested by HCMO from JWICS to lower level domains, this will occur no less than 12 times in a 12 month period.
SENIOR DATA ANALYST: Review IT initiative documentation to: ensure adherence to sound project management principles and practices; assess the efficacy of design and alignment to functional and system requirements, including assessing costs and program risks, and adherence to departmental and IC architectural requirements. This will occur no less than one time in a 12 month period; however, will required as needed by HCMO for any and all IT initiatives within DoD and the IC.
SENIOR DATA ANALYST: Attend demonstrations, participate in testing of IT initiatives, provide feedback on adequacy of test planning, sufficiency of the demonstration/testing to meet the requirements of the test plan to include the degree to which the deliverable meets functional requirements, provides necessary protection of information, and ability of IT initiative to provide planned interface/integration with other systems. This will occur no less than once in a 12 month period.
SENIOR DATA ANALYST: Evaluate ease of use, understandability of the information transactions to be conducted, ease of understanding the information content presented, consistency with standards for system screen/transaction design, and ability to easily retrieve information as advertised/required for functionality. This will occur no less than once in a 12 month period.
SENIOR DATA ANALYST: Conduct basic statistics and develop inferential statistics.

Sancorp Consulting LLC shall, in its discretion, modify or adjust the position to meet Sancorp’s changing needs. This job description is not a contract and may be adjusted as deemed appropriate in Sancorp’s sole discretion.

Sancorp Consulting, LLC, is an SDVOSB and SBA 8(a) company seeking highly motivated and qualified professionals. We offer an attractive salary and benefits package that includes: Medical, Dental, life and Disability Insurance; a matching 401K retirement program; and paid time off including federal holidays. Please visit our website for more information at www.sancorpconsulting.com.

Job Types: Contract, Full-time

Pay: From $120,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid holidays
Paid time off
Vision insurance

Compensation package:

Bonus pay
Performance bonus
Signing bonus

Experience level:

5 years

Schedule:

8 hour shift

Experience:

coding,programing scripting languages in SQL,Java,python,R: 3 years (Required)
database and business intelligence reporting tools.: 4 years (Required)
working with intel information systems or architecture: 5 years (Required)
data engineering either developing or maintaining databases: 3 years (Required)

Security clearance:

Top Secret (Required)

Work Location: Hybrid remote in Arlington, VA 22202",-1,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Contract,True
