Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Human Resources Legal Analyst,"Kwik Trip
","La Crosse, WI",$63K (Employer est.),3.9,"Our Human Resources team is looking for an experienced Human Resources Legal Analyst to assist with developing and overseeing Employment related projects and functions for the organization. Supports business operations by analyzing project requirements, compliance ramifications, provide suggestions, and work with various departments to develop technology and procedures to ensure legal compliance, increase efficiencies, provide improved customer service and coworker experience, and meet Employment, HR’s and/or company strategic goals.

Responsibilities –

Conducts evaluation of existing employment and/or business processes for the purposes of identifying and executing on improvement initiatives, business growth, and strategic goals.
Collaborate with various divisions and cross-functional teams to gather insights, align employment strategies.
Ensure a cohesive and holistic approach between employment initiatives and strategic/operational goals of other divisions and/or company.
Collect and analyze data pertaining to effectiveness or strategic goals, seeking to identify trends, relationships and/or suggested improvements and courses of action.
Identifies and establishes scope, timeline, downstream impacts, and requirements analysis on a project-by-project basis to define project impact, outcome criteria, and metrics.
Monitor and track project progress and reduce/resolve any challenges that arise by making decisions, reporting out to management and other stakeholders, initiate strategy planning, and escalate as necessary.
Communicate changes, enhancements, and modifications of business requirements.
Prepare reports and presentations detailing compliance efforts, project status, and the impact of initiatives
Maintains, researches, and assesses employment policies and practices in alignment with best practices, industry trends, company strategic goals and compliance with federal, state (new and current states), and local laws and regulations.

Qualifications –

4-year Degree in Human Resources, Business, or related area
2+ years’ work experience in developing overarching policy, standards, processes, etc.; identifying trends; and overseeing larger scale projects
Knowledge of Federal, State, and other applicable laws (preferably employment), and their effect on decisions and actions in the workplace
Ability to collect, analyze, and interpret data from various sources
Strong written and verbal communication skills
Strong organizational skills and ability to manage multiple tasks at once
Ability to adapt to ever changing priorities
High degree of confidentiality
Excellent interpersonal communication skills

Work Schedule: Monday through Friday, daytime hours; weekends as needed.

Job Type: Full-time

Pay: From $62,698.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

Day shift
Monday to Friday

Supplemental pay types:

Bonus opportunities

Work Location: In person",1965,Convenience Stores,Unknown / Non-Applicable,Retail & Wholesale,10000+ Employees,Company - Private,True
Board Certified Behavior Analyst (BCBA) - Relocation Included,"KGH Autism Services
",Wisconsin,$65K - $80K (Employer est.),3.3,"($10,000 Sign On Bonus)

Responsibilities:
- Conduct assessments to identify behavioral needs and develop individualized treatment plans
- Provide direct behavioral therapy to individuals with special needs and developmental disabilities
- Implement behavior intervention strategies and techniques to promote positive behavior change
- Collect and analyze data to monitor progress and make necessary adjustments to treatment plans
- Collaborate with families, caregivers, and other professionals to ensure effective implementation of treatment goals
- Provide training and support to parents, caregivers, and other team members on behavior management strategies

Are you a new BCBA?

We’ve got your back! KGH’s Calm & Confident Coaching program will teach you everything you need to know to be a successful RBT supervisor, develop best-practice programming, and be an effective parent trainer. Your senior BCBA mentor will work side by side with you to build your caseload over your first 6 months with us.

Are you an experienced BCBA?

Let us help you grow professionally and personally. We offer leadership coaching and love promoting from within our organization for our senior clinical positions!

This position requires a passionate individual who is dedicated to making a positive impact in the lives of individuals with special needs. If you are a skilled Board Certified Behavior Analyst with experience working with children, we would love to hear from you. Join our team and help us create meaningful change in the lives of those we serve.

Job Type: Full-time

Pay: $65,000.00 - $80,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Vision insurance

Medical specialties:

Pediatrics

Schedule:

Monday to Friday

Supplemental pay types:

Bonus opportunities
Signing bonus

Ability to commute/relocate:

Wisconsin: Reliably commute or willing to relocate with an employer-provided relocation package (Preferred)

License/Certification:

BCBA (Preferred)

Work Location: In person",2001,Health Care Services & Hospitals,$5 to $25 million (USD),Healthcare,51 to 200 Employees,Company - Private,True
PIM Data Analyst,"nVent
","New Berlin, WI",$57K - $77K (Glassdoor est.),3.9,"We’re looking for people who put their innovation to work to advance our success – and their own. Join an organization that ensures a more secure world through connecting and protecting our customers with inventive electrical solutions.
What You Will Experience In This Position
Product Data Management
o Gather, input, analyze, reconcile and organize commercial product data in product information management (PIM) systems from a variety of sources and stakeholders
o Be the owner and point person in the business segment for product data by being the lead for data enrichment, syndication support and day-to-day management
o Subject Matter Expert for all data that goes into the product catalog, including bulk data import, export, cleansing and reorganization
o Assist with digital and web activities to promote nVent’s products and ongoing campaigns, including working with these content management system (CMS) platforms: Acquia/Drupal, SiteCore and Salesforce
o Partner with the new product introduction team to ensure all new products have required product data and available for data syndication at least three weeks before launch date
o Work closely with the translation process owner and external translation vendor to execute the translation of product data
o Collaborate with cross-functional teams responsible for commercial product data, defining business requirements and applying them to established standard
Process Improvement and Standardization
o Drive the implementation of nVent’s commercial data strategy and act as an agent of change
o Apply detailed rules and requirements around product data, and contribute to the development and enforcement of governance standards
o Be a change agent in the process improvement and template standardization efforts across the business segment and digital platform teams

Customer/External Use of Product Data
o Ensure and encourage key partners and customer to utilize our product data
o Conduct routine validations on partners websites and marketing collateral for syndication

YOU HAVE:
o Ideally 3+ years of relevant experience in digital marketing, information services, customer service, data analytics or a similar field
o Experience with a product information management (PIM) system and experience and strong knowledge with Inriver PIM and Informatica MDM P360 is preferred
o Experience with content management systems (CMS) or similar digital content management activities is a must. Experience and strong knowledge with Acquia/Drupal, SiteCore and Salesforce is preferred
o Experience working with cross-functional teams such as Product Management, Marketing, Engineering and/or IT
o Experience working with external entities such as data pools, sales agents, distributors or customers
WE HAVE:
A dynamic global reach with diverse operations around the world that will stretch your abilities, provide plentiful career opportunities, and allow you to make an impact every day
At nVent, we connect and protect a more sustainable and electrified world with inventive electrical solutions. We’re a nearly $3 billion high-performance electrical company with a dedicated team of 10,000+ people at more than 130 sites around the world. Our solutions deliver value to industrial, commercial, residential, energy and infrastructure customers, providing mission critical solutions that improve performance, lower costs and reduce downtime.
We design, manufacture, market, install and service high-performance products and solutions that connect and protect mission critical equipment, buildings and essential processes. Our robust portfolio of leading electrical product brands dates back more than 100 years and includes nVent CADDY, ERICO, HOFFMAN, RAYCHEM, SCHROFF and TRACER.
Commitment to strengthen communities where our employees live and work
We encourage and support the philanthropic activities of our employees worldwide
Through our nVent in Action matching program, we provide funds to nonprofit and educational organizations where our employees volunteer or donate money
Core values that shape our culture and drive us to deliver the best for our employees and our customers. We’re known for being:
Innovative & adaptable
Dedicated to absolute integrity
Focused on the customer first
Respectful and team oriented
Optimistic and energizing
Accountable for performance
Benefits to support the lives of our employees
At nVent, we connect and protect our customers with inventive electrical solutions. People are our most valuable asset. Inclusion and diversity means that we celebrate and encourage each other’s authenticity because we understand that uniqueness sparks growth.
#LI-Hybrid
#LI-AG1
#INDISC",2018,Electronics Manufacturing,$1 to $5 billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Business Analyst,"MPI Engineered Technologies
","Deerfield, WI",$50K - $70K (Employer est.),3.6,"Position/Title: Business Analyst

Location/Department: Wisconsin Division

Reports to: Materials Manager

GENERAL: Business analysts are the drivers of our continued growth and success. With their commitment to innovation, these analysts seek, develop, and help implement strategic initiatives for improved efficiency and productivity. We’re currently searching for an experienced business analyst to help guide our organization to the future. From researching progressive systems solutions to evaluating their impacts, the ideal candidate will be a detailed planner, expert communicator, and top-notch analyst. This person should also be wholly committed to the discovery and development of innovative solutions in an ever-changing digital landscape.

Objectives of this role

Drive awareness of requirements across business units and identifysubstandard systems processes through evaluation of real-time data

Serve as thought leader for technical business processes, developing systems prototypes that promote increased efficiency and productivity on multiple levels

Create and implement precise management plans for every project, with attention to transparent communication at all levels

Perform, evaluate, and communicate thorough quality assurance at every stage of systems development

Determineand develop user requirements for systems in production, to ensure maximum usability

DUTIES / RESPONSIBILITIES:

1. Partner with stakeholders across business units (ex: sales, finance, security, compliance) to develop analyses and documentation in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teams

2. Evaluate, analyze, and communicate systems requirements on a continuing basis, and maintainsystems processes, including the delivery of monthly status reports to all appropriate parties

3. Author and update internal and external documentation, and formally initiateand deliver requirements and documentation

4. Conduct daily systems analytics to maximize effectiveness and troubleshoot problems

5. Develop meaningful and lasting relationships with partners for optimized systems integration, and respond to questions and concerns from managers and executives with supporting research and recommendations

MINIMUM QUALIFICATIONS:

· Academic or work experience in analytics and systems development

· High proficiencywith SQL and database management

· Proven analytical abilities

· Experience in generating process documentation and reports

· Excellent communication skills, with an ability to translate data into actionable insights

PREFERRED QUALIFICATIONS:

· Bachelor’s degree (or equivalent/or in process) in information technology or computer

science or supply chain management

· Strong working knowledge of relevant Microsoft applications, including Visio

· Proven ability to manage projects and user testing

· Extensive experience with data visualization

· High proficiencyin technical writing

PHYSICAL REQUIREMENTS:

· Sit up to 80% of day.

· Sit up to 2 hours at a time.

· Commute to other offices or critical points on the shop floor 20% of the time

· Vision correctable to 20-20.

MPI Engineered Technologies provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Job Type: Full-time

Pay: $50,000.00 - $70,000.00 per year

Benefits:

401(k)
401(k) matching
AD&D insurance
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid holidays
Professional development assistance
Vision insurance

Compensation package:

Yearly pay

Experience level:

Under 1 year

Schedule:

8 hour shift
Day shift

Work Location: In person",1969,Metal & Mineral Manufacturing,$100 to $500 million (USD),Manufacturing,501 to 1000 Employees,Company - Private,True
Business Intelligence Analyst,"Lakeside Foods
","Manitowoc, WI",$59K - $83K (Glassdoor est.),3.5,"Lakeside Foods is a family-owned company providing wholesome foods to enrich people’s lives through food. We are a culture that pursues our vision of growth and innovation with passion, confidence and commitment. We are strongest together – valuing collaborative contribution, transparency and new ideas to enable change and growth. We are committed to an inclusive and respectful environment that promotes a healthy work-life balance. And there’s a seat at the table for you.


Become One Of Our Valued Team Members:

Our Business Intelligence Analyst offers a team-oriented individual the opportunity to be responsible for leveraging data-driven insights to support decision-making processes across the company. This role involves collecting, analyzing, and visualizing data to identify business trends, patterns, and anomalies. The ideal candidate will possess strong analytical capabilities, a deep understanding of BI tools, and the ability to communicate findings in a clear and actionable manner to stakeholders at all levels.


What You'll Get:

At Lakeside Foods, we believe in taking care of our people. That’s why, as part of the Lakeside family, you’ll have a package of affordable benefit choices and resources to choose from that covers your health, well-being, family and future.


Comprehensive Benefits:

A choice of three quality affordable healthcare coverage options
Vision coverage
Dental coverage
Health savings account with employer contribution/flexible spending accounts
Retirement planning including Profit Sharing and 401(k) match
Company-provided life, AD&D, short and long-term disability insurance
Generous paid time off including vacation, personal days and holidays


Work-Life Integration:

Educational & professional development assistance
Wellness programs and fitness reimbursement
Dependent scholarship program
Career growth opportunities
Internships/apprenticeships
Friendly office environment
“Dress for your day” dress code


What You'll Do:

Collaborate with business stakeholders to determine analytical needs and translate them into data-driven solutions.
Create intuitive dashboards and reports using BI tools, highlighting key performance indicators and metrics.
Utilize statistical and computational methods to analyze data, identify trends, and provide actionable insights.


What You'll Bring:

Bachelor's degree in Business, Computer Science, Data Analytics, Statistics, or a related field.
Proficiency in BI tools (e.g., Tableau, Power BI, QlikView).
2+ years of experience in a BI, data analysis, or similar role.


Where You’ll Work:

WELCOME TO MANITOWOC

Thousands of visitors are drawn here each year to explore the USS Cobia World War II submarine, tour Rogers Street Fishing Village to view relics of famous shipwrecks, or sail across Lake Michigan on the S. S. Badger. We love company and invite you to explore 20 miles of spectacular Lake Michigan shoreline. From the pristine coastline with its stunning parks and beaches and marinas, to historic downtowns and outdoor band concerts, Manitowoc-Two Rivers is a maritime treasure to visit as well as a wonderful place to work and live.


IND1


Lakeside Foods welcomes people of all backgrounds and the varied ideas they bring to the workplace. Being an equal opportunity and affirmative action employer is part of our heritage and culture. We recruit, hire and promote employees based on qualifications and merit, without regard to race, religion, age, gender, disability, marital or veteran status.

M/F/D/V",1887,Crop Production,$500 million to $1 billion (USD),Agriculture,1001 to 5000 Employees,Company - Private,False
Business Intelligence Analyst,"Best Version Media
","Brookfield, WI",$65K (Employer est.),4.3,"Best Version Media (BVM) is one of the fastest-growing, privately held media companies in North America. We are looking for a Business Analyst with excellent technical, organization, and communication skills to join our growing Finance Team. This position will be analyzing data in many different areas of the business, identifying trends and patterns, and using the data for solutions to help drive our business further. If you enjoy working in a fast paced environment, come join the team at BVM and find out why we keep winning awards for being a great place to work!

Primary Job Responsibilities:

Work with executive team to organize, analyze, and interpret data to help surface KPIs and inform business performance and strategy
Leverage data warehouses and related BI tools (Google Could/Looker Studio) for large dataset analysis
Generate business insights, identify key business patterns, and work with CFO and CEO to develop and implement actions to drive desired business outcomes
Develop and maintain centralized reporting/dashboards
Use reporting tools to help prepare metric summaries for monthly financial reporting and quarterly board decks
Collaborate with internal IS team to assess and improve existing ERP reporting (BVM uses an internally developed and managed system)

Desired Qualifications:

Bachelor's degree in Computer Science, Statistics, Finance, Accounting, Business, Data analytics, or related discipline
3+ years of relevant experience in a business analyst, data analyst, or statistical analysis role
2+ years of experience analyzing datasets to solve business problems
Exceptional Microsoft Excel and financial modeling skills
Strong skillset in Business Intelligence tools, ideally Looker
Problem solver with ability to function in a fast-paced environment
Strong organization, time management, and communication skills
Ability to multi-task and prioritize projects and workload
Customer service mindset

Best Version Media (BVM) strengthens communities and connects local businesses to customers with innovative print and digital advertising solutions. BVM started in 2007 with six monthly publications powered by local businesses and readers. We now serve more than 1,200 communities and are one of the fastest-growing companies in the industry. Our vision is to unite the hearts and minds of communities – one person, one home, one business at a time. Our award-winning culture has been recognized by countless organizations including Fortune, Glassdoor, Top Workplaces USA, Great Place to Work and more.

Best Version Media participates in the E-Verify Employment Verification Program.

Job Type: Full-time

Pay: From $65,000.00 per year

Benefits:

401(k)
401(k) matching
AD&D insurance
Dental insurance
Dependent health insurance coverage
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Vision insurance

Experience level:

3 years

Schedule:

Monday to Friday

Ability to commute/relocate:

Brookfield, WI 53045: Reliably commute or planning to relocate before starting work (Required)

Education:

Bachelor's (Required)

Experience:

Business analysis: 3 years (Preferred)

Work Location: In person",2007,Advertising & Public Relations,Unknown / Non-Applicable,Media & Communication,201 to 500 Employees,Company - Private,True
Research Analyst,"Uline
","Pleasant Prairie, WI",$57K - $75K (Glassdoor est.),3.5,"Research Analyst

Corporate Headquarters

12575 Uline Drive, Pleasant Prairie, WI 53158

Are you an inquisitive individual with a flair for compelling storytelling? Then you belong at Uline! As a Research Analyst, bring your natural curiosity to research diverse topics like emerging industry trends and competitor strategies. Present them in a creative, compelling format to inform our growing business!

Better together! This position is on-site, and we are looking for people who share our passion.

Position Responsibilities

Research information and analyze data in Excel, making use of pivot tables and creative charts.

Organize market research to create clear and concise executive summary memos, diagrams, maps and presentations.

Design engaging PowerPoint presentations using Adobe stock imagery and Slide Master.

Apply basic design conventions to create cohesive and compelling videos including filming and editing content.

Minimum Requirements

Bachelor’s degree.

1 year of Research, Analyst or Multimedia experience or equivalent knowledge.

Experience in Microsoft Word, PowerPoint and Excel.

Strong skills in Adobe Creative Cloud including Premiere Pro, Audition, Illustrator and InDesign.

Excellent communication, creative and project management skills.

Travel to Uline’s North American locations.

Benefits

Complete medical, dental, vision and life insurance coverage, Flexible Spending Accounts and wellness programs.

401(k) with 5% employer match.

Paid holidays and generous paid time off.

Tuition Assistance Program that covers professional continuing education.

Bonus programs that include annual performance, sales goals and profit sharing.

Employee Perks

On-site cafe with executive chefs and seasonal dinner-to-go options.

First-class fitness center with complimentary personal trainers.

Over four miles of beautifully maintained walking trails.

About Uline

Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 locations, it's time you joined Uline.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.





EEO/AA Employer/Vet/Disabled

#LI-AS5

#CORP

(#IN-PPOPS)

Our employees make the difference and we are committed to offering exceptional benefits and perks! Explore https://www.uline.jobs/#working-here_blankUline.jobs to learn more!",1980,Wholesale,$5 to $10 billion (USD),Retail & Wholesale,5001 to 10000 Employees,Company - Private,False
Associate eCommerce Business Analyst,"Uline
","Pleasant Prairie, WI",$83K - $108K (Glassdoor est.),3.5,"Associate eCommerce Business Analyst

Corporate Headquarters

12575 Uline Drive, Pleasant Prairie, WI 53158

As one of the largest e-commerce websites in the country, uline.com provides a vital service that millions of users depend on. Our e-commerce team puts a lot of heart into making it the easiest website to navigate and place orders.

Employees named Uline to Forbes 2023 list of America's Best Large Employers!

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Position Responsibilities

Analyze customer comments to identify website issues or recommend enhancements.

Analyze user activity, website metrics and business trends.

Research competitor websites to analyze enhancements and industry trends.

Document small to medium-sized website enhancements.

Work with User Experience team to develop concepts that address website usability and best practices.

Work closely with Quality Assurance and Development teams to validate web enhancements.

Maintain documentation and perform reporting tasks.

Minimum Requirements

Bachelor's degree.

Strong Microsoft Office skills, with emphasis on Access and Excel.

Excellent communication, problem-solving and presentation skills.

Hardworking and enthusiastic personality with a passion for technology.

Ability to excel in a fast-paced, dynamic environment.

Benefits

Complete medical, dental, vision and life insurance coverage, Flexible Spending Accounts and wellness programs.

401(k) with 5% employer match.

Paid holidays and generous paid time off.

Tuition Assistance Program that covers professional continuing education.

Bonus programs that include annual performance, sales goals and profit sharing.

Employee Perks

On-site cafe with executive chefs and seasonal dinner-to-go options.

First-class fitness center with complimentary personal trainers.

Over four miles of beautifully maintained walking trails.

About Uline

Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 locations, it's time you joined Uline.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment hair follicle drug screening.

Applicants must be authorized to work lawfully in the US without sponsorship.

EEO/AA Employer/Vet/Disabled

#LI-EB1

#CORP

(#IN-PPINT)

Our employees make the difference and we are committed to offering exceptional benefits and perks! Explore https://www.uline.jobs/#working-here_blankUline.jobs to learn more!",1980,Wholesale,$5 to $10 billion (USD),Retail & Wholesale,5001 to 10000 Employees,Company - Private,False
Sr. Pricing Analyst,"Little Rapids Corporation
","Green Bay, WI",$50K - $72K (Employer est.),3.3,"Do you enjoy the thrill of finding solutions to complex problems using data-driven analytics and a dash of common sense?

Are you excited to learn new skills and approaches to provide pricing solutions?

Do you want to be a part of a cross-functional team that drives financial success through analysis-based change?

If you’ve answered “Yes” to these questions, we’d love to talk with you!

Position Summary:

The Senior Pricing Analyst position is responsible for executing the pricing strategy for Little Rapids Print Division through collaboration with Sales, Operations, Finance, and Planning. Additionally, the position will execute pricing strategies that maximize sales and profitability.

Objectives:

Works with Sales, Operations, Finance and Planning to gain an in-depth understanding of LRC capabilities, cost drivers, pricing strategies, and the overall competitive landscape
Coordinates and tracks all RFP / RFQ, contract extensions, rebates, and other pricing/quote requests
Performs all pricing functions, quarterly price adjustments, and other commercial analytics
Serves as a Subject Matter Expert in Pricing to include competitive market pricing levels
Provides data-driven recommendations and insights to drive business decisions including what if and win/loss scenarios
Works with multifunctional team with cost takeout initiatives

Key Results:

Ability to create, maintain and analyze data to identify trends and root causes
Demonstrates complex problem resolution through critical thinking and the ability to identify/implement process and system enhancements
Strong verbal and written communication skills
Work cross-functionally throughout the organization to drive analysis-based change
Understand the impact of pricing on profit margins

This is not an exhaustive list of duties or functions and may not necessarily comprise all of the ""essential functions"" for purposes of the ADA.

Education, Certifications, and Experience:

· Bachelor’s degree in Business, Finance, Marketing, Economics or related analytical discipline preferred

· Experience with ERP systems, BI reports, Excel proficiency, CPQ systems or pricing software preferred

· 2+ years of pricing experience in pricing analyst role required

Safety Philosophy:

Little Rapids Corporation will manufacture products in a manner that respects the safety and health of our associates, the environment, and the communities in which we operate.

EOE including disability/veteran

Job Type: Full-time

Pay: $50,400.00 - $71,935.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Work Location: In person",1947,Health Care Products Manufacturing,Unknown / Non-Applicable,Manufacturing,201 to 500 Employees,Company - Private,True
Data Analyst,"Superior Fresh LLC
","Hixton, WI",$50K (Employer est.),3.4,"Superior Fresh is an industry-leading aquaponics facility specializing in leafy greens and cold-water fish species. Our Northfield, WI facility is situated on an 800-acre Native Restoration Sanctuary nestled in the picturesque Coulee Region of Western Wisconsin. Our flagship aquaponics facility is the largest in the world, filled with the best equipment and technology. We raise premium Atlantic salmon and rainbow trout in a state-of-the-art land-based recirculation aquaculture facility in conjunction with premium, organic produce grown in an ultramodern hydroponics glass greenhouse. At Superior Fresh, we produce the freshest product available year-round, all while maintaining a water sustaining zero discharge to surface water facility.

The Data Analyst will play a pivotal role in our team, regularly employing advanced data analysis and machine learning strategies to surface information to inform business decisions. The Analyst will be expected to clearly interpret and communicate results, develop prototype simulations for training and predictive studies, and closely work with the IT department to develop system dashboard prototypes for multiple departments.

Primary Job Functions

· Build data structures to aid in the development of strategy and direction. Integrate, build, maintain, and refine data systems.

· Develop and update dashboards to monitor key metrics across all areas of the organization.

· Analyze data with the goal of delivering insights that improve revenue, cut waste or costs, or contribute to improved safety.

· Work with various teams to align data analytics and ensure accurate data representation.

· Design dashboards, presentations and summaries with clarity and structure that represents business needs.

· Utilize Microsoft tools and technology, integrating information from SCADA systems, Smartsheet and other tools as needed.

· Innovate and learn new technologies and methods, particularly related to machine vision tools.

· Demonstrate the Company’s Core and Growth Values in the performance of all job functions.

Secondary responsibilities that this job performs:

1. Maintain reliable attendance.

2. Actively participate in meetings, training and education.

3. Complete other assignments and special projects as requested.

Education:

Bachelor’s degree or equivalent experience and education, in Data Science, Statistics, Computer Science, Information Systems, or a related field.

Proficiency in Microsoft tools and technology - Excel, Power BI, and SQL Server.

Competency in Power Query, SQL, Python, and/or R.

Knowledge of machine learning and vision tools preferred.

Experience:

2 years of experience in data analysis or a related field.

Experience in aquaponics, agriculture, food manufacturing or related industries is a plus but not required.

Knowledge, Skills & Abilities

· Demonstrated ability to learn new technologies and methods.

· Project management, including the ability to prioritize tasks, manage timelines, and work collaboratively with other team members.

· Microsoft Office proficiency.

· Excellent oral and written communication skills.

· Excellent interpersonal skills.

· Initiate and encourage the building of mutual trust, respect and cooperation among team members.

· Effective time management and organizational skills.

· Work independently as well as in a team environment.

· Analytical and problem-solving skills.

· Visualize and construct best of class data systems.

· Maintain disciplined document management methods.

· Maintain confidentiality.

· Working knowledge of Continuous Improvement

· Handle multiple projects simultaneously within established time constraints.

· Perform under strong demands in a fast-paced environment.

· Set priorities and work with minimal direction and supervision.

· Display empathy, understanding, and patience with employees and external customers.

· Respond professionally in situations with difficult employee issues or inquiries.

Physical Effort & Work Environment

· Must be able to effectively communicate in written and spoken means in order to perform the requirements of the position.

· Work environment varies from general office and shop conditions where there are many individuals working in a shared space, to extreme temperatures (35-100⁰+F), humidity, wet/damp conditions, and loud noise from the equipment/machinery involved in harvesting and packing produce on the farm.

Schedule Expectations

1. Primary hours to be first shift.

2. Expectation is of a willingness to work extended hours when needed.

Job Type: Full-time

Pay: From $50,000.00 per year

Benefits:

401(k)
Dental insurance
Disability insurance
Health insurance
Health savings account
Life insurance
Paid holidays
Paid sick time
Paid time off
Tuition reimbursement
Vision insurance

Schedule:

Day shift
Monday to Friday

Ability to commute/relocate:

Hixton, WI 54635: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Do you now or in the future require visa sponsorship to continue working in the United States?

Education:

Bachelor's (Preferred)

Work Location: In person",2016,Fishery,Unknown / Non-Applicable,Agriculture,51 to 200 Employees,Company - Private,True
