Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
SOFTWARE ENGINEER - DATA MANAGEMENT,"Grinnell Mutual Reinsurance
",Iowa,-1,4.2,"Overview:

Software Engineers are responsible for engineering software and/or complex integrations of existing software using current technologies to support the business objectives of Grinnell Mutual Reinsurance Company and their customers. Serves as a member of a cross functional Agile Software Development Team, completing any/all tasks to ensure team success.

This position qualifies for our flexible workplace options. Work at our Grinnell, Iowa, headquarters or from a home office in any of the following states: Alabama, Arizona, Florida, Georgia, Illinois, Indiana, Iowa, Maine, Minnesota, Missouri, Montana, Nebraska, New Mexico, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, South Dakota, Tennessee Texas, Virginia, Wisconsin, and Wyoming. Please note that candidates must be eligible to work in the U.S. without Grinnell Mutual sponsorship.

Responsibilities:
Develops and supports new and existing data solutions utilizing software such as SAP Data Services and/or Cognos, code reviews and modularity for hosting on-premises and in the cloud.


Supports existing software, including keeping versions current by implementing new business needs and technology updates.


Demonstrates proficiency in software development tools, programming languages and software development techniques that adhere to the best practices specific to Grinnell Mutual.


Maintains and promotes a security driven mindset, ensuring software meets the criteria of the Grinnell Mutual Security Team. This includes adherence to OWASP and applicable regulations.


Remains current with changes in technology and evaluates the feasibility of incorporating development techniques into new and supported applications.


Communicates and updates teams and stakeholders to ensure transparency and alignment with project priorities. Occasionally works with outside vendors or contractors to create solutions and timelines for assigned projects and software issues.


Collaborates with third party vendors and Grinnell Mutual technology professionals, including Architecture, Infrastructure and Operations, to ensure technologies used are relevant to the current and future state of software engineering. Takes ownership of team delivery to ensure highest probability of success for team.


Leverages automation and DevOps techniques to reduce overall technical maintenance, monitor system performance, improve system quality and reduce manual business process of Grinnell Mutual.


Provides support as needed when software outage incidents occur, restoring service in the quickest and most stable manner possible. Knowledge of ITIL methodology is preferred.


Contributes to product planning using Agile methodologies. Ensures stories are complete, accurate and ready to be developed before the team commits to them.


Adheres to work intake, prioritization, change management, architecture governance and other required best practices of Grinnell Mutual.


Performs all other duties as assigned.
Qualifications:
Bachelors’ degree from an accredited college/university in programming related field with significant course work and/or experience in design, development and analysis of technology solutions.


Proficient with Structured Query Language (SQL): Oracle and/or PostgreSQL.


Skilled at understanding inter-dependencies and relationships of complex technical data sets with ability to be a creative problem-solver with strong analytical skills.


Attain and keep current necessary certifications for position.


Contributes to the growth of technology at Grinnell Mutual by sharing expertise with others. Educates others, adding to the total technical capabilities of Grinnell Mutual.


Demonstrated ability to effectively plan, schedule and meet deadlines while concurrently managing multiple tasks. Must be able to work with multiple interruptions.


Working knowledge of Property and Casualty Insurance preferred. Willingness to develop a working knowledge of industry and Grinnell Mutual specific business practices. Must be able to appropriately apply learned knowledge as it relates to responsibilities of the position.


Ability to work with mathematical concepts such as, probability and statistical inference and applying concepts such as, fractions, percentages, ratios, and proportions to practical situations as required for programming to simplify work of end user.


Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract/concrete variables.


Recognizes processing/application inefficiencies and recommends improvements.


Demonstrated enthusiasm and commitment towards assignment and problem solving.


Demonstrated oral, written, and presentation skills to both technical and non-technical personnel. Exhibits self-assurance and a creative aptitude.


Ability to understand basic insurance terminology applicable to personal lines and commercial lines of insurance.


Occasional overnight travel for training or conferences.


Requires regular and predictable attendance to meet the customer needs of the position.


Must be able to maintain confidentiality and propriety information.


Demonstrated ability to adhere to all Grinnell Mutual policies.


Demonstrated ability to incorporate Grinnell Mutual core values in all areas work.

Working conditions and physical efforts

To perform this job successfully, an individual must be able to perform each job duty and responsibility satisfactorily. Reasonable accommodations may be made to enable individuals with disabilities to perform job duties and responsibilities.
The position is physically located in an agreed upon location per the Grinnell Mutual Work from Anywhere policy. All work arrangements must put the business needs of the organization first and ensure the coverage of all job duties.


The position requires an individual to sit for long periods of time, use repetitive motion, and possess visual acuity demanded by work with computer and other LCD screen devices.


The work may be fast paced, especially when managing multiple projects or when faced with tight deadlines. Meeting schedule could be heavy. May be required to work outside of normal business hours at times to accomplish work.

This job description is not intended to describe, in detail, the multitude of tasks that may be assigned, but rather to give the employee a general sense of the responsibilities and expectations of his/her position. As the nature of the business demands change, so too may the job duties and responsibilities.",1909,Insurance Carriers,$500 million to $1 billion (USD),Insurance,501 to 1000 Employees,Company - Private,False
Data Engineer,"Robert Half
","Cedar Rapids, IA",$87K - $118K (Glassdoor est.),3.8,"This role focuses on the evolution and optimization of data exchange platforms to be more data centered in decision making. You will be part of the development, maintenance, integration, and enhancement of systems, workflows, and processes to ensure seamless data exchange. You will need to be detailed oriented, analytical, and have the ability to apply input into the new data system. The position demands collaboration with internal stakeholders, department heads, and external vendors to deliver high-quality solutions that meet the needs of internal users and 3rd party clients. To learn more about this new opportunity being added to a growing team, please apply now, call 319-362-8606, or email your resume direct to myself: Shawn M Troy - Technology Practice Director with Robert Half (additional contact information is on LinkedIn)

Primary Responsibilities:
Stakeholder Collaboration: Collaborate effectively with relevant stakeholders to translate business logic and procedures into technical tools and processes.
Workflow Automation: Design, develop, and implement automation workflows to enhance staff productivity by streamlining manual processes.
Data Analysis and Extraction: Develop data analysis and extraction processes to deliver accurate and timely information to business partners.
Interdepartmental Coordination: Coordinate with various departments to implement workflows between different systems based on organizational needs and priorities.
Data Integrity Management: Cultivate and maintain data integrity across Auxiant processes and datasets.
Data Reporting and User Interface Design: Distill complex data from multiple sources into usable reports, file outputs, and user interfaces for effective operational procedures and data exchange.
Process Improvement: Identify and develop improvements or additions to existing data processes.
Legacy System Migration: Lead efforts to migrate legacy software and data management systems to more scalable and robust solutions.

ETL - Extract Transform Load, MS SQL Server, MySQL, Complex Datasets, REST API, C Sharp Programming (C#), PowerShell, Git version control, VB/VBA programming

Technology Doesn't Change the World, People Do. ®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go. Download the Robert Half app and get 1-tap apply, notifications of AI-matched jobs, and much more.

All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit roberthalf.gobenefits.net for more information.

© 2023 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use .",1948,HR Consulting,$5 to $10 billion (USD),Human Resources & Staffing,10000+ Employees,Company - Public,True
Data Integration Engineer,"LCS
","Des Moines, IA",$100K - $115K (Employer est.),3.9,"As a Clinical Data Integration Engineer at LCS, you will be responsible for designing, developing, and maintaining robust data integration solutions that bridge the gap between various data sources, including healthcare data, and our analytical systems. You will work closely with cross-functional teams to ensure the seamless flow of data and contribute to the success of our data-driven initiatives. This role will also involve expertise in HIPAA compliance and Electronic Health Record (EHR) integration.


Experience is Everything;

At LCS, experience is everything. We provide you the opportunity to use your talents in a progressive, growing organization that makes a positive difference in the lives of the seniors we serve. If you are seeking an organization that gives back, you’ll love working here. Our principles and hospitality promises define our company culture. LCS employees can be found participating in volunteer activities, getting involved in our committees or collaborating with team members in our innovative work space. You’ll find several opportunities to grow as a professional, serve the community, and enhance the lives of the seniors.


The Role:

Design and architect data integration solutions that meet business requirements, including the integration of healthcare data from Electronic Health Records (EHRs), ensuring data quality, consistency, and reliability.
Develop, implement, support, and maintain data integrations from diverse sources, including EHR systems, into our data warehouse.
Design and develop reporting, both from within the EHR systems and from data extracted from the EHR, clinical systems, and data warehouse.
Collaborate with EHR systems and vendors to establish efficient data extraction processes and maintain data source connections, while adhering to HIPAA regulations.
Ensure that all healthcare data integration processes are fully compliant with the Health Insurance Portability and Accountability Act (HIPAA) regulations and other relevant healthcare data security and privacy standards.
Implement data validation and quality checks to guarantee the accuracy, integrity, and consistency of healthcare data throughout the integration process.
Maintain comprehensive documentation of data integration processes, data flows, and solutions to facilitate knowledge transfer and troubleshooting.
Proactively identify and resolve data integration issues and provide timely support to resolve any data-related incidents.
Work closely with data engineers, data scientists, the Health Services Division, and other stakeholders to understand their data needs.


Experience:

BS or BA degree in Computer Science, Information Systems or related field or equivalent years of experience
Minimum 5 years of experience working as a functional analyst or 3 years as a System Engineer
5+ years of professional experience in data integration, ETL, or related field, preferably with a focus on healthcare data, HIPAA compliance, and EHR integration.


Knowledge & Experience:

Proficiency in data integration tools and technologies.
Strong SQL skills.
Analytical skills with the ability to collect, organize, analyze, and distribute significant amounts of information with attention to detail and accuracy.
In-depth knowledge of database systems and data warehousing.
Experience working with EHR / EMR data and vendors strongly preferred.
Excellent problem-solving skills and attention to detail.
Strong communication and collaboration skills.
Expertise in healthcare data and healthcare data security.
Knowledge of Jira, Confluence and agile methodologies.
Strong problem solving ability with focus on quality and urgency.
Excellent verbal, written and interpersonal skills; organization and team skills.
Strong documentation and technical writing skills.
Ability to provide quality customer service.
The ability to prioritize tasks and meet deadlines.
Ability to work independently and use good judgment in making routine decisions.
Thorough and detail-oriented.
Performs work under minimal supervision.


Why LCS?

Industry leader. The Nation’s third-largest senior living operator, ranked number one in customer satisfaction among senior living communities.

Inclusive and collaborative culture. We’re dedicated to diversity, equity, and inclusion and have an engaged Diversity and Inclusion Council focused on creating awareness and educating employees on inclusivity. In addition, LCS creates a collaborative culture that provides an exceptional experience for every employee.

Top Workplace USA: LCS has earned the 2021 Top Workplaces USA award and is recognized for our strong company culture and engaged workforce. In addition, LCS earned ten culture excellence awards in areas such as DE&I practices, top managers, professional development and clued-in leaders, to name a few.

Top Workplace Iowa: LCS employees truly believe we are an employer choice. This recognition, for 4 years running, is in large part due to the culture of excellence that our employees help deliver every single day.

Competitive pay, great benefits and vacation time. We are an equal opportunity employer with benefits including medical, dental, life insurance, disability, 401(k) with company match and paid parental leave.

Charity and community involvement. We are recognized as a national team for the Alzheimer’s Association and consistently a top contributor to United Way. We also support our employee’s individual community contributions and provide opportunities to get involved at our corporate locations and in our communities.

Outstanding advancement opportunities. LCS is growing and we think you should too. Our company growth allows for internal growth opportunities across all of our business lines.

Ongoing career development. Onsite education opportunities, education assistance, and continuing education credits allow LCS employees to keep their knowledge of current industry changes relevant.


LCS creates living experiences that enhance the lives of seniors. You’ll see this commitment in our people. They’re talented, dedicated professionals who truly care about residents, with each conducting his or her work with integrity, honesty and transparency according to the principles of LCS. We strive to help every community succeed—strengthening available resources, establishing proven practices that lead to long-term growth and creating lasting value for those living in, working for and affiliated with the community. Check us out on our website: www.lcsnet.com


Travel Frequency: 0-10%

Job Level: B

Estimated Salary Range: $100,000 - $115,000

The actual salary offer will carefully consider a wide range of factors, including your skills, qualifications, experience and other relevant factors.


A POST-OFFER BACKGROUND CHECK, INCLUDING REFERENCES, IS REQUIRED

LCS IS AN EQUAL OPPORTUNITY EMPLOYER",1971,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,501 to 1000 Employees,Company - Private,False
Data Engineer - 5050304,"Accenture
","Des Moines, IA",-1,3.9,"Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists.

As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture's clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today's biggest business challenges.

You will receive competitive rewards and access to benefits programs and world-class learning resources. Accenture Flex employees work in their local metro area onsite at the project, significantly reducing and/or eliminating the demands to travel.

Utilize strong SQL Python skills to engineer sound data pipelines and conduct routine and ad hoc analysis to assess the performance of legacy products and the saliency of new features.

Build reporting dashboards and visualizations to design, create and track campaign program KPIs.

Perform analyses on large data sets to understand drivers of operational efficiency.

Manage end to end process of analytic tooling feature development, including request intake, requirements evaluation, cross functional team alignment, feature execution, QA testing, and stakeholder communication.

Consult with business analysts, technical data SMEs, and cross functional partners to understand their reporting and data needs, serving as the point of contact for requests, inquiries, and actions.

Interface with other data engineering, product, and data science teams to implement client needs and initiatives.




Basic Qualifications:

Minimum 2 years experience with Python.

Minimum 3 years experience SQL.

Minimum 3 years experience Big Data Analytics.

High School Diploma or GED.

Preferred Qualifications:

Experience with large enterprise data sets.

Bachelors Degree

Compensation at Accenture varies depending on a wide array of factors, which may include but are not limited to the specific office location, role, skill set and level of experience. As required by local law, Accenture provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York, or Washington as set forth below.

Information on benefits is here.

Role Location

California: $61.53 to $71.53/hour

Colorado: $61.53 to $71.53/hour

New York: $61.53 to $71.53/hour

Washington: $61.53 to $71.53/hour


What We Believe


We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.


Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here


Equal Employment Opportunity Statement


Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.


All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.


Accenture is committed to providing veteran employment opportunities to our service men and women.


For details, view a copy of the Accenture Equal Employment Opportunity and Affirmative Action Policy Statement.


Requesting An Accommodation


Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.


If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.


Other Employment Statements


Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.


Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.


Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.


The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",1989,Business Consulting,$10+ billion (USD),Management & Consulting,10000+ Employees,Company - Public,False
Data Engineer,"ARAG North America
","Des Moines, IA",$67K - $103K (Glassdoor est.),3.8,"Purpose:
Do you have a passion for developing solutions to integrate and transform data? Do you have experience with relational databases like Azure SQL and data integration tools such as Talend and Azure Data Factory? Are you service-minded and detail oriented?

ARAG is hiring a data engineer! This person will collaborate with analysts, developers, and business users to build data pipelines and marts to support reporting and analytics.
Essential Duties and Responsibilities:
Develops Azure-based solutions to load and integrate on-premise and cloud data sources and transform data to meet data warehouse reporting requirements.
Designs and develops data integration and automation processes, ensuring solutions align with best practices for performance, data integrity, security and code reusability.
Provides maintenance support for existing ETL processes, including performing root cause analysis and resolving issues that arise.
Collaborates with cross-functional partners to understand complex business problems; propose and implement technical solutions to address.
Translates business requirements into functional technical requirements, providing accurate estimates on level of effort and timelines.
Maintains an understanding of ARAG’s audiences, processes, systems, and tools to identify gaps, quality concerns and performance issues; recommend and implement enhancements.
Unit test codes to an acceptable defect level prior to handoff to quality assurance and business testers and provide support throughout testing process.
Helps with database optimization, integrity, consistency, and security.
Assists in creating and maintaining documentation of data flows and integration processes.
Serves as positive role model by representing ARAG at its Best.
Other duties as assigned.
Qualifications:
Knowledge
Knowledge of Azure cloud services, including Azure SQL database, Data Lake Gen 2, and Data Factory
Demonstrated understanding of data modeling, data warehouse and ETL strategies
Strong knowledge of relational databases (Azure SQL experience preferred)
Demonstrated understanding of Data Governance principles and practice
Working knowledge of agile methodology and project management tools
Skills
Experience developing data flows and relational data stores in Azure cloud services strongly preferred
Experience with Azure Data Factory, Talend, Informatica, or similar ETL tool (Azure Data Factory and Talend preferred)
Demonstrated background in data design, workflow, integrations, standards, and complex business rules
Problem-solving and analytical skills to gather and analyze data, identify and interpret trends, and create solutions to solve complex challenges
Excellent interpersonal skills to collaborate and gain buy-in across multiple functions and levels of the organization
Strong written and verbal communication skills with ability to translate technical issues to the business
Highly organized with ability to effectively manage workload across multiple projects
Ability to troubleshoot and resolve issues
Ability to effectively operate and remain positive in a fast-paced, ever-changing environment
Ability to think beyond “what is” and ask “what could be?”
Ability to take initiative and advocate for purposeful change and constant improvement that sets ARAG apart from the rest
Willingness to maintain a “fail fast, move forward” mindset
Ability to translate complex data and concepts into language and visualizations that can be readily understood by business stakeholders
Education
Four-year college degree in computer science, information technology, data science, business, or related field from an accredited college or university or equivalent experience.
Experience
3+ years of experience in ETL/ELT development, including experience with Azure SQL¸ Talend, Azure Data Factory, and Data Lake Gen 2, or comparable technologies.
Certifications
None required.
Physical
Minimal travel required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
#LI-DNI",1935,Insurance Carriers,$1 to $5 billion (USD),Insurance,1001 to 5000 Employees,Company - Public,False
Data Engineer (Cloud) – Des Moines,"Object Partners
","Des Moines, IA",$81K - $122K (Glassdoor est.),4.4,"Why consider OPI, and why do people dig working here?

Variety of consulting; new technologies, projects, and people on a regular basis.
Stability; we’ve been around since 1996 and have a diverse mix of clients and technologies to keep us busy, very busy. And we keep a bench. If you’re not on a project, you’re writing software for our internal business functions or you’re learning new technologies. It’s beneficial to make our consultants as marketable as possible. That’s good for your career.
No politics or management; we don’t get in the way. Why sit in meetings all day when you can code and be productive?
Awesome benefits; robust healthcare plan, 28 days of PTO, semi-annual profit sharing bonuses, you get paid OT, company trips, various quarterly company events, new MacBook Pro’s, free beer/soda, chips, candy, and so much more.
You work with the best. Do an Object Partners search on LinkedIn and see the types of talent we hire. You truly get to work with intelligent, passionate engineers that share the same goal of building great software the right way.
Low company overhead. It all means more money back into our consultants pockets (profit sharing) or company trips and events to share in the financial success.
Data Engineer

As a Data Engineer, you’ll be working with the latest cloud and technology stacks to help clients implement and mature their modern data architecture. You will work with tools/platforms like Kafka, Snowflake, and Databricks to help clients get the most out of their data that may be in systems like Salesforce, SAP, SQL Server, or file storage. With a variety of projects, technologies, and clients, you will constantly be growing, and never bored.


Qualifications
At least 4 years of experience as a hands-on software or data engineer
At least 1-2 years building production-grade data solutions (Example: ETL/ELT, Spark, Azure Data Factory, AWS Data Migration Services, streaming systems)
Demonstrated aptitude for problem-solving and creativity
Ability to learn new technologies and apply learnings to production-grade solutions
Experience with at least one prominent cloud provider (e.g.: AWS, Azure, GCP)
Strong working knowledge of a querying language like SQL
Understanding of CI/CD, automated testing, and the DevOps culture
Effectively communicate complex technical solutions to a variety of audiences through oral and written mediums
Preferred Skills
Production experience with at least one distributed data system like Snowflake, Databricks, Cassandra, DynamoDb, Elastic, or Hadoop
Production experience with at least one messaging technology like Kafka, Kinesis, Pulsar, or RabbitMQ
Certification on at least one relevant platform/tool (AWS, Azure, GCP, Snowflake, Databricks, Spark)
Can translate business needs into optimized and efficient data models in SQL or NoSQL
Service frameworks such as Spring Boot, Ratpack, Vert.x, or Play
Knowledge of data analytics, visualization and governance
Experience working in an agile development framework like Scrum or Kanban",1996,Business Consulting,$5 to $25 million (USD),Management & Consulting,51 to 200 Employees,Company - Private,False
Data Center Network Engineer,"Sira Consulting Inc
","Altoona, IA",$30.60 - $40.00 Per Hour (Employer est.),3.6,"Key Skills:

• Experience working with Fiber optic.

• Experience in RJ45 and other connectors

• Experience with switch directories

Need CLI/Linux knowledge.

Job Description:

● Culture / Team fit

● Ambitious / Hard working / Go getter / Coachable / Mentor

● Physical layer: fiber optic connections, contamination, cleaning

● Understand ESD best practices

● Comfortable with text based CLI

● Familiar with IP based networking

● A+/Network+ level of knowledge required

● Good understanding of OSI layer and network principles

● 2+ years of DC experience required

● 4+ years of IT related experience required

● Familiarity with the Linux based systems and experience with scripting and automation (Bash, Python, Perl)

● Understanding BGP routing protocols, spanning tree, VRRP, LACP

● Nvidia IB understanding is a nice to have skill

● Good organization, multitasking and communication skills

● Microsoft Office Tools: Word, Outlook, Excel

● Understanding of network procedures, environmental and safety management in a DC environment

Responsibilities:

● Physical hardware swaps: (Fabric and Backbone)

○ Optical transceiver swaps / Circuit diagnosis

○ Line card swap

○ TOR Replacement

○ Work with vendors for RMA's

○ Must be able to lift 50lbs

● Asset Management

● Tools and Ticket management

● Build relationships with partner teams within the DC

● Ability to review hardware logs, isolate and identify root cause

● Remote link troubleshooting

Ability to mentor and guide L1 resources

Job Type: Contract

Pay: $30.60 - $40.00 per hour

Benefits:

Health insurance
Vision insurance

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Altoona, IA 50009: Reliably commute or planning to relocate before starting work (Required)

Experience:

Computer networking: 1 year (Preferred)
LAN: 1 year (Preferred)

Security clearance:

Confidential (Preferred)

Work Location: In person",2012,Information Technology Support Services,$5 to $25 million (USD),Information Technology,1 to 50 Employees,Company - Private,True
Data Engineer,"Berkley
","Urbandale, IA",$74K - $105K (Glassdoor est.),4.0,"Company Details:
Berkley Technology Services (BTS) is the dynamic technology solution for W. R. Berkley Corporation, a Fortune 500 Commercial Lines Insurance Company. With key locations in Urbandale, IA and Wilmington, DE, BTS provides innovative and customer-focused IT solutions to the majority of WRBC’s 60+ operating units across the globe. BTS’s wide reach ensures that ideas and opinions are considered at every level of the organization to guarantee we find the best solutions possible.

Driven by a commitment to collaboration, BTS acts as consultants to our customers and Operating Units by providing comprehensive solutions that not only address the challenge at hand, but proactively plan for the “What’s Next” in our industry and beyond.

With a culture centered on innovation and entrepreneurial spirit, BTS stands as a community of technology leaders with eyes toward the future - leaders who truly care about growing not only their team members, but themselves, and take pride in their employees who shine. BTS offers endless ways to get involved and have the chance to grow your career into a wide range of roles you'd never known existed. Come join us as we push forward into the future of industry leading technological solutions.

Berkley Technology Services: Right Team, Right Technology, Simple and Secure.
Responsibilities:
The Data Engineer will be providing support for multiple operating units within WR Berkley on the Guidewire ClaimCenter platform. The position involves the ability to gather business requirements; the development of custom reports, databases, scripts, and queries; communication and interaction with both internal and external resources; strong support and understanding of Guidewire ClaimCenter initiatives including conversions, data modeling, and data fixes; understanding of the Guidewire ClaimCenter data model.


Demonstrates the capability to resolve routine data problems within the Guidewire ClaimCenter system or process
Ability to modify existing functionality or provide minor improvements with limited direction.
Demonstrates solid development processes including code review, documentation, and unit testing.
Demonstrates understanding of data processes and/or structures of the Guidewire ClaimCenter platform and ODS.
Demonstrates understanding of data processes through integrations with Guidewire.
Will be required to communicate and coordinate with multiple Operating Unit Claim’s team and with BTS IT teams.
Assists in the development, maintenance, and oversight of various databases, software, and other tools.
Provides support for claims analyses through data set up, interrogation, and observations.Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Qualifications:
3+ years of experience in a data engineering role; insurance experience preferred.
3+ years of experience with relational databases (such as SQL Server is required).
1+ year of experience working with or understanding formal ETL tools
Bachelor’s degree or equivalent; preferably in actuarial science, math or computer science
Ability to respond to common inquires or complaints from members of the business communities.
Strong analytical, critical thinking and problem-solving skills.
Strong project management, organization and planning skills.
Ability to quickly assimilate and learn new systems and technologies.
Guidewire Product Suite knowledge and experience strongly preferred.
Multi line property and casualty insurance knowledge preferred.
Demonstrated experience in effective collaboration and providing a high degree of customer satisfaction.
Ability to effectively work in an environment with competing demands resources, time, and priorities.
Behavioral Core Competencies
Critical Thinking
Self-Starter
Technically Astute
Managing Information
Customer Service Oriented
Business Knowledge

The Company is an equal employment opportunity employer.",2012,Commercial Printing,$25 to $100 million (USD),Manufacturing,1 to 50 Employees,Company - Private,False
Data center Engineer (contractor),UPPER LLC,"Des Moines, IA",$35.00 - $45.00 Per Hour (Employer est.),-1.0,"As a data center engineer you perform work on server and network equipment in data centers in your region. UPPER is a nationwide provider of remote-hands services and as such, our clients hit us up to get work done by us on their behalf.

UPPER holds a database of qualifying engineers. Whenever work is ordered through UPPER, a suitable Engineer is selected to get the job done. Whether it’s a short and sweet order to push a button, rack/stack, etcetera or a larger project, UPPER selects the Engineers based on criteria like quality, accuracy availability and location.

Note carefully, as a qualifying Engineer, you are offering your services to UPPER as an independent contractor. That means that you have a lot of freedom. It also means that you have a lot of responsibility. Because when you accept an order, we expect you to execute the order in accordance with our guidelines. In short, these guidelines describe how important a professional demeanor is.

We are always looking to add smart and hard-working Engineers to our team. Because thanks to our Engineers we form a nationwide, 24×7 workforce of professionals. The word ‘professional’ is key and paramount with everything that our Engineers do.

If this is for you, we welcome you to go ahead and apply.

Job Types: Part-time, Temporary

Pay: $35.00 - $45.00 per hour

Schedule:

On call

Application Question(s):

This job is subject to a thorough background check.

Experience:

data center: 1 year (Required)

Work Location: On the road",-1,-1,-1,-1,-1,-1,True
Data Engineer,"Cottingham & Butler
","Dubuque, IA",$76K - $104K (Glassdoor est.),3.9,"Data Engineer

Location: Dubuque, IA office


We are seeking a highly skilled and motivated Data Engineer to join our team. The ideal candidate will have a passion for data and a strong background in building scalable data pipelines and data infrastructure. The Data Engineer will work closely with our analysts, engineers, and IT team members to build and maintain our data platform.

Responsibilities:

Design, build, and maintain scalable and robust data pipelines to process large volumes of data
Implement data models and data structures to support analytical needs
Develop and maintain data integration workflows between internal and external systems
Optimize data storage and retrieval for performance and efficiencies
Develop and maintain data quality and data governance processes
Collaborate with analysts to provide access to high-quality data and insights
Keep up-to-date with emerging technologies and trends in data engineering

Qualifications:

Bachelor's or Master's degree in Computer Science, Data Science, or a related field
3+ years of experience in data engineering or a related field
Strong experience in designing and implementing data pipelines and ETL processes
Experience with data lakes and data warehouses
Strong understanding of database design and SQL
Excellent problem-solving and communication skills

If you are a highly motivated and talented data engineer looking for an exciting opportunity, we encourage you to apply for this position. Please submit your resume for consideration.",1887,Insurance Agencies & Brokerages,$100 to $500 million (USD),Insurance,1001 to 5000 Employees,Company - Private,False
