Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Data Engineer III,"Farm Credit Financial Partners
","Springfield, MA",$99K - $134K (Glassdoor est.),3.4,"For over 25 years, Farm Credit Financial Partners, Inc. (FPI) has provided technology products and services to the Farm Credit System. We care deeply about the agricultural credit associations (ACAs) we serve through our mission of delivering trusted technology solutions to help American agriculture thrive. As a customer-owned service organization, we support ACAs from Maine to California with over 62,000 customer-members and over $40 billion in loan volume . Everyone here contributes to the success of our customers, and to the vibrant culture that makes FPI a great place to work. Throughout the year, you will find us having fun and jamming out to FPI’s band, coming together to support local charities, and celebrating our wins together.

We offer a robust benefits package that includes competitive earnings, hybrid and remote work options, tuition reimbursement, generous 401(k) matching, and development opportunities through company-sponsored trainings and certifications.

Come grow with us: financialpartners.com .

Farm Credit Financial Partners, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to age, race, color, national origin, sex or gender, religion, pregnancy, marital status, status as a veteran, sexual orientation, gender identity, disability, or any other characteristic protected by law. EEO / AA / Minorities / Female / Disabilities / Veterans

#FPI




JOB SUMMARY: The Data Engineer III is responsible for transforming data that can be easily analyzed. The position will be responsible for expanding and optimizing our data and data pipeline for our Association partners. The Data Engineer III primarily works with project teams on developing new data platforms to support strategic initiatives in alignment with business and/or enterprise strategies.

ESSENTIAL FUNCTIONS:

Work with architects, modelers, and other data engineers to implement design and assemble large, complex data sets that meet end user business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
Participate in technical design and code reviews to ensure quality and best practices are maintained.
Perform as technical lead on smaller projects and be a collaborative member on larger projects.
Contribute to the effective data governance of the organization’s business data. This includes data quality, data management, data policies, business process management, and risk management surrounding the handling of organizational data.

ADDITIONAL FUNCTIONS:

Coach and mentor junior engineers
Communicate effectively with stakeholders regarding project status and delivery time frames
Fosters innovative team culture and process improvement during development phase

OTHER DUTIES : This job description is not designed to cover or contain a full listing of activities, duties or responsibilities required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.




QUALIFICATIONS:

Bachelor's degree in computer science or MIS, and 5+ years’ experience in data modeling and cloud technologies. Strong working experience with the Azure technology stack including:
Databricks
Data Factory
SQL
Python
Power BI (Business Intelligence)
Experience with Agile and Waterfall methodologies
Strong organization, analytical, and communication skills
Proficiency in the following technologies: R, Microsoft Office Suite
Strong customer service focus (data consumers as customers)
Familiar with software development best practices

WORK ENVIRONMENT: Typical noise levels for an open, cubicle-styled environment.

PHYSICAL DEMANDS : This position requires periods of standing, walking, and the use of computer equipment. Additional physical demands include, but may not be limited to, talking or hearing, push/pull, stooping, kneeling, reaching w/hands and arms, and lifting at least 10 pounds.

WORK AUTHORIZATION: Authorization to work in the United States is required.

REASONABLE ACCOMMODATION : Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions.",1995,Information Technology Support Services,$25 to $100 million (USD),Information Technology,201 to 500 Employees,Company - Private,False
Data Center Engineer,"Mimecast
","Boston, MA",$40.00 - $50.00 Per Hour (Employer est.),3.8,"This contract role is located at our two US Boston data centre colocations in Andover and Waltham. The team is based within our Global Technical Operations department here at Mimecast.

The ideal candidate must be a self-motivated and a strong team player. Successful candidates will thrive in a fast paced and agile environment that is regularly evolving.

Key Responsibilities

Help to develop global standards and promote best practices in data center operations.
Introduce process improvements and encourage best practices in datacentre operations.
Racking of quarterly server deliveries and network equipment.
Decommission of aging equipment
Track server/network assets through deployment lifecycle.
Maintain accurate reporting and auditing of all assets within the data centers.
Regular JIRA ticket management.
Diagnose server component faults and perform replacements.
Provide cross-functional communication with other technical operations groups.
Upkeep of data centre equipment records
Work with monitoring systems to identify problems.
Maintenance and configuration of data rack PDUs
Participate in conference calls/meetings with team members on a regular basis.
Handle incoming and outgoing shipments worldwide.
Work closely with other 3rd party datacenter remote hands engineers worldwide.
RMA Management with multiple vendors
Assist with tracking data center issues and keeping Mimecast servers in production.
Send weekly task progression reports.

Essential Skills and Experience

Basic knowledge of Linux, and Windows Operating Systems.
Good knowledge of Microsoft Outlook, Word and Excel.
Good knowledge of data centre cabling standards
Good knowledge of data centre buildings & critical infrastructure
Excellent knowledge of server hardware and troubleshooting.
Able to lift and or move equipment up to 22.5 Kgs daily, group lifts for 22.5 Kgs or more.
Candidate must be flexible in visiting either of our US Boston datacentres where needed.
Strong verbal and written communication skills.
Ability to prioritize in a complex, fast-paced environment.
Able to work in noisy environments such as datacenters.

Desirable Skills

Experience working in a multi-vendor datacentre environment.
Understanding of out-of-band server communication methods
Experience in datacentre hardware deployments and building scaling infrastructure.
Basic knowledge of Atlassian JIRA/Confluence and Microsoft Sharepoint.

Job Type: Contract

Salary: $40.00 - $50.00 per hour

Schedule:

8 hour shift

Ability to commute/relocate:

Boston, MA: Reliably commute or planning to relocate before starting work (Required)

Experience:

Data center (Required)

Work Location: In person",2003,Enterprise Software & Network Solutions,$500 million to $1 billion (USD),Information Technology,1001 to 5000 Employees,Company - Private,True
Lead Data Engineer - FinTech - Hybrid,"Michael Page
","Boston, MA",$130K - $150K (Employer est.),4.4,"Lead the development and maintenance of Business Intelligence and Safeguarding solutions.
Assume complete responsibility for BI and Data Engineering projects, from requirements gathering and design to development, implementation, and ongoing maintenance.
Innovate and explore strategies to enhance data quality, reliability, and performance.
Analyze and structure raw and structured data from diverse sources.
Evaluate and align data solutions with business needs and objectives.
Prepare data for prescriptive and predictive modeling.
Develop algorithms and prototypes to drive data-driven insights.
Create and maintain analytical tools and programs.
Collaborate closely with BI Engineers and Finance team members on various projects.
Participate in on-call duty responsibilities.


MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

Strong technical expertise in data modeling, data mining, and segmentation techniques.
Proven track record with ETL and Data Integration tools.
Proficiency in Groovy and SQL.
Excellent analytical skills.
Ability to troubleshoot independently.
Strong teamwork and interpersonal skills, fostering collaboration among diverse team members.
Effective oral and written communication skills, with the ability to simplify complex ideas.
Experience with Oracle's BI and EPM product suites is advantageous.
Knowledge of database maintenance is a plus.

Join an innovative and rapidly expanding FinTech company. They are a prominent player in the payments industry, committed to creating a cutting-edge payments orchestration platform that empowers our clients with advanced payment solutions.

As a valued full-time team member, you'll enjoy a competitive salary and an exceptional benefits package, including comprehensive medical and dental insurance, FSA, HRA, vision coverage, life insurance, disability coverage, and more. You'll also have the opportunity to save for retirement through our 401K plan, which features a generous company match. We highly value employee referrals and offer substantial referral bonuses. Additionally, we provide our team members with a comprehensive PTO plan to support a healthy work-life balance. These are just a few of the outstanding benefits we offer, and we look forward to discussing them further during the interview process. Join us and be part of an exciting journey in the FinTech industry!",-1,Security & Protective,Unknown / Non-Applicable,Management & Consulting,201 to 500 Employees,Company - Private,False
Principal Data Engineer Snowflake AWS,"Motion Recruitment
","Boston, MA",$165K - $190K (Employer est.),3.4,"Job Title: Principal Data Engineer

Location: Downtown Boston, MA

Company Overview: Join a prestigious asset management firm in the heart of Boston, boasting over $1 trillion in assets under management. Our firm is renowned for its innovative investment strategies and commitment to excellence in financial management. We are at the forefront of integrating technology and finance, continually enhancing our capabilities to maintain a competitive edge in the global market.

Job Description: As a Principal Data Engineer, you will play a crucial role in our strategic initiative to migrate over 100 on-premise SQL instances to the cloud. Your expertise in Snowflake and AWS will be instrumental in this transformation, directly impacting the efficiency and effectiveness of our top quantitative analysts.

Key Responsibilities:

Lead and execute the migration of SQL databases to Snowflake on AWS.
Collaborate closely with quantitative analysts to understand their data needs and optimize cloud solutions accordingly.
Design and implement robust, scalable data architectures in the cloud, ensuring high availability and performance.
Develop and enforce best practices for data management, security, and compliance within the cloud environment.
Provide technical leadership and mentorship to junior data engineers and other team members.
Stay abreast of emerging cloud technologies and data management trends, recommending improvements to our cloud strategy.

Qualifications:

Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field.
Minimum of 8 years of experience in data engineering with a focus on cloud technologies.
Expertise in Snowflake and AWS services (e.g., EC2, RDS, S3, Lambda).
Proven track record of successfully migrating large-scale databases to the cloud.
Strong understanding of SQL and experience with on-premise SQL databases.
Excellent problem-solving skills and ability to work in fast-paced environments.
Strong communication and leadership skills, with the ability to collaborate effectively across teams.

We Offer:

Competitive salary and benefits package.
Opportunity to work in a dynamic, collaborative environment.
Exposure to cutting-edge technologies and innovative projects.
Career growth opportunities in a top-tier asset management firm.",1989,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Data Engineer,"Hydrow, Inc.
","Boston, MA",$84K - $116K (Glassdoor est.),4.3,"Boston, MA or Remote
Engineering /
Full-Time
/ Hybrid
WHO WE ARE

If you ask us, we’re the perfect mix of athletes, entrepreneurs, engineers, and creatives. Our diverse backgrounds and shared values are what help make Hydrow great. Our mission is not just to create an amazing fitness experience, but a beautiful human experience - one that’s honest, inclusive, and positive.. Hydrow is the Live Outdoor Reality (LOR)™ rowing machine that delivers on-water experiences at home with workouts led by world-class athletes. At Hydrow, you’ll have the chance to shape a company that is disrupting the fitness industry while creating engaging content unmatched in the marketplace today. Sound exciting? That’s because it is!



JOB OVERVIEW

We seek a Data Engineer who will serve as a cornerstone in our expanding Data and Analytics team. Your role is pivotal in providing ongoing analytics and insights across multiple departments, emphasizing a data-first approach to accelerate our strategies and decision making.
You will serve as a critical member of the Data and Analytics team, focusing on integrating disparate sets of data on our Domo platform. Your work will support Marketing, Customer Engagement, Finance, and Hardware - really, the whole company. You will work closely across the analytics team and be deeply integrated with specific functional departments. You will field a mix of ad hoc reporting and drive longer strategic projects. You will employ your curiosity, creativity, and analysis skills to make a significant impact in a fast-paced and engaging culture.
CORE COMPETENCIES
Ability to design, construct, test, and maintain data architectures and platforms, including AWS and Google Cloud (BigQuery)
Proficiency in using various approaches for data integration for comprehensive analysis using business intelligence tools (Domo, Tableau, PowerBI)
Exercise strong quantitative and research skills to interpret findings
Ability to clearly communicate findings and business impacts
Advanced critical thinking skills to scope and frame problems
Effective interpersonal and relationship building skills to establish critical partnerships with cross- functional teams
Use of product analytics tools: Google Analytics, Amplitude etc
Analytics Coding Proficiency: SQL (required) , R, Python (preferred)
YOUR EXPERIENCE
Preferred to have a Bachelor’s degree in a technical field
Minimum of 3 years relevant experience in an analytics role preferred
Demonstrated ability to collaborate effectively with cross-functional teams.
Excellent problem-solving skills and meticulous attention to detail.
Strong communication skills, capable of conveying complex data concepts in a clear and concise manner.
We are currently not accepting resumes from external recruiters.



HOW WE WORK

Authentic and Inclusive: We embrace each and every one of our differences and celebrate our diversity. We commit to fostering a space where everyone belongs and is heard.

Nimble with Purpose: We are a fleet of speedy boats, instead of a barge. As pathfinders of positive change, we adapt our focus with ease when our purpose points us in a new direction

Resilient Teammates: We support our Hydrow teammates and members through challenges: technical, personal, or unexpected waves. We overcome the present obstacle and persevere together.

Hydrow is a community of innovators, risk-takers, and trailblazers who celebrate individual differences and recognize that unique perspectives make us stronger, smarter, and more successful. Hydrow actively seeks applicants who can bring a variety of experiences, perspectives, and backgrounds to the team. Hydrow provides equal employment opportunities to all employees and applicants for employment without regard to race, color, ancestry, national origin, gender, sex, pregnancy, pregnancy-related condition, sexual orientation, marital status, religion, age, disability, qualified handicap, gender identity, results of genetic testing, military status, veteran status, or any other characteristic protected by applicable law.

Our team values diversity in experience and backgrounds—we do our best work when we create space for different voices and perspectives. Whatever unique experiences or skill sets you bring, we look forward to learning from each other.

BENEFITS AND PERKS (Full Time Permanent Hydrownauts)

Medical, Dental, and Vision Insurance Premiums 100% Paid For By Hydrow
6 Months Fully Paid Primary and Secondary Parental Leave
Unlimited PTO Policy
$150/week Reimbursable for Childcare
401k
Free Membership to the Hydrow App and access to a free Hydrow
➕ MORE!

By submitting your application, you agree that Hydrow may collect your personal data for recruiting, global organization planning, and related purposes. Hydrow's Privacy Notice explains what personal information we may process, where we may process your personal information, our purposes for processing your personal information, and the rights you can exercise over Hydrow's use of your personal information.",2017,Beauty & Wellness,Unknown / Non-Applicable,Personal Consumer Services,51 to 200 Employees,Company - Private,False
Data Engineer 3,"Kagr Llc
","Foxborough, MA",$92K - $127K (Glassdoor est.),3.3,"SUMMARY: The Data Engineer 3 will drive the planning, design, and development of integration processes to build and improve the data warehouse. The Data Engineer will be responsible for building data integrations, data pipelines and other processes the data warehouse and KAGR product. This role will partner with Data Scientists, Analysts, other engineers and business stakeholders to solve complex and exciting challenges so that we can build our product to enable our clients to use data to drive their business.
DUTIES AND RESPONSIBILITIES
Building data integrations and data pipelines within the KAGR tech stack
Translate business requirements into data pipelines
Extract and load many disparate systems into a centralized data warehouse
Assist in gathering requirements for new pipelines
Implement data auditing strategies and processes to ensure data integrity
Document complex integration pipelines into easy-to-understand technical specifications
Perform data modeling to document existing and new tables in the data warehouse
Monitor and successfully troubleshoot data problems
Handle multiple projects effectively and meet deadlines
Special projects and assignments as business dictates
Responsible for the maintenance, creation and control of all personally identifiable information or any other information protected by any Confidentiality or Privacy Standards or Company policies that you have access or knowledge of, including but not limited to any state or federal regulations including HIPAA
SUPERVISORY RESPONSIBILITIES
This position has no supervisory responsibilities.
SKILLS AND QUALIFICATIONS
Bachelor's Degree in Computer Science, Information Systems, or related field
4-7 years of experience working with data using SQL or similar technology
3+ years of experience using cloud data warehouses such as Snowflake, Amazon Redshift, Google BigQuery, Azure Synapse
Experience with languages like Python, Ruby, Java, or similar language
3+ years of experience using a data integration platform, such as Talend, Snaplogic, or Informatica
Experience working in a cloud native environment
Strong understanding of data warehousing principles and methodologies
Ability to manage multiple projects in a fast-paced environment
Strong communication skills to all levels of technical expertise
Very high attention to detail
Familiarity with BI Visualization tools
PHYSICAL DEMANDS
Sitting for extended periods of time
Dexterity of hands and fingers to operate a computer keyboard, mouse, and other computing equipment
The employee frequently is required to talk or hear
The employee is occasionally required to reach with hands and arms
Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
WORK ENVIRONMENT
The noise level in the work environment is usually moderate
Fast paced office environment
Ability to work nights and weekends as business dictates
CERTIFICATES, LICENSES, REGISTRATIONS
None required
OTHER DUTIES
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.
This company is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.",2016,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,True
Data Engineer - 5050304,"Accenture
","Boston, MA",-1,3.9,"Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists.

As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture's clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today's biggest business challenges.

You will receive competitive rewards and access to benefits programs and world-class learning resources. Accenture Flex employees work in their local metro area onsite at the project, significantly reducing and/or eliminating the demands to travel.

Utilize strong SQL Python skills to engineer sound data pipelines and conduct routine and ad hoc analysis to assess the performance of legacy products and the saliency of new features.

Build reporting dashboards and visualizations to design, create and track campaign program KPIs.

Perform analyses on large data sets to understand drivers of operational efficiency.

Manage end to end process of analytic tooling feature development, including request intake, requirements evaluation, cross functional team alignment, feature execution, QA testing, and stakeholder communication.

Consult with business analysts, technical data SMEs, and cross functional partners to understand their reporting and data needs, serving as the point of contact for requests, inquiries, and actions.

Interface with other data engineering, product, and data science teams to implement client needs and initiatives.




Basic Qualifications:

Minimum 2 years experience with Python.

Minimum 3 years experience SQL.

Minimum 3 years experience Big Data Analytics.

High School Diploma or GED.

Preferred Qualifications:

Experience with large enterprise data sets.

Bachelors Degree

Compensation at Accenture varies depending on a wide array of factors, which may include but are not limited to the specific office location, role, skill set and level of experience. As required by local law, Accenture provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York, or Washington as set forth below.

Information on benefits is here.

Role Location

California: $61.53 to $71.53/hour

Colorado: $61.53 to $71.53/hour

New York: $61.53 to $71.53/hour

Washington: $61.53 to $71.53/hour


What We Believe


We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.


Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here


Equal Employment Opportunity Statement


Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.


All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.


Accenture is committed to providing veteran employment opportunities to our service men and women.


For details, view a copy of the Accenture Equal Employment Opportunity and Affirmative Action Policy Statement.


Requesting An Accommodation


Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.


If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.


Other Employment Statements


Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.


Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.


Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.


The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",1989,Business Consulting,$10+ billion (USD),Management & Consulting,10000+ Employees,Company - Public,False
Data Engineer,Synovix,"Bedford, MA",$174K - $184K (Employer est.),-1.0,"Responsibilities:
Provide expertise on all data concepts for the broader advanced analytics group, and inspire the adoption of advanced analytics, data engineering and data science across the organization. This will include Installing continuous pipelines of large pools of filtered information so that data analyst/scientists can pull relevant data sets for their analyses .

Must have familiarity with the manipulation of unstructured data in a data analytics environment, and the use of open-source tools, cloud computing, machine learning and data visualization. Familiar with specialized languages relevant to the technologies employed such as Apache, Hadoop, etc.

Requirements:

Must have a DoD Secret clearance or higher (interim is okay).
A bachelor's degree in the requisite relevant field. A Master's degree in a relevant field may be substituted for 3 years of general experience.
7 years or more of experience in the data engineering field, at least three of which must have been in a data analytics environment, preferably in DoD or the intelligence community.
Must be willing to work on-site.

Very competitive compensation and benefit package, as well as relocation assistance.

Job Type: Full-time

Pay: $174,000.00 - $184,000.00 per year

Benefits:

401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Relocation assistance
Vision insurance

Compensation package:

Yearly pay

Experience level:

7 years

Schedule:

8 hour shift

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Data Engineer,"Dana-Farber Cancer Institute
","Boston, MA",$88K - $123K (Glassdoor est.),4.0,"Job ID:
37134

Location:
20 Overland Street, Boston, MA 02215

Category:
IT/Informatics

Employment Type:
Full time

Work Location:
Remote: 100% off site

Overview

Located in Boston and the surrounding communities, Dana-Farber Cancer Institute is a leader in life changing breakthroughs in cancer research and patient care. We are united in our mission of conquering cancer, HIV/AIDS and related diseases. We strive to create an inclusive, diverse, and equitable environment where we provide compassionate and comprehensive care to patients of all backgrounds, and design programs to promote public health particularly among high-risk and underserved populations. We conduct groundbreaking research that advances treatment, we educate tomorrow's physician/researchers, and we work with amazing partners, including other Harvard Medical School-affiliated hospitals.

We are seeking a Data Engineer with a strong background in developing technical solutions for Cloud data warehouses to join our team. You will be a critical member of the Informatics & Analytics team supporting the Enterprise Data Systems (EDS) in support of the overall DFCI mission to improve quality and manage healthcare expense trends.

Responsibilities

PRIMARY DUTIES AND RESPONSIBILITIES:
Develops and delivers data & analytics solutions and projects to meet organizational priorities and timelines
Design, Development, and unit testing of data pipelines in Informatica IICS
Utilize Snowflake cloud database to write SnowSQL and utilize advanced features such as micro partitions and time travel
Works with offshore and external partner resources and owns delivery of work items

Qualifications

Minimum Education: Bachelor's degree in Computer Science, Software Engineering or a related field. Master’s degree may substitute for experience.

Minimum Experience: Two years; experience may substitute for degree.

2 years experience in IICS (Informatica Cloud)
Experience with Snowflake cloud database and SnowSQL
Understanding of data warehousing and ETL concepts

KNOWLEDGE, SKILLS, AND ABILITIES REQUIRED:
Should have advanced SQL skills
Gitlab experience is a plus
Good experience with scripting in Python
Should have prior experience working with Dimensional model and understand data warehousing concepts
Demonstrates potential for technical proficiency, creativity, collaboration with others, and independent thought
Excellent communication, problem-solving, and organizational skills
Must be able to build and manage relationships with all involved, managing expectations at all levels
Must be capable of working independently with limited to no supervision

At Dana-Farber Cancer Institute, we work every day to create an innovative, caring, and inclusive environment where every patient, family, and staff member feels they belong. As relentless as we are in our mission to reduce the burden of cancer for all, we are equally committed to diversifying our faculty and staff. Cancer knows no boundaries and when it comes to hiring the most dedicated and diverse professionals, neither do we. If working in this kind of organization inspires you, we encourage you to apply.

EEOC Poster",1947,Health Care Services & Hospitals,$500 million to $1 billion (USD),Healthcare,1001 to 5000 Employees,Nonprofit Organization,False
Data Engineer,"Catalytic Data Science
","Boston, MA",$96K - $136K (Glassdoor est.),4.2,"Data Engineer

Engineering

REMOTE OPPORTUNITY




About Catalytic Data Science (CDS):

Catalytic Data Science is a groundbreaking cloud R&D platform designed to integrate the volumes of scientific resources, data, and analytic tools while providing the ability to network with colleagues in one secure and scalable environment. By enabling R&D teams to work more collaboratively and improving productivity company-wide, the Catalytic platform helps teams achieve key R&D milestones faster and with greater accuracy. Our customers are passionate about making the world a better place, and we are inspired by the opportunity to help them.


The Role:

You are a Data Engineer with experience in processing terabytes of data. You have experience in creating and automating scalable, fault-tolerant and reproducible data pipelines using Amazon AWS technologies. You are interested in helping to create a platform completely built on top of AWS. You are eager to join a team of Life Scientists and Software Engineers that believe the brightest minds in research should have the best tools to drive innovation.




What You’ll Do:




Build & operate automated ETL pipelines that process terabytes of text data nightly
Develop service frontends around our various backend datastores (AWS Aurora MySQL, Elasticsearch, S3)
Perform technical analyses and requirements specification with our product team on data service integrations
Help customers bring their data to the platform



What You Know:




Must Haves:




Python 3 or Java programming experience, preferably both
Day-to-day experience using AWS technologies such as Lambda, ECS Fargate, SQS, & SNS
Experience building and operating cloud-native data pipelines
Experience extracting, processing, storing, and querying of petabyte-scale datasets
Familiarity with building and using containers
Familiarity with event-based microservices



Nice-to-Haves:




Prior experience with Elasticsearch (custom development and/or administration) is a huge plus
Prior work with text and natural-language processing
Knowledge of Graph databases



What do we love in team members?




Your specialization is less important than your ability to learn fast and adapt to shifting technologies. We’re especially fond of people who:




Focus on customer’s needs and our company’s goals, not just writing code
Iterate until customers love what you’ve built
Self-start and initiate
Self-organize
Strive to grow personally and professionally, beyond just expanding technical abilities
Love to experiment with new technology and share knowledge with the team



In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",-1,Computer Hardware Development,$1 to $5 million (USD),Information Technology,1 to 50 Employees,Company - Private,True
