Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Data Engineer,VanData LLC,"Grand Rapids, MI",$70K - $100K (Employer est.),-1.0,"Job Title: Data Engineer

Location: Grand Rapids, MI (Hybrid - 3 days on-site)

Schedule: Monday - Friday, 9am-5pm (Flexible)

Salary Range: $70,000 - $100,000 per year

Are you passionate about turning data into insights? Do you thrive in a dynamic, collaborative environment? If so, we have an exciting opportunity for you! We are seeking a skilled Data Engineer to join our dynamic team. As a Data Engineer, you will play a vital role in designing and maintaining our data infrastructure, ensuring its reliability, efficiency, and security.

The Role:

As a Data Engineer, you will be at the forefront of transforming raw data into actionable insights. We're looking for a leader who can help drive our data initiatives forward.

Key Responsibilities:

Designing and developing data warehousing solutions, including SSAS or PowerBI data models.
Fine-tuning performance for optimized data access.
You must be experienced in cloud platforms and able to leverage their services for storing and processing data at scale.
Ensure the security and privacy of sensitive data through appropriate measures.
Troubleshoot and resolve issues related to data extraction, loading, and transformation processes.
We expect you to implement efficient data integration and transformation solutions.
Collaborating closely with data analysts and business stakeholders to understand data requirements and translate them into technical specifications.

Key Skills:

Proficiency in SQL and experience with database management systems (e.g., Oracle, SQL Server, MySQL)
Experience with ETL tools (e.g., Informatica, SSIS) and data integration techniques
Experience with SSAS or PowerBI
Must possess strong programming skills, particularly in Python or other scripting languages.
Experience as a team lead and developing management methodologies is a plus.
Staying updated with industry trends and advancements in data engineering techniques is a MAJOR plus.
Client-facing experience is preferred, as you will play a pivotal role in ensuring client satisfaction.

What We're Looking For:

We're not just seeking a Data Engineer; we're looking for a data-driven leader. If you have experience mentoring engineers and making critical data decisions, you're the perfect fit for our team.

Benefits:

Simple IRA
Medical, Dental, and Vision insurance
Long-term and Short-Term Disability coverage
Life and AD&D Insurance
Generous Paid Time Off (PTO), including one floating holiday and 5 days of paid sick leave.
3 days of Bereavement leave to support you during difficult times.

If you're ready to join a dynamic team of talented individuals, make a lasting impact, and shape the future of data, we encourage you to apply.

Job Type: Full-time

Pay: $70,000.00 - $100,000.00 per year

Benefits:

Dental insurance
Flexible schedule
Health insurance
Paid time off
Professional development assistance
Vision insurance

Experience level:

3 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Grand Rapids, MI 49505: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Are you located in Michigan? (Enter Yes or No)

Experience:

SQL: 3 years (Required)
Data warehouse: 3 years (Required)
Power BI: 2 years (Required)
ETL: 2 years (Required)
AWS: 1 year (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Data Engineer (HYBRID),"MSU Federal Credit Union
","East Lansing, MI",-1,4.1,"Work Location:

This position offers a hybrid (role with a combination of working both onsite at the Headquarters 2 building in East Lansing and remotely) work arrangement. A schedule of expected onsite and remote workdays will be discussed during the interview process.

Summary:

The Data Engineer position collaborates with data scientists, analysts, and other cross-functional teams to design, build, optimize and maintain systems for collecting, storing, and analyzing data at scale. Additionally, a Data Engineer ensures that data is highly available, consistent, secure and recoverable. This position is responsible for making sure that data matches stakeholders need and helps the organization to optimize its performance, supporting a unified data strategy.

Compensation & Benefits:

Salary Range:
Data Engineer- $66,000-$80,000+ dependent on experience
Data Engineer II- $80,000-$100,000+ dependent on experience
Senior Data Engineer- $100,000- $120,000+ dependent on experience
100% Company-Paid Health, Dental, Vision, Life, and Long-Term Disability Premiums
Up to 26 days of PTO within your first year, as well as Volunteer Time Off & 11 Paid Holidays
401(k) with an immediate 2:1 Match
Tuition Reimbursement
Up to 12 Weeks of Paid Parental Leave

Essential Duties and Responsibilities:

Data Engineer I:

Assist in designing, developing, and maintaining data pipelines and ETL processes.
Collaborate with data scientists and analysts to understand data requirements and assist in implementing data solutions.
Support data storage solutions, data warehouses, and data lakes under the guidance of senior team members.
Participate in data quality assurance and assist in monitoring data pipelines.
Learn and apply data governance and data cataloging practices.
Stay updated on emerging data technologies and industry best practices.

Data Engineer II:

All of the Data Engineer I duties and responsibilities.
Design, develop, and maintain complex data pipelines and ETL processes.
Collaborate with data scientists and analysts to understand and implement advanced data solutions.
Lead the development of data storage solutions, data warehouses, and data lakes.
Ensure data quality, integrity, and security through testing and monitoring.
Implement and enforce data governance and data cataloging practices.
Stay updated on emerging data technologies and mentor junior team members.

Senior Data Engineer:

All of the Data Engineer II duties and responsibilities.
Lead the design, development, and maintenance of critical data pipelines and ETL processes.
Collaborate closely with data scientists and analysts to drive advanced data solutions.
Architect and optimize data storage solutions, data warehouses, and data lakes.
Establish and enforce data quality, governance, and cataloging best practices.
Mentor and guide junior data engineers.
Evaluate and implement cutting-edge data technologies to improve infrastructure.

Knowledge, Skills, and Abilities Required:

Data Engineer I:

Bachelor's degree in Computer Science, Data Engineering, or a related field.
Basic experience in data pipeline development and ETL processes.
Proficiency in one or more programming languages like Python, Java, or Scala.
Familiarity with SQL and basic knowledge of relational databases such Microsoft SQL Server and other DBs.
Eagerness to learn and a strong problem-solving aptitude.
Good communication and collaboration skills.
Familiarity with Microsoft Azure Data Technologies such as Data Factory, Azure DataBricks, Data Lake, Azure SQL, and Power BI.

Data Engineer II:

All of the Data Engineer I knowledge, skills, and abilities.
Bachelor's or Master's degree in Computer Science, Data Engineering, or a related field.
Proven experience in data pipeline development and ETL processes.
Proficiency in programming languages like Python, Java, or Scala.
Strong SQL skills and experience with relational databases, Microsoft SQL Server and other DBs.
Knowledge of big data technologies like Hadoop, Spark, or NoSQL databases.
Experience with data warehousing solutions like Snowflake, Redshift, or BigQuery.
Excellent problem-solving skills and attention to detail.
Effective communication and collaboration skills.
Proficiency in Microsoft Azure Data Technologies such as Data Factory, Azure DataBricks, Data Lake, Azure SQL, and Power BI.

Senior Data Engineer:

All of the Data Engineer II knowledge, skills, and abilities.
Bachelor's or Master's degree in Computer Science, Data Engineering, or a related field.
Extensive experience in data pipeline development and ETL processes.
Proficiency in multiple programming languages like Python, Java, or Scala.
Strong expertise in SQL and relational databases, Microsoft SQL Server and other DBs.
Deep knowledge of big data technologies like Hadoop, Spark, and NoSQL databases.
Significant experience with data warehousing solutions like Snowflake, Redshift, or BigQuery.
Exceptional problem-solving skills and meticulous attention to detail.
Strong leadership, communication, and collaboration skills.
Strong expertise in Microsoft Azure Data Technologies such as Data Factory, Azure DataBricks, Data Lake, Azure SQL, and Power BI.

Physical Demands and Work Environment

May be required to remain in a stationary position for an extended period of time.
Ability to operate standard office technology, equipment and tools, which may include many hours of computer and phone usage.
Frequently needs to move about inside or outside of an office area
Exposure to potentially hazardous condition, i.e. robbery. Receives detailed instructions and procedures to be followed to minimize the exposure
Frequently moves equipment or materials weighing up to 50 pounds for transport between areas of buildings.
This position is able to work in hybrid or onsite working arrangements

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",1937,Banking & Lending,$5 to $25 million (USD),Financial Services,1001 to 5000 Employees,Company - Private,True
AWS Data Engineer,"ProIT Inc.
","Utica, MI",$140K - $151K (Employer est.),4.9,"Must Have: AWS (S3, Aethna, EMR, EC2), Spark, PySpark
Good to have: Databricks, Snowflake

Requirements:

Candidate must be experienced working in projects involving data migration on AWS
Experience on data migration from On-Prem databases to AWS Cloud on S3
Understands where to obtain information needed to make the appropriate decisions
Demonstrates ability to break down a problem to manageable pieces and implement effective, timely solutions
Identifies the problem versus the symptoms
Manages problems that require involvement of others to solve
Reaches sound decisions quickly
Develops solutions to meet business needs that reflect a clear understanding of the objectives, practices and procedures of the corporation, department and business unit

Job Type: Full-time

Pay: $140,367.26 - $150,850.89 per year

Benefits:

401(k)
Dental insurance
Health insurance

Schedule:

8 hour shift

Ability to commute/relocate:

Utica, MI 48315: Reliably commute or planning to relocate before starting work (Required)

Experience:

Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,51 to 200 Employees,Company - Private,True
Data Warehouse Engineer,VanData LLC,"Grand Rapids, MI",$55K - $75K (Employer est.),-1.0,"Job Title: Data Warehouse Engineer

Company: VanData

Location: Grand Rapids, MI - On Site

Job Description:

We are seeking a skilled and experienced Data Warehouse Engineer to join our team. As a Data Warehouse Engineer, you will be responsible for designing, developing, and maintaining our data warehouse infrastructure. You will work closely with our data analysts and business intelligence team to ensure the efficient and accurate storage, retrieval, and analysis of data.

Responsibilities:

Designing and developing data warehouse solutions to support business intelligence and reporting needs
Collaborating with data analysts and business users to understand data requirements and translate them into technical specifications
Building and maintaining ETL processes to extract, transform, and load data from various sources into the data warehouse
Optimizing data warehouse performance and ensuring data integrity and security
Troubleshooting and resolving data warehouse issues and providing technical support to end users
Staying up-to-date with industry trends and best practices in data warehousing and business intelligence

Requirements:

Bachelor's degree in Computer Science, Information Systems, or a related field
Proven experience as a Data Warehouse Engineer, Developer or similar role
Strong knowledge of data warehousing concepts, methodologies, and tools
Proficiency in SQL and experience with database management systems (e.g., Oracle, SQL Server, MySQL)
Experience with ETL tools (e.g., Informatica, SSIS) and data integration techniques
Experience with Microsoft Power BI preferred
Experience in the Printing, Packaging, or Manufacturing industries preferred
Familiarity with data modeling and dimensional modeling techniques
Excellent problem-solving and analytical skills
Strong communication and collaboration abilities

Who We Are

VanData is composed of a group of highly motivated, supportive individuals. We strive to make the workplace and world more cohesive. If you are a highly motivated individual that enjoys a workplace with an open layout, frequent team outings, and the occasional game of pig or darts, consider applying today!

Benefits

VanData is currently offering full-time employees the following benefits:

Simple IRA
Medical, Dental, and Vision insurance
Long-term and Short-Term Disability
Life and AD&D Insurance
All new full-time employees start with 10 days PTO, one floating holiday, and 5 days of paid sick leave, in addition, VanData also offers 3 days of Bereavement leave.

About VanData

VanData was founded in Grand Rapids, MI on April 7th, 2015 by Nick VanderLaan. Nick aimed to create a business intelligence company after years of experience with information systems and database reporting. He endeavored to offer quality, personalized IT services. Today, VanData is composed of energetic, talented individuals, each bringing their own ingenious solutions to the company. Diversity is an integral aspect of the VanData culture today, which allows us to deliver such a variety of services with positive results. At VanData, we believe adapting for the future is key for organizations to maintain profitability and remain sustainable. Our database development and implementation provide the instantaneous information companies need to survive in today's world and to prosper in the future.

We are unable to offer relocation assistance for the time being

Job Type: Full-time

Pay: $55,000.00 - $75,000.00 per year

Benefits:

Dental insurance
Health insurance
Life insurance
Paid time off
Retirement plan
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Grand Rapids, MI 49505: Reliably commute or planning to relocate before starting work (Required)

Experience:

Data Warehousing: 1 year (Preferred)
SQL: 2 years (Preferred)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Data Engineer - 5050304,"Accenture
","Detroit, MI",-1,3.9,"Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists.

As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture's clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today's biggest business challenges.

You will receive competitive rewards and access to benefits programs and world-class learning resources. Accenture Flex employees work in their local metro area onsite at the project, significantly reducing and/or eliminating the demands to travel.

Utilize strong SQL Python skills to engineer sound data pipelines and conduct routine and ad hoc analysis to assess the performance of legacy products and the saliency of new features.

Build reporting dashboards and visualizations to design, create and track campaign program KPIs.

Perform analyses on large data sets to understand drivers of operational efficiency.

Manage end to end process of analytic tooling feature development, including request intake, requirements evaluation, cross functional team alignment, feature execution, QA testing, and stakeholder communication.

Consult with business analysts, technical data SMEs, and cross functional partners to understand their reporting and data needs, serving as the point of contact for requests, inquiries, and actions.

Interface with other data engineering, product, and data science teams to implement client needs and initiatives.




Basic Qualifications:

Minimum 2 years experience with Python.

Minimum 3 years experience SQL.

Minimum 3 years experience Big Data Analytics.

High School Diploma or GED.

Preferred Qualifications:

Experience with large enterprise data sets.

Bachelors Degree

Compensation at Accenture varies depending on a wide array of factors, which may include but are not limited to the specific office location, role, skill set and level of experience. As required by local law, Accenture provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York, or Washington as set forth below.

Information on benefits is here.

Role Location

California: $61.53 to $71.53/hour

Colorado: $61.53 to $71.53/hour

New York: $61.53 to $71.53/hour

Washington: $61.53 to $71.53/hour


What We Believe


We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.


Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here


Equal Employment Opportunity Statement


Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.


All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.


Accenture is committed to providing veteran employment opportunities to our service men and women.


For details, view a copy of the Accenture Equal Employment Opportunity and Affirmative Action Policy Statement.


Requesting An Accommodation


Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.


If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.


Other Employment Statements


Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.


Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.


Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.


The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",1989,Business Consulting,$10+ billion (USD),Management & Consulting,10000+ Employees,Company - Public,False
Cloud Data Platform Engineer,"Genoa Employment Solutions Inc
","Ann Arbor, MI",$80K - $120K (Glassdoor est.),4.7,"Position Summary:

Reporting to the Data Platform Manager, and dotted line into the Director of Transformation, the Cloud Data Platform Engineer is responsible for the technical strategy, design, planning, implementation, performance tuning and recovery procedures for cloud database systems in the enterprise and will serve as a technical expert in the area of modern database technologies and operations.

Duties and Responsibilities:

Develops Database strategy to support the cloud and containerization roadmap for cloud and on-premise environments

Defines and executes on automation activities related to environment setup, configuration, deployment, and recovery

Develops a methodology for the ongoing assessment of database performance and the identification of problem areas

Define and design global solutions for multi region high availability, cloud failover and disaster recovery, including in the future multi-cloud

Develop and rollout a hybrid cloud/on premise database model that supports hot/hot failover

Coordinate with the Cloud and Containerization team to analyze the business drivers that determine key architecture requirements and solutions

Provides leadership during the development and enhancement of production applications including working with applications, technical support and operations during the design, development, and implementation of applications

Provides guidance and mentoring across the organization in all aspects of the supported areas.

Maintain awareness of industry developments, technology, and trends

Reviews design tools, technologies, process, and approaches to make best in practice and innovative recommendations

Provides technical support for the database environment and provides guidance to the development team on new service implementations

Leads database performance benchmarks and implements performance enhancements

Responsible for day-to-day database support and maintenance activities, such as database backups, restores for development env to mission-critical production systems to meet or exceed business and IT needs

Develop, manage and support of 24x7 proactive monitoring & alerting of databases environments, working with both cloud and development teams to resolve issues and part of on-call support rotation

Logical and physical database design, and documentation where applicable

Translation of log files to actionable and measurable tasks

Planning and execution of database or database asset migrations, combined with modernization, upgrades, transformation and optimization

Responsible for Database Server installation, configuration, and set-up

Infrastructure troubleshooting in partnership with the cloud team

Qualifications:

Bachelor's Degree in computer science or other business-related field or equivalent experience

8-10 years of experience as a DBA in a mixed Operating System environment

5+ years of experience on cloud technologies in AWS, Azure or GCP

5+ years of working experience in large enterprise(s)

Very strong knowledge and experience in DB performance tuning

5+ years of experience in any three of these respective areas at minimum - MS SQL Server, Azure SQL, Cosmos DB, Couchbase

Hands On experience with SQL Always-On technology

Hands On experience with NoSQL

Experience of OS administration and Active Directory

Knowledge of data modeling concepts

Excellent written and verbal communication skills

Experience with successful project management

Ancillary Qualifications:

Qualifications listed below, while not necessarily a requirement for this position in each circumstance, provide additional depth and value to the role.

Masters degree in related field.

MS SQL certifications

Cloud Certifications (AWS, Azure, GCP)",-1,Staffing & Subcontracting,Unknown / Non-Applicable,Human Resources & Staffing,Unknown,Company - Private,True
Product Development Engineer - Data Connectivity,"Yazaki Main
","Canton, MI",$83K - $116K (Glassdoor est.),3.7,"***Please apply for this position directly at https://careers.yazaki.com/job-invite/123164/

Company Description

Yazaki is a global leader in the research, development and delivery of vehicle power and data solutions.

Yazaki works with virtually every major auto manufacturer in the world, and we've strived to maintain strategic and stable growth throughout our 83-year history. Today, we're on the lookout for energetic people with the potential to perform, as well as the ability to strengthen - and thrive in - the positive work environment we pride ourselves on.

Yazaki Culture

Here at Yazaki, we foster a culture that embodies the Yazaki Spirit: Fortitude, Service Mindset and Foresight. We are goal driven with a high level of perseverance and ability to adapt as we engage with each other and our customers. We connect with each other to help our partners succeed while holding ourselves and others accountable. We work to make the complex simple seeing around corners to anticipate the needs of our internal and external customers.

What we are looking for:

Yazaki is looking for a Data Connectivity Design Engineer to join the Connections team within our Engineering department. The ideal candidate will enjoy working in a collaborative and action-driven environment making lasting impacts on the organization. They will perform activities related to the design and development of high-speed electrical connection systems for the automotive industry.

What you will be doing:

Product Design

· Perform all product development design analysis, studies, and calculations

· Create all applicable APQP documentation (DFMEA, DVP&R, QFD, and others as appropriate)

· Prepare and Release Component Drawing/Design packages

· Participate in Product Reviews/Evaluations (Design Reviews and Benchmarking)

· Oversee and review component validation testing

· Review and approve component inspection data

Customer Management

· Resolution of customer issues

· Participation in QA related activities (8D, 5WPPS)

· Provide Customer Support when needed

· Prepare and Present Customer Technical Presentations

In addition to the above items, the Associate is expected to:

· Set personal daily work schedules in accordance with assigned tasks, deadlines, and priorities

· Perform assignments independently, with minimal guidance from the Supervisor or Manager

· Work on multiple and potentially complex issues

· Support manufacturing launch of products (may require occasional overseas travel)

What you will bring to the table:

Bachelor’s degree in Mechanical Engineering or equivalent
Working knowledge of PC environment (Excel, Word, and Power-point, etc.)
Ability to create new and interpret existing geometric drawings / models
Familiarity with FEA
Connector/Terminal Design Experience
High-Speed Data, High Frequency (RF) Connection Experience preferred
Familiarity with High Speed Data & High Frequency Communication Protocols (USB/Ethernet/LVDS/FAKRA)
Standard oral / written communication skills
Basic Materials knowledge (plastics, metals, rubbers)
2-4 years relevant connector and / or terminal design experience desired

What we can provide you:

A safe collaborative learning work environment that stimulates creativity and exploration
Diverse teams of experts
Resources from around the globe
Supportive leadership and team members to help you do your best work
Opportunities for professional growth
Competitive compensation and benefits package including incentive compensation, 401K match, tuition assistance and a generous holiday schedule
A hybrid work model

Yazaki North America is committed to providing equal employment opportunities for all persons regardless of race, color, religion, sex, age, marital status, national origin, disability, handicap, veteran status, or other legally protected status or characteristic. Equal opportunity extends to all aspects of the employment relationship. Yazaki North America complies with federal and state equal employment opportunity laws and strives to keep the workplace free from all forms of harassment.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Work Location: Hybrid remote in Canton, MI 48187",1941,Transportation Equipment Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Private,True
Data Engineer US,Sails Software,"Novi, MI",$82K - $111K (Glassdoor est.),-1.0,"Novi, Michigan
Work Type: Full Time




Would you be interested in exploring career opportunities with us?


Please find the job description below.


Job Title: Data Engineer (On-site)

Client: Equifax
Position: C2C or 1099
Location: Atlanta GA Onsite
St. Louis MO Onsite
Working Hours: 8 Hours/Per Day


What you’ll do

Conduct data wrangling and data analyses in a big data environment; Create business insights and KPI reporting using Equifax’s credit data and alternative data assets.
Working with D&A, IT, and Google Cloud Migration team, automate data reporting and scoring processes on Google Cloud
Collaborate with D&A Data Scientists and analytical consultants executing compelling analytical projects that demonstrate the value of Equifax data assets and products.
Articulate and educate various internal stakeholders on Equifax data and analytical solutions.
Use Airflow to perform a variety of data aggregation, data quality, and integrity checks.
Use Airflow for automating multiple jobs with dependencies, parallelizing jobs, monitoring run status, failures and troubleshooting, and more.

What experience you need

Master's or higher degree in Computer Science, Information Technology, Data Science, MIS, or other quantitative disciplines
4+ Years’ experience with data engineering in Financial Services or credit reporting companies
2 years experience with structured and unstructured data and accessing data using languages such as SQL
2 years of GCP and Python scripting experience
Expert knowledge of SQL and Python, or equivalent data analytics tools used for large-scale data analysis and modeling
Hands-on experience in data wrangling, data cleaning, data automation, and subsequent data monitoring and analysis
Hands-on experience in using Apache Airflow and Dataproc to programmatically author, schedule, and monitor workflows


What could set you apart

Knowledge of various sources of data such as credit bureau, consumer credit, demographics, and income data is preferred.",2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,False
Info Big Data Engineer (Sr. Engineer),"Hyundai America Technical Center, Inc. (HATCI)
","Superior Township, MI",$78K - $115K (Glassdoor est.),3.5,"Job Description:


Location: Superior Township, MI

Job Level: Senior Engineer

Level of Education: B.S. or M.S. (preferred) Computer Science, Computer Engineering, Electrical Engineering, or a combination of education and equivalent experience

Level of Industry Experience: Minimum 3 years in data analysis in automotive or IT realm

Job Type: Full-Time

Starting Date: ASAP

Job Description:

Hyundai America Technical Center, Inc. (HATCI) is currently seeking a Info Big Data (IBD) engineer at our Superior Township, MI facility. This position is in the department of Infotainment & Connected Car System SW Development that undertakes various innovation projects related to infotainment and connected car systems software development for the next generation vehicle software architecture as well as production application of SW features and service contents.

Core Responsibilities

Implement processes & tool development to capture and analyze Info Big Data (IBD)
Big Data Infrastructure: Design, develop, and maintain our Big Data infrastructure, ensuring high scalability, performance, and reliability.
Data Pipelines: Create and optimize data pipelines using Python and Shell scripting to ingest, transform, and store data from various sources.
Performance Optimization: Continuously monitor and fine-tune the Big Data systems to achieve optimal performance and minimal latency.
Troubleshooting: Proactively identify and resolve issues related to data processing, storage, and performance to ensure smooth and uninterrupted data workflows.
Understanding of Infotainment, Connected Car, & Server for the vehicle environment is beneficial
Support Hyundai-Kia Engineering teams to solve field customer complaints
Collaborate with internal/external project partners such as content providers, prototyping services, university labs, and tech suppliers
Draw implications & values based on analysis result for Specification improvement & ideation
Ensure data analysis environment is fully operational
Lead N. America IBD committee with various stakeholders
Develop IBD dashboard and publish periodic IBD reports to various teams and management
Participate global IBD projects with overseas R&D
Travel up to 15% of time domestically and internationally.


Experience and Skills:

Basic Qualifications

B.S. in Computer Science, Computer Engineering, Electrical Engineering or a combination of education and equivalent experience
Minimum 3 years of industry working experience in data analysis & big data
Experience in general purpose and high-level programming languages; Python, R, SQL, and SCALA
Able to adapt to agile work scope with shifting priorities, demands, and timelines
Comfortable with blank-slate initiatives as well as on-going established projects
Good communication skills and ability to develop/keep good relationship with tech experts from R&D Center and internal counterpart teams

Preferred Qualifications

M.S. Computer Science, Computer Engineering, Electrical Engineering or a related field
Experience with Big data-processing architecture
Strong knowledge with Database optimization & data ingestion techniques
Experience in general purpose and high-level programming languages; Python, R, SQL, and SCALA
Knowledge of Android/iOS development for automotive technologies
Understating of Big Data frameworks

v Candidates applying for positions with Hyundai and KIA must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire.

v HATCI is an Equal Opportunity Employer including Disabled and Veteran. VEVRAA Federal contractor
From: Hyundai America Technical Center, Inc. (HATCI)",1986,Transportation Equipment Manufacturing,$25 to $100 million (USD),Manufacturing,201 to 500 Employees,Subsidiary or Business Segment,True
Data Engineer General,"Global Information Technology
","Dearborn, MI",-1,3.9,"Job Title: Data Engineer General

Job Location: Dearborn, MI
Job Type: Contract

Job Description:
Experience with Alteryx, Qlikview, SQL, R, or Python a plus.
Experience creating Data Models and Data products.
Experience working with data in Informatica.
Experience working with data in SAP - S4HANA Strong collaboration and influencing skills, and the ability to energize a multi-functional team.
Proven problem formulation with the ability to take complex problems and break them down to build and implement an action plan.
Ability to communicate findings to make data analysis meaningful and understandable by Data Operations team members, business partners, including IT and analytic teams.
Ability to optimally communicate information and ideas in written and verbal formats, including process documentation.
Experience developing data standards.
Experience working in Hadoop, particularly with HDFS and Hive.

Experience Required:

3+ years of progressive responsibilities in managing data and data processes

Education Required:

Bachelor's degree in Business, Finance, Computer Science, Engineering, Statistics, Economics or equivalent experience.


Interested candidates can send their updated resumes at jobs@global-itech.com",1995,Information Technology Support Services,$1 to $5 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
