Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Data Engineer II - Enterprise Analytics,"The Venetian Las Vegas
","Las Vegas, NV",$84K - $124K (Glassdoor est.),3.8,"Position Overview:

The primary responsibility of the Data Engineer II – Enterprise Analytics is assisting in designing, developing, and deploying data-driven solutions as part of Enterprise Analytics data strategy and goals. Data Engineer II – Enterprise Analytics is responsible for creating reliable ETLs and scalable data pipelines to support Analytics and BI environment (including modeling and machine learning, visualizations, reports, cubes & applications, etc.). Data Engineer II – Enterprise Analytics participates in data modeling and development of data models and data marts by interpreting business logic required to turn complex ideas into a sustainable value add processes.

All duties are to be performed in accordance with departmental and The Venetian Resort’s policies, practices, and procedures.

Essential Duties & Responsibilities:
Collaborate with Enterprise Analytics BI Analysts and Data Scientists, and other business stakeholders to understand business problems and build/automate data structures ingested by analytics products (e.g.: reports, dashboards, cubes, etc.).
Create BI solutions, including dashboards (Power BI) and reports (SSRS, Excel, and Cognos).
Development of logic for KPIs requested by the business leadership.
Troubleshoot existing and create new ETLs, SSIS packages, SQL stored procedures and jobs.
Assist in Star and Snowflake modeling, creating dimensional models and ETL processes.
Write an efficient SQL code for use in data pipelines and data processing.
Drive data quality processes like data profiling, data cleansing, etc.
Develop best practices and approaches to support continuous process automation for data ingestion and data pipelines.
Use innovative problem solving and critical thinking approaches to troubleshoot challenging data obstacles.
Additional Duties & Responsibilities:
Test, optimize, troubleshoot, and fine-tune queries for maximum efficiency.
Maintain existing and create new Microsoft Power Apps solutions (including but not limited to Power Apps, Power Automate, Power BI, Flows, etc.) according to business needs.
Perform QA and UAT processes to foster an agile development cycle.
Create documentation on table design, mapping out steps and underlying logic within data marts to facilitate data adoption with minimum guidance from the Enterprise Analytics management.
Identify areas of improvement not just in owned work, but also other areas of the business.
Mentor and train junior Data Engineers on best practices, query and ETL optimization techniques.
Create and maintain daily, weekly, monthly, quarterly reports and dashboards.
Consolidate fractured enterprise reporting into a standardized product for easy visualization and cross-departmental understanding.
Additional Duties & Responsibilities:
Create reporting structures that accurately link cross-departmental data, which allows for on demand delivery of ad-hoc reports.
Safety is an essential function of this job.
Consistent and regular attendance is an essential function of this job.
Performs other related duties as assigned.


Company Standards of Conduct

All The Venetian Resort Team Members are expected to conduct and carry themselves in a professional manner at all times. Team Members are required to observe the Company’s standards, work requirements and rules of conduct.

Additional Duties & Responsibilities:

Minimum Qualifications:

21 years of age.
Proof of authorization/eligibility to work in the United States.
Bachelor’s degree in Computer Science, Information Systems, Engineering, Analytics, or related field is required.
Master’s degree in related discipline is preferred.
Must be able to obtain and maintain a Nevada Gaming Control Board registration and any other certification or license, as required by law or policy.
2+ years of experience in building data pipelines and ETL processes is required.
2+ years of experience creating visualizations and reports (Power BI, Tableau, MicroStrategy, Google Analytics) is required.
2+ years of experience in writing advanced SQL, data mining and working with traditional relational databases (tables, views, window functions, scalar and aggregate functions, primary/foreign keys, indexes DML/DDL statements, joins and unions) and/or distributed systems (Hadoop, Big Query) is required.
Minimum Qualifications:
1+ years of experience with programming/scripting languages such as Python, R or Big Query is required.
Experience in either Microsoft Power Suite (Power Apps, Power Automate, Power BI, etc.), Microsoft Azure, Google Cloud Platform, or RPA tools is preferred.
Excellent understanding of data types, data structures and database systems and their specific use cases is required.
Strong understanding of data modeling principles including Dimensional modeling, and Data Normalization principles is required.
Extensive knowledge of Microsoft Excel (Excel formulas, data wrangling, VBA macros, graphs, and pivot tables) is required.
Excellent critical thinker and effective problem solver with creative solutions.
Physical Requirements:

Must be able to:

Lift or carry 10 pounds, unassisted, in the performance of specific tasks, as assigned.
Physically access all areas of the property and drive areas with or without a reasonable accommodation.
Maintain composure under pressure and consistently meet deadlines with internal and external customers and contacts.
Ability to interact appropriately and effectively with guests, management, other team members, and outside contacts.
Ability for prolonged periods of time to walk, stand, stretch, bend and kneel.
Work in a fast-paced and busy environment.
Work indoors and be exposed to various environmental factors such as, but not limited to, CRT, noise, dust, and cigarette smoke.",-1,Hotels & Resorts,$100 to $500 million (USD),Hotels & Travel Accommodation,10000+ Employees,Subsidiary or Business Segment,False
Data Center Engineer,"World Wide Technology
","Reno, NV",$61K - $89K (Glassdoor est.),4.0,"Job Title: Data Center Engineer

Location: Reno, NV

Duration: 6 months Contract

Job Description:

Our client is working on their existing data center and they need technical help to make sure the servers are connected correctly and that they are pulling addresses as they should.

Qualifications include:

Strong data center experience with rack and stack Minimum of 5 years on-prem large scale data center experience supporting the Data Center equipment and/or infrastructure (Power, Space, Cooling, Equipment) Strong cabling skills, cable management and dressing Strong NW troubleshooting experience, ideally with Supermicro Servers, Infiniband Fabric and Mellanox, Arista Hardware Strong attention to detail, independent and out of box thinking Solid skills in UNIX (Ubuntu or RedHat) administration and knowledge of basic commands including logging into the server’s to monitor for disk failures, etc.

Break fix server expertise

Job Type: Full-time

Schedule:

8 hour shift

Ability to commute/relocate:

Reno, NV 89521: Reliably commute or planning to relocate before starting work (Required)

Experience:

Computer networking: 1 year (Preferred)
LAN: 1 year (Preferred)

Security clearance:

Confidential (Preferred)

Work Location: In person",1990,Computer Hardware Development,$10+ billion (USD),Information Technology,5001 to 10000 Employees,Company - Private,True
Data Engineer 2/3 (Database Administrator),"MidAmerican Energy
","Las Vegas, NV",,4.0,"This is a multi-level posting. Candidates may be considered for any of the posted levels, depending on their level of experience and depth of expertise.



Responsible for the design, implementation, maintenance and monitoring of database technologies and related software. Conducts analysis, creates system specifications, develops, tests and implements engineering, scientific and business applications, operating systems, and file/database servers. Utilizes existing or new technology in the automation of processes. Evaluates software packages and provides recommendations to management. Provides actionable recommendations for improvements in application performance after analyzing underlying database-related infrastructure components.




Primary Job Duties and Responsibilities (Essential Job Functions)

Designs, codes, tests documents, implements and maintains database utilities. (25%)

Performs top expert-level database analysis and design reviews. (20%)

Research and fact-finding to develop or modify database structures. (10%)

Works with vendors to review quality, adaptability and compatibility of their products. (10%)

Provides support for vendor-developed database implementation and periodic maintenance releases as required. (10%)

Provides technical input to assist in development of project planning. (10%)

Performs additional responsibilities as requested or assigned. (5%)

Maintains RDBMS software at appropriate vendor-supported levels. (10%)



Qualifications


Position Requirements

Bachelor’s degree in computer science, information technology or related field; or equivalent work experience. (Typically six years of related, progressive work experience would be needed for candidates applying for this position who do not possess a bachelor’s degree.)

A minimum of two years of additional directly-related experience is required.

Educational experience in database administration or systems analysis on one of the following or any combination: Oracle and Oracle Cloud products.

A strong understanding of database fundamentals
Experience on Maximum Availability Architecture components like Oracle RAC, Oracle ASM, Oracle Grid Control, Oracle Data Guard & Oracle Goldengate
Hand on experience with Database Upgrade/Migration
Preferred hands-on experience with CDB/PDB multitenant architecture (create, cloning, dropping, CDBs and PDBs),
Preferred hands-on experience with Database migration from conventional database to CDB/PDB multitenant architecture
Preferred Experience multiple Unix Flavors like AIX/SOLARIS/LINUX
A knowledge of RMAN backup and recovery processes
Proficiency in using SRVCTL and CRSCTL for listeners, adding databases, shutdown/startup
Experience using Oracle Enterprise Manager
Oracle Fleet Maintenance experience a plus
Experience on Exadata a plus
Position requires 24/7 production on call in a group rotation.
Night /weekend work required periodically for patching activities or similar.
Employees must be able to perform the essential functions of the position, with or without an accommodation. We celebrate diversity, equity and inclusion, and we are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion or religious creed, age, national origin, ancestry, citizenship status (except as required by law), gender (including gender identity and expression), sex (including pregnancy), sexual orientation, genetic information, physical or mental disability, veteran or military status, familial or parental status, marital status or any other category protected by applicable local, state or U.S. federal law.",2000,Energy & Utilities,$1 to $5 billion (USD),"Energy, Mining & Utilities",1001 to 5000 Employees,Subsidiary or Business Segment,False
Data Pipeline Engineer,"TTC, Inc.
","Nellis AFB, NV",$78K - $108K (Glassdoor est.),4.4,"Position: Data Pipeline Engineer
Location: Hughes Center, Las Vegas / Nellis AFB, NV
Clearance: Secret Clearance
Travel: 5%
TTC is currently accepting applications for a Data Pipeline Engineer. Selected Candidates will work within dynamic leading-edge-technology environments enabling the 805th Combat Training Squadron/Shadow Operations Center – Nellis (ShOC-N) to conduct integration, experimentation, and assessments of emerging technologies and mission procedures to meet warfighter requirements in Joint All Domain Command and Control (JADC2) and the Advanced Battle Management System (ABMS), providing the USAF resilient and integrated joint C2 solutions sets. This is an on-site position located at Nellis Air Force Base in Las Vegas, NV.
This excellent opportunity requires that the ideal candidate to be customer focused, and willing to join a winning team.
Responsibilities:
Support the data instrumentation and analysis pipeline for the 805 CTS
Create and maintain optimal data pipeline architecture
Assemble large, complex data sets that meet functional organizational requirements
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and other ‘big data’ technologies
Work with stakeholders and design teams to assist with data-related technical issues and support their data infrastructure needs
Keep data separated and secure across multiple data centers
Work with data and analytics experts to strive for greater functionality in our data systems
Preferred Skills & Experience:
4+ years of experience in a Data Engineer role desired
Data engineering certification desired (e.g., IBM Certified Data Engineer)
Experience with cloud services desired
Strong project management and organizational skills desired
Experience supporting and working with cross-functional teams in a dynamic environment desired
Required Skills, Abilities and Competencies:
Bachelor’s degree required in Computer Science, Statistics, Informatics, Information Systems or another quantitative field required
Must have advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases
Must have experience building and optimizing ‘big data’ data pipelines, architectures and data sets
Must have experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
Must have strong analytic skills related to working with unstructured datasets
Build processes supporting data transformation, data structures, metadata, dependency and workload management
Must have working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores
Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra
Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc
Must maintain a Secret security clearance with Top Secret eligibility
At TTC, Inc., we value diversity and have worked diligently to create a workforce that reflects this. As an Equal Opportunity and Affirmative Action Employer, we are committed to providing an environment based on mutual respect which is free of discrimination and harassment. TTC's employment opportunities are available to all teammates and applicants, without regard to race, color, religion, sex, pregnancy, national origin, age, physical or mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information, military and veteran status, and any status protected by federal, state, and local laws. Diversity, inclusion and genuine respect for each other are key contributors to our success as an employer.

[Equal Opportunity/Affirmative Action Employer – minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity]

Information Assurance and Information System Security are the responsibility of each and every TTC, Inc. employee. All TTC employees shall comply with TTC Information Assurance and Information Management System policies and procedures. Additionally, employees with access to Government systems and information will comply with all Government laws, regulation, instructions and rules. TTC employees will do everything within their abilities to safeguard information and systems, to include issued/authorized devices such as computers, cellular phones, notebooks, tablets, iPad, etc. In the event of an information systems security incident, TTC employees will immediately report the situation to one of the TTC corporate members.


Should you require assistance or an accommodation to complete your application, please contact our Human Resources Department at HR@ttcin.com or 1-571-319-7516.",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,Unknown,Company - Private,True
Data Engineer,"Photon
","Las Vegas, NV",$97K - $156K (Glassdoor est.),3.8,"Greetings Everyone

Who are we?

For the past 20 years, we have powered many Digital Experiences for the Fortune 500. Since 1999, we have grown from a few people to more than 4000 team members across the globe that are engaged in various Digital Modernization. For a brief 1 minute video about us, you can check

https://youtu.be/uJWBWQZEA6o

.

What will you do?

List out the Instructions

What are we looking for?

Seeking for a strong data analyst who can perform independent.

Good to have Prior experience in banking domain is plus and understanding the finance various data transactions.

Should be strong in the below:
Python

Pyspark

SQL

Airflow

Trino

Hive

Offshore Cordination

LLD

Agile Scrum

Linux

Openshift

Kubernentes

Superset

Optional skill set:
Linux

Openshift

Kubernentes

Superset",2007,Information Technology Support Services,$100 to $500 million (USD),Information Technology,5001 to 10000 Employees,Company - Private,False
Enterprise Data Strategy & Governance - Data Engineer II - P2,"Credit One Bank
","Las Vegas, NV",$73K - $115K (Glassdoor est.),3.1,"Description





Position Summary

This position is a part of the Data Strategy, Governance, and Analytics (DSGA) group. The Data Ops team is part of the DSGA, and its principal responsibility is to build and run the processes to capture the data created during the business’s day-to-day operations, validate, integrate, and bring it all together to make it available across the business for analytical purposes. The key success factor for data ops is that business can get their hands on high-quality, well-curated data in a timely, accurate, and integrated fashion.

The mission of the data ops team is to support the data and analytical needs of the business which are growing rapidly with the business growth, new products, partners, technological ecosystem, and expectations of a data-driven business environment.

The Data Ops Data Engineer is an experienced data / IT professional with a demonstrable background in data warehouses/data lakes and has been involved in analysis, design, development, and delivery tasks for data applications supporting very large volumes.


In addition to strong technical skills, the successful candidate also exhibits a highly collaborative and team-oriented attitude and has good interpersonal skills, oral and written presentation skills, and critical thinking skills. The successful technical lead is open and flexible to new ideas, and a fast learner who does not hesitate to dive into learning new tools, and practices to upgrade the bank’s data applications to the future state of data analytics.

Essential Job Functions:
Lead, develop, and maintain high-quality and optimal solutions related to data ingestion, loading, and data curation.
Design and develop data pipelines and the underlying architecture to support disparate patterns of analytical usage by partner teams within DSGA and business, in a stable and high-performant way.
Work with Scrum masters, product owners, Subject Matter Experts, and other data engineers within the team to drive agile data programs.
Ensure adherence to published development standards and database best practices resulting in consistent and efficient implementation of solutions.
Translate business requirements into data solutions leading the development team’s data analysis and ETL design efforts.
Provide crisp communication to stakeholders on the progress of data projects and escalates issues in a timely manner.
Ensure that work and processes are well documented.
Interact with process SMEs and senior/executive leaders across the business.
Anticipate issues based on knowledge of internal data trends and propose solutions.
Serve as an expert consultant to internal technical and line of business teams.
Promote data validation, data quality, and governance goals, ensure the accuracy of deliverables, and communicate precisely.
Perform other duties as assigned.
Position Requirements:
3+ years’ experience building Data Warehouse and Business intelligence solutions.
1+ years of experience with Big Data tools (Python, Spark, HDFS, Hive) and technologies.
Expertise in Data Analysis, Database Design, and Data Architecture; strong SQL skills.
Should be able to effectively identify test scenarios to assist with systems and user testing.
Provides input on the development of project plans, test plans, and implementation plans including determining estimates on time frames and needed resources.
Ability to work in a collaborative environment on complex problems.
Ability to troubleshoot Code and Data quality issues.
Strong communication and documentation skills.
Solid planning, priority setting, and time management skills

Preferred
Experience in financial industry, like retail banking or credit card business.


Credit One Bank, N.A. is a data-driven financial services company based in Las Vegas. Founded in 1984, Credit One Bank offers a spectrum of credit card products for people in all stages of financial life. Credit One Bank is an equal opportunity employer committed to diversity and inclusion and does not discriminate against any employee or applicant for employment because of age, race, religion, color, disability, sex, sexual orientation, or national origin. Reasonable accommodations can be made for those who require them, including access to job applications and workplace accommodations. Employment at Credit One Bank is based on mutual consent (also known as at-will). This means that employees and the Bank may terminate the employment relationship at any time, with or without cause and with or without notice. Please contact the recruiter for this position to learn more. Credit One Bank does not accept unsolicited resumes from agencies and is not responsible for related fees.",1984,Banking & Lending,Unknown / Non-Applicable,Financial Services,501 to 1000 Employees,Company - Private,False
Data Center Engineer,"NVIDIA
",Nevada,$140K - $288K (Employer est.),4.6,"Are you a person who likes to work in a fast-paced organization? For two decades, NVIDIA has pioneered visual computing, the art and science of computer graphics. With our invention of the GPU - the engine of modern visual computing - the field has expanded to encompass personal computer games, movie production, product design, medical diagnosis, and scientific research. Today, visual computing is becoming increasingly central to how people harmonize with technology, and there has never been a more exciting time to join our excellent team. NVIDIA is now passionate about innovation at the intersection of visual processing, high performance computing, and artificial intelligence.
Our data centers, and the thousands of servers installed in them, are the foundation upon which our creative products and services are delivered. Our customer base consists of hundreds of deeply intelligent engineers who continually provide us with complex problems to be solved. We are looking for a highly motivated senior Data Center technician to join our team. Having depth and breadth knowledge of working in data center facilities in a large-scale distributed environment is a strength you'll need. You should have deep knowledge and experience in at least one of the following core areas: Project Management, Hardware Operations, Network Operations or Data Center Operations.
What you'll be doing:
Act as technical liaison for our partner organizations
Lead installation, monitoring, maintenance, support, and optimization of all production server hardware
Contribute to the development of the global DC knowledge base
Build plans to optimize power, cooling, and network resources
Analyzing forecast to efficiently match supply to demand. Predict data center growth and scaling issues before they occur and implement solutions
You will hunt for and resolve issues, analyze data looking for trends and systemic issues. Implement process improvements and develop a cutting-edge operational environment through automation
What we need to see:
You will have 6+ years proven ability in large-scale data center hardware deployments and server relocation projects
BS, BA, or BEng degree in a technical field, or equivalent experience
Sophisticated knowledge in diagnosing servers, hardware repair, and component replacement
Experience with Data Center Build or Operations. You will be able to demonstrate a successful track record
Ability to understand internal customer problem and provide technical solution in timely manner
Good interpersonal skills and ability to communicate efficiently with a diverse group of customers and staff
Experience providing client-facing direct customer support and service
Ability to work in a constantly evolving, hands-on, startup environment
Ways to stand out of the crowd:
Deep understanding of data center power and cooling infrastructure, of network and cabling infrastructure
Experience in Inventory Management and Excel tools
You're a self-starter with a demeanor for growth, continuous learning, and constantly looking to improve the team
Attention to detail with superb communication skills and the ability to optimally lead multiple priorities
Constantly look to improve the team and build strong business relationships
NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most forward-thinking and hardworking people in the world working for us. If you're creative and autonomous, we want to hear from you!
The base salary range is 140,000 USD - 287,500 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
You will also be eligible for equity and
benefits
. NVIDIA accepts applications on an ongoing basis.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",1993,Computer Hardware Development,$5 to $10 billion (USD),Information Technology,10000+ Employees,Company - Public,False
DATA ENGINEER II,"Boyd Gaming Corporate
","Las Vegas, NV",$85K - $121K (Glassdoor est.),3.2,"Position Description:
Design, plan and engineer Data Warehouse and Data Integration solutions to acquire, harmonize, and consolidate company data assets producing efficient and supportable high-quality solutions.



Minimum of 1 year of cloud experience.
Responsible for ETL and database development, documentation, and compliance using best practices and agile development methodologies
Create, maintain and optimize SQL stored procedures, queries and functions
Work closely with Data Architects and Bl Team to design data and analytics solutions to increase the usability, completeness, and accuracy of enterprise data
Perform development activities such as Source to target mapping validations, identify, document and execute unit test cases/scripts, peer and lead code reviews per code review checklist and document test and review results
Analyze user requirements and translate into database and ETL requirements and implement in code
Ensure solutions are well engineered, operable, maintainable, performant, and delivered on schedule.
Interface with the other IT operational teams (Architecture/BA/Bl/OBA) and functional areas to ensure that the most efficient solution is designed to meet business needs.
Monitor and tune ETL's, Databases and processes for application performance; and protocol compatibility
Provide tier II or tier Ill support; perform root cause analysis and develops checklists and playbooks
Provide ongoing proactive technical support for ETL and data warehouse systems to ensure business continuity

Position Requirements:


Bachelor's Degree preferred in a related discipline; significant applied experience or a combination of education and experience may be substituted
5+ years' experience of Data Warehouse and ETL application development using Microsoft SQL Server Integration Services (SSIS)
5+ years' experience building stored procedures, functions, schema objects using Microsoft SQL Server T-SQL
5+ years' experience with data warehouse technical architectures,
ETL, data structures, and reporting tools and environments; thorough understanding of dimensional modelling concepts
1+ years’ of Cloud warehouse experience

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",1975,Gambling,$1 to $5 billion (USD),"Arts, Entertainment & Recreation",10000+ Employees,Company - Public,False
Data Analyst/Data Engineer,RakirS Systems,"Henderson, NV",$76K - $110K (Glassdoor est.),-1.0,"Data Analyst/Data Engineer
Job ID: 1362
Job Posted: 11/16/2020

Responsibilities:
Conceptualize, build and maintain pre-aggregated datasets, reports and other analytical products
Collaborate with business stakeholders to understand business problems and build/automate analytics products such as:
Well architected (re-usable, scalable) aggregate tables that meet current and future reporting needs in the EDW
Intuitive and actionable dashboards and data visualizations for data-drive decision making using presentation layer BI tools like Tableau, SSRS etc.,
Develop a deep understanding of the Snowflake EDW, dimensional models and ETL business logic
Become a subject matter expert in TFG’s upstream source systems over time
Translate data and insights into a meaningful story to drive strategy, action, and decision-making at an executive level
Work closely with the Data Platforms team to determine the best strategy for process scheduling and follow best practices set by the team
Required Skills: Expert SQL skills, particularly in an analytics / reporting capacity. Significant experience creating and maintaining DW and reporting processes
Advanced Data modeling skills (hands-on experience + theoretical understanding)
Implementing star-schemas/snowflake-schemas
Slowly changing dimensions
Advanced SQL skills required
Primary/foreign keys, indexes (when to use them)
Joins and unions
Tables and Views (How are they different? Pros and cons of using)
Be able to describe differences between DML/DDL statements
Window functions
Scalar and aggregate functions





Requirements: Master's degree or equivalent in Computer Science, Engineering, Information Technology or Related field.

How to Apply: Mail resume to Rakirs Systems LLC, Attn: HR,
Work Hours: 9:00 a.m. to 5:00 p.m.
HR@rakirssystems.com",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,False
Azure Administrator / Data Engineer,"Agama Solutions
","Las Vegas, NV",$82K - $116K (Glassdoor est.),4.5,"Azure Administrator /Data Engineer

Can be remote but in one of the approved states (CA/FL/NV/TX)

Long Term


Top 3 Responsibilities.

The Azure Administrator will be responsible for maintaining, supporting, and improving Microsoft Azure and DevOps environments

Communication & collaboration with development and infrastructure teams to provide efficient and reliable web app solutions
Day-to-day management and troubleshooting of issues that arise within the Azure environment
Monitoring and reporting across the Azure infrastructure environment
Requirements analysis and task breakdown for new infrastructure deployments
Maintaining and introducing new processes where required
Stay updated on the platform's new tools, capabilities, and updates
Provides design, development, security, and performance testing.

Skills:

Experience in at least minimum 3 skills below:

Azure PaaS databases administration (hyperscale, synapse ).
IAM roles and config.
Data factory knowledge – SHIR, AIR, performance monitoring, and tuning.
Azure Databricks – cluster config, tuning, administration.
On-prem to cloud migration knowledge.
Azure DevOps
Virtual machine configuration
VNET / Subnets configuration
Azure SecOps knowledge",-1,Computer Hardware Development,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Contract,False
