Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Data Engineer Level 2,"Kforce
","Cincinnati, OH",$72.00 - $77.00 Per Hour (Employer est.),3.9,"RESPONSIBILITIES:
Kforce has a client in Cincinnati, OH that is seeking a Level 2 Data Engineer to join their team on a 12-month contract to hire basis. Remote employees will be considered.

Responsibilities:

Accountable for developing and delivering technological responses to targeted business outcomes
Data Engineer Level 2 will analyze, design, and develop enterprise data and information architecture deliverables, focusing on data as an asset for the enterprise
Understand and follow reusable standards, design patterns, guidelines, and configurations to deliver valuable data and information across the enterprise, including direct collaboration, where needed
Utilize enterprise standards for data domains and data solutions, focusing on simplified integration and streamlined operational and analytical uses
Ensure there is clarity between ongoing projects, escalating when necessary, including direct collaboration
Leverage innovative new technologies and approaches to renovate, extend, and transform the existing core data assets, including SQL-based, NoSQL-based, and Cloud-based data platforms
As a Data Engineer Level 2, you will define high-level migration plans to address the gaps between the current and future state
Contribute to the development of cost/benefit analysis for leadership to shape sound architectural decisions
Analyze technology environments to detect critical deficiencies and recommend solutions for improvement
Promote the reuse of data assets, including the management of the data catalog for reference
Draft architectural diagrams, interface specifications and other design documents
Build processes supporting data transformation, data structures, metadata, dependency, and workload management
REQUIREMENTS:

Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases
Experience building and optimizing 'big data' data pipelines, architectures, and data sets
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement
Working knowledge of message queuing, stream processing, and highly scalable 'big data' data stores
Strong analytic skills related to working with unstructured datasets
Strong project management and organizational skills
A successful history of manipulating, processing, and extracting value from large, disconnected datasets
The pay range is the lowest to highest compensation we reasonably in good faith believe we would pay at posting for this role. We may ultimately pay more or less than this range. Employee pay is based on factors like relevant education, qualifications, certifications, experience, skills, seniority, location, performance, union contract and business needs. This range may be modified in the future.

We offer comprehensive benefits including medical/dental/vision insurance, HSA, FSA, 401(k), and life, disability & ADD insurance to eligible employees. Salaried personnel receive paid time off. Hourly employees are not eligible for paid time off unless required by law. Hourly employees on a Service Contract Act project are eligible for paid sick leave.

Note: Pay is not considered compensation until it is earned, vested and determinable. The amount and availability of any compensation remains in Kforce's sole discretion unless and until paid and may be modified in its discretion consistent with the law.

This job is not eligible for bonuses, incentives or commissions.

Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",1962,Business Consulting,$1 to $5 billion (USD),Management & Consulting,10000+ Employees,Company - Public,False
Data Engineer,"T-Cetra LLC
","Dublin, OH",$75K - $103K (Glassdoor est.),3.6,"This position is for Ohio residents.

T-CETRA LLC, the creator of the VIDAPAY platform, is on the lookout for experienced individuals to join our growing engineering team. We're in the business of connecting merchants with major wireless carriers, offering innovative solutions that enhance their operations. If you have a strong foundation in engineering principles and are ready to contribute to a dynamic, expanding team while solving complex problems in the wireless industry, we want to hear from you.

Responsibilities:
Apply advanced knowledge of technical concepts and principals to design and develop a variety of data warehousing and integration projects.
Design, develop and maintain accurate and timely data models to meet business needs.
Develop and maintain extensible integration workflows and ELT jobs connecting internal business applications.
Collaborate with application development teams to design and develop integrations that maintain data integrity.
Participate in the gathering and refinement of project requirements with product managers and business stakeholders.
Participate in deployments and support projects in production after release.
Stay current with emerging technologies and industry trends.

Minimum Requirements:
5+ years of experience contributing to and supporting highly available, scalable, data systems
5+ years of experience with relational database design, implementation, and optimization for MS SQL, SSIS, and SSRS.
2+ years of experience with other SQL Dialects such as Postgres.
2+ years of Experience writing data pipelines and tools using Python or similar languages.
Experience integrating with Relational Databases, HTTP APIs, File Systems, and SaaS solutions.
Experience with Redshift, Snowflake, Big Query, or other Data Warehousing solutions.
Proficiency with AWS or other modern cloud hosting platforms
Proficiency with at least one major programming language and API framework.
Experience with Apache Airflow is a plus
Experience integrating with ERP Systems, Salesforce, and/or Tableau is a plus
Experience with Docker, Redis, and CI/CD Pipelines is a plus
Strong problem-solving and organizational skills


T-CETRA provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity, marital status, age, genetic information, disability, veteran-status, or any other characteristic protected under applicable Federal, state, or local law. Our goal is for each staff member to have the opportunity to grow to the limits of their abilities and to achieve personal and organizational objectives. We will support positive programs for equal treatment of all staff and full utilization of all qualified employees at all levels within T-CETRA. To create a safe and positive environment for employees, all applicants must perform a pre-employment drug screen and background check.",2007,Telecommunications Services,$5 to $25 million (USD),Telecommunications,51 to 200 Employees,Company - Private,True
Data Engineer,"Lifebanc
","Cleveland, OH",$79K - $113K (Glassdoor est.),2.7,"Title: Data Engineer
Are you ready to save a life?

Do you want to be the person that makes the miracle of organ donation a reality? Do you want to turn tragedy into hope and healing? This is what we do every single day and we think you have what it takes.

Join a team that combines the fulfillment of an amazing mission with incredible benefits. This is not just another job or listing on your resume. Simply put, this job will change you, just like organ, eye and tissue donation and transplantation changes the lives of donor families and recipients.

Every day, the Lifebanc team gets the opportunity to change lives forever. Become a part of our family as we work toward a world where everyone in need of an organ or tissue transplant receives the healing they deserve. Come be a life saver.

What is Lifebanc?

Lifebanc, is the federally designated organ, eye and tissue recovery organization that serves 20 counties in Northeast Ohio. Put simply, we facilitate and coordinate organ, eye and tissue donation and transplantation in our community and educate the public on the importance of our mission. Our vision is pursuing a future where organ, eye and tissue donation is embraced as an honor and personal responsibility. Our mission is to save and heal lives.

Position Description:

This Data Engineer position will:
Gather, manage, analyze, and report data to and from internal Lifebanc and external industry systems to evaluate performance metrics.
Produce, prepare, and submit data for regulatory requirements. This data will be gathered from internal and external systems to be analyzed to establish baseline performance metrics and identify opportunities for improvement.
Promote efficiency throughout the organization by utilizing creative and innovative thinking to develop, analyze, and display measures in a professional format for both internal and external customers.

Qualifications:


BS in Economics, Computer Science, Information Management or Statistics preferred.
Proven working experience as a data analyst or engineer for a minimum of 3 years, preferably in healthcare.
Detailed custom report writing and business intelligence experience for a minimum of 3 years using Tableau, Power BI, or equivalent SQL based report building software.
Knowledge of SQL query writing and development with a minimum of 3 years of experience using MS SQL Server Management Studio or equivalent.
Statistical programming experience preferred using Python, R, MATLAB, SAS, or SSPS.
Advanced research skills and experience with data collection and analysis.
Ability to analyze data and trends, identify opportunities, and then communicate the findings.

Essential Functions:


Perform concurrent and retrospective data collection from clinical and operational databases including but not limited to Transplant Connect, the Scientific Registry for Transplant Recipients (SRTR), Bureau of Motor Vehicles (BMV), and Health and Human Services (HHS).
Ensure data collection processes are consistent, repeatable, and appropriate throughout the organization.
Create custom reports to allow staff to utilize accurate data in decision making processes.
Work with clinical staff to determine which specific data elements can be combined into meaningful custom reports.
Develop, verify, analyze, and report statistical measures of organ, eye, and tissue donation for strategic direction, organizational metrics, performance measures, quality improvement, and regulatory compliance throughout the organization.
Design ad hoc reports, automate standardized reports, scorecards and dashboards using source data from the various clinical and administrative databases that comprise Lifebanc’s data warehouse.
Maintain monthly scorecards/dashboards for the organization, Leadership team, and other initiatives to ensure compliance with agency performance measures.
identify and compile appropriate data for the creation of detailed management reports, so that organization performance can be effectively measured.
work with end users to identify business requirements for reporting and analysis, validates the results, and ensures data quality.
utilize various information management tools to compile data into meaningful reports.
Support quality improvement initiatives through meeting attendance, data preparation, leading analytical discussions, effective written/verbal communication skills, professional interpersonal skills, and keep management informed of data requests.
identify opportunities for improvement, collaborate with team members, and support recommendations with data and judgment.
Lead education on data review and analysis for internal teams, present outcomes to leadership and operational management teams as needed, identify, and correct data errors, proactively communicate opportunities for improvement, establish positive relationships with other departments, and be a resource for internal and external research data requests.
Maintain a continuous and independent education on cutting-edge statistical techniques and programming languages.

Applicants must be authorized to work for ANY employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa at this time.

Compensation and Benefits:

When you join Lifebanc you can expect competitive salaries and a great benefit package. Our benefits include health, dental and vision insurance, health savings account, short-term disability and life insurance. We also offer a generous paid time off program, 401(K) retirement plan, parental leave, on-site fitness facility, tuition reimbursement and more!

Lifebanc is committed to a workforce that is diverse, inclusive, and equitable. We encourage qualified candidates to apply.",-1,Health Care Services & Hospitals,$25 to $100 million (USD),Healthcare,51 to 200 Employees,Nonprofit Organization,True
Data Engineer,"The Ohio State University Wexner Medical Center
","Columbus, OH",$80K - $111K (Glassdoor est.),3.8,"Job Description

Contributes strategic vision and serves as the top-level technical contributor and lead for the most complex data and analytics initiatives in an effort to align information technology solutions with business initiatives. Serves as the primary contributor and consultant for data related to patient care services in the planning design development implementation functionality and evaluation of integrated clinical information systems that support and enhance clinical practice administrative and management needs and patient outcomes. This position is responsible for building innovative and analytical solutions to business issues and provides research and evidence to support senior leader decision-making. He or She will coordinate data analytics with other university and medical center entities and work with external resources to identify and adopt innovative analytic methods to business issues while working with leadership to differentiate the value proposition of products and services. Recognized across the organization for data and analytics expertise.


Minimum Qualifications
Master's degree in computer science or relevant field, or equivalent combination of education and experience. Minimum of 6 or more years of experience in healthcare (preferably experience in reporting/analytics environment). Ability to manage large complex projects/initiatives that involve high risk and great impact for the organization. Serve as a top-level technical expert for the discipline of data and analytics. Demonstrate an understanding of enterprise data warehouse, big data, cloud, BI & analytics, content management, and data management. Desired experience with Caboodle/Cogito/Clarity.

Our Comprehensive Employee Benefits Include:

An array of retirement plan options, each with a generous employer contribution.
Affordable health insurance options, including dental, vision and prescription coverage that begin on day one.
Paid vacation and sick leave, including short and long-term disability and paid parental leave.
Get the most out of the Public Service Loan Forgiveness program.
And much more!
Regular 40 First Shift",1916,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,10000+ Employees,Hospital,False
"Senior Scientist (Process Engineer – Data Scientist), Research & Development-Consumer Foods","The J. M. Smucker Company
","Orrville, OH",$67K - $95K (Glassdoor est.),3.6,"Your Opportunity as a Senior Scientist (Process Engineer – Data Scientist), Research & Development-Consumer Foods
In this role you will be responsible for leveraging the use of data science tools and techniques to develop and make inferences on data from process systems. You will need to develop expertise in manufacturing processes such as baking, dough sheeting, mixing, slicing, depositing, and other process systems associated with the business to enable the use of quantitative / statistical / machine learning techniques. These tools will be used to meet business goals related to fundamental process understanding, process capability and manufacturing efficiency. This role will actively work with senior team members to develop the appropriate goals that drive business results. In addition, you will bring methods of analyzing and displaying large sets of data to both the technical community and our business leaders. This role will lead the development of the connection between the process engineering discipline and the data science discipline for our business area.
To be successful in this role you will need a strong foundation in process engineering that demonstrates your experience in applying engineering principles to solve complex technical problems as well as a background in data science.
Location: Orrville, OH Corporate Offices (Estimated 50% Hybrid Environment to accomplish goals of the team and anticipated up to 30% Travel)
In this role you will:
Lead in the use of data science tools and techniques to develop and make inferences on data from process systems. This includes identifying the key process inputs and correlating them to key outputs which result in the development of our fundamental process control understanding for both existing process and new processes.
Develop and contribute to predictive modeling techniques as applied to manufacturing processes.
Build the organization’s technical depth in statistical data analysis and methods.
Develop expertise in Consumer manufacturing processes focused on the technologies used in our
Uncrustables
facilities which enable a deeper understanding of the data being analyzed.
Provide technical leadership for process development through the lens of Data Science for new products, including design of pilot plant (PRL) experiments, creation of test plans for plant trials and scale-up from the pilot scale to manufacturing and our Commissioning, Qualification and Verification process for product/process launches.
Design data-driven solutions to enhance analytical capabilities helping to correlate analytical measures to key product and process parameters.
Determine and recommend the highest value areas to study which bring the greatest impact to our business. Impact to our business is measured both from the consumer need perspective and the manufacturing efficiency perspective.
Identifies opportunities and advocates for implementation of best practices in the discipline of data science, focusing on its application to process systems. .
Partner with the Smucker Information Services Data Science (IS) team on several aspects of this discipline including the creation and maintenance of Data Science learning paths allowing the organization to keep up with current trends in the discipline and in shaping the company's machine learning strategy
Guides other team members and developers, working with our IS data science team to set up sustainable data pipelines for modelling initiatives. Understands best practices in the Data Engineering space and sees impact on Data Science.
Can explain advanced concepts specific to model training and is capable of leading others through the process. Helps the team and stakeholders understand scope and limitations of models.
Coach and mentor early-career food technologists and process engineers as part of our Basic Belief and Commitment to Each Other philosophy.
Support the department through leadership of QA and/or HS&E Key Elements.
Embrace and actively participate in company’s inclusion, Diversity and Equity (ID&E) corporate initiative.
The Right Place for You
We are bold, kind, strive to do the right thing, we play to win, and we believe in a strong community that thrives together. Our culture is rooted in our
Basic Beliefs
, and we believe in supporting every employee by meeting their physical, emotional, and financial needs.
What we are looking for:
Minimum Requirements:
Bachelor’s Degree or higher in Engineering (Chemical preferred)
Practical experience applying data science techniques in a manufacturing environment
Minimum of ten (10) years of relevant experience in Data Science, Engineering and/or Research & Development
With at least 2+ years of hands-on experience developing and applying Statistical/ML predictive methods or comparable experience
Ability to communicate difficult technical concepts, and the ability to collaborate across functional teams to achieve shared goals and objectives.
Strong critical thinking and complex problem solving
Ability to apply statistical thinking and decision making
Ability to work independently in complex situations
Additional skills and experience that we think would make someone successful in this role:
Master’s degree or higher in Engineering (Chemical preferred) and a BS degree in Data Science or closely related field
Experience with data science application to new or existing manufacturing processes in a beverage or food related field
Well-versed in R and/or Python, with a deep understanding of relational data structures and SQL
Demonstrated project management skills through process/equipment qualification
Strong background in applying engineering principles & critical thinking to solve complex technical problems.
Deep understanding of what data science algorithms and approaches to apply to different situations.
Learn more about working at Smucker:
Our Total Rewards Benefits Program
Our Thriving Together Philosophy Supporting All Impacted by Our Business
Our Continued Progress on Inclusion, Diversity and Equity
Follow us on
LinkedIn®
#LI-MR1
#INDSA",1897,Food & Beverage Manufacturing,$5 to $10 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Senior GCP Data Engineer,IVID TEK INC,"Westlake, OH",$65.00 - $70.00 Per Hour (Employer est.),-1.0,"Sr. GCP Data Engineer

Primary Skills: GCP big query, Python programming, Strong SQL, Teradata to GCP migration.

Required Skills:
Strong experience in Spark, need to be able to tune the spark jobs.
Strong Python programmer.
Very good experience Bigdata( In GCP it is Data Proc), programming and Hadoop admin level.
Google cloud platform experience like BQ (Big Query), Dataproc, Serverless, cloud functions, GCR (Google Container Registry) etc.
Good at orchestration tolls like cloud composer
Good experience Kubernetes (GKE or EKS )
Experience in Docker images and corresponding repositories.
CI/CD experience like Jenkins.
Need good experience in how machine learning models work , what are different algorithms, how each model performance will be measured etc. Entire life cycle of machine learning model.",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Public,True
Data Engineer- 5050306,"Accenture
","Cincinnati, OH",-1,3.9,"Accenture Flex offers you the flexibility of local fixed-duration project-based work powered by Accenture, a leading global professional services company. Accenture is consistently recognized on FORTUNE's 100 Best Companies to Work For and Diversity Inc's Top 50 Companies For Diversity lists.

As an Accenture Flex employee, you will apply your skills and experience to help drive business transformation for leading organizations and communities. In addition to delivering innovative solutions for Accenture's clients, you will work with a highly skilled, diverse network of people across Accenture businesses who are using the latest emerging technologies to address today's biggest business challenges.

You will receive competitive rewards and access to benefits programs and world-class learning resources. Accenture Flex employees work in their local metro area onsite at the project, significantly reducing and/or eliminating the demands to travel.

Utilize strong SQL Python skills to engineer sound data pipelines and conduct routine and ad hoc analysis to assess the performance of legacy products and the saliency of new features.

Build reporting dashboards and visualizations to design, create and track campaign program KPIs.

Perform analyses on large data sets to understand drivers of operational efficiency.

Manage end to end process of analytic tooling feature development, including request intake, requirements evaluation, cross functional team alignment, feature execution, QA testing, and stakeholder communication.

Consult with business analysts, technical data SMEs, and cross functional partners to understand their reporting and data needs, serving as the point of contact for requests, inquiries, and actions.

Interface with other data engineering, product, and data science teams to implement client needs and initiatives.




Basic Qualifications:

Minimum 2 years experience with Python.

Minimum 3 years experience SQL.

Minimum 3 years experience Big Data Analytics.

High School Diploma or GED.

Preferred Qualifications:

Experience with large enterprise data sets.

Bachelors Degree

Compensation at Accenture varies depending on a wide array of factors, which may include but are not limited to the specific office location, role, skill set and level of experience. As required by local law, Accenture provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York, or Washington as set forth below.

Information on benefits is here.

Role Location

California: $61.53 to $71.53/hour

Colorado: $61.53 to $71.53/hour

New York: $61.53 to $71.53/hour

Washington: $61.53 to $71.53/hour


What We Believe


We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.


Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here


Equal Employment Opportunity Statement


Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.


All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.


Accenture is committed to providing veteran employment opportunities to our service men and women.


For details, view a copy of the Accenture Equal Employment Opportunity and Affirmative Action Policy Statement.


Requesting An Accommodation


Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.


If you would like to be considered for employment opportunities with Accenture and have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.


Other Employment Statements


Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.


Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.


Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.


The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",1989,Business Consulting,$10+ billion (USD),Management & Consulting,10000+ Employees,Company - Public,False
AI/ML Engineer-Data Scientist,Datawize Technologies Inc,"Mason, OH",$70.00 - $75.00 Per Hour (Employer est.),-1.0,"Responsibilities:
Client is Looking for AI/ML Engineer-Data Scientist for one of our Healthcare Client

Experience in LLM and Generative AI
Experience in Document extraction/chat
Strong experience in Python, NLP
Experience working in a cloud-native environment such as AWS
Should have hands on experience with AWS Neptune or Neo4J graph database
Experience in building and maintaining open-domain or health care domain-specific ontologies
Understanding of knowledge graphs
Have experience in building graph-based ontology from scratch and working with structured and unstructured data
Experience supporting ML models development on big data infrastructure (on knowledge graph would be a bonus)
Hands on python to build knowledge Graph/ontologies.
Experience with AWS Textract, Comprehend Medical (nice to have

Job Type: Contract

Pay: $70.00 - $75.00 per hour

Expected hours: 40 per week

Schedule:

Day shift
Monday to Friday

Work Location: In person",-1,-1,-1,-1,-1,-1,True
Senior Data Engineer (Snowflake) - Contractor,"EY
",United States,$90.00 - $130.00 Per Hour (Employer est.),3.9,"The primary responsibility for the Sr. Data Engineer / Tech Lead is to ensure data accessibility, quality, and reliability within the client's data platform ecosystem.

RESPONSIBILITIES

Design and develop end-to-end data pipelines and ETL processes using Snowflake, Denodo, DBT Cloud, Fivetran, and AWS Glue, ensuring seamless data integration, transformation, and loading.
Collaborate with cross-functional teams to gather data requirements and implement scalable data models and schemas within Snowflake and Denodo, ensuring optimal performance and data consistency.
Implement and maintain data orchestration workflows using Stonebranch, ensuring efficient and reliable scheduling and automation of data processes.
Work with EnterpriseDataLake for ingestion and storage of data from various sources, ensuring the availability and accessibility of data for analytics and reporting purposes.
Utilize Azure DevOps and Teraform to implement and manage infrastructure as code, ensuring streamlined deployment and scalability of data engineering solutions.
Skills

snowflake

denodo

dbt cloud

fivetran

Qualifications

REQUIREMENTS

Proficiency in Snowflake and Denodo: Strong understanding and hands-on experience in working with Snowflake and Denodo for data integration, transformation, and analysis.
Knowledge of DBT Cloud: Familiarity with DBT Cloud, including experience in building and maintaining efficient data transformation workflows and deploying reliable data pipelines.
Experience with Fivetran: Demonstrated experience in utilizing Fivetran for data ingestion, source connectivity, and ensuring data accuracy and completeness.
Understanding of EnterpriseDataLake: Knowledge of EnterpriseDataLake principles and practices, including data ingestion, storage, and organization for analytics and reporting purposes.
Familiarity with Stonebranch: Proficiency in using Stonebranch for data orchestration and scheduling, ensuring efficient and reliable execution of data pipelines and workflows.
Proficiency in Azure DevOps and Teraform: Experience in leveraging Azure DevOps and Teraform for infrastructure as code, enabling streamlined deployment and scalability of data engineering solutions.

The expected pay rate range for this contract assignment is $90 to $130 per hour. The exact pay rate will vary based on skills, experience, and location. The position is approximately 65-70% remote and 30-35% travel to the client as needed.

#GigNowTechOpportunities

GigNowOpportunities

Equal Employment Opportunity Information
EY provides equal opportunities to applicants, employees, contractors, vendors, and stakeholders without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, pregnancy, genetic information, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, in accordance with applicable law. If you are an individual with a disability and either need assistance applying online or need to request an accommodation during any part of the application process, please email gignow.recruiting@ey.com.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Unknown,False
Ransomware Data Recovery Engineer / Researcher,"Donor Drives LLC
","Cleveland, OH",$62K - $97K (Glassdoor est.),1.9,"Company Description

Founded in 2011, Proven Data is a company that offers digital forensic investigation, ransomware recovery, and cyber security services. In 2015, Proven Data was the first company to assist victims of ransomware in the world. Seeing the need for proactive data protection, Proven Data started offering cyber security services to their clients in 2017. The company's mission is to provide high-quality services to their clients and help them keep their data safe from cyber threats by providing 24/7 assistance throughout the year.


Role Description

This is a full-time remote position for a Ransomware Data Recovery Engineer / Researcher. The Ransomware Data Recovery Engineer / Researcher will be responsible for:




performing complex data recovery tasks for clients affected by ransomware attacks
reverse engineering malware to aid in data recovery efforts
developing new techniques to aid in data recovery and ransomware mitigation
researching ransomware trends and methods for more effective recovery



Qualifications

Excellent understanding of common file systems, file types
Ability to perform in-depth, hex editor file analysis
Write C/C++ tools and scripts to perform various operations with files, file systems, and data extraction
Strong analytical and problem-solving skills
Excellent written and verbal communication skills
Ability to work independently and remotely
Experience in malware analysis and reverse engineering is a plus",-1,Consumer Electronics & Appliances Stores,$1 to $5 million (USD),Retail & Wholesale,1 to 50 Employees,Company - Private,True
