Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Senior Data Engineer,"Transport Enterprise Leasing
","Chattanooga, TN",$110K - $130K (Employer est.),5.0,"Senior Data Engineer
Share with a friend by copying and using this link: https://tel360.com/careers/openpositions/?gnk=job&gni=8a78859e8a48e57e018a8f81127d18e3&gns=Company+Website

Position Purpose:
We are seeking a highly skilled Senior Data Engineer to join our dynamic team. In this role, you will be responsible for developing and maintaining both back-end ETL integrations and front-end user-facing metrics and dashboards. You will work closely with cross-functional teams, including other data engineers, business analysts, and software engineers, to ensure efficient data integration, processing, and visualization. You will play a crucial role in transforming raw data into actionable insights, enabling data-driven decision-making across the organization.
(THIS POSITION IS ONSITE IN CHATTANOOGA, TN)
Position Responsibilities:
Continuously learn, share, and implement improvements in all processes and responsibilities as needed to enhance effectiveness of providing world class service and support.
Design, develop, and maintain robust ETL pipelines from various data sources.
Implement scalable and optimized solutions for data processing, storage, and retrieval.
Collaborate with stakeholders to understand data requirements and translate them into technical specifications.
Coordinate with multi-platform development team to support a unified strategy for data governance and architecture.
Build user-facing dashboards and visualizations to effectively present data insights and key metrics.
Ensure data quality and integrity throughout the data pipeline and create tools to better identify and resolve any issues or bottlenecks.
Optimize performance and scalability of data processing and storage systems.
Support data validation efforts with stakeholders and development team as needed.
Stay up-to-date with emerging technologies and industry trends in data engineering and analytics.
Mentor and provide guidance to other team members, fostering knowledge sharing and professional development.
Knowledge, Skills, and Abilities:
Bachelor’s or higher degree in Computer Science, Engineering or a related field.
Proven Experience as a Data Engineer, preferably in a lead role.
Strong expertise in developing and maintaining ETL pipelines using tools such as Apache Spark, Airflow, or similar frameworks.
Proficiency in programming languages such as Python, Java, or Scala for data processing and integration.
Solid understanding of data warehousing concepts, relational and NoSQL databases, and data modeling.
Experience with front-end development and visualization tools such as Domo, Tableau, Power BI, or D3.js.
Familiarity with cloud platforms such as AWS, Azure, or GCP and their data services (e.g., S3, Redshift, BigQuery).
Comfortable working with a variety of APIs to push and pull data from various data systems and platforms.
Excellent problem-solving and analytical skills with a keen attention to detail.
Strong communication skills and the ability to collaborate effectively with cross-functional teams.
Wage:
$110,000 to $130,000K based on experience.
Benefits:
100% employer paid medical and dental (single and family coverage) premiums through BlueCross BlueShield of TN.
HSA with $800 annual employer contribution
Voluntary Life, Short- and Long-Term Disability
8-week paid Maternity Leave (mothers) and 2-week paid Paternity Leave (fathers)
PTO
10 Holidays (including birthday)
Paid day off on Veterans Day for Veterans
401(k) with up to 4% employer match
Profit Sharing (some exclusions apply)
Retirement Pay Program
Years of Service Cash Incentive
Smart Dollar financial wellness program",2004,Banking & Lending,Unknown / Non-Applicable,Financial Services,51 to 200 Employees,Company - Private,True
"Data Engineer (Hybrid - Franklin, TN)","Vaco
","Franklin, TN",$100K - $140K (Employer est.),3.6,"Title: Data Engineer (Azure) - Hybrid (Franklin, TN)
Why is this position open: Growth
Pay/Salary/Benefits/Perks: Up to $140K, bonus, competitive benefits
Work from Home Policy: Hybrid (Franklin, TN), flexible hours
Interview Process: 3 Interviews, streamlined process
Key Skills: 2+ years of data engineering, Python, ETL, Azure, SQL

Responsibilities:

Design, build, and maintain Azure data pipelines that connect with multiple data sources
Develop and maintain ETL processes using Azure Data Factory
Create and manage jobs in Azure Data Bricks
Create and maintain optimal data pipeline(s) architecture on our Azure platform
Collaborate with other teams to understand data requirements and implement solutions
Ensure security, performance, and oversight on existing databases in SQL Server and Oracle
Troubleshoot and resolve data-related issues in a timely manner
Visiting our various facilities to collaborate with our internal customers

Qualifications:



2+ years experience
At least one year of previous data engineering experience on an Azure data platform
Proficiency in Python and ETL
Bonus Skills:
Experience with Azure Data Factory, Azure Data Bricks, and Data Lakes
Experience with SSAS, SSIS, SSRS, and Power BI
Experience sourcing structured and unstructured data from databases, files, RESTful API's
Manufacturing industry experience",2002,Staffing & Subcontracting,$500 million to $1 billion (USD),Human Resources & Staffing,501 to 1000 Employees,Company - Private,True
Data Analyst/Engineer,"Beacon Specialized Living Services
","Nashville, TN",,3.0,"Applicants must be authorized to work for ANY employer in the U.S. We are unable to sponsor or take over sponsorship of an employment Visa at this time.

Primary Responsibilities/Essential Functions:

· Assist in selecting and building Data Warehouse

· Define and Build Tabular Data Model

· Improving observability, discoverability, governance, and implementing a common data integrity and data quality testing framework.

· Constructing reliable and performant high-volume ETL or ELT pipelines for sensitive healthcare data.

· Contributing to and maintaining legacy ETL and ELT data pipelines.

· Proactively monitoring data pipelines for potential problems and debugging issues if they arise.

· Helping to model data at various stages of refinement, curation, and enrichment to best suit different downstream targets and marts.

· Partnering with leadership to identify data objectives, targets, and bringing data insights to life.

· Other duties as assigned.

Education & Qualifications:

· A Bachelor's degree in computer science, data science, or information systems.

· 3 years of proven data and performance engineering.

· Expert in SQL.

· Experience using data warehouses and databases like Azure, SQLAAS.

· Experience developing custom-built data/analytics solutions.

· Experience with Azure, Data Factory, API’s.

· A strong understanding of healthcare.

· Established project management skills.

· Advanced training certifications may be advantageous.

· Excellent verbal and written communication skills, interpersonal, and teaching skills.

· Good anticipation, analytical, and problem-solving skills.

· The ability to remain current on the latest technology and best practices in information security.

· Valid Driver’s License with acceptable driving record as determined by Motor Vehicle Report and insurance guidelines.

Job Type: Full-time

Benefits:

401(k)
401(k) 4% Match
Dental insurance
Health insurance
Health savings account
Life insurance
Paid holidays
Paid time off
Vision insurance

Compensation package:

Yearly bonus

Experience level:

3 years

Schedule:

Monday to Friday

Application Question(s):

Are you willing to travel to Nashville, TN as needed? (not frequent)
Do you require work sponsorship now or in the future? (Answer Required)

Education:

Bachelor's (Required)

Experience:

Healthcare IT: 3 years (Required)

Work Location: In person",1964,Health Care Services & Hospitals,$5 to $25 million (USD),Healthcare,1001 to 5000 Employees,Company - Private,True
Senior Data Engineer (Snowflake) - Contractor,"EY
",United States,$90.00 - $130.00 Per Hour (Employer est.),3.9,"The primary responsibility for the Sr. Data Engineer / Tech Lead is to ensure data accessibility, quality, and reliability within the client's data platform ecosystem.

RESPONSIBILITIES

Design and develop end-to-end data pipelines and ETL processes using Snowflake, Denodo, DBT Cloud, Fivetran, and AWS Glue, ensuring seamless data integration, transformation, and loading.
Collaborate with cross-functional teams to gather data requirements and implement scalable data models and schemas within Snowflake and Denodo, ensuring optimal performance and data consistency.
Implement and maintain data orchestration workflows using Stonebranch, ensuring efficient and reliable scheduling and automation of data processes.
Work with EnterpriseDataLake for ingestion and storage of data from various sources, ensuring the availability and accessibility of data for analytics and reporting purposes.
Utilize Azure DevOps and Teraform to implement and manage infrastructure as code, ensuring streamlined deployment and scalability of data engineering solutions.
Skills

snowflake

denodo

dbt cloud

fivetran

Qualifications

REQUIREMENTS

Proficiency in Snowflake and Denodo: Strong understanding and hands-on experience in working with Snowflake and Denodo for data integration, transformation, and analysis.
Knowledge of DBT Cloud: Familiarity with DBT Cloud, including experience in building and maintaining efficient data transformation workflows and deploying reliable data pipelines.
Experience with Fivetran: Demonstrated experience in utilizing Fivetran for data ingestion, source connectivity, and ensuring data accuracy and completeness.
Understanding of EnterpriseDataLake: Knowledge of EnterpriseDataLake principles and practices, including data ingestion, storage, and organization for analytics and reporting purposes.
Familiarity with Stonebranch: Proficiency in using Stonebranch for data orchestration and scheduling, ensuring efficient and reliable execution of data pipelines and workflows.
Proficiency in Azure DevOps and Teraform: Experience in leveraging Azure DevOps and Teraform for infrastructure as code, enabling streamlined deployment and scalability of data engineering solutions.

The expected pay rate range for this contract assignment is $90 to $130 per hour. The exact pay rate will vary based on skills, experience, and location. The position is approximately 65-70% remote and 30-35% travel to the client as needed.

#GigNowTechOpportunities

GigNowOpportunities

Equal Employment Opportunity Information
EY provides equal opportunities to applicants, employees, contractors, vendors, and stakeholders without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, pregnancy, genetic information, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, in accordance with applicable law. If you are an individual with a disability and either need assistance applying online or need to request an accommodation during any part of the application process, please email gignow.recruiting@ey.com.",-1,-1,Unknown / Non-Applicable,-1,Unknown,Unknown,False
Data Engineer II,Velocity Risk,"Nashville, TN",$87K - $116K (Glassdoor est.),-1.0,"By innovating the connection of risk and capital, Velocity Risk delivers specialty property insurance in catastrophe prone communities. Embracing Nature’s volatility and turning “problems” into potential, we are transforming old insurance practices. Our uncommon approach to business creates uncommon careers where employees are empowered to flourish.

Do you enjoy a career where you can work on routine tasks and projects using your keen attention to detail and focus? Are you someone that likes to look at a problem and analyze all the perceived outcomes to make a research-based, smart decision? Would you consider yourself steady and consistent in your work and diligence to the product you create and your ability to execute on tasks assigned? If so, we are looking for you!

As our Data Engineer I, you will be a crucial part of the data architecture of Velocity by utilizing your knowledge and detailed mind to develop reliable tools and systems of data for better business consumption and analysis.

You will thrive in this position if you have these core capabilities…

High Attention to Detail – focused and attentive to correct data and pinpointing any inaccurate information quickly and efficiently
Perpetual curiosity with a mindset of continuous improvement
Autonomy with a collaborative drive when it benefits the outcome or results
Business Acumen
Comfortable in ambiguity
7+ years’ experience using query languages within relational database management systems.
5+ years’ experience with ETL products with experience with Informatica Cloud being a plus
5+ years’ experience with scripting languages with Powershell and/or Python being pluses
3+ years’ experience with report writing and data visualization and/or business intelligence software with experience with Tableau being a plus.

The core responsibilities in this role are…

Maintaining end-to-end data pipelines.
Produce documentation related to internal data flows.
Assist internal business partners with using data to make informed decisions and improve processes.
Develop tooling to facilitate end-user consumption of company data.
Merge business knowledge with various complex data sources to produce reports on an ad hoc basis.
Act as subject matter expert on latest technology trends related to data engineering, data governance, and automation of data-related processes.

Demonstrated Experience for success in this role…

Velocity Risk provides equal opportunity to everyone, and we do not tolerate discrimination or harassment to anyone.

We strive to ensure our employees have the best experience possible! We provide comprehensive and competitive benefits packs for our full-time employees.

Medical, Dental, and Vision fully subsidized by Velocity
Health Savings Account with employer contributions
401k after 6 months of employment
Education and Certification Reimbursement and Bonus programs
Paid Time off and company Holidays with floating holidays for flexibility
Gym membership reimbursements
Volunteer rewards and “give-back” initiatives
In-office lunch provided

We are a hybrid team (2 days remote, 3 days in office).

Velocity Risk participates in E-Verify. https://e-verify.uscis.gov/web/media/resourcesContents/E-Verify_Participation_Poster.pdf",2015,Insurance Carriers,Unknown / Non-Applicable,Insurance,51 to 200 Employees,Company - Private,True
Junior Data Engineer,"Careoperative Llc
",United States,-1,4.2,"Healthcare Bluebook is an industry pioneer - one of the first to expose the true quality and cost of healthcare by making information accessible through a simple digital solution. Our founders are thought leaders who are sought after for their expertise in one of the fastest growing healthcare markets today. Now consumers can have confidence they’re making high-value healthcare choices when they use Bluebook to identify high-quality doctors and facilities that consistently deliver care at a Fair Price.


Your Job Will Be:


The Data Engineer will support our efforts to integrate, validate, enrich, and aggregate healthcare data for use by our analysts and data scientists. You’ll help find new and useful sources of information and lead the charge to go get it and make sure we can keep this data up to date over time. You will also help ensure this data is translated to the rest of the analytics teams in a useable format. You will be expected to master the intricacies of efficiently acquiring large amounts of data from various sources, designing pipelines to move that data to and from our hosted and cloud environments, and push the evolution of these processes to accommodate new types of data.


Essential Duties and Responsibilities:


Create and maintain processes to acquire, validate, and enrich data from various sources

Build and maintain data pipelines and automate existing manual processes.

Work with Data Integration to build and maintain efficient processes for loading acquired data into our relational, dimensional, and no-SQL databases

Implement data lake architecture best practices to ensure a standardized and scalable way that we store and process our data

Work with other teams to identify new sources of data, and estimate feasibility of acquiring specific data sources

Take an active role in agile processes

Work Experience and Background:


This is a junior-level role, and the ideal candidate will have several of the following.


1+ years of work experience in a hands-on data engineering role

Experience working with Data Lakehouse and / or migrating RDBMS systems to a Lakehouse.

Experience working with the most common types of healthcare data (medical claims, eligibility, provider network rosters, Rx claims, etc.) from a variety of sources.

Strong organizational skills and time management capacity to balance multiple projects with limited supervision.

Ability to build and re-evaluate a process from the ground up.

Strong investigative skills with ability to search beyond the initial results.

Have a fanatical attention to detail, with overwhelming desire to test and double-check your own results.

Comfortable working with messy data and ambiguous results

Education (Bachelor’s degree or greater, or equivalent practical experience) in a quantitative field such as statistics, mathematics, engineering, or computer science


Technical Proficiencies:


Our infrastructure consists of a hybrid solution (traditional hosting + cloud hosting) that uses the technologies below. Ideal candidates will have experience with several of these. While we use Azure for our cloud environment, experience with equivalent cloud services from AWS and/or Google is acceptable.


SQL Server

.NET Framework and C#

Databricks / Spark

Delta Data Lakehouse

Python and Jupyter Notebooks

Azure Blob Storage

Azure Data Factory

Azure Synapse Analytics

Version control systems (Git, Azure DevOps, etc)

Experience building workflows


Healthcare Bluebook Core Values:


As a member of the Bluebook team, it is expected that you will live and breathe our Core Values each and every day in everything they do striving to help us achieve our purpose of Protecting Patients by exposing the truth and empowering choice.


Substance Create Value over splash.
Humility Serve with Gratitude.
Accountability Own it no matter what.
Resourcefulness Always agile with change.
Integrity Honor the truth.",-1,Internet & Web Services,$5 to $25 million (USD),Information Technology,51 to 200 Employees,Company - Private,True
Data Engineer,"Phosphorus Cybersecurity Inc.
","Nashville, TN",$81K - $117K (Glassdoor est.),4.0,"As a Data Engineer at Phosphorus you will play a critical role in ensuring high standards of data management in the ever evolving field of xIoT cybersecurity. Your work has the opportunity to directly impact the safety and security of critical infrastructure in industrial, medical and enterprise environments around the world. This role reports directly to the Director of Device Intelligence and depending on where you live, will have some travel to the Corporate headquarters based in Nashville, TN.

What you'll do.

Architect the future of data at Phosphorus. Make significant contributions to the development of the Phosphorus Data Platform and provide input from beginning to end. Your work will support customers in making informed decisions about the security of their xIoT ecosystem.

Uphold system-wide data integrity. Ensure a high level of data integrity and availability deepening the confidence customers have when making decisions about their critical infrastructure managed by Phosphorus.

Continuously innovate and iterate. Pursue a culture of continuous improvement and excellence by challenging assumptions and driving technical direction in a data-driven manner.

Empower others. Advocate for best practices not only within your team but throughout the organization gathering feedback on the Data Platform services along the way to inform future direction.

Grow yourself and the team. Collaborate with your team to identify and fill one another's skill gaps. We are redefining a critical product category and it is unlikely we all have 100% of the skills needed to succeed.

What you're great at.

5+ years building scalable data solutions

Experience with modern programming languages such as Go and Python (Rust and Elixir a plus)

Maintained industrial-strength web scraping platforms and are familiar with the ongoing maintenance required

Established a modern datastack usings tools such as dbt, Airflow, Snowflake/Redshift, etc.

Experience in deploying OLTP, OLAP and KVS data stores where appropriate and the ETL/ELT pipelines to keep them up-to-date

Excellent communication skills and the ability to flex between technical and non-technical audiences

About us:

Phosphorus Cybersecurity is the leading xTended Security of Things platform designed to secure the rapidly growing and often unmonitored Things across the enterprise xIoT landscape. Our Enterprise xIoT Security Platform delivers Attack Surface Management, Hardening & Remediation, and Detection & Response to bring enterprise xIoT security to every cyber-physical Thing in your enterprise environment. With unrivaled xIoT discovery and posture assessment, Phosphorus automates the remediation of the biggest IoT, OT, and Network device vulnerabilities—including unknown and inaccurate asset inventory, out-of-date firmware, default credentials, risky configurations, and out-of-date certificates.

Follow Phosphorus on LinkedIn, Twitter, and YouTube. Learn more: www.phosphorus.io.",2017,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,True
DATA ENGINEER,"Dollar General
","Goodlettsville, TN",$76K - $118K (Glassdoor est.),2.7,"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
General Summary:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.

Duties & Responsibilities:
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and cloud technologies.
Build analytics tools that utilize the data pipelines to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Work with stakeholders including the Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Qualifications:
Knowledge, Skills and Abilities:
Knowledge of programming languages (e.g. Java and Python)
Hands-on experience with SQL database design
Great numerical and analytical skills
Degree in Computer Science, IT, or similar field; a Master’s is a plus
Data engineering certification (e.g IBM Certified Data Engineer) is a plus
Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.
Experience with Snowflake/Azure cloud services: EC2, EMR, RDS, Redshift
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc
Work Experience &/or Education:
Degree in information technology or computer science with additional vendor-specific certification.
BS or MS degree in Computer Science or a related technical field
4+ years of Python or Java development experience
4+ years of SQL experience (No-SQL experience is a plus)
4+ years of experience with schema design and dimensional data modeling
Ability in managing and communicating data warehouse plans to internal clients
Experience designing, building, and maintaining data processing systems
Experience working with a cloud platform such as Snowflake / Azure or Databricks
_:
#mogul#",1939,Other Retail Stores,$10+ billion (USD),Retail & Wholesale,10000+ Employees,Company - Public,False
Data Engineer,"HCA Healthcare
","Nashville, TN",$82K - $109K (Glassdoor est.),3.3,"Introduction

Do you want to join an organization that invests in you as a Data Engineer? At HCA Healthcare, you come first. HCA Healthcare has committed up to $300 million in programs to support our incredible team members over the course of three years.

Benefits

HCA Healthcare, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include:

Comprehensive medical coverage that covers many common services at no cost or for a low copay. Plans include prescription drug and behavioral health coverage as well as free telemedicine services and free AirMed medical transportation.
Additional options for dental and vision benefits, life and disability coverage, flexible spending accounts, supplemental health protection plans (accident, critical illness, hospital indemnity), auto and home insurance, identity theft protection, legal counseling, long-term care coverage, moving assistance, pet insurance and more.
Free counseling services and resources for emotional, physical and financial wellbeing

401(k) Plan with a 100% match on 3% to 9% of pay (based on years of service)

Employee Stock Purchase Plan with 10% off HCA Healthcare stock

Family support through fertility and family building benefits with Progyny and adoption assistance.

Referral services for child, elder and pet care, home and auto repair, event planning and more

Consumer discounts through Abenity and Consumer Discounts

Retirement readiness, rollover assistance services and preferred banking partnerships

Education assistance (tuition, student loan, certification support, dependent scholarships)

Colleague recognition program

Time Away From Work Program (paid time off, paid family leave, long- and short-term disability coverage and leaves of absence)

Employee Health Assistance Fund that offers free employee-only coverage to full-time and part-time colleagues based on income.

Learn more about Employee Benefits

Note: Eligibility for benefits may vary by location.


You contribute to our success. Every role has an impact on our patients’ lives and you have the opportunity to make a difference. We are looking for a dedicated Data Engineer like you to be a part of our team.

Job Summary and Qualifications

What makes the Information Technology Group unique as a technology company is that our solutions ultimately impact the care of patients. Although our skills are needed in a number of industries, we in ITG apply them specifically to the noble cause of healthcare. We are ""Healthcare Inspired."" It is this guiding vision that pervades and positively influences every level of our organization. It shapes our mission, defines our values, and brings our leaders and employees together in a shared enthusiasm for their work, setting ITG apart as a uniquely purpose-driven company in the IT industry. As a part of that, we exist to Raise the bar, Unlock possibilities, and Care like family.

The Data Engineer will report directly to the Manager of Automation Delivery, and work closely with stakeholder teams and the Automation Center of Excellence. This role will collaborate with various leaders, product owners, analysts, project managers, and technical solution providers across the enterprise to deliver on data-related business needs to support the development of new end user, analytics, and operational automations and applications. The Data Engineer will work alongside engineers and subject matter experts for the planning and execution of designated work efforts, escalation of issues, and support of associated areas to assist in the development and support of tools and analysis to ensure a successful implementations and ongoing operations. The ideal candidate will be data-driven, with the ability to plan out and develop applications. The individual should be innovative and passionate about developing new automation capabilities alongside our clinical and operational product teams and Automation Center of Excellence


CORE COMPETENCIES


The following are highlighted core expectations for the job/role:


Communication and interpersonal skills
Moral Courage
Stakeholder partnership
Understanding strategic imperatives
Cross-functional knowledge
Risk management
Software Development
Technology Implementations
Process improvement/re-engineering

At HCA ITG, you WILL influence patient care. Every process, technology and decision matters.

Major Responsibilities


Automation Development

Collaboration with various teams to understand opportunities and challenges related to data implementations using automation
Perform deep data analysis to inform solution design and application optimization
Contribute to day-to-day efforts associated with building and optimizing automation tooling.
Propose recommendations, adjustments and/or process improvements to achieve success as needed.
Development of support tools to assist in effective and efficient functional implementations.
Provide assistance and support to facilitate business needs as they arise
Escalation of concerns or issues that could impact a successful project go live in a timely and detailed manner.
Attendance and participation in team and/or project meetings.
Provide detailed report outs and status updates as needed.
Some travel may be required to support business efforts.
Practice and adhere to the “Code of Conduct” philosophy and “Mission and Value Statement”
Perform other duties as assigned

Incident Response and Communications

Provide after-hours support including weekends and holidays as needed
Participate in major events and/or large problem efforts between multiple divisions, vendors, and ITG resources
Actively participate in communications needs and expectations for customers and stakeholders

What qualifications you will need:

Bachelor's Degree preferred
Three or more years relevant work experience
Three or more years in Information Technology
One or more years experience in healthcare

Knowledge, Skills, Abilities, Behaviors:

Results oriented with an eye towards business results as the objective of automations
Exceptional written and verbal communication skills
Exceptional customer service skills in a team-oriented, collaborative environment
Demonstrated excellent analytical skills and problem solving abilities
Demonstrated experience with process improvement/re-engineering
Extensive experience with relational database management systems; SQL Server preferred
Advanced SQL skills, including the ability to write, tune, and interpret SQL queries
Demonstrated experience with healthcare integration standards such as HL7 and FHIR Ability to troubleshoot, maintain, reverse engineer, and optimize existing ETL pipelines and SSIS packages
Experience with public cloud technologies such as, GCP Big Query, GCP Data Catalog and Azure Data Bricks In depth knowledge of all applicable systems as assigned
Ability to make independent decisions and work on independent tasks Ability to be adaptable and flexible with a changing environment
Knowledge of architectural and data principles
Ability to leverage technical metrics to drive effective business decisions
Ability to accomplish assignments, analyzing alternative approaches in the process of advising management on aspects of development, operations and solutions
Knowledge of IT governance and operations
Knowledge of microservices architecture and distributed systems


HCA Healthcare has been recognized as one of the World’s Most Ethical Companies® by the Ethisphere Institute more than ten times. In recent years, HCA Healthcare spent an estimated $3.7 billion in cost for the delivery of charitable care, uninsured discounts, and other uncompensated expenses.


""Good people beget good people.""- Dr. Thomas Frist, Sr.
HCA Healthcare Co-Founder

We are a family 270,000 dedicated professionals! Our Talent Acquisition team is reviewing applications for our Data Engineer opening. Qualified candidates will be contacted for interviews. Submit your resume today to join our community of caring!

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",1968,Health Care Services & Hospitals,$10+ billion (USD),Healthcare,10000+ Employees,Company - Public,True
Data Engineer,"CHS Corporate
","Franklin, TN",$80K - $106K (Glassdoor est.),3.2,"Community Health Systems is one of the nation’s leading healthcare providers. Developing and operating healthcare delivery systems in 43 distinct markets across 15 states, CHS is committed to helping people get well and live healthier. CHS operates 76 acute-care hospitals and more than 1,000 other sites of care, including physician practices, urgent care centers, freestanding emergency departments, occupational medicine clinics, imaging centers, cancer centers and ambulatory surgery centers.

Summary:
This role places you at the heart of Big Data and Google Cloud Platform (GCP), central to maintaining and developing all systems connected to CHS Data Services. Your keen understanding of Managed File Transfer (MFT) will be crucial in managing and enhancing our MFT platform seamlessly integrated within GCP.

Responsibilities:

Administer GCP and MFT Systems:
Oversee and optimize Business Intelligence and data service systems within GCP, and play an active role in the MFT platform’s management.
GCP and MFT Analysis and Review:
Scrutinize GCP and MFT reporting implementations, ensuring their optimal performance and timely problem resolution.
Collaborate on GCP and MFT Initiatives:
Work synergistically with different teams to address GCP and MFT-related information processing and capacity planning.
Provide GCP and MFT User Assistance:
Offer vital support to users, ensuring the efficient and productive use of GCP and MFT applications, alongside comprehensive training and problem resolution.
Ensure GCP and MFT Compliance:
Maintain adherence to relevant policies and procedures within GCP and MFT operations.
Design GCP-Based Databases:
Develop OLAP databases within GCP for extensive multi-dimensional data analysis.
Implement GCP Data Warehousing Solutions:
Integrate data from diverse sources within GCP, underlining the efficiency and enhancing organizational performance.

Requirements:
Educational Qualification: Bachelor's in Computer Science or Electrical Engineering.
Professional Experience:

3 years in Information Technology, with experience in MFT, GCP and Big Data Processing Frameworks.
GCP and MFT Expertise: Proficient in GCP tools and services with a solid understanding and experience in MFT platforms.
Experience in designing GCP-based OLAP databases.
Familiarity with XML, JSON/JavaScript, and Hadoop ecosystem tools within GCP environments.
Additional Skills:
Clear and concise oral and written communication skills.
Previous experience in a healthcare environment is a plus.
Contribute substantially by enhancing our GCP and MFT platforms, ensuring top-tier customer experience and the evolution of our business models.

Physical Demands:

In order to successfully perform this job, with or without a reasonable accommodation, the following are outlined below:

The Employee is required to read, review, prepare and analyze written data and figures, using a PC or similar, and should possess visual acuity.
The Employee may be required to occasionally climb, push, stand, walk, reach, grasp, kneel, stoop, and/or perform repetitive motions.
The Employee is not substantially exposed to adverse environmental conditions and; therefore, job functions are typically performed under conditions such as those found within general office or administrative work.",1985,Health Care Services & Hospitals,$10+ billion (USD),Healthcare,10000+ Employees,Company - Public,True
