Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Software/Data Engineer TS/SCI + Polygraph $120K - $200k + 15% 401k,"Millennial Software
","McLean, VA",$100K - $200K (Employer est.),5.0,"Title: Software/Data Engineer Locations: McLean, VA

Base Salary: $100,000.00 - $200,000.00 per year

- We are an employee owned company, every employee receive equity in the company

- 100% company-paid medical, dental, and vision premiums for you and all dependents;

- the ability to get increased salary if you don't need medical/dental/vision;

- 100% company-paid disability and life insurance benefits;

- 15% 401(k) company contribution, vested day 1;

- 30 days of PTO/holidays;

- the ability to flex time across pay periods;

- a generous training budget;

- Paid Paternal and Maternal Leave

- business development / growth incentives; and

- top notch company swag

Job Description:

Clearance Level Must Currently Possess:

Top Secret SCI + Full Scope Polygraph

Millennial Software is looking for a self-starting, team-oriented Engineer to join our dynamic development team in supporting a Government customer.

Scope of work

The Sponsor is seeking support for the DevOps operations that include migration of legacy data, development of new system capabilities, extension and maintenance of bulk data pipeline and enhancements for multiple mission applications in the Sponsor’s cloud computing environment.

REQUIRED SKILLS AND DEMONSTRATED EXPERIENCE

The candidate shall have the following required skills, certifications and demonstrated experience:

Demonstrated experience deploying capabilities on the Databricks unified analytics platform.
Demonstrated experience utilizing big data processing tech such as Spark, Pyspark, and Python.
Demonstrated experience data mapping, extraction, transformation and loading.
Demonstrated experience building analytic reports in tools such as CloudWatch and Kibana.
Demonstrated experience processing and converting of OS and Data Logs into reports and metrics Dashboards.
Demonstrated experience with Regular Expressions (RegEx).
Demonstrated experience with SQL, MySQL, PostgresSQL.
Demonstrated experience with Data file type processing XML, JSON.
Demonstrated experience with IDEs and Data Modeling through Notebooks and Visual Studio.
Demonstrated experience ETL’ing data from disparate structured & unstructured data formats into enriched, query-friendly structured data in indexed files.
Demonstrated experience performing extensive data review and data quality analysis.
Demonstrated experience developing ETL design documentation including source and target mapping and data dictionary information.
Demonstrated experience interfacing with customers and integration partners for gaining and clarifying detailed objectives.
Demonstrated experience supporting Agile development by contributing to tasking definition, scope and review.

HIGHLY DESIRED SKILLS AND DEMONSTRATED EXPERIENCE

Other skills and demonstrated experiences that are highly desired but not mandatory to perform the work, include:

Demonstrated experience in optimizing Databricks Delta Tables for query, merge and stream operations.
Demonstrated experience in joining multiple complex data sets using Spark.
Demonstrated experience in tuning Spark streaming and batch jobs for cluster utilization and speed.
Demonstrated experience in deploying complex, notebook-based pipelines.
Demonstrated experience in Python data analysis libraries such as Pandas.
Demonstrated experience utilizing Cloud services such as Lambda, SNS/SQS, or EC2.
Demonstrated experience with DevOps tools to include Cloudwatch, Lambda, SQS, Dynamo and RDS.
Demonstrated experience working with Elastic, ElasticSearch/Logstash/Kibana (ELK stack).

Please be aware many of our positions require the ability to obtain a security clearance. Security clearances may only be granted to U.S. citizens. In addition, applicants who accept a conditional offer of employment may be subject to government security investigation(s) and must meet eligibility requirements for access to classified information.

Job Type: Full-time

Pay: $100,000.00 - $200,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities
Stock options

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

McLean, VA: Reliably commute or planning to relocate before starting work (Required)

Experience:

SQL: 1 year (Preferred)
ETL: 1 year (Required)
AWS: 1 year (Required)
PostgreSQL: 1 year (Required)
Python: 1 year (Required)
Databrick: 1 year (Preferred)

License/Certification:

Full Scope Polygraph? (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",2019,Aerospace & Defense,Unknown / Non-Applicable,Aerospace & Defense,1 to 50 Employees,Company - Private,True
Cleared Data/ETL Engineer,ReindeerTek,"Reston, VA",$225K (Employer est.),-1.0,"ReindeerTek is seeking a Data/ETL Engineer for a technical development program supporting a classified customer. This role designs, implements, and maintains standard data interfaces for data ingest including Extract/Transform/Load (ETL) methodology and implementation, APIs, RESTful Web Services, data quality, and data cleansing. This role collaborates across a team to meet complex data needs between legacy and next-generation systems.

Required Skills:

Develops methods, processes, and systems to consolidate and analyze structured and unstructured and diverse sources
Experience with ETL data tools such as Pentaho and Apache Nifi
Knowledge with cross-discipline teams to ensure connectivity between various data sources and business problems
Experience integrating data models with workflow management tools to ensure ""gold copy"" data integrity

Desired Skills:

Identifies meaningful insights and improvements and communicates findings and recommendations
Develops information tools, algorithms, dashboards, and queries to monitor and improve business performance
Maintains awareness of emerging analytics and big-data technologies

Job Type: Full-time

Pay: Up to $225,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

COVID-19 considerations:
All employees will be required to be vaccinated to be considered.
All employees onsite are vaccinated, and mask use is optional.

Application Question(s):

What kind of Polygraph have you taken?
Will you be able to reliably commute to Reston, VA 20190 for this job 5 days a week?
Do you have an active TS/SCI with polygraph clearance?

Security clearance:

Top Secret (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Data Engineer,"Titan America
",United States,-1,3.5,"Data Engineer

We are seeking a motivated and detail-oriented Data Engineer to join our team based in Roanoke, Virginia. As a Data Engineer, you will play a crucial role in designing, developing and maintaining scalable data pipelines and transformations for business-critical use cases. In addition, you may take on various Software Development and Data Science responsibilities as we frequently share responsibilities and knowledge across our growing team.

Responsibilities:

Design, develop and maintain scalable data pipelines for extracting, transforming, and loading data from various sources
Collaborate with cross-functional teams to identify data needs and determine the best data solutions
Develop and implement data models to support business requirements and ensure data quality
Ensure the security and privacy of sensitive data by implementing appropriate access controls
Monitor and optimize data pipeline performance to ensure timely and accurate data delivery
Document data pipeline processes, data dictionaries, and data storage solutions

Requirements:

Bachelor's degree in Computer Science, Computer Engineering, or a related technical field
Minimum of five years of professional experience working as a Data Engineer or Software Developer
Strong hands-on experience with data warehouse and transformation solutions, i.e. Domo, Snowflake or similar
Proficient in at least one scripting language such as Python, JavaScript, or R
Understanding of data modeling, data integration and data quality processes
Familiarity with cloud platforms such as AWS, Azure, or Google Cloud Platform
Strong analytical and problem solving skills
Full Stack Software Development experience in a professional setting is highly desired, but not required

This is an excellent opportunity for a driven and collaborative individual to make a significant impact in a dynamic and growing team. If you have a passion for data and a desire to work in a fast-paced and dynamic environment, we want to hear from you!

Success begins with hiring the right people to partner with us as we grow and develop our businesses. People are central to everything we do. It is through their efforts and talents that Titan has been successful for over 100 years.

Titan America is an Equal Employment Opportunity (EEO) / Affirmative Action employer and welcomes all qualified applicants. Applicants will receive fair and impartial consideration without regard to race, sex, color, religion, national origin, age, disability, veteran status, genetic data, or other legally protected status.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities

Experience level:

5 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Roanoke, VA 24019: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

Do you currently or will you in the future need sponsorship to work in the United States?
This position requires the successful candidates to be a full time, W2 employee. Can you meet this requirement?
This position requires the successful candidate to be in the office in Roanoke, VA at least 4 days a week. Can you meet this requirement?

Education:

Bachelor's (Preferred)

Experience:

Data Engineering: 5 years (Preferred)
DOMO: 3 years (Preferred)

Work Location: Hybrid remote in Roanoke, VA 24019",1902,Mining & Metals,Unknown / Non-Applicable,"Energy, Mining & Utilities",1001 to 5000 Employees,Company - Public,True
Principal Data Engineer,"Verizon
","Ashburn, VA",$109K - $147K (Glassdoor est.),3.8,"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect around the world. We’re a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together—lifting up our communities and striving to make an impact to move the world forward. If you’re fueled by purpose, and powered by persistence, explore a career with us. Here, you’ll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife.

What you’ll be doing...

The role will be responsible for expanding and optimizing our data assets, data pipeline architecture, data flow and data curation to enable network programs including but not limited to Network Performance Experience, Operational Excellence and Workforce Optimization. This role folds IT expertise with architecture and design with a comprehensive understanding of network service assurance, and network operations data that will be consumed for Business Analytics, Operational Analytics, Text Analytics, Data Services and build Big Data Solutions for various Verizon Business units.

Defining and driving end to end Data pipeline deployments including roadmap, design and ensure execution excellence with business outcome-oriented metrics.

Driving data harmonization components to enable business value generation for network services and operations to take proactive action on time.

Supporting the building prototypes and proof of concepts to prove out integrated technologies and products and then driving these POCs forward through implementations.

Providing oversight and collaborating on pipeline implementations to ensure governance, quality and observance.

Leading junior team members on technical and functional skills.

Utilizing in-depth understanding of data warehousing technologies as well as a wide breadth of knowledge spanning on prem and cloud deployments to shape the future of enterprise wide network big data ecosystem.

Meeting business objectives by delivering high quality, on-time and on-budget solutions utilizing a global talent pool spanning employees, T&Ms and SOW labor.

Working with onshore teams to oversee execution of tasks such as development and population of data/ETL pipeline, testing results with end users and providing operational (production) support

What we’re looking for...

You’ll need to have:

Bachelor's degree or four or more years of work experience.

Six or more years of relevant work experience.

Strong communication, presentation and influencing skills.

Experience in collaborating across a wide range of internal/external teams with data engineers, architects, data scientists and enterprise platform teams in designing and deploying data products.

Even better if you have one or more of the following:

Bachelor’s degree in Computer Science major or related Engineering field and 10+ years of work experience. Even better if you have a BS/MS in Computer Science, Information Science, Engineering or other related fields.

Programming experience in Back End Systems Development with database technologies (SQL, NOSQL). Hands on experience in designing and building data pipelines leveraging Python, Spark, Flink, or Java

Fluent understanding of best practices for building Data Lake and analytical architectures on any Cloud Big Data toolset (Google Cloud Platform most preferred) and Hadoop.

Strong ability to apply business mindset to data issues and initiatives. Ability to integrate cross-business strategies and manage enterprise-wide global development resources.

Knowledge of data governance practices, emerging trends and issues, business and technology.

Familiarity with Agile Development methodologies (example SAFE Scaled Agile) and enabling tools (Jira, CI/CD and other DevOps functions).

Experience identifying potential areas of performance improvement, problem avoidance, capacity limitation and work with Engineering/Planning/Operations organizations for appropriate and timely action.

If Verizon and this role sound like a fit for you, we encourage you to apply even if you don’t meet every “even better” qualification listed above.

This role is eligible to be considered for the Department of Defense SkillBridge Program.

Where you’ll be working
In this hybrid role, you'll have a defined work location that includes work from home and assigned office days set by your manager.

Scheduled Weekly Hours
40

Equal Employment Opportunity

We’re proud to be an equal opportunity employer - and celebrate our employees’ differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",2000,Telecommunications Services,$10+ billion (USD),Telecommunications,10000+ Employees,Company - Public,False
AWS Data Engineer,Novateur Research Solutions,"Ashburn, VA",-1,-1.0,"Job Description

Novateur is looking for a AWS data engineer with experience of processing large quantities of data on the cloud. Experience in machine learning and/or geospatial data is a plus but not required.

RESPONSIBILITIES

Design, develop, and deploy scalable data pipelines.
Leverage big data tools like Apache Spark to handle large-scale datasets.
Work closely with data scientists and machine learning engineers to deliver actionable insights from complex data structures.
Use AWS services (such as S3, EC2, RDS, Lambda) to build and maintain cloud-based data storage and computing infrastructure.
Optimize data queries for performance and scalability.
Implement ETL (Extract, Transform, Load) processes.
Assist in setting up data warehousing solutions and analytics dashboards.
Participate in code reviews and contribute to team's best practices.

REQUIRED

Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field.
Minimum 3 years of experience working with distributed processing systems like Hadoop, Spark, GeoMesa (or Sedona), and Kafka.
Minimum 2 years of experience with AWS.
Excellent programming skills, preferably in Python.
Strong SQL skills and experience with databases like Postgres, MySQL, or MongoDB.
Familiarity with data visualization tools like Tableau or Power BI is a plus.
Excellent problem-solving skills and attention to detail.
Strong communication skills, both verbal and written.
US Permanent Resident / US Citizen.

DESIRED

Experience with Kubernetes ecosystem and containerization.
Familiarity with AWS EMR.
Expertise in geospatial data technologies such as PostGIS, QGIS, and GeoJSON.
Familiarity with development and deployment of deep learning and machine learning training and inference pipelines on large databases.
Experience with machine learning libraries, such as PyTorch.

COMPANY BENEFITS

Novateur offers competitive pay and benefits including a wide choice of healthcare options with generous company subsidy, 401(k) with generous employer match, paid holidays and paid time off increasing with tenure, and company paid short-term disability, long-term disability, and life insurance.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Referral program
Relocation assistance
Retirement plan
Vision insurance

Experience level:

3 years

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Ashburn, VA 20147: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

Novateur has government contracts that require US Citizenship or US Permanent Residence (Green Card). Do you qualify?

Education:

Bachelor's (Required)

Work Location: Hybrid remote in Ashburn, VA 20147",-1,-1,-1,-1,-1,-1,True
Data Engineer,"Accenture Federal Services
","Reston, VA",$91K - $122K (Glassdoor est.),4.1,"At Accenture Federal Services, nothing matters more than helping the US federal government make the nation stronger and safer and life better for people. Our 13,000+ people are united in a shared purpose to pursue the limitless potential of technology and ingenuity for clients across defense, national security, public safety, civilian, and military health organizations.
Join Accenture Federal Services to do the work you love in an inclusive, collaborative, and caring community, where you can be empowered to grow, learn and thrive through hands-on experience, certifications, industry training and more.
Join us to drive positive, lasting change that moves missions and the government forward!


Job Description:

Accenture Federal Services is looking for a Data Engineer to assist with the data platform blueprint and design, encompassing the relevant data platform components. We are looking for great, creative engineers who can collaborates with the Integration Architects and Data Architects to ensure cohesive integration between systems and data models.

Responsibilities Include:

Develop and support data pipelines to capture and consolidate critical hardware quality telemetry for air-gapped clouds(AGC)
Collaborate closely with cross-functional teams, including hardware engineers, firmware developers and data scientists, to understand the sources, ingestion, transformation and utilization of the raw telemetry for key metrics in the public space.
Work with AGC team to develop analogous capture and reporting capabilities for air-gapped cloud environments

Here's what you need:

Bachelor's degree or 4 additional years of professional experience in lieu of degree
3 years of technical expertise in any of the following: SQL, Python, Databricks, Azure Data Factory/Synapse and Apache Spark

Security Clearance:

Active TS/SCI with Polygraph

Compensation for roles at Accenture Federal Services varies depending on a wide array of factors including but not limited to the specific office location, role, skill set and level of experience. As required by local law, Accenture Federal Services provides a reasonable range of compensation for roles that may be hired in California, Colorado, New York, or Washington State as set forth below and information on benefits offered is here.

Role Location: Range of Starting Pay for role:
California: $117,000 - $214,300
Colorado: $117,00 - $185,200
New York: $108,500 - $214,300
Washington: $124,700 - $197,300



What We Believe
We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture Federal Services has the responsibility to create and sustain an inclusive environment.
Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here
Equal Employment Opportunity Statement
Accenture Federal Services is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation.
All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.
Accenture is committed to providing veteran employment opportunities to our service men and women.
For details, view a copy of the Accenture Equal Opportunity and Affirmative Action Policy Statement.
Requesting An Accommodation
Accenture Federal Services is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are hired by Accenture Federal Services and require accommodation to perform the essential functions of your role, you will be asked to participate in our reasonable accommodation process. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.
If you are being considered for employment opportunities with Accenture Federal Services and need an accommodation for a disability or religious observance during the interview process or for the job you are interviewing for, please speak with your recruiter.
Other Employment Statements
Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.
Candidates who are currently employed by a client of Accenture Federal Services or an affiliated Accenture business may not be eligible for consideration.
Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.
The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",1989,Business Consulting,Unknown / Non-Applicable,Management & Consulting,10000+ Employees,Subsidiary or Business Segment,False
Cloud Data Engineer - GCP | Terraform | Databricks | Snowflake - Clearance Req.,"Deloitte
","Rosslyn, VA",$83K - $129K (Glassdoor est.),4.0,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems.

By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

The team:

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Work you'll do:

The Cloud Data Engineer will design future-state, modern data architecture for transformation at the enterprise level using advanced cloud architectural principles. Using tools such as Snowflake and/or Databricks, they will also work with cutting-edge DevOps technologies, develop advanced analytics products, and apply data and statistical programming tools to enterprise data to advance and enable key mission outcomes within cloud environments (GCP, Terraform)

Required Qualifications:

Degree required in applicable subject
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future
Ability to gain a government security clearance (US citizen with clean background)
2+ years of professional experience in GCP or Terraform
2+ years of experience with Databricks or Snowflake
2+ years in ETL, pipelining, warehousing and digital transformation
Ability to support a hybrid to fulltime schedule onsite in the DC area
Must have an active Secret, Top Secret or TS/SCI government clearance



Preferred Qualifications:

Previous Government Consulting and/or professional services experience
In depth understanding of AI protocols and standards
Understanding of technology risks and the ability to assess and mitigate them
Deep knowledge of a specific domain or industry, with a focus on applying NLP/LLM solutions in that context
Experience with debugging and troubleshooting software or solutions design issues
Proven ability to stay current with best practices and new technology solutions in the field
Ability to display both breadth and depth of knowledge regarding functional and technical issues
Experience presenting to clients or other decision makers to present and sell ideas to various audiences (technical and non-technical)




How you'll grow:

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.

#LI-BL2",1850,Accounting & Tax,$10+ billion (USD),Financial Services,10000+ Employees,Company - Private,False
"Systems Engineer, Senior, Data Storage and Backup","GuROO
","Warrenton, VA",$160K (Employer est.),4.7,"Systems Engineer, Senior, Data Storage and Backup

The mission of the GuROO Team is to support the Distributed Continuity Integrated Network - Top Secret Enterprise Services (DCIN-TS ES). The DCIN-TS ES is a DoD provided, TS/SCI, integrated voice, video, and data, global communications network that facilitates collaboration among senior leaders and key staff.

Candidates are expected to have a strong work ethic and possess the ability to work as a critical member of a team in pursuit of mission objectives and in the support of our customers. We value candidates who are detail-oriented while also being able to think and react quickly to emerging and unique problem sets. To be successful in this role, you'll be able to rapidly adapt and learn how to operate the front and back end of new products and processes.

Responsibilities & Duties include, but are not limited to:

Manage and maintain an IT enterprise-centered data storage environment for Virtual Machine environments (Nutanix or VMware) hosting MS Windows servers and Linux environments.
Develop and implement high performance storage solutions for enterprise capabilities in compliance with DISA STIG requirements and data retention policies.
Maintain all physical back-end storage services, and team resources assignments.
Identify and diagnose complex performance, security, and technical issues.

Here's What You'll Need:

Must have active Top Secret clearance with SCI or the ability to acquire Top Secret/SCI
Must possess well-developed verbal and written communication skills
Current DODD 8140/8570 IAT Level 2 certification (or higher) required (such as CCNA Security, Security+ CE, GICSP, GSEC, or SSCP)
Experience leading small teams of 2-3 IT technical staff and supporting integrated project teams
Experience with system engineering documentation creation (operational & service views, network diagrams, data flows, etc.) and developing IT checklists, SOPs, guides, etc.
Experience with Microsoft Office applications such as Excel, Word, PowerPoint, and Outlook
Ability to travel up to 10%

Minimum Experience:

At least 10 years of IT experience inclusive of the following minimum specific experience:
5 years of experience in managing data storage for Virtual Machine environments (Nutanix or VMware) hosting MS Windows servers and Linux environments
2 years of experience in system administration and storage design applying Commvault 11.x software for data storage backup
2 years of experience as system administrator for HPE data storage products (3PAR and Primera), StoreOnce, and tape back-up systems
Experience solutioning high performance storage designs for enterprise SANs employing Fiber Channel network fabric and hybrid-cloud environments
Commvault Professional Foundations Exam

Preferred:

Preferred Qualifications:

Certified Commvault Professional Advanced (or ability to obtain with 6 months of hire)

· Masters Degree

Job Type: Full-time

Pay: From $160,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Retirement plan
Vision insurance

Experience level:

10 years

Schedule:

8 hour shift

Ability to commute/relocate:

Warrenton, VA 20186: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

Storage management: 5 years (Preferred)

License/Certification:

Security plus (Preferred)

Security clearance:

Top Secret (Required)

Work Location: In person",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Contract,True
Specialist Test Data Systems Engineer,"AEROJET
","Culpeper, VA",$86K - $132K (Glassdoor est.),3.9,"We are seeking a Specialist, Test Data Systems Engineer to join the team at our Culpeper, VA site.

Reporting directly to the Manager, Test Engineering, this position will focus on designing and implementing data acquisition and controls systems while working in a test operations environment supporting production and development rocket motor and air-breathing propulsion test programs. This position would be for 1st shift. 7:00 am to 5:00 pm 9/80 schedule.

This opening may be filled at this level as posted or at one level higher.",2019,Aerospace & Defense,$10+ billion (USD),Aerospace & Defense,10000+ Employees,Company - Public,False
AWS Data Engineer,"CGI Group, Inc.
",United States,-1,3.8,"AWS Data Engineer

Position Description
CGI is in the top 5 largest global IT companies spread across 40 countries with endless opportunities to expand and grow. As a CGI Member, you have the opportunity to be a shareholder at CGI and join a family of over 90,000 members strong. Would you like to grow with an IT organization offering greater opportunity and challenge? Join the CGI team and get your career on the fast track!

Want to leverage your experience and development skills in the Judicial Sector as an AWS Data Engineer? CGI is seeking an AWS Data Engineer who can bring in expertise and industry best practices define better development and Engineering approaches. This is an exciting opportunity to augment your current skills, as well as learn new technologies.

If you are looking for a new challenge and want to make a difference in the Judicial Sector, this role is for you.

Your future duties and responsibilities
Our AWS Data Engineer will be a key contributor with the below responsibilities:

Work with the technical development team and team leader to understand desired application capabilities.
Continuously improve software engineering practices.
Work within and across Agile teams to test and support technical solutions across a full stack of development tools and technologies.
Develop applications in AWS - data and analytics technologies including but not limited to Glue, Lambda, Step Functions, CloudTrail, CloudWatch, SNS, SQS, S3, VPC, EC2, RDS, IAM.
Application development by lifecycles, & continuous integration/deployment practices.
Work to integrate open-source components into data-analytic solutions.
Working with vendors to enhance tool capabilities to meet enterprise needs.
Willingness to continuously learn & share learnings with others.

Required qualifications to be successful in this role

Any Applicants should have hands on experience with AWS services such as Glue, Lambda, Step Functions, CloudTrail, CloudWatch, SNS, SQS, S3, VPC, EC2, RDS, IAM.
Proficient in Python, including data wrangling.
Experience with Data application development and version control systems such as Git.
Experience in implementing data ingestion processes incorporating ETL processes.
Experience in data modeling and relational database design
Knowledge of application development lifecycles, & continuous integration/deployment practices.
3-5 years' experience delivering and operating large scale, highly visible distributed systems.
Knowledge of IAC using terraform is preferred.

Desired qualifications and skills of our AWS Data Engineer include:

Agile development experience
Knowledge of DevOps practices
Experience working with the Atlassian toolset
Experience with DynamoDB or other NoSQL databases; Redshift
API design; API Gateway Experience
ElasticSearch/OpenSearch Experience

#CGIFederalJob
#LI-DD2

CGI is required by law in some jurisdictions to include a reasonable estimate of the compensation range for this role. The determination of this range includes various factors not limited to: skill set level; experience and training; and licensure and certifications. CGI typically does not hire individuals at or near the top of the range for their role. Compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $84,000 - $161,600.

Insights you can act on

While technology is at the heart of our clients' digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees ""members"" because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today - one of the world's largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI - where your ideas and actions make a difference.

Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, pregnancy, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, height, weight, or any other legally protected status or characteristics.

CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com . You will need to reference the Position ID of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a Position ID will not be returned.

We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.

All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. CGI will consider for employment qualified applicants with arrests and conviction records in accordance with all local regulations and ordinances.

CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI's legal duty to furnish information.",1976,Business Consulting,$10+ billion (USD),Management & Consulting,10000+ Employees,Company - Public,False
