Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Software/Data Engineer TS/SCI + Polygraph $120K - $200k + 15% 401k,"Millennial Software
","McLean, VA",$100K - $200K (Employer est.),5.0,"Title: Software/Data Engineer Locations: McLean, VA

Base Salary: $100,000.00 - $200,000.00 per year

- We are an employee owned company, every employee receive equity in the company

- 100% company-paid medical, dental, and vision premiums for you and all dependents;

- the ability to get increased salary if you don't need medical/dental/vision;

- 100% company-paid disability and life insurance benefits;

- 15% 401(k) company contribution, vested day 1;

- 30 days of PTO/holidays;

- the ability to flex time across pay periods;

- a generous training budget;

- Paid Paternal and Maternal Leave

- business development / growth incentives; and

- top notch company swag

Job Description:

Clearance Level Must Currently Possess:

Top Secret SCI + Full Scope Polygraph

Millennial Software is looking for a self-starting, team-oriented Engineer to join our dynamic development team in supporting a Government customer.

Scope of work

The Sponsor is seeking support for the DevOps operations that include migration of legacy data, development of new system capabilities, extension and maintenance of bulk data pipeline and enhancements for multiple mission applications in the Sponsor’s cloud computing environment.

REQUIRED SKILLS AND DEMONSTRATED EXPERIENCE

The candidate shall have the following required skills, certifications and demonstrated experience:

Demonstrated experience deploying capabilities on the Databricks unified analytics platform.
Demonstrated experience utilizing big data processing tech such as Spark, Pyspark, and Python.
Demonstrated experience data mapping, extraction, transformation and loading.
Demonstrated experience building analytic reports in tools such as CloudWatch and Kibana.
Demonstrated experience processing and converting of OS and Data Logs into reports and metrics Dashboards.
Demonstrated experience with Regular Expressions (RegEx).
Demonstrated experience with SQL, MySQL, PostgresSQL.
Demonstrated experience with Data file type processing XML, JSON.
Demonstrated experience with IDEs and Data Modeling through Notebooks and Visual Studio.
Demonstrated experience ETL’ing data from disparate structured & unstructured data formats into enriched, query-friendly structured data in indexed files.
Demonstrated experience performing extensive data review and data quality analysis.
Demonstrated experience developing ETL design documentation including source and target mapping and data dictionary information.
Demonstrated experience interfacing with customers and integration partners for gaining and clarifying detailed objectives.
Demonstrated experience supporting Agile development by contributing to tasking definition, scope and review.

HIGHLY DESIRED SKILLS AND DEMONSTRATED EXPERIENCE

Other skills and demonstrated experiences that are highly desired but not mandatory to perform the work, include:

Demonstrated experience in optimizing Databricks Delta Tables for query, merge and stream operations.
Demonstrated experience in joining multiple complex data sets using Spark.
Demonstrated experience in tuning Spark streaming and batch jobs for cluster utilization and speed.
Demonstrated experience in deploying complex, notebook-based pipelines.
Demonstrated experience in Python data analysis libraries such as Pandas.
Demonstrated experience utilizing Cloud services such as Lambda, SNS/SQS, or EC2.
Demonstrated experience with DevOps tools to include Cloudwatch, Lambda, SQS, Dynamo and RDS.
Demonstrated experience working with Elastic, ElasticSearch/Logstash/Kibana (ELK stack).

Please be aware many of our positions require the ability to obtain a security clearance. Security clearances may only be granted to U.S. citizens. In addition, applicants who accept a conditional offer of employment may be subject to government security investigation(s) and must meet eligibility requirements for access to classified information.

Job Type: Full-time

Pay: $100,000.00 - $200,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance

Compensation package:

Bonus opportunities
Stock options

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

McLean, VA: Reliably commute or planning to relocate before starting work (Required)

Experience:

SQL: 1 year (Preferred)
ETL: 1 year (Required)
AWS: 1 year (Required)
PostgreSQL: 1 year (Required)
Python: 1 year (Required)
Databrick: 1 year (Preferred)

License/Certification:

Full Scope Polygraph? (Required)

Security clearance:

Top Secret (Required)

Work Location: In person",2019,Aerospace & Defense,Unknown / Non-Applicable,Aerospace & Defense,1 to 50 Employees,Company - Private,True
Cleared Data/ETL Engineer,ReindeerTek,"Reston, VA",$225K (Employer est.),-1.0,"ReindeerTek is seeking a Data/ETL Engineer for a technical development program supporting a classified customer. This role designs, implements, and maintains standard data interfaces for data ingest including Extract/Transform/Load (ETL) methodology and implementation, APIs, RESTful Web Services, data quality, and data cleansing. This role collaborates across a team to meet complex data needs between legacy and next-generation systems.

Required Skills:

Develops methods, processes, and systems to consolidate and analyze structured and unstructured and diverse sources
Experience with ETL data tools such as Pentaho and Apache Nifi
Knowledge with cross-discipline teams to ensure connectivity between various data sources and business problems
Experience integrating data models with workflow management tools to ensure ""gold copy"" data integrity

Desired Skills:

Identifies meaningful insights and improvements and communicates findings and recommendations
Develops information tools, algorithms, dashboards, and queries to monitor and improve business performance
Maintains awareness of emerging analytics and big-data technologies

Job Type: Full-time

Pay: Up to $225,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

COVID-19 considerations:
All employees will be required to be vaccinated to be considered.
All employees onsite are vaccinated, and mask use is optional.

Application Question(s):

What kind of Polygraph have you taken?
Will you be able to reliably commute to Reston, VA 20190 for this job 5 days a week?
Do you have an active TS/SCI with polygraph clearance?

Security clearance:

Top Secret (Required)

Work Location: In person",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Public,True
Senior Sensor Data Fusion Engineer,"Johns Hopkins Applied Physics Laboratory (APL)
","Laurel, MD",,4.3,"Description


Are you interested in helping to develop and field the nation's next generation capabilities in ISR&T (Intelligence, Surveillance, Reconnaissance & Targeting) and counter-ISR&T?


Are you excited by tackling difficult, multi-faceted problems, and bringing different systems together to achieve a greater capability? If you have significant experience in ISR&T or related systems and capabilities, this is a great opportunity for you!


The AMDS Multi-Domain Surveillance and Tracking Branch is looking for experienced technical specialists who can help us develop improvements to today's ISR&T fusion algorithms and pave the way for next generation data fusion and target tracking developments. We believe this will include focusing on the science and researching and developing approaches for fusing dissimilar sensor data (e.g., RF & IR), ranging from raw sensor data to track fusion. The envisioned data fusion solutions will incorporate all relevant ISR&T contextual information including sensor data and other sources of intelligence. We are looking for engineers, mathematicians, physicists, and computer scientists who collectively can provide the needed experience and skills in data fusion, target tracking, machine learning, and signal processing to achieve these goals.


As a Sensor Data Fusion Engineer, you will...

You will contribute to the development of advanced data fusion and target tracking algorithms, using physics-based knowledge of various sensors and prototyping those algorithms when possible
You will help to integrate sensor fusion with intelligent sensor control algorithms designed to provide on-demand levels of quality of service in support of targeting
Apply state-of-the-art machine learning algorithms to exploit as much information as possible from all data sources
Apply advanced computer science techniques to signal and image processing to enable processing at the edge
Investigate new sensing modalities for applicability in ISR&T data fusion
Interact and collaborate across the services and communities involved in multi-domain ISR to achieve breakthrough improvements in capability

Qualifications


You meet the minimum qualifications for this position if you have:

A Bachelor of Science degree in Engineering, Mathematics, Physics or Computer Science
At least 5 years of relevant professional work experience related to the ISR&T activities described above
Have some domain knowledge in ISR&T architectures, data fusion, sensors, and platforms
Experience with MATLAB, Python, C, C++, and/or Java
Have the ability to work effectively on technical teams to solve complex problems
Excellent communications skills, both written and verbal
Strong interpersonal skills
Hold an active Secret security clearance and can ultimately obtain a TS/SCI level clearance. If selected, you will be subject to a government security clearance investigation and must meet the requirements for access to classified information. Eligibility requirements include U.S. citizenship.
Willingness to travel up to 10% of the time as needed

You'll go above and beyond our minimum requirements if you have:

An MS or PhD in Engineering, Mathematics, Physics or Computer Science
At least 10 years of relevant professional experience in this field
Experience with advanced data fusion algorithms involving dissimilar sensors
Deep experience with sensor signal and image processing algorithms and processing platforms
An Active TS/SCI clearance


Why work at APL?


At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area.

APL is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability status, veteran status, or any other characteristic protected by applicable law.


#LI-KW1


#JST



About Us


APL is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, creed, color, religion, sex, gender identity or expression, sexual orientation, national origin, age, physical or mental disability, genetic information, veteran status, occupation, marital or familial status, political opinion, personal appearance, or any other characteristic protected by applicable law. APL is committed to promoting an innovative environment that embraces diversity, encourages creativity, and supports inclusion of new ideas. In doing so, we are committed to providing reasonable accommodation to individuals of all abilities, including those with disabilities. If you require a reasonable accommodation to participate in any part of the hiring process, please contact Accommodations@jhuapl.edu. Only by ensuring that everyone’s voice is heard are we empowered to be bold, do great things, and make the world a better place.",1942,Aerospace & Defense,$1 to $5 billion (USD),Aerospace & Defense,5001 to 10000 Employees,Nonprofit Organization,False
Data Engineer,"Government Tactical Solutions
","Washington, DC",$120K - $170K (Employer est.),4.1,"Job Title: Data Engineer

Location: Washington, D.C. Metro Area (Remote)

Company: GovTact

Salary Range: $120,000 - $170,000

Job Type: Full-Time

US Citizenship Required

About GovTact:

GovTact is a leading technology consulting firm specializing in providing innovative solutions to government agencies. We are seeking a talented and highly motivated Data Engineer with strong Python scripting skills to join our team. This is a remote position, but candidates must reside in the Washington, D.C. Metro Area and be U.S. citizens due to the nature of the work.

Job Description:

As a Data Engineer at GovTact, you will play a crucial role in developing and maintaining geospatial data solutions that support government agencies' critical missions. You will work on projects that involve geospatial data collection, analysis, and visualization. Your strong Python scripting skills and data expertise will be essential in building and maintaining robust data pipelines and geospatial applications.

Key Responsibilities:

Data Pipeline Development: Design, develop, and maintain data pipelines for the collection, processing, and integration of geospatial data from various sources.
Geospatial Analysis: Perform geospatial data analysis, including spatial queries, geospatial modeling, and data enrichment.
Python Scripting: Develop and maintain Python scripts for data manipulation, transformation, and automation.
Database Management: Manage geospatial databases, ensuring data integrity and optimal performance.
Data Visualization: Create interactive geospatial visualizations and dashboards to communicate insights effectively.
Collaboration: Collaborate with cross-functional teams, including data scientists, analysts, and software developers, to support geospatial data needs.
Documentation: Document data engineering processes, workflows, and best practices.
Security: Ensure data security and compliance with government regulations and security standards.

Qualifications:

Bachelor's degree in computer science, geospatial sciences, or a related field. Advanced degree preferred.
Strong Python scripting skills with a focus on data manipulation and automation.
Experience with geospatial data formats and standards (e.g., GeoJSON, Shapefile, OGC standards).
Knowledge of geospatial libraries and packages in Python (e.g., Fiona, Shapely, Folium).
Familiarity with cloud platforms (e.g., AWS, Azure) and geospatial services is a plus.
Excellent problem-solving skills and attention to detail.
Strong communication and teamwork skills.
U.S. citizenship and residence in the Washington, D.C. Metro Area.

Benefits:

Competitive salary within the specified range.
Remote work flexibility with occasional meetings in the D.C. Metro Area.
Comprehensive health, dental, and vision insurance.
Retirement plan with company matching.
Professional development opportunities.
Collaborative and dynamic work environment.

If you are a highly motivated Data Engineer with strong Python scripting skills and a passion for working on projects that impact government agencies, we encourage you to apply. Join the GovTact team and contribute to innovative solutions that make a difference.

GovTact is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

Job Type: Full-time

Pay: $120,000.00 - $170,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance

Compensation package:

Yearly pay

Schedule:

8 hour shift

Application Question(s):

Do you live within 2 hours of Washington, DC

Experience:

Python: 4 years (Required)
Big data: 3 years (Required)
R: 1 year (Required)

License/Certification:

US Citizenship (Required)

Security clearance:

Confidential (Preferred)

Work Location: Remote",2011,National Agencies,Unknown / Non-Applicable,Government & Public Administration,51 to 200 Employees,Company - Private,True
"Data Engineer, Python ETL","US News & World Report ,L.P.
","Washington, DC",$101K - $140K (Glassdoor est.),2.8,"U.S. News & World Report is a multifaceted digital media company dedicated to helping citizens, consumers, business leaders and policy officials make important decisions in their lives. We publish independent reporting, rankings, data journalism and advice that has earned the trust of our readers and users for nearly 90 years. Our platforms on usnews.com include Education, Health, Money, Travel, Cars, News and 360 Reviews.

We reach more than 40 million people monthly during moments when they are most in need of expert advice and motivated to act on that advice directly on our platforms. Our signature franchises include our “Best” series of consumer guides on colleges, graduate schools, hospitals, diets, cars, financial services and more. These guides provide an easy-to-digest list for consumers to better understand and compare when making their decisions. We continue to publish annual guides of the authoritative Best Colleges and Best Hospitals rankings on our website and in print. And our U.S. News Live flagship conferences highlight important national conversations including Healthcare of Tomorrow and Healthiest Communities.

We believe in having a broad range of talent and backgrounds at U.S. News. We strive to maintain a welcoming workplace where everyone is given an opportunity to succeed and contribute to their fullest. Learn more about our Diversity, Equity and Inclusion initiative.",1933,Publishing,$100 to $500 million (USD),Media & Communication,201 to 500 Employees,Company - Private,True
Cloud Data Engineer - GCP | Terraform | Databricks | Snowflake - Clearance Req.,"Deloitte
","Rosslyn, VA",$83K - $129K (Glassdoor est.),4.0,"In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems.

By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

The team:

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Work you'll do:

The Cloud Data Engineer will design future-state, modern data architecture for transformation at the enterprise level using advanced cloud architectural principles. Using tools such as Snowflake and/or Databricks, they will also work with cutting-edge DevOps technologies, develop advanced analytics products, and apply data and statistical programming tools to enterprise data to advance and enable key mission outcomes within cloud environments (GCP, Terraform)

Required Qualifications:

Degree required in applicable subject
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future
Ability to gain a government security clearance (US citizen with clean background)
2+ years of professional experience in GCP or Terraform
2+ years of experience with Databricks or Snowflake
2+ years in ETL, pipelining, warehousing and digital transformation
Ability to support a hybrid to fulltime schedule onsite in the DC area
Must have an active Secret, Top Secret or TS/SCI government clearance



Preferred Qualifications:

Previous Government Consulting and/or professional services experience
In depth understanding of AI protocols and standards
Understanding of technology risks and the ability to assess and mitigate them
Deep knowledge of a specific domain or industry, with a focus on applying NLP/LLM solutions in that context
Experience with debugging and troubleshooting software or solutions design issues
Proven ability to stay current with best practices and new technology solutions in the field
Ability to display both breadth and depth of knowledge regarding functional and technical issues
Experience presenting to clients or other decision makers to present and sell ideas to various audiences (technical and non-technical)




How you'll grow:

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.

#LI-BL2",1850,Accounting & Tax,$10+ billion (USD),Financial Services,10000+ Employees,Company - Private,False
SQL DATA ENGINEER,"Bamboo Solutions
","Washington, DC",$85K - $116K (Glassdoor est.),4.1,"We are looking for a motivated, experienced SQL Data Engineer to act as an integral part of a government client’s program. As a member of the engineering team, the SQL Data Engineer’s knowledge share and partnership will be critically meaningful. The right candidate will have the ability to adapt to changing technology and apply it to the customer needs. Great communication, leadership and personal skills are a must.

Clearance: Must be able to attain Public Trust

Potential for Remote Work: Hybrid Remote, 2 days a week onsite in Washington, DC

Description of Work:

Design and implementation of Extract, Transform, and Load (ETL) processing routines and data feeds; create necessary data structures or models to support data at all stages, and design and implement custom data analytics, alerts and BI/reporting products
Perform extensive data profiling and analysis based on the client’s data
Work with source teams to define BI and reporting requirement

Education and Experience

Bachelor’s degree (e.g., Computer Science, Engineering, or related discipline)
5 or more years of experience in Microsoft SQL Server, SSIS, SSRS, SSAS and procedural programming
3 or more years of experience developing database ETL environments with business intelligence applications
3 or more years of experience with Cloud Engineering services
Experience working with databases and BI tools such as Power BI
Ability to work independently and as part of a team

We offer:

Competitive salary based on experience
Profit sharing distributed twice a year
15 days of paid time off and 10 paid holidays per year
401(k) with employer matching
Health and dental benefits
Opportunity to work with other talented technical professionals

SharePointXperts is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status.

SharePointXperts participates in E-Verify. Click the following links for important information about our participation in this program and your rights.

https://www.e-verify.gov/sites/default/files/everify/posters/IER_RightToWorkPoster%20Eng_Es.pdf

https://www.e-verify.gov/sites/default/files/everify/posters/EVerifyParticipationPoster.pdf

bpCtW7BiN6",2001,Computer Hardware Development,$1 to $5 million (USD),Information Technology,1 to 50 Employees,Company - Private,True
Data Engineer,"AARP
",United States,-1,3.9,"Overview:
AARP Services, Inc., founded in 1999, is a wholly-owned taxable subsidiary of AARP. AARP Services manages the provider relationships for and performs quality control oversight of the wide range of products and services that carry the AARP name and are made available by independent providers as benefits to AARP’s millions of members. The provider offers currently span health products, financial products, travel and leisure products, and life event services. Specific products include Medicare supplemental insurance; credit cards, auto and home, mobile home and motorcycle insurance, life insurance and annuities; member discounts on rental cars, cruises, vacation packages and lodging; special offers on technology and gifts; pharmacy services and legal services. AARP Services also engages in new product development activities for AARP and provides certain consulting services to outside companies.

As the Data Engineer for the Marketing team with AARP Services, you will administer and oversee systems, tools and technologies for CRM Databases and member advertising platforms. In addition, you will design and implement data architecture including designing data pipelines, creating data models, and ensuring high performance, low latency as well as accuracy, completeness, and consistency of data.
Responsibilities:
Writes code proficiently to generate answers to analytic inquiries.
Manages the intake and output process for technical and non-technical internal audiences requesting analytic projects.
Utilizes data engineering procedures to feature engineer, move data, and produce and/or automate products, especially those including large amounts of data.
Develops reports and data visualizations to answer a broad range of questions.
Generates insights to be shared with internal customers.
Qualifications:
Bachelor’s degree in a related field or relevant years of experience in lieu of degree
3+years of related experience; including programming and cloud platforms preferably on data management processes, data engineering, or data analytics
2+ years on Python, PySpark, Databricks, Snowflake, etc.
Data analysis experience is required
Experience with digital audience platforms preferred
Technical project management and vendor resource management experience preferred
AWS Architect and/or Cloud certifications preferred
Additional Requirements
Regular and reliable job attendance
Effective verbal and written communication skills
Exhibit respect and understanding of others to maintain professional relationships
Independent judgement in evaluation options to make sound decisions
In office/open office environment with the ability to work effectively surrounded by moderate noise

Flexible Work Arrangement (FWA)

AARP observes Mondays and Fridays as telecommuting workdays, except for essential functions. Remote work and telecommuting can only be done within the United States and its territories.

Compensation and Benefits

AARP offers a competitive compensation and benefits package including a 401(k); 100% company-funded pension plan; health, dental, and vision plans; life insurance; paid time off to include company and individual holidays, vacation, sick, caregiving, and parental leave; performance-based and peer-based recognition; tuition reimbursement; among others.

Equal Employment Opportunity

AARP is an equal opportunity employer committed to hiring a diverse workforce and sustaining an inclusive culture. AARP does not discriminate on the basis of race, ethnicity, religion, sex, color, national origin, age, sexual orientation, gender identity or expression, mental or physical disability, genetic information, veteran status, or on any other basis prohibited by applicable law.",1958,Membership Organizations,$1 to $5 billion (USD),Management & Consulting,1001 to 5000 Employees,Nonprofit Organization,False
Data Engineer,"Catalist
",United States,$64K - $74K (Employer est.),3.9,"For over 17 years, Catalist has been a leader in civic data and data science innovation. Our mission is to provide progressive organizations with the data, software, and services needed to better identify, understand, and communicate with the people they need to engage and mobilize. Our clients include the largest, most influential organizations in the U.S. active in civic engagement, advocacy, and political campaigns.

Catalist is home to a dedicated, creative team of technologists, data scientists, and campaign experts committed to using our talents and technology to nurture a vibrant and growing progressive community.

As a Data Engineer at Catalist, you will work closely with the Analytics and Technology departments to design, build, support, and maintain various data pipelines and processes with an end goal of providing data and intelligence to the progressive community. This role primarily involves translating data architecture designs into functional processes, code, and systems.

The ideal candidate will be a highly motivated individual with excellent technical skills, a strong desire to learn new skills, and an interest in progressive politics. Catalist values creativity and problem-solving. Our work is on the cutting edge of data-driven politics, and your support will help Democratic candidates and progressive organizations conduct successful advocacy and electoral campaigns.

This position reports to the Deputy Chief Data Officer. The Data Engineer is a part of a growing Data team that supports all underlying work at Catalist.
Principle Duties & Responsibilities
Develop scalable, production processes, code, and systems for data ingest, transformation, modeling, and reporting across a variety of platforms
Translate mock-ups and designs into functional processes, code, and systems
Create architecture designs when needed
Provide quality assurance and testing on processes, code, systems, and products
Become an internal subject matter expert on various datasets and support other Catalist departments/teams on usage of those datasets
Execute ad-hoc data and database maintenance tasks as requiredProject manage cross-departmental efforts, with direct responsibility for stakeholder engagement, management, and execution of technical elements
Requirements
BS or BA in a technical field, or relevant experience
1-2 years of experience working with SQL databases
Experience with data cleaning or ETL processes
Experience with distributed computing systems and/or distributed datastores (particularly the Hadoop ecosystem)
Experience managing projects
Familiarity with Catalist data, progressive politics, voter files, and/or commercial data
Background check required
Preferred Skills & Abilities
Willingness to be a problem solver and produce results in a fast paced environment
Ability to be creative and personable, and articulate ideas clearly
Experience working with SQL databases
Proficiency with Python or another object-oriented programming language (R, Java, Scala, etc…)
Experience working in cloud environments (AWS, GCP, etc.)
Experience working in command line environments such as Bash
Experience with a version control tool such as git or github
Benefits
Medical, Dental, Vision, Prescription Drug
Catalist offers Medical, Dental, Vision, and Prescription Drug coverage for eligible staff and their eligible dependents. Catalist’s Medical plan is a comprehensive PPO program including Prescription Drug coverage with 85% of the premium paid by Catalist. Dental and Vision coverage is provided at no cost to employees.

Group Term Life Insurance and Long-Term & Short-Term Disability Coverage
Group Term Life Insurance and Long-Term and Short-Term Disability coverage is available for eligible staff. These benefits are provided at no cost to Catalist employees.

401(k) Safe Harbor Plan
A 401(k) Safe Harbor Plan is available to eligible staff with a 3% contribution from Catalist from the date of hire. Employees may contribute pre-tax or post-tax from their salary up to the legal limits set forth by the IRS.

Medical and Dependent Care Flexible Spending Accounts (FSAs)
Catalist offers an FSA Program that gives eligible staff the ability to pay out-of-pocket medical/dental/vision/child care expenses from pre-tax earnings.

Transit Benefits
Catalist also makes available a Transit benefit FSA program to eligible employees using pre-tax contributions with a company match.

Professional Development and Remote Work Expenses
Eligible employees may be reimbursed up to $750 each year for professional development / education and remote work expenses.

Student Loan PayDown or SaveUp
Catalist offers a Student Loan PayDown and College SaveUp benefit for eligible staff.

Vacation, Personal Leave, Sick Leave Benefits
Catalist offers generous vacation benefits to all eligible staff. Eligible employees also receive:
14 Paid Holidays
Personal Days
Sick Leave
Parental Leave

Hybrid Office/Remote Work
Certain positions at Catalist are eligible for Office/Remote Hybrid or full Remote status.",2006,Computer Hardware Development,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,True
Senior Data Engineer,"Capital One
","McLean, VA",-1,4.0,"Center 1 (19052), United States of America, McLean, Virginia

Senior Data Engineer

Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Data Engineers who are passionate about marrying data with emerging technologies. As a Capital One Data Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.

What You’ll Do:

Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies

Work with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems

Utilize programming languages like Java, Scala, Python and Open Source RDBMS and NoSQL databases and Cloud based data warehousing services such as Redshift and Snowflake

Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, and mentoring other members of the engineering community

Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowerment

Perform unit tests and conduct reviews with other team members to make sure your code is rigorously designed, elegantly coded, and effectively tuned for performance


Basic Qualifications:

Bachelor’s Degree

At least 4 years of experience in application development (Internship experience does not apply)

At least 1 year of experience in big data technologies

Preferred Qualifications:

5+ years of experience in application development including Python, SQL, Scala, or Java

2+ years of experience with a public cloud (AWS, Microsoft Azure, Google Cloud)

3+ years experience with Distributed data/computing tools (MapReduce, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, or MySQL)

2+ year experience working on real-time data and streaming applications

2+ years of experience with NoSQL implementation (Mongo, Cassandra)

2+ years of data warehousing experience (Redshift or Snowflake)

3+ years of experience with UNIX/Linux including basic commands and shell scripting

2+ years of experience with Agile engineering practices

At this time, Capital One will not sponsor a new applicant for employment authorization for this position.

The minimum and maximum full-time annual salaries for this role are listed below, by location. Please note that this salary information is solely for candidates hired to perform work within one of these locations, and refers to the amount Capital One is willing to pay at the time of this posting. Salaries for part-time roles will be prorated based upon the agreed upon number of hours to be regularly worked.

San Francisco, California (Hybrid On-Site): $171,500 - $195,800 for Senior Data Engineer

Candidates hired to work in other locations will be subject to the pay range associated with that location, and the actual annualized salary amount offered to any candidate at the time of hire will be reflected solely in the candidate’s offer letter.

This role is also eligible to earn performance based incentive compensation, which may include cash bonus(es) and/or long term incentives (LTI). Incentives could be discretionary or non discretionary depending on the plan.

Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at the Capital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.

No agencies please. Capital One is an equal opportunity employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex (including pregnancy, childbirth or related medical conditions), race, color, age, national origin, religion, disability, genetic information, marital status, sexual orientation, gender identity, gender reassignment, citizenship, immigration status, protected veteran status, or any other basis prohibited under applicable federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.

If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.

For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.com

Capital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.

Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).",1994,Banking & Lending,$10+ billion (USD),Financial Services,10000+ Employees,Company - Public,False
