Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
E-commerce Data Scientist - Health and Wellness - California REMOTE,"Stingray Direct
",California,$110K - $130K (Employer est.),4.5,"THE ROLE: E-commerce Data Scientist
Stingray Direct, a dynamic and fast-growing e-commerce company, is seeking a skilled Ecommerce Data Scientist to join our team. We aim to optimize the customer experience and drive business growth by leveraging data and advanced analytics. A successful candidate will have extensive experience in analyzing key ecommerce and subscription metrics, conducting A/B tests, data modeling, and machine learning. Proficiency with Excel, SQL, Python, and Google Analytics is a must.
*
Requirements*
KEY E-COMMERCE DATA SCIENTIST RESPONSIBILITIES:

Design, manage, and interpret comprehensive analyses related to the customer lifecycle, focusing on key subscription and e-commerce metrics.
Conduct A/B testing to optimize customer lifetime value (CLV) and reduce churn rate.
Apply advanced statistical and predictive modeling techniques to build, maintain, and improve upon multiple real-time decision systems.
Utilize data modeling and machine learning to optimize marketing campaigns, improve customer experience, and increase operational efficiency.
Analyze large data sets using advanced Excel, SQL, and Python, identifying trends and informing business strategies.
Utilize Google Analytics to understand website traffic patterns, user behavior, and campaign performance.
Collaborate with cross-functional teams to understand their objectives and deliver data-driven solutions and recommendations.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Present data-driven insights to stakeholders in a clear, understandable, and actionable manner.
Must be located in California

E-COMMERCE DATA SCIENTIST CAPABILITIES + SKILLS REQUIRED

Bachelor’s degree in Mathematics, Statistics, or a related field.
3-5 years of experience in a similar role, preferably within the e-commerce sector.
Proven expertise in analyzing key e-commerce and subscription metrics, such as churn rate, CLV, average order value (AOV), customer acquisition cost (CAC), retention rate, subscription renewal rate, and purchase frequency.
Expert Excel skills
3+ years experience with SQL, with a preference for those experienced in BigQuery.
3+ years of experience using Python and/or R
3+ years of experience with machine learning algorithms and predictive modeling.
Proven experience in analyzing data from Google Analytics.
Knowledge of Big Data frameworks and visualization tools is a plus.
Strong understanding of A/B testing principles and methodologies.
Proven ability to turn complex data into actionable business strategies.
Excellent communication skills with the ability to present complex data in a clear and concise manner.
Self-starter with strong problem-solving abilities and attention to detail.
Prior experience with PowerBI strongly preferred

Benefits
What do you get for being so cool and joining our team?

Competitive Salary $110,000 - $130,000 (based on experience)
Fully remote working position, but must be located in California
Paid time off (PTO)
Paid annual company holidays
Your Birthday is a paid vacation day each year. Take the day to celebrate your awesomeness!
100% Company paid Medical, Dental, and Vision Insurance
100% Company paid Life Insurance and Short-Term Disability Coverage
Paid Maternity / Paternity leave
Employer matching 401K participation
We match your charitable contributions up to $2,500/yr
Work from home (WFH) stipend of $100/month
Free employee product samples and discounts
Fun company social gatherings

Job Type: Full-time

Pay: $110,000.00 - $130,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance

Schedule:

8 hour shift
Day shift
Monday to Friday
No nights

Work Location: Remote",2014,Drug & Health Stores,Unknown / Non-Applicable,Retail & Wholesale,1 to 50 Employees,Company - Private,True
Data Science and Analytics Operations Research Analyst – Sr. SME -4219,"Galapagos Federal Systems, LLC
","El Segundo, CA",$89K - $138K (Glassdoor est.),5.0,"Job Title: Data Science and Analytics Operations Research Analyst – Sr. SME- 4219

Job Location: Los Angeles, CA, 90245

Job Summary

Galapagos Federal Systems LLC is looking for an enthusiastic, well-qualified individual to fill the Senior Subject Matter Expert (SME) Operations Research Analyst position and to join our team of qualified, diverse individuals. The primary responsibility of this position is supporting SSC/SSIO, SSC/S5, and SSC/S8 leadership in the efforts written below.

The top candidate will promote a positive public image while interacting with government and contractor team personnel to provide guidance, leadership, and direction. The top candidate will be an expert in data science and advanced analytics, identify and resolve problems in a timely manner, while gathering and analyzing information skillfully to develop alternative solutions and provide guidance related to processes, policies, and oversees all tasks.

Skills / Experience Required

Assess mission/capability/enterprise system-of-system architectures and identify gaps/shortfalls/overages against warfighter requirements and resiliency and survivability shortfalls against known and predicted threats (natural and man-made) across the spectrum of conflict
Identify acquisition efficiency opportunities across NSS space enterprise enabling rapid integration of new capabilities to address changes in warfighter requirements and adversary capabilities
Develop prioritized capability investments based on operational requirements and risk tolerance
Recommend investment strategies based on operational priorities, risk acceptance, and available resources to inform Planning, Programming, Budgeting and Execution (PPBE) activities
Develop integrated capability and technology roadmaps to identify acquisition, operations, and sustainment shortfall.
Travel 10-20% is possible
Break down complex problems into defined efforts/needs to inform following actions (requirements development, risk assessment, investment strategy, etc.)
Understanding of Joint Warfighting across the spectrum of conflict and the interdependencies with National Security Space capabilities
Understanding of DoD requirements and acquisition processes
Clearly and concisely express positions (verbal and written) at multiple levels of government, to include senior level (SES, General Officer)
Understanding of doctrine, organization, training, materiel, leadership and education, personnel, facilities, and policy processes (DOTmLPF-P)

Education / Certifications

Bachelor's degree in a STEM related field
20+ years of DoD (or industry equivalent) experience across including positions at squadrons, wing/delta, MAJCOM, or Pentagon levels
Experience with multiple space capability areas (e.g., Missile Warning/Tracking; Space Domain Awareness; Command & Control/Battle Management & Control; Satellite Communications; Position, Navigation & Timing; Space Superiority; etc.)
Planning, Programming, Budgeting and Execution (PPBE) experience
Highly Desired - MA/MS in STEM or Strategic Studies
Highly Desired - Current Defense Acquisition University Requirements Management Certification Training (Level B or higher [or equivalent]) with 2+ years’ experience at MAJCOM, Pentagon or Joint Staff levels

Benefits

Employer paid medical insurance
Dental and vision insurance
401k
PTO
Tuition reimbursement

Security Clearance

Must be a U.S. Citizen. A high-level Department of Defense active security clearance may be required. Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to government information.

Physical Requirements

Work may involve sitting or standing for extended periods of time and typing and reading from a computer screen. The candidate must have enough mobility, including bending, reaching, and kneeling, to complete daily duties in a prompt and efficient manner and that may include lifting to thirty pounds, as necessary.

Company Summary

Headquartered in Hawaii, Galapagos Federal Systems, LLC is an SBA Certified Native Hawaiian Organization 8(a) Small Business specializing in global information technology and offering professional solutions in IT Design & Installation, Cybersecurity Engineering & Support, Application Integration & Development, Software & Hardware Engineering, Network & Systems Management, Information Systems Security, and Business Management Services.

Leveraging over 30 years of providing IT services to the federal & commercial market with projects found around the world, our team has innovative expertise in the development of a wide range of technological solutions. Galapagos Federal Systems, LLC is an equal opportunity employer.

Our service commitment is simple - ""Quality IT Solutions... On Time & On Budget.""

Company Employment Statement

Galapagos Federal Systems, LLC reserves the right to change or modify job duties and assignments at any time. The above job description is not all encompassing as positions, functions, and qualifications may vary depending on business needs. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Galapagos Federal Systems, LLC is an equal opportunity employer and does not discriminate against applicants based on race, color, creed, religion, medical condition, legally protected genetic information, national origin, sex (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity and expression, age, disability, or Vietnam era, or other eligible veteran status or legally protected characteristics.

Job Type: Full-time

Benefits:

401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Tuition reimbursement
Vision insurance

Education:

Bachelor's (Required)

Experience:

DoD: 10 years (Required)

Security clearance:

Top Secret (Required)

Willingness to travel:

25% (Required)

Work Location: In person",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,Unknown,Company - Private,True
Senior AI Architect,LegalMation,"Los Angeles, CA",$150K - $240K (Employer est.),-1.0,"LegalMation is a venture-backed AI SaaS company focused on selling automation and analytics solutions to large enterprises and law firms.

Job Summary:

The duties and responsibilities of this position include, but are not limited to the following: designing and implementing Artificial Intelligence (AI) solutions to target specific identified workflows and issues; work closely with product and software development teams, data scientists, and business leaders to identify the best AI solutions that solve these specific issues; improve on current AI/ML technology solutions currently in production; well-versed in machine learning algorithms, data analytics, NER, natural language processing, LLMs, and other AI technologies.

Responsibilities and Duties:

Analyze the various data and business requirements to design and implement AI solutions that improve operational efficiency and enhance user experience.
Work with software development teams to integrate AI components into existing software applications.
Collaborate with data scientists and AI engineers to develop machine learning models that process and analyze large volumes of data.
Design and implement natural language processing solutions.
Develop and maintain AI-related documentation, including architecture diagrams, workflows, and user manuals.
Participate in code reviews and provide guidance to software developers to ensure high-quality code is deployed.
Stay up to date with the latest AI technologies and trends to provide innovative solutions to the organization.

Qualifications and Skills:

Master's or Ph.D in Computer Science, Artificial Intelligence, or a related field.
Proven experience (minimum 5 years) as an AI Architect, AI Engineer, or AI Developer.
Strong knowledge of machine learning algorithms, data analytics, natural language processing, and other AI technologies.
Experience working with software development teams to integrate AI components into existing software applications.
Strong analytical and problem-solving skills.
Excellent communication skills to work effectively with cross-functional teams.

Job Type: Full-time

Pay: $150,000-240,000 per year

Benefits:

Paid time off
Health, dental, vision
401k

Education:

Master's or Ph.D

Location:

· Los Angeles, California

Job Type: Full-time

Pay: $150,000.00 - $240,000.00 per year

Schedule:

8 hour shift
Weekends as needed

Experience:

AI/ML design: 5 years (Required)

Work Location: Hybrid remote in Los Angeles, CA 90071",-1,-1,-1,-1,-1,-1,True
Artificial Intelligence Engineer,DJ0 - TheCRM,"Beverly Hills, CA",$117K - $125K (Employer est.),-1.0,"Responsibilities:
- Develop and maintain business intelligence solutions using various tools and technologies
- Collaborate with stakeholders to gather requirements and understand business needs
- Design, develop, and implement data models, data warehouses, and ETL processes
- Create and optimize SQL queries for data extraction and analysis
- Develop reports, dashboards, and visualizations to present data insights
- Perform data analysis to identify trends, patterns, and anomalies
- Implement data quality measures to ensure accuracy and reliability of data
- Stay up-to-date with the latest trends and advancements in business intelligence technologies

Skills:
- Proficiency in TensorFlow, SAS, VBA, AI, AWS, Big Data, Natural Language Processing, and Machine Learning
- Strong analytical and problem-solving skills
- Experience with data modeling and database design concepts
- Proficiency in SQL for data extraction and manipulation
- Familiarity with ETL processes and tools
- Knowledge of data visualization tools such as Tableau or Power BI
- Understanding of statistical analysis techniques
- Excellent communication skills to effectively collaborate with stakeholders

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties as negotiated to meet the ongoing needs of the organization.

Job Type: Full-time

Pay: $117,295.00 - $125,197.00 per year

Benefits:

Dental insurance
Health insurance
Paid time off

Experience level:

2 years

Schedule:

Monday to Friday

Work Location: In person",-1,-1,-1,-1,-1,-1,True
"Data Scientist, 1+ Years of Experience","Snapchat
","Los Angeles, CA",$102K - $149K (Employer est.),3.7,"Snap Inc
is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and communicate. Snap contributes to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together. The Company’s three core products are
Snapchat
, a visual messaging app that enhances your relationships with friends, family, and the world;
Lens Studio
, an augmented reality platform that powers AR across Snapchat and other services; and it's AR glasses,
Spectacles
.
The Product team uses creativity, research, insights, and operational excellence to steer our product vision across Snap Inc. This team of Designers, Scientists, and Product Managers works in a highly collaborative environment to build the products and experiences that innovate and improve the performance of Snap's advertising platform and user experiences. Together these teams drive value and success to our customers and bring our community together in new and special ways.
We’re looking for a Data Scientist to join Snap Inc!
What you’ll do:
Apply your expertise in quantitative analysis, data mining, and statistical modeling to deliver impactful, objective, and actionable data insights that enable informed business and product decisions
Drive informed and timely decision-making that improves and optimizes the way our products are built, completed, and adopted'
Collaborate with product managers, engineers, product marketers, and designers
Knowledge, Skills & Abilities:
Expertise using data modeling skills to identify key product trends and new product opportunities
Ability to design implement, and track core metrics to analyze the performance of our products
Ability to build visuals, dashboards, and reports to optimally communicate your insights
Ability to collaborate with engineers, product managers, and other cross-functional teams
Ability to initiate and drive projects to completion with minimal guidance
An understanding of Snapchat with phenomenal product sense and product understanding
Minimum Qualifications:
BS/BA degree in statistics, mathematics, economics, computer science or equivalent years of experience
1+ years of experience in quantitative analysis & data science or a related field
1+ years of experience using SQL or similar big data querying languages
1+ years of experience with programming language, such as Python or R
1+ years of experience with applied statistical techniques, such as inferential methods, causal methods, A/B testing, or statistical modeling techniques
Preferred Qualifications:
Advanced degree in applied mathematics, statistics, actuarial science, economics or related field
Experience in a product-focused role at a social media and/or mobile technology company
Experience using machine learning and statistical analysis for building data-driven product solutions or performing methodological research.
""Default Together"" Policy at Snap: At Snap Inc. we believe that being together in person helps us build our culture faster, reinforce our values, and serve our community, customers and partners better through dynamic collaboration. To reflect this, we practice a “default together” approach and expect our team members to work in an office at least 80% of the time (an average of 4 days per week).
If you are not based in the same location(s) listed for this role and are open to relocation, we encourage you to apply to take advantage of our generous relocation policy.
At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at
accommodations-ext@snap.com
.
Our Benefits
: Snap Inc. is its own community, so we’ve got your back! We do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. Our benefits are built around your needs and include paid parental leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in Snap’s long-term success!
Compensation
In the United States, work locations are assigned a pay zone which determines the salary range for the position. The successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These pay zones may be modified in the future.
Zone A (CA, WA, NYC)
:
The base salary range for this position is $120,000-$175,000 annually.

Zone B
:
The base salary range for this position is $114,000-$166,000 annually.
Zone C
:
The base salary range for this position is $102,000-$149,000 annually.
This position is eligible for equity in the form of RSUs.",2011,Computer Hardware Development,Unknown / Non-Applicable,Information Technology,5001 to 10000 Employees,Company - Public,False
"Data Scientist I, Revenue","Match Group
","West Hollywood, CA",$115K - $130K (Employer est.),3.4,"Our Mission

As humans, there are few things more exciting than meeting someone new. At Tinder, we’re inspired by the challenge of keeping the magic of human connection alive. With tens of millions of users, hundreds of millions of downloads, 2+ billion swipes per day, 20+ million matches per day, and a presence in 190+ countries, our reach is expansive—and rapidly growing.
We work together to solve complex problems. Behind the simplicity of every match, we think deeply about human relationships, behavioral science, network economics, AI and ML, online and real-world safety, cultural nuances, loneliness, love, sex, and more.

The Team
The Data Science & Analytics team thrives on data-driven insights to make more informed decisions through our insights into our member’s behavior, preferences, and common trends. We take ownership over the integrity of our data and work to improve data literacy across Tinder.



We are seeking a passionate and motivated Data Scientist I to join our growing Revenue team. In this role you will partner with Revenue, Product, Marketing, Engineering, and Finance to accelerate improvements to our platform. The ideal candidate is both passionate about the intersection of online dating and economics and comfortable digging deep into financial data to uncover trends and patterns. This role will operate under the Revenue branch of Tinder and will focus on data related to finance, pricing, and paid-feature
conversion.



Where you'll work:
This position can be located in Los Angeles or San Francisco, CA.
In this role, you will:
Digest large, complex transaction datasets into distilled analytics that help the business identify new opportunities.
Quickly investigate KPI movements in an evolving global dataset, disentangling correlation and causation to communicate resolutions efficiently.
Collaborate closely with strategy and finance teams to study worldwide online dating trends and provide detailed market research to guide pricing decisions.
Drive ownership of your own projects while balancing speed of execution and business value
Be an authority on where and how to organize our data and readily share insights with data scientists, product managers, and finance leaders as well as at a company level.
Define and operationalize the detailed tracking of company-wide, team-specific, and product-specific performance metrics via rollout tables, dashboards, and automated reporting.
Skills Required:
Expertise with SQL and data visualization tools (e.g., Tableau, Mode, Databricks)
Ability to join multiple tables and data sources into an aggregated form that drives business understanding
Ability to design and execute complex A/B tests and statistical experiments on large datasets
Experience with a scripting language (Python, R, and/or Spark) and respective data analysis libraries
Eagerness to improve our data infrastructure and how we report analytics to the broader organization
Comfort using descriptive statistics
Curiosity of how things work, from both a business and technical perspective
A collaborative growth mindset with a dedication to community-based projects and partnerships
Experience working on data related to finance and/or subscription business models is a plus
As part of the team, you'll enjoy:
Unlimited PTO (with no waiting period), 10 annual Wellness Days
Time off to volunteer and charitable donations matched up to $15,000 annually
Comprehensive health, vision, and dental coverage
100% 401(k) employer match up to 10%, Employee Stock Purchase Plan (ESPP)
100% paid parental leave (including for non-birthing parents), family forming benefits, and Milk Stork, which provides access to breast milk shipping for business travel, surrogacy, and employee relocation
Investment in your development: mentorship through our MentorMatch program, access to 6,000+ online courses through Udemy, and an annual $3,000 stipend for your professional development
Investment in your wellness: access to mental health support via Modern Health, BetterHelp, and Insight Timer; paid concierge medical membership, pet insurance, fitness membership subsidy, and commuter subsidy
Free subscription to Tinder Gold
Factors such as scope and responsibilities of the position, candidate's work experience, education/training, job-related skills, internal peer equity, as well as market and business considerations may influence base pay offered. This salary range is reflective of a position based in West Hollywood. This salary will be subject to a geographic adjustment (according to a specific city and state), if an authorization is granted to work outside of the location listed in this posting.
Commitment to Inclusion

At Tinder, we don’t just accept difference, we celebrate it. We strive to build a workplace that reflects the rich diversity of our members around the world, and we value unique perspectives and backgrounds. Even if you don’t meet all the listed qualifications, we invite you to apply and show us how your skills could transfer. Tinder is proud to be an equal opportunity workplace where we welcome people of all sexes, gender identities, races, ethnicities, disabilities, and other lived experiences. Learn more here: https://www.lifeattinder.com/dei",2015,Internet & Web Services,$1 to $5 billion (USD),Information Technology,1001 to 5000 Employees,Company - Public,False
Data Scientist I,"Trusaic
","Los Angeles, CA",$70K - $85K (Employer est.),4.1,"Who we are: Trusaic is a regulatory compliance software company focused on creating better work environments, for everyone. Our mission is to help organizations create authentic change, whether that be by achieving pay equity, fostering a more diverse and inclusive workforce, increasing bottom lines, or offering more affordable healthcare.

Every day we wake up driven to make the working world a better place. If you’re interested in working in an environment where your individual contributions make a big impact, then Trusaic is the place for you.

Our culture: A culture fit is arguably one the most important aspects of a job opportunity. At Trusaic we pride ourselves in the people who make up our small, but growing team. We wear multiple hats and we help each other because the collective good of our company is made up by our individual efforts. We’re always looking to improve our processes and no workday is the same. We have a collaborative spirit, passionate hearts, and strong minds.

We celebrate each other’s company during group events, luncheons, trivia, happy hours, lunch and learns, and a whole lot more. At Trusaic, we fully subscribe to the work hard, play hard motto.

Overview of role: We are looking for an experienced Data Scientist to contribute to servicing our clients and to the continued expansion of our software offerings focused on furthering diversity, equity, and inclusion in the workplace. The successful candidate will be proficient in working on several projects simultaneously, coding and quality testing while also feeling comfortable interpreting statistical results, translating those results for non-technical audiences, and presenting those translated results to management and to our clients.

Essential Duties & Responsibilities:

Provide timely feedback to clients regarding completeness and correctness of data submissions;
Carefully review work, perform data checks, before submitting for further review;
Filter, sort, compute summary statistics, pivot tables, and merge data in spreadsheets;
Write, document, test, and debug R code and output;
Work within the git version control system;
Provide frequent, timely updates to task progress at agreed-upon times;
Interpret data, translate results for non-technical audiences, present findings.

Qualifications:

Master’s degree in quantitative subject e.g., statistics, econometrics, psychometrics, biostatistics, with 2 years post-masters work experience in a quantitative field that regularly required R coding, preferably working on multiple projects at a given time.
Successfully completed coursework in probability and statistics, including linear and logistic regression, maximum likelihood estimation, hypothesis testing, model assessment and selection, and matrix algebra.

Career advancement: Our products rely heavily on some of the most topical and challenging issues in the world. From healthcare to closing the gender/race gap, we work in a fast-paced environment where things are changing all the time. Given the nature of our products, opportunities for growth, both personally and professionally, present themselves regularly.

With the right attitude, mind-set, and work ethic, anything is possible here. If you want to make a difference in the world, are dedicated to career growth, and dream big, then Trusaic is the place for you.

Compensation & Rewards

Base Salary: $70,000 - $85,000 per year
Benefits
Healthcare Plans (medical, dental, and vision)
401K Plan: Eligibility for participation in the Company's 401K plan, for which you will become eligible effective on the first day of the month after completing sixty (60) days of employment. The 401K Plan is currently funded by employee contributions only.
Paid Time Off (PTO): fifteen (15) days of PTO on an annual basis.
Group Healthcare Plan
Paid Holidays
Paid Parking or Metro Reimbursement
Monthly Luncheon
Company Events & Activities
Company Training
Career Advancement Opportunities",2014,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Information Technology,51 to 200 Employees,Company - Private,False
Video Content Data Scientist,"Apple
","Culver City, CA",-1,4.2,"Summary
Posted: Nov 7, 2023
Role Number:200513121
Services at Apple help hundreds of millions of customers get the most out of the devices they love through amazing apps, award-winning shows and movies, immersive music in spatial audio, world-class workouts and meditations, super fun games and more! The Apple Media Products Data Science & Analytics organization is passionate about developing discerning insights and machine learning solutions to help continually improve these services and accelerate growth while maintaining a strong dedication to customer privacy. Our team is looking for a data scientist to help support the Video business teams (including TV+) with insights on content performance, strategy, and customer experience in the TV app. As a key member of our diverse and multifaceted organization, we have the rare and exciting opportunity to work with datasets of unique magnitude, richness, and dedication to customer privacy that will frequently require innovative approaches! We work collaboratively with partners across Business, Marketing, Product and Engineering daily to deliver material customer and business value.
Key Qualifications
Experience extracting insights from large datasets, more specifically familiarity with languages like Python and SQL
Familiarity employing analytics methodologies to tackle broad problems related to classification, clustering, and forecasting.
Comfort working with across multiple business teams, including both technical and non-technical partners.
Strong interpersonal and communication skills.
Knowledge of the Video and/or Sports domains.
Description
Provide analytics insights to support decision-making for business and creative teams in the video domain. Help define Engineering requirements for new datasets and data products to support new feature and content releases. Collaborate with other data scientists supporting subscription and marketing initiatives to ensure a comprehensive understanding of the video business. Work closely with TV+ and Sports leads to advise their roadmap and content strategy.
Education & Experience
Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, or related field. Past experience in the video domain is preferred, but not required
Additional Requirements
Pay & Benefits
At Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $125,800 and $229,400, and your base pay will depend on your skills, qualifications, experience, and location.

Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.

Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.",1976,Computer Hardware Development,$10+ billion (USD),Information Technology,10000+ Employees,Company - Public,False
Lead Java Engineer / AI / Back End,"Motion Recruitment
","Los Angeles, CA",$160K - $200K (Employer est.),3.4,"A media company based in Los Angeles is urgently hiring a back-end Lead Java Software Engineer!

They are looking for someone who has current experience using AI or OpenAI since you will be building applications used by online creators.

You will also be using Java, Spring Boot, Docker, Kubernetes, Microservices, CI/CD, Cloud, NoSQL, and Terraform.

This is a hybrid role with incredible benefits like free gym membership, stock options, and 401(k) matching. Required Skills & Experience
8+ years professional Java experience
BS in CS or related field
Spring Boot
Serverless cloud
REST API
Microservices
Docker
Kubernetes
CI/CD
AI
NoSQL
The Offer
Competitive Base Salary
Free gym membership
Stock options
You will receive the following benefits:
Medical Insurance
Dental Benefits
Vision Benefits
Paid Time Off (PTO)
401(k) matching
Applicants must be currently authorized to work in the US on a full-time basis now and in the future.
#LI-AN2",1989,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Data Scientist,"Core Digital Media
","Los Angeles, CA",$114K - $130K (Employer est.),3.9,"Core Digital Media brands empower people to improve their financial lives every day. We are one of the largest advertisers on the internet and tens of millions of people come to our sites each month. We have helped many of them save thousands of dollars off of a variety of recurring expenses such as their mortgage, insurance premiums, credit card fees, etc. Our websites include LowerMyBills.com, itsHome.com, QuickenCompare.com, and Refily.com, and they provide our consumers with valuable content, tools, service providers and solutions as they navigate some of life's biggest financial decisions.

Core Digital Media is a proud member of the Rocket Companies family [“RKT” on NYSE] and works in close partnership with its sister companies Rocket Mortgage, Rocket Homes, Rocket Loans and Rocket Money. These companies are all market leaders in their industries and are obsessed with helping their clients achieve the dream of homeownership and financial freedom.

Core Digital Media is committed to building and maintaining a culture of diversity, equity and inclusion, where all are welcomed and have the opportunity to flourish in their careers.

Core Digital Media is a pioneer in the Digital-Marketing space with several Machine Learning (ML) models in production currently. Our best-in-the-world ML models optimize tens of thousands of decisions each day for our Marketing, Sales, Product, and Finance teams. As a result, these ML models directly and positively impact the company top-line; but that’s not all, we also have a keen focus on Generative AI. We are actively considering GenAI implementations for our use cases to further increase our impact on company results.
To help us realize our goals and aspirations, we are seeking a highly driven data scientist who is eager to make an impact on the business and who is seeking opportunities to experiment with GenAI to create business values never imagined in the digital marketing space before. The new Data Scientist will be responsible for building ML/DL models and Statistical algorithms to cut costs, increase revenue, reduce waste, and to create new operational efficiencies. The Data Scientist will also suggest GenAI applications for our domain expertise and deliver POCs/Products that would deliver on our data science promise to CDM. This data scientist will be an independent and proactivethinker who continually explores our data to uncover improvement opportunities and creates rapid prototypes to accompany data science project proposals.
Responsibilities
Build, deploy, monitor and improve new and existing data science models leveraging open-source toolkits like Anaconda, Scikit-learn, SciPy, Pytorch, TensorFlow, and alike
Continuously monitors the advancements in the Generative AI space and deliver POCs/Products that would lead to new competitive advantages for CDM.
Collaborate with Machine Learning Operations team to create ML pipelines, test, and deploy the models into Production.
Do data explorations daily to uncover opportunities for operational improvements through innovative data science solutions.
Keep up with the latest in AI innovations and continually consider their application to CDM use cases.
Create and deliver compelling data analyses presentations that explain in-depth insights to an experienced and diverse group of leaders in simple terms.
Work closely with colleagues across CDM and build strong relationships with: Data, Marketing, Product, Sales, and others to drive improvement in quality, volume, service, and profitability.
Meet with stakeholders and counterparts to understand their objectives and seek alignment and explore interdependencies that must be planned proactively.
Effectively communicate complex analyses, conclusions, and solutions to all audiences.
Develop project plans with timelines to explain project development journey from inception to production.
Proactively provide updates on progress and/or blockers when working on tasks and seek out feedback for continued self-improvement.
Required Qualifications
Master’s degree in applied mathematics, statistics, computer science, or a related field or equivalent experience
3 years of hands-on experience building and deploying Machine/Deep Learning models using Python and/or Pytorch
3 years of experience working with SQL or other query languages
3 years of experience with statistical packages, such as R or SAS
3 years of experience with linear models (linear regression, generalized linear regression, logistic regression) and non-linear modeling techniques (decision trees, smoothing methods, ensemble methods)
Working knowledge of hypothesis testing and A/B testing
Proficiency in the Microsoft Office suite
1+ years of experience building data visualization with open source libraries using Python and MS Power BI
Nice to Have Qualifications
Experience building and deploying machine/deep learning models with GenAI solutions.
Active involvement with the GenAI community to experiment with new techniques and solutions.
This position is eligible for a 10% annual bonus as well as benefits (medical, dental, vision and 401K plan). Please note this role is NOT remote. It is a hybrid role that requires you to be in our Los Angeles office two days per week.
Core Digital Media an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

Core Digital Media is committed to diversity, equity and inclusion and the principle of equal employment opportunity for all employees. CDM provides employees with a work environment free of discrimination and harassment.",1999,Internet & Web Services,$25 to $100 million (USD),Information Technology,51 to 200 Employees,Company - Public,True
