Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Data Science Team Support Leader REMOTE,"SALUD REVENUE PARTNERS LLC
",Indiana,-1,4.3,"Salud Revenue Partners (Salud) is a technology-enabled service company with leadership and a high-performance culture that partners with healthcare providers nationwide to improve their revenue cycle performance.
Our vision is to be a national model for the delivery of revenue cycle services. We are at the forefront of innovation, applying next-generation process automation and artificial intelligence to focus on the most productive work to help healthcare organizations resolve difficult accounts receivable, find gold in zero balance accounts, achieve the highest coding accuracy, and carry out patient-centered solutions to self-pay.
At Salud Revenue Partners, you can work for an organization dedicated to your employee development as well as delivering unparalleled results for our customers. We give staff objectives, exceptional training, and technology-enabled resources to accomplish goals – and then set them free to get the job done. We encourage fresh ideas and a collaborative approach to delivering industry-leading solutions to clients.
What do our staff say about Salud? In April 2023 we were certified a Great Place to Work, below are a few of our survey results:

95% of our employees say this a great place to work!
98% of our staff say, “When you join the company, you are made to feel welcome.”
98% of our employees say, “Our executives fully embody the best characteristics of our company.”
98% of our employees say, “I’m proud to tell others I work here.”

Team Support Leader (TSL) – Data Science Team
This is an opportunity for an energetic problem solver who wants to play a vital role in improving the efficiency of Salud Revenue Partners operations, while also producing information that informs Salud management, staff, and clients. The Team Support Leader (TSL) supports a team of Data Analysts by removing hurdles from their day-to-day work. Team leaders motivate and inspire their team by creating an environment that promotes positive communication, encourages collaboration between team members, and demonstrates trust in their team’s abilities.
Job Description

Lead and guide the Data Science Team in the day-to-day execution of projects, ensuring they meet quality expectations and achieve goals.
Foster a collaborative and supportive team culture where team members are encouraged to excel and contribute their best efforts.
Provide technical and data science expertise and mentorship to team members, empowering them to develop professionally.
Collaborate with other departments to gather project requirements and ensure alignment with company objectives.
Identify and address any technical or data science challenges or roadblocks that may arise during project execution.
Contribute as a team member, as well as leader, on strategic and/or routine projects as needed.
Act as a point of contact for team members, actively listening to their concerns and facilitating open communication.
Champion the well-being, professional growth, and job satisfaction of team members
Communicate with clients as needed.

Experience/Skills

Strong analytic skills
Experience in implementing operational automation using scripts.
Moderate to advanced knowledge of Microsoft Office.
Proficiency with at least one programming language required. Please note all programming proficiencies on your application.
Ability to critically evaluate and merge data from multiple source systems.
Delivers informative, well-organized project updates. Communicates, prioritizes, tracks, and resolves issues in a timely fashion.
Healthcare analytic experience and knowledge preferred. Revenue Cycle experience is a plus.
Knowledge of information systems design principles and systems design techniques
Experience with SQL and ETL processes.
Experience with Python and/or PHP is a plus.
Experience with Microsoft Dynamics CRM is a plus.
Experience with Git and/or Gitlab specifically is a plus.

Staff/Resource Management

Ensures proper training of team members.
Measures and evaluates staff’s quality and provides training and education where necessary.
Evaluates staff performance through observation and performance reports, helps to set, and communicate standards and benchmarks of performance for quality, productivity, and customer service; recommends personnel actions to resolve performance or behavioral matters.
Develop and maintain good working relationships with all other divisions, leaders, and other personnel within Salud and client organizations.
Assists staff with setting goals & prioritizing duties for optimal output.
Assists and leads a variety of special projects and other duties as assigned.

Competencies

Servant Leadership mindset
Stress Management/Composure
Results Driven
Technical Capacity
Problem Solving/Analysis
Customer/Client Focus
Teamwork Orientation
Collaboration Skills
Time Management
Communication Proficiency

Work Environment

This job operates in a professional cubicle office environment or in a secure home office setting. This role routinely uses standard office equipment such as computers, phones, photocopiers, and filing cabinets.
We are looking to fill this position with a candidate who resides in one of the following states: Alabama, Colorado, Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Louisiana, Michigan, Mississippi, Missouri, New Jersey, North Carolina, North Dakota, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, or West Virginia.

Job Type: Full-time",2011,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Senior Data Analyst,"Beacon Health System
","Granger, IN",$69K - $110K (Employer est.),3.4,"Hybrid position in Granger, Indiana!

Sign-On Bonus available!

Minimum of five years of experience in data analytics or database management required.

Reports to the Director of Business Intelligence. Plays a role in shaping Beacon's data infrastructure, inclusive of data-warehousing, reporting, and analytics platforms. Using logical approaches and sound methodologies, mines data in search of innovative business insights and communicates findings to the relevant stakeholders. This includes building statistical models, diagnosing, validating, and improving the performance of these models over time in addition to creating efficient and reusable processes meant for the improvement, manipulation, and analysis of data. Additionally the Sr. Data Analyst leads data projects from requirements gathering to project implementation, identifying and communicating risks and issues along the way to ensure successful project delivery. This analytical role develops KPIs and other reporting mechanisms within Beacon for the purpose of identifying trends and evaluating the success of the Beacon's initiatives.

Supports Beacon's strategic growth decisions across the organization by:

Providing market research reporting, analyzing data and delivering actionable data in a timely manner for Beacon Health System.
Identifies, evaluates, and documents potential data sources in support of project requirements within the assigned departments within Beacon.
Preparing market reports to support new business plans and expansion opportunities.
Ensuring processes developed are reliable, repeatable, scalable, and documented.
Providing actionable insight into current market trends to drive decisions on Beacon's strategic positioning.
Supports and executes change management activities with regard to data analysis across Beacon.
Utilizes data to guide assigned business departments through all programs and initiatives, enabling continuous improvement in data quality, departmental performance, and overall business performance.

Makes positive contributes towards developing an organizational culture at Beacon Health System that uses data to make better decisions by:

Provides accurate and effective communication between technical and business teams.
Connects the use of data with business processes and identifies opportunities to innovate. Leads conversations with end-users to identify innovation opportunities.
Validates innovation ideas by developing proof-of-concepts to test idea feasibility.
Develops models and ad hoc reports, sharing observations and recommendations with senior management, executives, and stakeholders for further consideration.

Supports the development and maintenance of a system-wide data analytics platform and function by:

Develop a deep understanding of data structures and business knowledge to ensure veracity of the data presented in BI platform. Document existing processes and propose improvements to support an accessible, accurate, and scalable BI platform. Develop, execute, and document best practices associated to extracting data from BI landscape to educate end users.
Demonstrate a strong customer focus and collaborative relationship with end users. Develop and propose innovative approaches for making data driven decisions. Support end user training by developing training materials and facilitating individual and group training sessions.

Education and Experience

The knowledge, skills and abilities as indicated below are normally acquired through the successful completion of a Bachelor's Degree in Data Analytics, Informatics, Database Management, Business, Economics, or a related field.
Master's degree in business preferred.
A minimum of five years of experience in data analytics or database management, preferably in a healthcare setting, is required.

Knowledge & Skills

Requires strong analytical skills, with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Requires a strong background in financial analysis and using data to support decision-making.
Requires an in-depth technical expertise regarding data models, database design development,
Requires excellent interpersonal skills, able to deal effectively with diverse skill sets and personalities, provide strong team leadership, and work effectively as a team player.
Excellent oral, written and presentation skills.

Job Type: Full-time

Pay: $68,500.00 - $110,000.00 per year

Benefits:

403(b)
403(b) matching
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Prescription drug insurance
Professional development assistance
Relocation assistance
Vision insurance
Work from home

Experience level:

10 years
11+ years
4 years
5 years
6 years
7 years
8 years
9 years

Schedule:

8 hour shift
Day shift
Monday to Friday
No nights
No weekends

Experience:

Data analytics: 5 years (Required)
Database management: 5 years (Required)

Work Location: Hybrid remote in Granger, IN 46530",2011,Health Care Services & Hospitals,$500 million to $1 billion (USD),Healthcare,5001 to 10000 Employees,Hospital,True
Data Scientist (entry-level),"JRC Integrated Systems, LLC
","Crane, IN",$70K - $103K (Glassdoor est.),4.5,"Who We Are (video)

JRC is a specialty Systems Engineering and Research company focused on Strategic Deterrence and Strategic Defense of our great nation. We are an award-winning workplace, acknowledged as one of Greater Washington’s Best Places to Work and recognized as a Top Workplace by The Washington Post for 10 consecutive years. Headquartered in Washington, DC with international programs and operations in over 15 states, our expertise in areas such as systems engineering, digital integration, and program management, have supported some of the nation’s most important defense programs.

It’s a great time to join JRC’s Systems Engineering & Integration team! We are actively recruiting an entry-level Data Scientist to join our amazing team in Crane, IN. In this role, you will be responsible for analyzing and interpreting complex data sets, generating valuable insights, and delivering data-driven solutions to various business challenges. You will collaborate with cross-functional teams to identify opportunities for leveraging data in order to improve processes, enhance product performance, and optimize decision-making.


As the Data Scientist, you will...
Apply statistical and machine learning techniques to analyze large datasets and identify patterns, trends, and correlations
Develop predictive models, algorithms, and data-driven solutions to address business challenges and improve key performance metrics
Design and implement experiments to test hypotheses and gain insights into user behavior and product performance
Collaborate with data engineers and data analysts to ensure data quality, integrity, and efficient data pipelines
Communicate findings and insights to both technical and non-technical stakeholders through reports, visualizations, and presentations
Stay up-to-date with the latest developments in data science, machine learning, and AI technologies and contribute to the continuous improvement of data science practices within the company.
What you bring to the table...
A bachelor’s degree in Data Science, Computer Science, Statistics, Mathematics or a related field
1-3 years of related IT work experience to include:
Software integration or testing, including analyzing and implementing test plans and scripts.
Demonstrated experience with scripting languages , such as Python and R and using packages commonly used in data science applications or advanced analytics
Data science, data mining, statistics, or graph algorithms to support analytics objectives.
Must be a US Citizen and able to secure an interim Security Clearance at the SECRET level
Excellent verbal and written communication skills.
Proficiency with the Microsoft Office Suite or related software.
Excellent organizational skills and attention to detail.

JRC IntegratedSystems, Inc. is an Equal Opportunity Employer M/F/D/V

JRC Integrated Systems, Inc. is an Equal Opportunity Employer M/F/D/V",-1,-1,Unknown / Non-Applicable,-1,Unknown,Company - Private,False
Data Scientist,Steneral Consulting,"Indianapolis, IN",-1,-1.0,"Only Local candidate from Indiana

JOB DESCRIPTION:

Resource will generate queries, design reports, and help identify workflows within People Soft to improve processing of financial transactions.

This may include A/P and Purchasing approval timelines, employee volume of work, or tracking invoice dates before the PO date, or contract process timeline to include where the process is held for approval.

Reports will enhance finance management oversight of work in process and to identify problems to be addressed.

These reports will also help with division management and identify activity outside expectations.

Reports will allow communication with program areas to know where their contract request are in progress, and activity of invoice processing outside of expected timelines.

Required Skills :-

Skill




Required / Desired




Amount






Experience with State of Indiana PeopleSoft Financials system




Required




6 Months






Experience generating queries, design reports, and help identify workflows to improve processing of financial transactions




Required




1 Years






Oracle database experience




Required




1 Years






Experience in management reporting, KPI, dashboard design




Required




1 Years",-1,-1,Unknown / Non-Applicable,-1,51 to 200 Employees,Company - Private,False
Data Scientist,"Parkview Health
","Fort Wayne, IN",$93K - $127K (Glassdoor est.),4.0,"Summary: Performs analysis of complex healthcare and varied data to develop innovations for pressing healthcare delivery challenges through visualization, machine learning, optimization and statistical inference solutions. Analyzes and models structured data and implements algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, and predictive modeling. Develops descriptive and predictive models, from conception to completion and provides long- term support. Performs exploratory data analysis, generates and tests working hypotheses, and uncovers interesting trends and relationships.
Education: Master's Degree in Computer Science, Mathematics, Statistics or related quantitative discipline required. Ph.D. preferred.
Experience: Five or more years relevant quantitative and qualitative analytics experience using industry leading tools like Python or R. Two or more years of healthcare related analytics experience a plus. Two or more years of experience working within EPIC data ecosystem a plus.

Location: Parkview Health · IS Business Intelligence
Schedule: Full Time Benefit Eligible, Days, M-F 8-5",1999,Health Care Services & Hospitals,$500 million to $1 billion (USD),Healthcare,10000+ Employees,Hospital,False
Data Scientist,"Resultant
","Indianapolis, IN",$75K - $109K (Glassdoor est.),3.8,"Company Description


Resultant is a modern consulting firm with a radically different approach to solving problems.

We don’t solve problems for our clients. We solve problems with them.

Through outcomes driven by data analytics, technology solutions, digital transformation, and beyond, our team works with clients in both the public and private sectors to solve their most complex challenges. We start by learning as much as we can about who they are, how they work, and what they’re striving for so we can feel their problems as our own. Partnering with our clients means their desired outcomes are always top of mind, their challenges and strengths guiding our efforts. We build client-focused relationships before we build unique solutions that blaze past expectations.

Originally founded in Indianapolis in 2008, Resultant now employs more than 400 team members who operate from offices around the United States including Indianapolis and Fort Wayne, Indiana; Columbus, Ohio; Lansing, Michigan; Denver, Colorado; Dallas, Texas and Atlanta, Georgia.

We’re Resultant. Clients partner with us to see a difference. People join us to make one.



Job Description


At Resultant we are fearless problem solvers. We are passionate about helping our clients solve their toughest problems. Data analytics is a core component of how we do this.

We are looking for a Data Scientist to add to our talented Data team. In this role, you will perform data analysis, statistical analysis, and develop algorithms and methodologies on structured and unstructured data for on-demand and software-embedded use.

Here’s what a typical day for you might look like:

Develop and apply machine learning and advanced analytics algorithms to solve problems you’ve never seen before
Collaborate with data architects and software developers to plan and construct the architecture of model deployment
Summarize results and communicate to our team and clients
Contribute and share new knowledge with our team at a lunch-and-learn
Expect to face new challenges each day. Expect to work on a high diversity of different problems. Expect to work hard and learn faster than you thought possible.


Qualifications

This is not an entry level/recent graduate role and requires at least 2+ years of related industry experience. Some of the qualifications and skills we are expecting are:
Bachelor’s and preferably advanced degree in a quantitative field required
Proficiency in Python and/or R
Experience working with large scale data from a traditional relational database environment
Experience with design experiment, statistical modeling and analysis
Experience with supervised and unsupervised machine learning methods
Experience with designing actionable analytic solutions, partnering with business stakeholders
Experience with version control
Experience performing longitudinal analysis is a plus
Experience with Bayesian analysis is a plus
Experience developing interactive visualization (shiny, plotly) is a plus
Experience with developing in cloud environment is a plus
Experience with text mining and NLP algorithm is a plus
Experience with graph and network algorithms is a plus
Experience with container technologies (docker) is a plus

Strong working knowledge of the following:

Modern data mining and machine learning methods
Statistics, mathematics, computer science, numerical methods, and data visualization
Linear algebra and probability
Rapid prototyping and development
Solution creativity and effective written, verbal, and presentation skills
Progressive mindset particularly around deployment models and emerging technologies
Collaborative team player who is detailed oriented, focused on solution quality and execution
Comfortable working across a wide range of project sizes and industries
Entrepreneurial inclination to discover novel opportunities for applying analytical techniques to business and social problems

Additional Information


What you should know about us:

We are humble, hungry, and smart. We solve big problems, serve lots of clients, and are entirely committed to delivering transformative outcomes.
We are team players, deeply dedicated to the mission of the organization, and to helping everyone around us be successful.
We compensate well, rewarding performance that delivers positive outcomes for our clients.
Our leaders work hard, serving as shining examples of what it means to live out our values. They are servant leaders, helping their teams to be successful in all possible ways.
We offer several opportunities to develop yourself.
We pride ourselves in having the best talent in the industry and hope that you're up for the challenge!

What our team members say about us:

""I love our true empathy and concern for our clients, it's very rare and appreciated. It is a pleasure to be a part of an organization like this.""
""I learn something new every single day, and I feel like I'm a part of building an organization that has legs. I appreciate that I'm consistently humbled by the talent and caliber of our team.""
""The culture of the company is amazing, and the climate of my team is great. The benefits that employees are offered are better than competitors, and the one-on-one presence that my team lead gives is extremely beneficial to me.""

All qualified applicants will receive consideration for employment without regard to age, color, sex, disability, national origin, race, religion, or veteran status.

Equal Opportunity Employer",2008,Business Consulting,Unknown / Non-Applicable,Management & Consulting,201 to 500 Employees,Company - Private,False
Data Scientist,"Indiana University Health
","Indianapolis, IN",$84K - $115K (Glassdoor est.),3.4,"Job Description

Overview

Solves complex analytical problems using quantitative approaches through a combination of analytical, mathematical, and technical skills by creating machine learning models and programmatically updating models and predictions. Develop code, test, and validate scripts, build scripts using algorithmic analysis and design, industry standards and tools, version control. Build and test automation to meet business, technical, security, governance, and compliance requirements. Extracts insights from various source and various format data by identifying statistical relationships and patterns through data exploration and data visualization techniques to understand the underlying structure of the data and enable sound conclusions upon model building. Fulltime work from home telecommuting is permitted for this position from any location in the United States.




JOB REQUIREMENTS:

1. Master’s Degree or above in Health Informatics Degree, Informatics, Computer Science or closely related field;

2. 36 Months of experience as a Data Analyst, Business Analyst, Data Scientist, Analytics or related position using specials skills/ tools listed below (experience should include):

a. 36 months of experience with SQL query, SSIS, SSAS, SSRS, SSMS, and data modeling required;

b. 36 months of experience with scripting using python, and R programming language;

c. 36 months of experience creating dashboards using Tableau, and Microsoft Power BI;




Work Location (or reporting location in the event of telecommuting):

1. 340 W. 10th Street, Indianapolis, IN 46202

2. Fulltime work from home telecommuting is permitted for this position from any location in the United States.




We are an equal opportunity employer and value diversity and inclusion at IU Health. IU Health does not discriminate on the basis of race, color, religion, sex, sexual orientation, age, disability, genetic information, veteran status, national origin, gender identity and/or expression, marital status or any other characteristic protected by federal, state or local law. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Indiana University Health is Indiana’s most comprehensive health system, with 16 hospitals and nearly 40,000 team members serving Hoosiers across the state. Our partnership with the Indiana University School of Medicine gives our team members access to the very latest science and the very best training, advancing care for all. We’re looking for team members who share the things that matter most to us. People who are inspired by challenging and meaningful work for the good of every patient. People who are compassionate and serve with a purpose. People who aspire to excellence every day. People who are always ready to apply themselves.",1997,Health Care Services & Hospitals,$5 to $10 billion (USD),Healthcare,10000+ Employees,Hospital,False
Data Scientist - REMOTE,"Highlight Technologies
",United States,-1,4.5,"Overview:
We are looking for an experienced Data Scientist to join our data science team. In this role, you will be responsible for leveraging data to drive insights and develop machine learning models to solve complex business problems.
Responsibilities:
Work closely with stakeholders to identify business needs and formulate the right data science problems to solve
Collect, clean, transform and validate large sets of structured and unstructured data from various sources
Perform exploratory data analysis to uncover insights and trends
Develop, test and maintain predictive models and machine learning algorithms (classification, regression, clustering, etc.)
Track model performance and monitor for model drift; retrain models as needed
Develop processes and infrastructure to operationalize analytical solutions
Communicate results through presentations, reports and recommendations
Qualifications:
U.S. Citizenship
Ability to receive DHS EOD suitability
Masters in Data Science, Computer Science or related degree
Possession of strong verbal and written communication skills
Ability to work in a high-speed delivery focused environment
Ability to work on a fully remote team and maintain delivery tempo
Proficient in Deep Learning Libraries (Tensorflow or Pytorch)
Familiarity with Object Oriented Programming for model building, pipelines, unit testing via Python
Ability to perform programming tasks to maintain current models and code
Mathematical/analytical skills for modeling new features and adjustments to existing models
Experience with SQL, Python, Flask, Spark, Databricks, multivariate time series, version control like GitHub and MLflow, LSTM's and Transformers, Jenkins, AWS services, forecasting, statistics, and open source contributions
Excellent written and verbal communication skills
Strong business acumen and ability to translate analytical insights into business impacts.
About Highlight:
For over ten years, Highlight has provided Development and Modernization, Secure IT, and Mission Solution services to our federal government customers. Our team knows the technology; we understand how our customers and their stakeholders work; and we know how to implement industry best practices to deliver high-quality, end-to-end solutions that minimize risk and maximize results.

Since our inception, Highlight has had an employee-first mindset. Our mission is to provide employees with rewarding and impactful career opportunities. In 2021, Highlight’s founder and CEO, Rebecca Andino, implemented an Employee Stock Ownership Plan to embody and expand our culture of transparency, teamwork and rewarding the work of our employees. By becoming an ESOP, our employee-owners share in the success of the company through their ownership stake. To learn more about ESOPS, check out: www.esopinfo.org.

We’re an Equal Opportunity Employer (EOE) that empowers our people to fearlessly drive change - regardless of their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other characteristics. Our team is dedicated to foster diversity within our teams to promote creativity, innovation, and teamwork to deliver the best solutions for our customers.

If you are a Colorado resident, please contact us or email us at Recruiting@HighlightTech.com to receive compensation and benefits information for this role. Please include this Req ID in the subject line of the email.
-:
#nwhp",2008,Information Technology Support Services,$5 to $25 million (USD),Information Technology,201 to 500 Employees,Company - Private,False
Data Scientist - Indianapolis Health,"Milliman
","Indianapolis, IN",$92K - $125K (Glassdoor est.),3.8,"Job Details

Description

Overview

Milliman’s Indianapolis Health Practice is seeking a Data Scientist to join our team. Our incoming data scientist will focus primarily on healthcare payer projects while having the opportunity to gain experience across a range of human services projects (e.g., child welfare, healthcare provider, and housing). The ideal candidate excels in the analysis and manipulation of large data sets with the ability to create meaningful insights from the data. This candidate should have a passion for doing high-quality work, continuously learning and improving, effectively analyzing cost data, consistently developing data and rate calculation methodologies, and regularly exceeding consultants' and clients' expectations. The selected candidate will have ample opportunity to refine sophisticated consulting skills, hone project management skills, and grow their career, skill sets, and expertise within the practice. This position will join our growing Data Team.

Responsibilities

In this role, you will:

Take on advanced data analytics and project management
Clean and manipulate large, complex data sets from various sources
Apply innovative techniques to large claims datasets to analyze a wide array of healthcare-related topics
Investigate discrepancies between medical concepts and their manifestation in claims datasets
Contribute to hypothesis development for quasi-experimental designs
Assist junior colleagues with the development of their programming and analytic skills
Have an evolving role with client management, that will increase in responsibility over time

Qualifications

Required

At least two years of experience analyzing healthcare claims data using Python, SQL, R
Understanding of medical coding systems (CPT, ICD-9, DRG, etc.)
Knack for prioritizing and completing multiple projects and tasks
Strong oral and written communication skills
Strong problem solving and analytical skills
Ability to work both independently and as part of a team
Comfortable working in a fast paced, consulting environment
Experience or knowledge of the healthcare industry and payer systems
Available to work onsite at Milliman’s Indianapolis, IN office in a hybrid work environment

Preferred

Experience scrubbing large, non-standardized claims datasets
Experience with MarketScan and/or Medicare (or similar) databases
Experience with Power BI, Tableau or R Shiny

The Team

The Indianapolis Health practice has 200+ full-time employees from various academic and professional backgrounds. Our practice is strategically structured to serve state Medicaid and other health and human service agencies. We create dedicated core teams for each state Medicaid agency client that are customized to serve each of our clients’ unique needs. As a member of the Medicaid Data Team, you will provide analytical support services to our key state clients and their dedicated core teams, under the mentorship of senior data consultants. Our data team works cross-functionally with professionals from a variety of disciplines and backgrounds including: actuarial, policy, finance, pharmacy, and data management - working together with the common goal of best serving our clients’ needs. We offer challenging projects, expert colleagues, a collaborative environment, and diverse client projects for all employees to work, learn, and grow with our practice.

Location

The person hired for this role will work in a dynamic, hybrid environment, with 2 to 3 days per week of on-site work required in our Indianapolis office on a weekly basis.

Benefits

At Milliman, we focus on creating an environment that recognizes – and meets – the personal and professional needs of the individual and their family. We offer competitive benefits which include the following based on plan eligibility:

Medical, dental and vision coverage for employees and their dependents, including domestic partners
A 401(k) plan with matching program, and profit sharing contribution
Employee Assistance Program (EAP)
A discretionary bonus program
Paid Time Off (PTO) starts accruing on the first day of work and can be used for any reason; full-time employees will accrue 15 days of PTO per year, and employees working less than a full-time schedule will accrue PTO at a prorated amount based on hours worked
Family building benefits, including adoption and fertility assistance and paid parental leave up to 12 weeks for employees who have worked for Milliman for at least 12 months and have worked at least 1,250 hours in the preceding 12-month period
A minimum of 8 paid holidays
Milliman covers 100% of the premiums for life insurance, AD&D, and both short-term and long-term disability coverage
Flexible spending accounts allow employees to set aside pre-tax dollars to pay for dependent care, transportation, and applicable medical needs

Who We Are

Independent for 75 years, Milliman delivers market-leading services and solutions to clients worldwide. Today, we are helping companies take on some of the world’s most critical and complex issues, including retirement funding and healthcare financing, risk management and regulatory compliance, data analytics and business transformation.

Through a team of professionals ranging from actuaries to clinicians, technology specialists to plan administrators, we offer unparalleled expertise in employee benefits, investment consulting, healthcare, life insurance and financial services, and property and casualty insurance.

Equal Opportunity

All qualified applicants will receive consideration for employment, without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Qualifications

Education

Required

Bachelors or better.

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)",1947,Business Consulting,$1 to $5 billion (USD),Management & Consulting,1001 to 5000 Employees,Company - Private,False
GenAI - NLP Data Scientist,"Lilly
","Indianapolis, IN",$82K - $114K (Glassdoor est.),4.1,"At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.

Generative AI – Proactive, Predictive, Powerful!

Are you passionate about using data and technology to answer business and scientific questions? If so, bring YOUR skills and talents to Lilly where you’ll have the chance to create an impact on the lives of patients.

What You'll Be Doing:

As a GenAI Data Scientist, you will implement generative AI models, and identifying insights that can be used to drive business decisions. You will work closely with multi-functional teams to understand business problems, develop hypotheses, and test those hypotheses with data.

How You'll Succeed:

Develop and implement enterprise-level GenAI models and tools to solve business problems.

Collaborate with customers to identify business problems and provide data-driven solutions.

Communicate insights and recommendations to technical and non-technical customers.

Conduct research to identify emerging trends and technologies in Gen AI and other areas of data science.

Run and prioritize multiple projects simultaneously.

Ensure data quality and accuracy.

What You Should Bring:

Experience working with cloud based platforms (example: AWS, Azure or related)

Strong problem-solving and analytical skills

Proficiency in handling various data formats and sources

Prior statistical modeling experience

Demonstrable experience with deep learning algorithms and neural networks

Experience with data engineering and data pipeline development

Proven leadership and project management skills.

Superb communication and presentation skills

Ability to work in a fast-paced, collaborative environment

Your Basic Qualifications:

PhD in computer science, information science, mathematics, statistics, engineering, or related field OR Master's in computer science, information science, mathematics, statistics, engineering, or related field with the following

2+ years of experience post education in a NLP/GenAI role

Experience with machine learning and GenAI algorithms such as large language models

Prior experience working with Python or other programming languages

Additional Information:

Position located in Indianapolis, Indiana working in a hybrid model. Remote work within the US may be considered.

Up to 10% travel may be required depending on project

Lilly IT builds and maintains capabilities using cutting edge technologies like most prominent tech companies. What differentiates Lilly IT is that we redefine what’s possible through tech to advance our purpose – creating medicines that make life better for people around the world, like data driven drug discovery and connected clinical trials. We hire the best technology professionals from a variety of backgrounds, so they can bring an assortment of knowledge, skills, and diverse thinking to deliver innovative solutions in every area of our business.

The Advanced Analytics and Data Sciences (AADS) team brings the power of data and advanced analytic capabilities such as artificial intelligence, machine learning, and predictive analytics to identify and solve high-value business questions. This team is leading the next generation data environment to manage data as a strategic asset across the entire company, providing unprecedented insights and solutions to enable significant value transformation across the biopharma value chain.

Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.

Lilly is an EEO/Affirmative Action Employer and does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.

Our employee resource groups (ERGs) offer strong support networks for their members and help our company develop talented individuals for future leadership roles. Our current groups include: Africa, Middle East, Central Asia Network, African American Network, Chinese Culture Network, Early Career Professionals, Japanese International Leadership Network (JILN), Lilly India Network, Organization of Latinos at Lilly, PRIDE (LGBTQ + Allies), Veterans Leadership Network, Women’s Network, Working and Living with Disabilities. Learn more about all of our groups.

#WeAreLilly",1876,Biotech & Pharmaceuticals,$10+ billion (USD),Pharmaceutical & Biotechnology,10000+ Employees,Company - Public,False
