Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
"VISS/AXIS Ai Developer - (Ai modeling, data engineering, X-ray imaging) - Kentucky (BOSK)","SK Battery America
",Kentucky,-1,3.5,"Come join us and build your future with SK battery America.
Role and Responsibilities

VISS System Development & Implementation: Spearhead the development, testing, and deployment of AI and data solutions tailored for the Vision Image Storage System. This system aims for long-term storage and structured retrieval of vision images produced during processes.
AXIS System Development and Implementation: Pioneer the development, testing, and deployment of AI and data-centric solutions tailored for the AI X-Ray Inspection System, focusing primarily on quality determination using X-Ray examinations.
Image Analysis & Processing: Utilize AI-driven told to analyze and process vision images, enhancing their clarity and relevance.
Data Management & Retrieval: Design and manage database structures specific to VISS and AXIS, ensuring efficient storage, quick retrieval, and system-wide compatibility for image data using languages and tools such as Python, SQL, and relevant image processing libraries.
User Experience & Interface Development: Forge intuitive, AI-interactive interfaces that empower users to easily store, categorize, and retrieve vision images.
Troubleshooting & Support: Proactively address VISS and image-related software challenges, instigate system enhancements and ensure sustained high performance.
Continuous Learning and Training: Remain conversant with contemporary trends in AI, data engineering, and vision image storage technologies. Provide training and steadfast support to in-house teams.

Skill and Qualification:

Bachelor's degree in IT, Computer Engineering, or similar field.
3 - 6 years of direct experience in Ai modeling, data engineering, and image processing especially in contexts related to X-Ray imaging or related fields.
Mastery in programming, predominantly in Python, SQL, and tools relevant to image processing and analysis.
Deep understanding of image processing libraries and algorithms, with a focus on X-Ray image interpretation.
Stellar teamwork, collaboration, and communication skills.
A solution-oriented and innovative mindset, tailored for X-Ray image analysis.

Job Type: Full-time",-1,Energy & Utilities,Unknown / Non-Applicable,"Energy, Mining & Utilities",Unknown,Company - Private,False
Principal Statistical Programmer - CRO - Remote,"Compass Life Sciences
",United States,$145K (Employer est.),4.8,"Compass Life Sciences are working with a growth stage CRO that is rapidly building teams across the globe to support FSP and non-FSP projects that have been awarded by some of the largest Pharma and Biotech in the world. Due to their growing reputation for quality delivery, they are securing work ahead of the more established CROs and as such have an exciting future ahead.

I am looking for experienced Statistical Programmers that have a passion for quality and are able to understand the larger picture of what the data they work on means. This home based position can be based anywhere in the US or Canada.

This is a broad role that will provide the opportunity to use your SAS programming skills in the production of data analyses from all phases of clinical drug development, depending on the project / FSP relationship you work on.

This is offered on a fully remote basis.

Responsibilities

Depending on level of Seniority within the group you will be expected to provide leadership and guidance as the lead statistical programmer on one or more projects. You will be required to plan and manage programming activities across multiple studies or projects to deliver datasets and statistical outputs to agreed timelines and quality.

Key responsibilities will include:
Plan and manage programming activities to deliver all required outputs to agreed timelines and quality, (e.g., analysis datasets, pooled datasets, tables, figures and listings for regulatory or reimbursement submissions and publications).
Management and oversight of statistical programming tasks outsourced to the company by the sponsor, ensuring that performance meets the agreed timelines, quality and budget requirements established for the project or study.
Participate in the design and/or review of statistical programming deliverables including developing programming specifications for datasets and data outputs.
Participate in the review of other biometrics deliverables (e.g. case report forms, study database structure, data management and data quality plans, statistical analysis plans).
Act as key statistical programming contact for internal project team and external project partners.
Mentoring and development of less senior programming staff.
Other activities as may be assigned.

Job Requirements

Demonstrable leadership, project management, and interpersonal skills
Experience working as a SAS programmer, preferably in a drug development environment
Experience in managing and working with CROs and consultants in outsourcing statistical programming work
Good knowledge of and experience in applying CDISC standards
Self-starter with the ability to work on a cross-functional team

Education & Skills

BSc or higher in mathematics, statistics, computer science or related discipline
Experience working as a SAS programmer, preferably in a drug development environment
Proficiency with SAS programming and SAS macro code development required along with a good understanding of SAS GRAPH and SAS ODS.
Demonstrated knowledge of and experience in the application of CDISC standards (SDTM and ADaM)
Knowledge of non-SAS programming packages an advantage (e.g. Spotfire, S-Plus, R)
Excellent written and verbal communication skills
Proven leadership skills

If you would like to be considered for this position, contact David Jolley on his cell (919) 429 7658, or you can reach the US office on (984) 444 9984 for a conversation in confidence. Alternatively email an updated CV .

Recommendations

Compass Life Sciences Inc. are working as a Staffing Agency in connection for this permanent vacancy; we offer up to $500 of Amazon.com vouchers for each successful recommendation.",2009,Staffing & Subcontracting,$5 to $25 million (USD),Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Senior Specialist Data Scientist,"Infineon Technologies
","Lexington, KY",,4.2,"The DCI Analytics team at Infineon is redefining how we leverage data for driving insights and building products for improving digital marketing campaigns, customer experience on the web, and lead management processes. We are looking for a Senior Specialist Data Scientist who will leverage advanced analytics methods such as machine learning and statistical analysis to derive meaningful insights from data, build predictive models for personalization, and advice the business on action items for improving the key metrics of the DCI team. Apply today for the Senior Specialist Data Scientist role located in Lexington, KY

In your new role you will:

Formulate and carry out multifaceted analytic studies against large volumes of web related data.
Interpret and analyze data using exploratory mathematic and statistical techniques based on the scientific method.
Coordinate research and analytic activities utilizing various data points (unstructured and structured) and employ programming to clean, massage, and organize the data.
Derive insights from textual data using Natural Language process techniques for the purpose of classifying/tagging documents intosegments.
Analyze large volumes of website interaction data to personalize the customer journey in the web
Understand the data collection process using the tag managers in the web, provide recommendations to the development team if needed.
Experiment against data points, provide information based on experiment results (A/B testing) and provide previously undiscovered solutions to command data challenges.
Leverage statistical tools and machine learning models for improving the digital KPI metrics
Coordinates with Data Engineering team to provide requirements to ingest new data if needed.
Work closely with all business units and engineering teams to develop strategy for long term data platform architecture .


You are best equipped for this task if you have:

Bachelor’s degree in computer science , statistics or mathematics(minimum)
Master’s degree in Data Science or Data Analytics (preferred)
Experience:
1-3+ years’ experience in statistics, data science, machine learning and using python
Natural language processing experience using tool kits such as nltk,spacy



Infineon Technologies cares about our employees’ health and well-being, and we are dedicated to offering a competitive, comprehensive, and valuable benefits package for you and your dependents. Our benefits range from medical, Rx, dental, vision, and an employee assistance program. We offer ancillary benefits, such as flexible spending accounts, commuter transit, disability insurance, supplemental life insurance, and legal and identity theft benefits. We believe it is very important for our employees to save now for their future and offer a robust match to contribute to your savings.



Infineon designs, develops, manufactures, and markets a broad range of semiconductors and semiconductor-based solutions, focusing on key markets in the automotive, industrial, and consumer sectors. Its products range from standard components to special components for digital, analog, and mixed-signal applications to customer-specific solutions together with the appropriate software.

We are on a journey to create the best Infineon for everyone.
This means we embrace diversity and inclusion and welcome everyone for who they are. At Infineon, we offer a working environment characterized by trust, openness, respect and tolerance and are committed to give all applicants and employees equal opportunities. We base our recruiting decisions on the applicant´s experience and skills.
We look forward to receiving your resume, even if you do not entirely meet all the requirements of the job posting.
Please let your recruiter know if they need to pay special attention to something in order to enable your participation in the interview process.
Click here for more information about Diversity & Inclusion at Infineon.

Driving decarbonization and digitalization. Together.

Cypress Semiconductor Corporation, is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy, childbirth, or related medical conditions), gender identity, national origin, ancestry, citizenship, age, physical or mental disability, legally protected medical condition, family care status, military or veteran status, marital status, domestic partner status, sexual orientation, or any other basis protected by local, state, or federal laws.

Employment at Infineon is contingent upon proof of your legal right to work in the United States under applicable law, verification of satisfactory references and successful completion of a background check and drug test, and signing all your on-boarding documents.

In some instances, if applicable, U.S. export control laws require that Infineon obtain a U.S. government export license prior to releasing technologies to certain persons. This offer is contingent upon Infineon's ability to satisfy these export control laws as related to your employment and anticipated job activities. The decision whether or not to submit and/or pursue an export license to satisfy this contingency, if applicable, shall be at Infineon's sole discretion.

#LI-MM

Infineon Technologies takes data privacy and identity theft very seriously. As such, we do not request personally-identifiable information (PII) from applicants over the internet or electronically. Please kindly refrain from disclosing your PII electronically during the application process or to unauthorized websites that may purport to be Infineon or any of our affiliates.",1999,Electronics Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Data Librarian,"Jabil Circuit
","Lexington, KY",$56K - $87K (Glassdoor est.),3.8,"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 250,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world’s leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

Job Summary
As a Data Librarian you will be responsible for the curation and management of image data annotations used in the training of Artificial Intelligence (AI) Neural Nets used on a Badger Technologies’ autonomous robot in a retail environment. Accurate data annotations are the foundation for training our artificial intelligence networks, requiring an individual with a meticulous attention to detail.
Essential Duties & Responsibilities
· Drawing boxes around objects of interest such as cans of food and price tags in images taken by robots in stores
· Identifying the contents of the boxes such as the kind of product or the price of the product on a tag
· Associating the UPC codes found on tags with the products on the shelf
· Reviewing the work of other annotators
· Maintaining a library of annotations and assuring consistency between multiple annotators and over time
· A basic proficiency with computers
· Strong hand-eye coordination with an ability to make rapid decisions and enter information into a computer (video game experience a plus)
· An ability to work on long-term repetitive tasks with a high level of accuracy
· A strong sense of ownership
· Willingness to work at the Badger Technologies office
· An ability to effectively search for information online
· An ability to lead a large scale project and assign tasks to other annotators
Education & Experience Requirements
· Some college preferred
· A basic familiarity with grocery store items and retail shopping experience
· Fluency in English, familiarity with other languages a plus

BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driver’s license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact the Federal Bureau of Investigations internet crime hotline (www.ic3.gov), the Federal Trade Commission identity theft hotline (www.identitytheft.gov) and/or your local police department. Any scam job listings should be reported to whatever website it was posted in.


Jabil, including its subsidiaries, is an equal opportunity employer and considers qualified applicants for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, genetic information, veteran status, or any other characteristic protected by law.",1966,Electronics Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
Senior Data Analyst,"Louisville Metro Government
","Louisville, KY",$62K (Employer est.),3.5,"Description

Esential Functions:

Analyzes data from internal and external sources
Helps design framework for data collection to effectively measure program outcomes and impact
Tells the story in the numbers in a way that is easy to understand, through written analysis, data visualizations, and public presentations

Examples of Duties

Examples of Work:

GENERAL
Provides technical support to data collection and analysis functions of the department
Helps design data collection plans to measure program outcomes and effectiveness
Retrieves, processes and makes accessible data from various sources for internal and external users
Links, converts or saves data into database, spreadsheet or graphic format
Performs statistical and qualitative analysis on data gathered from operational and financial data systems to optimize decision-making
Oversees and conducts program evaluation
Creates program and organizational reports, including data visualizations and written analysis
Fosters a culture of empowerment and ownership to resolve issues and improve operations
Responds to regular data requests in a professional and timely manner
Performs related work

Minimum Requirements

Physical Requirements & Working Conditions:

Meets regular and punctual attendance standards and any special needs of the position as determined by management, including mandatory overtime and performing related work

Minimum Requirements:

Master's degree
Business Administration
Computer Science
Data Analytics
Economics
Engineering Technology
Information Systems
Information Technology
Mathematics
Public Administration
Statistics
Urban Planning
Related field
Two years of program evaluation or data analysis experience

Equivalency:

An equivalent combination of education and experience may be substituted

KSAs:

Knowledge and experience with new media technologies and social media platforms
Ability to make decisions based on working knowledge and sound ethical judgments is essential
Knowledge of research methods and evaluation including the ability to design, conduct, analyze and convey findings
Highly motivated, team oriented, self-directed individual
Ability to establish and maintain positive customer relations with all those contacted in the course of work
Ability to communicate clearly and concisely, both orally and in writing with all those contacted in the course of work
Ability to analyze, synthesize and summarize data
Skill in critical thinking, diagnosing, and troubleshooting
Ability to apply creativity and innovation
Knowledge of and proficiency with data visualization and tools such as Power BI, SAS, and/or Tableau
Knowledge of and proficiency with data analysis and/or statistical packages, such as Microsoft Excel, R and/or Stata
Demonstrated work experience with data privacy, security, bias, ethics, and open records laws
Proficiency in Microsoft Office (e.g., Word, Excel, PowerPoint)




Louisville Metro Government is committed to providing our employees with the tools they need to lead a fit and healthy life. Aside from community-wide initiatives like the Mayor's Hike, Bike and Paddle event every Memorial Day and Labor Day, and the Healthy Hometown Movement, Metro Government provides employees with programs designed to enhance their life and well-being, like a Wellness Center that allows employees and their dependents with Metro health insurance to take care of their basic medical and health needs for a $5 co-pay. Louisville Metro Government understands that a team of healthy, vibrant employees is the greatest asset we have.

Full Time Regular
Medical
Dental
Vision
Group Term Life
Supplemental Life
Accidental Death & Dismemberment
Sick Leave
Vacation
Holiday Pay
Bereavement Leave
Kentucky Public Pensions Authority
457 Deferred Comp
Voluntary Lifestyle Benefits
Tuition Assistance
Qualified Adult Benefits
Childcare Assistance
Free TARC Use
Paid Parental Leave
Part Time – 17.5 to 25 Hours Per Week
Vacation (pro rata)
Sick Leave (pro rata)
Holiday Pay (pro rata)
Part Time – Less Than 17.5 Hours Per Week
Ineligible For Benefits
Temporary Positions
Ineligible For Benefits

Interns
Ineligible For Benefits",-1,Municipal Agencies,Less than $1 million (USD),Government & Public Administration,1 to 50 Employees,Unknown,False
Senior Data Analyst,"Gainwell Technologies LLC
",Kentucky,$65K - $93K (Employer est.),3.4,"Be part of a team that unleashes the power of leading-edge technologies to help improve the health and well-being of those most vulnerable in our country and communities. Working at Gainwell carries its rewards. You’ll have an incredible opportunity to grow your career in a company that values work flexibility, learning, and career development. You’ll add to your technical credentials and certifications while enjoying a generous, flexible vacation policy and educational assistance. We also have comprehensive leadership and technical development academies to help build your skills and capabilities.


Summary


As a(n) Senior Data Analyst at Gainwell, you can contribute your skills as we harness the power of technology to help our clients improve the health and well-being of the members they serve — a community’s most vulnerable. Connect your passion with purpose, teaming with people who thrive on finding innovative solutions to some of healthcare’s biggest challenges. Here are the details on this position.

Your role in our mission



Creates accurate mapping documents according to the mapping process.
Works toward delivering a first draft solution to ETL for coding, by rapidly understanding which details about the mapping can be deferred.
Presents analysis and design recommendations to lead MITA teams, customer and/or vendors into the acceptance of the design.
Supports the ETL developers based on the mappings created.
Works closely with configuration team and DBAS to ensure synchronicity of configuration to interfaces and mappings.
Refines mapping documents, adding more detail and filling out deferred material as questions are resolved.
Uses SQL, data models, data element dictionary and schema to perform data and business analysis.
Creates unit test cases for area of responsibility and updates technical specifications and mappings.
Validates test plan results that satisfy the detailed design goals.
Supports unit Testing, System Integration Testing, System Testing, and user Acceptance Testing.
What we're looking for



5+ years QNXT/Schema knowledge
5+ years experience in Healthcare/business knowledge in member, eligibility, TPL, claims processing, provider, pharmacy claims
Good/Excellent SQL skills (5+ years)
Good Oral/Written communication skills
Experience gathering business requirements


What you should expect in this role



Remote Position in the United States and/or Puerto Rico
Video cameras must be used during all interviews, as well as during the initial week of orientation


#LI-IP1

#LI-TH1

#LI-REMOTE


The pay range for this position is $64,900.00 - $92,700.00 per year, however, the base pay offered may vary depending on geographic region, internal equity, job-related knowledge, skills, and experience among other factors. Put your passion to work at Gainwell. You’ll have the opportunity to grow your career in a company that values work flexibility, learning, and career development. All salaried, full-time candidates are eligible for our generous, flexible vacation policy, a 401(k) employer match, comprehensive health benefits, and educational assistance. We also have a variety of leadership and technical development academies to help build your skills and capabilities.


We believe nothing is impossible when you bring together people who care deeply about making healthcare work better for everyone. Build your career with Gainwell, an industry leader. You’ll be joining a company where collaboration, innovation, and inclusion fuel our growth. Learn more about Gainwell at our company website and visit our Careers site for all available job role openings.


Gainwell Technologies is committed to a diverse, equitable, and inclusive workplace. We are proud to be an Equal Opportunity Employer, where all qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We celebrate diversity and are dedicated to creating an inclusive environment for all employees.",2020,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,10000+ Employees,Company - Private,False
Data Scientist ML/AI/LM/LMM (remote),"Pearson
","Frankfort, KY",$130K - $140K (Employer est.),3.7,"Position Summary

Machine learning and LLMs’ impact on Higher Education continues to expand each day. Pearson is looking for a data scientist to help harness this growing field to benefit university students and instructors. This individual will participate in the planning, design, development, and implementation of solutions to provide the optimal learning experience for our customers. Our data scientists work on solutions which improve the efficiency of instructors and increase student engagement, comprehension, and personalized learning experiences.

Responsibilities:

Collaborate with cross-functional teams to build new solutions for students and instructors in Higher Education using your expertise in deep learning and other machine learning models and algorithms
Continuously learn, explore, and provide insights into the latest tools and practices in artificial intelligence so we can innovate new ways of teaching and assessing university level material.
Evaluate and fine tune the performance, cost and efficacy of different models and solutions to achieve the highest quality standards for our customers.
Make a lasting, positive impact on the educational outcomes of our customers.
Be a trustworthy steward of our customers’ data

Requirements

3+ years of experience of deep-learning and Language Model Middleware (LMM) technologies, know how to evaluate similarity search and LMM outputs, and conduct prompt engineering, token optimization and evaluate system efficacy.
In-depth understanding of LLM technologies and their applications in natural language processing.
Experience with data preprocessing, data augmentation, and data quality assessment.
Proficiency in using and fine-tuning state-of-the-art deep learning models, such as transformer-based architectures (e.g., BERT, GPT, T5).
Strong programming skills in Python and proficiency with relevant libraries and frameworks (e.g., TensorFlow, Pandas, PyTorch, SciPy, scikit-learn, JAX)
Knowledge of ethical AI principles, red-teaming, and responsible AI practices.
Master's or Ph.D. in Computer Science, Machine Learning, Data Science, or a related field.
Prior experience with prompt engineering and chatbot development is highly desirable.

Compensation at Pearson is influenced by a wide array of factors including but not limited to skill set, level of experience, and specific location. As required by the Colorado, California, Washington State, New York State and New York City laws, the pay range for this position is as follows:

The minimum full-time salary range is between $130,000 - $140,000

This position is eligible to participate in an annual incentive program, and information on benefits offered is here.

\#LI-POST

\#LI-REMOTE

What to expect from Pearson

Did you know Pearson is one of the 10 most innovative education companies of 2022?

At Pearson, we add life to a lifetime of learning so everyone can realize the life they imagine. We do this by creating vibrant and enriching learning experiences designed for real-life impact. We are on a journey to be 100 percent digital to meet the changing needs of the global population by developing a new strategy with ambitious targets. To deliver on our strategic vision, we have five business divisions that are the foundation for the long-term growth of the company: Assessment & Qualifications, Virtual Learning, English Language Learning, Workforce Skills and Higher Education. Alongside these, we have our corporate divisions: Digital & Technology, Finance, Global Corporate Marketing & Communications, Human Resources, Legal, Strategy and Direct to Consumer. Learn more at We are Pearson.

We value the power of an inclusive culture and also a strong sense of belonging. We promote a culture where differences are embraced, opportunities are accessible, consideration and respect are the norm and all individuals are supported in reaching their full potential. Through our talent, we believe that diversity, equity and inclusion make us a more innovative and vibrant place to work. People are at the center, and we are committed to building a workplace where talent can learn, grow and thrive.

Pearson is an Affirmative Action and Equal Opportunity Employer and a member of E-Verify. We want a team that represents a variety of backgrounds, perspectives and skills. The more inclusive we are, the better our work will be. All employment decisions are based on qualifications, merit and business need. All qualified applicants will receive consideration for employment without regard to race, ethnicity, color, religion, sex, sexual orientation, gender identity, gender expression, age, national origin, protected veteran status, disability status or any other group protected by law. We strive for a workforce that reflects the diversity of our communities.

To learn more about Pearson’s commitment to a diverse and inclusive workforce, navigate to: Diversity, Equity & Inclusion at Pearson.

If you are an individual with a disability and are unable or limited in your ability to use or access our career site as a result of your disability, you may request reasonable accommodations by emailing ppsmhr@pearson.com.

Note that the information you provide will stay confidential and will be stored securely. It will not be seen by those involved in making decisions as part of the recruitment process.

Job: RESEARCH AND DEVELOPMENT

Organization: Higher Education

Schedule: FULL\_TIME

Req ID: 13349

\#location",1844,Publishing,$5 to $10 billion (USD),Media & Communication,10000+ Employees,Company - Public,False
"System Analyst Specialist - (AI modeling and data engineering, Java, R, python) - KY","SK Battery America
",Kentucky,-1,3.5,"Come join us and build your future with SK battery America.
Role and Responsibilities:
FDC System Development & Implementation: Lead the development, testing, and deployment of AI and data-driven solutions for the Fault Detection & Classification system, specifically for early detection and analysis of process/equipment anomalies.
SPC System Development & Implementation: Drive the development, testing, and rollout of AI and data-centric solutions for the Statistical Process Control system, aiming to manage variations for statistical quality control.
VISS System Development and Implementation: Spearhead the development, testing, and deployment of AI and data solutions tailored for the Vision Image Storage System. This system aims for long-term storage and structured retrieval of vision images produced during processes.
AXIS System Development and Implementation: Pioneer the development, testing, and deployment of AI and data-centric solutions tailored for the AI X-ray Inspection System, focusing primarily on quality determination using X-ray examinations.
Statistical Analysis & Optimization: Utilize AI algorithms and methods to develop statistical models that analyze, monito, and control production processes to ensure quality.
Predictive Analysis & Optimization: Harness AI tools and methods to develop predictive models that preempt process or equipment faults, ensuring maximum uptime and efficiency.
Data Management & Analysis: Design and manage robust database structures catering to the analysis system, utilizing languages and tools like Python, SQL, and TensorFlow.
User Interface Development:
Devise intuitive AI-driven interfaces for system operators to swiftly identify and react to potential faults, ensuring seamless operational flow.
Forge intuitive, AI-interactive interfaces that empower users to easily store, categorize, and retrieve vision images.
Troubleshooting & Maintenance: Address Analysis System-related software challenges promptly and implement periodic system updates to guarantee optimized performance.
Continuous Learning & Training: remain conversant with contemporary trends in AI, data engineering, and vision image storage technologies. Provide training and steadfast support to in-house teams.
Skill and Qualifications:
Bachelor's degree in IT, Computer Science, or related field
Minimum of 3 - 6 years of hands-on experience in AI modeling and data engineering, preferably within fault detection or similar.
Mastery in programming, particularly in Python, SQL, R, and JAVA.
Extensive knowledge in leveraging data tools such as TensorFlow, PyTorch, Hadoop, and Spark.
Superior teamwork, collaboration, and communication acumen.
Innate problem-solving capability with agility in dynamic scenarios.
An analytical mindset with the ability to decipher complex statistical data. A solution-oriented and innovative mindset, tailored for X-ray image analysis.",-1,Energy & Utilities,Unknown / Non-Applicable,"Energy, Mining & Utilities",Unknown,Company - Private,False
Statistical Analyst,"ICON
","Lexington, KY",$61K - $88K (Glassdoor est.),3.7,"At ICON, it’s our people that set us apart. Our diverse teams enable us to become a better partner to our customers and help us to fulfil our mission to advance and improve patients’ lives.

Our ‘Own It’ culture is driven by four key values that bring us together as individuals and set us apart as an organisation: Accountability & Delivery, Collaboration, Partnership and Integrity. We want to be the Clinical Research Organisation that delivers excellence to our clients and to patients at every touch-point. In short, to be the partner of choice in drug development.

That’s our vision. We’re driven by it. And we need talented people who share it.
If you’re as driven as we are, join us. You’ll be working in a dynamic and supportive environment, with some of the brightest and the friendliest people in the sector, and you’ll be helping shape an industry.

We are the global Real World Evidence Strategy and Analytics team dedicated working on observational and real world evidence based trials for a number of indications.

As the Senior Statistical Analyst you will develop statistical analysis plans and perform statistical analysis on assigned projects in accordance with study specifications, applicable guidelines, regulatory requirements and SOPs.

You will be expected to recognize the importance of and build a culture of process improvement with a focus on streamlining our processes adding value to our business and meeting clients’ needs.

Office or home based

About the role:

Supports study start-up activities (e.g. reviews, comments on and contributes to study design, protocols, case report forms).
Writes statistical methods sections of study protocols including sample size and power calculations with oversight.
Supports development of statistical analysis plans and develops table shells.
Reviews database specifications and leads initial review of raw variables and develops written specifications for derived variables from oral descriptions.
Programs basic statistical procedures and specialized statistical procedures (e.g., repeated measures, survival analysis, etc.) and/or SAS/Graph.
Develops complex macros for use by the group.
Develops deliverables, such as project reports and outputs, graphs, and tables with oversight.
Writes methods and results sections of final reports and publications such as abstracts, presentations, and manuscripts, with oversight.
Communicates with the client or investigator as needed.
May participate in professional activities including presentations at technical conferences (e.g. SAS meetings, ISPOR) with oversight.

What you need to be successful

Master degree or Bachelors’ Degree preferred
2+ years of experience as a Statistician or SAS Programmer
Prior clinical industry experience in either CRO, pharmaceutical, or academic/site setting
Proficient in SAS Data step with simple and complex conditional statements and variable creation, merges and concatenation
Experience using macros and arrays for repetitive tasks
Experience using descriptive statistics procedures for summarizing, restructuring, and outputting data
Experience using SAS Output Delivery System to control output from statistical procedures
Proficient in performing analyses using basic through advanced statistical procedures
Prior real world study experience is preferred, but not required
#LI-MO1

Benefits of Working in ICON:
Our success depends on the quality of our people. That’s why we’ve made it a priority to build a culture that rewards high performance and nurtures talent.

We offer very competitive salary packages. And to keep them competitive, we regularly benchmark them against our competitors. Our annual bonuses reflect delivery of performance goals – both ours and yours.
We also provide a range of health-related benefits to employees and their families and offer competitive retirement plans – and related benefits such as life assurance – so you can save and plan with confidence for the years ahead.
But beyond the competitive salaries and comprehensive benefits, you’ll benefit from an environment where you are encouraged to fulfil your sense of purpose and drive lasting change.

ICON is an equal opportunity and inclusive employer and is committed to providing a workplace free of discrimination and harassment. All qualified applicants will receive equal consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.
If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, or in order to perform the essential functions of a position, please let us know through the form below.",1990,Biotech & Pharmaceuticals,$1 to $5 billion (USD),Pharmaceutical & Biotechnology,10000+ Employees,Company - Public,False
Neuromorphic AI Engineer,"Gen Nine, Inc.
","Covington, KY",$66K - $100K (Glassdoor est.),2.0,"Job Description





The Company

Gen Nine is developing state-of-the-art, wearable hardware and software solutions for the home care setting. We provide the tools that help families care for the ones they love. Working at Gen Nine means applying your passion and intellect to help solve some very challenging technical problems and thereby create some of the most advanced products in the world. If you're interested in working with small teams of highly talented and motivated engineers seeking to make a difference in the world, Gen Nine may be the place for you.


Location

This position is based in the vibrant Cincinnati area. Our offices overlook the spectacular Cincinnati skyline and are within walking distance to downtown shopping, shopping malls, restaurants, entertainment, waterfront parks, major league sporting venues and are less than a 20-minute drive to an international airport.





Position

We're seeking results-orientated, neuromorphic AI engineers interested in exploring new concepts in health and safety monitoring using highly advanced edge computing hardware and software systems as part of a full-time, multi-year research and development project funded by the National Institutes of Health. This is a paid position. We have full-time, permanent positions and full-time, summer, internship positions. Internships may also be used to earn college credits.





Skills and Experience

The ideal candidate will have a background in electrical engineering, computer engineering, software development, computational neuroscience and/or mechatronics. This research engineer will investigate ultra-low power systems, devices, and algorithms for neuromorphic computing engines in applications including sensor arrays, activity tracking and voice processing. They will participate in a small-team environment to design, operate and simulate novel modes of computation using existing hardware platforms of hybrid CMOS/memristor circuits and contribute to expanding this platform for novel applications. Enthusiasm and the ability to participate in a team environment in order to solve interesting and complex problems is a must.





Required

PhD. preferred, but will consider a MS/BS degree in Computer Science, Computational Neuroscience, Physics, Mathematics, Electrical/Computer Engineering, or a related field.
Significant prior experience in AI/ML frameworks, modeling spiking neural networks and/or be currently enrolled in a PhD program with a focus on machine learning or neuro-inspired computational algorithms and applications.
Expertise in Python and/or C/C++ with the ability to design and write quality code.
Experience in machine learning frameworks such as TensorFlow or PyTorch.
Strong grasp of computer science fundamentals and mathematics.
Proficient in Linux OS environment.
Ability to think entrepreneurially and innovate in a real-world, problem-solving environment.
Ability to work both individually and as a small team member, with or without supervision.",-1,Information Technology Support Services,Unknown / Non-Applicable,Information Technology,Unknown,Nonprofit Organization,True
