Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Predictive Analytics Modeler,"LegalMatch
","Reno, NV",$50K - $60K (Employer est.),3.5,"The Predictive Analytics Modeler will focus on developing solutions throughout the organization to help drive strategic decisions for operations. The modeler will work on a wide variety of challenges which include solutions for all aspects of website success. In addition to standard forms of advanced analytics, the modeler will also explore the development of predictive models with machine learning and artificial intelligence.

Essential Duties and Responsibilities:

Develops and maintains predictive analytics/modeling efforts and uses of analytics/modeling programs.
Designs models, coordinates data pulls, prepares/validates data, performs and validates the modeling and analysis, effectively communicates findings and provides actionable recommendations.
Collaborates with IT and business units to oversee implementation of work efforts and provides input to help design, monitor, and improve data structures and data warehouses.
Performs research of various areas of the company, including underwriting, claims and sales through the use of predictive modeling.
Manages projects to produce and update models on time, as required.
Stays current with industry trends through Industry seminars, conferences, committees, and/or self-study.
Other duties as assigned

Job Requirements:

Bachelor’s or higher in Statistics, Mathematics, Actuarial Science, Quantitative Economics, Computer Science/Engineering or other similar analytical field. Or, equivalent years’ experience.
Minimum of 1 years’ experience with predictive analytics or other data analytics. Education and Internships will qualify.
Proficient in SQL
Excellent knowledge of and experience with relational database structure, programming concepts, external data sources, and complex data systems including data lakes.
Advanced SAS, R, Python skills or similar software, experience with Emblem is a plus.
Strong data mining and text mining proficiency with data gap and cleansing experience.

Competencies:

To perform the job successfully, an individual should demonstrate the following competencies:

Strategic Thinking - Develops strategies to achieve organizational goals; understands organization's strengths & weaknesses; analyzes market and competition; Identifies external threats and opportunities; adapts strategy to changing conditions

Analytical - Synthesizes complex or diverse information; collects and researches data; uses intuition and experience to complement data.

Problem Solving - Usually follows established procedures and resolves minor exceptions by using judgment; free to adapt or deviate from established procedures in order to solve problems, suggests improvements to existing procedures.

Business Acumen - Understands business implications of decisions; displays orientation to profitability and profitable growth; demonstrates knowledge of market and competition; aligns work with strategic goals.

Judgment - Displays willingness to make decisions; exhibits sound and accurate judgment; supports and explains reasoning for decisions; includes appropriate people in decision-making process; makes timely decisions.

Professionalism - Approaches others in a tactful manner; reacts well under pressure; treats others with respect and consideration regardless of their status or position; accepts responsibility for own actions; follows through on commitments.

Dependability – Excellent attendance and willingness to commit to long hours of work when necessary to reach goals; Follows instructions, takes responsibility for own actions; keeps commitments; completes tasks on time, keeps team on notice of delays. responds to management direction.

Perks:

Beautiful high-rise view overlooking the mountains, Aces ballpark, and downtown Reno.
Easily accessible for public transportation.
On-site coffee shop and restaurant.
Free on-site Gym.
Open concept office with sit-to-stand desks.
Casual dress code. We encourage creativity and we are tattoo/piercing and non-traditional hair color friendly.

LegalMatch is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.

Job Type: Full-time

Pay: $50,000.00 - $60,000.00 per year

Benefits:

Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Health insurance
Health savings account
Paid time off
Vision insurance

Schedule:

8 hour shift

Ability to commute/relocate:

Reno, NV 89501: Reliably commute or planning to relocate before starting work (Required)

Experience:

Python: 1 year (Preferred)
SQL: 1 year (Preferred)

Work Location: In person",1999,Legal,$25 to $100 million (USD),Legal,51 to 200 Employees,Company - Private,True
Quantitative Researcher,Aresfi,"Incline Village, NV",-1,-1.0,"Qualifications

Education:

Bachelor’s degree (or higher) in Computer Science, Physics, Applied Sciences, Mathematics, and Engineering from a top university with a minimum GPA of 3.5/4.0

Experience with four (4) or more of the following:

C++ and object oriented programming
Network programming
Machine learning
Deep Learning/Reinforcement Learning
Scripting language: Python, R, and/or Matlab, etc.
Parallel and concurrent programming
Ultra-low latency system knowledge
Graphical UI
Exchange connectivity
Working knowledge of LINUX and kernel bypass technology
Automated/algorithmic trading
Great communication/teamwork skills
Time series analysis
Probability/statistics
Regression analysis
Raw analytic ability
Digital signal processing",-1,-1,-1,-1,-1,-1,True
Basketball Statistician,"Life Time
","Henderson, NV",-1,3.6,".

Position Summary

The Sports Statistician assists in the execution of LT Sport leagues by tracking full statistics for league games. LT Sport leagues may include but are not limited to basketball, volleyball and soccer.

Job Duties and Responsibilities

Assures all players are checked in and present on official scoresheets
Tracks all relevant statistics during games
Works closely with League Coordinator to ensure member satisfaction
Assists in game preparations and/or clean up as needed
Actively promotes LT Sport products and Life Time to members and non-members
Articulates extensive knowledge of LT Sport and Life Time programs, products, services, policies and procedures to prospective and current members

Position Requirements

High School Diploma or GED
Experience tracking full statistical data for league games (in the areas of basketball, soccer, volleyball, etc)

Life Time is a place for everyone. As an organization, we are committed to an inclusive, diverse and equitable workplace that respects and celebrates the unique contributions of each individual while ensuring we remain an equal opportunity employer that recruits, hires, trains and promotes based on merit and qualifications.",1992,Beauty & Wellness,$1 to $5 billion (USD),Personal Consumer Services,10000+ Employees,Company - Public,False
Loyalty Economist & Data Scientist,"PLAYSTUDIOS US, LLC
","Las Vegas, NV",$82K - $134K (Glassdoor est.),3.9,"We are looking for a highly skilled and versatile individual to join our team in the unique and exciting role that is part Loyalty Economist and part Data Scientist. In this hybrid role, you will combine your expertise on data analysis, statistical modeling, and economic understanding to drive actionable insights and strategic decisions for our loyalty program. As a key member of the Business Intelligence team, you will contribute to the optimization of our loyalty initiatives, enhance player engagement, and provide valuable recommendations based on data-driven insights.

Responsibilities

Design, develop, and maintain the virtual loyalty economies within our mobile games.
Utilize data-driven approaches to model customer behavior, including loyalty earning and spending patterns.
Analyze and interpret loyalty program performance metrics, identifying trends and opportunities for optimizations.
Develop predictive and prescriptive models using statistical and/or machine learning algorithms to solve loyalty business challenges, such as customer segmentation, demand forecasting, or recommendation systems.
Clean, preprocess, and explore large datasets to uncover patterns, trends, and insights relevant to business objectives.
Design, implement, and analyze A/B tests to assess the effectiveness of loyalty program enhancements and modifications.
Collaborate with cross-functional teams to align on loyalty strategies with overall business goals.
Take pride in the quality of your work output. Your code, analyses, and documentation all reflect that of someone who is extremely detail oriented.
Create presentations for and present to peers, playAWARDS and PLAYSTUDIOS executives, and playAWARDS B2B strategic partners.
Requirements

Bachelor’s degree in business, data science, economics, statistics, analytics, or another related degree
5+ years prior experience in business intelligence/data science and working with BI tools
Advanced SQL and Excel skills
Proficient in programming languages such as Python and R for data analysis, modeling, and visualizations
Proven experience working with large datasets, cleaning, processing data, and performing exploratory data analysis.
Excellent communication skills to convey technical findings and insights to both technical and non-technical stakeholders.
Strong data visualization skills and experience working with data visualization tools (e.g. Tableau, Mode Analytics, Sisense)
Knowledge of data management, and working in both structured and unstructured data.
Strong understanding of virtual economies, economic theories, principles, and their application to consumer behavior and/or loyalty programs.
Prior experience in either social gaming, casino/hospitality, or related experience is a plus.
Benefits

100% Health Benefit Premium coverage for you and your dependents
401K match and Restricted Stock Units
Performance-based bonuses
Flexible vacation policy
Employee-driven entertainment, happy hours, and team-building events.
Snacks and drinks are available in the kitchen
Casual work environment
A great place to work. Come find out for yourself!
About PLAYSTUDIOS

PLAYSTUDIOS is the developer and operator of award-winning free-to-play casual games for mobile and social platforms. The company’s collection of original and published titles is powered by its groundbreaking playAWARDS loyalty marketing platform, which enables players to earn real-world rewards from a portfolio of global entertainment, retail, technology, travel, leisure, and gaming brands across 17 countries and four continents. Founded by a team of veteran gaming, hospitality, and technology entrepreneurs, PLAYSTUDIOS brings together beautifully designed mobile gaming content with an innovative loyalty platform in order to provide its players with an unequaled entertainment experience and its partners with actionable business insights. To learn more about PLAYSTUDIOS, visit playstudios.com

PLAYSTUDIOS is an equal opportunity employer. Applicants will be considered regardless of their sex (includes pregnancy, childbirth, breastfeeding, and related medical conditions), race, age, religion, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sexual orientation, gender, gender identity, gender expression, military or veteran status, or other protected category under the law.",2011,Video Game Publishing,$100 to $500 million (USD),Media & Communication,201 to 500 Employees,Company - Private,True
Principal Statistical Programmer - CRO - Remote,"Compass Life Sciences
",United States,$145K (Employer est.),4.8,"Compass Life Sciences are working with a growth stage CRO that is rapidly building teams across the globe to support FSP and non-FSP projects that have been awarded by some of the largest Pharma and Biotech in the world. Due to their growing reputation for quality delivery, they are securing work ahead of the more established CROs and as such have an exciting future ahead.

I am looking for experienced Statistical Programmers that have a passion for quality and are able to understand the larger picture of what the data they work on means. This home based position can be based anywhere in the US or Canada.

This is a broad role that will provide the opportunity to use your SAS programming skills in the production of data analyses from all phases of clinical drug development, depending on the project / FSP relationship you work on.

This is offered on a fully remote basis.

Responsibilities

Depending on level of Seniority within the group you will be expected to provide leadership and guidance as the lead statistical programmer on one or more projects. You will be required to plan and manage programming activities across multiple studies or projects to deliver datasets and statistical outputs to agreed timelines and quality.

Key responsibilities will include:
Plan and manage programming activities to deliver all required outputs to agreed timelines and quality, (e.g., analysis datasets, pooled datasets, tables, figures and listings for regulatory or reimbursement submissions and publications).
Management and oversight of statistical programming tasks outsourced to the company by the sponsor, ensuring that performance meets the agreed timelines, quality and budget requirements established for the project or study.
Participate in the design and/or review of statistical programming deliverables including developing programming specifications for datasets and data outputs.
Participate in the review of other biometrics deliverables (e.g. case report forms, study database structure, data management and data quality plans, statistical analysis plans).
Act as key statistical programming contact for internal project team and external project partners.
Mentoring and development of less senior programming staff.
Other activities as may be assigned.

Job Requirements

Demonstrable leadership, project management, and interpersonal skills
Experience working as a SAS programmer, preferably in a drug development environment
Experience in managing and working with CROs and consultants in outsourcing statistical programming work
Good knowledge of and experience in applying CDISC standards
Self-starter with the ability to work on a cross-functional team

Education & Skills

BSc or higher in mathematics, statistics, computer science or related discipline
Experience working as a SAS programmer, preferably in a drug development environment
Proficiency with SAS programming and SAS macro code development required along with a good understanding of SAS GRAPH and SAS ODS.
Demonstrated knowledge of and experience in the application of CDISC standards (SDTM and ADaM)
Knowledge of non-SAS programming packages an advantage (e.g. Spotfire, S-Plus, R)
Excellent written and verbal communication skills
Proven leadership skills

If you would like to be considered for this position, contact David Jolley on his cell (919) 429 7658, or you can reach the US office on (984) 444 9984 for a conversation in confidence. Alternatively email an updated CV .

Recommendations

Compass Life Sciences Inc. are working as a Staffing Agency in connection for this permanent vacancy; we offer up to $500 of Amazon.com vouchers for each successful recommendation.",2009,Staffing & Subcontracting,$5 to $25 million (USD),Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Data Center Engineer,"NVIDIA
",Nevada,$140K - $288K (Employer est.),4.6,"Are you a person who likes to work in a fast-paced organization? For two decades, NVIDIA has pioneered visual computing, the art and science of computer graphics. With our invention of the GPU - the engine of modern visual computing - the field has expanded to encompass personal computer games, movie production, product design, medical diagnosis, and scientific research. Today, visual computing is becoming increasingly central to how people harmonize with technology, and there has never been a more exciting time to join our excellent team. NVIDIA is now passionate about innovation at the intersection of visual processing, high performance computing, and artificial intelligence.
Our data centers, and the thousands of servers installed in them, are the foundation upon which our creative products and services are delivered. Our customer base consists of hundreds of deeply intelligent engineers who continually provide us with complex problems to be solved. We are looking for a highly motivated senior Data Center technician to join our team. Having depth and breadth knowledge of working in data center facilities in a large-scale distributed environment is a strength you'll need. You should have deep knowledge and experience in at least one of the following core areas: Project Management, Hardware Operations, Network Operations or Data Center Operations.
What you'll be doing:
Act as technical liaison for our partner organizations
Lead installation, monitoring, maintenance, support, and optimization of all production server hardware
Contribute to the development of the global DC knowledge base
Build plans to optimize power, cooling, and network resources
Analyzing forecast to efficiently match supply to demand. Predict data center growth and scaling issues before they occur and implement solutions
You will hunt for and resolve issues, analyze data looking for trends and systemic issues. Implement process improvements and develop a cutting-edge operational environment through automation
What we need to see:
You will have 6+ years proven ability in large-scale data center hardware deployments and server relocation projects
BS, BA, or BEng degree in a technical field, or equivalent experience
Sophisticated knowledge in diagnosing servers, hardware repair, and component replacement
Experience with Data Center Build or Operations. You will be able to demonstrate a successful track record
Ability to understand internal customer problem and provide technical solution in timely manner
Good interpersonal skills and ability to communicate efficiently with a diverse group of customers and staff
Experience providing client-facing direct customer support and service
Ability to work in a constantly evolving, hands-on, startup environment
Ways to stand out of the crowd:
Deep understanding of data center power and cooling infrastructure, of network and cabling infrastructure
Experience in Inventory Management and Excel tools
You're a self-starter with a demeanor for growth, continuous learning, and constantly looking to improve the team
Attention to detail with superb communication skills and the ability to optimally lead multiple priorities
Constantly look to improve the team and build strong business relationships
NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most forward-thinking and hardworking people in the world working for us. If you're creative and autonomous, we want to hear from you!
The base salary range is 140,000 USD - 287,500 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
You will also be eligible for equity and
benefits
. NVIDIA accepts applications on an ongoing basis.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",1993,Computer Hardware Development,$5 to $10 billion (USD),Information Technology,10000+ Employees,Company - Public,False
Mathematician,"Light & Wonder
","Las Vegas, NV",$56K - $95K (Glassdoor est.),3.8,"Gaming:
Welcome to the world of land-based gaming. Light & Wonder’s gaming team builds cutting-edge technology, products, and content for the most iconic casinos and operators across the globe.
Position Summary
Are you ready to level up your career? At Light & Wonder, we are committed to making the best games in the world. We are looking for smart, passionate, and creative people to join our team and help us transform the gaming world. We are a global, industry-leading gaming technology company that embraces challenge, fosters an inclusive culture, values integrity, innovation and winning, and is committed to developing and supporting its people. As a member of our award winning game studios, you will be creating compelling games played around the world. If you are ready to play…come join us and let’s make games!
Bring our games to life by creating the math models that drive slot game play. Work with a group of exceptionally talented mathematicians and game designers to provide the best gaming experience for the slot player. The ability to work quickly and efficiently as part of a team, take direction, and maintain a positive attitude under pressure is crucial.
Primary Responsibilities:
Develop and proof math models for slot games that demonstrate game probabilities and return to player via theoretical calculation and/or simulation
Code, test, and debug simulations of slot games to gather statistics and verify accuracy of math models
Collaborate with software engineers and math test engineers to ensure math models are properly implemented and compliant with applicable regulations
Secondary Responsibilities:
Mentor junior mathematicians on all aspects of the mathematician role
Collaborate with other mathematicians and game designers to brainstorm new game mechanics and to determine mathematical feasibility of concept math models
Develop an understanding of competitive products and technologies
Qualifications
Experience:
1+ years of professional experience in applied mathematics, probability, and/or combinatorics
Gaming industry experience is preferred, but not required
Knowledge, Skills, and Abilities:
Enjoy working in a creative environment
Have strong multi-tasking skills
Have excellent written and verbal communication skills
Ability to work will with others in a team environment
Ability to bring projects to completion with minimal supervision
Ability to adapt to a customer-oriented, fast-paced, deadline-driven environment
Proficient in Microsoft Excel
Proficient in C++, C#, or a similar object oriented programming language
Familiarity with working in a Windows programming environment, including Visual Studio
Education:
Bachelor’s degree in Mathematics, Statistics, Computer Science, or a related field or equivalent work experience required

Work Conditions:
Light & Wonder, Inc. and its affiliates (collectively, “L&W”) are engaged in the highly regulated gaming business. As a result, L&W employees may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, and/or meet certain standards dictated by law, regulation or contracts. To ensure L&W complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, L&W requires all of its employees to meet those requirements necessary to fulfill their individual roles. As a prerequisite to employment with L&W (to the extent permitted by law), you shall be asked to consent to L&W conducting due diligence and a background investigation on you.

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above.
#LI-JS1",-1,Gambling,Unknown / Non-Applicable,"Arts, Entertainment & Recreation",5001 to 10000 Employees,Company - Public,False
Senior NDPP Data Scientist,"NV Energy
","Reno, NV",$113K (Employer est.),4.0,"Responsibilities



Basic Purpose

Provides technical leadership on the most complex and business critical engineering projects related to wildfire mitigation, and asset performance in support of NV Energy’s Natural Disaster Protection Plan (“NDPP”). Leverages large quantities of data, such as weather, environmental, outage, vegetation, and grid attributes, to inform long term risk analysis and aid in decision making. Works alongside senior and executive leadership to develop tools and analysis and inform the future of data driven decisions. Develops presentations for executive leadership and recommends and implements changes to meet company goals. Supports long term grid planning and load forecasting. Facilitates internal training for engineers and technicians in subject area; acts as company subject matter expert.

Essential Duties and Responsibilities

Conducts highly complex research studies and technical analyses in areas of specialized data science to support company risk reduction objectives and specific directives associated to NV Energy’s NDPP, coordinated to Transmission and Distribution Operations.
Works cross-functionally to develop and implement company standards and processes relating to data science and data governance within NDPP, coordinated to Transmission & Distribution Operations.
Works with engineering, operations, dispatch and regulatory teams to analyze complex problems, identify issues, innovate and deliver solutions consistent with schedules established.
Leads data science projects, processes, or systems over the life cycle of the project, including project identification, scope development, implementation, and long-term operations and maintenance.
Provides technical expertise across business in the area of data science to support functions such as wildfire mitigation risk, coordinating NDPP objectives with the T&D Operations organization.
Coordinates or otherwise supports fire data analysis and fire investigations.
Serves as the Company expert in the discipline and provide authoritative consultation and recommendations to senior management.
Develops detailed computational analysis, including data science, computer modeling, and scripting and tool development, and integrates methods and products within and across company software products.
Participates as a company lead in government, industry, collegiate and other applicable associations, or work groups to influence or set policy impacting the future of our utility.
Determines methods and techniques for obtaining results with strong customer service focus.
Provides leadership to develop data literacy and scripting knowledge across the team.
Ensures all compliance aspects of position are known and followed; understands and complies with all policies, codes, and regulations applicable to position and company.
Performs related duties as assigned.

Requirements



Essential Education, Skills, and Environment

Education and Work Experience

Bachelor’s degree from an accredited college/university in engineering, analytics, data science, math, or physics and 7 years of experience in a power/utility/energy industry or related profession, including experience performing highly technical work of a specialized nature.

Specialized Knowledge and Skills

Demonstrated knowledge of:

Technical writing skills.
Industry best practices for data science and data governance.
Python (or related language) and associated libraries for machine learning.
Construct and optimize SQL queries

Demonstrated skills such as:

Ability to communicate complex data in a simple, actionable way through visualizations.
Leadership and/or project management skills.
Ability to review scientific literature and incorporate knowledge into ongoing projects.

Equipment and Applications

PCs, word processing, spreadsheet, and database software.

Work Environment and Physical Demands
General office environment. No special physical demands required.



Compensation



Annual Salary: $113,100.00 (Min) to $133,000.00 (Mid); Up to 15% Short Term Incentive Plan target opportunity at the discretion of the company. This is a non-represented position.

Benefits



We offer the following benefits for non-represented employees. For represented employees, we offer many similar benefits plans and programs with specific terms negotiated in the collective bargaining agreement.

Medical
Pharmacy
Dental
Vision
Life Insurance & AD&D
Wellness
Flexible Spending Accounts
401(k) fixed contribution – company contributes 4% regardless of employee’s contribution
401(k) match – company matches 100% of the employee’s first 6% contribution; immediate vesting
Adoption assistance
Tuition Assistance
Paid Time Off (PTO)
12 paid holidays
Parental leave
Military leave
Bereavement leave
Short-term and long-term disability
Identity Theft Protection – company paid
Flexible Work Schedules (depending on position) – ask the hiring manager for more information
Visit our Corporate website for detailed information and other benefits offered
EOE/Veteran/Disability



At NV Energy, we celebrate diversity, equity and inclusion. NV Energy is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion or religious creed, age, national origin, ancestry, citizenship status (except as required by law), gender (including gender identity and expression), sex (including pregnancy), sexual orientation, genetic information, physical or mental disability, veteran or military status, familial or parental status, marital status or any other category protected by applicable local, state or U.S. federal law.

If you have a disability under the Americans with Disabilities Act or similar law, and you wish to discuss potential accommodations related to applying for employment at our company, please contact Human Resources via email at HumanResources@nvenergy.com or call our HR Help Desk at (702) 402-5500 and select '0' or Fax your request at (702) 402-0031. TTY Sensory Impaired - 711

Note



Depending on qualifications of applicants, this position may be filled at a lower level than that which is posted such as NDPP Data Scientist.

.",-1,Energy & Utilities,$100 to $500 million (USD),"Energy, Mining & Utilities",1001 to 5000 Employees,Company - Public,False
Senior Data Analyst,"Bluberi Gaming USA Inc
","Las Vegas, NV",$78K - $110K (Glassdoor est.),3.9,"BLUBERI VALUES:

We Are the New School
Clarity and Transparency
Find It, Fix It, Own It
Standard Operating Success
Easiest Company to do Business With
It?s A Team Sport
Celebrate Wins, But Never Be Satisfied



About the Company

Headquartered in Las Vegas and backed by more than 25 years of industry experience, Bluberi is an inventive company that is dedicated to developing and delivering the highest quality casino gaming experience to players and operators. Our team is comprised of seasoned, multi-talented innovators who are focused on bringing gaming to life with entertaining games and high-performing cabinets. We are backed by the largest private equity fund in Canada with over $5 billion in assets under management and recently began expanding more aggressively into Class 2 and Class 3 markets with a potent growth plan. We are the risk-taking spirit of gambling and we add imagination and innovation to everything we create.




About the Team

The Data Team at Bluberi serves as a critical backbone to our innovative efforts in the gaming industry. We are an integral part of the Research & Development process, providing valuable insights that drive better product development. Beyond R&D, we collaborate closely with the Sales team to ensure the effective commercialization of those products.




Job Summary

At Bluberi, we're not just a leading slot gaming company; we're innovators aiming to redefine how data is leveraged in the gaming sector. This is where you come in. We're seeking a visionary Senior Data Analyst to be a transformative force within our organization.

In this pivotal role, you'll analyze and interpret complex data sets to provide actionable insights that will inform key internal stakeholders. Your expertise will have a direct impact on our Research & Development and Sales teams, aiding them in making data-driven decisions that enhance our product offerings and customer experiences. Not only will you share these invaluable insights with our internal teams, but you'll also communicate them to our customers to optimize product performance.

As the driving force behind our industry-leading performance optimization platform, you'll ensure the best possible performance of Bluberi products across all customer locations. Hands-on experience with Tableau is essential, as it's our primary tool for business intelligence and data visualization.

This role offers an unparalleled opportunity to be at the forefront of optimizing performance and generating revenue for both our customers and our business. You'll proactively manage product performance, creating a more efficient, profitable, and customer-centric operation.

If you're excited about the potential of data to transform the gaming industry and are eager to make a significant impact, this position offers an exceptional opportunity to do just that.




Essential Functions

Take the lead in driving the Bluberi Performance Optimization Program, aimed at proactive performance management of customer accounts.
Identify trends, patterns, and insights that can improve game design and user experience.
Develop and maintain dashboards, visualizations, and other reporting tools to monitor game performance.
Gather and analyze performance data from Class 2 and Class 3 properties to drive informed decisions.
Conduct property-specific analyses and develop performance optimization plans tailored to individual properties.
Responsible for expanding various data points, such as game attributes and property attributes, to enhance our analytical capabilities.
Work on customer segmentation projects to tailor our products and services more effectively to different user groups.
Collaborate with the marketing team using internal data to drive campaign initiatives and optimize marketing strategies.
Present findings to stakeholders, including executives and department heads, in a clear and actionable manner.
Work closely with the game design, development, and marketing teams to provide data-backed recommendations for game improvements and new features.",-1,Electronics Manufacturing,$5 to $25 million (USD),Manufacturing,51 to 200 Employees,Company - Private,True
Data Analyst / ORSA (Operational Research and Systems Analysis),"JMark Services Inc.
","Las Vegas, NV",$50K - $75K (Glassdoor est.),4.5,"JMark Services Inc. seeks to hire uniquely and highly qualified personnel to meet the growing needs of our customers worldwide. As a successful small business, we recognize that our employees are our most valuable resource. We proudly offer a comprehensive benefits package along with support and commitment to the success and welfare of each employee who becomes part of the JMark family.
Job Title: Data Analyst / ORSA (Operational Research and Systems Analysis)
Location: Nevada
Clearance: Active Secret Required
Employment Type: Full Time, non-remote
Position Summary:
We are seeking a dedicated Data Analyst / ORSA to fill a pivotal role focused on harnessing advanced analytics and data science principles for the development of artificial intelligence and machine learning (AI/ML) algorithms. You will collaborate closely with team members to gather and scrutinize extensive and varied datasets. Your main responsibilities will encompass interpreting data, uncovering patterns and trends within the analyzed data, and employing diverse visualization techniques such as graphs and infographics. This role will also involve the structuring of large datasets to extract valuable insights and working collaboratively to process information and construct analytic algorithms. Proficiency in reporting methods, databases (both SQL and no-SQL), programming experience, and fundamental programming concepts are essential prerequisites for this position.
Requirements:
Active SECRET Security Clearance.
Technical expertise in data modeling, database design and development, data mining, and segmentation techniques.
Profound knowledge of statistics and hands-on experience with statistical packages for dataset analysis (e.g., Excel, SPSS, SAS, etc.).
Exceptional analytical skills with the ability to efficiently collect, organize, analyze, and disseminate substantial volumes of data, paying meticulous attention to detail and accuracy.
Proficiency in querying, report generation, and delivering findings.
Strong team collaboration abilities and reporting.
Willingness to travel to worldwide locations.
Desired Skills:
Familiarity with and experience in using reporting packages (e.g., Business Objects), databases (e.g., SQL), and programming languages (e.g., XML, Javascript, or ETL frameworks).
Expertise in artificial intelligence and machine learning (AI/ML) techniques for the development of automated solutions.
If you are a talented and detail-oriented professional with a strong analytical background, and you possess the required clearances and skills, we invite you to apply for this position. Join our team and be part of pioneering efforts in the field of data analytics and AI/ML.
This full-time position is Monday through Friday and operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines. Limited travel may be required.
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this position.
While performing the duties of this position, the employee is regularly required to talk or hear.
The employee frequently is required to stand; walk; use hands to finger, handle or feel; and reach with hands and arms.
This position requires the ability to occasionally lift office products and supplies, up to 20 pounds.
JMark is dedicated to the principle of equal employment opportunity and prohibits unlawful discrimination against applicants or employees on the basis of age, race, sex, sexual orientation, color, religion, national origin, disability, military status, genetic information, or any other status protected by applicable state or local law.",2010,Education & Training Services,Unknown / Non-Applicable,Education,51 to 200 Employees,Company - Private,True
