Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Data Scientist,"ROSEN Group
","Columbus, OH",$96K - $147K (Glassdoor est.),3.9,"New Challenge: New Team, New Office! Protect Our Environment By Your Algorithms

Did you ever think or did you hear about pipelines and integrity? Or, why should pipelines need machine learning?

The answer is simple: Pipeline inspection generates a lot of sensor data (e.g. from ultrasonic sensors) which have to be analyzed using state of the art computer vision techniques. Think of it like doing healthcare just for pipelines.

Interested? Then learn more about industrial machine learning applications and data analysis for pipeline data in a start-up environment. Be part of a new team, shape the team and your future and enjoy working in a multi-cultural and multi-national team.


Responsibilities:



Designing and applying (machine learning) algorithms for extraction of information from image data
Deriving technical parameters and specifications from measured data
Performance estimation and definition of algorithm test procedures
Deployment of algorithms as minimum viable products focusing on early customer feedback
Creation and maintenance of related technical documentation
Researching, rating and implementing development tools
Using open source software libraries from the field of signal processing, computer vision and data science
Deliver production code stemming from scientific ideas with support from our software engineers
Closely collaborate with teams around the world to improve our products
Professional guidance of Junior level Data Scientists
Visit of national and international conferences on a regular basis
REQUIREMENTS

To become part of the ROSEN family, you convince through a result-oriented, structured and independently working method. Moreover, you should bring with you:

Deep understanding of Computer Vision and Machine Learning methods applied in an industrial context
Hands-on experience with gathering of image data and image data cleaning
Solid knowledge of applied mathematics (linear algebra, optimization, probability theory)
Basic knowledge of physics
Experience with at least one object oriented programming language (e.g. Python, C++)
Basic understanding of professional software development
Qualification or Skills:

Education and Experience

University degree in physics, electrical engineering, computer science or similar fields
5+ years relevant work experience in industry in the field of Computer Vision
OUR OFFER

ROSEN USA offers an exceptional working environment, salary commensurate with experience and incredible benefits package.",1982,General Repair & Maintenance,Unknown / Non-Applicable,"Construction, Repair & Maintenance Services",1001 to 5000 Employees,Company - Private,False
Senior Data Analyst,"Ease Logistics
","Dublin, OH",$80K - $85K (Employer est.),3.1,"Senior Data Analyst

Senior Data Analyst responsibilities include ensuring business stakeholders have access to timely, accurate and actionable data to support their business functions. This role is expected to work with all departments throughout EASE to understand processes and identify streamline opportunities in order to provide recommendations on process improvements with a keen customer impact focus. Senior Data Analyst is consulted as a strategic business partner as the expert in the data and technical capabilities of the respective systems. Senior Data Analyst is expected to work with a high degree of autonomy and thought leadership.

SENIOR DATA ANALYST DUTIES AND RESPONSIBILITIES

Work with a high degree of curiosity to develop robust and actionable dashboards through data driven insights with a sharpened focus on data story telling.
Continue to drive efficiencies within existing business practices by leveraging technical knowledge of the various tools and processes.
Develops customer focused dynamic, scalable, and effective dashboards including related KPIs/ metrics for visual analysis.
Maintains data engineering specifications to ensure they are logical and accurate and meet internal objectives in online data visualization environments and platforms like Excel and PowerBI.
Leads and participates in special projects and initiatives as needed.
Innovates and implements large-scale quality improvements to processes and/or systems by conducting data analyses and making recommendations, troubleshooting technical issues, and refining process around internal customer support.
Analyzes existing dashboards and reports using performance tuning.
Works with colleagues to identify opportunities for process improvements and assist in the implementation.
Provides input based on business / data expertise for complex Data Science and Big Data Mining projects.
Collaborates with team members and communicates relevant information to leadership.
Upholds the security and confidentiality of documents and data within the area of responsibility.
Other duties as assigned.

QUALIFICATIONS

Proven ability to learn in a fast paced environment with a high degree of autonomy
Proven self motivated individual with a high degree of curiosity.
Strong analytical skills with the ability to collect, organize, and analyze significant amounts of data with precision and accuracy.
Knowledge of SQL Server Management Studio (SSMS) required.
Knowledge of Microsoft Power BI required.
Preferred knowledge of Python or R.
Preferred knowledge of the Logistics Industry

Full Time In-Office Employee

Location: Dublin, OH

Job Type: Full-time

Pay: $80,000.00 - $85,000.00 per year

Benefits:

401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Tuition reimbursement
Vision insurance

Schedule:

Monday to Friday

Work Location: In person",2014,Taxi & Car Services,$5 to $25 million (USD),Transportation & Logistics,1 to 50 Employees,Company - Private,True
Data Architect,"Modern Technology Solutions, Inc.
","Beavercreek, OH",$82K - $125K (Glassdoor est.),4.8,"Own Your Future.

Modern Technology Solutions, Inc. (MTSI), is seeking an experienced Data Architect to support an AFRL customer in Dayton, OH.

Why is MTSI known as a Great Place to Work?
Interesting Work: Our co-workers support some of the most important and critical programs to our national defense and security.
Values: Our first core value is that employees come first. We challenge our co-workers to provide the highest level of support and service, and reward them with some of the best benefits in the industry.
100% Employee Ownership: we have a stake in each other's success, and the success of our customers. It's also nice to know what's going on across the company; we have company wide town-hall meetings three times a year.
Great Benefits - Most Full-Time Staff Are Eligible for:
Starting PTO accrual of 20 days PTO/year + 10 holidays/year
Flexible schedules
6% 401k match with immediate vesting
Semi-annual bonus eligibility (July and December)
Company funded Employee Stock Ownership Plan (ESOP) - a separate qualified retirement account
Up to $10,000 in annual tuition reimbursement
Other company funded benefits, like life and disability insurance
Optional zero deductible Blue Cross/Blue Shield health insurance plan
Track Record of Success: We have grown every year since our founding in 1993
Modern Technology Solutions, Inc. (MTSI) is a 100% employee-owned engineering services and solutions company that provides high-demand technical expertise in Digital Transformation, Modeling and Simulation, Rapid Capability Development, Test and Evaluation, Artificial Intelligence, Autonomy, Cybersecurity and Mission Assurance.


MTSI delivers capabilities to solve problems of global importance. Founded in 1993, MTSI today has employees at over 20 offices and field sites worldwide.

For more information about MTSI, please visit www.mtsi-va.com.

Responsibilities:

MTSI is seeking an experienced Data Architect to work in a growing data environment in support of digital transformations efforts for our AFRL customer in Dayton OH. You will have the opportunity to influence, design and implement a data architecture to collect, tag, curate and manage data from a variety of sources in support of research efforts. Additionally, you will assist in the identification and assessment of systems and software necessary to support the governance and management of data in on-premise and cloud environments. As the Data Architect you will work with data owners and stewards to understand the data architecture needed to support evolving digital engineering and transformation requirements. This position is well suited to those who enjoy problem solving in evolving environments.
Requirements analysis for data solutions and architecture
Data architecture for data transport, ETL, wrangling and storage
Data pipelines and automation in support of data management activities
Assist team in the identification of data architecture and architectural components
Support data integration and interoperability efforts between teams
Work with stakeholders, users and data stewards to understand document and understand data requirements.
Understanding of data governance and management principles and functions
Ability to communicate complex solutions to technical and non-technical employees
Self-starter with a strong sense of personal responsibility.

Qualifications:

Qualifications:

Minimum 5 years of experience required
Bachelor of Science degree in Computer Science, Information Systems Engineering, or related fields.
Must have at least an active Secret clearance and be eligible for a Top-Secret clearance.
Experience working with multiple stakeholders and data stewards to understand the enterprise’s data landscape and future needs.
Experience working with teams for metadata identification
Experience with common data wrangling and manipulation languages such as Python and SQL
Experience with data lakes/stores and data pipelines
Experience with data pipeline and transformation architectures

Education Requirements:

Bachelor's degree in related field

Clearance Requirements:

Must have at least an active Secret clearance and be eligible for a Top-Secret clearance
#LI-CW1
#MTSI",1993,Aerospace & Defense,$100 to $500 million (USD),Aerospace & Defense,1001 to 5000 Employees,Company - Private,False
Senior Data Analyst,"Proteam Solutions Inc.
","Columbus, OH",$45.00 - $50.00 Per Hour (Employer est.),3.0,"Hybrid - Columbus Ohio

This position can be remote or hybrid in Columbus, OH

Position Overview:

We are seeking a highly skilled Senior Data Analyst/Data Lead with a strong background in Azure data lake experience. The ideal candidate should possess superior problem-solving skills, a tech-driven mindset, excellent communication abilities, and a continuous improvement mindset. The candidate should be well-versed in Azure technologies, particularly in ETL processes, Azure data lake, data factory, data engineering practices, and data ingestion. Financial acumen, experience with SOWs (Scope of Work), and familiarity with SAP are highly desirable.

Responsibilities:

Problem Solving and Communication:

Demonstrate superior problem-solving skills, particularly in the context of Azure data lake challenges.
Effectively communicate problem statements and solutions to both technical and non-technical stakeholders.

Continuous Improvement:

Exhibit a forever-learning mindset, staying abreast of industry trends and advancements in data analytics and technology.

Technical Skills:

Showcase proficiency in Azure technologies, with a strong emphasis on Azure data lake, data factory, and data engineering practices.
Utilize ETL processes for efficient data extraction, transformation, and loading.
Leverage expertise in web data analytics on a day-to-day basis.

Financial Acumen:

Apply financial acumen to provide accurate estimations for data-related projects.

Scope of Work (SOW):

Possess a comprehensive understanding of the scope of work and tasks to be performed, although not responsible for the actual writing of SOWs.

Certifications:

Hold relevant certifications showcasing proficiency in Azure data lake, data engineering, and related technologies.

Qualifications:

Experience:
3-5 years of relevant experience in data analytics, with a focus on Azure technologies.
Skills:
Proficiency in Azure data lake, data factory, ETL processes, and data engineering practices.
Strong communication skills for presenting complex technical information.
Tech-driven mindset and continuous improvement orientation.
Financial acumen for accurate project estimations.
Familiarity with SAP is a plus.
Certifications:
Hold certifications demonstrating expertise in relevant skill sets.

Job Type: Full-time

Pay: $45.00 - $50.00 per hour

Experience level:

7 years

Ability to commute/relocate:

Columbus, OH: Reliably commute or planning to relocate before starting work (Preferred)

Experience:

Azure Data Lake: 3 years (Required)
ETL: 3 years (Required)

Work Location: In person",-1,HR Consulting,Unknown / Non-Applicable,Human Resources & Staffing,201 to 500 Employees,Company - Private,True
"Senior Scientist (Process Engineer – Data Scientist), Research & Development-Consumer Foods","The J. M. Smucker Company
","Orrville, OH",$67K - $95K (Glassdoor est.),3.6,"Your Opportunity as a Senior Scientist (Process Engineer – Data Scientist), Research & Development-Consumer Foods
In this role you will be responsible for leveraging the use of data science tools and techniques to develop and make inferences on data from process systems. You will need to develop expertise in manufacturing processes such as baking, dough sheeting, mixing, slicing, depositing, and other process systems associated with the business to enable the use of quantitative / statistical / machine learning techniques. These tools will be used to meet business goals related to fundamental process understanding, process capability and manufacturing efficiency. This role will actively work with senior team members to develop the appropriate goals that drive business results. In addition, you will bring methods of analyzing and displaying large sets of data to both the technical community and our business leaders. This role will lead the development of the connection between the process engineering discipline and the data science discipline for our business area.
To be successful in this role you will need a strong foundation in process engineering that demonstrates your experience in applying engineering principles to solve complex technical problems as well as a background in data science.
Location: Orrville, OH Corporate Offices (Estimated 50% Hybrid Environment to accomplish goals of the team and anticipated up to 30% Travel)
In this role you will:
Lead in the use of data science tools and techniques to develop and make inferences on data from process systems. This includes identifying the key process inputs and correlating them to key outputs which result in the development of our fundamental process control understanding for both existing process and new processes.
Develop and contribute to predictive modeling techniques as applied to manufacturing processes.
Build the organization’s technical depth in statistical data analysis and methods.
Develop expertise in Consumer manufacturing processes focused on the technologies used in our
Uncrustables
facilities which enable a deeper understanding of the data being analyzed.
Provide technical leadership for process development through the lens of Data Science for new products, including design of pilot plant (PRL) experiments, creation of test plans for plant trials and scale-up from the pilot scale to manufacturing and our Commissioning, Qualification and Verification process for product/process launches.
Design data-driven solutions to enhance analytical capabilities helping to correlate analytical measures to key product and process parameters.
Determine and recommend the highest value areas to study which bring the greatest impact to our business. Impact to our business is measured both from the consumer need perspective and the manufacturing efficiency perspective.
Identifies opportunities and advocates for implementation of best practices in the discipline of data science, focusing on its application to process systems. .
Partner with the Smucker Information Services Data Science (IS) team on several aspects of this discipline including the creation and maintenance of Data Science learning paths allowing the organization to keep up with current trends in the discipline and in shaping the company's machine learning strategy
Guides other team members and developers, working with our IS data science team to set up sustainable data pipelines for modelling initiatives. Understands best practices in the Data Engineering space and sees impact on Data Science.
Can explain advanced concepts specific to model training and is capable of leading others through the process. Helps the team and stakeholders understand scope and limitations of models.
Coach and mentor early-career food technologists and process engineers as part of our Basic Belief and Commitment to Each Other philosophy.
Support the department through leadership of QA and/or HS&E Key Elements.
Embrace and actively participate in company’s inclusion, Diversity and Equity (ID&E) corporate initiative.
The Right Place for You
We are bold, kind, strive to do the right thing, we play to win, and we believe in a strong community that thrives together. Our culture is rooted in our
Basic Beliefs
, and we believe in supporting every employee by meeting their physical, emotional, and financial needs.
What we are looking for:
Minimum Requirements:
Bachelor’s Degree or higher in Engineering (Chemical preferred)
Practical experience applying data science techniques in a manufacturing environment
Minimum of ten (10) years of relevant experience in Data Science, Engineering and/or Research & Development
With at least 2+ years of hands-on experience developing and applying Statistical/ML predictive methods or comparable experience
Ability to communicate difficult technical concepts, and the ability to collaborate across functional teams to achieve shared goals and objectives.
Strong critical thinking and complex problem solving
Ability to apply statistical thinking and decision making
Ability to work independently in complex situations
Additional skills and experience that we think would make someone successful in this role:
Master’s degree or higher in Engineering (Chemical preferred) and a BS degree in Data Science or closely related field
Experience with data science application to new or existing manufacturing processes in a beverage or food related field
Well-versed in R and/or Python, with a deep understanding of relational data structures and SQL
Demonstrated project management skills through process/equipment qualification
Strong background in applying engineering principles & critical thinking to solve complex technical problems.
Deep understanding of what data science algorithms and approaches to apply to different situations.
Learn more about working at Smucker:
Our Total Rewards Benefits Program
Our Thriving Together Philosophy Supporting All Impacted by Our Business
Our Continued Progress on Inclusion, Diversity and Equity
Follow us on
LinkedIn®
#LI-MR1
#INDSA",1897,Food & Beverage Manufacturing,$5 to $10 billion (USD),Manufacturing,5001 to 10000 Employees,Company - Public,False
Aircraft Systems Configuration Data Manager,"Modern Technology Solutions, Inc.
","Beavercreek, OH",$58K - $85K (Glassdoor est.),4.8,"Own Your Future.


MTSI is seeking an Aircraft Systems Configuration Data Manager with a TS/SCI clearance at Wright-Patterson AFB, OH, to be responsible for planning, execution, and participate in program design reviews, technical meetings, and working groups as applicable to provide configuration management perspectives and resolve any configuration management issues.


Why is MTSI known as a Great Place to Work?
Interesting Work: Our co-workers support some of the most important and critical programs to our national defense and security.
Values: Our first core value is that employees come first. We challenge our co-workers to provide the highest level of support and service, and reward them with some of the best benefits in the industry.
100% Employee Ownership: we have a stake in each other's success, and the success of our customers. It's also nice to know what's going on across the company; we have company wide town-hall meetings three times a year.
Great Benefits - Most Full-Time Staff Are Eligible for:
Starting PTO accrual of 20 days PTO/year + 10 holidays/year
Flexible schedules
6% 401k match with immediate vesting
Semi-annual bonus eligibility (July and December)
Company funded Employee Stock Ownership Plan (ESOP) - a separate qualified retirement account
Up to $10,000 in annual tuition reimbursement
Other company funded benefits, like life and disability insurance
Optional zero deductible Blue Cross/Blue Shield health insurance plan
Track Record of Success: We have grown every year since our founding in 1993
Modern Technology Solutions, Inc. (MTSI) is a 100% employee-owned engineering services and solutions company that provides high-demand technical expertise in Digital Transformation, Modeling and Simulation, Rapid Capability Development, Test and Evaluation, Artificial Intelligence, Autonomy, Cybersecurity and Mission Assurance.


MTSI delivers capabilities to solve problems of global importance. Founded in 1993, MTSI today has employees at over 20 offices and field sites worldwide.

For more information about MTSI, please visit www.mtsi-va.com.


Responsibilities:

Support the analyses of the impacts of the configuration management change process on lifecycle sustainment.
Participate on government and industry teams to resolve program configuration management issues.
Support development and coordination of program configuration and data management requirements.
Support program data management tasks to include creating and maintaining Engineering Data Management Plans and Engineering Data Activity Files as well as planning and executing Engineering Data Guidance Conferences and In-Process Reviews (IPRs) of engineering drawings.
Develop and review configuration control and data management relevant requirements and products.
Support all aspects of the deficiency reporting, management, and closure across the weapon system lifecycle.

Qualifications:

Minimum of five (5) years of relevant CM/DM experience in government and/or private industry.
Active TS Required, SCI Eligible
HS Diploma Required, Associate and/or Bachelor Degree preferred
Knowledge and experience in configuration control, data management, and deficiency reporting for an ACAT I equivalent weapon system program from technology development through final disposition of the weapon system.
Configuration control experience managing program documentation, program records, program history, meeting minutes and action items, proposals, deviations, and waivers.
Experience and knowledge in preparing for and executing program technical reviews and functional and physical configuration audits.
Experience organizing and operating Configuration Control Boards and Business Management Boards or their equivalents.
Experience with configuration status accounting databases contractor data substantiation.
Knowledge and experience; preparing, reviewing, and obtaining approval of contract data requirements lists and requests for nomenclature and Computer Program Identification Numbers.
Knowledge and understanding of all aspects of applicable commercial, DoD 5000.02, and associated USAF configuration management/data management (CM/DM) processes and policies across the weapon system lifecycle.

Please Note: U.S. Citizenship is required.

#LI-DB1
#MTSI",1993,Aerospace & Defense,$100 to $500 million (USD),Aerospace & Defense,1001 to 5000 Employees,Company - Private,False
Senior Data Analyst - Pre Authorization,"OhioHealth
","Columbus, OH",$48K - $71K (Glassdoor est.),3.6,"We are more than a health system. We are a belief system. We believe wellness and sickness are both part of a lifelong partnership, and that everyone could use an expert guide. We work hard, care deeply and reach further to help people uncover their own power to be healthy. We inspire hope. We learn, grow, and achieve more – in our careers and in our communities.

Job Description Summary:

** Candidate must live in the state of Ohio**

This is an entry level position provides technical support to the process of data management to an area or department. Under minimum supervision, this level employee performs assignments that are very complex. The employee exercises judgment in tasks and makes recommendations to internal staff and customers based on analytical evidence that result in operational improvements. Requires extensive knowledge of area supported. He/She applies technical and analytical creativity in supporting departmental level issues and needs. Provides validity checks on data and may supervise lower level employees. This position may have access to confidential data such as patient financial information, employee pay, etc.

Minimum Qualifications:

High School or GED (Required)

Work Shift:

Day

Scheduled Weekly Hours :

40

Department

Corporate Pre Access

Join us!
... if your passion is to work in a caring environment
... if you believe that learning is a life-long process
... if you strive for excellence and want to be among the best in the healthcare industry

Equal Employment Opportunity

OhioHealth is an equal opportunity employer and fully supports and maintains compliance with all state, federal, and local regulations. OhioHealth does not discriminate against associates or applicants because of race, color, genetic information, religion, sex, sexual orientation, gender identity or expression, age, ancestry, national origin, veteran status, military status, pregnancy, disability, marital status, familial status, or other characteristics protected by law. Equal employment is extended to all person in all aspects of the associate-employer relationship including recruitment, hiring, training, promotion, transfer, compensation, discipline, reduction in staff, termination, assignment of benefits, and any other term or condition of employment",1891,Health Care Services & Hospitals,$1 to $5 billion (USD),Healthcare,10000+ Employees,Nonprofit Organization,False
Data Scientist,"The Ohio State University Wexner Medical Center
","Columbus, OH",-1,3.8,"The Neurosurgery Department at Wexner College of Medicine seeks a data scientist with expertise in human electrocorticography (ECoG). The scientist will work within the NeuroTech Institute, exploring novel methods and applications for applied network and systems neuroscience in normal cognition and disease processes, such as neurological and psychiatric conditions. The successful candidate will have expertise in ECoG data preprocessing, feature extraction and dimensionality reduction, statistical analysis and visualization, machine learning, dynamical systems and data integration with radiological data sets, including as connectivity and tractography analysis. Salary is commensurate with the candidate’s experience and credentials. The candidate will interact with human subjects in clinical environments, such as the hospital ward and operating room. The successful candidate report to the CEO of the NeuroTech Institute.

Minimal Educational Requirement

Masters Degree

Required Qualifications

Required qualifications include scholarly independence, research integrity, exceptional interpersonal skills, expertise in responsible conduct of research, and excellence in scientific writing and communication abilities. Preferred qualifications include at least five years of experience analyzing electrocorticography and multi-modal data sets.

Regular 40 First Shift",1916,Health Care Services & Hospitals,Unknown / Non-Applicable,Healthcare,10000+ Employees,Hospital,False
DDX Data Scientist III,"Sherwin-Williams
","Cleveland, OH",$99K - $138K (Glassdoor est.),3.8,"This position is responsible for understanding business questions and using analytic tools and techniques to provide insights and recommendations.

This person can analyze and glean insights from data but can also move beyond the “what” to the “why” behind various trends.



Here, we believe there’s not one path to success, we believe in careers that grow with you. Whoever you are or wherever you come from in the world, there’s a place for you at Sherwin-Williams. We provide you with the opportunity to explore your curiosity and drive us forward. Sherwin-Williams values the unique talents and abilities from all backgrounds and characteristics. All qualified individuals are encouraged to apply, including individuals with disabilities and Protected Veterans. We’ll give you the space to share your strengths and we want you show us what you can do. You can innovate, grow and discover in a place where you can thrive and Let Your Colors Show!



At Sherwin-Williams, part of our mission is to help our employees and their families live healthier, save smarter and feel better. This starts with a wide range of world-class benefits designed for you. From retirement to health care, from total well-being to your daily commute—it matters to us. A general description of benefits offered can be found at http://www.myswbenefits.com/ . Click on “Candidates” to view benefit offerings that you may be eligible for if you are hired as a Sherwin-Williams employee.



Compensation decisions are dependent on the facts and circumstances of each case and will impact where actual compensation may fall within the stated wage range. The wage range listed for this role takes into account the wide range of factors considered in making compensation decisions including skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled.



The wage range, other compensation, and benefits information listed is accurate as of the date of this posting. The Company reserves the right to modify this information at any time, with or without notice, subject to applicable law.



Sherwin-Williams is proud to be an Equal Employment Opportunity/Affirmative Action employer committed to an inclusive and diverse workplace. All qualified candidates will receive consideration for employment and will not be discriminated against based on race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, age, pregnancy, genetic information, creed, marital status or any other consideration prohibited by law or by contract.



As a VEVRAA Federal Contractor, Sherwin-Williams requests state and local employment services delivery systems to provide priority referral of Protected Veterans.



Core Responsibilities

Develops, interprets, and explains analytic findings to monitor customer purchase behavior and engagement to provide data-driven, actionable insights for improving customer acquisition, retention, and conversion across various channels.
Ability to perform statistical modeling to derive insights from data. Includes the use of advanced machine learning modeling techniques.
Supports the adoption of analytic best practices, utilizing common tools and analytic disciplines needed to gauge the effectiveness of customer experiences to inform decisions required to drive sales and grow market share.
Extract, manipulate, and blend data from various sources to provide accurate and timely analytics to the business.
Assists in the creation and completion of multivariate and A/B testing documents (from hypothesis creation to influencing creative to identifying success metrics) and post-test analysis.
Collaborate with other data science analysts, business analysts, and business users to understand business requirements and lead the planning and design of analytical tools and models to improve Sherwin-Williams’ decision-making capabilities.



POSITION REQUIREMENTS

FORMAL EDUCATION:

Required:

Bachelor’s Degree in Data Science, Marketing Analytics, Analytics, Statistics or Mathematics

Preferred:

MBA or Graduate-level Degree

KNOWLEDGE & EXPERIENCE:

Required:

Minimum of 10 years’ experience on an analytics team.
Expertise using analytics tools and techniques to solve complex business questions.
Demonstrated the ability to understand business question(s), collaboratively recommend a path forward, utilize data to solve and communicate recommendations.
Expertise in statistical programming languages, such as Python or R.
Expertise in building, evaluating, and deploying machine learning models utilizing advanced algorithms such as XGBoost, Random Forest, LightGBM, etc.
Expertise in statistical concepts such as test designs, hypothesis testing, clustering analysis, segmentation analysis, and time series analysis.

Preferred:

10+ years’ experience on a marketing analytics team, focusing on customer retention and cross-selling.
Experience with SQL and related tools
Expertise in Snowflake SQL a plus
Experience working with Tableau, PowerBI, or other BI Tools

TECHNICAL/SKILL REQUIREMENTS:

Required:

Query and analyze data in relational databases.
Ability to understand trends and metrics and convey the “so what” and the “now what”.
Ability to derive insights from data to drive strategic recommendations.
Machine Learning model building.
Python, R (or other) for statistical analytics.

TRAVEL REQUIREMENTS:

5%",1866,Consumer Product Manufacturing,$10+ billion (USD),Manufacturing,10000+ Employees,Company - Public,False
AI/ML Engineer-Data Scientist,Datawize Technologies Inc,"Mason, OH",$70.00 - $75.00 Per Hour (Employer est.),-1.0,"Responsibilities:
Client is Looking for AI/ML Engineer-Data Scientist for one of our Healthcare Client

Experience in LLM and Generative AI
Experience in Document extraction/chat
Strong experience in Python, NLP
Experience working in a cloud-native environment such as AWS
Should have hands on experience with AWS Neptune or Neo4J graph database
Experience in building and maintaining open-domain or health care domain-specific ontologies
Understanding of knowledge graphs
Have experience in building graph-based ontology from scratch and working with structured and unstructured data
Experience supporting ML models development on big data infrastructure (on knowledge graph would be a bonus)
Hands on python to build knowledge Graph/ontologies.
Experience with AWS Textract, Comprehend Medical (nice to have

Job Type: Contract

Pay: $70.00 - $75.00 per hour

Expected hours: 40 per week

Schedule:

Day shift
Monday to Friday

Work Location: In person",-1,-1,-1,-1,-1,-1,True
