Job Title,Company Name,Location,Salary Estimate,Rating,Job Description,Founded,Industry,Revenue,Sector,Size,Type,Easy Apply
Senior Data Analyst,"SOUTH COLLEGE
","Knoxville, TN",$61K - $88K (Glassdoor est.),3.5,"Description:

South College invites capable, energetic, outgoing, applicants who are focused on transforming lives of our customers/students! We are one of the nation’s fastest growing institutions of higher learning with over 10,000 students covering 7 campuses and Online learning sites. We are also one of nation’s highest producers of licensed healthcare professionals offering a myriad of undergraduate and graduate healthcare programs for our students. Our Data Analytics team is growing with a focus on supporting business needs while improving student experience! Come join us in these exciting efforts!

As Senior Data Analyst, you will be responsible for delivering value to the company through actionable insights using descriptive statistics, data science, and general data analyses. We are looking for a talented and motivated analytics professional that can solve business problems through critical and abstract thinking. The person in this role must have excellent communication skills and the ability to take complex problems in data and present simplified solutions with little oversight. This position will work out of our Knoxville - Lonas Campus.

Assist the Analytics team members with any data analysis request.
Deliver data driven insights using descriptive or predictive/prescriptive analytics depending on the needs of the business.
Perform necessary statistical analysis from pulling the data and analyzing to delivering a simplified insight.
Develop strong business acumen, connecting business problems and opportunities to data to increase company profitability and student success/experience.
Develop high quality repeatable processes and deliverables to utilize discovered insights
Requirements:
Master's Degree in Analytics preferred
2+ years of experience in Analytics, Data Science, or Data Engineering in the workplace
Deep understanding of statistical concepts and modeling
Self-starter with the experience to work independently on projects with little oversight from start to finish
Desire to learn new technologies and statistical concepts and how to apply them to fit the business needs.
Excellent written and oral communication/presentation skills
Works well in a fast-paced environment and can quickly switch priorities as business needs change
Excellent attention to detail and motivated to double check work
Experience in: Excel, Word, & PowerPoint
Experience with SQL or the desire to learn
Experience in R, Python, Tableau, Power BI, JMP, Data Science, Data Analysis, Marketing Analytics, or the desire to learn.",1882,Colleges & Universities,Unknown / Non-Applicable,Education,1001 to 5000 Employees,College / University,True
"Senior Data Analyst, Marketing and Sales","Servpro Industries, LLC
","Gallatin, TN",$43K - $65K (Glassdoor est.),3.4,"What we offer

Excellent health benefits plan, which includes day 1 eligibility for medical, vision and dental options
401(k) with company match
Company profit sharing plan
Generous paid time off package
Paid parental leave
Company-paid mental health benefit through Headspace
Employee Assistance Program
Employee Resource Groups
Personal and professional development program

Job Summary

The Senior Sales and Growth Analyst (SSGA) is primarily responsible for providing analysis and reports that focus on initiatives that supports our Sales and Marketing teams in growth, strategy, and process improvement. The SSGA will gather, analyze, and compile data as needed to identify trends and patterns, and help make recommendations for business action.

You Will

Work with sales and marketing teams to design, develop, and validate reporting and dashboards in support of day-to-day activities
Work independently or with a cross-functional team to mine, collate, and analyze complex sets of data to drive business decisions
Perform analysis and research on more complex sets of data in support of strategy and growth initiatives.
Design, develop, and implement reports for the sales and marketing teams
Develop reporting and perform analysis that helps interpret marketing funnel as well as operational data into actionable insights that can be used to improve business outcomes
Through analysis and reporting, identify and define process improvement opportunities.
Produce weekly, monthly, and quarterly reporting as required
Collaborate with key stakeholders to document and deliver ad-hoc data needs as well as special projects
Utilize business intelligence tools and internal systems to mine data sources
Present analysis and recommendations to stakeholders.
Mentor junior team members in duties.

You Have

Ability to read, write, and speak the English language to communicate with employees, customers, suppliers, in person, on the phone, and by written communications in a clear, straightforward, and professional manner.
Minimum of 3 years or work experience in a role providing reporting, analytics, and insights
Strong business acumen with the ability to monitor, compile, and analyze data to guide decision making.
Analytical skills, supported by a strong attention to detail and driven toward key insights
An advanced knowledge of Microsoft Excel
Knowledge and skill to mine, collate, and analyze large sets of complex data
A background of using business intelligence tools for providing analytics (Power BI, Tableau, etc.).
Minimum of 3 years of SQL Experience.
Problem solving skills and intellectual curiosity, with a bias toward solution development
Strong collaboration with experience leading cross-functional projects.
Ability to comprehend, interpret, and analyze data.
Ability to create professional summaries including charts and data.
Ability to concisely present finding and recommendations to various levels of the organization
Desire to learn and motivation to continue to grow with the organization.
Bachelor’s degree in business with a concentration in IT, mathematics or statistics in a business-related field or 4+ years’ experience working as an Analyst or related experience.
Minimal travel as required for business needs.

About SERVPRO

For more than 50 years, SERVPRO® has been a trusted leader in fire and water cleanup and restoration services, mold mitigation, construction, biohazard and pathogen remediation throughout the United States and Canada. Our 2,000+ individually owned and operated franchises are supported by our dedicated headquarters team. We strive to cultivate a professional community that respects and celebrates the things that make us unique, the things we share in common, and the collaborative spirit we bring to the work we pursue together. SERVPRO HQ has been recognized by The Tennessean as a Top Workplace for the 4th consecutive year.

SERVPRO is an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, gender, sexual orientation, national origin, veteran or disability status.",1967,Building & Personnel Services,$1 to $5 billion (USD),Management & Consulting,201 to 500 Employees,Company - Private,False
Google Analytics and Digital Marketing Statistician,"Pivotal Talent Search
","Nashville, TN",$57K - $90K (Glassdoor est.),4.7,"Job Title: Google Analytics and Digital Marketing Statistician
Reports To: Director of Business Intelligence

Summary:
The Google Analytics and Digital Marketing Statistician is responsible for analytics, reporting, and statistical analysis across various digital platforms, including Paid Digital Media (PDM), Organic Digital Media (ODM), and Business Intelligence (BI).

Key Responsibilities:

Analyze and interpret data from Google Analytics to provide insights on user behavior, conversion rates, and other key metrics.
Update Account Services' spend and performance metrics for PPC, FB Ads, and LSA.
Collect and analyze PDM leads by client and campaign, including calls, forms, and chats.
Generate Monthly Paid Reports for clients, emphasizing statistical analysis and insights.
Create and update Organic reports, focusing on analytics and statistical interpretation.
Monitor and update client 'Local Services Reporting Sheets,' providing statistical context.
Count and analyze chat leads from the platform.
Assist Business Intelligence in ad-hoc statistical reporting and data analysis.
Qualifications:

Strong statistical and analytical skills.
Proficiency in Google Analytics is a must.
Certification in Google Ads is a plus.
Advanced Excel skills.
Attention to detail.
Excellent time management skills.
Suggested Skills and Training:

Experience with statistical software like R or SPSS.
Understanding of PPC and SEO from an analytical perspective.
Familiarity with data visualization tools like Tableau or Google Data Studio.
#pts",-1,Staffing & Subcontracting,Unknown / Non-Applicable,Human Resources & Staffing,Unknown,Company - Public,True
Data Scientist,"eTeam Inc.
","Goodlettsville, TN",$50.00 - $55.00 Per Hour (Employer est.),4.1,"Minimum 5+ years experience in analytics or related field as a Data Scientist



Preferred Qualifications

Data science, machine learning, optimization models, Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)

Option 1- Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 5 years' experience in an analytics related field.

Option 2- Master's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience in an analytics related field.

Option 5 years' experience in an analytics or related field.",1999,Staffing & Subcontracting,$100 to $500 million (USD),Human Resources & Staffing,5001 to 10000 Employees,Company - Private,True
Principal Statistician - CRO - Remote,"Compass Life Sciences
",United States,$140K (Employer est.),4.8,"Compass Life Sciences have partnered with a rapidly growing Clinical Research Organisation that is securing projects from the larger more established CROs due the quality of their delivery and as such have built a reputation for being a leading expert provider across Clinical Trials and Biometrics. With a number of FSP and non-FSP partnerships in place globally with a host of big Pharma and Biotech companies, the organisation are looking for talented Biostatisticians to join their Functional Service Provision group, to partner with key clients on long term projects. The position is home based in the US or Canada

The Role

The Principal Biostatistician is a key member of our clients' FSP team working on complex and highly visible projects with key strategic clients. Reporting into the Director of Biostatistics this position provides a rare opportunity to showcase your statistical expertise across all aspects of clinical drug development, in a dynamic and thoroughly rewarding patient orientated environment.

Key Responsibilities

Participating in and driving methods and implementation to evaluate safety
Interacting with the relevant stakeholders, including safety innovation team members, project and study teams, statistical methodologists and internal experts from the client company
Participating in the development and implementation of related tools (together with supporting programmers), e.g. SAS macros, R code etc.
Participating in the planning, piloting and execution of methods on specific projects and trials
Interpreting statistical results
Supporting the development of training, presentations etc. as appropriate.
Participating in any other drug development related statistical activities as appropriate

Required Experience

To be considered for this position, our client is looking for passionate Statisticians who are able to demonstrate significant experience working within a commercial environment. In addition to this, you should have;

Expertise in a range of statistical methodologies with practical applications

Ability to communicate complex statistical concepts to non-statisticians

Demonstrable project management and interpersonal skills

Good knowledge of CDISC standards

Self-starter with the ability to work on a cross-functional team

Experience with Bayesian methodology would be an advantage

MSc or PhD in a relevant statistical field

Significant experience working within a commercial drug development environment

Proficiency with SAS is essential, and experience with R is advantageous

Strong knowledge of CDISC standards

If you would like to be considered for this position, contact David Jolley on his cell (919) 429 7658, or you can reach the US office on (984) 444 9984 for a conversation in confidence. Alternatively email an updated CV .

Recommendations

Compass Life Sciences Inc. are working as a Staffing Agency in connection for this permanent vacancy; we offer up to $500 of Amazon.com vouchers for each successful recommendation.",2009,Staffing & Subcontracting,$5 to $25 million (USD),Human Resources & Staffing,51 to 200 Employees,Company - Private,False
Data Scientist,R&K Cyber Solutions,"Knoxville, TN",$79K - $118K (Glassdoor est.),-1.0,"Department: SOAR / Research & Development (R&D)

Reports to: Chief Scientist

Location: Knoxville Tennessee (Hybrid Remote)

Position Summary:
The Data Scientist at RKCS will play a crucial role in interpreting and analyzing data for actionable insights. This position is responsible for developing advanced data models, implementing machine learning algorithms, and generating data-driven solutions that align with the company’s strategic objectives.
Key Responsibilities:
Data Analysis: Perform exploratory data analysis to identify trends, correlations, and patterns in large datasets.
Modeling: Develop and implement machine learning models, statistical models, or other data-driven strategies to solve complex business problems.
Data Preprocessing: Clean, preprocess, and organize raw data from various sources to prepare it for analysis.
Data Visualization: Create interactive dashboards and reports to present complex data in a comprehensible manner to stakeholders.
Algorithm Development: Build and fine-tune algorithms that can be integrated into business processes for enhanced decision-making.
Collaboration: Work closely with other departments, such as Business Intelligence, Marketing, and Product Development to implement data-driven strategies.
Validation & Testing: Validate the effectiveness of models by designing and implementing A/B tests or other evaluation metrics.
Research: Stay abreast of the latest trends and technologies in data science and machine learning, and be willing to incorporate new techniques into existing processes.
Documentation: Document all code, models, and datasets in a clear manner to ensure reproducibility and understanding among team members.
Communication: Effectively communicate complex data findings in a clear and concise manner to non-technical stakeholders.
Qualifications:
Bachelor's or Master's degree in Data Science, Computer Science, Statistics, or a related quantitative field. PhD is a plus.
At least 3-5 years of experience in a data science role.
Proficiency in Python, R, or other programming languages commonly used in data science.
Experience with data visualization tools like Tableau, Power BI, or similar.
Strong understanding of machine learning algorithms and statistical modeling techniques.
Key Competencies:
Strong analytical and problem-solving skills
Ability to work collaboratively in cross-functional teams
Excellent oral and written communication skills
High attention to detail
Eagerness to learn and adapt to new challenges

Interested candidates should submit their application, including a cover letter and resume, to careers@rkcybersolutions.com



BENEFITS
4 Health Insurance Options
GAP Insurance Options
Dental Plan
Life Insurance Options
Long-term Disability
Short-term Disability
Legal Option
HSA Option
PTO
401k Plan
Pension Plan",-1,-1,Unknown / Non-Applicable,-1,1 to 50 Employees,Company - Private,False
Principal Data Scientist,"CEDENT
","Nashville, TN",$150K - $180K (Employer est.),5.0,"- Role - Principal Data Scientist

Location; Nashville, TN, US
Salary: USD $150,000 – $180,000 / yr

Remote:


Job Duties:

Required Qualifications:

PhD degree in a quantitative field including but not limited to data science, physics, computer science, math, engineering, and statistics and 7+ years of data science experience (Or Master’s Degree with 10+ years’ experience).:
Able to work with large data sets from multiple data sources (text, speech, images, structured, unstructured).
10 years of programming experience in statistical software (for example Python, R, or SAS) and able to demonstrate proficiency at an expert level. At least 3 years’ experience with Python within the last 5 years.
Optimization and Simulation experience
Able to build or support the building of business cases related to data science related projects.
Enjoys working collaboratively with other data scientists and multiple stakeholders across the business unit and with external partners.
Confident in creating and communicating standards and best practices for data science projects and deliverables including setting project reviews and general quality assurance practices to review the work of more junior data scientists.
Adept at effectively solving complex problems by breaking them down into logical steps and communicating results in a concise way to Senior Executives and able to defend/debate the results of the analyses.
Intellectual curiosity, a passion for data and a results orientation.
Experience working in large and complex projects using common project management methodologies e.g., Agile, Waterfall, Six Sigma, Lean
Enjoys mentoring, training and coaching other data scientists and analysts
Experience in two or more of manufacturing, retail operations, new product development, supply chain or marketing research (incl. digital media, subscription packages, market analysis).
Prior experience leading/working on large scope/macro initiatives or research such as those impacting broader sustainability/environmental and societal factors e.g., green procurement, reducing emissions, waste reduction
Able to work with large data sets from multiple data sources (text, speech, images, structured, unstructured).

Preferred Qualifications:

Experience in software development processes including Dev/QA/prod, release cycles, Continuous Improvement/ Continuous Development, source control, code reviews etc.
Experience in IoT and streaming data analytics
Expertise in Machine Learning in auto or related industries (incl. image, speech, pattern recognition & anomaly detection) – SciKit-Learn, TensorFlow or PyTorch, Pandas, NumPy
Expertise operating and deploying models in cloud environments e.g., AWS, Azure, collaborating with IT, Data Engineers, ML Engineers.
Experience with distributed computing (Spark/MLLib)
Mail your cv to kavita@cedentinc.com",-1,Computer Hardware Development,Less than $1 million (USD),Information Technology,1 to 50 Employees,Contract,True
"Data Scientist, OTS Operational Excellence","Amazon.com Services LLC
","Nashville, TN",$112K (Employer est.),3.7,"2+ years of data scientist experience
3+ years of data querying languages (e.g. SQL), scripting languages (e.g. Python) or statistical/mathematical software (e.g. R, SAS, Matlab, etc.) experience
3+ years of machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance experience
Experience applying theoretical models in an applied environment
MS + 2 yrs experience or BS + 5 yrs experience
Are you a curious data scientist who is passionate about analyzing data to find untapped opportunities to serve your customers with data driven insights and machine learning models? Are you a problem solver who performs high-quality data analysis and delivers clear findings and recommendations?

Key job responsibilities

Own the design and implementation of solutions that involve machine learning libraries, statistical rigor to automate data analysis to complex business problems. Outputs from your analysis will directly help improve the operational process.
Own end-to-end statistical analysis for ad hoc requests that have high ambiguity, and complexity.
Ability to thrive in a fast-paced environment capable of handling multiple data analysis with different stakeholders and disparate data sets and clearly communicating findings to stakeholders.
Own the design and implementation data analytical architecture for the Operational Excellence team using the AWS platform and products.
A day in the life
If you are not sure that every qualification on the list above describes you exactly, we'd still love to hear from you! At Amazon, we value people with unique backgrounds, experiences, and skillsets. If you’re passionate about this role and want to make an impact on a global scale, please apply!

Benefits Summary:
Amazon offers a full range of benefits that support you and eligible family members, including domestic partners and their children. Benefits can vary by location, the number of regularly scheduled hours you work, length of employment, and job status such as seasonal or temporary employment. The benefits that generally apply to regular, full-time employees include:

1. Medical, Dental, and Vision Coverage
2. Maternity and Parental Leave Options
3. Paid Time Off (PTO)
4. 401(k) Plan

Learn more about our benefits HERE

About the team
The AMER OpsTech Solutions (OTS) Operational Excellence (OE) team is looking for a highly skilled, and motivated data scientist with superior analytical skills to support operational execution opportunities and process development. OTS provides IT support and technology deployment for Amazon’s Operations Technology Infrastructure, so that Amazon can fulfill its commitment to customers.Operational Excellence Team drives operational excellence depicted by KPIs, data deep dives and strive for a proactive approach to issue resolution rather than a reactive response.

We are open to hiring candidates to work out of one of the following locations:

Arlington, VA, USA | Austin, TX, USA | Boston, MA, USA | Jersey City, NJ, USA | Nashville, TN, USA | New York, NY, USA


Experience in Python, Perl, or another scripting language
Experience in a ML or data scientist role with a large technology company
Experience diving into data to discover hidden patterns and of conducting error/deviation analysis
Experience developing experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations
Knowledge of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $111,600/year in our lowest geographic market up to $212,800/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.",1994,Internet & Web Services,$10+ billion (USD),Information Technology,10000+ Employees,Company - Public,False
Data Scientist,"Lirio
","Knoxville, TN",$76K - $122K (Glassdoor est.),3.9,"Who We Are:

Lirio is the leader in behavior change AI, combining behavioral science with artificial intelligence to move people to better health. Through Precision Nudging™, our intelligent behavior change journeys assemble and deliver tailored, behavioral interventions to overcome unique barriers to engaging with and acting on health recommendations. By scaling personalized interventions, our clients deliver patient-focused experiences that initiate and drive sustained behaviors across their patient and member populations, optimizing patient engagement, closing gaps in care, lowering costs, and measurably improving health outcomes.

Who You Are:

You're passionate about transforming people's health through technology. You're looking to be part of a dynamic organization that moves quickly, where you can learn and grow, and work alongside colleagues to develop and improve our solutions. You have a growth mindset who seeks progress over perfection.

What You'll Be Doing:

The Data Scientist will be responsible for developing and implementing approaches to data analysis across Lirio's Behavior Change AI Platform as well as being a technical contributor to the machine learning software infrastructure. This role will involve working closely with behavioral scientists, computer scientists, machine learning engineers and data engineers to architect methods and systems for obtaining insights into the efficacy of Lirio behavior change programs, platform operations and machine learning workflows. Tasking for this position will include data science research, exploratory data analysis, user interface and visual analytics design and development, and regular contributions to strategic and tactical discussions about the Lirio Platform and its research and engineering roadmaps. Additionally, this role will embrace Lirio's culture of cross-team collaboration and work closely with Lirio leadership in shaping our data science strategy. The role requires a forward-thinker who is curious about technology and will help Lirio adapt and evolve as technology and customer needs constantly change.




Analytics Design and Development

Develop and implement analytic insights into the engagement efficacy of the behavioral science libraries and the Lirio AI Behavior Change Platform.
Design and implement visualizations that capture the Lirio Platform's engagement performance for Lirio customers.
Contribute to the design, implementation and analysis of Randomized Control Trials (RCTs) for evaluation of engagement performance.
Lead efforts to develop the Lirio Insights Engine, a framework for exploratory analysis of Lirio Behavior Change data, including applications and visual analytics.
Contribute to the Lirio customer reports and marketing materials using developed analytic approaches.
Design and implement visualizations that give insight into the operation of Lirio's RL Agent.
Build (visual) analytics around experimental results that measure and compare the performance of two competing approaches in Lirio's RL workflow.
Adheres to the company's overall software quality, cadence and delivery lifecycle through automation and CI/CD pipelines using DevSecOps methodologies.



Analytics Operations

Support new clients/programs onboarding processes by translating client requirements into technical executable processes.
Support established feature engineering framework using data science principles such as feature selection for different programs and clients.
Provide on-demand analytics expertise and support to assist colleagues.
Document data analytics processes.

Applied Data Analytics Research (10%)

Research and develop approaches for analyzing health care engagement data, relating demographics, explainable artificial intelligence, and behavioral science factors to client/program outcomes.
Contribute to Lirio technology roadmap planning and execution.

Education

PhD preferred
Master's degree in Statistics, Data Science
3-5 years related experience

System Experience

3+ years of experience developing software, competency with python preferred.
3+ years of experience developing analytics for insight into complex data.
1+ years experience developing web-based data visualizations using JavaScript (D3.js preferred)
Experience developing with data science and machine-learning software libraries preferred, such as pandas, Tensorflow, R, or PyTorch.
Experience with web-based application development frameworks (Angular preferred)
Experience with database technologies, data warehousing, and hands-on experience writing SQL queries.
Experience using version control (Git preferred) and build tools with continuous integration or continuous delivery.
Strong understanding of the agile software development process.
Experience with cloud service technologies, specifically AW",2015,Advertising & Public Relations,Unknown / Non-Applicable,Media & Communication,1 to 50 Employees,Company - Private,False
Data Scientist,High5Hire,Tennessee,$50.00 - $55.00 Per Hour (Employer est.),-1.0,"This is an onsite contractual position for 12 months in , Goodlettsville, TN, US. Please only apply if you are a US Citizen or a Green Card holder.

The pay rate for this position is $50-$55 per hour.

Required Experience: 3-5 years

Required Skills:

SPARK
SCALA
PYTHON
STATISTICS
MACHINE LEARNING

We require a minimum 5 years experience in analytics or related field as a Data Scientist

Preferred Requirements:

Data science
Machine learning
Optimization models
Successful completion of one or more assessments in Python, Spark, Scala, or R
Using open source frameworks (for example, scikit learn, tensorflow, torch)

Qualifications:

Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics

OR

Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 5 years' experience in an analytics related field.

OR

Master's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience in an analytics related field.

Job Type: Contract

Salary: $50.00 - $55.00 per hour

Compensation package:

Hourly pay

Experience level:

3 years
4 years
5 years

Ability to commute/relocate:

TN, US: Reliably commute or planning to relocate before starting work (Preferred)

Application Question(s):

Are you a US Citizen or a Greencard Holder? (Yes/No) - Please answer this question as we will not be able to move forward with your profile if it is blank - thank you.

Experience:

Machine Learning: 3 years (Required)
Python: 3 years (Required)
Spark: 3 years (Required)

Work Location: In person",-1,-1,-1,-1,-1,-1,True
